context: Midday Moon response:	What the hell is that?!
context: I didn't bother to struggle, but just endure it and go with the flow,\escaping into shogi...\So I don't have any useful wisdom for a time like this!\I thought if I could...\they could put it to good use for something, so I tried my best.\But they aren't the kind of people who would accept money from a total stranger like me.\So please tell me, Mr. Hayashida!\I'll treat you to oden or yakiniku or anything! response:	Please lend me your wisdom!
context: escaping into shogi...\So I don't have any useful wisdom for a time like this!\I thought if I could...\they could put it to good use for something, so I tried my best.\But they aren't the kind of people who would accept money from a total stranger like me.\So please tell me, Mr. Hayashida!\I'll treat you to oden or yakiniku or anything!\Please lend me your wisdom! response:	You moron!
context: So I don't have any useful wisdom for a time like this!\I thought if I could...\they could put it to good use for something, so I tried my best.\But they aren't the kind of people who would accept money from a total stranger like me.\So please tell me, Mr. Hayashida!\I'll treat you to oden or yakiniku or anything!\Please lend me your wisdom!\You moron! response:	Kiriyama!
context: I thought if I could...\they could put it to good use for something, so I tried my best.\But they aren't the kind of people who would accept money from a total stranger like me.\So please tell me, Mr. Hayashida!\I'll treat you to oden or yakiniku or anything!\Please lend me your wisdom!\You moron!\Kiriyama! response:	HEEHEE
context: they could put it to good use for something, so I tried my best.\But they aren't the kind of people who would accept money from a total stranger like me.\So please tell me, Mr. Hayashida!\I'll treat you to oden or yakiniku or anything!\Please lend me your wisdom!\You moron!\Kiriyama!\HEEHEE response:	Please do me a favor.
context: But they aren't the kind of people who would accept money from a total stranger like me.\So please tell me, Mr. Hayashida!\I'll treat you to oden or yakiniku or anything!\Please lend me your wisdom!\You moron!\Kiriyama!\HEEHEE\Please do me a favor. response:	I'll buy you a drink later.
context: So please tell me, Mr. Hayashida!\I'll treat you to oden or yakiniku or anything!\Please lend me your wisdom!\You moron!\Kiriyama!\HEEHEE\Please do me a favor.\I'll buy you a drink later. response:	Quit talking like a damn salaryman!
context: I'll treat you to oden or yakiniku or anything!\Please lend me your wisdom!\You moron!\Kiriyama!\HEEHEE\Please do me a favor.\I'll buy you a drink later.\Quit talking like a damn salaryman! response:	SLAP
context: Please lend me your wisdom!\You moron!\Kiriyama!\HEEHEE\Please do me a favor.\I'll buy you a drink later.\Quit talking like a damn salaryman!\SLAP response:	*Looks like he can't speak
context: You moron!\Kiriyama!\HEEHEE\Please do me a favor.\I'll buy you a drink later.\Quit talking like a damn salaryman!\SLAP\*Looks like he can't speak response:	Certainly you've been working hard
context: Kiriyama!\HEEHEE\Please do me a favor.\I'll buy you a drink later.\Quit talking like a damn salaryman!\SLAP\*Looks like he can't speak\Certainly you've been working hard response:	and maybe make more money than me, which sometimes pisses me off,
context: HEEHEE\Please do me a favor.\I'll buy you a drink later.\Quit talking like a damn salaryman!\SLAP\*Looks like he can't speak\Certainly you've been working hard\and maybe make more money than me, which sometimes pisses me off, response:	but this is a school,
context: Please do me a favor.\I'll buy you a drink later.\Quit talking like a damn salaryman!\SLAP\*Looks like he can't speak\Certainly you've been working hard\and maybe make more money than me, which sometimes pisses me off,\but this is a school, response:	and you're just a second-year high school student.
context: I'll buy you a drink later.\Quit talking like a damn salaryman!\SLAP\*Looks like he can't speak\Certainly you've been working hard\and maybe make more money than me, which sometimes pisses me off,\but this is a school,\and you're just a second-year high school student. response:	I'm a teacher!
context: Quit talking like a damn salaryman!\SLAP\*Looks like he can't speak\Certainly you've been working hard\and maybe make more money than me, which sometimes pisses me off,\but this is a school,\and you're just a second-year high school student.\I'm a teacher! response:	Don't underestimate a teacher!
context: SLAP\*Looks like he can't speak\Certainly you've been working hard\and maybe make more money than me, which sometimes pisses me off,\but this is a school,\and you're just a second-year high school student.\I'm a teacher!\Don't underestimate a teacher! response:	First, I think Hina should change the person she's talking to.
context: *Looks like he can't speak\Certainly you've been working hard\and maybe make more money than me, which sometimes pisses me off,\but this is a school,\and you're just a second-year high school student.\I'm a teacher!\Don't underestimate a teacher!\First, I think Hina should change the person she's talking to. response:	Like the head teacher or the teacher of another subject...
context: Certainly you've been working hard\and maybe make more money than me, which sometimes pisses me off,\but this is a school,\and you're just a second-year high school student.\I'm a teacher!\Don't underestimate a teacher!\First, I think Hina should change the person she's talking to.\Like the head teacher or the teacher of another subject... response:	Her homeroom teacher isn't the only option at school.
context: and maybe make more money than me, which sometimes pisses me off,\but this is a school,\and you're just a second-year high school student.\I'm a teacher!\Don't underestimate a teacher!\First, I think Hina should change the person she's talking to.\Like the head teacher or the teacher of another subject...\Her homeroom teacher isn't the only option at school. response:	If that doesn't work, it's okay for her to talk to another teacher.
context: but this is a school,\and you're just a second-year high school student.\I'm a teacher!\Don't underestimate a teacher!\First, I think Hina should change the person she's talking to.\Like the head teacher or the teacher of another subject...\Her homeroom teacher isn't the only option at school.\If that doesn't work, it's okay for her to talk to another teacher. response:	And about speaking to the bully's parents...
context: and you're just a second-year high school student.\I'm a teacher!\Don't underestimate a teacher!\First, I think Hina should change the person she's talking to.\Like the head teacher or the teacher of another subject...\Her homeroom teacher isn't the only option at school.\If that doesn't work, it's okay for her to talk to another teacher.\And about speaking to the bully's parents... response:	Yeah, I don't think it would go that far.
context: I'm a teacher!\Don't underestimate a teacher!\First, I think Hina should change the person she's talking to.\Like the head teacher or the teacher of another subject...\Her homeroom teacher isn't the only option at school.\If that doesn't work, it's okay for her to talk to another teacher.\And about speaking to the bully's parents...\Yeah, I don't think it would go that far. response:	Not in this situation.
context: Don't underestimate a teacher!\First, I think Hina should change the person she's talking to.\Like the head teacher or the teacher of another subject...\Her homeroom teacher isn't the only option at school.\If that doesn't work, it's okay for her to talk to another teacher.\And about speaking to the bully's parents...\Yeah, I don't think it would go that far.\Not in this situation. response:	But if it does come to that,
context: First, I think Hina should change the person she's talking to.\Like the head teacher or the teacher of another subject...\Her homeroom teacher isn't the only option at school.\If that doesn't work, it's okay for her to talk to another teacher.\And about speaking to the bully's parents...\Yeah, I don't think it would go that far.\Not in this situation.\But if it does come to that, response:	it's true that the big sister alone would feel helpless.
context: Like the head teacher or the teacher of another subject...\Her homeroom teacher isn't the only option at school.\If that doesn't work, it's okay for her to talk to another teacher.\And about speaking to the bully's parents...\Yeah, I don't think it would go that far.\Not in this situation.\But if it does come to that,\it's true that the big sister alone would feel helpless. response:	Their mother passed away, right?
context: Her homeroom teacher isn't the only option at school.\If that doesn't work, it's okay for her to talk to another teacher.\And about speaking to the bully's parents...\Yeah, I don't think it would go that far.\Not in this situation.\But if it does come to that,\it's true that the big sister alone would feel helpless.\Their mother passed away, right? response:	What about the father? What's he doing?
context: If that doesn't work, it's okay for her to talk to another teacher.\And about speaking to the bully's parents...\Yeah, I don't think it would go that far.\Not in this situation.\But if it does come to that,\it's true that the big sister alone would feel helpless.\Their mother passed away, right?\What about the father? What's he doing? response:	Well...
context: And about speaking to the bully's parents...\Yeah, I don't think it would go that far.\Not in this situation.\But if it does come to that,\it's true that the big sister alone would feel helpless.\Their mother passed away, right?\What about the father? What's he doing?\Well... response:	It's not a very pleasant story, so I'll just give you the basics.
context: Yeah, I don't think it would go that far.\Not in this situation.\But if it does come to that,\it's true that the big sister alone would feel helpless.\Their mother passed away, right?\What about the father? What's he doing?\Well...\It's not a very pleasant story, so I'll just give you the basics. response:	He told us he got a new girlfriend...
context: Not in this situation.\But if it does come to that,\it's true that the big sister alone would feel helpless.\Their mother passed away, right?\What about the father? What's he doing?\Well...\It's not a very pleasant story, so I'll just give you the basics.\He told us he got a new girlfriend... response:	Now he's living in a new home and has another child.
context: But if it does come to that,\it's true that the big sister alone would feel helpless.\Their mother passed away, right?\What about the father? What's he doing?\Well...\It's not a very pleasant story, so I'll just give you the basics.\He told us he got a new girlfriend...\Now he's living in a new home and has another child. response:	Oh, that's right.
context: it's true that the big sister alone would feel helpless.\Their mother passed away, right?\What about the father? What's he doing?\Well...\It's not a very pleasant story, so I'll just give you the basics.\He told us he got a new girlfriend...\Now he's living in a new home and has another child.\Oh, that's right. response:	We have bean jam pancakes. Want some?
context: Their mother passed away, right?\What about the father? What's he doing?\Well...\It's not a very pleasant story, so I'll just give you the basics.\He told us he got a new girlfriend...\Now he's living in a new home and has another child.\Oh, that's right.\We have bean jam pancakes. Want some? response:	Sure.
context: What about the father? What's he doing?\Well...\It's not a very pleasant story, so I'll just give you the basics.\He told us he got a new girlfriend...\Now he's living in a new home and has another child.\Oh, that's right.\We have bean jam pancakes. Want some?\Sure. response:	Thank you.
context: Well...\It's not a very pleasant story, so I'll just give you the basics.\He told us he got a new girlfriend...\Now he's living in a new home and has another child.\Oh, that's right.\We have bean jam pancakes. Want some?\Sure.\Thank you. response:	It's as if...
context: It's not a very pleasant story, so I'll just give you the basics.\He told us he got a new girlfriend...\Now he's living in a new home and has another child.\Oh, that's right.\We have bean jam pancakes. Want some?\Sure.\Thank you.\It's as if... response:	she laid it out so it can mean nothing to her.
context: He told us he got a new girlfriend...\Now he's living in a new home and has another child.\Oh, that's right.\We have bean jam pancakes. Want some?\Sure.\Thank you.\It's as if...\she laid it out so it can mean nothing to her. response:	But I realized Akari's heart was floating around,
context: Now he's living in a new home and has another child.\Oh, that's right.\We have bean jam pancakes. Want some?\Sure.\Thank you.\It's as if...\she laid it out so it can mean nothing to her.\But I realized Akari's heart was floating around, response:	unable to find a place to rest.
context: Oh, that's right.\We have bean jam pancakes. Want some?\Sure.\Thank you.\It's as if...\she laid it out so it can mean nothing to her.\But I realized Akari's heart was floating around,\unable to find a place to rest. response:	It wasn't that it was nothing to her.
context: We have bean jam pancakes. Want some?\Sure.\Thank you.\It's as if...\she laid it out so it can mean nothing to her.\But I realized Akari's heart was floating around,\unable to find a place to rest.\It wasn't that it was nothing to her. response:	She still only talks about it as if it meant nothing to her.
context: Sure.\Thank you.\It's as if...\she laid it out so it can mean nothing to her.\But I realized Akari's heart was floating around,\unable to find a place to rest.\It wasn't that it was nothing to her.\She still only talks about it as if it meant nothing to her. response:	Still.
context: Thank you.\It's as if...\she laid it out so it can mean nothing to her.\But I realized Akari's heart was floating around,\unable to find a place to rest.\It wasn't that it was nothing to her.\She still only talks about it as if it meant nothing to her.\Still. response:	I see.
context: It's as if...\she laid it out so it can mean nothing to her.\But I realized Akari's heart was floating around,\unable to find a place to rest.\It wasn't that it was nothing to her.\She still only talks about it as if it meant nothing to her.\Still.\I see. response:	All the more reason that I have to go!
context: she laid it out so it can mean nothing to her.\But I realized Akari's heart was floating around,\unable to find a place to rest.\It wasn't that it was nothing to her.\She still only talks about it as if it meant nothing to her.\Still.\I see.\All the more reason that I have to go! response:	How do you get that from this?
context: But I realized Akari's heart was floating around,\unable to find a place to rest.\It wasn't that it was nothing to her.\She still only talks about it as if it meant nothing to her.\Still.\I see.\All the more reason that I have to go!\How do you get that from this? response:	In fact, how would you even announce yourself when you arrive?
context: unable to find a place to rest.\It wasn't that it was nothing to her.\She still only talks about it as if it meant nothing to her.\Still.\I see.\All the more reason that I have to go!\How do you get that from this?\In fact, how would you even announce yourself when you arrive? response:	RUMBLE RUMBLE
context: It wasn't that it was nothing to her.\She still only talks about it as if it meant nothing to her.\Still.\I see.\All the more reason that I have to go!\How do you get that from this?\In fact, how would you even announce yourself when you arrive?\RUMBLE RUMBLE response:	As Hina's friend's former homeroom teacher, of course!
context: She still only talks about it as if it meant nothing to her.\Still.\I see.\All the more reason that I have to go!\How do you get that from this?\In fact, how would you even announce yourself when you arrive?\RUMBLE RUMBLE\As Hina's friend's former homeroom teacher, of course! response:	That equals perfect stranger!
context: Still.\I see.\All the more reason that I have to go!\How do you get that from this?\In fact, how would you even announce yourself when you arrive?\RUMBLE RUMBLE\As Hina's friend's former homeroom teacher, of course!\That equals perfect stranger! response:	Mr. Hayashida, you've already become a monster teacher!
context: I see.\All the more reason that I have to go!\How do you get that from this?\In fact, how would you even announce yourself when you arrive?\RUMBLE RUMBLE\As Hina's friend's former homeroom teacher, of course!\That equals perfect stranger!\Mr. Hayashida, you've already become a monster teacher! response:	GRRR
context: All the more reason that I have to go!\How do you get that from this?\In fact, how would you even announce yourself when you arrive?\RUMBLE RUMBLE\As Hina's friend's former homeroom teacher, of course!\That equals perfect stranger!\Mr. Hayashida, you've already become a monster teacher!\GRRR response:	If the bully will bring out her MPs...
context: How do you get that from this?\In fact, how would you even announce yourself when you arrive?\RUMBLE RUMBLE\As Hina's friend's former homeroom teacher, of course!\That equals perfect stranger!\Mr. Hayashida, you've already become a monster teacher!\GRRR\If the bully will bring out her MPs... response:	*MP = Short for Monster Parents
context: In fact, how would you even announce yourself when you arrive?\RUMBLE RUMBLE\As Hina's friend's former homeroom teacher, of course!\That equals perfect stranger!\Mr. Hayashida, you've already become a monster teacher!\GRRR\If the bully will bring out her MPs...\*MP = Short for Monster Parents response:	SPURT
context: RUMBLE RUMBLE\As Hina's friend's former homeroom teacher, of course!\That equals perfect stranger!\Mr. Hayashida, you've already become a monster teacher!\GRRR\If the bully will bring out her MPs...\*MP = Short for Monster Parents\SPURT response:	*MT = Short for Monster Teacher
context: As Hina's friend's former homeroom teacher, of course!\That equals perfect stranger!\Mr. Hayashida, you've already become a monster teacher!\GRRR\If the bully will bring out her MPs...\*MP = Short for Monster Parents\SPURT\*MT = Short for Monster Teacher response:	Am I wrong? I'm not wrong, damn it!
context: That equals perfect stranger!\Mr. Hayashida, you've already become a monster teacher!\GRRR\If the bully will bring out her MPs...\*MP = Short for Monster Parents\SPURT\*MT = Short for Monster Teacher\Am I wrong? I'm not wrong, damn it! response:	One would be as bad as the other... Or are you even worse?
context: Mr. Hayashida, you've already become a monster teacher!\GRRR\If the bully will bring out her MPs...\*MP = Short for Monster Parents\SPURT\*MT = Short for Monster Teacher\Am I wrong? I'm not wrong, damn it!\One would be as bad as the other... Or are you even worse? response:	*In terms of being a total stranger!!
context: GRRR\If the bully will bring out her MPs...\*MP = Short for Monster Parents\SPURT\*MT = Short for Monster Teacher\Am I wrong? I'm not wrong, damn it!\One would be as bad as the other... Or are you even worse?\*In terms of being a total stranger!! response:	Help!
context: If the bully will bring out her MPs...\*MP = Short for Monster Parents\SPURT\*MT = Short for Monster Teacher\Am I wrong? I'm not wrong, damn it!\One would be as bad as the other... Or are you even worse?\*In terms of being a total stranger!!\Help! response:	Oh yeah, also...
context: *MP = Short for Monster Parents\SPURT\*MT = Short for Monster Teacher\Am I wrong? I'm not wrong, damn it!\One would be as bad as the other... Or are you even worse?\*In terms of being a total stranger!!\Help!\Oh yeah, also... response:	About the money issue, I'm glad you realized the futility yourself.
context: SPURT\*MT = Short for Monster Teacher\Am I wrong? I'm not wrong, damn it!\One would be as bad as the other... Or are you even worse?\*In terms of being a total stranger!!\Help!\Oh yeah, also...\About the money issue, I'm glad you realized the futility yourself. response:	I'm relieved by that, sheesh.
context: *MT = Short for Monster Teacher\Am I wrong? I'm not wrong, damn it!\One would be as bad as the other... Or are you even worse?\*In terms of being a total stranger!!\Help!\Oh yeah, also...\About the money issue, I'm glad you realized the futility yourself.\I'm relieved by that, sheesh. response:	When I thought about you going there
context: Am I wrong? I'm not wrong, damn it!\One would be as bad as the other... Or are you even worse?\*In terms of being a total stranger!!\Help!\Oh yeah, also...\About the money issue, I'm glad you realized the futility yourself.\I'm relieved by that, sheesh.\When I thought about you going there response:	with your bank book and having a budget committee for another family...
context: One would be as bad as the other... Or are you even worse?\*In terms of being a total stranger!!\Help!\Oh yeah, also...\About the money issue, I'm glad you realized the futility yourself.\I'm relieved by that, sheesh.\When I thought about you going there\with your bank book and having a budget committee for another family... response:	I thought they might slam the door in your face, Kiriyama.
context: *In terms of being a total stranger!!\Help!\Oh yeah, also...\About the money issue, I'm glad you realized the futility yourself.\I'm relieved by that, sheesh.\When I thought about you going there\with your bank book and having a budget committee for another family...\I thought they might slam the door in your face, Kiriyama. response:	SHAKE SHAKE
context: Help!\Oh yeah, also...\About the money issue, I'm glad you realized the futility yourself.\I'm relieved by that, sheesh.\When I thought about you going there\with your bank book and having a budget committee for another family...\I thought they might slam the door in your face, Kiriyama.\SHAKE SHAKE response:	Was planning to do just that
context: Oh yeah, also...\About the money issue, I'm glad you realized the futility yourself.\I'm relieved by that, sheesh.\When I thought about you going there\with your bank book and having a budget committee for another family...\I thought they might slam the door in your face, Kiriyama.\SHAKE SHAKE\Was planning to do just that response:	On the way home, Mr. Hayashida bought me a steamed meat bun,
context: About the money issue, I'm glad you realized the futility yourself.\I'm relieved by that, sheesh.\When I thought about you going there\with your bank book and having a budget committee for another family...\I thought they might slam the door in your face, Kiriyama.\SHAKE SHAKE\Was planning to do just that\On the way home, Mr. Hayashida bought me a steamed meat bun, response:	explaining it as his pride as a teacher.
context: I'm relieved by that, sheesh.\When I thought about you going there\with your bank book and having a budget committee for another family...\I thought they might slam the door in your face, Kiriyama.\SHAKE SHAKE\Was planning to do just that\On the way home, Mr. Hayashida bought me a steamed meat bun,\explaining it as his pride as a teacher. response:	And then he accused me of being out of step and stubborn.
context: When I thought about you going there\with your bank book and having a budget committee for another family...\I thought they might slam the door in your face, Kiriyama.\SHAKE SHAKE\Was planning to do just that\On the way home, Mr. Hayashida bought me a steamed meat bun,\explaining it as his pride as a teacher.\And then he accused me of being out of step and stubborn. response:	And then he patted me on the back.
context: with your bank book and having a budget committee for another family...\I thought they might slam the door in your face, Kiriyama.\SHAKE SHAKE\Was planning to do just that\On the way home, Mr. Hayashida bought me a steamed meat bun,\explaining it as his pride as a teacher.\And then he accused me of being out of step and stubborn.\And then he patted me on the back. response:	Wanting to be needed. Therefore, wanting to be strong.
context: I thought they might slam the door in your face, Kiriyama.\SHAKE SHAKE\Was planning to do just that\On the way home, Mr. Hayashida bought me a steamed meat bun,\explaining it as his pride as a teacher.\And then he accused me of being out of step and stubborn.\And then he patted me on the back.\Wanting to be needed. Therefore, wanting to be strong. response:	He said, What's so wrong with that?
context: SHAKE SHAKE\Was planning to do just that\On the way home, Mr. Hayashida bought me a steamed meat bun,\explaining it as his pride as a teacher.\And then he accused me of being out of step and stubborn.\And then he patted me on the back.\Wanting to be needed. Therefore, wanting to be strong.\He said, What's so wrong with that? response:	The calm mind is the way
context: Was planning to do just that\On the way home, Mr. Hayashida bought me a steamed meat bun,\explaining it as his pride as a teacher.\And then he accused me of being out of step and stubborn.\And then he patted me on the back.\Wanting to be needed. Therefore, wanting to be strong.\He said, What's so wrong with that?\The calm mind is the way response:	He said, First, all you can do...
context: On the way home, Mr. Hayashida bought me a steamed meat bun,\explaining it as his pride as a teacher.\And then he accused me of being out of step and stubborn.\And then he patted me on the back.\Wanting to be needed. Therefore, wanting to be strong.\He said, What's so wrong with that?\The calm mind is the way\He said, First, all you can do... response:	Let's have a good game.
context: explaining it as his pride as a teacher.\And then he accused me of being out of step and stubborn.\And then he patted me on the back.\Wanting to be needed. Therefore, wanting to be strong.\He said, What's so wrong with that?\The calm mind is the way\He said, First, all you can do...\Let's have a good game. response:	He told me to take a deep breath,
context: And then he accused me of being out of step and stubborn.\And then he patted me on the back.\Wanting to be needed. Therefore, wanting to be strong.\He said, What's so wrong with that?\The calm mind is the way\He said, First, all you can do...\Let's have a good game.\He told me to take a deep breath, response:	then start walking, a step at a time.
context: And then he patted me on the back.\Wanting to be needed. Therefore, wanting to be strong.\He said, What's so wrong with that?\The calm mind is the way\He said, First, all you can do...\Let's have a good game.\He told me to take a deep breath,\then start walking, a step at a time. response:	I lost.
context: Wanting to be needed. Therefore, wanting to be strong.\He said, What's so wrong with that?\The calm mind is the way\He said, First, all you can do...\Let's have a good game.\He told me to take a deep breath,\then start walking, a step at a time.\I lost. response:	Thank you.
context: He said, What's so wrong with that?\The calm mind is the way\He said, First, all you can do...\Let's have a good game.\He told me to take a deep breath,\then start walking, a step at a time.\I lost.\Thank you. response:	Hey, Kiriyama.
context: The calm mind is the way\He said, First, all you can do...\Let's have a good game.\He told me to take a deep breath,\then start walking, a step at a time.\I lost.\Thank you.\Hey, Kiriyama. response:	Oh, Mr. Yokomizo.
context: He said, First, all you can do...\Let's have a good game.\He told me to take a deep breath,\then start walking, a step at a time.\I lost.\Thank you.\Hey, Kiriyama.\Oh, Mr. Yokomizo. response:	Kishou Battle Rei Kiriyama Ichirou Morita
context: Let's have a good game.\He told me to take a deep breath,\then start walking, a step at a time.\I lost.\Thank you.\Hey, Kiriyama.\Oh, Mr. Yokomizo.\Kishou Battle Rei Kiriyama Ichirou Morita response:	Kiryu Battle Keita Kurasawa Santa Mine
context: He told me to take a deep breath,\then start walking, a step at a time.\I lost.\Thank you.\Hey, Kiriyama.\Oh, Mr. Yokomizo.\Kishou Battle Rei Kiriyama Ichirou Morita\Kiryu Battle Keita Kurasawa Santa Mine response:	Three white stars. You're in fine form.
context: then start walking, a step at a time.\I lost.\Thank you.\Hey, Kiriyama.\Oh, Mr. Yokomizo.\Kishou Battle Rei Kiriyama Ichirou Morita\Kiryu Battle Keita Kurasawa Santa Mine\Three white stars. You're in fine form. response:	Thank you.
context: I lost.\Thank you.\Hey, Kiriyama.\Oh, Mr. Yokomizo.\Kishou Battle Rei Kiriyama Ichirou Morita\Kiryu Battle Keita Kurasawa Santa Mine\Three white stars. You're in fine form.\Thank you. response:	So your opponent in the Newcomer Tournament finals is Junkei Yamazaki, huh?
context: Thank you.\Hey, Kiriyama.\Oh, Mr. Yokomizo.\Kishou Battle Rei Kiriyama Ichirou Morita\Kiryu Battle Keita Kurasawa Santa Mine\Three white stars. You're in fine form.\Thank you.\So your opponent in the Newcomer Tournament finals is Junkei Yamazaki, huh? response:	Good luck. Do it for Nikaidou too.
context: Hey, Kiriyama.\Oh, Mr. Yokomizo.\Kishou Battle Rei Kiriyama Ichirou Morita\Kiryu Battle Keita Kurasawa Santa Mine\Three white stars. You're in fine form.\Thank you.\So your opponent in the Newcomer Tournament finals is Junkei Yamazaki, huh?\Good luck. Do it for Nikaidou too. response:	I will.
