context: Hmm... response:	Hey, are we really going...
context: You get normal ingredients,\and you cook them just as in the real world.\And the cook must have a subclass set to chef.\And if their cooking skill isn't high enough, they'll fail.\That's all.\The trick is that there is no trick.\So you just cook it yourself, instead of using the command menu?\That's all? response:	I believe this discovery has a number of implications.
context: and you cook them just as in the real world.\And the cook must have a subclass set to chef.\And if their cooking skill isn't high enough, they'll fail.\That's all.\The trick is that there is no trick.\So you just cook it yourself, instead of using the command menu?\That's all?\I believe this discovery has a number of implications. response:	Without it, I never would have thought to gather you all here.
context: And the cook must have a subclass set to chef.\And if their cooking skill isn't high enough, they'll fail.\That's all.\The trick is that there is no trick.\So you just cook it yourself, instead of using the command menu?\That's all?\I believe this discovery has a number of implications.\Without it, I never would have thought to gather you all here. response:	Michitaka?
context: And if their cooking skill isn't high enough, they'll fail.\That's all.\The trick is that there is no trick.\So you just cook it yourself, instead of using the command menu?\That's all?\I believe this discovery has a number of implications.\Without it, I never would have thought to gather you all here.\Michitaka? response:	Yes...
context: That's all.\The trick is that there is no trick.\So you just cook it yourself, instead of using the command menu?\That's all?\I believe this discovery has a number of implications.\Without it, I never would have thought to gather you all here.\Michitaka?\Yes... response:	In conjunction with the Roderic Merchant Guild and Shopping Street 8,
context: The trick is that there is no trick.\So you just cook it yourself, instead of using the command menu?\That's all?\I believe this discovery has a number of implications.\Without it, I never would have thought to gather you all here.\Michitaka?\Yes...\In conjunction with the Roderic Merchant Guild and Shopping Street 8, response:	our guild has successfully created a steam engine.
context: So you just cook it yourself, instead of using the command menu?\That's all?\I believe this discovery has a number of implications.\Without it, I never would have thought to gather you all here.\Michitaka?\Yes...\In conjunction with the Roderic Merchant Guild and Shopping Street 8,\our guild has successfully created a steam engine. response:	A prototype, to be precise.
context: That's all?\I believe this discovery has a number of implications.\Without it, I never would have thought to gather you all here.\Michitaka?\Yes...\In conjunction with the Roderic Merchant Guild and Shopping Street 8,\our guild has successfully created a steam engine.\A prototype, to be precise. response:	It still has many flaws,
context: I believe this discovery has a number of implications.\Without it, I never would have thought to gather you all here.\Michitaka?\Yes...\In conjunction with the Roderic Merchant Guild and Shopping Street 8,\our guild has successfully created a steam engine.\A prototype, to be precise.\It still has many flaws, response:	but it's a proof of concept.
context: Without it, I never would have thought to gather you all here.\Michitaka?\Yes...\In conjunction with the Roderic Merchant Guild and Shopping Street 8,\our guild has successfully created a steam engine.\A prototype, to be precise.\It still has many flaws,\but it's a proof of concept. response:	It's amazing you did that in fewer than twelve hours.
context: Michitaka?\Yes...\In conjunction with the Roderic Merchant Guild and Shopping Street 8,\our guild has successfully created a steam engine.\A prototype, to be precise.\It still has many flaws,\but it's a proof of concept.\It's amazing you did that in fewer than twelve hours. response:	Wait... What does that mean, exactly?
context: Yes...\In conjunction with the Roderic Merchant Guild and Shopping Street 8,\our guild has successfully created a steam engine.\A prototype, to be precise.\It still has many flaws,\but it's a proof of concept.\It's amazing you did that in fewer than twelve hours.\Wait... What does that mean, exactly? response:	It means the secret you've just learned about cooking is not, in fact, limited to cooking.
context: In conjunction with the Roderic Merchant Guild and Shopping Street 8,\our guild has successfully created a steam engine.\A prototype, to be precise.\It still has many flaws,\but it's a proof of concept.\It's amazing you did that in fewer than twelve hours.\Wait... What does that mean, exactly?\It means the secret you've just learned about cooking is not, in fact, limited to cooking. response:	When it was a game, Elder Tale had no steam engines.
context: our guild has successfully created a steam engine.\A prototype, to be precise.\It still has many flaws,\but it's a proof of concept.\It's amazing you did that in fewer than twelve hours.\Wait... What does that mean, exactly?\It means the secret you've just learned about cooking is not, in fact, limited to cooking.\When it was a game, Elder Tale had no steam engines. response:	However,
context: A prototype, to be precise.\It still has many flaws,\but it's a proof of concept.\It's amazing you did that in fewer than twelve hours.\Wait... What does that mean, exactly?\It means the secret you've just learned about cooking is not, in fact, limited to cooking.\When it was a game, Elder Tale had no steam engines.\However, response:	a player with sufficient crafting skill
context: It still has many flaws,\but it's a proof of concept.\It's amazing you did that in fewer than twelve hours.\Wait... What does that mean, exactly?\It means the secret you've just learned about cooking is not, in fact, limited to cooking.\When it was a game, Elder Tale had no steam engines.\However,\a player with sufficient crafting skill response:	can take this world's materials and, without using the command menu,
context: but it's a proof of concept.\It's amazing you did that in fewer than twelve hours.\Wait... What does that mean, exactly?\It means the secret you've just learned about cooking is not, in fact, limited to cooking.\When it was a game, Elder Tale had no steam engines.\However,\a player with sufficient crafting skill\can take this world's materials and, without using the command menu, response:	but with their own hands...
context: It's amazing you did that in fewer than twelve hours.\Wait... What does that mean, exactly?\It means the secret you've just learned about cooking is not, in fact, limited to cooking.\When it was a game, Elder Tale had no steam engines.\However,\a player with sufficient crafting skill\can take this world's materials and, without using the command menu,\but with their own hands... response:	They can invent things that weren't originally part of this world.
context: Wait... What does that mean, exactly?\It means the secret you've just learned about cooking is not, in fact, limited to cooking.\When it was a game, Elder Tale had no steam engines.\However,\a player with sufficient crafting skill\can take this world's materials and, without using the command menu,\but with their own hands...\They can invent things that weren't originally part of this world. response:	This is a Steam Engine!!
context: It means the secret you've just learned about cooking is not, in fact, limited to cooking.\When it was a game, Elder Tale had no steam engines.\However,\a player with sufficient crafting skill\can take this world's materials and, without using the command menu,\but with their own hands...\They can invent things that weren't originally part of this world.\This is a Steam Engine!! response:	So now, there'll be a rush to invent things.
context: When it was a game, Elder Tale had no steam engines.\However,\a player with sufficient crafting skill\can take this world's materials and, without using the command menu,\but with their own hands...\They can invent things that weren't originally part of this world.\This is a Steam Engine!!\So now, there'll be a rush to invent things. response:	And that means a demand for new products.
context: However,\a player with sufficient crafting skill\can take this world's materials and, without using the command menu,\but with their own hands...\They can invent things that weren't originally part of this world.\This is a Steam Engine!!\So now, there'll be a rush to invent things.\And that means a demand for new products. response:	And purchasing them will require earning money.
context: a player with sufficient crafting skill\can take this world's materials and, without using the command menu,\but with their own hands...\They can invent things that weren't originally part of this world.\This is a Steam Engine!!\So now, there'll be a rush to invent things.\And that means a demand for new products.\And purchasing them will require earning money. response:	That will get the economy running...
context: can take this world's materials and, without using the command menu,\but with their own hands...\They can invent things that weren't originally part of this world.\This is a Steam Engine!!\So now, there'll be a rush to invent things.\And that means a demand for new products.\And purchasing them will require earning money.\That will get the economy running... response:	In light of this,
context: but with their own hands...\They can invent things that weren't originally part of this world.\This is a Steam Engine!!\So now, there'll be a rush to invent things.\And that means a demand for new products.\And purchasing them will require earning money.\That will get the economy running...\In light of this, response:	we, the three major crafting guilds,
context: They can invent things that weren't originally part of this world.\This is a Steam Engine!!\So now, there'll be a rush to invent things.\And that means a demand for new products.\And purchasing them will require earning money.\That will get the economy running...\In light of this,\we, the three major crafting guilds, response:	support the creation of the Round Table Conference!
context: This is a Steam Engine!!\So now, there'll be a rush to invent things.\And that means a demand for new products.\And purchasing them will require earning money.\That will get the economy running...\In light of this,\we, the three major crafting guilds,\support the creation of the Round Table Conference! response:	That's three...
context: So now, there'll be a rush to invent things.\And that means a demand for new products.\And purchasing them will require earning money.\That will get the economy running...\In light of this,\we, the three major crafting guilds,\support the creation of the Round Table Conference!\That's three... response:	Part of the reason the town feels so dead is simple despair,
context: And that means a demand for new products.\And purchasing them will require earning money.\That will get the economy running...\In light of this,\we, the three major crafting guilds,\support the creation of the Round Table Conference!\That's three...\Part of the reason the town feels so dead is simple despair, response:	but another problem is that people have nothing to do.
context: And purchasing them will require earning money.\That will get the economy running...\In light of this,\we, the three major crafting guilds,\support the creation of the Round Table Conference!\That's three...\Part of the reason the town feels so dead is simple despair,\but another problem is that people have nothing to do. response:	Surviving in this world costs too little money.
context: That will get the economy running...\In light of this,\we, the three major crafting guilds,\support the creation of the Round Table Conference!\That's three...\Part of the reason the town feels so dead is simple despair,\but another problem is that people have nothing to do.\Surviving in this world costs too little money. response:	Wouldn't it be better to use some money,
context: In light of this,\we, the three major crafting guilds,\support the creation of the Round Table Conference!\That's three...\Part of the reason the town feels so dead is simple despair,\but another problem is that people have nothing to do.\Surviving in this world costs too little money.\Wouldn't it be better to use some money, response:	then go earn more, so you can then spend that?
context: we, the three major crafting guilds,\support the creation of the Round Table Conference!\That's three...\Part of the reason the town feels so dead is simple despair,\but another problem is that people have nothing to do.\Surviving in this world costs too little money.\Wouldn't it be better to use some money,\then go earn more, so you can then spend that? response:	To get money and crafting materials,
context: support the creation of the Round Table Conference!\That's three...\Part of the reason the town feels so dead is simple despair,\but another problem is that people have nothing to do.\Surviving in this world costs too little money.\Wouldn't it be better to use some money,\then go earn more, so you can then spend that?\To get money and crafting materials, response:	activities such as hunting become necessary.
context: That's three...\Part of the reason the town feels so dead is simple despair,\but another problem is that people have nothing to do.\Surviving in this world costs too little money.\Wouldn't it be better to use some money,\then go earn more, so you can then spend that?\To get money and crafting materials,\activities such as hunting become necessary. response:	That would give the combat guilds more work, as bodyguards.
context: Part of the reason the town feels so dead is simple despair,\but another problem is that people have nothing to do.\Surviving in this world costs too little money.\Wouldn't it be better to use some money,\then go earn more, so you can then spend that?\To get money and crafting materials,\activities such as hunting become necessary.\That would give the combat guilds more work, as bodyguards. response:	The next problem is safety.
context: but another problem is that people have nothing to do.\Surviving in this world costs too little money.\Wouldn't it be better to use some money,\then go earn more, so you can then spend that?\To get money and crafting materials,\activities such as hunting become necessary.\That would give the combat guilds more work, as bodyguards.\The next problem is safety. response:	The laws don't have to be that strict.
context: Surviving in this world costs too little money.\Wouldn't it be better to use some money,\then go earn more, so you can then spend that?\To get money and crafting materials,\activities such as hunting become necessary.\That would give the combat guilds more work, as bodyguards.\The next problem is safety.\The laws don't have to be that strict. response:	If you consider fights over territory and hunting grounds
context: Wouldn't it be better to use some money,\then go earn more, so you can then spend that?\To get money and crafting materials,\activities such as hunting become necessary.\That would give the combat guilds more work, as bodyguards.\The next problem is safety.\The laws don't have to be that strict.\If you consider fights over territory and hunting grounds response:	to be simply another form of competition,
context: then go earn more, so you can then spend that?\To get money and crafting materials,\activities such as hunting become necessary.\That would give the combat guilds more work, as bodyguards.\The next problem is safety.\The laws don't have to be that strict.\If you consider fights over territory and hunting grounds\to be simply another form of competition, response:	there isn't any need to ban them outright.
context: To get money and crafting materials,\activities such as hunting become necessary.\That would give the combat guilds more work, as bodyguards.\The next problem is safety.\The laws don't have to be that strict.\If you consider fights over territory and hunting grounds\to be simply another form of competition,\there isn't any need to ban them outright. response:	That's right.
context: activities such as hunting become necessary.\That would give the combat guilds more work, as bodyguards.\The next problem is safety.\The laws don't have to be that strict.\If you consider fights over territory and hunting grounds\to be simply another form of competition,\there isn't any need to ban them outright.\That's right. response:	However,
context: That would give the combat guilds more work, as bodyguards.\The next problem is safety.\The laws don't have to be that strict.\If you consider fights over territory and hunting grounds\to be simply another form of competition,\there isn't any need to ban them outright.\That's right.\However, response:	certain things go too far, and will need banning.
context: The next problem is safety.\The laws don't have to be that strict.\If you consider fights over territory and hunting grounds\to be simply another form of competition,\there isn't any need to ban them outright.\That's right.\However,\certain things go too far, and will need banning. response:	PKing, for instance.
context: The laws don't have to be that strict.\If you consider fights over territory and hunting grounds\to be simply another form of competition,\there isn't any need to ban them outright.\That's right.\However,\certain things go too far, and will need banning.\PKing, for instance. response:	Why don't we forbid player killing within the lower level zones around Akihabara?
context: If you consider fights over territory and hunting grounds\to be simply another form of competition,\there isn't any need to ban them outright.\That's right.\However,\certain things go too far, and will need banning.\PKing, for instance.\Why don't we forbid player killing within the lower level zones around Akihabara? response:	Certainly, there's no point in fighting players who are below level 50.
context: to be simply another form of competition,\there isn't any need to ban them outright.\That's right.\However,\certain things go too far, and will need banning.\PKing, for instance.\Why don't we forbid player killing within the lower level zones around Akihabara?\Certainly, there's no point in fighting players who are below level 50. response:	Our next issue is one of human rights.
context: there isn't any need to ban them outright.\That's right.\However,\certain things go too far, and will need banning.\PKing, for instance.\Why don't we forbid player killing within the lower level zones around Akihabara?\Certainly, there's no point in fighting players who are below level 50.\Our next issue is one of human rights. response:	I believe that, with death no longer an absolute,
context: That's right.\However,\certain things go too far, and will need banning.\PKing, for instance.\Why don't we forbid player killing within the lower level zones around Akihabara?\Certainly, there's no point in fighting players who are below level 50.\Our next issue is one of human rights.\I believe that, with death no longer an absolute, response:	kidnapping and imprisonment
context: However,\certain things go too far, and will need banning.\PKing, for instance.\Why don't we forbid player killing within the lower level zones around Akihabara?\Certainly, there's no point in fighting players who are below level 50.\Our next issue is one of human rights.\I believe that, with death no longer an absolute,\kidnapping and imprisonment response:	are far more serious crimes than they would have been in the old world.
context: certain things go too far, and will need banning.\PKing, for instance.\Why don't we forbid player killing within the lower level zones around Akihabara?\Certainly, there's no point in fighting players who are below level 50.\Our next issue is one of human rights.\I believe that, with death no longer an absolute,\kidnapping and imprisonment\are far more serious crimes than they would have been in the old world. response:	And leaving or joining a guild should be up to the individual.
context: PKing, for instance.\Why don't we forbid player killing within the lower level zones around Akihabara?\Certainly, there's no point in fighting players who are below level 50.\Our next issue is one of human rights.\I believe that, with death no longer an absolute,\kidnapping and imprisonment\are far more serious crimes than they would have been in the old world.\And leaving or joining a guild should be up to the individual. response:	I agree.
context: Why don't we forbid player killing within the lower level zones around Akihabara?\Certainly, there's no point in fighting players who are below level 50.\Our next issue is one of human rights.\I believe that, with death no longer an absolute,\kidnapping and imprisonment\are far more serious crimes than they would have been in the old world.\And leaving or joining a guild should be up to the individual.\I agree. response:	My final suggestion is this...
context: Certainly, there's no point in fighting players who are below level 50.\Our next issue is one of human rights.\I believe that, with death no longer an absolute,\kidnapping and imprisonment\are far more serious crimes than they would have been in the old world.\And leaving or joining a guild should be up to the individual.\I agree.\My final suggestion is this... response:	That these human rights apply not only to us adventurers,
context: Our next issue is one of human rights.\I believe that, with death no longer an absolute,\kidnapping and imprisonment\are far more serious crimes than they would have been in the old world.\And leaving or joining a guild should be up to the individual.\I agree.\My final suggestion is this...\That these human rights apply not only to us adventurers, response:	but also to the People of the Land.
context: I believe that, with death no longer an absolute,\kidnapping and imprisonment\are far more serious crimes than they would have been in the old world.\And leaving or joining a guild should be up to the individual.\I agree.\My final suggestion is this...\That these human rights apply not only to us adventurers,\but also to the People of the Land. response:	Huh?
context: kidnapping and imprisonment\are far more serious crimes than they would have been in the old world.\And leaving or joining a guild should be up to the individual.\I agree.\My final suggestion is this...\That these human rights apply not only to us adventurers,\but also to the People of the Land.\Huh? response:	This isn't the Elder Tale that we knew.
context: are far more serious crimes than they would have been in the old world.\And leaving or joining a guild should be up to the individual.\I agree.\My final suggestion is this...\That these human rights apply not only to us adventurers,\but also to the People of the Land.\Huh?\This isn't the Elder Tale that we knew. response:	The cooking and inventions prove that.
context: And leaving or joining a guild should be up to the individual.\I agree.\My final suggestion is this...\That these human rights apply not only to us adventurers,\but also to the People of the Land.\Huh?\This isn't the Elder Tale that we knew.\The cooking and inventions prove that. response:	That's true, but...
context: I agree.\My final suggestion is this...\That these human rights apply not only to us adventurers,\but also to the People of the Land.\Huh?\This isn't the Elder Tale that we knew.\The cooking and inventions prove that.\That's true, but... response:	It's certainly influenced by Elder Tale.
context: My final suggestion is this...\That these human rights apply not only to us adventurers,\but also to the People of the Land.\Huh?\This isn't the Elder Tale that we knew.\The cooking and inventions prove that.\That's true, but...\It's certainly influenced by Elder Tale. response:	But this is a different world than the one we used to know.
context: That these human rights apply not only to us adventurers,\but also to the People of the Land.\Huh?\This isn't the Elder Tale that we knew.\The cooking and inventions prove that.\That's true, but...\It's certainly influenced by Elder Tale.\But this is a different world than the one we used to know. response:	We must keep that in mind at all times.
context: but also to the People of the Land.\Huh?\This isn't the Elder Tale that we knew.\The cooking and inventions prove that.\That's true, but...\It's certainly influenced by Elder Tale.\But this is a different world than the one we used to know.\We must keep that in mind at all times. response:	And the People of the Land are this world's original residents.
context: Huh?\This isn't the Elder Tale that we knew.\The cooking and inventions prove that.\That's true, but...\It's certainly influenced by Elder Tale.\But this is a different world than the one we used to know.\We must keep that in mind at all times.\And the People of the Land are this world's original residents. response:	We're the outsiders, and we're in the vast minority.
context: This isn't the Elder Tale that we knew.\The cooking and inventions prove that.\That's true, but...\It's certainly influenced by Elder Tale.\But this is a different world than the one we used to know.\We must keep that in mind at all times.\And the People of the Land are this world's original residents.\We're the outsiders, and we're in the vast minority. response:	So they aren't simply non-player characters?
context: The cooking and inventions prove that.\That's true, but...\It's certainly influenced by Elder Tale.\But this is a different world than the one we used to know.\We must keep that in mind at all times.\And the People of the Land are this world's original residents.\We're the outsiders, and we're in the vast minority.\So they aren't simply non-player characters? response:	Correct.
context: That's true, but...\It's certainly influenced by Elder Tale.\But this is a different world than the one we used to know.\We must keep that in mind at all times.\And the People of the Land are this world's original residents.\We're the outsiders, and we're in the vast minority.\So they aren't simply non-player characters?\Correct. response:	Each has their own personality, concerns, and dreams...
context: It's certainly influenced by Elder Tale.\But this is a different world than the one we used to know.\We must keep that in mind at all times.\And the People of the Land are this world's original residents.\We're the outsiders, and we're in the vast minority.\So they aren't simply non-player characters?\Correct.\Each has their own personality, concerns, and dreams... response:	That's idiocy.
context: But this is a different world than the one we used to know.\We must keep that in mind at all times.\And the People of the Land are this world's original residents.\We're the outsiders, and we're in the vast minority.\So they aren't simply non-player characters?\Correct.\Each has their own personality, concerns, and dreams...\That's idiocy. response:	Have you ever spoken with any of them?
context: We must keep that in mind at all times.\And the People of the Land are this world's original residents.\We're the outsiders, and we're in the vast minority.\So they aren't simply non-player characters?\Correct.\Each has their own personality, concerns, and dreams...\That's idiocy.\Have you ever spoken with any of them? response:	Why would I?
context: And the People of the Land are this world's original residents.\We're the outsiders, and we're in the vast minority.\So they aren't simply non-player characters?\Correct.\Each has their own personality, concerns, and dreams...\That's idiocy.\Have you ever spoken with any of them?\Why would I? response:	M-May I say something?
context: We're the outsiders, and we're in the vast minority.\So they aren't simply non-player characters?\Correct.\Each has their own personality, concerns, and dreams...\That's idiocy.\Have you ever spoken with any of them?\Why would I?\M-May I say something? response:	It isn't only adventurers who come to Crescent Moon.
context: So they aren't simply non-player characters?\Correct.\Each has their own personality, concerns, and dreams...\That's idiocy.\Have you ever spoken with any of them?\Why would I?\M-May I say something?\It isn't only adventurers who come to Crescent Moon. response:	Many People of the Land do, too.
context: Correct.\Each has their own personality, concerns, and dreams...\That's idiocy.\Have you ever spoken with any of them?\Why would I?\M-May I say something?\It isn't only adventurers who come to Crescent Moon.\Many People of the Land do, too. response:	They desire good food, as well.
context: Each has their own personality, concerns, and dreams...\That's idiocy.\Have you ever spoken with any of them?\Why would I?\M-May I say something?\It isn't only adventurers who come to Crescent Moon.\Many People of the Land do, too.\They desire good food, as well. response:	Many People of the Land work in the market or the Guild Building.
context: That's idiocy.\Have you ever spoken with any of them?\Why would I?\M-May I say something?\It isn't only adventurers who come to Crescent Moon.\Many People of the Land do, too.\They desire good food, as well.\Many People of the Land work in the market or the Guild Building. response:	We can't get by without them,
context: Have you ever spoken with any of them?\Why would I?\M-May I say something?\It isn't only adventurers who come to Crescent Moon.\Many People of the Land do, too.\They desire good food, as well.\Many People of the Land work in the market or the Guild Building.\We can't get by without them, response:	but they would probably be perfectly fine without us.
context: Why would I?\M-May I say something?\It isn't only adventurers who come to Crescent Moon.\Many People of the Land do, too.\They desire good food, as well.\Many People of the Land work in the market or the Guild Building.\We can't get by without them,\but they would probably be perfectly fine without us. response:	If we cannot govern ourselves, then before too long,
context: M-May I say something?\It isn't only adventurers who come to Crescent Moon.\Many People of the Land do, too.\They desire good food, as well.\Many People of the Land work in the market or the Guild Building.\We can't get by without them,\but they would probably be perfectly fine without us.\If we cannot govern ourselves, then before too long, response:	relations with them will be damaged beyond repair.
context: It isn't only adventurers who come to Crescent Moon.\Many People of the Land do, too.\They desire good food, as well.\Many People of the Land work in the market or the Guild Building.\We can't get by without them,\but they would probably be perfectly fine without us.\If we cannot govern ourselves, then before too long,\relations with them will be damaged beyond repair. response:	Are you implying
context: Many People of the Land do, too.\They desire good food, as well.\Many People of the Land work in the market or the Guild Building.\We can't get by without them,\but they would probably be perfectly fine without us.\If we cannot govern ourselves, then before too long,\relations with them will be damaged beyond repair.\Are you implying response:	there's a possibility of war with the People of the Land?
context: They desire good food, as well.\Many People of the Land work in the market or the Guild Building.\We can't get by without them,\but they would probably be perfectly fine without us.\If we cannot govern ourselves, then before too long,\relations with them will be damaged beyond repair.\Are you implying\there's a possibility of war with the People of the Land? response:	I think that's a question for the Round Table.
context: Many People of the Land work in the market or the Guild Building.\We can't get by without them,\but they would probably be perfectly fine without us.\If we cannot govern ourselves, then before too long,\relations with them will be damaged beyond repair.\Are you implying\there's a possibility of war with the People of the Land?\I think that's a question for the Round Table. response:	and will participate.
