context: We've received word that Claw, the esper terrorist organization, response:	has barricaded itself in the Seasoning Cultural Tower.
context: He had the ability to instantly travel wherever he wanted.\And, according to the news, he can also predict people's movements.\Well, that's not really fair.\How can one person have two overpowered abilities like that?\Did you end up with a high fever because of your opponent's ability?\No, this is just from the shock of losing.\I also got a fever when I lost to Kageyama-kun\and had nightmares for three days and nights. response:	This guy sounds like bad news.
context: And, according to the news, he can also predict people's movements.\Well, that's not really fair.\How can one person have two overpowered abilities like that?\Did you end up with a high fever because of your opponent's ability?\No, this is just from the shock of losing.\I also got a fever when I lost to Kageyama-kun\and had nightmares for three days and nights.\This guy sounds like bad news. response:	Do you think they have more like him?
context: Well, that's not really fair.\How can one person have two overpowered abilities like that?\Did you end up with a high fever because of your opponent's ability?\No, this is just from the shock of losing.\I also got a fever when I lost to Kageyama-kun\and had nightmares for three days and nights.\This guy sounds like bad news.\Do you think they have more like him? response:	I was always confident I could take anyone on.
context: How can one person have two overpowered abilities like that?\Did you end up with a high fever because of your opponent's ability?\No, this is just from the shock of losing.\I also got a fever when I lost to Kageyama-kun\and had nightmares for three days and nights.\This guy sounds like bad news.\Do you think they have more like him?\I was always confident I could take anyone on. response:	But now... I don't know what to think.
context: Did you end up with a high fever because of your opponent's ability?\No, this is just from the shock of losing.\I also got a fever when I lost to Kageyama-kun\and had nightmares for three days and nights.\This guy sounds like bad news.\Do you think they have more like him?\I was always confident I could take anyone on.\But now... I don't know what to think. response:	(Get ready, wake your psyche up, MOB!)
context: No, this is just from the shock of losing.\I also got a fever when I lost to Kageyama-kun\and had nightmares for three days and nights.\This guy sounds like bad news.\Do you think they have more like him?\I was always confident I could take anyone on.\But now... I don't know what to think.\(Get ready, wake your psyche up, MOB!) response:	(Get ready, dig your anger up, MOB!)
context: I also got a fever when I lost to Kageyama-kun\and had nightmares for three days and nights.\This guy sounds like bad news.\Do you think they have more like him?\I was always confident I could take anyone on.\But now... I don't know what to think.\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!) response:	(Get ready, wake your psyche up, MOB!)
context: and had nightmares for three days and nights.\This guy sounds like bad news.\Do you think they have more like him?\I was always confident I could take anyone on.\But now... I don't know what to think.\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!) response:	(Get ready!)
context: This guy sounds like bad news.\Do you think they have more like him?\I was always confident I could take anyone on.\But now... I don't know what to think.\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!) response:	Coming down, could you fill your satisfaction?
context: Do you think they have more like him?\I was always confident I could take anyone on.\But now... I don't know what to think.\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction? response:	You're a MOB. Can't you feel your own frustration?
context: I was always confident I could take anyone on.\But now... I don't know what to think.\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration? response:	Coming down, could you fill your satisfaction?
context: But now... I don't know what to think.\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction? response:	You're a MOB. What do you want to be?
context: (Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be? response:	Wear your overflowing emotions on your sleeve and break it down.
context: (Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down. response:	What do you see once you go beyond your limits?
context: (Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits? response:	(99.9! 99.9!)
context: (Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!) response:	The mysterious percentage.
context: Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage. response:	Cryin' my life, cryin' my psyche,
context: You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche, response:	cryin' my heart in such commonplaces!
context: Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces! response:	Is that your ideal? Is that your mind?
context: You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind? response:	It all begins when it hits 100.
context: Wear your overflowing emotions on your sleeve and break it down.\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100. response:	The MOB is alive. The MOB is high.
context: What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high. response:	The MOB is staying frustrated, aren't you?
context: (99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you? response:	Is that your ideal? Is that your mind? Right now...
context: The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now... response:	Your life is your own.
context: Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own. response:	(Get ready, wake your psyche up, MOB!)
context: cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!) response:	Mob Psycho
context: Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho response:	(Get ready, dig your anger up, MOB!)
context: It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!) response:	(Get ready, wake your psyche up, MOB!)
context: The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!) response:	(Get ready!)
context: The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!) response:	Collision Power Type
context: Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Collision Power Type response:	Why did we move away from the capital?
context: Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Collision Power Type\Why did we move away from the capital? response:	We could've just taken over the tallest building in Japan.
context: (Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Collision Power Type\Why did we move away from the capital?\We could've just taken over the tallest building in Japan. response:	There are two reasons.
context: Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Collision Power Type\Why did we move away from the capital?\We could've just taken over the tallest building in Japan.\There are two reasons. response:	The first reason is the omurice in the cafeteria here is to die for.
context: (Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Collision Power Type\Why did we move away from the capital?\We could've just taken over the tallest building in Japan.\There are two reasons.\The first reason is the omurice in the cafeteria here is to die for. response:	They use four eggs per serving.
context: (Get ready, wake your psyche up, MOB!)\(Get ready!)\Collision Power Type\Why did we move away from the capital?\We could've just taken over the tallest building in Japan.\There are two reasons.\The first reason is the omurice in the cafeteria here is to die for.\They use four eggs per serving. response:	The other reason is I'm from this city.
context: (Get ready!)\Collision Power Type\Why did we move away from the capital?\We could've just taken over the tallest building in Japan.\There are two reasons.\The first reason is the omurice in the cafeteria here is to die for.\They use four eggs per serving.\The other reason is I'm from this city. response:	I know this city so well, I can keenly monitor its changes.
context: Collision Power Type\Why did we move away from the capital?\We could've just taken over the tallest building in Japan.\There are two reasons.\The first reason is the omurice in the cafeteria here is to die for.\They use four eggs per serving.\The other reason is I'm from this city.\I know this city so well, I can keenly monitor its changes. response:	So this place is memorable to you?
context: Why did we move away from the capital?\We could've just taken over the tallest building in Japan.\There are two reasons.\The first reason is the omurice in the cafeteria here is to die for.\They use four eggs per serving.\The other reason is I'm from this city.\I know this city so well, I can keenly monitor its changes.\So this place is memorable to you? response:	Maybe your old friends still live here.
context: We could've just taken over the tallest building in Japan.\There are two reasons.\The first reason is the omurice in the cafeteria here is to die for.\They use four eggs per serving.\The other reason is I'm from this city.\I know this city so well, I can keenly monitor its changes.\So this place is memorable to you?\Maybe your old friends still live here. response:	Old friends and memories, huh? I can't think of any.
context: There are two reasons.\The first reason is the omurice in the cafeteria here is to die for.\They use four eggs per serving.\The other reason is I'm from this city.\I know this city so well, I can keenly monitor its changes.\So this place is memorable to you?\Maybe your old friends still live here.\Old friends and memories, huh? I can't think of any. response:	I actually don't mind if you destroy it all.
context: The first reason is the omurice in the cafeteria here is to die for.\They use four eggs per serving.\The other reason is I'm from this city.\I know this city so well, I can keenly monitor its changes.\So this place is memorable to you?\Maybe your old friends still live here.\Old friends and memories, huh? I can't think of any.\I actually don't mind if you destroy it all. response:	Really? Even though you remember the omurice?
context: They use four eggs per serving.\The other reason is I'm from this city.\I know this city so well, I can keenly monitor its changes.\So this place is memorable to you?\Maybe your old friends still live here.\Old friends and memories, huh? I can't think of any.\I actually don't mind if you destroy it all.\Really? Even though you remember the omurice? response:	Correct.
context: The other reason is I'm from this city.\I know this city so well, I can keenly monitor its changes.\So this place is memorable to you?\Maybe your old friends still live here.\Old friends and memories, huh? I can't think of any.\I actually don't mind if you destroy it all.\Really? Even though you remember the omurice?\Correct. response:	The special anti-terrorism squad has arrived.
context: I know this city so well, I can keenly monitor its changes.\So this place is memorable to you?\Maybe your old friends still live here.\Old friends and memories, huh? I can't think of any.\I actually don't mind if you destroy it all.\Really? Even though you remember the omurice?\Correct.\The special anti-terrorism squad has arrived. response:	We will now raid the Cultural Tower.
context: So this place is memorable to you?\Maybe your old friends still live here.\Old friends and memories, huh? I can't think of any.\I actually don't mind if you destroy it all.\Really? Even though you remember the omurice?\Correct.\The special anti-terrorism squad has arrived.\We will now raid the Cultural Tower. response:	Should I go?
context: Maybe your old friends still live here.\Old friends and memories, huh? I can't think of any.\I actually don't mind if you destroy it all.\Really? Even though you remember the omurice?\Correct.\The special anti-terrorism squad has arrived.\We will now raid the Cultural Tower.\Should I go? response:	There's no need.
context: Old friends and memories, huh? I can't think of any.\I actually don't mind if you destroy it all.\Really? Even though you remember the omurice?\Correct.\The special anti-terrorism squad has arrived.\We will now raid the Cultural Tower.\Should I go?\There's no need. response:	Every soldier from Claw HQ is plenty capable.
context: I actually don't mind if you destroy it all.\Really? Even though you remember the omurice?\Correct.\The special anti-terrorism squad has arrived.\We will now raid the Cultural Tower.\Should I go?\There's no need.\Every soldier from Claw HQ is plenty capable. response:	They aren't much inferior to the upper echelon, the Scars.
context: Really? Even though you remember the omurice?\Correct.\The special anti-terrorism squad has arrived.\We will now raid the Cultural Tower.\Should I go?\There's no need.\Every soldier from Claw HQ is plenty capable.\They aren't much inferior to the upper echelon, the Scars. response:	LP Gas
context: Correct.\The special anti-terrorism squad has arrived.\We will now raid the Cultural Tower.\Should I go?\There's no need.\Every soldier from Claw HQ is plenty capable.\They aren't much inferior to the upper echelon, the Scars.\LP Gas response:	Most of those guys are artificial espers, aren't they?
context: The special anti-terrorism squad has arrived.\We will now raid the Cultural Tower.\Should I go?\There's no need.\Every soldier from Claw HQ is plenty capable.\They aren't much inferior to the upper echelon, the Scars.\LP Gas\Most of those guys are artificial espers, aren't they? response:	When'd they become so strong?
context: We will now raid the Cultural Tower.\Should I go?\There's no need.\Every soldier from Claw HQ is plenty capable.\They aren't much inferior to the upper echelon, the Scars.\LP Gas\Most of those guys are artificial espers, aren't they?\When'd they become so strong? response:	These guys aren't human...
context: Should I go?\There's no need.\Every soldier from Claw HQ is plenty capable.\They aren't much inferior to the upper echelon, the Scars.\LP Gas\Most of those guys are artificial espers, aren't they?\When'd they become so strong?\These guys aren't human... response:	Hey, boss. Just out of curiosity...
context: There's no need.\Every soldier from Claw HQ is plenty capable.\They aren't much inferior to the upper echelon, the Scars.\LP Gas\Most of those guys are artificial espers, aren't they?\When'd they become so strong?\These guys aren't human...\Hey, boss. Just out of curiosity... response:	Did you do something to them?
context: Every soldier from Claw HQ is plenty capable.\They aren't much inferior to the upper echelon, the Scars.\LP Gas\Most of those guys are artificial espers, aren't they?\When'd they become so strong?\These guys aren't human...\Hey, boss. Just out of curiosity...\Did you do something to them? response:	A news helicopter, huh?
context: They aren't much inferior to the upper echelon, the Scars.\LP Gas\Most of those guys are artificial espers, aren't they?\When'd they become so strong?\These guys aren't human...\Hey, boss. Just out of curiosity...\Did you do something to them?\A news helicopter, huh? response:	You're a pain. Go away.
context: LP Gas\Most of those guys are artificial espers, aren't they?\When'd they become so strong?\These guys aren't human...\Hey, boss. Just out of curiosity...\Did you do something to them?\A news helicopter, huh?\You're a pain. Go away. response:	The controls aren't working!
context: Most of those guys are artificial espers, aren't they?\When'd they become so strong?\These guys aren't human...\Hey, boss. Just out of curiosity...\Did you do something to them?\A news helicopter, huh?\You're a pain. Go away.\The controls aren't working! response:	A malfunction?!
context: When'd they become so strong?\These guys aren't human...\Hey, boss. Just out of curiosity...\Did you do something to them?\A news helicopter, huh?\You're a pain. Go away.\The controls aren't working!\A malfunction?! response:	I'm not sure! It's gone out of control!
context: These guys aren't human...\Hey, boss. Just out of curiosity...\Did you do something to them?\A news helicopter, huh?\You're a pain. Go away.\The controls aren't working!\A malfunction?!\I'm not sure! It's gone out of control! response:	That's one big RC helicopter!
context: Hey, boss. Just out of curiosity...\Did you do something to them?\A news helicopter, huh?\You're a pain. Go away.\The controls aren't working!\A malfunction?!\I'm not sure! It's gone out of control!\That's one big RC helicopter! response:	Leave the fighter jets and missiles to Hatori.
context: Did you do something to them?\A news helicopter, huh?\You're a pain. Go away.\The controls aren't working!\A malfunction?!\I'm not sure! It's gone out of control!\That's one big RC helicopter!\Leave the fighter jets and missiles to Hatori. response:	I'll have Minegishi and Shibata go out into the town to expand our territory.
context: A news helicopter, huh?\You're a pain. Go away.\The controls aren't working!\A malfunction?!\I'm not sure! It's gone out of control!\That's one big RC helicopter!\Leave the fighter jets and missiles to Hatori.\I'll have Minegishi and Shibata go out into the town to expand our territory. response:	Serizawa and Shimazaki will defend this base.
context: You're a pain. Go away.\The controls aren't working!\A malfunction?!\I'm not sure! It's gone out of control!\That's one big RC helicopter!\Leave the fighter jets and missiles to Hatori.\I'll have Minegishi and Shibata go out into the town to expand our territory.\Serizawa and Shimazaki will defend this base. response:	We're going to show them just how powerful we are.
context: The controls aren't working!\A malfunction?!\I'm not sure! It's gone out of control!\That's one big RC helicopter!\Leave the fighter jets and missiles to Hatori.\I'll have Minegishi and Shibata go out into the town to expand our territory.\Serizawa and Shimazaki will defend this base.\We're going to show them just how powerful we are. response:	Go!
context: A malfunction?!\I'm not sure! It's gone out of control!\That's one big RC helicopter!\Leave the fighter jets and missiles to Hatori.\I'll have Minegishi and Shibata go out into the town to expand our territory.\Serizawa and Shimazaki will defend this base.\We're going to show them just how powerful we are.\Go! response:	No...
context: I'm not sure! It's gone out of control!\That's one big RC helicopter!\Leave the fighter jets and missiles to Hatori.\I'll have Minegishi and Shibata go out into the town to expand our territory.\Serizawa and Shimazaki will defend this base.\We're going to show them just how powerful we are.\Go!\No... response:	What is this?
context: That's one big RC helicopter!\Leave the fighter jets and missiles to Hatori.\I'll have Minegishi and Shibata go out into the town to expand our territory.\Serizawa and Shimazaki will defend this base.\We're going to show them just how powerful we are.\Go!\No...\What is this? response:	We can't do anything about this...
context: Leave the fighter jets and missiles to Hatori.\I'll have Minegishi and Shibata go out into the town to expand our territory.\Serizawa and Shimazaki will defend this base.\We're going to show them just how powerful we are.\Go!\No...\What is this?\We can't do anything about this... response:	What are we going to do, Reigen?
context: I'll have Minegishi and Shibata go out into the town to expand our territory.\Serizawa and Shimazaki will defend this base.\We're going to show them just how powerful we are.\Go!\No...\What is this?\We can't do anything about this...\What are we going to do, Reigen? response:	Hey! This is no time to be eating cup noodles!
context: Serizawa and Shimazaki will defend this base.\We're going to show them just how powerful we are.\Go!\No...\What is this?\We can't do anything about this...\What are we going to do, Reigen?\Hey! This is no time to be eating cup noodles! response:	Don't act like this ain't none of your business!
context: We're going to show them just how powerful we are.\Go!\No...\What is this?\We can't do anything about this...\What are we going to do, Reigen?\Hey! This is no time to be eating cup noodles!\Don't act like this ain't none of your business! response:	What are you talking about? Of course it's not.
context: Go!\No...\What is this?\We can't do anything about this...\What are we going to do, Reigen?\Hey! This is no time to be eating cup noodles!\Don't act like this ain't none of your business!\What are you talking about? Of course it's not. response:	Huh?
context: No...\What is this?\We can't do anything about this...\What are we going to do, Reigen?\Hey! This is no time to be eating cup noodles!\Don't act like this ain't none of your business!\What are you talking about? Of course it's not.\Huh? response:	We're not superheroes, and this is dangerous.
context: What is this?\We can't do anything about this...\What are we going to do, Reigen?\Hey! This is no time to be eating cup noodles!\Don't act like this ain't none of your business!\What are you talking about? Of course it's not.\Huh?\We're not superheroes, and this is dangerous. response:	It's best that we leave this to the police and JSDF.
context: We can't do anything about this...\What are we going to do, Reigen?\Hey! This is no time to be eating cup noodles!\Don't act like this ain't none of your business!\What are you talking about? Of course it's not.\Huh?\We're not superheroes, and this is dangerous.\It's best that we leave this to the police and JSDF. response:	What? Are you chickening out?
context: What are we going to do, Reigen?\Hey! This is no time to be eating cup noodles!\Don't act like this ain't none of your business!\What are you talking about? Of course it's not.\Huh?\We're not superheroes, and this is dangerous.\It's best that we leave this to the police and JSDF.\What? Are you chickening out? response:	What do you think we can even do against people like that?
context: Hey! This is no time to be eating cup noodles!\Don't act like this ain't none of your business!\What are you talking about? Of course it's not.\Huh?\We're not superheroes, and this is dangerous.\It's best that we leave this to the police and JSDF.\What? Are you chickening out?\What do you think we can even do against people like that? response:	Well...
context: Don't act like this ain't none of your business!\What are you talking about? Of course it's not.\Huh?\We're not superheroes, and this is dangerous.\It's best that we leave this to the police and JSDF.\What? Are you chickening out?\What do you think we can even do against people like that?\Well... response:	We all gathered here to ask you that, you dumbass.
context: What are you talking about? Of course it's not.\Huh?\We're not superheroes, and this is dangerous.\It's best that we leave this to the police and JSDF.\What? Are you chickening out?\What do you think we can even do against people like that?\Well...\We all gathered here to ask you that, you dumbass. response:	Then, here's my answer...
context: Huh?\We're not superheroes, and this is dangerous.\It's best that we leave this to the police and JSDF.\What? Are you chickening out?\What do you think we can even do against people like that?\Well...\We all gathered here to ask you that, you dumbass.\Then, here's my answer... response:	Meeting's over.
context: We're not superheroes, and this is dangerous.\It's best that we leave this to the police and JSDF.\What? Are you chickening out?\What do you think we can even do against people like that?\Well...\We all gathered here to ask you that, you dumbass.\Then, here's my answer...\Meeting's over. response:	I thought we might have a chance with Mob,
context: It's best that we leave this to the police and JSDF.\What? Are you chickening out?\What do you think we can even do against people like that?\Well...\We all gathered here to ask you that, you dumbass.\Then, here's my answer...\Meeting's over.\I thought we might have a chance with Mob, response:	but this is just too dangerous.
context: What? Are you chickening out?\What do you think we can even do against people like that?\Well...\We all gathered here to ask you that, you dumbass.\Then, here's my answer...\Meeting's over.\I thought we might have a chance with Mob,\but this is just too dangerous. response:	We'll have to lie low until things blow over.
context: What do you think we can even do against people like that?\Well...\We all gathered here to ask you that, you dumbass.\Then, here's my answer...\Meeting's over.\I thought we might have a chance with Mob,\but this is just too dangerous.\We'll have to lie low until things blow over. response:	Reigen-san...
context: Well...\We all gathered here to ask you that, you dumbass.\Then, here's my answer...\Meeting's over.\I thought we might have a chance with Mob,\but this is just too dangerous.\We'll have to lie low until things blow over.\Reigen-san... response:	I think that's the right decision.
context: We all gathered here to ask you that, you dumbass.\Then, here's my answer...\Meeting's over.\I thought we might have a chance with Mob,\but this is just too dangerous.\We'll have to lie low until things blow over.\Reigen-san...\I think that's the right decision. response:	I'm going. I'd rather make the first move than be on the run forever.
context: Then, here's my answer...\Meeting's over.\I thought we might have a chance with Mob,\but this is just too dangerous.\We'll have to lie low until things blow over.\Reigen-san...\I think that's the right decision.\I'm going. I'd rather make the first move than be on the run forever. response:	I'm going, too!
context: Meeting's over.\I thought we might have a chance with Mob,\but this is just too dangerous.\We'll have to lie low until things blow over.\Reigen-san...\I think that's the right decision.\I'm going. I'd rather make the first move than be on the run forever.\I'm going, too! response:	Same!
context: I thought we might have a chance with Mob,\but this is just too dangerous.\We'll have to lie low until things blow over.\Reigen-san...\I think that's the right decision.\I'm going. I'd rather make the first move than be on the run forever.\I'm going, too!\Same! response:	This battle is our chance to find a purpose for ourselves.
context: but this is just too dangerous.\We'll have to lie low until things blow over.\Reigen-san...\I think that's the right decision.\I'm going. I'd rather make the first move than be on the run forever.\I'm going, too!\Same!\This battle is our chance to find a purpose for ourselves. response:	Do whatever you want.
context: We'll have to lie low until things blow over.\Reigen-san...\I think that's the right decision.\I'm going. I'd rather make the first move than be on the run forever.\I'm going, too!\Same!\This battle is our chance to find a purpose for ourselves.\Do whatever you want. response:	Hello? Oh, you're calling about the fire insurance...
context: Reigen-san...\I think that's the right decision.\I'm going. I'd rather make the first move than be on the run forever.\I'm going, too!\Same!\This battle is our chance to find a purpose for ourselves.\Do whatever you want.\Hello? Oh, you're calling about the fire insurance... response:	Yes, that's right...
context: I think that's the right decision.\I'm going. I'd rather make the first move than be on the run forever.\I'm going, too!\Same!\This battle is our chance to find a purpose for ourselves.\Do whatever you want.\Hello? Oh, you're calling about the fire insurance...\Yes, that's right... response:	Huh? If you can't figure out the cause, there won't be any payout?
context: I'm going. I'd rather make the first move than be on the run forever.\I'm going, too!\Same!\This battle is our chance to find a purpose for ourselves.\Do whatever you want.\Hello? Oh, you're calling about the fire insurance...\Yes, that's right...\Huh? If you can't figure out the cause, there won't be any payout? response:	You couldn't find any kerosene or gas?
