context: If the heroes are fighting each other response:	instead of the Waves of Catastrophe,
context: What are you doing to Mel-chan?!\Mel-tan,\I need you to be my hostage.\The Rising of the Shield Hero\Hostage?\A Promise Made\What's the meaning of this?\Shield Hero, promise me. response:	Promise me you'll make up with the other heroes.
context: Mel-tan,\I need you to be my hostage.\The Rising of the Shield Hero\Hostage?\A Promise Made\What's the meaning of this?\Shield Hero, promise me.\Promise me you'll make up with the other heroes. response:	Let Mel-chan out of there!
context: I need you to be my hostage.\The Rising of the Shield Hero\Hostage?\A Promise Made\What's the meaning of this?\Shield Hero, promise me.\Promise me you'll make up with the other heroes.\Let Mel-chan out of there! response:	And if I don't,
context: The Rising of the Shield Hero\Hostage?\A Promise Made\What's the meaning of this?\Shield Hero, promise me.\Promise me you'll make up with the other heroes.\Let Mel-chan out of there!\And if I don't, response:	you're threatening to hurt Melty?
context: Hostage?\A Promise Made\What's the meaning of this?\Shield Hero, promise me.\Promise me you'll make up with the other heroes.\Let Mel-chan out of there!\And if I don't,\you're threatening to hurt Melty? response:	I thought I told you it wasn't happening!
context: A Promise Made\What's the meaning of this?\Shield Hero, promise me.\Promise me you'll make up with the other heroes.\Let Mel-chan out of there!\And if I don't,\you're threatening to hurt Melty?\I thought I told you it wasn't happening! response:	Even still, I must ask you to.
context: What's the meaning of this?\Shield Hero, promise me.\Promise me you'll make up with the other heroes.\Let Mel-chan out of there!\And if I don't,\you're threatening to hurt Melty?\I thought I told you it wasn't happening!\Even still, I must ask you to. response:	Why are you so obsessed with the heroes working together?
context: Shield Hero, promise me.\Promise me you'll make up with the other heroes.\Let Mel-chan out of there!\And if I don't,\you're threatening to hurt Melty?\I thought I told you it wasn't happening!\Even still, I must ask you to.\Why are you so obsessed with the heroes working together? response:	Because I made a promise to the hero who raised me.
context: Promise me you'll make up with the other heroes.\Let Mel-chan out of there!\And if I don't,\you're threatening to hurt Melty?\I thought I told you it wasn't happening!\Even still, I must ask you to.\Why are you so obsessed with the heroes working together?\Because I made a promise to the hero who raised me. response:	And because the heroes must cooperate
context: Let Mel-chan out of there!\And if I don't,\you're threatening to hurt Melty?\I thought I told you it wasn't happening!\Even still, I must ask you to.\Why are you so obsessed with the heroes working together?\Because I made a promise to the hero who raised me.\And because the heroes must cooperate response:	in order to save the world from the Waves.
context: And if I don't,\you're threatening to hurt Melty?\I thought I told you it wasn't happening!\Even still, I must ask you to.\Why are you so obsessed with the heroes working together?\Because I made a promise to the hero who raised me.\And because the heroes must cooperate\in order to save the world from the Waves. response:	Please.
context: you're threatening to hurt Melty?\I thought I told you it wasn't happening!\Even still, I must ask you to.\Why are you so obsessed with the heroes working together?\Because I made a promise to the hero who raised me.\And because the heroes must cooperate\in order to save the world from the Waves.\Please. response:	It doesn't matter how many times you ask.
context: I thought I told you it wasn't happening!\Even still, I must ask you to.\Why are you so obsessed with the heroes working together?\Because I made a promise to the hero who raised me.\And because the heroes must cooperate\in order to save the world from the Waves.\Please.\It doesn't matter how many times you ask. response:	I have no intention of reconciling with those morons.
context: Even still, I must ask you to.\Why are you so obsessed with the heroes working together?\Because I made a promise to the hero who raised me.\And because the heroes must cooperate\in order to save the world from the Waves.\Please.\It doesn't matter how many times you ask.\I have no intention of reconciling with those morons. response:	In that case, new heroes will have to be summoned.
context: Why are you so obsessed with the heroes working together?\Because I made a promise to the hero who raised me.\And because the heroes must cooperate\in order to save the world from the Waves.\Please.\It doesn't matter how many times you ask.\I have no intention of reconciling with those morons.\In that case, new heroes will have to be summoned. response:	And to enable that, I'll kill all the current heroes.
context: Because I made a promise to the hero who raised me.\And because the heroes must cooperate\in order to save the world from the Waves.\Please.\It doesn't matter how many times you ask.\I have no intention of reconciling with those morons.\In that case, new heroes will have to be summoned.\And to enable that, I'll kill all the current heroes. response:	So that's what you meant last night?
context: And because the heroes must cooperate\in order to save the world from the Waves.\Please.\It doesn't matter how many times you ask.\I have no intention of reconciling with those morons.\In that case, new heroes will have to be summoned.\And to enable that, I'll kill all the current heroes.\So that's what you meant last night? response:	That will help the world in the long run.
context: in order to save the world from the Waves.\Please.\It doesn't matter how many times you ask.\I have no intention of reconciling with those morons.\In that case, new heroes will have to be summoned.\And to enable that, I'll kill all the current heroes.\So that's what you meant last night?\That will help the world in the long run. response:	Yeah, doing that would be easy for her.
context: Please.\It doesn't matter how many times you ask.\I have no intention of reconciling with those morons.\In that case, new heroes will have to be summoned.\And to enable that, I'll kill all the current heroes.\So that's what you meant last night?\That will help the world in the long run.\Yeah, doing that would be easy for her. response:	Please reconcile with the other heroes.
context: It doesn't matter how many times you ask.\I have no intention of reconciling with those morons.\In that case, new heroes will have to be summoned.\And to enable that, I'll kill all the current heroes.\So that's what you meant last night?\That will help the world in the long run.\Yeah, doing that would be easy for her.\Please reconcile with the other heroes. response:	Even then,
context: I have no intention of reconciling with those morons.\In that case, new heroes will have to be summoned.\And to enable that, I'll kill all the current heroes.\So that's what you meant last night?\That will help the world in the long run.\Yeah, doing that would be easy for her.\Please reconcile with the other heroes.\Even then, response:	I can't do it.
context: In that case, new heroes will have to be summoned.\And to enable that, I'll kill all the current heroes.\So that's what you meant last night?\That will help the world in the long run.\Yeah, doing that would be easy for her.\Please reconcile with the other heroes.\Even then,\I can't do it. response:	You don't need to take Melty hostage.
context: And to enable that, I'll kill all the current heroes.\So that's what you meant last night?\That will help the world in the long run.\Yeah, doing that would be easy for her.\Please reconcile with the other heroes.\Even then,\I can't do it.\You don't need to take Melty hostage. response:	If you want to kill me, feel free.
context: So that's what you meant last night?\That will help the world in the long run.\Yeah, doing that would be easy for her.\Please reconcile with the other heroes.\Even then,\I can't do it.\You don't need to take Melty hostage.\If you want to kill me, feel free. response:	But...
context: That will help the world in the long run.\Yeah, doing that would be easy for her.\Please reconcile with the other heroes.\Even then,\I can't do it.\You don't need to take Melty hostage.\If you want to kill me, feel free.\But... response:	Naofumi!
context: Yeah, doing that would be easy for her.\Please reconcile with the other heroes.\Even then,\I can't do it.\You don't need to take Melty hostage.\If you want to kill me, feel free.\But...\Naofumi! response:	Naofumi-sama!
context: Please reconcile with the other heroes.\Even then,\I can't do it.\You don't need to take Melty hostage.\If you want to kill me, feel free.\But...\Naofumi!\Naofumi-sama! response:	Just know that I'm not going down without a fight!
context: Even then,\I can't do it.\You don't need to take Melty hostage.\If you want to kill me, feel free.\But...\Naofumi!\Naofumi-sama!\Just know that I'm not going down without a fight! response:	Don't.
context: I can't do it.\You don't need to take Melty hostage.\If you want to kill me, feel free.\But...\Naofumi!\Naofumi-sama!\Just know that I'm not going down without a fight!\Don't. response:	Detecting transformation jamming
context: You don't need to take Melty hostage.\If you want to kill me, feel free.\But...\Naofumi!\Naofumi-sama!\Just know that I'm not going down without a fight!\Don't.\Detecting transformation jamming response:	Not again!
context: If you want to kill me, feel free.\But...\Naofumi!\Naofumi-sama!\Just know that I'm not going down without a fight!\Don't.\Detecting transformation jamming\Not again! response:	I understand how you feel, Shield Hero.
context: But...\Naofumi!\Naofumi-sama!\Just know that I'm not going down without a fight!\Don't.\Detecting transformation jamming\Not again!\I understand how you feel, Shield Hero. response:	What?
context: Naofumi!\Naofumi-sama!\Just know that I'm not going down without a fight!\Don't.\Detecting transformation jamming\Not again!\I understand how you feel, Shield Hero.\What? response:	If that's how it is, prove to me that
context: Naofumi-sama!\Just know that I'm not going down without a fight!\Don't.\Detecting transformation jamming\Not again!\I understand how you feel, Shield Hero.\What?\If that's how it is, prove to me that response:	you and your party can fight the Waves alone.
context: Just know that I'm not going down without a fight!\Don't.\Detecting transformation jamming\Not again!\I understand how you feel, Shield Hero.\What?\If that's how it is, prove to me that\you and your party can fight the Waves alone. response:	Prove to you?
context: Don't.\Detecting transformation jamming\Not again!\I understand how you feel, Shield Hero.\What?\If that's how it is, prove to me that\you and your party can fight the Waves alone.\Prove to you? response:	How do we do that?
context: Detecting transformation jamming\Not again!\I understand how you feel, Shield Hero.\What?\If that's how it is, prove to me that\you and your party can fight the Waves alone.\Prove to you?\How do we do that? response:	By fighting you right here and now?
context: Not again!\I understand how you feel, Shield Hero.\What?\If that's how it is, prove to me that\you and your party can fight the Waves alone.\Prove to you?\How do we do that?\By fighting you right here and now? response:	Shield Hero, I more or less know how strong you are.
context: I understand how you feel, Shield Hero.\What?\If that's how it is, prove to me that\you and your party can fight the Waves alone.\Prove to you?\How do we do that?\By fighting you right here and now?\Shield Hero, I more or less know how strong you are. response:	I want a one-on-one with Filo.
context: What?\If that's how it is, prove to me that\you and your party can fight the Waves alone.\Prove to you?\How do we do that?\By fighting you right here and now?\Shield Hero, I more or less know how strong you are.\I want a one-on-one with Filo. response:	Me?
context: If that's how it is, prove to me that\you and your party can fight the Waves alone.\Prove to you?\How do we do that?\By fighting you right here and now?\Shield Hero, I more or less know how strong you are.\I want a one-on-one with Filo.\Me? response:	If you prove to me that you're strong, I'll release Mel-tan.
context: you and your party can fight the Waves alone.\Prove to you?\How do we do that?\By fighting you right here and now?\Shield Hero, I more or less know how strong you are.\I want a one-on-one with Filo.\Me?\If you prove to me that you're strong, I'll release Mel-tan. response:	And I won't kill the heroes for a while.
context: Prove to you?\How do we do that?\By fighting you right here and now?\Shield Hero, I more or less know how strong you are.\I want a one-on-one with Filo.\Me?\If you prove to me that you're strong, I'll release Mel-tan.\And I won't kill the heroes for a while. response:	I'll give you time.
context: How do we do that?\By fighting you right here and now?\Shield Hero, I more or less know how strong you are.\I want a one-on-one with Filo.\Me?\If you prove to me that you're strong, I'll release Mel-tan.\And I won't kill the heroes for a while.\I'll give you time. response:	I don't really understand, but if I win, Master won't be killed,
context: By fighting you right here and now?\Shield Hero, I more or less know how strong you are.\I want a one-on-one with Filo.\Me?\If you prove to me that you're strong, I'll release Mel-tan.\And I won't kill the heroes for a while.\I'll give you time.\I don't really understand, but if I win, Master won't be killed, response:	and Mel-chan will be freed too, right?
context: Shield Hero, I more or less know how strong you are.\I want a one-on-one with Filo.\Me?\If you prove to me that you're strong, I'll release Mel-tan.\And I won't kill the heroes for a while.\I'll give you time.\I don't really understand, but if I win, Master won't be killed,\and Mel-chan will be freed too, right? response:	Wait.
context: I want a one-on-one with Filo.\Me?\If you prove to me that you're strong, I'll release Mel-tan.\And I won't kill the heroes for a while.\I'll give you time.\I don't really understand, but if I win, Master won't be killed,\and Mel-chan will be freed too, right?\Wait. response:	Hang on, Filo
context: Me?\If you prove to me that you're strong, I'll release Mel-tan.\And I won't kill the heroes for a while.\I'll give you time.\I don't really understand, but if I win, Master won't be killed,\and Mel-chan will be freed too, right?\Wait.\Hang on, Filo response:	Then I'll fight.
context: If you prove to me that you're strong, I'll release Mel-tan.\And I won't kill the heroes for a while.\I'll give you time.\I don't really understand, but if I win, Master won't be killed,\and Mel-chan will be freed too, right?\Wait.\Hang on, Filo\Then I'll fight. response:	I'll fight in this form,
context: And I won't kill the heroes for a while.\I'll give you time.\I don't really understand, but if I win, Master won't be killed,\and Mel-chan will be freed too, right?\Wait.\Hang on, Filo\Then I'll fight.\I'll fight in this form, response:	so you fight me in human form too, Filo.
context: I'll give you time.\I don't really understand, but if I win, Master won't be killed,\and Mel-chan will be freed too, right?\Wait.\Hang on, Filo\Then I'll fight.\I'll fight in this form,\so you fight me in human form too, Filo. response:	Gotcha.
context: I don't really understand, but if I win, Master won't be killed,\and Mel-chan will be freed too, right?\Wait.\Hang on, Filo\Then I'll fight.\I'll fight in this form,\so you fight me in human form too, Filo.\Gotcha. response:	I said wait!
context: and Mel-chan will be freed too, right?\Wait.\Hang on, Filo\Then I'll fight.\I'll fight in this form,\so you fight me in human form too, Filo.\Gotcha.\I said wait! response:	This way.
context: Wait.\Hang on, Filo\Then I'll fight.\I'll fight in this form,\so you fight me in human form too, Filo.\Gotcha.\I said wait!\This way. response:	Here I come.
context: Hang on, Filo\Then I'll fight.\I'll fight in this form,\so you fight me in human form too, Filo.\Gotcha.\I said wait!\This way.\Here I come. response:	Whenever you're ready.
context: Then I'll fight.\I'll fight in this form,\so you fight me in human form too, Filo.\Gotcha.\I said wait!\This way.\Here I come.\Whenever you're ready. response:	You're slow.
context: I'll fight in this form,\so you fight me in human form too, Filo.\Gotcha.\I said wait!\This way.\Here I come.\Whenever you're ready.\You're slow. response:	Huh?
context: so you fight me in human form too, Filo.\Gotcha.\I said wait!\This way.\Here I come.\Whenever you're ready.\You're slow.\Huh? response:	Filo! Above you!
context: Gotcha.\I said wait!\This way.\Here I come.\Whenever you're ready.\You're slow.\Huh?\Filo! Above you! response:	Filo-chan!
context: I said wait!\This way.\Here I come.\Whenever you're ready.\You're slow.\Huh?\Filo! Above you!\Filo-chan! response:	Ow...
context: This way.\Here I come.\Whenever you're ready.\You're slow.\Huh?\Filo! Above you!\Filo-chan!\Ow... response:	Why did Fitoria choose to fight Filo and not Raphtalia?
context: Here I come.\Whenever you're ready.\You're slow.\Huh?\Filo! Above you!\Filo-chan!\Ow...\Why did Fitoria choose to fight Filo and not Raphtalia? response:	And why are they fighting in human form?
context: Whenever you're ready.\You're slow.\Huh?\Filo! Above you!\Filo-chan!\Ow...\Why did Fitoria choose to fight Filo and not Raphtalia?\And why are they fighting in human form? response:	Damn it.
context: You're slow.\Huh?\Filo! Above you!\Filo-chan!\Ow...\Why did Fitoria choose to fight Filo and not Raphtalia?\And why are they fighting in human form?\Damn it. response:	Filo!
context: Huh?\Filo! Above you!\Filo-chan!\Ow...\Why did Fitoria choose to fight Filo and not Raphtalia?\And why are they fighting in human form?\Damn it.\Filo! response:	Don't just charge in blindly!
context: Filo! Above you!\Filo-chan!\Ow...\Why did Fitoria choose to fight Filo and not Raphtalia?\And why are they fighting in human form?\Damn it.\Filo!\Don't just charge in blindly! response:	Use your head!
context: Filo-chan!\Ow...\Why did Fitoria choose to fight Filo and not Raphtalia?\And why are they fighting in human form?\Damn it.\Filo!\Don't just charge in blindly!\Use your head! response:	Master...
context: Ow...\Why did Fitoria choose to fight Filo and not Raphtalia?\And why are they fighting in human form?\Damn it.\Filo!\Don't just charge in blindly!\Use your head!\Master... response:	And regenerate your clothes when you have the chance!
context: Why did Fitoria choose to fight Filo and not Raphtalia?\And why are they fighting in human form?\Damn it.\Filo!\Don't just charge in blindly!\Use your head!\Master...\And regenerate your clothes when you have the chance! response:	Pour your mana into it and increase your defense as much as you can!
context: And why are they fighting in human form?\Damn it.\Filo!\Don't just charge in blindly!\Use your head!\Master...\And regenerate your clothes when you have the chance!\Pour your mana into it and increase your defense as much as you can! response:	Gotcha!
context: Damn it.\Filo!\Don't just charge in blindly!\Use your head!\Master...\And regenerate your clothes when you have the chance!\Pour your mana into it and increase your defense as much as you can!\Gotcha! response:	As source of your powers, Filo orders you.
context: Filo!\Don't just charge in blindly!\Use your head!\Master...\And regenerate your clothes when you have the chance!\Pour your mana into it and increase your defense as much as you can!\Gotcha!\As source of your powers, Filo orders you. response:	Decipher the laws of nature
context: Don't just charge in blindly!\Use your head!\Master...\And regenerate your clothes when you have the chance!\Pour your mana into it and increase your defense as much as you can!\Gotcha!\As source of your powers, Filo orders you.\Decipher the laws of nature response:	and blow my target away with a vicious vacuum burst.
context: Use your head!\Master...\And regenerate your clothes when you have the chance!\Pour your mana into it and increase your defense as much as you can!\Gotcha!\As source of your powers, Filo orders you.\Decipher the laws of nature\and blow my target away with a vicious vacuum burst. response:	Zweit Tornado!
context: Master...\And regenerate your clothes when you have the chance!\Pour your mana into it and increase your defense as much as you can!\Gotcha!\As source of your powers, Filo orders you.\Decipher the laws of nature\and blow my target away with a vicious vacuum burst.\Zweit Tornado! response:	Nullify the vacuum burst.
context: And regenerate your clothes when you have the chance!\Pour your mana into it and increase your defense as much as you can!\Gotcha!\As source of your powers, Filo orders you.\Decipher the laws of nature\and blow my target away with a vicious vacuum burst.\Zweit Tornado!\Nullify the vacuum burst. response:	Anti-Zweit Tornado!
context: Pour your mana into it and increase your defense as much as you can!\Gotcha!\As source of your powers, Filo orders you.\Decipher the laws of nature\and blow my target away with a vicious vacuum burst.\Zweit Tornado!\Nullify the vacuum burst.\Anti-Zweit Tornado! response:	Watch out! It's jamming magic!
context: Gotcha!\As source of your powers, Filo orders you.\Decipher the laws of nature\and blow my target away with a vicious vacuum burst.\Zweit Tornado!\Nullify the vacuum burst.\Anti-Zweit Tornado!\Watch out! It's jamming magic! response:	You're wide open.
context: As source of your powers, Filo orders you.\Decipher the laws of nature\and blow my target away with a vicious vacuum burst.\Zweit Tornado!\Nullify the vacuum burst.\Anti-Zweit Tornado!\Watch out! It's jamming magic!\You're wide open. response:	She has no time to regenerate her clothes at all.
context: Decipher the laws of nature\and blow my target away with a vicious vacuum burst.\Zweit Tornado!\Nullify the vacuum burst.\Anti-Zweit Tornado!\Watch out! It's jamming magic!\You're wide open.\She has no time to regenerate her clothes at all. response:	Melty.
context: and blow my target away with a vicious vacuum burst.\Zweit Tornado!\Nullify the vacuum burst.\Anti-Zweit Tornado!\Watch out! It's jamming magic!\You're wide open.\She has no time to regenerate her clothes at all.\Melty. response:	Filo's in trouble if this keeps up.
context: Zweit Tornado!\Nullify the vacuum burst.\Anti-Zweit Tornado!\Watch out! It's jamming magic!\You're wide open.\She has no time to regenerate her clothes at all.\Melty.\Filo's in trouble if this keeps up. response:	I'll try to get rid of this cage with my shield.
context: Nullify the vacuum burst.\Anti-Zweit Tornado!\Watch out! It's jamming magic!\You're wide open.\She has no time to regenerate her clothes at all.\Melty.\Filo's in trouble if this keeps up.\I'll try to get rid of this cage with my shield. response:	Naofumi!
context: Anti-Zweit Tornado!\Watch out! It's jamming magic!\You're wide open.\She has no time to regenerate her clothes at all.\Melty.\Filo's in trouble if this keeps up.\I'll try to get rid of this cage with my shield.\Naofumi! response:	Naofumi-sama!
context: Watch out! It's jamming magic!\You're wide open.\She has no time to regenerate her clothes at all.\Melty.\Filo's in trouble if this keeps up.\I'll try to get rid of this cage with my shield.\Naofumi!\Naofumi-sama! response:	She cut through the shield's defense with ease!
context: You're wide open.\She has no time to regenerate her clothes at all.\Melty.\Filo's in trouble if this keeps up.\I'll try to get rid of this cage with my shield.\Naofumi!\Naofumi-sama!\She cut through the shield's defense with ease! response:	Master!
context: She has no time to regenerate her clothes at all.\Melty.\Filo's in trouble if this keeps up.\I'll try to get rid of this cage with my shield.\Naofumi!\Naofumi-sama!\She cut through the shield's defense with ease!\Master! response:	Eyes on me.
context: Melty.\Filo's in trouble if this keeps up.\I'll try to get rid of this cage with my shield.\Naofumi!\Naofumi-sama!\She cut through the shield's defense with ease!\Master!\Eyes on me. response:	He got what he deserved for trying to cheat and rescue Mel-tan.
context: Filo's in trouble if this keeps up.\I'll try to get rid of this cage with my shield.\Naofumi!\Naofumi-sama!\She cut through the shield's defense with ease!\Master!\Eyes on me.\He got what he deserved for trying to cheat and rescue Mel-tan. response:	But do you know why he did that?
context: I'll try to get rid of this cage with my shield.\Naofumi!\Naofumi-sama!\She cut through the shield's defense with ease!\Master!\Eyes on me.\He got what he deserved for trying to cheat and rescue Mel-tan.\But do you know why he did that? response:	Because you're weak.
context: Naofumi!\Naofumi-sama!\She cut through the shield's defense with ease!\Master!\Eyes on me.\He got what he deserved for trying to cheat and rescue Mel-tan.\But do you know why he did that?\Because you're weak. response:	What do you fight for?
context: Naofumi-sama!\She cut through the shield's defense with ease!\Master!\Eyes on me.\He got what he deserved for trying to cheat and rescue Mel-tan.\But do you know why he did that?\Because you're weak.\What do you fight for? response:	Isn't that obvious?
context: She cut through the shield's defense with ease!\Master!\Eyes on me.\He got what he deserved for trying to cheat and rescue Mel-tan.\But do you know why he did that?\Because you're weak.\What do you fight for?\Isn't that obvious? response:	For Master!
context: Master!\Eyes on me.\He got what he deserved for trying to cheat and rescue Mel-tan.\But do you know why he did that?\Because you're weak.\What do you fight for?\Isn't that obvious?\For Master! response:	You couldn't beat the dragon last night, you can't beat me now,
context: Eyes on me.\He got what he deserved for trying to cheat and rescue Mel-tan.\But do you know why he did that?\Because you're weak.\What do you fight for?\Isn't that obvious?\For Master!\You couldn't beat the dragon last night, you can't beat me now, response:	and you expect to be useful to the Shield Hero?
context: He got what he deserved for trying to cheat and rescue Mel-tan.\But do you know why he did that?\Because you're weak.\What do you fight for?\Isn't that obvious?\For Master!\You couldn't beat the dragon last night, you can't beat me now,\and you expect to be useful to the Shield Hero? response:	I'm not gonna lose!
context: But do you know why he did that?\Because you're weak.\What do you fight for?\Isn't that obvious?\For Master!\You couldn't beat the dragon last night, you can't beat me now,\and you expect to be useful to the Shield Hero?\I'm not gonna lose! response:	I'm gonna become strong for Master!
context: Because you're weak.\What do you fight for?\Isn't that obvious?\For Master!\You couldn't beat the dragon last night, you can't beat me now,\and you expect to be useful to the Shield Hero?\I'm not gonna lose!\I'm gonna become strong for Master! response:	Not with such a shallow will!
context: What do you fight for?\Isn't that obvious?\For Master!\You couldn't beat the dragon last night, you can't beat me now,\and you expect to be useful to the Shield Hero?\I'm not gonna lose!\I'm gonna become strong for Master!\Not with such a shallow will! response:	Are you all right, Naofumi-sama?
context: Isn't that obvious?\For Master!\You couldn't beat the dragon last night, you can't beat me now,\and you expect to be useful to the Shield Hero?\I'm not gonna lose!\I'm gonna become strong for Master!\Not with such a shallow will!\Are you all right, Naofumi-sama? response:	Yeah, somehow.
context: For Master!\You couldn't beat the dragon last night, you can't beat me now,\and you expect to be useful to the Shield Hero?\I'm not gonna lose!\I'm gonna become strong for Master!\Not with such a shallow will!\Are you all right, Naofumi-sama?\Yeah, somehow. response:	I won't let Master get hurt any more.
context: You couldn't beat the dragon last night, you can't beat me now,\and you expect to be useful to the Shield Hero?\I'm not gonna lose!\I'm gonna become strong for Master!\Not with such a shallow will!\Are you all right, Naofumi-sama?\Yeah, somehow.\I won't let Master get hurt any more. response:	I'll... I'll be much, much stronger!
context: and you expect to be useful to the Shield Hero?\I'm not gonna lose!\I'm gonna become strong for Master!\Not with such a shallow will!\Are you all right, Naofumi-sama?\Yeah, somehow.\I won't let Master get hurt any more.\I'll... I'll be much, much stronger! response:	I'll... I'll be much, much stronger!
context: I'm not gonna lose!\I'm gonna become strong for Master!\Not with such a shallow will!\Are you all right, Naofumi-sama?\Yeah, somehow.\I won't let Master get hurt any more.\I'll... I'll be much, much stronger!\I'll... I'll be much, much stronger! response:	Really?
context: I'm gonna become strong for Master!\Not with such a shallow will!\Are you all right, Naofumi-sama?\Yeah, somehow.\I won't let Master get hurt any more.\I'll... I'll be much, much stronger!\I'll... I'll be much, much stronger!\Really? response:	What is she...
context: Not with such a shallow will!\Are you all right, Naofumi-sama?\Yeah, somehow.\I won't let Master get hurt any more.\I'll... I'll be much, much stronger!\I'll... I'll be much, much stronger!\Really?\What is she... response:	Is she absorbing the mana particles in the air?
context: Are you all right, Naofumi-sama?\Yeah, somehow.\I won't let Master get hurt any more.\I'll... I'll be much, much stronger!\I'll... I'll be much, much stronger!\Really?\What is she...\Is she absorbing the mana particles in the air? response:	Is that even possible?
context: Yeah, somehow.\I won't let Master get hurt any more.\I'll... I'll be much, much stronger!\I'll... I'll be much, much stronger!\Really?\What is she...\Is she absorbing the mana particles in the air?\Is that even possible? response:	Filo!
context: I won't let Master get hurt any more.\I'll... I'll be much, much stronger!\I'll... I'll be much, much stronger!\Really?\What is she...\Is she absorbing the mana particles in the air?\Is that even possible?\Filo! response:	Master...
context: I'll... I'll be much, much stronger!\I'll... I'll be much, much stronger!\Really?\What is she...\Is she absorbing the mana particles in the air?\Is that even possible?\Filo!\Master... response:	I'm fine.
context: I'll... I'll be much, much stronger!\Really?\What is she...\Is she absorbing the mana particles in the air?\Is that even possible?\Filo!\Master...\I'm fine. response:	Calm down, and watch her attacks closely.
context: Really?\What is she...\Is she absorbing the mana particles in the air?\Is that even possible?\Filo!\Master...\I'm fine.\Calm down, and watch her attacks closely. response:	I know you can do it!
context: What is she...\Is she absorbing the mana particles in the air?\Is that even possible?\Filo!\Master...\I'm fine.\Calm down, and watch her attacks closely.\I know you can do it! response:	I know you can do it.
context: Is she absorbing the mana particles in the air?\Is that even possible?\Filo!\Master...\I'm fine.\Calm down, and watch her attacks closely.\I know you can do it!\I know you can do it. response:	Yeah!
context: Is that even possible?\Filo!\Master...\I'm fine.\Calm down, and watch her attacks closely.\I know you can do it!\I know you can do it.\Yeah! response:	Too slow.
