context: Namu Amida Butsu response:	Believe it or not, the world is filled with strange phenomena
context: Something was wriggling back and forth, dancing on my fields!\The next morning, I found all of my crops withered away.\I only started farming to kill time, but this has been going on for three years.\Amino Acid Fertilizer Potting Compost\It's starting to creep me out now.\My next harvest is coming up, so that's why I gave you a call.\I figured I needed the help of someone with psychic powers.\A wise decision, sir. response:	But, you see...
context: The next morning, I found all of my crops withered away.\I only started farming to kill time, but this has been going on for three years.\Amino Acid Fertilizer Potting Compost\It's starting to creep me out now.\My next harvest is coming up, so that's why I gave you a call.\I figured I needed the help of someone with psychic powers.\A wise decision, sir.\But, you see... response:	Next year, my idiot son will be starting high school, so...
context: I only started farming to kill time, but this has been going on for three years.\Amino Acid Fertilizer Potting Compost\It's starting to creep me out now.\My next harvest is coming up, so that's why I gave you a call.\I figured I needed the help of someone with psychic powers.\A wise decision, sir.\But, you see...\Next year, my idiot son will be starting high school, so... response:	As for your fees...
context: Amino Acid Fertilizer Potting Compost\It's starting to creep me out now.\My next harvest is coming up, so that's why I gave you a call.\I figured I needed the help of someone with psychic powers.\A wise decision, sir.\But, you see...\Next year, my idiot son will be starting high school, so...\As for your fees... response:	You don't think you can pay?
context: It's starting to creep me out now.\My next harvest is coming up, so that's why I gave you a call.\I figured I needed the help of someone with psychic powers.\A wise decision, sir.\But, you see...\Next year, my idiot son will be starting high school, so...\As for your fees...\You don't think you can pay? response:	It would depend on how much, but...
context: My next harvest is coming up, so that's why I gave you a call.\I figured I needed the help of someone with psychic powers.\A wise decision, sir.\But, you see...\Next year, my idiot son will be starting high school, so...\As for your fees...\You don't think you can pay?\It would depend on how much, but... response:	Well, I am running a business here,
context: I figured I needed the help of someone with psychic powers.\A wise decision, sir.\But, you see...\Next year, my idiot son will be starting high school, so...\As for your fees...\You don't think you can pay?\It would depend on how much, but...\Well, I am running a business here, response:	so I'm going to need some form of compensation.
context: A wise decision, sir.\But, you see...\Next year, my idiot son will be starting high school, so...\As for your fees...\You don't think you can pay?\It would depend on how much, but...\Well, I am running a business here,\so I'm going to need some form of compensation. response:	Executing the Exorcism!!
context: But, you see...\Next year, my idiot son will be starting high school, so...\As for your fees...\You don't think you can pay?\It would depend on how much, but...\Well, I am running a business here,\so I'm going to need some form of compensation.\Executing the Exorcism!! response:	We will do our best to reduce the spirit possessing you Option A Trial CoursehhhhhhhhhhhhhhhhhhhhhhhhhA Mere 2,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 3,980 yen Option B Serious Course hhhhhhhhhhhhhhhhhhA Mere 5,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 8,980 yen Option C All-Out Course hhhhhhhhhhhhhhhhhA Mere 12,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside of Offer Period: 19,880 yen
context: Next year, my idiot son will be starting high school, so...\As for your fees...\You don't think you can pay?\It would depend on how much, but...\Well, I am running a business here,\so I'm going to need some form of compensation.\Executing the Exorcism!!\We will do our best to reduce the spirit possessing you Option A Trial CoursehhhhhhhhhhhhhhhhhhhhhhhhhA Mere 2,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 3,980 yen Option B Serious Course hhhhhhhhhhhhhhhhhhA Mere 5,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 8,980 yen Option C All-Out Course hhhhhhhhhhhhhhhhhA Mere 12,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside of Offer Period: 19,880 yen response:	Refer us to a friend now and get an extra 5 reduction!! Also get an add-on exorcism for 20 off!!
context: As for your fees...\You don't think you can pay?\It would depend on how much, but...\Well, I am running a business here,\so I'm going to need some form of compensation.\Executing the Exorcism!!\We will do our best to reduce the spirit possessing you Option A Trial CoursehhhhhhhhhhhhhhhhhhhhhhhhhA Mere 2,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 3,980 yen Option B Serious Course hhhhhhhhhhhhhhhhhhA Mere 5,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 8,980 yen Option C All-Out Course hhhhhhhhhhhhhhhhhA Mere 12,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside of Offer Period: 19,880 yen\Refer us to a friend now and get an extra 5 reduction!! Also get an add-on exorcism for 20 off!! response:	Right...
context: You don't think you can pay?\It would depend on how much, but...\Well, I am running a business here,\so I'm going to need some form of compensation.\Executing the Exorcism!!\We will do our best to reduce the spirit possessing you Option A Trial CoursehhhhhhhhhhhhhhhhhhhhhhhhhA Mere 2,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 3,980 yen Option B Serious Course hhhhhhhhhhhhhhhhhhA Mere 5,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 8,980 yen Option C All-Out Course hhhhhhhhhhhhhhhhhA Mere 12,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside of Offer Period: 19,880 yen\Refer us to a friend now and get an extra 5 reduction!! Also get an add-on exorcism for 20 off!!\Right... response:	Let's see. If I'm able to exorcise whatever it is that's haunting your fields...
context: It would depend on how much, but...\Well, I am running a business here,\so I'm going to need some form of compensation.\Executing the Exorcism!!\We will do our best to reduce the spirit possessing you Option A Trial CoursehhhhhhhhhhhhhhhhhhhhhhhhhA Mere 2,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 3,980 yen Option B Serious Course hhhhhhhhhhhhhhhhhhA Mere 5,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 8,980 yen Option C All-Out Course hhhhhhhhhhhhhhhhhA Mere 12,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside of Offer Period: 19,880 yen\Refer us to a friend now and get an extra 5 reduction!! Also get an add-on exorcism for 20 off!!\Right...\Let's see. If I'm able to exorcise whatever it is that's haunting your fields... response:	I'll take 30 percent of your upcoming harvest!
context: Well, I am running a business here,\so I'm going to need some form of compensation.\Executing the Exorcism!!\We will do our best to reduce the spirit possessing you Option A Trial CoursehhhhhhhhhhhhhhhhhhhhhhhhhA Mere 2,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 3,980 yen Option B Serious Course hhhhhhhhhhhhhhhhhhA Mere 5,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 8,980 yen Option C All-Out Course hhhhhhhhhhhhhhhhhA Mere 12,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside of Offer Period: 19,880 yen\Refer us to a friend now and get an extra 5 reduction!! Also get an add-on exorcism for 20 off!!\Right...\Let's see. If I'm able to exorcise whatever it is that's haunting your fields...\I'll take 30 percent of your upcoming harvest! response:	He's okay with veggies as payment?
context: so I'm going to need some form of compensation.\Executing the Exorcism!!\We will do our best to reduce the spirit possessing you Option A Trial CoursehhhhhhhhhhhhhhhhhhhhhhhhhA Mere 2,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 3,980 yen Option B Serious Course hhhhhhhhhhhhhhhhhhA Mere 5,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 8,980 yen Option C All-Out Course hhhhhhhhhhhhhhhhhA Mere 12,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside of Offer Period: 19,880 yen\Refer us to a friend now and get an extra 5 reduction!! Also get an add-on exorcism for 20 off!!\Right...\Let's see. If I'm able to exorcise whatever it is that's haunting your fields...\I'll take 30 percent of your upcoming harvest!\He's okay with veggies as payment? response:	I looked into this a bit on my own,
context: Executing the Exorcism!!\We will do our best to reduce the spirit possessing you Option A Trial CoursehhhhhhhhhhhhhhhhhhhhhhhhhA Mere 2,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 3,980 yen Option B Serious Course hhhhhhhhhhhhhhhhhhA Mere 5,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 8,980 yen Option C All-Out Course hhhhhhhhhhhhhhhhhA Mere 12,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside of Offer Period: 19,880 yen\Refer us to a friend now and get an extra 5 reduction!! Also get an add-on exorcism for 20 off!!\Right...\Let's see. If I'm able to exorcise whatever it is that's haunting your fields...\I'll take 30 percent of your upcoming harvest!\He's okay with veggies as payment?\I looked into this a bit on my own, response:	but I don't see any issues with the fertilizer or the soil.
context: We will do our best to reduce the spirit possessing you Option A Trial CoursehhhhhhhhhhhhhhhhhhhhhhhhhA Mere 2,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 3,980 yen Option B Serious Course hhhhhhhhhhhhhhhhhhA Mere 5,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside Offer Period: 8,980 yen Option C All-Out Course hhhhhhhhhhhhhhhhhA Mere 12,000 yen (Tax Excluded) hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhOutside of Offer Period: 19,880 yen\Refer us to a friend now and get an extra 5 reduction!! Also get an add-on exorcism for 20 off!!\Right...\Let's see. If I'm able to exorcise whatever it is that's haunting your fields...\I'll take 30 percent of your upcoming harvest!\He's okay with veggies as payment?\I looked into this a bit on my own,\but I don't see any issues with the fertilizer or the soil. response:	Meaning there's not much I can do about this situation.
context: Refer us to a friend now and get an extra 5 reduction!! Also get an add-on exorcism for 20 off!!\Right...\Let's see. If I'm able to exorcise whatever it is that's haunting your fields...\I'll take 30 percent of your upcoming harvest!\He's okay with veggies as payment?\I looked into this a bit on my own,\but I don't see any issues with the fertilizer or the soil.\Meaning there's not much I can do about this situation. response:	What do you think, Mob?
context: Right...\Let's see. If I'm able to exorcise whatever it is that's haunting your fields...\I'll take 30 percent of your upcoming harvest!\He's okay with veggies as payment?\I looked into this a bit on my own,\but I don't see any issues with the fertilizer or the soil.\Meaning there's not much I can do about this situation.\What do you think, Mob? response:	Again, could you not summon me on such short notice?
context: Let's see. If I'm able to exorcise whatever it is that's haunting your fields...\I'll take 30 percent of your upcoming harvest!\He's okay with veggies as payment?\I looked into this a bit on my own,\but I don't see any issues with the fertilizer or the soil.\Meaning there's not much I can do about this situation.\What do you think, Mob?\Again, could you not summon me on such short notice? response:	This could be the work of those daikon fairies.
context: I'll take 30 percent of your upcoming harvest!\He's okay with veggies as payment?\I looked into this a bit on my own,\but I don't see any issues with the fertilizer or the soil.\Meaning there's not much I can do about this situation.\What do you think, Mob?\Again, could you not summon me on such short notice?\This could be the work of those daikon fairies. response:	Do those even exist?
context: He's okay with veggies as payment?\I looked into this a bit on my own,\but I don't see any issues with the fertilizer or the soil.\Meaning there's not much I can do about this situation.\What do you think, Mob?\Again, could you not summon me on such short notice?\This could be the work of those daikon fairies.\Do those even exist? response:	Did you see something move just now?
context: I looked into this a bit on my own,\but I don't see any issues with the fertilizer or the soil.\Meaning there's not much I can do about this situation.\What do you think, Mob?\Again, could you not summon me on such short notice?\This could be the work of those daikon fairies.\Do those even exist?\Did you see something move just now? response:	Actually...
context: but I don't see any issues with the fertilizer or the soil.\Meaning there's not much I can do about this situation.\What do you think, Mob?\Again, could you not summon me on such short notice?\This could be the work of those daikon fairies.\Do those even exist?\Did you see something move just now?\Actually... response:	It's rather weak, but I do sense an aura.
context: Meaning there's not much I can do about this situation.\What do you think, Mob?\Again, could you not summon me on such short notice?\This could be the work of those daikon fairies.\Do those even exist?\Did you see something move just now?\Actually...\It's rather weak, but I do sense an aura. response:	I heard you yappin' earlier today, too.
context: What do you think, Mob?\Again, could you not summon me on such short notice?\This could be the work of those daikon fairies.\Do those even exist?\Did you see something move just now?\Actually...\It's rather weak, but I do sense an aura.\I heard you yappin' earlier today, too. response:	You gonna exorcise me?
context: Again, could you not summon me on such short notice?\This could be the work of those daikon fairies.\Do those even exist?\Did you see something move just now?\Actually...\It's rather weak, but I do sense an aura.\I heard you yappin' earlier today, too.\You gonna exorcise me? response:	Mob, let's take care of this quickly.
context: This could be the work of those daikon fairies.\Do those even exist?\Did you see something move just now?\Actually...\It's rather weak, but I do sense an aura.\I heard you yappin' earlier today, too.\You gonna exorcise me?\Mob, let's take care of this quickly. response:	Okay.
context: Do those even exist?\Did you see something move just now?\Actually...\It's rather weak, but I do sense an aura.\I heard you yappin' earlier today, too.\You gonna exorcise me?\Mob, let's take care of this quickly.\Okay. response:	Is that it?
context: Did you see something move just now?\Actually...\It's rather weak, but I do sense an aura.\I heard you yappin' earlier today, too.\You gonna exorcise me?\Mob, let's take care of this quickly.\Okay.\Is that it? response:	Yes. It was just possessing the scarecrow, so it probably couldn't do much harm.
context: Actually...\It's rather weak, but I do sense an aura.\I heard you yappin' earlier today, too.\You gonna exorcise me?\Mob, let's take care of this quickly.\Okay.\Is that it?\Yes. It was just possessing the scarecrow, so it probably couldn't do much harm. response:	What the heck is that?
context: It's rather weak, but I do sense an aura.\I heard you yappin' earlier today, too.\You gonna exorcise me?\Mob, let's take care of this quickly.\Okay.\Is that it?\Yes. It was just possessing the scarecrow, so it probably couldn't do much harm.\What the heck is that? response:	Oh, that would be the spirit's true form.
context: I heard you yappin' earlier today, too.\You gonna exorcise me?\Mob, let's take care of this quickly.\Okay.\Is that it?\Yes. It was just possessing the scarecrow, so it probably couldn't do much harm.\What the heck is that?\Oh, that would be the spirit's true form. response:	So the scarecrow was a decoy?!
context: You gonna exorcise me?\Mob, let's take care of this quickly.\Okay.\Is that it?\Yes. It was just possessing the scarecrow, so it probably couldn't do much harm.\What the heck is that?\Oh, that would be the spirit's true form.\So the scarecrow was a decoy?! response:	High-Level Spirit Wriggle Wriggle
context: Mob, let's take care of this quickly.\Okay.\Is that it?\Yes. It was just possessing the scarecrow, so it probably couldn't do much harm.\What the heck is that?\Oh, that would be the spirit's true form.\So the scarecrow was a decoy?!\High-Level Spirit Wriggle Wriggle response:	This is my land, and I won't let anyone else have it!
context: Okay.\Is that it?\Yes. It was just possessing the scarecrow, so it probably couldn't do much harm.\What the heck is that?\Oh, that would be the spirit's true form.\So the scarecrow was a decoy?!\High-Level Spirit Wriggle Wriggle\This is my land, and I won't let anyone else have it! response:	Then show me the deed!
context: Is that it?\Yes. It was just possessing the scarecrow, so it probably couldn't do much harm.\What the heck is that?\Oh, that would be the spirit's true form.\So the scarecrow was a decoy?!\High-Level Spirit Wriggle Wriggle\This is my land, and I won't let anyone else have it!\Then show me the deed! response:	Do you have any idea how hard it is to grow crops until harvest?
context: Yes. It was just possessing the scarecrow, so it probably couldn't do much harm.\What the heck is that?\Oh, that would be the spirit's true form.\So the scarecrow was a decoy?!\High-Level Spirit Wriggle Wriggle\This is my land, and I won't let anyone else have it!\Then show me the deed!\Do you have any idea how hard it is to grow crops until harvest? response:	Talk about a twisted way to harass someone!
context: What the heck is that?\Oh, that would be the spirit's true form.\So the scarecrow was a decoy?!\High-Level Spirit Wriggle Wriggle\This is my land, and I won't let anyone else have it!\Then show me the deed!\Do you have any idea how hard it is to grow crops until harvest?\Talk about a twisted way to harass someone! response:	It's not like I'm letting the crops go to waste.
context: Oh, that would be the spirit's true form.\So the scarecrow was a decoy?!\High-Level Spirit Wriggle Wriggle\This is my land, and I won't let anyone else have it!\Then show me the deed!\Do you have any idea how hard it is to grow crops until harvest?\Talk about a twisted way to harass someone!\It's not like I'm letting the crops go to waste. response:	Did you actually think that spirits can't eat?
context: So the scarecrow was a decoy?!\High-Level Spirit Wriggle Wriggle\This is my land, and I won't let anyone else have it!\Then show me the deed!\Do you have any idea how hard it is to grow crops until harvest?\Talk about a twisted way to harass someone!\It's not like I'm letting the crops go to waste.\Did you actually think that spirits can't eat? response:	You guys don't need nutrients!
context: High-Level Spirit Wriggle Wriggle\This is my land, and I won't let anyone else have it!\Then show me the deed!\Do you have any idea how hard it is to grow crops until harvest?\Talk about a twisted way to harass someone!\It's not like I'm letting the crops go to waste.\Did you actually think that spirits can't eat?\You guys don't need nutrients! response:	I can absorb the lifeforce of all the crops that grow in these fields.
context: This is my land, and I won't let anyone else have it!\Then show me the deed!\Do you have any idea how hard it is to grow crops until harvest?\Talk about a twisted way to harass someone!\It's not like I'm letting the crops go to waste.\Did you actually think that spirits can't eat?\You guys don't need nutrients!\I can absorb the lifeforce of all the crops that grow in these fields. response:	So don't worry. They're serving their purpose as my food.
context: Then show me the deed!\Do you have any idea how hard it is to grow crops until harvest?\Talk about a twisted way to harass someone!\It's not like I'm letting the crops go to waste.\Did you actually think that spirits can't eat?\You guys don't need nutrients!\I can absorb the lifeforce of all the crops that grow in these fields.\So don't worry. They're serving their purpose as my food. response:	You wretched vegetable thief...
context: Do you have any idea how hard it is to grow crops until harvest?\Talk about a twisted way to harass someone!\It's not like I'm letting the crops go to waste.\Did you actually think that spirits can't eat?\You guys don't need nutrients!\I can absorb the lifeforce of all the crops that grow in these fields.\So don't worry. They're serving their purpose as my food.\You wretched vegetable thief... response:	Mob!
context: Talk about a twisted way to harass someone!\It's not like I'm letting the crops go to waste.\Did you actually think that spirits can't eat?\You guys don't need nutrients!\I can absorb the lifeforce of all the crops that grow in these fields.\So don't worry. They're serving their purpose as my food.\You wretched vegetable thief...\Mob! response:	Blast him!
context: It's not like I'm letting the crops go to waste.\Did you actually think that spirits can't eat?\You guys don't need nutrients!\I can absorb the lifeforce of all the crops that grow in these fields.\So don't worry. They're serving their purpose as my food.\You wretched vegetable thief...\Mob!\Blast him! response:	Okay.
context: Did you actually think that spirits can't eat?\You guys don't need nutrients!\I can absorb the lifeforce of all the crops that grow in these fields.\So don't worry. They're serving their purpose as my food.\You wretched vegetable thief...\Mob!\Blast him!\Okay. response:	Not bad, kid.
