context: The National High School Karuta Championship Tokyo Regional winner response:	is Mizusawa High School!
context: I told you that I was going to be on a quiz show!\What?! It's today?!\Oh, dear. I thought it was next week?\I set the machine to record it.\The model, Ayase Chitose-san!\Yamamoto Goro Hiroyuki Ayase Chitose\Oh, there you are!\Quiet, Chihaya! response:	Good evening. I hope to have a great time.
context: What?! It's today?!\Oh, dear. I thought it was next week?\I set the machine to record it.\The model, Ayase Chitose-san!\Yamamoto Goro Hiroyuki Ayase Chitose\Oh, there you are!\Quiet, Chihaya!\Good evening. I hope to have a great time. response:	You look so cute!
context: Oh, dear. I thought it was next week?\I set the machine to record it.\The model, Ayase Chitose-san!\Yamamoto Goro Hiroyuki Ayase Chitose\Oh, there you are!\Quiet, Chihaya!\Good evening. I hope to have a great time.\You look so cute! response:	These four members will make up one team!
context: I set the machine to record it.\The model, Ayase Chitose-san!\Yamamoto Goro Hiroyuki Ayase Chitose\Oh, there you are!\Quiet, Chihaya!\Good evening. I hope to have a great time.\You look so cute!\These four members will make up one team! response:	Hold on!
context: The model, Ayase Chitose-san!\Yamamoto Goro Hiroyuki Ayase Chitose\Oh, there you are!\Quiet, Chihaya!\Good evening. I hope to have a great time.\You look so cute!\These four members will make up one team!\Hold on! response:	Hmm?
context: Yamamoto Goro Hiroyuki Ayase Chitose\Oh, there you are!\Quiet, Chihaya!\Good evening. I hope to have a great time.\You look so cute!\These four members will make up one team!\Hold on!\Hmm? response:	Retro-kun?
context: Oh, there you are!\Quiet, Chihaya!\Good evening. I hope to have a great time.\You look so cute!\These four members will make up one team!\Hold on!\Hmm?\Retro-kun? response:	What's up?
context: Quiet, Chihaya!\Good evening. I hope to have a great time.\You look so cute!\These four members will make up one team!\Hold on!\Hmm?\Retro-kun?\What's up? response:	Correct!
context: Good evening. I hope to have a great time.\You look so cute!\These four members will make up one team!\Hold on!\Hmm?\Retro-kun?\What's up?\Correct! response:	To the celebrity team!
context: You look so cute!\These four members will make up one team!\Hold on!\Hmm?\Retro-kun?\What's up?\Correct!\To the celebrity team! response:	What question are we on?
context: These four members will make up one team!\Hold on!\Hmm?\Retro-kun?\What's up?\Correct!\To the celebrity team!\What question are we on? response:	The second question!
context: Hold on!\Hmm?\Retro-kun?\What's up?\Correct!\To the celebrity team!\What question are we on?\The second question! response:	The team that answers the next question correctly
context: Hmm?\Retro-kun?\What's up?\Correct!\To the celebrity team!\What question are we on?\The second question!\The team that answers the next question correctly response:	will receive five hundred million points!
context: Retro-kun?\What's up?\Correct!\To the celebrity team!\What question are we on?\The second question!\The team that answers the next question correctly\will receive five hundred million points! response:	Wait!
context: What's up?\Correct!\To the celebrity team!\What question are we on?\The second question!\The team that answers the next question correctly\will receive five hundred million points!\Wait! response:	See you next week!
context: Correct!\To the celebrity team!\What question are we on?\The second question!\The team that answers the next question correctly\will receive five hundred million points!\Wait!\See you next week! response:	You have to buzz in on
context: To the celebrity team!\What question are we on?\The second question!\The team that answers the next question correctly\will receive five hundred million points!\Wait!\See you next week!\You have to buzz in on response:	a quiz show if you want the camera to move to you.
context: What question are we on?\The second question!\The team that answers the next question correctly\will receive five hundred million points!\Wait!\See you next week!\You have to buzz in on\a quiz show if you want the camera to move to you. response:	Man, I'm not cut out to be an entertainer.
context: The second question!\The team that answers the next question correctly\will receive five hundred million points!\Wait!\See you next week!\You have to buzz in on\a quiz show if you want the camera to move to you.\Man, I'm not cut out to be an entertainer. response:	But you were the prettiest person on stage!
context: The team that answers the next question correctly\will receive five hundred million points!\Wait!\See you next week!\You have to buzz in on\a quiz show if you want the camera to move to you.\Man, I'm not cut out to be an entertainer.\But you were the prettiest person on stage! response:	I agree!
context: will receive five hundred million points!\Wait!\See you next week!\You have to buzz in on\a quiz show if you want the camera to move to you.\Man, I'm not cut out to be an entertainer.\But you were the prettiest person on stage!\I agree! response:	I'll keep on trying until I make a Taiga drama.
context: Wait!\See you next week!\You have to buzz in on\a quiz show if you want the camera to move to you.\Man, I'm not cut out to be an entertainer.\But you were the prettiest person on stage!\I agree!\I'll keep on trying until I make a Taiga drama. response:	So bear with me.
context: See you next week!\You have to buzz in on\a quiz show if you want the camera to move to you.\Man, I'm not cut out to be an entertainer.\But you were the prettiest person on stage!\I agree!\I'll keep on trying until I make a Taiga drama.\So bear with me. response:	Then I can pay off the mortgage on this house.
context: You have to buzz in on\a quiz show if you want the camera to move to you.\Man, I'm not cut out to be an entertainer.\But you were the prettiest person on stage!\I agree!\I'll keep on trying until I make a Taiga drama.\So bear with me.\Then I can pay off the mortgage on this house. response:	What are you talking about, Chitose?!
context: a quiz show if you want the camera to move to you.\Man, I'm not cut out to be an entertainer.\But you were the prettiest person on stage!\I agree!\I'll keep on trying until I make a Taiga drama.\So bear with me.\Then I can pay off the mortgage on this house.\What are you talking about, Chitose?! response:	You just have to stand there and shine!
context: Man, I'm not cut out to be an entertainer.\But you were the prettiest person on stage!\I agree!\I'll keep on trying until I make a Taiga drama.\So bear with me.\Then I can pay off the mortgage on this house.\What are you talking about, Chitose?!\You just have to stand there and shine! response:	That's right!
context: But you were the prettiest person on stage!\I agree!\I'll keep on trying until I make a Taiga drama.\So bear with me.\Then I can pay off the mortgage on this house.\What are you talking about, Chitose?!\You just have to stand there and shine!\That's right! response:	Your father's purpose in life is to pay off that mortgage!
context: I agree!\I'll keep on trying until I make a Taiga drama.\So bear with me.\Then I can pay off the mortgage on this house.\What are you talking about, Chitose?!\You just have to stand there and shine!\That's right!\Your father's purpose in life is to pay off that mortgage! response:	Exactly!
context: I'll keep on trying until I make a Taiga drama.\So bear with me.\Then I can pay off the mortgage on this house.\What are you talking about, Chitose?!\You just have to stand there and shine!\That's right!\Your father's purpose in life is to pay off that mortgage!\Exactly! response:	And to collect clippings of my daughters!
context: So bear with me.\Then I can pay off the mortgage on this house.\What are you talking about, Chitose?!\You just have to stand there and shine!\That's right!\Your father's purpose in life is to pay off that mortgage!\Exactly!\And to collect clippings of my daughters! response:	I'm already on the seventh volume for Chitose!
context: Then I can pay off the mortgage on this house.\What are you talking about, Chitose?!\You just have to stand there and shine!\That's right!\Your father's purpose in life is to pay off that mortgage!\Exactly!\And to collect clippings of my daughters!\I'm already on the seventh volume for Chitose! response:	Oh, right! You have a photo shoot in Saipan!
context: What are you talking about, Chitose?!\You just have to stand there and shine!\That's right!\Your father's purpose in life is to pay off that mortgage!\Exactly!\And to collect clippings of my daughters!\I'm already on the seventh volume for Chitose!\Oh, right! You have a photo shoot in Saipan! response:	Chitose
context: You just have to stand there and shine!\That's right!\Your father's purpose in life is to pay off that mortgage!\Exactly!\And to collect clippings of my daughters!\I'm already on the seventh volume for Chitose!\Oh, right! You have a photo shoot in Saipan!\Chitose response:	Amazing! We'll need to make copies!
context: That's right!\Your father's purpose in life is to pay off that mortgage!\Exactly!\And to collect clippings of my daughters!\I'm already on the seventh volume for Chitose!\Oh, right! You have a photo shoot in Saipan!\Chitose\Amazing! We'll need to make copies! response:	I'm on my way to the National Karuta Championship.
context: Your father's purpose in life is to pay off that mortgage!\Exactly!\And to collect clippings of my daughters!\I'm already on the seventh volume for Chitose!\Oh, right! You have a photo shoot in Saipan!\Chitose\Amazing! We'll need to make copies!\I'm on my way to the National Karuta Championship. response:	I'll be representing Tokyo.
context: Exactly!\And to collect clippings of my daughters!\I'm already on the seventh volume for Chitose!\Oh, right! You have a photo shoot in Saipan!\Chitose\Amazing! We'll need to make copies!\I'm on my way to the National Karuta Championship.\I'll be representing Tokyo. response:	Search Results Messages 0
context: And to collect clippings of my daughters!\I'm already on the seventh volume for Chitose!\Oh, right! You have a photo shoot in Saipan!\Chitose\Amazing! We'll need to make copies!\I'm on my way to the National Karuta Championship.\I'll be representing Tokyo.\Search Results Messages 0 response:	The Mizusawa High School Drama Club is in the national competition
context: I'm already on the seventh volume for Chitose!\Oh, right! You have a photo shoot in Saipan!\Chitose\Amazing! We'll need to make copies!\I'm on my way to the National Karuta Championship.\I'll be representing Tokyo.\Search Results Messages 0\The Mizusawa High School Drama Club is in the national competition response:	The Mizusawa Tennis Team is in the national tournament
context: Oh, right! You have a photo shoot in Saipan!\Chitose\Amazing! We'll need to make copies!\I'm on my way to the National Karuta Championship.\I'll be representing Tokyo.\Search Results Messages 0\The Mizusawa High School Drama Club is in the national competition\The Mizusawa Tennis Team is in the national tournament response:	I heard from Mashima-kun that you won.
context: Chitose\Amazing! We'll need to make copies!\I'm on my way to the National Karuta Championship.\I'll be representing Tokyo.\Search Results Messages 0\The Mizusawa High School Drama Club is in the national competition\The Mizusawa Tennis Team is in the national tournament\I heard from Mashima-kun that you won. response:	Congratulations.
context: Amazing! We'll need to make copies!\I'm on my way to the National Karuta Championship.\I'll be representing Tokyo.\Search Results Messages 0\The Mizusawa High School Drama Club is in the national competition\The Mizusawa Tennis Team is in the national tournament\I heard from Mashima-kun that you won.\Congratulations. response:	So, only four schools participated?
context: I'm on my way to the National Karuta Championship.\I'll be representing Tokyo.\Search Results Messages 0\The Mizusawa High School Drama Club is in the national competition\The Mizusawa Tennis Team is in the national tournament\I heard from Mashima-kun that you won.\Congratulations.\So, only four schools participated? response:	There were twelve!
context: I'll be representing Tokyo.\Search Results Messages 0\The Mizusawa High School Drama Club is in the national competition\The Mizusawa Tennis Team is in the national tournament\I heard from Mashima-kun that you won.\Congratulations.\So, only four schools participated?\There were twelve! response:	It was really tough!
context: Search Results Messages 0\The Mizusawa High School Drama Club is in the national competition\The Mizusawa Tennis Team is in the national tournament\I heard from Mashima-kun that you won.\Congratulations.\So, only four schools participated?\There were twelve!\It was really tough! response:	Oh, sorry.
context: The Mizusawa High School Drama Club is in the national competition\The Mizusawa Tennis Team is in the national tournament\I heard from Mashima-kun that you won.\Congratulations.\So, only four schools participated?\There were twelve!\It was really tough!\Oh, sorry. response:	The tennis team was playing at the same time.
context: The Mizusawa Tennis Team is in the national tournament\I heard from Mashima-kun that you won.\Congratulations.\So, only four schools participated?\There were twelve!\It was really tough!\Oh, sorry.\The tennis team was playing at the same time. response:	So the national tournament is in July at Omi Jingu in Shiga, right?
context: I heard from Mashima-kun that you won.\Congratulations.\So, only four schools participated?\There were twelve!\It was really tough!\Oh, sorry.\The tennis team was playing at the same time.\So the national tournament is in July at Omi Jingu in Shiga, right? response:	Yes! It's like the Koshien for karuta!
context: Congratulations.\So, only four schools participated?\There were twelve!\It was really tough!\Oh, sorry.\The tennis team was playing at the same time.\So the national tournament is in July at Omi Jingu in Shiga, right?\Yes! It's like the Koshien for karuta! response:	Please come with us!
context: So, only four schools participated?\There were twelve!\It was really tough!\Oh, sorry.\The tennis team was playing at the same time.\So the national tournament is in July at Omi Jingu in Shiga, right?\Yes! It's like the Koshien for karuta!\Please come with us! response:	Oh...
context: There were twelve!\It was really tough!\Oh, sorry.\The tennis team was playing at the same time.\So the national tournament is in July at Omi Jingu in Shiga, right?\Yes! It's like the Koshien for karuta!\Please come with us!\Oh... response:	I won't be able to make it.
context: It was really tough!\Oh, sorry.\The tennis team was playing at the same time.\So the national tournament is in July at Omi Jingu in Shiga, right?\Yes! It's like the Koshien for karuta!\Please come with us!\Oh...\I won't be able to make it. response:	The tennis team has a camp then,
context: Oh, sorry.\The tennis team was playing at the same time.\So the national tournament is in July at Omi Jingu in Shiga, right?\Yes! It's like the Koshien for karuta!\Please come with us!\Oh...\I won't be able to make it.\The tennis team has a camp then, response:	since they made it to nationals!
context: The tennis team was playing at the same time.\So the national tournament is in July at Omi Jingu in Shiga, right?\Yes! It's like the Koshien for karuta!\Please come with us!\Oh...\I won't be able to make it.\The tennis team has a camp then,\since they made it to nationals! response:	Have you heard about the miraculous comeback in the finals?
context: So the national tournament is in July at Omi Jingu in Shiga, right?\Yes! It's like the Koshien for karuta!\Please come with us!\Oh...\I won't be able to make it.\The tennis team has a camp then,\since they made it to nationals!\Have you heard about the miraculous comeback in the finals? response:	If not, I'll tell you the story.
context: Yes! It's like the Koshien for karuta!\Please come with us!\Oh...\I won't be able to make it.\The tennis team has a camp then,\since they made it to nationals!\Have you heard about the miraculous comeback in the finals?\If not, I'll tell you the story. response:	No, thank you.
context: Please come with us!\Oh...\I won't be able to make it.\The tennis team has a camp then,\since they made it to nationals!\Have you heard about the miraculous comeback in the finals?\If not, I'll tell you the story.\No, thank you. response:	The team's gotten better since I became the coach this year!
context: Oh...\I won't be able to make it.\The tennis team has a camp then,\since they made it to nationals!\Have you heard about the miraculous comeback in the finals?\If not, I'll tell you the story.\No, thank you.\The team's gotten better since I became the coach this year! response:	Oh, but you needed an adult.
context: I won't be able to make it.\The tennis team has a camp then,\since they made it to nationals!\Have you heard about the miraculous comeback in the finals?\If not, I'll tell you the story.\No, thank you.\The team's gotten better since I became the coach this year!\Oh, but you needed an adult. response:	Mr. Shibata.
context: The tennis team has a camp then,\since they made it to nationals!\Have you heard about the miraculous comeback in the finals?\If not, I'll tell you the story.\No, thank you.\The team's gotten better since I became the coach this year!\Oh, but you needed an adult.\Mr. Shibata. response:	Yes?
context: since they made it to nationals!\Have you heard about the miraculous comeback in the finals?\If not, I'll tell you the story.\No, thank you.\The team's gotten better since I became the coach this year!\Oh, but you needed an adult.\Mr. Shibata.\Yes? response:	I talked to Mr. Shibata and he agreed to accompany the karuta club.
context: Have you heard about the miraculous comeback in the finals?\If not, I'll tell you the story.\No, thank you.\The team's gotten better since I became the coach this year!\Oh, but you needed an adult.\Mr. Shibata.\Yes?\I talked to Mr. Shibata and he agreed to accompany the karuta club. response:	Looking forward to it!
context: If not, I'll tell you the story.\No, thank you.\The team's gotten better since I became the coach this year!\Oh, but you needed an adult.\Mr. Shibata.\Yes?\I talked to Mr. Shibata and he agreed to accompany the karuta club.\Looking forward to it! response:	Oh...
context: No, thank you.\The team's gotten better since I became the coach this year!\Oh, but you needed an adult.\Mr. Shibata.\Yes?\I talked to Mr. Shibata and he agreed to accompany the karuta club.\Looking forward to it!\Oh... response:	Thank you very much.
context: The team's gotten better since I became the coach this year!\Oh, but you needed an adult.\Mr. Shibata.\Yes?\I talked to Mr. Shibata and he agreed to accompany the karuta club.\Looking forward to it!\Oh...\Thank you very much. response:	Be careful.
context: Oh, but you needed an adult.\Mr. Shibata.\Yes?\I talked to Mr. Shibata and he agreed to accompany the karuta club.\Looking forward to it!\Oh...\Thank you very much.\Be careful. response:	Yes...
context: Mr. Shibata.\Yes?\I talked to Mr. Shibata and he agreed to accompany the karuta club.\Looking forward to it!\Oh...\Thank you very much.\Be careful.\Yes... response:	Komano-kun, you didn't do too well on the last test.
context: Yes?\I talked to Mr. Shibata and he agreed to accompany the karuta club.\Looking forward to it!\Oh...\Thank you very much.\Be careful.\Yes...\Komano-kun, you didn't do too well on the last test. response:	Don't spend too much time on the club.
context: I talked to Mr. Shibata and he agreed to accompany the karuta club.\Looking forward to it!\Oh...\Thank you very much.\Be careful.\Yes...\Komano-kun, you didn't do too well on the last test.\Don't spend too much time on the club. response:	Yes, ma'am.
context: Looking forward to it!\Oh...\Thank you very much.\Be careful.\Yes...\Komano-kun, you didn't do too well on the last test.\Don't spend too much time on the club.\Yes, ma'am. response:	If you'll excuse us.
context: Oh...\Thank you very much.\Be careful.\Yes...\Komano-kun, you didn't do too well on the last test.\Don't spend too much time on the club.\Yes, ma'am.\If you'll excuse us. response:	I didn't know there was a national tournament for karuta.
context: Thank you very much.\Be careful.\Yes...\Komano-kun, you didn't do too well on the last test.\Don't spend too much time on the club.\Yes, ma'am.\If you'll excuse us.\I didn't know there was a national tournament for karuta. response:	It's probably like a festival at some local shrine.
context: Be careful.\Yes...\Komano-kun, you didn't do too well on the last test.\Don't spend too much time on the club.\Yes, ma'am.\If you'll excuse us.\I didn't know there was a national tournament for karuta.\It's probably like a festival at some local shrine. response:	If you're interested, you can take over as their advisor.
context: Yes...\Komano-kun, you didn't do too well on the last test.\Don't spend too much time on the club.\Yes, ma'am.\If you'll excuse us.\I didn't know there was a national tournament for karuta.\It's probably like a festival at some local shrine.\If you're interested, you can take over as their advisor. response:	No, thank you!
context: Komano-kun, you didn't do too well on the last test.\Don't spend too much time on the club.\Yes, ma'am.\If you'll excuse us.\I didn't know there was a national tournament for karuta.\It's probably like a festival at some local shrine.\If you're interested, you can take over as their advisor.\No, thank you! response:	I'm just interested in the Lake Biwa Birdman Rally on the same day.
context: Don't spend too much time on the club.\Yes, ma'am.\If you'll excuse us.\I didn't know there was a national tournament for karuta.\It's probably like a festival at some local shrine.\If you're interested, you can take over as their advisor.\No, thank you!\I'm just interested in the Lake Biwa Birdman Rally on the same day. response:	Huh?
context: Yes, ma'am.\If you'll excuse us.\I didn't know there was a national tournament for karuta.\It's probably like a festival at some local shrine.\If you're interested, you can take over as their advisor.\No, thank you!\I'm just interested in the Lake Biwa Birdman Rally on the same day.\Huh? response:	I hope there's another brilliant performance in the distance category!
context: If you'll excuse us.\I didn't know there was a national tournament for karuta.\It's probably like a festival at some local shrine.\If you're interested, you can take over as their advisor.\No, thank you!\I'm just interested in the Lake Biwa Birdman Rally on the same day.\Huh?\I hope there's another brilliant performance in the distance category! response:	The Empress should care about karuta the way she cares about tennis!
context: I didn't know there was a national tournament for karuta.\It's probably like a festival at some local shrine.\If you're interested, you can take over as their advisor.\No, thank you!\I'm just interested in the Lake Biwa Birdman Rally on the same day.\Huh?\I hope there's another brilliant performance in the distance category!\The Empress should care about karuta the way she cares about tennis! response:	She probably thinks that we're just playing around.
context: It's probably like a festival at some local shrine.\If you're interested, you can take over as their advisor.\No, thank you!\I'm just interested in the Lake Biwa Birdman Rally on the same day.\Huh?\I hope there's another brilliant performance in the distance category!\The Empress should care about karuta the way she cares about tennis!\She probably thinks that we're just playing around. response:	At least we got a teacher to accompany us.
context: If you're interested, you can take over as their advisor.\No, thank you!\I'm just interested in the Lake Biwa Birdman Rally on the same day.\Huh?\I hope there's another brilliant performance in the distance category!\The Empress should care about karuta the way she cares about tennis!\She probably thinks that we're just playing around.\At least we got a teacher to accompany us. response:	Don't quit, Desktomu-kun!
context: No, thank you!\I'm just interested in the Lake Biwa Birdman Rally on the same day.\Huh?\I hope there's another brilliant performance in the distance category!\The Empress should care about karuta the way she cares about tennis!\She probably thinks that we're just playing around.\At least we got a teacher to accompany us.\Don't quit, Desktomu-kun! response:	I'm so sorry!
