context: Go Out With Me response:	Ah, those meat balls look tasty!
context: That's a good color after all!\Does it use gloss?\No, just the lip.\How nice! Where did you buy it?\Get out of the way!\Safe!\Ahhh, I thought I was dead.\Hm? My glasses? response:	Crap, that probably would have been my deathbed!
context: Does it use gloss?\No, just the lip.\How nice! Where did you buy it?\Get out of the way!\Safe!\Ahhh, I thought I was dead.\Hm? My glasses?\Crap, that probably would have been my deathbed! response:	My school's uniform?
context: No, just the lip.\How nice! Where did you buy it?\Get out of the way!\Safe!\Ahhh, I thought I was dead.\Hm? My glasses?\Crap, that probably would have been my deathbed!\My school's uniform? response:	Umm, hello...
context: How nice! Where did you buy it?\Get out of the way!\Safe!\Ahhh, I thought I was dead.\Hm? My glasses?\Crap, that probably would have been my deathbed!\My school's uniform?\Umm, hello... response:	Thank goodness, she's alive.
context: Get out of the way!\Safe!\Ahhh, I thought I was dead.\Hm? My glasses?\Crap, that probably would have been my deathbed!\My school's uniform?\Umm, hello...\Thank goodness, she's alive. response:	What should I do? I crashed into a person!
context: Safe!\Ahhh, I thought I was dead.\Hm? My glasses?\Crap, that probably would have been my deathbed!\My school's uniform?\Umm, hello...\Thank goodness, she's alive.\What should I do? I crashed into a person! response:	I have to call the police!
context: Ahhh, I thought I was dead.\Hm? My glasses?\Crap, that probably would have been my deathbed!\My school's uniform?\Umm, hello...\Thank goodness, she's alive.\What should I do? I crashed into a person!\I have to call the police! response:	No, I'll just pretend it didn't happen.
context: Hm? My glasses?\Crap, that probably would have been my deathbed!\My school's uniform?\Umm, hello...\Thank goodness, she's alive.\What should I do? I crashed into a person!\I have to call the police!\No, I'll just pretend it didn't happen. response:	Well, I'm actually fine.
context: Crap, that probably would have been my deathbed!\My school's uniform?\Umm, hello...\Thank goodness, she's alive.\What should I do? I crashed into a person!\I have to call the police!\No, I'll just pretend it didn't happen.\Well, I'm actually fine. response:	Wah! Why are you still alive?
context: My school's uniform?\Umm, hello...\Thank goodness, she's alive.\What should I do? I crashed into a person!\I have to call the police!\No, I'll just pretend it didn't happen.\Well, I'm actually fine.\Wah! Why are you still alive? response:	A-Are you truly human?
context: Umm, hello...\Thank goodness, she's alive.\What should I do? I crashed into a person!\I have to call the police!\No, I'll just pretend it didn't happen.\Well, I'm actually fine.\Wah! Why are you still alive?\A-Are you truly human? response:	You're quite the rude one.
context: Thank goodness, she's alive.\What should I do? I crashed into a person!\I have to call the police!\No, I'll just pretend it didn't happen.\Well, I'm actually fine.\Wah! Why are you still alive?\A-Are you truly human?\You're quite the rude one. response:	My body can withstand more than an average person thanks to circumstances at my house.
context: What should I do? I crashed into a person!\I have to call the police!\No, I'll just pretend it didn't happen.\Well, I'm actually fine.\Wah! Why are you still alive?\A-Are you truly human?\You're quite the rude one.\My body can withstand more than an average person thanks to circumstances at my house. response:	You're a student at my school, right?
context: I have to call the police!\No, I'll just pretend it didn't happen.\Well, I'm actually fine.\Wah! Why are you still alive?\A-Are you truly human?\You're quite the rude one.\My body can withstand more than an average person thanks to circumstances at my house.\You're a student at my school, right? response:	What's your name?
context: No, I'll just pretend it didn't happen.\Well, I'm actually fine.\Wah! Why are you still alive?\A-Are you truly human?\You're quite the rude one.\My body can withstand more than an average person thanks to circumstances at my house.\You're a student at my school, right?\What's your name? response:	Why are you asking me that?
context: Well, I'm actually fine.\Wah! Why are you still alive?\A-Are you truly human?\You're quite the rude one.\My body can withstand more than an average person thanks to circumstances at my house.\You're a student at my school, right?\What's your name?\Why are you asking me that? response:	It was an accident after all.
context: Wah! Why are you still alive?\A-Are you truly human?\You're quite the rude one.\My body can withstand more than an average person thanks to circumstances at my house.\You're a student at my school, right?\What's your name?\Why are you asking me that?\It was an accident after all. response:	I should at least know your name, shouldn't I?
context: A-Are you truly human?\You're quite the rude one.\My body can withstand more than an average person thanks to circumstances at my house.\You're a student at my school, right?\What's your name?\Why are you asking me that?\It was an accident after all.\I should at least know your name, shouldn't I? response:	No, I don't want to tell you.
context: You're quite the rude one.\My body can withstand more than an average person thanks to circumstances at my house.\You're a student at my school, right?\What's your name?\Why are you asking me that?\It was an accident after all.\I should at least know your name, shouldn't I?\No, I don't want to tell you. response:	Then what year are you in?
context: My body can withstand more than an average person thanks to circumstances at my house.\You're a student at my school, right?\What's your name?\Why are you asking me that?\It was an accident after all.\I should at least know your name, shouldn't I?\No, I don't want to tell you.\Then what year are you in? response:	Second year.
context: You're a student at my school, right?\What's your name?\Why are you asking me that?\It was an accident after all.\I should at least know your name, shouldn't I?\No, I don't want to tell you.\Then what year are you in?\Second year. response:	So, the same as me. What class are you in?
context: What's your name?\Why are you asking me that?\It was an accident after all.\I should at least know your name, shouldn't I?\No, I don't want to tell you.\Then what year are you in?\Second year.\So, the same as me. What class are you in? response:	Why did it have to end up there?!
context: Why are you asking me that?\It was an accident after all.\I should at least know your name, shouldn't I?\No, I don't want to tell you.\Then what year are you in?\Second year.\So, the same as me. What class are you in?\Why did it have to end up there?! response:	H-Hey, what are you looking at?
context: It was an accident after all.\I should at least know your name, shouldn't I?\No, I don't want to tell you.\Then what year are you in?\Second year.\So, the same as me. What class are you in?\Why did it have to end up there?!\H-Hey, what are you looking at? response:	Well, there's something I want down there...
context: I should at least know your name, shouldn't I?\No, I don't want to tell you.\Then what year are you in?\Second year.\So, the same as me. What class are you in?\Why did it have to end up there?!\H-Hey, what are you looking at?\Well, there's something I want down there... response:	Something you want?
context: No, I don't want to tell you.\Then what year are you in?\Second year.\So, the same as me. What class are you in?\Why did it have to end up there?!\H-Hey, what are you looking at?\Well, there's something I want down there...\Something you want? response:	It's a bit hard for me to retrieve it.
context: Then what year are you in?\Second year.\So, the same as me. What class are you in?\Why did it have to end up there?!\H-Hey, what are you looking at?\Well, there's something I want down there...\Something you want?\It's a bit hard for me to retrieve it. response:	Would you get it for me?
context: Second year.\So, the same as me. What class are you in?\Why did it have to end up there?!\H-Hey, what are you looking at?\Well, there's something I want down there...\Something you want?\It's a bit hard for me to retrieve it.\Would you get it for me? response:	Why should I do such a thing?
context: So, the same as me. What class are you in?\Why did it have to end up there?!\H-Hey, what are you looking at?\Well, there's something I want down there...\Something you want?\It's a bit hard for me to retrieve it.\Would you get it for me?\Why should I do such a thing? response:	If you don't want to, I could get it myself, but...
context: Why did it have to end up there?!\H-Hey, what are you looking at?\Well, there's something I want down there...\Something you want?\It's a bit hard for me to retrieve it.\Would you get it for me?\Why should I do such a thing?\If you don't want to, I could get it myself, but... response:	Eh? Wait, could it be...?
context: H-Hey, what are you looking at?\Well, there's something I want down there...\Something you want?\It's a bit hard for me to retrieve it.\Would you get it for me?\Why should I do such a thing?\If you don't want to, I could get it myself, but...\Eh? Wait, could it be...? response:	Stop!
context: Well, there's something I want down there...\Something you want?\It's a bit hard for me to retrieve it.\Would you get it for me?\Why should I do such a thing?\If you don't want to, I could get it myself, but...\Eh? Wait, could it be...?\Stop! response:	NO!!!
context: Something you want?\It's a bit hard for me to retrieve it.\Would you get it for me?\Why should I do such a thing?\If you don't want to, I could get it myself, but...\Eh? Wait, could it be...?\Stop!\NO!!! response:	What are you doing all of a sudden?
context: It's a bit hard for me to retrieve it.\Would you get it for me?\Why should I do such a thing?\If you don't want to, I could get it myself, but...\Eh? Wait, could it be...?\Stop!\NO!!!\What are you doing all of a sudden? response:	Shut up, you pervert! Why would I let you strip me?!
context: Would you get it for me?\Why should I do such a thing?\If you don't want to, I could get it myself, but...\Eh? Wait, could it be...?\Stop!\NO!!!\What are you doing all of a sudden?\Shut up, you pervert! Why would I let you strip me?! response:	Strip you?
context: Why should I do such a thing?\If you don't want to, I could get it myself, but...\Eh? Wait, could it be...?\Stop!\NO!!!\What are you doing all of a sudden?\Shut up, you pervert! Why would I let you strip me?!\Strip you? response:	Die! Eat shit and die!
context: If you don't want to, I could get it myself, but...\Eh? Wait, could it be...?\Stop!\NO!!!\What are you doing all of a sudden?\Shut up, you pervert! Why would I let you strip me?!\Strip you?\Die! Eat shit and die! response:	Huh? W-
context: Eh? Wait, could it be...?\Stop!\NO!!!\What are you doing all of a sudden?\Shut up, you pervert! Why would I let you strip me?!\Strip you?\Die! Eat shit and die!\Huh? W- response:	Woah! That was close...
context: Stop!\NO!!!\What are you doing all of a sudden?\Shut up, you pervert! Why would I let you strip me?!\Strip you?\Die! Eat shit and die!\Huh? W-\Woah! That was close... response:	What's that?
context: NO!!!\What are you doing all of a sudden?\Shut up, you pervert! Why would I let you strip me?!\Strip you?\Die! Eat shit and die!\Huh? W-\Woah! That was close...\What's that? response:	My glasses.
context: What are you doing all of a sudden?\Shut up, you pervert! Why would I let you strip me?!\Strip you?\Die! Eat shit and die!\Huh? W-\Woah! That was close...\What's that?\My glasses. response:	Could it be...
context: Shut up, you pervert! Why would I let you strip me?!\Strip you?\Die! Eat shit and die!\Huh? W-\Woah! That was close...\What's that?\My glasses.\Could it be... response:	That was what you wanted to get?
context: Strip you?\Die! Eat shit and die!\Huh? W-\Woah! That was close...\What's that?\My glasses.\Could it be...\That was what you wanted to get? response:	That's right. What the heck did you think I wanted?
context: Die! Eat shit and die!\Huh? W-\Woah! That was close...\What's that?\My glasses.\Could it be...\That was what you wanted to get?\That's right. What the heck did you think I wanted? response:	Why didn't I realize it before?
context: Huh? W-\Woah! That was close...\What's that?\My glasses.\Could it be...\That was what you wanted to get?\That's right. What the heck did you think I wanted?\Why didn't I realize it before? response:	Pink
context: Woah! That was close...\What's that?\My glasses.\Could it be...\That was what you wanted to get?\That's right. What the heck did you think I wanted?\Why didn't I realize it before?\Pink response:	You're not much of a fight, even though you're her older brother are you?
context: What's that?\My glasses.\Could it be...\That was what you wanted to get?\That's right. What the heck did you think I wanted?\Why didn't I realize it before?\Pink\You're not much of a fight, even though you're her older brother are you? response:	How do you know about Kureha-
context: My glasses.\Could it be...\That was what you wanted to get?\That's right. What the heck did you think I wanted?\Why didn't I realize it before?\Pink\You're not much of a fight, even though you're her older brother are you?\How do you know about Kureha- response:	I really, REALLY can't believe this.
context: Could it be...\That was what you wanted to get?\That's right. What the heck did you think I wanted?\Why didn't I realize it before?\Pink\You're not much of a fight, even though you're her older brother are you?\How do you know about Kureha-\I really, REALLY can't believe this. response:	Why does it have to be you?
context: That was what you wanted to get?\That's right. What the heck did you think I wanted?\Why didn't I realize it before?\Pink\You're not much of a fight, even though you're her older brother are you?\How do you know about Kureha-\I really, REALLY can't believe this.\Why does it have to be you? response:	It's coming out... Something's coming out!
context: That's right. What the heck did you think I wanted?\Why didn't I realize it before?\Pink\You're not much of a fight, even though you're her older brother are you?\How do you know about Kureha-\I really, REALLY can't believe this.\Why does it have to be you?\It's coming out... Something's coming out! response:	Hey, tell me.
context: Why didn't I realize it before?\Pink\You're not much of a fight, even though you're her older brother are you?\How do you know about Kureha-\I really, REALLY can't believe this.\Why does it have to be you?\It's coming out... Something's coming out!\Hey, tell me. response:	Why does someone like you...
context: Pink\You're not much of a fight, even though you're her older brother are you?\How do you know about Kureha-\I really, REALLY can't believe this.\Why does it have to be you?\It's coming out... Something's coming out!\Hey, tell me.\Why does someone like you... response:	have to be Subaru-sama's friend?
context: You're not much of a fight, even though you're her older brother are you?\How do you know about Kureha-\I really, REALLY can't believe this.\Why does it have to be you?\It's coming out... Something's coming out!\Hey, tell me.\Why does someone like you...\have to be Subaru-sama's friend? response:	What?
context: How do you know about Kureha-\I really, REALLY can't believe this.\Why does it have to be you?\It's coming out... Something's coming out!\Hey, tell me.\Why does someone like you...\have to be Subaru-sama's friend?\What? response:	Since I asked you, I'll tell you my name as well. I'm Usami.
context: I really, REALLY can't believe this.\Why does it have to be you?\It's coming out... Something's coming out!\Hey, tell me.\Why does someone like you...\have to be Subaru-sama's friend?\What?\Since I asked you, I'll tell you my name as well. I'm Usami. response:	Rabbit?
context: Why does it have to be you?\It's coming out... Something's coming out!\Hey, tell me.\Why does someone like you...\have to be Subaru-sama's friend?\What?\Since I asked you, I'll tell you my name as well. I'm Usami.\Rabbit? response:	Not Rabbit! I'm a Roran Academy second-year, member of the textile arts club.
context: It's coming out... Something's coming out!\Hey, tell me.\Why does someone like you...\have to be Subaru-sama's friend?\What?\Since I asked you, I'll tell you my name as well. I'm Usami.\Rabbit?\Not Rabbit! I'm a Roran Academy second-year, member of the textile arts club. response:	Usami Masamune!
context: Hey, tell me.\Why does someone like you...\have to be Subaru-sama's friend?\What?\Since I asked you, I'll tell you my name as well. I'm Usami.\Rabbit?\Not Rabbit! I'm a Roran Academy second-year, member of the textile arts club.\Usami Masamune! response:	Textile arts club, is it?
context: Why does someone like you...\have to be Subaru-sama's friend?\What?\Since I asked you, I'll tell you my name as well. I'm Usami.\Rabbit?\Not Rabbit! I'm a Roran Academy second-year, member of the textile arts club.\Usami Masamune!\Textile arts club, is it? response:	Nurse's Office
context: have to be Subaru-sama's friend?\What?\Since I asked you, I'll tell you my name as well. I'm Usami.\Rabbit?\Not Rabbit! I'm a Roran Academy second-year, member of the textile arts club.\Usami Masamune!\Textile arts club, is it?\Nurse's Office response:	It hurts!
context: What?\Since I asked you, I'll tell you my name as well. I'm Usami.\Rabbit?\Not Rabbit! I'm a Roran Academy second-year, member of the textile arts club.\Usami Masamune!\Textile arts club, is it?\Nurse's Office\It hurts! response:	Damn, that girl!
context: Since I asked you, I'll tell you my name as well. I'm Usami.\Rabbit?\Not Rabbit! I'm a Roran Academy second-year, member of the textile arts club.\Usami Masamune!\Textile arts club, is it?\Nurse's Office\It hurts!\Damn, that girl! response:	It hurts!
context: Rabbit?\Not Rabbit! I'm a Roran Academy second-year, member of the textile arts club.\Usami Masamune!\Textile arts club, is it?\Nurse's Office\It hurts!\Damn, that girl!\It hurts! response:	Are you all right?
context: Not Rabbit! I'm a Roran Academy second-year, member of the textile arts club.\Usami Masamune!\Textile arts club, is it?\Nurse's Office\It hurts!\Damn, that girl!\It hurts!\Are you all right? response:	Konoe?
context: Usami Masamune!\Textile arts club, is it?\Nurse's Office\It hurts!\Damn, that girl!\It hurts!\Are you all right?\Konoe? response:	Jirou, I was startled!
context: Textile arts club, is it?\Nurse's Office\It hurts!\Damn, that girl!\It hurts!\Are you all right?\Konoe?\Jirou, I was startled! response:	I was surprised to have found you lying face-down on the road.
context: Nurse's Office\It hurts!\Damn, that girl!\It hurts!\Are you all right?\Konoe?\Jirou, I was startled!\I was surprised to have found you lying face-down on the road. response:	I even brought you to the academy.
context: It hurts!\Damn, that girl!\It hurts!\Are you all right?\Konoe?\Jirou, I was startled!\I was surprised to have found you lying face-down on the road.\I even brought you to the academy. response:	Were you hit by a car?
context: Damn, that girl!\It hurts!\Are you all right?\Konoe?\Jirou, I was startled!\I was surprised to have found you lying face-down on the road.\I even brought you to the academy.\Were you hit by a car? response:	Well, something like that.
context: It hurts!\Are you all right?\Konoe?\Jirou, I was startled!\I was surprised to have found you lying face-down on the road.\I even brought you to the academy.\Were you hit by a car?\Well, something like that. response:	What?!
context: Are you all right?\Konoe?\Jirou, I was startled!\I was surprised to have found you lying face-down on the road.\I even brought you to the academy.\Were you hit by a car?\Well, something like that.\What?! response:	I'm all right. I didn't get hurt.
context: Konoe?\Jirou, I was startled!\I was surprised to have found you lying face-down on the road.\I even brought you to the academy.\Were you hit by a car?\Well, something like that.\What?!\I'm all right. I didn't get hurt. response:	I see. If you say so, then it's fine, but...
context: Jirou, I was startled!\I was surprised to have found you lying face-down on the road.\I even brought you to the academy.\Were you hit by a car?\Well, something like that.\What?!\I'm all right. I didn't get hurt.\I see. If you say so, then it's fine, but... response:	Say, Jirou, you said things in your sleep that I couldn't quite understand...
context: I was surprised to have found you lying face-down on the road.\I even brought you to the academy.\Were you hit by a car?\Well, something like that.\What?!\I'm all right. I didn't get hurt.\I see. If you say so, then it's fine, but...\Say, Jirou, you said things in your sleep that I couldn't quite understand... response:	Sleeptalking?
context: I even brought you to the academy.\Were you hit by a car?\Well, something like that.\What?!\I'm all right. I didn't get hurt.\I see. If you say so, then it's fine, but...\Say, Jirou, you said things in your sleep that I couldn't quite understand...\Sleeptalking? response:	Please forgive me, my queen!
context: Were you hit by a car?\Well, something like that.\What?!\I'm all right. I didn't get hurt.\I see. If you say so, then it's fine, but...\Say, Jirou, you said things in your sleep that I couldn't quite understand...\Sleeptalking?\Please forgive me, my queen! response:	If you keep stretching me like this, I might start to see a whole new world!
context: Well, something like that.\What?!\I'm all right. I didn't get hurt.\I see. If you say so, then it's fine, but...\Say, Jirou, you said things in your sleep that I couldn't quite understand...\Sleeptalking?\Please forgive me, my queen!\If you keep stretching me like this, I might start to see a whole new world! response:	Or like,
context: What?!\I'm all right. I didn't get hurt.\I see. If you say so, then it's fine, but...\Say, Jirou, you said things in your sleep that I couldn't quite understand...\Sleeptalking?\Please forgive me, my queen!\If you keep stretching me like this, I might start to see a whole new world!\Or like, response:	I'll give it back! Please forgive me already! Oh my lord!
context: I'm all right. I didn't get hurt.\I see. If you say so, then it's fine, but...\Say, Jirou, you said things in your sleep that I couldn't quite understand...\Sleeptalking?\Please forgive me, my queen!\If you keep stretching me like this, I might start to see a whole new world!\Or like,\I'll give it back! Please forgive me already! Oh my lord! response:	And there is...
context: I see. If you say so, then it's fine, but...\Say, Jirou, you said things in your sleep that I couldn't quite understand...\Sleeptalking?\Please forgive me, my queen!\If you keep stretching me like this, I might start to see a whole new world!\Or like,\I'll give it back! Please forgive me already! Oh my lord!\And there is... response:	What she did earlier went straight to my subconscious!
context: Say, Jirou, you said things in your sleep that I couldn't quite understand...\Sleeptalking?\Please forgive me, my queen!\If you keep stretching me like this, I might start to see a whole new world!\Or like,\I'll give it back! Please forgive me already! Oh my lord!\And there is...\What she did earlier went straight to my subconscious! response:	Could it be that your heart is in turmoil?
context: Sleeptalking?\Please forgive me, my queen!\If you keep stretching me like this, I might start to see a whole new world!\Or like,\I'll give it back! Please forgive me already! Oh my lord!\And there is...\What she did earlier went straight to my subconscious!\Could it be that your heart is in turmoil? response:	There's no problem!
context: Please forgive me, my queen!\If you keep stretching me like this, I might start to see a whole new world!\Or like,\I'll give it back! Please forgive me already! Oh my lord!\And there is...\What she did earlier went straight to my subconscious!\Could it be that your heart is in turmoil?\There's no problem! response:	Now that I think about it, where's Suzutsuki?
context: If you keep stretching me like this, I might start to see a whole new world!\Or like,\I'll give it back! Please forgive me already! Oh my lord!\And there is...\What she did earlier went straight to my subconscious!\Could it be that your heart is in turmoil?\There's no problem!\Now that I think about it, where's Suzutsuki? response:	Wasn't she with you?
context: Or like,\I'll give it back! Please forgive me already! Oh my lord!\And there is...\What she did earlier went straight to my subconscious!\Could it be that your heart is in turmoil?\There's no problem!\Now that I think about it, where's Suzutsuki?\Wasn't she with you? response:	She's in class.
context: I'll give it back! Please forgive me already! Oh my lord!\And there is...\What she did earlier went straight to my subconscious!\Could it be that your heart is in turmoil?\There's no problem!\Now that I think about it, where's Suzutsuki?\Wasn't she with you?\She's in class. response:	That's right.
context: And there is...\What she did earlier went straight to my subconscious!\Could it be that your heart is in turmoil?\There's no problem!\Now that I think about it, where's Suzutsuki?\Wasn't she with you?\She's in class.\That's right. response:	Have you been avoiding her?
context: What she did earlier went straight to my subconscious!\Could it be that your heart is in turmoil?\There's no problem!\Now that I think about it, where's Suzutsuki?\Wasn't she with you?\She's in class.\That's right.\Have you been avoiding her? response:	To be more precise, ever since the end of the Golden Week.
context: Could it be that your heart is in turmoil?\There's no problem!\Now that I think about it, where's Suzutsuki?\Wasn't she with you?\She's in class.\That's right.\Have you been avoiding her?\To be more precise, ever since the end of the Golden Week. response:	If you have something that is bothering you, then tell me about it.
context: There's no problem!\Now that I think about it, where's Suzutsuki?\Wasn't she with you?\She's in class.\That's right.\Have you been avoiding her?\To be more precise, ever since the end of the Golden Week.\If you have something that is bothering you, then tell me about it. response:	We're friends, right?
context: Now that I think about it, where's Suzutsuki?\Wasn't she with you?\She's in class.\That's right.\Have you been avoiding her?\To be more precise, ever since the end of the Golden Week.\If you have something that is bothering you, then tell me about it.\We're friends, right? response:	I can at least give you some advice since we're friends.
context: Wasn't she with you?\She's in class.\That's right.\Have you been avoiding her?\To be more precise, ever since the end of the Golden Week.\If you have something that is bothering you, then tell me about it.\We're friends, right?\I can at least give you some advice since we're friends. response:	Konoe!
context: She's in class.\That's right.\Have you been avoiding her?\To be more precise, ever since the end of the Golden Week.\If you have something that is bothering you, then tell me about it.\We're friends, right?\I can at least give you some advice since we're friends.\Konoe! response:	But there is one condition.
context: That's right.\Have you been avoiding her?\To be more precise, ever since the end of the Golden Week.\If you have something that is bothering you, then tell me about it.\We're friends, right?\I can at least give you some advice since we're friends.\Konoe!\But there is one condition. response:	Condition?
context: Have you been avoiding her?\To be more precise, ever since the end of the Golden Week.\If you have something that is bothering you, then tell me about it.\We're friends, right?\I can at least give you some advice since we're friends.\Konoe!\But there is one condition.\Condition? response:	I want you to go with me to the school festival.
context: To be more precise, ever since the end of the Golden Week.\If you have something that is bothering you, then tell me about it.\We're friends, right?\I can at least give you some advice since we're friends.\Konoe!\But there is one condition.\Condition?\I want you to go with me to the school festival. response:	School festival?
context: If you have something that is bothering you, then tell me about it.\We're friends, right?\I can at least give you some advice since we're friends.\Konoe!\But there is one condition.\Condition?\I want you to go with me to the school festival.\School festival? response:	Ojou-sama seems to be busy organizing the event.
context: We're friends, right?\I can at least give you some advice since we're friends.\Konoe!\But there is one condition.\Condition?\I want you to go with me to the school festival.\School festival?\Ojou-sama seems to be busy organizing the event. response:	I was told to enjoy the festival and not worry about her, but...
context: I can at least give you some advice since we're friends.\Konoe!\But there is one condition.\Condition?\I want you to go with me to the school festival.\School festival?\Ojou-sama seems to be busy organizing the event.\I was told to enjoy the festival and not worry about her, but... response:	I don't know how to have fun at a school festival.
context: Konoe!\But there is one condition.\Condition?\I want you to go with me to the school festival.\School festival?\Ojou-sama seems to be busy organizing the event.\I was told to enjoy the festival and not worry about her, but...\I don't know how to have fun at a school festival. response:	That's why I want you to go to the school festival with me.
context: But there is one condition.\Condition?\I want you to go with me to the school festival.\School festival?\Ojou-sama seems to be busy organizing the event.\I was told to enjoy the festival and not worry about her, but...\I don't know how to have fun at a school festival.\That's why I want you to go to the school festival with me. response:	You're such a fool.
context: Condition?\I want you to go with me to the school festival.\School festival?\Ojou-sama seems to be busy organizing the event.\I was told to enjoy the festival and not worry about her, but...\I don't know how to have fun at a school festival.\That's why I want you to go to the school festival with me.\You're such a fool. response:	Don't worry!
context: I want you to go with me to the school festival.\School festival?\Ojou-sama seems to be busy organizing the event.\I was told to enjoy the festival and not worry about her, but...\I don't know how to have fun at a school festival.\That's why I want you to go to the school festival with me.\You're such a fool.\Don't worry! response:	Let's go together, to the school festival!
context: School festival?\Ojou-sama seems to be busy organizing the event.\I was told to enjoy the festival and not worry about her, but...\I don't know how to have fun at a school festival.\That's why I want you to go to the school festival with me.\You're such a fool.\Don't worry!\Let's go together, to the school festival! response:	Thank you!
context: Ojou-sama seems to be busy organizing the event.\I was told to enjoy the festival and not worry about her, but...\I don't know how to have fun at a school festival.\That's why I want you to go to the school festival with me.\You're such a fool.\Don't worry!\Let's go together, to the school festival!\Thank you! response:	I am sure it'll be a fun school festival!
context: I was told to enjoy the festival and not worry about her, but...\I don't know how to have fun at a school festival.\That's why I want you to go to the school festival with me.\You're such a fool.\Don't worry!\Let's go together, to the school festival!\Thank you!\I am sure it'll be a fun school festival! response:	I guess so.
context: I don't know how to have fun at a school festival.\That's why I want you to go to the school festival with me.\You're such a fool.\Don't worry!\Let's go together, to the school festival!\Thank you!\I am sure it'll be a fun school festival!\I guess so. response:	Okay. I will listen to whatever is bothering you!
context: That's why I want you to go to the school festival with me.\You're such a fool.\Don't worry!\Let's go together, to the school festival!\Thank you!\I am sure it'll be a fun school festival!\I guess so.\Okay. I will listen to whatever is bothering you! response:	Lets see...
context: You're such a fool.\Don't worry!\Let's go together, to the school festival!\Thank you!\I am sure it'll be a fun school festival!\I guess so.\Okay. I will listen to whatever is bothering you!\Lets see... response:	You don't need to be so stiff!
context: Don't worry!\Let's go together, to the school festival!\Thank you!\I am sure it'll be a fun school festival!\I guess so.\Okay. I will listen to whatever is bothering you!\Lets see...\You don't need to be so stiff! response:	Please listen to me without jumping to conclusions.
context: Let's go together, to the school festival!\Thank you!\I am sure it'll be a fun school festival!\I guess so.\Okay. I will listen to whatever is bothering you!\Lets see...\You don't need to be so stiff!\Please listen to me without jumping to conclusions. response:	I'm a butler.
context: Thank you!\I am sure it'll be a fun school festival!\I guess so.\Okay. I will listen to whatever is bothering you!\Lets see...\You don't need to be so stiff!\Please listen to me without jumping to conclusions.\I'm a butler. response:	I won't get startled by the little things.
context: I am sure it'll be a fun school festival!\I guess so.\Okay. I will listen to whatever is bothering you!\Lets see...\You don't need to be so stiff!\Please listen to me without jumping to conclusions.\I'm a butler.\I won't get startled by the little things. response:	Say whatever you want.
context: I guess so.\Okay. I will listen to whatever is bothering you!\Lets see...\You don't need to be so stiff!\Please listen to me without jumping to conclusions.\I'm a butler.\I won't get startled by the little things.\Say whatever you want. response:	Then, here I go!
context: Okay. I will listen to whatever is bothering you!\Lets see...\You don't need to be so stiff!\Please listen to me without jumping to conclusions.\I'm a butler.\I won't get startled by the little things.\Say whatever you want.\Then, here I go! response:	Actually, it's about my first kiss.
context: Lets see...\You don't need to be so stiff!\Please listen to me without jumping to conclusions.\I'm a butler.\I won't get startled by the little things.\Say whatever you want.\Then, here I go!\Actually, it's about my first kiss. response:	Why are you saying such things now?
