context: Once upon a time, there was a maiden. response:	The maiden wore tattered clothes and was called Cinderella,
context: You can't protect Mytho only by restoring his heart!\Fakir!\But Kraehe was in pain...\Then that was your chance!\I could do it! If it came down to it, I could even kill you!\Tutu, run!\Why do you get in the way of regaining my heart?\Get in your way? response:	I want to get my heart back.
context: Fakir!\But Kraehe was in pain...\Then that was your chance!\I could do it! If it came down to it, I could even kill you!\Tutu, run!\Why do you get in the way of regaining my heart?\Get in your way?\I want to get my heart back. response:	No matter what fate awaits me, I...
context: But Kraehe was in pain...\Then that was your chance!\I could do it! If it came down to it, I could even kill you!\Tutu, run!\Why do you get in the way of regaining my heart?\Get in your way?\I want to get my heart back.\No matter what fate awaits me, I... response:	Fakir, are you trembling?
context: Then that was your chance!\I could do it! If it came down to it, I could even kill you!\Tutu, run!\Why do you get in the way of regaining my heart?\Get in your way?\I want to get my heart back.\No matter what fate awaits me, I...\Fakir, are you trembling? response:	Why?
context: I could do it! If it came down to it, I could even kill you!\Tutu, run!\Why do you get in the way of regaining my heart?\Get in your way?\I want to get my heart back.\No matter what fate awaits me, I...\Fakir, are you trembling?\Why? response:	Cinderella
context: Tutu, run!\Why do you get in the way of regaining my heart?\Get in your way?\I want to get my heart back.\No matter what fate awaits me, I...\Fakir, are you trembling?\Why?\Cinderella response:	This is...
context: Why do you get in the way of regaining my heart?\Get in your way?\I want to get my heart back.\No matter what fate awaits me, I...\Fakir, are you trembling?\Why?\Cinderella\This is... response:	Why?
context: Get in your way?\I want to get my heart back.\No matter what fate awaits me, I...\Fakir, are you trembling?\Why?\Cinderella\This is...\Why? response:	When in the world did I go back to being a duck?
context: I want to get my heart back.\No matter what fate awaits me, I...\Fakir, are you trembling?\Why?\Cinderella\This is...\Why?\When in the world did I go back to being a duck? response:	I know!
context: No matter what fate awaits me, I...\Fakir, are you trembling?\Why?\Cinderella\This is...\Why?\When in the world did I go back to being a duck?\I know! response:	Why?! Why aren't I turning back into a girl?!
context: Fakir, are you trembling?\Why?\Cinderella\This is...\Why?\When in the world did I go back to being a duck?\I know!\Why?! Why aren't I turning back into a girl?! response:	The pendant...
context: Why?\Cinderella\This is...\Why?\When in the world did I go back to being a duck?\I know!\Why?! Why aren't I turning back into a girl?!\The pendant... response:	This is good, Little Duck.
context: Cinderella\This is...\Why?\When in the world did I go back to being a duck?\I know!\Why?! Why aren't I turning back into a girl?!\The pendant...\This is good, Little Duck. response:	There's nothing more boring than a perfect heroine after all.
context: This is...\Why?\When in the world did I go back to being a duck?\I know!\Why?! Why aren't I turning back into a girl?!\The pendant...\This is good, Little Duck.\There's nothing more boring than a perfect heroine after all. response:	When the spell is broken, Ahiru is just a duck.
context: Why?\When in the world did I go back to being a duck?\I know!\Why?! Why aren't I turning back into a girl?!\The pendant...\This is good, Little Duck.\There's nothing more boring than a perfect heroine after all.\When the spell is broken, Ahiru is just a duck. response:	Now, show us well and good what the duck will do, what the duck is capable of.
context: When in the world did I go back to being a duck?\I know!\Why?! Why aren't I turning back into a girl?!\The pendant...\This is good, Little Duck.\There's nothing more boring than a perfect heroine after all.\When the spell is broken, Ahiru is just a duck.\Now, show us well and good what the duck will do, what the duck is capable of. response:	Quack...
context: I know!\Why?! Why aren't I turning back into a girl?!\The pendant...\This is good, Little Duck.\There's nothing more boring than a perfect heroine after all.\When the spell is broken, Ahiru is just a duck.\Now, show us well and good what the duck will do, what the duck is capable of.\Quack... response:	What'll I do?
context: Why?! Why aren't I turning back into a girl?!\The pendant...\This is good, Little Duck.\There's nothing more boring than a perfect heroine after all.\When the spell is broken, Ahiru is just a duck.\Now, show us well and good what the duck will do, what the duck is capable of.\Quack...\What'll I do? response:	Without the pendant, I can't become a girl or Tutu.
context: The pendant...\This is good, Little Duck.\There's nothing more boring than a perfect heroine after all.\When the spell is broken, Ahiru is just a duck.\Now, show us well and good what the duck will do, what the duck is capable of.\Quack...\What'll I do?\Without the pendant, I can't become a girl or Tutu. response:	Where could it have gone?
context: This is good, Little Duck.\There's nothing more boring than a perfect heroine after all.\When the spell is broken, Ahiru is just a duck.\Now, show us well and good what the duck will do, what the duck is capable of.\Quack...\What'll I do?\Without the pendant, I can't become a girl or Tutu.\Where could it have gone? response:	My pendant...
context: There's nothing more boring than a perfect heroine after all.\When the spell is broken, Ahiru is just a duck.\Now, show us well and good what the duck will do, what the duck is capable of.\Quack...\What'll I do?\Without the pendant, I can't become a girl or Tutu.\Where could it have gone?\My pendant... response:	Just you try and come for it, Princess Tutu...
context: When the spell is broken, Ahiru is just a duck.\Now, show us well and good what the duck will do, what the duck is capable of.\Quack...\What'll I do?\Without the pendant, I can't become a girl or Tutu.\Where could it have gone?\My pendant...\Just you try and come for it, Princess Tutu... response:	Fakir, are you trembling?
context: Now, show us well and good what the duck will do, what the duck is capable of.\Quack...\What'll I do?\Without the pendant, I can't become a girl or Tutu.\Where could it have gone?\My pendant...\Just you try and come for it, Princess Tutu...\Fakir, are you trembling? response:	That's absurd.
context: Quack...\What'll I do?\Without the pendant, I can't become a girl or Tutu.\Where could it have gone?\My pendant...\Just you try and come for it, Princess Tutu...\Fakir, are you trembling?\That's absurd. response:	Where are you, Princess Tutu?
context: What'll I do?\Without the pendant, I can't become a girl or Tutu.\Where could it have gone?\My pendant...\Just you try and come for it, Princess Tutu...\Fakir, are you trembling?\That's absurd.\Where are you, Princess Tutu? response:	Hey...
context: Without the pendant, I can't become a girl or Tutu.\Where could it have gone?\My pendant...\Just you try and come for it, Princess Tutu...\Fakir, are you trembling?\That's absurd.\Where are you, Princess Tutu?\Hey... response:	Hey...
context: Where could it have gone?\My pendant...\Just you try and come for it, Princess Tutu...\Fakir, are you trembling?\That's absurd.\Where are you, Princess Tutu?\Hey...\Hey... response:	Oh! I must have fallen asleep!
context: My pendant...\Just you try and come for it, Princess Tutu...\Fakir, are you trembling?\That's absurd.\Where are you, Princess Tutu?\Hey...\Hey...\Oh! I must have fallen asleep! response:	You're that duck from the other day, aren't you?
context: Just you try and come for it, Princess Tutu...\Fakir, are you trembling?\That's absurd.\Where are you, Princess Tutu?\Hey...\Hey...\Oh! I must have fallen asleep!\You're that duck from the other day, aren't you? response:	The pendant!
context: Fakir, are you trembling?\That's absurd.\Where are you, Princess Tutu?\Hey...\Hey...\Oh! I must have fallen asleep!\You're that duck from the other day, aren't you?\The pendant! response:	What is it? Have you taken a liking to this?
context: That's absurd.\Where are you, Princess Tutu?\Hey...\Hey...\Oh! I must have fallen asleep!\You're that duck from the other day, aren't you?\The pendant!\What is it? Have you taken a liking to this? response:	I envy your innocence.
context: Where are you, Princess Tutu?\Hey...\Hey...\Oh! I must have fallen asleep!\You're that duck from the other day, aren't you?\The pendant!\What is it? Have you taken a liking to this?\I envy your innocence. response:	He's got it on.
context: Hey...\Hey...\Oh! I must have fallen asleep!\You're that duck from the other day, aren't you?\The pendant!\What is it? Have you taken a liking to this?\I envy your innocence.\He's got it on. response:	Maybe Princess Tutu is among these girls.
context: Hey...\Oh! I must have fallen asleep!\You're that duck from the other day, aren't you?\The pendant!\What is it? Have you taken a liking to this?\I envy your innocence.\He's got it on.\Maybe Princess Tutu is among these girls. response:	Cat-sensei, I smell a tasty duck.
context: Oh! I must have fallen asleep!\You're that duck from the other day, aren't you?\The pendant!\What is it? Have you taken a liking to this?\I envy your innocence.\He's got it on.\Maybe Princess Tutu is among these girls.\Cat-sensei, I smell a tasty duck. response:	Hush, Crocodelia-san.
context: You're that duck from the other day, aren't you?\The pendant!\What is it? Have you taken a liking to this?\I envy your innocence.\He's got it on.\Maybe Princess Tutu is among these girls.\Cat-sensei, I smell a tasty duck.\Hush, Crocodelia-san. response:	Maybe I'm thinking too hard.
context: The pendant!\What is it? Have you taken a liking to this?\I envy your innocence.\He's got it on.\Maybe Princess Tutu is among these girls.\Cat-sensei, I smell a tasty duck.\Hush, Crocodelia-san.\Maybe I'm thinking too hard. response:	Mytho's so beautiful.
context: What is it? Have you taken a liking to this?\I envy your innocence.\He's got it on.\Maybe Princess Tutu is among these girls.\Cat-sensei, I smell a tasty duck.\Hush, Crocodelia-san.\Maybe I'm thinking too hard.\Mytho's so beautiful. response:	He was always beautiful, but now, he's even more...
context: I envy your innocence.\He's got it on.\Maybe Princess Tutu is among these girls.\Cat-sensei, I smell a tasty duck.\Hush, Crocodelia-san.\Maybe I'm thinking too hard.\Mytho's so beautiful.\He was always beautiful, but now, he's even more... response:	Is that because he's regained some emotions?
context: He's got it on.\Maybe Princess Tutu is among these girls.\Cat-sensei, I smell a tasty duck.\Hush, Crocodelia-san.\Maybe I'm thinking too hard.\Mytho's so beautiful.\He was always beautiful, but now, he's even more...\Is that because he's regained some emotions? response:	Isn't the Mytho-sama beautiful?
context: Maybe Princess Tutu is among these girls.\Cat-sensei, I smell a tasty duck.\Hush, Crocodelia-san.\Maybe I'm thinking too hard.\Mytho's so beautiful.\He was always beautiful, but now, he's even more...\Is that because he's regained some emotions?\Isn't the Mytho-sama beautiful? response:	I bet Ahiru will be disappointed she missed it.
context: Cat-sensei, I smell a tasty duck.\Hush, Crocodelia-san.\Maybe I'm thinking too hard.\Mytho's so beautiful.\He was always beautiful, but now, he's even more...\Is that because he's regained some emotions?\Isn't the Mytho-sama beautiful?\I bet Ahiru will be disappointed she missed it. response:	I wonder if Ahiru is suffering badly from the rejection?
context: Hush, Crocodelia-san.\Maybe I'm thinking too hard.\Mytho's so beautiful.\He was always beautiful, but now, he's even more...\Is that because he's regained some emotions?\Isn't the Mytho-sama beautiful?\I bet Ahiru will be disappointed she missed it.\I wonder if Ahiru is suffering badly from the rejection? response:	I'd love it if she is.
context: Maybe I'm thinking too hard.\Mytho's so beautiful.\He was always beautiful, but now, he's even more...\Is that because he's regained some emotions?\Isn't the Mytho-sama beautiful?\I bet Ahiru will be disappointed she missed it.\I wonder if Ahiru is suffering badly from the rejection?\I'd love it if she is. response:	I hope she'll be up to coming back to class soon.
context: Mytho's so beautiful.\He was always beautiful, but now, he's even more...\Is that because he's regained some emotions?\Isn't the Mytho-sama beautiful?\I bet Ahiru will be disappointed she missed it.\I wonder if Ahiru is suffering badly from the rejection?\I'd love it if she is.\I hope she'll be up to coming back to class soon. response:	Right, right, before she fully recovers.
context: He was always beautiful, but now, he's even more...\Is that because he's regained some emotions?\Isn't the Mytho-sama beautiful?\I bet Ahiru will be disappointed she missed it.\I wonder if Ahiru is suffering badly from the rejection?\I'd love it if she is.\I hope she'll be up to coming back to class soon.\Right, right, before she fully recovers. response:	Well, despite how she looks, she recovers quickly, so...
context: Is that because he's regained some emotions?\Isn't the Mytho-sama beautiful?\I bet Ahiru will be disappointed she missed it.\I wonder if Ahiru is suffering badly from the rejection?\I'd love it if she is.\I hope she'll be up to coming back to class soon.\Right, right, before she fully recovers.\Well, despite how she looks, she recovers quickly, so... response:	No!
context: Isn't the Mytho-sama beautiful?\I bet Ahiru will be disappointed she missed it.\I wonder if Ahiru is suffering badly from the rejection?\I'd love it if she is.\I hope she'll be up to coming back to class soon.\Right, right, before she fully recovers.\Well, despite how she looks, she recovers quickly, so...\No! response:	Pike-san, Lilie-san...
context: I bet Ahiru will be disappointed she missed it.\I wonder if Ahiru is suffering badly from the rejection?\I'd love it if she is.\I hope she'll be up to coming back to class soon.\Right, right, before she fully recovers.\Well, despite how she looks, she recovers quickly, so...\No!\Pike-san, Lilie-san... response:	If you continue to chitchat during class,
context: I wonder if Ahiru is suffering badly from the rejection?\I'd love it if she is.\I hope she'll be up to coming back to class soon.\Right, right, before she fully recovers.\Well, despite how she looks, she recovers quickly, so...\No!\Pike-san, Lilie-san...\If you continue to chitchat during class, response:	I will have both of you marry me together!
context: I'd love it if she is.\I hope she'll be up to coming back to class soon.\Right, right, before she fully recovers.\Well, despite how she looks, she recovers quickly, so...\No!\Pike-san, Lilie-san...\If you continue to chitchat during class,\I will have both of you marry me together! response:	While we're at it, how about we include Ahiru-san, who is absent today,
context: I hope she'll be up to coming back to class soon.\Right, right, before she fully recovers.\Well, despite how she looks, she recovers quickly, so...\No!\Pike-san, Lilie-san...\If you continue to chitchat during class,\I will have both of you marry me together!\While we're at it, how about we include Ahiru-san, who is absent today, response:	and all three of you can get married together?
context: Right, right, before she fully recovers.\Well, despite how she looks, she recovers quickly, so...\No!\Pike-san, Lilie-san...\If you continue to chitchat during class,\I will have both of you marry me together!\While we're at it, how about we include Ahiru-san, who is absent today,\and all three of you can get married together? response:	You danced splendidly, Mytho-san.
context: Well, despite how she looks, she recovers quickly, so...\No!\Pike-san, Lilie-san...\If you continue to chitchat during class,\I will have both of you marry me together!\While we're at it, how about we include Ahiru-san, who is absent today,\and all three of you can get married together?\You danced splendidly, Mytho-san. response:	You're beginning to convey more emotion over technique.
context: No!\Pike-san, Lilie-san...\If you continue to chitchat during class,\I will have both of you marry me together!\While we're at it, how about we include Ahiru-san, who is absent today,\and all three of you can get married together?\You danced splendidly, Mytho-san.\You're beginning to convey more emotion over technique. response:	Yes, sir.
context: Pike-san, Lilie-san...\If you continue to chitchat during class,\I will have both of you marry me together!\While we're at it, how about we include Ahiru-san, who is absent today,\and all three of you can get married together?\You danced splendidly, Mytho-san.\You're beginning to convey more emotion over technique.\Yes, sir. response:	You are in love... are you not?
context: If you continue to chitchat during class,\I will have both of you marry me together!\While we're at it, how about we include Ahiru-san, who is absent today,\and all three of you can get married together?\You danced splendidly, Mytho-san.\You're beginning to convey more emotion over technique.\Yes, sir.\You are in love... are you not? response:	What?
context: I will have both of you marry me together!\While we're at it, how about we include Ahiru-san, who is absent today,\and all three of you can get married together?\You danced splendidly, Mytho-san.\You're beginning to convey more emotion over technique.\Yes, sir.\You are in love... are you not?\What? response:	I can tell, you see.
context: While we're at it, how about we include Ahiru-san, who is absent today,\and all three of you can get married together?\You danced splendidly, Mytho-san.\You're beginning to convey more emotion over technique.\Yes, sir.\You are in love... are you not?\What?\I can tell, you see. response:	In love?
context: and all three of you can get married together?\You danced splendidly, Mytho-san.\You're beginning to convey more emotion over technique.\Yes, sir.\You are in love... are you not?\What?\I can tell, you see.\In love? response:	Very well.
context: You danced splendidly, Mytho-san.\You're beginning to convey more emotion over technique.\Yes, sir.\You are in love... are you not?\What?\I can tell, you see.\In love?\Very well. response:	I will hold a special class on being in love after school for you.
context: You're beginning to convey more emotion over technique.\Yes, sir.\You are in love... are you not?\What?\I can tell, you see.\In love?\Very well.\I will hold a special class on being in love after school for you. response:	Mytho is?
context: Yes, sir.\You are in love... are you not?\What?\I can tell, you see.\In love?\Very well.\I will hold a special class on being in love after school for you.\Mytho is? response:	Yes, sir.
context: You are in love... are you not?\What?\I can tell, you see.\In love?\Very well.\I will hold a special class on being in love after school for you.\Mytho is?\Yes, sir. response:	Being in love is a wonderful thing, but there are some things you must be careful about.
context: What?\I can tell, you see.\In love?\Very well.\I will hold a special class on being in love after school for you.\Mytho is?\Yes, sir.\Being in love is a wonderful thing, but there are some things you must be careful about. response:	In particular, during puberty, self-control is important.
context: I can tell, you see.\In love?\Very well.\I will hold a special class on being in love after school for you.\Mytho is?\Yes, sir.\Being in love is a wonderful thing, but there are some things you must be careful about.\In particular, during puberty, self-control is important. response:	Quack.
context: In love?\Very well.\I will hold a special class on being in love after school for you.\Mytho is?\Yes, sir.\Being in love is a wonderful thing, but there are some things you must be careful about.\In particular, during puberty, self-control is important.\Quack. response:	The pendant... The pendant...
context: Very well.\I will hold a special class on being in love after school for you.\Mytho is?\Yes, sir.\Being in love is a wonderful thing, but there are some things you must be careful about.\In particular, during puberty, self-control is important.\Quack.\The pendant... The pendant... response:	It's not here!
context: I will hold a special class on being in love after school for you.\Mytho is?\Yes, sir.\Being in love is a wonderful thing, but there are some things you must be careful about.\In particular, during puberty, self-control is important.\Quack.\The pendant... The pendant...\It's not here! response:	Don't tell me he took it in there with him?!
context: Mytho is?\Yes, sir.\Being in love is a wonderful thing, but there are some things you must be careful about.\In particular, during puberty, self-control is important.\Quack.\The pendant... The pendant...\It's not here!\Don't tell me he took it in there with him?! response:	Oh, he's coming out!
context: Yes, sir.\Being in love is a wonderful thing, but there are some things you must be careful about.\In particular, during puberty, self-control is important.\Quack.\The pendant... The pendant...\It's not here!\Don't tell me he took it in there with him?!\Oh, he's coming out! response:	What should I do?! What should I do?!
context: Being in love is a wonderful thing, but there are some things you must be careful about.\In particular, during puberty, self-control is important.\Quack.\The pendant... The pendant...\It's not here!\Don't tell me he took it in there with him?!\Oh, he's coming out!\What should I do?! What should I do?! response:	Quack!
context: In particular, during puberty, self-control is important.\Quack.\The pendant... The pendant...\It's not here!\Don't tell me he took it in there with him?!\Oh, he's coming out!\What should I do?! What should I do?!\Quack! response:	So, he had it with him, after all.
context: Quack.\The pendant... The pendant...\It's not here!\Don't tell me he took it in there with him?!\Oh, he's coming out!\What should I do?! What should I do?!\Quack!\So, he had it with him, after all. response:	Is he injured?
context: The pendant... The pendant...\It's not here!\Don't tell me he took it in there with him?!\Oh, he's coming out!\What should I do?! What should I do?!\Quack!\So, he had it with him, after all.\Is he injured? response:	No, it's a birthmark.
context: It's not here!\Don't tell me he took it in there with him?!\Oh, he's coming out!\What should I do?! What should I do?!\Quack!\So, he had it with him, after all.\Is he injured?\No, it's a birthmark. response:	The pendant!
context: Don't tell me he took it in there with him?!\Oh, he's coming out!\What should I do?! What should I do?!\Quack!\So, he had it with him, after all.\Is he injured?\No, it's a birthmark.\The pendant! response:	If I could just reach it...
context: Oh, he's coming out!\What should I do?! What should I do?!\Quack!\So, he had it with him, after all.\Is he injured?\No, it's a birthmark.\The pendant!\If I could just reach it... response:	Mytho, you don't know anything.
context: What should I do?! What should I do?!\Quack!\So, he had it with him, after all.\Is he injured?\No, it's a birthmark.\The pendant!\If I could just reach it...\Mytho, you don't know anything. response:	You don't know what the implications are of regaining your heart.
context: Quack!\So, he had it with him, after all.\Is he injured?\No, it's a birthmark.\The pendant!\If I could just reach it...\Mytho, you don't know anything.\You don't know what the implications are of regaining your heart. response:	What?
context: So, he had it with him, after all.\Is he injured?\No, it's a birthmark.\The pendant!\If I could just reach it...\Mytho, you don't know anything.\You don't know what the implications are of regaining your heart.\What? response:	That damned Kraehe!
context: Is he injured?\No, it's a birthmark.\The pendant!\If I could just reach it...\Mytho, you don't know anything.\You don't know what the implications are of regaining your heart.\What?\That damned Kraehe! response:	Is this to say that she does not see me as a threat?!
context: No, it's a birthmark.\The pendant!\If I could just reach it...\Mytho, you don't know anything.\You don't know what the implications are of regaining your heart.\What?\That damned Kraehe!\Is this to say that she does not see me as a threat?! response:	Mytho and Kraehe's wedding?
context: The pendant!\If I could just reach it...\Mytho, you don't know anything.\You don't know what the implications are of regaining your heart.\What?\That damned Kraehe!\Is this to say that she does not see me as a threat?!\Mytho and Kraehe's wedding? response:	With Fakir as witness...
context: If I could just reach it...\Mytho, you don't know anything.\You don't know what the implications are of regaining your heart.\What?\That damned Kraehe!\Is this to say that she does not see me as a threat?!\Mytho and Kraehe's wedding?\With Fakir as witness... response:	Tonight at midnight, I will be waiting at the church...
context: Mytho, you don't know anything.\You don't know what the implications are of regaining your heart.\What?\That damned Kraehe!\Is this to say that she does not see me as a threat?!\Mytho and Kraehe's wedding?\With Fakir as witness...\Tonight at midnight, I will be waiting at the church... response:	What is Fakir...
context: You don't know what the implications are of regaining your heart.\What?\That damned Kraehe!\Is this to say that she does not see me as a threat?!\Mytho and Kraehe's wedding?\With Fakir as witness...\Tonight at midnight, I will be waiting at the church...\What is Fakir... response:	An antique shop?
context: What?\That damned Kraehe!\Is this to say that she does not see me as a threat?!\Mytho and Kraehe's wedding?\With Fakir as witness...\Tonight at midnight, I will be waiting at the church...\What is Fakir...\An antique shop? response:	Quack!
context: That damned Kraehe!\Is this to say that she does not see me as a threat?!\Mytho and Kraehe's wedding?\With Fakir as witness...\Tonight at midnight, I will be waiting at the church...\What is Fakir...\An antique shop?\Quack! response:	Karon...
context: Is this to say that she does not see me as a threat?!\Mytho and Kraehe's wedding?\With Fakir as witness...\Tonight at midnight, I will be waiting at the church...\What is Fakir...\An antique shop?\Quack!\Karon... response:	Fakir...
context: Mytho and Kraehe's wedding?\With Fakir as witness...\Tonight at midnight, I will be waiting at the church...\What is Fakir...\An antique shop?\Quack!\Karon...\Fakir... response:	Where's the sword?
context: With Fakir as witness...\Tonight at midnight, I will be waiting at the church...\What is Fakir...\An antique shop?\Quack!\Karon...\Fakir...\Where's the sword? response:	You haven't been home in ages and not even a greeting?
context: Tonight at midnight, I will be waiting at the church...\What is Fakir...\An antique shop?\Quack!\Karon...\Fakir...\Where's the sword?\You haven't been home in ages and not even a greeting? response:	There are plenty of swords in the shop.
context: What is Fakir...\An antique shop?\Quack!\Karon...\Fakir...\Where's the sword?\You haven't been home in ages and not even a greeting?\There are plenty of swords in the shop. response:	No, THAT sword.
context: An antique shop?\Quack!\Karon...\Fakir...\Where's the sword?\You haven't been home in ages and not even a greeting?\There are plenty of swords in the shop.\No, THAT sword. response:	The Lohengrin Sword.
context: Quack!\Karon...\Fakir...\Where's the sword?\You haven't been home in ages and not even a greeting?\There are plenty of swords in the shop.\No, THAT sword.\The Lohengrin Sword. response:	I need it.
