context: Who are you? response:	Do you want to know more about what happened in Vladivostok?
context: Actually, you know that better than me.\From the way you talk, you seem to know why BK201's star disappeared.\Who knows?\I heard some dangerous anti-contractor weapon was used.\An anti-contractor weapon?\As the name implies, it's a weapon that can take out contractors.\I believe you have seen something similar to the prototype two years ago.\How... response:	Have you heard about the Mitaka document?
context: From the way you talk, you seem to know why BK201's star disappeared.\Who knows?\I heard some dangerous anti-contractor weapon was used.\An anti-contractor weapon?\As the name implies, it's a weapon that can take out contractors.\I believe you have seen something similar to the prototype two years ago.\How...\Have you heard about the Mitaka document? response:	The thing you're looking for, that mysterious document, is in the hands of a certain organization.
context: Who knows?\I heard some dangerous anti-contractor weapon was used.\An anti-contractor weapon?\As the name implies, it's a weapon that can take out contractors.\I believe you have seen something similar to the prototype two years ago.\How...\Have you heard about the Mitaka document?\The thing you're looking for, that mysterious document, is in the hands of a certain organization. response:	The key word is Izanami.
context: I heard some dangerous anti-contractor weapon was used.\An anti-contractor weapon?\As the name implies, it's a weapon that can take out contractors.\I believe you have seen something similar to the prototype two years ago.\How...\Have you heard about the Mitaka document?\The thing you're looking for, that mysterious document, is in the hands of a certain organization.\The key word is Izanami. response:	Wait! How do you know what I'm looking for?
context: An anti-contractor weapon?\As the name implies, it's a weapon that can take out contractors.\I believe you have seen something similar to the prototype two years ago.\How...\Have you heard about the Mitaka document?\The thing you're looking for, that mysterious document, is in the hands of a certain organization.\The key word is Izanami.\Wait! How do you know what I'm looking for? response:	What is the Mitaka document?
context: As the name implies, it's a weapon that can take out contractors.\I believe you have seen something similar to the prototype two years ago.\How...\Have you heard about the Mitaka document?\The thing you're looking for, that mysterious document, is in the hands of a certain organization.\The key word is Izanami.\Wait! How do you know what I'm looking for?\What is the Mitaka document? response:	Make a wish upon a star.
context: I believe you have seen something similar to the prototype two years ago.\How...\Have you heard about the Mitaka document?\The thing you're looking for, that mysterious document, is in the hands of a certain organization.\The key word is Izanami.\Wait! How do you know what I'm looking for?\What is the Mitaka document?\Make a wish upon a star. response:	Upon a tiny, little, red star.
context: How...\Have you heard about the Mitaka document?\The thing you're looking for, that mysterious document, is in the hands of a certain organization.\The key word is Izanami.\Wait! How do you know what I'm looking for?\What is the Mitaka document?\Make a wish upon a star.\Upon a tiny, little, red star. response:	May I meet BK201 again.
context: Have you heard about the Mitaka document?\The thing you're looking for, that mysterious document, is in the hands of a certain organization.\The key word is Izanami.\Wait! How do you know what I'm looking for?\What is the Mitaka document?\Make a wish upon a star.\Upon a tiny, little, red star.\May I meet BK201 again. response:	Red star...
context: The thing you're looking for, that mysterious document, is in the hands of a certain organization.\The key word is Izanami.\Wait! How do you know what I'm looking for?\What is the Mitaka document?\Make a wish upon a star.\Upon a tiny, little, red star.\May I meet BK201 again.\Red star... response:	Tsukiakari no michishirube
context: The key word is Izanami.\Wait! How do you know what I'm looking for?\What is the Mitaka document?\Make a wish upon a star.\Upon a tiny, little, red star.\May I meet BK201 again.\Red star...\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: Wait! How do you know what I'm looking for?\What is the Mitaka document?\Make a wish upon a star.\Upon a tiny, little, red star.\May I meet BK201 again.\Red star...\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: What is the Mitaka document?\Make a wish upon a star.\Upon a tiny, little, red star.\May I meet BK201 again.\Red star...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: Make a wish upon a star.\Upon a tiny, little, red star.\May I meet BK201 again.\Red star...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: Upon a tiny, little, red star.\May I meet BK201 again.\Red star...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: May I meet BK201 again.\Red star...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: Red star...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	Nee dareka oshiete
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete response:	Hey, someone, tell me
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me response:	Minna sou na no kana?
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana? response:	Is everyone like that?
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that? response:	Kyou ga shiawase nara
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara response:	That they'feel it's good enough
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough response:	Sore de ii to omoeru tte
context: No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte response:	if they're if happy today'
context: Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today' response:	Osanai koro ni wa
context: Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa response:	When I was young
context: Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young response:	Tashika ni atta yo
context: Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo response:	They certainly existed
context: Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed response:	Yume o oikaketeta
context: That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta response:	I pursued my dreams
context: Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams response:	Demo sore mo tooi kioku
context: if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku response:	But that's also a distant memory
context: Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory response:	Kotae no nai mainichi ga
context: When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga response:	The each unanswered day-
context: Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day- response:	Tada sugite iku jikan ga
context: They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga response:	The time that is simply passing by-
context: Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by- response:	Kore kara saki dou naru no darou?
context: I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou? response:	What will happen beyond now?
context: Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now? response:	Wakaranai...
context: But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai... response:	They don't know...
context: Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know... response:	Tsukiakari no michishirube
context: The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	The projectile is off by 2 cm.
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\The projectile is off by 2 cm. response:	Well, it's a pretty good shot from this distance.
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\The projectile is off by 2 cm.\Well, it's a pretty good shot from this distance. response:	There are three rounds left.
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\The projectile is off by 2 cm.\Well, it's a pretty good shot from this distance.\There are three rounds left. response:	Does that mean you can only use this monster three more times?
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\The projectile is off by 2 cm.\Well, it's a pretty good shot from this distance.\There are three rounds left.\Does that mean you can only use this monster three more times? response:	No, each time it manifests, I have one round in the chamber and five in my pocket.
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\The projectile is off by 2 cm.\Well, it's a pretty good shot from this distance.\There are three rounds left.\Does that mean you can only use this monster three more times?\No, each time it manifests, I have one round in the chamber and five in my pocket. response:	It's just that I have to maintain it since the warping and scratches don't disappear.
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\The projectile is off by 2 cm.\Well, it's a pretty good shot from this distance.\There are three rounds left.\Does that mean you can only use this monster three more times?\No, each time it manifests, I have one round in the chamber and five in my pocket.\It's just that I have to maintain it since the warping and scratches don't disappear. response:	You're pretty enthusiastic about this, young miss.
context: No matter how broken today looks\The projectile is off by 2 cm.\Well, it's a pretty good shot from this distance.\There are three rounds left.\Does that mean you can only use this monster three more times?\No, each time it manifests, I have one round in the chamber and five in my pocket.\It's just that I have to maintain it since the warping and scratches don't disappear.\You're pretty enthusiastic about this, young miss. response:	Yes, absolutely.
context: The projectile is off by 2 cm.\Well, it's a pretty good shot from this distance.\There are three rounds left.\Does that mean you can only use this monster three more times?\No, each time it manifests, I have one round in the chamber and five in my pocket.\It's just that I have to maintain it since the warping and scratches don't disappear.\You're pretty enthusiastic about this, young miss.\Yes, absolutely. response:	Go eat.
context: Well, it's a pretty good shot from this distance.\There are three rounds left.\Does that mean you can only use this monster three more times?\No, each time it manifests, I have one round in the chamber and five in my pocket.\It's just that I have to maintain it since the warping and scratches don't disappear.\You're pretty enthusiastic about this, young miss.\Yes, absolutely.\Go eat. response:	Are you going to pass on lunch and save money again?
context: There are three rounds left.\Does that mean you can only use this monster three more times?\No, each time it manifests, I have one round in the chamber and five in my pocket.\It's just that I have to maintain it since the warping and scratches don't disappear.\You're pretty enthusiastic about this, young miss.\Yes, absolutely.\Go eat.\Are you going to pass on lunch and save money again? response:	I won't eat anything strange again.
context: Does that mean you can only use this monster three more times?\No, each time it manifests, I have one round in the chamber and five in my pocket.\It's just that I have to maintain it since the warping and scratches don't disappear.\You're pretty enthusiastic about this, young miss.\Yes, absolutely.\Go eat.\Are you going to pass on lunch and save money again?\I won't eat anything strange again. response:	I'll become stronger.
context: No, each time it manifests, I have one round in the chamber and five in my pocket.\It's just that I have to maintain it since the warping and scratches don't disappear.\You're pretty enthusiastic about this, young miss.\Yes, absolutely.\Go eat.\Are you going to pass on lunch and save money again?\I won't eat anything strange again.\I'll become stronger. response:	I need to become stronger before I run away again.
context: It's just that I have to maintain it since the warping and scratches don't disappear.\You're pretty enthusiastic about this, young miss.\Yes, absolutely.\Go eat.\Are you going to pass on lunch and save money again?\I won't eat anything strange again.\I'll become stronger.\I need to become stronger before I run away again. response:	And in order to realize that, I have to overcome my dislikes.
context: You're pretty enthusiastic about this, young miss.\Yes, absolutely.\Go eat.\Are you going to pass on lunch and save money again?\I won't eat anything strange again.\I'll become stronger.\I need to become stronger before I run away again.\And in order to realize that, I have to overcome my dislikes. response:	Something proper, eh?
context: Yes, absolutely.\Go eat.\Are you going to pass on lunch and save money again?\I won't eat anything strange again.\I'll become stronger.\I need to become stronger before I run away again.\And in order to realize that, I have to overcome my dislikes.\Something proper, eh? response:	What do contractors eat?
context: Go eat.\Are you going to pass on lunch and save money again?\I won't eat anything strange again.\I'll become stronger.\I need to become stronger before I run away again.\And in order to realize that, I have to overcome my dislikes.\Something proper, eh?\What do contractors eat? response:	Raw meat?
context: Are you going to pass on lunch and save money again?\I won't eat anything strange again.\I'll become stronger.\I need to become stronger before I run away again.\And in order to realize that, I have to overcome my dislikes.\Something proper, eh?\What do contractors eat?\Raw meat? response:	Did you hear that from your son?
context: I won't eat anything strange again.\I'll become stronger.\I need to become stronger before I run away again.\And in order to realize that, I have to overcome my dislikes.\Something proper, eh?\What do contractors eat?\Raw meat?\Did you hear that from your son? response:	What?
context: I'll become stronger.\I need to become stronger before I run away again.\And in order to realize that, I have to overcome my dislikes.\Something proper, eh?\What do contractors eat?\Raw meat?\Did you hear that from your son?\What? response:	Me being a contractor...
context: I need to become stronger before I run away again.\And in order to realize that, I have to overcome my dislikes.\Something proper, eh?\What do contractors eat?\Raw meat?\Did you hear that from your son?\What?\Me being a contractor... response:	I could tell without asking him.
context: And in order to realize that, I have to overcome my dislikes.\Something proper, eh?\What do contractors eat?\Raw meat?\Did you hear that from your son?\What?\Me being a contractor...\I could tell without asking him. response:	Besides, Michiru-san was a contractor too.
context: Something proper, eh?\What do contractors eat?\Raw meat?\Did you hear that from your son?\What?\Me being a contractor...\I could tell without asking him.\Besides, Michiru-san was a contractor too. response:	Michiru-san?
context: What do contractors eat?\Raw meat?\Did you hear that from your son?\What?\Me being a contractor...\I could tell without asking him.\Besides, Michiru-san was a contractor too.\Michiru-san? response:	A man.
context: Raw meat?\Did you hear that from your son?\What?\Me being a contractor...\I could tell without asking him.\Besides, Michiru-san was a contractor too.\Michiru-san?\A man. response:	I had the right to board Noah's Ark.
context: Did you hear that from your son?\What?\Me being a contractor...\I could tell without asking him.\Besides, Michiru-san was a contractor too.\Michiru-san?\A man.\I had the right to board Noah's Ark. response:	My parents nagged me on that too.
context: What?\Me being a contractor...\I could tell without asking him.\Besides, Michiru-san was a contractor too.\Michiru-san?\A man.\I had the right to board Noah's Ark.\My parents nagged me on that too. response:	So I thought it wouldn't be a bad experience to see the world.
context: Me being a contractor...\I could tell without asking him.\Besides, Michiru-san was a contractor too.\Michiru-san?\A man.\I had the right to board Noah's Ark.\My parents nagged me on that too.\So I thought it wouldn't be a bad experience to see the world. response:	She was good at making sweets. She was a normal housewife.
context: I could tell without asking him.\Besides, Michiru-san was a contractor too.\Michiru-san?\A man.\I had the right to board Noah's Ark.\My parents nagged me on that too.\So I thought it wouldn't be a bad experience to see the world.\She was good at making sweets. She was a normal housewife. response:	I guess it happened when Norio was three.
context: Besides, Michiru-san was a contractor too.\Michiru-san?\A man.\I had the right to board Noah's Ark.\My parents nagged me on that too.\So I thought it wouldn't be a bad experience to see the world.\She was good at making sweets. She was a normal housewife.\I guess it happened when Norio was three. response:	She became a contractor, and by the time her personality started to deteriorate,
context: Michiru-san?\A man.\I had the right to board Noah's Ark.\My parents nagged me on that too.\So I thought it wouldn't be a bad experience to see the world.\She was good at making sweets. She was a normal housewife.\I guess it happened when Norio was three.\She became a contractor, and by the time her personality started to deteriorate, response:	she was gone.
context: A man.\I had the right to board Noah's Ark.\My parents nagged me on that too.\So I thought it wouldn't be a bad experience to see the world.\She was good at making sweets. She was a normal housewife.\I guess it happened when Norio was three.\She became a contractor, and by the time her personality started to deteriorate,\she was gone. response:	I wonder where she is and what she's doing now.
context: I had the right to board Noah's Ark.\My parents nagged me on that too.\So I thought it wouldn't be a bad experience to see the world.\She was good at making sweets. She was a normal housewife.\I guess it happened when Norio was three.\She became a contractor, and by the time her personality started to deteriorate,\she was gone.\I wonder where she is and what she's doing now. response:	There you go.
context: My parents nagged me on that too.\So I thought it wouldn't be a bad experience to see the world.\She was good at making sweets. She was a normal housewife.\I guess it happened when Norio was three.\She became a contractor, and by the time her personality started to deteriorate,\she was gone.\I wonder where she is and what she's doing now.\There you go. response:	Tasty?
context: So I thought it wouldn't be a bad experience to see the world.\She was good at making sweets. She was a normal housewife.\I guess it happened when Norio was three.\She became a contractor, and by the time her personality started to deteriorate,\she was gone.\I wonder where she is and what she's doing now.\There you go.\Tasty? response:	Yum!
context: She was good at making sweets. She was a normal housewife.\I guess it happened when Norio was three.\She became a contractor, and by the time her personality started to deteriorate,\she was gone.\I wonder where she is and what she's doing now.\There you go.\Tasty?\Yum! response:	Have as much as you want.
context: I guess it happened when Norio was three.\She became a contractor, and by the time her personality started to deteriorate,\she was gone.\I wonder where she is and what she's doing now.\There you go.\Tasty?\Yum!\Have as much as you want. response:	The liver creates blood, you know.
context: She became a contractor, and by the time her personality started to deteriorate,\she was gone.\I wonder where she is and what she's doing now.\There you go.\Tasty?\Yum!\Have as much as you want.\The liver creates blood, you know. response:	Especially now that you are
context: she was gone.\I wonder where she is and what she's doing now.\There you go.\Tasty?\Yum!\Have as much as you want.\The liver creates blood, you know.\Especially now that you are response:	Oh, right.
context: I wonder where she is and what she's doing now.\There you go.\Tasty?\Yum!\Have as much as you want.\The liver creates blood, you know.\Especially now that you are\Oh, right. response:	I'll give you that.
context: There you go.\Tasty?\Yum!\Have as much as you want.\The liver creates blood, you know.\Especially now that you are\Oh, right.\I'll give you that. response:	My star is cryin'!
context: Tasty?\Yum!\Have as much as you want.\The liver creates blood, you know.\Especially now that you are\Oh, right.\I'll give you that.\My star is cryin'! response:	I, who hath been born beneath the scorching and passionate star, have to finally remunerate...
context: Yum!\Have as much as you want.\The liver creates blood, you know.\Especially now that you are\Oh, right.\I'll give you that.\My star is cryin'!\I, who hath been born beneath the scorching and passionate star, have to finally remunerate... response:	with my love for you!
context: Have as much as you want.\The liver creates blood, you know.\Especially now that you are\Oh, right.\I'll give you that.\My star is cryin'!\I, who hath been born beneath the scorching and passionate star, have to finally remunerate...\with my love for you! response:	H-Hey!
context: The liver creates blood, you know.\Especially now that you are\Oh, right.\I'll give you that.\My star is cryin'!\I, who hath been born beneath the scorching and passionate star, have to finally remunerate...\with my love for you!\H-Hey! response:	Hey! Hold on! Wait a second!
context: Especially now that you are\Oh, right.\I'll give you that.\My star is cryin'!\I, who hath been born beneath the scorching and passionate star, have to finally remunerate...\with my love for you!\H-Hey!\Hey! Hold on! Wait a second! response:	Hey, did you know? My mommy's a contractor!
context: Oh, right.\I'll give you that.\My star is cryin'!\I, who hath been born beneath the scorching and passionate star, have to finally remunerate...\with my love for you!\H-Hey!\Hey! Hold on! Wait a second!\Hey, did you know? My mommy's a contractor! response:	Isn't that cool?
context: I'll give you that.\My star is cryin'!\I, who hath been born beneath the scorching and passionate star, have to finally remunerate...\with my love for you!\H-Hey!\Hey! Hold on! Wait a second!\Hey, did you know? My mommy's a contractor!\Isn't that cool? response:	Our meeting must be destiny at work!
context: My star is cryin'!\I, who hath been born beneath the scorching and passionate star, have to finally remunerate...\with my love for you!\H-Hey!\Hey! Hold on! Wait a second!\Hey, did you know? My mommy's a contractor!\Isn't that cool?\Our meeting must be destiny at work! response:	Your love for me?
context: I, who hath been born beneath the scorching and passionate star, have to finally remunerate...\with my love for you!\H-Hey!\Hey! Hold on! Wait a second!\Hey, did you know? My mommy's a contractor!\Isn't that cool?\Our meeting must be destiny at work!\Your love for me? response:	What do you know about me anyway?
context: with my love for you!\H-Hey!\Hey! Hold on! Wait a second!\Hey, did you know? My mommy's a contractor!\Isn't that cool?\Our meeting must be destiny at work!\Your love for me?\What do you know about me anyway? response:	Tell me all about yourself, then.
context: H-Hey!\Hey! Hold on! Wait a second!\Hey, did you know? My mommy's a contractor!\Isn't that cool?\Our meeting must be destiny at work!\Your love for me?\What do you know about me anyway?\Tell me all about yourself, then. response:	As I said...
context: Hey! Hold on! Wait a second!\Hey, did you know? My mommy's a contractor!\Isn't that cool?\Our meeting must be destiny at work!\Your love for me?\What do you know about me anyway?\Tell me all about yourself, then.\As I said... response:	You sparkle brighter than the fake stars in the sky.
context: Hey, did you know? My mommy's a contractor!\Isn't that cool?\Our meeting must be destiny at work!\Your love for me?\What do you know about me anyway?\Tell me all about yourself, then.\As I said...\You sparkle brighter than the fake stars in the sky. response:	Let's board Noah's Ark together!
context: Isn't that cool?\Our meeting must be destiny at work!\Your love for me?\What do you know about me anyway?\Tell me all about yourself, then.\As I said...\You sparkle brighter than the fake stars in the sky.\Let's board Noah's Ark together! response:	Give her a mission?
context: Our meeting must be destiny at work!\Your love for me?\What do you know about me anyway?\Tell me all about yourself, then.\As I said...\You sparkle brighter than the fake stars in the sky.\Let's board Noah's Ark together!\Give her a mission? response:	It's not about the reward.
context: Your love for me?\What do you know about me anyway?\Tell me all about yourself, then.\As I said...\You sparkle brighter than the fake stars in the sky.\Let's board Noah's Ark together!\Give her a mission?\It's not about the reward. response:	She'll only slow me down.
context: What do you know about me anyway?\Tell me all about yourself, then.\As I said...\You sparkle brighter than the fake stars in the sky.\Let's board Noah's Ark together!\Give her a mission?\It's not about the reward.\She'll only slow me down. response:	She has a better aim with a rifle than I have, but...
context: Tell me all about yourself, then.\As I said...\You sparkle brighter than the fake stars in the sky.\Let's board Noah's Ark together!\Give her a mission?\It's not about the reward.\She'll only slow me down.\She has a better aim with a rifle than I have, but... response:	that's really all.
context: As I said...\You sparkle brighter than the fake stars in the sky.\Let's board Noah's Ark together!\Give her a mission?\It's not about the reward.\She'll only slow me down.\She has a better aim with a rifle than I have, but...\that's really all. response:	I can do that mission alone.
context: You sparkle brighter than the fake stars in the sky.\Let's board Noah's Ark together!\Give her a mission?\It's not about the reward.\She'll only slow me down.\She has a better aim with a rifle than I have, but...\that's really all.\I can do that mission alone. response:	What did you do?!
