context: You're here to look for that clock part, too?! response:	I believe this is our first time meeting. Shall I introduce myself?
context: Alright, I'll fill you in on who I am and what my aim is.\Let's begin!\Why with a picture-story?\Something Beyond Reckoning!\I, Dan Straight, was born in a town called Cedar.\They had knights there that protected the town and the church.\People depended on them.\The people in my family were knights for generation after generation. response:	As the successor in my family, I was raised with tender care and affection,
context: Let's begin!\Why with a picture-story?\Something Beyond Reckoning!\I, Dan Straight, was born in a town called Cedar.\They had knights there that protected the town and the church.\People depended on them.\The people in my family were knights for generation after generation.\As the successor in my family, I was raised with tender care and affection, response:	and had a happy childhood.
context: Why with a picture-story?\Something Beyond Reckoning!\I, Dan Straight, was born in a town called Cedar.\They had knights there that protected the town and the church.\People depended on them.\The people in my family were knights for generation after generation.\As the successor in my family, I was raised with tender care and affection,\and had a happy childhood. response:	However, those peaceful days didn't last long.
context: Something Beyond Reckoning!\I, Dan Straight, was born in a town called Cedar.\They had knights there that protected the town and the church.\People depended on them.\The people in my family were knights for generation after generation.\As the successor in my family, I was raised with tender care and affection,\and had a happy childhood.\However, those peaceful days didn't last long. response:	At one point, a civil war flared up that split the town in half.
context: I, Dan Straight, was born in a town called Cedar.\They had knights there that protected the town and the church.\People depended on them.\The people in my family were knights for generation after generation.\As the successor in my family, I was raised with tender care and affection,\and had a happy childhood.\However, those peaceful days didn't last long.\At one point, a civil war flared up that split the town in half. response:	You have a surprisingly hard past...
context: They had knights there that protected the town and the church.\People depended on them.\The people in my family were knights for generation after generation.\As the successor in my family, I was raised with tender care and affection,\and had a happy childhood.\However, those peaceful days didn't last long.\At one point, a civil war flared up that split the town in half.\You have a surprisingly hard past... response:	Then your family became embroiled in the battle too and suffered...
context: People depended on them.\The people in my family were knights for generation after generation.\As the successor in my family, I was raised with tender care and affection,\and had a happy childhood.\However, those peaceful days didn't last long.\At one point, a civil war flared up that split the town in half.\You have a surprisingly hard past...\Then your family became embroiled in the battle too and suffered... response:	No.
context: The people in my family were knights for generation after generation.\As the successor in my family, I was raised with tender care and affection,\and had a happy childhood.\However, those peaceful days didn't last long.\At one point, a civil war flared up that split the town in half.\You have a surprisingly hard past...\Then your family became embroiled in the battle too and suffered...\No. response:	The battle was over after half a day and none of my kin were harmed.
context: As the successor in my family, I was raised with tender care and affection,\and had a happy childhood.\However, those peaceful days didn't last long.\At one point, a civil war flared up that split the town in half.\You have a surprisingly hard past...\Then your family became embroiled in the battle too and suffered...\No.\The battle was over after half a day and none of my kin were harmed. response:	Everybody in town quickly patched things up, too.
context: and had a happy childhood.\However, those peaceful days didn't last long.\At one point, a civil war flared up that split the town in half.\You have a surprisingly hard past...\Then your family became embroiled in the battle too and suffered...\No.\The battle was over after half a day and none of my kin were harmed.\Everybody in town quickly patched things up, too. response:	That was fast!
context: However, those peaceful days didn't last long.\At one point, a civil war flared up that split the town in half.\You have a surprisingly hard past...\Then your family became embroiled in the battle too and suffered...\No.\The battle was over after half a day and none of my kin were harmed.\Everybody in town quickly patched things up, too.\That was fast! response:	Wasn't it more of just a fight than civil war?
context: At one point, a civil war flared up that split the town in half.\You have a surprisingly hard past...\Then your family became embroiled in the battle too and suffered...\No.\The battle was over after half a day and none of my kin were harmed.\Everybody in town quickly patched things up, too.\That was fast!\Wasn't it more of just a fight than civil war? response:	But now I'm getting to the main point!
context: You have a surprisingly hard past...\Then your family became embroiled in the battle too and suffered...\No.\The battle was over after half a day and none of my kin were harmed.\Everybody in town quickly patched things up, too.\That was fast!\Wasn't it more of just a fight than civil war?\But now I'm getting to the main point! response:	At the time, there was a beautiful girl who went to my school
context: Then your family became embroiled in the battle too and suffered...\No.\The battle was over after half a day and none of my kin were harmed.\Everybody in town quickly patched things up, too.\That was fast!\Wasn't it more of just a fight than civil war?\But now I'm getting to the main point!\At the time, there was a beautiful girl who went to my school response:	and I fell in love with her, my first love.
context: No.\The battle was over after half a day and none of my kin were harmed.\Everybody in town quickly patched things up, too.\That was fast!\Wasn't it more of just a fight than civil war?\But now I'm getting to the main point!\At the time, there was a beautiful girl who went to my school\and I fell in love with her, my first love. response:	However, after the battle was over, that girl was missing!
context: The battle was over after half a day and none of my kin were harmed.\Everybody in town quickly patched things up, too.\That was fast!\Wasn't it more of just a fight than civil war?\But now I'm getting to the main point!\At the time, there was a beautiful girl who went to my school\and I fell in love with her, my first love.\However, after the battle was over, that girl was missing! response:	Missing? Then she was caught up in the battle...
context: Everybody in town quickly patched things up, too.\That was fast!\Wasn't it more of just a fight than civil war?\But now I'm getting to the main point!\At the time, there was a beautiful girl who went to my school\and I fell in love with her, my first love.\However, after the battle was over, that girl was missing!\Missing? Then she was caught up in the battle... response:	Did she lose her life that day...?
context: That was fast!\Wasn't it more of just a fight than civil war?\But now I'm getting to the main point!\At the time, there was a beautiful girl who went to my school\and I fell in love with her, my first love.\However, after the battle was over, that girl was missing!\Missing? Then she was caught up in the battle...\Did she lose her life that day...? response:	That girl bore a slight resemblance to Lu-nyan.
context: Wasn't it more of just a fight than civil war?\But now I'm getting to the main point!\At the time, there was a beautiful girl who went to my school\and I fell in love with her, my first love.\However, after the battle was over, that girl was missing!\Missing? Then she was caught up in the battle...\Did she lose her life that day...?\That girl bore a slight resemblance to Lu-nyan. response:	It's so sad!
context: But now I'm getting to the main point!\At the time, there was a beautiful girl who went to my school\and I fell in love with her, my first love.\However, after the battle was over, that girl was missing!\Missing? Then she was caught up in the battle...\Did she lose her life that day...?\That girl bore a slight resemblance to Lu-nyan.\It's so sad! response:	So that's why you fell in love with Lucy at first sight, huh?
context: At the time, there was a beautiful girl who went to my school\and I fell in love with her, my first love.\However, after the battle was over, that girl was missing!\Missing? Then she was caught up in the battle...\Did she lose her life that day...?\That girl bore a slight resemblance to Lu-nyan.\It's so sad!\So that's why you fell in love with Lucy at first sight, huh? response:	You can never understand a person's situation until you hear about it, you know?
context: and I fell in love with her, my first love.\However, after the battle was over, that girl was missing!\Missing? Then she was caught up in the battle...\Did she lose her life that day...?\That girl bore a slight resemblance to Lu-nyan.\It's so sad!\So that's why you fell in love with Lucy at first sight, huh?\You can never understand a person's situation until you hear about it, you know? response:	So what happened to the girl?
context: However, after the battle was over, that girl was missing!\Missing? Then she was caught up in the battle...\Did she lose her life that day...?\That girl bore a slight resemblance to Lu-nyan.\It's so sad!\So that's why you fell in love with Lucy at first sight, huh?\You can never understand a person's situation until you hear about it, you know?\So what happened to the girl? response:	The next day... I found her and she was fine!
context: Missing? Then she was caught up in the battle...\Did she lose her life that day...?\That girl bore a slight resemblance to Lu-nyan.\It's so sad!\So that's why you fell in love with Lucy at first sight, huh?\You can never understand a person's situation until you hear about it, you know?\So what happened to the girl?\The next day... I found her and she was fine! response:	What's that?!
context: Did she lose her life that day...?\That girl bore a slight resemblance to Lu-nyan.\It's so sad!\So that's why you fell in love with Lucy at first sight, huh?\You can never understand a person's situation until you hear about it, you know?\So what happened to the girl?\The next day... I found her and she was fine!\What's that?! response:	I would whisper of love to her and ask her hand in marriage nearly every day,
context: That girl bore a slight resemblance to Lu-nyan.\It's so sad!\So that's why you fell in love with Lucy at first sight, huh?\You can never understand a person's situation until you hear about it, you know?\So what happened to the girl?\The next day... I found her and she was fine!\What's that?!\I would whisper of love to her and ask her hand in marriage nearly every day, response:	but it seems she was frightened by how happy that made her.
context: It's so sad!\So that's why you fell in love with Lucy at first sight, huh?\You can never understand a person's situation until you hear about it, you know?\So what happened to the girl?\The next day... I found her and she was fine!\What's that?!\I would whisper of love to her and ask her hand in marriage nearly every day,\but it seems she was frightened by how happy that made her. response:	I'm sure she thought, I'm not worthy of Dan-san's love.
context: So that's why you fell in love with Lucy at first sight, huh?\You can never understand a person's situation until you hear about it, you know?\So what happened to the girl?\The next day... I found her and she was fine!\What's that?!\I would whisper of love to her and ask her hand in marriage nearly every day,\but it seems she was frightened by how happy that made her.\I'm sure she thought, I'm not worthy of Dan-san's love. response:	I was charmed by that modesty, too.
context: You can never understand a person's situation until you hear about it, you know?\So what happened to the girl?\The next day... I found her and she was fine!\What's that?!\I would whisper of love to her and ask her hand in marriage nearly every day,\but it seems she was frightened by how happy that made her.\I'm sure she thought, I'm not worthy of Dan-san's love.\I was charmed by that modesty, too. response:	The pictures don't really seem to match the story...
context: So what happened to the girl?\The next day... I found her and she was fine!\What's that?!\I would whisper of love to her and ask her hand in marriage nearly every day,\but it seems she was frightened by how happy that made her.\I'm sure she thought, I'm not worthy of Dan-san's love.\I was charmed by that modesty, too.\The pictures don't really seem to match the story... response:	She obviously didn't like him.
context: The next day... I found her and she was fine!\What's that?!\I would whisper of love to her and ask her hand in marriage nearly every day,\but it seems she was frightened by how happy that made her.\I'm sure she thought, I'm not worthy of Dan-san's love.\I was charmed by that modesty, too.\The pictures don't really seem to match the story...\She obviously didn't like him. response:	Ultimately, she refused marriage, and I shed tears for three days and nights.
context: What's that?!\I would whisper of love to her and ask her hand in marriage nearly every day,\but it seems she was frightened by how happy that made her.\I'm sure she thought, I'm not worthy of Dan-san's love.\I was charmed by that modesty, too.\The pictures don't really seem to match the story...\She obviously didn't like him.\Ultimately, she refused marriage, and I shed tears for three days and nights. response:	Then, to assuage my sorrow, I embarked on a sentimental journey.
context: I would whisper of love to her and ask her hand in marriage nearly every day,\but it seems she was frightened by how happy that made her.\I'm sure she thought, I'm not worthy of Dan-san's love.\I was charmed by that modesty, too.\The pictures don't really seem to match the story...\She obviously didn't like him.\Ultimately, she refused marriage, and I shed tears for three days and nights.\Then, to assuage my sorrow, I embarked on a sentimental journey. response:	During my wanderings, I happened across various women.
context: but it seems she was frightened by how happy that made her.\I'm sure she thought, I'm not worthy of Dan-san's love.\I was charmed by that modesty, too.\The pictures don't really seem to match the story...\She obviously didn't like him.\Ultimately, she refused marriage, and I shed tears for three days and nights.\Then, to assuage my sorrow, I embarked on a sentimental journey.\During my wanderings, I happened across various women. response:	They're all different types, huh?
context: I'm sure she thought, I'm not worthy of Dan-san's love.\I was charmed by that modesty, too.\The pictures don't really seem to match the story...\She obviously didn't like him.\Ultimately, she refused marriage, and I shed tears for three days and nights.\Then, to assuage my sorrow, I embarked on a sentimental journey.\During my wanderings, I happened across various women.\They're all different types, huh? response:	You weren't chasing the image of the first girl you fell in love with?
context: I was charmed by that modesty, too.\The pictures don't really seem to match the story...\She obviously didn't like him.\Ultimately, she refused marriage, and I shed tears for three days and nights.\Then, to assuage my sorrow, I embarked on a sentimental journey.\During my wanderings, I happened across various women.\They're all different types, huh?\You weren't chasing the image of the first girl you fell in love with? response:	No, that wasn't it at all!
context: The pictures don't really seem to match the story...\She obviously didn't like him.\Ultimately, she refused marriage, and I shed tears for three days and nights.\Then, to assuage my sorrow, I embarked on a sentimental journey.\During my wanderings, I happened across various women.\They're all different types, huh?\You weren't chasing the image of the first girl you fell in love with?\No, that wasn't it at all! response:	To be honest, I'd be happy with any woman in the vicinity who caught my eye.
context: She obviously didn't like him.\Ultimately, she refused marriage, and I shed tears for three days and nights.\Then, to assuage my sorrow, I embarked on a sentimental journey.\During my wanderings, I happened across various women.\They're all different types, huh?\You weren't chasing the image of the first girl you fell in love with?\No, that wasn't it at all!\To be honest, I'd be happy with any woman in the vicinity who caught my eye. response:	That offends me for some reason...
context: Ultimately, she refused marriage, and I shed tears for three days and nights.\Then, to assuage my sorrow, I embarked on a sentimental journey.\During my wanderings, I happened across various women.\They're all different types, huh?\You weren't chasing the image of the first girl you fell in love with?\No, that wasn't it at all!\To be honest, I'd be happy with any woman in the vicinity who caught my eye.\That offends me for some reason... response:	And yet, no matter who she was, there was a compelling reason
context: Then, to assuage my sorrow, I embarked on a sentimental journey.\During my wanderings, I happened across various women.\They're all different types, huh?\You weren't chasing the image of the first girl you fell in love with?\No, that wasn't it at all!\To be honest, I'd be happy with any woman in the vicinity who caught my eye.\That offends me for some reason...\And yet, no matter who she was, there was a compelling reason response:	why we couldn't be together.
context: During my wanderings, I happened across various women.\They're all different types, huh?\You weren't chasing the image of the first girl you fell in love with?\No, that wasn't it at all!\To be honest, I'd be happy with any woman in the vicinity who caught my eye.\That offends me for some reason...\And yet, no matter who she was, there was a compelling reason\why we couldn't be together. response:	Love and peace aren't permitted.
context: They're all different types, huh?\You weren't chasing the image of the first girl you fell in love with?\No, that wasn't it at all!\To be honest, I'd be happy with any woman in the vicinity who caught my eye.\That offends me for some reason...\And yet, no matter who she was, there was a compelling reason\why we couldn't be together.\Love and peace aren't permitted. response:	That's the fate of a knight who lives to fight.
context: You weren't chasing the image of the first girl you fell in love with?\No, that wasn't it at all!\To be honest, I'd be happy with any woman in the vicinity who caught my eye.\That offends me for some reason...\And yet, no matter who she was, there was a compelling reason\why we couldn't be together.\Love and peace aren't permitted.\That's the fate of a knight who lives to fight. response:	Again, the story and pictures don't match up.
context: No, that wasn't it at all!\To be honest, I'd be happy with any woman in the vicinity who caught my eye.\That offends me for some reason...\And yet, no matter who she was, there was a compelling reason\why we couldn't be together.\Love and peace aren't permitted.\That's the fate of a knight who lives to fight.\Again, the story and pictures don't match up. response:	I bet they all turned him down.
context: To be honest, I'd be happy with any woman in the vicinity who caught my eye.\That offends me for some reason...\And yet, no matter who she was, there was a compelling reason\why we couldn't be together.\Love and peace aren't permitted.\That's the fate of a knight who lives to fight.\Again, the story and pictures don't match up.\I bet they all turned him down. response:	That makes me think, who drew these pictures?
context: That offends me for some reason...\And yet, no matter who she was, there was a compelling reason\why we couldn't be together.\Love and peace aren't permitted.\That's the fate of a knight who lives to fight.\Again, the story and pictures don't match up.\I bet they all turned him down.\That makes me think, who drew these pictures? response:	Hughes and Sugar Boy drew them based on my diary and photos.
context: And yet, no matter who she was, there was a compelling reason\why we couldn't be together.\Love and peace aren't permitted.\That's the fate of a knight who lives to fight.\Again, the story and pictures don't match up.\I bet they all turned him down.\That makes me think, who drew these pictures?\Hughes and Sugar Boy drew them based on my diary and photos. response:	They relied on guesswork to fill in the blanks, so the truth is mixed in with something else.
context: why we couldn't be together.\Love and peace aren't permitted.\That's the fate of a knight who lives to fight.\Again, the story and pictures don't match up.\I bet they all turned him down.\That makes me think, who drew these pictures?\Hughes and Sugar Boy drew them based on my diary and photos.\They relied on guesswork to fill in the blanks, so the truth is mixed in with something else. response:	I'm positive the drawings are a better representative of what really happened.
context: Love and peace aren't permitted.\That's the fate of a knight who lives to fight.\Again, the story and pictures don't match up.\I bet they all turned him down.\That makes me think, who drew these pictures?\Hughes and Sugar Boy drew them based on my diary and photos.\They relied on guesswork to fill in the blanks, so the truth is mixed in with something else.\I'm positive the drawings are a better representative of what really happened. response:	And somewhere along the line, I became a Legionnaire.
context: That's the fate of a knight who lives to fight.\Again, the story and pictures don't match up.\I bet they all turned him down.\That makes me think, who drew these pictures?\Hughes and Sugar Boy drew them based on my diary and photos.\They relied on guesswork to fill in the blanks, so the truth is mixed in with something else.\I'm positive the drawings are a better representative of what really happened.\And somewhere along the line, I became a Legionnaire. response:	Right now, I'm following Byro-sama's instructions to gather the parts of the clock.
context: Again, the story and pictures don't match up.\I bet they all turned him down.\That makes me think, who drew these pictures?\Hughes and Sugar Boy drew them based on my diary and photos.\They relied on guesswork to fill in the blanks, so the truth is mixed in with something else.\I'm positive the drawings are a better representative of what really happened.\And somewhere along the line, I became a Legionnaire.\Right now, I'm following Byro-sama's instructions to gather the parts of the clock. response:	The end! I explained who I am and what I'm after!
context: I bet they all turned him down.\That makes me think, who drew these pictures?\Hughes and Sugar Boy drew them based on my diary and photos.\They relied on guesswork to fill in the blanks, so the truth is mixed in with something else.\I'm positive the drawings are a better representative of what really happened.\And somewhere along the line, I became a Legionnaire.\Right now, I'm following Byro-sama's instructions to gather the parts of the clock.\The end! I explained who I am and what I'm after! response:	And they all lived happily ever after!
context: That makes me think, who drew these pictures?\Hughes and Sugar Boy drew them based on my diary and photos.\They relied on guesswork to fill in the blanks, so the truth is mixed in with something else.\I'm positive the drawings are a better representative of what really happened.\And somewhere along the line, I became a Legionnaire.\Right now, I'm following Byro-sama's instructions to gather the parts of the clock.\The end! I explained who I am and what I'm after!\And they all lived happily ever after! response:	Um... What we want to know
context: Hughes and Sugar Boy drew them based on my diary and photos.\They relied on guesswork to fill in the blanks, so the truth is mixed in with something else.\I'm positive the drawings are a better representative of what really happened.\And somewhere along the line, I became a Legionnaire.\Right now, I'm following Byro-sama's instructions to gather the parts of the clock.\The end! I explained who I am and what I'm after!\And they all lived happily ever after!\Um... What we want to know response:	is what Legion is and what Legion is after!
context: They relied on guesswork to fill in the blanks, so the truth is mixed in with something else.\I'm positive the drawings are a better representative of what really happened.\And somewhere along the line, I became a Legionnaire.\Right now, I'm following Byro-sama's instructions to gather the parts of the clock.\The end! I explained who I am and what I'm after!\And they all lived happily ever after!\Um... What we want to know\is what Legion is and what Legion is after! response:	I can't talk about Legion's secrets!
context: I'm positive the drawings are a better representative of what really happened.\And somewhere along the line, I became a Legionnaire.\Right now, I'm following Byro-sama's instructions to gather the parts of the clock.\The end! I explained who I am and what I'm after!\And they all lived happily ever after!\Um... What we want to know\is what Legion is and what Legion is after!\I can't talk about Legion's secrets! response:	If I did that, Byro-sama would punish me!
context: And somewhere along the line, I became a Legionnaire.\Right now, I'm following Byro-sama's instructions to gather the parts of the clock.\The end! I explained who I am and what I'm after!\And they all lived happily ever after!\Um... What we want to know\is what Legion is and what Legion is after!\I can't talk about Legion's secrets!\If I did that, Byro-sama would punish me! response:	Then what was that story of yours?!
context: Right now, I'm following Byro-sama's instructions to gather the parts of the clock.\The end! I explained who I am and what I'm after!\And they all lived happily ever after!\Um... What we want to know\is what Legion is and what Legion is after!\I can't talk about Legion's secrets!\If I did that, Byro-sama would punish me!\Then what was that story of yours?! response:	And on top of that, it turned out he has a humdrum past...
context: The end! I explained who I am and what I'm after!\And they all lived happily ever after!\Um... What we want to know\is what Legion is and what Legion is after!\I can't talk about Legion's secrets!\If I did that, Byro-sama would punish me!\Then what was that story of yours?!\And on top of that, it turned out he has a humdrum past... response:	Of course, I was talking about myself so you would get to know me better!
context: And they all lived happily ever after!\Um... What we want to know\is what Legion is and what Legion is after!\I can't talk about Legion's secrets!\If I did that, Byro-sama would punish me!\Then what was that story of yours?!\And on top of that, it turned out he has a humdrum past...\Of course, I was talking about myself so you would get to know me better! response:	Now let's get married, Lu-nyan!
context: Um... What we want to know\is what Legion is and what Legion is after!\I can't talk about Legion's secrets!\If I did that, Byro-sama would punish me!\Then what was that story of yours?!\And on top of that, it turned out he has a humdrum past...\Of course, I was talking about myself so you would get to know me better!\Now let's get married, Lu-nyan! response:	Lu-nyan!
context: is what Legion is and what Legion is after!\I can't talk about Legion's secrets!\If I did that, Byro-sama would punish me!\Then what was that story of yours?!\And on top of that, it turned out he has a humdrum past...\Of course, I was talking about myself so you would get to know me better!\Now let's get married, Lu-nyan!\Lu-nyan! response:	Yeesh. I've so had enough of him...
context: I can't talk about Legion's secrets!\If I did that, Byro-sama would punish me!\Then what was that story of yours?!\And on top of that, it turned out he has a humdrum past...\Of course, I was talking about myself so you would get to know me better!\Now let's get married, Lu-nyan!\Lu-nyan!\Yeesh. I've so had enough of him... response:	What should we do, Natsu-nii? There's no point in hanging out with the likes of him.
context: If I did that, Byro-sama would punish me!\Then what was that story of yours?!\And on top of that, it turned out he has a humdrum past...\Of course, I was talking about myself so you would get to know me better!\Now let's get married, Lu-nyan!\Lu-nyan!\Yeesh. I've so had enough of him...\What should we do, Natsu-nii? There's no point in hanging out with the likes of him. response:	Lu-nyan!
context: Then what was that story of yours?!\And on top of that, it turned out he has a humdrum past...\Of course, I was talking about myself so you would get to know me better!\Now let's get married, Lu-nyan!\Lu-nyan!\Yeesh. I've so had enough of him...\What should we do, Natsu-nii? There's no point in hanging out with the likes of him.\Lu-nyan! response:	Get away from me!
context: And on top of that, it turned out he has a humdrum past...\Of course, I was talking about myself so you would get to know me better!\Now let's get married, Lu-nyan!\Lu-nyan!\Yeesh. I've so had enough of him...\What should we do, Natsu-nii? There's no point in hanging out with the likes of him.\Lu-nyan!\Get away from me! response:	But we can't leave yet.
context: Of course, I was talking about myself so you would get to know me better!\Now let's get married, Lu-nyan!\Lu-nyan!\Yeesh. I've so had enough of him...\What should we do, Natsu-nii? There's no point in hanging out with the likes of him.\Lu-nyan!\Get away from me!\But we can't leave yet. response:	Let's get married!
context: Now let's get married, Lu-nyan!\Lu-nyan!\Yeesh. I've so had enough of him...\What should we do, Natsu-nii? There's no point in hanging out with the likes of him.\Lu-nyan!\Get away from me!\But we can't leave yet.\Let's get married! response:	Never!
context: Lu-nyan!\Yeesh. I've so had enough of him...\What should we do, Natsu-nii? There's no point in hanging out with the likes of him.\Lu-nyan!\Get away from me!\But we can't leave yet.\Let's get married!\Never! response:	Lu-nyan!
context: Yeesh. I've so had enough of him...\What should we do, Natsu-nii? There's no point in hanging out with the likes of him.\Lu-nyan!\Get away from me!\But we can't leave yet.\Let's get married!\Never!\Lu-nyan! response:	We promised to rendezvous with the other members of the guild here.
context: What should we do, Natsu-nii? There's no point in hanging out with the likes of him.\Lu-nyan!\Get away from me!\But we can't leave yet.\Let's get married!\Never!\Lu-nyan!\We promised to rendezvous with the other members of the guild here. response:	Lu-nyan, come on!
context: Lu-nyan!\Get away from me!\But we can't leave yet.\Let's get married!\Never!\Lu-nyan!\We promised to rendezvous with the other members of the guild here.\Lu-nyan, come on! response:	Oh, well. Guess there's nothin' to do but wait.
context: Get away from me!\But we can't leave yet.\Let's get married!\Never!\Lu-nyan!\We promised to rendezvous with the other members of the guild here.\Lu-nyan, come on!\Oh, well. Guess there's nothin' to do but wait. response:	Don't just wait there, help me!
context: But we can't leave yet.\Let's get married!\Never!\Lu-nyan!\We promised to rendezvous with the other members of the guild here.\Lu-nyan, come on!\Oh, well. Guess there's nothin' to do but wait.\Don't just wait there, help me! response:	Huh? What happened to the other Legionnaire?
context: Let's get married!\Never!\Lu-nyan!\We promised to rendezvous with the other members of the guild here.\Lu-nyan, come on!\Oh, well. Guess there's nothin' to do but wait.\Don't just wait there, help me!\Huh? What happened to the other Legionnaire? response:	You mean Coco! Maybe she got hurt again somewhere...
