context: Mashiro-kun! response:	We did it!
context: Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never response:	Willpower and Decision
context: Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never\Willpower and Decision response:	Are we clear?
context: The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never\Willpower and Decision\Are we clear? response:	I'm going to make +Natural into Jack's 1...
context: and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never\Willpower and Decision\Are we clear?\I'm going to make +Natural into Jack's 1... response:	No... Japan's 1 manga.
context: I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never\Willpower and Decision\Are we clear?\I'm going to make +Natural into Jack's 1...\No... Japan's 1 manga. response:	I won't lose to PCP.
context: If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never\Willpower and Decision\Are we clear?\I'm going to make +Natural into Jack's 1...\No... Japan's 1 manga.\I won't lose to PCP. response:	Don't worry.
context: then I'm convinced we can never grow up\Never\Willpower and Decision\Are we clear?\I'm going to make +Natural into Jack's 1...\No... Japan's 1 manga.\I won't lose to PCP.\Don't worry. response:	We have an anime starting in April.
context: Never\Willpower and Decision\Are we clear?\I'm going to make +Natural into Jack's 1...\No... Japan's 1 manga.\I won't lose to PCP.\Don't worry.\We have an anime starting in April. response:	Oh, thats right...
context: Willpower and Decision\Are we clear?\I'm going to make +Natural into Jack's 1...\No... Japan's 1 manga.\I won't lose to PCP.\Don't worry.\We have an anime starting in April.\Oh, thats right... response:	Here,
context: Are we clear?\I'm going to make +Natural into Jack's 1...\No... Japan's 1 manga.\I won't lose to PCP.\Don't worry.\We have an anime starting in April.\Oh, thats right...\Here, response:	Have a look at this.
context: I'm going to make +Natural into Jack's 1...\No... Japan's 1 manga.\I won't lose to PCP.\Don't worry.\We have an anime starting in April.\Oh, thats right...\Here,\Have a look at this. response:	The heroine, Mimiya Sayano, makes her appearence in episode 16.
context: No... Japan's 1 manga.\I won't lose to PCP.\Don't worry.\We have an anime starting in April.\Oh, thats right...\Here,\Have a look at this.\The heroine, Mimiya Sayano, makes her appearence in episode 16. response:	These are the four best applicants for the part.
context: I won't lose to PCP.\Don't worry.\We have an anime starting in April.\Oh, thats right...\Here,\Have a look at this.\The heroine, Mimiya Sayano, makes her appearence in episode 16.\These are the four best applicants for the part. response:	I'll have Niizuma-kun to listen to a few samples, and you...
context: Don't worry.\We have an anime starting in April.\Oh, thats right...\Here,\Have a look at this.\The heroine, Mimiya Sayano, makes her appearence in episode 16.\These are the four best applicants for the part.\I'll have Niizuma-kun to listen to a few samples, and you... response:	This Azuki Miho...
context: We have an anime starting in April.\Oh, thats right...\Here,\Have a look at this.\The heroine, Mimiya Sayano, makes her appearence in episode 16.\These are the four best applicants for the part.\I'll have Niizuma-kun to listen to a few samples, and you...\This Azuki Miho... response:	I went to middle school with her.
context: Oh, thats right...\Here,\Have a look at this.\The heroine, Mimiya Sayano, makes her appearence in episode 16.\These are the four best applicants for the part.\I'll have Niizuma-kun to listen to a few samples, and you...\This Azuki Miho...\I went to middle school with her. response:	Eh!? Really?
context: Here,\Have a look at this.\The heroine, Mimiya Sayano, makes her appearence in episode 16.\These are the four best applicants for the part.\I'll have Niizuma-kun to listen to a few samples, and you...\This Azuki Miho...\I went to middle school with her.\Eh!? Really? response:	What a coincidence.
context: Have a look at this.\The heroine, Mimiya Sayano, makes her appearence in episode 16.\These are the four best applicants for the part.\I'll have Niizuma-kun to listen to a few samples, and you...\This Azuki Miho...\I went to middle school with her.\Eh!? Really?\What a coincidence. response:	This girl... is Mashiro's girlfriend!
context: The heroine, Mimiya Sayano, makes her appearence in episode 16.\These are the four best applicants for the part.\I'll have Niizuma-kun to listen to a few samples, and you...\This Azuki Miho...\I went to middle school with her.\Eh!? Really?\What a coincidence.\This girl... is Mashiro's girlfriend! response:	Girlfriend?
context: These are the four best applicants for the part.\I'll have Niizuma-kun to listen to a few samples, and you...\This Azuki Miho...\I went to middle school with her.\Eh!? Really?\What a coincidence.\This girl... is Mashiro's girlfriend!\Girlfriend? response:	Yeah.
context: I'll have Niizuma-kun to listen to a few samples, and you...\This Azuki Miho...\I went to middle school with her.\Eh!? Really?\What a coincidence.\This girl... is Mashiro's girlfriend!\Girlfriend?\Yeah. response:	She visited him in the hospital...
context: This Azuki Miho...\I went to middle school with her.\Eh!? Really?\What a coincidence.\This girl... is Mashiro's girlfriend!\Girlfriend?\Yeah.\She visited him in the hospital... response:	Azuki Miho...
context: I went to middle school with her.\Eh!? Really?\What a coincidence.\This girl... is Mashiro's girlfriend!\Girlfriend?\Yeah.\She visited him in the hospital...\Azuki Miho... response:	Mashiro Moritaka...
context: Eh!? Really?\What a coincidence.\This girl... is Mashiro's girlfriend!\Girlfriend?\Yeah.\She visited him in the hospital...\Azuki Miho...\Mashiro Moritaka... response:	Takagi Akito...
context: What a coincidence.\This girl... is Mashiro's girlfriend!\Girlfriend?\Yeah.\She visited him in the hospital...\Azuki Miho...\Mashiro Moritaka...\Takagi Akito... response:	Ashirogi Muto!
context: This girl... is Mashiro's girlfriend!\Girlfriend?\Yeah.\She visited him in the hospital...\Azuki Miho...\Mashiro Moritaka...\Takagi Akito...\Ashirogi Muto! response:	First place for the first chapter!
context: Girlfriend?\Yeah.\She visited him in the hospital...\Azuki Miho...\Mashiro Moritaka...\Takagi Akito...\Ashirogi Muto!\First place for the first chapter! response:	Off to a good start!
context: Yeah.\She visited him in the hospital...\Azuki Miho...\Mashiro Moritaka...\Takagi Akito...\Ashirogi Muto!\First place for the first chapter!\Off to a good start! response:	Yeah.
context: She visited him in the hospital...\Azuki Miho...\Mashiro Moritaka...\Takagi Akito...\Ashirogi Muto!\First place for the first chapter!\Off to a good start!\Yeah. response:	After this we'll have to work hard to keep it up.
context: Azuki Miho...\Mashiro Moritaka...\Takagi Akito...\Ashirogi Muto!\First place for the first chapter!\Off to a good start!\Yeah.\After this we'll have to work hard to keep it up. response:	About that...
context: Mashiro Moritaka...\Takagi Akito...\Ashirogi Muto!\First place for the first chapter!\Off to a good start!\Yeah.\After this we'll have to work hard to keep it up.\About that... response:	We need to strengthen our characters.
context: Takagi Akito...\Ashirogi Muto!\First place for the first chapter!\Off to a good start!\Yeah.\After this we'll have to work hard to keep it up.\About that...\We need to strengthen our characters. response:	But... Is it too much for her to be good at sports?
context: Ashirogi Muto!\First place for the first chapter!\Off to a good start!\Yeah.\After this we'll have to work hard to keep it up.\About that...\We need to strengthen our characters.\But... Is it too much for her to be good at sports? response:	For a heroine thats fine!
context: First place for the first chapter!\Off to a good start!\Yeah.\After this we'll have to work hard to keep it up.\About that...\We need to strengthen our characters.\But... Is it too much for her to be good at sports?\For a heroine thats fine! response:	Sure is!
context: Off to a good start!\Yeah.\After this we'll have to work hard to keep it up.\About that...\We need to strengthen our characters.\But... Is it too much for her to be good at sports?\For a heroine thats fine!\Sure is! response:	Who is it?
context: Yeah.\After this we'll have to work hard to keep it up.\About that...\We need to strengthen our characters.\But... Is it too much for her to be good at sports?\For a heroine thats fine!\Sure is!\Who is it? response:	It's from Miura-san.
context: After this we'll have to work hard to keep it up.\About that...\We need to strengthen our characters.\But... Is it too much for her to be good at sports?\For a heroine thats fine!\Sure is!\Who is it?\It's from Miura-san. response:	Hey Mashiro-kun!
context: About that...\We need to strengthen our characters.\But... Is it too much for her to be good at sports?\For a heroine thats fine!\Sure is!\Who is it?\It's from Miura-san.\Hey Mashiro-kun! response:	Were you really in middle school with Azuki Miho?
context: We need to strengthen our characters.\But... Is it too much for her to be good at sports?\For a heroine thats fine!\Sure is!\Who is it?\It's from Miura-san.\Hey Mashiro-kun!\Were you really in middle school with Azuki Miho? response:	Yes...
context: But... Is it too much for her to be good at sports?\For a heroine thats fine!\Sure is!\Who is it?\It's from Miura-san.\Hey Mashiro-kun!\Were you really in middle school with Azuki Miho?\Yes... response:	Just how awesome was your class anyway?
context: For a heroine thats fine!\Sure is!\Who is it?\It's from Miura-san.\Hey Mashiro-kun!\Were you really in middle school with Azuki Miho?\Yes...\Just how awesome was your class anyway? response:	You two and Akina-kun are writing manga.
context: Sure is!\Who is it?\It's from Miura-san.\Hey Mashiro-kun!\Were you really in middle school with Azuki Miho?\Yes...\Just how awesome was your class anyway?\You two and Akina-kun are writing manga. response:	And Azuki is a voice actor.
context: Who is it?\It's from Miura-san.\Hey Mashiro-kun!\Were you really in middle school with Azuki Miho?\Yes...\Just how awesome was your class anyway?\You two and Akina-kun are writing manga.\And Azuki is a voice actor. response:	I must admit I'm impressed.
context: It's from Miura-san.\Hey Mashiro-kun!\Were you really in middle school with Azuki Miho?\Yes...\Just how awesome was your class anyway?\You two and Akina-kun are writing manga.\And Azuki is a voice actor.\I must admit I'm impressed. response:	Um...
context: Hey Mashiro-kun!\Were you really in middle school with Azuki Miho?\Yes...\Just how awesome was your class anyway?\You two and Akina-kun are writing manga.\And Azuki is a voice actor.\I must admit I'm impressed.\Um... response:	Why are you asking about Miho?
context: Were you really in middle school with Azuki Miho?\Yes...\Just how awesome was your class anyway?\You two and Akina-kun are writing manga.\And Azuki is a voice actor.\I must admit I'm impressed.\Um...\Why are you asking about Miho? response:	Because Miho-chan,
context: Yes...\Just how awesome was your class anyway?\You two and Akina-kun are writing manga.\And Azuki is a voice actor.\I must admit I'm impressed.\Um...\Why are you asking about Miho?\Because Miho-chan, response:	Is auditioning to be Sayano in +Natural!
context: Just how awesome was your class anyway?\You two and Akina-kun are writing manga.\And Azuki is a voice actor.\I must admit I'm impressed.\Um...\Why are you asking about Miho?\Because Miho-chan,\Is auditioning to be Sayano in +Natural! response:	What?! The part of Sayano?
context: You two and Akina-kun are writing manga.\And Azuki is a voice actor.\I must admit I'm impressed.\Um...\Why are you asking about Miho?\Because Miho-chan,\Is auditioning to be Sayano in +Natural!\What?! The part of Sayano? response:	What. You didn't know?
context: And Azuki is a voice actor.\I must admit I'm impressed.\Um...\Why are you asking about Miho?\Because Miho-chan,\Is auditioning to be Sayano in +Natural!\What?! The part of Sayano?\What. You didn't know? response:	The audition is this next Saturday.
context: I must admit I'm impressed.\Um...\Why are you asking about Miho?\Because Miho-chan,\Is auditioning to be Sayano in +Natural!\What?! The part of Sayano?\What. You didn't know?\The audition is this next Saturday. response:	Wish her luck!
context: Um...\Why are you asking about Miho?\Because Miho-chan,\Is auditioning to be Sayano in +Natural!\What?! The part of Sayano?\What. You didn't know?\The audition is this next Saturday.\Wish her luck! response:	Later!
context: Why are you asking about Miho?\Because Miho-chan,\Is auditioning to be Sayano in +Natural!\What?! The part of Sayano?\What. You didn't know?\The audition is this next Saturday.\Wish her luck!\Later! response:	Azuki in +Natural...
context: Because Miho-chan,\Is auditioning to be Sayano in +Natural!\What?! The part of Sayano?\What. You didn't know?\The audition is this next Saturday.\Wish her luck!\Later!\Azuki in +Natural... response:	Why...
context: Is auditioning to be Sayano in +Natural!\What?! The part of Sayano?\What. You didn't know?\The audition is this next Saturday.\Wish her luck!\Later!\Azuki in +Natural...\Why... response:	Saiko...
context: What?! The part of Sayano?\What. You didn't know?\The audition is this next Saturday.\Wish her luck!\Later!\Azuki in +Natural...\Why...\Saiko... response:	What was that about?
context: What. You didn't know?\The audition is this next Saturday.\Wish her luck!\Later!\Azuki in +Natural...\Why...\Saiko...\What was that about? response:	You were talking about Miho?
context: The audition is this next Saturday.\Wish her luck!\Later!\Azuki in +Natural...\Why...\Saiko...\What was that about?\You were talking about Miho? response:	Yeah...
context: Wish her luck!\Later!\Azuki in +Natural...\Why...\Saiko...\What was that about?\You were talking about Miho?\Yeah... response:	Why would Miura-san ask about Miho on the phone?
context: Later!\Azuki in +Natural...\Why...\Saiko...\What was that about?\You were talking about Miho?\Yeah...\Why would Miura-san ask about Miho on the phone? response:	Azuki is auditioning for the role of Sayano in +Natural
context: Azuki in +Natural...\Why...\Saiko...\What was that about?\You were talking about Miho?\Yeah...\Why would Miura-san ask about Miho on the phone?\Azuki is auditioning for the role of Sayano in +Natural response:	Sayano?
context: Why...\Saiko...\What was that about?\You were talking about Miho?\Yeah...\Why would Miura-san ask about Miho on the phone?\Azuki is auditioning for the role of Sayano in +Natural\Sayano? response:	This girl.
context: Saiko...\What was that about?\You were talking about Miho?\Yeah...\Why would Miura-san ask about Miho on the phone?\Azuki is auditioning for the role of Sayano in +Natural\Sayano?\This girl. response:	The heroine of +Natural.
context: What was that about?\You were talking about Miho?\Yeah...\Why would Miura-san ask about Miho on the phone?\Azuki is auditioning for the role of Sayano in +Natural\Sayano?\This girl.\The heroine of +Natural. response:	This is...
context: You were talking about Miho?\Yeah...\Why would Miura-san ask about Miho on the phone?\Azuki is auditioning for the role of Sayano in +Natural\Sayano?\This girl.\The heroine of +Natural.\This is... response:	Iwase and Niizuma's manga!
context: Yeah...\Why would Miura-san ask about Miho on the phone?\Azuki is auditioning for the role of Sayano in +Natural\Sayano?\This girl.\The heroine of +Natural.\This is...\Iwase and Niizuma's manga! response:	She has an audition next Saturday.
context: Why would Miura-san ask about Miho on the phone?\Azuki is auditioning for the role of Sayano in +Natural\Sayano?\This girl.\The heroine of +Natural.\This is...\Iwase and Niizuma's manga!\She has an audition next Saturday. response:	So why did Miura-san call?
context: Azuki is auditioning for the role of Sayano in +Natural\Sayano?\This girl.\The heroine of +Natural.\This is...\Iwase and Niizuma's manga!\She has an audition next Saturday.\So why did Miura-san call? response:	Well,
context: Sayano?\This girl.\The heroine of +Natural.\This is...\Iwase and Niizuma's manga!\She has an audition next Saturday.\So why did Miura-san call?\Well, response:	He's the editor for +Natural now.
context: This girl.\The heroine of +Natural.\This is...\Iwase and Niizuma's manga!\She has an audition next Saturday.\So why did Miura-san call?\Well,\He's the editor for +Natural now. response:	He was just surprised to learn that she is a voice actor.
context: The heroine of +Natural.\This is...\Iwase and Niizuma's manga!\She has an audition next Saturday.\So why did Miura-san call?\Well,\He's the editor for +Natural now.\He was just surprised to learn that she is a voice actor. response:	Why would Miho apply for this role?
context: This is...\Iwase and Niizuma's manga!\She has an audition next Saturday.\So why did Miura-san call?\Well,\He's the editor for +Natural now.\He was just surprised to learn that she is a voice actor.\Why would Miho apply for this role? response:	She needs to play Annojo Mai when PCP gets an anime.
context: Iwase and Niizuma's manga!\She has an audition next Saturday.\So why did Miura-san call?\Well,\He's the editor for +Natural now.\He was just surprised to learn that she is a voice actor.\Why would Miho apply for this role?\She needs to play Annojo Mai when PCP gets an anime. response:	Sayano doesn't show up until later in the series,
context: She has an audition next Saturday.\So why did Miura-san call?\Well,\He's the editor for +Natural now.\He was just surprised to learn that she is a voice actor.\Why would Miho apply for this role?\She needs to play Annojo Mai when PCP gets an anime.\Sayano doesn't show up until later in the series, response:	But there are no other major female characters.
context: So why did Miura-san call?\Well,\He's the editor for +Natural now.\He was just surprised to learn that she is a voice actor.\Why would Miho apply for this role?\She needs to play Annojo Mai when PCP gets an anime.\Sayano doesn't show up until later in the series,\But there are no other major female characters. response:	And she eventually becomes the heroine.
context: Well,\He's the editor for +Natural now.\He was just surprised to learn that she is a voice actor.\Why would Miho apply for this role?\She needs to play Annojo Mai when PCP gets an anime.\Sayano doesn't show up until later in the series,\But there are no other major female characters.\And she eventually becomes the heroine. response:	But Miho is your heroine!
context: He's the editor for +Natural now.\He was just surprised to learn that she is a voice actor.\Why would Miho apply for this role?\She needs to play Annojo Mai when PCP gets an anime.\Sayano doesn't show up until later in the series,\But there are no other major female characters.\And she eventually becomes the heroine.\But Miho is your heroine! response:	She can't do any others!
context: He was just surprised to learn that she is a voice actor.\Why would Miho apply for this role?\She needs to play Annojo Mai when PCP gets an anime.\Sayano doesn't show up until later in the series,\But there are no other major female characters.\And she eventually becomes the heroine.\But Miho is your heroine!\She can't do any others! response:	And the manga is by your rivals, Niizuma and Iwase.
context: Why would Miho apply for this role?\She needs to play Annojo Mai when PCP gets an anime.\Sayano doesn't show up until later in the series,\But there are no other major female characters.\And she eventually becomes the heroine.\But Miho is your heroine!\She can't do any others!\And the manga is by your rivals, Niizuma and Iwase. response:	It isn't right!
context: She needs to play Annojo Mai when PCP gets an anime.\Sayano doesn't show up until later in the series,\But there are no other major female characters.\And she eventually becomes the heroine.\But Miho is your heroine!\She can't do any others!\And the manga is by your rivals, Niizuma and Iwase.\It isn't right! response:	Mashiro, you have to stop her!
context: Sayano doesn't show up until later in the series,\But there are no other major female characters.\And she eventually becomes the heroine.\But Miho is your heroine!\She can't do any others!\And the manga is by your rivals, Niizuma and Iwase.\It isn't right!\Mashiro, you have to stop her! response:	No.
context: But there are no other major female characters.\And she eventually becomes the heroine.\But Miho is your heroine!\She can't do any others!\And the manga is by your rivals, Niizuma and Iwase.\It isn't right!\Mashiro, you have to stop her!\No. response:	This is a big role.
context: And she eventually becomes the heroine.\But Miho is your heroine!\She can't do any others!\And the manga is by your rivals, Niizuma and Iwase.\It isn't right!\Mashiro, you have to stop her!\No.\This is a big role. response:	But she needs to be the heroine in your story...
context: But Miho is your heroine!\She can't do any others!\And the manga is by your rivals, Niizuma and Iwase.\It isn't right!\Mashiro, you have to stop her!\No.\This is a big role.\But she needs to be the heroine in your story... response:	In order for your dream to come true.
context: She can't do any others!\And the manga is by your rivals, Niizuma and Iwase.\It isn't right!\Mashiro, you have to stop her!\No.\This is a big role.\But she needs to be the heroine in your story...\In order for your dream to come true. response:	Work is work.
context: And the manga is by your rivals, Niizuma and Iwase.\It isn't right!\Mashiro, you have to stop her!\No.\This is a big role.\But she needs to be the heroine in your story...\In order for your dream to come true.\Work is work. response:	My job is to write manga.
context: It isn't right!\Mashiro, you have to stop her!\No.\This is a big role.\But she needs to be the heroine in your story...\In order for your dream to come true.\Work is work.\My job is to write manga. response:	Azuki is working hard to become a voice actor.
context: Mashiro, you have to stop her!\No.\This is a big role.\But she needs to be the heroine in your story...\In order for your dream to come true.\Work is work.\My job is to write manga.\Azuki is working hard to become a voice actor. response:	If that means playing a role in Iwase and Niizuma's anime, +Natural...
context: No.\This is a big role.\But she needs to be the heroine in your story...\In order for your dream to come true.\Work is work.\My job is to write manga.\Azuki is working hard to become a voice actor.\If that means playing a role in Iwase and Niizuma's anime, +Natural... response:	It can't be helped.
context: This is a big role.\But she needs to be the heroine in your story...\In order for your dream to come true.\Work is work.\My job is to write manga.\Azuki is working hard to become a voice actor.\If that means playing a role in Iwase and Niizuma's anime, +Natural...\It can't be helped. response:	What are you saying?
context: But she needs to be the heroine in your story...\In order for your dream to come true.\Work is work.\My job is to write manga.\Azuki is working hard to become a voice actor.\If that means playing a role in Iwase and Niizuma's anime, +Natural...\It can't be helped.\What are you saying? response:	That isn't right!
context: In order for your dream to come true.\Work is work.\My job is to write manga.\Azuki is working hard to become a voice actor.\If that means playing a role in Iwase and Niizuma's anime, +Natural...\It can't be helped.\What are you saying?\That isn't right! response:	Kaya-chan!
context: Work is work.\My job is to write manga.\Azuki is working hard to become a voice actor.\If that means playing a role in Iwase and Niizuma's anime, +Natural...\It can't be helped.\What are you saying?\That isn't right!\Kaya-chan! response:	What?!
context: My job is to write manga.\Azuki is working hard to become a voice actor.\If that means playing a role in Iwase and Niizuma's anime, +Natural...\It can't be helped.\What are you saying?\That isn't right!\Kaya-chan!\What?! response:	It's not your problem.
context: Azuki is working hard to become a voice actor.\If that means playing a role in Iwase and Niizuma's anime, +Natural...\It can't be helped.\What are you saying?\That isn't right!\Kaya-chan!\What?!\It's not your problem. response:	Thats terrible!
context: If that means playing a role in Iwase and Niizuma's anime, +Natural...\It can't be helped.\What are you saying?\That isn't right!\Kaya-chan!\What?!\It's not your problem.\Thats terrible! response:	I'm just thinking of you guys...
context: It can't be helped.\What are you saying?\That isn't right!\Kaya-chan!\What?!\It's not your problem.\Thats terrible!\I'm just thinking of you guys... response:	I understand how you feel,
context: What are you saying?\That isn't right!\Kaya-chan!\What?!\It's not your problem.\Thats terrible!\I'm just thinking of you guys...\I understand how you feel, response:	But it's not our place to interfere.
context: That isn't right!\Kaya-chan!\What?!\It's not your problem.\Thats terrible!\I'm just thinking of you guys...\I understand how you feel,\But it's not our place to interfere. response:	Aw...
context: Kaya-chan!\What?!\It's not your problem.\Thats terrible!\I'm just thinking of you guys...\I understand how you feel,\But it's not our place to interfere.\Aw... response:	You can't say that kind of thing in front of Saiko.
context: What?!\It's not your problem.\Thats terrible!\I'm just thinking of you guys...\I understand how you feel,\But it's not our place to interfere.\Aw...\You can't say that kind of thing in front of Saiko. response:	Huh?
context: It's not your problem.\Thats terrible!\I'm just thinking of you guys...\I understand how you feel,\But it's not our place to interfere.\Aw...\You can't say that kind of thing in front of Saiko.\Huh? response:	I'm pretty sure he doesn't want her to take that part either.
context: Thats terrible!\I'm just thinking of you guys...\I understand how you feel,\But it's not our place to interfere.\Aw...\You can't say that kind of thing in front of Saiko.\Huh?\I'm pretty sure he doesn't want her to take that part either. response:	But it's Azuki's choice so he won't stop her.
context: I'm just thinking of you guys...\I understand how you feel,\But it's not our place to interfere.\Aw...\You can't say that kind of thing in front of Saiko.\Huh?\I'm pretty sure he doesn't want her to take that part either.\But it's Azuki's choice so he won't stop her. response:	Why not?
context: I understand how you feel,\But it's not our place to interfere.\Aw...\You can't say that kind of thing in front of Saiko.\Huh?\I'm pretty sure he doesn't want her to take that part either.\But it's Azuki's choice so he won't stop her.\Why not? response:	Because he's stubborn.
context: But it's not our place to interfere.\Aw...\You can't say that kind of thing in front of Saiko.\Huh?\I'm pretty sure he doesn't want her to take that part either.\But it's Azuki's choice so he won't stop her.\Why not?\Because he's stubborn. response:	Stubborn...
context: Aw...\You can't say that kind of thing in front of Saiko.\Huh?\I'm pretty sure he doesn't want her to take that part either.\But it's Azuki's choice so he won't stop her.\Why not?\Because he's stubborn.\Stubborn... response:	I guess I can see that.
context: You can't say that kind of thing in front of Saiko.\Huh?\I'm pretty sure he doesn't want her to take that part either.\But it's Azuki's choice so he won't stop her.\Why not?\Because he's stubborn.\Stubborn...\I guess I can see that. response:	Sometimes he has trouble saying what he wants.
context: Huh?\I'm pretty sure he doesn't want her to take that part either.\But it's Azuki's choice so he won't stop her.\Why not?\Because he's stubborn.\Stubborn...\I guess I can see that.\Sometimes he has trouble saying what he wants. response:	Azuki too.
context: I'm pretty sure he doesn't want her to take that part either.\But it's Azuki's choice so he won't stop her.\Why not?\Because he's stubborn.\Stubborn...\I guess I can see that.\Sometimes he has trouble saying what he wants.\Azuki too. response:	That's true.
context: But it's Azuki's choice so he won't stop her.\Why not?\Because he's stubborn.\Stubborn...\I guess I can see that.\Sometimes he has trouble saying what he wants.\Azuki too.\That's true. response:	Why did she choose that role anyway?
context: Why not?\Because he's stubborn.\Stubborn...\I guess I can see that.\Sometimes he has trouble saying what he wants.\Azuki too.\That's true.\Why did she choose that role anyway? response:	Seriously.
context: Because he's stubborn.\Stubborn...\I guess I can see that.\Sometimes he has trouble saying what he wants.\Azuki too.\That's true.\Why did she choose that role anyway?\Seriously. response:	I can't be in Mashiro's rival's anime,
context: Stubborn...\I guess I can see that.\Sometimes he has trouble saying what he wants.\Azuki too.\That's true.\Why did she choose that role anyway?\Seriously.\I can't be in Mashiro's rival's anime, response:	Is what I would expect her to say.
context: I guess I can see that.\Sometimes he has trouble saying what he wants.\Azuki too.\That's true.\Why did she choose that role anyway?\Seriously.\I can't be in Mashiro's rival's anime,\Is what I would expect her to say. response:	But she isn't that type.
context: Sometimes he has trouble saying what he wants.\Azuki too.\That's true.\Why did she choose that role anyway?\Seriously.\I can't be in Mashiro's rival's anime,\Is what I would expect her to say.\But she isn't that type. response:	Yeah,
context: Azuki too.\That's true.\Why did she choose that role anyway?\Seriously.\I can't be in Mashiro's rival's anime,\Is what I would expect her to say.\But she isn't that type.\Yeah, response:	It's work so she'll try her hardest.
context: That's true.\Why did she choose that role anyway?\Seriously.\I can't be in Mashiro's rival's anime,\Is what I would expect her to say.\But she isn't that type.\Yeah,\It's work so she'll try her hardest. response:	It's her job so it's her decision.
context: Why did she choose that role anyway?\Seriously.\I can't be in Mashiro's rival's anime,\Is what I would expect her to say.\But she isn't that type.\Yeah,\It's work so she'll try her hardest.\It's her job so it's her decision. response:	Let's go see her tomorrow and talk to her.
context: Seriously.\I can't be in Mashiro's rival's anime,\Is what I would expect her to say.\But she isn't that type.\Yeah,\It's work so she'll try her hardest.\It's her job so it's her decision.\Let's go see her tomorrow and talk to her. response:	Sure.
context: I can't be in Mashiro's rival's anime,\Is what I would expect her to say.\But she isn't that type.\Yeah,\It's work so she'll try her hardest.\It's her job so it's her decision.\Let's go see her tomorrow and talk to her.\Sure. response:	It's been a while...
context: Is what I would expect her to say.\But she isn't that type.\Yeah,\It's work so she'll try her hardest.\It's her job so it's her decision.\Let's go see her tomorrow and talk to her.\Sure.\It's been a while... response:	Sorry to come on such short notice.
