context: When winds blow, Chihaya-chan. response:	Chihaya-chan, when this poem was written 800 years ago,
context: Got it!\Kana-chan,\I remember.\Speaking of dreams, there's Silent waves!\in my dreams, I creep closer to you\Megumu-chan...\Let's...\have a good match! response:	Chihaya Furu
context: Kana-chan,\I remember.\Speaking of dreams, there's Silent waves!\in my dreams, I creep closer to you\Megumu-chan...\Let's...\have a good match!\Chihaya Furu response:	Verse 13
context: I remember.\Speaking of dreams, there's Silent waves!\in my dreams, I creep closer to you\Megumu-chan...\Let's...\have a good match!\Chihaya Furu\Verse 13 response:	In my dreams, I creep closer to you
context: Speaking of dreams, there's Silent waves!\in my dreams, I creep closer to you\Megumu-chan...\Let's...\have a good match!\Chihaya Furu\Verse 13\In my dreams, I creep closer to you response:	I couldn't take the one-syllable card on
context: in my dreams, I creep closer to you\Megumu-chan...\Let's...\have a good match!\Chihaya Furu\Verse 13\In my dreams, I creep closer to you\I couldn't take the one-syllable card on response:	my opponent's lower right last time, but I got it this time.
context: Megumu-chan...\Let's...\have a good match!\Chihaya Furu\Verse 13\In my dreams, I creep closer to you\I couldn't take the one-syllable card on\my opponent's lower right last time, but I got it this time. response:	The opponent's lower right one-syllable cards are always special.
context: Let's...\have a good match!\Chihaya Furu\Verse 13\In my dreams, I creep closer to you\I couldn't take the one-syllable card on\my opponent's lower right last time, but I got it this time.\The opponent's lower right one-syllable cards are always special. response:	You're taking a card from right under their nose.
context: have a good match!\Chihaya Furu\Verse 13\In my dreams, I creep closer to you\I couldn't take the one-syllable card on\my opponent's lower right last time, but I got it this time.\The opponent's lower right one-syllable cards are always special.\You're taking a card from right under their nose. response:	It's so fun!
context: Chihaya Furu\Verse 13\In my dreams, I creep closer to you\I couldn't take the one-syllable card on\my opponent's lower right last time, but I got it this time.\The opponent's lower right one-syllable cards are always special.\You're taking a card from right under their nose.\It's so fun! response:	Ayase's got the momentum now.
context: Verse 13\In my dreams, I creep closer to you\I couldn't take the one-syllable card on\my opponent's lower right last time, but I got it this time.\The opponent's lower right one-syllable cards are always special.\You're taking a card from right under their nose.\It's so fun!\Ayase's got the momentum now. response:	That speed confirmed it.
context: In my dreams, I creep closer to you\I couldn't take the one-syllable card on\my opponent's lower right last time, but I got it this time.\The opponent's lower right one-syllable cards are always special.\You're taking a card from right under their nose.\It's so fun!\Ayase's got the momentum now.\That speed confirmed it. response:	The neural signal goes straight from Bellatrix's ears to her fingers.
context: I couldn't take the one-syllable card on\my opponent's lower right last time, but I got it this time.\The opponent's lower right one-syllable cards are always special.\You're taking a card from right under their nose.\It's so fun!\Ayase's got the momentum now.\That speed confirmed it.\The neural signal goes straight from Bellatrix's ears to her fingers. response:	That's the only way to explain her speed.
context: my opponent's lower right last time, but I got it this time.\The opponent's lower right one-syllable cards are always special.\You're taking a card from right under their nose.\It's so fun!\Ayase's got the momentum now.\That speed confirmed it.\The neural signal goes straight from Bellatrix's ears to her fingers.\That's the only way to explain her speed. response:	And another one-syllable S card,
context: The opponent's lower right one-syllable cards are always special.\You're taking a card from right under their nose.\It's so fun!\Ayase's got the momentum now.\That speed confirmed it.\The neural signal goes straight from Bellatrix's ears to her fingers.\That's the only way to explain her speed.\And another one-syllable S card, response:	Swift, was on the opponent's lower left,
context: You're taking a card from right under their nose.\It's so fun!\Ayase's got the momentum now.\That speed confirmed it.\The neural signal goes straight from Bellatrix's ears to her fingers.\That's the only way to explain her speed.\And another one-syllable S card,\Swift, was on the opponent's lower left, response:	but she went straight for Silent.
context: It's so fun!\Ayase's got the momentum now.\That speed confirmed it.\The neural signal goes straight from Bellatrix's ears to her fingers.\That's the only way to explain her speed.\And another one-syllable S card,\Swift, was on the opponent's lower left,\but she went straight for Silent. response:	That takes guts!
context: Ayase's got the momentum now.\That speed confirmed it.\The neural signal goes straight from Bellatrix's ears to her fingers.\That's the only way to explain her speed.\And another one-syllable S card,\Swift, was on the opponent's lower left,\but she went straight for Silent.\That takes guts! response:	That felt very clean.
context: That speed confirmed it.\The neural signal goes straight from Bellatrix's ears to her fingers.\That's the only way to explain her speed.\And another one-syllable S card,\Swift, was on the opponent's lower left,\but she went straight for Silent.\That takes guts!\That felt very clean. response:	I hit the corner.
context: The neural signal goes straight from Bellatrix's ears to her fingers.\That's the only way to explain her speed.\And another one-syllable S card,\Swift, was on the opponent's lower left,\but she went straight for Silent.\That takes guts!\That felt very clean.\I hit the corner. response:	I was never able to take a card that way before...
context: That's the only way to explain her speed.\And another one-syllable S card,\Swift, was on the opponent's lower left,\but she went straight for Silent.\That takes guts!\That felt very clean.\I hit the corner.\I was never able to take a card that way before... response:	Chihaya-chan, that was a nice attack.
context: And another one-syllable S card,\Swift, was on the opponent's lower left,\but she went straight for Silent.\That takes guts!\That felt very clean.\I hit the corner.\I was never able to take a card that way before...\Chihaya-chan, that was a nice attack. response:	Yep!
context: Swift, was on the opponent's lower left,\but she went straight for Silent.\That takes guts!\That felt very clean.\I hit the corner.\I was never able to take a card that way before...\Chihaya-chan, that was a nice attack.\Yep! response:	The moment you celebrate, you lose your focus...
context: but she went straight for Silent.\That takes guts!\That felt very clean.\I hit the corner.\I was never able to take a card that way before...\Chihaya-chan, that was a nice attack.\Yep!\The moment you celebrate, you lose your focus... response:	My own home is...
context: That takes guts!\That felt very clean.\I hit the corner.\I was never able to take a card that way before...\Chihaya-chan, that was a nice attack.\Yep!\The moment you celebrate, you lose your focus...\My own home is... response:	As the years pass...
context: That felt very clean.\I hit the corner.\I was never able to take a card that way before...\Chihaya-chan, that was a nice attack.\Yep!\The moment you celebrate, you lose your focus...\My own home is...\As the years pass... response:	No...
context: I hit the corner.\I was never able to take a card that way before...\Chihaya-chan, that was a nice attack.\Yep!\The moment you celebrate, you lose your focus...\My own home is...\As the years pass...\No... response:	What a waste.
context: I was never able to take a card that way before...\Chihaya-chan, that was a nice attack.\Yep!\The moment you celebrate, you lose your focus...\My own home is...\As the years pass...\No...\What a waste. response:	That was a waste.
context: Chihaya-chan, that was a nice attack.\Yep!\The moment you celebrate, you lose your focus...\My own home is...\As the years pass...\No...\What a waste.\That was a waste. response:	As always...
context: Yep!\The moment you celebrate, you lose your focus...\My own home is...\As the years pass...\No...\What a waste.\That was a waste.\As always... response:	Good, Megumu isn't letting it get to her.
context: The moment you celebrate, you lose your focus...\My own home is...\As the years pass...\No...\What a waste.\That was a waste.\As always...\Good, Megumu isn't letting it get to her. response:	She didn't let the loss of a one-syllable card
context: My own home is...\As the years pass...\No...\What a waste.\That was a waste.\As always...\Good, Megumu isn't letting it get to her.\She didn't let the loss of a one-syllable card response:	from her own side influence her play.
context: As the years pass...\No...\What a waste.\That was a waste.\As always...\Good, Megumu isn't letting it get to her.\She didn't let the loss of a one-syllable card\from her own side influence her play. response:	I can see why she was the West representative.
context: No...\What a waste.\That was a waste.\As always...\Good, Megumu isn't letting it get to her.\She didn't let the loss of a one-syllable card\from her own side influence her play.\I can see why she was the West representative. response:	Akashi Girls' ace and moodmaker...
context: What a waste.\That was a waste.\As always...\Good, Megumu isn't letting it get to her.\She didn't let the loss of a one-syllable card\from her own side influence her play.\I can see why she was the West representative.\Akashi Girls' ace and moodmaker... response:	The match will be decided by Ousaka Megumu's performance.
context: That was a waste.\As always...\Good, Megumu isn't letting it get to her.\She didn't let the loss of a one-syllable card\from her own side influence her play.\I can see why she was the West representative.\Akashi Girls' ace and moodmaker...\The match will be decided by Ousaka Megumu's performance. response:	One more card. Keep it going.
context: As always...\Good, Megumu isn't letting it get to her.\She didn't let the loss of a one-syllable card\from her own side influence her play.\I can see why she was the West representative.\Akashi Girls' ace and moodmaker...\The match will be decided by Ousaka Megumu's performance.\One more card. Keep it going. response:	Yes!
context: Good, Megumu isn't letting it get to her.\She didn't let the loss of a one-syllable card\from her own side influence her play.\I can see why she was the West representative.\Akashi Girls' ace and moodmaker...\The match will be decided by Ousaka Megumu's performance.\One more card. Keep it going.\Yes! response:	I've never played anyone so calm before.
context: She didn't let the loss of a one-syllable card\from her own side influence her play.\I can see why she was the West representative.\Akashi Girls' ace and moodmaker...\The match will be decided by Ousaka Megumu's performance.\One more card. Keep it going.\Yes!\I've never played anyone so calm before. response:	the sight of a midnight moon
context: from her own side influence her play.\I can see why she was the West representative.\Akashi Girls' ace and moodmaker...\The match will be decided by Ousaka Megumu's performance.\One more card. Keep it going.\Yes!\I've never played anyone so calm before.\the sight of a midnight moon response:	I can't remember how to catch momentum.
context: I can see why she was the West representative.\Akashi Girls' ace and moodmaker...\The match will be decided by Ousaka Megumu's performance.\One more card. Keep it going.\Yes!\I've never played anyone so calm before.\the sight of a midnight moon\I can't remember how to catch momentum. response:	So spring nights are short...
context: Akashi Girls' ace and moodmaker...\The match will be decided by Ousaka Megumu's performance.\One more card. Keep it going.\Yes!\I've never played anyone so calm before.\the sight of a midnight moon\I can't remember how to catch momentum.\So spring nights are short... response:	S-Same time...
context: The match will be decided by Ousaka Megumu's performance.\One more card. Keep it going.\Yes!\I've never played anyone so calm before.\the sight of a midnight moon\I can't remember how to catch momentum.\So spring nights are short...\S-Same time... response:	Don't back down!
context: One more card. Keep it going.\Yes!\I've never played anyone so calm before.\the sight of a midnight moon\I can't remember how to catch momentum.\So spring nights are short...\S-Same time...\Don't back down! response:	Fight for it!
context: Yes!\I've never played anyone so calm before.\the sight of a midnight moon\I can't remember how to catch momentum.\So spring nights are short...\S-Same time...\Don't back down!\Fight for it! response:	I-I think I got that card...
context: I've never played anyone so calm before.\the sight of a midnight moon\I can't remember how to catch momentum.\So spring nights are short...\S-Same time...\Don't back down!\Fight for it!\I-I think I got that card... response:	Huh?
context: the sight of a midnight moon\I can't remember how to catch momentum.\So spring nights are short...\S-Same time...\Don't back down!\Fight for it!\I-I think I got that card...\Huh? response:	I'm not telling you to force her to give you the card.
context: I can't remember how to catch momentum.\So spring nights are short...\S-Same time...\Don't back down!\Fight for it!\I-I think I got that card...\Huh?\I'm not telling you to force her to give you the card. response:	Even if you end up losing it, the point is to make her feel uncomfortable.
context: So spring nights are short...\S-Same time...\Don't back down!\Fight for it!\I-I think I got that card...\Huh?\I'm not telling you to force her to give you the card.\Even if you end up losing it, the point is to make her feel uncomfortable. response:	Throw her off her game.
context: S-Same time...\Don't back down!\Fight for it!\I-I think I got that card...\Huh?\I'm not telling you to force her to give you the card.\Even if you end up losing it, the point is to make her feel uncomfortable.\Throw her off her game. response:	I'm sorry!
context: Don't back down!\Fight for it!\I-I think I got that card...\Huh?\I'm not telling you to force her to give you the card.\Even if you end up losing it, the point is to make her feel uncomfortable.\Throw her off her game.\I'm sorry! response:	We touched it at the same time, so it should go to Megumu-chan...
context: Fight for it!\I-I think I got that card...\Huh?\I'm not telling you to force her to give you the card.\Even if you end up losing it, the point is to make her feel uncomfortable.\Throw her off her game.\I'm sorry!\We touched it at the same time, so it should go to Megumu-chan... response:	I'm sorry!
context: I-I think I got that card...\Huh?\I'm not telling you to force her to give you the card.\Even if you end up losing it, the point is to make her feel uncomfortable.\Throw her off her game.\I'm sorry!\We touched it at the same time, so it should go to Megumu-chan...\I'm sorry! response:	Really? You can have it then.
context: Huh?\I'm not telling you to force her to give you the card.\Even if you end up losing it, the point is to make her feel uncomfortable.\Throw her off her game.\I'm sorry!\We touched it at the same time, so it should go to Megumu-chan...\I'm sorry!\Really? You can have it then. response:	What?!
context: I'm not telling you to force her to give you the card.\Even if you end up losing it, the point is to make her feel uncomfortable.\Throw her off her game.\I'm sorry!\We touched it at the same time, so it should go to Megumu-chan...\I'm sorry!\Really? You can have it then.\What?! response:	She really gave it to me!
context: Even if you end up losing it, the point is to make her feel uncomfortable.\Throw her off her game.\I'm sorry!\We touched it at the same time, so it should go to Megumu-chan...\I'm sorry!\Really? You can have it then.\What?!\She really gave it to me! response:	Oh, no! Oh, no! What do I do?!
context: Throw her off her game.\I'm sorry!\We touched it at the same time, so it should go to Megumu-chan...\I'm sorry!\Really? You can have it then.\What?!\She really gave it to me!\Oh, no! Oh, no! What do I do?! response:	So spring ends...
context: I'm sorry!\We touched it at the same time, so it should go to Megumu-chan...\I'm sorry!\Really? You can have it then.\What?!\She really gave it to me!\Oh, no! Oh, no! What do I do?!\So spring ends... response:	That was a failure.
context: We touched it at the same time, so it should go to Megumu-chan...\I'm sorry!\Really? You can have it then.\What?!\She really gave it to me!\Oh, no! Oh, no! What do I do?!\So spring ends...\That was a failure. response:	She was the one who was thrown off her game.
context: I'm sorry!\Really? You can have it then.\What?!\She really gave it to me!\Oh, no! Oh, no! What do I do?!\So spring ends...\That was a failure.\She was the one who was thrown off her game. response:	She's not made to contest cards...
context: Really? You can have it then.\What?!\She really gave it to me!\Oh, no! Oh, no! What do I do?!\So spring ends...\That was a failure.\She was the one who was thrown off her game.\She's not made to contest cards... response:	I need to step up.
context: What?!\She really gave it to me!\Oh, no! Oh, no! What do I do?!\So spring ends...\That was a failure.\She was the one who was thrown off her game.\She's not made to contest cards...\I need to step up. response:	I have to step up!
context: She really gave it to me!\Oh, no! Oh, no! What do I do?!\So spring ends...\That was a failure.\She was the one who was thrown off her game.\She's not made to contest cards...\I need to step up.\I have to step up! response:	I must step up!
context: Oh, no! Oh, no! What do I do?!\So spring ends...\That was a failure.\She was the one who was thrown off her game.\She's not made to contest cards...\I need to step up.\I have to step up!\I must step up! response:	I have to...
context: So spring ends...\That was a failure.\She was the one who was thrown off her game.\She's not made to contest cards...\I need to step up.\I have to step up!\I must step up!\I have to... response:	The atmosphere and audience make it difficult for me to move.
context: That was a failure.\She was the one who was thrown off her game.\She's not made to contest cards...\I need to step up.\I have to step up!\I must step up!\I have to...\The atmosphere and audience make it difficult for me to move. response:	A mountain stream...
context: She was the one who was thrown off her game.\She's not made to contest cards...\I need to step up.\I have to step up!\I must step up!\I have to...\The atmosphere and audience make it difficult for me to move.\A mountain stream... response:	An empty card!
context: She's not made to contest cards...\I need to step up.\I have to step up!\I must step up!\I have to...\The atmosphere and audience make it difficult for me to move.\A mountain stream...\An empty card! response:	That was close...
context: I need to step up.\I have to step up!\I must step up!\I have to...\The atmosphere and audience make it difficult for me to move.\A mountain stream...\An empty card!\That was close... response:	Hanano...
context: I have to step up!\I must step up!\I have to...\The atmosphere and audience make it difficult for me to move.\A mountain stream...\An empty card!\That was close...\Hanano... response:	According to Hanano's notes,
context: I must step up!\I have to...\The atmosphere and audience make it difficult for me to move.\A mountain stream...\An empty card!\That was close...\Hanano...\According to Hanano's notes, response:	the girl with a ponytail had a towel from an Aoi Ryuji tour.
context: I have to...\The atmosphere and audience make it difficult for me to move.\A mountain stream...\An empty card!\That was close...\Hanano...\According to Hanano's notes,\the girl with a ponytail had a towel from an Aoi Ryuji tour. response:	Is that the towel she was talking about?
context: The atmosphere and audience make it difficult for me to move.\A mountain stream...\An empty card!\That was close...\Hanano...\According to Hanano's notes,\the girl with a ponytail had a towel from an Aoi Ryuji tour.\Is that the towel she was talking about? response:	She actually recognized it?
context: A mountain stream...\An empty card!\That was close...\Hanano...\According to Hanano's notes,\the girl with a ponytail had a towel from an Aoi Ryuji tour.\Is that the towel she was talking about?\She actually recognized it? response:	Aoi Ryuji is a singer who's known for his sappy love songs.
context: An empty card!\That was close...\Hanano...\According to Hanano's notes,\the girl with a ponytail had a towel from an Aoi Ryuji tour.\Is that the towel she was talking about?\She actually recognized it?\Aoi Ryuji is a singer who's known for his sappy love songs. response:	Most of them are about broken hearts.
context: That was close...\Hanano...\According to Hanano's notes,\the girl with a ponytail had a towel from an Aoi Ryuji tour.\Is that the towel she was talking about?\She actually recognized it?\Aoi Ryuji is a singer who's known for his sappy love songs.\Most of them are about broken hearts. response:	Which means...
context: Hanano...\According to Hanano's notes,\the girl with a ponytail had a towel from an Aoi Ryuji tour.\Is that the towel she was talking about?\She actually recognized it?\Aoi Ryuji is a singer who's known for his sappy love songs.\Most of them are about broken hearts.\Which means... response:	These are the cards...
context: According to Hanano's notes,\the girl with a ponytail had a towel from an Aoi Ryuji tour.\Is that the towel she was talking about?\She actually recognized it?\Aoi Ryuji is a singer who's known for his sappy love songs.\Most of them are about broken hearts.\Which means...\These are the cards... response:	I know that my heart...
context: the girl with a ponytail had a towel from an Aoi Ryuji tour.\Is that the towel she was talking about?\She actually recognized it?\Aoi Ryuji is a singer who's known for his sappy love songs.\Most of them are about broken hearts.\Which means...\These are the cards...\I know that my heart... response:	I have to take!
context: Is that the towel she was talking about?\She actually recognized it?\Aoi Ryuji is a singer who's known for his sappy love songs.\Most of them are about broken hearts.\Which means...\These are the cards...\I know that my heart...\I have to take! response:	I wanted that card.
context: She actually recognized it?\Aoi Ryuji is a singer who's known for his sappy love songs.\Most of them are about broken hearts.\Which means...\These are the cards...\I know that my heart...\I have to take!\I wanted that card. response:	I heard that this person is Class C,
context: Aoi Ryuji is a singer who's known for his sappy love songs.\Most of them are about broken hearts.\Which means...\These are the cards...\I know that my heart...\I have to take!\I wanted that card.\I heard that this person is Class C, response:	but he's tough!
context: Most of them are about broken hearts.\Which means...\These are the cards...\I know that my heart...\I have to take!\I wanted that card.\I heard that this person is Class C,\but he's tough! response:	I'm going to find my momentum in my first match today!
context: Which means...\These are the cards...\I know that my heart...\I have to take!\I wanted that card.\I heard that this person is Class C,\but he's tough!\I'm going to find my momentum in my first match today! response:	I defended that card!
context: These are the cards...\I know that my heart...\I have to take!\I wanted that card.\I heard that this person is Class C,\but he's tough!\I'm going to find my momentum in my first match today!\I defended that card! response:	Let's take the next one, Mizusawa!
context: I know that my heart...\I have to take!\I wanted that card.\I heard that this person is Class C,\but he's tough!\I'm going to find my momentum in my first match today!\I defended that card!\Let's take the next one, Mizusawa! response:	Yes!
context: I have to take!\I wanted that card.\I heard that this person is Class C,\but he's tough!\I'm going to find my momentum in my first match today!\I defended that card!\Let's take the next one, Mizusawa!\Yes! response:	Hanano-san, you're very observant.
context: I wanted that card.\I heard that this person is Class C,\but he's tough!\I'm going to find my momentum in my first match today!\I defended that card!\Let's take the next one, Mizusawa!\Yes!\Hanano-san, you're very observant. response:	Thanks.
context: I heard that this person is Class C,\but he's tough!\I'm going to find my momentum in my first match today!\I defended that card!\Let's take the next one, Mizusawa!\Yes!\Hanano-san, you're very observant.\Thanks. response:	While it brings me no joy, the road beyond Mount Oe is too long
context: but he's tough!\I'm going to find my momentum in my first match today!\I defended that card!\Let's take the next one, Mizusawa!\Yes!\Hanano-san, you're very observant.\Thanks.\While it brings me no joy, the road beyond Mount Oe is too long response:	They did it!
context: I'm going to find my momentum in my first match today!\I defended that card!\Let's take the next one, Mizusawa!\Yes!\Hanano-san, you're very observant.\Thanks.\While it brings me no joy, the road beyond Mount Oe is too long\They did it! response:	Everyone got my While it brings card!
context: I defended that card!\Let's take the next one, Mizusawa!\Yes!\Hanano-san, you're very observant.\Thanks.\While it brings me no joy, the road beyond Mount Oe is too long\They did it!\Everyone got my While it brings card! response:	The momentum is shifting this time!
context: Let's take the next one, Mizusawa!\Yes!\Hanano-san, you're very observant.\Thanks.\While it brings me no joy, the road beyond Mount Oe is too long\They did it!\Everyone got my While it brings card!\The momentum is shifting this time! response:	Momentum is when...
context: Yes!\Hanano-san, you're very observant.\Thanks.\While it brings me no joy, the road beyond Mount Oe is too long\They did it!\Everyone got my While it brings card!\The momentum is shifting this time!\Momentum is when... response:	Momentum is when...
context: Hanano-san, you're very observant.\Thanks.\While it brings me no joy, the road beyond Mount Oe is too long\They did it!\Everyone got my While it brings card!\The momentum is shifting this time!\Momentum is when...\Momentum is when... response:	Simple-minded
context: Thanks.\While it brings me no joy, the road beyond Mount Oe is too long\They did it!\Everyone got my While it brings card!\The momentum is shifting this time!\Momentum is when...\Momentum is when...\Simple-minded response:	After I heard...
context: While it brings me no joy, the road beyond Mount Oe is too long\They did it!\Everyone got my While it brings card!\The momentum is shifting this time!\Momentum is when...\Momentum is when...\Simple-minded\After I heard... response:	She's so stable...
context: They did it!\Everyone got my While it brings card!\The momentum is shifting this time!\Momentum is when...\Momentum is when...\Simple-minded\After I heard...\She's so stable... response:	I got it!
context: Everyone got my While it brings card!\The momentum is shifting this time!\Momentum is when...\Momentum is when...\Simple-minded\After I heard...\She's so stable...\I got it! response:	Don't worry. Just start with one card.
context: The momentum is shifting this time!\Momentum is when...\Momentum is when...\Simple-minded\After I heard...\She's so stable...\I got it!\Don't worry. Just start with one card. response:	Aim for that one card.
context: Momentum is when...\Momentum is when...\Simple-minded\After I heard...\She's so stable...\I got it!\Don't worry. Just start with one card.\Aim for that one card. response:	Yeah. Sorry, Megumu.
context: Momentum is when...\Simple-minded\After I heard...\She's so stable...\I got it!\Don't worry. Just start with one card.\Aim for that one card.\Yeah. Sorry, Megumu. response:	She's so composed, even on this stage.
context: Simple-minded\After I heard...\She's so stable...\I got it!\Don't worry. Just start with one card.\Aim for that one card.\Yeah. Sorry, Megumu.\She's so composed, even on this stage. response:	Megumu is amazing.
context: After I heard...\She's so stable...\I got it!\Don't worry. Just start with one card.\Aim for that one card.\Yeah. Sorry, Megumu.\She's so composed, even on this stage.\Megumu is amazing. response:	But I've been with her for a such a long time
context: She's so stable...\I got it!\Don't worry. Just start with one card.\Aim for that one card.\Yeah. Sorry, Megumu.\She's so composed, even on this stage.\Megumu is amazing.\But I've been with her for a such a long time response:	and I still don't understand what she's thinking.
context: I got it!\Don't worry. Just start with one card.\Aim for that one card.\Yeah. Sorry, Megumu.\She's so composed, even on this stage.\Megumu is amazing.\But I've been with her for a such a long time\and I still don't understand what she's thinking. response:	I got everyone excited about making her Queen,
context: Don't worry. Just start with one card.\Aim for that one card.\Yeah. Sorry, Megumu.\She's so composed, even on this stage.\Megumu is amazing.\But I've been with her for a such a long time\and I still don't understand what she's thinking.\I got everyone excited about making her Queen, response:	but how does she really feel about it?
context: Aim for that one card.\Yeah. Sorry, Megumu.\She's so composed, even on this stage.\Megumu is amazing.\But I've been with her for a such a long time\and I still don't understand what she's thinking.\I got everyone excited about making her Queen,\but how does she really feel about it? response:	Does she want to become Queen?
context: Yeah. Sorry, Megumu.\She's so composed, even on this stage.\Megumu is amazing.\But I've been with her for a such a long time\and I still don't understand what she's thinking.\I got everyone excited about making her Queen,\but how does she really feel about it?\Does she want to become Queen? response:	Chihaya isn't able to take consecutive cards.
context: She's so composed, even on this stage.\Megumu is amazing.\But I've been with her for a such a long time\and I still don't understand what she's thinking.\I got everyone excited about making her Queen,\but how does she really feel about it?\Does she want to become Queen?\Chihaya isn't able to take consecutive cards. response:	Her deficit is growing steadily.
context: Megumu is amazing.\But I've been with her for a such a long time\and I still don't understand what she's thinking.\I got everyone excited about making her Queen,\but how does she really feel about it?\Does she want to become Queen?\Chihaya isn't able to take consecutive cards.\Her deficit is growing steadily. response:	Chihaya, you just have to win.
context: But I've been with her for a such a long time\and I still don't understand what she's thinking.\I got everyone excited about making her Queen,\but how does she really feel about it?\Does she want to become Queen?\Chihaya isn't able to take consecutive cards.\Her deficit is growing steadily.\Chihaya, you just have to win. response:	Bring home the win!
context: and I still don't understand what she's thinking.\I got everyone excited about making her Queen,\but how does she really feel about it?\Does she want to become Queen?\Chihaya isn't able to take consecutive cards.\Her deficit is growing steadily.\Chihaya, you just have to win.\Bring home the win! response:	Did I say the wrong thing again?
context: I got everyone excited about making her Queen,\but how does she really feel about it?\Does she want to become Queen?\Chihaya isn't able to take consecutive cards.\Her deficit is growing steadily.\Chihaya, you just have to win.\Bring home the win!\Did I say the wrong thing again? response:	This is different from last year.
context: but how does she really feel about it?\Does she want to become Queen?\Chihaya isn't able to take consecutive cards.\Her deficit is growing steadily.\Chihaya, you just have to win.\Bring home the win!\Did I say the wrong thing again?\This is different from last year. response:	A year has passed...
context: Does she want to become Queen?\Chihaya isn't able to take consecutive cards.\Her deficit is growing steadily.\Chihaya, you just have to win.\Bring home the win!\Did I say the wrong thing again?\This is different from last year.\A year has passed... response:	A whole year.
context: Chihaya isn't able to take consecutive cards.\Her deficit is growing steadily.\Chihaya, you just have to win.\Bring home the win!\Did I say the wrong thing again?\This is different from last year.\A year has passed...\A whole year. response:	on a long September night, and then I saw a dawn moon
context: Her deficit is growing steadily.\Chihaya, you just have to win.\Bring home the win!\Did I say the wrong thing again?\This is different from last year.\A year has passed...\A whole year.\on a long September night, and then I saw a dawn moon response:	The sky is the road home for the holy maidens,
context: Chihaya, you just have to win.\Bring home the win!\Did I say the wrong thing again?\This is different from last year.\A year has passed...\A whole year.\on a long September night, and then I saw a dawn moon\The sky is the road home for the holy maidens, response:	An empty card.
context: Bring home the win!\Did I say the wrong thing again?\This is different from last year.\A year has passed...\A whole year.\on a long September night, and then I saw a dawn moon\The sky is the road home for the holy maidens,\An empty card. response:	She moved immediately, but she was still able to pull back.
context: Did I say the wrong thing again?\This is different from last year.\A year has passed...\A whole year.\on a long September night, and then I saw a dawn moon\The sky is the road home for the holy maidens,\An empty card.\She moved immediately, but she was still able to pull back. response:	Impressive...
context: This is different from last year.\A year has passed...\A whole year.\on a long September night, and then I saw a dawn moon\The sky is the road home for the holy maidens,\An empty card.\She moved immediately, but she was still able to pull back.\Impressive... response:	She didn't fall for Ousaka-san's quick reach.
