context: Kiss! response:	Wha...
context: I go...\We'll be off, now.\We're going out for a little bit.\I go...\Hikari, don't push Manaka-chan too much.\I won't.\Don't drag her around everywhere.\You always go running ahead. response:	I won't.
context: We'll be off, now.\We're going out for a little bit.\I go...\Hikari, don't push Manaka-chan too much.\I won't.\Don't drag her around everywhere.\You always go running ahead.\I won't. response:	If she starts not to feel well
context: We're going out for a little bit.\I go...\Hikari, don't push Manaka-chan too much.\I won't.\Don't drag her around everywhere.\You always go running ahead.\I won't.\If she starts not to feel well response:	That's enough, already.
context: I go...\Hikari, don't push Manaka-chan too much.\I won't.\Don't drag her around everywhere.\You always go running ahead.\I won't.\If she starts not to feel well\That's enough, already. response:	Manaka-chan, you can make Hikari do anything you need him to, okay?
context: Hikari, don't push Manaka-chan too much.\I won't.\Don't drag her around everywhere.\You always go running ahead.\I won't.\If she starts not to feel well\That's enough, already.\Manaka-chan, you can make Hikari do anything you need him to, okay? response:	Okay.
context: I won't.\Don't drag her around everywhere.\You always go running ahead.\I won't.\If she starts not to feel well\That's enough, already.\Manaka-chan, you can make Hikari do anything you need him to, okay?\Okay. response:	Namaka, I go...
context: Don't drag her around everywhere.\You always go running ahead.\I won't.\If she starts not to feel well\That's enough, already.\Manaka-chan, you can make Hikari do anything you need him to, okay?\Okay.\Namaka, I go... response:	It's been a while,
context: You always go running ahead.\I won't.\If she starts not to feel well\That's enough, already.\Manaka-chan, you can make Hikari do anything you need him to, okay?\Okay.\Namaka, I go...\It's been a while, response:	so you can take your time today.
context: I won't.\If she starts not to feel well\That's enough, already.\Manaka-chan, you can make Hikari do anything you need him to, okay?\Okay.\Namaka, I go...\It's been a while,\so you can take your time today. response:	Akira, you're staying home with mommy.
context: If she starts not to feel well\That's enough, already.\Manaka-chan, you can make Hikari do anything you need him to, okay?\Okay.\Namaka, I go...\It's been a while,\so you can take your time today.\Akira, you're staying home with mommy. response:	Namaka...
context: That's enough, already.\Manaka-chan, you can make Hikari do anything you need him to, okay?\Okay.\Namaka, I go...\It's been a while,\so you can take your time today.\Akira, you're staying home with mommy.\Namaka... response:	Namaka... I go...
context: Manaka-chan, you can make Hikari do anything you need him to, okay?\Okay.\Namaka, I go...\It's been a while,\so you can take your time today.\Akira, you're staying home with mommy.\Namaka...\Namaka... I go... response:	We'll be back soon.
context: Okay.\Namaka, I go...\It's been a while,\so you can take your time today.\Akira, you're staying home with mommy.\Namaka...\Namaka... I go...\We'll be back soon. response:	Namaka! Namaka!
context: Namaka, I go...\It's been a while,\so you can take your time today.\Akira, you're staying home with mommy.\Namaka...\Namaka... I go...\We'll be back soon.\Namaka! Namaka! response:	Namaka!
context: It's been a while,\so you can take your time today.\Akira, you're staying home with mommy.\Namaka...\Namaka... I go...\We'll be back soon.\Namaka! Namaka!\Namaka! response:	He seems to like you a lot.
context: so you can take your time today.\Akira, you're staying home with mommy.\Namaka...\Namaka... I go...\We'll be back soon.\Namaka! Namaka!\Namaka!\He seems to like you a lot. response:	Like?
context: Akira, you're staying home with mommy.\Namaka...\Namaka... I go...\We'll be back soon.\Namaka! Namaka!\Namaka!\He seems to like you a lot.\Like? response:	Let's go.
context: Namaka...\Namaka... I go...\We'll be back soon.\Namaka! Namaka!\Namaka!\He seems to like you a lot.\Like?\Let's go. response:	Yeah.
context: Namaka... I go...\We'll be back soon.\Namaka! Namaka!\Namaka!\He seems to like you a lot.\Like?\Let's go.\Yeah. response:	Saya Mart
context: We'll be back soon.\Namaka! Namaka!\Namaka!\He seems to like you a lot.\Like?\Let's go.\Yeah.\Saya Mart response:	Seriously?
context: Namaka! Namaka!\Namaka!\He seems to like you a lot.\Like?\Let's go.\Yeah.\Saya Mart\Seriously? response:	Looks like you're back together...
context: Namaka!\He seems to like you a lot.\Like?\Let's go.\Yeah.\Saya Mart\Seriously?\Looks like you're back together... response:	Huh?
context: He seems to like you a lot.\Like?\Let's go.\Yeah.\Saya Mart\Seriously?\Looks like you're back together...\Huh? response:	The Four from Shishio.
context: Like?\Let's go.\Yeah.\Saya Mart\Seriously?\Looks like you're back together...\Huh?\The Four from Shishio. response:	Good for you guys.
context: Let's go.\Yeah.\Saya Mart\Seriously?\Looks like you're back together...\Huh?\The Four from Shishio.\Good for you guys. response:	The four of you together are one unit.
context: Yeah.\Saya Mart\Seriously?\Looks like you're back together...\Huh?\The Four from Shishio.\Good for you guys.\The four of you together are one unit. response:	So anyway, a present for you.
context: Saya Mart\Seriously?\Looks like you're back together...\Huh?\The Four from Shishio.\Good for you guys.\The four of you together are one unit.\So anyway, a present for you. response:	Always Smiling Saya Mart
context: Seriously?\Looks like you're back together...\Huh?\The Four from Shishio.\Good for you guys.\The four of you together are one unit.\So anyway, a present for you.\Always Smiling Saya Mart response:	Eat up.
context: Looks like you're back together...\Huh?\The Four from Shishio.\Good for you guys.\The four of you together are one unit.\So anyway, a present for you.\Always Smiling Saya Mart\Eat up. response:	See ya!
context: Huh?\The Four from Shishio.\Good for you guys.\The four of you together are one unit.\So anyway, a present for you.\Always Smiling Saya Mart\Eat up.\See ya! response:	Tell Mukaido I said, Hi.
context: The Four from Shishio.\Good for you guys.\The four of you together are one unit.\So anyway, a present for you.\Always Smiling Saya Mart\Eat up.\See ya!\Tell Mukaido I said, Hi. response:	Oh.
context: Good for you guys.\The four of you together are one unit.\So anyway, a present for you.\Always Smiling Saya Mart\Eat up.\See ya!\Tell Mukaido I said, Hi.\Oh. response:	There are five in here.
context: The four of you together are one unit.\So anyway, a present for you.\Always Smiling Saya Mart\Eat up.\See ya!\Tell Mukaido I said, Hi.\Oh.\There are five in here. response:	We'll have one left over.
context: So anyway, a present for you.\Always Smiling Saya Mart\Eat up.\See ya!\Tell Mukaido I said, Hi.\Oh.\There are five in here.\We'll have one left over. response:	Chii-chan!
context: Always Smiling Saya Mart\Eat up.\See ya!\Tell Mukaido I said, Hi.\Oh.\There are five in here.\We'll have one left over.\Chii-chan! response:	Kaname!
context: Eat up.\See ya!\Tell Mukaido I said, Hi.\Oh.\There are five in here.\We'll have one left over.\Chii-chan!\Kaname! response:	Manaka...
context: See ya!\Tell Mukaido I said, Hi.\Oh.\There are five in here.\We'll have one left over.\Chii-chan!\Kaname!\Manaka... response:	Chii-chan, it's cold today, isn't it?
context: Tell Mukaido I said, Hi.\Oh.\There are five in here.\We'll have one left over.\Chii-chan!\Kaname!\Manaka...\Chii-chan, it's cold today, isn't it? response:	We haven't seen each other in forever and that's what you have to say?
context: Oh.\There are five in here.\We'll have one left over.\Chii-chan!\Kaname!\Manaka...\Chii-chan, it's cold today, isn't it?\We haven't seen each other in forever and that's what you have to say? response:	Huh?
context: There are five in here.\We'll have one left over.\Chii-chan!\Kaname!\Manaka...\Chii-chan, it's cold today, isn't it?\We haven't seen each other in forever and that's what you have to say?\Huh? response:	But it's cold, isn't it?
context: We'll have one left over.\Chii-chan!\Kaname!\Manaka...\Chii-chan, it's cold today, isn't it?\We haven't seen each other in forever and that's what you have to say?\Huh?\But it's cold, isn't it? response:	It's supposed to be summer.
context: Chii-chan!\Kaname!\Manaka...\Chii-chan, it's cold today, isn't it?\We haven't seen each other in forever and that's what you have to say?\Huh?\But it's cold, isn't it?\It's supposed to be summer. response:	Well, yeah, it's cold, but...
context: Kaname!\Manaka...\Chii-chan, it's cold today, isn't it?\We haven't seen each other in forever and that's what you have to say?\Huh?\But it's cold, isn't it?\It's supposed to be summer.\Well, yeah, it's cold, but... response:	This feels so weird.
context: Manaka...\Chii-chan, it's cold today, isn't it?\We haven't seen each other in forever and that's what you have to say?\Huh?\But it's cold, isn't it?\It's supposed to be summer.\Well, yeah, it's cold, but...\This feels so weird. response:	I know, right?
context: Chii-chan, it's cold today, isn't it?\We haven't seen each other in forever and that's what you have to say?\Huh?\But it's cold, isn't it?\It's supposed to be summer.\Well, yeah, it's cold, but...\This feels so weird.\I know, right? response:	No, I mean,
context: We haven't seen each other in forever and that's what you have to say?\Huh?\But it's cold, isn't it?\It's supposed to be summer.\Well, yeah, it's cold, but...\This feels so weird.\I know, right?\No, I mean, response:	usually people would be more surprised.
context: Huh?\But it's cold, isn't it?\It's supposed to be summer.\Well, yeah, it's cold, but...\This feels so weird.\I know, right?\No, I mean,\usually people would be more surprised. response:	Considering how grown up some people have gotten.
context: But it's cold, isn't it?\It's supposed to be summer.\Well, yeah, it's cold, but...\This feels so weird.\I know, right?\No, I mean,\usually people would be more surprised.\Considering how grown up some people have gotten. response:	Huh?
context: It's supposed to be summer.\Well, yeah, it's cold, but...\This feels so weird.\I know, right?\No, I mean,\usually people would be more surprised.\Considering how grown up some people have gotten.\Huh? response:	But isn't Chii-chan just Chii-chan?
context: Well, yeah, it's cold, but...\This feels so weird.\I know, right?\No, I mean,\usually people would be more surprised.\Considering how grown up some people have gotten.\Huh?\But isn't Chii-chan just Chii-chan? response:	Tsumugu's not coming?
context: This feels so weird.\I know, right?\No, I mean,\usually people would be more surprised.\Considering how grown up some people have gotten.\Huh?\But isn't Chii-chan just Chii-chan?\Tsumugu's not coming? response:	He's doing field work right now.
context: I know, right?\No, I mean,\usually people would be more surprised.\Considering how grown up some people have gotten.\Huh?\But isn't Chii-chan just Chii-chan?\Tsumugu's not coming?\He's doing field work right now. response:	So he's on top of the ice?
context: No, I mean,\usually people would be more surprised.\Considering how grown up some people have gotten.\Huh?\But isn't Chii-chan just Chii-chan?\Tsumugu's not coming?\He's doing field work right now.\So he's on top of the ice? response:	Want to go see him?
context: usually people would be more surprised.\Considering how grown up some people have gotten.\Huh?\But isn't Chii-chan just Chii-chan?\Tsumugu's not coming?\He's doing field work right now.\So he's on top of the ice?\Want to go see him? response:	He's busy, isn't he?
context: Considering how grown up some people have gotten.\Huh?\But isn't Chii-chan just Chii-chan?\Tsumugu's not coming?\He's doing field work right now.\So he's on top of the ice?\Want to go see him?\He's busy, isn't he? response:	We can do it another time.
context: Huh?\But isn't Chii-chan just Chii-chan?\Tsumugu's not coming?\He's doing field work right now.\So he's on top of the ice?\Want to go see him?\He's busy, isn't he?\We can do it another time. response:	More importantly, let's go to the harbor.
context: But isn't Chii-chan just Chii-chan?\Tsumugu's not coming?\He's doing field work right now.\So he's on top of the ice?\Want to go see him?\He's busy, isn't he?\We can do it another time.\More importantly, let's go to the harbor. response:	S-Sure.
context: Tsumugu's not coming?\He's doing field work right now.\So he's on top of the ice?\Want to go see him?\He's busy, isn't he?\We can do it another time.\More importantly, let's go to the harbor.\S-Sure. response:	Hurry! Hurry!
context: He's doing field work right now.\So he's on top of the ice?\Want to go see him?\He's busy, isn't he?\We can do it another time.\More importantly, let's go to the harbor.\S-Sure.\Hurry! Hurry! response:	Oh...
context: So he's on top of the ice?\Want to go see him?\He's busy, isn't he?\We can do it another time.\More importantly, let's go to the harbor.\S-Sure.\Hurry! Hurry!\Oh... response:	Sorry, Sayu.
context: Want to go see him?\He's busy, isn't he?\We can do it another time.\More importantly, let's go to the harbor.\S-Sure.\Hurry! Hurry!\Oh...\Sorry, Sayu. response:	My body got all crackly.
context: He's busy, isn't he?\We can do it another time.\More importantly, let's go to the harbor.\S-Sure.\Hurry! Hurry!\Oh...\Sorry, Sayu.\My body got all crackly. response:	So cold!
context: We can do it another time.\More importantly, let's go to the harbor.\S-Sure.\Hurry! Hurry!\Oh...\Sorry, Sayu.\My body got all crackly.\So cold! response:	It's fine.
context: More importantly, let's go to the harbor.\S-Sure.\Hurry! Hurry!\Oh...\Sorry, Sayu.\My body got all crackly.\So cold!\It's fine. response:	So when your Ena gets dried up, it gets crackly?
context: S-Sure.\Hurry! Hurry!\Oh...\Sorry, Sayu.\My body got all crackly.\So cold!\It's fine.\So when your Ena gets dried up, it gets crackly? response:	I don't know if it's crackly, or hard to breathe...
context: Hurry! Hurry!\Oh...\Sorry, Sayu.\My body got all crackly.\So cold!\It's fine.\So when your Ena gets dried up, it gets crackly?\I don't know if it's crackly, or hard to breathe... response:	This is the first time it's happened.
context: Oh...\Sorry, Sayu.\My body got all crackly.\So cold!\It's fine.\So when your Ena gets dried up, it gets crackly?\I don't know if it's crackly, or hard to breathe...\This is the first time it's happened. response:	Sounds like a real pain.
context: Sorry, Sayu.\My body got all crackly.\So cold!\It's fine.\So when your Ena gets dried up, it gets crackly?\I don't know if it's crackly, or hard to breathe...\This is the first time it's happened.\Sounds like a real pain. response:	Didn't Hikari and the others tell you about that?
context: My body got all crackly.\So cold!\It's fine.\So when your Ena gets dried up, it gets crackly?\I don't know if it's crackly, or hard to breathe...\This is the first time it's happened.\Sounds like a real pain.\Didn't Hikari and the others tell you about that? response:	They did, but...
context: So cold!\It's fine.\So when your Ena gets dried up, it gets crackly?\I don't know if it's crackly, or hard to breathe...\This is the first time it's happened.\Sounds like a real pain.\Didn't Hikari and the others tell you about that?\They did, but... response:	You should have just gone with Hikari and the others.
context: It's fine.\So when your Ena gets dried up, it gets crackly?\I don't know if it's crackly, or hard to breathe...\This is the first time it's happened.\Sounds like a real pain.\Didn't Hikari and the others tell you about that?\They did, but...\You should have just gone with Hikari and the others. response:	He invited you, didn't he?
context: So when your Ena gets dried up, it gets crackly?\I don't know if it's crackly, or hard to breathe...\This is the first time it's happened.\Sounds like a real pain.\Didn't Hikari and the others tell you about that?\They did, but...\You should have just gone with Hikari and the others.\He invited you, didn't he? response:	I can't.
context: I don't know if it's crackly, or hard to breathe...\This is the first time it's happened.\Sounds like a real pain.\Didn't Hikari and the others tell you about that?\They did, but...\You should have just gone with Hikari and the others.\He invited you, didn't he?\I can't. response:	Why?
context: This is the first time it's happened.\Sounds like a real pain.\Didn't Hikari and the others tell you about that?\They did, but...\You should have just gone with Hikari and the others.\He invited you, didn't he?\I can't.\Why? response:	I don't have the right to.
context: Sounds like a real pain.\Didn't Hikari and the others tell you about that?\They did, but...\You should have just gone with Hikari and the others.\He invited you, didn't he?\I can't.\Why?\I don't have the right to. response:	Right?
context: Didn't Hikari and the others tell you about that?\They did, but...\You should have just gone with Hikari and the others.\He invited you, didn't he?\I can't.\Why?\I don't have the right to.\Right? response:	The right to do what?
context: They did, but...\You should have just gone with Hikari and the others.\He invited you, didn't he?\I can't.\Why?\I don't have the right to.\Right?\The right to do what? response:	The... right to go.
context: You should have just gone with Hikari and the others.\He invited you, didn't he?\I can't.\Why?\I don't have the right to.\Right?\The right to do what?\The... right to go. response:	Course you do.
context: He invited you, didn't he?\I can't.\Why?\I don't have the right to.\Right?\The right to do what?\The... right to go.\Course you do. response:	You're the one that was doing all that research.
context: I can't.\Why?\I don't have the right to.\Right?\The right to do what?\The... right to go.\Course you do.\You're the one that was doing all that research. response:	What?
context: Why?\I don't have the right to.\Right?\The right to do what?\The... right to go.\Course you do.\You're the one that was doing all that research.\What? response:	You're not happy about Manaka-san?
context: I don't have the right to.\Right?\The right to do what?\The... right to go.\Course you do.\You're the one that was doing all that research.\What?\You're not happy about Manaka-san? response:	I am!
context: Right?\The right to do what?\The... right to go.\Course you do.\You're the one that was doing all that research.\What?\You're not happy about Manaka-san?\I am! response:	She finally...
context: The right to do what?\The... right to go.\Course you do.\You're the one that was doing all that research.\What?\You're not happy about Manaka-san?\I am!\She finally... response:	I thought, She finally woke up...
context: The... right to go.\Course you do.\You're the one that was doing all that research.\What?\You're not happy about Manaka-san?\I am!\She finally...\I thought, She finally woke up... response:	And I was happy that I was actually happy about it.
context: Course you do.\You're the one that was doing all that research.\What?\You're not happy about Manaka-san?\I am!\She finally...\I thought, She finally woke up...\And I was happy that I was actually happy about it. response:	But something was different...
context: You're the one that was doing all that research.\What?\You're not happy about Manaka-san?\I am!\She finally...\I thought, She finally woke up...\And I was happy that I was actually happy about it.\But something was different... response:	It was different from what I imagined.
context: What?\You're not happy about Manaka-san?\I am!\She finally...\I thought, She finally woke up...\And I was happy that I was actually happy about it.\But something was different...\It was different from what I imagined. response:	I have no idea what you're talking about.
context: You're not happy about Manaka-san?\I am!\She finally...\I thought, She finally woke up...\And I was happy that I was actually happy about it.\But something was different...\It was different from what I imagined.\I have no idea what you're talking about. response:	I don't know.
context: I am!\She finally...\I thought, She finally woke up...\And I was happy that I was actually happy about it.\But something was different...\It was different from what I imagined.\I have no idea what you're talking about.\I don't know. response:	I don't know how I'm supposed to talk to her.
context: She finally...\I thought, She finally woke up...\And I was happy that I was actually happy about it.\But something was different...\It was different from what I imagined.\I have no idea what you're talking about.\I don't know.\I don't know how I'm supposed to talk to her. response:	You look totally surprised.
context: I thought, She finally woke up...\And I was happy that I was actually happy about it.\But something was different...\It was different from what I imagined.\I have no idea what you're talking about.\I don't know.\I don't know how I'm supposed to talk to her.\You look totally surprised. response:	Jeez...
context: And I was happy that I was actually happy about it.\But something was different...\It was different from what I imagined.\I have no idea what you're talking about.\I don't know.\I don't know how I'm supposed to talk to her.\You look totally surprised.\Jeez... response:	What the heck?
context: But something was different...\It was different from what I imagined.\I have no idea what you're talking about.\I don't know.\I don't know how I'm supposed to talk to her.\You look totally surprised.\Jeez...\What the heck? response:	Cold!
context: It was different from what I imagined.\I have no idea what you're talking about.\I don't know.\I don't know how I'm supposed to talk to her.\You look totally surprised.\Jeez...\What the heck?\Cold! response:	Hey! I don't have any Ena!
context: I have no idea what you're talking about.\I don't know.\I don't know how I'm supposed to talk to her.\You look totally surprised.\Jeez...\What the heck?\Cold!\Hey! I don't have any Ena! response:	Wow...
context: I don't know.\I don't know how I'm supposed to talk to her.\You look totally surprised.\Jeez...\What the heck?\Cold!\Hey! I don't have any Ena!\Wow... response:	It really is frozen.
context: I don't know how I'm supposed to talk to her.\You look totally surprised.\Jeez...\What the heck?\Cold!\Hey! I don't have any Ena!\Wow...\It really is frozen. response:	You saw that from the house...
context: You look totally surprised.\Jeez...\What the heck?\Cold!\Hey! I don't have any Ena!\Wow...\It really is frozen.\You saw that from the house... response:	Huh?
context: Jeez...\What the heck?\Cold!\Hey! I don't have any Ena!\Wow...\It really is frozen.\You saw that from the house...\Huh? response:	But if you see it up close, it's really surprising.
context: What the heck?\Cold!\Hey! I don't have any Ena!\Wow...\It really is frozen.\You saw that from the house...\Huh?\But if you see it up close, it's really surprising. response:	Right, Chii-chan?
context: Cold!\Hey! I don't have any Ena!\Wow...\It really is frozen.\You saw that from the house...\Huh?\But if you see it up close, it's really surprising.\Right, Chii-chan? response:	For you, the Ofunehiki was just the other day, wasn't it?
context: Hey! I don't have any Ena!\Wow...\It really is frozen.\You saw that from the house...\Huh?\But if you see it up close, it's really surprising.\Right, Chii-chan?\For you, the Ofunehiki was just the other day, wasn't it? response:	Yeah.
context: Wow...\It really is frozen.\You saw that from the house...\Huh?\But if you see it up close, it's really surprising.\Right, Chii-chan?\For you, the Ofunehiki was just the other day, wasn't it?\Yeah. response:	Whoa!
context: It really is frozen.\You saw that from the house...\Huh?\But if you see it up close, it's really surprising.\Right, Chii-chan?\For you, the Ofunehiki was just the other day, wasn't it?\Yeah.\Whoa! response:	What?
context: You saw that from the house...\Huh?\But if you see it up close, it's really surprising.\Right, Chii-chan?\For you, the Ofunehiki was just the other day, wasn't it?\Yeah.\Whoa!\What? response:	There's so much salt-flake snow!
context: Huh?\But if you see it up close, it's really surprising.\Right, Chii-chan?\For you, the Ofunehiki was just the other day, wasn't it?\Yeah.\Whoa!\What?\There's so much salt-flake snow! response:	There wasn't this much before!
context: But if you see it up close, it's really surprising.\Right, Chii-chan?\For you, the Ofunehiki was just the other day, wasn't it?\Yeah.\Whoa!\What?\There's so much salt-flake snow!\There wasn't this much before! response:	Yeah, you're right.
context: Right, Chii-chan?\For you, the Ofunehiki was just the other day, wasn't it?\Yeah.\Whoa!\What?\There's so much salt-flake snow!\There wasn't this much before!\Yeah, you're right. response:	It's like playing spot the difference or something.
context: For you, the Ofunehiki was just the other day, wasn't it?\Yeah.\Whoa!\What?\There's so much salt-flake snow!\There wasn't this much before!\Yeah, you're right.\It's like playing spot the difference or something. response:	Spot the difference?
context: Yeah.\Whoa!\What?\There's so much salt-flake snow!\There wasn't this much before!\Yeah, you're right.\It's like playing spot the difference or something.\Spot the difference? response:	Yeah.
context: Whoa!\What?\There's so much salt-flake snow!\There wasn't this much before!\Yeah, you're right.\It's like playing spot the difference or something.\Spot the difference?\Yeah. response:	So cold...
context: What?\There's so much salt-flake snow!\There wasn't this much before!\Yeah, you're right.\It's like playing spot the difference or something.\Spot the difference?\Yeah.\So cold... response:	Closing my eyes and then opening them,
context: There's so much salt-flake snow!\There wasn't this much before!\Yeah, you're right.\It's like playing spot the difference or something.\Spot the difference?\Yeah.\So cold...\Closing my eyes and then opening them, response:	I keep finding things that are different from before.
context: There wasn't this much before!\Yeah, you're right.\It's like playing spot the difference or something.\Spot the difference?\Yeah.\So cold...\Closing my eyes and then opening them,\I keep finding things that are different from before. response:	Salt-flake snow.
context: Yeah, you're right.\It's like playing spot the difference or something.\Spot the difference?\Yeah.\So cold...\Closing my eyes and then opening them,\I keep finding things that are different from before.\Salt-flake snow. response:	Salt-flake snow!
