context: I am so happy! response:	We haven't gone to a hot spring
context: Usagi!\The Legendary Lake Monster! Usagi's Family Ties\Sis, you're nuts!\Sneaking out of the house so our pet won't notice!\What the heck are you thinking?!\Well, I've got my reasons for it.\Come on! Right there! Shoot right there!\But it's been so long since we've traveled together! response:	Even though it's like we're old people,
context: The Legendary Lake Monster! Usagi's Family Ties\Sis, you're nuts!\Sneaking out of the house so our pet won't notice!\What the heck are you thinking?!\Well, I've got my reasons for it.\Come on! Right there! Shoot right there!\But it's been so long since we've traveled together!\Even though it's like we're old people, response:	spending a night at a remote hot spring.
context: Sis, you're nuts!\Sneaking out of the house so our pet won't notice!\What the heck are you thinking?!\Well, I've got my reasons for it.\Come on! Right there! Shoot right there!\But it's been so long since we've traveled together!\Even though it's like we're old people,\spending a night at a remote hot spring. response:	Oh! What are you doing?! Just let me do it!
context: Sneaking out of the house so our pet won't notice!\What the heck are you thinking?!\Well, I've got my reasons for it.\Come on! Right there! Shoot right there!\But it's been so long since we've traveled together!\Even though it's like we're old people,\spending a night at a remote hot spring.\Oh! What are you doing?! Just let me do it! response:	What are you doing?! Give it back!
context: What the heck are you thinking?!\Well, I've got my reasons for it.\Come on! Right there! Shoot right there!\But it's been so long since we've traveled together!\Even though it's like we're old people,\spending a night at a remote hot spring.\Oh! What are you doing?! Just let me do it!\What are you doing?! Give it back! response:	Oh, come on! What are you doing?! Give it back!
context: Well, I've got my reasons for it.\Come on! Right there! Shoot right there!\But it's been so long since we've traveled together!\Even though it's like we're old people,\spending a night at a remote hot spring.\Oh! What are you doing?! Just let me do it!\What are you doing?! Give it back!\Oh, come on! What are you doing?! Give it back! response:	Oh, no! It's gonna break!
context: Come on! Right there! Shoot right there!\But it's been so long since we've traveled together!\Even though it's like we're old people,\spending a night at a remote hot spring.\Oh! What are you doing?! Just let me do it!\What are you doing?! Give it back!\Oh, come on! What are you doing?! Give it back!\Oh, no! It's gonna break! response:	I can't believe you!
context: But it's been so long since we've traveled together!\Even though it's like we're old people,\spending a night at a remote hot spring.\Oh! What are you doing?! Just let me do it!\What are you doing?! Give it back!\Oh, come on! What are you doing?! Give it back!\Oh, no! It's gonna break!\I can't believe you! response:	What's the matter, panicking like that, Usagi?
context: Even though it's like we're old people,\spending a night at a remote hot spring.\Oh! What are you doing?! Just let me do it!\What are you doing?! Give it back!\Oh, come on! What are you doing?! Give it back!\Oh, no! It's gonna break!\I can't believe you!\What's the matter, panicking like that, Usagi? response:	I get it. Did you get it from a guy you like or something?
context: spending a night at a remote hot spring.\Oh! What are you doing?! Just let me do it!\What are you doing?! Give it back!\Oh, come on! What are you doing?! Give it back!\Oh, no! It's gonna break!\I can't believe you!\What's the matter, panicking like that, Usagi?\I get it. Did you get it from a guy you like or something? response:	Huh? Well, I guess you could say that.
context: Oh! What are you doing?! Just let me do it!\What are you doing?! Give it back!\Oh, come on! What are you doing?! Give it back!\Oh, no! It's gonna break!\I can't believe you!\What's the matter, panicking like that, Usagi?\I get it. Did you get it from a guy you like or something?\Huh? Well, I guess you could say that. response:	What?!
context: What are you doing?! Give it back!\Oh, come on! What are you doing?! Give it back!\Oh, no! It's gonna break!\I can't believe you!\What's the matter, panicking like that, Usagi?\I get it. Did you get it from a guy you like or something?\Huh? Well, I guess you could say that.\What?! response:	Wait, Dad! The wheel! The wheel!
context: Oh, come on! What are you doing?! Give it back!\Oh, no! It's gonna break!\I can't believe you!\What's the matter, panicking like that, Usagi?\I get it. Did you get it from a guy you like or something?\Huh? Well, I guess you could say that.\What?!\Wait, Dad! The wheel! The wheel! response:	Usagi! Are you dating someone behind my back?!
context: Oh, no! It's gonna break!\I can't believe you!\What's the matter, panicking like that, Usagi?\I get it. Did you get it from a guy you like or something?\Huh? Well, I guess you could say that.\What?!\Wait, Dad! The wheel! The wheel!\Usagi! Are you dating someone behind my back?! response:	No! It's not like that!
context: I can't believe you!\What's the matter, panicking like that, Usagi?\I get it. Did you get it from a guy you like or something?\Huh? Well, I guess you could say that.\What?!\Wait, Dad! The wheel! The wheel!\Usagi! Are you dating someone behind my back?!\No! It's not like that! response:	Dear! Keep your eyes ahead! Ahead!
context: What's the matter, panicking like that, Usagi?\I get it. Did you get it from a guy you like or something?\Huh? Well, I guess you could say that.\What?!\Wait, Dad! The wheel! The wheel!\Usagi! Are you dating someone behind my back?!\No! It's not like that!\Dear! Keep your eyes ahead! Ahead! response:	Oh, so you're not dating!
context: I get it. Did you get it from a guy you like or something?\Huh? Well, I guess you could say that.\What?!\Wait, Dad! The wheel! The wheel!\Usagi! Are you dating someone behind my back?!\No! It's not like that!\Dear! Keep your eyes ahead! Ahead!\Oh, so you're not dating! response:	Of course, not. There's no way you would be.
context: Huh? Well, I guess you could say that.\What?!\Wait, Dad! The wheel! The wheel!\Usagi! Are you dating someone behind my back?!\No! It's not like that!\Dear! Keep your eyes ahead! Ahead!\Oh, so you're not dating!\Of course, not. There's no way you would be. response:	Wow, it's so beautiful!
context: What?!\Wait, Dad! The wheel! The wheel!\Usagi! Are you dating someone behind my back?!\No! It's not like that!\Dear! Keep your eyes ahead! Ahead!\Oh, so you're not dating!\Of course, not. There's no way you would be.\Wow, it's so beautiful! response:	It's kind of romantic.
context: Wait, Dad! The wheel! The wheel!\Usagi! Are you dating someone behind my back?!\No! It's not like that!\Dear! Keep your eyes ahead! Ahead!\Oh, so you're not dating!\Of course, not. There's no way you would be.\Wow, it's so beautiful!\It's kind of romantic. response:	There really isn't anything here.
context: Usagi! Are you dating someone behind my back?!\No! It's not like that!\Dear! Keep your eyes ahead! Ahead!\Oh, so you're not dating!\Of course, not. There's no way you would be.\Wow, it's so beautiful!\It's kind of romantic.\There really isn't anything here. response:	The truth is, this lake
context: No! It's not like that!\Dear! Keep your eyes ahead! Ahead!\Oh, so you're not dating!\Of course, not. There's no way you would be.\Wow, it's so beautiful!\It's kind of romantic.\There really isn't anything here.\The truth is, this lake response:	is where your mom and I met,
context: Dear! Keep your eyes ahead! Ahead!\Oh, so you're not dating!\Of course, not. There's no way you would be.\Wow, it's so beautiful!\It's kind of romantic.\There really isn't anything here.\The truth is, this lake\is where your mom and I met, response:	and it holds a lot of beautiful memories for us.
context: Oh, so you're not dating!\Of course, not. There's no way you would be.\Wow, it's so beautiful!\It's kind of romantic.\There really isn't anything here.\The truth is, this lake\is where your mom and I met,\and it holds a lot of beautiful memories for us. response:	Oh, Dear...
context: Of course, not. There's no way you would be.\Wow, it's so beautiful!\It's kind of romantic.\There really isn't anything here.\The truth is, this lake\is where your mom and I met,\and it holds a lot of beautiful memories for us.\Oh, Dear... response:	Mamoru's music box...
context: Wow, it's so beautiful!\It's kind of romantic.\There really isn't anything here.\The truth is, this lake\is where your mom and I met,\and it holds a lot of beautiful memories for us.\Oh, Dear...\Mamoru's music box... response:	Mamoru...
context: It's kind of romantic.\There really isn't anything here.\The truth is, this lake\is where your mom and I met,\and it holds a lot of beautiful memories for us.\Oh, Dear...\Mamoru's music box...\Mamoru... response:	Usagi, we're gonna get going soon.
context: There really isn't anything here.\The truth is, this lake\is where your mom and I met,\and it holds a lot of beautiful memories for us.\Oh, Dear...\Mamoru's music box...\Mamoru...\Usagi, we're gonna get going soon. response:	Is something wrong, Usagi?
context: The truth is, this lake\is where your mom and I met,\and it holds a lot of beautiful memories for us.\Oh, Dear...\Mamoru's music box...\Mamoru...\Usagi, we're gonna get going soon.\Is something wrong, Usagi? response:	No, it's nothing.
context: is where your mom and I met,\and it holds a lot of beautiful memories for us.\Oh, Dear...\Mamoru's music box...\Mamoru...\Usagi, we're gonna get going soon.\Is something wrong, Usagi?\No, it's nothing. response:	So, is this the lake
context: and it holds a lot of beautiful memories for us.\Oh, Dear...\Mamoru's music box...\Mamoru...\Usagi, we're gonna get going soon.\Is something wrong, Usagi?\No, it's nothing.\So, is this the lake response:	where you detected an unusual energy reading?
context: Oh, Dear...\Mamoru's music box...\Mamoru...\Usagi, we're gonna get going soon.\Is something wrong, Usagi?\No, it's nothing.\So, is this the lake\where you detected an unusual energy reading? response:	It is similar to the power of our monsters,
context: Mamoru's music box...\Mamoru...\Usagi, we're gonna get going soon.\Is something wrong, Usagi?\No, it's nothing.\So, is this the lake\where you detected an unusual energy reading?\It is similar to the power of our monsters, response:	but it is producing a slightly different and very strong energy reading.
context: Mamoru...\Usagi, we're gonna get going soon.\Is something wrong, Usagi?\No, it's nothing.\So, is this the lake\where you detected an unusual energy reading?\It is similar to the power of our monsters,\but it is producing a slightly different and very strong energy reading. response:	Endymion, start investigating right away.
context: Usagi, we're gonna get going soon.\Is something wrong, Usagi?\No, it's nothing.\So, is this the lake\where you detected an unusual energy reading?\It is similar to the power of our monsters,\but it is producing a slightly different and very strong energy reading.\Endymion, start investigating right away. response:	Yes, my lady.
context: Is something wrong, Usagi?\No, it's nothing.\So, is this the lake\where you detected an unusual energy reading?\It is similar to the power of our monsters,\but it is producing a slightly different and very strong energy reading.\Endymion, start investigating right away.\Yes, my lady. response:	Queen Beryl.
context: No, it's nothing.\So, is this the lake\where you detected an unusual energy reading?\It is similar to the power of our monsters,\but it is producing a slightly different and very strong energy reading.\Endymion, start investigating right away.\Yes, my lady.\Queen Beryl. response:	Lately, he has been acting increasingly suspicious.
context: So, is this the lake\where you detected an unusual energy reading?\It is similar to the power of our monsters,\but it is producing a slightly different and very strong energy reading.\Endymion, start investigating right away.\Yes, my lady.\Queen Beryl.\Lately, he has been acting increasingly suspicious. response:	Could he possibly have begun to notice
context: where you detected an unusual energy reading?\It is similar to the power of our monsters,\but it is producing a slightly different and very strong energy reading.\Endymion, start investigating right away.\Yes, my lady.\Queen Beryl.\Lately, he has been acting increasingly suspicious.\Could he possibly have begun to notice response:	that his memories have been erased?
context: It is similar to the power of our monsters,\but it is producing a slightly different and very strong energy reading.\Endymion, start investigating right away.\Yes, my lady.\Queen Beryl.\Lately, he has been acting increasingly suspicious.\Could he possibly have begun to notice\that his memories have been erased? response:	I doubt it.
context: but it is producing a slightly different and very strong energy reading.\Endymion, start investigating right away.\Yes, my lady.\Queen Beryl.\Lately, he has been acting increasingly suspicious.\Could he possibly have begun to notice\that his memories have been erased?\I doubt it. response:	But Kunzite, just in case,
context: Endymion, start investigating right away.\Yes, my lady.\Queen Beryl.\Lately, he has been acting increasingly suspicious.\Could he possibly have begun to notice\that his memories have been erased?\I doubt it.\But Kunzite, just in case, response:	follow him and keep an eye on his actions.
context: Yes, my lady.\Queen Beryl.\Lately, he has been acting increasingly suspicious.\Could he possibly have begun to notice\that his memories have been erased?\I doubt it.\But Kunzite, just in case,\follow him and keep an eye on his actions. response:	Understood, my lady.
context: Queen Beryl.\Lately, he has been acting increasingly suspicious.\Could he possibly have begun to notice\that his memories have been erased?\I doubt it.\But Kunzite, just in case,\follow him and keep an eye on his actions.\Understood, my lady. response:	Endymion is completely under my control.
context: Lately, he has been acting increasingly suspicious.\Could he possibly have begun to notice\that his memories have been erased?\I doubt it.\But Kunzite, just in case,\follow him and keep an eye on his actions.\Understood, my lady.\Endymion is completely under my control. response:	It would be impossible for him to question his past, but...
context: Could he possibly have begun to notice\that his memories have been erased?\I doubt it.\But Kunzite, just in case,\follow him and keep an eye on his actions.\Understood, my lady.\Endymion is completely under my control.\It would be impossible for him to question his past, but... response:	Wow! What a great view! What a great view!
context: that his memories have been erased?\I doubt it.\But Kunzite, just in case,\follow him and keep an eye on his actions.\Understood, my lady.\Endymion is completely under my control.\It would be impossible for him to question his past, but...\Wow! What a great view! What a great view! response:	A remote hot spring inn isn't so bad after all, is it?
context: I doubt it.\But Kunzite, just in case,\follow him and keep an eye on his actions.\Understood, my lady.\Endymion is completely under my control.\It would be impossible for him to question his past, but...\Wow! What a great view! What a great view!\A remote hot spring inn isn't so bad after all, is it? response:	Oh, Shingo. What are you doing?
context: But Kunzite, just in case,\follow him and keep an eye on his actions.\Understood, my lady.\Endymion is completely under my control.\It would be impossible for him to question his past, but...\Wow! What a great view! What a great view!\A remote hot spring inn isn't so bad after all, is it?\Oh, Shingo. What are you doing? response:	Hurry up and get in! The water's fine!
context: follow him and keep an eye on his actions.\Understood, my lady.\Endymion is completely under my control.\It would be impossible for him to question his past, but...\Wow! What a great view! What a great view!\A remote hot spring inn isn't so bad after all, is it?\Oh, Shingo. What are you doing?\Hurry up and get in! The water's fine! response:	But I don't wanna be in a mixed bath.
context: Understood, my lady.\Endymion is completely under my control.\It would be impossible for him to question his past, but...\Wow! What a great view! What a great view!\A remote hot spring inn isn't so bad after all, is it?\Oh, Shingo. What are you doing?\Hurry up and get in! The water's fine!\But I don't wanna be in a mixed bath. response:	What are you being so shy about? It's just us family here.
context: Endymion is completely under my control.\It would be impossible for him to question his past, but...\Wow! What a great view! What a great view!\A remote hot spring inn isn't so bad after all, is it?\Oh, Shingo. What are you doing?\Hurry up and get in! The water's fine!\But I don't wanna be in a mixed bath.\What are you being so shy about? It's just us family here. response:	If you don't hurry, you'll catch a cold.
context: It would be impossible for him to question his past, but...\Wow! What a great view! What a great view!\A remote hot spring inn isn't so bad after all, is it?\Oh, Shingo. What are you doing?\Hurry up and get in! The water's fine!\But I don't wanna be in a mixed bath.\What are you being so shy about? It's just us family here.\If you don't hurry, you'll catch a cold. response:	Okay...
context: Wow! What a great view! What a great view!\A remote hot spring inn isn't so bad after all, is it?\Oh, Shingo. What are you doing?\Hurry up and get in! The water's fine!\But I don't wanna be in a mixed bath.\What are you being so shy about? It's just us family here.\If you don't hurry, you'll catch a cold.\Okay... response:	Gotcha!
context: A remote hot spring inn isn't so bad after all, is it?\Oh, Shingo. What are you doing?\Hurry up and get in! The water's fine!\But I don't wanna be in a mixed bath.\What are you being so shy about? It's just us family here.\If you don't hurry, you'll catch a cold.\Okay...\Gotcha! response:	Stop it! Gotcha!
context: Oh, Shingo. What are you doing?\Hurry up and get in! The water's fine!\But I don't wanna be in a mixed bath.\What are you being so shy about? It's just us family here.\If you don't hurry, you'll catch a cold.\Okay...\Gotcha!\Stop it! Gotcha! response:	Stop it!
context: Hurry up and get in! The water's fine!\But I don't wanna be in a mixed bath.\What are you being so shy about? It's just us family here.\If you don't hurry, you'll catch a cold.\Okay...\Gotcha!\Stop it! Gotcha!\Stop it! response:	It's mine now!
context: But I don't wanna be in a mixed bath.\What are you being so shy about? It's just us family here.\If you don't hurry, you'll catch a cold.\Okay...\Gotcha!\Stop it! Gotcha!\Stop it!\It's mine now! response:	Shingo! Give that back!
context: What are you being so shy about? It's just us family here.\If you don't hurry, you'll catch a cold.\Okay...\Gotcha!\Stop it! Gotcha!\Stop it!\It's mine now!\Shingo! Give that back! response:	Usagi! Enough is enough!
context: If you don't hurry, you'll catch a cold.\Okay...\Gotcha!\Stop it! Gotcha!\Stop it!\It's mine now!\Shingo! Give that back!\Usagi! Enough is enough! response:	It's okay, just let them be.
context: Okay...\Gotcha!\Stop it! Gotcha!\Stop it!\It's mine now!\Shingo! Give that back!\Usagi! Enough is enough!\It's okay, just let them be. response:	Hey, give it back!
context: Gotcha!\Stop it! Gotcha!\Stop it!\It's mine now!\Shingo! Give that back!\Usagi! Enough is enough!\It's okay, just let them be.\Hey, give it back! response:	Hey, Shingo!
context: Stop it! Gotcha!\Stop it!\It's mine now!\Shingo! Give that back!\Usagi! Enough is enough!\It's okay, just let them be.\Hey, give it back!\Hey, Shingo! response:	Wow! What a nice view! The lake's right in front of us!
context: Stop it!\It's mine now!\Shingo! Give that back!\Usagi! Enough is enough!\It's okay, just let them be.\Hey, give it back!\Hey, Shingo!\Wow! What a nice view! The lake's right in front of us! response:	You let your guard down! What's wrong?
context: It's mine now!\Shingo! Give that back!\Usagi! Enough is enough!\It's okay, just let them be.\Hey, give it back!\Hey, Shingo!\Wow! What a nice view! The lake's right in front of us!\You let your guard down! What's wrong? response:	Look, there's somebody by the lake. Over there.
context: Shingo! Give that back!\Usagi! Enough is enough!\It's okay, just let them be.\Hey, give it back!\Hey, Shingo!\Wow! What a nice view! The lake's right in front of us!\You let your guard down! What's wrong?\Look, there's somebody by the lake. Over there. response:	What? Where?
context: Usagi! Enough is enough!\It's okay, just let them be.\Hey, give it back!\Hey, Shingo!\Wow! What a nice view! The lake's right in front of us!\You let your guard down! What's wrong?\Look, there's somebody by the lake. Over there.\What? Where? response:	It can't be!
context: It's okay, just let them be.\Hey, give it back!\Hey, Shingo!\Wow! What a nice view! The lake's right in front of us!\You let your guard down! What's wrong?\Look, there's somebody by the lake. Over there.\What? Where?\It can't be! response:	It is Mamoru.
context: Hey, give it back!\Hey, Shingo!\Wow! What a nice view! The lake's right in front of us!\You let your guard down! What's wrong?\Look, there's somebody by the lake. Over there.\What? Where?\It can't be!\It is Mamoru. response:	Oh, wait!
context: Hey, Shingo!\Wow! What a nice view! The lake's right in front of us!\You let your guard down! What's wrong?\Look, there's somebody by the lake. Over there.\What? Where?\It can't be!\It is Mamoru.\Oh, wait! response:	Sis!
context: Wow! What a nice view! The lake's right in front of us!\You let your guard down! What's wrong?\Look, there's somebody by the lake. Over there.\What? Where?\It can't be!\It is Mamoru.\Oh, wait!\Sis! response:	What's she in such a hurry about?
context: You let your guard down! What's wrong?\Look, there's somebody by the lake. Over there.\What? Where?\It can't be!\It is Mamoru.\Oh, wait!\Sis!\What's she in such a hurry about? response:	Mamoru!
context: Look, there's somebody by the lake. Over there.\What? Where?\It can't be!\It is Mamoru.\Oh, wait!\Sis!\What's she in such a hurry about?\Mamoru! response:	It's not him.
context: What? Where?\It can't be!\It is Mamoru.\Oh, wait!\Sis!\What's she in such a hurry about?\Mamoru!\It's not him. response:	The music box is playing again.
context: It can't be!\It is Mamoru.\Oh, wait!\Sis!\What's she in such a hurry about?\Mamoru!\It's not him.\The music box is playing again. response:	Mamoru!
context: It is Mamoru.\Oh, wait!\Sis!\What's she in such a hurry about?\Mamoru!\It's not him.\The music box is playing again.\Mamoru! response:	That melody... Why does it throw my heart into confusion?
context: Oh, wait!\Sis!\What's she in such a hurry about?\Mamoru!\It's not him.\The music box is playing again.\Mamoru!\That melody... Why does it throw my heart into confusion? response:	Mamoru! It's me, Usagi!
context: Sis!\What's she in such a hurry about?\Mamoru!\It's not him.\The music box is playing again.\Mamoru!\That melody... Why does it throw my heart into confusion?\Mamoru! It's me, Usagi! response:	Please! Don't pretend you don't know me...
