context: The Nine Olde Witches sealed the Grand Triskelion within Arcturus Forest. response:	Only the seven Words and the staff of seven stars can break the seal.
context: Fire magic?!\Lucky you.\Akko!\This pot contains the age-old ghost, Bewailing Bahalowa.\Bewailing Bahalowa?\Bahalowa wakes with the midnight toll at the close of the Festival, wailing and flailing about.\After consuming them, Bahalowa rests once more until the dawn of the next Samhain Festival.\Ladies, gather around Diana and work together to make this Samhain Festival a success. response:	I thought the Samhain Festival was supposed to be fun.
context: Lucky you.\Akko!\This pot contains the age-old ghost, Bewailing Bahalowa.\Bewailing Bahalowa?\Bahalowa wakes with the midnight toll at the close of the Festival, wailing and flailing about.\After consuming them, Bahalowa rests once more until the dawn of the next Samhain Festival.\Ladies, gather around Diana and work together to make this Samhain Festival a success.\I thought the Samhain Festival was supposed to be fun. response:	So why do they include this ghost eating sacrifices thing?
context: Akko!\This pot contains the age-old ghost, Bewailing Bahalowa.\Bewailing Bahalowa?\Bahalowa wakes with the midnight toll at the close of the Festival, wailing and flailing about.\After consuming them, Bahalowa rests once more until the dawn of the next Samhain Festival.\Ladies, gather around Diana and work together to make this Samhain Festival a success.\I thought the Samhain Festival was supposed to be fun.\So why do they include this ghost eating sacrifices thing? response:	Bewailing Bahalowa was a member of the royalty from the Book Kingdom in the second century BCE.
context: This pot contains the age-old ghost, Bewailing Bahalowa.\Bewailing Bahalowa?\Bahalowa wakes with the midnight toll at the close of the Festival, wailing and flailing about.\After consuming them, Bahalowa rests once more until the dawn of the next Samhain Festival.\Ladies, gather around Diana and work together to make this Samhain Festival a success.\I thought the Samhain Festival was supposed to be fun.\So why do they include this ghost eating sacrifices thing?\Bewailing Bahalowa was a member of the royalty from the Book Kingdom in the second century BCE. response:	However, as he was losing his friends in the last years of his life,
context: Bewailing Bahalowa?\Bahalowa wakes with the midnight toll at the close of the Festival, wailing and flailing about.\After consuming them, Bahalowa rests once more until the dawn of the next Samhain Festival.\Ladies, gather around Diana and work together to make this Samhain Festival a success.\I thought the Samhain Festival was supposed to be fun.\So why do they include this ghost eating sacrifices thing?\Bewailing Bahalowa was a member of the royalty from the Book Kingdom in the second century BCE.\However, as he was losing his friends in the last years of his life, response:	However, as he lost his friends in the last years of his life,
context: Bahalowa wakes with the midnight toll at the close of the Festival, wailing and flailing about.\After consuming them, Bahalowa rests once more until the dawn of the next Samhain Festival.\Ladies, gather around Diana and work together to make this Samhain Festival a success.\I thought the Samhain Festival was supposed to be fun.\So why do they include this ghost eating sacrifices thing?\Bewailing Bahalowa was a member of the royalty from the Book Kingdom in the second century BCE.\However, as he was losing his friends in the last years of his life,\However, as he lost his friends in the last years of his life, response:	Bahalowa mourned, saying'This world has nothing but sorrow', eventually turning into the bewailing ghost.
context: After consuming them, Bahalowa rests once more until the dawn of the next Samhain Festival.\Ladies, gather around Diana and work together to make this Samhain Festival a success.\I thought the Samhain Festival was supposed to be fun.\So why do they include this ghost eating sacrifices thing?\Bewailing Bahalowa was a member of the royalty from the Book Kingdom in the second century BCE.\However, as he was losing his friends in the last years of his life,\However, as he lost his friends in the last years of his life,\Bahalowa mourned, saying'This world has nothing but sorrow', eventually turning into the bewailing ghost. response:	Come on, Bahalowa!
context: Ladies, gather around Diana and work together to make this Samhain Festival a success.\I thought the Samhain Festival was supposed to be fun.\So why do they include this ghost eating sacrifices thing?\Bewailing Bahalowa was a member of the royalty from the Book Kingdom in the second century BCE.\However, as he was losing his friends in the last years of his life,\However, as he lost his friends in the last years of his life,\Bahalowa mourned, saying'This world has nothing but sorrow', eventually turning into the bewailing ghost.\Come on, Bahalowa! response:	This is all your fault for crying all the time!
context: I thought the Samhain Festival was supposed to be fun.\So why do they include this ghost eating sacrifices thing?\Bewailing Bahalowa was a member of the royalty from the Book Kingdom in the second century BCE.\However, as he was losing his friends in the last years of his life,\However, as he lost his friends in the last years of his life,\Bahalowa mourned, saying'This world has nothing but sorrow', eventually turning into the bewailing ghost.\Come on, Bahalowa!\This is all your fault for crying all the time! response:	I don't think that's going to happen. Diana will probably end up being selected.
context: So why do they include this ghost eating sacrifices thing?\Bewailing Bahalowa was a member of the royalty from the Book Kingdom in the second century BCE.\However, as he was losing his friends in the last years of his life,\However, as he lost his friends in the last years of his life,\Bahalowa mourned, saying'This world has nothing but sorrow', eventually turning into the bewailing ghost.\Come on, Bahalowa!\This is all your fault for crying all the time!\I don't think that's going to happen. Diana will probably end up being selected. response:	Just thinking about passing through the inside of a ghost gives me the chills!
context: Bewailing Bahalowa was a member of the royalty from the Book Kingdom in the second century BCE.\However, as he was losing his friends in the last years of his life,\However, as he lost his friends in the last years of his life,\Bahalowa mourned, saying'This world has nothing but sorrow', eventually turning into the bewailing ghost.\Come on, Bahalowa!\This is all your fault for crying all the time!\I don't think that's going to happen. Diana will probably end up being selected.\Just thinking about passing through the inside of a ghost gives me the chills! response:	You're the one I can't believe wants to be the Moonlit Witch when you can't even ride a broom.
context: However, as he was losing his friends in the last years of his life,\However, as he lost his friends in the last years of his life,\Bahalowa mourned, saying'This world has nothing but sorrow', eventually turning into the bewailing ghost.\Come on, Bahalowa!\This is all your fault for crying all the time!\I don't think that's going to happen. Diana will probably end up being selected.\Just thinking about passing through the inside of a ghost gives me the chills!\You're the one I can't believe wants to be the Moonlit Witch when you can't even ride a broom. response:	It can't be helped. We picked our duties randomly.
context: However, as he lost his friends in the last years of his life,\Bahalowa mourned, saying'This world has nothing but sorrow', eventually turning into the bewailing ghost.\Come on, Bahalowa!\This is all your fault for crying all the time!\I don't think that's going to happen. Diana will probably end up being selected.\Just thinking about passing through the inside of a ghost gives me the chills!\You're the one I can't believe wants to be the Moonlit Witch when you can't even ride a broom.\It can't be helped. We picked our duties randomly. response:	Okay, we should start our sacrifice duty meeting
context: Bahalowa mourned, saying'This world has nothing but sorrow', eventually turning into the bewailing ghost.\Come on, Bahalowa!\This is all your fault for crying all the time!\I don't think that's going to happen. Diana will probably end up being selected.\Just thinking about passing through the inside of a ghost gives me the chills!\You're the one I can't believe wants to be the Moonlit Witch when you can't even ride a broom.\It can't be helped. We picked our duties randomly.\Okay, we should start our sacrifice duty meeting response:	Let's get ready for our meeting about sacrifice duty.
context: Come on, Bahalowa!\This is all your fault for crying all the time!\I don't think that's going to happen. Diana will probably end up being selected.\Just thinking about passing through the inside of a ghost gives me the chills!\You're the one I can't believe wants to be the Moonlit Witch when you can't even ride a broom.\It can't be helped. We picked our duties randomly.\Okay, we should start our sacrifice duty meeting\Let's get ready for our meeting about sacrifice duty. response:	We collected all these mirrors, but we're not sure which to use.
context: This is all your fault for crying all the time!\I don't think that's going to happen. Diana will probably end up being selected.\Just thinking about passing through the inside of a ghost gives me the chills!\You're the one I can't believe wants to be the Moonlit Witch when you can't even ride a broom.\It can't be helped. We picked our duties randomly.\Okay, we should start our sacrifice duty meeting\Let's get ready for our meeting about sacrifice duty.\We collected all these mirrors, but we're not sure which to use. response:	Could you pick which one you think is best?
context: I don't think that's going to happen. Diana will probably end up being selected.\Just thinking about passing through the inside of a ghost gives me the chills!\You're the one I can't believe wants to be the Moonlit Witch when you can't even ride a broom.\It can't be helped. We picked our duties randomly.\Okay, we should start our sacrifice duty meeting\Let's get ready for our meeting about sacrifice duty.\We collected all these mirrors, but we're not sure which to use.\Could you pick which one you think is best? response:	Just like this.
context: Just thinking about passing through the inside of a ghost gives me the chills!\You're the one I can't believe wants to be the Moonlit Witch when you can't even ride a broom.\It can't be helped. We picked our duties randomly.\Okay, we should start our sacrifice duty meeting\Let's get ready for our meeting about sacrifice duty.\We collected all these mirrors, but we're not sure which to use.\Could you pick which one you think is best?\Just like this. response:	Why did this happen?!
context: You're the one I can't believe wants to be the Moonlit Witch when you can't even ride a broom.\It can't be helped. We picked our duties randomly.\Okay, we should start our sacrifice duty meeting\Let's get ready for our meeting about sacrifice duty.\We collected all these mirrors, but we're not sure which to use.\Could you pick which one you think is best?\Just like this.\Why did this happen?! response:	Now stay like that until tomorrow morning and the curse will be lifted.
context: It can't be helped. We picked our duties randomly.\Okay, we should start our sacrifice duty meeting\Let's get ready for our meeting about sacrifice duty.\We collected all these mirrors, but we're not sure which to use.\Could you pick which one you think is best?\Just like this.\Why did this happen?!\Now stay like that until tomorrow morning and the curse will be lifted. response:	I had just completed my cleaning of your room.
context: Okay, we should start our sacrifice duty meeting\Let's get ready for our meeting about sacrifice duty.\We collected all these mirrors, but we're not sure which to use.\Could you pick which one you think is best?\Just like this.\Why did this happen?!\Now stay like that until tomorrow morning and the curse will be lifted.\I had just completed my cleaning of your room. response:	As I was cleaning, your classmates came by in a rush looking for you.
context: Let's get ready for our meeting about sacrifice duty.\We collected all these mirrors, but we're not sure which to use.\Could you pick which one you think is best?\Just like this.\Why did this happen?!\Now stay like that until tomorrow morning and the curse will be lifted.\I had just completed my cleaning of your room.\As I was cleaning, your classmates came by in a rush looking for you. response:	L-Leave all your hopes in my capable hands.
context: We collected all these mirrors, but we're not sure which to use.\Could you pick which one you think is best?\Just like this.\Why did this happen?!\Now stay like that until tomorrow morning and the curse will be lifted.\I had just completed my cleaning of your room.\As I was cleaning, your classmates came by in a rush looking for you.\L-Leave all your hopes in my capable hands. response:	Th-There is nothing that I cannot possibly do!
context: Could you pick which one you think is best?\Just like this.\Why did this happen?!\Now stay like that until tomorrow morning and the curse will be lifted.\I had just completed my cleaning of your room.\As I was cleaning, your classmates came by in a rush looking for you.\L-Leave all your hopes in my capable hands.\Th-There is nothing that I cannot possibly do! response:	The mirror did this, I presume. It's easy to imagine.
context: Just like this.\Why did this happen?!\Now stay like that until tomorrow morning and the curse will be lifted.\I had just completed my cleaning of your room.\As I was cleaning, your classmates came by in a rush looking for you.\L-Leave all your hopes in my capable hands.\Th-There is nothing that I cannot possibly do!\The mirror did this, I presume. It's easy to imagine. response:	I am motivated! I'm serious about following in Chariot's footsteps!
context: Why did this happen?!\Now stay like that until tomorrow morning and the curse will be lifted.\I had just completed my cleaning of your room.\As I was cleaning, your classmates came by in a rush looking for you.\L-Leave all your hopes in my capable hands.\Th-There is nothing that I cannot possibly do!\The mirror did this, I presume. It's easy to imagine.\I am motivated! I'm serious about following in Chariot's footsteps! response:	Diana is amazing.
context: Now stay like that until tomorrow morning and the curse will be lifted.\I had just completed my cleaning of your room.\As I was cleaning, your classmates came by in a rush looking for you.\L-Leave all your hopes in my capable hands.\Th-There is nothing that I cannot possibly do!\The mirror did this, I presume. It's easy to imagine.\I am motivated! I'm serious about following in Chariot's footsteps!\Diana is amazing. response:	This world was once abundant with the power of good magic.
context: I had just completed my cleaning of your room.\As I was cleaning, your classmates came by in a rush looking for you.\L-Leave all your hopes in my capable hands.\Th-There is nothing that I cannot possibly do!\The mirror did this, I presume. It's easy to imagine.\I am motivated! I'm serious about following in Chariot's footsteps!\Diana is amazing.\This world was once abundant with the power of good magic. response:	However, magic is consistently weakening in this era.
context: As I was cleaning, your classmates came by in a rush looking for you.\L-Leave all your hopes in my capable hands.\Th-There is nothing that I cannot possibly do!\The mirror did this, I presume. It's easy to imagine.\I am motivated! I'm serious about following in Chariot's footsteps!\Diana is amazing.\This world was once abundant with the power of good magic.\However, magic is consistently weakening in this era. response:	I plan to seek the ultimate power of the Grand Triskelion to return the magic of today to its former glory.
context: L-Leave all your hopes in my capable hands.\Th-There is nothing that I cannot possibly do!\The mirror did this, I presume. It's easy to imagine.\I am motivated! I'm serious about following in Chariot's footsteps!\Diana is amazing.\This world was once abundant with the power of good magic.\However, magic is consistently weakening in this era.\I plan to seek the ultimate power of the Grand Triskelion to return the magic of today to its former glory. response:	I plan to seek the ultimate power of the Grand Triskelion to revitalize magic in this world.
context: Th-There is nothing that I cannot possibly do!\The mirror did this, I presume. It's easy to imagine.\I am motivated! I'm serious about following in Chariot's footsteps!\Diana is amazing.\This world was once abundant with the power of good magic.\However, magic is consistently weakening in this era.\I plan to seek the ultimate power of the Grand Triskelion to return the magic of today to its former glory.\I plan to seek the ultimate power of the Grand Triskelion to revitalize magic in this world. response:	What am I compared to her?
context: The mirror did this, I presume. It's easy to imagine.\I am motivated! I'm serious about following in Chariot's footsteps!\Diana is amazing.\This world was once abundant with the power of good magic.\However, magic is consistently weakening in this era.\I plan to seek the ultimate power of the Grand Triskelion to return the magic of today to its former glory.\I plan to seek the ultimate power of the Grand Triskelion to revitalize magic in this world.\What am I compared to her? response:	And here I have zero chance of winning...
context: I am motivated! I'm serious about following in Chariot's footsteps!\Diana is amazing.\This world was once abundant with the power of good magic.\However, magic is consistently weakening in this era.\I plan to seek the ultimate power of the Grand Triskelion to return the magic of today to its former glory.\I plan to seek the ultimate power of the Grand Triskelion to revitalize magic in this world.\What am I compared to her?\And here I have zero chance of winning... response:	I'm just a little kid compared to her.
context: Diana is amazing.\This world was once abundant with the power of good magic.\However, magic is consistently weakening in this era.\I plan to seek the ultimate power of the Grand Triskelion to return the magic of today to its former glory.\I plan to seek the ultimate power of the Grand Triskelion to revitalize magic in this world.\What am I compared to her?\And here I have zero chance of winning...\I'm just a little kid compared to her. response:	But you know, I bet that even Chariot failed and worried and got discouraged, maybe more than you'd think.
context: This world was once abundant with the power of good magic.\However, magic is consistently weakening in this era.\I plan to seek the ultimate power of the Grand Triskelion to return the magic of today to its former glory.\I plan to seek the ultimate power of the Grand Triskelion to revitalize magic in this world.\What am I compared to her?\And here I have zero chance of winning...\I'm just a little kid compared to her.\But you know, I bet that even Chariot failed and worried and got discouraged, maybe more than you'd think. response:	But you know, I bet that even Chariot failed and worried and got discouraged more than you'd think.
context: However, magic is consistently weakening in this era.\I plan to seek the ultimate power of the Grand Triskelion to return the magic of today to its former glory.\I plan to seek the ultimate power of the Grand Triskelion to revitalize magic in this world.\What am I compared to her?\And here I have zero chance of winning...\I'm just a little kid compared to her.\But you know, I bet that even Chariot failed and worried and got discouraged, maybe more than you'd think.\But you know, I bet that even Chariot failed and worried and got discouraged more than you'd think. response:	Goodness, what am I to do with you?
context: I plan to seek the ultimate power of the Grand Triskelion to return the magic of today to its former glory.\I plan to seek the ultimate power of the Grand Triskelion to revitalize magic in this world.\What am I compared to her?\And here I have zero chance of winning...\I'm just a little kid compared to her.\But you know, I bet that even Chariot failed and worried and got discouraged, maybe more than you'd think.\But you know, I bet that even Chariot failed and worried and got discouraged more than you'd think.\Goodness, what am I to do with you? response:	Watch me! I can feel power in my heart when I say this chant!
context: I plan to seek the ultimate power of the Grand Triskelion to revitalize magic in this world.\What am I compared to her?\And here I have zero chance of winning...\I'm just a little kid compared to her.\But you know, I bet that even Chariot failed and worried and got discouraged, maybe more than you'd think.\But you know, I bet that even Chariot failed and worried and got discouraged more than you'd think.\Goodness, what am I to do with you?\Watch me! I can feel power in my heart when I say this chant! response:	Arae Arilla!
context: What am I compared to her?\And here I have zero chance of winning...\I'm just a little kid compared to her.\But you know, I bet that even Chariot failed and worried and got discouraged, maybe more than you'd think.\But you know, I bet that even Chariot failed and worried and got discouraged more than you'd think.\Goodness, what am I to do with you?\Watch me! I can feel power in my heart when I say this chant!\Arae Arilla! response:	Arae Arilla!
context: And here I have zero chance of winning...\I'm just a little kid compared to her.\But you know, I bet that even Chariot failed and worried and got discouraged, maybe more than you'd think.\But you know, I bet that even Chariot failed and worried and got discouraged more than you'd think.\Goodness, what am I to do with you?\Watch me! I can feel power in my heart when I say this chant!\Arae Arilla!\Arae Arilla! response:	Arae Arilla!
context: I'm just a little kid compared to her.\But you know, I bet that even Chariot failed and worried and got discouraged, maybe more than you'd think.\But you know, I bet that even Chariot failed and worried and got discouraged more than you'd think.\Goodness, what am I to do with you?\Watch me! I can feel power in my heart when I say this chant!\Arae Arilla!\Arae Arilla!\Arae Arilla! response:	Arae Arilla...
context: But you know, I bet that even Chariot failed and worried and got discouraged, maybe more than you'd think.\But you know, I bet that even Chariot failed and worried and got discouraged more than you'd think.\Goodness, what am I to do with you?\Watch me! I can feel power in my heart when I say this chant!\Arae Arilla!\Arae Arilla!\Arae Arilla!\Arae Arilla... response:	The Nine Olde Witches sealed the Grand Triskelion within Arcturus Forest.
context: But you know, I bet that even Chariot failed and worried and got discouraged more than you'd think.\Goodness, what am I to do with you?\Watch me! I can feel power in my heart when I say this chant!\Arae Arilla!\Arae Arilla!\Arae Arilla!\Arae Arilla...\The Nine Olde Witches sealed the Grand Triskelion within Arcturus Forest. response:	Only the seven Words and the staff bearing the seven stars can break the seal.
context: Goodness, what am I to do with you?\Watch me! I can feel power in my heart when I say this chant!\Arae Arilla!\Arae Arilla!\Arae Arilla!\Arae Arilla...\The Nine Olde Witches sealed the Grand Triskelion within Arcturus Forest.\Only the seven Words and the staff bearing the seven stars can break the seal. response:	Early morning lessons, day seven. Are you ready, Akko?
