context: We ask thee, Father, to forgive us our sins and grant us eternal life. response:	When we leave this world, may we go peacefully into the arms of our Lord.
context: Still, just a little more...\Please, Annie.\Brace yourself, miss.\There's a trick to opening the window.\You have to push and lift at the same time.\That's it.\This will be your room.\It's small and old, but it will have to do. response:	The front door was open. That's dangerous.
context: Please, Annie.\Brace yourself, miss.\There's a trick to opening the window.\You have to push and lift at the same time.\That's it.\This will be your room.\It's small and old, but it will have to do.\The front door was open. That's dangerous. response:	Have you finished?
context: Brace yourself, miss.\There's a trick to opening the window.\You have to push and lift at the same time.\That's it.\This will be your room.\It's small and old, but it will have to do.\The front door was open. That's dangerous.\Have you finished? response:	Not yet...
context: There's a trick to opening the window.\You have to push and lift at the same time.\That's it.\This will be your room.\It's small and old, but it will have to do.\The front door was open. That's dangerous.\Have you finished?\Not yet... response:	The kitchen will take a little longer.
context: You have to push and lift at the same time.\That's it.\This will be your room.\It's small and old, but it will have to do.\The front door was open. That's dangerous.\Have you finished?\Not yet...\The kitchen will take a little longer. response:	I've asked my mates to help out. They'll get rid of anything you don't need next week.
context: That's it.\This will be your room.\It's small and old, but it will have to do.\The front door was open. That's dangerous.\Have you finished?\Not yet...\The kitchen will take a little longer.\I've asked my mates to help out. They'll get rid of anything you don't need next week. response:	Thank you. You've done so much.
context: This will be your room.\It's small and old, but it will have to do.\The front door was open. That's dangerous.\Have you finished?\Not yet...\The kitchen will take a little longer.\I've asked my mates to help out. They'll get rid of anything you don't need next week.\Thank you. You've done so much. response:	You haven't told him?
context: It's small and old, but it will have to do.\The front door was open. That's dangerous.\Have you finished?\Not yet...\The kitchen will take a little longer.\I've asked my mates to help out. They'll get rid of anything you don't need next week.\Thank you. You've done so much.\You haven't told him? response:	What?
context: The front door was open. That's dangerous.\Have you finished?\Not yet...\The kitchen will take a little longer.\I've asked my mates to help out. They'll get rid of anything you don't need next week.\Thank you. You've done so much.\You haven't told him?\What? response:	The Jones boy.
context: Have you finished?\Not yet...\The kitchen will take a little longer.\I've asked my mates to help out. They'll get rid of anything you don't need next week.\Thank you. You've done so much.\You haven't told him?\What?\The Jones boy. response:	The funeral may be over, but you should still tell him, you know.
context: Not yet...\The kitchen will take a little longer.\I've asked my mates to help out. They'll get rid of anything you don't need next week.\Thank you. You've done so much.\You haven't told him?\What?\The Jones boy.\The funeral may be over, but you should still tell him, you know. response:	I'll stop by again.
context: The kitchen will take a little longer.\I've asked my mates to help out. They'll get rid of anything you don't need next week.\Thank you. You've done so much.\You haven't told him?\What?\The Jones boy.\The funeral may be over, but you should still tell him, you know.\I'll stop by again. response:	All right.
context: I've asked my mates to help out. They'll get rid of anything you don't need next week.\Thank you. You've done so much.\You haven't told him?\What?\The Jones boy.\The funeral may be over, but you should still tell him, you know.\I'll stop by again.\All right. response:	Your clothes...
context: Thank you. You've done so much.\You haven't told him?\What?\The Jones boy.\The funeral may be over, but you should still tell him, you know.\I'll stop by again.\All right.\Your clothes... response:	You realize you don't have to wear a maid uniform anymore, right?
context: You haven't told him?\What?\The Jones boy.\The funeral may be over, but you should still tell him, you know.\I'll stop by again.\All right.\Your clothes...\You realize you don't have to wear a maid uniform anymore, right? response:	It's just force of habit...
context: What?\The Jones boy.\The funeral may be over, but you should still tell him, you know.\I'll stop by again.\All right.\Your clothes...\You realize you don't have to wear a maid uniform anymore, right?\It's just force of habit... response:	Well, you were here a long time.
context: The Jones boy.\The funeral may be over, but you should still tell him, you know.\I'll stop by again.\All right.\Your clothes...\You realize you don't have to wear a maid uniform anymore, right?\It's just force of habit...\Well, you were here a long time. response:	If you need anything, just let me know.
context: The funeral may be over, but you should still tell him, you know.\I'll stop by again.\All right.\Your clothes...\You realize you don't have to wear a maid uniform anymore, right?\It's just force of habit...\Well, you were here a long time.\If you need anything, just let me know. response:	I will.
context: I'll stop by again.\All right.\Your clothes...\You realize you don't have to wear a maid uniform anymore, right?\It's just force of habit...\Well, you were here a long time.\If you need anything, just let me know.\I will. response:	Emma, could I have some tea?
context: All right.\Your clothes...\You realize you don't have to wear a maid uniform anymore, right?\It's just force of habit...\Well, you were here a long time.\If you need anything, just let me know.\I will.\Emma, could I have some tea? response:	Yes, ma'am.
context: Your clothes...\You realize you don't have to wear a maid uniform anymore, right?\It's just force of habit...\Well, you were here a long time.\If you need anything, just let me know.\I will.\Emma, could I have some tea?\Yes, ma'am. response:	Miss Campbell! Mr. William Jones!
context: You realize you don't have to wear a maid uniform anymore, right?\It's just force of habit...\Well, you were here a long time.\If you need anything, just let me know.\I will.\Emma, could I have some tea?\Yes, ma'am.\Miss Campbell! Mr. William Jones! response:	Lord Melville, thank you for your invitation.
context: It's just force of habit...\Well, you were here a long time.\If you need anything, just let me know.\I will.\Emma, could I have some tea?\Yes, ma'am.\Miss Campbell! Mr. William Jones!\Lord Melville, thank you for your invitation. response:	Please, enjoy yourself.
context: Well, you were here a long time.\If you need anything, just let me know.\I will.\Emma, could I have some tea?\Yes, ma'am.\Miss Campbell! Mr. William Jones!\Lord Melville, thank you for your invitation.\Please, enjoy yourself. response:	Thank you very much.
context: If you need anything, just let me know.\I will.\Emma, could I have some tea?\Yes, ma'am.\Miss Campbell! Mr. William Jones!\Lord Melville, thank you for your invitation.\Please, enjoy yourself.\Thank you very much. response:	You have a beautiful home.
context: I will.\Emma, could I have some tea?\Yes, ma'am.\Miss Campbell! Mr. William Jones!\Lord Melville, thank you for your invitation.\Please, enjoy yourself.\Thank you very much.\You have a beautiful home. response:	Please make yourselves at home.
context: Emma, could I have some tea?\Yes, ma'am.\Miss Campbell! Mr. William Jones!\Lord Melville, thank you for your invitation.\Please, enjoy yourself.\Thank you very much.\You have a beautiful home.\Please make yourselves at home. response:	Eleanor, you're more beautiful every time I see you.
context: Yes, ma'am.\Miss Campbell! Mr. William Jones!\Lord Melville, thank you for your invitation.\Please, enjoy yourself.\Thank you very much.\You have a beautiful home.\Please make yourselves at home.\Eleanor, you're more beautiful every time I see you. response:	The same to you dear aunt, you're as beautiful as ever.
context: Miss Campbell! Mr. William Jones!\Lord Melville, thank you for your invitation.\Please, enjoy yourself.\Thank you very much.\You have a beautiful home.\Please make yourselves at home.\Eleanor, you're more beautiful every time I see you.\The same to you dear aunt, you're as beautiful as ever. response:	My, even your words have the grace of a true lady.
context: Lord Melville, thank you for your invitation.\Please, enjoy yourself.\Thank you very much.\You have a beautiful home.\Please make yourselves at home.\Eleanor, you're more beautiful every time I see you.\The same to you dear aunt, you're as beautiful as ever.\My, even your words have the grace of a true lady. response:	Um... I hope you don't mind escorting me.
context: Please, enjoy yourself.\Thank you very much.\You have a beautiful home.\Please make yourselves at home.\Eleanor, you're more beautiful every time I see you.\The same to you dear aunt, you're as beautiful as ever.\My, even your words have the grace of a true lady.\Um... I hope you don't mind escorting me. response:	Eh?
context: Thank you very much.\You have a beautiful home.\Please make yourselves at home.\Eleanor, you're more beautiful every time I see you.\The same to you dear aunt, you're as beautiful as ever.\My, even your words have the grace of a true lady.\Um... I hope you don't mind escorting me.\Eh? response:	Mr. Jones suggested that I come, and I couldn't help but comply...
context: You have a beautiful home.\Please make yourselves at home.\Eleanor, you're more beautiful every time I see you.\The same to you dear aunt, you're as beautiful as ever.\My, even your words have the grace of a true lady.\Um... I hope you don't mind escorting me.\Eh?\Mr. Jones suggested that I come, and I couldn't help but comply... response:	Perhaps it was impudent of me.
context: Please make yourselves at home.\Eleanor, you're more beautiful every time I see you.\The same to you dear aunt, you're as beautiful as ever.\My, even your words have the grace of a true lady.\Um... I hope you don't mind escorting me.\Eh?\Mr. Jones suggested that I come, and I couldn't help but comply...\Perhaps it was impudent of me. response:	Oh, of course not...
context: Eleanor, you're more beautiful every time I see you.\The same to you dear aunt, you're as beautiful as ever.\My, even your words have the grace of a true lady.\Um... I hope you don't mind escorting me.\Eh?\Mr. Jones suggested that I come, and I couldn't help but comply...\Perhaps it was impudent of me.\Oh, of course not... response:	Not at all. I'm grateful, in fact.
context: The same to you dear aunt, you're as beautiful as ever.\My, even your words have the grace of a true lady.\Um... I hope you don't mind escorting me.\Eh?\Mr. Jones suggested that I come, and I couldn't help but comply...\Perhaps it was impudent of me.\Oh, of course not...\Not at all. I'm grateful, in fact. response:	I'm pleased.
context: My, even your words have the grace of a true lady.\Um... I hope you don't mind escorting me.\Eh?\Mr. Jones suggested that I come, and I couldn't help but comply...\Perhaps it was impudent of me.\Oh, of course not...\Not at all. I'm grateful, in fact.\I'm pleased. response:	Well then, shall we go?
context: Um... I hope you don't mind escorting me.\Eh?\Mr. Jones suggested that I come, and I couldn't help but comply...\Perhaps it was impudent of me.\Oh, of course not...\Not at all. I'm grateful, in fact.\I'm pleased.\Well then, shall we go? response:	You've seemed a little out of sorts recently...
context: Eh?\Mr. Jones suggested that I come, and I couldn't help but comply...\Perhaps it was impudent of me.\Oh, of course not...\Not at all. I'm grateful, in fact.\I'm pleased.\Well then, shall we go?\You've seemed a little out of sorts recently... response:	Who, me?
context: Mr. Jones suggested that I come, and I couldn't help but comply...\Perhaps it was impudent of me.\Oh, of course not...\Not at all. I'm grateful, in fact.\I'm pleased.\Well then, shall we go?\You've seemed a little out of sorts recently...\Who, me? response:	Is anything wrong?
context: Perhaps it was impudent of me.\Oh, of course not...\Not at all. I'm grateful, in fact.\I'm pleased.\Well then, shall we go?\You've seemed a little out of sorts recently...\Who, me?\Is anything wrong? response:	No... nothing at all.
context: Oh, of course not...\Not at all. I'm grateful, in fact.\I'm pleased.\Well then, shall we go?\You've seemed a little out of sorts recently...\Who, me?\Is anything wrong?\No... nothing at all. response:	Ladies and gentlemen, I am delighted that you've gathered here tonight.
context: Not at all. I'm grateful, in fact.\I'm pleased.\Well then, shall we go?\You've seemed a little out of sorts recently...\Who, me?\Is anything wrong?\No... nothing at all.\Ladies and gentlemen, I am delighted that you've gathered here tonight. response:	I hope you will enjoy yourselves.
context: I'm pleased.\Well then, shall we go?\You've seemed a little out of sorts recently...\Who, me?\Is anything wrong?\No... nothing at all.\Ladies and gentlemen, I am delighted that you've gathered here tonight.\I hope you will enjoy yourselves. response:	Well then, to your health.
context: Well then, shall we go?\You've seemed a little out of sorts recently...\Who, me?\Is anything wrong?\No... nothing at all.\Ladies and gentlemen, I am delighted that you've gathered here tonight.\I hope you will enjoy yourselves.\Well then, to your health. response:	This is sea turtle soup.
context: You've seemed a little out of sorts recently...\Who, me?\Is anything wrong?\No... nothing at all.\Ladies and gentlemen, I am delighted that you've gathered here tonight.\I hope you will enjoy yourselves.\Well then, to your health.\This is sea turtle soup. response:	Even cooked, a sea turtle still ends up swimming in water, doesn't it?
context: Who, me?\Is anything wrong?\No... nothing at all.\Ladies and gentlemen, I am delighted that you've gathered here tonight.\I hope you will enjoy yourselves.\Well then, to your health.\This is sea turtle soup.\Even cooked, a sea turtle still ends up swimming in water, doesn't it? response:	What?
context: Is anything wrong?\No... nothing at all.\Ladies and gentlemen, I am delighted that you've gathered here tonight.\I hope you will enjoy yourselves.\Well then, to your health.\This is sea turtle soup.\Even cooked, a sea turtle still ends up swimming in water, doesn't it?\What? response:	It's delicious...
context: No... nothing at all.\Ladies and gentlemen, I am delighted that you've gathered here tonight.\I hope you will enjoy yourselves.\Well then, to your health.\This is sea turtle soup.\Even cooked, a sea turtle still ends up swimming in water, doesn't it?\What?\It's delicious... response:	It truly is.
context: Ladies and gentlemen, I am delighted that you've gathered here tonight.\I hope you will enjoy yourselves.\Well then, to your health.\This is sea turtle soup.\Even cooked, a sea turtle still ends up swimming in water, doesn't it?\What?\It's delicious...\It truly is. response:	Lobster and sole cooked in an orange sauce.
context: I hope you will enjoy yourselves.\Well then, to your health.\This is sea turtle soup.\Even cooked, a sea turtle still ends up swimming in water, doesn't it?\What?\It's delicious...\It truly is.\Lobster and sole cooked in an orange sauce. response:	It's amazing.
context: Well then, to your health.\This is sea turtle soup.\Even cooked, a sea turtle still ends up swimming in water, doesn't it?\What?\It's delicious...\It truly is.\Lobster and sole cooked in an orange sauce.\It's amazing. response:	Everything tastes so good...
context: This is sea turtle soup.\Even cooked, a sea turtle still ends up swimming in water, doesn't it?\What?\It's delicious...\It truly is.\Lobster and sole cooked in an orange sauce.\It's amazing.\Everything tastes so good... response:	This is puree of ptarmigan.
context: Even cooked, a sea turtle still ends up swimming in water, doesn't it?\What?\It's delicious...\It truly is.\Lobster and sole cooked in an orange sauce.\It's amazing.\Everything tastes so good...\This is puree of ptarmigan. response:	I must remember to talk.
context: What?\It's delicious...\It truly is.\Lobster and sole cooked in an orange sauce.\It's amazing.\Everything tastes so good...\This is puree of ptarmigan.\I must remember to talk. response:	I'm forgetting my manners.
context: It's delicious...\It truly is.\Lobster and sole cooked in an orange sauce.\It's amazing.\Everything tastes so good...\This is puree of ptarmigan.\I must remember to talk.\I'm forgetting my manners. response:	Don't worry. I'm forgetting them too.
context: It truly is.\Lobster and sole cooked in an orange sauce.\It's amazing.\Everything tastes so good...\This is puree of ptarmigan.\I must remember to talk.\I'm forgetting my manners.\Don't worry. I'm forgetting them too. response:	Number 43 and 44 have gone up!
context: Lobster and sole cooked in an orange sauce.\It's amazing.\Everything tastes so good...\This is puree of ptarmigan.\I must remember to talk.\I'm forgetting my manners.\Don't worry. I'm forgetting them too.\Number 43 and 44 have gone up! response:	Is the garnish finished?
context: It's amazing.\Everything tastes so good...\This is puree of ptarmigan.\I must remember to talk.\I'm forgetting my manners.\Don't worry. I'm forgetting them too.\Number 43 and 44 have gone up!\Is the garnish finished? response:	Yes, Cook.
context: Everything tastes so good...\This is puree of ptarmigan.\I must remember to talk.\I'm forgetting my manners.\Don't worry. I'm forgetting them too.\Number 43 and 44 have gone up!\Is the garnish finished?\Yes, Cook. response:	Add the final touches, please! Yes, Cook.
context: This is puree of ptarmigan.\I must remember to talk.\I'm forgetting my manners.\Don't worry. I'm forgetting them too.\Number 43 and 44 have gone up!\Is the garnish finished?\Yes, Cook.\Add the final touches, please! Yes, Cook. response:	Add the final touches, please!
context: I must remember to talk.\I'm forgetting my manners.\Don't worry. I'm forgetting them too.\Number 43 and 44 have gone up!\Is the garnish finished?\Yes, Cook.\Add the final touches, please! Yes, Cook.\Add the final touches, please! response:	Add the final touches, please! All right, move on to the sauce then, please.
context: I'm forgetting my manners.\Don't worry. I'm forgetting them too.\Number 43 and 44 have gone up!\Is the garnish finished?\Yes, Cook.\Add the final touches, please! Yes, Cook.\Add the final touches, please!\Add the final touches, please! All right, move on to the sauce then, please. response:	All right, move on to the sauce then, please.
context: Don't worry. I'm forgetting them too.\Number 43 and 44 have gone up!\Is the garnish finished?\Yes, Cook.\Add the final touches, please! Yes, Cook.\Add the final touches, please!\Add the final touches, please! All right, move on to the sauce then, please.\All right, move on to the sauce then, please. response:	Where's the roast duck?
context: Number 43 and 44 have gone up!\Is the garnish finished?\Yes, Cook.\Add the final touches, please! Yes, Cook.\Add the final touches, please!\Add the final touches, please! All right, move on to the sauce then, please.\All right, move on to the sauce then, please.\Where's the roast duck? response:	Ready, Cook.
context: Is the garnish finished?\Yes, Cook.\Add the final touches, please! Yes, Cook.\Add the final touches, please!\Add the final touches, please! All right, move on to the sauce then, please.\All right, move on to the sauce then, please.\Where's the roast duck?\Ready, Cook. response:	What do you think?
context: Yes, Cook.\Add the final touches, please! Yes, Cook.\Add the final touches, please!\Add the final touches, please! All right, move on to the sauce then, please.\All right, move on to the sauce then, please.\Where's the roast duck?\Ready, Cook.\What do you think? response:	Perfect. I did well.
context: Add the final touches, please! Yes, Cook.\Add the final touches, please!\Add the final touches, please! All right, move on to the sauce then, please.\All right, move on to the sauce then, please.\Where's the roast duck?\Ready, Cook.\What do you think?\Perfect. I did well. response:	All right, take it up. You're fired if you drop it.
context: Add the final touches, please!\Add the final touches, please! All right, move on to the sauce then, please.\All right, move on to the sauce then, please.\Where's the roast duck?\Ready, Cook.\What do you think?\Perfect. I did well.\All right, take it up. You're fired if you drop it. response:	Yes, Cook.
context: Add the final touches, please! All right, move on to the sauce then, please.\All right, move on to the sauce then, please.\Where's the roast duck?\Ready, Cook.\What do you think?\Perfect. I did well.\All right, take it up. You're fired if you drop it.\Yes, Cook. response:	Sorry to keep you waiting.
context: All right, move on to the sauce then, please.\Where's the roast duck?\Ready, Cook.\What do you think?\Perfect. I did well.\All right, take it up. You're fired if you drop it.\Yes, Cook.\Sorry to keep you waiting. response:	Hurry up with the trimmings!
context: Where's the roast duck?\Ready, Cook.\What do you think?\Perfect. I did well.\All right, take it up. You're fired if you drop it.\Yes, Cook.\Sorry to keep you waiting.\Hurry up with the trimmings! response:	Even if you can't handle wine to begin with, you get used to it the more you drink.
context: Ready, Cook.\What do you think?\Perfect. I did well.\All right, take it up. You're fired if you drop it.\Yes, Cook.\Sorry to keep you waiting.\Hurry up with the trimmings!\Even if you can't handle wine to begin with, you get used to it the more you drink. response:	Is that so...?
context: What do you think?\Perfect. I did well.\All right, take it up. You're fired if you drop it.\Yes, Cook.\Sorry to keep you waiting.\Hurry up with the trimmings!\Even if you can't handle wine to begin with, you get used to it the more you drink.\Is that so...? response:	The first time I drank, I made a terrible mistake.
context: Perfect. I did well.\All right, take it up. You're fired if you drop it.\Yes, Cook.\Sorry to keep you waiting.\Hurry up with the trimmings!\Even if you can't handle wine to begin with, you get used to it the more you drink.\Is that so...?\The first time I drank, I made a terrible mistake. response:	I was with people who loved to drink, so l couldn't refuse when they offered me more.
context: All right, take it up. You're fired if you drop it.\Yes, Cook.\Sorry to keep you waiting.\Hurry up with the trimmings!\Even if you can't handle wine to begin with, you get used to it the more you drink.\Is that so...?\The first time I drank, I made a terrible mistake.\I was with people who loved to drink, so l couldn't refuse when they offered me more. response:	Port wine, Hock, Claret, Sherry, there was even Madeira, I think...
context: Yes, Cook.\Sorry to keep you waiting.\Hurry up with the trimmings!\Even if you can't handle wine to begin with, you get used to it the more you drink.\Is that so...?\The first time I drank, I made a terrible mistake.\I was with people who loved to drink, so l couldn't refuse when they offered me more.\Port wine, Hock, Claret, Sherry, there was even Madeira, I think... response:	So, what happened?
