context: Shirt: Good at fighting Superior cat-ears (?) response:	Let us assess the situation.
context: I won't hand Jin over to you!\A god does not approve of a man such as you!\According to Nagi-sama, it's something that even a god won't forgive.\Daitetsu-kun said that he wouldn't hand over Mikuriya, and Nagi-sama raged.\I get it now!\Daitetsu is the dom.\I knew it, I knew it!\What's that ominous phrase? I don't quite understand, but stop it! response:	By the way, Senpai...
context: A god does not approve of a man such as you!\According to Nagi-sama, it's something that even a god won't forgive.\Daitetsu-kun said that he wouldn't hand over Mikuriya, and Nagi-sama raged.\I get it now!\Daitetsu is the dom.\I knew it, I knew it!\What's that ominous phrase? I don't quite understand, but stop it!\By the way, Senpai... response:	Why are you naturally following this topic?
context: According to Nagi-sama, it's something that even a god won't forgive.\Daitetsu-kun said that he wouldn't hand over Mikuriya, and Nagi-sama raged.\I get it now!\Daitetsu is the dom.\I knew it, I knew it!\What's that ominous phrase? I don't quite understand, but stop it!\By the way, Senpai...\Why are you naturally following this topic? response:	Search the net with the click of a mouse.
context: Daitetsu-kun said that he wouldn't hand over Mikuriya, and Nagi-sama raged.\I get it now!\Daitetsu is the dom.\I knew it, I knew it!\What's that ominous phrase? I don't quite understand, but stop it!\By the way, Senpai...\Why are you naturally following this topic?\Search the net with the click of a mouse. response:	I've done my homework since the maid cafe!
context: I get it now!\Daitetsu is the dom.\I knew it, I knew it!\What's that ominous phrase? I don't quite understand, but stop it!\By the way, Senpai...\Why are you naturally following this topic?\Search the net with the click of a mouse.\I've done my homework since the maid cafe! response:	Why do you have to study that?!
context: Daitetsu is the dom.\I knew it, I knew it!\What's that ominous phrase? I don't quite understand, but stop it!\By the way, Senpai...\Why are you naturally following this topic?\Search the net with the click of a mouse.\I've done my homework since the maid cafe!\Why do you have to study that?! response:	Your soul has been defiled!
context: I knew it, I knew it!\What's that ominous phrase? I don't quite understand, but stop it!\By the way, Senpai...\Why are you naturally following this topic?\Search the net with the click of a mouse.\I've done my homework since the maid cafe!\Why do you have to study that?!\Your soul has been defiled! response:	What's wrong? It's my freedom to do so.
context: What's that ominous phrase? I don't quite understand, but stop it!\By the way, Senpai...\Why are you naturally following this topic?\Search the net with the click of a mouse.\I've done my homework since the maid cafe!\Why do you have to study that?!\Your soul has been defiled!\What's wrong? It's my freedom to do so. response:	Isn't this a case where the sub is acting dominant?
context: By the way, Senpai...\Why are you naturally following this topic?\Search the net with the click of a mouse.\I've done my homework since the maid cafe!\Why do you have to study that?!\Your soul has been defiled!\What's wrong? It's my freedom to do so.\Isn't this a case where the sub is acting dominant? response:	Nope! It's the begging for it type dom.
context: Why are you naturally following this topic?\Search the net with the click of a mouse.\I've done my homework since the maid cafe!\Why do you have to study that?!\Your soul has been defiled!\What's wrong? It's my freedom to do so.\Isn't this a case where the sub is acting dominant?\Nope! It's the begging for it type dom. response:	I can't believe you're using phrases that I don't know!
context: Search the net with the click of a mouse.\I've done my homework since the maid cafe!\Why do you have to study that?!\Your soul has been defiled!\What's wrong? It's my freedom to do so.\Isn't this a case where the sub is acting dominant?\Nope! It's the begging for it type dom.\I can't believe you're using phrases that I don't know! response:	Begging for it type dom?
context: I've done my homework since the maid cafe!\Why do you have to study that?!\Your soul has been defiled!\What's wrong? It's my freedom to do so.\Isn't this a case where the sub is acting dominant?\Nope! It's the begging for it type dom.\I can't believe you're using phrases that I don't know!\Begging for it type dom? response:	Begging for it type dom means-
context: Why do you have to study that?!\Your soul has been defiled!\What's wrong? It's my freedom to do so.\Isn't this a case where the sub is acting dominant?\Nope! It's the begging for it type dom.\I can't believe you're using phrases that I don't know!\Begging for it type dom?\Begging for it type dom means- response:	No! You can't teach her that!
context: Your soul has been defiled!\What's wrong? It's my freedom to do so.\Isn't this a case where the sub is acting dominant?\Nope! It's the begging for it type dom.\I can't believe you're using phrases that I don't know!\Begging for it type dom?\Begging for it type dom means-\No! You can't teach her that! response:	Actually, I want to know what it means too.
context: What's wrong? It's my freedom to do so.\Isn't this a case where the sub is acting dominant?\Nope! It's the begging for it type dom.\I can't believe you're using phrases that I don't know!\Begging for it type dom?\Begging for it type dom means-\No! You can't teach her that!\Actually, I want to know what it means too. response:	What's with you, Akiba?
context: Isn't this a case where the sub is acting dominant?\Nope! It's the begging for it type dom.\I can't believe you're using phrases that I don't know!\Begging for it type dom?\Begging for it type dom means-\No! You can't teach her that!\Actually, I want to know what it means too.\What's with you, Akiba? response:	Stop trying to be clean all alone.
context: Nope! It's the begging for it type dom.\I can't believe you're using phrases that I don't know!\Begging for it type dom?\Begging for it type dom means-\No! You can't teach her that!\Actually, I want to know what it means too.\What's with you, Akiba?\Stop trying to be clean all alone. response:	This!
context: I can't believe you're using phrases that I don't know!\Begging for it type dom?\Begging for it type dom means-\No! You can't teach her that!\Actually, I want to know what it means too.\What's with you, Akiba?\Stop trying to be clean all alone.\This! response:	Hey, doing that without my permission?!
context: Begging for it type dom?\Begging for it type dom means-\No! You can't teach her that!\Actually, I want to know what it means too.\What's with you, Akiba?\Stop trying to be clean all alone.\This!\Hey, doing that without my permission?! response:	What's this?
context: Begging for it type dom means-\No! You can't teach her that!\Actually, I want to know what it means too.\What's with you, Akiba?\Stop trying to be clean all alone.\This!\Hey, doing that without my permission?!\What's this? response:	How shameless of you to bring something like this to school.
context: No! You can't teach her that!\Actually, I want to know what it means too.\What's with you, Akiba?\Stop trying to be clean all alone.\This!\Hey, doing that without my permission?!\What's this?\How shameless of you to bring something like this to school. response:	No, it's for reference!
context: Actually, I want to know what it means too.\What's with you, Akiba?\Stop trying to be clean all alone.\This!\Hey, doing that without my permission?!\What's this?\How shameless of you to bring something like this to school.\No, it's for reference! response:	That's all!
context: What's with you, Akiba?\Stop trying to be clean all alone.\This!\Hey, doing that without my permission?!\What's this?\How shameless of you to bring something like this to school.\No, it's for reference!\That's all! response:	Oh my, what a variety of genres...
context: Stop trying to be clean all alone.\This!\Hey, doing that without my permission?!\What's this?\How shameless of you to bring something like this to school.\No, it's for reference!\That's all!\Oh my, what a variety of genres... response:	Even those targeted at females.
context: This!\Hey, doing that without my permission?!\What's this?\How shameless of you to bring something like this to school.\No, it's for reference!\That's all!\Oh my, what a variety of genres...\Even those targeted at females. response:	Pretty hardcore.
context: Hey, doing that without my permission?!\What's this?\How shameless of you to bring something like this to school.\No, it's for reference!\That's all!\Oh my, what a variety of genres...\Even those targeted at females.\Pretty hardcore. response:	You've got it wrong!
context: What's this?\How shameless of you to bring something like this to school.\No, it's for reference!\That's all!\Oh my, what a variety of genres...\Even those targeted at females.\Pretty hardcore.\You've got it wrong! response:	I'm a person who checks out any artist who draws well regardless of genre!
context: How shameless of you to bring something like this to school.\No, it's for reference!\That's all!\Oh my, what a variety of genres...\Even those targeted at females.\Pretty hardcore.\You've got it wrong!\I'm a person who checks out any artist who draws well regardless of genre! response:	What are these? Comics?
context: No, it's for reference!\That's all!\Oh my, what a variety of genres...\Even those targeted at females.\Pretty hardcore.\You've got it wrong!\I'm a person who checks out any artist who draws well regardless of genre!\What are these? Comics? response:	Tsugumi-chan, why don't you read them?
context: That's all!\Oh my, what a variety of genres...\Even those targeted at females.\Pretty hardcore.\You've got it wrong!\I'm a person who checks out any artist who draws well regardless of genre!\What are these? Comics?\Tsugumi-chan, why don't you read them? response:	Hey, wait!
context: Oh my, what a variety of genres...\Even those targeted at females.\Pretty hardcore.\You've got it wrong!\I'm a person who checks out any artist who draws well regardless of genre!\What are these? Comics?\Tsugumi-chan, why don't you read them?\Hey, wait! response:	Stop!
context: Even those targeted at females.\Pretty hardcore.\You've got it wrong!\I'm a person who checks out any artist who draws well regardless of genre!\What are these? Comics?\Tsugumi-chan, why don't you read them?\Hey, wait!\Stop! response:	Wow, the artwork is beautiful.
context: Pretty hardcore.\You've got it wrong!\I'm a person who checks out any artist who draws well regardless of genre!\What are these? Comics?\Tsugumi-chan, why don't you read them?\Hey, wait!\Stop!\Wow, the artwork is beautiful. response:	Do they sell these in bookstores?
context: You've got it wrong!\I'm a person who checks out any artist who draws well regardless of genre!\What are these? Comics?\Tsugumi-chan, why don't you read them?\Hey, wait!\Stop!\Wow, the artwork is beautiful.\Do they sell these in bookstores? response:	These are self-published books.
context: I'm a person who checks out any artist who draws well regardless of genre!\What are these? Comics?\Tsugumi-chan, why don't you read them?\Hey, wait!\Stop!\Wow, the artwork is beautiful.\Do they sell these in bookstores?\These are self-published books. response:	This is no good, Senpai! You can't read this!
context: What are these? Comics?\Tsugumi-chan, why don't you read them?\Hey, wait!\Stop!\Wow, the artwork is beautiful.\Do they sell these in bookstores?\These are self-published books.\This is no good, Senpai! You can't read this! response:	So cute.
context: Tsugumi-chan, why don't you read them?\Hey, wait!\Stop!\Wow, the artwork is beautiful.\Do they sell these in bookstores?\These are self-published books.\This is no good, Senpai! You can't read this!\So cute. response:	Let... let me read those for a bit.
context: Hey, wait!\Stop!\Wow, the artwork is beautiful.\Do they sell these in bookstores?\These are self-published books.\This is no good, Senpai! You can't read this!\So cute.\Let... let me read those for a bit. response:	I can't face Mikuriya anymore!
context: Stop!\Wow, the artwork is beautiful.\Do they sell these in bookstores?\These are self-published books.\This is no good, Senpai! You can't read this!\So cute.\Let... let me read those for a bit.\I can't face Mikuriya anymore! response:	Sorry, I haven't been making sure that things don't go wrong!
context: Wow, the artwork is beautiful.\Do they sell these in bookstores?\These are self-published books.\This is no good, Senpai! You can't read this!\So cute.\Let... let me read those for a bit.\I can't face Mikuriya anymore!\Sorry, I haven't been making sure that things don't go wrong! response:	So, have you got the gist of dom and sub?
context: Do they sell these in bookstores?\These are self-published books.\This is no good, Senpai! You can't read this!\So cute.\Let... let me read those for a bit.\I can't face Mikuriya anymore!\Sorry, I haven't been making sure that things don't go wrong!\So, have you got the gist of dom and sub? response:	Yeah... more or less.
context: These are self-published books.\This is no good, Senpai! You can't read this!\So cute.\Let... let me read those for a bit.\I can't face Mikuriya anymore!\Sorry, I haven't been making sure that things don't go wrong!\So, have you got the gist of dom and sub?\Yeah... more or less. response:	Actually, it's clear as day.
context: This is no good, Senpai! You can't read this!\So cute.\Let... let me read those for a bit.\I can't face Mikuriya anymore!\Sorry, I haven't been making sure that things don't go wrong!\So, have you got the gist of dom and sub?\Yeah... more or less.\Actually, it's clear as day. response:	Even so...
context: So cute.\Let... let me read those for a bit.\I can't face Mikuriya anymore!\Sorry, I haven't been making sure that things don't go wrong!\So, have you got the gist of dom and sub?\Yeah... more or less.\Actually, it's clear as day.\Even so... response:	It's wrong to look at Jin that way!
context: Let... let me read those for a bit.\I can't face Mikuriya anymore!\Sorry, I haven't been making sure that things don't go wrong!\So, have you got the gist of dom and sub?\Yeah... more or less.\Actually, it's clear as day.\Even so...\It's wrong to look at Jin that way! response:	As a person...
context: I can't face Mikuriya anymore!\Sorry, I haven't been making sure that things don't go wrong!\So, have you got the gist of dom and sub?\Yeah... more or less.\Actually, it's clear as day.\Even so...\It's wrong to look at Jin that way!\As a person... response:	But...
context: Sorry, I haven't been making sure that things don't go wrong!\So, have you got the gist of dom and sub?\Yeah... more or less.\Actually, it's clear as day.\Even so...\It's wrong to look at Jin that way!\As a person...\But... response:	Can you say for certain that there's nothing between them?
context: So, have you got the gist of dom and sub?\Yeah... more or less.\Actually, it's clear as day.\Even so...\It's wrong to look at Jin that way!\As a person...\But...\Can you say for certain that there's nothing between them? response:	Their closeness is not to be trifled with.
context: Yeah... more or less.\Actually, it's clear as day.\Even so...\It's wrong to look at Jin that way!\As a person...\But...\Can you say for certain that there's nothing between them?\Their closeness is not to be trifled with. response:	We're talking about Mikuriya who can't handle girls.
context: Actually, it's clear as day.\Even so...\It's wrong to look at Jin that way!\As a person...\But...\Can you say for certain that there's nothing between them?\Their closeness is not to be trifled with.\We're talking about Mikuriya who can't handle girls. response:	The insecurity of his adolescent heart might mess up his ideas of admiration and friendship,
context: Even so...\It's wrong to look at Jin that way!\As a person...\But...\Can you say for certain that there's nothing between them?\Their closeness is not to be trifled with.\We're talking about Mikuriya who can't handle girls.\The insecurity of his adolescent heart might mess up his ideas of admiration and friendship, response:	and make him awaken!
context: It's wrong to look at Jin that way!\As a person...\But...\Can you say for certain that there's nothing between them?\Their closeness is not to be trifled with.\We're talking about Mikuriya who can't handle girls.\The insecurity of his adolescent heart might mess up his ideas of admiration and friendship,\and make him awaken! response:	No way...
context: As a person...\But...\Can you say for certain that there's nothing between them?\Their closeness is not to be trifled with.\We're talking about Mikuriya who can't handle girls.\The insecurity of his adolescent heart might mess up his ideas of admiration and friendship,\and make him awaken!\No way... response:	That can't be... Impossible...
context: But...\Can you say for certain that there's nothing between them?\Their closeness is not to be trifled with.\We're talking about Mikuriya who can't handle girls.\The insecurity of his adolescent heart might mess up his ideas of admiration and friendship,\and make him awaken!\No way...\That can't be... Impossible... response:	You and Daitetsu-kun really get along well.
context: Can you say for certain that there's nothing between them?\Their closeness is not to be trifled with.\We're talking about Mikuriya who can't handle girls.\The insecurity of his adolescent heart might mess up his ideas of admiration and friendship,\and make him awaken!\No way...\That can't be... Impossible...\You and Daitetsu-kun really get along well. response:	What do you like about Daitetsu-kun?
context: Their closeness is not to be trifled with.\We're talking about Mikuriya who can't handle girls.\The insecurity of his adolescent heart might mess up his ideas of admiration and friendship,\and make him awaken!\No way...\That can't be... Impossible...\You and Daitetsu-kun really get along well.\What do you like about Daitetsu-kun? response:	What do I like about him?
context: We're talking about Mikuriya who can't handle girls.\The insecurity of his adolescent heart might mess up his ideas of admiration and friendship,\and make him awaken!\No way...\That can't be... Impossible...\You and Daitetsu-kun really get along well.\What do you like about Daitetsu-kun?\What do I like about him? response:	He has many qualities that I don't have.
context: The insecurity of his adolescent heart might mess up his ideas of admiration and friendship,\and make him awaken!\No way...\That can't be... Impossible...\You and Daitetsu-kun really get along well.\What do you like about Daitetsu-kun?\What do I like about him?\He has many qualities that I don't have. response:	If anything...
context: and make him awaken!\No way...\That can't be... Impossible...\You and Daitetsu-kun really get along well.\What do you like about Daitetsu-kun?\What do I like about him?\He has many qualities that I don't have.\If anything... response:	His body, perhaps?
context: No way...\That can't be... Impossible...\You and Daitetsu-kun really get along well.\What do you like about Daitetsu-kun?\What do I like about him?\He has many qualities that I don't have.\If anything...\His body, perhaps? response:	That?
context: That can't be... Impossible...\You and Daitetsu-kun really get along well.\What do you like about Daitetsu-kun?\What do I like about him?\He has many qualities that I don't have.\If anything...\His body, perhaps?\That? response:	So something does come to mind!
context: You and Daitetsu-kun really get along well.\What do you like about Daitetsu-kun?\What do I like about him?\He has many qualities that I don't have.\If anything...\His body, perhaps?\That?\So something does come to mind! response:	Since it's the opinion of a childhood friend, it must be true!
context: What do you like about Daitetsu-kun?\What do I like about him?\He has many qualities that I don't have.\If anything...\His body, perhaps?\That?\So something does come to mind!\Since it's the opinion of a childhood friend, it must be true! response:	No, nothing comes to mind!
context: What do I like about him?\He has many qualities that I don't have.\If anything...\His body, perhaps?\That?\So something does come to mind!\Since it's the opinion of a childhood friend, it must be true!\No, nothing comes to mind! response:	There's no way Jin would be interested in a man's body-
context: He has many qualities that I don't have.\If anything...\His body, perhaps?\That?\So something does come to mind!\Since it's the opinion of a childhood friend, it must be true!\No, nothing comes to mind!\There's no way Jin would be interested in a man's body- response:	I'll go ask Jin in person!
context: If anything...\His body, perhaps?\That?\So something does come to mind!\Since it's the opinion of a childhood friend, it must be true!\No, nothing comes to mind!\There's no way Jin would be interested in a man's body-\I'll go ask Jin in person! response:	W-Wait a minute, Tsugumi-chan, are you really going to ask him?
context: His body, perhaps?\That?\So something does come to mind!\Since it's the opinion of a childhood friend, it must be true!\No, nothing comes to mind!\There's no way Jin would be interested in a man's body-\I'll go ask Jin in person!\W-Wait a minute, Tsugumi-chan, are you really going to ask him? response:	Whether Daidetsu-kun and him are...
context: That?\So something does come to mind!\Since it's the opinion of a childhood friend, it must be true!\No, nothing comes to mind!\There's no way Jin would be interested in a man's body-\I'll go ask Jin in person!\W-Wait a minute, Tsugumi-chan, are you really going to ask him?\Whether Daidetsu-kun and him are... response:	How can I ask him?!
context: So something does come to mind!\Since it's the opinion of a childhood friend, it must be true!\No, nothing comes to mind!\There's no way Jin would be interested in a man's body-\I'll go ask Jin in person!\W-Wait a minute, Tsugumi-chan, are you really going to ask him?\Whether Daidetsu-kun and him are...\How can I ask him?! response:	That whether Nagi is angry because Jin and Daitetsu-kun are a homosexual couple?!
context: Since it's the opinion of a childhood friend, it must be true!\No, nothing comes to mind!\There's no way Jin would be interested in a man's body-\I'll go ask Jin in person!\W-Wait a minute, Tsugumi-chan, are you really going to ask him?\Whether Daidetsu-kun and him are...\How can I ask him?!\That whether Nagi is angry because Jin and Daitetsu-kun are a homosexual couple?! response:	Tsugumi-chan, keep your volume down.
context: No, nothing comes to mind!\There's no way Jin would be interested in a man's body-\I'll go ask Jin in person!\W-Wait a minute, Tsugumi-chan, are you really going to ask him?\Whether Daidetsu-kun and him are...\How can I ask him?!\That whether Nagi is angry because Jin and Daitetsu-kun are a homosexual couple?!\Tsugumi-chan, keep your volume down. response:	That's not right, I want to find out the reason for their quarrel...
context: There's no way Jin would be interested in a man's body-\I'll go ask Jin in person!\W-Wait a minute, Tsugumi-chan, are you really going to ask him?\Whether Daidetsu-kun and him are...\How can I ask him?!\That whether Nagi is angry because Jin and Daitetsu-kun are a homosexual couple?!\Tsugumi-chan, keep your volume down.\That's not right, I want to find out the reason for their quarrel... response:	Homo, she said?
context: I'll go ask Jin in person!\W-Wait a minute, Tsugumi-chan, are you really going to ask him?\Whether Daidetsu-kun and him are...\How can I ask him?!\That whether Nagi is angry because Jin and Daitetsu-kun are a homosexual couple?!\Tsugumi-chan, keep your volume down.\That's not right, I want to find out the reason for their quarrel...\Homo, she said? response:	Homo? With Mikuriya-kun?
context: W-Wait a minute, Tsugumi-chan, are you really going to ask him?\Whether Daidetsu-kun and him are...\How can I ask him?!\That whether Nagi is angry because Jin and Daitetsu-kun are a homosexual couple?!\Tsugumi-chan, keep your volume down.\That's not right, I want to find out the reason for their quarrel...\Homo, she said?\Homo? With Mikuriya-kun? response:	I guess this kind of stuff happens!
context: Whether Daidetsu-kun and him are...\How can I ask him?!\That whether Nagi is angry because Jin and Daitetsu-kun are a homosexual couple?!\Tsugumi-chan, keep your volume down.\That's not right, I want to find out the reason for their quarrel...\Homo, she said?\Homo? With Mikuriya-kun?\I guess this kind of stuff happens! response:	Even though they look like that...
context: How can I ask him?!\That whether Nagi is angry because Jin and Daitetsu-kun are a homosexual couple?!\Tsugumi-chan, keep your volume down.\That's not right, I want to find out the reason for their quarrel...\Homo, she said?\Homo? With Mikuriya-kun?\I guess this kind of stuff happens!\Even though they look like that... response:	I don't want to think about it.
context: That whether Nagi is angry because Jin and Daitetsu-kun are a homosexual couple?!\Tsugumi-chan, keep your volume down.\That's not right, I want to find out the reason for their quarrel...\Homo, she said?\Homo? With Mikuriya-kun?\I guess this kind of stuff happens!\Even though they look like that...\I don't want to think about it. response:	Morning. We're really in the rainy season.
context: Tsugumi-chan, keep your volume down.\That's not right, I want to find out the reason for their quarrel...\Homo, she said?\Homo? With Mikuriya-kun?\I guess this kind of stuff happens!\Even though they look like that...\I don't want to think about it.\Morning. We're really in the rainy season. response:	G-Good morning, Mikuriya!
context: That's not right, I want to find out the reason for their quarrel...\Homo, she said?\Homo? With Mikuriya-kun?\I guess this kind of stuff happens!\Even though they look like that...\I don't want to think about it.\Morning. We're really in the rainy season.\G-Good morning, Mikuriya! response:	It's the source of the rumor!
context: Homo, she said?\Homo? With Mikuriya-kun?\I guess this kind of stuff happens!\Even though they look like that...\I don't want to think about it.\Morning. We're really in the rainy season.\G-Good morning, Mikuriya!\It's the source of the rumor! response:	Mikuriya-kun is...
context: Homo? With Mikuriya-kun?\I guess this kind of stuff happens!\Even though they look like that...\I don't want to think about it.\Morning. We're really in the rainy season.\G-Good morning, Mikuriya!\It's the source of the rumor!\Mikuriya-kun is... response:	Everyone seems to be acting strangely.
context: I guess this kind of stuff happens!\Even though they look like that...\I don't want to think about it.\Morning. We're really in the rainy season.\G-Good morning, Mikuriya!\It's the source of the rumor!\Mikuriya-kun is...\Everyone seems to be acting strangely. response:	They're cold towards me...
context: Even though they look like that...\I don't want to think about it.\Morning. We're really in the rainy season.\G-Good morning, Mikuriya!\It's the source of the rumor!\Mikuriya-kun is...\Everyone seems to be acting strangely.\They're cold towards me... response:	Has Nagi done something again?
context: I don't want to think about it.\Morning. We're really in the rainy season.\G-Good morning, Mikuriya!\It's the source of the rumor!\Mikuriya-kun is...\Everyone seems to be acting strangely.\They're cold towards me...\Has Nagi done something again? response:	She's always up to something when I'm not looking.
context: Morning. We're really in the rainy season.\G-Good morning, Mikuriya!\It's the source of the rumor!\Mikuriya-kun is...\Everyone seems to be acting strangely.\They're cold towards me...\Has Nagi done something again?\She's always up to something when I'm not looking. response:	Her aura isn't normal. As I thought, she's...
context: G-Good morning, Mikuriya!\It's the source of the rumor!\Mikuriya-kun is...\Everyone seems to be acting strangely.\They're cold towards me...\Has Nagi done something again?\She's always up to something when I'm not looking.\Her aura isn't normal. As I thought, she's... response:	Excuse me, but I don't swing that way!
context: It's the source of the rumor!\Mikuriya-kun is...\Everyone seems to be acting strangely.\They're cold towards me...\Has Nagi done something again?\She's always up to something when I'm not looking.\Her aura isn't normal. As I thought, she's...\Excuse me, but I don't swing that way! response:	Woah, so it's true!
context: Mikuriya-kun is...\Everyone seems to be acting strangely.\They're cold towards me...\Has Nagi done something again?\She's always up to something when I'm not looking.\Her aura isn't normal. As I thought, she's...\Excuse me, but I don't swing that way!\Woah, so it's true! response:	I heard he's quiet, but skillful!
context: Everyone seems to be acting strangely.\They're cold towards me...\Has Nagi done something again?\She's always up to something when I'm not looking.\Her aura isn't normal. As I thought, she's...\Excuse me, but I don't swing that way!\Woah, so it's true!\I heard he's quiet, but skillful! response:	And he has a beast hidden within!
context: They're cold towards me...\Has Nagi done something again?\She's always up to something when I'm not looking.\Her aura isn't normal. As I thought, she's...\Excuse me, but I don't swing that way!\Woah, so it's true!\I heard he's quiet, but skillful!\And he has a beast hidden within! response:	How did things end up like this?
context: Has Nagi done something again?\She's always up to something when I'm not looking.\Her aura isn't normal. As I thought, she's...\Excuse me, but I don't swing that way!\Woah, so it's true!\I heard he's quiet, but skillful!\And he has a beast hidden within!\How did things end up like this? response:	It's all my fault!
context: She's always up to something when I'm not looking.\Her aura isn't normal. As I thought, she's...\Excuse me, but I don't swing that way!\Woah, so it's true!\I heard he's quiet, but skillful!\And he has a beast hidden within!\How did things end up like this?\It's all my fault! response:	Your mind's so full of Jin-kun.
context: Her aura isn't normal. As I thought, she's...\Excuse me, but I don't swing that way!\Woah, so it's true!\I heard he's quiet, but skillful!\And he has a beast hidden within!\How did things end up like this?\It's all my fault!\Your mind's so full of Jin-kun. response:	That's right, let me bring you to a good place.
context: Excuse me, but I don't swing that way!\Woah, so it's true!\I heard he's quiet, but skillful!\And he has a beast hidden within!\How did things end up like this?\It's all my fault!\Your mind's so full of Jin-kun.\That's right, let me bring you to a good place. response:	It's the perfect place for you right now!
context: Woah, so it's true!\I heard he's quiet, but skillful!\And he has a beast hidden within!\How did things end up like this?\It's all my fault!\Your mind's so full of Jin-kun.\That's right, let me bring you to a good place.\It's the perfect place for you right now! response:	The perfect place?
context: I heard he's quiet, but skillful!\And he has a beast hidden within!\How did things end up like this?\It's all my fault!\Your mind's so full of Jin-kun.\That's right, let me bring you to a good place.\It's the perfect place for you right now!\The perfect place? response:	There.
context: And he has a beast hidden within!\How did things end up like this?\It's all my fault!\Your mind's so full of Jin-kun.\That's right, let me bring you to a good place.\It's the perfect place for you right now!\The perfect place?\There. response:	Oh.
context: How did things end up like this?\It's all my fault!\Your mind's so full of Jin-kun.\That's right, let me bring you to a good place.\It's the perfect place for you right now!\The perfect place?\There.\Oh. response:	A customer I don't see often.
context: It's all my fault!\Your mind's so full of Jin-kun.\That's right, let me bring you to a good place.\It's the perfect place for you right now!\The perfect place?\There.\Oh.\A customer I don't see often. response:	I'll get going then.
context: Your mind's so full of Jin-kun.\That's right, let me bring you to a good place.\It's the perfect place for you right now!\The perfect place?\There.\Oh.\A customer I don't see often.\I'll get going then. response:	Eh?! W-
context: That's right, let me bring you to a good place.\It's the perfect place for you right now!\The perfect place?\There.\Oh.\A customer I don't see often.\I'll get going then.\Eh?! W- response:	I finally got released from my part-time job.
context: It's the perfect place for you right now!\The perfect place?\There.\Oh.\A customer I don't see often.\I'll get going then.\Eh?! W-\I finally got released from my part-time job. response:	I was looking forward to listening to confessions again, but all I get is this rainy sky.
context: The perfect place?\There.\Oh.\A customer I don't see often.\I'll get going then.\Eh?! W-\I finally got released from my part-time job.\I was looking forward to listening to confessions again, but all I get is this rainy sky. response:	I was troubled by the lack of customers.
context: There.\Oh.\A customer I don't see often.\I'll get going then.\Eh?! W-\I finally got released from my part-time job.\I was looking forward to listening to confessions again, but all I get is this rainy sky.\I was troubled by the lack of customers. response:	Come, confess your sins!
