context: Magnolia, X791. response:	After returning from Tenroujima,
context: What's this?\Purple sticky flames, like my dad.\And weird smelling yellow flames, too.\That reeks!\That's impressive.\Looks like you've got more of a range than your old man...\Where have I seen that magic before?\Aye... response:	Don't tell my dad, but I've been going to Totomaru-sensei's magic class.
context: Purple sticky flames, like my dad.\And weird smelling yellow flames, too.\That reeks!\That's impressive.\Looks like you've got more of a range than your old man...\Where have I seen that magic before?\Aye...\Don't tell my dad, but I've been going to Totomaru-sensei's magic class. response:	Is that what he's been up to?
context: And weird smelling yellow flames, too.\That reeks!\That's impressive.\Looks like you've got more of a range than your old man...\Where have I seen that magic before?\Aye...\Don't tell my dad, but I've been going to Totomaru-sensei's magic class.\Is that what he's been up to? response:	That's unusual. He looks happy...
context: That reeks!\That's impressive.\Looks like you've got more of a range than your old man...\Where have I seen that magic before?\Aye...\Don't tell my dad, but I've been going to Totomaru-sensei's magic class.\Is that what he's been up to?\That's unusual. He looks happy... response:	That brings back memories! I never did get to eat all the colors of his flames!
context: That's impressive.\Looks like you've got more of a range than your old man...\Where have I seen that magic before?\Aye...\Don't tell my dad, but I've been going to Totomaru-sensei's magic class.\Is that what he's been up to?\That's unusual. He looks happy...\That brings back memories! I never did get to eat all the colors of his flames! response:	Alright! Maybe I'll go with you next time!
context: Looks like you've got more of a range than your old man...\Where have I seen that magic before?\Aye...\Don't tell my dad, but I've been going to Totomaru-sensei's magic class.\Is that what he's been up to?\That's unusual. He looks happy...\That brings back memories! I never did get to eat all the colors of his flames!\Alright! Maybe I'll go with you next time! response:	Sorry. Natsu-nii, you're a taboo subject.
context: Where have I seen that magic before?\Aye...\Don't tell my dad, but I've been going to Totomaru-sensei's magic class.\Is that what he's been up to?\That's unusual. He looks happy...\That brings back memories! I never did get to eat all the colors of his flames!\Alright! Maybe I'll go with you next time!\Sorry. Natsu-nii, you're a taboo subject. response:	I would think...
context: Aye...\Don't tell my dad, but I've been going to Totomaru-sensei's magic class.\Is that what he's been up to?\That's unusual. He looks happy...\That brings back memories! I never did get to eat all the colors of his flames!\Alright! Maybe I'll go with you next time!\Sorry. Natsu-nii, you're a taboo subject.\I would think... response:	To think, you'd become the fourth Fairy Tail Master...
context: Don't tell my dad, but I've been going to Totomaru-sensei's magic class.\Is that what he's been up to?\That's unusual. He looks happy...\That brings back memories! I never did get to eat all the colors of his flames!\Alright! Maybe I'll go with you next time!\Sorry. Natsu-nii, you're a taboo subject.\I would think...\To think, you'd become the fourth Fairy Tail Master... response:	What are you talking about?
context: Is that what he's been up to?\That's unusual. He looks happy...\That brings back memories! I never did get to eat all the colors of his flames!\Alright! Maybe I'll go with you next time!\Sorry. Natsu-nii, you're a taboo subject.\I would think...\To think, you'd become the fourth Fairy Tail Master...\What are you talking about? response:	I was only, like, standing in for you.
context: That's unusual. He looks happy...\That brings back memories! I never did get to eat all the colors of his flames!\Alright! Maybe I'll go with you next time!\Sorry. Natsu-nii, you're a taboo subject.\I would think...\To think, you'd become the fourth Fairy Tail Master...\What are you talking about?\I was only, like, standing in for you. response:	You can have the position back right away.
context: That brings back memories! I never did get to eat all the colors of his flames!\Alright! Maybe I'll go with you next time!\Sorry. Natsu-nii, you're a taboo subject.\I would think...\To think, you'd become the fourth Fairy Tail Master...\What are you talking about?\I was only, like, standing in for you.\You can have the position back right away. response:	Nah... It's more amusing this way, so keep going for the time being.
context: Alright! Maybe I'll go with you next time!\Sorry. Natsu-nii, you're a taboo subject.\I would think...\To think, you'd become the fourth Fairy Tail Master...\What are you talking about?\I was only, like, standing in for you.\You can have the position back right away.\Nah... It's more amusing this way, so keep going for the time being. response:	Seriously?!
context: Sorry. Natsu-nii, you're a taboo subject.\I would think...\To think, you'd become the fourth Fairy Tail Master...\What are you talking about?\I was only, like, standing in for you.\You can have the position back right away.\Nah... It's more amusing this way, so keep going for the time being.\Seriously?! response:	The 1st Master, Mavis.
context: I would think...\To think, you'd become the fourth Fairy Tail Master...\What are you talking about?\I was only, like, standing in for you.\You can have the position back right away.\Nah... It's more amusing this way, so keep going for the time being.\Seriously?!\The 1st Master, Mavis. response:	The 2nd Master, Purehito.
context: To think, you'd become the fourth Fairy Tail Master...\What are you talking about?\I was only, like, standing in for you.\You can have the position back right away.\Nah... It's more amusing this way, so keep going for the time being.\Seriously?!\The 1st Master, Mavis.\The 2nd Master, Purehito. response:	The 3rd Master, Makarov.
context: What are you talking about?\I was only, like, standing in for you.\You can have the position back right away.\Nah... It's more amusing this way, so keep going for the time being.\Seriously?!\The 1st Master, Mavis.\The 2nd Master, Purehito.\The 3rd Master, Makarov. response:	The 4th Master, Ma-ca-o...
context: I was only, like, standing in for you.\You can have the position back right away.\Nah... It's more amusing this way, so keep going for the time being.\Seriously?!\The 1st Master, Mavis.\The 2nd Master, Purehito.\The 3rd Master, Makarov.\The 4th Master, Ma-ca-o... response:	If that's what the previous Master decrees, then I'll continue for a while...
context: You can have the position back right away.\Nah... It's more amusing this way, so keep going for the time being.\Seriously?!\The 1st Master, Mavis.\The 2nd Master, Purehito.\The 3rd Master, Makarov.\The 4th Master, Ma-ca-o...\If that's what the previous Master decrees, then I'll continue for a while... response:	I've got this indescribable feeling of disappointment...
context: Nah... It's more amusing this way, so keep going for the time being.\Seriously?!\The 1st Master, Mavis.\The 2nd Master, Purehito.\The 3rd Master, Makarov.\The 4th Master, Ma-ca-o...\If that's what the previous Master decrees, then I'll continue for a while...\I've got this indescribable feeling of disappointment... response:	Right?
context: Seriously?!\The 1st Master, Mavis.\The 2nd Master, Purehito.\The 3rd Master, Makarov.\The 4th Master, Ma-ca-o...\If that's what the previous Master decrees, then I'll continue for a while...\I've got this indescribable feeling of disappointment...\Right? response:	What?!
context: The 1st Master, Mavis.\The 2nd Master, Purehito.\The 3rd Master, Makarov.\The 4th Master, Ma-ca-o...\If that's what the previous Master decrees, then I'll continue for a while...\I've got this indescribable feeling of disappointment...\Right?\What?! response:	Y-Y-You guys got married?!
context: The 2nd Master, Purehito.\The 3rd Master, Makarov.\The 4th Master, Ma-ca-o...\If that's what the previous Master decrees, then I'll continue for a while...\I've got this indescribable feeling of disappointment...\Right?\What?!\Y-Y-You guys got married?! response:	Six years ago.
context: The 3rd Master, Makarov.\The 4th Master, Ma-ca-o...\If that's what the previous Master decrees, then I'll continue for a while...\I've got this indescribable feeling of disappointment...\Right?\What?!\Y-Y-You guys got married?!\Six years ago. response:	Listen to this, Erza-san!
context: The 4th Master, Ma-ca-o...\If that's what the previous Master decrees, then I'll continue for a while...\I've got this indescribable feeling of disappointment...\Right?\What?!\Y-Y-You guys got married?!\Six years ago.\Listen to this, Erza-san! response:	I'm the one who proposed!
context: If that's what the previous Master decrees, then I'll continue for a while...\I've got this indescribable feeling of disappointment...\Right?\What?!\Y-Y-You guys got married?!\Six years ago.\Listen to this, Erza-san!\I'm the one who proposed! response:	You should've seen Al...
context: I've got this indescribable feeling of disappointment...\Right?\What?!\Y-Y-You guys got married?!\Six years ago.\Listen to this, Erza-san!\I'm the one who proposed!\You should've seen Al... response:	We don't need to bring that up!
context: Right?\What?!\Y-Y-You guys got married?!\Six years ago.\Listen to this, Erza-san!\I'm the one who proposed!\You should've seen Al...\We don't need to bring that up! response:	C-Congratulations!
context: What?!\Y-Y-You guys got married?!\Six years ago.\Listen to this, Erza-san!\I'm the one who proposed!\You should've seen Al...\We don't need to bring that up!\C-Congratulations! response:	Incompetent as I am, I hope you'll think well of me!
context: Y-Y-You guys got married?!\Six years ago.\Listen to this, Erza-san!\I'm the one who proposed!\You should've seen Al...\We don't need to bring that up!\C-Congratulations!\Incompetent as I am, I hope you'll think well of me! response:	Somebody, stop her!
context: Six years ago.\Listen to this, Erza-san!\I'm the one who proposed!\You should've seen Al...\We don't need to bring that up!\C-Congratulations!\Incompetent as I am, I hope you'll think well of me!\Somebody, stop her! response:	What's Erza talking about?
context: Listen to this, Erza-san!\I'm the one who proposed!\You should've seen Al...\We don't need to bring that up!\C-Congratulations!\Incompetent as I am, I hope you'll think well of me!\Somebody, stop her!\What's Erza talking about? response:	She's mixing up their lives with hers.
context: I'm the one who proposed!\You should've seen Al...\We don't need to bring that up!\C-Congratulations!\Incompetent as I am, I hope you'll think well of me!\Somebody, stop her!\What's Erza talking about?\She's mixing up their lives with hers. response:	That's wonderful! Do you have any children?
context: You should've seen Al...\We don't need to bring that up!\C-Congratulations!\Incompetent as I am, I hope you'll think well of me!\Somebody, stop her!\What's Erza talking about?\She's mixing up their lives with hers.\That's wonderful! Do you have any children? response:	One daughter.
context: We don't need to bring that up!\C-Congratulations!\Incompetent as I am, I hope you'll think well of me!\Somebody, stop her!\What's Erza talking about?\She's mixing up their lives with hers.\That's wonderful! Do you have any children?\One daughter. response:	Her name is Asuka.
context: C-Congratulations!\Incompetent as I am, I hope you'll think well of me!\Somebody, stop her!\What's Erza talking about?\She's mixing up their lives with hers.\That's wonderful! Do you have any children?\One daughter.\Her name is Asuka. response:	Um... Reedus-san, this...
context: Incompetent as I am, I hope you'll think well of me!\Somebody, stop her!\What's Erza talking about?\She's mixing up their lives with hers.\That's wonderful! Do you have any children?\One daughter.\Her name is Asuka.\Um... Reedus-san, this... response:	Oui. I drew how I pictured you grown up after seven years, Wendy.
context: Somebody, stop her!\What's Erza talking about?\She's mixing up their lives with hers.\That's wonderful! Do you have any children?\One daughter.\Her name is Asuka.\Um... Reedus-san, this...\Oui. I drew how I pictured you grown up after seven years, Wendy. response:	My chest is...
context: What's Erza talking about?\She's mixing up their lives with hers.\That's wonderful! Do you have any children?\One daughter.\Her name is Asuka.\Um... Reedus-san, this...\Oui. I drew how I pictured you grown up after seven years, Wendy.\My chest is... response:	Hm? Did you say something?
context: She's mixing up their lives with hers.\That's wonderful! Do you have any children?\One daughter.\Her name is Asuka.\Um... Reedus-san, this...\Oui. I drew how I pictured you grown up after seven years, Wendy.\My chest is...\Hm? Did you say something? response:	This... is disturbing.
context: That's wonderful! Do you have any children?\One daughter.\Her name is Asuka.\Um... Reedus-san, this...\Oui. I drew how I pictured you grown up after seven years, Wendy.\My chest is...\Hm? Did you say something?\This... is disturbing. response:	Why am I wearing a loincloth?
context: One daughter.\Her name is Asuka.\Um... Reedus-san, this...\Oui. I drew how I pictured you grown up after seven years, Wendy.\My chest is...\Hm? Did you say something?\This... is disturbing.\Why am I wearing a loincloth? response:	That reminds me, the Exceed...
context: Her name is Asuka.\Um... Reedus-san, this...\Oui. I drew how I pictured you grown up after seven years, Wendy.\My chest is...\Hm? Did you say something?\This... is disturbing.\Why am I wearing a loincloth?\That reminds me, the Exceed... response:	I wonder if they've been worrying about us these seven years...
context: Um... Reedus-san, this...\Oui. I drew how I pictured you grown up after seven years, Wendy.\My chest is...\Hm? Did you say something?\This... is disturbing.\Why am I wearing a loincloth?\That reminds me, the Exceed...\I wonder if they've been worrying about us these seven years... response:	No. Exceed have a different sense of time than humans.
context: Oui. I drew how I pictured you grown up after seven years, Wendy.\My chest is...\Hm? Did you say something?\This... is disturbing.\Why am I wearing a loincloth?\That reminds me, the Exceed...\I wonder if they've been worrying about us these seven years...\No. Exceed have a different sense of time than humans. response:	Seven years probably hasn't seemed that long for them.
context: My chest is...\Hm? Did you say something?\This... is disturbing.\Why am I wearing a loincloth?\That reminds me, the Exceed...\I wonder if they've been worrying about us these seven years...\No. Exceed have a different sense of time than humans.\Seven years probably hasn't seemed that long for them. response:	I see!
context: Hm? Did you say something?\This... is disturbing.\Why am I wearing a loincloth?\That reminds me, the Exceed...\I wonder if they've been worrying about us these seven years...\No. Exceed have a different sense of time than humans.\Seven years probably hasn't seemed that long for them.\I see! response:	Well, I hope that's the case...
context: This... is disturbing.\Why am I wearing a loincloth?\That reminds me, the Exceed...\I wonder if they've been worrying about us these seven years...\No. Exceed have a different sense of time than humans.\Seven years probably hasn't seemed that long for them.\I see!\Well, I hope that's the case... response:	E-Even if I get bigger, I'm not going to get bigger there?
context: Why am I wearing a loincloth?\That reminds me, the Exceed...\I wonder if they've been worrying about us these seven years...\No. Exceed have a different sense of time than humans.\Seven years probably hasn't seemed that long for them.\I see!\Well, I hope that's the case...\E-Even if I get bigger, I'm not going to get bigger there? response:	Oui? Are you dissatisfied with my drawing?
context: That reminds me, the Exceed...\I wonder if they've been worrying about us these seven years...\No. Exceed have a different sense of time than humans.\Seven years probably hasn't seemed that long for them.\I see!\Well, I hope that's the case...\E-Even if I get bigger, I'm not going to get bigger there?\Oui? Are you dissatisfied with my drawing? response:	You've held out well these seven years, Kinana.
context: I wonder if they've been worrying about us these seven years...\No. Exceed have a different sense of time than humans.\Seven years probably hasn't seemed that long for them.\I see!\Well, I hope that's the case...\E-Even if I get bigger, I'm not going to get bigger there?\Oui? Are you dissatisfied with my drawing?\You've held out well these seven years, Kinana. response:	It's not like I've been holding out...
context: No. Exceed have a different sense of time than humans.\Seven years probably hasn't seemed that long for them.\I see!\Well, I hope that's the case...\E-Even if I get bigger, I'm not going to get bigger there?\Oui? Are you dissatisfied with my drawing?\You've held out well these seven years, Kinana.\It's not like I've been holding out... response:	Did you... remember anything about your past?
context: Seven years probably hasn't seemed that long for them.\I see!\Well, I hope that's the case...\E-Even if I get bigger, I'm not going to get bigger there?\Oui? Are you dissatisfied with my drawing?\You've held out well these seven years, Kinana.\It's not like I've been holding out...\Did you... remember anything about your past? response:	No, nothing. I don't know why...
context: I see!\Well, I hope that's the case...\E-Even if I get bigger, I'm not going to get bigger there?\Oui? Are you dissatisfied with my drawing?\You've held out well these seven years, Kinana.\It's not like I've been holding out...\Did you... remember anything about your past?\No, nothing. I don't know why... response:	But every once in a while, it's like someone whispers to me.
context: Well, I hope that's the case...\E-Even if I get bigger, I'm not going to get bigger there?\Oui? Are you dissatisfied with my drawing?\You've held out well these seven years, Kinana.\It's not like I've been holding out...\Did you... remember anything about your past?\No, nothing. I don't know why...\But every once in a while, it's like someone whispers to me. response:	Saying, Let me hear your voice.
context: E-Even if I get bigger, I'm not going to get bigger there?\Oui? Are you dissatisfied with my drawing?\You've held out well these seven years, Kinana.\It's not like I've been holding out...\Did you... remember anything about your past?\No, nothing. I don't know why...\But every once in a while, it's like someone whispers to me.\Saying, Let me hear your voice. response:	I wonder who it is...
context: Oui? Are you dissatisfied with my drawing?\You've held out well these seven years, Kinana.\It's not like I've been holding out...\Did you... remember anything about your past?\No, nothing. I don't know why...\But every once in a while, it's like someone whispers to me.\Saying, Let me hear your voice.\I wonder who it is... response:	It's a very kind voice... like it knows me from long ago...
context: You've held out well these seven years, Kinana.\It's not like I've been holding out...\Did you... remember anything about your past?\No, nothing. I don't know why...\But every once in a while, it's like someone whispers to me.\Saying, Let me hear your voice.\I wonder who it is...\It's a very kind voice... like it knows me from long ago... response:	Well, it looks like the gang's all here.
context: It's not like I've been holding out...\Did you... remember anything about your past?\No, nothing. I don't know why...\But every once in a while, it's like someone whispers to me.\Saying, Let me hear your voice.\I wonder who it is...\It's a very kind voice... like it knows me from long ago...\Well, it looks like the gang's all here. response:	Who the hell are they?
context: Did you... remember anything about your past?\No, nothing. I don't know why...\But every once in a while, it's like someone whispers to me.\Saying, Let me hear your voice.\I wonder who it is...\It's a very kind voice... like it knows me from long ago...\Well, it looks like the gang's all here.\Who the hell are they? response:	Don't tell me...
context: No, nothing. I don't know why...\But every once in a while, it's like someone whispers to me.\Saying, Let me hear your voice.\I wonder who it is...\It's a very kind voice... like it knows me from long ago...\Well, it looks like the gang's all here.\Who the hell are they?\Don't tell me... response:	Love
context: But every once in a while, it's like someone whispers to me.\Saying, Let me hear your voice.\I wonder who it is...\It's a very kind voice... like it knows me from long ago...\Well, it looks like the gang's all here.\Who the hell are they?\Don't tell me...\Love response:	Let me congratulate you with love on your homecoming, everyone!
context: Saying, Let me hear your voice.\I wonder who it is...\It's a very kind voice... like it knows me from long ago...\Well, it looks like the gang's all here.\Who the hell are they?\Don't tell me...\Love\Let me congratulate you with love on your homecoming, everyone! response:	Are you all safe and sound?
context: I wonder who it is...\It's a very kind voice... like it knows me from long ago...\Well, it looks like the gang's all here.\Who the hell are they?\Don't tell me...\Love\Let me congratulate you with love on your homecoming, everyone!\Are you all safe and sound? response:	They may not have aged in seven years, but still...
context: It's a very kind voice... like it knows me from long ago...\Well, it looks like the gang's all here.\Who the hell are they?\Don't tell me...\Love\Let me congratulate you with love on your homecoming, everyone!\Are you all safe and sound?\They may not have aged in seven years, but still... response:	Are you gonna go back to being a boisterous guild?
context: Well, it looks like the gang's all here.\Who the hell are they?\Don't tell me...\Love\Let me congratulate you with love on your homecoming, everyone!\Are you all safe and sound?\They may not have aged in seven years, but still...\Are you gonna go back to being a boisterous guild? response:	You're...
context: Who the hell are they?\Don't tell me...\Love\Let me congratulate you with love on your homecoming, everyone!\Are you all safe and sound?\They may not have aged in seven years, but still...\Are you gonna go back to being a boisterous guild?\You're... response:	Lamia Scale!
context: Don't tell me...\Love\Let me congratulate you with love on your homecoming, everyone!\Are you all safe and sound?\They may not have aged in seven years, but still...\Are you gonna go back to being a boisterous guild?\You're...\Lamia Scale! response:	Pegasus and Lamia were both a big help in the search for Tenroujima.
context: Love\Let me congratulate you with love on your homecoming, everyone!\Are you all safe and sound?\They may not have aged in seven years, but still...\Are you gonna go back to being a boisterous guild?\You're...\Lamia Scale!\Pegasus and Lamia were both a big help in the search for Tenroujima. response:	Oh, really?
context: Let me congratulate you with love on your homecoming, everyone!\Are you all safe and sound?\They may not have aged in seven years, but still...\Are you gonna go back to being a boisterous guild?\You're...\Lamia Scale!\Pegasus and Lamia were both a big help in the search for Tenroujima.\Oh, really? response:	I guess we're in their debt now...
context: Are you all safe and sound?\They may not have aged in seven years, but still...\Are you gonna go back to being a boisterous guild?\You're...\Lamia Scale!\Pegasus and Lamia were both a big help in the search for Tenroujima.\Oh, really?\I guess we're in their debt now... response:	Don't worry about it.
context: They may not have aged in seven years, but still...\Are you gonna go back to being a boisterous guild?\You're...\Lamia Scale!\Pegasus and Lamia were both a big help in the search for Tenroujima.\Oh, really?\I guess we're in their debt now...\Don't worry about it. response:	Pegasus has overtaken us, but we've got more powerful members.
context: Are you gonna go back to being a boisterous guild?\You're...\Lamia Scale!\Pegasus and Lamia were both a big help in the search for Tenroujima.\Oh, really?\I guess we're in their debt now...\Don't worry about it.\Pegasus has overtaken us, but we've got more powerful members. response:	That's what you mean?!
context: You're...\Lamia Scale!\Pegasus and Lamia were both a big help in the search for Tenroujima.\Oh, really?\I guess we're in their debt now...\Don't worry about it.\Pegasus has overtaken us, but we've got more powerful members.\That's what you mean?! response:	After all, in these seven years,
context: Lamia Scale!\Pegasus and Lamia were both a big help in the search for Tenroujima.\Oh, really?\I guess we're in their debt now...\Don't worry about it.\Pegasus has overtaken us, but we've got more powerful members.\That's what you mean?!\After all, in these seven years, response:	Lamia Scale has become the number two guild in Fiore.
context: Pegasus and Lamia were both a big help in the search for Tenroujima.\Oh, really?\I guess we're in their debt now...\Don't worry about it.\Pegasus has overtaken us, but we've got more powerful members.\That's what you mean?!\After all, in these seven years,\Lamia Scale has become the number two guild in Fiore. response:	Too bad for you, Lucy-san.
context: Oh, really?\I guess we're in their debt now...\Don't worry about it.\Pegasus has overtaken us, but we've got more powerful members.\That's what you mean?!\After all, in these seven years,\Lamia Scale has become the number two guild in Fiore.\Too bad for you, Lucy-san. response:	Then Pegasus is number one?
context: I guess we're in their debt now...\Don't worry about it.\Pegasus has overtaken us, but we've got more powerful members.\That's what you mean?!\After all, in these seven years,\Lamia Scale has become the number two guild in Fiore.\Too bad for you, Lucy-san.\Then Pegasus is number one? response:	You really think that's possible?!
context: Don't worry about it.\Pegasus has overtaken us, but we've got more powerful members.\That's what you mean?!\After all, in these seven years,\Lamia Scale has become the number two guild in Fiore.\Too bad for you, Lucy-san.\Then Pegasus is number one?\You really think that's possible?! response:	How can you even suggest that?!
context: Pegasus has overtaken us, but we've got more powerful members.\That's what you mean?!\After all, in these seven years,\Lamia Scale has become the number two guild in Fiore.\Too bad for you, Lucy-san.\Then Pegasus is number one?\You really think that's possible?!\How can you even suggest that?! response:	Cool it.
context: That's what you mean?!\After all, in these seven years,\Lamia Scale has become the number two guild in Fiore.\Too bad for you, Lucy-san.\Then Pegasus is number one?\You really think that's possible?!\How can you even suggest that?!\Cool it. response:	No. It's not Pegasus.
context: After all, in these seven years,\Lamia Scale has become the number two guild in Fiore.\Too bad for you, Lucy-san.\Then Pegasus is number one?\You really think that's possible?!\How can you even suggest that?!\Cool it.\No. It's not Pegasus. response:	Come, let's change the subject.
context: Lamia Scale has become the number two guild in Fiore.\Too bad for you, Lucy-san.\Then Pegasus is number one?\You really think that's possible?!\How can you even suggest that?!\Cool it.\No. It's not Pegasus.\Come, let's change the subject. response:	What's important is that everyone is safe.
context: Too bad for you, Lucy-san.\Then Pegasus is number one?\You really think that's possible?!\How can you even suggest that?!\Cool it.\No. It's not Pegasus.\Come, let's change the subject.\What's important is that everyone is safe. response:	I-Is this what they call love at first sight?!
context: Then Pegasus is number one?\You really think that's possible?!\How can you even suggest that?!\Cool it.\No. It's not Pegasus.\Come, let's change the subject.\What's important is that everyone is safe.\I-Is this what they call love at first sight?! response:	He came right out with it!
context: You really think that's possible?!\How can you even suggest that?!\Cool it.\No. It's not Pegasus.\Come, let's change the subject.\What's important is that everyone is safe.\I-Is this what they call love at first sight?!\He came right out with it! response:	I can tell, this is gonna get really complicated!
context: How can you even suggest that?!\Cool it.\No. It's not Pegasus.\Come, let's change the subject.\What's important is that everyone is safe.\I-Is this what they call love at first sight?!\He came right out with it!\I can tell, this is gonna get really complicated! response:	W-Wait, this means... Juvia...
context: Cool it.\No. It's not Pegasus.\Come, let's change the subject.\What's important is that everyone is safe.\I-Is this what they call love at first sight?!\He came right out with it!\I can tell, this is gonna get really complicated!\W-Wait, this means... Juvia... response:	Pandemonium!
context: No. It's not Pegasus.\Come, let's change the subject.\What's important is that everyone is safe.\I-Is this what they call love at first sight?!\He came right out with it!\I can tell, this is gonna get really complicated!\W-Wait, this means... Juvia...\Pandemonium! response:	She's got quite the imagination.
context: Come, let's change the subject.\What's important is that everyone is safe.\I-Is this what they call love at first sight?!\He came right out with it!\I can tell, this is gonna get really complicated!\W-Wait, this means... Juvia...\Pandemonium!\She's got quite the imagination. response:	Gimme a break!
context: What's important is that everyone is safe.\I-Is this what they call love at first sight?!\He came right out with it!\I can tell, this is gonna get really complicated!\W-Wait, this means... Juvia...\Pandemonium!\She's got quite the imagination.\Gimme a break! response:	By the way...
context: I-Is this what they call love at first sight?!\He came right out with it!\I can tell, this is gonna get really complicated!\W-Wait, this means... Juvia...\Pandemonium!\She's got quite the imagination.\Gimme a break!\By the way... response:	I found out I'm Cana's dad!
context: He came right out with it!\I can tell, this is gonna get really complicated!\W-Wait, this means... Juvia...\Pandemonium!\She's got quite the imagination.\Gimme a break!\By the way...\I found out I'm Cana's dad! response:	Cut it out! Don't get all clingy!
context: I can tell, this is gonna get really complicated!\W-Wait, this means... Juvia...\Pandemonium!\She's got quite the imagination.\Gimme a break!\By the way...\I found out I'm Cana's dad!\Cut it out! Don't get all clingy! response:	I can't help it! I'm so happy!
