context: Mashima-senpai! response:	What's this atmosphere?
context: Chihaya Furu\Episode 23\To see the beautiful cherry blossoms\In order to restore my faith in this world,\I-I can't find my rhythm...\Emuro-senpai's being dominated.\While it brings me no joy, the road beyond Mount Oe is too long\The two of them are on a completely different level. response:	I'm moving my cards.
context: Episode 23\To see the beautiful cherry blossoms\In order to restore my faith in this world,\I-I can't find my rhythm...\Emuro-senpai's being dominated.\While it brings me no joy, the road beyond Mount Oe is too long\The two of them are on a completely different level.\I'm moving my cards. response:	He's confident that he can win his cards after moving them.
context: To see the beautiful cherry blossoms\In order to restore my faith in this world,\I-I can't find my rhythm...\Emuro-senpai's being dominated.\While it brings me no joy, the road beyond Mount Oe is too long\The two of them are on a completely different level.\I'm moving my cards.\He's confident that he can win his cards after moving them. response:	Against a strong opponent, he constantly moves his cards,
context: In order to restore my faith in this world,\I-I can't find my rhythm...\Emuro-senpai's being dominated.\While it brings me no joy, the road beyond Mount Oe is too long\The two of them are on a completely different level.\I'm moving my cards.\He's confident that he can win his cards after moving them.\Against a strong opponent, he constantly moves his cards, response:	so Emuro-kun is unable to get in a groove.
context: I-I can't find my rhythm...\Emuro-senpai's being dominated.\While it brings me no joy, the road beyond Mount Oe is too long\The two of them are on a completely different level.\I'm moving my cards.\He's confident that he can win his cards after moving them.\Against a strong opponent, he constantly moves his cards,\so Emuro-kun is unable to get in a groove. response:	And his timing is always the worst.
context: Emuro-senpai's being dominated.\While it brings me no joy, the road beyond Mount Oe is too long\The two of them are on a completely different level.\I'm moving my cards.\He's confident that he can win his cards after moving them.\Against a strong opponent, he constantly moves his cards,\so Emuro-kun is unable to get in a groove.\And his timing is always the worst. response:	The Queen is so fast that you have to wonder if she's psychic.
context: While it brings me no joy, the road beyond Mount Oe is too long\The two of them are on a completely different level.\I'm moving my cards.\He's confident that he can win his cards after moving them.\Against a strong opponent, he constantly moves his cards,\so Emuro-kun is unable to get in a groove.\And his timing is always the worst.\The Queen is so fast that you have to wonder if she's psychic. response:	No.
context: The two of them are on a completely different level.\I'm moving my cards.\He's confident that he can win his cards after moving them.\Against a strong opponent, he constantly moves his cards,\so Emuro-kun is unable to get in a groove.\And his timing is always the worst.\The Queen is so fast that you have to wonder if she's psychic.\No. response:	Wakamiya Shinobu is bonded to the cards by a very unique rule.
context: I'm moving my cards.\He's confident that he can win his cards after moving them.\Against a strong opponent, he constantly moves his cards,\so Emuro-kun is unable to get in a groove.\And his timing is always the worst.\The Queen is so fast that you have to wonder if she's psychic.\No.\Wakamiya Shinobu is bonded to the cards by a very unique rule. response:	What is that rule?
context: He's confident that he can win his cards after moving them.\Against a strong opponent, he constantly moves his cards,\so Emuro-kun is unable to get in a groove.\And his timing is always the worst.\The Queen is so fast that you have to wonder if she's psychic.\No.\Wakamiya Shinobu is bonded to the cards by a very unique rule.\What is that rule? response:	Hayashida-san, you are recording everything, right?
context: Against a strong opponent, he constantly moves his cards,\so Emuro-kun is unable to get in a groove.\And his timing is always the worst.\The Queen is so fast that you have to wonder if she's psychic.\No.\Wakamiya Shinobu is bonded to the cards by a very unique rule.\What is that rule?\Hayashida-san, you are recording everything, right? response:	Yes.
context: so Emuro-kun is unable to get in a groove.\And his timing is always the worst.\The Queen is so fast that you have to wonder if she's psychic.\No.\Wakamiya Shinobu is bonded to the cards by a very unique rule.\What is that rule?\Hayashida-san, you are recording everything, right?\Yes. response:	Machimura-kun, I need you to capture the entire match.
context: And his timing is always the worst.\The Queen is so fast that you have to wonder if she's psychic.\No.\Wakamiya Shinobu is bonded to the cards by a very unique rule.\What is that rule?\Hayashida-san, you are recording everything, right?\Yes.\Machimura-kun, I need you to capture the entire match. response:	Yes, ma'am.
context: The Queen is so fast that you have to wonder if she's psychic.\No.\Wakamiya Shinobu is bonded to the cards by a very unique rule.\What is that rule?\Hayashida-san, you are recording everything, right?\Yes.\Machimura-kun, I need you to capture the entire match.\Yes, ma'am. response:	Sakurazawa-san, are the Class A matches almost over?
context: No.\Wakamiya Shinobu is bonded to the cards by a very unique rule.\What is that rule?\Hayashida-san, you are recording everything, right?\Yes.\Machimura-kun, I need you to capture the entire match.\Yes, ma'am.\Sakurazawa-san, are the Class A matches almost over? response:	It looks like our captain's going
context: Wakamiya Shinobu is bonded to the cards by a very unique rule.\What is that rule?\Hayashida-san, you are recording everything, right?\Yes.\Machimura-kun, I need you to capture the entire match.\Yes, ma'am.\Sakurazawa-san, are the Class A matches almost over?\It looks like our captain's going response:	to lose to Wataya-kun from Fukui's Nagumo society.
context: What is that rule?\Hayashida-san, you are recording everything, right?\Yes.\Machimura-kun, I need you to capture the entire match.\Yes, ma'am.\Sakurazawa-san, are the Class A matches almost over?\It looks like our captain's going\to lose to Wataya-kun from Fukui's Nagumo society. response:	I'd love to know what training you provided him.
context: Hayashida-san, you are recording everything, right?\Yes.\Machimura-kun, I need you to capture the entire match.\Yes, ma'am.\Sakurazawa-san, are the Class A matches almost over?\It looks like our captain's going\to lose to Wataya-kun from Fukui's Nagumo society.\I'd love to know what training you provided him. response:	Please...
context: Yes.\Machimura-kun, I need you to capture the entire match.\Yes, ma'am.\Sakurazawa-san, are the Class A matches almost over?\It looks like our captain's going\to lose to Wataya-kun from Fukui's Nagumo society.\I'd love to know what training you provided him.\Please... response:	You were a top player, and now you're a top coach, Midori-chan.
context: Machimura-kun, I need you to capture the entire match.\Yes, ma'am.\Sakurazawa-san, are the Class A matches almost over?\It looks like our captain's going\to lose to Wataya-kun from Fukui's Nagumo society.\I'd love to know what training you provided him.\Please...\You were a top player, and now you're a top coach, Midori-chan. response:	Were there any other notable players this tournament?
context: Yes, ma'am.\Sakurazawa-san, are the Class A matches almost over?\It looks like our captain's going\to lose to Wataya-kun from Fukui's Nagumo society.\I'd love to know what training you provided him.\Please...\You were a top player, and now you're a top coach, Midori-chan.\Were there any other notable players this tournament? response:	Yes...
context: Sakurazawa-san, are the Class A matches almost over?\It looks like our captain's going\to lose to Wataya-kun from Fukui's Nagumo society.\I'd love to know what training you provided him.\Please...\You were a top player, and now you're a top coach, Midori-chan.\Were there any other notable players this tournament?\Yes... response:	Excuse me.
context: It looks like our captain's going\to lose to Wataya-kun from Fukui's Nagumo society.\I'd love to know what training you provided him.\Please...\You were a top player, and now you're a top coach, Midori-chan.\Were there any other notable players this tournament?\Yes...\Excuse me. response:	You shouldn't be sleeping here.
context: to lose to Wataya-kun from Fukui's Nagumo society.\I'd love to know what training you provided him.\Please...\You were a top player, and now you're a top coach, Midori-chan.\Were there any other notable players this tournament?\Yes...\Excuse me.\You shouldn't be sleeping here. response:	S-Sorry...
context: I'd love to know what training you provided him.\Please...\You were a top player, and now you're a top coach, Midori-chan.\Were there any other notable players this tournament?\Yes...\Excuse me.\You shouldn't be sleeping here.\S-Sorry... response:	This injury happened when you were playing our Yamashiro Rion, yes?
context: Please...\You were a top player, and now you're a top coach, Midori-chan.\Were there any other notable players this tournament?\Yes...\Excuse me.\You shouldn't be sleeping here.\S-Sorry...\This injury happened when you were playing our Yamashiro Rion, yes? response:	Are you okay?
context: You were a top player, and now you're a top coach, Midori-chan.\Were there any other notable players this tournament?\Yes...\Excuse me.\You shouldn't be sleeping here.\S-Sorry...\This injury happened when you were playing our Yamashiro Rion, yes?\Are you okay? response:	I'll bring Yamashiro over to apologize later.
context: Were there any other notable players this tournament?\Yes...\Excuse me.\You shouldn't be sleeping here.\S-Sorry...\This injury happened when you were playing our Yamashiro Rion, yes?\Are you okay?\I'll bring Yamashiro over to apologize later. response:	Oh, no. It's okay.
context: Yes...\Excuse me.\You shouldn't be sleeping here.\S-Sorry...\This injury happened when you were playing our Yamashiro Rion, yes?\Are you okay?\I'll bring Yamashiro over to apologize later.\Oh, no. It's okay. response:	Don't let Yama-chan...
context: Excuse me.\You shouldn't be sleeping here.\S-Sorry...\This injury happened when you were playing our Yamashiro Rion, yes?\Are you okay?\I'll bring Yamashiro over to apologize later.\Oh, no. It's okay.\Don't let Yama-chan... response:	Yama-chan?
context: You shouldn't be sleeping here.\S-Sorry...\This injury happened when you were playing our Yamashiro Rion, yes?\Are you okay?\I'll bring Yamashiro over to apologize later.\Oh, no. It's okay.\Don't let Yama-chan...\Yama-chan? response:	Don't let Yama-chan know about this.
context: S-Sorry...\This injury happened when you were playing our Yamashiro Rion, yes?\Are you okay?\I'll bring Yamashiro over to apologize later.\Oh, no. It's okay.\Don't let Yama-chan...\Yama-chan?\Don't let Yama-chan know about this. response:	My coach said that, in most cases, injuries are caused
context: This injury happened when you were playing our Yamashiro Rion, yes?\Are you okay?\I'll bring Yamashiro over to apologize later.\Oh, no. It's okay.\Don't let Yama-chan...\Yama-chan?\Don't let Yama-chan know about this.\My coach said that, in most cases, injuries are caused response:	by the player's own bad swing.
context: Are you okay?\I'll bring Yamashiro over to apologize later.\Oh, no. It's okay.\Don't let Yama-chan...\Yama-chan?\Don't let Yama-chan know about this.\My coach said that, in most cases, injuries are caused\by the player's own bad swing. response:	I need to practice more.
context: I'll bring Yamashiro over to apologize later.\Oh, no. It's okay.\Don't let Yama-chan...\Yama-chan?\Don't let Yama-chan know about this.\My coach said that, in most cases, injuries are caused\by the player's own bad swing.\I need to practice more. response:	Wait, it's already dark out?
context: Oh, no. It's okay.\Don't let Yama-chan...\Yama-chan?\Don't let Yama-chan know about this.\My coach said that, in most cases, injuries are caused\by the player's own bad swing.\I need to practice more.\Wait, it's already dark out? response:	Where's everyone else?!
context: Don't let Yama-chan...\Yama-chan?\Don't let Yama-chan know about this.\My coach said that, in most cases, injuries are caused\by the player's own bad swing.\I need to practice more.\Wait, it's already dark out?\Where's everyone else?! response:	Wataya wins by 12 cards.
context: Yama-chan?\Don't let Yama-chan know about this.\My coach said that, in most cases, injuries are caused\by the player's own bad swing.\I need to practice more.\Wait, it's already dark out?\Where's everyone else?!\Wataya wins by 12 cards. response:	Yes.
context: Don't let Yama-chan know about this.\My coach said that, in most cases, injuries are caused\by the player's own bad swing.\I need to practice more.\Wait, it's already dark out?\Where's everyone else?!\Wataya wins by 12 cards.\Yes. response:	Wakamiya by 14 cards.
context: My coach said that, in most cases, injuries are caused\by the player's own bad swing.\I need to practice more.\Wait, it's already dark out?\Where's everyone else?!\Wataya wins by 12 cards.\Yes.\Wakamiya by 14 cards. response:	Yes.
context: by the player's own bad swing.\I need to practice more.\Wait, it's already dark out?\Where's everyone else?!\Wataya wins by 12 cards.\Yes.\Wakamiya by 14 cards.\Yes. response:	As expected, the Class A final will be
context: I need to practice more.\Wait, it's already dark out?\Where's everyone else?!\Wataya wins by 12 cards.\Yes.\Wakamiya by 14 cards.\Yes.\As expected, the Class A final will be response:	Wataya Arata against Wakamiya Shinobu.
context: Wait, it's already dark out?\Where's everyone else?!\Wataya wins by 12 cards.\Yes.\Wakamiya by 14 cards.\Yes.\As expected, the Class A final will be\Wataya Arata against Wakamiya Shinobu. response:	Oh, so we're the only ones left.
context: Where's everyone else?!\Wataya wins by 12 cards.\Yes.\Wakamiya by 14 cards.\Yes.\As expected, the Class A final will be\Wataya Arata against Wakamiya Shinobu.\Oh, so we're the only ones left. response:	The other players must be tired after playing in the team tournament.
context: Wataya wins by 12 cards.\Yes.\Wakamiya by 14 cards.\Yes.\As expected, the Class A final will be\Wataya Arata against Wakamiya Shinobu.\Oh, so we're the only ones left.\The other players must be tired after playing in the team tournament. response:	I'm glad I was able to luck my way into all those wins.
context: Yes.\Wakamiya by 14 cards.\Yes.\As expected, the Class A final will be\Wataya Arata against Wakamiya Shinobu.\Oh, so we're the only ones left.\The other players must be tired after playing in the team tournament.\I'm glad I was able to luck my way into all those wins. response:	I just need my luck to help me through one more match.
context: Wakamiya by 14 cards.\Yes.\As expected, the Class A final will be\Wataya Arata against Wakamiya Shinobu.\Oh, so we're the only ones left.\The other players must be tired after playing in the team tournament.\I'm glad I was able to luck my way into all those wins.\I just need my luck to help me through one more match. response:	Wh-Why?
context: Yes.\As expected, the Class A final will be\Wataya Arata against Wakamiya Shinobu.\Oh, so we're the only ones left.\The other players must be tired after playing in the team tournament.\I'm glad I was able to luck my way into all those wins.\I just need my luck to help me through one more match.\Wh-Why? response:	Ten minutes until we start?
context: As expected, the Class A final will be\Wataya Arata against Wakamiya Shinobu.\Oh, so we're the only ones left.\The other players must be tired after playing in the team tournament.\I'm glad I was able to luck my way into all those wins.\I just need my luck to help me through one more match.\Wh-Why?\Ten minutes until we start? response:	No, hold on.
context: Wataya Arata against Wakamiya Shinobu.\Oh, so we're the only ones left.\The other players must be tired after playing in the team tournament.\I'm glad I was able to luck my way into all those wins.\I just need my luck to help me through one more match.\Wh-Why?\Ten minutes until we start?\No, hold on. response:	Why, Arata?
context: Oh, so we're the only ones left.\The other players must be tired after playing in the team tournament.\I'm glad I was able to luck my way into all those wins.\I just need my luck to help me through one more match.\Wh-Why?\Ten minutes until we start?\No, hold on.\Why, Arata? response:	We're waiting for the other Classes to finish up.
context: The other players must be tired after playing in the team tournament.\I'm glad I was able to luck my way into all those wins.\I just need my luck to help me through one more match.\Wh-Why?\Ten minutes until we start?\No, hold on.\Why, Arata?\We're waiting for the other Classes to finish up. response:	Why are you smiling about playing the Queen?
context: I'm glad I was able to luck my way into all those wins.\I just need my luck to help me through one more match.\Wh-Why?\Ten minutes until we start?\No, hold on.\Why, Arata?\We're waiting for the other Classes to finish up.\Why are you smiling about playing the Queen? response:	Why?
context: I just need my luck to help me through one more match.\Wh-Why?\Ten minutes until we start?\No, hold on.\Why, Arata?\We're waiting for the other Classes to finish up.\Why are you smiling about playing the Queen?\Why? response:	I want to watch Arata play Shinobu-chan!
context: Wh-Why?\Ten minutes until we start?\No, hold on.\Why, Arata?\We're waiting for the other Classes to finish up.\Why are you smiling about playing the Queen?\Why?\I want to watch Arata play Shinobu-chan! response:	I need to secure a good spot up front!
context: Ten minutes until we start?\No, hold on.\Why, Arata?\We're waiting for the other Classes to finish up.\Why are you smiling about playing the Queen?\Why?\I want to watch Arata play Shinobu-chan!\I need to secure a good spot up front! response:	Ayase!
context: No, hold on.\Why, Arata?\We're waiting for the other Classes to finish up.\Why are you smiling about playing the Queen?\Why?\I want to watch Arata play Shinobu-chan!\I need to secure a good spot up front!\Ayase! response:	Chihaya-chan!
context: Why, Arata?\We're waiting for the other Classes to finish up.\Why are you smiling about playing the Queen?\Why?\I want to watch Arata play Shinobu-chan!\I need to secure a good spot up front!\Ayase!\Chihaya-chan! response:	How did everyone do?
context: We're waiting for the other Classes to finish up.\Why are you smiling about playing the Queen?\Why?\I want to watch Arata play Shinobu-chan!\I need to secure a good spot up front!\Ayase!\Chihaya-chan!\How did everyone do? response:	Haven't you been checking your e-mail?
context: Why are you smiling about playing the Queen?\Why?\I want to watch Arata play Shinobu-chan!\I need to secure a good spot up front!\Ayase!\Chihaya-chan!\How did everyone do?\Haven't you been checking your e-mail? response:	I lost in the Class C semifinal.
context: Why?\I want to watch Arata play Shinobu-chan!\I need to secure a good spot up front!\Ayase!\Chihaya-chan!\How did everyone do?\Haven't you been checking your e-mail?\I lost in the Class C semifinal. response:	But Desktomu-kun made it to the final!
context: I want to watch Arata play Shinobu-chan!\I need to secure a good spot up front!\Ayase!\Chihaya-chan!\How did everyone do?\Haven't you been checking your e-mail?\I lost in the Class C semifinal.\But Desktomu-kun made it to the final! response:	That's great!
context: I need to secure a good spot up front!\Ayase!\Chihaya-chan!\How did everyone do?\Haven't you been checking your e-mail?\I lost in the Class C semifinal.\But Desktomu-kun made it to the final!\That's great! response:	And...
context: Ayase!\Chihaya-chan!\How did everyone do?\Haven't you been checking your e-mail?\I lost in the Class C semifinal.\But Desktomu-kun made it to the final!\That's great!\And... response:	President Mashima's in the Class B final!
context: Chihaya-chan!\How did everyone do?\Haven't you been checking your e-mail?\I lost in the Class C semifinal.\But Desktomu-kun made it to the final!\That's great!\And...\President Mashima's in the Class B final! response:	They'll both be playing on the first floor!
context: How did everyone do?\Haven't you been checking your e-mail?\I lost in the Class C semifinal.\But Desktomu-kun made it to the final!\That's great!\And...\President Mashima's in the Class B final!\They'll both be playing on the first floor! response:	Let's go!
context: Haven't you been checking your e-mail?\I lost in the Class C semifinal.\But Desktomu-kun made it to the final!\That's great!\And...\President Mashima's in the Class B final!\They'll both be playing on the first floor!\Let's go! response:	They're playing in different places...
context: I lost in the Class C semifinal.\But Desktomu-kun made it to the final!\That's great!\And...\President Mashima's in the Class B final!\They'll both be playing on the first floor!\Let's go!\They're playing in different places... response:	Wait...
context: But Desktomu-kun made it to the final!\That's great!\And...\President Mashima's in the Class B final!\They'll both be playing on the first floor!\Let's go!\They're playing in different places...\Wait... response:	Is the Class A final between Wataya Arata and the Queen?
context: That's great!\And...\President Mashima's in the Class B final!\They'll both be playing on the first floor!\Let's go!\They're playing in different places...\Wait...\Is the Class A final between Wataya Arata and the Queen? response:	Seriously?
context: And...\President Mashima's in the Class B final!\They'll both be playing on the first floor!\Let's go!\They're playing in different places...\Wait...\Is the Class A final between Wataya Arata and the Queen?\Seriously? response:	Sorry, but I'm watching the Class A final.
context: President Mashima's in the Class B final!\They'll both be playing on the first floor!\Let's go!\They're playing in different places...\Wait...\Is the Class A final between Wataya Arata and the Queen?\Seriously?\Sorry, but I'm watching the Class A final. response:	What?
context: They'll both be playing on the first floor!\Let's go!\They're playing in different places...\Wait...\Is the Class A final between Wataya Arata and the Queen?\Seriously?\Sorry, but I'm watching the Class A final.\What? response:	Aren't you going to do the same, Ayase?
context: Let's go!\They're playing in different places...\Wait...\Is the Class A final between Wataya Arata and the Queen?\Seriously?\Sorry, but I'm watching the Class A final.\What?\Aren't you going to do the same, Ayase? response:	What? That's heartless, Porky!
context: They're playing in different places...\Wait...\Is the Class A final between Wataya Arata and the Queen?\Seriously?\Sorry, but I'm watching the Class A final.\What?\Aren't you going to do the same, Ayase?\What? That's heartless, Porky! response:	The Prez is in an important match!
context: Wait...\Is the Class A final between Wataya Arata and the Queen?\Seriously?\Sorry, but I'm watching the Class A final.\What?\Aren't you going to do the same, Ayase?\What? That's heartless, Porky!\The Prez is in an important match! response:	He's going to win.
context: Is the Class A final between Wataya Arata and the Queen?\Seriously?\Sorry, but I'm watching the Class A final.\What?\Aren't you going to do the same, Ayase?\What? That's heartless, Porky!\The Prez is in an important match!\He's going to win. response:	He doesn't need us there to support him.
context: Seriously?\Sorry, but I'm watching the Class A final.\What?\Aren't you going to do the same, Ayase?\What? That's heartless, Porky!\The Prez is in an important match!\He's going to win.\He doesn't need us there to support him. response:	Desktomu-kun might need the help,
context: Sorry, but I'm watching the Class A final.\What?\Aren't you going to do the same, Ayase?\What? That's heartless, Porky!\The Prez is in an important match!\He's going to win.\He doesn't need us there to support him.\Desktomu-kun might need the help, response:	but Mashima is a different person today.
context: What?\Aren't you going to do the same, Ayase?\What? That's heartless, Porky!\The Prez is in an important match!\He's going to win.\He doesn't need us there to support him.\Desktomu-kun might need the help,\but Mashima is a different person today. response:	He doesn't need any support.
context: Aren't you going to do the same, Ayase?\What? That's heartless, Porky!\The Prez is in an important match!\He's going to win.\He doesn't need us there to support him.\Desktomu-kun might need the help,\but Mashima is a different person today.\He doesn't need any support. response:	He's the one who
context: What? That's heartless, Porky!\The Prez is in an important match!\He's going to win.\He doesn't need us there to support him.\Desktomu-kun might need the help,\but Mashima is a different person today.\He doesn't need any support.\He's the one who response:	wanted Ayase to focus on practicing for the Queen match.
context: The Prez is in an important match!\He's going to win.\He doesn't need us there to support him.\Desktomu-kun might need the help,\but Mashima is a different person today.\He doesn't need any support.\He's the one who\wanted Ayase to focus on practicing for the Queen match. response:	He would tell you not to come see him.
context: He's going to win.\He doesn't need us there to support him.\Desktomu-kun might need the help,\but Mashima is a different person today.\He doesn't need any support.\He's the one who\wanted Ayase to focus on practicing for the Queen match.\He would tell you not to come see him. response:	Line up, boys.
context: He doesn't need us there to support him.\Desktomu-kun might need the help,\but Mashima is a different person today.\He doesn't need any support.\He's the one who\wanted Ayase to focus on practicing for the Queen match.\He would tell you not to come see him.\Line up, boys. response:	Explain why none of the Hokuo players made it past the Top 8!
context: Desktomu-kun might need the help,\but Mashima is a different person today.\He doesn't need any support.\He's the one who\wanted Ayase to focus on practicing for the Queen match.\He would tell you not to come see him.\Line up, boys.\Explain why none of the Hokuo players made it past the Top 8! response:	A hundred flicks to each forehead!
context: but Mashima is a different person today.\He doesn't need any support.\He's the one who\wanted Ayase to focus on practicing for the Queen match.\He would tell you not to come see him.\Line up, boys.\Explain why none of the Hokuo players made it past the Top 8!\A hundred flicks to each forehead! response:	I'll be in it, you fools!
context: He doesn't need any support.\He's the one who\wanted Ayase to focus on practicing for the Queen match.\He would tell you not to come see him.\Line up, boys.\Explain why none of the Hokuo players made it past the Top 8!\A hundred flicks to each forehead!\I'll be in it, you fools! response:	Sudo-san, what about Retro?
context: He's the one who\wanted Ayase to focus on practicing for the Queen match.\He would tell you not to come see him.\Line up, boys.\Explain why none of the Hokuo players made it past the Top 8!\A hundred flicks to each forehead!\I'll be in it, you fools!\Sudo-san, what about Retro? response:	He doesn't need it.
context: wanted Ayase to focus on practicing for the Queen match.\He would tell you not to come see him.\Line up, boys.\Explain why none of the Hokuo players made it past the Top 8!\A hundred flicks to each forehead!\I'll be in it, you fools!\Sudo-san, what about Retro?\He doesn't need it. response:	He lost to someone who he thought was his rival by 18 cards.
context: He would tell you not to come see him.\Line up, boys.\Explain why none of the Hokuo players made it past the Top 8!\A hundred flicks to each forehead!\I'll be in it, you fools!\Sudo-san, what about Retro?\He doesn't need it.\He lost to someone who he thought was his rival by 18 cards. response:	He doesn't need the flicks.
context: Line up, boys.\Explain why none of the Hokuo players made it past the Top 8!\A hundred flicks to each forehead!\I'll be in it, you fools!\Sudo-san, what about Retro?\He doesn't need it.\He lost to someone who he thought was his rival by 18 cards.\He doesn't need the flicks. response:	Mashima...
context: Explain why none of the Hokuo players made it past the Top 8!\A hundred flicks to each forehead!\I'll be in it, you fools!\Sudo-san, what about Retro?\He doesn't need it.\He lost to someone who he thought was his rival by 18 cards.\He doesn't need the flicks.\Mashima... response:	I've never seen him like this.
context: A hundred flicks to each forehead!\I'll be in it, you fools!\Sudo-san, what about Retro?\He doesn't need it.\He lost to someone who he thought was his rival by 18 cards.\He doesn't need the flicks.\Mashima...\I've never seen him like this. response:	He was completely different.
context: I'll be in it, you fools!\Sudo-san, what about Retro?\He doesn't need it.\He lost to someone who he thought was his rival by 18 cards.\He doesn't need the flicks.\Mashima...\I've never seen him like this.\He was completely different. response:	Mashima was completely calm in a match.
context: Sudo-san, what about Retro?\He doesn't need it.\He lost to someone who he thought was his rival by 18 cards.\He doesn't need the flicks.\Mashima...\I've never seen him like this.\He was completely different.\Mashima was completely calm in a match. response:	Are all players here?
context: He doesn't need it.\He lost to someone who he thought was his rival by 18 cards.\He doesn't need the flicks.\Mashima...\I've never seen him like this.\He was completely different.\Mashima was completely calm in a match.\Are all players here? response:	The finals for each class will begin at 5:20.
context: He lost to someone who he thought was his rival by 18 cards.\He doesn't need the flicks.\Mashima...\I've never seen him like this.\He was completely different.\Mashima was completely calm in a match.\Are all players here?\The finals for each class will begin at 5:20. response:	Mashima-senpai,
context: He doesn't need the flicks.\Mashima...\I've never seen him like this.\He was completely different.\Mashima was completely calm in a match.\Are all players here?\The finals for each class will begin at 5:20.\Mashima-senpai, response:	you should get some water now while you can.
context: Mashima...\I've never seen him like this.\He was completely different.\Mashima was completely calm in a match.\Are all players here?\The finals for each class will begin at 5:20.\Mashima-senpai,\you should get some water now while you can. response:	You too, Komano-senpai.
context: I've never seen him like this.\He was completely different.\Mashima was completely calm in a match.\Are all players here?\The finals for each class will begin at 5:20.\Mashima-senpai,\you should get some water now while you can.\You too, Komano-senpai. response:	The other club members are really taking their time.
context: He was completely different.\Mashima was completely calm in a match.\Are all players here?\The finals for each class will begin at 5:20.\Mashima-senpai,\you should get some water now while you can.\You too, Komano-senpai.\The other club members are really taking their time. response:	The match is about to begin.
context: Mashima was completely calm in a match.\Are all players here?\The finals for each class will begin at 5:20.\Mashima-senpai,\you should get some water now while you can.\You too, Komano-senpai.\The other club members are really taking their time.\The match is about to begin. response:	Did Ayase-senpai fall asleep again?
context: Are all players here?\The finals for each class will begin at 5:20.\Mashima-senpai,\you should get some water now while you can.\You too, Komano-senpai.\The other club members are really taking their time.\The match is about to begin.\Did Ayase-senpai fall asleep again? response:	Maybe she's not coming because she's watching Wataya-san's match.
context: The finals for each class will begin at 5:20.\Mashima-senpai,\you should get some water now while you can.\You too, Komano-senpai.\The other club members are really taking their time.\The match is about to begin.\Did Ayase-senpai fall asleep again?\Maybe she's not coming because she's watching Wataya-san's match. response:	She's not coming.
context: Mashima-senpai,\you should get some water now while you can.\You too, Komano-senpai.\The other club members are really taking their time.\The match is about to begin.\Did Ayase-senpai fall asleep again?\Maybe she's not coming because she's watching Wataya-san's match.\She's not coming. response:	Huh?
context: you should get some water now while you can.\You too, Komano-senpai.\The other club members are really taking their time.\The match is about to begin.\Did Ayase-senpai fall asleep again?\Maybe she's not coming because she's watching Wataya-san's match.\She's not coming.\Huh? response:	The Class A final is probably between Arata and the Queen.
context: You too, Komano-senpai.\The other club members are really taking their time.\The match is about to begin.\Did Ayase-senpai fall asleep again?\Maybe she's not coming because she's watching Wataya-san's match.\She's not coming.\Huh?\The Class A final is probably between Arata and the Queen. response:	She won't be watching this match.
context: The other club members are really taking their time.\The match is about to begin.\Did Ayase-senpai fall asleep again?\Maybe she's not coming because she's watching Wataya-san's match.\She's not coming.\Huh?\The Class A final is probably between Arata and the Queen.\She won't be watching this match. response:	B-But...
context: The match is about to begin.\Did Ayase-senpai fall asleep again?\Maybe she's not coming because she's watching Wataya-san's match.\She's not coming.\Huh?\The Class A final is probably between Arata and the Queen.\She won't be watching this match.\B-But... response:	Your opponent for the final is...
