context: O-Okay. response:	Counting on you.
context: Geez, will you calm down?\I can't! I just can't!\You don't know how scary she is, Ms. Tomoe.\She made me do all of her summer vacation homework,\and took my New Year's money!\I see.\So that explains why you like Takako,\someone with a similar personality. response:	N-No!
context: I can't! I just can't!\You don't know how scary she is, Ms. Tomoe.\She made me do all of her summer vacation homework,\and took my New Year's money!\I see.\So that explains why you like Takako,\someone with a similar personality.\N-No! response:	Nako!
context: You don't know how scary she is, Ms. Tomoe.\She made me do all of her summer vacation homework,\and took my New Year's money!\I see.\So that explains why you like Takako,\someone with a similar personality.\N-No!\Nako! response:	How was she?!
context: She made me do all of her summer vacation homework,\and took my New Year's money!\I see.\So that explains why you like Takako,\someone with a similar personality.\N-No!\Nako!\How was she?! response:	She's a wonderful person.
context: and took my New Year's money!\I see.\So that explains why you like Takako,\someone with a similar personality.\N-No!\Nako!\How was she?!\She's a wonderful person. response:	She gave me so much advice
context: I see.\So that explains why you like Takako,\someone with a similar personality.\N-No!\Nako!\How was she?!\She's a wonderful person.\She gave me so much advice response:	on how to make this inn better.
context: So that explains why you like Takako,\someone with a similar personality.\N-No!\Nako!\How was she?!\She's a wonderful person.\She gave me so much advice\on how to make this inn better. response:	Advice?
context: someone with a similar personality.\N-No!\Nako!\How was she?!\She's a wonderful person.\She gave me so much advice\on how to make this inn better.\Advice? response:	Yes.
context: N-No!\Nako!\How was she?!\She's a wonderful person.\She gave me so much advice\on how to make this inn better.\Advice?\Yes. response:	About yukatas and the tea snacks...
context: Nako!\How was she?!\She's a wonderful person.\She gave me so much advice\on how to make this inn better.\Advice?\Yes.\About yukatas and the tea snacks... response:	Wait-
context: How was she?!\She's a wonderful person.\She gave me so much advice\on how to make this inn better.\Advice?\Yes.\About yukatas and the tea snacks...\Wait- response:	Don't.
context: She's a wonderful person.\She gave me so much advice\on how to make this inn better.\Advice?\Yes.\About yukatas and the tea snacks...\Wait-\Don't. response:	So what?
context: She gave me so much advice\on how to make this inn better.\Advice?\Yes.\About yukatas and the tea snacks...\Wait-\Don't.\So what? response:	I'm not writing them down because it's what my sister said.
context: on how to make this inn better.\Advice?\Yes.\About yukatas and the tea snacks...\Wait-\Don't.\So what?\I'm not writing them down because it's what my sister said. response:	It's as an opinion of a cust-
context: Advice?\Yes.\About yukatas and the tea snacks...\Wait-\Don't.\So what?\I'm not writing them down because it's what my sister said.\It's as an opinion of a cust- response:	What was that for?!
context: Yes.\About yukatas and the tea snacks...\Wait-\Don't.\So what?\I'm not writing them down because it's what my sister said.\It's as an opinion of a cust-\What was that for?! response:	You're so hardworking, Ohana.
context: About yukatas and the tea snacks...\Wait-\Don't.\So what?\I'm not writing them down because it's what my sister said.\It's as an opinion of a cust-\What was that for?!\You're so hardworking, Ohana. response:	You just returned and are already back to work.
context: Wait-\Don't.\So what?\I'm not writing them down because it's what my sister said.\It's as an opinion of a cust-\What was that for?!\You're so hardworking, Ohana.\You just returned and are already back to work. response:	Just returned?
context: Don't.\So what?\I'm not writing them down because it's what my sister said.\It's as an opinion of a cust-\What was that for?!\You're so hardworking, Ohana.\You just returned and are already back to work.\Just returned? response:	Huh?
context: So what?\I'm not writing them down because it's what my sister said.\It's as an opinion of a cust-\What was that for?!\You're so hardworking, Ohana.\You just returned and are already back to work.\Just returned?\Huh? response:	Nothing...
context: I'm not writing them down because it's what my sister said.\It's as an opinion of a cust-\What was that for?!\You're so hardworking, Ohana.\You just returned and are already back to work.\Just returned?\Huh?\Nothing... response:	I returned...
context: It's as an opinion of a cust-\What was that for?!\You're so hardworking, Ohana.\You just returned and are already back to work.\Just returned?\Huh?\Nothing...\I returned... response:	So suddenly, to my regular self.
context: What was that for?!\You're so hardworking, Ohana.\You just returned and are already back to work.\Just returned?\Huh?\Nothing...\I returned...\So suddenly, to my regular self. response:	The me that was holding placards in Tokyo,
context: You're so hardworking, Ohana.\You just returned and are already back to work.\Just returned?\Huh?\Nothing...\I returned...\So suddenly, to my regular self.\The me that was holding placards in Tokyo, response:	and the me who was having dinner with Ko...
context: You just returned and are already back to work.\Just returned?\Huh?\Nothing...\I returned...\So suddenly, to my regular self.\The me that was holding placards in Tokyo,\and the me who was having dinner with Ko... response:	They're not my regular self.
context: Just returned?\Huh?\Nothing...\I returned...\So suddenly, to my regular self.\The me that was holding placards in Tokyo,\and the me who was having dinner with Ko...\They're not my regular self. response:	The me who works here has become my regular self.
context: Huh?\Nothing...\I returned...\So suddenly, to my regular self.\The me that was holding placards in Tokyo,\and the me who was having dinner with Ko...\They're not my regular self.\The me who works here has become my regular self. response:	Hello, waitress!
context: Nothing...\I returned...\So suddenly, to my regular self.\The me that was holding placards in Tokyo,\and the me who was having dinner with Ko...\They're not my regular self.\The me who works here has become my regular self.\Hello, waitress! response:	There's a place I want to visit!
context: I returned...\So suddenly, to my regular self.\The me that was holding placards in Tokyo,\and the me who was having dinner with Ko...\They're not my regular self.\The me who works here has become my regular self.\Hello, waitress!\There's a place I want to visit! response:	Will you accompany me?
context: So suddenly, to my regular self.\The me that was holding placards in Tokyo,\and the me who was having dinner with Ko...\They're not my regular self.\The me who works here has become my regular self.\Hello, waitress!\There's a place I want to visit!\Will you accompany me? response:	W-Why me?
context: The me that was holding placards in Tokyo,\and the me who was having dinner with Ko...\They're not my regular self.\The me who works here has become my regular self.\Hello, waitress!\There's a place I want to visit!\Will you accompany me?\W-Why me? response:	It's scary to climb a hill with heels on.
context: and the me who was having dinner with Ko...\They're not my regular self.\The me who works here has become my regular self.\Hello, waitress!\There's a place I want to visit!\Will you accompany me?\W-Why me?\It's scary to climb a hill with heels on. response:	What are you going to do if something happens
context: They're not my regular self.\The me who works here has become my regular self.\Hello, waitress!\There's a place I want to visit!\Will you accompany me?\W-Why me?\It's scary to climb a hill with heels on.\What are you going to do if something happens response:	to a customer after ignoring her plea?
context: The me who works here has become my regular self.\Hello, waitress!\There's a place I want to visit!\Will you accompany me?\W-Why me?\It's scary to climb a hill with heels on.\What are you going to do if something happens\to a customer after ignoring her plea? response:	There really is nothing here, is there?!
context: Hello, waitress!\There's a place I want to visit!\Will you accompany me?\W-Why me?\It's scary to climb a hill with heels on.\What are you going to do if something happens\to a customer after ignoring her plea?\There really is nothing here, is there?! response:	But there's this thing called a Bonbori Festival around here.
context: There's a place I want to visit!\Will you accompany me?\W-Why me?\It's scary to climb a hill with heels on.\What are you going to do if something happens\to a customer after ignoring her plea?\There really is nothing here, is there?!\But there's this thing called a Bonbori Festival around here. response:	That's the one thing I liked about this place.
context: Will you accompany me?\W-Why me?\It's scary to climb a hill with heels on.\What are you going to do if something happens\to a customer after ignoring her plea?\There really is nothing here, is there?!\But there's this thing called a Bonbori Festival around here.\That's the one thing I liked about this place. response:	They say your wish comes true, and I believed them.
context: W-Why me?\It's scary to climb a hill with heels on.\What are you going to do if something happens\to a customer after ignoring her plea?\There really is nothing here, is there?!\But there's this thing called a Bonbori Festival around here.\That's the one thing I liked about this place.\They say your wish comes true, and I believed them. response:	Did you know about that?
context: It's scary to climb a hill with heels on.\What are you going to do if something happens\to a customer after ignoring her plea?\There really is nothing here, is there?!\But there's this thing called a Bonbori Festival around here.\That's the one thing I liked about this place.\They say your wish comes true, and I believed them.\Did you know about that? response:	Since forever.
context: What are you going to do if something happens\to a customer after ignoring her plea?\There really is nothing here, is there?!\But there's this thing called a Bonbori Festival around here.\That's the one thing I liked about this place.\They say your wish comes true, and I believed them.\Did you know about that?\Since forever. response:	Why don't you ask the gods to restore
context: to a customer after ignoring her plea?\There really is nothing here, is there?!\But there's this thing called a Bonbori Festival around here.\That's the one thing I liked about this place.\They say your wish comes true, and I believed them.\Did you know about that?\Since forever.\Why don't you ask the gods to restore response:	your relationship with Ko?
context: There really is nothing here, is there?!\But there's this thing called a Bonbori Festival around here.\That's the one thing I liked about this place.\They say your wish comes true, and I believed them.\Did you know about that?\Since forever.\Why don't you ask the gods to restore\your relationship with Ko? response:	W-W-W-W-
context: But there's this thing called a Bonbori Festival around here.\That's the one thing I liked about this place.\They say your wish comes true, and I believed them.\Did you know about that?\Since forever.\Why don't you ask the gods to restore\your relationship with Ko?\W-W-W-W- response:	Oh, did I guess correctly?
context: That's the one thing I liked about this place.\They say your wish comes true, and I believed them.\Did you know about that?\Since forever.\Why don't you ask the gods to restore\your relationship with Ko?\W-W-W-W-\Oh, did I guess correctly? response:	So you did get dumped by him.
context: They say your wish comes true, and I believed them.\Did you know about that?\Since forever.\Why don't you ask the gods to restore\your relationship with Ko?\W-W-W-W-\Oh, did I guess correctly?\So you did get dumped by him. response:	Got dumped?!
context: Did you know about that?\Since forever.\Why don't you ask the gods to restore\your relationship with Ko?\W-W-W-W-\Oh, did I guess correctly?\So you did get dumped by him.\Got dumped?! response:	Don't worry.
context: Since forever.\Why don't you ask the gods to restore\your relationship with Ko?\W-W-W-W-\Oh, did I guess correctly?\So you did get dumped by him.\Got dumped?!\Don't worry. response:	There are so many other boys out there.
context: Why don't you ask the gods to restore\your relationship with Ko?\W-W-W-W-\Oh, did I guess correctly?\So you did get dumped by him.\Got dumped?!\Don't worry.\There are so many other boys out there. response:	You're a little short and thick,
context: your relationship with Ko?\W-W-W-W-\Oh, did I guess correctly?\So you did get dumped by him.\Got dumped?!\Don't worry.\There are so many other boys out there.\You're a little short and thick, response:	but since you're my daughter-
context: W-W-W-W-\Oh, did I guess correctly?\So you did get dumped by him.\Got dumped?!\Don't worry.\There are so many other boys out there.\You're a little short and thick,\but since you're my daughter- response:	Don't...
context: Oh, did I guess correctly?\So you did get dumped by him.\Got dumped?!\Don't worry.\There are so many other boys out there.\You're a little short and thick,\but since you're my daughter-\Don't... response:	Don't suddenly start acting like a mother!
context: So you did get dumped by him.\Got dumped?!\Don't worry.\There are so many other boys out there.\You're a little short and thick,\but since you're my daughter-\Don't...\Don't suddenly start acting like a mother! response:	I'm going back now.
context: Got dumped?!\Don't worry.\There are so many other boys out there.\You're a little short and thick,\but since you're my daughter-\Don't...\Don't suddenly start acting like a mother!\I'm going back now. response:	Wait, Ohana.
context: Don't worry.\There are so many other boys out there.\You're a little short and thick,\but since you're my daughter-\Don't...\Don't suddenly start acting like a mother!\I'm going back now.\Wait, Ohana. response:	What?
context: There are so many other boys out there.\You're a little short and thick,\but since you're my daughter-\Don't...\Don't suddenly start acting like a mother!\I'm going back now.\Wait, Ohana.\What? response:	I came to this inn because you speak so highly of it.
context: You're a little short and thick,\but since you're my daughter-\Don't...\Don't suddenly start acting like a mother!\I'm going back now.\Wait, Ohana.\What?\I came to this inn because you speak so highly of it. response:	You get it, right?
context: but since you're my daughter-\Don't...\Don't suddenly start acting like a mother!\I'm going back now.\Wait, Ohana.\What?\I came to this inn because you speak so highly of it.\You get it, right? response:	It's no time to be depressed because you got dumped by some guy.
context: Don't...\Don't suddenly start acting like a mother!\I'm going back now.\Wait, Ohana.\What?\I came to this inn because you speak so highly of it.\You get it, right?\It's no time to be depressed because you got dumped by some guy. response:	You'd better show me what's so great about this inn.
context: Don't suddenly start acting like a mother!\I'm going back now.\Wait, Ohana.\What?\I came to this inn because you speak so highly of it.\You get it, right?\It's no time to be depressed because you got dumped by some guy.\You'd better show me what's so great about this inn. response:	I guess her situation with him is worse than I'd thought.
context: I'm going back now.\Wait, Ohana.\What?\I came to this inn because you speak so highly of it.\You get it, right?\It's no time to be depressed because you got dumped by some guy.\You'd better show me what's so great about this inn.\I guess her situation with him is worse than I'd thought. response:	It's no time to be depressed because you got dumped by some guy.
context: Wait, Ohana.\What?\I came to this inn because you speak so highly of it.\You get it, right?\It's no time to be depressed because you got dumped by some guy.\You'd better show me what's so great about this inn.\I guess her situation with him is worse than I'd thought.\It's no time to be depressed because you got dumped by some guy. response:	Dumped by...
context: What?\I came to this inn because you speak so highly of it.\You get it, right?\It's no time to be depressed because you got dumped by some guy.\You'd better show me what's so great about this inn.\I guess her situation with him is worse than I'd thought.\It's no time to be depressed because you got dumped by some guy.\Dumped by... response:	Dumped...
context: I came to this inn because you speak so highly of it.\You get it, right?\It's no time to be depressed because you got dumped by some guy.\You'd better show me what's so great about this inn.\I guess her situation with him is worse than I'd thought.\It's no time to be depressed because you got dumped by some guy.\Dumped by...\Dumped... response:	Did I really?
context: You get it, right?\It's no time to be depressed because you got dumped by some guy.\You'd better show me what's so great about this inn.\I guess her situation with him is worse than I'd thought.\It's no time to be depressed because you got dumped by some guy.\Dumped by...\Dumped...\Did I really? response:	So this is what it means to be dumped?
context: It's no time to be depressed because you got dumped by some guy.\You'd better show me what's so great about this inn.\I guess her situation with him is worse than I'd thought.\It's no time to be depressed because you got dumped by some guy.\Dumped by...\Dumped...\Did I really?\So this is what it means to be dumped? response:	What's going on?
context: You'd better show me what's so great about this inn.\I guess her situation with him is worse than I'd thought.\It's no time to be depressed because you got dumped by some guy.\Dumped by...\Dumped...\Did I really?\So this is what it means to be dumped?\What's going on? response:	We've been had.
