context: Union Fest is over now, response:	but I would like to create more events
context: Ecle gave them to me.\Oh really?\Looks good.\Everybody's here.\Sorry for the wait.\Then, shall we?\The highland picnic tour for the rulers and the Heroes!\Off we go! response:	This is amazing!
context: Oh really?\Looks good.\Everybody's here.\Sorry for the wait.\Then, shall we?\The highland picnic tour for the rulers and the Heroes!\Off we go!\This is amazing! response:	It's nice, isn't it?
context: Looks good.\Everybody's here.\Sorry for the wait.\Then, shall we?\The highland picnic tour for the rulers and the Heroes!\Off we go!\This is amazing!\It's nice, isn't it? response:	This is our favorite summer spot.
context: Everybody's here.\Sorry for the wait.\Then, shall we?\The highland picnic tour for the rulers and the Heroes!\Off we go!\This is amazing!\It's nice, isn't it?\This is our favorite summer spot. response:	The water is really nice and there are even fish.
context: Sorry for the wait.\Then, shall we?\The highland picnic tour for the rulers and the Heroes!\Off we go!\This is amazing!\It's nice, isn't it?\This is our favorite summer spot.\The water is really nice and there are even fish. response:	You're right, there are so many!
context: Then, shall we?\The highland picnic tour for the rulers and the Heroes!\Off we go!\This is amazing!\It's nice, isn't it?\This is our favorite summer spot.\The water is really nice and there are even fish.\You're right, there are so many! response:	And so many local gods...
context: The highland picnic tour for the rulers and the Heroes!\Off we go!\This is amazing!\It's nice, isn't it?\This is our favorite summer spot.\The water is really nice and there are even fish.\You're right, there are so many!\And so many local gods... response:	The protection of the sprites is especially strong here.
context: Off we go!\This is amazing!\It's nice, isn't it?\This is our favorite summer spot.\The water is really nice and there are even fish.\You're right, there are so many!\And so many local gods...\The protection of the sprites is especially strong here. response:	That's why nature's bounty is so plentiful here,
context: This is amazing!\It's nice, isn't it?\This is our favorite summer spot.\The water is really nice and there are even fish.\You're right, there are so many!\And so many local gods...\The protection of the sprites is especially strong here.\That's why nature's bounty is so plentiful here, response:	but you shouldn't be so impressed quite yet.
context: It's nice, isn't it?\This is our favorite summer spot.\The water is really nice and there are even fish.\You're right, there are so many!\And so many local gods...\The protection of the sprites is especially strong here.\That's why nature's bounty is so plentiful here,\but you shouldn't be so impressed quite yet. response:	We have much more to show you.
context: This is our favorite summer spot.\The water is really nice and there are even fish.\You're right, there are so many!\And so many local gods...\The protection of the sprites is especially strong here.\That's why nature's bounty is so plentiful here,\but you shouldn't be so impressed quite yet.\We have much more to show you. response:	Let's take a picture!
context: The water is really nice and there are even fish.\You're right, there are so many!\And so many local gods...\The protection of the sprites is especially strong here.\That's why nature's bounty is so plentiful here,\but you shouldn't be so impressed quite yet.\We have much more to show you.\Let's take a picture! response:	A picture with everybody!
context: You're right, there are so many!\And so many local gods...\The protection of the sprites is especially strong here.\That's why nature's bounty is so plentiful here,\but you shouldn't be so impressed quite yet.\We have much more to show you.\Let's take a picture!\A picture with everybody! response:	Shall we take turns?
context: And so many local gods...\The protection of the sprites is especially strong here.\That's why nature's bounty is so plentiful here,\but you shouldn't be so impressed quite yet.\We have much more to show you.\Let's take a picture!\A picture with everybody!\Shall we take turns? response:	First, Nanami and you guys...
context: The protection of the sprites is especially strong here.\That's why nature's bounty is so plentiful here,\but you shouldn't be so impressed quite yet.\We have much more to show you.\Let's take a picture!\A picture with everybody!\Shall we take turns?\First, Nanami and you guys... response:	Oh, don't worry about that.
context: That's why nature's bounty is so plentiful here,\but you shouldn't be so impressed quite yet.\We have much more to show you.\Let's take a picture!\A picture with everybody!\Shall we take turns?\First, Nanami and you guys...\Oh, don't worry about that. response:	Leo-sama, it's okay, right?
context: but you shouldn't be so impressed quite yet.\We have much more to show you.\Let's take a picture!\A picture with everybody!\Shall we take turns?\First, Nanami and you guys...\Oh, don't worry about that.\Leo-sama, it's okay, right? response:	Yes. Noir!
context: We have much more to show you.\Let's take a picture!\A picture with everybody!\Shall we take turns?\First, Nanami and you guys...\Oh, don't worry about that.\Leo-sama, it's okay, right?\Yes. Noir! response:	Yes, ma'am!
context: Let's take a picture!\A picture with everybody!\Shall we take turns?\First, Nanami and you guys...\Oh, don't worry about that.\Leo-sama, it's okay, right?\Yes. Noir!\Yes, ma'am! response:	Secret Escort Troop.
context: A picture with everybody!\Shall we take turns?\First, Nanami and you guys...\Oh, don't worry about that.\Leo-sama, it's okay, right?\Yes. Noir!\Yes, ma'am!\Secret Escort Troop. response:	At your service!
context: Shall we take turns?\First, Nanami and you guys...\Oh, don't worry about that.\Leo-sama, it's okay, right?\Yes. Noir!\Yes, ma'am!\Secret Escort Troop.\At your service! response:	Okay, Noir, can you take the picture then?
context: First, Nanami and you guys...\Oh, don't worry about that.\Leo-sama, it's okay, right?\Yes. Noir!\Yes, ma'am!\Secret Escort Troop.\At your service!\Okay, Noir, can you take the picture then? response:	Sure.
context: Oh, don't worry about that.\Leo-sama, it's okay, right?\Yes. Noir!\Yes, ma'am!\Secret Escort Troop.\At your service!\Okay, Noir, can you take the picture then?\Sure. response:	All right, there's still plenty of places I want to show you!
context: Leo-sama, it's okay, right?\Yes. Noir!\Yes, ma'am!\Secret Escort Troop.\At your service!\Okay, Noir, can you take the picture then?\Sure.\All right, there's still plenty of places I want to show you! response:	Adel-sama, Isuka-dono?
context: Yes. Noir!\Yes, ma'am!\Secret Escort Troop.\At your service!\Okay, Noir, can you take the picture then?\Sure.\All right, there's still plenty of places I want to show you!\Adel-sama, Isuka-dono? response:	The Hero Crystals I gave to Sink and Gaul...
context: Yes, ma'am!\Secret Escort Troop.\At your service!\Okay, Noir, can you take the picture then?\Sure.\All right, there's still plenty of places I want to show you!\Adel-sama, Isuka-dono?\The Hero Crystals I gave to Sink and Gaul... response:	we never gave you one, Nanami.
context: Secret Escort Troop.\At your service!\Okay, Noir, can you take the picture then?\Sure.\All right, there's still plenty of places I want to show you!\Adel-sama, Isuka-dono?\The Hero Crystals I gave to Sink and Gaul...\we never gave you one, Nanami. response:	Oh, yeah...
context: At your service!\Okay, Noir, can you take the picture then?\Sure.\All right, there's still plenty of places I want to show you!\Adel-sama, Isuka-dono?\The Hero Crystals I gave to Sink and Gaul...\we never gave you one, Nanami.\Oh, yeah... response:	You also have the proper qualifications to be a Hero.
context: Okay, Noir, can you take the picture then?\Sure.\All right, there's still plenty of places I want to show you!\Adel-sama, Isuka-dono?\The Hero Crystals I gave to Sink and Gaul...\we never gave you one, Nanami.\Oh, yeah...\You also have the proper qualifications to be a Hero. response:	We'll make sure to have created one
context: Sure.\All right, there's still plenty of places I want to show you!\Adel-sama, Isuka-dono?\The Hero Crystals I gave to Sink and Gaul...\we never gave you one, Nanami.\Oh, yeah...\You also have the proper qualifications to be a Hero.\We'll make sure to have created one response:	for you by next time.
context: All right, there's still plenty of places I want to show you!\Adel-sama, Isuka-dono?\The Hero Crystals I gave to Sink and Gaul...\we never gave you one, Nanami.\Oh, yeah...\You also have the proper qualifications to be a Hero.\We'll make sure to have created one\for you by next time. response:	Really?! Thank you!
context: Adel-sama, Isuka-dono?\The Hero Crystals I gave to Sink and Gaul...\we never gave you one, Nanami.\Oh, yeah...\You also have the proper qualifications to be a Hero.\We'll make sure to have created one\for you by next time.\Really?! Thank you! response:	Well, kid, we had quite some experiences,
context: The Hero Crystals I gave to Sink and Gaul...\we never gave you one, Nanami.\Oh, yeah...\You also have the proper qualifications to be a Hero.\We'll make sure to have created one\for you by next time.\Really?! Thank you!\Well, kid, we had quite some experiences, response:	but it was you and our little shrimp that woke me,
context: we never gave you one, Nanami.\Oh, yeah...\You also have the proper qualifications to be a Hero.\We'll make sure to have created one\for you by next time.\Really?! Thank you!\Well, kid, we had quite some experiences,\but it was you and our little shrimp that woke me, response:	so I'll say thanks.
context: Oh, yeah...\You also have the proper qualifications to be a Hero.\We'll make sure to have created one\for you by next time.\Really?! Thank you!\Well, kid, we had quite some experiences,\but it was you and our little shrimp that woke me,\so I'll say thanks. response:	I'd like to express my gratitude as well.
context: You also have the proper qualifications to be a Hero.\We'll make sure to have created one\for you by next time.\Really?! Thank you!\Well, kid, we had quite some experiences,\but it was you and our little shrimp that woke me,\so I'll say thanks.\I'd like to express my gratitude as well. response:	You've inherited the Demon Crystal!
context: We'll make sure to have created one\for you by next time.\Really?! Thank you!\Well, kid, we had quite some experiences,\but it was you and our little shrimp that woke me,\so I'll say thanks.\I'd like to express my gratitude as well.\You've inherited the Demon Crystal! response:	Make sure to keep training on the other side, as well!
context: for you by next time.\Really?! Thank you!\Well, kid, we had quite some experiences,\but it was you and our little shrimp that woke me,\so I'll say thanks.\I'd like to express my gratitude as well.\You've inherited the Demon Crystal!\Make sure to keep training on the other side, as well! response:	Yes, I'll do my best!
context: Really?! Thank you!\Well, kid, we had quite some experiences,\but it was you and our little shrimp that woke me,\so I'll say thanks.\I'd like to express my gratitude as well.\You've inherited the Demon Crystal!\Make sure to keep training on the other side, as well!\Yes, I'll do my best! response:	Sorry that I didn't find
context: Well, kid, we had quite some experiences,\but it was you and our little shrimp that woke me,\so I'll say thanks.\I'd like to express my gratitude as well.\You've inherited the Demon Crystal!\Make sure to keep training on the other side, as well!\Yes, I'll do my best!\Sorry that I didn't find response:	a better time to secretly hand this over...
context: but it was you and our little shrimp that woke me,\so I'll say thanks.\I'd like to express my gratitude as well.\You've inherited the Demon Crystal!\Make sure to keep training on the other side, as well!\Yes, I'll do my best!\Sorry that I didn't find\a better time to secretly hand this over... response:	Oh, no.
context: so I'll say thanks.\I'd like to express my gratitude as well.\You've inherited the Demon Crystal!\Make sure to keep training on the other side, as well!\Yes, I'll do my best!\Sorry that I didn't find\a better time to secretly hand this over...\Oh, no. response:	Really, thank you for making the trip out here.
context: I'd like to express my gratitude as well.\You've inherited the Demon Crystal!\Make sure to keep training on the other side, as well!\Yes, I'll do my best!\Sorry that I didn't find\a better time to secretly hand this over...\Oh, no.\Really, thank you for making the trip out here. response:	So anyway, here's what you asked for.
context: You've inherited the Demon Crystal!\Make sure to keep training on the other side, as well!\Yes, I'll do my best!\Sorry that I didn't find\a better time to secretly hand this over...\Oh, no.\Really, thank you for making the trip out here.\So anyway, here's what you asked for. response:	Everyone!
context: Make sure to keep training on the other side, as well!\Yes, I'll do my best!\Sorry that I didn't find\a better time to secretly hand this over...\Oh, no.\Really, thank you for making the trip out here.\So anyway, here's what you asked for.\Everyone! response:	Our rulers and Heroes are about to return!
context: Yes, I'll do my best!\Sorry that I didn't find\a better time to secretly hand this over...\Oh, no.\Really, thank you for making the trip out here.\So anyway, here's what you asked for.\Everyone!\Our rulers and Heroes are about to return! response:	The surprise Hero farewell party
context: Sorry that I didn't find\a better time to secretly hand this over...\Oh, no.\Really, thank you for making the trip out here.\So anyway, here's what you asked for.\Everyone!\Our rulers and Heroes are about to return!\The surprise Hero farewell party response:	organized by us young knights...
context: a better time to secretly hand this over...\Oh, no.\Really, thank you for making the trip out here.\So anyway, here's what you asked for.\Everyone!\Our rulers and Heroes are about to return!\The surprise Hero farewell party\organized by us young knights... response:	This has indeed become quite huge.
context: Oh, no.\Really, thank you for making the trip out here.\So anyway, here's what you asked for.\Everyone!\Our rulers and Heroes are about to return!\The surprise Hero farewell party\organized by us young knights...\This has indeed become quite huge. response:	Yes, Prince Gaul's holding the reins.
context: Really, thank you for making the trip out here.\So anyway, here's what you asked for.\Everyone!\Our rulers and Heroes are about to return!\The surprise Hero farewell party\organized by us young knights...\This has indeed become quite huge.\Yes, Prince Gaul's holding the reins. response:	The princesses and Heroes are arriving!
context: So anyway, here's what you asked for.\Everyone!\Our rulers and Heroes are about to return!\The surprise Hero farewell party\organized by us young knights...\This has indeed become quite huge.\Yes, Prince Gaul's holding the reins.\The princesses and Heroes are arriving! response:	Everybody, get ready!
context: Everyone!\Our rulers and Heroes are about to return!\The surprise Hero farewell party\organized by us young knights...\This has indeed become quite huge.\Yes, Prince Gaul's holding the reins.\The princesses and Heroes are arriving!\Everybody, get ready! response:	I bet you didn't expect that, did you?!
context: Our rulers and Heroes are about to return!\The surprise Hero farewell party\organized by us young knights...\This has indeed become quite huge.\Yes, Prince Gaul's holding the reins.\The princesses and Heroes are arriving!\Everybody, get ready!\I bet you didn't expect that, did you?! response:	You were probably thinking of having a light meal,
context: The surprise Hero farewell party\organized by us young knights...\This has indeed become quite huge.\Yes, Prince Gaul's holding the reins.\The princesses and Heroes are arriving!\Everybody, get ready!\I bet you didn't expect that, did you?!\You were probably thinking of having a light meal, response:	but we won't allow that!
context: organized by us young knights...\This has indeed become quite huge.\Yes, Prince Gaul's holding the reins.\The princesses and Heroes are arriving!\Everybody, get ready!\I bet you didn't expect that, did you?!\You were probably thinking of having a light meal,\but we won't allow that! response:	A surprise party organized by us
context: This has indeed become quite huge.\Yes, Prince Gaul's holding the reins.\The princesses and Heroes are arriving!\Everybody, get ready!\I bet you didn't expect that, did you?!\You were probably thinking of having a light meal,\but we won't allow that!\A surprise party organized by us response:	young knights to thank our rulers
context: Yes, Prince Gaul's holding the reins.\The princesses and Heroes are arriving!\Everybody, get ready!\I bet you didn't expect that, did you?!\You were probably thinking of having a light meal,\but we won't allow that!\A surprise party organized by us\young knights to thank our rulers response:	and Heroes for their hard work.
context: The princesses and Heroes are arriving!\Everybody, get ready!\I bet you didn't expect that, did you?!\You were probably thinking of having a light meal,\but we won't allow that!\A surprise party organized by us\young knights to thank our rulers\and Heroes for their hard work. response:	I bet you never suspected that we had planned this all along!
context: Everybody, get ready!\I bet you didn't expect that, did you?!\You were probably thinking of having a light meal,\but we won't allow that!\A surprise party organized by us\young knights to thank our rulers\and Heroes for their hard work.\I bet you never suspected that we had planned this all along! response:	We didn't!
context: I bet you didn't expect that, did you?!\You were probably thinking of having a light meal,\but we won't allow that!\A surprise party organized by us\young knights to thank our rulers\and Heroes for their hard work.\I bet you never suspected that we had planned this all along!\We didn't! response:	You got us!
context: You were probably thinking of having a light meal,\but we won't allow that!\A surprise party organized by us\young knights to thank our rulers\and Heroes for their hard work.\I bet you never suspected that we had planned this all along!\We didn't!\You got us! response:	Now rulers and Heroes, please...
context: but we won't allow that!\A surprise party organized by us\young knights to thank our rulers\and Heroes for their hard work.\I bet you never suspected that we had planned this all along!\We didn't!\You got us!\Now rulers and Heroes, please... response:	Hey, Hina. I'm back.
context: A surprise party organized by us\young knights to thank our rulers\and Heroes for their hard work.\I bet you never suspected that we had planned this all along!\We didn't!\You got us!\Now rulers and Heroes, please...\Hey, Hina. I'm back. response:	I got this from the princesses.
context: young knights to thank our rulers\and Heroes for their hard work.\I bet you never suspected that we had planned this all along!\We didn't!\You got us!\Now rulers and Heroes, please...\Hey, Hina. I'm back.\I got this from the princesses. response:	Shall we?
context: and Heroes for their hard work.\I bet you never suspected that we had planned this all along!\We didn't!\You got us!\Now rulers and Heroes, please...\Hey, Hina. I'm back.\I got this from the princesses.\Shall we? response:	Sounds good. I'll have some.
context: I bet you never suspected that we had planned this all along!\We didn't!\You got us!\Now rulers and Heroes, please...\Hey, Hina. I'm back.\I got this from the princesses.\Shall we?\Sounds good. I'll have some. response:	So how was the farewell party?
context: We didn't!\You got us!\Now rulers and Heroes, please...\Hey, Hina. I'm back.\I got this from the princesses.\Shall we?\Sounds good. I'll have some.\So how was the farewell party? response:	The young ones all seemed to have fun.
context: You got us!\Now rulers and Heroes, please...\Hey, Hina. I'm back.\I got this from the princesses.\Shall we?\Sounds good. I'll have some.\So how was the farewell party?\The young ones all seemed to have fun. response:	They liked the swords I made, too.
context: Now rulers and Heroes, please...\Hey, Hina. I'm back.\I got this from the princesses.\Shall we?\Sounds good. I'll have some.\So how was the farewell party?\The young ones all seemed to have fun.\They liked the swords I made, too. response:	What did you make them?
context: Hey, Hina. I'm back.\I got this from the princesses.\Shall we?\Sounds good. I'll have some.\So how was the farewell party?\The young ones all seemed to have fun.\They liked the swords I made, too.\What did you make them? response:	Small blades for use at home.
context: I got this from the princesses.\Shall we?\Sounds good. I'll have some.\So how was the farewell party?\The young ones all seemed to have fun.\They liked the swords I made, too.\What did you make them?\Small blades for use at home. response:	An all-around knife
context: Shall we?\Sounds good. I'll have some.\So how was the farewell party?\The young ones all seemed to have fun.\They liked the swords I made, too.\What did you make them?\Small blades for use at home.\An all-around knife response:	great for cutting fruit or for camping.
context: Sounds good. I'll have some.\So how was the farewell party?\The young ones all seemed to have fun.\They liked the swords I made, too.\What did you make them?\Small blades for use at home.\An all-around knife\great for cutting fruit or for camping. response:	Since Rebecca likes cooking, I made her a cooking knife.
context: So how was the farewell party?\The young ones all seemed to have fun.\They liked the swords I made, too.\What did you make them?\Small blades for use at home.\An all-around knife\great for cutting fruit or for camping.\Since Rebecca likes cooking, I made her a cooking knife. response:	You made household blades, eh?
context: The young ones all seemed to have fun.\They liked the swords I made, too.\What did you make them?\Small blades for use at home.\An all-around knife\great for cutting fruit or for camping.\Since Rebecca likes cooking, I made her a cooking knife.\You made household blades, eh? response:	That brings back memories.
context: They liked the swords I made, too.\What did you make them?\Small blades for use at home.\An all-around knife\great for cutting fruit or for camping.\Since Rebecca likes cooking, I made her a cooking knife.\You made household blades, eh?\That brings back memories. response:	You're telling me.
context: What did you make them?\Small blades for use at home.\An all-around knife\great for cutting fruit or for camping.\Since Rebecca likes cooking, I made her a cooking knife.\You made household blades, eh?\That brings back memories.\You're telling me. response:	But I got to make nice blades and see nice smiles.
context: Small blades for use at home.\An all-around knife\great for cutting fruit or for camping.\Since Rebecca likes cooking, I made her a cooking knife.\You made household blades, eh?\That brings back memories.\You're telling me.\But I got to make nice blades and see nice smiles. response:	That alone made it worth coming back.
context: An all-around knife\great for cutting fruit or for camping.\Since Rebecca likes cooking, I made her a cooking knife.\You made household blades, eh?\That brings back memories.\You're telling me.\But I got to make nice blades and see nice smiles.\That alone made it worth coming back. response:	I see.
context: great for cutting fruit or for camping.\Since Rebecca likes cooking, I made her a cooking knife.\You made household blades, eh?\That brings back memories.\You're telling me.\But I got to make nice blades and see nice smiles.\That alone made it worth coming back.\I see. response:	Captain Riselle!
context: Since Rebecca likes cooking, I made her a cooking knife.\You made household blades, eh?\That brings back memories.\You're telling me.\But I got to make nice blades and see nice smiles.\That alone made it worth coming back.\I see.\Captain Riselle! response:	We're back!
context: You made household blades, eh?\That brings back memories.\You're telling me.\But I got to make nice blades and see nice smiles.\That alone made it worth coming back.\I see.\Captain Riselle!\We're back! response:	Princess, sorry for the wait.
context: That brings back memories.\You're telling me.\But I got to make nice blades and see nice smiles.\That alone made it worth coming back.\I see.\Captain Riselle!\We're back!\Princess, sorry for the wait. response:	Don't worry.
context: You're telling me.\But I got to make nice blades and see nice smiles.\That alone made it worth coming back.\I see.\Captain Riselle!\We're back!\Princess, sorry for the wait.\Don't worry. response:	Oh, where's Cou-sama?
context: But I got to make nice blades and see nice smiles.\That alone made it worth coming back.\I see.\Captain Riselle!\We're back!\Princess, sorry for the wait.\Don't worry.\Oh, where's Cou-sama? response:	We both left after getting ready, but she said
context: That alone made it worth coming back.\I see.\Captain Riselle!\We're back!\Princess, sorry for the wait.\Don't worry.\Oh, where's Cou-sama?\We both left after getting ready, but she said response:	she remembered some urgent business.
context: I see.\Captain Riselle!\We're back!\Princess, sorry for the wait.\Don't worry.\Oh, where's Cou-sama?\We both left after getting ready, but she said\she remembered some urgent business. response:	Oh.
context: Captain Riselle!\We're back!\Princess, sorry for the wait.\Don't worry.\Oh, where's Cou-sama?\We both left after getting ready, but she said\she remembered some urgent business.\Oh. response:	Sink, you're late!
