context: It seems I slightly underrated you, Elfman. response:	When it comes to tenacity and being able to take punishment,
context: You couldn't come up with a better fighting strategy?\Anyway, he's injured and needs his sleep.\How'bout we have Ever sleep with you?\Quit screwin' around!\Still, those Raven Tail jerks play dirty right out in the open...\I wonder if their intention is to take us out one by one.\I've still got my doubts about what happened.\What is it, Carla? response:	I already heard the basics...
context: Anyway, he's injured and needs his sleep.\How'bout we have Ever sleep with you?\Quit screwin' around!\Still, those Raven Tail jerks play dirty right out in the open...\I wonder if their intention is to take us out one by one.\I've still got my doubts about what happened.\What is it, Carla?\I already heard the basics... response:	We assume Raven Tail used a guild of bandits
context: How'bout we have Ever sleep with you?\Quit screwin' around!\Still, those Raven Tail jerks play dirty right out in the open...\I wonder if their intention is to take us out one by one.\I've still got my doubts about what happened.\What is it, Carla?\I already heard the basics...\We assume Raven Tail used a guild of bandits response:	in an attempt to kidnap Lucy.
context: Quit screwin' around!\Still, those Raven Tail jerks play dirty right out in the open...\I wonder if their intention is to take us out one by one.\I've still got my doubts about what happened.\What is it, Carla?\I already heard the basics...\We assume Raven Tail used a guild of bandits\in an attempt to kidnap Lucy. response:	But thanks to them screwing up the objective and Natsu's pursuit,
context: Still, those Raven Tail jerks play dirty right out in the open...\I wonder if their intention is to take us out one by one.\I've still got my doubts about what happened.\What is it, Carla?\I already heard the basics...\We assume Raven Tail used a guild of bandits\in an attempt to kidnap Lucy.\But thanks to them screwing up the objective and Natsu's pursuit, response:	the scheme failed twice over.
context: I wonder if their intention is to take us out one by one.\I've still got my doubts about what happened.\What is it, Carla?\I already heard the basics...\We assume Raven Tail used a guild of bandits\in an attempt to kidnap Lucy.\But thanks to them screwing up the objective and Natsu's pursuit,\the scheme failed twice over. response:	Doesn't that make sense?
context: I've still got my doubts about what happened.\What is it, Carla?\I already heard the basics...\We assume Raven Tail used a guild of bandits\in an attempt to kidnap Lucy.\But thanks to them screwing up the objective and Natsu's pursuit,\the scheme failed twice over.\Doesn't that make sense? response:	Although we don't know what they were planning to do with her...
context: What is it, Carla?\I already heard the basics...\We assume Raven Tail used a guild of bandits\in an attempt to kidnap Lucy.\But thanks to them screwing up the objective and Natsu's pursuit,\the scheme failed twice over.\Doesn't that make sense?\Although we don't know what they were planning to do with her... response:	Don't even go there!
context: I already heard the basics...\We assume Raven Tail used a guild of bandits\in an attempt to kidnap Lucy.\But thanks to them screwing up the objective and Natsu's pursuit,\the scheme failed twice over.\Doesn't that make sense?\Although we don't know what they were planning to do with her...\Don't even go there! response:	The issue is the method of capture.
context: We assume Raven Tail used a guild of bandits\in an attempt to kidnap Lucy.\But thanks to them screwing up the objective and Natsu's pursuit,\the scheme failed twice over.\Doesn't that make sense?\Although we don't know what they were planning to do with her...\Don't even go there!\The issue is the method of capture. response:	One of the members of Raven Tail that attacked us
context: in an attempt to kidnap Lucy.\But thanks to them screwing up the objective and Natsu's pursuit,\the scheme failed twice over.\Doesn't that make sense?\Although we don't know what they were planning to do with her...\Don't even go there!\The issue is the method of capture.\One of the members of Raven Tail that attacked us response:	has the power to reduce his opponent's magic power to zero for a moment.
context: But thanks to them screwing up the objective and Natsu's pursuit,\the scheme failed twice over.\Doesn't that make sense?\Although we don't know what they were planning to do with her...\Don't even go there!\The issue is the method of capture.\One of the members of Raven Tail that attacked us\has the power to reduce his opponent's magic power to zero for a moment. response:	Right...
context: the scheme failed twice over.\Doesn't that make sense?\Although we don't know what they were planning to do with her...\Don't even go there!\The issue is the method of capture.\One of the members of Raven Tail that attacked us\has the power to reduce his opponent's magic power to zero for a moment.\Right... response:	Master suspects
context: Doesn't that make sense?\Although we don't know what they were planning to do with her...\Don't even go there!\The issue is the method of capture.\One of the members of Raven Tail that attacked us\has the power to reduce his opponent's magic power to zero for a moment.\Right...\Master suspects response:	that he's the one who canceled out Lucy's magic on the first day.
context: Although we don't know what they were planning to do with her...\Don't even go there!\The issue is the method of capture.\One of the members of Raven Tail that attacked us\has the power to reduce his opponent's magic power to zero for a moment.\Right...\Master suspects\that he's the one who canceled out Lucy's magic on the first day. response:	They've got a wizard whose magic would be perfect for a kidnapping,
context: Don't even go there!\The issue is the method of capture.\One of the members of Raven Tail that attacked us\has the power to reduce his opponent's magic power to zero for a moment.\Right...\Master suspects\that he's the one who canceled out Lucy's magic on the first day.\They've got a wizard whose magic would be perfect for a kidnapping, response:	so why wasn't he part of the operation?
context: The issue is the method of capture.\One of the members of Raven Tail that attacked us\has the power to reduce his opponent's magic power to zero for a moment.\Right...\Master suspects\that he's the one who canceled out Lucy's magic on the first day.\They've got a wizard whose magic would be perfect for a kidnapping,\so why wasn't he part of the operation? response:	Well, probably because of the rules of the battle part,
context: One of the members of Raven Tail that attacked us\has the power to reduce his opponent's magic power to zero for a moment.\Right...\Master suspects\that he's the one who canceled out Lucy's magic on the first day.\They've got a wizard whose magic would be perfect for a kidnapping,\so why wasn't he part of the operation?\Well, probably because of the rules of the battle part, response:	which require all participants to stay close to the arena.
context: has the power to reduce his opponent's magic power to zero for a moment.\Right...\Master suspects\that he's the one who canceled out Lucy's magic on the first day.\They've got a wizard whose magic would be perfect for a kidnapping,\so why wasn't he part of the operation?\Well, probably because of the rules of the battle part,\which require all participants to stay close to the arena. response:	That's because nobody knows who's going to be chosen for battle'til just before, right?
context: Right...\Master suspects\that he's the one who canceled out Lucy's magic on the first day.\They've got a wizard whose magic would be perfect for a kidnapping,\so why wasn't he part of the operation?\Well, probably because of the rules of the battle part,\which require all participants to stay close to the arena.\That's because nobody knows who's going to be chosen for battle'til just before, right? response:	You're overthinking it, Carla.
context: Master suspects\that he's the one who canceled out Lucy's magic on the first day.\They've got a wizard whose magic would be perfect for a kidnapping,\so why wasn't he part of the operation?\Well, probably because of the rules of the battle part,\which require all participants to stay close to the arena.\That's because nobody knows who's going to be chosen for battle'til just before, right?\You're overthinking it, Carla. response:	Yeah.
context: that he's the one who canceled out Lucy's magic on the first day.\They've got a wizard whose magic would be perfect for a kidnapping,\so why wasn't he part of the operation?\Well, probably because of the rules of the battle part,\which require all participants to stay close to the arena.\That's because nobody knows who's going to be chosen for battle'til just before, right?\You're overthinking it, Carla.\Yeah. response:	I know very well that results matter much more to them than means.
context: They've got a wizard whose magic would be perfect for a kidnapping,\so why wasn't he part of the operation?\Well, probably because of the rules of the battle part,\which require all participants to stay close to the arena.\That's because nobody knows who's going to be chosen for battle'til just before, right?\You're overthinking it, Carla.\Yeah.\I know very well that results matter much more to them than means. response:	Well, either way, if we're being targeted outside of the arena,
context: so why wasn't he part of the operation?\Well, probably because of the rules of the battle part,\which require all participants to stay close to the arena.\That's because nobody knows who's going to be chosen for battle'til just before, right?\You're overthinking it, Carla.\Yeah.\I know very well that results matter much more to them than means.\Well, either way, if we're being targeted outside of the arena, response:	we mustn't let our guards down, and try not to be alone at any time.
context: Well, probably because of the rules of the battle part,\which require all participants to stay close to the arena.\That's because nobody knows who's going to be chosen for battle'til just before, right?\You're overthinking it, Carla.\Yeah.\I know very well that results matter much more to them than means.\Well, either way, if we're being targeted outside of the arena,\we mustn't let our guards down, and try not to be alone at any time. response:	What really bothers me
context: which require all participants to stay close to the arena.\That's because nobody knows who's going to be chosen for battle'til just before, right?\You're overthinking it, Carla.\Yeah.\I know very well that results matter much more to them than means.\Well, either way, if we're being targeted outside of the arena,\we mustn't let our guards down, and try not to be alone at any time.\What really bothers me response:	is the question of why they were after Lucy...
context: That's because nobody knows who's going to be chosen for battle'til just before, right?\You're overthinking it, Carla.\Yeah.\I know very well that results matter much more to them than means.\Well, either way, if we're being targeted outside of the arena,\we mustn't let our guards down, and try not to be alone at any time.\What really bothers me\is the question of why they were after Lucy... response:	Mirajane versus Jenny!
context: You're overthinking it, Carla.\Yeah.\I know very well that results matter much more to them than means.\Well, either way, if we're being targeted outside of the arena,\we mustn't let our guards down, and try not to be alone at any time.\What really bothers me\is the question of why they were after Lucy...\Mirajane versus Jenny! response:	It's the third match of the second day of the Grand Magic Games!
context: Yeah.\I know very well that results matter much more to them than means.\Well, either way, if we're being targeted outside of the arena,\we mustn't let our guards down, and try not to be alone at any time.\What really bothers me\is the question of why they were after Lucy...\Mirajane versus Jenny!\It's the third match of the second day of the Grand Magic Games! response:	Mirajane Strauss from Fairy Tail B versus
context: I know very well that results matter much more to them than means.\Well, either way, if we're being targeted outside of the arena,\we mustn't let our guards down, and try not to be alone at any time.\What really bothers me\is the question of why they were after Lucy...\Mirajane versus Jenny!\It's the third match of the second day of the Grand Magic Games!\Mirajane Strauss from Fairy Tail B versus response:	Blue Pegasus reserve member Jenny Rearlight!
context: Well, either way, if we're being targeted outside of the arena,\we mustn't let our guards down, and try not to be alone at any time.\What really bothers me\is the question of why they were after Lucy...\Mirajane versus Jenny!\It's the third match of the second day of the Grand Magic Games!\Mirajane Strauss from Fairy Tail B versus\Blue Pegasus reserve member Jenny Rearlight! response:	I'm back.
context: we mustn't let our guards down, and try not to be alone at any time.\What really bothers me\is the question of why they were after Lucy...\Mirajane versus Jenny!\It's the third match of the second day of the Grand Magic Games!\Mirajane Strauss from Fairy Tail B versus\Blue Pegasus reserve member Jenny Rearlight!\I'm back. response:	How is Elfman doing?
context: What really bothers me\is the question of why they were after Lucy...\Mirajane versus Jenny!\It's the third match of the second day of the Grand Magic Games!\Mirajane Strauss from Fairy Tail B versus\Blue Pegasus reserve member Jenny Rearlight!\I'm back.\How is Elfman doing? response:	He's all beat up, but no worries.
context: is the question of why they were after Lucy...\Mirajane versus Jenny!\It's the third match of the second day of the Grand Magic Games!\Mirajane Strauss from Fairy Tail B versus\Blue Pegasus reserve member Jenny Rearlight!\I'm back.\How is Elfman doing?\He's all beat up, but no worries. response:	So it's a showdown between two former models, huh?
context: Mirajane versus Jenny!\It's the third match of the second day of the Grand Magic Games!\Mirajane Strauss from Fairy Tail B versus\Blue Pegasus reserve member Jenny Rearlight!\I'm back.\How is Elfman doing?\He's all beat up, but no worries.\So it's a showdown between two former models, huh? response:	Jenny's incredibly popular. I seem to recall that seven years ago,
context: It's the third match of the second day of the Grand Magic Games!\Mirajane Strauss from Fairy Tail B versus\Blue Pegasus reserve member Jenny Rearlight!\I'm back.\How is Elfman doing?\He's all beat up, but no worries.\So it's a showdown between two former models, huh?\Jenny's incredibly popular. I seem to recall that seven years ago, response:	she was voted the Number One Wizard I Want to Be My Girlfriend in Weekly Sorcerer.
context: Mirajane Strauss from Fairy Tail B versus\Blue Pegasus reserve member Jenny Rearlight!\I'm back.\How is Elfman doing?\He's all beat up, but no worries.\So it's a showdown between two former models, huh?\Jenny's incredibly popular. I seem to recall that seven years ago,\she was voted the Number One Wizard I Want to Be My Girlfriend in Weekly Sorcerer. response:	I remember reading she really looked up to Mira-nee as a role model and aimed to be like her.
context: Blue Pegasus reserve member Jenny Rearlight!\I'm back.\How is Elfman doing?\He's all beat up, but no worries.\So it's a showdown between two former models, huh?\Jenny's incredibly popular. I seem to recall that seven years ago,\she was voted the Number One Wizard I Want to Be My Girlfriend in Weekly Sorcerer.\I remember reading she really looked up to Mira-nee as a role model and aimed to be like her. response:	But Mira-nee was asleep for seven years,
context: I'm back.\How is Elfman doing?\He's all beat up, but no worries.\So it's a showdown between two former models, huh?\Jenny's incredibly popular. I seem to recall that seven years ago,\she was voted the Number One Wizard I Want to Be My Girlfriend in Weekly Sorcerer.\I remember reading she really looked up to Mira-nee as a role model and aimed to be like her.\But Mira-nee was asleep for seven years, response:	so I guess Jenny is the older one now...
context: How is Elfman doing?\He's all beat up, but no worries.\So it's a showdown between two former models, huh?\Jenny's incredibly popular. I seem to recall that seven years ago,\she was voted the Number One Wizard I Want to Be My Girlfriend in Weekly Sorcerer.\I remember reading she really looked up to Mira-nee as a role model and aimed to be like her.\But Mira-nee was asleep for seven years,\so I guess Jenny is the older one now... response:	Have you recovered?
context: He's all beat up, but no worries.\So it's a showdown between two former models, huh?\Jenny's incredibly popular. I seem to recall that seven years ago,\she was voted the Number One Wizard I Want to Be My Girlfriend in Weekly Sorcerer.\I remember reading she really looked up to Mira-nee as a role model and aimed to be like her.\But Mira-nee was asleep for seven years,\so I guess Jenny is the older one now...\Have you recovered? response:	Carla!
context: So it's a showdown between two former models, huh?\Jenny's incredibly popular. I seem to recall that seven years ago,\she was voted the Number One Wizard I Want to Be My Girlfriend in Weekly Sorcerer.\I remember reading she really looked up to Mira-nee as a role model and aimed to be like her.\But Mira-nee was asleep for seven years,\so I guess Jenny is the older one now...\Have you recovered?\Carla! response:	Wendy's okay now, too.
context: Jenny's incredibly popular. I seem to recall that seven years ago,\she was voted the Number One Wizard I Want to Be My Girlfriend in Weekly Sorcerer.\I remember reading she really looked up to Mira-nee as a role model and aimed to be like her.\But Mira-nee was asleep for seven years,\so I guess Jenny is the older one now...\Have you recovered?\Carla!\Wendy's okay now, too. response:	I was told that everyone but the participants have to stay in these seats.
context: she was voted the Number One Wizard I Want to Be My Girlfriend in Weekly Sorcerer.\I remember reading she really looked up to Mira-nee as a role model and aimed to be like her.\But Mira-nee was asleep for seven years,\so I guess Jenny is the older one now...\Have you recovered?\Carla!\Wendy's okay now, too.\I was told that everyone but the participants have to stay in these seats. response:	I was so worried about you!
context: I remember reading she really looked up to Mira-nee as a role model and aimed to be like her.\But Mira-nee was asleep for seven years,\so I guess Jenny is the older one now...\Have you recovered?\Carla!\Wendy's okay now, too.\I was told that everyone but the participants have to stay in these seats.\I was so worried about you! response:	Never mind that. The match has already started, right?
context: But Mira-nee was asleep for seven years,\so I guess Jenny is the older one now...\Have you recovered?\Carla!\Wendy's okay now, too.\I was told that everyone but the participants have to stay in these seats.\I was so worried about you!\Never mind that. The match has already started, right? response:	There's no sense being hung up on my dream now.
context: so I guess Jenny is the older one now...\Have you recovered?\Carla!\Wendy's okay now, too.\I was told that everyone but the participants have to stay in these seats.\I was so worried about you!\Never mind that. The match has already started, right?\There's no sense being hung up on my dream now. response:	I've got to cheer our guild on!
context: Have you recovered?\Carla!\Wendy's okay now, too.\I was told that everyone but the participants have to stay in these seats.\I was so worried about you!\Never mind that. The match has already started, right?\There's no sense being hung up on my dream now.\I've got to cheer our guild on! response:	Mirajane! Do your best! Uh...
context: Carla!\Wendy's okay now, too.\I was told that everyone but the participants have to stay in these seats.\I was so worried about you!\Never mind that. The match has already started, right?\There's no sense being hung up on my dream now.\I've got to cheer our guild on!\Mirajane! Do your best! Uh... response:	What is this?!
context: Wendy's okay now, too.\I was told that everyone but the participants have to stay in these seats.\I was so worried about you!\Never mind that. The match has already started, right?\There's no sense being hung up on my dream now.\I've got to cheer our guild on!\Mirajane! Do your best! Uh...\What is this?! response:	They're...
context: I was told that everyone but the participants have to stay in these seats.\I was so worried about you!\Never mind that. The match has already started, right?\There's no sense being hung up on my dream now.\I've got to cheer our guild on!\Mirajane! Do your best! Uh...\What is this?!\They're... response:	Master, calm down.
context: I was so worried about you!\Never mind that. The match has already started, right?\There's no sense being hung up on my dream now.\I've got to cheer our guild on!\Mirajane! Do your best! Uh...\What is this?!\They're...\Master, calm down. response:	Like this?
context: Never mind that. The match has already started, right?\There's no sense being hung up on my dream now.\I've got to cheer our guild on!\Mirajane! Do your best! Uh...\What is this?!\They're...\Master, calm down.\Like this? response:	How's this?
context: There's no sense being hung up on my dream now.\I've got to cheer our guild on!\Mirajane! Do your best! Uh...\What is this?!\They're...\Master, calm down.\Like this?\How's this? response:	What the hell's goin' on here?!
context: I've got to cheer our guild on!\Mirajane! Do your best! Uh...\What is this?!\They're...\Master, calm down.\Like this?\How's this?\What the hell's goin' on here?! response:	Mira-san...
context: Mirajane! Do your best! Uh...\What is this?!\They're...\Master, calm down.\Like this?\How's this?\What the hell's goin' on here?!\Mira-san... response:	I guess... since they're both former pinup models...
context: What is this?!\They're...\Master, calm down.\Like this?\How's this?\What the hell's goin' on here?!\Mira-san...\I guess... since they're both former pinup models... response:	This is despicable.
context: They're...\Master, calm down.\Like this?\How's this?\What the hell's goin' on here?!\Mira-san...\I guess... since they're both former pinup models...\This is despicable. response:	Like so?
context: Master, calm down.\Like this?\How's this?\What the hell's goin' on here?!\Mira-san...\I guess... since they're both former pinup models...\This is despicable.\Like so? response:	Hi...
context: Like this?\How's this?\What the hell's goin' on here?!\Mira-san...\I guess... since they're both former pinup models...\This is despicable.\Like so?\Hi... response:	They do this kind of thing in the battle part too?
context: How's this?\What the hell's goin' on here?!\Mira-san...\I guess... since they're both former pinup models...\This is despicable.\Like so?\Hi...\They do this kind of thing in the battle part too? response:	I imagine this involves a special rule...
context: What the hell's goin' on here?!\Mira-san...\I guess... since they're both former pinup models...\This is despicable.\Like so?\Hi...\They do this kind of thing in the battle part too?\I imagine this involves a special rule... response:	Or at least, I hope so...
context: Mira-san...\I guess... since they're both former pinup models...\This is despicable.\Like so?\Hi...\They do this kind of thing in the battle part too?\I imagine this involves a special rule...\Or at least, I hope so... response:	Who would've figured we'd have to dip into our reserves on the second day...
context: I guess... since they're both former pinup models...\This is despicable.\Like so?\Hi...\They do this kind of thing in the battle part too?\I imagine this involves a special rule...\Or at least, I hope so...\Who would've figured we'd have to dip into our reserves on the second day... response:	Couldn't be helped. Not with Ichiya-san like that...
context: This is despicable.\Like so?\Hi...\They do this kind of thing in the battle part too?\I imagine this involves a special rule...\Or at least, I hope so...\Who would've figured we'd have to dip into our reserves on the second day...\Couldn't be helped. Not with Ichiya-san like that... response:	A competition that relied on physical strength must've really been tough on him.
context: Like so?\Hi...\They do this kind of thing in the battle part too?\I imagine this involves a special rule...\Or at least, I hope so...\Who would've figured we'd have to dip into our reserves on the second day...\Couldn't be helped. Not with Ichiya-san like that...\A competition that relied on physical strength must've really been tough on him. response:	As expected, pretty impressive.
context: Hi...\They do this kind of thing in the battle part too?\I imagine this involves a special rule...\Or at least, I hope so...\Who would've figured we'd have to dip into our reserves on the second day...\Couldn't be helped. Not with Ichiya-san like that...\A competition that relied on physical strength must've really been tough on him.\As expected, pretty impressive. response:	It's been a while since I've done this kind of thing.
context: They do this kind of thing in the battle part too?\I imagine this involves a special rule...\Or at least, I hope so...\Who would've figured we'd have to dip into our reserves on the second day...\Couldn't be helped. Not with Ichiya-san like that...\A competition that relied on physical strength must've really been tough on him.\As expected, pretty impressive.\It's been a while since I've done this kind of thing. response:	I didn't think you'd agree to do a pinup idol showdown.
context: I imagine this involves a special rule...\Or at least, I hope so...\Who would've figured we'd have to dip into our reserves on the second day...\Couldn't be helped. Not with Ichiya-san like that...\A competition that relied on physical strength must've really been tough on him.\As expected, pretty impressive.\It's been a while since I've done this kind of thing.\I didn't think you'd agree to do a pinup idol showdown. response:	Yeah, well, I'm not too fond of slugfests.
context: Or at least, I hope so...\Who would've figured we'd have to dip into our reserves on the second day...\Couldn't be helped. Not with Ichiya-san like that...\A competition that relied on physical strength must've really been tough on him.\As expected, pretty impressive.\It's been a while since I've done this kind of thing.\I didn't think you'd agree to do a pinup idol showdown.\Yeah, well, I'm not too fond of slugfests. response:	If we can resolve this peacefully, all the better, right?
