context: I'll get you something, too. response:	A present.
context: I'm unemployed for two months.\What? Because you hit my professor?\I-I'm sorry. I'm really just so sorry.\Why are you apologizing?\Because it's my fault.\Stop talking.\It's not a problem. Stop worrying.\Okay... response:	It was a silent night
context: What? Because you hit my professor?\I-I'm sorry. I'm really just so sorry.\Why are you apologizing?\Because it's my fault.\Stop talking.\It's not a problem. Stop worrying.\Okay...\It was a silent night response:	Eclipse was beginnin'
context: I-I'm sorry. I'm really just so sorry.\Why are you apologizing?\Because it's my fault.\Stop talking.\It's not a problem. Stop worrying.\Okay...\It was a silent night\Eclipse was beginnin' response:	The overlapping moments
context: Why are you apologizing?\Because it's my fault.\Stop talking.\It's not a problem. Stop worrying.\Okay...\It was a silent night\Eclipse was beginnin'\The overlapping moments response:	We might believe them to be eternity
context: Because it's my fault.\Stop talking.\It's not a problem. Stop worrying.\Okay...\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity response:	In darkness...
context: Stop talking.\It's not a problem. Stop worrying.\Okay...\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness... response:	It's darker than black
context: It's not a problem. Stop worrying.\Okay...\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black response:	The labyrinthine sky
context: Okay...\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky response:	Begs for light
context: It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light response:	If I bite your soul
context: Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul response:	The impulse eats away at me
context: The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me response:	Can I... Can I... Can I... Who am I...?
context: We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...? response:	Libido erases my reason
context: In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason response:	(Where is my heart?)
context: It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?) response:	Into darkness
context: The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness response:	(Where is my heart?)
context: Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?) response:	I have fallen
context: If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen response:	(Where is my heart?)
context: The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?) response:	Taking a hideous form
context: Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form response:	If my human tears have dried
context: Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried response:	What will you think of me?
context: (Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me? response:	Give me an answer
context: Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer response:	Our crimson blood
context: (Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood response:	(Bloody bonds) Our crimson blood
context: I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood response:	Wets our bond
context: (Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond response:	We share our weakness
context: Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness response:	(Bloody bonds) We share our weakness
context: If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness response:	Will we two live on?
context: What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on? response:	Licking each other's wounds
context: Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds response:	Defining each other's life
context: Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life response:	Thirsting for love
context: (Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love response:	Paradox
context: Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Paradox response:	I wonder if she's there yet.
context: We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Paradox\I wonder if she's there yet. response:	Oh! Tsukasa!
context: (Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Paradox\I wonder if she's there yet.\Oh! Tsukasa! response:	Over here!
context: Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Paradox\I wonder if she's there yet.\Oh! Tsukasa!\Over here! response:	I haven't seen you since winter break started!
context: Licking each other's wounds\Defining each other's life\Thirsting for love\Paradox\I wonder if she's there yet.\Oh! Tsukasa!\Over here!\I haven't seen you since winter break started! response:	You don't give me any attention anymore.
context: Defining each other's life\Thirsting for love\Paradox\I wonder if she's there yet.\Oh! Tsukasa!\Over here!\I haven't seen you since winter break started!\You don't give me any attention anymore. response:	I assume this means you have a man?
context: Thirsting for love\Paradox\I wonder if she's there yet.\Oh! Tsukasa!\Over here!\I haven't seen you since winter break started!\You don't give me any attention anymore.\I assume this means you have a man? response:	What? For real?
context: Paradox\I wonder if she's there yet.\Oh! Tsukasa!\Over here!\I haven't seen you since winter break started!\You don't give me any attention anymore.\I assume this means you have a man?\What? For real? response:	Oh, but... W-we're not exactly dating...
context: I wonder if she's there yet.\Oh! Tsukasa!\Over here!\I haven't seen you since winter break started!\You don't give me any attention anymore.\I assume this means you have a man?\What? For real?\Oh, but... W-we're not exactly dating... response:	Yeah, but from the look on your face, I'm guessing it's going pretty well!
context: Oh! Tsukasa!\Over here!\I haven't seen you since winter break started!\You don't give me any attention anymore.\I assume this means you have a man?\What? For real?\Oh, but... W-we're not exactly dating...\Yeah, but from the look on your face, I'm guessing it's going pretty well! response:	So spill! What happened to you?
context: Over here!\I haven't seen you since winter break started!\You don't give me any attention anymore.\I assume this means you have a man?\What? For real?\Oh, but... W-we're not exactly dating...\Yeah, but from the look on your face, I'm guessing it's going pretty well!\So spill! What happened to you? response:	C-come on.
context: I haven't seen you since winter break started!\You don't give me any attention anymore.\I assume this means you have a man?\What? For real?\Oh, but... W-we're not exactly dating...\Yeah, but from the look on your face, I'm guessing it's going pretty well!\So spill! What happened to you?\C-come on. response:	You're overreacting.
context: You don't give me any attention anymore.\I assume this means you have a man?\What? For real?\Oh, but... W-we're not exactly dating...\Yeah, but from the look on your face, I'm guessing it's going pretty well!\So spill! What happened to you?\C-come on.\You're overreacting. response:	I am not! Last I heard, men totally freaked you out.
context: I assume this means you have a man?\What? For real?\Oh, but... W-we're not exactly dating...\Yeah, but from the look on your face, I'm guessing it's going pretty well!\So spill! What happened to you?\C-come on.\You're overreacting.\I am not! Last I heard, men totally freaked you out. response:	So what's he like?
context: What? For real?\Oh, but... W-we're not exactly dating...\Yeah, but from the look on your face, I'm guessing it's going pretty well!\So spill! What happened to you?\C-come on.\You're overreacting.\I am not! Last I heard, men totally freaked you out.\So what's he like? response:	Is he cute? How'd you meet?
context: Oh, but... W-we're not exactly dating...\Yeah, but from the look on your face, I'm guessing it's going pretty well!\So spill! What happened to you?\C-come on.\You're overreacting.\I am not! Last I heard, men totally freaked you out.\So what's he like?\Is he cute? How'd you meet? response:	Er... um...
context: Yeah, but from the look on your face, I'm guessing it's going pretty well!\So spill! What happened to you?\C-come on.\You're overreacting.\I am not! Last I heard, men totally freaked you out.\So what's he like?\Is he cute? How'd you meet?\Er... um... response:	He's not very friendly, and he often gets angry with me.
context: So spill! What happened to you?\C-come on.\You're overreacting.\I am not! Last I heard, men totally freaked you out.\So what's he like?\Is he cute? How'd you meet?\Er... um...\He's not very friendly, and he often gets angry with me. response:	But he's really very nice,
context: C-come on.\You're overreacting.\I am not! Last I heard, men totally freaked you out.\So what's he like?\Is he cute? How'd you meet?\Er... um...\He's not very friendly, and he often gets angry with me.\But he's really very nice, response:	and he's willing to admit when he's wrong.
context: You're overreacting.\I am not! Last I heard, men totally freaked you out.\So what's he like?\Is he cute? How'd you meet?\Er... um...\He's not very friendly, and he often gets angry with me.\But he's really very nice,\and he's willing to admit when he's wrong. response:	Oh, and he can jump really high!
context: I am not! Last I heard, men totally freaked you out.\So what's he like?\Is he cute? How'd you meet?\Er... um...\He's not very friendly, and he often gets angry with me.\But he's really very nice,\and he's willing to admit when he's wrong.\Oh, and he can jump really high! response:	Wait, what? Is he in track and field or something?
context: So what's he like?\Is he cute? How'd you meet?\Er... um...\He's not very friendly, and he often gets angry with me.\But he's really very nice,\and he's willing to admit when he's wrong.\Oh, and he can jump really high!\Wait, what? Is he in track and field or something? response:	Um, no, but... something like that?
context: Is he cute? How'd you meet?\Er... um...\He's not very friendly, and he often gets angry with me.\But he's really very nice,\and he's willing to admit when he's wrong.\Oh, and he can jump really high!\Wait, what? Is he in track and field or something?\Um, no, but... something like that? response:	And... I met him on the way home one night...
context: Er... um...\He's not very friendly, and he often gets angry with me.\But he's really very nice,\and he's willing to admit when he's wrong.\Oh, and he can jump really high!\Wait, what? Is he in track and field or something?\Um, no, but... something like that?\And... I met him on the way home one night... response:	He's been coming over after work.
context: He's not very friendly, and he often gets angry with me.\But he's really very nice,\and he's willing to admit when he's wrong.\Oh, and he can jump really high!\Wait, what? Is he in track and field or something?\Um, no, but... something like that?\And... I met him on the way home one night...\He's been coming over after work. response:	I'll make dinner and we'll eat together.
context: But he's really very nice,\and he's willing to admit when he's wrong.\Oh, and he can jump really high!\Wait, what? Is he in track and field or something?\Um, no, but... something like that?\And... I met him on the way home one night...\He's been coming over after work.\I'll make dinner and we'll eat together. response:	What?! You let him in your house and feed him dinner?
context: and he's willing to admit when he's wrong.\Oh, and he can jump really high!\Wait, what? Is he in track and field or something?\Um, no, but... something like that?\And... I met him on the way home one night...\He's been coming over after work.\I'll make dinner and we'll eat together.\What?! You let him in your house and feed him dinner? response:	Are you sure that's a good idea?
context: Oh, and he can jump really high!\Wait, what? Is he in track and field or something?\Um, no, but... something like that?\And... I met him on the way home one night...\He's been coming over after work.\I'll make dinner and we'll eat together.\What?! You let him in your house and feed him dinner?\Are you sure that's a good idea? response:	Is he a decent guy? Can you trust him?
context: Wait, what? Is he in track and field or something?\Um, no, but... something like that?\And... I met him on the way home one night...\He's been coming over after work.\I'll make dinner and we'll eat together.\What?! You let him in your house and feed him dinner?\Are you sure that's a good idea?\Is he a decent guy? Can you trust him? response:	Yes. I think I can trust him.
context: Um, no, but... something like that?\And... I met him on the way home one night...\He's been coming over after work.\I'll make dinner and we'll eat together.\What?! You let him in your house and feed him dinner?\Are you sure that's a good idea?\Is he a decent guy? Can you trust him?\Yes. I think I can trust him. response:	W-well, if you're that sure, then I guess...
context: And... I met him on the way home one night...\He's been coming over after work.\I'll make dinner and we'll eat together.\What?! You let him in your house and feed him dinner?\Are you sure that's a good idea?\Is he a decent guy? Can you trust him?\Yes. I think I can trust him.\W-well, if you're that sure, then I guess... response:	I'm disgusting.
context: He's been coming over after work.\I'll make dinner and we'll eat together.\What?! You let him in your house and feed him dinner?\Are you sure that's a good idea?\Is he a decent guy? Can you trust him?\Yes. I think I can trust him.\W-well, if you're that sure, then I guess...\I'm disgusting. response:	I house this filthy devil inside me, and I...
context: I'll make dinner and we'll eat together.\What?! You let him in your house and feed him dinner?\Are you sure that's a good idea?\Is he a decent guy? Can you trust him?\Yes. I think I can trust him.\W-well, if you're that sure, then I guess...\I'm disgusting.\I house this filthy devil inside me, and I... response:	I act like I'm some knight in shining armor.
context: What?! You let him in your house and feed him dinner?\Are you sure that's a good idea?\Is he a decent guy? Can you trust him?\Yes. I think I can trust him.\W-well, if you're that sure, then I guess...\I'm disgusting.\I house this filthy devil inside me, and I...\I act like I'm some knight in shining armor. response:	It's Yanagi. How have things been?
context: Are you sure that's a good idea?\Is he a decent guy? Can you trust him?\Yes. I think I can trust him.\W-well, if you're that sure, then I guess...\I'm disgusting.\I house this filthy devil inside me, and I...\I act like I'm some knight in shining armor.\It's Yanagi. How have things been? response:	Come see me sometime after New Year's.
context: Is he a decent guy? Can you trust him?\Yes. I think I can trust him.\W-well, if you're that sure, then I guess...\I'm disgusting.\I house this filthy devil inside me, and I...\I act like I'm some knight in shining armor.\It's Yanagi. How have things been?\Come see me sometime after New Year's. response:	It's almost time for your physical.
context: Yes. I think I can trust him.\W-well, if you're that sure, then I guess...\I'm disgusting.\I house this filthy devil inside me, and I...\I act like I'm some knight in shining armor.\It's Yanagi. How have things been?\Come see me sometime after New Year's.\It's almost time for your physical. response:	Oh, and Sakaki's hosting his usual New Year's party at the bar.
context: W-well, if you're that sure, then I guess...\I'm disgusting.\I house this filthy devil inside me, and I...\I act like I'm some knight in shining armor.\It's Yanagi. How have things been?\Come see me sometime after New Year's.\It's almost time for your physical.\Oh, and Sakaki's hosting his usual New Year's party at the bar. response:	I got a wife and kids, so I won't be there, but all the singles should be.
context: I'm disgusting.\I house this filthy devil inside me, and I...\I act like I'm some knight in shining armor.\It's Yanagi. How have things been?\Come see me sometime after New Year's.\It's almost time for your physical.\Oh, and Sakaki's hosting his usual New Year's party at the bar.\I got a wife and kids, so I won't be there, but all the singles should be. response:	Check it out if you feel like it.
context: I house this filthy devil inside me, and I...\I act like I'm some knight in shining armor.\It's Yanagi. How have things been?\Come see me sometime after New Year's.\It's almost time for your physical.\Oh, and Sakaki's hosting his usual New Year's party at the bar.\I got a wife and kids, so I won't be there, but all the singles should be.\Check it out if you feel like it. response:	I got carried away. I bought too much stuff.
context: I act like I'm some knight in shining armor.\It's Yanagi. How have things been?\Come see me sometime after New Year's.\It's almost time for your physical.\Oh, and Sakaki's hosting his usual New Year's party at the bar.\I got a wife and kids, so I won't be there, but all the singles should be.\Check it out if you feel like it.\I got carried away. I bought too much stuff. response:	I'm feeling kind of out of it.
context: It's Yanagi. How have things been?\Come see me sometime after New Year's.\It's almost time for your physical.\Oh, and Sakaki's hosting his usual New Year's party at the bar.\I got a wife and kids, so I won't be there, but all the singles should be.\Check it out if you feel like it.\I got carried away. I bought too much stuff.\I'm feeling kind of out of it. response:	Is it because I didn't get any sleep last night?
context: Come see me sometime after New Year's.\It's almost time for your physical.\Oh, and Sakaki's hosting his usual New Year's party at the bar.\I got a wife and kids, so I won't be there, but all the singles should be.\Check it out if you feel like it.\I got carried away. I bought too much stuff.\I'm feeling kind of out of it.\Is it because I didn't get any sleep last night? response:	I couldn't.
context: It's almost time for your physical.\Oh, and Sakaki's hosting his usual New Year's party at the bar.\I got a wife and kids, so I won't be there, but all the singles should be.\Check it out if you feel like it.\I got carried away. I bought too much stuff.\I'm feeling kind of out of it.\Is it because I didn't get any sleep last night?\I couldn't. response:	Hot pot with Anzai on New Year's Eve?
context: Oh, and Sakaki's hosting his usual New Year's party at the bar.\I got a wife and kids, so I won't be there, but all the singles should be.\Check it out if you feel like it.\I got carried away. I bought too much stuff.\I'm feeling kind of out of it.\Is it because I didn't get any sleep last night?\I couldn't.\Hot pot with Anzai on New Year's Eve? response:	J-just thinking about it makes me blush!
context: I got a wife and kids, so I won't be there, but all the singles should be.\Check it out if you feel like it.\I got carried away. I bought too much stuff.\I'm feeling kind of out of it.\Is it because I didn't get any sleep last night?\I couldn't.\Hot pot with Anzai on New Year's Eve?\J-just thinking about it makes me blush! response:	Oh!
context: Check it out if you feel like it.\I got carried away. I bought too much stuff.\I'm feeling kind of out of it.\Is it because I didn't get any sleep last night?\I couldn't.\Hot pot with Anzai on New Year's Eve?\J-just thinking about it makes me blush!\Oh! response:	O-ow... I-I'm sorry! Are you alright?
context: I got carried away. I bought too much stuff.\I'm feeling kind of out of it.\Is it because I didn't get any sleep last night?\I couldn't.\Hot pot with Anzai on New Year's Eve?\J-just thinking about it makes me blush!\Oh!\O-ow... I-I'm sorry! Are you alright? response:	I-I'm sorry! Are you alright?
context: I'm feeling kind of out of it.\Is it because I didn't get any sleep last night?\I couldn't.\Hot pot with Anzai on New Year's Eve?\J-just thinking about it makes me blush!\Oh!\O-ow... I-I'm sorry! Are you alright?\I-I'm sorry! Are you alright? response:	Uh, yes. I'm fine.
context: Is it because I didn't get any sleep last night?\I couldn't.\Hot pot with Anzai on New Year's Eve?\J-just thinking about it makes me blush!\Oh!\O-ow... I-I'm sorry! Are you alright?\I-I'm sorry! Are you alright?\Uh, yes. I'm fine. response:	I-I really am so sorry.
context: I couldn't.\Hot pot with Anzai on New Year's Eve?\J-just thinking about it makes me blush!\Oh!\O-ow... I-I'm sorry! Are you alright?\I-I'm sorry! Are you alright?\Uh, yes. I'm fine.\I-I really am so sorry. response:	Huh?
context: Hot pot with Anzai on New Year's Eve?\J-just thinking about it makes me blush!\Oh!\O-ow... I-I'm sorry! Are you alright?\I-I'm sorry! Are you alright?\Uh, yes. I'm fine.\I-I really am so sorry.\Huh? response:	Is he...?
context: J-just thinking about it makes me blush!\Oh!\O-ow... I-I'm sorry! Are you alright?\I-I'm sorry! Are you alright?\Uh, yes. I'm fine.\I-I really am so sorry.\Huh?\Is he...? response:	Here you are!
context: Oh!\O-ow... I-I'm sorry! Are you alright?\I-I'm sorry! Are you alright?\Uh, yes. I'm fine.\I-I really am so sorry.\Huh?\Is he...?\Here you are! response:	Th-thank you very much.
context: O-ow... I-I'm sorry! Are you alright?\I-I'm sorry! Are you alright?\Uh, yes. I'm fine.\I-I really am so sorry.\Huh?\Is he...?\Here you are!\Th-thank you very much. response:	Alright, Miss, I'm in a hurry, so...!
context: I-I'm sorry! Are you alright?\Uh, yes. I'm fine.\I-I really am so sorry.\Huh?\Is he...?\Here you are!\Th-thank you very much.\Alright, Miss, I'm in a hurry, so...! response:	A friend of yours?
context: Uh, yes. I'm fine.\I-I really am so sorry.\Huh?\Is he...?\Here you are!\Th-thank you very much.\Alright, Miss, I'm in a hurry, so...!\A friend of yours? response:	Yipe!
context: I-I really am so sorry.\Huh?\Is he...?\Here you are!\Th-thank you very much.\Alright, Miss, I'm in a hurry, so...!\A friend of yours?\Yipe! response:	You... you startled me.
context: Huh?\Is he...?\Here you are!\Th-thank you very much.\Alright, Miss, I'm in a hurry, so...!\A friend of yours?\Yipe!\You... you startled me. response:	Oh, you went to the store already?
context: Is he...?\Here you are!\Th-thank you very much.\Alright, Miss, I'm in a hurry, so...!\A friend of yours?\Yipe!\You... you startled me.\Oh, you went to the store already? response:	Yeah.
context: Here you are!\Th-thank you very much.\Alright, Miss, I'm in a hurry, so...!\A friend of yours?\Yipe!\You... you startled me.\Oh, you went to the store already?\Yeah. response:	Are you feeling okay?
context: Th-thank you very much.\Alright, Miss, I'm in a hurry, so...!\A friend of yours?\Yipe!\You... you startled me.\Oh, you went to the store already?\Yeah.\Are you feeling okay? response:	What?
context: Alright, Miss, I'm in a hurry, so...!\A friend of yours?\Yipe!\You... you startled me.\Oh, you went to the store already?\Yeah.\Are you feeling okay?\What? response:	I'm fine! Why?
context: A friend of yours?\Yipe!\You... you startled me.\Oh, you went to the store already?\Yeah.\Are you feeling okay?\What?\I'm fine! Why? response:	Oh, it's just, your face looks kind of red...
context: Yipe!\You... you startled me.\Oh, you went to the store already?\Yeah.\Are you feeling okay?\What?\I'm fine! Why?\Oh, it's just, your face looks kind of red... response:	Don't worry, it's not a cold.
context: You... you startled me.\Oh, you went to the store already?\Yeah.\Are you feeling okay?\What?\I'm fine! Why?\Oh, it's just, your face looks kind of red...\Don't worry, it's not a cold. response:	You're sure?
context: Oh, you went to the store already?\Yeah.\Are you feeling okay?\What?\I'm fine! Why?\Oh, it's just, your face looks kind of red...\Don't worry, it's not a cold.\You're sure? response:	I'm sure.
context: Yeah.\Are you feeling okay?\What?\I'm fine! Why?\Oh, it's just, your face looks kind of red...\Don't worry, it's not a cold.\You're sure?\I'm sure. response:	Oh, it's snowing!
context: Are you feeling okay?\What?\I'm fine! Why?\Oh, it's just, your face looks kind of red...\Don't worry, it's not a cold.\You're sure?\I'm sure.\Oh, it's snowing! response:	You don't want too much snow. Then you have to shovel it.
context: What?\I'm fine! Why?\Oh, it's just, your face looks kind of red...\Don't worry, it's not a cold.\You're sure?\I'm sure.\Oh, it's snowing!\You don't want too much snow. Then you have to shovel it. response:	Is it that bad?
context: I'm fine! Why?\Oh, it's just, your face looks kind of red...\Don't worry, it's not a cold.\You're sure?\I'm sure.\Oh, it's snowing!\You don't want too much snow. Then you have to shovel it.\Is it that bad? response:	Hey, I can carry that!
context: Oh, it's just, your face looks kind of red...\Don't worry, it's not a cold.\You're sure?\I'm sure.\Oh, it's snowing!\You don't want too much snow. Then you have to shovel it.\Is it that bad?\Hey, I can carry that! response:	I got it.
context: Don't worry, it's not a cold.\You're sure?\I'm sure.\Oh, it's snowing!\You don't want too much snow. Then you have to shovel it.\Is it that bad?\Hey, I can carry that!\I got it. response:	Oh, but I guess it doesn't snow that much in Tokyo.
context: You're sure?\I'm sure.\Oh, it's snowing!\You don't want too much snow. Then you have to shovel it.\Is it that bad?\Hey, I can carry that!\I got it.\Oh, but I guess it doesn't snow that much in Tokyo. response:	Authorities are still on the lookout for a man who disappeared
context: I'm sure.\Oh, it's snowing!\You don't want too much snow. Then you have to shovel it.\Is it that bad?\Hey, I can carry that!\I got it.\Oh, but I guess it doesn't snow that much in Tokyo.\Authorities are still on the lookout for a man who disappeared response:	Restaurant Murder, Man Goes Missing after a stabbing at a restaurant earlier today.
context: Oh, it's snowing!\You don't want too much snow. Then you have to shovel it.\Is it that bad?\Hey, I can carry that!\I got it.\Oh, but I guess it doesn't snow that much in Tokyo.\Authorities are still on the lookout for a man who disappeared\Restaurant Murder, Man Goes Missing after a stabbing at a restaurant earlier today. response:	You're from Hokkaido? According to the manager who found the body...
context: You don't want too much snow. Then you have to shovel it.\Is it that bad?\Hey, I can carry that!\I got it.\Oh, but I guess it doesn't snow that much in Tokyo.\Authorities are still on the lookout for a man who disappeared\Restaurant Murder, Man Goes Missing after a stabbing at a restaurant earlier today.\You're from Hokkaido? According to the manager who found the body... response:	Well, yeah.
context: Is it that bad?\Hey, I can carry that!\I got it.\Oh, but I guess it doesn't snow that much in Tokyo.\Authorities are still on the lookout for a man who disappeared\Restaurant Murder, Man Goes Missing after a stabbing at a restaurant earlier today.\You're from Hokkaido? According to the manager who found the body...\Well, yeah. response:	Around Obihiro.
context: Hey, I can carry that!\I got it.\Oh, but I guess it doesn't snow that much in Tokyo.\Authorities are still on the lookout for a man who disappeared\Restaurant Murder, Man Goes Missing after a stabbing at a restaurant earlier today.\You're from Hokkaido? According to the manager who found the body...\Well, yeah.\Around Obihiro. response:	Wow, I'm jealous.
context: I got it.\Oh, but I guess it doesn't snow that much in Tokyo.\Authorities are still on the lookout for a man who disappeared\Restaurant Murder, Man Goes Missing after a stabbing at a restaurant earlier today.\You're from Hokkaido? According to the manager who found the body...\Well, yeah.\Around Obihiro.\Wow, I'm jealous. response:	Oh no, didn't you want to go home for New Year's?
context: Oh, but I guess it doesn't snow that much in Tokyo.\Authorities are still on the lookout for a man who disappeared\Restaurant Murder, Man Goes Missing after a stabbing at a restaurant earlier today.\You're from Hokkaido? According to the manager who found the body...\Well, yeah.\Around Obihiro.\Wow, I'm jealous.\Oh no, didn't you want to go home for New Year's? response:	Didn't you?
context: Authorities are still on the lookout for a man who disappeared\Restaurant Murder, Man Goes Missing after a stabbing at a restaurant earlier today.\You're from Hokkaido? According to the manager who found the body...\Well, yeah.\Around Obihiro.\Wow, I'm jealous.\Oh no, didn't you want to go home for New Year's?\Didn't you? response:	I don't care.
context: Restaurant Murder, Man Goes Missing after a stabbing at a restaurant earlier today.\You're from Hokkaido? According to the manager who found the body...\Well, yeah.\Around Obihiro.\Wow, I'm jealous.\Oh no, didn't you want to go home for New Year's?\Didn't you?\I don't care. response:	I never go home.
context: You're from Hokkaido? According to the manager who found the body...\Well, yeah.\Around Obihiro.\Wow, I'm jealous.\Oh no, didn't you want to go home for New Year's?\Didn't you?\I don't care.\I never go home. response:	D-did I ask something I shouldn't have?
