context: It's finally time to start school... response:	The first day is so exciting, isn't it?
context: Thinking about it all makes me so nervous.\You're right. That is nerve-wracking.\You're going to be standing on the stage with the theater troupe soon.\Think of this as another type of training.\You're right.\For starters, if I can get over freezing up whenever I'm in front of people...\You'll be fine!\Just look! You're talking to us right now, aren't you? response:	Yeah... I am!
context: You're right. That is nerve-wracking.\You're going to be standing on the stage with the theater troupe soon.\Think of this as another type of training.\You're right.\For starters, if I can get over freezing up whenever I'm in front of people...\You'll be fine!\Just look! You're talking to us right now, aren't you?\Yeah... I am! response:	I'm starting to feel like I can do this!
context: You're going to be standing on the stage with the theater troupe soon.\Think of this as another type of training.\You're right.\For starters, if I can get over freezing up whenever I'm in front of people...\You'll be fine!\Just look! You're talking to us right now, aren't you?\Yeah... I am!\I'm starting to feel like I can do this! response:	S-S-S-Sa... Saku...
context: Think of this as another type of training.\You're right.\For starters, if I can get over freezing up whenever I'm in front of people...\You'll be fine!\Just look! You're talking to us right now, aren't you?\Yeah... I am!\I'm starting to feel like I can do this!\S-S-S-Sa... Saku... response:	S-Sakuragi... H-H-Hinako...
context: You're right.\For starters, if I can get over freezing up whenever I'm in front of people...\You'll be fine!\Just look! You're talking to us right now, aren't you?\Yeah... I am!\I'm starting to feel like I can do this!\S-S-S-Sa... Saku...\S-Sakuragi... H-H-Hinako... response:	I-I'm from the... c-country...
context: For starters, if I can get over freezing up whenever I'm in front of people...\You'll be fine!\Just look! You're talking to us right now, aren't you?\Yeah... I am!\I'm starting to feel like I can do this!\S-S-S-Sa... Saku...\S-Sakuragi... H-H-Hinako...\I-I'm from the... c-country... response:	You can do it, Hina-chan!
context: You'll be fine!\Just look! You're talking to us right now, aren't you?\Yeah... I am!\I'm starting to feel like I can do this!\S-S-S-Sa... Saku...\S-Sakuragi... H-H-Hinako...\I-I'm from the... c-country...\You can do it, Hina-chan! response:	I'm Hinako!
context: Just look! You're talking to us right now, aren't you?\Yeah... I am!\I'm starting to feel like I can do this!\S-S-S-Sa... Saku...\S-Sakuragi... H-H-Hinako...\I-I'm from the... c-country...\You can do it, Hina-chan!\I'm Hinako! response:	Mistaken Friend
context: Yeah... I am!\I'm starting to feel like I can do this!\S-S-S-Sa... Saku...\S-Sakuragi... H-H-Hinako...\I-I'm from the... c-country...\You can do it, Hina-chan!\I'm Hinako!\Mistaken Friend response:	Fujimiya Girls' High
context: I'm starting to feel like I can do this!\S-S-S-Sa... Saku...\S-Sakuragi... H-H-Hinako...\I-I'm from the... c-country...\You can do it, Hina-chan!\I'm Hinako!\Mistaken Friend\Fujimiya Girls' High response:	I couldn't do it.
context: S-S-S-Sa... Saku...\S-Sakuragi... H-H-Hinako...\I-I'm from the... c-country...\You can do it, Hina-chan!\I'm Hinako!\Mistaken Friend\Fujimiya Girls' High\I couldn't do it. response:	N-No, that was a very unique self-introduction.
context: S-Sakuragi... H-H-Hinako...\I-I'm from the... c-country...\You can do it, Hina-chan!\I'm Hinako!\Mistaken Friend\Fujimiya Girls' High\I couldn't do it.\N-No, that was a very unique self-introduction. response:	Unique?
context: I-I'm from the... c-country...\You can do it, Hina-chan!\I'm Hinako!\Mistaken Friend\Fujimiya Girls' High\I couldn't do it.\N-No, that was a very unique self-introduction.\Unique? response:	Hinako-chan.
context: You can do it, Hina-chan!\I'm Hinako!\Mistaken Friend\Fujimiya Girls' High\I couldn't do it.\N-No, that was a very unique self-introduction.\Unique?\Hinako-chan. response:	I can call you that, right?
context: I'm Hinako!\Mistaken Friend\Fujimiya Girls' High\I couldn't do it.\N-No, that was a very unique self-introduction.\Unique?\Hinako-chan.\I can call you that, right? response:	So you lived in the country?
context: Mistaken Friend\Fujimiya Girls' High\I couldn't do it.\N-No, that was a very unique self-introduction.\Unique?\Hinako-chan.\I can call you that, right?\So you lived in the country? response:	U-Um... I... uh...
context: Fujimiya Girls' High\I couldn't do it.\N-No, that was a very unique self-introduction.\Unique?\Hinako-chan.\I can call you that, right?\So you lived in the country?\U-Um... I... uh... response:	Th-The... c-country...
context: I couldn't do it.\N-No, that was a very unique self-introduction.\Unique?\Hinako-chan.\I can call you that, right?\So you lived in the country?\U-Um... I... uh...\Th-The... c-country... response:	Um...
context: N-No, that was a very unique self-introduction.\Unique?\Hinako-chan.\I can call you that, right?\So you lived in the country?\U-Um... I... uh...\Th-The... c-country...\Um... response:	That's right!
context: Unique?\Hinako-chan.\I can call you that, right?\So you lived in the country?\U-Um... I... uh...\Th-The... c-country...\Um...\That's right! response:	I lived in the mountains and worked as a scarecrow!
context: Hinako-chan.\I can call you that, right?\So you lived in the country?\U-Um... I... uh...\Th-The... c-country...\Um...\That's right!\I lived in the mountains and worked as a scarecrow! response:	Ventriloquism?
context: I can call you that, right?\So you lived in the country?\U-Um... I... uh...\Th-The... c-country...\Um...\That's right!\I lived in the mountains and worked as a scarecrow!\Ventriloquism? response:	That's a funny way to communicate!
context: So you lived in the country?\U-Um... I... uh...\Th-The... c-country...\Um...\That's right!\I lived in the mountains and worked as a scarecrow!\Ventriloquism?\That's a funny way to communicate! response:	They laughed.
context: U-Um... I... uh...\Th-The... c-country...\Um...\That's right!\I lived in the mountains and worked as a scarecrow!\Ventriloquism?\That's a funny way to communicate!\They laughed. response:	So what did you do as a scarecrow?
context: Th-The... c-country...\Um...\That's right!\I lived in the mountains and worked as a scarecrow!\Ventriloquism?\That's a funny way to communicate!\They laughed.\So what did you do as a scarecrow? response:	Oh, yeah! I'm curious, too!
context: Um...\That's right!\I lived in the mountains and worked as a scarecrow!\Ventriloquism?\That's a funny way to communicate!\They laughed.\So what did you do as a scarecrow?\Oh, yeah! I'm curious, too! response:	Well, you see...
context: That's right!\I lived in the mountains and worked as a scarecrow!\Ventriloquism?\That's a funny way to communicate!\They laughed.\So what did you do as a scarecrow?\Oh, yeah! I'm curious, too!\Well, you see... response:	Chiaki-chan!
context: I lived in the mountains and worked as a scarecrow!\Ventriloquism?\That's a funny way to communicate!\They laughed.\So what did you do as a scarecrow?\Oh, yeah! I'm curious, too!\Well, you see...\Chiaki-chan! response:	Look at this.
context: Ventriloquism?\That's a funny way to communicate!\They laughed.\So what did you do as a scarecrow?\Oh, yeah! I'm curious, too!\Well, you see...\Chiaki-chan!\Look at this. response:	Theater Society
context: That's a funny way to communicate!\They laughed.\So what did you do as a scarecrow?\Oh, yeah! I'm curious, too!\Well, you see...\Chiaki-chan!\Look at this.\Theater Society response:	Recruiting Members
context: They laughed.\So what did you do as a scarecrow?\Oh, yeah! I'm curious, too!\Well, you see...\Chiaki-chan!\Look at this.\Theater Society\Recruiting Members response:	What's this about?
context: So what did you do as a scarecrow?\Oh, yeah! I'm curious, too!\Well, you see...\Chiaki-chan!\Look at this.\Theater Society\Recruiting Members\What's this about? response:	Well, you see, all the fans of Chiaki-chan, the theater club ace,
context: Oh, yeah! I'm curious, too!\Well, you see...\Chiaki-chan!\Look at this.\Theater Society\Recruiting Members\What's this about?\Well, you see, all the fans of Chiaki-chan, the theater club ace, response:	put this together over spring break!
context: Well, you see...\Chiaki-chan!\Look at this.\Theater Society\Recruiting Members\What's this about?\Well, you see, all the fans of Chiaki-chan, the theater club ace,\put this together over spring break! response:	You know, since the club went on hiatus,
context: Chiaki-chan!\Look at this.\Theater Society\Recruiting Members\What's this about?\Well, you see, all the fans of Chiaki-chan, the theater club ace,\put this together over spring break!\You know, since the club went on hiatus, response:	we don't get to see you on stage, right?
context: Look at this.\Theater Society\Recruiting Members\What's this about?\Well, you see, all the fans of Chiaki-chan, the theater club ace,\put this together over spring break!\You know, since the club went on hiatus,\we don't get to see you on stage, right? response:	Right...
context: Theater Society\Recruiting Members\What's this about?\Well, you see, all the fans of Chiaki-chan, the theater club ace,\put this together over spring break!\You know, since the club went on hiatus,\we don't get to see you on stage, right?\Right... response:	That makes your fans really sad.
context: Recruiting Members\What's this about?\Well, you see, all the fans of Chiaki-chan, the theater club ace,\put this together over spring break!\You know, since the club went on hiatus,\we don't get to see you on stage, right?\Right...\That makes your fans really sad. response:	And you seemed really disappointed when it went on hiatus, too.
context: What's this about?\Well, you see, all the fans of Chiaki-chan, the theater club ace,\put this together over spring break!\You know, since the club went on hiatus,\we don't get to see you on stage, right?\Right...\That makes your fans really sad.\And you seemed really disappointed when it went on hiatus, too. response:	So we thought, if we started a theater society, you could act again!
context: Well, you see, all the fans of Chiaki-chan, the theater club ace,\put this together over spring break!\You know, since the club went on hiatus,\we don't get to see you on stage, right?\Right...\That makes your fans really sad.\And you seemed really disappointed when it went on hiatus, too.\So we thought, if we started a theater society, you could act again! response:	Huh? Chiaki-chan?
context: put this together over spring break!\You know, since the club went on hiatus,\we don't get to see you on stage, right?\Right...\That makes your fans really sad.\And you seemed really disappointed when it went on hiatus, too.\So we thought, if we started a theater society, you could act again!\Huh? Chiaki-chan? response:	That ventriloquism talk went over better than I thought.
context: You know, since the club went on hiatus,\we don't get to see you on stage, right?\Right...\That makes your fans really sad.\And you seemed really disappointed when it went on hiatus, too.\So we thought, if we started a theater society, you could act again!\Huh? Chiaki-chan?\That ventriloquism talk went over better than I thought. response:	Yeah. I wasn't able to say a word, though.
context: we don't get to see you on stage, right?\Right...\That makes your fans really sad.\And you seemed really disappointed when it went on hiatus, too.\So we thought, if we started a theater society, you could act again!\Huh? Chiaki-chan?\That ventriloquism talk went over better than I thought.\Yeah. I wasn't able to say a word, though. response:	Hina-chan! Kuu-chan!
context: Right...\That makes your fans really sad.\And you seemed really disappointed when it went on hiatus, too.\So we thought, if we started a theater society, you could act again!\Huh? Chiaki-chan?\That ventriloquism talk went over better than I thought.\Yeah. I wasn't able to say a word, though.\Hina-chan! Kuu-chan! response:	Miss Landlady!
context: That makes your fans really sad.\And you seemed really disappointed when it went on hiatus, too.\So we thought, if we started a theater society, you could act again!\Huh? Chiaki-chan?\That ventriloquism talk went over better than I thought.\Yeah. I wasn't able to say a word, though.\Hina-chan! Kuu-chan!\Miss Landlady! response:	What's up?
context: And you seemed really disappointed when it went on hiatus, too.\So we thought, if we started a theater society, you could act again!\Huh? Chiaki-chan?\That ventriloquism talk went over better than I thought.\Yeah. I wasn't able to say a word, though.\Hina-chan! Kuu-chan!\Miss Landlady!\What's up? response:	Well, there's something I wanted to show you.
context: So we thought, if we started a theater society, you could act again!\Huh? Chiaki-chan?\That ventriloquism talk went over better than I thought.\Yeah. I wasn't able to say a word, though.\Hina-chan! Kuu-chan!\Miss Landlady!\What's up?\Well, there's something I wanted to show you. response:	Here.
context: Huh? Chiaki-chan?\That ventriloquism talk went over better than I thought.\Yeah. I wasn't able to say a word, though.\Hina-chan! Kuu-chan!\Miss Landlady!\What's up?\Well, there's something I wanted to show you.\Here. response:	Theater society... recruiting members?
context: That ventriloquism talk went over better than I thought.\Yeah. I wasn't able to say a word, though.\Hina-chan! Kuu-chan!\Miss Landlady!\What's up?\Well, there's something I wanted to show you.\Here.\Theater society... recruiting members? response:	Miss Landlady, what's this about a society?
context: Yeah. I wasn't able to say a word, though.\Hina-chan! Kuu-chan!\Miss Landlady!\What's up?\Well, there's something I wanted to show you.\Here.\Theater society... recruiting members?\Miss Landlady, what's this about a society? response:	My friends put it together to replace the theater club while it's on hiatus.
context: Hina-chan! Kuu-chan!\Miss Landlady!\What's up?\Well, there's something I wanted to show you.\Here.\Theater society... recruiting members?\Miss Landlady, what's this about a society?\My friends put it together to replace the theater club while it's on hiatus. response:	So that means we'll be able to do theater here at this school?
context: Miss Landlady!\What's up?\Well, there's something I wanted to show you.\Here.\Theater society... recruiting members?\Miss Landlady, what's this about a society?\My friends put it together to replace the theater club while it's on hiatus.\So that means we'll be able to do theater here at this school? response:	That's right.
context: What's up?\Well, there's something I wanted to show you.\Here.\Theater society... recruiting members?\Miss Landlady, what's this about a society?\My friends put it together to replace the theater club while it's on hiatus.\So that means we'll be able to do theater here at this school?\That's right. response:	So about that...
context: Well, there's something I wanted to show you.\Here.\Theater society... recruiting members?\Miss Landlady, what's this about a society?\My friends put it together to replace the theater club while it's on hiatus.\So that means we'll be able to do theater here at this school?\That's right.\So about that... response:	What do you two want to do?
context: Here.\Theater society... recruiting members?\Miss Landlady, what's this about a society?\My friends put it together to replace the theater club while it's on hiatus.\So that means we'll be able to do theater here at this school?\That's right.\So about that...\What do you two want to do? response:	Of course, I'll join!
context: Theater society... recruiting members?\Miss Landlady, what's this about a society?\My friends put it together to replace the theater club while it's on hiatus.\So that means we'll be able to do theater here at this school?\That's right.\So about that...\What do you two want to do?\Of course, I'll join! response:	I'm with Hina-chan!
context: Miss Landlady, what's this about a society?\My friends put it together to replace the theater club while it's on hiatus.\So that means we'll be able to do theater here at this school?\That's right.\So about that...\What do you two want to do?\Of course, I'll join!\I'm with Hina-chan! response:	Okay, could you come to the theater club room later?
context: My friends put it together to replace the theater club while it's on hiatus.\So that means we'll be able to do theater here at this school?\That's right.\So about that...\What do you two want to do?\Of course, I'll join!\I'm with Hina-chan!\Okay, could you come to the theater club room later? response:	It's just a society now, but you'll still need to apply.
context: So that means we'll be able to do theater here at this school?\That's right.\So about that...\What do you two want to do?\Of course, I'll join!\I'm with Hina-chan!\Okay, could you come to the theater club room later?\It's just a society now, but you'll still need to apply. response:	Got it!
context: That's right.\So about that...\What do you two want to do?\Of course, I'll join!\I'm with Hina-chan!\Okay, could you come to the theater club room later?\It's just a society now, but you'll still need to apply.\Got it! response:	This is great, Hina-chan!
context: So about that...\What do you two want to do?\Of course, I'll join!\I'm with Hina-chan!\Okay, could you come to the theater club room later?\It's just a society now, but you'll still need to apply.\Got it!\This is great, Hina-chan! response:	Yeah!
context: What do you two want to do?\Of course, I'll join!\I'm with Hina-chan!\Okay, could you come to the theater club room later?\It's just a society now, but you'll still need to apply.\Got it!\This is great, Hina-chan!\Yeah! response:	Hey, you there!
context: Of course, I'll join!\I'm with Hina-chan!\Okay, could you come to the theater club room later?\It's just a society now, but you'll still need to apply.\Got it!\This is great, Hina-chan!\Yeah!\Hey, you there! response:	Are you friends with Chiaki-senpai?
context: I'm with Hina-chan!\Okay, could you come to the theater club room later?\It's just a society now, but you'll still need to apply.\Got it!\This is great, Hina-chan!\Yeah!\Hey, you there!\Are you friends with Chiaki-senpai? response:	Huh?
context: Okay, could you come to the theater club room later?\It's just a society now, but you'll still need to apply.\Got it!\This is great, Hina-chan!\Yeah!\Hey, you there!\Are you friends with Chiaki-senpai?\Huh? response:	You were talking to her like you are!
context: It's just a society now, but you'll still need to apply.\Got it!\This is great, Hina-chan!\Yeah!\Hey, you there!\Are you friends with Chiaki-senpai?\Huh?\You were talking to her like you are! response:	Why? What's going on between you?
context: Got it!\This is great, Hina-chan!\Yeah!\Hey, you there!\Are you friends with Chiaki-senpai?\Huh?\You were talking to her like you are!\Why? What's going on between you? response:	Eh... ah... i-it...
context: This is great, Hina-chan!\Yeah!\Hey, you there!\Are you friends with Chiaki-senpai?\Huh?\You were talking to her like you are!\Why? What's going on between you?\Eh... ah... i-it... response:	Um, I'm sorry, but who might you be?
context: Yeah!\Hey, you there!\Are you friends with Chiaki-senpai?\Huh?\You were talking to her like you are!\Why? What's going on between you?\Eh... ah... i-it...\Um, I'm sorry, but who might you be? response:	I just introduced myself earlier!
context: Hey, you there!\Are you friends with Chiaki-senpai?\Huh?\You were talking to her like you are!\Why? What's going on between you?\Eh... ah... i-it...\Um, I'm sorry, but who might you be?\I just introduced myself earlier! response:	I'm your classmate, Nakajima Yua!
context: Are you friends with Chiaki-senpai?\Huh?\You were talking to her like you are!\Why? What's going on between you?\Eh... ah... i-it...\Um, I'm sorry, but who might you be?\I just introduced myself earlier!\I'm your classmate, Nakajima Yua! response:	I want to be an actress, and I enrolled in this school because of Chiaki-senpai's acting!
context: Huh?\You were talking to her like you are!\Why? What's going on between you?\Eh... ah... i-it...\Um, I'm sorry, but who might you be?\I just introduced myself earlier!\I'm your classmate, Nakajima Yua!\I want to be an actress, and I enrolled in this school because of Chiaki-senpai's acting! response:	Oh, really?
context: You were talking to her like you are!\Why? What's going on between you?\Eh... ah... i-it...\Um, I'm sorry, but who might you be?\I just introduced myself earlier!\I'm your classmate, Nakajima Yua!\I want to be an actress, and I enrolled in this school because of Chiaki-senpai's acting!\Oh, really? response:	Yes, really!
context: Why? What's going on between you?\Eh... ah... i-it...\Um, I'm sorry, but who might you be?\I just introduced myself earlier!\I'm your classmate, Nakajima Yua!\I want to be an actress, and I enrolled in this school because of Chiaki-senpai's acting!\Oh, really?\Yes, really! response:	So...
context: Eh... ah... i-it...\Um, I'm sorry, but who might you be?\I just introduced myself earlier!\I'm your classmate, Nakajima Yua!\I want to be an actress, and I enrolled in this school because of Chiaki-senpai's acting!\Oh, really?\Yes, really!\So... response:	How can a little shrimp like you be friends with Chiaki-senpai?
context: Um, I'm sorry, but who might you be?\I just introduced myself earlier!\I'm your classmate, Nakajima Yua!\I want to be an actress, and I enrolled in this school because of Chiaki-senpai's acting!\Oh, really?\Yes, really!\So...\How can a little shrimp like you be friends with Chiaki-senpai? response:	S-Sorry! I might have gone too far!
context: I just introduced myself earlier!\I'm your classmate, Nakajima Yua!\I want to be an actress, and I enrolled in this school because of Chiaki-senpai's acting!\Oh, really?\Yes, really!\So...\How can a little shrimp like you be friends with Chiaki-senpai?\S-Sorry! I might have gone too far! response:	I guess she's a nice person deep down...
context: I'm your classmate, Nakajima Yua!\I want to be an actress, and I enrolled in this school because of Chiaki-senpai's acting!\Oh, really?\Yes, really!\So...\How can a little shrimp like you be friends with Chiaki-senpai?\S-Sorry! I might have gone too far!\I guess she's a nice person deep down... response:	But I still want to know what the deal is!
context: I want to be an actress, and I enrolled in this school because of Chiaki-senpai's acting!\Oh, really?\Yes, really!\So...\How can a little shrimp like you be friends with Chiaki-senpai?\S-Sorry! I might have gone too far!\I guess she's a nice person deep down...\But I still want to know what the deal is! response:	Argh!
context: Oh, really?\Yes, really!\So...\How can a little shrimp like you be friends with Chiaki-senpai?\S-Sorry! I might have gone too far!\I guess she's a nice person deep down...\But I still want to know what the deal is!\Argh! response:	I don't get her at all.
context: Yes, really!\So...\How can a little shrimp like you be friends with Chiaki-senpai?\S-Sorry! I might have gone too far!\I guess she's a nice person deep down...\But I still want to know what the deal is!\Argh!\I don't get her at all. response:	Um, Nakajima-san?
context: So...\How can a little shrimp like you be friends with Chiaki-senpai?\S-Sorry! I might have gone too far!\I guess she's a nice person deep down...\But I still want to know what the deal is!\Argh!\I don't get her at all.\Um, Nakajima-san? response:	What?!
context: How can a little shrimp like you be friends with Chiaki-senpai?\S-Sorry! I might have gone too far!\I guess she's a nice person deep down...\But I still want to know what the deal is!\Argh!\I don't get her at all.\Um, Nakajima-san?\What?! response:	Hina-chan and I have somewhere we need to go,
context: S-Sorry! I might have gone too far!\I guess she's a nice person deep down...\But I still want to know what the deal is!\Argh!\I don't get her at all.\Um, Nakajima-san?\What?!\Hina-chan and I have somewhere we need to go, response:	so we'll be going now.
context: I guess she's a nice person deep down...\But I still want to know what the deal is!\Argh!\I don't get her at all.\Um, Nakajima-san?\What?!\Hina-chan and I have somewhere we need to go,\so we'll be going now. response:	Huh? Hey!
context: But I still want to know what the deal is!\Argh!\I don't get her at all.\Um, Nakajima-san?\What?!\Hina-chan and I have somewhere we need to go,\so we'll be going now.\Huh? Hey! response:	Theater Club
context: Argh!\I don't get her at all.\Um, Nakajima-san?\What?!\Hina-chan and I have somewhere we need to go,\so we'll be going now.\Huh? Hey!\Theater Club response:	M-Miss Landlady!
context: I don't get her at all.\Um, Nakajima-san?\What?!\Hina-chan and I have somewhere we need to go,\so we'll be going now.\Huh? Hey!\Theater Club\M-Miss Landlady! response:	What happened?
context: Um, Nakajima-san?\What?!\Hina-chan and I have somewhere we need to go,\so we'll be going now.\Huh? Hey!\Theater Club\M-Miss Landlady!\What happened? response:	We ran into someone pretty powerful.
context: What?!\Hina-chan and I have somewhere we need to go,\so we'll be going now.\Huh? Hey!\Theater Club\M-Miss Landlady!\What happened?\We ran into someone pretty powerful. response:	I see. There, there.
context: Hina-chan and I have somewhere we need to go,\so we'll be going now.\Huh? Hey!\Theater Club\M-Miss Landlady!\What happened?\We ran into someone pretty powerful.\I see. There, there. response:	I need to talk to you!
context: so we'll be going now.\Huh? Hey!\Theater Club\M-Miss Landlady!\What happened?\We ran into someone pretty powerful.\I see. There, there.\I need to talk to you! response:	Well? Are you really planning to join the club?
context: Huh? Hey!\Theater Club\M-Miss Landlady!\What happened?\We ran into someone pretty powerful.\I see. There, there.\I need to talk to you!\Well? Are you really planning to join the club? response:	Eh... um... Y-Yes...
context: Theater Club\M-Miss Landlady!\What happened?\We ran into someone pretty powerful.\I see. There, there.\I need to talk to you!\Well? Are you really planning to join the club?\Eh... um... Y-Yes... response:	I'll never approve of you joining!
context: M-Miss Landlady!\What happened?\We ran into someone pretty powerful.\I see. There, there.\I need to talk to you!\Well? Are you really planning to join the club?\Eh... um... Y-Yes...\I'll never approve of you joining! response:	Wh-Why not?
context: What happened?\We ran into someone pretty powerful.\I see. There, there.\I need to talk to you!\Well? Are you really planning to join the club?\Eh... um... Y-Yes...\I'll never approve of you joining!\Wh-Why not? response:	Why not?!
context: We ran into someone pretty powerful.\I see. There, there.\I need to talk to you!\Well? Are you really planning to join the club?\Eh... um... Y-Yes...\I'll never approve of you joining!\Wh-Why not?\Why not?! response:	A failure of a little shrimp like you...
context: I see. There, there.\I need to talk to you!\Well? Are you really planning to join the club?\Eh... um... Y-Yes...\I'll never approve of you joining!\Wh-Why not?\Why not?!\A failure of a little shrimp like you... response:	Jeez, that's hard to say.
context: I need to talk to you!\Well? Are you really planning to join the club?\Eh... um... Y-Yes...\I'll never approve of you joining!\Wh-Why not?\Why not?!\A failure of a little shrimp like you...\Jeez, that's hard to say. response:	Yes! A failshrimp like you isn't fit to be in this theater club with Chiaki-senpai!
context: Well? Are you really planning to join the club?\Eh... um... Y-Yes...\I'll never approve of you joining!\Wh-Why not?\Why not?!\A failure of a little shrimp like you...\Jeez, that's hard to say.\Yes! A failshrimp like you isn't fit to be in this theater club with Chiaki-senpai! response:	U-Um...
context: Eh... um... Y-Yes...\I'll never approve of you joining!\Wh-Why not?\Why not?!\A failure of a little shrimp like you...\Jeez, that's hard to say.\Yes! A failshrimp like you isn't fit to be in this theater club with Chiaki-senpai!\U-Um... response:	In fact, you're not fit for Chiaki-senpai!
context: I'll never approve of you joining!\Wh-Why not?\Why not?!\A failure of a little shrimp like you...\Jeez, that's hard to say.\Yes! A failshrimp like you isn't fit to be in this theater club with Chiaki-senpai!\U-Um...\In fact, you're not fit for Chiaki-senpai! response:	Do you even have the guts to stand on a stage?
context: Wh-Why not?\Why not?!\A failure of a little shrimp like you...\Jeez, that's hard to say.\Yes! A failshrimp like you isn't fit to be in this theater club with Chiaki-senpai!\U-Um...\In fact, you're not fit for Chiaki-senpai!\Do you even have the guts to stand on a stage? response:	Um...
context: Why not?!\A failure of a little shrimp like you...\Jeez, that's hard to say.\Yes! A failshrimp like you isn't fit to be in this theater club with Chiaki-senpai!\U-Um...\In fact, you're not fit for Chiaki-senpai!\Do you even have the guts to stand on a stage?\Um... response:	Are we interrupting something?
context: A failure of a little shrimp like you...\Jeez, that's hard to say.\Yes! A failshrimp like you isn't fit to be in this theater club with Chiaki-senpai!\U-Um...\In fact, you're not fit for Chiaki-senpai!\Do you even have the guts to stand on a stage?\Um...\Are we interrupting something? response:	U-Uh...
context: Jeez, that's hard to say.\Yes! A failshrimp like you isn't fit to be in this theater club with Chiaki-senpai!\U-Um...\In fact, you're not fit for Chiaki-senpai!\Do you even have the guts to stand on a stage?\Um...\Are we interrupting something?\U-Uh... response:	Um, um... well... I mean...
context: Yes! A failshrimp like you isn't fit to be in this theater club with Chiaki-senpai!\U-Um...\In fact, you're not fit for Chiaki-senpai!\Do you even have the guts to stand on a stage?\Um...\Are we interrupting something?\U-Uh...\Um, um... well... I mean... response:	No. Nothing.
context: U-Um...\In fact, you're not fit for Chiaki-senpai!\Do you even have the guts to stand on a stage?\Um...\Are we interrupting something?\U-Uh...\Um, um... well... I mean...\No. Nothing. response:	I see. So, um, are you hoping to join the club?
context: In fact, you're not fit for Chiaki-senpai!\Do you even have the guts to stand on a stage?\Um...\Are we interrupting something?\U-Uh...\Um, um... well... I mean...\No. Nothing.\I see. So, um, are you hoping to join the club? response:	Y-Yes!
context: Do you even have the guts to stand on a stage?\Um...\Are we interrupting something?\U-Uh...\Um, um... well... I mean...\No. Nothing.\I see. So, um, are you hoping to join the club?\Y-Yes! response:	What's your name?
context: Um...\Are we interrupting something?\U-Uh...\Um, um... well... I mean...\No. Nothing.\I see. So, um, are you hoping to join the club?\Y-Yes!\What's your name? response:	Nakajima Yua.
context: Are we interrupting something?\U-Uh...\Um, um... well... I mean...\No. Nothing.\I see. So, um, are you hoping to join the club?\Y-Yes!\What's your name?\Nakajima Yua. response:	Yua-chan? That's a nice name.
context: U-Uh...\Um, um... well... I mean...\No. Nothing.\I see. So, um, are you hoping to join the club?\Y-Yes!\What's your name?\Nakajima Yua.\Yua-chan? That's a nice name. response:	Let's do our best together.
