context: The S Class Wizard Advancement Exam has finally begun! response:	The first test is to choose a battle route,
context: Roar of the Sky Dragon!\Regulus, grant me the power!\That's some force, all right...\Ice Make Floor!\All that's left is Wendy!\I ain't gonna hold back, either!\Just Eating Pickled Plums!\I'm not even eating them, but just watching makes my mouth pucker up! response:	Is this some kind of transmission magic?
context: Regulus, grant me the power!\That's some force, all right...\Ice Make Floor!\All that's left is Wendy!\I ain't gonna hold back, either!\Just Eating Pickled Plums!\I'm not even eating them, but just watching makes my mouth pucker up!\Is this some kind of transmission magic? response:	I can only run!
context: That's some force, all right...\Ice Make Floor!\All that's left is Wendy!\I ain't gonna hold back, either!\Just Eating Pickled Plums!\I'm not even eating them, but just watching makes my mouth pucker up!\Is this some kind of transmission magic?\I can only run! response:	Regulus at full brightness!
context: Ice Make Floor!\All that's left is Wendy!\I ain't gonna hold back, either!\Just Eating Pickled Plums!\I'm not even eating them, but just watching makes my mouth pucker up!\Is this some kind of transmission magic?\I can only run!\Regulus at full brightness! response:	Elsewhere, the pair of Evergreen and Elfman have engaged Mirajane.
context: All that's left is Wendy!\I ain't gonna hold back, either!\Just Eating Pickled Plums!\I'm not even eating them, but just watching makes my mouth pucker up!\Is this some kind of transmission magic?\I can only run!\Regulus at full brightness!\Elsewhere, the pair of Evergreen and Elfman have engaged Mirajane. response:	She who strikes first wins! Stone Eyes!
context: I ain't gonna hold back, either!\Just Eating Pickled Plums!\I'm not even eating them, but just watching makes my mouth pucker up!\Is this some kind of transmission magic?\I can only run!\Regulus at full brightness!\Elsewhere, the pair of Evergreen and Elfman have engaged Mirajane.\She who strikes first wins! Stone Eyes! response:	As long as I don't look you in the eyes, that magic doesn't work!
context: Just Eating Pickled Plums!\I'm not even eating them, but just watching makes my mouth pucker up!\Is this some kind of transmission magic?\I can only run!\Regulus at full brightness!\Elsewhere, the pair of Evergreen and Elfman have engaged Mirajane.\She who strikes first wins! Stone Eyes!\As long as I don't look you in the eyes, that magic doesn't work! response:	And can you dodge these while looking away?
context: I'm not even eating them, but just watching makes my mouth pucker up!\Is this some kind of transmission magic?\I can only run!\Regulus at full brightness!\Elsewhere, the pair of Evergreen and Elfman have engaged Mirajane.\She who strikes first wins! Stone Eyes!\As long as I don't look you in the eyes, that magic doesn't work!\And can you dodge these while looking away? response:	Fairy Machine Gun Leprechaun!
context: Is this some kind of transmission magic?\I can only run!\Regulus at full brightness!\Elsewhere, the pair of Evergreen and Elfman have engaged Mirajane.\She who strikes first wins! Stone Eyes!\As long as I don't look you in the eyes, that magic doesn't work!\And can you dodge these while looking away?\Fairy Machine Gun Leprechaun! response:	Evergreen!
context: I can only run!\Regulus at full brightness!\Elsewhere, the pair of Evergreen and Elfman have engaged Mirajane.\She who strikes first wins! Stone Eyes!\As long as I don't look you in the eyes, that magic doesn't work!\And can you dodge these while looking away?\Fairy Machine Gun Leprechaun!\Evergreen! response:	Neechan... You're serious about this, I see.
context: Regulus at full brightness!\Elsewhere, the pair of Evergreen and Elfman have engaged Mirajane.\She who strikes first wins! Stone Eyes!\As long as I don't look you in the eyes, that magic doesn't work!\And can you dodge these while looking away?\Fairy Machine Gun Leprechaun!\Evergreen!\Neechan... You're serious about this, I see. response:	Full Body Take Over! Beast Soul!
context: Elsewhere, the pair of Evergreen and Elfman have engaged Mirajane.\She who strikes first wins! Stone Eyes!\As long as I don't look you in the eyes, that magic doesn't work!\And can you dodge these while looking away?\Fairy Machine Gun Leprechaun!\Evergreen!\Neechan... You're serious about this, I see.\Full Body Take Over! Beast Soul! response:	The finishing blow.
context: She who strikes first wins! Stone Eyes!\As long as I don't look you in the eyes, that magic doesn't work!\And can you dodge these while looking away?\Fairy Machine Gun Leprechaun!\Evergreen!\Neechan... You're serious about this, I see.\Full Body Take Over! Beast Soul!\The finishing blow. response:	Wait!
context: As long as I don't look you in the eyes, that magic doesn't work!\And can you dodge these while looking away?\Fairy Machine Gun Leprechaun!\Evergreen!\Neechan... You're serious about this, I see.\Full Body Take Over! Beast Soul!\The finishing blow.\Wait! response:	I'll blow the both of you away, Evergreen.
context: And can you dodge these while looking away?\Fairy Machine Gun Leprechaun!\Evergreen!\Neechan... You're serious about this, I see.\Full Body Take Over! Beast Soul!\The finishing blow.\Wait!\I'll blow the both of you away, Evergreen. response:	I'll tell you something you might want to know.
context: Fairy Machine Gun Leprechaun!\Evergreen!\Neechan... You're serious about this, I see.\Full Body Take Over! Beast Soul!\The finishing blow.\Wait!\I'll blow the both of you away, Evergreen.\I'll tell you something you might want to know. response:	Mest-san!
context: Evergreen!\Neechan... You're serious about this, I see.\Full Body Take Over! Beast Soul!\The finishing blow.\Wait!\I'll blow the both of you away, Evergreen.\I'll tell you something you might want to know.\Mest-san! response:	I didn't realize those guys would be so strong...
context: Neechan... You're serious about this, I see.\Full Body Take Over! Beast Soul!\The finishing blow.\Wait!\I'll blow the both of you away, Evergreen.\I'll tell you something you might want to know.\Mest-san!\I didn't realize those guys would be so strong... response:	Well, sure they're strong!
context: Full Body Take Over! Beast Soul!\The finishing blow.\Wait!\I'll blow the both of you away, Evergreen.\I'll tell you something you might want to know.\Mest-san!\I didn't realize those guys would be so strong...\Well, sure they're strong! response:	But, I'm going to follow in Mystogan's footsteps!
context: The finishing blow.\Wait!\I'll blow the both of you away, Evergreen.\I'll tell you something you might want to know.\Mest-san!\I didn't realize those guys would be so strong...\Well, sure they're strong!\But, I'm going to follow in Mystogan's footsteps! response:	I can't lose!
context: Wait!\I'll blow the both of you away, Evergreen.\I'll tell you something you might want to know.\Mest-san!\I didn't realize those guys would be so strong...\Well, sure they're strong!\But, I'm going to follow in Mystogan's footsteps!\I can't lose! response:	Bring it on, Gray, Loke!
context: I'll blow the both of you away, Evergreen.\I'll tell you something you might want to know.\Mest-san!\I didn't realize those guys would be so strong...\Well, sure they're strong!\But, I'm going to follow in Mystogan's footsteps!\I can't lose!\Bring it on, Gray, Loke! response:	Huh?
context: I'll tell you something you might want to know.\Mest-san!\I didn't realize those guys would be so strong...\Well, sure they're strong!\But, I'm going to follow in Mystogan's footsteps!\I can't lose!\Bring it on, Gray, Loke!\Huh? response:	Um... We lost.
context: Mest-san!\I didn't realize those guys would be so strong...\Well, sure they're strong!\But, I'm going to follow in Mystogan's footsteps!\I can't lose!\Bring it on, Gray, Loke!\Huh?\Um... We lost. response:	I didn't know that!
context: I didn't realize those guys would be so strong...\Well, sure they're strong!\But, I'm going to follow in Mystogan's footsteps!\I can't lose!\Bring it on, Gray, Loke!\Huh?\Um... We lost.\I didn't know that! response:	While you were unconscious, Gray-san and Loke-san went on ahead.
context: Well, sure they're strong!\But, I'm going to follow in Mystogan's footsteps!\I can't lose!\Bring it on, Gray, Loke!\Huh?\Um... We lost.\I didn't know that!\While you were unconscious, Gray-san and Loke-san went on ahead. response:	So this year's no good, either?
context: But, I'm going to follow in Mystogan's footsteps!\I can't lose!\Bring it on, Gray, Loke!\Huh?\Um... We lost.\I didn't know that!\While you were unconscious, Gray-san and Loke-san went on ahead.\So this year's no good, either? response:	It's because I wasn't any help...
context: I can't lose!\Bring it on, Gray, Loke!\Huh?\Um... We lost.\I didn't know that!\While you were unconscious, Gray-san and Loke-san went on ahead.\So this year's no good, either?\It's because I wasn't any help... response:	Even though I decided to try as hard as I could...
context: Bring it on, Gray, Loke!\Huh?\Um... We lost.\I didn't know that!\While you were unconscious, Gray-san and Loke-san went on ahead.\So this year's no good, either?\It's because I wasn't any help...\Even though I decided to try as hard as I could... response:	Well, it's okay. Anyway, you're not hurt?
context: Huh?\Um... We lost.\I didn't know that!\While you were unconscious, Gray-san and Loke-san went on ahead.\So this year's no good, either?\It's because I wasn't any help...\Even though I decided to try as hard as I could...\Well, it's okay. Anyway, you're not hurt? response:	No...
context: Um... We lost.\I didn't know that!\While you were unconscious, Gray-san and Loke-san went on ahead.\So this year's no good, either?\It's because I wasn't any help...\Even though I decided to try as hard as I could...\Well, it's okay. Anyway, you're not hurt?\No... response:	Right on! We cleared the first test!
context: I didn't know that!\While you were unconscious, Gray-san and Loke-san went on ahead.\So this year's no good, either?\It's because I wasn't any help...\Even though I decided to try as hard as I could...\Well, it's okay. Anyway, you're not hurt?\No...\Right on! We cleared the first test! response:	Although if Natsu, for example, lost against Fried in the first test,
context: While you were unconscious, Gray-san and Loke-san went on ahead.\So this year's no good, either?\It's because I wasn't any help...\Even though I decided to try as hard as I could...\Well, it's okay. Anyway, you're not hurt?\No...\Right on! We cleared the first test!\Although if Natsu, for example, lost against Fried in the first test, response:	I'd feel better about what's coming up.
context: So this year's no good, either?\It's because I wasn't any help...\Even though I decided to try as hard as I could...\Well, it's okay. Anyway, you're not hurt?\No...\Right on! We cleared the first test!\Although if Natsu, for example, lost against Fried in the first test,\I'd feel better about what's coming up. response:	Well, Cana might be a tough one.
context: It's because I wasn't any help...\Even though I decided to try as hard as I could...\Well, it's okay. Anyway, you're not hurt?\No...\Right on! We cleared the first test!\Although if Natsu, for example, lost against Fried in the first test,\I'd feel better about what's coming up.\Well, Cana might be a tough one. response:	Don't be a fool. There's no such thing as an easy path to becoming an S Class wizard.
context: Even though I decided to try as hard as I could...\Well, it's okay. Anyway, you're not hurt?\No...\Right on! We cleared the first test!\Although if Natsu, for example, lost against Fried in the first test,\I'd feel better about what's coming up.\Well, Cana might be a tough one.\Don't be a fool. There's no such thing as an easy path to becoming an S Class wizard. response:	I know, I know.
context: Well, it's okay. Anyway, you're not hurt?\No...\Right on! We cleared the first test!\Although if Natsu, for example, lost against Fried in the first test,\I'd feel better about what's coming up.\Well, Cana might be a tough one.\Don't be a fool. There's no such thing as an easy path to becoming an S Class wizard.\I know, I know. response:	I was just thinking we did well by beating Mest...
context: No...\Right on! We cleared the first test!\Although if Natsu, for example, lost against Fried in the first test,\I'd feel better about what's coming up.\Well, Cana might be a tough one.\Don't be a fool. There's no such thing as an easy path to becoming an S Class wizard.\I know, I know.\I was just thinking we did well by beating Mest... response:	Speaking of which... Was he always that weak?
context: Right on! We cleared the first test!\Although if Natsu, for example, lost against Fried in the first test,\I'd feel better about what's coming up.\Well, Cana might be a tough one.\Don't be a fool. There's no such thing as an easy path to becoming an S Class wizard.\I know, I know.\I was just thinking we did well by beating Mest...\Speaking of which... Was he always that weak? response:	Putting Wendy aside... I thought he was stronger before.
context: Although if Natsu, for example, lost against Fried in the first test,\I'd feel better about what's coming up.\Well, Cana might be a tough one.\Don't be a fool. There's no such thing as an easy path to becoming an S Class wizard.\I know, I know.\I was just thinking we did well by beating Mest...\Speaking of which... Was he always that weak?\Putting Wendy aside... I thought he was stronger before. response:	It's that we've gotten stronger.
context: I'd feel better about what's coming up.\Well, Cana might be a tough one.\Don't be a fool. There's no such thing as an easy path to becoming an S Class wizard.\I know, I know.\I was just thinking we did well by beating Mest...\Speaking of which... Was he always that weak?\Putting Wendy aside... I thought he was stronger before.\It's that we've gotten stronger. response:	Huh? I can't remember.
context: Well, Cana might be a tough one.\Don't be a fool. There's no such thing as an easy path to becoming an S Class wizard.\I know, I know.\I was just thinking we did well by beating Mest...\Speaking of which... Was he always that weak?\Putting Wendy aside... I thought he was stronger before.\It's that we've gotten stronger.\Huh? I can't remember. response:	Have I fought with him before?
context: Don't be a fool. There's no such thing as an easy path to becoming an S Class wizard.\I know, I know.\I was just thinking we did well by beating Mest...\Speaking of which... Was he always that weak?\Putting Wendy aside... I thought he was stronger before.\It's that we've gotten stronger.\Huh? I can't remember.\Have I fought with him before? response:	Oh? Memory loss now, too? Lucy'll think that's hot.
context: I know, I know.\I was just thinking we did well by beating Mest...\Speaking of which... Was he always that weak?\Putting Wendy aside... I thought he was stronger before.\It's that we've gotten stronger.\Huh? I can't remember.\Have I fought with him before?\Oh? Memory loss now, too? Lucy'll think that's hot. response:	Hmm... Mest said that he got pretty far in last year's exam...
context: I was just thinking we did well by beating Mest...\Speaking of which... Was he always that weak?\Putting Wendy aside... I thought he was stronger before.\It's that we've gotten stronger.\Huh? I can't remember.\Have I fought with him before?\Oh? Memory loss now, too? Lucy'll think that's hot.\Hmm... Mest said that he got pretty far in last year's exam... response:	Yes, he did...
