context: Just a little while longer, my lady. response:	My lady, be strong. Your child will be here any minute now.
context: Sir, no...!\I do not know what happened.\He is alive, but has no limbs, eyes, nor a nose.\He doesn't even have any skin.\I will give you anything of mine.\Anything. Take whatever you wish.\My lord, I feel a deep love for this woeful child of ours.\No matter his appearance, he is our son. response:	My dream will be fulfilled.
context: I do not know what happened.\He is alive, but has no limbs, eyes, nor a nose.\He doesn't even have any skin.\I will give you anything of mine.\Anything. Take whatever you wish.\My lord, I feel a deep love for this woeful child of ours.\No matter his appearance, he is our son.\My dream will be fulfilled. response:	-My lord? -The demons agreed to the deal.
context: He is alive, but has no limbs, eyes, nor a nose.\He doesn't even have any skin.\I will give you anything of mine.\Anything. Take whatever you wish.\My lord, I feel a deep love for this woeful child of ours.\No matter his appearance, he is our son.\My dream will be fulfilled.\-My lord? -The demons agreed to the deal. response:	You need not worry.
context: He doesn't even have any skin.\I will give you anything of mine.\Anything. Take whatever you wish.\My lord, I feel a deep love for this woeful child of ours.\No matter his appearance, he is our son.\My dream will be fulfilled.\-My lord? -The demons agreed to the deal.\You need not worry. response:	Thank you for bearing him.
context: I will give you anything of mine.\Anything. Take whatever you wish.\My lord, I feel a deep love for this woeful child of ours.\No matter his appearance, he is our son.\My dream will be fulfilled.\-My lord? -The demons agreed to the deal.\You need not worry.\Thank you for bearing him. response:	What are you doing, stop!
context: Anything. Take whatever you wish.\My lord, I feel a deep love for this woeful child of ours.\No matter his appearance, he is our son.\My dream will be fulfilled.\-My lord? -The demons agreed to the deal.\You need not worry.\Thank you for bearing him.\What are you doing, stop! response:	-Wait! -Forget him. He never even existed.
context: My lord, I feel a deep love for this woeful child of ours.\No matter his appearance, he is our son.\My dream will be fulfilled.\-My lord? -The demons agreed to the deal.\You need not worry.\Thank you for bearing him.\What are you doing, stop!\-Wait! -Forget him. He never even existed. response:	No! Don't!
context: No matter his appearance, he is our son.\My dream will be fulfilled.\-My lord? -The demons agreed to the deal.\You need not worry.\Thank you for bearing him.\What are you doing, stop!\-Wait! -Forget him. He never even existed.\No! Don't! response:	My lady, you mustn't get up yet.
context: My dream will be fulfilled.\-My lord? -The demons agreed to the deal.\You need not worry.\Thank you for bearing him.\What are you doing, stop!\-Wait! -Forget him. He never even existed.\No! Don't!\My lady, you mustn't get up yet. response:	Please, have mercy.
context: -My lord? -The demons agreed to the deal.\You need not worry.\Thank you for bearing him.\What are you doing, stop!\-Wait! -Forget him. He never even existed.\No! Don't!\My lady, you mustn't get up yet.\Please, have mercy. response:	He wouldn't survive anyway.
context: You need not worry.\Thank you for bearing him.\What are you doing, stop!\-Wait! -Forget him. He never even existed.\No! Don't!\My lady, you mustn't get up yet.\Please, have mercy.\He wouldn't survive anyway. response:	Then let him pass away in my arms.
context: Thank you for bearing him.\What are you doing, stop!\-Wait! -Forget him. He never even existed.\No! Don't!\My lady, you mustn't get up yet.\Please, have mercy.\He wouldn't survive anyway.\Then let him pass away in my arms. response:	Enough!
context: What are you doing, stop!\-Wait! -Forget him. He never even existed.\No! Don't!\My lady, you mustn't get up yet.\Please, have mercy.\He wouldn't survive anyway.\Then let him pass away in my arms.\Enough! response:	You will bear another child. You must.
context: -Wait! -Forget him. He never even existed.\No! Don't!\My lady, you mustn't get up yet.\Please, have mercy.\He wouldn't survive anyway.\Then let him pass away in my arms.\Enough!\You will bear another child. You must. response:	The next one will be the heir of a great ruler.
context: No! Don't!\My lady, you mustn't get up yet.\Please, have mercy.\He wouldn't survive anyway.\Then let him pass away in my arms.\Enough!\You will bear another child. You must.\The next one will be the heir of a great ruler. response:	What...
context: My lady, you mustn't get up yet.\Please, have mercy.\He wouldn't survive anyway.\Then let him pass away in my arms.\Enough!\You will bear another child. You must.\The next one will be the heir of a great ruler.\What... response:	It was blown away when the lightning struck.
context: Please, have mercy.\He wouldn't survive anyway.\Then let him pass away in my arms.\Enough!\You will bear another child. You must.\The next one will be the heir of a great ruler.\What...\It was blown away when the lightning struck. response:	The midwife said it sacrificed itself.
context: He wouldn't survive anyway.\Then let him pass away in my arms.\Enough!\You will bear another child. You must.\The next one will be the heir of a great ruler.\What...\It was blown away when the lightning struck.\The midwife said it sacrificed itself. response:	Sacrifice?
context: Then let him pass away in my arms.\Enough!\You will bear another child. You must.\The next one will be the heir of a great ruler.\What...\It was blown away when the lightning struck.\The midwife said it sacrificed itself.\Sacrifice? response:	HALL OF HELL
context: Enough!\You will bear another child. You must.\The next one will be the heir of a great ruler.\What...\It was blown away when the lightning struck.\The midwife said it sacrificed itself.\Sacrifice?\HALL OF HELL response:	Party is over
context: You will bear another child. You must.\The next one will be the heir of a great ruler.\What...\It was blown away when the lightning struck.\The midwife said it sacrificed itself.\Sacrifice?\HALL OF HELL\Party is over response:	But I still wanna dance
context: The next one will be the heir of a great ruler.\What...\It was blown away when the lightning struck.\The midwife said it sacrificed itself.\Sacrifice?\HALL OF HELL\Party is over\But I still wanna dance response:	I can't even sleep
context: What...\It was blown away when the lightning struck.\The midwife said it sacrificed itself.\Sacrifice?\HALL OF HELL\Party is over\But I still wanna dance\I can't even sleep response:	Someday, one day my passion's fire will
context: It was blown away when the lightning struck.\The midwife said it sacrificed itself.\Sacrifice?\HALL OF HELL\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will response:	From the beginning I knew
context: The midwife said it sacrificed itself.\Sacrifice?\HALL OF HELL\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew response:	One day the flames would die out
context: Sacrifice?\HALL OF HELL\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out response:	Hey, I thought I didn't need anything
context: HALL OF HELL\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything response:	But even now, I'm so serious
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious response:	Ah... I still have time to make it
context: But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it response:	Ah... but Im gonna burn it up, baby
context: I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but Im gonna burn it up, baby response:	Sorry darling, its not that easy
context: Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but Im gonna burn it up, baby\Sorry darling, its not that easy response:	But surely its not that bad either
context: From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but Im gonna burn it up, baby\Sorry darling, its not that easy\But surely its not that bad either response:	Give me fire
context: One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but Im gonna burn it up, baby\Sorry darling, its not that easy\But surely its not that bad either\Give me fire response:	Light it up, baby. Im gonna burn it up, yeah
context: Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but Im gonna burn it up, baby\Sorry darling, its not that easy\But surely its not that bad either\Give me fire\Light it up, baby. Im gonna burn it up, yeah response:	Party is over
context: But even now, I'm so serious\Ah... I still have time to make it\Ah... but Im gonna burn it up, baby\Sorry darling, its not that easy\But surely its not that bad either\Give me fire\Light it up, baby. Im gonna burn it up, yeah\Party is over response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... I still have time to make it\Ah... but Im gonna burn it up, baby\Sorry darling, its not that easy\But surely its not that bad either\Give me fire\Light it up, baby. Im gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... but Im gonna burn it up, baby\Sorry darling, its not that easy\But surely its not that bad either\Give me fire\Light it up, baby. Im gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it response:	Give me fire
context: Sorry darling, its not that easy\But surely its not that bad either\Give me fire\Light it up, baby. Im gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire response:	Light it up, baby. Im gonna burn it up, yeah
context: But surely its not that bad either\Give me fire\Light it up, baby. Im gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. Im gonna burn it up, yeah response:	1 The story of Daigo
context: Give me fire\Light it up, baby. Im gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. Im gonna burn it up, yeah\1 The story of Daigo response:	Whatever could've caused this?
context: Light it up, baby. Im gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. Im gonna burn it up, yeah\1 The story of Daigo\Whatever could've caused this? response:	Either way, being alive would only be harder for you.
context: Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. Im gonna burn it up, yeah\1 The story of Daigo\Whatever could've caused this?\Either way, being alive would only be harder for you. response:	Now, go on dear. Buddha will take care of you.
context: Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. Im gonna burn it up, yeah\1 The story of Daigo\Whatever could've caused this?\Either way, being alive would only be harder for you.\Now, go on dear. Buddha will take care of you. response:	I should be used to this sort of thing by now.
context: Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. Im gonna burn it up, yeah\1 The story of Daigo\Whatever could've caused this?\Either way, being alive would only be harder for you.\Now, go on dear. Buddha will take care of you.\I should be used to this sort of thing by now. response:	Do you desire to live?
context: Give me fire\Light it up, baby. Im gonna burn it up, yeah\1 The story of Daigo\Whatever could've caused this?\Either way, being alive would only be harder for you.\Now, go on dear. Buddha will take care of you.\I should be used to this sort of thing by now.\Do you desire to live? response:	The rest is up to your luck, dear boy.
context: Light it up, baby. Im gonna burn it up, yeah\1 The story of Daigo\Whatever could've caused this?\Either way, being alive would only be harder for you.\Now, go on dear. Buddha will take care of you.\I should be used to this sort of thing by now.\Do you desire to live?\The rest is up to your luck, dear boy. response:	I smell something.
context: 1 The story of Daigo\Whatever could've caused this?\Either way, being alive would only be harder for you.\Now, go on dear. Buddha will take care of you.\I should be used to this sort of thing by now.\Do you desire to live?\The rest is up to your luck, dear boy.\I smell something. response:	The stench of evil.
context: Whatever could've caused this?\Either way, being alive would only be harder for you.\Now, go on dear. Buddha will take care of you.\I should be used to this sort of thing by now.\Do you desire to live?\The rest is up to your luck, dear boy.\I smell something.\The stench of evil. response:	What's there?
context: Either way, being alive would only be harder for you.\Now, go on dear. Buddha will take care of you.\I should be used to this sort of thing by now.\Do you desire to live?\The rest is up to your luck, dear boy.\I smell something.\The stench of evil.\What's there? response:	Not human.
context: Now, go on dear. Buddha will take care of you.\I should be used to this sort of thing by now.\Do you desire to live?\The rest is up to your luck, dear boy.\I smell something.\The stench of evil.\What's there?\Not human. response:	Yet, not a ghoul, either.
context: I should be used to this sort of thing by now.\Do you desire to live?\The rest is up to your luck, dear boy.\I smell something.\The stench of evil.\What's there?\Not human.\Yet, not a ghoul, either. response:	I smell a curse.
context: Do you desire to live?\The rest is up to your luck, dear boy.\I smell something.\The stench of evil.\What's there?\Not human.\Yet, not a ghoul, either.\I smell a curse. response:	Daigo Kagemitsu's land at the border of Kaga.
context: The rest is up to your luck, dear boy.\I smell something.\The stench of evil.\What's there?\Not human.\Yet, not a ghoul, either.\I smell a curse.\Daigo Kagemitsu's land at the border of Kaga. response:	After overcoming many famines, it was on its way to prosperity.
context: I smell something.\The stench of evil.\What's there?\Not human.\Yet, not a ghoul, either.\I smell a curse.\Daigo Kagemitsu's land at the border of Kaga.\After overcoming many famines, it was on its way to prosperity. response:	But the tiny soul, too weak to even let out a cry,
context: The stench of evil.\What's there?\Not human.\Yet, not a ghoul, either.\I smell a curse.\Daigo Kagemitsu's land at the border of Kaga.\After overcoming many famines, it was on its way to prosperity.\But the tiny soul, too weak to even let out a cry, response:	quietly vanished off into obscurity.
context: What's there?\Not human.\Yet, not a ghoul, either.\I smell a curse.\Daigo Kagemitsu's land at the border of Kaga.\After overcoming many famines, it was on its way to prosperity.\But the tiny soul, too weak to even let out a cry,\quietly vanished off into obscurity. response:	There was none in the land who knew about it.
context: Not human.\Yet, not a ghoul, either.\I smell a curse.\Daigo Kagemitsu's land at the border of Kaga.\After overcoming many famines, it was on its way to prosperity.\But the tiny soul, too weak to even let out a cry,\quietly vanished off into obscurity.\There was none in the land who knew about it. response:	16 YEARS LATER
context: Yet, not a ghoul, either.\I smell a curse.\Daigo Kagemitsu's land at the border of Kaga.\After overcoming many famines, it was on its way to prosperity.\But the tiny soul, too weak to even let out a cry,\quietly vanished off into obscurity.\There was none in the land who knew about it.\16 YEARS LATER response:	At that time, there was always a war being fought somewhere.
context: I smell a curse.\Daigo Kagemitsu's land at the border of Kaga.\After overcoming many famines, it was on its way to prosperity.\But the tiny soul, too weak to even let out a cry,\quietly vanished off into obscurity.\There was none in the land who knew about it.\16 YEARS LATER\At that time, there was always a war being fought somewhere. response:	Human lives were hardly worth more than a stone on the ground.
context: Daigo Kagemitsu's land at the border of Kaga.\After overcoming many famines, it was on its way to prosperity.\But the tiny soul, too weak to even let out a cry,\quietly vanished off into obscurity.\There was none in the land who knew about it.\16 YEARS LATER\At that time, there was always a war being fought somewhere.\Human lives were hardly worth more than a stone on the ground. response:	You there.
context: After overcoming many famines, it was on its way to prosperity.\But the tiny soul, too weak to even let out a cry,\quietly vanished off into obscurity.\There was none in the land who knew about it.\16 YEARS LATER\At that time, there was always a war being fought somewhere.\Human lives were hardly worth more than a stone on the ground.\You there. response:	Are you the doctor who gives prosthetics to the dead to mourn for them?
context: But the tiny soul, too weak to even let out a cry,\quietly vanished off into obscurity.\There was none in the land who knew about it.\16 YEARS LATER\At that time, there was always a war being fought somewhere.\Human lives were hardly worth more than a stone on the ground.\You there.\Are you the doctor who gives prosthetics to the dead to mourn for them? response:	Your name is Jukai, am I correct?
