context: Nanami-sama and the chief, response:	and the serious battle between the Princess and Rebecca-sama!
context: People of Pastillage, I am here to aid you,\the undefeatable Hero Mask!\Did Adel-sama stop caring about hiding her face?\Looks like she's really let herself go.\Hero Mask!\Next time you'll have to face me, too!\Me, too!\Very well, Leonmichelli and Nanami, response:	I will meet you in battle!
context: the undefeatable Hero Mask!\Did Adel-sama stop caring about hiding her face?\Looks like she's really let herself go.\Hero Mask!\Next time you'll have to face me, too!\Me, too!\Very well, Leonmichelli and Nanami,\I will meet you in battle! response:	She's really popular!
context: Did Adel-sama stop caring about hiding her face?\Looks like she's really let herself go.\Hero Mask!\Next time you'll have to face me, too!\Me, too!\Very well, Leonmichelli and Nanami,\I will meet you in battle!\She's really popular! response:	Pastillage's savior, Hero Mask!
context: Looks like she's really let herself go.\Hero Mask!\Next time you'll have to face me, too!\Me, too!\Very well, Leonmichelli and Nanami,\I will meet you in battle!\She's really popular!\Pastillage's savior, Hero Mask! response:	The spectators already love her!
context: Hero Mask!\Next time you'll have to face me, too!\Me, too!\Very well, Leonmichelli and Nanami,\I will meet you in battle!\She's really popular!\Pastillage's savior, Hero Mask!\The spectators already love her! response:	Let's all do our best again tomorrow!
context: Next time you'll have to face me, too!\Me, too!\Very well, Leonmichelli and Nanami,\I will meet you in battle!\She's really popular!\Pastillage's savior, Hero Mask!\The spectators already love her!\Let's all do our best again tomorrow! response:	The second day will be a sea battle!
context: Me, too!\Very well, Leonmichelli and Nanami,\I will meet you in battle!\She's really popular!\Pastillage's savior, Hero Mask!\The spectators already love her!\Let's all do our best again tomorrow!\The second day will be a sea battle! response:	All the contestants for the various beach events
context: Very well, Leonmichelli and Nanami,\I will meet you in battle!\She's really popular!\Pastillage's savior, Hero Mask!\The spectators already love her!\Let's all do our best again tomorrow!\The second day will be a sea battle!\All the contestants for the various beach events response:	have already gathered here on this beach battlefield!
context: I will meet you in battle!\She's really popular!\Pastillage's savior, Hero Mask!\The spectators already love her!\Let's all do our best again tomorrow!\The second day will be a sea battle!\All the contestants for the various beach events\have already gathered here on this beach battlefield! response:	The intra-country friendship
context: She's really popular!\Pastillage's savior, Hero Mask!\The spectators already love her!\Let's all do our best again tomorrow!\The second day will be a sea battle!\All the contestants for the various beach events\have already gathered here on this beach battlefield!\The intra-country friendship response:	marine race will be held here, too!
context: Pastillage's savior, Hero Mask!\The spectators already love her!\Let's all do our best again tomorrow!\The second day will be a sea battle!\All the contestants for the various beach events\have already gathered here on this beach battlefield!\The intra-country friendship\marine race will be held here, too! response:	Also, on the field specially set up for it,
context: The spectators already love her!\Let's all do our best again tomorrow!\The second day will be a sea battle!\All the contestants for the various beach events\have already gathered here on this beach battlefield!\The intra-country friendship\marine race will be held here, too!\Also, on the field specially set up for it, response:	the Princess' project
context: Let's all do our best again tomorrow!\The second day will be a sea battle!\All the contestants for the various beach events\have already gathered here on this beach battlefield!\The intra-country friendship\marine race will be held here, too!\Also, on the field specially set up for it,\the Princess' project response:	Mounted Battle by the Sea - Water battle
context: The second day will be a sea battle!\All the contestants for the various beach events\have already gathered here on this beach battlefield!\The intra-country friendship\marine race will be held here, too!\Also, on the field specially set up for it,\the Princess' project\Mounted Battle by the Sea - Water battle response:	is about to begin!
context: All the contestants for the various beach events\have already gathered here on this beach battlefield!\The intra-country friendship\marine race will be held here, too!\Also, on the field specially set up for it,\the Princess' project\Mounted Battle by the Sea - Water battle\is about to begin! response:	Let the water battle by the sea begin!
context: have already gathered here on this beach battlefield!\The intra-country friendship\marine race will be held here, too!\Also, on the field specially set up for it,\the Princess' project\Mounted Battle by the Sea - Water battle\is about to begin!\Let the water battle by the sea begin! response:	The sky we both
context: The intra-country friendship\marine race will be held here, too!\Also, on the field specially set up for it,\the Princess' project\Mounted Battle by the Sea - Water battle\is about to begin!\Let the water battle by the sea begin!\The sky we both response:	gazed up at on that day
context: marine race will be held here, too!\Also, on the field specially set up for it,\the Princess' project\Mounted Battle by the Sea - Water battle\is about to begin!\Let the water battle by the sea begin!\The sky we both\gazed up at on that day response:	Galette army! Advance!
context: Also, on the field specially set up for it,\the Princess' project\Mounted Battle by the Sea - Water battle\is about to begin!\Let the water battle by the sea begin!\The sky we both\gazed up at on that day\Galette army! Advance! response:	I'll never forget it.
context: the Princess' project\Mounted Battle by the Sea - Water battle\is about to begin!\Let the water battle by the sea begin!\The sky we both\gazed up at on that day\Galette army! Advance!\I'll never forget it. response:	I love these events!
context: Mounted Battle by the Sea - Water battle\is about to begin!\Let the water battle by the sea begin!\The sky we both\gazed up at on that day\Galette army! Advance!\I'll never forget it.\I love these events! response:	All right, let's just keep our lead all the way to the end!
context: is about to begin!\Let the water battle by the sea begin!\The sky we both\gazed up at on that day\Galette army! Advance!\I'll never forget it.\I love these events!\All right, let's just keep our lead all the way to the end! response:	Wishing that we could all
context: Let the water battle by the sea begin!\The sky we both\gazed up at on that day\Galette army! Advance!\I'll never forget it.\I love these events!\All right, let's just keep our lead all the way to the end!\Wishing that we could all response:	Indeed!
context: The sky we both\gazed up at on that day\Galette army! Advance!\I'll never forget it.\I love these events!\All right, let's just keep our lead all the way to the end!\Wishing that we could all\Indeed! response:	I'll do my best!
context: gazed up at on that day\Galette army! Advance!\I'll never forget it.\I love these events!\All right, let's just keep our lead all the way to the end!\Wishing that we could all\Indeed!\I'll do my best! response:	run together someday.
context: Galette army! Advance!\I'll never forget it.\I love these events!\All right, let's just keep our lead all the way to the end!\Wishing that we could all\Indeed!\I'll do my best!\run together someday. response:	We'll go in as well!
context: I'll never forget it.\I love these events!\All right, let's just keep our lead all the way to the end!\Wishing that we could all\Indeed!\I'll do my best!\run together someday.\We'll go in as well! response:	It's not Goodbye,
context: I love these events!\All right, let's just keep our lead all the way to the end!\Wishing that we could all\Indeed!\I'll do my best!\run together someday.\We'll go in as well!\It's not Goodbye, response:	it's we will meet again.
context: All right, let's just keep our lead all the way to the end!\Wishing that we could all\Indeed!\I'll do my best!\run together someday.\We'll go in as well!\It's not Goodbye,\it's we will meet again. response:	Because I know my wish will come true!
context: Wishing that we could all\Indeed!\I'll do my best!\run together someday.\We'll go in as well!\It's not Goodbye,\it's we will meet again.\Because I know my wish will come true! response:	Let's embrace our passionate memories
context: Indeed!\I'll do my best!\run together someday.\We'll go in as well!\It's not Goodbye,\it's we will meet again.\Because I know my wish will come true!\Let's embrace our passionate memories response:	of those days that we rushed through.
context: I'll do my best!\run together someday.\We'll go in as well!\It's not Goodbye,\it's we will meet again.\Because I know my wish will come true!\Let's embrace our passionate memories\of those days that we rushed through. response:	That promise we made hand in hand.
context: run together someday.\We'll go in as well!\It's not Goodbye,\it's we will meet again.\Because I know my wish will come true!\Let's embrace our passionate memories\of those days that we rushed through.\That promise we made hand in hand. response:	We will meet again and it'll come true.
context: We'll go in as well!\It's not Goodbye,\it's we will meet again.\Because I know my wish will come true!\Let's embrace our passionate memories\of those days that we rushed through.\That promise we made hand in hand.\We will meet again and it'll come true. response:	As you can see, the second day of Union Fest
context: It's not Goodbye,\it's we will meet again.\Because I know my wish will come true!\Let's embrace our passionate memories\of those days that we rushed through.\That promise we made hand in hand.\We will meet again and it'll come true.\As you can see, the second day of Union Fest response:	was another huge success.
context: it's we will meet again.\Because I know my wish will come true!\Let's embrace our passionate memories\of those days that we rushed through.\That promise we made hand in hand.\We will meet again and it'll come true.\As you can see, the second day of Union Fest\was another huge success. response:	I'll wait forever.
context: Because I know my wish will come true!\Let's embrace our passionate memories\of those days that we rushed through.\That promise we made hand in hand.\We will meet again and it'll come true.\As you can see, the second day of Union Fest\was another huge success.\I'll wait forever. response:	Obviously, there were many
context: Let's embrace our passionate memories\of those days that we rushed through.\That promise we made hand in hand.\We will meet again and it'll come true.\As you can see, the second day of Union Fest\was another huge success.\I'll wait forever.\Obviously, there were many response:	more events after that and Rico-chan
context: of those days that we rushed through.\That promise we made hand in hand.\We will meet again and it'll come true.\As you can see, the second day of Union Fest\was another huge success.\I'll wait forever.\Obviously, there were many\more events after that and Rico-chan response:	and Noir-chan even scored big at a quiz competition.
context: That promise we made hand in hand.\We will meet again and it'll come true.\As you can see, the second day of Union Fest\was another huge success.\I'll wait forever.\Obviously, there were many\more events after that and Rico-chan\and Noir-chan even scored big at a quiz competition. response:	Yes, Chief Ricotta!
context: We will meet again and it'll come true.\As you can see, the second day of Union Fest\was another huge success.\I'll wait forever.\Obviously, there were many\more events after that and Rico-chan\and Noir-chan even scored big at a quiz competition.\Yes, Chief Ricotta! response:	General Godwin!
context: As you can see, the second day of Union Fest\was another huge success.\I'll wait forever.\Obviously, there were many\more events after that and Rico-chan\and Noir-chan even scored big at a quiz competition.\Yes, Chief Ricotta!\General Godwin! response:	Correct!
context: was another huge success.\I'll wait forever.\Obviously, there were many\more events after that and Rico-chan\and Noir-chan even scored big at a quiz competition.\Yes, Chief Ricotta!\General Godwin!\Correct! response:	Knights and common folk mingled on stage
context: I'll wait forever.\Obviously, there were many\more events after that and Rico-chan\and Noir-chan even scored big at a quiz competition.\Yes, Chief Ricotta!\General Godwin!\Correct!\Knights and common folk mingled on stage response:	and everybody had fun together.
context: Obviously, there were many\more events after that and Rico-chan\and Noir-chan even scored big at a quiz competition.\Yes, Chief Ricotta!\General Godwin!\Correct!\Knights and common folk mingled on stage\and everybody had fun together. response:	Next, next.
context: more events after that and Rico-chan\and Noir-chan even scored big at a quiz competition.\Yes, Chief Ricotta!\General Godwin!\Correct!\Knights and common folk mingled on stage\and everybody had fun together.\Next, next. response:	The level of excitement
context: and Noir-chan even scored big at a quiz competition.\Yes, Chief Ricotta!\General Godwin!\Correct!\Knights and common folk mingled on stage\and everybody had fun together.\Next, next.\The level of excitement response:	stayed high during the rest of the events...
context: Yes, Chief Ricotta!\General Godwin!\Correct!\Knights and common folk mingled on stage\and everybody had fun together.\Next, next.\The level of excitement\stayed high during the rest of the events... response:	As of today, all the war games between our
context: General Godwin!\Correct!\Knights and common folk mingled on stage\and everybody had fun together.\Next, next.\The level of excitement\stayed high during the rest of the events...\As of today, all the war games between our response:	three countries have been concluded.
context: Correct!\Knights and common folk mingled on stage\and everybody had fun together.\Next, next.\The level of excitement\stayed high during the rest of the events...\As of today, all the war games between our\three countries have been concluded. response:	The sporting and art events
context: Knights and common folk mingled on stage\and everybody had fun together.\Next, next.\The level of excitement\stayed high during the rest of the events...\As of today, all the war games between our\three countries have been concluded.\The sporting and art events response:	are still going on and there's also the final stage
context: and everybody had fun together.\Next, next.\The level of excitement\stayed high during the rest of the events...\As of today, all the war games between our\three countries have been concluded.\The sporting and art events\are still going on and there's also the final stage response:	that'll take place on the last day.
context: Next, next.\The level of excitement\stayed high during the rest of the events...\As of today, all the war games between our\three countries have been concluded.\The sporting and art events\are still going on and there's also the final stage\that'll take place on the last day. response:	But, for now, we've concluded this section.
context: The level of excitement\stayed high during the rest of the events...\As of today, all the war games between our\three countries have been concluded.\The sporting and art events\are still going on and there's also the final stage\that'll take place on the last day.\But, for now, we've concluded this section. response:	There were no major accidents or other trouble
context: stayed high during the rest of the events...\As of today, all the war games between our\three countries have been concluded.\The sporting and art events\are still going on and there's also the final stage\that'll take place on the last day.\But, for now, we've concluded this section.\There were no major accidents or other trouble response:	during the large scale events, which is all
context: As of today, all the war games between our\three countries have been concluded.\The sporting and art events\are still going on and there's also the final stage\that'll take place on the last day.\But, for now, we've concluded this section.\There were no major accidents or other trouble\during the large scale events, which is all response:	thanks to your hard work.
context: three countries have been concluded.\The sporting and art events\are still going on and there's also the final stage\that'll take place on the last day.\But, for now, we've concluded this section.\There were no major accidents or other trouble\during the large scale events, which is all\thanks to your hard work. response:	Let's hear a toast from the representative
context: The sporting and art events\are still going on and there's also the final stage\that'll take place on the last day.\But, for now, we've concluded this section.\There were no major accidents or other trouble\during the large scale events, which is all\thanks to your hard work.\Let's hear a toast from the representative response:	of the three countries' knight orders, Lord Risler.
context: are still going on and there's also the final stage\that'll take place on the last day.\But, for now, we've concluded this section.\There were no major accidents or other trouble\during the large scale events, which is all\thanks to your hard work.\Let's hear a toast from the representative\of the three countries' knight orders, Lord Risler. response:	What? Me?
context: that'll take place on the last day.\But, for now, we've concluded this section.\There were no major accidents or other trouble\during the large scale events, which is all\thanks to your hard work.\Let's hear a toast from the representative\of the three countries' knight orders, Lord Risler.\What? Me? response:	Please.
context: But, for now, we've concluded this section.\There were no major accidents or other trouble\during the large scale events, which is all\thanks to your hard work.\Let's hear a toast from the representative\of the three countries' knight orders, Lord Risler.\What? Me?\Please. response:	Lord Risler!
context: There were no major accidents or other trouble\during the large scale events, which is all\thanks to your hard work.\Let's hear a toast from the representative\of the three countries' knight orders, Lord Risler.\What? Me?\Please.\Lord Risler! response:	Um, then I'd like to
context: during the large scale events, which is all\thanks to your hard work.\Let's hear a toast from the representative\of the three countries' knight orders, Lord Risler.\What? Me?\Please.\Lord Risler!\Um, then I'd like to response:	toast to the continued peace, prosperity, and even better
context: thanks to your hard work.\Let's hear a toast from the representative\of the three countries' knight orders, Lord Risler.\What? Me?\Please.\Lord Risler!\Um, then I'd like to\toast to the continued peace, prosperity, and even better response:	cooperation between the three countries.
context: Let's hear a toast from the representative\of the three countries' knight orders, Lord Risler.\What? Me?\Please.\Lord Risler!\Um, then I'd like to\toast to the continued peace, prosperity, and even better\cooperation between the three countries. response:	Cheers!
context: of the three countries' knight orders, Lord Risler.\What? Me?\Please.\Lord Risler!\Um, then I'd like to\toast to the continued peace, prosperity, and even better\cooperation between the three countries.\Cheers! response:	Cheers!
context: What? Me?\Please.\Lord Risler!\Um, then I'd like to\toast to the continued peace, prosperity, and even better\cooperation between the three countries.\Cheers!\Cheers! response:	Sink.
context: Please.\Lord Risler!\Um, then I'd like to\toast to the continued peace, prosperity, and even better\cooperation between the three countries.\Cheers!\Cheers!\Sink. response:	Good work.
context: Lord Risler!\Um, then I'd like to\toast to the continued peace, prosperity, and even better\cooperation between the three countries.\Cheers!\Cheers!\Sink.\Good work. response:	Becky, Cou-sama. Good work.
context: Um, then I'd like to\toast to the continued peace, prosperity, and even better\cooperation between the three countries.\Cheers!\Cheers!\Sink.\Good work.\Becky, Cou-sama. Good work. response:	Sink, you're going on a walk with
context: toast to the continued peace, prosperity, and even better\cooperation between the three countries.\Cheers!\Cheers!\Sink.\Good work.\Becky, Cou-sama. Good work.\Sink, you're going on a walk with response:	the Princess again tomorrow morning, right?
context: cooperation between the three countries.\Cheers!\Cheers!\Sink.\Good work.\Becky, Cou-sama. Good work.\Sink, you're going on a walk with\the Princess again tomorrow morning, right? response:	Yeah, she said there's a place she wanted to go to.
context: Cheers!\Cheers!\Sink.\Good work.\Becky, Cou-sama. Good work.\Sink, you're going on a walk with\the Princess again tomorrow morning, right?\Yeah, she said there's a place she wanted to go to. response:	Yes, so about that...
context: Cheers!\Sink.\Good work.\Becky, Cou-sama. Good work.\Sink, you're going on a walk with\the Princess again tomorrow morning, right?\Yeah, she said there's a place she wanted to go to.\Yes, so about that... response:	Oh, Cou-sama, Rebecca-san.
context: Sink.\Good work.\Becky, Cou-sama. Good work.\Sink, you're going on a walk with\the Princess again tomorrow morning, right?\Yeah, she said there's a place she wanted to go to.\Yes, so about that...\Oh, Cou-sama, Rebecca-san. response:	Princess.
context: Good work.\Becky, Cou-sama. Good work.\Sink, you're going on a walk with\the Princess again tomorrow morning, right?\Yeah, she said there's a place she wanted to go to.\Yes, so about that...\Oh, Cou-sama, Rebecca-san.\Princess. response:	Millihi-nee, perfect timing!
context: Becky, Cou-sama. Good work.\Sink, you're going on a walk with\the Princess again tomorrow morning, right?\Yeah, she said there's a place she wanted to go to.\Yes, so about that...\Oh, Cou-sama, Rebecca-san.\Princess.\Millihi-nee, perfect timing! response:	Yes?
context: Sink, you're going on a walk with\the Princess again tomorrow morning, right?\Yeah, she said there's a place she wanted to go to.\Yes, so about that...\Oh, Cou-sama, Rebecca-san.\Princess.\Millihi-nee, perfect timing!\Yes? response:	You're have your on-air performance
context: the Princess again tomorrow morning, right?\Yeah, she said there's a place she wanted to go to.\Yes, so about that...\Oh, Cou-sama, Rebecca-san.\Princess.\Millihi-nee, perfect timing!\Yes?\You're have your on-air performance response:	in our country tomorrow, right?
context: Yeah, she said there's a place she wanted to go to.\Yes, so about that...\Oh, Cou-sama, Rebecca-san.\Princess.\Millihi-nee, perfect timing!\Yes?\You're have your on-air performance\in our country tomorrow, right? response:	Rebecca and I wanted to bring you.
context: Yes, so about that...\Oh, Cou-sama, Rebecca-san.\Princess.\Millihi-nee, perfect timing!\Yes?\You're have your on-air performance\in our country tomorrow, right?\Rebecca and I wanted to bring you. response:	Wow, thank you.
context: Oh, Cou-sama, Rebecca-san.\Princess.\Millihi-nee, perfect timing!\Yes?\You're have your on-air performance\in our country tomorrow, right?\Rebecca and I wanted to bring you.\Wow, thank you. response:	Where will you be going for your walk tomorrow?
context: Princess.\Millihi-nee, perfect timing!\Yes?\You're have your on-air performance\in our country tomorrow, right?\Rebecca and I wanted to bring you.\Wow, thank you.\Where will you be going for your walk tomorrow? response:	Since we have some time,
context: Millihi-nee, perfect timing!\Yes?\You're have your on-air performance\in our country tomorrow, right?\Rebecca and I wanted to bring you.\Wow, thank you.\Where will you be going for your walk tomorrow?\Since we have some time, response:	I wanted to go to a place
context: Yes?\You're have your on-air performance\in our country tomorrow, right?\Rebecca and I wanted to bring you.\Wow, thank you.\Where will you be going for your walk tomorrow?\Since we have some time,\I wanted to go to a place response:	with many memories that we haven't been to lately.
context: You're have your on-air performance\in our country tomorrow, right?\Rebecca and I wanted to bring you.\Wow, thank you.\Where will you be going for your walk tomorrow?\Since we have some time,\I wanted to go to a place\with many memories that we haven't been to lately. response:	I haven't been to this stream in a while.
context: in our country tomorrow, right?\Rebecca and I wanted to bring you.\Wow, thank you.\Where will you be going for your walk tomorrow?\Since we have some time,\I wanted to go to a place\with many memories that we haven't been to lately.\I haven't been to this stream in a while. response:	Sink, you had your training camp here last time, right?
context: Rebecca and I wanted to bring you.\Wow, thank you.\Where will you be going for your walk tomorrow?\Since we have some time,\I wanted to go to a place\with many memories that we haven't been to lately.\I haven't been to this stream in a while.\Sink, you had your training camp here last time, right? response:	Yes, with Yukki, Ecle, and Noir.
context: Wow, thank you.\Where will you be going for your walk tomorrow?\Since we have some time,\I wanted to go to a place\with many memories that we haven't been to lately.\I haven't been to this stream in a while.\Sink, you had your training camp here last time, right?\Yes, with Yukki, Ecle, and Noir. response:	Princess! Sink!
context: Where will you be going for your walk tomorrow?\Since we have some time,\I wanted to go to a place\with many memories that we haven't been to lately.\I haven't been to this stream in a while.\Sink, you had your training camp here last time, right?\Yes, with Yukki, Ecle, and Noir.\Princess! Sink! response:	Yukikaze!
context: Since we have some time,\I wanted to go to a place\with many memories that we haven't been to lately.\I haven't been to this stream in a while.\Sink, you had your training camp here last time, right?\Yes, with Yukki, Ecle, and Noir.\Princess! Sink!\Yukikaze! response:	I apologize for wanting to come over so suddenly.
context: I wanted to go to a place\with many memories that we haven't been to lately.\I haven't been to this stream in a while.\Sink, you had your training camp here last time, right?\Yes, with Yukki, Ecle, and Noir.\Princess! Sink!\Yukikaze!\I apologize for wanting to come over so suddenly. response:	Please don't apologize,
context: with many memories that we haven't been to lately.\I haven't been to this stream in a while.\Sink, you had your training camp here last time, right?\Yes, with Yukki, Ecle, and Noir.\Princess! Sink!\Yukikaze!\I apologize for wanting to come over so suddenly.\Please don't apologize, response:	Are Lady d'Arquien and Isuka-san in today?
context: I haven't been to this stream in a while.\Sink, you had your training camp here last time, right?\Yes, with Yukki, Ecle, and Noir.\Princess! Sink!\Yukikaze!\I apologize for wanting to come over so suddenly.\Please don't apologize,\Are Lady d'Arquien and Isuka-san in today? response:	They left early in the morning
context: Sink, you had your training camp here last time, right?\Yes, with Yukki, Ecle, and Noir.\Princess! Sink!\Yukikaze!\I apologize for wanting to come over so suddenly.\Please don't apologize,\Are Lady d'Arquien and Isuka-san in today?\They left early in the morning response:	to get some metal for his swordsmithing.
context: Yes, with Yukki, Ecle, and Noir.\Princess! Sink!\Yukikaze!\I apologize for wanting to come over so suddenly.\Please don't apologize,\Are Lady d'Arquien and Isuka-san in today?\They left early in the morning\to get some metal for his swordsmithing. response:	I see.
context: Princess! Sink!\Yukikaze!\I apologize for wanting to come over so suddenly.\Please don't apologize,\Are Lady d'Arquien and Isuka-san in today?\They left early in the morning\to get some metal for his swordsmithing.\I see. response:	The only ones at our house are Kanata and myself,
context: Yukikaze!\I apologize for wanting to come over so suddenly.\Please don't apologize,\Are Lady d'Arquien and Isuka-san in today?\They left early in the morning\to get some metal for his swordsmithing.\I see.\The only ones at our house are Kanata and myself, response:	so please stay as long as you wish.
context: I apologize for wanting to come over so suddenly.\Please don't apologize,\Are Lady d'Arquien and Isuka-san in today?\They left early in the morning\to get some metal for his swordsmithing.\I see.\The only ones at our house are Kanata and myself,\so please stay as long as you wish. response:	Here you go, Princess.
context: Please don't apologize,\Are Lady d'Arquien and Isuka-san in today?\They left early in the morning\to get some metal for his swordsmithing.\I see.\The only ones at our house are Kanata and myself,\so please stay as long as you wish.\Here you go, Princess. response:	Thank you!
context: Are Lady d'Arquien and Isuka-san in today?\They left early in the morning\to get some metal for his swordsmithing.\I see.\The only ones at our house are Kanata and myself,\so please stay as long as you wish.\Here you go, Princess.\Thank you! response:	Yukikaze's tail pillow!
context: They left early in the morning\to get some metal for his swordsmithing.\I see.\The only ones at our house are Kanata and myself,\so please stay as long as you wish.\Here you go, Princess.\Thank you!\Yukikaze's tail pillow! response:	It's just as fluffy and soft as I remember!
context: to get some metal for his swordsmithing.\I see.\The only ones at our house are Kanata and myself,\so please stay as long as you wish.\Here you go, Princess.\Thank you!\Yukikaze's tail pillow!\It's just as fluffy and soft as I remember! response:	Sink, want to try it, too?
context: I see.\The only ones at our house are Kanata and myself,\so please stay as long as you wish.\Here you go, Princess.\Thank you!\Yukikaze's tail pillow!\It's just as fluffy and soft as I remember!\Sink, want to try it, too? response:	It's really fluffy!
