context: Line up by school. By school. response:	Teito Univesity. Saikyo University.
context: one.\Finish the first five kilometers in 3:10 each.\After that, use your own judgment.\Run with the Wind\Haiji!\Are you okay?\Are you hurt? Would you like to drop out?\You can do it! response:	You've got this!
context: Finish the first five kilometers in 3:10 each.\After that, use your own judgment.\Run with the Wind\Haiji!\Are you okay?\Are you hurt? Would you like to drop out?\You can do it!\You've got this! response:	Don't give up!
context: After that, use your own judgment.\Run with the Wind\Haiji!\Are you okay?\Are you hurt? Would you like to drop out?\You can do it!\You've got this!\Don't give up! response:	Hey, Hanako!
context: Run with the Wind\Haiji!\Are you okay?\Are you hurt? Would you like to drop out?\You can do it!\You've got this!\Don't give up!\Hey, Hanako! response:	Dad.
context: Haiji!\Are you okay?\Are you hurt? Would you like to drop out?\You can do it!\You've got this!\Don't give up!\Hey, Hanako!\Dad. response:	It's Musa and the twins.
context: Are you okay?\Are you hurt? Would you like to drop out?\You can do it!\You've got this!\Don't give up!\Hey, Hanako!\Dad.\It's Musa and the twins. response:	What?
context: Are you hurt? Would you like to drop out?\You can do it!\You've got this!\Don't give up!\Hey, Hanako!\Dad.\It's Musa and the twins.\What? response:	The pack's starting to scatter.
context: You can do it!\You've got this!\Don't give up!\Hey, Hanako!\Dad.\It's Musa and the twins.\What?\The pack's starting to scatter. response:	Dreams and Reality
context: You've got this!\Don't give up!\Hey, Hanako!\Dad.\It's Musa and the twins.\What?\The pack's starting to scatter.\Dreams and Reality response:	581 runners from 49 schools are participating in this year's race.
context: Don't give up!\Hey, Hanako!\Dad.\It's Musa and the twins.\What?\The pack's starting to scatter.\Dreams and Reality\581 runners from 49 schools are participating in this year's race. response:	Placing is determined by the total time of a school's top ten finishers.
context: Hey, Hanako!\Dad.\It's Musa and the twins.\What?\The pack's starting to scatter.\Dreams and Reality\581 runners from 49 schools are participating in this year's race.\Placing is determined by the total time of a school's top ten finishers. response:	Of the 49 schools, the top ten will compete at the New Year's Hakone Ekiden race.
context: Dad.\It's Musa and the twins.\What?\The pack's starting to scatter.\Dreams and Reality\581 runners from 49 schools are participating in this year's race.\Placing is determined by the total time of a school's top ten finishers.\Of the 49 schools, the top ten will compete at the New Year's Hakone Ekiden race. response:	As usual, the exchange students are in the lead.
context: It's Musa and the twins.\What?\The pack's starting to scatter.\Dreams and Reality\581 runners from 49 schools are participating in this year's race.\Placing is determined by the total time of a school's top ten finishers.\Of the 49 schools, the top ten will compete at the New Year's Hakone Ekiden race.\As usual, the exchange students are in the lead. response:	I hope the runners behind them don't get thrown off
context: What?\The pack's starting to scatter.\Dreams and Reality\581 runners from 49 schools are participating in this year's race.\Placing is determined by the total time of a school's top ten finishers.\Of the 49 schools, the top ten will compete at the New Year's Hakone Ekiden race.\As usual, the exchange students are in the lead.\I hope the runners behind them don't get thrown off response:	and maintain their own pace instead.
context: The pack's starting to scatter.\Dreams and Reality\581 runners from 49 schools are participating in this year's race.\Placing is determined by the total time of a school's top ten finishers.\Of the 49 schools, the top ten will compete at the New Year's Hakone Ekiden race.\As usual, the exchange students are in the lead.\I hope the runners behind them don't get thrown off\and maintain their own pace instead. response:	The lead pack seems to have settled in.
context: Dreams and Reality\581 runners from 49 schools are participating in this year's race.\Placing is determined by the total time of a school's top ten finishers.\Of the 49 schools, the top ten will compete at the New Year's Hakone Ekiden race.\As usual, the exchange students are in the lead.\I hope the runners behind them don't get thrown off\and maintain their own pace instead.\The lead pack seems to have settled in. response:	The level of the qualifier rises every year.
context: 581 runners from 49 schools are participating in this year's race.\Placing is determined by the total time of a school's top ten finishers.\Of the 49 schools, the top ten will compete at the New Year's Hakone Ekiden race.\As usual, the exchange students are in the lead.\I hope the runners behind them don't get thrown off\and maintain their own pace instead.\The lead pack seems to have settled in.\The level of the qualifier rises every year. response:	We expect to see great individual performances,
context: Placing is determined by the total time of a school's top ten finishers.\Of the 49 schools, the top ten will compete at the New Year's Hakone Ekiden race.\As usual, the exchange students are in the lead.\I hope the runners behind them don't get thrown off\and maintain their own pace instead.\The lead pack seems to have settled in.\The level of the qualifier rises every year.\We expect to see great individual performances, response:	but in the qualifier, it's all about the depth of a team's roster.
context: Of the 49 schools, the top ten will compete at the New Year's Hakone Ekiden race.\As usual, the exchange students are in the lead.\I hope the runners behind them don't get thrown off\and maintain their own pace instead.\The lead pack seems to have settled in.\The level of the qualifier rises every year.\We expect to see great individual performances,\but in the qualifier, it's all about the depth of a team's roster. response:	Every athlete hopes to finish even one second faster.
context: As usual, the exchange students are in the lead.\I hope the runners behind them don't get thrown off\and maintain their own pace instead.\The lead pack seems to have settled in.\The level of the qualifier rises every year.\We expect to see great individual performances,\but in the qualifier, it's all about the depth of a team's roster.\Every athlete hopes to finish even one second faster. response:	Indeed.
context: I hope the runners behind them don't get thrown off\and maintain their own pace instead.\The lead pack seems to have settled in.\The level of the qualifier rises every year.\We expect to see great individual performances,\but in the qualifier, it's all about the depth of a team's roster.\Every athlete hopes to finish even one second faster.\Indeed. response:	It's raining steadily now.
context: and maintain their own pace instead.\The lead pack seems to have settled in.\The level of the qualifier rises every year.\We expect to see great individual performances,\but in the qualifier, it's all about the depth of a team's roster.\Every athlete hopes to finish even one second faster.\Indeed.\It's raining steadily now. response:	In the qualifier for the Tokyo-Hakone Collegiate Ekiden Relay Race,
context: The lead pack seems to have settled in.\The level of the qualifier rises every year.\We expect to see great individual performances,\but in the qualifier, it's all about the depth of a team's roster.\Every athlete hopes to finish even one second faster.\Indeed.\It's raining steadily now.\In the qualifier for the Tokyo-Hakone Collegiate Ekiden Relay Race, response:	the lead runners are approaching the seven-kilometer mark.
context: The level of the qualifier rises every year.\We expect to see great individual performances,\but in the qualifier, it's all about the depth of a team's roster.\Every athlete hopes to finish even one second faster.\Indeed.\It's raining steadily now.\In the qualifier for the Tokyo-Hakone Collegiate Ekiden Relay Race,\the lead runners are approaching the seven-kilometer mark. response:	It's no use. I can't tell where Haiji is.
context: We expect to see great individual performances,\but in the qualifier, it's all about the depth of a team's roster.\Every athlete hopes to finish even one second faster.\Indeed.\It's raining steadily now.\In the qualifier for the Tokyo-Hakone Collegiate Ekiden Relay Race,\the lead runners are approaching the seven-kilometer mark.\It's no use. I can't tell where Haiji is. response:	He's probably in the lead pack.
context: but in the qualifier, it's all about the depth of a team's roster.\Every athlete hopes to finish even one second faster.\Indeed.\It's raining steadily now.\In the qualifier for the Tokyo-Hakone Collegiate Ekiden Relay Race,\the lead runners are approaching the seven-kilometer mark.\It's no use. I can't tell where Haiji is.\He's probably in the lead pack. response:	He managed to avoid getting caught up in the fall, right?
context: Every athlete hopes to finish even one second faster.\Indeed.\It's raining steadily now.\In the qualifier for the Tokyo-Hakone Collegiate Ekiden Relay Race,\the lead runners are approaching the seven-kilometer mark.\It's no use. I can't tell where Haiji is.\He's probably in the lead pack.\He managed to avoid getting caught up in the fall, right? response:	Yeah.
context: Indeed.\It's raining steadily now.\In the qualifier for the Tokyo-Hakone Collegiate Ekiden Relay Race,\the lead runners are approaching the seven-kilometer mark.\It's no use. I can't tell where Haiji is.\He's probably in the lead pack.\He managed to avoid getting caught up in the fall, right?\Yeah. response:	Seriously?
context: It's raining steadily now.\In the qualifier for the Tokyo-Hakone Collegiate Ekiden Relay Race,\the lead runners are approaching the seven-kilometer mark.\It's no use. I can't tell where Haiji is.\He's probably in the lead pack.\He managed to avoid getting caught up in the fall, right?\Yeah.\Seriously? response:	I don't know.
context: In the qualifier for the Tokyo-Hakone Collegiate Ekiden Relay Race,\the lead runners are approaching the seven-kilometer mark.\It's no use. I can't tell where Haiji is.\He's probably in the lead pack.\He managed to avoid getting caught up in the fall, right?\Yeah.\Seriously?\I don't know. response:	The coach is confirming it right now.
context: the lead runners are approaching the seven-kilometer mark.\It's no use. I can't tell where Haiji is.\He's probably in the lead pack.\He managed to avoid getting caught up in the fall, right?\Yeah.\Seriously?\I don't know.\The coach is confirming it right now. response:	No way... He dropped out?
context: It's no use. I can't tell where Haiji is.\He's probably in the lead pack.\He managed to avoid getting caught up in the fall, right?\Yeah.\Seriously?\I don't know.\The coach is confirming it right now.\No way... He dropped out? response:	We'll head out onto the road, pass the station,
context: He's probably in the lead pack.\He managed to avoid getting caught up in the fall, right?\Yeah.\Seriously?\I don't know.\The coach is confirming it right now.\No way... He dropped out?\We'll head out onto the road, pass the station, response:	and cross under the monorail bridge.
context: He managed to avoid getting caught up in the fall, right?\Yeah.\Seriously?\I don't know.\The coach is confirming it right now.\No way... He dropped out?\We'll head out onto the road, pass the station,\and cross under the monorail bridge. response:	That's about ten kilometers.
context: Yeah.\Seriously?\I don't know.\The coach is confirming it right now.\No way... He dropped out?\We'll head out onto the road, pass the station,\and cross under the monorail bridge.\That's about ten kilometers. response:	Ma'am!
context: Seriously?\I don't know.\The coach is confirming it right now.\No way... He dropped out?\We'll head out onto the road, pass the station,\and cross under the monorail bridge.\That's about ten kilometers.\Ma'am! response:	Hana.
context: I don't know.\The coach is confirming it right now.\No way... He dropped out?\We'll head out onto the road, pass the station,\and cross under the monorail bridge.\That's about ten kilometers.\Ma'am!\Hana. response:	Did you see everyone run by?
context: The coach is confirming it right now.\No way... He dropped out?\We'll head out onto the road, pass the station,\and cross under the monorail bridge.\That's about ten kilometers.\Ma'am!\Hana.\Did you see everyone run by? response:	I caught glimpses of them, but I didn't see them clearly.
context: No way... He dropped out?\We'll head out onto the road, pass the station,\and cross under the monorail bridge.\That's about ten kilometers.\Ma'am!\Hana.\Did you see everyone run by?\I caught glimpses of them, but I didn't see them clearly. response:	What about Haiji?
context: We'll head out onto the road, pass the station,\and cross under the monorail bridge.\That's about ten kilometers.\Ma'am!\Hana.\Did you see everyone run by?\I caught glimpses of them, but I didn't see them clearly.\What about Haiji? response:	Haiji? I haven't seen him.
context: and cross under the monorail bridge.\That's about ten kilometers.\Ma'am!\Hana.\Did you see everyone run by?\I caught glimpses of them, but I didn't see them clearly.\What about Haiji?\Haiji? I haven't seen him. response:	Did something happen?
context: That's about ten kilometers.\Ma'am!\Hana.\Did you see everyone run by?\I caught glimpses of them, but I didn't see them clearly.\What about Haiji?\Haiji? I haven't seen him.\Did something happen? response:	There! It's Haiji!
context: Ma'am!\Hana.\Did you see everyone run by?\I caught glimpses of them, but I didn't see them clearly.\What about Haiji?\Haiji? I haven't seen him.\Did something happen?\There! It's Haiji! response:	In the lead pack, behind Kakeru!
context: Hana.\Did you see everyone run by?\I caught glimpses of them, but I didn't see them clearly.\What about Haiji?\Haiji? I haven't seen him.\Did something happen?\There! It's Haiji!\In the lead pack, behind Kakeru! response:	They're moving.
context: Did you see everyone run by?\I caught glimpses of them, but I didn't see them clearly.\What about Haiji?\Haiji? I haven't seen him.\Did something happen?\There! It's Haiji!\In the lead pack, behind Kakeru!\They're moving. response:	The exchange students in the lead pack are passing the ten-kilometer mark now.
context: I caught glimpses of them, but I didn't see them clearly.\What about Haiji?\Haiji? I haven't seen him.\Did something happen?\There! It's Haiji!\In the lead pack, behind Kakeru!\They're moving.\The exchange students in the lead pack are passing the ten-kilometer mark now. response:	Oka's Kipsuge is still in the front,
context: What about Haiji?\Haiji? I haven't seen him.\Did something happen?\There! It's Haiji!\In the lead pack, behind Kakeru!\They're moving.\The exchange students in the lead pack are passing the ten-kilometer mark now.\Oka's Kipsuge is still in the front, response:	followed by Yakuo's Muskus and Saikyo's Jomo.
context: Haiji? I haven't seen him.\Did something happen?\There! It's Haiji!\In the lead pack, behind Kakeru!\They're moving.\The exchange students in the lead pack are passing the ten-kilometer mark now.\Oka's Kipsuge is still in the front,\followed by Yakuo's Muskus and Saikyo's Jomo. response:	Lagging behind are Kofu Academy's Iwanki and Gaien's Ectoba.
context: Did something happen?\There! It's Haiji!\In the lead pack, behind Kakeru!\They're moving.\The exchange students in the lead pack are passing the ten-kilometer mark now.\Oka's Kipsuge is still in the front,\followed by Yakuo's Muskus and Saikyo's Jomo.\Lagging behind are Kofu Academy's Iwanki and Gaien's Ectoba. response:	After ten kilometers, use your own judgment.
context: There! It's Haiji!\In the lead pack, behind Kakeru!\They're moving.\The exchange students in the lead pack are passing the ten-kilometer mark now.\Oka's Kipsuge is still in the front,\followed by Yakuo's Muskus and Saikyo's Jomo.\Lagging behind are Kofu Academy's Iwanki and Gaien's Ectoba.\After ten kilometers, use your own judgment. response:	Good luck.
context: In the lead pack, behind Kakeru!\They're moving.\The exchange students in the lead pack are passing the ten-kilometer mark now.\Oka's Kipsuge is still in the front,\followed by Yakuo's Muskus and Saikyo's Jomo.\Lagging behind are Kofu Academy's Iwanki and Gaien's Ectoba.\After ten kilometers, use your own judgment.\Good luck. response:	Hey.
context: They're moving.\The exchange students in the lead pack are passing the ten-kilometer mark now.\Oka's Kipsuge is still in the front,\followed by Yakuo's Muskus and Saikyo's Jomo.\Lagging behind are Kofu Academy's Iwanki and Gaien's Ectoba.\After ten kilometers, use your own judgment.\Good luck.\Hey. response:	Are you watching?
context: The exchange students in the lead pack are passing the ten-kilometer mark now.\Oka's Kipsuge is still in the front,\followed by Yakuo's Muskus and Saikyo's Jomo.\Lagging behind are Kofu Academy's Iwanki and Gaien's Ectoba.\After ten kilometers, use your own judgment.\Good luck.\Hey.\Are you watching? response:	Prince!
context: Oka's Kipsuge is still in the front,\followed by Yakuo's Muskus and Saikyo's Jomo.\Lagging behind are Kofu Academy's Iwanki and Gaien's Ectoba.\After ten kilometers, use your own judgment.\Good luck.\Hey.\Are you watching?\Prince! response:	I'm sorry! I'm really sorry!
context: followed by Yakuo's Muskus and Saikyo's Jomo.\Lagging behind are Kofu Academy's Iwanki and Gaien's Ectoba.\After ten kilometers, use your own judgment.\Good luck.\Hey.\Are you watching?\Prince!\I'm sorry! I'm really sorry! response:	Kikui third-year Gunzawa and Tokyo Sport fourth-year Takasugi are sprinting ahead.
context: Lagging behind are Kofu Academy's Iwanki and Gaien's Ectoba.\After ten kilometers, use your own judgment.\Good luck.\Hey.\Are you watching?\Prince!\I'm sorry! I'm really sorry!\Kikui third-year Gunzawa and Tokyo Sport fourth-year Takasugi are sprinting ahead. response:	As if it was planned, the lead pack begins to shift
context: After ten kilometers, use your own judgment.\Good luck.\Hey.\Are you watching?\Prince!\I'm sorry! I'm really sorry!\Kikui third-year Gunzawa and Tokyo Sport fourth-year Takasugi are sprinting ahead.\As if it was planned, the lead pack begins to shift response:	as they pass the ten-kilometer mark.
context: Good luck.\Hey.\Are you watching?\Prince!\I'm sorry! I'm really sorry!\Kikui third-year Gunzawa and Tokyo Sport fourth-year Takasugi are sprinting ahead.\As if it was planned, the lead pack begins to shift\as they pass the ten-kilometer mark. response:	The two schools that tasted the humiliation of losing their seeds last year
context: Hey.\Are you watching?\Prince!\I'm sorry! I'm really sorry!\Kikui third-year Gunzawa and Tokyo Sport fourth-year Takasugi are sprinting ahead.\As if it was planned, the lead pack begins to shift\as they pass the ten-kilometer mark.\The two schools that tasted the humiliation of losing their seeds last year response:	are trying to get a slight lead on the others.
context: Are you watching?\Prince!\I'm sorry! I'm really sorry!\Kikui third-year Gunzawa and Tokyo Sport fourth-year Takasugi are sprinting ahead.\As if it was planned, the lead pack begins to shift\as they pass the ten-kilometer mark.\The two schools that tasted the humiliation of losing their seeds last year\are trying to get a slight lead on the others. response:	No. Wait a minute.
context: Prince!\I'm sorry! I'm really sorry!\Kikui third-year Gunzawa and Tokyo Sport fourth-year Takasugi are sprinting ahead.\As if it was planned, the lead pack begins to shift\as they pass the ten-kilometer mark.\The two schools that tasted the humiliation of losing their seeds last year\are trying to get a slight lead on the others.\No. Wait a minute. response:	Kansei University.
context: I'm sorry! I'm really sorry!\Kikui third-year Gunzawa and Tokyo Sport fourth-year Takasugi are sprinting ahead.\As if it was planned, the lead pack begins to shift\as they pass the ten-kilometer mark.\The two schools that tasted the humiliation of losing their seeds last year\are trying to get a slight lead on the others.\No. Wait a minute.\Kansei University. response:	It's Kansei University first-year Kurahara Kakeru.
context: Kikui third-year Gunzawa and Tokyo Sport fourth-year Takasugi are sprinting ahead.\As if it was planned, the lead pack begins to shift\as they pass the ten-kilometer mark.\The two schools that tasted the humiliation of losing their seeds last year\are trying to get a slight lead on the others.\No. Wait a minute.\Kansei University.\It's Kansei University first-year Kurahara Kakeru. response:	Kansei University first-year Kurahara Kakeru is sticking to
context: As if it was planned, the lead pack begins to shift\as they pass the ten-kilometer mark.\The two schools that tasted the humiliation of losing their seeds last year\are trying to get a slight lead on the others.\No. Wait a minute.\Kansei University.\It's Kansei University first-year Kurahara Kakeru.\Kansei University first-year Kurahara Kakeru is sticking to response:	No. Wait.
context: as they pass the ten-kilometer mark.\The two schools that tasted the humiliation of losing their seeds last year\are trying to get a slight lead on the others.\No. Wait a minute.\Kansei University.\It's Kansei University first-year Kurahara Kakeru.\Kansei University first-year Kurahara Kakeru is sticking to\No. Wait. response:	He's pulling ahead.
context: The two schools that tasted the humiliation of losing their seeds last year\are trying to get a slight lead on the others.\No. Wait a minute.\Kansei University.\It's Kansei University first-year Kurahara Kakeru.\Kansei University first-year Kurahara Kakeru is sticking to\No. Wait.\He's pulling ahead. response:	He's beaten the Kikui and Tokyo Sport's burst of speed
context: are trying to get a slight lead on the others.\No. Wait a minute.\Kansei University.\It's Kansei University first-year Kurahara Kakeru.\Kansei University first-year Kurahara Kakeru is sticking to\No. Wait.\He's pulling ahead.\He's beaten the Kikui and Tokyo Sport's burst of speed response:	and is now at the front of the lead pack.
context: No. Wait a minute.\Kansei University.\It's Kansei University first-year Kurahara Kakeru.\Kansei University first-year Kurahara Kakeru is sticking to\No. Wait.\He's pulling ahead.\He's beaten the Kikui and Tokyo Sport's burst of speed\and is now at the front of the lead pack. response:	Kurahara passed them.
context: Kansei University.\It's Kansei University first-year Kurahara Kakeru.\Kansei University first-year Kurahara Kakeru is sticking to\No. Wait.\He's pulling ahead.\He's beaten the Kikui and Tokyo Sport's burst of speed\and is now at the front of the lead pack.\Kurahara passed them. response:	Kurahara passed them just before the turnaround point.
context: It's Kansei University first-year Kurahara Kakeru.\Kansei University first-year Kurahara Kakeru is sticking to\No. Wait.\He's pulling ahead.\He's beaten the Kikui and Tokyo Sport's burst of speed\and is now at the front of the lead pack.\Kurahara passed them.\Kurahara passed them just before the turnaround point. response:	More.
context: Kansei University first-year Kurahara Kakeru is sticking to\No. Wait.\He's pulling ahead.\He's beaten the Kikui and Tokyo Sport's burst of speed\and is now at the front of the lead pack.\Kurahara passed them.\Kurahara passed them just before the turnaround point.\More. response:	More.
context: No. Wait.\He's pulling ahead.\He's beaten the Kikui and Tokyo Sport's burst of speed\and is now at the front of the lead pack.\Kurahara passed them.\Kurahara passed them just before the turnaround point.\More.\More. response:	More!
context: He's pulling ahead.\He's beaten the Kikui and Tokyo Sport's burst of speed\and is now at the front of the lead pack.\Kurahara passed them.\Kurahara passed them just before the turnaround point.\More.\More.\More! response:	Kurahara isn't stopping.
context: He's beaten the Kikui and Tokyo Sport's burst of speed\and is now at the front of the lead pack.\Kurahara passed them.\Kurahara passed them just before the turnaround point.\More.\More.\More!\Kurahara isn't stopping. response:	Kansei University first-year Kurahara Kakeru has passed Gaien second-year Ectoba
context: and is now at the front of the lead pack.\Kurahara passed them.\Kurahara passed them just before the turnaround point.\More.\More.\More!\Kurahara isn't stopping.\Kansei University first-year Kurahara Kakeru has passed Gaien second-year Ectoba response:	and is in a dead heat with Johann Iwanki, the monster of Hakone's section two.
context: Kurahara passed them.\Kurahara passed them just before the turnaround point.\More.\More.\More!\Kurahara isn't stopping.\Kansei University first-year Kurahara Kakeru has passed Gaien second-year Ectoba\and is in a dead heat with Johann Iwanki, the monster of Hakone's section two. response:	Muskus and Jomo may be ahead of them now, but they can't relax yet.
context: Kurahara passed them just before the turnaround point.\More.\More.\More!\Kurahara isn't stopping.\Kansei University first-year Kurahara Kakeru has passed Gaien second-year Ectoba\and is in a dead heat with Johann Iwanki, the monster of Hakone's section two.\Muskus and Jomo may be ahead of them now, but they can't relax yet. response:	I'm going to someplace where I can see the finish line.
context: More.\More.\More!\Kurahara isn't stopping.\Kansei University first-year Kurahara Kakeru has passed Gaien second-year Ectoba\and is in a dead heat with Johann Iwanki, the monster of Hakone's section two.\Muskus and Jomo may be ahead of them now, but they can't relax yet.\I'm going to someplace where I can see the finish line. response:	Be careful!
context: More.\More!\Kurahara isn't stopping.\Kansei University first-year Kurahara Kakeru has passed Gaien second-year Ectoba\and is in a dead heat with Johann Iwanki, the monster of Hakone's section two.\Muskus and Jomo may be ahead of them now, but they can't relax yet.\I'm going to someplace where I can see the finish line.\Be careful! response:	Go! Don't let him beat you!
context: More!\Kurahara isn't stopping.\Kansei University first-year Kurahara Kakeru has passed Gaien second-year Ectoba\and is in a dead heat with Johann Iwanki, the monster of Hakone's section two.\Muskus and Jomo may be ahead of them now, but they can't relax yet.\I'm going to someplace where I can see the finish line.\Be careful!\Go! Don't let him beat you! response:	You can catch them!
context: Kurahara isn't stopping.\Kansei University first-year Kurahara Kakeru has passed Gaien second-year Ectoba\and is in a dead heat with Johann Iwanki, the monster of Hakone's section two.\Muskus and Jomo may be ahead of them now, but they can't relax yet.\I'm going to someplace where I can see the finish line.\Be careful!\Go! Don't let him beat you!\You can catch them! response:	Excuse me. Sorry.
context: Kansei University first-year Kurahara Kakeru has passed Gaien second-year Ectoba\and is in a dead heat with Johann Iwanki, the monster of Hakone's section two.\Muskus and Jomo may be ahead of them now, but they can't relax yet.\I'm going to someplace where I can see the finish line.\Be careful!\Go! Don't let him beat you!\You can catch them!\Excuse me. Sorry. response:	I saw that guy at the track meet.
context: and is in a dead heat with Johann Iwanki, the monster of Hakone's section two.\Muskus and Jomo may be ahead of them now, but they can't relax yet.\I'm going to someplace where I can see the finish line.\Be careful!\Go! Don't let him beat you!\You can catch them!\Excuse me. Sorry.\I saw that guy at the track meet. response:	Don't stop.
context: Muskus and Jomo may be ahead of them now, but they can't relax yet.\I'm going to someplace where I can see the finish line.\Be careful!\Go! Don't let him beat you!\You can catch them!\Excuse me. Sorry.\I saw that guy at the track meet.\Don't stop. response:	Keep moving. Runners, to the field.
context: I'm going to someplace where I can see the finish line.\Be careful!\Go! Don't let him beat you!\You can catch them!\Excuse me. Sorry.\I saw that guy at the track meet.\Don't stop.\Keep moving. Runners, to the field. response:	Less than an hour.
context: Be careful!\Go! Don't let him beat you!\You can catch them!\Excuse me. Sorry.\I saw that guy at the track meet.\Don't stop.\Keep moving. Runners, to the field.\Less than an hour. response:	They're fast.
context: Go! Don't let him beat you!\You can catch them!\Excuse me. Sorry.\I saw that guy at the track meet.\Don't stop.\Keep moving. Runners, to the field.\Less than an hour.\They're fast. response:	They're here!
context: You can catch them!\Excuse me. Sorry.\I saw that guy at the track meet.\Don't stop.\Keep moving. Runners, to the field.\Less than an hour.\They're fast.\They're here! response:	Wow! He's keeping up with an exchange student!
context: Excuse me. Sorry.\I saw that guy at the track meet.\Don't stop.\Keep moving. Runners, to the field.\Less than an hour.\They're fast.\They're here!\Wow! He's keeping up with an exchange student! response:	He's up against Iwanki!
context: I saw that guy at the track meet.\Don't stop.\Keep moving. Runners, to the field.\Less than an hour.\They're fast.\They're here!\Wow! He's keeping up with an exchange student!\He's up against Iwanki! response:	Keep it up, you two!
context: Don't stop.\Keep moving. Runners, to the field.\Less than an hour.\They're fast.\They're here!\Wow! He's keeping up with an exchange student!\He's up against Iwanki!\Keep it up, you two! response:	Tokyo-Hakone Collegiate Ekiden Relay Race
context: Keep moving. Runners, to the field.\Less than an hour.\They're fast.\They're here!\Wow! He's keeping up with an exchange student!\He's up against Iwanki!\Keep it up, you two!\Tokyo-Hakone Collegiate Ekiden Relay Race response:	The runners are coming.
context: Less than an hour.\They're fast.\They're here!\Wow! He's keeping up with an exchange student!\He's up against Iwanki!\Keep it up, you two!\Tokyo-Hakone Collegiate Ekiden Relay Race\The runners are coming. response:	Don't stop moving.
context: They're fast.\They're here!\Wow! He's keeping up with an exchange student!\He's up against Iwanki!\Keep it up, you two!\Tokyo-Hakone Collegiate Ekiden Relay Race\The runners are coming.\Don't stop moving. response:	Wow...
context: They're here!\Wow! He's keeping up with an exchange student!\He's up against Iwanki!\Keep it up, you two!\Tokyo-Hakone Collegiate Ekiden Relay Race\The runners are coming.\Don't stop moving.\Wow... response:	Wow, wow, wow!
context: Wow! He's keeping up with an exchange student!\He's up against Iwanki!\Keep it up, you two!\Tokyo-Hakone Collegiate Ekiden Relay Race\The runners are coming.\Don't stop moving.\Wow...\Wow, wow, wow! response:	Next runners are coming.
context: He's up against Iwanki!\Keep it up, you two!\Tokyo-Hakone Collegiate Ekiden Relay Race\The runners are coming.\Don't stop moving.\Wow...\Wow, wow, wow!\Next runners are coming. response:	King just finished.
context: Keep it up, you two!\Tokyo-Hakone Collegiate Ekiden Relay Race\The runners are coming.\Don't stop moving.\Wow...\Wow, wow, wow!\Next runners are coming.\King just finished. response:	He's probably in the 120's.
context: Tokyo-Hakone Collegiate Ekiden Relay Race\The runners are coming.\Don't stop moving.\Wow...\Wow, wow, wow!\Next runners are coming.\King just finished.\He's probably in the 120's. response:	Nico-chan Senpai.
context: The runners are coming.\Don't stop moving.\Wow...\Wow, wow, wow!\Next runners are coming.\King just finished.\He's probably in the 120's.\Nico-chan Senpai. response:	Drink some water.
context: Don't stop moving.\Wow...\Wow, wow, wow!\Next runners are coming.\King just finished.\He's probably in the 120's.\Nico-chan Senpai.\Drink some water. response:	Where's Prince?
context: Wow...\Wow, wow, wow!\Next runners are coming.\King just finished.\He's probably in the 120's.\Nico-chan Senpai.\Drink some water.\Where's Prince? response:	You can do it!
