context: Oops! response:	Isn't this...?
context: We have to be up early.\At that time, I was still completely unaware.\I was unaware that Rikka was on the verge of losing her power.\SUN BLOCK\Schwing! This year I have put up a barrier...\What happened last year will be repeated!\EPISODE IX Resort - Last Resort\This place sure is crowded. response:	It's oozing with rotten commoner scum.
context: At that time, I was still completely unaware.\I was unaware that Rikka was on the verge of losing her power.\SUN BLOCK\Schwing! This year I have put up a barrier...\What happened last year will be repeated!\EPISODE IX Resort - Last Resort\This place sure is crowded.\It's oozing with rotten commoner scum. response:	Enjoy your petty potato-scrubbing existences.
context: I was unaware that Rikka was on the verge of losing her power.\SUN BLOCK\Schwing! This year I have put up a barrier...\What happened last year will be repeated!\EPISODE IX Resort - Last Resort\This place sure is crowded.\It's oozing with rotten commoner scum.\Enjoy your petty potato-scrubbing existences. response:	Ahoy! Togashi! Rikka!
context: SUN BLOCK\Schwing! This year I have put up a barrier...\What happened last year will be repeated!\EPISODE IX Resort - Last Resort\This place sure is crowded.\It's oozing with rotten commoner scum.\Enjoy your petty potato-scrubbing existences.\Ahoy! Togashi! Rikka! response:	THE NAPPING PLACE
context: Schwing! This year I have put up a barrier...\What happened last year will be repeated!\EPISODE IX Resort - Last Resort\This place sure is crowded.\It's oozing with rotten commoner scum.\Enjoy your petty potato-scrubbing existences.\Ahoy! Togashi! Rikka!\THE NAPPING PLACE response:	Wow, this place is pretty big.
context: What happened last year will be repeated!\EPISODE IX Resort - Last Resort\This place sure is crowded.\It's oozing with rotten commoner scum.\Enjoy your petty potato-scrubbing existences.\Ahoy! Togashi! Rikka!\THE NAPPING PLACE\Wow, this place is pretty big. response:	This cafe was named with you in mind, Upperclassman Kumin.
context: EPISODE IX Resort - Last Resort\This place sure is crowded.\It's oozing with rotten commoner scum.\Enjoy your petty potato-scrubbing existences.\Ahoy! Togashi! Rikka!\THE NAPPING PLACE\Wow, this place is pretty big.\This cafe was named with you in mind, Upperclassman Kumin. response:	THE NAPPING PLACE Beach Cafe
context: This place sure is crowded.\It's oozing with rotten commoner scum.\Enjoy your petty potato-scrubbing existences.\Ahoy! Togashi! Rikka!\THE NAPPING PLACE\Wow, this place is pretty big.\This cafe was named with you in mind, Upperclassman Kumin.\THE NAPPING PLACE Beach Cafe response:	Hero!
context: It's oozing with rotten commoner scum.\Enjoy your petty potato-scrubbing existences.\Ahoy! Togashi! Rikka!\THE NAPPING PLACE\Wow, this place is pretty big.\This cafe was named with you in mind, Upperclassman Kumin.\THE NAPPING PLACE Beach Cafe\Hero! response:	THE NAPPING PLACE Beach Cafe
context: Enjoy your petty potato-scrubbing existences.\Ahoy! Togashi! Rikka!\THE NAPPING PLACE\Wow, this place is pretty big.\This cafe was named with you in mind, Upperclassman Kumin.\THE NAPPING PLACE Beach Cafe\Hero!\THE NAPPING PLACE Beach Cafe response:	Shichimiya! You're here?!
context: Ahoy! Togashi! Rikka!\THE NAPPING PLACE\Wow, this place is pretty big.\This cafe was named with you in mind, Upperclassman Kumin.\THE NAPPING PLACE Beach Cafe\Hero!\THE NAPPING PLACE Beach Cafe\Shichimiya! You're here?! response:	I invited her.
context: THE NAPPING PLACE\Wow, this place is pretty big.\This cafe was named with you in mind, Upperclassman Kumin.\THE NAPPING PLACE Beach Cafe\Hero!\THE NAPPING PLACE Beach Cafe\Shichimiya! You're here?!\I invited her. response:	What?
context: Wow, this place is pretty big.\This cafe was named with you in mind, Upperclassman Kumin.\THE NAPPING PLACE Beach Cafe\Hero!\THE NAPPING PLACE Beach Cafe\Shichimiya! You're here?!\I invited her.\What? response:	The more reinforcements the better. And besides...
context: This cafe was named with you in mind, Upperclassman Kumin.\THE NAPPING PLACE Beach Cafe\Hero!\THE NAPPING PLACE Beach Cafe\Shichimiya! You're here?!\I invited her.\What?\The more reinforcements the better. And besides... response:	Besides?
context: THE NAPPING PLACE Beach Cafe\Hero!\THE NAPPING PLACE Beach Cafe\Shichimiya! You're here?!\I invited her.\What?\The more reinforcements the better. And besides...\Besides? response:	It's nothing.
context: Hero!\THE NAPPING PLACE Beach Cafe\Shichimiya! You're here?!\I invited her.\What?\The more reinforcements the better. And besides...\Besides?\It's nothing. response:	I'll introduce you. This is my aunt.
context: THE NAPPING PLACE Beach Cafe\Shichimiya! You're here?!\I invited her.\What?\The more reinforcements the better. And besides...\Besides?\It's nothing.\I'll introduce you. This is my aunt. response:	Pleased to meet you.
context: Shichimiya! You're here?!\I invited her.\What?\The more reinforcements the better. And besides...\Besides?\It's nothing.\I'll introduce you. This is my aunt.\Pleased to meet you. response:	Thank you for looking after Kumin.
context: I invited her.\What?\The more reinforcements the better. And besides...\Besides?\It's nothing.\I'll introduce you. This is my aunt.\Pleased to meet you.\Thank you for looking after Kumin. response:	These are all my friends.
context: What?\The more reinforcements the better. And besides...\Besides?\It's nothing.\I'll introduce you. This is my aunt.\Pleased to meet you.\Thank you for looking after Kumin.\These are all my friends. response:	This is Togashi and his little sister Kuzuha.
context: The more reinforcements the better. And besides...\Besides?\It's nothing.\I'll introduce you. This is my aunt.\Pleased to meet you.\Thank you for looking after Kumin.\These are all my friends.\This is Togashi and his little sister Kuzuha. response:	And these are Rikka and Deko.
context: Besides?\It's nothing.\I'll introduce you. This is my aunt.\Pleased to meet you.\Thank you for looking after Kumin.\These are all my friends.\This is Togashi and his little sister Kuzuha.\And these are Rikka and Deko. response:	Shichimiya and Mori Summer.
context: It's nothing.\I'll introduce you. This is my aunt.\Pleased to meet you.\Thank you for looking after Kumin.\These are all my friends.\This is Togashi and his little sister Kuzuha.\And these are Rikka and Deko.\Shichimiya and Mori Summer. response:	Mori?!
context: I'll introduce you. This is my aunt.\Pleased to meet you.\Thank you for looking after Kumin.\These are all my friends.\This is Togashi and his little sister Kuzuha.\And these are Rikka and Deko.\Shichimiya and Mori Summer.\Mori?! response:	H- Hello, I'm Nibutani.
context: Pleased to meet you.\Thank you for looking after Kumin.\These are all my friends.\This is Togashi and his little sister Kuzuha.\And these are Rikka and Deko.\Shichimiya and Mori Summer.\Mori?!\H- Hello, I'm Nibutani. response:	This brings back memories, Mori Summer!
context: Thank you for looking after Kumin.\These are all my friends.\This is Togashi and his little sister Kuzuha.\And these are Rikka and Deko.\Shichimiya and Mori Summer.\Mori?!\H- Hello, I'm Nibutani.\This brings back memories, Mori Summer! response:	We once attempted to summon a siren at a beach just like this!
context: These are all my friends.\This is Togashi and his little sister Kuzuha.\And these are Rikka and Deko.\Shichimiya and Mori Summer.\Mori?!\H- Hello, I'm Nibutani.\This brings back memories, Mori Summer!\We once attempted to summon a siren at a beach just like this! response:	You just keep quiet!
context: This is Togashi and his little sister Kuzuha.\And these are Rikka and Deko.\Shichimiya and Mori Summer.\Mori?!\H- Hello, I'm Nibutani.\This brings back memories, Mori Summer!\We once attempted to summon a siren at a beach just like this!\You just keep quiet! response:	Thank you for coming out all this way just to help out.
context: And these are Rikka and Deko.\Shichimiya and Mori Summer.\Mori?!\H- Hello, I'm Nibutani.\This brings back memories, Mori Summer!\We once attempted to summon a siren at a beach just like this!\You just keep quiet!\Thank you for coming out all this way just to help out. response:	My silly husband put his back out. He is such a scatterbrain.
context: Shichimiya and Mori Summer.\Mori?!\H- Hello, I'm Nibutani.\This brings back memories, Mori Summer!\We once attempted to summon a siren at a beach just like this!\You just keep quiet!\Thank you for coming out all this way just to help out.\My silly husband put his back out. He is such a scatterbrain. response:	No, we should thank you for letting us stay at your house.
context: Mori?!\H- Hello, I'm Nibutani.\This brings back memories, Mori Summer!\We once attempted to summon a siren at a beach just like this!\You just keep quiet!\Thank you for coming out all this way just to help out.\My silly husband put his back out. He is such a scatterbrain.\No, we should thank you for letting us stay at your house. response:	I'm actually worried whether we'll be any help to you.
context: H- Hello, I'm Nibutani.\This brings back memories, Mori Summer!\We once attempted to summon a siren at a beach just like this!\You just keep quiet!\Thank you for coming out all this way just to help out.\My silly husband put his back out. He is such a scatterbrain.\No, we should thank you for letting us stay at your house.\I'm actually worried whether we'll be any help to you. response:	Don't worry. We have all the things we need.
context: This brings back memories, Mori Summer!\We once attempted to summon a siren at a beach just like this!\You just keep quiet!\Thank you for coming out all this way just to help out.\My silly husband put his back out. He is such a scatterbrain.\No, we should thank you for letting us stay at your house.\I'm actually worried whether we'll be any help to you.\Don't worry. We have all the things we need. response:	And besides, we never made much money from this venture...
context: We once attempted to summon a siren at a beach just like this!\You just keep quiet!\Thank you for coming out all this way just to help out.\My silly husband put his back out. He is such a scatterbrain.\No, we should thank you for letting us stay at your house.\I'm actually worried whether we'll be any help to you.\Don't worry. We have all the things we need.\And besides, we never made much money from this venture... response:	I'm leaving it in your hands!
context: You just keep quiet!\Thank you for coming out all this way just to help out.\My silly husband put his back out. He is such a scatterbrain.\No, we should thank you for letting us stay at your house.\I'm actually worried whether we'll be any help to you.\Don't worry. We have all the things we need.\And besides, we never made much money from this venture...\I'm leaving it in your hands! response:	Yes, ma'am!
context: Thank you for coming out all this way just to help out.\My silly husband put his back out. He is such a scatterbrain.\No, we should thank you for letting us stay at your house.\I'm actually worried whether we'll be any help to you.\Don't worry. We have all the things we need.\And besides, we never made much money from this venture...\I'm leaving it in your hands!\Yes, ma'am! response:	She is everything I expected your aunt to be, Upperclassman Kumin.
context: My silly husband put his back out. He is such a scatterbrain.\No, we should thank you for letting us stay at your house.\I'm actually worried whether we'll be any help to you.\Don't worry. We have all the things we need.\And besides, we never made much money from this venture...\I'm leaving it in your hands!\Yes, ma'am!\She is everything I expected your aunt to be, Upperclassman Kumin. response:	Okay! Let's all get cracking!
context: No, we should thank you for letting us stay at your house.\I'm actually worried whether we'll be any help to you.\Don't worry. We have all the things we need.\And besides, we never made much money from this venture...\I'm leaving it in your hands!\Yes, ma'am!\She is everything I expected your aunt to be, Upperclassman Kumin.\Okay! Let's all get cracking! response:	Let's see. So here's the menu.
context: I'm actually worried whether we'll be any help to you.\Don't worry. We have all the things we need.\And besides, we never made much money from this venture...\I'm leaving it in your hands!\Yes, ma'am!\She is everything I expected your aunt to be, Upperclassman Kumin.\Okay! Let's all get cracking!\Let's see. So here's the menu. response:	Shaved ice, juice...
context: Don't worry. We have all the things we need.\And besides, we never made much money from this venture...\I'm leaving it in your hands!\Yes, ma'am!\She is everything I expected your aunt to be, Upperclassman Kumin.\Okay! Let's all get cracking!\Let's see. So here's the menu.\Shaved ice, juice... response:	Okay, I think I'll...
context: And besides, we never made much money from this venture...\I'm leaving it in your hands!\Yes, ma'am!\She is everything I expected your aunt to be, Upperclassman Kumin.\Okay! Let's all get cracking!\Let's see. So here's the menu.\Shaved ice, juice...\Okay, I think I'll... response:	Big brother, you go over there and do the prep work. I'll help!
context: I'm leaving it in your hands!\Yes, ma'am!\She is everything I expected your aunt to be, Upperclassman Kumin.\Okay! Let's all get cracking!\Let's see. So here's the menu.\Shaved ice, juice...\Okay, I think I'll...\Big brother, you go over there and do the prep work. I'll help! response:	Yes, ma'am.
context: Yes, ma'am!\She is everything I expected your aunt to be, Upperclassman Kumin.\Okay! Let's all get cracking!\Let's see. So here's the menu.\Shaved ice, juice...\Okay, I think I'll...\Big brother, you go over there and do the prep work. I'll help!\Yes, ma'am. response:	Okay, then Shichimiya, Takanashi, and the freshman will...
context: She is everything I expected your aunt to be, Upperclassman Kumin.\Okay! Let's all get cracking!\Let's see. So here's the menu.\Shaved ice, juice...\Okay, I think I'll...\Big brother, you go over there and do the prep work. I'll help!\Yes, ma'am.\Okay, then Shichimiya, Takanashi, and the freshman will... response:	Do not order me around!
context: Okay! Let's all get cracking!\Let's see. So here's the menu.\Shaved ice, juice...\Okay, I think I'll...\Big brother, you go over there and do the prep work. I'll help!\Yes, ma'am.\Okay, then Shichimiya, Takanashi, and the freshman will...\Do not order me around! response:	Leave it to me! Today, the devil is confined!
context: Let's see. So here's the menu.\Shaved ice, juice...\Okay, I think I'll...\Big brother, you go over there and do the prep work. I'll help!\Yes, ma'am.\Okay, then Shichimiya, Takanashi, and the freshman will...\Do not order me around!\Leave it to me! Today, the devil is confined! response:	I am a magical girl working for the happiness of others!
context: Shaved ice, juice...\Okay, I think I'll...\Big brother, you go over there and do the prep work. I'll help!\Yes, ma'am.\Okay, then Shichimiya, Takanashi, and the freshman will...\Do not order me around!\Leave it to me! Today, the devil is confined!\I am a magical girl working for the happiness of others! response:	It's... It's Kyle.
context: Okay, I think I'll...\Big brother, you go over there and do the prep work. I'll help!\Yes, ma'am.\Okay, then Shichimiya, Takanashi, and the freshman will...\Do not order me around!\Leave it to me! Today, the devil is confined!\I am a magical girl working for the happiness of others!\It's... It's Kyle. response:	Later!
context: Big brother, you go over there and do the prep work. I'll help!\Yes, ma'am.\Okay, then Shichimiya, Takanashi, and the freshman will...\Do not order me around!\Leave it to me! Today, the devil is confined!\I am a magical girl working for the happiness of others!\It's... It's Kyle.\Later! response:	Get your cold juice and shaved ice!
context: Yes, ma'am.\Okay, then Shichimiya, Takanashi, and the freshman will...\Do not order me around!\Leave it to me! Today, the devil is confined!\I am a magical girl working for the happiness of others!\It's... It's Kyle.\Later!\Get your cold juice and shaved ice! response:	Get our special yakisoba...
context: Okay, then Shichimiya, Takanashi, and the freshman will...\Do not order me around!\Leave it to me! Today, the devil is confined!\I am a magical girl working for the happiness of others!\It's... It's Kyle.\Later!\Get your cold juice and shaved ice!\Get our special yakisoba... response:	Mommy, I want to have that!
context: Do not order me around!\Leave it to me! Today, the devil is confined!\I am a magical girl working for the happiness of others!\It's... It's Kyle.\Later!\Get your cold juice and shaved ice!\Get our special yakisoba...\Mommy, I want to have that! response:	Behave yourself.
context: Leave it to me! Today, the devil is confined!\I am a magical girl working for the happiness of others!\It's... It's Kyle.\Later!\Get your cold juice and shaved ice!\Get our special yakisoba...\Mommy, I want to have that!\Behave yourself. response:	They're all very good.
context: I am a magical girl working for the happiness of others!\It's... It's Kyle.\Later!\Get your cold juice and shaved ice!\Get our special yakisoba...\Mommy, I want to have that!\Behave yourself.\They're all very good. response:	What do you say?
context: It's... It's Kyle.\Later!\Get your cold juice and shaved ice!\Get our special yakisoba...\Mommy, I want to have that!\Behave yourself.\They're all very good.\What do you say? response:	We'll give you a freebie with your order.
context: Later!\Get your cold juice and shaved ice!\Get our special yakisoba...\Mommy, I want to have that!\Behave yourself.\They're all very good.\What do you say?\We'll give you a freebie with your order. response:	Really?
context: Get your cold juice and shaved ice!\Get our special yakisoba...\Mommy, I want to have that!\Behave yourself.\They're all very good.\What do you say?\We'll give you a freebie with your order.\Really? response:	How could we not, Lady? You're too sweet to resist!
context: Get our special yakisoba...\Mommy, I want to have that!\Behave yourself.\They're all very good.\What do you say?\We'll give you a freebie with your order.\Really?\How could we not, Lady? You're too sweet to resist! response:	Oh, please!
context: Mommy, I want to have that!\Behave yourself.\They're all very good.\What do you say?\We'll give you a freebie with your order.\Really?\How could we not, Lady? You're too sweet to resist!\Oh, please! response:	She's always been skillful at negotiating like that.
context: Behave yourself.\They're all very good.\What do you say?\We'll give you a freebie with your order.\Really?\How could we not, Lady? You're too sweet to resist!\Oh, please!\She's always been skillful at negotiating like that. response:	It's the truth.
context: They're all very good.\What do you say?\We'll give you a freebie with your order.\Really?\How could we not, Lady? You're too sweet to resist!\Oh, please!\She's always been skillful at negotiating like that.\It's the truth. response:	Hmm, maybe I will have one.
context: What do you say?\We'll give you a freebie with your order.\Really?\How could we not, Lady? You're too sweet to resist!\Oh, please!\She's always been skillful at negotiating like that.\It's the truth.\Hmm, maybe I will have one. response:	This is a lifesaver!
context: We'll give you a freebie with your order.\Really?\How could we not, Lady? You're too sweet to resist!\Oh, please!\She's always been skillful at negotiating like that.\It's the truth.\Hmm, maybe I will have one.\This is a lifesaver! response:	What? Really? That's great! Thank you so much!
context: Really?\How could we not, Lady? You're too sweet to resist!\Oh, please!\She's always been skillful at negotiating like that.\It's the truth.\Hmm, maybe I will have one.\This is a lifesaver!\What? Really? That's great! Thank you so much! response:	Deko and the others are also working hard.
context: How could we not, Lady? You're too sweet to resist!\Oh, please!\She's always been skillful at negotiating like that.\It's the truth.\Hmm, maybe I will have one.\This is a lifesaver!\What? Really? That's great! Thank you so much!\Deko and the others are also working hard. response:	COLA
context: Oh, please!\She's always been skillful at negotiating like that.\It's the truth.\Hmm, maybe I will have one.\This is a lifesaver!\What? Really? That's great! Thank you so much!\Deko and the others are also working hard.\COLA response:	Your order is served! Dark gunpowder discharge juice!
context: She's always been skillful at negotiating like that.\It's the truth.\Hmm, maybe I will have one.\This is a lifesaver!\What? Really? That's great! Thank you so much!\Deko and the others are also working hard.\COLA\Your order is served! Dark gunpowder discharge juice! response:	COLA
context: It's the truth.\Hmm, maybe I will have one.\This is a lifesaver!\What? Really? That's great! Thank you so much!\Deko and the others are also working hard.\COLA\Your order is served! Dark gunpowder discharge juice!\COLA response:	Your order is served! Dark fried netherworld crustacean!
context: Hmm, maybe I will have one.\This is a lifesaver!\What? Really? That's great! Thank you so much!\Deko and the others are also working hard.\COLA\Your order is served! Dark gunpowder discharge juice!\COLA\Your order is served! Dark fried netherworld crustacean! response:	Don't change the names of the merchandise.
context: This is a lifesaver!\What? Really? That's great! Thank you so much!\Deko and the others are also working hard.\COLA\Your order is served! Dark gunpowder discharge juice!\COLA\Your order is served! Dark fried netherworld crustacean!\Don't change the names of the merchandise. response:	It will be ready shortly.
context: What? Really? That's great! Thank you so much!\Deko and the others are also working hard.\COLA\Your order is served! Dark gunpowder discharge juice!\COLA\Your order is served! Dark fried netherworld crustacean!\Don't change the names of the merchandise.\It will be ready shortly. response:	That's amazing.
context: Deko and the others are also working hard.\COLA\Your order is served! Dark gunpowder discharge juice!\COLA\Your order is served! Dark fried netherworld crustacean!\Don't change the names of the merchandise.\It will be ready shortly.\That's amazing. response:	Everyone said that her yakisoba was good when they had it at our house...
context: COLA\Your order is served! Dark gunpowder discharge juice!\COLA\Your order is served! Dark fried netherworld crustacean!\Don't change the names of the merchandise.\It will be ready shortly.\That's amazing.\Everyone said that her yakisoba was good when they had it at our house... response:	I'm going to help out a little.
context: Your order is served! Dark gunpowder discharge juice!\COLA\Your order is served! Dark fried netherworld crustacean!\Don't change the names of the merchandise.\It will be ready shortly.\That's amazing.\Everyone said that her yakisoba was good when they had it at our house...\I'm going to help out a little. response:	Oh, thanks.
context: COLA\Your order is served! Dark fried netherworld crustacean!\Don't change the names of the merchandise.\It will be ready shortly.\That's amazing.\Everyone said that her yakisoba was good when they had it at our house...\I'm going to help out a little.\Oh, thanks. response:	So, what exactly are you doing?
context: Your order is served! Dark fried netherworld crustacean!\Don't change the names of the merchandise.\It will be ready shortly.\That's amazing.\Everyone said that her yakisoba was good when they had it at our house...\I'm going to help out a little.\Oh, thanks.\So, what exactly are you doing? response:	Done.
context: Don't change the names of the merchandise.\It will be ready shortly.\That's amazing.\Everyone said that her yakisoba was good when they had it at our house...\I'm going to help out a little.\Oh, thanks.\So, what exactly are you doing?\Done. response:	Dark Niflheimr Mountain.
context: It will be ready shortly.\That's amazing.\Everyone said that her yakisoba was good when they had it at our house...\I'm going to help out a little.\Oh, thanks.\So, what exactly are you doing?\Done.\Dark Niflheimr Mountain. response:	What are you putting on that?
context: That's amazing.\Everyone said that her yakisoba was good when they had it at our house...\I'm going to help out a little.\Oh, thanks.\So, what exactly are you doing?\Done.\Dark Niflheimr Mountain.\What are you putting on that? response:	Dark breath of Kraken.
context: Everyone said that her yakisoba was good when they had it at our house...\I'm going to help out a little.\Oh, thanks.\So, what exactly are you doing?\Done.\Dark Niflheimr Mountain.\What are you putting on that?\Dark breath of Kraken. response:	Squid ink?
context: I'm going to help out a little.\Oh, thanks.\So, what exactly are you doing?\Done.\Dark Niflheimr Mountain.\What are you putting on that?\Dark breath of Kraken.\Squid ink? response:	Some call it that.
context: Oh, thanks.\So, what exactly are you doing?\Done.\Dark Niflheimr Mountain.\What are you putting on that?\Dark breath of Kraken.\Squid ink?\Some call it that. response:	Don't give me that!
context: So, what exactly are you doing?\Done.\Dark Niflheimr Mountain.\What are you putting on that?\Dark breath of Kraken.\Squid ink?\Some call it that.\Don't give me that! response:	Stop playing with food and work like the rest of us!
context: Done.\Dark Niflheimr Mountain.\What are you putting on that?\Dark breath of Kraken.\Squid ink?\Some call it that.\Don't give me that!\Stop playing with food and work like the rest of us! response:	Excuse me, can I have a cappuccino?
context: Dark Niflheimr Mountain.\What are you putting on that?\Dark breath of Kraken.\Squid ink?\Some call it that.\Don't give me that!\Stop playing with food and work like the rest of us!\Excuse me, can I have a cappuccino? response:	Mom, I want the fried squid!
context: What are you putting on that?\Dark breath of Kraken.\Squid ink?\Some call it that.\Don't give me that!\Stop playing with food and work like the rest of us!\Excuse me, can I have a cappuccino?\Mom, I want the fried squid! response:	Squid again?
context: Dark breath of Kraken.\Squid ink?\Some call it that.\Don't give me that!\Stop playing with food and work like the rest of us!\Excuse me, can I have a cappuccino?\Mom, I want the fried squid!\Squid again? response:	Why don't you give octopus a try once in a while?
context: Squid ink?\Some call it that.\Don't give me that!\Stop playing with food and work like the rest of us!\Excuse me, can I have a cappuccino?\Mom, I want the fried squid!\Squid again?\Why don't you give octopus a try once in a while? response:	But I like squid!
context: Some call it that.\Don't give me that!\Stop playing with food and work like the rest of us!\Excuse me, can I have a cappuccino?\Mom, I want the fried squid!\Squid again?\Why don't you give octopus a try once in a while?\But I like squid! response:	You are Toka, aren't you?
context: Don't give me that!\Stop playing with food and work like the rest of us!\Excuse me, can I have a cappuccino?\Mom, I want the fried squid!\Squid again?\Why don't you give octopus a try once in a while?\But I like squid!\You are Toka, aren't you? response:	Toka Takanashi!
context: Stop playing with food and work like the rest of us!\Excuse me, can I have a cappuccino?\Mom, I want the fried squid!\Squid again?\Why don't you give octopus a try once in a while?\But I like squid!\You are Toka, aren't you?\Toka Takanashi! response:	Ow.
context: Excuse me, can I have a cappuccino?\Mom, I want the fried squid!\Squid again?\Why don't you give octopus a try once in a while?\But I like squid!\You are Toka, aren't you?\Toka Takanashi!\Ow. response:	Do not shout out people's names like that.
context: Mom, I want the fried squid!\Squid again?\Why don't you give octopus a try once in a while?\But I like squid!\You are Toka, aren't you?\Toka Takanashi!\Ow.\Do not shout out people's names like that. response:	So it is you.
context: Squid again?\Why don't you give octopus a try once in a while?\But I like squid!\You are Toka, aren't you?\Toka Takanashi!\Ow.\Do not shout out people's names like that.\So it is you. response:	You qualify. Want to come to Italy?
context: Why don't you give octopus a try once in a while?\But I like squid!\You are Toka, aren't you?\Toka Takanashi!\Ow.\Do not shout out people's names like that.\So it is you.\You qualify. Want to come to Italy? response:	What?!
context: But I like squid!\You are Toka, aren't you?\Toka Takanashi!\Ow.\Do not shout out people's names like that.\So it is you.\You qualify. Want to come to Italy?\What?! response:	Please do not determine the future of my little sister.
context: You are Toka, aren't you?\Toka Takanashi!\Ow.\Do not shout out people's names like that.\So it is you.\You qualify. Want to come to Italy?\What?!\Please do not determine the future of my little sister. response:	When did you arrive back in Japan?
context: Toka Takanashi!\Ow.\Do not shout out people's names like that.\So it is you.\You qualify. Want to come to Italy?\What?!\Please do not determine the future of my little sister.\When did you arrive back in Japan? response:	You could have called.
context: Ow.\Do not shout out people's names like that.\So it is you.\You qualify. Want to come to Italy?\What?!\Please do not determine the future of my little sister.\When did you arrive back in Japan?\You could have called. response:	It seemed like too much bother.
context: Do not shout out people's names like that.\So it is you.\You qualify. Want to come to Italy?\What?!\Please do not determine the future of my little sister.\When did you arrive back in Japan?\You could have called.\It seemed like too much bother. response:	Is that the famous priestess?
context: So it is you.\You qualify. Want to come to Italy?\What?!\Please do not determine the future of my little sister.\When did you arrive back in Japan?\You could have called.\It seemed like too much bother.\Is that the famous priestess? response:	No, she may be an imposter.
context: You qualify. Want to come to Italy?\What?!\Please do not determine the future of my little sister.\When did you arrive back in Japan?\You could have called.\It seemed like too much bother.\Is that the famous priestess?\No, she may be an imposter. response:	We cannot rule out the possibility she is a detached separate entity!
context: What?!\Please do not determine the future of my little sister.\When did you arrive back in Japan?\You could have called.\It seemed like too much bother.\Is that the famous priestess?\No, she may be an imposter.\We cannot rule out the possibility she is a detached separate entity! response:	You're wide open!
context: Please do not determine the future of my little sister.\When did you arrive back in Japan?\You could have called.\It seemed like too much bother.\Is that the famous priestess?\No, she may be an imposter.\We cannot rule out the possibility she is a detached separate entity!\You're wide open! response:	Master, are you all right?!
context: When did you arrive back in Japan?\You could have called.\It seemed like too much bother.\Is that the famous priestess?\No, she may be an imposter.\We cannot rule out the possibility she is a detached separate entity!\You're wide open!\Master, are you all right?! response:	Toka!
context: You could have called.\It seemed like too much bother.\Is that the famous priestess?\No, she may be an imposter.\We cannot rule out the possibility she is a detached separate entity!\You're wide open!\Master, are you all right?!\Toka! response:	Cute!
context: It seemed like too much bother.\Is that the famous priestess?\No, she may be an imposter.\We cannot rule out the possibility she is a detached separate entity!\You're wide open!\Master, are you all right?!\Toka!\Cute! response:	Um, who is that girl?
