context: Mizuhara Chizuru is just a rental girlfriend. response:	A fake one who won't last,
context: Mizuhara!\He jumped in to save me?\This keeps getting worse!\Not only can I not take care of myself, I even put my client in danger!\Hey, are you okay?\Huh?\Hey, wake up!\You're kidding, right?! Come on! response:	Quit playing around! Wake up, come on!
context: He jumped in to save me?\This keeps getting worse!\Not only can I not take care of myself, I even put my client in danger!\Hey, are you okay?\Huh?\Hey, wake up!\You're kidding, right?! Come on!\Quit playing around! Wake up, come on! response:	S-Someone help!
context: This keeps getting worse!\Not only can I not take care of myself, I even put my client in danger!\Hey, are you okay?\Huh?\Hey, wake up!\You're kidding, right?! Come on!\Quit playing around! Wake up, come on!\S-Someone help! response:	What was it... Pump the chest thirty times?
context: Not only can I not take care of myself, I even put my client in danger!\Hey, are you okay?\Huh?\Hey, wake up!\You're kidding, right?! Come on!\Quit playing around! Wake up, come on!\S-Someone help!\What was it... Pump the chest thirty times? response:	What are you playing at?!
context: Hey, are you okay?\Huh?\Hey, wake up!\You're kidding, right?! Come on!\Quit playing around! Wake up, come on!\S-Someone help!\What was it... Pump the chest thirty times?\What are you playing at?! response:	I told you, how you deal with me is up to you!
context: Huh?\Hey, wake up!\You're kidding, right?! Come on!\Quit playing around! Wake up, come on!\S-Someone help!\What was it... Pump the chest thirty times?\What are you playing at?!\I told you, how you deal with me is up to you! response:	Why put yourself at risk like this when I'm not even your real girlfriend?
context: Hey, wake up!\You're kidding, right?! Come on!\Quit playing around! Wake up, come on!\S-Someone help!\What was it... Pump the chest thirty times?\What are you playing at?!\I told you, how you deal with me is up to you!\Why put yourself at risk like this when I'm not even your real girlfriend? response:	How stupid are you?!
context: You're kidding, right?! Come on!\Quit playing around! Wake up, come on!\S-Someone help!\What was it... Pump the chest thirty times?\What are you playing at?!\I told you, how you deal with me is up to you!\Why put yourself at risk like this when I'm not even your real girlfriend?\How stupid are you?! response:	I keep telling you, I'm just a rental girlfriend!
context: Quit playing around! Wake up, come on!\S-Someone help!\What was it... Pump the chest thirty times?\What are you playing at?!\I told you, how you deal with me is up to you!\Why put yourself at risk like this when I'm not even your real girlfriend?\How stupid are you?!\I keep telling you, I'm just a rental girlfriend! response:	He's not a bad guy, honestly.
context: S-Someone help!\What was it... Pump the chest thirty times?\What are you playing at?!\I told you, how you deal with me is up to you!\Why put yourself at risk like this when I'm not even your real girlfriend?\How stupid are you?!\I keep telling you, I'm just a rental girlfriend!\He's not a bad guy, honestly. response:	How could I ever be angry with the lady who did fall for you?
context: What was it... Pump the chest thirty times?\What are you playing at?!\I told you, how you deal with me is up to you!\Why put yourself at risk like this when I'm not even your real girlfriend?\How stupid are you?!\I keep telling you, I'm just a rental girlfriend!\He's not a bad guy, honestly.\How could I ever be angry with the lady who did fall for you? response:	Two people, seemingly a college couple, fell off the ferry!
context: What are you playing at?!\I told you, how you deal with me is up to you!\Why put yourself at risk like this when I'm not even your real girlfriend?\How stupid are you?!\I keep telling you, I'm just a rental girlfriend!\He's not a bad guy, honestly.\How could I ever be angry with the lady who did fall for you?\Two people, seemingly a college couple, fell off the ferry! response:	Ferry Pier
context: I told you, how you deal with me is up to you!\Why put yourself at risk like this when I'm not even your real girlfriend?\How stupid are you?!\I keep telling you, I'm just a rental girlfriend!\He's not a bad guy, honestly.\How could I ever be angry with the lady who did fall for you?\Two people, seemingly a college couple, fell off the ferry!\Ferry Pier response:	The male was wearing an orange T-shirt!
context: Why put yourself at risk like this when I'm not even your real girlfriend?\How stupid are you?!\I keep telling you, I'm just a rental girlfriend!\He's not a bad guy, honestly.\How could I ever be angry with the lady who did fall for you?\Two people, seemingly a college couple, fell off the ferry!\Ferry Pier\The male was wearing an orange T-shirt! response:	Mami!
context: How stupid are you?!\I keep telling you, I'm just a rental girlfriend!\He's not a bad guy, honestly.\How could I ever be angry with the lady who did fall for you?\Two people, seemingly a college couple, fell off the ferry!\Ferry Pier\The male was wearing an orange T-shirt!\Mami! response:	It's Kazuya!
context: I keep telling you, I'm just a rental girlfriend!\He's not a bad guy, honestly.\How could I ever be angry with the lady who did fall for you?\Two people, seemingly a college couple, fell off the ferry!\Ferry Pier\The male was wearing an orange T-shirt!\Mami!\It's Kazuya! response:	Crap... I'm fading.
context: He's not a bad guy, honestly.\How could I ever be angry with the lady who did fall for you?\Two people, seemingly a college couple, fell off the ferry!\Ferry Pier\The male was wearing an orange T-shirt!\Mami!\It's Kazuya!\Crap... I'm fading. response:	Did I die?
context: How could I ever be angry with the lady who did fall for you?\Two people, seemingly a college couple, fell off the ferry!\Ferry Pier\The male was wearing an orange T-shirt!\Mami!\It's Kazuya!\Crap... I'm fading.\Did I die? response:	I thought I could do it.
context: Two people, seemingly a college couple, fell off the ferry!\Ferry Pier\The male was wearing an orange T-shirt!\Mami!\It's Kazuya!\Crap... I'm fading.\Did I die?\I thought I could do it. response:	I guess real life isn't as easy as movies or manga.
context: Ferry Pier\The male was wearing an orange T-shirt!\Mami!\It's Kazuya!\Crap... I'm fading.\Did I die?\I thought I could do it.\I guess real life isn't as easy as movies or manga. response:	Sorry, Gran.
context: The male was wearing an orange T-shirt!\Mami!\It's Kazuya!\Crap... I'm fading.\Did I die?\I thought I could do it.\I guess real life isn't as easy as movies or manga.\Sorry, Gran. response:	I never got to introduce you to a nice girl.
context: Mami!\It's Kazuya!\Crap... I'm fading.\Did I die?\I thought I could do it.\I guess real life isn't as easy as movies or manga.\Sorry, Gran.\I never got to introduce you to a nice girl. response:	Sorry, Mizuhara. I couldn't even clean up my own mess.
context: It's Kazuya!\Crap... I'm fading.\Did I die?\I thought I could do it.\I guess real life isn't as easy as movies or manga.\Sorry, Gran.\I never got to introduce you to a nice girl.\Sorry, Mizuhara. I couldn't even clean up my own mess. response:	Man, seriously...
context: Crap... I'm fading.\Did I die?\I thought I could do it.\I guess real life isn't as easy as movies or manga.\Sorry, Gran.\I never got to introduce you to a nice girl.\Sorry, Mizuhara. I couldn't even clean up my own mess.\Man, seriously... response:	Talk about pathetic.
context: Did I die?\I thought I could do it.\I guess real life isn't as easy as movies or manga.\Sorry, Gran.\I never got to introduce you to a nice girl.\Sorry, Mizuhara. I couldn't even clean up my own mess.\Man, seriously...\Talk about pathetic. response:	Mizuhara? Did you just...
context: I thought I could do it.\I guess real life isn't as easy as movies or manga.\Sorry, Gran.\I never got to introduce you to a nice girl.\Sorry, Mizuhara. I couldn't even clean up my own mess.\Man, seriously...\Talk about pathetic.\Mizuhara? Did you just... response:	Sorry!
context: I guess real life isn't as easy as movies or manga.\Sorry, Gran.\I never got to introduce you to a nice girl.\Sorry, Mizuhara. I couldn't even clean up my own mess.\Man, seriously...\Talk about pathetic.\Mizuhara? Did you just...\Sorry! response:	I'm sorry you had to jump in to save me.
context: Sorry, Gran.\I never got to introduce you to a nice girl.\Sorry, Mizuhara. I couldn't even clean up my own mess.\Man, seriously...\Talk about pathetic.\Mizuhara? Did you just...\Sorry!\I'm sorry you had to jump in to save me. response:	Uh, n-no...
context: I never got to introduce you to a nice girl.\Sorry, Mizuhara. I couldn't even clean up my own mess.\Man, seriously...\Talk about pathetic.\Mizuhara? Did you just...\Sorry!\I'm sorry you had to jump in to save me.\Uh, n-no... response:	Likewise.
context: Sorry, Mizuhara. I couldn't even clean up my own mess.\Man, seriously...\Talk about pathetic.\Mizuhara? Did you just...\Sorry!\I'm sorry you had to jump in to save me.\Uh, n-no...\Likewise. response:	Found'em! Over here!
context: Man, seriously...\Talk about pathetic.\Mizuhara? Did you just...\Sorry!\I'm sorry you had to jump in to save me.\Uh, n-no...\Likewise.\Found'em! Over here! response:	We've got them both. They're conscious.
context: Talk about pathetic.\Mizuhara? Did you just...\Sorry!\I'm sorry you had to jump in to save me.\Uh, n-no...\Likewise.\Found'em! Over here!\We've got them both. They're conscious. response:	After that,
context: Mizuhara? Did you just...\Sorry!\I'm sorry you had to jump in to save me.\Uh, n-no...\Likewise.\Found'em! Over here!\We've got them both. They're conscious.\After that, response:	Nag
context: Sorry!\I'm sorry you had to jump in to save me.\Uh, n-no...\Likewise.\Found'em! Over here!\We've got them both. They're conscious.\After that,\Nag response:	Nag
context: I'm sorry you had to jump in to save me.\Uh, n-no...\Likewise.\Found'em! Over here!\We've got them both. They're conscious.\After that,\Nag\Nag response:	Nag
context: Uh, n-no...\Likewise.\Found'em! Over here!\We've got them both. They're conscious.\After that,\Nag\Nag\Nag response:	the Coast Guard guys gave us a royal chewing-out.
context: Likewise.\Found'em! Over here!\We've got them both. They're conscious.\After that,\Nag\Nag\Nag\the Coast Guard guys gave us a royal chewing-out. response:	Then our friends snapped at us.
context: Found'em! Over here!\We've got them both. They're conscious.\After that,\Nag\Nag\Nag\the Coast Guard guys gave us a royal chewing-out.\Then our friends snapped at us. response:	Ultimately, I skipped out on meeting Mami-chan
context: We've got them both. They're conscious.\After that,\Nag\Nag\Nag\the Coast Guard guys gave us a royal chewing-out.\Then our friends snapped at us.\Ultimately, I skipped out on meeting Mami-chan response:	and had to spend the night in a nearby hospital.
context: After that,\Nag\Nag\Nag\the Coast Guard guys gave us a royal chewing-out.\Then our friends snapped at us.\Ultimately, I skipped out on meeting Mami-chan\and had to spend the night in a nearby hospital. response:	M-Mizuhara!
context: Nag\Nag\Nag\the Coast Guard guys gave us a royal chewing-out.\Then our friends snapped at us.\Ultimately, I skipped out on meeting Mami-chan\and had to spend the night in a nearby hospital.\M-Mizuhara! response:	Hey, uh... Thanks!
context: Nag\Nag\the Coast Guard guys gave us a royal chewing-out.\Then our friends snapped at us.\Ultimately, I skipped out on meeting Mami-chan\and had to spend the night in a nearby hospital.\M-Mizuhara!\Hey, uh... Thanks! response:	For, you know... doing all that to save me.
context: Nag\the Coast Guard guys gave us a royal chewing-out.\Then our friends snapped at us.\Ultimately, I skipped out on meeting Mami-chan\and had to spend the night in a nearby hospital.\M-Mizuhara!\Hey, uh... Thanks!\For, you know... doing all that to save me. response:	Why wouldn't I? I'm your girlfriend.
context: the Coast Guard guys gave us a royal chewing-out.\Then our friends snapped at us.\Ultimately, I skipped out on meeting Mami-chan\and had to spend the night in a nearby hospital.\M-Mizuhara!\Hey, uh... Thanks!\For, you know... doing all that to save me.\Why wouldn't I? I'm your girlfriend. response:	Girlfriend Mode...
context: Then our friends snapped at us.\Ultimately, I skipped out on meeting Mami-chan\and had to spend the night in a nearby hospital.\M-Mizuhara!\Hey, uh... Thanks!\For, you know... doing all that to save me.\Why wouldn't I? I'm your girlfriend.\Girlfriend Mode... response:	What's going on here?
context: Ultimately, I skipped out on meeting Mami-chan\and had to spend the night in a nearby hospital.\M-Mizuhara!\Hey, uh... Thanks!\For, you know... doing all that to save me.\Why wouldn't I? I'm your girlfriend.\Girlfriend Mode...\What's going on here? response:	You call off the breakup? She just said girlfriend, present tense.
context: and had to spend the night in a nearby hospital.\M-Mizuhara!\Hey, uh... Thanks!\For, you know... doing all that to save me.\Why wouldn't I? I'm your girlfriend.\Girlfriend Mode...\What's going on here?\You call off the breakup? She just said girlfriend, present tense. response:	Nah, it's not that.
context: M-Mizuhara!\Hey, uh... Thanks!\For, you know... doing all that to save me.\Why wouldn't I? I'm your girlfriend.\Girlfriend Mode...\What's going on here?\You call off the breakup? She just said girlfriend, present tense.\Nah, it's not that. response:	Mizuhara's a rental girlfriend, and real mature.
context: Hey, uh... Thanks!\For, you know... doing all that to save me.\Why wouldn't I? I'm your girlfriend.\Girlfriend Mode...\What's going on here?\You call off the breakup? She just said girlfriend, present tense.\Nah, it's not that.\Mizuhara's a rental girlfriend, and real mature. response:	She wouldn't think anything of a mere kiss.
context: For, you know... doing all that to save me.\Why wouldn't I? I'm your girlfriend.\Girlfriend Mode...\What's going on here?\You call off the breakup? She just said girlfriend, present tense.\Nah, it's not that.\Mizuhara's a rental girlfriend, and real mature.\She wouldn't think anything of a mere kiss. response:	Nervous? Try to relax.
context: Why wouldn't I? I'm your girlfriend.\Girlfriend Mode...\What's going on here?\You call off the breakup? She just said girlfriend, present tense.\Nah, it's not that.\Mizuhara's a rental girlfriend, and real mature.\She wouldn't think anything of a mere kiss.\Nervous? Try to relax. response:	I'm fine... I'm perfectly fine.
context: Girlfriend Mode...\What's going on here?\You call off the breakup? She just said girlfriend, present tense.\Nah, it's not that.\Mizuhara's a rental girlfriend, and real mature.\She wouldn't think anything of a mere kiss.\Nervous? Try to relax.\I'm fine... I'm perfectly fine. response:	Mizuhara!
context: What's going on here?\You call off the breakup? She just said girlfriend, present tense.\Nah, it's not that.\Mizuhara's a rental girlfriend, and real mature.\She wouldn't think anything of a mere kiss.\Nervous? Try to relax.\I'm fine... I'm perfectly fine.\Mizuhara! response:	Hey, there's the big hero.
context: You call off the breakup? She just said girlfriend, present tense.\Nah, it's not that.\Mizuhara's a rental girlfriend, and real mature.\She wouldn't think anything of a mere kiss.\Nervous? Try to relax.\I'm fine... I'm perfectly fine.\Mizuhara!\Hey, there's the big hero. response:	Oh, yeah! Give me an autograph!
context: Nah, it's not that.\Mizuhara's a rental girlfriend, and real mature.\She wouldn't think anything of a mere kiss.\Nervous? Try to relax.\I'm fine... I'm perfectly fine.\Mizuhara!\Hey, there's the big hero.\Oh, yeah! Give me an autograph! response:	Disposable Chopsticks
context: Mizuhara's a rental girlfriend, and real mature.\She wouldn't think anything of a mere kiss.\Nervous? Try to relax.\I'm fine... I'm perfectly fine.\Mizuhara!\Hey, there's the big hero.\Oh, yeah! Give me an autograph!\Disposable Chopsticks response:	Hilarious!
context: She wouldn't think anything of a mere kiss.\Nervous? Try to relax.\I'm fine... I'm perfectly fine.\Mizuhara!\Hey, there's the big hero.\Oh, yeah! Give me an autograph!\Disposable Chopsticks\Hilarious! response:	Aren't you guys even a little worried about me?
context: Nervous? Try to relax.\I'm fine... I'm perfectly fine.\Mizuhara!\Hey, there's the big hero.\Oh, yeah! Give me an autograph!\Disposable Chopsticks\Hilarious!\Aren't you guys even a little worried about me? response:	Wait, where's Chizuru-san?
context: I'm fine... I'm perfectly fine.\Mizuhara!\Hey, there's the big hero.\Oh, yeah! Give me an autograph!\Disposable Chopsticks\Hilarious!\Aren't you guys even a little worried about me?\Wait, where's Chizuru-san? response:	Huh? Oh, she said she was going back home.
context: Mizuhara!\Hey, there's the big hero.\Oh, yeah! Give me an autograph!\Disposable Chopsticks\Hilarious!\Aren't you guys even a little worried about me?\Wait, where's Chizuru-san?\Huh? Oh, she said she was going back home. response:	That's too bad.
context: Hey, there's the big hero.\Oh, yeah! Give me an autograph!\Disposable Chopsticks\Hilarious!\Aren't you guys even a little worried about me?\Wait, where's Chizuru-san?\Huh? Oh, she said she was going back home.\That's too bad. response:	Thanks for coming to pick me up.
context: Oh, yeah! Give me an autograph!\Disposable Chopsticks\Hilarious!\Aren't you guys even a little worried about me?\Wait, where's Chizuru-san?\Huh? Oh, she said she was going back home.\That's too bad.\Thanks for coming to pick me up. response:	M-Mami-chan, about yesterday...
context: Disposable Chopsticks\Hilarious!\Aren't you guys even a little worried about me?\Wait, where's Chizuru-san?\Huh? Oh, she said she was going back home.\That's too bad.\Thanks for coming to pick me up.\M-Mami-chan, about yesterday... response:	Shock
context: Hilarious!\Aren't you guys even a little worried about me?\Wait, where's Chizuru-san?\Huh? Oh, she said she was going back home.\That's too bad.\Thanks for coming to pick me up.\M-Mami-chan, about yesterday...\Shock response:	Shock
context: Aren't you guys even a little worried about me?\Wait, where's Chizuru-san?\Huh? Oh, she said she was going back home.\That's too bad.\Thanks for coming to pick me up.\M-Mami-chan, about yesterday...\Shock\Shock response:	Shock
context: Wait, where's Chizuru-san?\Huh? Oh, she said she was going back home.\That's too bad.\Thanks for coming to pick me up.\M-Mami-chan, about yesterday...\Shock\Shock\Shock response:	Shock
context: Huh? Oh, she said she was going back home.\That's too bad.\Thanks for coming to pick me up.\M-Mami-chan, about yesterday...\Shock\Shock\Shock\Shock response:	Shock
context: That's too bad.\Thanks for coming to pick me up.\M-Mami-chan, about yesterday...\Shock\Shock\Shock\Shock\Shock response:	Of course she hates me now.
context: Thanks for coming to pick me up.\M-Mami-chan, about yesterday...\Shock\Shock\Shock\Shock\Shock\Of course she hates me now. response:	Shock
context: M-Mami-chan, about yesterday...\Shock\Shock\Shock\Shock\Shock\Of course she hates me now.\Shock response:	Shock
context: Shock\Shock\Shock\Shock\Shock\Of course she hates me now.\Shock\Shock response:	Shock
context: Shock\Shock\Shock\Shock\Of course she hates me now.\Shock\Shock\Shock response:	Shock
context: Shock\Shock\Shock\Of course she hates me now.\Shock\Shock\Shock\Shock response:	Shock
context: Shock\Shock\Of course she hates me now.\Shock\Shock\Shock\Shock\Shock response:	Shock
context: Shock\Of course she hates me now.\Shock\Shock\Shock\Shock\Shock\Shock response:	No Girlfriend Ever...
context: Of course she hates me now.\Shock\Shock\Shock\Shock\Shock\Shock\No Girlfriend Ever... response:	Sorry, Gran! It's back to the drawing board!
context: Shock\Shock\Shock\Shock\Shock\Shock\No Girlfriend Ever...\Sorry, Gran! It's back to the drawing board! response:	Quit standing around and get in, Kazuya!
context: Shock\Shock\Shock\Shock\Shock\No Girlfriend Ever...\Sorry, Gran! It's back to the drawing board!\Quit standing around and get in, Kazuya! response:	O-Okay.
context: Shock\Shock\Shock\Shock\No Girlfriend Ever...\Sorry, Gran! It's back to the drawing board!\Quit standing around and get in, Kazuya!\O-Okay. response:	Well, later.
context: Shock\Shock\Shock\No Girlfriend Ever...\Sorry, Gran! It's back to the drawing board!\Quit standing around and get in, Kazuya!\O-Okay.\Well, later. response:	Don't drown in the bathtub.
context: Shock\Shock\No Girlfriend Ever...\Sorry, Gran! It's back to the drawing board!\Quit standing around and get in, Kazuya!\O-Okay.\Well, later.\Don't drown in the bathtub. response:	Come save me if I do.
context: Shock\No Girlfriend Ever...\Sorry, Gran! It's back to the drawing board!\Quit standing around and get in, Kazuya!\O-Okay.\Well, later.\Don't drown in the bathtub.\Come save me if I do. response:	That's not funny!
context: No Girlfriend Ever...\Sorry, Gran! It's back to the drawing board!\Quit standing around and get in, Kazuya!\O-Okay.\Well, later.\Don't drown in the bathtub.\Come save me if I do.\That's not funny! response:	See ya. Give my regards to Chizuru-san.
context: Sorry, Gran! It's back to the drawing board!\Quit standing around and get in, Kazuya!\O-Okay.\Well, later.\Don't drown in the bathtub.\Come save me if I do.\That's not funny!\See ya. Give my regards to Chizuru-san. response:	I won't tell Nagomi-san about the stupid blues thing.
context: Quit standing around and get in, Kazuya!\O-Okay.\Well, later.\Don't drown in the bathtub.\Come save me if I do.\That's not funny!\See ya. Give my regards to Chizuru-san.\I won't tell Nagomi-san about the stupid blues thing. response:	Just stay with her.
context: O-Okay.\Well, later.\Don't drown in the bathtub.\Come save me if I do.\That's not funny!\See ya. Give my regards to Chizuru-san.\I won't tell Nagomi-san about the stupid blues thing.\Just stay with her. response:	What? No, we're still breaking up.
context: Well, later.\Don't drown in the bathtub.\Come save me if I do.\That's not funny!\See ya. Give my regards to Chizuru-san.\I won't tell Nagomi-san about the stupid blues thing.\Just stay with her.\What? No, we're still breaking up. response:	You're still going on about that?
context: Don't drown in the bathtub.\Come save me if I do.\That's not funny!\See ya. Give my regards to Chizuru-san.\I won't tell Nagomi-san about the stupid blues thing.\Just stay with her.\What? No, we're still breaking up.\You're still going on about that? response:	This is way more complicated than you think.
