context: Get your moccoletti! How'bout a moccoletto! response:	Act 1: At Journey's End, We Meet
context: Are you crazy? It's a huge hassle.\Don't do it. You have no idea who this guy really is.\You think so?\Sure I do!\Begging monsieur's pardon, but are you Viscount Morcerf from room 405?\Y-Yes. Yes, that's me.\I have a message from my master, the Count of Monte Cristo.\Well? What do you think? response:	What do I think of what?
context: Don't do it. You have no idea who this guy really is.\You think so?\Sure I do!\Begging monsieur's pardon, but are you Viscount Morcerf from room 405?\Y-Yes. Yes, that's me.\I have a message from my master, the Count of Monte Cristo.\Well? What do you think?\What do I think of what? response:	Why would he want to talk to two complete strangers like us?
context: You think so?\Sure I do!\Begging monsieur's pardon, but are you Viscount Morcerf from room 405?\Y-Yes. Yes, that's me.\I have a message from my master, the Count of Monte Cristo.\Well? What do you think?\What do I think of what?\Why would he want to talk to two complete strangers like us? response:	His note said that he wanted to establish friendly relations...
context: Sure I do!\Begging monsieur's pardon, but are you Viscount Morcerf from room 405?\Y-Yes. Yes, that's me.\I have a message from my master, the Count of Monte Cristo.\Well? What do you think?\What do I think of what?\Why would he want to talk to two complete strangers like us?\His note said that he wanted to establish friendly relations... response:	What a coincidence...
context: Begging monsieur's pardon, but are you Viscount Morcerf from room 405?\Y-Yes. Yes, that's me.\I have a message from my master, the Count of Monte Cristo.\Well? What do you think?\What do I think of what?\Why would he want to talk to two complete strangers like us?\His note said that he wanted to establish friendly relations...\What a coincidence... response:	I'm not so sure.
context: Y-Yes. Yes, that's me.\I have a message from my master, the Count of Monte Cristo.\Well? What do you think?\What do I think of what?\Why would he want to talk to two complete strangers like us?\His note said that he wanted to establish friendly relations...\What a coincidence...\I'm not so sure. response:	There you go again. You're such a worrywart.
context: I have a message from my master, the Count of Monte Cristo.\Well? What do you think?\What do I think of what?\Why would he want to talk to two complete strangers like us?\His note said that he wanted to establish friendly relations...\What a coincidence...\I'm not so sure.\There you go again. You're such a worrywart. response:	At least stay and have dinner with the man.
context: Well? What do you think?\What do I think of what?\Why would he want to talk to two complete strangers like us?\His note said that he wanted to establish friendly relations...\What a coincidence...\I'm not so sure.\There you go again. You're such a worrywart.\At least stay and have dinner with the man. response:	I have some doubts about whether this guy is even a real aristocrat.
context: What do I think of what?\Why would he want to talk to two complete strangers like us?\His note said that he wanted to establish friendly relations...\What a coincidence...\I'm not so sure.\There you go again. You're such a worrywart.\At least stay and have dinner with the man.\I have some doubts about whether this guy is even a real aristocrat. response:	This is Luna, remember? He's almost certainly a con-
context: Why would he want to talk to two complete strangers like us?\His note said that he wanted to establish friendly relations...\What a coincidence...\I'm not so sure.\There you go again. You're such a worrywart.\At least stay and have dinner with the man.\I have some doubts about whether this guy is even a real aristocrat.\This is Luna, remember? He's almost certainly a con- response:	How do you do, messieurs. I am called the Count of Monte Cristo.
context: His note said that he wanted to establish friendly relations...\What a coincidence...\I'm not so sure.\There you go again. You're such a worrywart.\At least stay and have dinner with the man.\I have some doubts about whether this guy is even a real aristocrat.\This is Luna, remember? He's almost certainly a con-\How do you do, messieurs. I am called the Count of Monte Cristo. response:	Thank you for coming.
context: What a coincidence...\I'm not so sure.\There you go again. You're such a worrywart.\At least stay and have dinner with the man.\I have some doubts about whether this guy is even a real aristocrat.\This is Luna, remember? He's almost certainly a con-\How do you do, messieurs. I am called the Count of Monte Cristo.\Thank you for coming. response:	Come now, this won't do.
context: I'm not so sure.\There you go again. You're such a worrywart.\At least stay and have dinner with the man.\I have some doubts about whether this guy is even a real aristocrat.\This is Luna, remember? He's almost certainly a con-\How do you do, messieurs. I am called the Count of Monte Cristo.\Thank you for coming.\Come now, this won't do. response:	When a man has come all the way to Luna, he simply must try these dishes.
context: There you go again. You're such a worrywart.\At least stay and have dinner with the man.\I have some doubts about whether this guy is even a real aristocrat.\This is Luna, remember? He's almost certainly a con-\How do you do, messieurs. I am called the Count of Monte Cristo.\Thank you for coming.\Come now, this won't do.\When a man has come all the way to Luna, he simply must try these dishes. response:	Are you sure? We're the only ones who are eating.
context: At least stay and have dinner with the man.\I have some doubts about whether this guy is even a real aristocrat.\This is Luna, remember? He's almost certainly a con-\How do you do, messieurs. I am called the Count of Monte Cristo.\Thank you for coming.\Come now, this won't do.\When a man has come all the way to Luna, he simply must try these dishes.\Are you sure? We're the only ones who are eating. response:	You haven't touched anything all through dinner.
context: I have some doubts about whether this guy is even a real aristocrat.\This is Luna, remember? He's almost certainly a con-\How do you do, messieurs. I am called the Count of Monte Cristo.\Thank you for coming.\Come now, this won't do.\When a man has come all the way to Luna, he simply must try these dishes.\Are you sure? We're the only ones who are eating.\You haven't touched anything all through dinner. response:	Please, you needn't concern yourselves about me.
context: This is Luna, remember? He's almost certainly a con-\How do you do, messieurs. I am called the Count of Monte Cristo.\Thank you for coming.\Come now, this won't do.\When a man has come all the way to Luna, he simply must try these dishes.\Are you sure? We're the only ones who are eating.\You haven't touched anything all through dinner.\Please, you needn't concern yourselves about me. response:	Just as journeys traveled alone are dull, daily meals eaten alone have no flavor.
context: How do you do, messieurs. I am called the Count of Monte Cristo.\Thank you for coming.\Come now, this won't do.\When a man has come all the way to Luna, he simply must try these dishes.\Are you sure? We're the only ones who are eating.\You haven't touched anything all through dinner.\Please, you needn't concern yourselves about me.\Just as journeys traveled alone are dull, daily meals eaten alone have no flavor. response:	For me, speaking with guests as I am now is the greatest feast I could wish for.
context: Thank you for coming.\Come now, this won't do.\When a man has come all the way to Luna, he simply must try these dishes.\Are you sure? We're the only ones who are eating.\You haven't touched anything all through dinner.\Please, you needn't concern yourselves about me.\Just as journeys traveled alone are dull, daily meals eaten alone have no flavor.\For me, speaking with guests as I am now is the greatest feast I could wish for. response:	Please, help yourselves.
context: Come now, this won't do.\When a man has come all the way to Luna, he simply must try these dishes.\Are you sure? We're the only ones who are eating.\You haven't touched anything all through dinner.\Please, you needn't concern yourselves about me.\Just as journeys traveled alone are dull, daily meals eaten alone have no flavor.\For me, speaking with guests as I am now is the greatest feast I could wish for.\Please, help yourselves. response:	Incidentally, what did you think of the opera today?
context: When a man has come all the way to Luna, he simply must try these dishes.\Are you sure? We're the only ones who are eating.\You haven't touched anything all through dinner.\Please, you needn't concern yourselves about me.\Just as journeys traveled alone are dull, daily meals eaten alone have no flavor.\For me, speaking with guests as I am now is the greatest feast I could wish for.\Please, help yourselves.\Incidentally, what did you think of the opera today? response:	Speaking for myself, I don't normally see operas very often,
context: Are you sure? We're the only ones who are eating.\You haven't touched anything all through dinner.\Please, you needn't concern yourselves about me.\Just as journeys traveled alone are dull, daily meals eaten alone have no flavor.\For me, speaking with guests as I am now is the greatest feast I could wish for.\Please, help yourselves.\Incidentally, what did you think of the opera today?\Speaking for myself, I don't normally see operas very often, response:	Oh, I see.
context: You haven't touched anything all through dinner.\Please, you needn't concern yourselves about me.\Just as journeys traveled alone are dull, daily meals eaten alone have no flavor.\For me, speaking with guests as I am now is the greatest feast I could wish for.\Please, help yourselves.\Incidentally, what did you think of the opera today?\Speaking for myself, I don't normally see operas very often,\Oh, I see. response:	So, Monsieur Albert, are you saying that you have someone...
context: Please, you needn't concern yourselves about me.\Just as journeys traveled alone are dull, daily meals eaten alone have no flavor.\For me, speaking with guests as I am now is the greatest feast I could wish for.\Please, help yourselves.\Incidentally, what did you think of the opera today?\Speaking for myself, I don't normally see operas very often,\Oh, I see.\So, Monsieur Albert, are you saying that you have someone... response:	No, of course not!
context: Just as journeys traveled alone are dull, daily meals eaten alone have no flavor.\For me, speaking with guests as I am now is the greatest feast I could wish for.\Please, help yourselves.\Incidentally, what did you think of the opera today?\Speaking for myself, I don't normally see operas very often,\Oh, I see.\So, Monsieur Albert, are you saying that you have someone...\No, of course not! response:	Come on,'fess up.
context: For me, speaking with guests as I am now is the greatest feast I could wish for.\Please, help yourselves.\Incidentally, what did you think of the opera today?\Speaking for myself, I don't normally see operas very often,\Oh, I see.\So, Monsieur Albert, are you saying that you have someone...\No, of course not!\Come on,'fess up. response:	Eugenie and I were chosen for each other by our parents.
context: Please, help yourselves.\Incidentally, what did you think of the opera today?\Speaking for myself, I don't normally see operas very often,\Oh, I see.\So, Monsieur Albert, are you saying that you have someone...\No, of course not!\Come on,'fess up.\Eugenie and I were chosen for each other by our parents. response:	I've never been in love like the main character of that opera.
context: Incidentally, what did you think of the opera today?\Speaking for myself, I don't normally see operas very often,\Oh, I see.\So, Monsieur Albert, are you saying that you have someone...\No, of course not!\Come on,'fess up.\Eugenie and I were chosen for each other by our parents.\I've never been in love like the main character of that opera. response:	It's the same with everything else in my life.
context: Speaking for myself, I don't normally see operas very often,\Oh, I see.\So, Monsieur Albert, are you saying that you have someone...\No, of course not!\Come on,'fess up.\Eugenie and I were chosen for each other by our parents.\I've never been in love like the main character of that opera.\It's the same with everything else in my life. response:	Something that I can lose myself in.
context: Oh, I see.\So, Monsieur Albert, are you saying that you have someone...\No, of course not!\Come on,'fess up.\Eugenie and I were chosen for each other by our parents.\I've never been in love like the main character of that opera.\It's the same with everything else in my life.\Something that I can lose myself in. response:	Something that will grab my heart and never let go.
context: So, Monsieur Albert, are you saying that you have someone...\No, of course not!\Come on,'fess up.\Eugenie and I were chosen for each other by our parents.\I've never been in love like the main character of that opera.\It's the same with everything else in my life.\Something that I can lose myself in.\Something that will grab my heart and never let go. response:	I set out on this journey to find that something.
context: No, of course not!\Come on,'fess up.\Eugenie and I were chosen for each other by our parents.\I've never been in love like the main character of that opera.\It's the same with everything else in my life.\Something that I can lose myself in.\Something that will grab my heart and never let go.\I set out on this journey to find that something. response:	Why are you trying to make it sound so noble?
context: Come on,'fess up.\Eugenie and I were chosen for each other by our parents.\I've never been in love like the main character of that opera.\It's the same with everything else in my life.\Something that I can lose myself in.\Something that will grab my heart and never let go.\I set out on this journey to find that something.\Why are you trying to make it sound so noble? response:	As I recall, the goal of this little quest had more to do with what's below your waist.
context: Eugenie and I were chosen for each other by our parents.\I've never been in love like the main character of that opera.\It's the same with everything else in my life.\Something that I can lose myself in.\Something that will grab my heart and never let go.\I set out on this journey to find that something.\Why are you trying to make it sound so noble?\As I recall, the goal of this little quest had more to do with what's below your waist. response:	Franz! Cut it out!
context: I've never been in love like the main character of that opera.\It's the same with everything else in my life.\Something that I can lose myself in.\Something that will grab my heart and never let go.\I set out on this journey to find that something.\Why are you trying to make it sound so noble?\As I recall, the goal of this little quest had more to do with what's below your waist.\Franz! Cut it out! response:	Oh, youth is a wonderful thing.
context: It's the same with everything else in my life.\Something that I can lose myself in.\Something that will grab my heart and never let go.\I set out on this journey to find that something.\Why are you trying to make it sound so noble?\As I recall, the goal of this little quest had more to do with what's below your waist.\Franz! Cut it out!\Oh, youth is a wonderful thing. response:	Endless possibilities. Hopes. And ardent passion.
context: Something that I can lose myself in.\Something that will grab my heart and never let go.\I set out on this journey to find that something.\Why are you trying to make it sound so noble?\As I recall, the goal of this little quest had more to do with what's below your waist.\Franz! Cut it out!\Oh, youth is a wonderful thing.\Endless possibilities. Hopes. And ardent passion. response:	Count, have you ever been in love like that?
context: Something that will grab my heart and never let go.\I set out on this journey to find that something.\Why are you trying to make it sound so noble?\As I recall, the goal of this little quest had more to do with what's below your waist.\Franz! Cut it out!\Oh, youth is a wonderful thing.\Endless possibilities. Hopes. And ardent passion.\Count, have you ever been in love like that? response:	I have.
context: I set out on this journey to find that something.\Why are you trying to make it sound so noble?\As I recall, the goal of this little quest had more to do with what's below your waist.\Franz! Cut it out!\Oh, youth is a wonderful thing.\Endless possibilities. Hopes. And ardent passion.\Count, have you ever been in love like that?\I have. response:	What sort of woman was she?
context: Why are you trying to make it sound so noble?\As I recall, the goal of this little quest had more to do with what's below your waist.\Franz! Cut it out!\Oh, youth is a wonderful thing.\Endless possibilities. Hopes. And ardent passion.\Count, have you ever been in love like that?\I have.\What sort of woman was she? response:	Hey! Don't be rude!
context: As I recall, the goal of this little quest had more to do with what's below your waist.\Franz! Cut it out!\Oh, youth is a wonderful thing.\Endless possibilities. Hopes. And ardent passion.\Count, have you ever been in love like that?\I have.\What sort of woman was she?\Hey! Don't be rude! response:	To be honest, I, too, once had feelings for a certain woman.
context: Franz! Cut it out!\Oh, youth is a wonderful thing.\Endless possibilities. Hopes. And ardent passion.\Count, have you ever been in love like that?\I have.\What sort of woman was she?\Hey! Don't be rude!\To be honest, I, too, once had feelings for a certain woman. response:	As well as dreams of a future with this woman.
context: Oh, youth is a wonderful thing.\Endless possibilities. Hopes. And ardent passion.\Count, have you ever been in love like that?\I have.\What sort of woman was she?\Hey! Don't be rude!\To be honest, I, too, once had feelings for a certain woman.\As well as dreams of a future with this woman. response:	However...
context: Endless possibilities. Hopes. And ardent passion.\Count, have you ever been in love like that?\I have.\What sort of woman was she?\Hey! Don't be rude!\To be honest, I, too, once had feelings for a certain woman.\As well as dreams of a future with this woman.\However... response:	In short, those dreams were only dreams.
context: Count, have you ever been in love like that?\I have.\What sort of woman was she?\Hey! Don't be rude!\To be honest, I, too, once had feelings for a certain woman.\As well as dreams of a future with this woman.\However...\In short, those dreams were only dreams. response:	And in those dreams' stead stands the man that I have become.
context: I have.\What sort of woman was she?\Hey! Don't be rude!\To be honest, I, too, once had feelings for a certain woman.\As well as dreams of a future with this woman.\However...\In short, those dreams were only dreams.\And in those dreams' stead stands the man that I have become. response:	Bertuccio! Coffee for our guests.
context: What sort of woman was she?\Hey! Don't be rude!\To be honest, I, too, once had feelings for a certain woman.\As well as dreams of a future with this woman.\However...\In short, those dreams were only dreams.\And in those dreams' stead stands the man that I have become.\Bertuccio! Coffee for our guests. response:	At once.
context: Hey! Don't be rude!\To be honest, I, too, once had feelings for a certain woman.\As well as dreams of a future with this woman.\However...\In short, those dreams were only dreams.\And in those dreams' stead stands the man that I have become.\Bertuccio! Coffee for our guests.\At once. response:	I thank you for the honor of your company tonight.
context: To be honest, I, too, once had feelings for a certain woman.\As well as dreams of a future with this woman.\However...\In short, those dreams were only dreams.\And in those dreams' stead stands the man that I have become.\Bertuccio! Coffee for our guests.\At once.\I thank you for the honor of your company tonight. response:	Not at all, sir! The honor was ours!
context: As well as dreams of a future with this woman.\However...\In short, those dreams were only dreams.\And in those dreams' stead stands the man that I have become.\Bertuccio! Coffee for our guests.\At once.\I thank you for the honor of your company tonight.\Not at all, sir! The honor was ours! response:	I would like you to join me for luncheon on my balcony tomorrow. What say you?
context: However...\In short, those dreams were only dreams.\And in those dreams' stead stands the man that I have become.\Bertuccio! Coffee for our guests.\At once.\I thank you for the honor of your company tonight.\Not at all, sir! The honor was ours!\I would like you to join me for luncheon on my balcony tomorrow. What say you? response:	Really? We'd be honored to...
context: In short, those dreams were only dreams.\And in those dreams' stead stands the man that I have become.\Bertuccio! Coffee for our guests.\At once.\I thank you for the honor of your company tonight.\Not at all, sir! The honor was ours!\I would like you to join me for luncheon on my balcony tomorrow. What say you?\Really? We'd be honored to... response:	We're terribly sorry, Count.
context: And in those dreams' stead stands the man that I have become.\Bertuccio! Coffee for our guests.\At once.\I thank you for the honor of your company tonight.\Not at all, sir! The honor was ours!\I would like you to join me for luncheon on my balcony tomorrow. What say you?\Really? We'd be honored to...\We're terribly sorry, Count. response:	We appreciate your kind offer, but we couldn't possibly accept.
context: Bertuccio! Coffee for our guests.\At once.\I thank you for the honor of your company tonight.\Not at all, sir! The honor was ours!\I would like you to join me for luncheon on my balcony tomorrow. What say you?\Really? We'd be honored to...\We're terribly sorry, Count.\We appreciate your kind offer, but we couldn't possibly accept. response:	Luna's public executions are the highlight of Carnival.
context: At once.\I thank you for the honor of your company tonight.\Not at all, sir! The honor was ours!\I would like you to join me for luncheon on my balcony tomorrow. What say you?\Really? We'd be honored to...\We're terribly sorry, Count.\We appreciate your kind offer, but we couldn't possibly accept.\Luna's public executions are the highlight of Carnival. response:	The festivities reach their peak as the blood of heinous criminals...
context: I thank you for the honor of your company tonight.\Not at all, sir! The honor was ours!\I would like you to join me for luncheon on my balcony tomorrow. What say you?\Really? We'd be honored to...\We're terribly sorry, Count.\We appreciate your kind offer, but we couldn't possibly accept.\Luna's public executions are the highlight of Carnival.\The festivities reach their peak as the blood of heinous criminals... response:	One cannot speak of experiencing Luna's Carnival without having seen this spectacle.
context: Not at all, sir! The honor was ours!\I would like you to join me for luncheon on my balcony tomorrow. What say you?\Really? We'd be honored to...\We're terribly sorry, Count.\We appreciate your kind offer, but we couldn't possibly accept.\Luna's public executions are the highlight of Carnival.\The festivities reach their peak as the blood of heinous criminals...\One cannot speak of experiencing Luna's Carnival without having seen this spectacle. response:	Is that not so, Monsieur Albert?
context: I would like you to join me for luncheon on my balcony tomorrow. What say you?\Really? We'd be honored to...\We're terribly sorry, Count.\We appreciate your kind offer, but we couldn't possibly accept.\Luna's public executions are the highlight of Carnival.\The festivities reach their peak as the blood of heinous criminals...\One cannot speak of experiencing Luna's Carnival without having seen this spectacle.\Is that not so, Monsieur Albert? response:	Y-Yes, sir. You're exactly right, Count!
context: Really? We'd be honored to...\We're terribly sorry, Count.\We appreciate your kind offer, but we couldn't possibly accept.\Luna's public executions are the highlight of Carnival.\The festivities reach their peak as the blood of heinous criminals...\One cannot speak of experiencing Luna's Carnival without having seen this spectacle.\Is that not so, Monsieur Albert?\Y-Yes, sir. You're exactly right, Count! response:	In that case, I shall await you here in this room again tomorrow.
context: We're terribly sorry, Count.\We appreciate your kind offer, but we couldn't possibly accept.\Luna's public executions are the highlight of Carnival.\The festivities reach their peak as the blood of heinous criminals...\One cannot speak of experiencing Luna's Carnival without having seen this spectacle.\Is that not so, Monsieur Albert?\Y-Yes, sir. You're exactly right, Count!\In that case, I shall await you here in this room again tomorrow. response:	Pleasant dreams to both of you.
context: We appreciate your kind offer, but we couldn't possibly accept.\Luna's public executions are the highlight of Carnival.\The festivities reach their peak as the blood of heinous criminals...\One cannot speak of experiencing Luna's Carnival without having seen this spectacle.\Is that not so, Monsieur Albert?\Y-Yes, sir. You're exactly right, Count!\In that case, I shall await you here in this room again tomorrow.\Pleasant dreams to both of you. response:	Hey! Albert!
