context: How does Chimera look? response:	She is eating, but I still think she's under the weather.
context: I don't know.\Although Rikka was feeding her lots for what she called Project Super-Size.\Honestly. So, where is Rikka?\I think she's still sleeping.\Arise, Wicked Lord Shingan!\The time of awakening is nigh!\The Light! The Light Beings are roasting me alive!\Yuta, give me darkness! response:	Roast to your heart's content.
context: Although Rikka was feeding her lots for what she called Project Super-Size.\Honestly. So, where is Rikka?\I think she's still sleeping.\Arise, Wicked Lord Shingan!\The time of awakening is nigh!\The Light! The Light Beings are roasting me alive!\Yuta, give me darkness!\Roast to your heart's content. response:	What is it?
context: Honestly. So, where is Rikka?\I think she's still sleeping.\Arise, Wicked Lord Shingan!\The time of awakening is nigh!\The Light! The Light Beings are roasting me alive!\Yuta, give me darkness!\Roast to your heart's content.\What is it? response:	Nothing.
context: I think she's still sleeping.\Arise, Wicked Lord Shingan!\The time of awakening is nigh!\The Light! The Light Beings are roasting me alive!\Yuta, give me darkness!\Roast to your heart's content.\What is it?\Nothing. response:	Togashi, morning!
context: Arise, Wicked Lord Shingan!\The time of awakening is nigh!\The Light! The Light Beings are roasting me alive!\Yuta, give me darkness!\Roast to your heart's content.\What is it?\Nothing.\Togashi, morning! response:	Good morning.
context: The time of awakening is nigh!\The Light! The Light Beings are roasting me alive!\Yuta, give me darkness!\Roast to your heart's content.\What is it?\Nothing.\Togashi, morning!\Good morning. response:	It's the start of the second term.
context: The Light! The Light Beings are roasting me alive!\Yuta, give me darkness!\Roast to your heart's content.\What is it?\Nothing.\Togashi, morning!\Good morning.\It's the start of the second term. response:	Yeah!
context: Yuta, give me darkness!\Roast to your heart's content.\What is it?\Nothing.\Togashi, morning!\Good morning.\It's the start of the second term.\Yeah! response:	Where's Rikka?
context: Roast to your heart's content.\What is it?\Nothing.\Togashi, morning!\Good morning.\It's the start of the second term.\Yeah!\Where's Rikka? response:	Well, we were leaving for school...
context: What is it?\Nothing.\Togashi, morning!\Good morning.\It's the start of the second term.\Yeah!\Where's Rikka?\Well, we were leaving for school... response:	The Superior Contract... of Twilight
context: Nothing.\Togashi, morning!\Good morning.\It's the start of the second term.\Yeah!\Where's Rikka?\Well, we were leaving for school...\The Superior Contract... of Twilight response:	and she ran off by herself saying she was going ahead.
context: Togashi, morning!\Good morning.\It's the start of the second term.\Yeah!\Where's Rikka?\Well, we were leaving for school...\The Superior Contract... of Twilight\and she ran off by herself saying she was going ahead. response:	Really.
context: Good morning.\It's the start of the second term.\Yeah!\Where's Rikka?\Well, we were leaving for school...\The Superior Contract... of Twilight\and she ran off by herself saying she was going ahead.\Really. response:	Buongiorno!
context: It's the start of the second term.\Yeah!\Where's Rikka?\Well, we were leaving for school...\The Superior Contract... of Twilight\and she ran off by herself saying she was going ahead.\Really.\Buongiorno! response:	Nibutani?
context: Yeah!\Where's Rikka?\Well, we were leaving for school...\The Superior Contract... of Twilight\and she ran off by herself saying she was going ahead.\Really.\Buongiorno!\Nibutani? response:	Nibutani.
context: Where's Rikka?\Well, we were leaving for school...\The Superior Contract... of Twilight\and she ran off by herself saying she was going ahead.\Really.\Buongiorno!\Nibutani?\Nibutani. response:	Ciao! How was your long vacation?
context: Well, we were leaving for school...\The Superior Contract... of Twilight\and she ran off by herself saying she was going ahead.\Really.\Buongiorno!\Nibutani?\Nibutani.\Ciao! How was your long vacation? response:	Nibutani, you know...
context: The Superior Contract... of Twilight\and she ran off by herself saying she was going ahead.\Really.\Buongiorno!\Nibutani?\Nibutani.\Ciao! How was your long vacation?\Nibutani, you know... response:	You seem to get a little weird every time there's a new term.
context: and she ran off by herself saying she was going ahead.\Really.\Buongiorno!\Nibutani?\Nibutani.\Ciao! How was your long vacation?\Nibutani, you know...\You seem to get a little weird every time there's a new term. response:	See you in second term!
context: Really.\Buongiorno!\Nibutani?\Nibutani.\Ciao! How was your long vacation?\Nibutani, you know...\You seem to get a little weird every time there's a new term.\See you in second term! response:	They're talking about you, Nibutani.
context: Buongiorno!\Nibutani?\Nibutani.\Ciao! How was your long vacation?\Nibutani, you know...\You seem to get a little weird every time there's a new term.\See you in second term!\They're talking about you, Nibutani. response:	Morisummer is as funny as ever!
context: Nibutani?\Nibutani.\Ciao! How was your long vacation?\Nibutani, you know...\You seem to get a little weird every time there's a new term.\See you in second term!\They're talking about you, Nibutani.\Morisummer is as funny as ever! response:	Kumin-senpai.
context: Nibutani.\Ciao! How was your long vacation?\Nibutani, you know...\You seem to get a little weird every time there's a new term.\See you in second term!\They're talking about you, Nibutani.\Morisummer is as funny as ever!\Kumin-senpai. response:	Huh?
context: Ciao! How was your long vacation?\Nibutani, you know...\You seem to get a little weird every time there's a new term.\See you in second term!\They're talking about you, Nibutani.\Morisummer is as funny as ever!\Kumin-senpai.\Huh? response:	Yes, I only have eyes for you.
context: Nibutani, you know...\You seem to get a little weird every time there's a new term.\See you in second term!\They're talking about you, Nibutani.\Morisummer is as funny as ever!\Kumin-senpai.\Huh?\Yes, I only have eyes for you. response:	Yikes! Really, who are you?!
context: You seem to get a little weird every time there's a new term.\See you in second term!\They're talking about you, Nibutani.\Morisummer is as funny as ever!\Kumin-senpai.\Huh?\Yes, I only have eyes for you.\Yikes! Really, who are you?! response:	I only have eyes for you, Kumin-senpai.
context: See you in second term!\They're talking about you, Nibutani.\Morisummer is as funny as ever!\Kumin-senpai.\Huh?\Yes, I only have eyes for you.\Yikes! Really, who are you?!\I only have eyes for you, Kumin-senpai. response:	I am devoted to you, Kumin-senpai!
context: They're talking about you, Nibutani.\Morisummer is as funny as ever!\Kumin-senpai.\Huh?\Yes, I only have eyes for you.\Yikes! Really, who are you?!\I only have eyes for you, Kumin-senpai.\I am devoted to you, Kumin-senpai! response:	An exchange student?
context: Morisummer is as funny as ever!\Kumin-senpai.\Huh?\Yes, I only have eyes for you.\Yikes! Really, who are you?!\I only have eyes for you, Kumin-senpai.\I am devoted to you, Kumin-senpai!\An exchange student? response:	Probably.
context: Kumin-senpai.\Huh?\Yes, I only have eyes for you.\Yikes! Really, who are you?!\I only have eyes for you, Kumin-senpai.\I am devoted to you, Kumin-senpai!\An exchange student?\Probably. response:	Bye.
context: Huh?\Yes, I only have eyes for you.\Yikes! Really, who are you?!\I only have eyes for you, Kumin-senpai.\I am devoted to you, Kumin-senpai!\An exchange student?\Probably.\Bye. response:	See ya.
context: Yes, I only have eyes for you.\Yikes! Really, who are you?!\I only have eyes for you, Kumin-senpai.\I am devoted to you, Kumin-senpai!\An exchange student?\Probably.\Bye.\See ya. response:	See? She wasn't like this before summer vacation.
context: Yikes! Really, who are you?!\I only have eyes for you, Kumin-senpai.\I am devoted to you, Kumin-senpai!\An exchange student?\Probably.\Bye.\See ya.\See? She wasn't like this before summer vacation. response:	You probably shrank.
context: I only have eyes for you, Kumin-senpai.\I am devoted to you, Kumin-senpai!\An exchange student?\Probably.\Bye.\See ya.\See? She wasn't like this before summer vacation.\You probably shrank. response:	Hey, Togashi.
context: I am devoted to you, Kumin-senpai!\An exchange student?\Probably.\Bye.\See ya.\See? She wasn't like this before summer vacation.\You probably shrank.\Hey, Togashi. response:	Yo.
context: An exchange student?\Probably.\Bye.\See ya.\See? She wasn't like this before summer vacation.\You probably shrank.\Hey, Togashi.\Yo. response:	What are you staring at?
context: Probably.\Bye.\See ya.\See? She wasn't like this before summer vacation.\You probably shrank.\Hey, Togashi.\Yo.\What are you staring at? response:	Yikes!
context: Bye.\See ya.\See? She wasn't like this before summer vacation.\You probably shrank.\Hey, Togashi.\Yo.\What are you staring at?\Yikes! response:	You stare longingly after Rikka without saying a word to
context: See ya.\See? She wasn't like this before summer vacation.\You probably shrank.\Hey, Togashi.\Yo.\What are you staring at?\Yikes!\You stare longingly after Rikka without saying a word to response:	each other right after summer vacation.
context: See? She wasn't like this before summer vacation.\You probably shrank.\Hey, Togashi.\Yo.\What are you staring at?\Yikes!\You stare longingly after Rikka without saying a word to\each other right after summer vacation. response:	Did you break up?
context: You probably shrank.\Hey, Togashi.\Yo.\What are you staring at?\Yikes!\You stare longingly after Rikka without saying a word to\each other right after summer vacation.\Did you break up? response:	No!
context: Hey, Togashi.\Yo.\What are you staring at?\Yikes!\You stare longingly after Rikka without saying a word to\each other right after summer vacation.\Did you break up?\No! response:	Did your love cool off in the hot summer?
context: Yo.\What are you staring at?\Yikes!\You stare longingly after Rikka without saying a word to\each other right after summer vacation.\Did you break up?\No!\Did your love cool off in the hot summer? response:	You're wrong! If you wanna know, it's the opposite!
context: What are you staring at?\Yikes!\You stare longingly after Rikka without saying a word to\each other right after summer vacation.\Did you break up?\No!\Did your love cool off in the hot summer?\You're wrong! If you wanna know, it's the opposite! response:	The opposite? Do you mean, you spent the entire summer...
context: Yikes!\You stare longingly after Rikka without saying a word to\each other right after summer vacation.\Did you break up?\No!\Did your love cool off in the hot summer?\You're wrong! If you wanna know, it's the opposite!\The opposite? Do you mean, you spent the entire summer... response:	Did you defile my master?!
context: You stare longingly after Rikka without saying a word to\each other right after summer vacation.\Did you break up?\No!\Did your love cool off in the hot summer?\You're wrong! If you wanna know, it's the opposite!\The opposite? Do you mean, you spent the entire summer...\Did you defile my master?! response:	No! Where did you come from anyway?!
context: each other right after summer vacation.\Did you break up?\No!\Did your love cool off in the hot summer?\You're wrong! If you wanna know, it's the opposite!\The opposite? Do you mean, you spent the entire summer...\Did you defile my master?!\No! Where did you come from anyway?! response:	How about it?
context: Did you break up?\No!\Did your love cool off in the hot summer?\You're wrong! If you wanna know, it's the opposite!\The opposite? Do you mean, you spent the entire summer...\Did you defile my master?!\No! Where did you come from anyway?!\How about it? response:	Why are you in this press corps? And you're back to normal.
context: No!\Did your love cool off in the hot summer?\You're wrong! If you wanna know, it's the opposite!\The opposite? Do you mean, you spent the entire summer...\Did you defile my master?!\No! Where did you come from anyway?!\How about it?\Why are you in this press corps? And you're back to normal. response:	It's all right. There's no need to be shy.
context: Did your love cool off in the hot summer?\You're wrong! If you wanna know, it's the opposite!\The opposite? Do you mean, you spent the entire summer...\Did you defile my master?!\No! Where did you come from anyway?!\How about it?\Why are you in this press corps? And you're back to normal.\It's all right. There's no need to be shy. response:	Statistically speaking, the second year of high school is when...
context: You're wrong! If you wanna know, it's the opposite!\The opposite? Do you mean, you spent the entire summer...\Did you defile my master?!\No! Where did you come from anyway?!\How about it?\Why are you in this press corps? And you're back to normal.\It's all right. There's no need to be shy.\Statistically speaking, the second year of high school is when... response:	I-i-is that true?!
context: The opposite? Do you mean, you spent the entire summer...\Did you defile my master?!\No! Where did you come from anyway?!\How about it?\Why are you in this press corps? And you're back to normal.\It's all right. There's no need to be shy.\Statistically speaking, the second year of high school is when...\I-i-is that true?! response:	That's just what the statistics say.
context: Did you defile my master?!\No! Where did you come from anyway?!\How about it?\Why are you in this press corps? And you're back to normal.\It's all right. There's no need to be shy.\Statistically speaking, the second year of high school is when...\I-i-is that true?!\That's just what the statistics say. response:	I don't want to discuss it! Anyway, you're wrong!
context: No! Where did you come from anyway?!\How about it?\Why are you in this press corps? And you're back to normal.\It's all right. There's no need to be shy.\Statistically speaking, the second year of high school is when...\I-i-is that true?!\That's just what the statistics say.\I don't want to discuss it! Anyway, you're wrong! response:	Then what's the deal?
context: How about it?\Why are you in this press corps? And you're back to normal.\It's all right. There's no need to be shy.\Statistically speaking, the second year of high school is when...\I-i-is that true?!\That's just what the statistics say.\I don't want to discuss it! Anyway, you're wrong!\Then what's the deal? response:	Nothing.
context: Why are you in this press corps? And you're back to normal.\It's all right. There's no need to be shy.\Statistically speaking, the second year of high school is when...\I-i-is that true?!\That's just what the statistics say.\I don't want to discuss it! Anyway, you're wrong!\Then what's the deal?\Nothing. response:	It's just that Rikka's been acting off all morning.
context: It's all right. There's no need to be shy.\Statistically speaking, the second year of high school is when...\I-i-is that true?!\That's just what the statistics say.\I don't want to discuss it! Anyway, you're wrong!\Then what's the deal?\Nothing.\It's just that Rikka's been acting off all morning. response:	You didn't treat my master cruelly, I trust?
context: Statistically speaking, the second year of high school is when...\I-i-is that true?!\That's just what the statistics say.\I don't want to discuss it! Anyway, you're wrong!\Then what's the deal?\Nothing.\It's just that Rikka's been acting off all morning.\You didn't treat my master cruelly, I trust? response:	Hey, did you talk with Shichimiya in an overly friendly way again?
context: I-i-is that true?!\That's just what the statistics say.\I don't want to discuss it! Anyway, you're wrong!\Then what's the deal?\Nothing.\It's just that Rikka's been acting off all morning.\You didn't treat my master cruelly, I trust?\Hey, did you talk with Shichimiya in an overly friendly way again? response:	No, no, no! I know I'm dense, but I know better than that.
context: That's just what the statistics say.\I don't want to discuss it! Anyway, you're wrong!\Then what's the deal?\Nothing.\It's just that Rikka's been acting off all morning.\You didn't treat my master cruelly, I trust?\Hey, did you talk with Shichimiya in an overly friendly way again?\No, no, no! I know I'm dense, but I know better than that. response:	In fact, Rikka practically goes over to visit her every day.
context: I don't want to discuss it! Anyway, you're wrong!\Then what's the deal?\Nothing.\It's just that Rikka's been acting off all morning.\You didn't treat my master cruelly, I trust?\Hey, did you talk with Shichimiya in an overly friendly way again?\No, no, no! I know I'm dense, but I know better than that.\In fact, Rikka practically goes over to visit her every day. response:	Really?
context: Then what's the deal?\Nothing.\It's just that Rikka's been acting off all morning.\You didn't treat my master cruelly, I trust?\Hey, did you talk with Shichimiya in an overly friendly way again?\No, no, no! I know I'm dense, but I know better than that.\In fact, Rikka practically goes over to visit her every day.\Really? response:	They've really hit it off since then.
context: Nothing.\It's just that Rikka's been acting off all morning.\You didn't treat my master cruelly, I trust?\Hey, did you talk with Shichimiya in an overly friendly way again?\No, no, no! I know I'm dense, but I know better than that.\In fact, Rikka practically goes over to visit her every day.\Really?\They've really hit it off since then. response:	Rikka! Hey, Rikka!
context: It's just that Rikka's been acting off all morning.\You didn't treat my master cruelly, I trust?\Hey, did you talk with Shichimiya in an overly friendly way again?\No, no, no! I know I'm dense, but I know better than that.\In fact, Rikka practically goes over to visit her every day.\Really?\They've really hit it off since then.\Rikka! Hey, Rikka! response:	Togashi wants to whisper sweet nothings to you.
context: You didn't treat my master cruelly, I trust?\Hey, did you talk with Shichimiya in an overly friendly way again?\No, no, no! I know I'm dense, but I know better than that.\In fact, Rikka practically goes over to visit her every day.\Really?\They've really hit it off since then.\Rikka! Hey, Rikka!\Togashi wants to whisper sweet nothings to you. response:	Wha-?!
context: Hey, did you talk with Shichimiya in an overly friendly way again?\No, no, no! I know I'm dense, but I know better than that.\In fact, Rikka practically goes over to visit her every day.\Really?\They've really hit it off since then.\Rikka! Hey, Rikka!\Togashi wants to whisper sweet nothings to you.\Wha-?! response:	Rikka?
context: No, no, no! I know I'm dense, but I know better than that.\In fact, Rikka practically goes over to visit her every day.\Really?\They've really hit it off since then.\Rikka! Hey, Rikka!\Togashi wants to whisper sweet nothings to you.\Wha-?!\Rikka? response:	Master.
context: In fact, Rikka practically goes over to visit her every day.\Really?\They've really hit it off since then.\Rikka! Hey, Rikka!\Togashi wants to whisper sweet nothings to you.\Wha-?!\Rikka?\Master. response:	I see what you mean. She is a bit off.
context: Really?\They've really hit it off since then.\Rikka! Hey, Rikka!\Togashi wants to whisper sweet nothings to you.\Wha-?!\Rikka?\Master.\I see what you mean. She is a bit off. response:	Nah, anyone would wanna run from that.
context: They've really hit it off since then.\Rikka! Hey, Rikka!\Togashi wants to whisper sweet nothings to you.\Wha-?!\Rikka?\Master.\I see what you mean. She is a bit off.\Nah, anyone would wanna run from that. response:	Blow to smithereens, fruitful offline life!
context: Rikka! Hey, Rikka!\Togashi wants to whisper sweet nothings to you.\Wha-?!\Rikka?\Master.\I see what you mean. She is a bit off.\Nah, anyone would wanna run from that.\Blow to smithereens, fruitful offline life! response:	You mean Wicked Lord Shingan?
context: Togashi wants to whisper sweet nothings to you.\Wha-?!\Rikka?\Master.\I see what you mean. She is a bit off.\Nah, anyone would wanna run from that.\Blow to smithereens, fruitful offline life!\You mean Wicked Lord Shingan? response:	Yeah.
context: Wha-?!\Rikka?\Master.\I see what you mean. She is a bit off.\Nah, anyone would wanna run from that.\Blow to smithereens, fruitful offline life!\You mean Wicked Lord Shingan?\Yeah. response:	Do you know anything about it?
context: Rikka?\Master.\I see what you mean. She is a bit off.\Nah, anyone would wanna run from that.\Blow to smithereens, fruitful offline life!\You mean Wicked Lord Shingan?\Yeah.\Do you know anything about it? response:	You just go home.
context: Master.\I see what you mean. She is a bit off.\Nah, anyone would wanna run from that.\Blow to smithereens, fruitful offline life!\You mean Wicked Lord Shingan?\Yeah.\Do you know anything about it?\You just go home. response:	Ow!
context: I see what you mean. She is a bit off.\Nah, anyone would wanna run from that.\Blow to smithereens, fruitful offline life!\You mean Wicked Lord Shingan?\Yeah.\Do you know anything about it?\You just go home.\Ow! response:	You go home!
context: Nah, anyone would wanna run from that.\Blow to smithereens, fruitful offline life!\You mean Wicked Lord Shingan?\Yeah.\Do you know anything about it?\You just go home.\Ow!\You go home! response:	Who is in the most pain?
context: Blow to smithereens, fruitful offline life!\You mean Wicked Lord Shingan?\Yeah.\Do you know anything about it?\You just go home.\Ow!\You go home!\Who is in the most pain? response:	Did she mention anything out of the ordinary?
context: You mean Wicked Lord Shingan?\Yeah.\Do you know anything about it?\You just go home.\Ow!\You go home!\Who is in the most pain?\Did she mention anything out of the ordinary? response:	She always comes with me on my angel hunts.
context: Yeah.\Do you know anything about it?\You just go home.\Ow!\You go home!\Who is in the most pain?\Did she mention anything out of the ordinary?\She always comes with me on my angel hunts. response:	She's helping out since I helped revive the Dark Flame Dragon.
context: Do you know anything about it?\You just go home.\Ow!\You go home!\Who is in the most pain?\Did she mention anything out of the ordinary?\She always comes with me on my angel hunts.\She's helping out since I helped revive the Dark Flame Dragon. response:	But...
context: You just go home.\Ow!\You go home!\Who is in the most pain?\Did she mention anything out of the ordinary?\She always comes with me on my angel hunts.\She's helping out since I helped revive the Dark Flame Dragon.\But... response:	But?
context: Ow!\You go home!\Who is in the most pain?\Did she mention anything out of the ordinary?\She always comes with me on my angel hunts.\She's helping out since I helped revive the Dark Flame Dragon.\But...\But? response:	She said she was thinking of entering a Superior Contract with Hero.
context: You go home!\Who is in the most pain?\Did she mention anything out of the ordinary?\She always comes with me on my angel hunts.\She's helping out since I helped revive the Dark Flame Dragon.\But...\But?\She said she was thinking of entering a Superior Contract with Hero. response:	Superior Contract?
context: Who is in the most pain?\Did she mention anything out of the ordinary?\She always comes with me on my angel hunts.\She's helping out since I helped revive the Dark Flame Dragon.\But...\But?\She said she was thinking of entering a Superior Contract with Hero.\Superior Contract? response:	Yeah. Now that the Dark Flame Dragon has been revived,
context: Did she mention anything out of the ordinary?\She always comes with me on my angel hunts.\She's helping out since I helped revive the Dark Flame Dragon.\But...\But?\She said she was thinking of entering a Superior Contract with Hero.\Superior Contract?\Yeah. Now that the Dark Flame Dragon has been revived, response:	she thinks it's necessary as a contract holder.
context: She always comes with me on my angel hunts.\She's helping out since I helped revive the Dark Flame Dragon.\But...\But?\She said she was thinking of entering a Superior Contract with Hero.\Superior Contract?\Yeah. Now that the Dark Flame Dragon has been revived,\she thinks it's necessary as a contract holder. response:	Superior Contract?
context: She's helping out since I helped revive the Dark Flame Dragon.\But...\But?\She said she was thinking of entering a Superior Contract with Hero.\Superior Contract?\Yeah. Now that the Dark Flame Dragon has been revived,\she thinks it's necessary as a contract holder.\Superior Contract? response:	If memory serves me, those two are bound by a Lover's Contract.
context: But...\But?\She said she was thinking of entering a Superior Contract with Hero.\Superior Contract?\Yeah. Now that the Dark Flame Dragon has been revived,\she thinks it's necessary as a contract holder.\Superior Contract?\If memory serves me, those two are bound by a Lover's Contract. response:	An Superior Contract would have to mean...
context: But?\She said she was thinking of entering a Superior Contract with Hero.\Superior Contract?\Yeah. Now that the Dark Flame Dragon has been revived,\she thinks it's necessary as a contract holder.\Superior Contract?\If memory serves me, those two are bound by a Lover's Contract.\An Superior Contract would have to mean... response:	Wh-why are you turning red?! Get your mind out of the gutter!
context: She said she was thinking of entering a Superior Contract with Hero.\Superior Contract?\Yeah. Now that the Dark Flame Dragon has been revived,\she thinks it's necessary as a contract holder.\Superior Contract?\If memory serves me, those two are bound by a Lover's Contract.\An Superior Contract would have to mean...\Wh-why are you turning red?! Get your mind out of the gutter! response:	What's that?! You're the one who's turning red!
context: Superior Contract?\Yeah. Now that the Dark Flame Dragon has been revived,\she thinks it's necessary as a contract holder.\Superior Contract?\If memory serves me, those two are bound by a Lover's Contract.\An Superior Contract would have to mean...\Wh-why are you turning red?! Get your mind out of the gutter!\What's that?! You're the one who's turning red! response:	You sure have a dirty mind for a freshman!
context: Yeah. Now that the Dark Flame Dragon has been revived,\she thinks it's necessary as a contract holder.\Superior Contract?\If memory serves me, those two are bound by a Lover's Contract.\An Superior Contract would have to mean...\Wh-why are you turning red?! Get your mind out of the gutter!\What's that?! You're the one who's turning red!\You sure have a dirty mind for a freshman! response:	Moron! I do not!
context: she thinks it's necessary as a contract holder.\Superior Contract?\If memory serves me, those two are bound by a Lover's Contract.\An Superior Contract would have to mean...\Wh-why are you turning red?! Get your mind out of the gutter!\What's that?! You're the one who's turning red!\You sure have a dirty mind for a freshman!\Moron! I do not! response:	My mind is clean!
context: Superior Contract?\If memory serves me, those two are bound by a Lover's Contract.\An Superior Contract would have to mean...\Wh-why are you turning red?! Get your mind out of the gutter!\What's that?! You're the one who's turning red!\You sure have a dirty mind for a freshman!\Moron! I do not!\My mind is clean! response:	I know you're lying!
context: If memory serves me, those two are bound by a Lover's Contract.\An Superior Contract would have to mean...\Wh-why are you turning red?! Get your mind out of the gutter!\What's that?! You're the one who's turning red!\You sure have a dirty mind for a freshman!\Moron! I do not!\My mind is clean!\I know you're lying! response:	I bet you were imagining Takanashi taking off her clothes and...
context: An Superior Contract would have to mean...\Wh-why are you turning red?! Get your mind out of the gutter!\What's that?! You're the one who's turning red!\You sure have a dirty mind for a freshman!\Moron! I do not!\My mind is clean!\I know you're lying!\I bet you were imagining Takanashi taking off her clothes and... response:	Yuta.
context: Wh-why are you turning red?! Get your mind out of the gutter!\What's that?! You're the one who's turning red!\You sure have a dirty mind for a freshman!\Moron! I do not!\My mind is clean!\I know you're lying!\I bet you were imagining Takanashi taking off her clothes and...\Yuta. response:	Don't say it! Don't say it! Don't say it!
context: What's that?! You're the one who's turning red!\You sure have a dirty mind for a freshman!\Moron! I do not!\My mind is clean!\I know you're lying!\I bet you were imagining Takanashi taking off her clothes and...\Yuta.\Don't say it! Don't say it! Don't say it! response:	Ow! Ow! Ow! Don't say it! Don't say it! Don't say it!
context: You sure have a dirty mind for a freshman!\Moron! I do not!\My mind is clean!\I know you're lying!\I bet you were imagining Takanashi taking off her clothes and...\Yuta.\Don't say it! Don't say it! Don't say it!\Ow! Ow! Ow! Don't say it! Don't say it! Don't say it! response:	Not that.
context: Moron! I do not!\My mind is clean!\I know you're lying!\I bet you were imagining Takanashi taking off her clothes and...\Yuta.\Don't say it! Don't say it! Don't say it!\Ow! Ow! Ow! Don't say it! Don't say it! Don't say it!\Not that. response:	She meant kissing.
context: My mind is clean!\I know you're lying!\I bet you were imagining Takanashi taking off her clothes and...\Yuta.\Don't say it! Don't say it! Don't say it!\Ow! Ow! Ow! Don't say it! Don't say it! Don't say it!\Not that.\She meant kissing. response:	O-of course.
context: I know you're lying!\I bet you were imagining Takanashi taking off her clothes and...\Yuta.\Don't say it! Don't say it! Don't say it!\Ow! Ow! Ow! Don't say it! Don't say it! Don't say it!\Not that.\She meant kissing.\O-of course. response:	I'm home!
context: I bet you were imagining Takanashi taking off her clothes and...\Yuta.\Don't say it! Don't say it! Don't say it!\Ow! Ow! Ow! Don't say it! Don't say it! Don't say it!\Not that.\She meant kissing.\O-of course.\I'm home! response:	How is Chimera?
context: Yuta.\Don't say it! Don't say it! Don't say it!\Ow! Ow! Ow! Don't say it! Don't say it! Don't say it!\Not that.\She meant kissing.\O-of course.\I'm home!\How is Chimera? response:	She's acting the same as earlier.
context: Don't say it! Don't say it! Don't say it!\Ow! Ow! Ow! Don't say it! Don't say it! Don't say it!\Not that.\She meant kissing.\O-of course.\I'm home!\How is Chimera?\She's acting the same as earlier. response:	KISSING, HOW BOYS FEEL
context: Ow! Ow! Ow! Don't say it! Don't say it! Don't say it!\Not that.\She meant kissing.\O-of course.\I'm home!\How is Chimera?\She's acting the same as earlier.\KISSING, HOW BOYS FEEL response:	Rikka?
context: Not that.\She meant kissing.\O-of course.\I'm home!\How is Chimera?\She's acting the same as earlier.\KISSING, HOW BOYS FEEL\Rikka? response:	Yes? What?
context: She meant kissing.\O-of course.\I'm home!\How is Chimera?\She's acting the same as earlier.\KISSING, HOW BOYS FEEL\Rikka?\Yes? What? response:	Nothing, just seeing if you were here.
context: O-of course.\I'm home!\How is Chimera?\She's acting the same as earlier.\KISSING, HOW BOYS FEEL\Rikka?\Yes? What?\Nothing, just seeing if you were here. response:	You didn't have to come along, Togashi.
context: I'm home!\How is Chimera?\She's acting the same as earlier.\KISSING, HOW BOYS FEEL\Rikka?\Yes? What?\Nothing, just seeing if you were here.\You didn't have to come along, Togashi. response:	How come?
context: How is Chimera?\She's acting the same as earlier.\KISSING, HOW BOYS FEEL\Rikka?\Yes? What?\Nothing, just seeing if you were here.\You didn't have to come along, Togashi.\How come? response:	Because we have girl talk to do.
context: She's acting the same as earlier.\KISSING, HOW BOYS FEEL\Rikka?\Yes? What?\Nothing, just seeing if you were here.\You didn't have to come along, Togashi.\How come?\Because we have girl talk to do. response:	Isn't that right, Takanashi?
context: KISSING, HOW BOYS FEEL\Rikka?\Yes? What?\Nothing, just seeing if you were here.\You didn't have to come along, Togashi.\How come?\Because we have girl talk to do.\Isn't that right, Takanashi? response:	Yes.
