context: Closed today for my daughter's culture fair -Kokageya response:	It's raining.
context: The artwork's done!!\It's a true masterpiece!!\Gonna crash in the art room, so wake me up when you get to school!\Tai-kun? It starts at one, right?\You don't have to come.\Mom wants me to take pictures and send them to her.\This waterproof case was a smart idea.\This is a little embarrassing. response:	Don't be so spoiled. You don't know if anybody else will show.
context: It's a true masterpiece!!\Gonna crash in the art room, so wake me up when you get to school!\Tai-kun? It starts at one, right?\You don't have to come.\Mom wants me to take pictures and send them to her.\This waterproof case was a smart idea.\This is a little embarrassing.\Don't be so spoiled. You don't know if anybody else will show. response:	Yeah. Well, I guess Konatsu might like it.
context: Gonna crash in the art room, so wake me up when you get to school!\Tai-kun? It starts at one, right?\You don't have to come.\Mom wants me to take pictures and send them to her.\This waterproof case was a smart idea.\This is a little embarrassing.\Don't be so spoiled. You don't know if anybody else will show.\Yeah. Well, I guess Konatsu might like it. response:	Sis?
context: Tai-kun? It starts at one, right?\You don't have to come.\Mom wants me to take pictures and send them to her.\This waterproof case was a smart idea.\This is a little embarrassing.\Don't be so spoiled. You don't know if anybody else will show.\Yeah. Well, I guess Konatsu might like it.\Sis? response:	What?
context: You don't have to come.\Mom wants me to take pictures and send them to her.\This waterproof case was a smart idea.\This is a little embarrassing.\Don't be so spoiled. You don't know if anybody else will show.\Yeah. Well, I guess Konatsu might like it.\Sis?\What? response:	You're going to
context: Mom wants me to take pictures and send them to her.\This waterproof case was a smart idea.\This is a little embarrassing.\Don't be so spoiled. You don't know if anybody else will show.\Yeah. Well, I guess Konatsu might like it.\Sis?\What?\You're going to response:	Ugh! You've gotta stop that.
context: This waterproof case was a smart idea.\This is a little embarrassing.\Don't be so spoiled. You don't know if anybody else will show.\Yeah. Well, I guess Konatsu might like it.\Sis?\What?\You're going to\Ugh! You've gotta stop that. response:	Take it off?
context: This is a little embarrassing.\Don't be so spoiled. You don't know if anybody else will show.\Yeah. Well, I guess Konatsu might like it.\Sis?\What?\You're going to\Ugh! You've gotta stop that.\Take it off? response:	You're doing the White Festival even if you're all alone, right?
context: Don't be so spoiled. You don't know if anybody else will show.\Yeah. Well, I guess Konatsu might like it.\Sis?\What?\You're going to\Ugh! You've gotta stop that.\Take it off?\You're doing the White Festival even if you're all alone, right? response:	Of course.
context: Yeah. Well, I guess Konatsu might like it.\Sis?\What?\You're going to\Ugh! You've gotta stop that.\Take it off?\You're doing the White Festival even if you're all alone, right?\Of course. response:	Even if it keeps raining?
context: Sis?\What?\You're going to\Ugh! You've gotta stop that.\Take it off?\You're doing the White Festival even if you're all alone, right?\Of course.\Even if it keeps raining? response:	You bet. We'll be in the gym.
context: What?\You're going to\Ugh! You've gotta stop that.\Take it off?\You're doing the White Festival even if you're all alone, right?\Of course.\Even if it keeps raining?\You bet. We'll be in the gym. response:	You coming?
context: You're going to\Ugh! You've gotta stop that.\Take it off?\You're doing the White Festival even if you're all alone, right?\Of course.\Even if it keeps raining?\You bet. We'll be in the gym.\You coming? response:	No, someone from the newspaper club wanted to go.
context: Ugh! You've gotta stop that.\Take it off?\You're doing the White Festival even if you're all alone, right?\Of course.\Even if it keeps raining?\You bet. We'll be in the gym.\You coming?\No, someone from the newspaper club wanted to go. response:	I have other plans with my friends.
context: Take it off?\You're doing the White Festival even if you're all alone, right?\Of course.\Even if it keeps raining?\You bet. We'll be in the gym.\You coming?\No, someone from the newspaper club wanted to go.\I have other plans with my friends. response:	I see. Then ask him to put us on the front page.
context: You're doing the White Festival even if you're all alone, right?\Of course.\Even if it keeps raining?\You bet. We'll be in the gym.\You coming?\No, someone from the newspaper club wanted to go.\I have other plans with my friends.\I see. Then ask him to put us on the front page. response:	Front page? It's the school paper.
context: Of course.\Even if it keeps raining?\You bet. We'll be in the gym.\You coming?\No, someone from the newspaper club wanted to go.\I have other plans with my friends.\I see. Then ask him to put us on the front page.\Front page? It's the school paper. response:	You're useless.
context: Even if it keeps raining?\You bet. We'll be in the gym.\You coming?\No, someone from the newspaper club wanted to go.\I have other plans with my friends.\I see. Then ask him to put us on the front page.\Front page? It's the school paper.\You're useless. response:	Whatever.
context: You bet. We'll be in the gym.\You coming?\No, someone from the newspaper club wanted to go.\I have other plans with my friends.\I see. Then ask him to put us on the front page.\Front page? It's the school paper.\You're useless.\Whatever. response:	Well, do your best.
context: You coming?\No, someone from the newspaper club wanted to go.\I have other plans with my friends.\I see. Then ask him to put us on the front page.\Front page? It's the school paper.\You're useless.\Whatever.\Well, do your best. response:	I will, thank you.
context: No, someone from the newspaper club wanted to go.\I have other plans with my friends.\I see. Then ask him to put us on the front page.\Front page? It's the school paper.\You're useless.\Whatever.\Well, do your best.\I will, thank you. response:	Entry to school grounds prohibited due to construction
context: I have other plans with my friends.\I see. Then ask him to put us on the front page.\Front page? It's the school paper.\You're useless.\Whatever.\Well, do your best.\I will, thank you.\Entry to school grounds prohibited due to construction response:	Shirohamazaka High School Board
context: I see. Then ask him to put us on the front page.\Front page? It's the school paper.\You're useless.\Whatever.\Well, do your best.\I will, thank you.\Entry to school grounds prohibited due to construction\Shirohamazaka High School Board response:	Final Episode Sunny Days and Crying and Sometimes Singing
context: Front page? It's the school paper.\You're useless.\Whatever.\Well, do your best.\I will, thank you.\Entry to school grounds prohibited due to construction\Shirohamazaka High School Board\Final Episode Sunny Days and Crying and Sometimes Singing response:	I didn't expect them to go that far.
context: You're useless.\Whatever.\Well, do your best.\I will, thank you.\Entry to school grounds prohibited due to construction\Shirohamazaka High School Board\Final Episode Sunny Days and Crying and Sometimes Singing\I didn't expect them to go that far. response:	Bad news. It's the same at the bike lot entrance.
context: Whatever.\Well, do your best.\I will, thank you.\Entry to school grounds prohibited due to construction\Shirohamazaka High School Board\Final Episode Sunny Days and Crying and Sometimes Singing\I didn't expect them to go that far.\Bad news. It's the same at the bike lot entrance. response:	And they have security guards at the parking lot...
context: Well, do your best.\I will, thank you.\Entry to school grounds prohibited due to construction\Shirohamazaka High School Board\Final Episode Sunny Days and Crying and Sometimes Singing\I didn't expect them to go that far.\Bad news. It's the same at the bike lot entrance.\And they have security guards at the parking lot... response:	This would be easy to climb over.
context: I will, thank you.\Entry to school grounds prohibited due to construction\Shirohamazaka High School Board\Final Episode Sunny Days and Crying and Sometimes Singing\I didn't expect them to go that far.\Bad news. It's the same at the bike lot entrance.\And they have security guards at the parking lot...\This would be easy to climb over. response:	But the people coming to see us won't be able to get in.
context: Entry to school grounds prohibited due to construction\Shirohamazaka High School Board\Final Episode Sunny Days and Crying and Sometimes Singing\I didn't expect them to go that far.\Bad news. It's the same at the bike lot entrance.\And they have security guards at the parking lot...\This would be easy to climb over.\But the people coming to see us won't be able to get in. response:	Oh, yeah.
context: Shirohamazaka High School Board\Final Episode Sunny Days and Crying and Sometimes Singing\I didn't expect them to go that far.\Bad news. It's the same at the bike lot entrance.\And they have security guards at the parking lot...\This would be easy to climb over.\But the people coming to see us won't be able to get in.\Oh, yeah. response:	Should we sing here, then?
context: Final Episode Sunny Days and Crying and Sometimes Singing\I didn't expect them to go that far.\Bad news. It's the same at the bike lot entrance.\And they have security guards at the parking lot...\This would be easy to climb over.\But the people coming to see us won't be able to get in.\Oh, yeah.\Should we sing here, then? response:	I have a raincoat, so I'm fine, but...
context: I didn't expect them to go that far.\Bad news. It's the same at the bike lot entrance.\And they have security guards at the parking lot...\This would be easy to climb over.\But the people coming to see us won't be able to get in.\Oh, yeah.\Should we sing here, then?\I have a raincoat, so I'm fine, but... response:	I guess I was a bit naive...
context: Bad news. It's the same at the bike lot entrance.\And they have security guards at the parking lot...\This would be easy to climb over.\But the people coming to see us won't be able to get in.\Oh, yeah.\Should we sing here, then?\I have a raincoat, so I'm fine, but...\I guess I was a bit naive... response:	Hello? Yeah. You woke up?
context: And they have security guards at the parking lot...\This would be easy to climb over.\But the people coming to see us won't be able to get in.\Oh, yeah.\Should we sing here, then?\I have a raincoat, so I'm fine, but...\I guess I was a bit naive...\Hello? Yeah. You woke up? response:	Why don't we at least go in?
context: This would be easy to climb over.\But the people coming to see us won't be able to get in.\Oh, yeah.\Should we sing here, then?\I have a raincoat, so I'm fine, but...\I guess I was a bit naive...\Hello? Yeah. You woke up?\Why don't we at least go in? response:	There's not much time.
context: But the people coming to see us won't be able to get in.\Oh, yeah.\Should we sing here, then?\I have a raincoat, so I'm fine, but...\I guess I was a bit naive...\Hello? Yeah. You woke up?\Why don't we at least go in?\There's not much time. response:	Shall we cut the chain?
context: Oh, yeah.\Should we sing here, then?\I have a raincoat, so I'm fine, but...\I guess I was a bit naive...\Hello? Yeah. You woke up?\Why don't we at least go in?\There's not much time.\Shall we cut the chain? response:	What? All of them?!
context: Should we sing here, then?\I have a raincoat, so I'm fine, but...\I guess I was a bit naive...\Hello? Yeah. You woke up?\Why don't we at least go in?\There's not much time.\Shall we cut the chain?\What? All of them?! response:	Okay, got it.
context: I have a raincoat, so I'm fine, but...\I guess I was a bit naive...\Hello? Yeah. You woke up?\Why don't we at least go in?\There's not much time.\Shall we cut the chain?\What? All of them?!\Okay, got it. response:	Hamada said the doors to the gym are locked.
context: I guess I was a bit naive...\Hello? Yeah. You woke up?\Why don't we at least go in?\There's not much time.\Shall we cut the chain?\What? All of them?!\Okay, got it.\Hamada said the doors to the gym are locked. response:	Shall we be on our way?
context: Hello? Yeah. You woke up?\Why don't we at least go in?\There's not much time.\Shall we cut the chain?\What? All of them?!\Okay, got it.\Hamada said the doors to the gym are locked.\Shall we be on our way? response:	Those pests.
context: Why don't we at least go in?\There's not much time.\Shall we cut the chain?\What? All of them?!\Okay, got it.\Hamada said the doors to the gym are locked.\Shall we be on our way?\Those pests. response:	Be careful, Taichi.
context: There's not much time.\Shall we cut the chain?\What? All of them?!\Okay, got it.\Hamada said the doors to the gym are locked.\Shall we be on our way?\Those pests.\Be careful, Taichi. response:	Yeah.
context: Shall we cut the chain?\What? All of them?!\Okay, got it.\Hamada said the doors to the gym are locked.\Shall we be on our way?\Those pests.\Be careful, Taichi.\Yeah. response:	Ta-da!
context: What? All of them?!\Okay, got it.\Hamada said the doors to the gym are locked.\Shall we be on our way?\Those pests.\Be careful, Taichi.\Yeah.\Ta-da! response:	Think you can climb over it?
context: Okay, got it.\Hamada said the doors to the gym are locked.\Shall we be on our way?\Those pests.\Be careful, Taichi.\Yeah.\Ta-da!\Think you can climb over it? response:	That won't work.
context: Hamada said the doors to the gym are locked.\Shall we be on our way?\Those pests.\Be careful, Taichi.\Yeah.\Ta-da!\Think you can climb over it?\That won't work. response:	What are you doing here?
context: Shall we be on our way?\Those pests.\Be careful, Taichi.\Yeah.\Ta-da!\Think you can climb over it?\That won't work.\What are you doing here? response:	It's Sunday.
context: Those pests.\Be careful, Taichi.\Yeah.\Ta-da!\Think you can climb over it?\That won't work.\What are you doing here?\It's Sunday. response:	We forgot some things in our class room.
context: Be careful, Taichi.\Yeah.\Ta-da!\Think you can climb over it?\That won't work.\What are you doing here?\It's Sunday.\We forgot some things in our class room. response:	My gym clothes.
context: Yeah.\Ta-da!\Think you can climb over it?\That won't work.\What are you doing here?\It's Sunday.\We forgot some things in our class room.\My gym clothes. response:	My recorder.
context: Ta-da!\Think you can climb over it?\That won't work.\What are you doing here?\It's Sunday.\We forgot some things in our class room.\My gym clothes.\My recorder. response:	Exactly. Right?
context: Think you can climb over it?\That won't work.\What are you doing here?\It's Sunday.\We forgot some things in our class room.\My gym clothes.\My recorder.\Exactly. Right? response:	Yes.
context: That won't work.\What are you doing here?\It's Sunday.\We forgot some things in our class room.\My gym clothes.\My recorder.\Exactly. Right?\Yes. response:	You're here for that unauthorized culture fair.
context: What are you doing here?\It's Sunday.\We forgot some things in our class room.\My gym clothes.\My recorder.\Exactly. Right?\Yes.\You're here for that unauthorized culture fair. response:	You're the choir club, correct?
context: It's Sunday.\We forgot some things in our class room.\My gym clothes.\My recorder.\Exactly. Right?\Yes.\You're here for that unauthorized culture fair.\You're the choir club, correct? response:	And sometimes badminton club.
context: We forgot some things in our class room.\My gym clothes.\My recorder.\Exactly. Right?\Yes.\You're here for that unauthorized culture fair.\You're the choir club, correct?\And sometimes badminton club. response:	May we ask who you are?
context: My gym clothes.\My recorder.\Exactly. Right?\Yes.\You're here for that unauthorized culture fair.\You're the choir club, correct?\And sometimes badminton club.\May we ask who you are? response:	I'm the chairman of the school board.
context: My recorder.\Exactly. Right?\Yes.\You're here for that unauthorized culture fair.\You're the choir club, correct?\And sometimes badminton club.\May we ask who you are?\I'm the chairman of the school board. response:	You know you're not allowed here on Sundays.
context: Exactly. Right?\Yes.\You're here for that unauthorized culture fair.\You're the choir club, correct?\And sometimes badminton club.\May we ask who you are?\I'm the chairman of the school board.\You know you're not allowed here on Sundays. response:	Please give us permission, just for today!
context: Yes.\You're here for that unauthorized culture fair.\You're the choir club, correct?\And sometimes badminton club.\May we ask who you are?\I'm the chairman of the school board.\You know you're not allowed here on Sundays.\Please give us permission, just for today! response:	We all prepared for this!
context: You're here for that unauthorized culture fair.\You're the choir club, correct?\And sometimes badminton club.\May we ask who you are?\I'm the chairman of the school board.\You know you're not allowed here on Sundays.\Please give us permission, just for today!\We all prepared for this! response:	You should have gotten my permission
context: You're the choir club, correct?\And sometimes badminton club.\May we ask who you are?\I'm the chairman of the school board.\You know you're not allowed here on Sundays.\Please give us permission, just for today!\We all prepared for this!\You should have gotten my permission response:	before you started preparing.
context: And sometimes badminton club.\May we ask who you are?\I'm the chairman of the school board.\You know you're not allowed here on Sundays.\Please give us permission, just for today!\We all prepared for this!\You should have gotten my permission\before you started preparing. response:	Would you have given it to us if we'd asked?
context: May we ask who you are?\I'm the chairman of the school board.\You know you're not allowed here on Sundays.\Please give us permission, just for today!\We all prepared for this!\You should have gotten my permission\before you started preparing.\Would you have given it to us if we'd asked? response:	I would have considered it.
context: I'm the chairman of the school board.\You know you're not allowed here on Sundays.\Please give us permission, just for today!\We all prepared for this!\You should have gotten my permission\before you started preparing.\Would you have given it to us if we'd asked?\I would have considered it. response:	We'll do it even if you won't accept it.
context: You know you're not allowed here on Sundays.\Please give us permission, just for today!\We all prepared for this!\You should have gotten my permission\before you started preparing.\Would you have given it to us if we'd asked?\I would have considered it.\We'll do it even if you won't accept it. response:	If you do something silly merely to sing,
context: Please give us permission, just for today!\We all prepared for this!\You should have gotten my permission\before you started preparing.\Would you have given it to us if we'd asked?\I would have considered it.\We'll do it even if you won't accept it.\If you do something silly merely to sing, response:	and are penalized for it, won't that affect your futures?
context: We all prepared for this!\You should have gotten my permission\before you started preparing.\Would you have given it to us if we'd asked?\I would have considered it.\We'll do it even if you won't accept it.\If you do something silly merely to sing,\and are penalized for it, won't that affect your futures? response:	That's unfair!
context: You should have gotten my permission\before you started preparing.\Would you have given it to us if we'd asked?\I would have considered it.\We'll do it even if you won't accept it.\If you do something silly merely to sing,\and are penalized for it, won't that affect your futures?\That's unfair! response:	Is that a threat?
context: before you started preparing.\Would you have given it to us if we'd asked?\I would have considered it.\We'll do it even if you won't accept it.\If you do something silly merely to sing,\and are penalized for it, won't that affect your futures?\That's unfair!\Is that a threat? response:	It's education.
context: Would you have given it to us if we'd asked?\I would have considered it.\We'll do it even if you won't accept it.\If you do something silly merely to sing,\and are penalized for it, won't that affect your futures?\That's unfair!\Is that a threat?\It's education. response:	You need to learn how immature and powerless you youngsters are.
context: I would have considered it.\We'll do it even if you won't accept it.\If you do something silly merely to sing,\and are penalized for it, won't that affect your futures?\That's unfair!\Is that a threat?\It's education.\You need to learn how immature and powerless you youngsters are. response:	Hold your culture fair. I will allow it.
context: We'll do it even if you won't accept it.\If you do something silly merely to sing,\and are penalized for it, won't that affect your futures?\That's unfair!\Is that a threat?\It's education.\You need to learn how immature and powerless you youngsters are.\Hold your culture fair. I will allow it. response:	Principal Ikezaki?
context: If you do something silly merely to sing,\and are penalized for it, won't that affect your futures?\That's unfair!\Is that a threat?\It's education.\You need to learn how immature and powerless you youngsters are.\Hold your culture fair. I will allow it.\Principal Ikezaki? response:	I am the principal of this school.
context: and are penalized for it, won't that affect your futures?\That's unfair!\Is that a threat?\It's education.\You need to learn how immature and powerless you youngsters are.\Hold your culture fair. I will allow it.\Principal Ikezaki?\I am the principal of this school. response:	The permission of the chairman is not needed for a culture fair.
context: That's unfair!\Is that a threat?\It's education.\You need to learn how immature and powerless you youngsters are.\Hold your culture fair. I will allow it.\Principal Ikezaki?\I am the principal of this school.\The permission of the chairman is not needed for a culture fair. response:	Also, the chairman does not have
context: Is that a threat?\It's education.\You need to learn how immature and powerless you youngsters are.\Hold your culture fair. I will allow it.\Principal Ikezaki?\I am the principal of this school.\The permission of the chairman is not needed for a culture fair.\Also, the chairman does not have response:	the authority to directly penalize students,
context: It's education.\You need to learn how immature and powerless you youngsters are.\Hold your culture fair. I will allow it.\Principal Ikezaki?\I am the principal of this school.\The permission of the chairman is not needed for a culture fair.\Also, the chairman does not have\the authority to directly penalize students, response:	though he does have the authority to fire me.
context: You need to learn how immature and powerless you youngsters are.\Hold your culture fair. I will allow it.\Principal Ikezaki?\I am the principal of this school.\The permission of the chairman is not needed for a culture fair.\Also, the chairman does not have\the authority to directly penalize students,\though he does have the authority to fire me. response:	I am sorry.
context: Hold your culture fair. I will allow it.\Principal Ikezaki?\I am the principal of this school.\The permission of the chairman is not needed for a culture fair.\Also, the chairman does not have\the authority to directly penalize students,\though he does have the authority to fire me.\I am sorry. response:	Please forgive me for never helping you,
context: Principal Ikezaki?\I am the principal of this school.\The permission of the chairman is not needed for a culture fair.\Also, the chairman does not have\the authority to directly penalize students,\though he does have the authority to fire me.\I am sorry.\Please forgive me for never helping you, response:	despite being your advisor.
context: I am the principal of this school.\The permission of the chairman is not needed for a culture fair.\Also, the chairman does not have\the authority to directly penalize students,\though he does have the authority to fire me.\I am sorry.\Please forgive me for never helping you,\despite being your advisor. response:	What are you talking about?
context: The permission of the chairman is not needed for a culture fair.\Also, the chairman does not have\the authority to directly penalize students,\though he does have the authority to fire me.\I am sorry.\Please forgive me for never helping you,\despite being your advisor.\What are you talking about? response:	This situation arose because your education is subpar!
context: Also, the chairman does not have\the authority to directly penalize students,\though he does have the authority to fire me.\I am sorry.\Please forgive me for never helping you,\despite being your advisor.\What are you talking about?\This situation arose because your education is subpar! response:	You dare speak of education?
context: the authority to directly penalize students,\though he does have the authority to fire me.\I am sorry.\Please forgive me for never helping you,\despite being your advisor.\What are you talking about?\This situation arose because your education is subpar!\You dare speak of education? response:	You know nothing about the weaknesses that people have,
context: though he does have the authority to fire me.\I am sorry.\Please forgive me for never helping you,\despite being your advisor.\What are you talking about?\This situation arose because your education is subpar!\You dare speak of education?\You know nothing about the weaknesses that people have, response:	nor the wonderful songs that soothe them.
context: I am sorry.\Please forgive me for never helping you,\despite being your advisor.\What are you talking about?\This situation arose because your education is subpar!\You dare speak of education?\You know nothing about the weaknesses that people have,\nor the wonderful songs that soothe them. response:	This place might only be an asset to you,
context: Please forgive me for never helping you,\despite being your advisor.\What are you talking about?\This situation arose because your education is subpar!\You dare speak of education?\You know nothing about the weaknesses that people have,\nor the wonderful songs that soothe them.\This place might only be an asset to you, response:	but it means so much more to them!
context: despite being your advisor.\What are you talking about?\This situation arose because your education is subpar!\You dare speak of education?\You know nothing about the weaknesses that people have,\nor the wonderful songs that soothe them.\This place might only be an asset to you,\but it means so much more to them! response:	Why can't you just let them gather and sing?!
context: What are you talking about?\This situation arose because your education is subpar!\You dare speak of education?\You know nothing about the weaknesses that people have,\nor the wonderful songs that soothe them.\This place might only be an asset to you,\but it means so much more to them!\Why can't you just let them gather and sing?! response:	We're human beings!
context: This situation arose because your education is subpar!\You dare speak of education?\You know nothing about the weaknesses that people have,\nor the wonderful songs that soothe them.\This place might only be an asset to you,\but it means so much more to them!\Why can't you just let them gather and sing?!\We're human beings! response:	In times of turmoil, we have to sing!
context: You dare speak of education?\You know nothing about the weaknesses that people have,\nor the wonderful songs that soothe them.\This place might only be an asset to you,\but it means so much more to them!\Why can't you just let them gather and sing?!\We're human beings!\In times of turmoil, we have to sing! response:	Enough!
context: You know nothing about the weaknesses that people have,\nor the wonderful songs that soothe them.\This place might only be an asset to you,\but it means so much more to them!\Why can't you just let them gather and sing?!\We're human beings!\In times of turmoil, we have to sing!\Enough! response:	I'm dismissing you.
context: nor the wonderful songs that soothe them.\This place might only be an asset to you,\but it means so much more to them!\Why can't you just let them gather and sing?!\We're human beings!\In times of turmoil, we have to sing!\Enough!\I'm dismissing you. response:	Don't bother coming in tomorrow.
context: This place might only be an asset to you,\but it means so much more to them!\Why can't you just let them gather and sing?!\We're human beings!\In times of turmoil, we have to sing!\Enough!\I'm dismissing you.\Don't bother coming in tomorrow. response:	They're broken...
context: but it means so much more to them!\Why can't you just let them gather and sing?!\We're human beings!\In times of turmoil, we have to sing!\Enough!\I'm dismissing you.\Don't bother coming in tomorrow.\They're broken... response:	Have people stand at the
context: Why can't you just let them gather and sing?!\We're human beings!\In times of turmoil, we have to sing!\Enough!\I'm dismissing you.\Don't bother coming in tomorrow.\They're broken...\Have people stand at the response:	bottom of the hill to advise that it's cancelled.
context: We're human beings!\In times of turmoil, we have to sing!\Enough!\I'm dismissing you.\Don't bother coming in tomorrow.\They're broken...\Have people stand at the\bottom of the hill to advise that it's cancelled. response:	Yes, sir.
context: In times of turmoil, we have to sing!\Enough!\I'm dismissing you.\Don't bother coming in tomorrow.\They're broken...\Have people stand at the\bottom of the hill to advise that it's cancelled.\Yes, sir. response:	Hang o
context: Enough!\I'm dismissing you.\Don't bother coming in tomorrow.\They're broken...\Have people stand at the\bottom of the hill to advise that it's cancelled.\Yes, sir.\Hang o response:	You caused all this extra work
context: I'm dismissing you.\Don't bother coming in tomorrow.\They're broken...\Have people stand at the\bottom of the hill to advise that it's cancelled.\Yes, sir.\Hang o\You caused all this extra work response:	because of stuff like this!
context: Don't bother coming in tomorrow.\They're broken...\Have people stand at the\bottom of the hill to advise that it's cancelled.\Yes, sir.\Hang o\You caused all this extra work\because of stuff like this! response:	Madam Vice Principal!
context: They're broken...\Have people stand at the\bottom of the hill to advise that it's cancelled.\Yes, sir.\Hang o\You caused all this extra work\because of stuff like this!\Madam Vice Principal! response:	By the time the dismissal procedure is over,
context: Have people stand at the\bottom of the hill to advise that it's cancelled.\Yes, sir.\Hang o\You caused all this extra work\because of stuff like this!\Madam Vice Principal!\By the time the dismissal procedure is over, response:	the culture fair will be long finished.
context: bottom of the hill to advise that it's cancelled.\Yes, sir.\Hang o\You caused all this extra work\because of stuff like this!\Madam Vice Principal!\By the time the dismissal procedure is over,\the culture fair will be long finished. response:	The vocal club and the wind instrument club will be
context: Yes, sir.\Hang o\You caused all this extra work\because of stuff like this!\Madam Vice Principal!\By the time the dismissal procedure is over,\the culture fair will be long finished.\The vocal club and the wind instrument club will be response:	your main pillars of support from the music school.
context: Hang o\You caused all this extra work\because of stuff like this!\Madam Vice Principal!\By the time the dismissal procedure is over,\the culture fair will be long finished.\The vocal club and the wind instrument club will be\your main pillars of support from the music school. response:	This is the sheet music for the chorus and the accompaniment.
context: You caused all this extra work\because of stuff like this!\Madam Vice Principal!\By the time the dismissal procedure is over,\the culture fair will be long finished.\The vocal club and the wind instrument club will be\your main pillars of support from the music school.\This is the sheet music for the chorus and the accompaniment. response:	The vocal club and the wind instrument club have
context: because of stuff like this!\Madam Vice Principal!\By the time the dismissal procedure is over,\the culture fair will be long finished.\The vocal club and the wind instrument club will be\your main pillars of support from the music school.\This is the sheet music for the chorus and the accompaniment.\The vocal club and the wind instrument club have response:	been practicing it recently.
context: Madam Vice Principal!\By the time the dismissal procedure is over,\the culture fair will be long finished.\The vocal club and the wind instrument club will be\your main pillars of support from the music school.\This is the sheet music for the chorus and the accompaniment.\The vocal club and the wind instrument club have\been practicing it recently. response:	Is it all right to use this?
