context: Onode response:	Raku!
context: Her first name?\Oh, yeah.\Actually, the other day we figured we should start calling each other by our first names.\One of her friends mentioned to her how odd it was that we weren't on a first-name basis,\despite how long we've been dating.\Still not used to it, though.\Damn it, I hate having to flaunt my relationship in front of Onodera!\What a dilemma! response:	Shoot... She beat you to it, huh?
context: Oh, yeah.\Actually, the other day we figured we should start calling each other by our first names.\One of her friends mentioned to her how odd it was that we weren't on a first-name basis,\despite how long we've been dating.\Still not used to it, though.\Damn it, I hate having to flaunt my relationship in front of Onodera!\What a dilemma!\Shoot... She beat you to it, huh? response:	That hurt, Ruri-chan!
context: Actually, the other day we figured we should start calling each other by our first names.\One of her friends mentioned to her how odd it was that we weren't on a first-name basis,\despite how long we've been dating.\Still not used to it, though.\Damn it, I hate having to flaunt my relationship in front of Onodera!\What a dilemma!\Shoot... She beat you to it, huh?\That hurt, Ruri-chan! response:	Why don't you just start calling him by his first name, too?
context: One of her friends mentioned to her how odd it was that we weren't on a first-name basis,\despite how long we've been dating.\Still not used to it, though.\Damn it, I hate having to flaunt my relationship in front of Onodera!\What a dilemma!\Shoot... She beat you to it, huh?\That hurt, Ruri-chan!\Why don't you just start calling him by his first name, too? response:	I could never do that!
context: despite how long we've been dating.\Still not used to it, though.\Damn it, I hate having to flaunt my relationship in front of Onodera!\What a dilemma!\Shoot... She beat you to it, huh?\That hurt, Ruri-chan!\Why don't you just start calling him by his first name, too?\I could never do that! response:	Episode 11: Celebration
context: Still not used to it, though.\Damn it, I hate having to flaunt my relationship in front of Onodera!\What a dilemma!\Shoot... She beat you to it, huh?\That hurt, Ruri-chan!\Why don't you just start calling him by his first name, too?\I could never do that!\Episode 11: Celebration response:	Episode 11: Celebration
context: Damn it, I hate having to flaunt my relationship in front of Onodera!\What a dilemma!\Shoot... She beat you to it, huh?\That hurt, Ruri-chan!\Why don't you just start calling him by his first name, too?\I could never do that!\Episode 11: Celebration\Episode 11: Celebration response:	Episode 11: Celebration
context: What a dilemma!\Shoot... She beat you to it, huh?\That hurt, Ruri-chan!\Why don't you just start calling him by his first name, too?\I could never do that!\Episode 11: Celebration\Episode 11: Celebration\Episode 11: Celebration response:	Hey, Ichijou Raku! Have you seen Mistress?
context: Shoot... She beat you to it, huh?\That hurt, Ruri-chan!\Why don't you just start calling him by his first name, too?\I could never do that!\Episode 11: Celebration\Episode 11: Celebration\Episode 11: Celebration\Hey, Ichijou Raku! Have you seen Mistress? response:	Oh, she was on her way to the science prep room.
context: That hurt, Ruri-chan!\Why don't you just start calling him by his first name, too?\I could never do that!\Episode 11: Celebration\Episode 11: Celebration\Episode 11: Celebration\Hey, Ichijou Raku! Have you seen Mistress?\Oh, she was on her way to the science prep room. response:	I see. Well, that's convenient.
context: Why don't you just start calling him by his first name, too?\I could never do that!\Episode 11: Celebration\Episode 11: Celebration\Episode 11: Celebration\Hey, Ichijou Raku! Have you seen Mistress?\Oh, she was on her way to the science prep room.\I see. Well, that's convenient. response:	The truth is, there's something I wanted to talk about, but without letting her know.
context: I could never do that!\Episode 11: Celebration\Episode 11: Celebration\Episode 11: Celebration\Hey, Ichijou Raku! Have you seen Mistress?\Oh, she was on her way to the science prep room.\I see. Well, that's convenient.\The truth is, there's something I wanted to talk about, but without letting her know. response:	Without letting her know?
context: Episode 11: Celebration\Episode 11: Celebration\Episode 11: Celebration\Hey, Ichijou Raku! Have you seen Mistress?\Oh, she was on her way to the science prep room.\I see. Well, that's convenient.\The truth is, there's something I wanted to talk about, but without letting her know.\Without letting her know? response:	Since everybody seems to be present, could you all spare a moment, please?
context: Episode 11: Celebration\Episode 11: Celebration\Hey, Ichijou Raku! Have you seen Mistress?\Oh, she was on her way to the science prep room.\I see. Well, that's convenient.\The truth is, there's something I wanted to talk about, but without letting her know.\Without letting her know?\Since everybody seems to be present, could you all spare a moment, please? response:	But Shuu's not here.
context: Episode 11: Celebration\Hey, Ichijou Raku! Have you seen Mistress?\Oh, she was on her way to the science prep room.\I see. Well, that's convenient.\The truth is, there's something I wanted to talk about, but without letting her know.\Without letting her know?\Since everybody seems to be present, could you all spare a moment, please?\But Shuu's not here. response:	Everybody seems to be present.
context: Hey, Ichijou Raku! Have you seen Mistress?\Oh, she was on her way to the science prep room.\I see. Well, that's convenient.\The truth is, there's something I wanted to talk about, but without letting her know.\Without letting her know?\Since everybody seems to be present, could you all spare a moment, please?\But Shuu's not here.\Everybody seems to be present. response:	Right...
context: Oh, she was on her way to the science prep room.\I see. Well, that's convenient.\The truth is, there's something I wanted to talk about, but without letting her know.\Without letting her know?\Since everybody seems to be present, could you all spare a moment, please?\But Shuu's not here.\Everybody seems to be present.\Right... response:	You see, today is Mistress's birthday.
context: I see. Well, that's convenient.\The truth is, there's something I wanted to talk about, but without letting her know.\Without letting her know?\Since everybody seems to be present, could you all spare a moment, please?\But Shuu's not here.\Everybody seems to be present.\Right...\You see, today is Mistress's birthday. response:	Thus, so that she may enjoy her special day,
context: The truth is, there's something I wanted to talk about, but without letting her know.\Without letting her know?\Since everybody seems to be present, could you all spare a moment, please?\But Shuu's not here.\Everybody seems to be present.\Right...\You see, today is Mistress's birthday.\Thus, so that she may enjoy her special day, response:	I'm currently planning a surprise party for her.
context: Without letting her know?\Since everybody seems to be present, could you all spare a moment, please?\But Shuu's not here.\Everybody seems to be present.\Right...\You see, today is Mistress's birthday.\Thus, so that she may enjoy her special day,\I'm currently planning a surprise party for her. response:	I would very much like to invite you to the party.
context: Since everybody seems to be present, could you all spare a moment, please?\But Shuu's not here.\Everybody seems to be present.\Right...\You see, today is Mistress's birthday.\Thus, so that she may enjoy her special day,\I'm currently planning a surprise party for her.\I would very much like to invite you to the party. response:	If you were to attend, I'm sure that Mistress would be overjoyed.
context: But Shuu's not here.\Everybody seems to be present.\Right...\You see, today is Mistress's birthday.\Thus, so that she may enjoy her special day,\I'm currently planning a surprise party for her.\I would very much like to invite you to the party.\If you were to attend, I'm sure that Mistress would be overjoyed. response:	Really? Of course we'll go!
context: Everybody seems to be present.\Right...\You see, today is Mistress's birthday.\Thus, so that she may enjoy her special day,\I'm currently planning a surprise party for her.\I would very much like to invite you to the party.\If you were to attend, I'm sure that Mistress would be overjoyed.\Really? Of course we'll go! response:	That means we'll have to get her presents and stuff.
context: Right...\You see, today is Mistress's birthday.\Thus, so that she may enjoy her special day,\I'm currently planning a surprise party for her.\I would very much like to invite you to the party.\If you were to attend, I'm sure that Mistress would be overjoyed.\Really? Of course we'll go!\That means we'll have to get her presents and stuff. response:	Well, I suppose if you absolutely insist,
context: You see, today is Mistress's birthday.\Thus, so that she may enjoy her special day,\I'm currently planning a surprise party for her.\I would very much like to invite you to the party.\If you were to attend, I'm sure that Mistress would be overjoyed.\Really? Of course we'll go!\That means we'll have to get her presents and stuff.\Well, I suppose if you absolutely insist, response:	being that you are Mistress's boyfriend and all...
context: Thus, so that she may enjoy her special day,\I'm currently planning a surprise party for her.\I would very much like to invite you to the party.\If you were to attend, I'm sure that Mistress would be overjoyed.\Really? Of course we'll go!\That means we'll have to get her presents and stuff.\Well, I suppose if you absolutely insist,\being that you are Mistress's boyfriend and all... response:	I might be inclined to invite you.
context: I'm currently planning a surprise party for her.\I would very much like to invite you to the party.\If you were to attend, I'm sure that Mistress would be overjoyed.\Really? Of course we'll go!\That means we'll have to get her presents and stuff.\Well, I suppose if you absolutely insist,\being that you are Mistress's boyfriend and all...\I might be inclined to invite you. response:	Well, not that I'd even want to see your ugly mug.
context: I would very much like to invite you to the party.\If you were to attend, I'm sure that Mistress would be overjoyed.\Really? Of course we'll go!\That means we'll have to get her presents and stuff.\Well, I suppose if you absolutely insist,\being that you are Mistress's boyfriend and all...\I might be inclined to invite you.\Well, not that I'd even want to see your ugly mug. response:	What the hell? If I'm that revolting to you, then I won't bother!
context: If you were to attend, I'm sure that Mistress would be overjoyed.\Really? Of course we'll go!\That means we'll have to get her presents and stuff.\Well, I suppose if you absolutely insist,\being that you are Mistress's boyfriend and all...\I might be inclined to invite you.\Well, not that I'd even want to see your ugly mug.\What the hell? If I'm that revolting to you, then I won't bother! response:	It would be awkward, anyway, being the only guy.
context: Really? Of course we'll go!\That means we'll have to get her presents and stuff.\Well, I suppose if you absolutely insist,\being that you are Mistress's boyfriend and all...\I might be inclined to invite you.\Well, not that I'd even want to see your ugly mug.\What the hell? If I'm that revolting to you, then I won't bother!\It would be awkward, anyway, being the only guy. response:	No, come!
context: That means we'll have to get her presents and stuff.\Well, I suppose if you absolutely insist,\being that you are Mistress's boyfriend and all...\I might be inclined to invite you.\Well, not that I'd even want to see your ugly mug.\What the hell? If I'm that revolting to you, then I won't bother!\It would be awkward, anyway, being the only guy.\No, come! response:	Make up your mind.
context: Well, I suppose if you absolutely insist,\being that you are Mistress's boyfriend and all...\I might be inclined to invite you.\Well, not that I'd even want to see your ugly mug.\What the hell? If I'm that revolting to you, then I won't bother!\It would be awkward, anyway, being the only guy.\No, come!\Make up your mind. response:	All right!
context: being that you are Mistress's boyfriend and all...\I might be inclined to invite you.\Well, not that I'd even want to see your ugly mug.\What the hell? If I'm that revolting to you, then I won't bother!\It would be awkward, anyway, being the only guy.\No, come!\Make up your mind.\All right! response:	After school, you two go buy her a present together!
context: I might be inclined to invite you.\Well, not that I'd even want to see your ugly mug.\What the hell? If I'm that revolting to you, then I won't bother!\It would be awkward, anyway, being the only guy.\No, come!\Make up your mind.\All right!\After school, you two go buy her a present together! response:	R-Ruri-chan!
context: Well, not that I'd even want to see your ugly mug.\What the hell? If I'm that revolting to you, then I won't bother!\It would be awkward, anyway, being the only guy.\No, come!\Make up your mind.\All right!\After school, you two go buy her a present together!\R-Ruri-chan! response:	Miyamoto, why aren't you coming?!
context: What the hell? If I'm that revolting to you, then I won't bother!\It would be awkward, anyway, being the only guy.\No, come!\Make up your mind.\All right!\After school, you two go buy her a present together!\R-Ruri-chan!\Miyamoto, why aren't you coming?! response:	Hey, sorry. Actually, I've had a stomachache all day.
context: It would be awkward, anyway, being the only guy.\No, come!\Make up your mind.\All right!\After school, you two go buy her a present together!\R-Ruri-chan!\Miyamoto, why aren't you coming?!\Hey, sorry. Actually, I've had a stomachache all day. response:	What?! You had two Lunch Special A's today!
context: No, come!\Make up your mind.\All right!\After school, you two go buy her a present together!\R-Ruri-chan!\Miyamoto, why aren't you coming?!\Hey, sorry. Actually, I've had a stomachache all day.\What?! You had two Lunch Special A's today! response:	Look, you'll be able to pick out a gift faster if you bounce ideas off each other!
context: Make up your mind.\All right!\After school, you two go buy her a present together!\R-Ruri-chan!\Miyamoto, why aren't you coming?!\Hey, sorry. Actually, I've had a stomachache all day.\What?! You had two Lunch Special A's today!\Look, you'll be able to pick out a gift faster if you bounce ideas off each other! response:	Th-Then Miyamoto, you should
context: All right!\After school, you two go buy her a present together!\R-Ruri-chan!\Miyamoto, why aren't you coming?!\Hey, sorry. Actually, I've had a stomachache all day.\What?! You had two Lunch Special A's today!\Look, you'll be able to pick out a gift faster if you bounce ideas off each other!\Th-Then Miyamoto, you should response:	Forget about me, just go!
context: After school, you two go buy her a present together!\R-Ruri-chan!\Miyamoto, why aren't you coming?!\Hey, sorry. Actually, I've had a stomachache all day.\What?! You had two Lunch Special A's today!\Look, you'll be able to pick out a gift faster if you bounce ideas off each other!\Th-Then Miyamoto, you should\Forget about me, just go! response:	Okay, you two meet up by the cafe at five!
context: R-Ruri-chan!\Miyamoto, why aren't you coming?!\Hey, sorry. Actually, I've had a stomachache all day.\What?! You had two Lunch Special A's today!\Look, you'll be able to pick out a gift faster if you bounce ideas off each other!\Th-Then Miyamoto, you should\Forget about me, just go!\Okay, you two meet up by the cafe at five! response:	And show up in your normal clothes!
context: Miyamoto, why aren't you coming?!\Hey, sorry. Actually, I've had a stomachache all day.\What?! You had two Lunch Special A's today!\Look, you'll be able to pick out a gift faster if you bounce ideas off each other!\Th-Then Miyamoto, you should\Forget about me, just go!\Okay, you two meet up by the cafe at five!\And show up in your normal clothes! response:	You're making us change?!
context: Hey, sorry. Actually, I've had a stomachache all day.\What?! You had two Lunch Special A's today!\Look, you'll be able to pick out a gift faster if you bounce ideas off each other!\Th-Then Miyamoto, you should\Forget about me, just go!\Okay, you two meet up by the cafe at five!\And show up in your normal clothes!\You're making us change?! response:	Even though you're not coming?
context: What?! You had two Lunch Special A's today!\Look, you'll be able to pick out a gift faster if you bounce ideas off each other!\Th-Then Miyamoto, you should\Forget about me, just go!\Okay, you two meet up by the cafe at five!\And show up in your normal clothes!\You're making us change?!\Even though you're not coming? response:	I'm so nervous.
context: Look, you'll be able to pick out a gift faster if you bounce ideas off each other!\Th-Then Miyamoto, you should\Forget about me, just go!\Okay, you two meet up by the cafe at five!\And show up in your normal clothes!\You're making us change?!\Even though you're not coming?\I'm so nervous. response:	Man, I can't believe how bossy Miyamoto always manages to be.
context: Th-Then Miyamoto, you should\Forget about me, just go!\Okay, you two meet up by the cafe at five!\And show up in your normal clothes!\You're making us change?!\Even though you're not coming?\I'm so nervous.\Man, I can't believe how bossy Miyamoto always manages to be. response:	I can never figure out what's going through her mind.
context: Forget about me, just go!\Okay, you two meet up by the cafe at five!\And show up in your normal clothes!\You're making us change?!\Even though you're not coming?\I'm so nervous.\Man, I can't believe how bossy Miyamoto always manages to be.\I can never figure out what's going through her mind. response:	I mean, meeting up with a girl here of all places?
context: Okay, you two meet up by the cafe at five!\And show up in your normal clothes!\You're making us change?!\Even though you're not coming?\I'm so nervous.\Man, I can't believe how bossy Miyamoto always manages to be.\I can never figure out what's going through her mind.\I mean, meeting up with a girl here of all places? response:	That makes it look like we're on a date!
context: And show up in your normal clothes!\You're making us change?!\Even though you're not coming?\I'm so nervous.\Man, I can't believe how bossy Miyamoto always manages to be.\I can never figure out what's going through her mind.\I mean, meeting up with a girl here of all places?\That makes it look like we're on a date! response:	Wait, this is a date? Is it a date?!
context: You're making us change?!\Even though you're not coming?\I'm so nervous.\Man, I can't believe how bossy Miyamoto always manages to be.\I can never figure out what's going through her mind.\I mean, meeting up with a girl here of all places?\That makes it look like we're on a date!\Wait, this is a date? Is it a date?! response:	If this is a date, thenputting aside that fake date
context: Even though you're not coming?\I'm so nervous.\Man, I can't believe how bossy Miyamoto always manages to be.\I can never figure out what's going through her mind.\I mean, meeting up with a girl here of all places?\That makes it look like we're on a date!\Wait, this is a date? Is it a date?!\If this is a date, thenputting aside that fake date response:	that would mean that my first date ever would be with Onodera!
context: I'm so nervous.\Man, I can't believe how bossy Miyamoto always manages to be.\I can never figure out what's going through her mind.\I mean, meeting up with a girl here of all places?\That makes it look like we're on a date!\Wait, this is a date? Is it a date?!\If this is a date, thenputting aside that fake date\that would mean that my first date ever would be with Onodera! response:	No way! Picking out a present together, you can't call that a real date, can you?!
context: Man, I can't believe how bossy Miyamoto always manages to be.\I can never figure out what's going through her mind.\I mean, meeting up with a girl here of all places?\That makes it look like we're on a date!\Wait, this is a date? Is it a date?!\If this is a date, thenputting aside that fake date\that would mean that my first date ever would be with Onodera!\No way! Picking out a present together, you can't call that a real date, can you?! response:	Damn it, I have no clue!
context: I can never figure out what's going through her mind.\I mean, meeting up with a girl here of all places?\That makes it look like we're on a date!\Wait, this is a date? Is it a date?!\If this is a date, thenputting aside that fake date\that would mean that my first date ever would be with Onodera!\No way! Picking out a present together, you can't call that a real date, can you?!\Damn it, I have no clue! response:	But...
context: I mean, meeting up with a girl here of all places?\That makes it look like we're on a date!\Wait, this is a date? Is it a date?!\If this is a date, thenputting aside that fake date\that would mean that my first date ever would be with Onodera!\No way! Picking out a present together, you can't call that a real date, can you?!\Damn it, I have no clue!\But... response:	Onodera's running pretty late.
context: That makes it look like we're on a date!\Wait, this is a date? Is it a date?!\If this is a date, thenputting aside that fake date\that would mean that my first date ever would be with Onodera!\No way! Picking out a present together, you can't call that a real date, can you?!\Damn it, I have no clue!\But...\Onodera's running pretty late. response:	Whoa! Is that Onodera?
context: Wait, this is a date? Is it a date?!\If this is a date, thenputting aside that fake date\that would mean that my first date ever would be with Onodera!\No way! Picking out a present together, you can't call that a real date, can you?!\Damn it, I have no clue!\But...\Onodera's running pretty late.\Whoa! Is that Onodera? response:	Crap. Is she looking for me?
context: If this is a date, thenputting aside that fake date\that would mean that my first date ever would be with Onodera!\No way! Picking out a present together, you can't call that a real date, can you?!\Damn it, I have no clue!\But...\Onodera's running pretty late.\Whoa! Is that Onodera?\Crap. Is she looking for me? response:	Come to think of it, I never said that I'd wait inside.
context: that would mean that my first date ever would be with Onodera!\No way! Picking out a present together, you can't call that a real date, can you?!\Damn it, I have no clue!\But...\Onodera's running pretty late.\Whoa! Is that Onodera?\Crap. Is she looking for me?\Come to think of it, I never said that I'd wait inside. response:	What should I do? Should I call her?
context: No way! Picking out a present together, you can't call that a real date, can you?!\Damn it, I have no clue!\But...\Onodera's running pretty late.\Whoa! Is that Onodera?\Crap. Is she looking for me?\Come to think of it, I never said that I'd wait inside.\What should I do? Should I call her? response:	Oh, did she spot me?
context: Damn it, I have no clue!\But...\Onodera's running pretty late.\Whoa! Is that Onodera?\Crap. Is she looking for me?\Come to think of it, I never said that I'd wait inside.\What should I do? Should I call her?\Oh, did she spot me? response:	A-All right, then, should we get on with figuring out what we're getting for Chitoge-chan?
context: But...\Onodera's running pretty late.\Whoa! Is that Onodera?\Crap. Is she looking for me?\Come to think of it, I never said that I'd wait inside.\What should I do? Should I call her?\Oh, did she spot me?\A-All right, then, should we get on with figuring out what we're getting for Chitoge-chan? response:	I see. So she wants me to act like nothing happened?
context: Onodera's running pretty late.\Whoa! Is that Onodera?\Crap. Is she looking for me?\Come to think of it, I never said that I'd wait inside.\What should I do? Should I call her?\Oh, did she spot me?\A-All right, then, should we get on with figuring out what we're getting for Chitoge-chan?\I see. So she wants me to act like nothing happened? response:	Gotcha!
context: Whoa! Is that Onodera?\Crap. Is she looking for me?\Come to think of it, I never said that I'd wait inside.\What should I do? Should I call her?\Oh, did she spot me?\A-All right, then, should we get on with figuring out what we're getting for Chitoge-chan?\I see. So she wants me to act like nothing happened?\Gotcha! response:	Man, Onodera's so cute!
context: Crap. Is she looking for me?\Come to think of it, I never said that I'd wait inside.\What should I do? Should I call her?\Oh, did she spot me?\A-All right, then, should we get on with figuring out what we're getting for Chitoge-chan?\I see. So she wants me to act like nothing happened?\Gotcha!\Man, Onodera's so cute! response:	I'd like coffee too!
context: Come to think of it, I never said that I'd wait inside.\What should I do? Should I call her?\Oh, did she spot me?\A-All right, then, should we get on with figuring out what we're getting for Chitoge-chan?\I see. So she wants me to act like nothing happened?\Gotcha!\Man, Onodera's so cute!\I'd like coffee too! response:	Very well.
context: What should I do? Should I call her?\Oh, did she spot me?\A-All right, then, should we get on with figuring out what we're getting for Chitoge-chan?\I see. So she wants me to act like nothing happened?\Gotcha!\Man, Onodera's so cute!\I'd like coffee too!\Very well. response:	Doesn't matter how many times I see her, I'll never get over how cute she looks in her normal clothes.
context: Oh, did she spot me?\A-All right, then, should we get on with figuring out what we're getting for Chitoge-chan?\I see. So she wants me to act like nothing happened?\Gotcha!\Man, Onodera's so cute!\I'd like coffee too!\Very well.\Doesn't matter how many times I see her, I'll never get over how cute she looks in her normal clothes. response:	I bet she saw me too!
context: A-All right, then, should we get on with figuring out what we're getting for Chitoge-chan?\I see. So she wants me to act like nothing happened?\Gotcha!\Man, Onodera's so cute!\I'd like coffee too!\Very well.\Doesn't matter how many times I see her, I'll never get over how cute she looks in her normal clothes.\I bet she saw me too! response:	I wonder what we look like to others?
context: I see. So she wants me to act like nothing happened?\Gotcha!\Man, Onodera's so cute!\I'd like coffee too!\Very well.\Doesn't matter how many times I see her, I'll never get over how cute she looks in her normal clothes.\I bet she saw me too!\I wonder what we look like to others? response:	Do they think she's my girlfriend?!
context: Gotcha!\Man, Onodera's so cute!\I'd like coffee too!\Very well.\Doesn't matter how many times I see her, I'll never get over how cute she looks in her normal clothes.\I bet she saw me too!\I wonder what we look like to others?\Do they think she's my girlfriend?! response:	Girlfriend, huh?
context: Man, Onodera's so cute!\I'd like coffee too!\Very well.\Doesn't matter how many times I see her, I'll never get over how cute she looks in her normal clothes.\I bet she saw me too!\I wonder what we look like to others?\Do they think she's my girlfriend?!\Girlfriend, huh? response:	Or are you planning to look for that boy you made that promise with ten years ago?
context: I'd like coffee too!\Very well.\Doesn't matter how many times I see her, I'll never get over how cute she looks in her normal clothes.\I bet she saw me too!\I wonder what we look like to others?\Do they think she's my girlfriend?!\Girlfriend, huh?\Or are you planning to look for that boy you made that promise with ten years ago? response:	Yeah right! As if I could just casually ask her about that!
context: Very well.\Doesn't matter how many times I see her, I'll never get over how cute she looks in her normal clothes.\I bet she saw me too!\I wonder what we look like to others?\Do they think she's my girlfriend?!\Girlfriend, huh?\Or are you planning to look for that boy you made that promise with ten years ago?\Yeah right! As if I could just casually ask her about that! response:	Hey...
context: Doesn't matter how many times I see her, I'll never get over how cute she looks in her normal clothes.\I bet she saw me too!\I wonder what we look like to others?\Do they think she's my girlfriend?!\Girlfriend, huh?\Or are you planning to look for that boy you made that promise with ten years ago?\Yeah right! As if I could just casually ask her about that!\Hey... response:	What do you think she'd really like for her birthday?
context: I bet she saw me too!\I wonder what we look like to others?\Do they think she's my girlfriend?!\Girlfriend, huh?\Or are you planning to look for that boy you made that promise with ten years ago?\Yeah right! As if I could just casually ask her about that!\Hey...\What do you think she'd really like for her birthday? response:	Huh? Well, lemme think...
context: I wonder what we look like to others?\Do they think she's my girlfriend?!\Girlfriend, huh?\Or are you planning to look for that boy you made that promise with ten years ago?\Yeah right! As if I could just casually ask her about that!\Hey...\What do you think she'd really like for her birthday?\Huh? Well, lemme think... response:	Come to think of it, I don't know when Onodera's birthday is.
context: Do they think she's my girlfriend?!\Girlfriend, huh?\Or are you planning to look for that boy you made that promise with ten years ago?\Yeah right! As if I could just casually ask her about that!\Hey...\What do you think she'd really like for her birthday?\Huh? Well, lemme think...\Come to think of it, I don't know when Onodera's birthday is. response:	If it hasn't passed yet, maybe then I could give her something.
context: Girlfriend, huh?\Or are you planning to look for that boy you made that promise with ten years ago?\Yeah right! As if I could just casually ask her about that!\Hey...\What do you think she'd really like for her birthday?\Huh? Well, lemme think...\Come to think of it, I don't know when Onodera's birthday is.\If it hasn't passed yet, maybe then I could give her something. response:	Hey, Ono
context: Or are you planning to look for that boy you made that promise with ten years ago?\Yeah right! As if I could just casually ask her about that!\Hey...\What do you think she'd really like for her birthday?\Huh? Well, lemme think...\Come to think of it, I don't know when Onodera's birthday is.\If it hasn't passed yet, maybe then I could give her something.\Hey, Ono response:	All right! Let's go to all the shops and figure out what we'll get her!
context: Yeah right! As if I could just casually ask her about that!\Hey...\What do you think she'd really like for her birthday?\Huh? Well, lemme think...\Come to think of it, I don't know when Onodera's birthday is.\If it hasn't passed yet, maybe then I could give her something.\Hey, Ono\All right! Let's go to all the shops and figure out what we'll get her! response:	I'm sure that'll be faster.
context: Hey...\What do you think she'd really like for her birthday?\Huh? Well, lemme think...\Come to think of it, I don't know when Onodera's birthday is.\If it hasn't passed yet, maybe then I could give her something.\Hey, Ono\All right! Let's go to all the shops and figure out what we'll get her!\I'm sure that'll be faster. response:	Oh, were you saying something?
context: What do you think she'd really like for her birthday?\Huh? Well, lemme think...\Come to think of it, I don't know when Onodera's birthday is.\If it hasn't passed yet, maybe then I could give her something.\Hey, Ono\All right! Let's go to all the shops and figure out what we'll get her!\I'm sure that'll be faster.\Oh, were you saying something? response:	No, nothing.
context: Huh? Well, lemme think...\Come to think of it, I don't know when Onodera's birthday is.\If it hasn't passed yet, maybe then I could give her something.\Hey, Ono\All right! Let's go to all the shops and figure out what we'll get her!\I'm sure that'll be faster.\Oh, were you saying something?\No, nothing. response:	Oh, whatever. I'll have plenty of time to ask her.
context: Come to think of it, I don't know when Onodera's birthday is.\If it hasn't passed yet, maybe then I could give her something.\Hey, Ono\All right! Let's go to all the shops and figure out what we'll get her!\I'm sure that'll be faster.\Oh, were you saying something?\No, nothing.\Oh, whatever. I'll have plenty of time to ask her. response:	Thank goodness we found something nice!
