context: You're saying, people who drink that liquor become immortally young? response:	Surprised? You see, I'm an immortal.
context: Of course. After all, the world is mine.\Rachel- kun,\would you tell me about that injury to your leg now?\It was...\What?\Are you hurt? If not, we're getting out of here.\That was another act that deviated considerably\from the duties of an information broker, was it not? response:	I know. At first, I was planning to do nothing, keep quiet,
context: Rachel- kun,\would you tell me about that injury to your leg now?\It was...\What?\Are you hurt? If not, we're getting out of here.\That was another act that deviated considerably\from the duties of an information broker, was it not?\I know. At first, I was planning to do nothing, keep quiet, response:	and wait for the storm to pass.
context: would you tell me about that injury to your leg now?\It was...\What?\Are you hurt? If not, we're getting out of here.\That was another act that deviated considerably\from the duties of an information broker, was it not?\I know. At first, I was planning to do nothing, keep quiet,\and wait for the storm to pass. response:	But as I watched what the white group, the black group,
context: It was...\What?\Are you hurt? If not, we're getting out of here.\That was another act that deviated considerably\from the duties of an information broker, was it not?\I know. At first, I was planning to do nothing, keep quiet,\and wait for the storm to pass.\But as I watched what the white group, the black group, response:	and the red monster were doing,
context: What?\Are you hurt? If not, we're getting out of here.\That was another act that deviated considerably\from the duties of an information broker, was it not?\I know. At first, I was planning to do nothing, keep quiet,\and wait for the storm to pass.\But as I watched what the white group, the black group,\and the red monster were doing, response:	I couldn't sit still any longer.
context: Are you hurt? If not, we're getting out of here.\That was another act that deviated considerably\from the duties of an information broker, was it not?\I know. At first, I was planning to do nothing, keep quiet,\and wait for the storm to pass.\But as I watched what the white group, the black group,\and the red monster were doing,\I couldn't sit still any longer. response:	If you go past the dining car, it will be safe for you to climb down.
context: That was another act that deviated considerably\from the duties of an information broker, was it not?\I know. At first, I was planning to do nothing, keep quiet,\and wait for the storm to pass.\But as I watched what the white group, the black group,\and the red monster were doing,\I couldn't sit still any longer.\If you go past the dining car, it will be safe for you to climb down. response:	Be careful. Better to run than to walk, and inadvertently slip.
context: from the duties of an information broker, was it not?\I know. At first, I was planning to do nothing, keep quiet,\and wait for the storm to pass.\But as I watched what the white group, the black group,\and the red monster were doing,\I couldn't sit still any longer.\If you go past the dining car, it will be safe for you to climb down.\Be careful. Better to run than to walk, and inadvertently slip. response:	Right.
context: I know. At first, I was planning to do nothing, keep quiet,\and wait for the storm to pass.\But as I watched what the white group, the black group,\and the red monster were doing,\I couldn't sit still any longer.\If you go past the dining car, it will be safe for you to climb down.\Be careful. Better to run than to walk, and inadvertently slip.\Right. response:	The Beriams fled to the second-class passenger car.
context: and wait for the storm to pass.\But as I watched what the white group, the black group,\and the red monster were doing,\I couldn't sit still any longer.\If you go past the dining car, it will be safe for you to climb down.\Be careful. Better to run than to walk, and inadvertently slip.\Right.\The Beriams fled to the second-class passenger car. response:	It appeared that the delinquents who I saw in the dining car
context: But as I watched what the white group, the black group,\and the red monster were doing,\I couldn't sit still any longer.\If you go past the dining car, it will be safe for you to climb down.\Be careful. Better to run than to walk, and inadvertently slip.\Right.\The Beriams fled to the second-class passenger car.\It appeared that the delinquents who I saw in the dining car response:	were being held hostage as well, so...
context: and the red monster were doing,\I couldn't sit still any longer.\If you go past the dining car, it will be safe for you to climb down.\Be careful. Better to run than to walk, and inadvertently slip.\Right.\The Beriams fled to the second-class passenger car.\It appeared that the delinquents who I saw in the dining car\were being held hostage as well, so... response:	What?
context: I couldn't sit still any longer.\If you go past the dining car, it will be safe for you to climb down.\Be careful. Better to run than to walk, and inadvertently slip.\Right.\The Beriams fled to the second-class passenger car.\It appeared that the delinquents who I saw in the dining car\were being held hostage as well, so...\What? response:	I rescued them.
context: If you go past the dining car, it will be safe for you to climb down.\Be careful. Better to run than to walk, and inadvertently slip.\Right.\The Beriams fled to the second-class passenger car.\It appeared that the delinquents who I saw in the dining car\were being held hostage as well, so...\What?\I rescued them. response:	Thank you very much.
context: Be careful. Better to run than to walk, and inadvertently slip.\Right.\The Beriams fled to the second-class passenger car.\It appeared that the delinquents who I saw in the dining car\were being held hostage as well, so...\What?\I rescued them.\Thank you very much. response:	You guys manage for yourselves from here.
context: Right.\The Beriams fled to the second-class passenger car.\It appeared that the delinquents who I saw in the dining car\were being held hostage as well, so...\What?\I rescued them.\Thank you very much.\You guys manage for yourselves from here. response:	W-Why, you...
context: The Beriams fled to the second-class passenger car.\It appeared that the delinquents who I saw in the dining car\were being held hostage as well, so...\What?\I rescued them.\Thank you very much.\You guys manage for yourselves from here.\W-Why, you... response:	Damn it!
context: It appeared that the delinquents who I saw in the dining car\were being held hostage as well, so...\What?\I rescued them.\Thank you very much.\You guys manage for yourselves from here.\W-Why, you...\Damn it! response:	Why did you go so far?
context: were being held hostage as well, so...\What?\I rescued them.\Thank you very much.\You guys manage for yourselves from here.\W-Why, you...\Damn it!\Why did you go so far? response:	I didn't want the train to be stained with any more blood.
context: What?\I rescued them.\Thank you very much.\You guys manage for yourselves from here.\W-Why, you...\Damn it!\Why did you go so far?\I didn't want the train to be stained with any more blood. response:	My father was a railroad engineer.
context: I rescued them.\Thank you very much.\You guys manage for yourselves from here.\W-Why, you...\Damn it!\Why did you go so far?\I didn't want the train to be stained with any more blood.\My father was a railroad engineer. response:	Because of my father, I became fond of railroads as a youngster,
context: Thank you very much.\You guys manage for yourselves from here.\W-Why, you...\Damn it!\Why did you go so far?\I didn't want the train to be stained with any more blood.\My father was a railroad engineer.\Because of my father, I became fond of railroads as a youngster, response:	and I have a greater attachment for railroads than the normal person.
context: You guys manage for yourselves from here.\W-Why, you...\Damn it!\Why did you go so far?\I didn't want the train to be stained with any more blood.\My father was a railroad engineer.\Because of my father, I became fond of railroads as a youngster,\and I have a greater attachment for railroads than the normal person. response:	Yet you still ride for free?
context: W-Why, you...\Damn it!\Why did you go so far?\I didn't want the train to be stained with any more blood.\My father was a railroad engineer.\Because of my father, I became fond of railroads as a youngster,\and I have a greater attachment for railroads than the normal person.\Yet you still ride for free? response:	Nicholas- kun, Rachel- kun has her own personal reasons.
context: Damn it!\Why did you go so far?\I didn't want the train to be stained with any more blood.\My father was a railroad engineer.\Because of my father, I became fond of railroads as a youngster,\and I have a greater attachment for railroads than the normal person.\Yet you still ride for free?\Nicholas- kun, Rachel- kun has her own personal reasons. response:	Please mind what you say.
context: Why did you go so far?\I didn't want the train to be stained with any more blood.\My father was a railroad engineer.\Because of my father, I became fond of railroads as a youngster,\and I have a greater attachment for railroads than the normal person.\Yet you still ride for free?\Nicholas- kun, Rachel- kun has her own personal reasons.\Please mind what you say. response:	Rachel- kun, please continue.
context: I didn't want the train to be stained with any more blood.\My father was a railroad engineer.\Because of my father, I became fond of railroads as a youngster,\and I have a greater attachment for railroads than the normal person.\Yet you still ride for free?\Nicholas- kun, Rachel- kun has her own personal reasons.\Please mind what you say.\Rachel- kun, please continue. response:	Yes, sir.
context: My father was a railroad engineer.\Because of my father, I became fond of railroads as a youngster,\and I have a greater attachment for railroads than the normal person.\Yet you still ride for free?\Nicholas- kun, Rachel- kun has her own personal reasons.\Please mind what you say.\Rachel- kun, please continue.\Yes, sir. response:	However, there is only one other thing that is worth reporting.
context: Because of my father, I became fond of railroads as a youngster,\and I have a greater attachment for railroads than the normal person.\Yet you still ride for free?\Nicholas- kun, Rachel- kun has her own personal reasons.\Please mind what you say.\Rachel- kun, please continue.\Yes, sir.\However, there is only one other thing that is worth reporting. response:	Damn it!
context: and I have a greater attachment for railroads than the normal person.\Yet you still ride for free?\Nicholas- kun, Rachel- kun has her own personal reasons.\Please mind what you say.\Rachel- kun, please continue.\Yes, sir.\However, there is only one other thing that is worth reporting.\Damn it! response:	Come on out of there, nice and easy, you punks!
context: Yet you still ride for free?\Nicholas- kun, Rachel- kun has her own personal reasons.\Please mind what you say.\Rachel- kun, please continue.\Yes, sir.\However, there is only one other thing that is worth reporting.\Damn it!\Come on out of there, nice and easy, you punks! response:	That came from the first-class car, huh?
context: Nicholas- kun, Rachel- kun has her own personal reasons.\Please mind what you say.\Rachel- kun, please continue.\Yes, sir.\However, there is only one other thing that is worth reporting.\Damn it!\Come on out of there, nice and easy, you punks!\That came from the first-class car, huh? response:	It's Nice! Juan, Youn, take over here.
context: Please mind what you say.\Rachel- kun, please continue.\Yes, sir.\However, there is only one other thing that is worth reporting.\Damn it!\Come on out of there, nice and easy, you punks!\That came from the first-class car, huh?\It's Nice! Juan, Youn, take over here. response:	Donny, you go to the freight hold and find that package.
context: Rachel- kun, please continue.\Yes, sir.\However, there is only one other thing that is worth reporting.\Damn it!\Come on out of there, nice and easy, you punks!\That came from the first-class car, huh?\It's Nice! Juan, Youn, take over here.\Donny, you go to the freight hold and find that package. response:	Uh, are you going alone, Jacuzzi?
context: Yes, sir.\However, there is only one other thing that is worth reporting.\Damn it!\Come on out of there, nice and easy, you punks!\That came from the first-class car, huh?\It's Nice! Juan, Youn, take over here.\Donny, you go to the freight hold and find that package.\Uh, are you going alone, Jacuzzi? response:	Yeah. I promised her that I would come back.
context: However, there is only one other thing that is worth reporting.\Damn it!\Come on out of there, nice and easy, you punks!\That came from the first-class car, huh?\It's Nice! Juan, Youn, take over here.\Donny, you go to the freight hold and find that package.\Uh, are you going alone, Jacuzzi?\Yeah. I promised her that I would come back. response:	If Nice dies, I can't very well return to her, can I?
context: Damn it!\Come on out of there, nice and easy, you punks!\That came from the first-class car, huh?\It's Nice! Juan, Youn, take over here.\Donny, you go to the freight hold and find that package.\Uh, are you going alone, Jacuzzi?\Yeah. I promised her that I would come back.\If Nice dies, I can't very well return to her, can I? response:	So I have to go to her while she's still alive.
context: Come on out of there, nice and easy, you punks!\That came from the first-class car, huh?\It's Nice! Juan, Youn, take over here.\Donny, you go to the freight hold and find that package.\Uh, are you going alone, Jacuzzi?\Yeah. I promised her that I would come back.\If Nice dies, I can't very well return to her, can I?\So I have to go to her while she's still alive. response:	You aren't scared?
context: That came from the first-class car, huh?\It's Nice! Juan, Youn, take over here.\Donny, you go to the freight hold and find that package.\Uh, are you going alone, Jacuzzi?\Yeah. I promised her that I would come back.\If Nice dies, I can't very well return to her, can I?\So I have to go to her while she's still alive.\You aren't scared? response:	Sure I'm scared. I'm so scared, my legs are about to start shaking.
context: It's Nice! Juan, Youn, take over here.\Donny, you go to the freight hold and find that package.\Uh, are you going alone, Jacuzzi?\Yeah. I promised her that I would come back.\If Nice dies, I can't very well return to her, can I?\So I have to go to her while she's still alive.\You aren't scared?\Sure I'm scared. I'm so scared, my legs are about to start shaking. response:	But I've made up my mind. I'm not going to cry now.
context: Donny, you go to the freight hold and find that package.\Uh, are you going alone, Jacuzzi?\Yeah. I promised her that I would come back.\If Nice dies, I can't very well return to her, can I?\So I have to go to her while she's still alive.\You aren't scared?\Sure I'm scared. I'm so scared, my legs are about to start shaking.\But I've made up my mind. I'm not going to cry now. response:	No matter how much it hurts, I'm ready for it.
context: Uh, are you going alone, Jacuzzi?\Yeah. I promised her that I would come back.\If Nice dies, I can't very well return to her, can I?\So I have to go to her while she's still alive.\You aren't scared?\Sure I'm scared. I'm so scared, my legs are about to start shaking.\But I've made up my mind. I'm not going to cry now.\No matter how much it hurts, I'm ready for it. response:	The guys from yesterday...
context: Yeah. I promised her that I would come back.\If Nice dies, I can't very well return to her, can I?\So I have to go to her while she's still alive.\You aren't scared?\Sure I'm scared. I'm so scared, my legs are about to start shaking.\But I've made up my mind. I'm not going to cry now.\No matter how much it hurts, I'm ready for it.\The guys from yesterday... response:	Dallas? What are you doing here?
context: If Nice dies, I can't very well return to her, can I?\So I have to go to her while she's still alive.\You aren't scared?\Sure I'm scared. I'm so scared, my legs are about to start shaking.\But I've made up my mind. I'm not going to cry now.\No matter how much it hurts, I'm ready for it.\The guys from yesterday...\Dallas? What are you doing here? response:	We're through with Master Szilard.
context: So I have to go to her while she's still alive.\You aren't scared?\Sure I'm scared. I'm so scared, my legs are about to start shaking.\But I've made up my mind. I'm not going to cry now.\No matter how much it hurts, I'm ready for it.\The guys from yesterday...\Dallas? What are you doing here?\We're through with Master Szilard. response:	We've lost the thing we were asked to get,
context: You aren't scared?\Sure I'm scared. I'm so scared, my legs are about to start shaking.\But I've made up my mind. I'm not going to cry now.\No matter how much it hurts, I'm ready for it.\The guys from yesterday...\Dallas? What are you doing here?\We're through with Master Szilard.\We've lost the thing we were asked to get, response:	and now that we've gotten these bodies,
context: Sure I'm scared. I'm so scared, my legs are about to start shaking.\But I've made up my mind. I'm not going to cry now.\No matter how much it hurts, I'm ready for it.\The guys from yesterday...\Dallas? What are you doing here?\We're through with Master Szilard.\We've lost the thing we were asked to get,\and now that we've gotten these bodies, response:	it would be a waste not to do as we please with them.
context: But I've made up my mind. I'm not going to cry now.\No matter how much it hurts, I'm ready for it.\The guys from yesterday...\Dallas? What are you doing here?\We're through with Master Szilard.\We've lost the thing we were asked to get,\and now that we've gotten these bodies,\it would be a waste not to do as we please with them. response:	So we're going around and paying our respects to everyone we owe it to.
context: No matter how much it hurts, I'm ready for it.\The guys from yesterday...\Dallas? What are you doing here?\We're through with Master Szilard.\We've lost the thing we were asked to get,\and now that we've gotten these bodies,\it would be a waste not to do as we please with them.\So we're going around and paying our respects to everyone we owe it to. response:	Do you have any last words, kid?
context: The guys from yesterday...\Dallas? What are you doing here?\We're through with Master Szilard.\We've lost the thing we were asked to get,\and now that we've gotten these bodies,\it would be a waste not to do as we please with them.\So we're going around and paying our respects to everyone we owe it to.\Do you have any last words, kid? response:	More importantly, I'm concerned as to how you boys
context: Dallas? What are you doing here?\We're through with Master Szilard.\We've lost the thing we were asked to get,\and now that we've gotten these bodies,\it would be a waste not to do as we please with them.\So we're going around and paying our respects to everyone we owe it to.\Do you have any last words, kid?\More importantly, I'm concerned as to how you boys response:	might have gotten those guns, Dallas- san?
context: We're through with Master Szilard.\We've lost the thing we were asked to get,\and now that we've gotten these bodies,\it would be a waste not to do as we please with them.\So we're going around and paying our respects to everyone we owe it to.\Do you have any last words, kid?\More importantly, I'm concerned as to how you boys\might have gotten those guns, Dallas- san? response:	H-Hey, now, Luck- san, begging your pardon, please...
context: We've lost the thing we were asked to get,\and now that we've gotten these bodies,\it would be a waste not to do as we please with them.\So we're going around and paying our respects to everyone we owe it to.\Do you have any last words, kid?\More importantly, I'm concerned as to how you boys\might have gotten those guns, Dallas- san?\H-Hey, now, Luck- san, begging your pardon, please... response:	Please answer the question.
context: and now that we've gotten these bodies,\it would be a waste not to do as we please with them.\So we're going around and paying our respects to everyone we owe it to.\Do you have any last words, kid?\More importantly, I'm concerned as to how you boys\might have gotten those guns, Dallas- san?\H-Hey, now, Luck- san, begging your pardon, please...\Please answer the question. response:	We discovered that kid Firo over there sneaking these guns around.
context: it would be a waste not to do as we please with them.\So we're going around and paying our respects to everyone we owe it to.\Do you have any last words, kid?\More importantly, I'm concerned as to how you boys\might have gotten those guns, Dallas- san?\H-Hey, now, Luck- san, begging your pardon, please...\Please answer the question.\We discovered that kid Firo over there sneaking these guns around. response:	We were keeping watch on the brat earlier, to take him by surprise,
context: So we're going around and paying our respects to everyone we owe it to.\Do you have any last words, kid?\More importantly, I'm concerned as to how you boys\might have gotten those guns, Dallas- san?\H-Hey, now, Luck- san, begging your pardon, please...\Please answer the question.\We discovered that kid Firo over there sneaking these guns around.\We were keeping watch on the brat earlier, to take him by surprise, response:	when we saw him heading toward your hideout with some pals,
context: Do you have any last words, kid?\More importantly, I'm concerned as to how you boys\might have gotten those guns, Dallas- san?\H-Hey, now, Luck- san, begging your pardon, please...\Please answer the question.\We discovered that kid Firo over there sneaking these guns around.\We were keeping watch on the brat earlier, to take him by surprise,\when we saw him heading toward your hideout with some pals, response:	carrying machine guns, don't you know!
context: More importantly, I'm concerned as to how you boys\might have gotten those guns, Dallas- san?\H-Hey, now, Luck- san, begging your pardon, please...\Please answer the question.\We discovered that kid Firo over there sneaking these guns around.\We were keeping watch on the brat earlier, to take him by surprise,\when we saw him heading toward your hideout with some pals,\carrying machine guns, don't you know! response:	We followed after them, when we heard all this gunfire inside-
context: might have gotten those guns, Dallas- san?\H-Hey, now, Luck- san, begging your pardon, please...\Please answer the question.\We discovered that kid Firo over there sneaking these guns around.\We were keeping watch on the brat earlier, to take him by surprise,\when we saw him heading toward your hideout with some pals,\carrying machine guns, don't you know!\We followed after them, when we heard all this gunfire inside- response:	Firo has been with us this whole time.
context: H-Hey, now, Luck- san, begging your pardon, please...\Please answer the question.\We discovered that kid Firo over there sneaking these guns around.\We were keeping watch on the brat earlier, to take him by surprise,\when we saw him heading toward your hideout with some pals,\carrying machine guns, don't you know!\We followed after them, when we heard all this gunfire inside-\Firo has been with us this whole time. response:	Huh?
context: Please answer the question.\We discovered that kid Firo over there sneaking these guns around.\We were keeping watch on the brat earlier, to take him by surprise,\when we saw him heading toward your hideout with some pals,\carrying machine guns, don't you know!\We followed after them, when we heard all this gunfire inside-\Firo has been with us this whole time.\Huh? response:	It looks like you weren't aware that we and the Martillos are on friendly terms,
context: We discovered that kid Firo over there sneaking these guns around.\We were keeping watch on the brat earlier, to take him by surprise,\when we saw him heading toward your hideout with some pals,\carrying machine guns, don't you know!\We followed after them, when we heard all this gunfire inside-\Firo has been with us this whole time.\Huh?\It looks like you weren't aware that we and the Martillos are on friendly terms, response:	and that we and Firo have been friends since childhood.
context: We were keeping watch on the brat earlier, to take him by surprise,\when we saw him heading toward your hideout with some pals,\carrying machine guns, don't you know!\We followed after them, when we heard all this gunfire inside-\Firo has been with us this whole time.\Huh?\It looks like you weren't aware that we and the Martillos are on friendly terms,\and that we and Firo have been friends since childhood. response:	On the other hand, you do seem to be well aware
context: when we saw him heading toward your hideout with some pals,\carrying machine guns, don't you know!\We followed after them, when we heard all this gunfire inside-\Firo has been with us this whole time.\Huh?\It looks like you weren't aware that we and the Martillos are on friendly terms,\and that we and Firo have been friends since childhood.\On the other hand, you do seem to be well aware response:	that our office had been attacked.
context: carrying machine guns, don't you know!\We followed after them, when we heard all this gunfire inside-\Firo has been with us this whole time.\Huh?\It looks like you weren't aware that we and the Martillos are on friendly terms,\and that we and Firo have been friends since childhood.\On the other hand, you do seem to be well aware\that our office had been attacked. response:	You also know what happened to the folks that were there,
context: We followed after them, when we heard all this gunfire inside-\Firo has been with us this whole time.\Huh?\It looks like you weren't aware that we and the Martillos are on friendly terms,\and that we and Firo have been friends since childhood.\On the other hand, you do seem to be well aware\that our office had been attacked.\You also know what happened to the folks that were there, response:	watching the place, don't you?
context: Firo has been with us this whole time.\Huh?\It looks like you weren't aware that we and the Martillos are on friendly terms,\and that we and Firo have been friends since childhood.\On the other hand, you do seem to be well aware\that our office had been attacked.\You also know what happened to the folks that were there,\watching the place, don't you? response:	W-Well, I...
context: Huh?\It looks like you weren't aware that we and the Martillos are on friendly terms,\and that we and Firo have been friends since childhood.\On the other hand, you do seem to be well aware\that our office had been attacked.\You also know what happened to the folks that were there,\watching the place, don't you?\W-Well, I... response:	Apparently, there was also a gentleman that witnessed you leaving our office.
context: It looks like you weren't aware that we and the Martillos are on friendly terms,\and that we and Firo have been friends since childhood.\On the other hand, you do seem to be well aware\that our office had been attacked.\You also know what happened to the folks that were there,\watching the place, don't you?\W-Well, I...\Apparently, there was also a gentleman that witnessed you leaving our office. response:	This didn't come together randomly. It was deliberate.
context: and that we and Firo have been friends since childhood.\On the other hand, you do seem to be well aware\that our office had been attacked.\You also know what happened to the folks that were there,\watching the place, don't you?\W-Well, I...\Apparently, there was also a gentleman that witnessed you leaving our office.\This didn't come together randomly. It was deliberate. response:	Now Mike and the others can rest in peace.
context: On the other hand, you do seem to be well aware\that our office had been attacked.\You also know what happened to the folks that were there,\watching the place, don't you?\W-Well, I...\Apparently, there was also a gentleman that witnessed you leaving our office.\This didn't come together randomly. It was deliberate.\Now Mike and the others can rest in peace. response:	You saved us.
context: that our office had been attacked.\You also know what happened to the folks that were there,\watching the place, don't you?\W-Well, I...\Apparently, there was also a gentleman that witnessed you leaving our office.\This didn't come together randomly. It was deliberate.\Now Mike and the others can rest in peace.\You saved us. response:	Everyone downstairs is safe. What happened here, Firo?
context: You also know what happened to the folks that were there,\watching the place, don't you?\W-Well, I...\Apparently, there was also a gentleman that witnessed you leaving our office.\This didn't come together randomly. It was deliberate.\Now Mike and the others can rest in peace.\You saved us.\Everyone downstairs is safe. What happened here, Firo? response:	I'll explain later. I have to help Maiza- san.
context: watching the place, don't you?\W-Well, I...\Apparently, there was also a gentleman that witnessed you leaving our office.\This didn't come together randomly. It was deliberate.\Now Mike and the others can rest in peace.\You saved us.\Everyone downstairs is safe. What happened here, Firo?\I'll explain later. I have to help Maiza- san. response:	Hey, what do we do with their bodies?
context: W-Well, I...\Apparently, there was also a gentleman that witnessed you leaving our office.\This didn't come together randomly. It was deliberate.\Now Mike and the others can rest in peace.\You saved us.\Everyone downstairs is safe. What happened here, Firo?\I'll explain later. I have to help Maiza- san.\Hey, what do we do with their bodies? response:	They have machine guns, so we might be able to claim self-defense.
context: Apparently, there was also a gentleman that witnessed you leaving our office.\This didn't come together randomly. It was deliberate.\Now Mike and the others can rest in peace.\You saved us.\Everyone downstairs is safe. What happened here, Firo?\I'll explain later. I have to help Maiza- san.\Hey, what do we do with their bodies?\They have machine guns, so we might be able to claim self-defense. response:	Just a minute, please!
context: This didn't come together randomly. It was deliberate.\Now Mike and the others can rest in peace.\You saved us.\Everyone downstairs is safe. What happened here, Firo?\I'll explain later. I have to help Maiza- san.\Hey, what do we do with their bodies?\They have machine guns, so we might be able to claim self-defense.\Just a minute, please! response:	These guys are immortals! Please, tie them up at once!
context: Now Mike and the others can rest in peace.\You saved us.\Everyone downstairs is safe. What happened here, Firo?\I'll explain later. I have to help Maiza- san.\Hey, what do we do with their bodies?\They have machine guns, so we might be able to claim self-defense.\Just a minute, please!\These guys are immortals! Please, tie them up at once! response:	What?!
context: You saved us.\Everyone downstairs is safe. What happened here, Firo?\I'll explain later. I have to help Maiza- san.\Hey, what do we do with their bodies?\They have machine guns, so we might be able to claim self-defense.\Just a minute, please!\These guys are immortals! Please, tie them up at once!\What?! response:	Huh? What are you talking about, miss?
context: Everyone downstairs is safe. What happened here, Firo?\I'll explain later. I have to help Maiza- san.\Hey, what do we do with their bodies?\They have machine guns, so we might be able to claim self-defense.\Just a minute, please!\These guys are immortals! Please, tie them up at once!\What?!\Huh? What are you talking about, miss? response:	What did you say... they are?
context: I'll explain later. I have to help Maiza- san.\Hey, what do we do with their bodies?\They have machine guns, so we might be able to claim self-defense.\Just a minute, please!\These guys are immortals! Please, tie them up at once!\What?!\Huh? What are you talking about, miss?\What did you say... they are? response:	Who did you give it to?
context: Hey, what do we do with their bodies?\They have machine guns, so we might be able to claim self-defense.\Just a minute, please!\These guys are immortals! Please, tie them up at once!\What?!\Huh? What are you talking about, miss?\What did you say... they are?\Who did you give it to? response:	Hmph, all I need to do is devour you.
context: They have machine guns, so we might be able to claim self-defense.\Just a minute, please!\These guys are immortals! Please, tie them up at once!\What?!\Huh? What are you talking about, miss?\What did you say... they are?\Who did you give it to?\Hmph, all I need to do is devour you. response:	You won't get away!
context: Just a minute, please!\These guys are immortals! Please, tie them up at once!\What?!\Huh? What are you talking about, miss?\What did you say... they are?\Who did you give it to?\Hmph, all I need to do is devour you.\You won't get away! response:	This world is mine.
context: These guys are immortals! Please, tie them up at once!\What?!\Huh? What are you talking about, miss?\What did you say... they are?\Who did you give it to?\Hmph, all I need to do is devour you.\You won't get away!\This world is mine. response:	I even think that this world could be something within a long, long dream that I'm having.
context: What?!\Huh? What are you talking about, miss?\What did you say... they are?\Who did you give it to?\Hmph, all I need to do is devour you.\You won't get away!\This world is mine.\I even think that this world could be something within a long, long dream that I'm having. response:	It could be that you are just some sort of phantasms.
context: Huh? What are you talking about, miss?\What did you say... they are?\Who did you give it to?\Hmph, all I need to do is devour you.\You won't get away!\This world is mine.\I even think that this world could be something within a long, long dream that I'm having.\It could be that you are just some sort of phantasms. response:	I can't even prove whether or not you really exist.
context: What did you say... they are?\Who did you give it to?\Hmph, all I need to do is devour you.\You won't get away!\This world is mine.\I even think that this world could be something within a long, long dream that I'm having.\It could be that you are just some sort of phantasms.\I can't even prove whether or not you really exist. response:	In other words, this world is a creation with me at its center.
context: Who did you give it to?\Hmph, all I need to do is devour you.\You won't get away!\This world is mine.\I even think that this world could be something within a long, long dream that I'm having.\It could be that you are just some sort of phantasms.\I can't even prove whether or not you really exist.\In other words, this world is a creation with me at its center. response:	So if I die, there's no telling... what will happen to it.
context: Hmph, all I need to do is devour you.\You won't get away!\This world is mine.\I even think that this world could be something within a long, long dream that I'm having.\It could be that you are just some sort of phantasms.\I can't even prove whether or not you really exist.\In other words, this world is a creation with me at its center.\So if I die, there's no telling... what will happen to it. response:	I have a rather poor imagination,
context: You won't get away!\This world is mine.\I even think that this world could be something within a long, long dream that I'm having.\It could be that you are just some sort of phantasms.\I can't even prove whether or not you really exist.\In other words, this world is a creation with me at its center.\So if I die, there's no telling... what will happen to it.\I have a rather poor imagination, response:	so I can't imagine what it would be like if I were gone.
context: This world is mine.\I even think that this world could be something within a long, long dream that I'm having.\It could be that you are just some sort of phantasms.\I can't even prove whether or not you really exist.\In other words, this world is a creation with me at its center.\So if I die, there's no telling... what will happen to it.\I have a rather poor imagination,\so I can't imagine what it would be like if I were gone. response:	So you see, what I'm saying is...
context: I even think that this world could be something within a long, long dream that I'm having.\It could be that you are just some sort of phantasms.\I can't even prove whether or not you really exist.\In other words, this world is a creation with me at its center.\So if I die, there's no telling... what will happen to it.\I have a rather poor imagination,\so I can't imagine what it would be like if I were gone.\So you see, what I'm saying is... response:	It's not possible that this world would completely go away.
context: It could be that you are just some sort of phantasms.\I can't even prove whether or not you really exist.\In other words, this world is a creation with me at its center.\So if I die, there's no telling... what will happen to it.\I have a rather poor imagination,\so I can't imagine what it would be like if I were gone.\So you see, what I'm saying is...\It's not possible that this world would completely go away. response:	But everyone else but me would disappear if I died.
