context: Once upon a time, there was a princess raised by loving parents. response:	One day, the princess snuck past the guard at the gate and slipped out of the castle for the very first time.
context: In that kingdom, the inside of the castle was the entire world.\Crown of Stone\Fakir cast aside his sword and found something only he could do.\I want to protect him.\Because he wants to help Mytho.\Protect the pure-hearted Mytho, who's always risking himself.\Without ever giving up, no matter how much he's hurt...\Overcoming the painful memories he wants to forget... response:	Fakir is strong.
context: Crown of Stone\Fakir cast aside his sword and found something only he could do.\I want to protect him.\Because he wants to help Mytho.\Protect the pure-hearted Mytho, who's always risking himself.\Without ever giving up, no matter how much he's hurt...\Overcoming the painful memories he wants to forget...\Fakir is strong. response:	Even if he's not carrying a sword, Fakir is Mytho's knight.
context: Fakir cast aside his sword and found something only he could do.\I want to protect him.\Because he wants to help Mytho.\Protect the pure-hearted Mytho, who's always risking himself.\Without ever giving up, no matter how much he's hurt...\Overcoming the painful memories he wants to forget...\Fakir is strong.\Even if he's not carrying a sword, Fakir is Mytho's knight. response:	What's Fakir doing zura?
context: I want to protect him.\Because he wants to help Mytho.\Protect the pure-hearted Mytho, who's always risking himself.\Without ever giving up, no matter how much he's hurt...\Overcoming the painful memories he wants to forget...\Fakir is strong.\Even if he's not carrying a sword, Fakir is Mytho's knight.\What's Fakir doing zura? response:	He's talking to the oak tree.
context: Because he wants to help Mytho.\Protect the pure-hearted Mytho, who's always risking himself.\Without ever giving up, no matter how much he's hurt...\Overcoming the painful memories he wants to forget...\Fakir is strong.\Even if he's not carrying a sword, Fakir is Mytho's knight.\What's Fakir doing zura?\He's talking to the oak tree. response:	So he can write a story that protects the person who's important to him.
context: Protect the pure-hearted Mytho, who's always risking himself.\Without ever giving up, no matter how much he's hurt...\Overcoming the painful memories he wants to forget...\Fakir is strong.\Even if he's not carrying a sword, Fakir is Mytho's knight.\What's Fakir doing zura?\He's talking to the oak tree.\So he can write a story that protects the person who's important to him. response:	Maybe Fakir really can protect Mytho all by himself.
context: Without ever giving up, no matter how much he's hurt...\Overcoming the painful memories he wants to forget...\Fakir is strong.\Even if he's not carrying a sword, Fakir is Mytho's knight.\What's Fakir doing zura?\He's talking to the oak tree.\So he can write a story that protects the person who's important to him.\Maybe Fakir really can protect Mytho all by himself. response:	Can you really say you love me?!
context: Overcoming the painful memories he wants to forget...\Fakir is strong.\Even if he's not carrying a sword, Fakir is Mytho's knight.\What's Fakir doing zura?\He's talking to the oak tree.\So he can write a story that protects the person who's important to him.\Maybe Fakir really can protect Mytho all by himself.\Can you really say you love me?! response:	Rue-chan!
context: Fakir is strong.\Even if he's not carrying a sword, Fakir is Mytho's knight.\What's Fakir doing zura?\He's talking to the oak tree.\So he can write a story that protects the person who's important to him.\Maybe Fakir really can protect Mytho all by himself.\Can you really say you love me?!\Rue-chan! response:	Is Mytho's heart getting dyed more and more by the raven's blood?
context: Even if he's not carrying a sword, Fakir is Mytho's knight.\What's Fakir doing zura?\He's talking to the oak tree.\So he can write a story that protects the person who's important to him.\Maybe Fakir really can protect Mytho all by himself.\Can you really say you love me?!\Rue-chan!\Is Mytho's heart getting dyed more and more by the raven's blood? response:	And that's why he was so mean, even to Rue-chan?
context: What's Fakir doing zura?\He's talking to the oak tree.\So he can write a story that protects the person who's important to him.\Maybe Fakir really can protect Mytho all by himself.\Can you really say you love me?!\Rue-chan!\Is Mytho's heart getting dyed more and more by the raven's blood?\And that's why he was so mean, even to Rue-chan? response:	Rue-chan...
context: He's talking to the oak tree.\So he can write a story that protects the person who's important to him.\Maybe Fakir really can protect Mytho all by himself.\Can you really say you love me?!\Rue-chan!\Is Mytho's heart getting dyed more and more by the raven's blood?\And that's why he was so mean, even to Rue-chan?\Rue-chan... response:	I'm kind of worried about her.
context: So he can write a story that protects the person who's important to him.\Maybe Fakir really can protect Mytho all by himself.\Can you really say you love me?!\Rue-chan!\Is Mytho's heart getting dyed more and more by the raven's blood?\And that's why he was so mean, even to Rue-chan?\Rue-chan...\I'm kind of worried about her. response:	I can't do anything, though...
context: Maybe Fakir really can protect Mytho all by himself.\Can you really say you love me?!\Rue-chan!\Is Mytho's heart getting dyed more and more by the raven's blood?\And that's why he was so mean, even to Rue-chan?\Rue-chan...\I'm kind of worried about her.\I can't do anything, though... response:	Ahiru.
context: Can you really say you love me?!\Rue-chan!\Is Mytho's heart getting dyed more and more by the raven's blood?\And that's why he was so mean, even to Rue-chan?\Rue-chan...\I'm kind of worried about her.\I can't do anything, though...\Ahiru. response:	Are you okay zura?
context: Rue-chan!\Is Mytho's heart getting dyed more and more by the raven's blood?\And that's why he was so mean, even to Rue-chan?\Rue-chan...\I'm kind of worried about her.\I can't do anything, though...\Ahiru.\Are you okay zura? response:	Huh?
context: Is Mytho's heart getting dyed more and more by the raven's blood?\And that's why he was so mean, even to Rue-chan?\Rue-chan...\I'm kind of worried about her.\I can't do anything, though...\Ahiru.\Are you okay zura?\Huh? response:	Are you worrying about me?
context: And that's why he was so mean, even to Rue-chan?\Rue-chan...\I'm kind of worried about her.\I can't do anything, though...\Ahiru.\Are you okay zura?\Huh?\Are you worrying about me? response:	Thanks! But I'm okay.
context: Rue-chan...\I'm kind of worried about her.\I can't do anything, though...\Ahiru.\Are you okay zura?\Huh?\Are you worrying about me?\Thanks! But I'm okay. response:	Oh, good zura.
context: I'm kind of worried about her.\I can't do anything, though...\Ahiru.\Are you okay zura?\Huh?\Are you worrying about me?\Thanks! But I'm okay.\Oh, good zura. response:	I thought maybe the teacher would get mad at you zura.
context: I can't do anything, though...\Ahiru.\Are you okay zura?\Huh?\Are you worrying about me?\Thanks! But I'm okay.\Oh, good zura.\I thought maybe the teacher would get mad at you zura. response:	What?
context: Ahiru.\Are you okay zura?\Huh?\Are you worrying about me?\Thanks! But I'm okay.\Oh, good zura.\I thought maybe the teacher would get mad at you zura.\What? response:	You're skipping school along with Fakir zura!
context: Are you okay zura?\Huh?\Are you worrying about me?\Thanks! But I'm okay.\Oh, good zura.\I thought maybe the teacher would get mad at you zura.\What?\You're skipping school along with Fakir zura! response:	Huh?
context: Huh?\Are you worrying about me?\Thanks! But I'm okay.\Oh, good zura.\I thought maybe the teacher would get mad at you zura.\What?\You're skipping school along with Fakir zura!\Huh? response:	Oh no, and I just came here thinking I'd check on Fakir on my way to school!
context: Are you worrying about me?\Thanks! But I'm okay.\Oh, good zura.\I thought maybe the teacher would get mad at you zura.\What?\You're skipping school along with Fakir zura!\Huh?\Oh no, and I just came here thinking I'd check on Fakir on my way to school! response:	But it's this late already...
context: Thanks! But I'm okay.\Oh, good zura.\I thought maybe the teacher would get mad at you zura.\What?\You're skipping school along with Fakir zura!\Huh?\Oh no, and I just came here thinking I'd check on Fakir on my way to school!\But it's this late already... response:	Um, I'm sorry! Come on, Uzura-chan, let's go!
context: Oh, good zura.\I thought maybe the teacher would get mad at you zura.\What?\You're skipping school along with Fakir zura!\Huh?\Oh no, and I just came here thinking I'd check on Fakir on my way to school!\But it's this late already...\Um, I'm sorry! Come on, Uzura-chan, let's go! response:	Okay, Uzura-chan, see you later!
context: I thought maybe the teacher would get mad at you zura.\What?\You're skipping school along with Fakir zura!\Huh?\Oh no, and I just came here thinking I'd check on Fakir on my way to school!\But it's this late already...\Um, I'm sorry! Come on, Uzura-chan, let's go!\Okay, Uzura-chan, see you later! response:	What?!
context: What?\You're skipping school along with Fakir zura!\Huh?\Oh no, and I just came here thinking I'd check on Fakir on my way to school!\But it's this late already...\Um, I'm sorry! Come on, Uzura-chan, let's go!\Okay, Uzura-chan, see you later!\What?! response:	Rue-chan... Why?!
context: You're skipping school along with Fakir zura!\Huh?\Oh no, and I just came here thinking I'd check on Fakir on my way to school!\But it's this late already...\Um, I'm sorry! Come on, Uzura-chan, let's go!\Okay, Uzura-chan, see you later!\What?!\Rue-chan... Why?! response:	Rue-chan?
context: Huh?\Oh no, and I just came here thinking I'd check on Fakir on my way to school!\But it's this late already...\Um, I'm sorry! Come on, Uzura-chan, let's go!\Okay, Uzura-chan, see you later!\What?!\Rue-chan... Why?!\Rue-chan? response:	Whoa...
context: Oh no, and I just came here thinking I'd check on Fakir on my way to school!\But it's this late already...\Um, I'm sorry! Come on, Uzura-chan, let's go!\Okay, Uzura-chan, see you later!\What?!\Rue-chan... Why?!\Rue-chan?\Whoa... response:	It's open!
context: But it's this late already...\Um, I'm sorry! Come on, Uzura-chan, let's go!\Okay, Uzura-chan, see you later!\What?!\Rue-chan... Why?!\Rue-chan?\Whoa...\It's open! response:	Rue-chan!
context: Um, I'm sorry! Come on, Uzura-chan, let's go!\Okay, Uzura-chan, see you later!\What?!\Rue-chan... Why?!\Rue-chan?\Whoa...\It's open!\Rue-chan! response:	Tutu...
context: Okay, Uzura-chan, see you later!\What?!\Rue-chan... Why?!\Rue-chan?\Whoa...\It's open!\Rue-chan!\Tutu... response:	Were you crying?
context: What?!\Rue-chan... Why?!\Rue-chan?\Whoa...\It's open!\Rue-chan!\Tutu...\Were you crying? response:	Of course not. What are you doing here?
context: Rue-chan... Why?!\Rue-chan?\Whoa...\It's open!\Rue-chan!\Tutu...\Were you crying?\Of course not. What are you doing here? response:	What am I... Well, it seemed like you were acting a little strange, well, I mean, this is dangerous...
context: Rue-chan?\Whoa...\It's open!\Rue-chan!\Tutu...\Were you crying?\Of course not. What are you doing here?\What am I... Well, it seemed like you were acting a little strange, well, I mean, this is dangerous... response:	Dangerous?
context: Whoa...\It's open!\Rue-chan!\Tutu...\Were you crying?\Of course not. What are you doing here?\What am I... Well, it seemed like you were acting a little strange, well, I mean, this is dangerous...\Dangerous? response:	Why would it be dangerous?
context: It's open!\Rue-chan!\Tutu...\Were you crying?\Of course not. What are you doing here?\What am I... Well, it seemed like you were acting a little strange, well, I mean, this is dangerous...\Dangerous?\Why would it be dangerous? response:	I'm Kraehe, you know.
context: Rue-chan!\Tutu...\Were you crying?\Of course not. What are you doing here?\What am I... Well, it seemed like you were acting a little strange, well, I mean, this is dangerous...\Dangerous?\Why would it be dangerous?\I'm Kraehe, you know. response:	Rue-chan!
context: Tutu...\Were you crying?\Of course not. What are you doing here?\What am I... Well, it seemed like you were acting a little strange, well, I mean, this is dangerous...\Dangerous?\Why would it be dangerous?\I'm Kraehe, you know.\Rue-chan! response:	Rue-chan, you're Rue-chan!
context: Were you crying?\Of course not. What are you doing here?\What am I... Well, it seemed like you were acting a little strange, well, I mean, this is dangerous...\Dangerous?\Why would it be dangerous?\I'm Kraehe, you know.\Rue-chan!\Rue-chan, you're Rue-chan! response:	That's how I think of you! I mean...
context: Of course not. What are you doing here?\What am I... Well, it seemed like you were acting a little strange, well, I mean, this is dangerous...\Dangerous?\Why would it be dangerous?\I'm Kraehe, you know.\Rue-chan!\Rue-chan, you're Rue-chan!\That's how I think of you! I mean... response:	Oh, that scared me.
context: What am I... Well, it seemed like you were acting a little strange, well, I mean, this is dangerous...\Dangerous?\Why would it be dangerous?\I'm Kraehe, you know.\Rue-chan!\Rue-chan, you're Rue-chan!\That's how I think of you! I mean...\Oh, that scared me. response:	Ahiru, I'd say YOU'RE the one who's in danger.
context: Dangerous?\Why would it be dangerous?\I'm Kraehe, you know.\Rue-chan!\Rue-chan, you're Rue-chan!\That's how I think of you! I mean...\Oh, that scared me.\Ahiru, I'd say YOU'RE the one who's in danger. response:	Yeah, it looks like it...
context: Why would it be dangerous?\I'm Kraehe, you know.\Rue-chan!\Rue-chan, you're Rue-chan!\That's how I think of you! I mean...\Oh, that scared me.\Ahiru, I'd say YOU'RE the one who's in danger.\Yeah, it looks like it... response:	I am Princess Kraehe.
context: I'm Kraehe, you know.\Rue-chan!\Rue-chan, you're Rue-chan!\That's how I think of you! I mean...\Oh, that scared me.\Ahiru, I'd say YOU'RE the one who's in danger.\Yeah, it looks like it...\I am Princess Kraehe. response:	Rue-chan...
context: Rue-chan!\Rue-chan, you're Rue-chan!\That's how I think of you! I mean...\Oh, that scared me.\Ahiru, I'd say YOU'RE the one who's in danger.\Yeah, it looks like it...\I am Princess Kraehe.\Rue-chan... response:	Ahiru!
context: Rue-chan, you're Rue-chan!\That's how I think of you! I mean...\Oh, that scared me.\Ahiru, I'd say YOU'RE the one who's in danger.\Yeah, it looks like it...\I am Princess Kraehe.\Rue-chan...\Ahiru! response:	Huh?
context: That's how I think of you! I mean...\Oh, that scared me.\Ahiru, I'd say YOU'RE the one who's in danger.\Yeah, it looks like it...\I am Princess Kraehe.\Rue-chan...\Ahiru!\Huh? response:	Where were you?
context: Oh, that scared me.\Ahiru, I'd say YOU'RE the one who's in danger.\Yeah, it looks like it...\I am Princess Kraehe.\Rue-chan...\Ahiru!\Huh?\Where were you? response:	This is awful!
context: Ahiru, I'd say YOU'RE the one who's in danger.\Yeah, it looks like it...\I am Princess Kraehe.\Rue-chan...\Ahiru!\Huh?\Where were you?\This is awful! response:	Huh? What?
context: Yeah, it looks like it...\I am Princess Kraehe.\Rue-chan...\Ahiru!\Huh?\Where were you?\This is awful!\Huh? What? response:	Poor Ahiru!
context: I am Princess Kraehe.\Rue-chan...\Ahiru!\Huh?\Where were you?\This is awful!\Huh? What?\Poor Ahiru! response:	I can't believe you'd skip pointe class!
context: Rue-chan...\Ahiru!\Huh?\Where were you?\This is awful!\Huh? What?\Poor Ahiru!\I can't believe you'd skip pointe class! response:	Oh, well, you see...
context: Ahiru!\Huh?\Where were you?\This is awful!\Huh? What?\Poor Ahiru!\I can't believe you'd skip pointe class!\Oh, well, you see... response:	He's coming. He's coming!
context: Huh?\Where were you?\This is awful!\Huh? What?\Poor Ahiru!\I can't believe you'd skip pointe class!\Oh, well, you see...\He's coming. He's coming! response:	Don't be scared!
context: Where were you?\This is awful!\Huh? What?\Poor Ahiru!\I can't believe you'd skip pointe class!\Oh, well, you see...\He's coming. He's coming!\Don't be scared! response:	That's scary!
context: This is awful!\Huh? What?\Poor Ahiru!\I can't believe you'd skip pointe class!\Oh, well, you see...\He's coming. He's coming!\Don't be scared!\That's scary! response:	Ahiru, you've got to wriggle your way out of it. That's the only way!
context: Huh? What?\Poor Ahiru!\I can't believe you'd skip pointe class!\Oh, well, you see...\He's coming. He's coming!\Don't be scared!\That's scary!\Ahiru, you've got to wriggle your way out of it. That's the only way! response:	Huh? Out of what?
context: Poor Ahiru!\I can't believe you'd skip pointe class!\Oh, well, you see...\He's coming. He's coming!\Don't be scared!\That's scary!\Ahiru, you've got to wriggle your way out of it. That's the only way!\Huh? Out of what? response:	He's here!
context: I can't believe you'd skip pointe class!\Oh, well, you see...\He's coming. He's coming!\Don't be scared!\That's scary!\Ahiru, you've got to wriggle your way out of it. That's the only way!\Huh? Out of what?\He's here! response:	So he's here, then!
context: Oh, well, you see...\He's coming. He's coming!\Don't be scared!\That's scary!\Ahiru, you've got to wriggle your way out of it. That's the only way!\Huh? Out of what?\He's here!\So he's here, then! response:	Ahiru-san, why don't we have a little chat?
context: He's coming. He's coming!\Don't be scared!\That's scary!\Ahiru, you've got to wriggle your way out of it. That's the only way!\Huh? Out of what?\He's here!\So he's here, then!\Ahiru-san, why don't we have a little chat? response:	So it's finally...
context: Don't be scared!\That's scary!\Ahiru, you've got to wriggle your way out of it. That's the only way!\Huh? Out of what?\He's here!\So he's here, then!\Ahiru-san, why don't we have a little chat?\So it's finally... response:	The proposal?
context: That's scary!\Ahiru, you've got to wriggle your way out of it. That's the only way!\Huh? Out of what?\He's here!\So he's here, then!\Ahiru-san, why don't we have a little chat?\So it's finally...\The proposal? response:	What?
context: Ahiru, you've got to wriggle your way out of it. That's the only way!\Huh? Out of what?\He's here!\So he's here, then!\Ahiru-san, why don't we have a little chat?\So it's finally...\The proposal?\What? response:	I'll hold your books for you!
context: Huh? Out of what?\He's here!\So he's here, then!\Ahiru-san, why don't we have a little chat?\So it's finally...\The proposal?\What?\I'll hold your books for you! response:	Thanks...
context: He's here!\So he's here, then!\Ahiru-san, why don't we have a little chat?\So it's finally...\The proposal?\What?\I'll hold your books for you!\Thanks... response:	Wriggle your way out of it!
context: So he's here, then!\Ahiru-san, why don't we have a little chat?\So it's finally...\The proposal?\What?\I'll hold your books for you!\Thanks...\Wriggle your way out of it! response:	Right.
context: Ahiru-san, why don't we have a little chat?\So it's finally...\The proposal?\What?\I'll hold your books for you!\Thanks...\Wriggle your way out of it!\Right. response:	Ahiru-san.
context: So it's finally...\The proposal?\What?\I'll hold your books for you!\Thanks...\Wriggle your way out of it!\Right.\Ahiru-san. response:	Yes, sir!
context: The proposal?\What?\I'll hold your books for you!\Thanks...\Wriggle your way out of it!\Right.\Ahiru-san.\Yes, sir! response:	Everybody has times when they feel as if they will never be able to reach their dream.
context: What?\I'll hold your books for you!\Thanks...\Wriggle your way out of it!\Right.\Ahiru-san.\Yes, sir!\Everybody has times when they feel as if they will never be able to reach their dream. response:	What?
context: I'll hold your books for you!\Thanks...\Wriggle your way out of it!\Right.\Ahiru-san.\Yes, sir!\Everybody has times when they feel as if they will never be able to reach their dream.\What? response:	But deciding there is no way you can do something is nothing more than a way of comforting yourself when you lack motivation.
context: Thanks...\Wriggle your way out of it!\Right.\Ahiru-san.\Yes, sir!\Everybody has times when they feel as if they will never be able to reach their dream.\What?\But deciding there is no way you can do something is nothing more than a way of comforting yourself when you lack motivation. response:	Are you sure you are not fooling yourself about how you feel?
context: Wriggle your way out of it!\Right.\Ahiru-san.\Yes, sir!\Everybody has times when they feel as if they will never be able to reach their dream.\What?\But deciding there is no way you can do something is nothing more than a way of comforting yourself when you lack motivation.\Are you sure you are not fooling yourself about how you feel? response:	About what exactly is most important to you...
context: Right.\Ahiru-san.\Yes, sir!\Everybody has times when they feel as if they will never be able to reach their dream.\What?\But deciding there is no way you can do something is nothing more than a way of comforting yourself when you lack motivation.\Are you sure you are not fooling yourself about how you feel?\About what exactly is most important to you... response:	I became a girl for Mytho, and I became Princess Tutu for Mytho...
context: Ahiru-san.\Yes, sir!\Everybody has times when they feel as if they will never be able to reach their dream.\What?\But deciding there is no way you can do something is nothing more than a way of comforting yourself when you lack motivation.\Are you sure you are not fooling yourself about how you feel?\About what exactly is most important to you...\I became a girl for Mytho, and I became Princess Tutu for Mytho... response:	But somewhere along the way, I've decided I can't do anything.
context: Yes, sir!\Everybody has times when they feel as if they will never be able to reach their dream.\What?\But deciding there is no way you can do something is nothing more than a way of comforting yourself when you lack motivation.\Are you sure you are not fooling yourself about how you feel?\About what exactly is most important to you...\I became a girl for Mytho, and I became Princess Tutu for Mytho...\But somewhere along the way, I've decided I can't do anything. response:	Am I running away?
context: Everybody has times when they feel as if they will never be able to reach their dream.\What?\But deciding there is no way you can do something is nothing more than a way of comforting yourself when you lack motivation.\Are you sure you are not fooling yourself about how you feel?\About what exactly is most important to you...\I became a girl for Mytho, and I became Princess Tutu for Mytho...\But somewhere along the way, I've decided I can't do anything.\Am I running away? response:	What's most important to me...
context: What?\But deciding there is no way you can do something is nothing more than a way of comforting yourself when you lack motivation.\Are you sure you are not fooling yourself about how you feel?\About what exactly is most important to you...\I became a girl for Mytho, and I became Princess Tutu for Mytho...\But somewhere along the way, I've decided I can't do anything.\Am I running away?\What's most important to me... response:	So if perchance your dream is to marry me,
context: But deciding there is no way you can do something is nothing more than a way of comforting yourself when you lack motivation.\Are you sure you are not fooling yourself about how you feel?\About what exactly is most important to you...\I became a girl for Mytho, and I became Princess Tutu for Mytho...\But somewhere along the way, I've decided I can't do anything.\Am I running away?\What's most important to me...\So if perchance your dream is to marry me, response:	and your heart is not in your lessons because you are agonizing over that,
context: Are you sure you are not fooling yourself about how you feel?\About what exactly is most important to you...\I became a girl for Mytho, and I became Princess Tutu for Mytho...\But somewhere along the way, I've decided I can't do anything.\Am I running away?\What's most important to me...\So if perchance your dream is to marry me,\and your heart is not in your lessons because you are agonizing over that, response:	then for my part, I must reserve a place for the ceremony immediately...
context: About what exactly is most important to you...\I became a girl for Mytho, and I became Princess Tutu for Mytho...\But somewhere along the way, I've decided I can't do anything.\Am I running away?\What's most important to me...\So if perchance your dream is to marry me,\and your heart is not in your lessons because you are agonizing over that,\then for my part, I must reserve a place for the ceremony immediately... response:	Thank you, Cat-sensei!
context: I became a girl for Mytho, and I became Princess Tutu for Mytho...\But somewhere along the way, I've decided I can't do anything.\Am I running away?\What's most important to me...\So if perchance your dream is to marry me,\and your heart is not in your lessons because you are agonizing over that,\then for my part, I must reserve a place for the ceremony immediately...\Thank you, Cat-sensei! response:	Meow?
context: But somewhere along the way, I've decided I can't do anything.\Am I running away?\What's most important to me...\So if perchance your dream is to marry me,\and your heart is not in your lessons because you are agonizing over that,\then for my part, I must reserve a place for the ceremony immediately...\Thank you, Cat-sensei!\Meow? response:	Goodbye now!
context: Am I running away?\What's most important to me...\So if perchance your dream is to marry me,\and your heart is not in your lessons because you are agonizing over that,\then for my part, I must reserve a place for the ceremony immediately...\Thank you, Cat-sensei!\Meow?\Goodbye now! response:	Goodbye meow?
context: What's most important to me...\So if perchance your dream is to marry me,\and your heart is not in your lessons because you are agonizing over that,\then for my part, I must reserve a place for the ceremony immediately...\Thank you, Cat-sensei!\Meow?\Goodbye now!\Goodbye meow? response:	She managed to squirm out of it!
context: So if perchance your dream is to marry me,\and your heart is not in your lessons because you are agonizing over that,\then for my part, I must reserve a place for the ceremony immediately...\Thank you, Cat-sensei!\Meow?\Goodbye now!\Goodbye meow?\She managed to squirm out of it! response:	It's a big shock for Cat-sensei!
context: and your heart is not in your lessons because you are agonizing over that,\then for my part, I must reserve a place for the ceremony immediately...\Thank you, Cat-sensei!\Meow?\Goodbye now!\Goodbye meow?\She managed to squirm out of it!\It's a big shock for Cat-sensei! response:	I can't let things stay this way!
context: then for my part, I must reserve a place for the ceremony immediately...\Thank you, Cat-sensei!\Meow?\Goodbye now!\Goodbye meow?\She managed to squirm out of it!\It's a big shock for Cat-sensei!\I can't let things stay this way! response:	I'll search for the heart shards! All over town...
context: Thank you, Cat-sensei!\Meow?\Goodbye now!\Goodbye meow?\She managed to squirm out of it!\It's a big shock for Cat-sensei!\I can't let things stay this way!\I'll search for the heart shards! All over town... response:	That's what I can do right now.
context: Meow?\Goodbye now!\Goodbye meow?\She managed to squirm out of it!\It's a big shock for Cat-sensei!\I can't let things stay this way!\I'll search for the heart shards! All over town...\That's what I can do right now. response:	For Mytho!
context: Goodbye now!\Goodbye meow?\She managed to squirm out of it!\It's a big shock for Cat-sensei!\I can't let things stay this way!\I'll search for the heart shards! All over town...\That's what I can do right now.\For Mytho! response:	Are you the Rue-chan we're worried about zura?
context: Goodbye meow?\She managed to squirm out of it!\It's a big shock for Cat-sensei!\I can't let things stay this way!\I'll search for the heart shards! All over town...\That's what I can do right now.\For Mytho!\Are you the Rue-chan we're worried about zura? response:	What?
context: She managed to squirm out of it!\It's a big shock for Cat-sensei!\I can't let things stay this way!\I'll search for the heart shards! All over town...\That's what I can do right now.\For Mytho!\Are you the Rue-chan we're worried about zura?\What? response:	That's what Ahiru said zura.
context: It's a big shock for Cat-sensei!\I can't let things stay this way!\I'll search for the heart shards! All over town...\That's what I can do right now.\For Mytho!\Are you the Rue-chan we're worried about zura?\What?\That's what Ahiru said zura. response:	Ahiru did?
context: I can't let things stay this way!\I'll search for the heart shards! All over town...\That's what I can do right now.\For Mytho!\Are you the Rue-chan we're worried about zura?\What?\That's what Ahiru said zura.\Ahiru did? response:	I told you, there is no Rue.
context: I'll search for the heart shards! All over town...\That's what I can do right now.\For Mytho!\Are you the Rue-chan we're worried about zura?\What?\That's what Ahiru said zura.\Ahiru did?\I told you, there is no Rue. response:	I just can't believe that.
context: That's what I can do right now.\For Mytho!\Are you the Rue-chan we're worried about zura?\What?\That's what Ahiru said zura.\Ahiru did?\I told you, there is no Rue.\I just can't believe that. response:	Because I get this feeling you're Rue-chan.
context: For Mytho!\Are you the Rue-chan we're worried about zura?\What?\That's what Ahiru said zura.\Ahiru did?\I told you, there is no Rue.\I just can't believe that.\Because I get this feeling you're Rue-chan. response:	Rue-chan!
context: Are you the Rue-chan we're worried about zura?\What?\That's what Ahiru said zura.\Ahiru did?\I told you, there is no Rue.\I just can't believe that.\Because I get this feeling you're Rue-chan.\Rue-chan! response:	Have we met before zura?
context: What?\That's what Ahiru said zura.\Ahiru did?\I told you, there is no Rue.\I just can't believe that.\Because I get this feeling you're Rue-chan.\Rue-chan!\Have we met before zura? response:	What are you talking about? I've never met a girl like you...
context: That's what Ahiru said zura.\Ahiru did?\I told you, there is no Rue.\I just can't believe that.\Because I get this feeling you're Rue-chan.\Rue-chan!\Have we met before zura?\What are you talking about? I've never met a girl like you... response:	You...
