context: Send? response:	Yes No
context: That uniform...\So, you're in my class.\Hey, Ririchiyo.\This is the first time I've seen you at school.\Sorinozuka.\Are you going home now?\Yeah.\That's quite a boring ringtone for a high school girl. response:	That's because it's an unknown number.
context: So, you're in my class.\Hey, Ririchiyo.\This is the first time I've seen you at school.\Sorinozuka.\Are you going home now?\Yeah.\That's quite a boring ringtone for a high school girl.\That's because it's an unknown number. response:	It's him again.
context: Hey, Ririchiyo.\This is the first time I've seen you at school.\Sorinozuka.\Are you going home now?\Yeah.\That's quite a boring ringtone for a high school girl.\That's because it's an unknown number.\It's him again. response:	Again?
context: This is the first time I've seen you at school.\Sorinozuka.\Are you going home now?\Yeah.\That's quite a boring ringtone for a high school girl.\That's because it's an unknown number.\It's him again.\Again? response:	We'll meet soon.
context: Sorinozuka.\Are you going home now?\Yeah.\That's quite a boring ringtone for a high school girl.\That's because it's an unknown number.\It's him again.\Again?\We'll meet soon. response:	This morning, I also got a message from this address.
context: Are you going home now?\Yeah.\That's quite a boring ringtone for a high school girl.\That's because it's an unknown number.\It's him again.\Again?\We'll meet soon.\This morning, I also got a message from this address. response:	I'm by your side.
context: Yeah.\That's quite a boring ringtone for a high school girl.\That's because it's an unknown number.\It's him again.\Again?\We'll meet soon.\This morning, I also got a message from this address.\I'm by your side. response:	Is it a stalker?
context: That's quite a boring ringtone for a high school girl.\That's because it's an unknown number.\It's him again.\Again?\We'll meet soon.\This morning, I also got a message from this address.\I'm by your side.\Is it a stalker? response:	Is everything okay?
context: That's because it's an unknown number.\It's him again.\Again?\We'll meet soon.\This morning, I also got a message from this address.\I'm by your side.\Is it a stalker?\Is everything okay? response:	Sadly, I'm pretty used to stalkers and kidnappers.
context: It's him again.\Again?\We'll meet soon.\This morning, I also got a message from this address.\I'm by your side.\Is it a stalker?\Is everything okay?\Sadly, I'm pretty used to stalkers and kidnappers. response:	I guess so...
context: Again?\We'll meet soon.\This morning, I also got a message from this address.\I'm by your side.\Is it a stalker?\Is everything okay?\Sadly, I'm pretty used to stalkers and kidnappers.\I guess so... response:	You've always been pretty and rich,
context: We'll meet soon.\This morning, I also got a message from this address.\I'm by your side.\Is it a stalker?\Is everything okay?\Sadly, I'm pretty used to stalkers and kidnappers.\I guess so...\You've always been pretty and rich, response:	plus there's your attitude.
context: This morning, I also got a message from this address.\I'm by your side.\Is it a stalker?\Is everything okay?\Sadly, I'm pretty used to stalkers and kidnappers.\I guess so...\You've always been pretty and rich,\plus there's your attitude. response:	That always earned you a lot of warped attention.
context: I'm by your side.\Is it a stalker?\Is everything okay?\Sadly, I'm pretty used to stalkers and kidnappers.\I guess so...\You've always been pretty and rich,\plus there's your attitude.\That always earned you a lot of warped attention. response:	Maybe you should tell Miketsukami about it.
context: Is it a stalker?\Is everything okay?\Sadly, I'm pretty used to stalkers and kidnappers.\I guess so...\You've always been pretty and rich,\plus there's your attitude.\That always earned you a lot of warped attention.\Maybe you should tell Miketsukami about it. response:	That's not necessary.
context: Is everything okay?\Sadly, I'm pretty used to stalkers and kidnappers.\I guess so...\You've always been pretty and rich,\plus there's your attitude.\That always earned you a lot of warped attention.\Maybe you should tell Miketsukami about it.\That's not necessary. response:	Look, I know you're stronger than normal human men, but...
context: Sadly, I'm pretty used to stalkers and kidnappers.\I guess so...\You've always been pretty and rich,\plus there's your attitude.\That always earned you a lot of warped attention.\Maybe you should tell Miketsukami about it.\That's not necessary.\Look, I know you're stronger than normal human men, but... response:	No need to bother him with this.
context: I guess so...\You've always been pretty and rich,\plus there's your attitude.\That always earned you a lot of warped attention.\Maybe you should tell Miketsukami about it.\That's not necessary.\Look, I know you're stronger than normal human men, but...\No need to bother him with this. response:	You're being pretty considerate.
context: You've always been pretty and rich,\plus there's your attitude.\That always earned you a lot of warped attention.\Maybe you should tell Miketsukami about it.\That's not necessary.\Look, I know you're stronger than normal human men, but...\No need to bother him with this.\You're being pretty considerate. response:	I just don't want to overreact!
context: plus there's your attitude.\That always earned you a lot of warped attention.\Maybe you should tell Miketsukami about it.\That's not necessary.\Look, I know you're stronger than normal human men, but...\No need to bother him with this.\You're being pretty considerate.\I just don't want to overreact! response:	Well, if it turns out to be nothing, just write an apology letter.
context: That always earned you a lot of warped attention.\Maybe you should tell Miketsukami about it.\That's not necessary.\Look, I know you're stronger than normal human men, but...\No need to bother him with this.\You're being pretty considerate.\I just don't want to overreact!\Well, if it turns out to be nothing, just write an apology letter. response:	A letter?
context: Maybe you should tell Miketsukami about it.\That's not necessary.\Look, I know you're stronger than normal human men, but...\No need to bother him with this.\You're being pretty considerate.\I just don't want to overreact!\Well, if it turns out to be nothing, just write an apology letter.\A letter? response:	You wrote plenty of them when you were a kid.
context: That's not necessary.\Look, I know you're stronger than normal human men, but...\No need to bother him with this.\You're being pretty considerate.\I just don't want to overreact!\Well, if it turns out to be nothing, just write an apology letter.\A letter?\You wrote plenty of them when you were a kid. response:	You were so polite and honest in them.
context: Look, I know you're stronger than normal human men, but...\No need to bother him with this.\You're being pretty considerate.\I just don't want to overreact!\Well, if it turns out to be nothing, just write an apology letter.\A letter?\You wrote plenty of them when you were a kid.\You were so polite and honest in them. response:	I keep telling you,
context: No need to bother him with this.\You're being pretty considerate.\I just don't want to overreact!\Well, if it turns out to be nothing, just write an apology letter.\A letter?\You wrote plenty of them when you were a kid.\You were so polite and honest in them.\I keep telling you, response:	I only wrote those to practice my handwriting!
context: You're being pretty considerate.\I just don't want to overreact!\Well, if it turns out to be nothing, just write an apology letter.\A letter?\You wrote plenty of them when you were a kid.\You were so polite and honest in them.\I keep telling you,\I only wrote those to practice my handwriting! response:	Yeah, yeah.
context: I just don't want to overreact!\Well, if it turns out to be nothing, just write an apology letter.\A letter?\You wrote plenty of them when you were a kid.\You were so polite and honest in them.\I keep telling you,\I only wrote those to practice my handwriting!\Yeah, yeah. response:	Miketsukami...
context: Well, if it turns out to be nothing, just write an apology letter.\A letter?\You wrote plenty of them when you were a kid.\You were so polite and honest in them.\I keep telling you,\I only wrote those to practice my handwriting!\Yeah, yeah.\Miketsukami... response:	Look at that guy!
context: A letter?\You wrote plenty of them when you were a kid.\You were so polite and honest in them.\I keep telling you,\I only wrote those to practice my handwriting!\Yeah, yeah.\Miketsukami...\Look at that guy! response:	Who is he?
context: You wrote plenty of them when you were a kid.\You were so polite and honest in them.\I keep telling you,\I only wrote those to practice my handwriting!\Yeah, yeah.\Miketsukami...\Look at that guy!\Who is he? response:	He's sparkling.
context: You were so polite and honest in them.\I keep telling you,\I only wrote those to practice my handwriting!\Yeah, yeah.\Miketsukami...\Look at that guy!\Who is he?\He's sparkling. response:	Waiting for you was like a living death.
context: I keep telling you,\I only wrote those to practice my handwriting!\Yeah, yeah.\Miketsukami...\Look at that guy!\Who is he?\He's sparkling.\Waiting for you was like a living death. response:	Your return is like receiving a new lease on life...
context: I only wrote those to practice my handwriting!\Yeah, yeah.\Miketsukami...\Look at that guy!\Who is he?\He's sparkling.\Waiting for you was like a living death.\Your return is like receiving a new lease on life... response:	That sounds quite inconvenient.
context: Yeah, yeah.\Miketsukami...\Look at that guy!\Who is he?\He's sparkling.\Waiting for you was like a living death.\Your return is like receiving a new lease on life...\That sounds quite inconvenient. response:	It's also nice to see you again, Big Brother.
context: Miketsukami...\Look at that guy!\Who is he?\He's sparkling.\Waiting for you was like a living death.\Your return is like receiving a new lease on life...\That sounds quite inconvenient.\It's also nice to see you again, Big Brother. response:	You actually noticed me.
context: Look at that guy!\Who is he?\He's sparkling.\Waiting for you was like a living death.\Your return is like receiving a new lease on life...\That sounds quite inconvenient.\It's also nice to see you again, Big Brother.\You actually noticed me. response:	You're my Miss Ririchiyo's precious older brother.
context: Who is he?\He's sparkling.\Waiting for you was like a living death.\Your return is like receiving a new lease on life...\That sounds quite inconvenient.\It's also nice to see you again, Big Brother.\You actually noticed me.\You're my Miss Ririchiyo's precious older brother. response:	What's up with calling me big brother, anyway?
context: He's sparkling.\Waiting for you was like a living death.\Your return is like receiving a new lease on life...\That sounds quite inconvenient.\It's also nice to see you again, Big Brother.\You actually noticed me.\You're my Miss Ririchiyo's precious older brother.\What's up with calling me big brother, anyway? response:	I'm not her brother.
context: Waiting for you was like a living death.\Your return is like receiving a new lease on life...\That sounds quite inconvenient.\It's also nice to see you again, Big Brother.\You actually noticed me.\You're my Miss Ririchiyo's precious older brother.\What's up with calling me big brother, anyway?\I'm not her brother. response:	You told him to call you that!
context: Your return is like receiving a new lease on life...\That sounds quite inconvenient.\It's also nice to see you again, Big Brother.\You actually noticed me.\You're my Miss Ririchiyo's precious older brother.\What's up with calling me big brother, anyway?\I'm not her brother.\You told him to call you that! response:	Then I shall see you later.
context: That sounds quite inconvenient.\It's also nice to see you again, Big Brother.\You actually noticed me.\You're my Miss Ririchiyo's precious older brother.\What's up with calling me big brother, anyway?\I'm not her brother.\You told him to call you that!\Then I shall see you later. response:	Please do not hesitate to call, should you require anything.
context: It's also nice to see you again, Big Brother.\You actually noticed me.\You're my Miss Ririchiyo's precious older brother.\What's up with calling me big brother, anyway?\I'm not her brother.\You told him to call you that!\Then I shall see you later.\Please do not hesitate to call, should you require anything. response:	How can I ever repay him?
context: You actually noticed me.\You're my Miss Ririchiyo's precious older brother.\What's up with calling me big brother, anyway?\I'm not her brother.\You told him to call you that!\Then I shall see you later.\Please do not hesitate to call, should you require anything.\How can I ever repay him? response:	At the very least, I'd like to tell him I'm grateful.
context: You're my Miss Ririchiyo's precious older brother.\What's up with calling me big brother, anyway?\I'm not her brother.\You told him to call you that!\Then I shall see you later.\Please do not hesitate to call, should you require anything.\How can I ever repay him?\At the very least, I'd like to tell him I'm grateful. response:	You wrote plenty of them when you were a kid.
context: What's up with calling me big brother, anyway?\I'm not her brother.\You told him to call you that!\Then I shall see you later.\Please do not hesitate to call, should you require anything.\How can I ever repay him?\At the very least, I'd like to tell him I'm grateful.\You wrote plenty of them when you were a kid. response:	You were so polite and honest in them.
context: I'm not her brother.\You told him to call you that!\Then I shall see you later.\Please do not hesitate to call, should you require anything.\How can I ever repay him?\At the very least, I'd like to tell him I'm grateful.\You wrote plenty of them when you were a kid.\You were so polite and honest in them. response:	Maybe writing a letter out of the blue is over the top.
context: You told him to call you that!\Then I shall see you later.\Please do not hesitate to call, should you require anything.\How can I ever repay him?\At the very least, I'd like to tell him I'm grateful.\You wrote plenty of them when you were a kid.\You were so polite and honest in them.\Maybe writing a letter out of the blue is over the top. response:	Then again...
context: Then I shall see you later.\Please do not hesitate to call, should you require anything.\How can I ever repay him?\At the very least, I'd like to tell him I'm grateful.\You wrote plenty of them when you were a kid.\You were so polite and honest in them.\Maybe writing a letter out of the blue is over the top.\Then again... response:	I'm simply expressing my gratitude formally!
context: Please do not hesitate to call, should you require anything.\How can I ever repay him?\At the very least, I'd like to tell him I'm grateful.\You wrote plenty of them when you were a kid.\You were so polite and honest in them.\Maybe writing a letter out of the blue is over the top.\Then again...\I'm simply expressing my gratitude formally! response:	That's not over the top at all.
context: How can I ever repay him?\At the very least, I'd like to tell him I'm grateful.\You wrote plenty of them when you were a kid.\You were so polite and honest in them.\Maybe writing a letter out of the blue is over the top.\Then again...\I'm simply expressing my gratitude formally!\That's not over the top at all. response:	This is where we display our original designs.
context: At the very least, I'd like to tell him I'm grateful.\You wrote plenty of them when you were a kid.\You were so polite and honest in them.\Maybe writing a letter out of the blue is over the top.\Then again...\I'm simply expressing my gratitude formally!\That's not over the top at all.\This is where we display our original designs. response:	I must say, they're not half bad.
context: You wrote plenty of them when you were a kid.\You were so polite and honest in them.\Maybe writing a letter out of the blue is over the top.\Then again...\I'm simply expressing my gratitude formally!\That's not over the top at all.\This is where we display our original designs.\I must say, they're not half bad. response:	Thank you.
context: You were so polite and honest in them.\Maybe writing a letter out of the blue is over the top.\Then again...\I'm simply expressing my gratitude formally!\That's not over the top at all.\This is where we display our original designs.\I must say, they're not half bad.\Thank you. response:	I'll take this one.
context: Maybe writing a letter out of the blue is over the top.\Then again...\I'm simply expressing my gratitude formally!\That's not over the top at all.\This is where we display our original designs.\I must say, they're not half bad.\Thank you.\I'll take this one. response:	It's gotten late.
context: Then again...\I'm simply expressing my gratitude formally!\That's not over the top at all.\This is where we display our original designs.\I must say, they're not half bad.\Thank you.\I'll take this one.\It's gotten late. response:	But...
context: I'm simply expressing my gratitude formally!\That's not over the top at all.\This is where we display our original designs.\I must say, they're not half bad.\Thank you.\I'll take this one.\It's gotten late.\But... response:	Again?
context: That's not over the top at all.\This is where we display our original designs.\I must say, they're not half bad.\Thank you.\I'll take this one.\It's gotten late.\But...\Again? response:	It's dangerous to walk alone.
context: This is where we display our original designs.\I must say, they're not half bad.\Thank you.\I'll take this one.\It's gotten late.\But...\Again?\It's dangerous to walk alone. response:	He must be close.
context: I must say, they're not half bad.\Thank you.\I'll take this one.\It's gotten late.\But...\Again?\It's dangerous to walk alone.\He must be close. response:	The dark is dangerous for people like us.
context: Thank you.\I'll take this one.\It's gotten late.\But...\Again?\It's dangerous to walk alone.\He must be close.\The dark is dangerous for people like us. response:	People like us...
context: I'll take this one.\It's gotten late.\But...\Again?\It's dangerous to walk alone.\He must be close.\The dark is dangerous for people like us.\People like us... response:	Does that mean he's also descended from the supernatural?
context: It's gotten late.\But...\Again?\It's dangerous to walk alone.\He must be close.\The dark is dangerous for people like us.\People like us...\Does that mean he's also descended from the supernatural? response:	Do you have some business with Miss Ririchiyo?
context: But...\Again?\It's dangerous to walk alone.\He must be close.\The dark is dangerous for people like us.\People like us...\Does that mean he's also descended from the supernatural?\Do you have some business with Miss Ririchiyo? response:	Oh, you have a boyfriend?
context: Again?\It's dangerous to walk alone.\He must be close.\The dark is dangerous for people like us.\People like us...\Does that mean he's also descended from the supernatural?\Do you have some business with Miss Ririchiyo?\Oh, you have a boyfriend? response:	Huh?
context: It's dangerous to walk alone.\He must be close.\The dark is dangerous for people like us.\People like us...\Does that mean he's also descended from the supernatural?\Do you have some business with Miss Ririchiyo?\Oh, you have a boyfriend?\Huh? response:	I wish you guys happiness!
context: He must be close.\The dark is dangerous for people like us.\People like us...\Does that mean he's also descended from the supernatural?\Do you have some business with Miss Ririchiyo?\Oh, you have a boyfriend?\Huh?\I wish you guys happiness! response:	What are you doing here?
context: The dark is dangerous for people like us.\People like us...\Does that mean he's also descended from the supernatural?\Do you have some business with Miss Ririchiyo?\Oh, you have a boyfriend?\Huh?\I wish you guys happiness!\What are you doing here? response:	What are you doing, walking home all alone?
context: People like us...\Does that mean he's also descended from the supernatural?\Do you have some business with Miss Ririchiyo?\Oh, you have a boyfriend?\Huh?\I wish you guys happiness!\What are you doing here?\What are you doing, walking home all alone? response:	Did you not think it dangerous?
context: Does that mean he's also descended from the supernatural?\Do you have some business with Miss Ririchiyo?\Oh, you have a boyfriend?\Huh?\I wish you guys happiness!\What are you doing here?\What are you doing, walking home all alone?\Did you not think it dangerous? response:	If you're talking about that drunk, I knew he was there.
context: Do you have some business with Miss Ririchiyo?\Oh, you have a boyfriend?\Huh?\I wish you guys happiness!\What are you doing here?\What are you doing, walking home all alone?\Did you not think it dangerous?\If you're talking about that drunk, I knew he was there. response:	Don't underestimate me.
context: Oh, you have a boyfriend?\Huh?\I wish you guys happiness!\What are you doing here?\What are you doing, walking home all alone?\Did you not think it dangerous?\If you're talking about that drunk, I knew he was there.\Don't underestimate me. response:	I'm not talking about him.
context: Huh?\I wish you guys happiness!\What are you doing here?\What are you doing, walking home all alone?\Did you not think it dangerous?\If you're talking about that drunk, I knew he was there.\Don't underestimate me.\I'm not talking about him. response:	Your big brother told me about it...
context: I wish you guys happiness!\What are you doing here?\What are you doing, walking home all alone?\Did you not think it dangerous?\If you're talking about that drunk, I knew he was there.\Don't underestimate me.\I'm not talking about him.\Your big brother told me about it... response:	The text messages.
context: What are you doing here?\What are you doing, walking home all alone?\Did you not think it dangerous?\If you're talking about that drunk, I knew he was there.\Don't underestimate me.\I'm not talking about him.\Your big brother told me about it...\The text messages. response:	Why am I here?
context: What are you doing, walking home all alone?\Did you not think it dangerous?\If you're talking about that drunk, I knew he was there.\Don't underestimate me.\I'm not talking about him.\Your big brother told me about it...\The text messages.\Why am I here? response:	Why didn't you tell me?
context: Did you not think it dangerous?\If you're talking about that drunk, I knew he was there.\Don't underestimate me.\I'm not talking about him.\Your big brother told me about it...\The text messages.\Why am I here?\Why didn't you tell me? response:	That notwithstanding,
context: If you're talking about that drunk, I knew he was there.\Don't underestimate me.\I'm not talking about him.\Your big brother told me about it...\The text messages.\Why am I here?\Why didn't you tell me?\That notwithstanding, response:	you know it's dangerous for us to walk around at night.
context: Don't underestimate me.\I'm not talking about him.\Your big brother told me about it...\The text messages.\Why am I here?\Why didn't you tell me?\That notwithstanding,\you know it's dangerous for us to walk around at night. response:	Be it shopping or anything else,
context: I'm not talking about him.\Your big brother told me about it...\The text messages.\Why am I here?\Why didn't you tell me?\That notwithstanding,\you know it's dangerous for us to walk around at night.\Be it shopping or anything else, response:	you know I'd do anything for you,
context: Your big brother told me about it...\The text messages.\Why am I here?\Why didn't you tell me?\That notwithstanding,\you know it's dangerous for us to walk around at night.\Be it shopping or anything else,\you know I'd do anything for you, response:	if only you'd ask me.
context: The text messages.\Why am I here?\Why didn't you tell me?\That notwithstanding,\you know it's dangerous for us to walk around at night.\Be it shopping or anything else,\you know I'd do anything for you,\if only you'd ask me. response:	If something were to happen to you...
context: Why am I here?\Why didn't you tell me?\That notwithstanding,\you know it's dangerous for us to walk around at night.\Be it shopping or anything else,\you know I'd do anything for you,\if only you'd ask me.\If something were to happen to you... response:	If I cannot protect you,
context: Why didn't you tell me?\That notwithstanding,\you know it's dangerous for us to walk around at night.\Be it shopping or anything else,\you know I'd do anything for you,\if only you'd ask me.\If something were to happen to you...\If I cannot protect you, response:	my life has no meaning.
context: That notwithstanding,\you know it's dangerous for us to walk around at night.\Be it shopping or anything else,\you know I'd do anything for you,\if only you'd ask me.\If something were to happen to you...\If I cannot protect you,\my life has no meaning. response:	It does have meaning...
context: you know it's dangerous for us to walk around at night.\Be it shopping or anything else,\you know I'd do anything for you,\if only you'd ask me.\If something were to happen to you...\If I cannot protect you,\my life has no meaning.\It does have meaning... response:	You...
context: Be it shopping or anything else,\you know I'd do anything for you,\if only you'd ask me.\If something were to happen to you...\If I cannot protect you,\my life has no meaning.\It does have meaning...\You... response:	He said he likes me for me.
context: you know I'd do anything for you,\if only you'd ask me.\If something were to happen to you...\If I cannot protect you,\my life has no meaning.\It does have meaning...\You...\He said he likes me for me. response:	You...
context: if only you'd ask me.\If something were to happen to you...\If I cannot protect you,\my life has no meaning.\It does have meaning...\You...\He said he likes me for me.\You... response:	Is that how you've felt?
context: If something were to happen to you...\If I cannot protect you,\my life has no meaning.\It does have meaning...\You...\He said he likes me for me.\You...\Is that how you've felt? response:	To think that, all along, you've been carrying this burden alone.
context: If I cannot protect you,\my life has no meaning.\It does have meaning...\You...\He said he likes me for me.\You...\Is that how you've felt?\To think that, all along, you've been carrying this burden alone. response:	Why don't we try it, then?
context: my life has no meaning.\It does have meaning...\You...\He said he likes me for me.\You...\Is that how you've felt?\To think that, all along, you've been carrying this burden alone.\Why don't we try it, then? response:	Pardon me.
context: It does have meaning...\You...\He said he likes me for me.\You...\Is that how you've felt?\To think that, all along, you've been carrying this burden alone.\Why don't we try it, then?\Pardon me. response:	It's just that
context: You...\He said he likes me for me.\You...\Is that how you've felt?\To think that, all along, you've been carrying this burden alone.\Why don't we try it, then?\Pardon me.\It's just that response:	you've angered me.
context: He said he likes me for me.\You...\Is that how you've felt?\To think that, all along, you've been carrying this burden alone.\Why don't we try it, then?\Pardon me.\It's just that\you've angered me. response:	Miss Ririchiyo may not always be the most socially adept of people.
context: You...\Is that how you've felt?\To think that, all along, you've been carrying this burden alone.\Why don't we try it, then?\Pardon me.\It's just that\you've angered me.\Miss Ririchiyo may not always be the most socially adept of people. response:	But she is honest, conscientious, and loyal.
context: Is that how you've felt?\To think that, all along, you've been carrying this burden alone.\Why don't we try it, then?\Pardon me.\It's just that\you've angered me.\Miss Ririchiyo may not always be the most socially adept of people.\But she is honest, conscientious, and loyal. response:	She is also very, very delicate.
context: To think that, all along, you've been carrying this burden alone.\Why don't we try it, then?\Pardon me.\It's just that\you've angered me.\Miss Ririchiyo may not always be the most socially adept of people.\But she is honest, conscientious, and loyal.\She is also very, very delicate. response:	He noticed.
context: Why don't we try it, then?\Pardon me.\It's just that\you've angered me.\Miss Ririchiyo may not always be the most socially adept of people.\But she is honest, conscientious, and loyal.\She is also very, very delicate.\He noticed. response:	That's right...
context: Pardon me.\It's just that\you've angered me.\Miss Ririchiyo may not always be the most socially adept of people.\But she is honest, conscientious, and loyal.\She is also very, very delicate.\He noticed.\That's right... response:	And that's why, I also...
context: It's just that\you've angered me.\Miss Ririchiyo may not always be the most socially adept of people.\But she is honest, conscientious, and loyal.\She is also very, very delicate.\He noticed.\That's right...\And that's why, I also... response:	I also want to notice more about you.
context: you've angered me.\Miss Ririchiyo may not always be the most socially adept of people.\But she is honest, conscientious, and loyal.\She is also very, very delicate.\He noticed.\That's right...\And that's why, I also...\I also want to notice more about you. response:	Miketsukami...
context: Miss Ririchiyo may not always be the most socially adept of people.\But she is honest, conscientious, and loyal.\She is also very, very delicate.\He noticed.\That's right...\And that's why, I also...\I also want to notice more about you.\Miketsukami... response:	Miss Ririchiyo.
context: But she is honest, conscientious, and loyal.\She is also very, very delicate.\He noticed.\That's right...\And that's why, I also...\I also want to notice more about you.\Miketsukami...\Miss Ririchiyo. response:	Please stand back.
context: She is also very, very delicate.\He noticed.\That's right...\And that's why, I also...\I also want to notice more about you.\Miketsukami...\Miss Ririchiyo.\Please stand back. response:	So you're the one
context: He noticed.\That's right...\And that's why, I also...\I also want to notice more about you.\Miketsukami...\Miss Ririchiyo.\Please stand back.\So you're the one response:	who's been sending me those silly messages.
context: That's right...\And that's why, I also...\I also want to notice more about you.\Miketsukami...\Miss Ririchiyo.\Please stand back.\So you're the one\who's been sending me those silly messages. response:	That's right.
context: And that's why, I also...\I also want to notice more about you.\Miketsukami...\Miss Ririchiyo.\Please stand back.\So you're the one\who's been sending me those silly messages.\That's right. response:	But as you didn't scare at all, I grew bored.
context: I also want to notice more about you.\Miketsukami...\Miss Ririchiyo.\Please stand back.\So you're the one\who's been sending me those silly messages.\That's right.\But as you didn't scare at all, I grew bored. response:	I guess that level
context: Miketsukami...\Miss Ririchiyo.\Please stand back.\So you're the one\who's been sending me those silly messages.\That's right.\But as you didn't scare at all, I grew bored.\I guess that level response:	of play wasn't enough for you!
context: Miss Ririchiyo.\Please stand back.\So you're the one\who's been sending me those silly messages.\That's right.\But as you didn't scare at all, I grew bored.\I guess that level\of play wasn't enough for you! response:	It's been too long, my human toilets!
context: Please stand back.\So you're the one\who's been sending me those silly messages.\That's right.\But as you didn't scare at all, I grew bored.\I guess that level\of play wasn't enough for you!\It's been too long, my human toilets! response:	Human?
