context: Closed for the day. response:	Hokubi News Online Cloudy weather expected during largest meteor shower of the year.
context: Because I know you're forcing it.\Yuzuki!\Let's meet at the observatory tonight!\We're all watching the meteor shower together!\Hey, Souta, what's your plan now?\Hey.\What's wrong with you?\No, response:	it's nothing.
context: Yuzuki!\Let's meet at the observatory tonight!\We're all watching the meteor shower together!\Hey, Souta, what's your plan now?\Hey.\What's wrong with you?\No,\it's nothing. response:	Nonoka.
context: Let's meet at the observatory tonight!\We're all watching the meteor shower together!\Hey, Souta, what's your plan now?\Hey.\What's wrong with you?\No,\it's nothing.\Nonoka. response:	Gathering at the observatory?
context: We're all watching the meteor shower together!\Hey, Souta, what's your plan now?\Hey.\What's wrong with you?\No,\it's nothing.\Nonoka.\Gathering at the observatory? response:	Are you sure?
context: Hey, Souta, what's your plan now?\Hey.\What's wrong with you?\No,\it's nothing.\Nonoka.\Gathering at the observatory?\Are you sure? response:	Yeah.
context: Hey.\What's wrong with you?\No,\it's nothing.\Nonoka.\Gathering at the observatory?\Are you sure?\Yeah. response:	Koharu, I...
context: What's wrong with you?\No,\it's nothing.\Nonoka.\Gathering at the observatory?\Are you sure?\Yeah.\Koharu, I... response:	Okay.
context: No,\it's nothing.\Nonoka.\Gathering at the observatory?\Are you sure?\Yeah.\Koharu, I...\Okay. response:	It's what you believe, and decided.
context: it's nothing.\Nonoka.\Gathering at the observatory?\Are you sure?\Yeah.\Koharu, I...\Okay.\It's what you believe, and decided. response:	Yeah.
context: Nonoka.\Gathering at the observatory?\Are you sure?\Yeah.\Koharu, I...\Okay.\It's what you believe, and decided.\Yeah. response:	One more fresh ginger ale.
context: Gathering at the observatory?\Are you sure?\Yeah.\Koharu, I...\Okay.\It's what you believe, and decided.\Yeah.\One more fresh ginger ale. response:	Shione, listen to me.
context: Are you sure?\Yeah.\Koharu, I...\Okay.\It's what you believe, and decided.\Yeah.\One more fresh ginger ale.\Shione, listen to me. response:	I decided.
context: Yeah.\Koharu, I...\Okay.\It's what you believe, and decided.\Yeah.\One more fresh ginger ale.\Shione, listen to me.\I decided. response:	I want to make Noel smile.
context: Koharu, I...\Okay.\It's what you believe, and decided.\Yeah.\One more fresh ginger ale.\Shione, listen to me.\I decided.\I want to make Noel smile. response:	So let's all go to the observatory tonight.
context: Okay.\It's what you believe, and decided.\Yeah.\One more fresh ginger ale.\Shione, listen to me.\I decided.\I want to make Noel smile.\So let's all go to the observatory tonight. response:	Let's watch the meteor shower.
context: It's what you believe, and decided.\Yeah.\One more fresh ginger ale.\Shione, listen to me.\I decided.\I want to make Noel smile.\So let's all go to the observatory tonight.\Let's watch the meteor shower. response:	Get in.
context: Yeah.\One more fresh ginger ale.\Shione, listen to me.\I decided.\I want to make Noel smile.\So let's all go to the observatory tonight.\Let's watch the meteor shower.\Get in. response:	I'm back.
context: One more fresh ginger ale.\Shione, listen to me.\I decided.\I want to make Noel smile.\So let's all go to the observatory tonight.\Let's watch the meteor shower.\Get in.\I'm back. response:	Why won't you leave me alone?
context: Shione, listen to me.\I decided.\I want to make Noel smile.\So let's all go to the observatory tonight.\Let's watch the meteor shower.\Get in.\I'm back.\Why won't you leave me alone? response:	Don't involve yourself.
context: I decided.\I want to make Noel smile.\So let's all go to the observatory tonight.\Let's watch the meteor shower.\Get in.\I'm back.\Why won't you leave me alone?\Don't involve yourself. response:	Please, Nonoka.
context: I want to make Noel smile.\So let's all go to the observatory tonight.\Let's watch the meteor shower.\Get in.\I'm back.\Why won't you leave me alone?\Don't involve yourself.\Please, Nonoka. response:	Stay out of my life.
context: So let's all go to the observatory tonight.\Let's watch the meteor shower.\Get in.\I'm back.\Why won't you leave me alone?\Don't involve yourself.\Please, Nonoka.\Stay out of my life. response:	Friends
context: Let's watch the meteor shower.\Get in.\I'm back.\Why won't you leave me alone?\Don't involve yourself.\Please, Nonoka.\Stay out of my life.\Friends response:	Understand!
context: Get in.\I'm back.\Why won't you leave me alone?\Don't involve yourself.\Please, Nonoka.\Stay out of my life.\Friends\Understand! response:	We're friends, please understand!
context: I'm back.\Why won't you leave me alone?\Don't involve yourself.\Please, Nonoka.\Stay out of my life.\Friends\Understand!\We're friends, please understand! response:	You have to understand!
context: Why won't you leave me alone?\Don't involve yourself.\Please, Nonoka.\Stay out of my life.\Friends\Understand!\We're friends, please understand!\You have to understand! response:	I do.
context: Don't involve yourself.\Please, Nonoka.\Stay out of my life.\Friends\Understand!\We're friends, please understand!\You have to understand!\I do. response:	Then
context: Please, Nonoka.\Stay out of my life.\Friends\Understand!\We're friends, please understand!\You have to understand!\I do.\Then response:	This girl, Yuzuki,
context: Stay out of my life.\Friends\Understand!\We're friends, please understand!\You have to understand!\I do.\Then\This girl, Yuzuki, response:	loves her brother.
context: Friends\Understand!\We're friends, please understand!\You have to understand!\I do.\Then\This girl, Yuzuki,\loves her brother. response:	Friends
context: Understand!\We're friends, please understand!\You have to understand!\I do.\Then\This girl, Yuzuki,\loves her brother.\Friends response:	Souta cares for his sister, too.
context: We're friends, please understand!\You have to understand!\I do.\Then\This girl, Yuzuki,\loves her brother.\Friends\Souta cares for his sister, too. response:	When people hurt each other, this girl, Koharu, feels just as hurt.
context: You have to understand!\I do.\Then\This girl, Yuzuki,\loves her brother.\Friends\Souta cares for his sister, too.\When people hurt each other, this girl, Koharu, feels just as hurt. response:	And then, there's Shione.
context: I do.\Then\This girl, Yuzuki,\loves her brother.\Friends\Souta cares for his sister, too.\When people hurt each other, this girl, Koharu, feels just as hurt.\And then, there's Shione. response:	She's more lonely than anyone else, yet she's stubborn.
context: Then\This girl, Yuzuki,\loves her brother.\Friends\Souta cares for his sister, too.\When people hurt each other, this girl, Koharu, feels just as hurt.\And then, there's Shione.\She's more lonely than anyone else, yet she's stubborn. response:	She thinks everyone will be happy so long as she endures.
context: This girl, Yuzuki,\loves her brother.\Friends\Souta cares for his sister, too.\When people hurt each other, this girl, Koharu, feels just as hurt.\And then, there's Shione.\She's more lonely than anyone else, yet she's stubborn.\She thinks everyone will be happy so long as she endures. response:	I'll take a picture of you, now.
context: loves her brother.\Friends\Souta cares for his sister, too.\When people hurt each other, this girl, Koharu, feels just as hurt.\And then, there's Shione.\She's more lonely than anyone else, yet she's stubborn.\She thinks everyone will be happy so long as she endures.\I'll take a picture of you, now. response:	Me? No thanks.
context: Friends\Souta cares for his sister, too.\When people hurt each other, this girl, Koharu, feels just as hurt.\And then, there's Shione.\She's more lonely than anyone else, yet she's stubborn.\She thinks everyone will be happy so long as she endures.\I'll take a picture of you, now.\Me? No thanks. response:	I'm okay.
context: Souta cares for his sister, too.\When people hurt each other, this girl, Koharu, feels just as hurt.\And then, there's Shione.\She's more lonely than anyone else, yet she's stubborn.\She thinks everyone will be happy so long as she endures.\I'll take a picture of you, now.\Me? No thanks.\I'm okay. response:	I want a picture of you guys.
context: When people hurt each other, this girl, Koharu, feels just as hurt.\And then, there's Shione.\She's more lonely than anyone else, yet she's stubborn.\She thinks everyone will be happy so long as she endures.\I'll take a picture of you, now.\Me? No thanks.\I'm okay.\I want a picture of you guys. response:	What are you talking about? Here, gimme.
context: And then, there's Shione.\She's more lonely than anyone else, yet she's stubborn.\She thinks everyone will be happy so long as she endures.\I'll take a picture of you, now.\Me? No thanks.\I'm okay.\I want a picture of you guys.\What are you talking about? Here, gimme. response:	Nonoka, catch her!
context: She's more lonely than anyone else, yet she's stubborn.\She thinks everyone will be happy so long as she endures.\I'll take a picture of you, now.\Me? No thanks.\I'm okay.\I want a picture of you guys.\What are you talking about? Here, gimme.\Nonoka, catch her! response:	Right.
context: She thinks everyone will be happy so long as she endures.\I'll take a picture of you, now.\Me? No thanks.\I'm okay.\I want a picture of you guys.\What are you talking about? Here, gimme.\Nonoka, catch her!\Right. response:	My wish is for everyone to smile.
context: I'll take a picture of you, now.\Me? No thanks.\I'm okay.\I want a picture of you guys.\What are you talking about? Here, gimme.\Nonoka, catch her!\Right.\My wish is for everyone to smile. response:	It's the wish that Noel said was beautiful.
context: Me? No thanks.\I'm okay.\I want a picture of you guys.\What are you talking about? Here, gimme.\Nonoka, catch her!\Right.\My wish is for everyone to smile.\It's the wish that Noel said was beautiful. response:	And it includes your smile, too.
context: I'm okay.\I want a picture of you guys.\What are you talking about? Here, gimme.\Nonoka, catch her!\Right.\My wish is for everyone to smile.\It's the wish that Noel said was beautiful.\And it includes your smile, too. response:	Talk to Noel.
context: I want a picture of you guys.\What are you talking about? Here, gimme.\Nonoka, catch her!\Right.\My wish is for everyone to smile.\It's the wish that Noel said was beautiful.\And it includes your smile, too.\Talk to Noel. response:	I'm thinking of coming to the observatory with the others tonight.
context: What are you talking about? Here, gimme.\Nonoka, catch her!\Right.\My wish is for everyone to smile.\It's the wish that Noel said was beautiful.\And it includes your smile, too.\Talk to Noel.\I'm thinking of coming to the observatory with the others tonight. response:	I can't wait for the meteor shower.
context: Nonoka, catch her!\Right.\My wish is for everyone to smile.\It's the wish that Noel said was beautiful.\And it includes your smile, too.\Talk to Noel.\I'm thinking of coming to the observatory with the others tonight.\I can't wait for the meteor shower. response:	I wonder when they're coming.
context: Right.\My wish is for everyone to smile.\It's the wish that Noel said was beautiful.\And it includes your smile, too.\Talk to Noel.\I'm thinking of coming to the observatory with the others tonight.\I can't wait for the meteor shower.\I wonder when they're coming. response:	Yuzuki.
context: My wish is for everyone to smile.\It's the wish that Noel said was beautiful.\And it includes your smile, too.\Talk to Noel.\I'm thinking of coming to the observatory with the others tonight.\I can't wait for the meteor shower.\I wonder when they're coming.\Yuzuki. response:	Yuzuki.
context: It's the wish that Noel said was beautiful.\And it includes your smile, too.\Talk to Noel.\I'm thinking of coming to the observatory with the others tonight.\I can't wait for the meteor shower.\I wonder when they're coming.\Yuzuki.\Yuzuki. response:	Yuzuki!
context: And it includes your smile, too.\Talk to Noel.\I'm thinking of coming to the observatory with the others tonight.\I can't wait for the meteor shower.\I wonder when they're coming.\Yuzuki.\Yuzuki.\Yuzuki! response:	Hey, don't just barge in.
context: Talk to Noel.\I'm thinking of coming to the observatory with the others tonight.\I can't wait for the meteor shower.\I wonder when they're coming.\Yuzuki.\Yuzuki.\Yuzuki!\Hey, don't just barge in. response:	Shut up.
context: I'm thinking of coming to the observatory with the others tonight.\I can't wait for the meteor shower.\I wonder when they're coming.\Yuzuki.\Yuzuki.\Yuzuki!\Hey, don't just barge in.\Shut up. response:	We used to be in the same room.
context: I can't wait for the meteor shower.\I wonder when they're coming.\Yuzuki.\Yuzuki.\Yuzuki!\Hey, don't just barge in.\Shut up.\We used to be in the same room. response:	Not anymore.
context: I wonder when they're coming.\Yuzuki.\Yuzuki.\Yuzuki!\Hey, don't just barge in.\Shut up.\We used to be in the same room.\Not anymore. response:	Right.
context: Yuzuki.\Yuzuki.\Yuzuki!\Hey, don't just barge in.\Shut up.\We used to be in the same room.\Not anymore.\Right. response:	Was it when I got injured that we changed rooms?
context: Yuzuki.\Yuzuki!\Hey, don't just barge in.\Shut up.\We used to be in the same room.\Not anymore.\Right.\Was it when I got injured that we changed rooms? response:	Go away already.
context: Yuzuki!\Hey, don't just barge in.\Shut up.\We used to be in the same room.\Not anymore.\Right.\Was it when I got injured that we changed rooms?\Go away already. response:	I can't talk to you anymore.
context: Hey, don't just barge in.\Shut up.\We used to be in the same room.\Not anymore.\Right.\Was it when I got injured that we changed rooms?\Go away already.\I can't talk to you anymore. response:	You don't care?
context: Shut up.\We used to be in the same room.\Not anymore.\Right.\Was it when I got injured that we changed rooms?\Go away already.\I can't talk to you anymore.\You don't care? response:	Of course not.
context: We used to be in the same room.\Not anymore.\Right.\Was it when I got injured that we changed rooms?\Go away already.\I can't talk to you anymore.\You don't care?\Of course not. response:	I don't need to talk to you.
context: Not anymore.\Right.\Was it when I got injured that we changed rooms?\Go away already.\I can't talk to you anymore.\You don't care?\Of course not.\I don't need to talk to you. response:	It's
context: Right.\Was it when I got injured that we changed rooms?\Go away already.\I can't talk to you anymore.\You don't care?\Of course not.\I don't need to talk to you.\It's response:	tougher than I thought for me.
context: Was it when I got injured that we changed rooms?\Go away already.\I can't talk to you anymore.\You don't care?\Of course not.\I don't need to talk to you.\It's\tougher than I thought for me. response:	Me, too.
context: Go away already.\I can't talk to you anymore.\You don't care?\Of course not.\I don't need to talk to you.\It's\tougher than I thought for me.\Me, too. response:	But Noel...
context: I can't talk to you anymore.\You don't care?\Of course not.\I don't need to talk to you.\It's\tougher than I thought for me.\Me, too.\But Noel... response:	Do you remember the day we called the saucer?
context: You don't care?\Of course not.\I don't need to talk to you.\It's\tougher than I thought for me.\Me, too.\But Noel...\Do you remember the day we called the saucer? response:	We had a stupid fight that morning.
context: Of course not.\I don't need to talk to you.\It's\tougher than I thought for me.\Me, too.\But Noel...\Do you remember the day we called the saucer?\We had a stupid fight that morning. response:	We did.
context: I don't need to talk to you.\It's\tougher than I thought for me.\Me, too.\But Noel...\Do you remember the day we called the saucer?\We had a stupid fight that morning.\We did. response:	We'd never even gotten into a fight until then.
context: It's\tougher than I thought for me.\Me, too.\But Noel...\Do you remember the day we called the saucer?\We had a stupid fight that morning.\We did.\We'd never even gotten into a fight until then. response:	We had no idea how to make up.
context: tougher than I thought for me.\Me, too.\But Noel...\Do you remember the day we called the saucer?\We had a stupid fight that morning.\We did.\We'd never even gotten into a fight until then.\We had no idea how to make up. response:	So I made a wish to the saucer.
context: Me, too.\But Noel...\Do you remember the day we called the saucer?\We had a stupid fight that morning.\We did.\We'd never even gotten into a fight until then.\We had no idea how to make up.\So I made a wish to the saucer. response:	Please grant my wish.
context: But Noel...\Do you remember the day we called the saucer?\We had a stupid fight that morning.\We did.\We'd never even gotten into a fight until then.\We had no idea how to make up.\So I made a wish to the saucer.\Please grant my wish. response:	That I'd be friends with these guys forever.
context: Do you remember the day we called the saucer?\We had a stupid fight that morning.\We did.\We'd never even gotten into a fight until then.\We had no idea how to make up.\So I made a wish to the saucer.\Please grant my wish.\That I'd be friends with these guys forever. response:	With you, too, of course.
context: We had a stupid fight that morning.\We did.\We'd never even gotten into a fight until then.\We had no idea how to make up.\So I made a wish to the saucer.\Please grant my wish.\That I'd be friends with these guys forever.\With you, too, of course. response:	The saucer we saw on the dock...
context: We did.\We'd never even gotten into a fight until then.\We had no idea how to make up.\So I made a wish to the saucer.\Please grant my wish.\That I'd be friends with these guys forever.\With you, too, of course.\The saucer we saw on the dock... response:	Maybe that was Noel granting my wish.
context: We'd never even gotten into a fight until then.\We had no idea how to make up.\So I made a wish to the saucer.\Please grant my wish.\That I'd be friends with these guys forever.\With you, too, of course.\The saucer we saw on the dock...\Maybe that was Noel granting my wish. response:	That's my guess.
context: We had no idea how to make up.\So I made a wish to the saucer.\Please grant my wish.\That I'd be friends with these guys forever.\With you, too, of course.\The saucer we saw on the dock...\Maybe that was Noel granting my wish.\That's my guess. response:	Me, too.
context: So I made a wish to the saucer.\Please grant my wish.\That I'd be friends with these guys forever.\With you, too, of course.\The saucer we saw on the dock...\Maybe that was Noel granting my wish.\That's my guess.\Me, too. response:	Because my wish was...
context: Please grant my wish.\That I'd be friends with these guys forever.\With you, too, of course.\The saucer we saw on the dock...\Maybe that was Noel granting my wish.\That's my guess.\Me, too.\Because my wish was... response:	Please grant my wish.
context: That I'd be friends with these guys forever.\With you, too, of course.\The saucer we saw on the dock...\Maybe that was Noel granting my wish.\That's my guess.\Me, too.\Because my wish was...\Please grant my wish. response:	That I would be able to make up
context: With you, too, of course.\The saucer we saw on the dock...\Maybe that was Noel granting my wish.\That's my guess.\Me, too.\Because my wish was...\Please grant my wish.\That I would be able to make up response:	after I fight with my brother or with my friends.
context: The saucer we saw on the dock...\Maybe that was Noel granting my wish.\That's my guess.\Me, too.\Because my wish was...\Please grant my wish.\That I would be able to make up\after I fight with my brother or with my friends. response:	Then maybe it's our turn to grant Noel's wish.
context: Maybe that was Noel granting my wish.\That's my guess.\Me, too.\Because my wish was...\Please grant my wish.\That I would be able to make up\after I fight with my brother or with my friends.\Then maybe it's our turn to grant Noel's wish. response:	Thanks, Koharu.
context: That's my guess.\Me, too.\Because my wish was...\Please grant my wish.\That I would be able to make up\after I fight with my brother or with my friends.\Then maybe it's our turn to grant Noel's wish.\Thanks, Koharu. response:	Not at all.
context: Me, too.\Because my wish was...\Please grant my wish.\That I would be able to make up\after I fight with my brother or with my friends.\Then maybe it's our turn to grant Noel's wish.\Thanks, Koharu.\Not at all. response:	When we called the saucer, I made a wish
context: Because my wish was...\Please grant my wish.\That I would be able to make up\after I fight with my brother or with my friends.\Then maybe it's our turn to grant Noel's wish.\Thanks, Koharu.\Not at all.\When we called the saucer, I made a wish response:	that we'd always be friends.
context: Please grant my wish.\That I would be able to make up\after I fight with my brother or with my friends.\Then maybe it's our turn to grant Noel's wish.\Thanks, Koharu.\Not at all.\When we called the saucer, I made a wish\that we'd always be friends. response:	I think it might be thanks to Noel-chan that we can still
context: That I would be able to make up\after I fight with my brother or with my friends.\Then maybe it's our turn to grant Noel's wish.\Thanks, Koharu.\Not at all.\When we called the saucer, I made a wish\that we'd always be friends.\I think it might be thanks to Noel-chan that we can still response:	be so close that we know how each other feels.
context: after I fight with my brother or with my friends.\Then maybe it's our turn to grant Noel's wish.\Thanks, Koharu.\Not at all.\When we called the saucer, I made a wish\that we'd always be friends.\I think it might be thanks to Noel-chan that we can still\be so close that we know how each other feels. response:	I'm borrowing this again.
context: Then maybe it's our turn to grant Noel's wish.\Thanks, Koharu.\Not at all.\When we called the saucer, I made a wish\that we'd always be friends.\I think it might be thanks to Noel-chan that we can still\be so close that we know how each other feels.\I'm borrowing this again. response:	Shione.
context: Thanks, Koharu.\Not at all.\When we called the saucer, I made a wish\that we'd always be friends.\I think it might be thanks to Noel-chan that we can still\be so close that we know how each other feels.\I'm borrowing this again.\Shione. response:	I know they're waiting.
context: Not at all.\When we called the saucer, I made a wish\that we'd always be friends.\I think it might be thanks to Noel-chan that we can still\be so close that we know how each other feels.\I'm borrowing this again.\Shione.\I know they're waiting. response:	At the observatory.
context: When we called the saucer, I made a wish\that we'd always be friends.\I think it might be thanks to Noel-chan that we can still\be so close that we know how each other feels.\I'm borrowing this again.\Shione.\I know they're waiting.\At the observatory. response:	Let's go.
context: that we'd always be friends.\I think it might be thanks to Noel-chan that we can still\be so close that we know how each other feels.\I'm borrowing this again.\Shione.\I know they're waiting.\At the observatory.\Let's go. response:	Noel.
context: I think it might be thanks to Noel-chan that we can still\be so close that we know how each other feels.\I'm borrowing this again.\Shione.\I know they're waiting.\At the observatory.\Let's go.\Noel. response:	Are you lost?
context: be so close that we know how each other feels.\I'm borrowing this again.\Shione.\I know they're waiting.\At the observatory.\Let's go.\Noel.\Are you lost? response:	I might be.
context: I'm borrowing this again.\Shione.\I know they're waiting.\At the observatory.\Let's go.\Noel.\Are you lost?\I might be. response:	I'm going ahead.
context: Shione.\I know they're waiting.\At the observatory.\Let's go.\Noel.\Are you lost?\I might be.\I'm going ahead. response:	I'll be waiting.
context: I know they're waiting.\At the observatory.\Let's go.\Noel.\Are you lost?\I might be.\I'm going ahead.\I'll be waiting. response:	Shione, let's go together.
context: At the observatory.\Let's go.\Noel.\Are you lost?\I might be.\I'm going ahead.\I'll be waiting.\Shione, let's go together. response:	Why?
context: Let's go.\Noel.\Are you lost?\I might be.\I'm going ahead.\I'll be waiting.\Shione, let's go together.\Why? response:	You're going to vanish, aren't you?
context: Noel.\Are you lost?\I might be.\I'm going ahead.\I'll be waiting.\Shione, let's go together.\Why?\You're going to vanish, aren't you? response:	We won't be able to see each other anymore, will we?
context: Are you lost?\I might be.\I'm going ahead.\I'll be waiting.\Shione, let's go together.\Why?\You're going to vanish, aren't you?\We won't be able to see each other anymore, will we? response:	So
context: I might be.\I'm going ahead.\I'll be waiting.\Shione, let's go together.\Why?\You're going to vanish, aren't you?\We won't be able to see each other anymore, will we?\So response:	how can you look like that?
context: I'm going ahead.\I'll be waiting.\Shione, let's go together.\Why?\You're going to vanish, aren't you?\We won't be able to see each other anymore, will we?\So\how can you look like that? response:	Aren't you sad?
context: I'll be waiting.\Shione, let's go together.\Why?\You're going to vanish, aren't you?\We won't be able to see each other anymore, will we?\So\how can you look like that?\Aren't you sad? response:	You won't see Nonoka and the others anymore.
context: Shione, let's go together.\Why?\You're going to vanish, aren't you?\We won't be able to see each other anymore, will we?\So\how can you look like that?\Aren't you sad?\You won't see Nonoka and the others anymore. response:	Don't you feel lonely?
context: Why?\You're going to vanish, aren't you?\We won't be able to see each other anymore, will we?\So\how can you look like that?\Aren't you sad?\You won't see Nonoka and the others anymore.\Don't you feel lonely? response:	I feel
