context: Understood. response:	I'll investigate here, too.
context: Yeah, we don't know what will happen.\Which means Misa's weapon's going out of control\might be related to that.\And...\The murderer's Byakumaru...\Its flavor text might have become real, too.\That means the murderer possesses not only a Royal Guard's armor,\but a powerful weapon, as well. response:	Byakumaru is a raid drop, isn't it?
context: Which means Misa's weapon's going out of control\might be related to that.\And...\The murderer's Byakumaru...\Its flavor text might have become real, too.\That means the murderer possesses not only a Royal Guard's armor,\but a powerful weapon, as well.\Byakumaru is a raid drop, isn't it? response:	Yes, it's from a raid monster in the tenth expansion pack,
context: might be related to that.\And...\The murderer's Byakumaru...\Its flavor text might have become real, too.\That means the murderer possesses not only a Royal Guard's armor,\but a powerful weapon, as well.\Byakumaru is a raid drop, isn't it?\Yes, it's from a raid monster in the tenth expansion pack, response:	the Death Warrior Rugrius.
context: And...\The murderer's Byakumaru...\Its flavor text might have become real, too.\That means the murderer possesses not only a Royal Guard's armor,\but a powerful weapon, as well.\Byakumaru is a raid drop, isn't it?\Yes, it's from a raid monster in the tenth expansion pack,\the Death Warrior Rugrius. response:	It was his katana.
context: The murderer's Byakumaru...\Its flavor text might have become real, too.\That means the murderer possesses not only a Royal Guard's armor,\but a powerful weapon, as well.\Byakumaru is a raid drop, isn't it?\Yes, it's from a raid monster in the tenth expansion pack,\the Death Warrior Rugrius.\It was his katana. response:	Rugrius?
context: Its flavor text might have become real, too.\That means the murderer possesses not only a Royal Guard's armor,\but a powerful weapon, as well.\Byakumaru is a raid drop, isn't it?\Yes, it's from a raid monster in the tenth expansion pack,\the Death Warrior Rugrius.\It was his katana.\Rugrius? response:	What does its flavor text say?
context: That means the murderer possesses not only a Royal Guard's armor,\but a powerful weapon, as well.\Byakumaru is a raid drop, isn't it?\Yes, it's from a raid monster in the tenth expansion pack,\the Death Warrior Rugrius.\It was his katana.\Rugrius?\What does its flavor text say? response:	It describes the legend of Rugrius, and how he became a monster.
context: but a powerful weapon, as well.\Byakumaru is a raid drop, isn't it?\Yes, it's from a raid monster in the tenth expansion pack,\the Death Warrior Rugrius.\It was his katana.\Rugrius?\What does its flavor text say?\It describes the legend of Rugrius, and how he became a monster. response:	He was originally one of the Izumo Knights, a hero of the Ice Wall,
context: Byakumaru is a raid drop, isn't it?\Yes, it's from a raid monster in the tenth expansion pack,\the Death Warrior Rugrius.\It was his katana.\Rugrius?\What does its flavor text say?\It describes the legend of Rugrius, and how he became a monster.\He was originally one of the Izumo Knights, a hero of the Ice Wall, response:	Legend/ Graupel Sword Byakumaru The favorite sword of Rugrius, the hero of Ezzo who drove the giants to the Jade Garden. This blade freezes everything, and contains the rage of the hero who met his death at the betrayal of the Daughter of Elm, Sutu Inaw.
context: Yes, it's from a raid monster in the tenth expansion pack,\the Death Warrior Rugrius.\It was his katana.\Rugrius?\What does its flavor text say?\It describes the legend of Rugrius, and how he became a monster.\He was originally one of the Izumo Knights, a hero of the Ice Wall,\Legend/ Graupel Sword Byakumaru The favorite sword of Rugrius, the hero of Ezzo who drove the giants to the Jade Garden. This blade freezes everything, and contains the rage of the hero who met his death at the betrayal of the Daughter of Elm, Sutu Inaw. response:	who fought for a century.
context: the Death Warrior Rugrius.\It was his katana.\Rugrius?\What does its flavor text say?\It describes the legend of Rugrius, and how he became a monster.\He was originally one of the Izumo Knights, a hero of the Ice Wall,\Legend/ Graupel Sword Byakumaru The favorite sword of Rugrius, the hero of Ezzo who drove the giants to the Jade Garden. This blade freezes everything, and contains the rage of the hero who met his death at the betrayal of the Daughter of Elm, Sutu Inaw.\who fought for a century. response:	He fought to protect the happiness of the people of Susukino,
context: It was his katana.\Rugrius?\What does its flavor text say?\It describes the legend of Rugrius, and how he became a monster.\He was originally one of the Izumo Knights, a hero of the Ice Wall,\Legend/ Graupel Sword Byakumaru The favorite sword of Rugrius, the hero of Ezzo who drove the giants to the Jade Garden. This blade freezes everything, and contains the rage of the hero who met his death at the betrayal of the Daughter of Elm, Sutu Inaw.\who fought for a century.\He fought to protect the happiness of the people of Susukino, response:	and he drove away the evil giants.
context: Rugrius?\What does its flavor text say?\It describes the legend of Rugrius, and how he became a monster.\He was originally one of the Izumo Knights, a hero of the Ice Wall,\Legend/ Graupel Sword Byakumaru The favorite sword of Rugrius, the hero of Ezzo who drove the giants to the Jade Garden. This blade freezes everything, and contains the rage of the hero who met his death at the betrayal of the Daughter of Elm, Sutu Inaw.\who fought for a century.\He fought to protect the happiness of the people of Susukino,\and he drove away the evil giants. response:	He was truly the Ezzo Empire's hero.
context: What does its flavor text say?\It describes the legend of Rugrius, and how he became a monster.\He was originally one of the Izumo Knights, a hero of the Ice Wall,\Legend/ Graupel Sword Byakumaru The favorite sword of Rugrius, the hero of Ezzo who drove the giants to the Jade Garden. This blade freezes everything, and contains the rage of the hero who met his death at the betrayal of the Daughter of Elm, Sutu Inaw.\who fought for a century.\He fought to protect the happiness of the people of Susukino,\and he drove away the evil giants.\He was truly the Ezzo Empire's hero. response:	But...
context: It describes the legend of Rugrius, and how he became a monster.\He was originally one of the Izumo Knights, a hero of the Ice Wall,\Legend/ Graupel Sword Byakumaru The favorite sword of Rugrius, the hero of Ezzo who drove the giants to the Jade Garden. This blade freezes everything, and contains the rage of the hero who met his death at the betrayal of the Daughter of Elm, Sutu Inaw.\who fought for a century.\He fought to protect the happiness of the people of Susukino,\and he drove away the evil giants.\He was truly the Ezzo Empire's hero.\But... response:	He was betrayed by the Daughter of Elm,
context: He was originally one of the Izumo Knights, a hero of the Ice Wall,\Legend/ Graupel Sword Byakumaru The favorite sword of Rugrius, the hero of Ezzo who drove the giants to the Jade Garden. This blade freezes everything, and contains the rage of the hero who met his death at the betrayal of the Daughter of Elm, Sutu Inaw.\who fought for a century.\He fought to protect the happiness of the people of Susukino,\and he drove away the evil giants.\He was truly the Ezzo Empire's hero.\But...\He was betrayed by the Daughter of Elm, response:	Sutu Inaw, and poisoned to death.
context: Legend/ Graupel Sword Byakumaru The favorite sword of Rugrius, the hero of Ezzo who drove the giants to the Jade Garden. This blade freezes everything, and contains the rage of the hero who met his death at the betrayal of the Daughter of Elm, Sutu Inaw.\who fought for a century.\He fought to protect the happiness of the people of Susukino,\and he drove away the evil giants.\He was truly the Ezzo Empire's hero.\But...\He was betrayed by the Daughter of Elm,\Sutu Inaw, and poisoned to death. response:	So, as a raid monster, Rugrius was described as angry and hateful.
context: who fought for a century.\He fought to protect the happiness of the people of Susukino,\and he drove away the evil giants.\He was truly the Ezzo Empire's hero.\But...\He was betrayed by the Daughter of Elm,\Sutu Inaw, and poisoned to death.\So, as a raid monster, Rugrius was described as angry and hateful. response:	That's quite a dark story.
context: He fought to protect the happiness of the people of Susukino,\and he drove away the evil giants.\He was truly the Ezzo Empire's hero.\But...\He was betrayed by the Daughter of Elm,\Sutu Inaw, and poisoned to death.\So, as a raid monster, Rugrius was described as angry and hateful.\That's quite a dark story. response:	Then that hateful spirit has become real,
context: and he drove away the evil giants.\He was truly the Ezzo Empire's hero.\But...\He was betrayed by the Daughter of Elm,\Sutu Inaw, and poisoned to death.\So, as a raid monster, Rugrius was described as angry and hateful.\That's quite a dark story.\Then that hateful spirit has become real, response:	and is giving the murderer power?
context: He was truly the Ezzo Empire's hero.\But...\He was betrayed by the Daughter of Elm,\Sutu Inaw, and poisoned to death.\So, as a raid monster, Rugrius was described as angry and hateful.\That's quite a dark story.\Then that hateful spirit has become real,\and is giving the murderer power? response:	That's ridiculous!
context: But...\He was betrayed by the Daughter of Elm,\Sutu Inaw, and poisoned to death.\So, as a raid monster, Rugrius was described as angry and hateful.\That's quite a dark story.\Then that hateful spirit has become real,\and is giving the murderer power?\That's ridiculous! response:	S-Sorry, I just...
context: He was betrayed by the Daughter of Elm,\Sutu Inaw, and poisoned to death.\So, as a raid monster, Rugrius was described as angry and hateful.\That's quite a dark story.\Then that hateful spirit has become real,\and is giving the murderer power?\That's ridiculous!\S-Sorry, I just... response:	If that's the case, we can use it to our advantage in our planning.
context: Sutu Inaw, and poisoned to death.\So, as a raid monster, Rugrius was described as angry and hateful.\That's quite a dark story.\Then that hateful spirit has become real,\and is giving the murderer power?\That's ridiculous!\S-Sorry, I just...\If that's the case, we can use it to our advantage in our planning. response:	No... No!
context: So, as a raid monster, Rugrius was described as angry and hateful.\That's quite a dark story.\Then that hateful spirit has become real,\and is giving the murderer power?\That's ridiculous!\S-Sorry, I just...\If that's the case, we can use it to our advantage in our planning.\No... No! response:	I'm not Rugrius!
context: That's quite a dark story.\Then that hateful spirit has become real,\and is giving the murderer power?\That's ridiculous!\S-Sorry, I just...\If that's the case, we can use it to our advantage in our planning.\No... No!\I'm not Rugrius! response:	I am a proud Defender!
context: Then that hateful spirit has become real,\and is giving the murderer power?\That's ridiculous!\S-Sorry, I just...\If that's the case, we can use it to our advantage in our planning.\No... No!\I'm not Rugrius!\I am a proud Defender! response:	That's right, Nelreth.
context: and is giving the murderer power?\That's ridiculous!\S-Sorry, I just...\If that's the case, we can use it to our advantage in our planning.\No... No!\I'm not Rugrius!\I am a proud Defender!\That's right, Nelreth. response:	You aren't the town guard dog.
context: That's ridiculous!\S-Sorry, I just...\If that's the case, we can use it to our advantage in our planning.\No... No!\I'm not Rugrius!\I am a proud Defender!\That's right, Nelreth.\You aren't the town guard dog. response:	You are a chosen hero, with the power to surpass the adventurers.
context: S-Sorry, I just...\If that's the case, we can use it to our advantage in our planning.\No... No!\I'm not Rugrius!\I am a proud Defender!\That's right, Nelreth.\You aren't the town guard dog.\You are a chosen hero, with the power to surpass the adventurers. response:	Together, we shall avenge ourselves upon the Daughter of Elm
context: If that's the case, we can use it to our advantage in our planning.\No... No!\I'm not Rugrius!\I am a proud Defender!\That's right, Nelreth.\You aren't the town guard dog.\You are a chosen hero, with the power to surpass the adventurers.\Together, we shall avenge ourselves upon the Daughter of Elm response:	and the humans...
context: No... No!\I'm not Rugrius!\I am a proud Defender!\That's right, Nelreth.\You aren't the town guard dog.\You are a chosen hero, with the power to surpass the adventurers.\Together, we shall avenge ourselves upon the Daughter of Elm\and the humans... response:	The flavor text is becoming real.
context: I'm not Rugrius!\I am a proud Defender!\That's right, Nelreth.\You aren't the town guard dog.\You are a chosen hero, with the power to surpass the adventurers.\Together, we shall avenge ourselves upon the Daughter of Elm\and the humans...\The flavor text is becoming real. response:	If I'd had Byakumaru, what would have happened to me?
context: I am a proud Defender!\That's right, Nelreth.\You aren't the town guard dog.\You are a chosen hero, with the power to surpass the adventurers.\Together, we shall avenge ourselves upon the Daughter of Elm\and the humans...\The flavor text is becoming real.\If I'd had Byakumaru, what would have happened to me? response:	With that ugly jealousy I felt toward Minori...
context: That's right, Nelreth.\You aren't the town guard dog.\You are a chosen hero, with the power to surpass the adventurers.\Together, we shall avenge ourselves upon the Daughter of Elm\and the humans...\The flavor text is becoming real.\If I'd had Byakumaru, what would have happened to me?\With that ugly jealousy I felt toward Minori... response:	Amenoma
context: You aren't the town guard dog.\You are a chosen hero, with the power to surpass the adventurers.\Together, we shall avenge ourselves upon the Daughter of Elm\and the humans...\The flavor text is becoming real.\If I'd had Byakumaru, what would have happened to me?\With that ugly jealousy I felt toward Minori...\Amenoma response:	Are you sure?
context: You are a chosen hero, with the power to surpass the adventurers.\Together, we shall avenge ourselves upon the Daughter of Elm\and the humans...\The flavor text is becoming real.\If I'd had Byakumaru, what would have happened to me?\With that ugly jealousy I felt toward Minori...\Amenoma\Are you sure? response:	I think it's better to stay out of it.
context: Together, we shall avenge ourselves upon the Daughter of Elm\and the humans...\The flavor text is becoming real.\If I'd had Byakumaru, what would have happened to me?\With that ugly jealousy I felt toward Minori...\Amenoma\Are you sure?\I think it's better to stay out of it. response:	His little friend will find the answer on her own.
context: and the humans...\The flavor text is becoming real.\If I'd had Byakumaru, what would have happened to me?\With that ugly jealousy I felt toward Minori...\Amenoma\Are you sure?\I think it's better to stay out of it.\His little friend will find the answer on her own. response:	Will it really be in the Teachings?
context: The flavor text is becoming real.\If I'd had Byakumaru, what would have happened to me?\With that ugly jealousy I felt toward Minori...\Amenoma\Are you sure?\I think it's better to stay out of it.\His little friend will find the answer on her own.\Will it really be in the Teachings? response:	Thanks.
context: If I'd had Byakumaru, what would have happened to me?\With that ugly jealousy I felt toward Minori...\Amenoma\Are you sure?\I think it's better to stay out of it.\His little friend will find the answer on her own.\Will it really be in the Teachings?\Thanks. response:	They are mere teachings, but they are the Teachings.
context: With that ugly jealousy I felt toward Minori...\Amenoma\Are you sure?\I think it's better to stay out of it.\His little friend will find the answer on her own.\Will it really be in the Teachings?\Thanks.\They are mere teachings, but they are the Teachings. response:	I believe in the strength of girls.
context: Amenoma\Are you sure?\I think it's better to stay out of it.\His little friend will find the answer on her own.\Will it really be in the Teachings?\Thanks.\They are mere teachings, but they are the Teachings.\I believe in the strength of girls. response:	Okay, we're going to begin training.
context: Are you sure?\I think it's better to stay out of it.\His little friend will find the answer on her own.\Will it really be in the Teachings?\Thanks.\They are mere teachings, but they are the Teachings.\I believe in the strength of girls.\Okay, we're going to begin training. response:	Our goal is to take out the murderer.
context: I think it's better to stay out of it.\His little friend will find the answer on her own.\Will it really be in the Teachings?\Thanks.\They are mere teachings, but they are the Teachings.\I believe in the strength of girls.\Okay, we're going to begin training.\Our goal is to take out the murderer. response:	In accordance with Rieze's plan, the raid teams will train
context: His little friend will find the answer on her own.\Will it really be in the Teachings?\Thanks.\They are mere teachings, but they are the Teachings.\I believe in the strength of girls.\Okay, we're going to begin training.\Our goal is to take out the murderer.\In accordance with Rieze's plan, the raid teams will train response:	to learn about each other and fight effectively.
context: Will it really be in the Teachings?\Thanks.\They are mere teachings, but they are the Teachings.\I believe in the strength of girls.\Okay, we're going to begin training.\Our goal is to take out the murderer.\In accordance with Rieze's plan, the raid teams will train\to learn about each other and fight effectively. response:	Oh, right.
context: Thanks.\They are mere teachings, but they are the Teachings.\I believe in the strength of girls.\Okay, we're going to begin training.\Our goal is to take out the murderer.\In accordance with Rieze's plan, the raid teams will train\to learn about each other and fight effectively.\Oh, right. response:	She wants to know the Teachings.
context: They are mere teachings, but they are the Teachings.\I believe in the strength of girls.\Okay, we're going to begin training.\Our goal is to take out the murderer.\In accordance with Rieze's plan, the raid teams will train\to learn about each other and fight effectively.\Oh, right.\She wants to know the Teachings. response:	Everyone teach her what you know.
context: I believe in the strength of girls.\Okay, we're going to begin training.\Our goal is to take out the murderer.\In accordance with Rieze's plan, the raid teams will train\to learn about each other and fight effectively.\Oh, right.\She wants to know the Teachings.\Everyone teach her what you know. response:	Um, I don't have much to offer, but I look forward to our time together.
context: Okay, we're going to begin training.\Our goal is to take out the murderer.\In accordance with Rieze's plan, the raid teams will train\to learn about each other and fight effectively.\Oh, right.\She wants to know the Teachings.\Everyone teach her what you know.\Um, I don't have much to offer, but I look forward to our time together. response:	That sounds like you want to get married!
context: Our goal is to take out the murderer.\In accordance with Rieze's plan, the raid teams will train\to learn about each other and fight effectively.\Oh, right.\She wants to know the Teachings.\Everyone teach her what you know.\Um, I don't have much to offer, but I look forward to our time together.\That sounds like you want to get married! response:	If Henrietta heard that, she'd be freaking out!
context: In accordance with Rieze's plan, the raid teams will train\to learn about each other and fight effectively.\Oh, right.\She wants to know the Teachings.\Everyone teach her what you know.\Um, I don't have much to offer, but I look forward to our time together.\That sounds like you want to get married!\If Henrietta heard that, she'd be freaking out! response:	We want to be strong, too!
context: to learn about each other and fight effectively.\Oh, right.\She wants to know the Teachings.\Everyone teach her what you know.\Um, I don't have much to offer, but I look forward to our time together.\That sounds like you want to get married!\If Henrietta heard that, she'd be freaking out!\We want to be strong, too! response:	Let's all do our best, Akatsuki!
context: Oh, right.\She wants to know the Teachings.\Everyone teach her what you know.\Um, I don't have much to offer, but I look forward to our time together.\That sounds like you want to get married!\If Henrietta heard that, she'd be freaking out!\We want to be strong, too!\Let's all do our best, Akatsuki! response:	Feels good to say what's on your mind, right?
context: She wants to know the Teachings.\Everyone teach her what you know.\Um, I don't have much to offer, but I look forward to our time together.\That sounds like you want to get married!\If Henrietta heard that, she'd be freaking out!\We want to be strong, too!\Let's all do our best, Akatsuki!\Feels good to say what's on your mind, right? response:	Is everyone ready?
context: Everyone teach her what you know.\Um, I don't have much to offer, but I look forward to our time together.\That sounds like you want to get married!\If Henrietta heard that, she'd be freaking out!\We want to be strong, too!\Let's all do our best, Akatsuki!\Feels good to say what's on your mind, right?\Is everyone ready? response:	First, you need to be able to judge distance by sight.
context: Um, I don't have much to offer, but I look forward to our time together.\That sounds like you want to get married!\If Henrietta heard that, she'd be freaking out!\We want to be strong, too!\Let's all do our best, Akatsuki!\Feels good to say what's on your mind, right?\Is everyone ready?\First, you need to be able to judge distance by sight. response:	Teachings? I'm not sure...
context: That sounds like you want to get married!\If Henrietta heard that, she'd be freaking out!\We want to be strong, too!\Let's all do our best, Akatsuki!\Feels good to say what's on your mind, right?\Is everyone ready?\First, you need to be able to judge distance by sight.\Teachings? I'm not sure... response:	Anything you know would help. Please.
context: If Henrietta heard that, she'd be freaking out!\We want to be strong, too!\Let's all do our best, Akatsuki!\Feels good to say what's on your mind, right?\Is everyone ready?\First, you need to be able to judge distance by sight.\Teachings? I'm not sure...\Anything you know would help. Please. response:	It's not something you can get by clearing a raid or getting an item...
context: We want to be strong, too!\Let's all do our best, Akatsuki!\Feels good to say what's on your mind, right?\Is everyone ready?\First, you need to be able to judge distance by sight.\Teachings? I'm not sure...\Anything you know would help. Please.\It's not something you can get by clearing a raid or getting an item... response:	That's right.
context: Let's all do our best, Akatsuki!\Feels good to say what's on your mind, right?\Is everyone ready?\First, you need to be able to judge distance by sight.\Teachings? I'm not sure...\Anything you know would help. Please.\It's not something you can get by clearing a raid or getting an item...\That's right. response:	It's nothing that special.
context: Feels good to say what's on your mind, right?\Is everyone ready?\First, you need to be able to judge distance by sight.\Teachings? I'm not sure...\Anything you know would help. Please.\It's not something you can get by clearing a raid or getting an item...\That's right.\It's nothing that special. response:	And it's not something you can just teach someone.
context: Is everyone ready?\First, you need to be able to judge distance by sight.\Teachings? I'm not sure...\Anything you know would help. Please.\It's not something you can get by clearing a raid or getting an item...\That's right.\It's nothing that special.\And it's not something you can just teach someone. response:	For example, our guild master's Teachings give him an ability called Eyes of the Void.
context: First, you need to be able to judge distance by sight.\Teachings? I'm not sure...\Anything you know would help. Please.\It's not something you can get by clearing a raid or getting an item...\That's right.\It's nothing that special.\And it's not something you can just teach someone.\For example, our guild master's Teachings give him an ability called Eyes of the Void. response:	It lets him visualize a target's HP and status, even if he can't see them.
context: Teachings? I'm not sure...\Anything you know would help. Please.\It's not something you can get by clearing a raid or getting an item...\That's right.\It's nothing that special.\And it's not something you can just teach someone.\For example, our guild master's Teachings give him an ability called Eyes of the Void.\It lets him visualize a target's HP and status, even if he can't see them. response:	With this ability,
context: Anything you know would help. Please.\It's not something you can get by clearing a raid or getting an item...\That's right.\It's nothing that special.\And it's not something you can just teach someone.\For example, our guild master's Teachings give him an ability called Eyes of the Void.\It lets him visualize a target's HP and status, even if he can't see them.\With this ability, response:	I can know the HP of players behind me, so it's pretty handy.
context: It's not something you can get by clearing a raid or getting an item...\That's right.\It's nothing that special.\And it's not something you can just teach someone.\For example, our guild master's Teachings give him an ability called Eyes of the Void.\It lets him visualize a target's HP and status, even if he can't see them.\With this ability,\I can know the HP of players behind me, so it's pretty handy. response:	I see!
context: That's right.\It's nothing that special.\And it's not something you can just teach someone.\For example, our guild master's Teachings give him an ability called Eyes of the Void.\It lets him visualize a target's HP and status, even if he can't see them.\With this ability,\I can know the HP of players behind me, so it's pretty handy.\I see! response:	But only the guild master can do it,
