context: Yeah, she got angry at me after all. response:	It was like she was possessed by a demon.
context: Today we all went to the hospital to visit Jintan's mom.\We visited the hospital huh?\We did do that often, all of us together.\Mom!\Jintan's mom is always in the hospital.\I have an idea! Let's all write a letter to God.\Please make Jintan's mom better soon!\How would we do that? response:	Look at that Jintan!
context: We visited the hospital huh?\We did do that often, all of us together.\Mom!\Jintan's mom is always in the hospital.\I have an idea! Let's all write a letter to God.\Please make Jintan's mom better soon!\How would we do that?\Look at that Jintan! response:	I remember now. Back then...
context: We did do that often, all of us together.\Mom!\Jintan's mom is always in the hospital.\I have an idea! Let's all write a letter to God.\Please make Jintan's mom better soon!\How would we do that?\Look at that Jintan!\I remember now. Back then... response:	Jintan?
context: Mom!\Jintan's mom is always in the hospital.\I have an idea! Let's all write a letter to God.\Please make Jintan's mom better soon!\How would we do that?\Look at that Jintan!\I remember now. Back then...\Jintan? response:	We decided that we'll make fireworks together.
context: Jintan's mom is always in the hospital.\I have an idea! Let's all write a letter to God.\Please make Jintan's mom better soon!\How would we do that?\Look at that Jintan!\I remember now. Back then...\Jintan?\We decided that we'll make fireworks together. response:	We think that it will be tough.
context: I have an idea! Let's all write a letter to God.\Please make Jintan's mom better soon!\How would we do that?\Look at that Jintan!\I remember now. Back then...\Jintan?\We decided that we'll make fireworks together.\We think that it will be tough. response:	But we'll do our best.
context: Please make Jintan's mom better soon!\How would we do that?\Look at that Jintan!\I remember now. Back then...\Jintan?\We decided that we'll make fireworks together.\We think that it will be tough.\But we'll do our best. response:	Now I remember!
context: How would we do that?\Look at that Jintan!\I remember now. Back then...\Jintan?\We decided that we'll make fireworks together.\We think that it will be tough.\But we'll do our best.\Now I remember! response:	We were going to attach a letter to a rocket and send it to God.
context: Look at that Jintan!\I remember now. Back then...\Jintan?\We decided that we'll make fireworks together.\We think that it will be tough.\But we'll do our best.\Now I remember!\We were going to attach a letter to a rocket and send it to God. response:	Do you think this is her wish?
context: I remember now. Back then...\Jintan?\We decided that we'll make fireworks together.\We think that it will be tough.\But we'll do our best.\Now I remember!\We were going to attach a letter to a rocket and send it to God.\Do you think this is her wish? response:	That's it! That must be it.
context: Jintan?\We decided that we'll make fireworks together.\We think that it will be tough.\But we'll do our best.\Now I remember!\We were going to attach a letter to a rocket and send it to God.\Do you think this is her wish?\That's it! That must be it. response:	We wanted to make one but in the end we couldn't.
context: We decided that we'll make fireworks together.\We think that it will be tough.\But we'll do our best.\Now I remember!\We were going to attach a letter to a rocket and send it to God.\Do you think this is her wish?\That's it! That must be it.\We wanted to make one but in the end we couldn't. response:	What do you think Yadomi?
context: We think that it will be tough.\But we'll do our best.\Now I remember!\We were going to attach a letter to a rocket and send it to God.\Do you think this is her wish?\That's it! That must be it.\We wanted to make one but in the end we couldn't.\What do you think Yadomi? response:	For my mom...
context: But we'll do our best.\Now I remember!\We were going to attach a letter to a rocket and send it to God.\Do you think this is her wish?\That's it! That must be it.\We wanted to make one but in the end we couldn't.\What do you think Yadomi?\For my mom... response:	Late Jintan.
context: Now I remember!\We were going to attach a letter to a rocket and send it to God.\Do you think this is her wish?\That's it! That must be it.\We wanted to make one but in the end we couldn't.\What do you think Yadomi?\For my mom...\Late Jintan. response:	Delinquent Jintan.
context: We were going to attach a letter to a rocket and send it to God.\Do you think this is her wish?\That's it! That must be it.\We wanted to make one but in the end we couldn't.\What do you think Yadomi?\For my mom...\Late Jintan.\Delinquent Jintan. response:	Evil Jintan.
context: Do you think this is her wish?\That's it! That must be it.\We wanted to make one but in the end we couldn't.\What do you think Yadomi?\For my mom...\Late Jintan.\Delinquent Jintan.\Evil Jintan. response:	Ouchie.
context: That's it! That must be it.\We wanted to make one but in the end we couldn't.\What do you think Yadomi?\For my mom...\Late Jintan.\Delinquent Jintan.\Evil Jintan.\Ouchie. response:	I wasn't thinking about Jintan at all.
context: We wanted to make one but in the end we couldn't.\What do you think Yadomi?\For my mom...\Late Jintan.\Delinquent Jintan.\Evil Jintan.\Ouchie.\I wasn't thinking about Jintan at all. response:	You'll turn into a pig if you eat late at night.
context: What do you think Yadomi?\For my mom...\Late Jintan.\Delinquent Jintan.\Evil Jintan.\Ouchie.\I wasn't thinking about Jintan at all.\You'll turn into a pig if you eat late at night. response:	You're the one who'll turn into a pig.
context: For my mom...\Late Jintan.\Delinquent Jintan.\Evil Jintan.\Ouchie.\I wasn't thinking about Jintan at all.\You'll turn into a pig if you eat late at night.\You're the one who'll turn into a pig. response:	That's salt ramen. With egg.
context: Late Jintan.\Delinquent Jintan.\Evil Jintan.\Ouchie.\I wasn't thinking about Jintan at all.\You'll turn into a pig if you eat late at night.\You're the one who'll turn into a pig.\That's salt ramen. With egg. response:	They were out of Ken-chan ramen.
context: Delinquent Jintan.\Evil Jintan.\Ouchie.\I wasn't thinking about Jintan at all.\You'll turn into a pig if you eat late at night.\You're the one who'll turn into a pig.\That's salt ramen. With egg.\They were out of Ken-chan ramen. response:	I thought I'd cheer you up by giving you a treat.
context: Evil Jintan.\Ouchie.\I wasn't thinking about Jintan at all.\You'll turn into a pig if you eat late at night.\You're the one who'll turn into a pig.\That's salt ramen. With egg.\They were out of Ken-chan ramen.\I thought I'd cheer you up by giving you a treat. response:	Jintan.
context: Ouchie.\I wasn't thinking about Jintan at all.\You'll turn into a pig if you eat late at night.\You're the one who'll turn into a pig.\That's salt ramen. With egg.\They were out of Ken-chan ramen.\I thought I'd cheer you up by giving you a treat.\Jintan. response:	It's tasty!
context: I wasn't thinking about Jintan at all.\You'll turn into a pig if you eat late at night.\You're the one who'll turn into a pig.\That's salt ramen. With egg.\They were out of Ken-chan ramen.\I thought I'd cheer you up by giving you a treat.\Jintan.\It's tasty! response:	My dad's coming home soon, so hurry up.
context: You'll turn into a pig if you eat late at night.\You're the one who'll turn into a pig.\That's salt ramen. With egg.\They were out of Ken-chan ramen.\I thought I'd cheer you up by giving you a treat.\Jintan.\It's tasty!\My dad's coming home soon, so hurry up. response:	Oh yeah, I'm going to school tomorrow too.
context: You're the one who'll turn into a pig.\That's salt ramen. With egg.\They were out of Ken-chan ramen.\I thought I'd cheer you up by giving you a treat.\Jintan.\It's tasty!\My dad's coming home soon, so hurry up.\Oh yeah, I'm going to school tomorrow too. response:	So... don't follow me.
context: That's salt ramen. With egg.\They were out of Ken-chan ramen.\I thought I'd cheer you up by giving you a treat.\Jintan.\It's tasty!\My dad's coming home soon, so hurry up.\Oh yeah, I'm going to school tomorrow too.\So... don't follow me. response:	I'm proud of you!
context: They were out of Ken-chan ramen.\I thought I'd cheer you up by giving you a treat.\Jintan.\It's tasty!\My dad's coming home soon, so hurry up.\Oh yeah, I'm going to school tomorrow too.\So... don't follow me.\I'm proud of you! response:	Here's you reward.
context: I thought I'd cheer you up by giving you a treat.\Jintan.\It's tasty!\My dad's coming home soon, so hurry up.\Oh yeah, I'm going to school tomorrow too.\So... don't follow me.\I'm proud of you!\Here's you reward. response:	I don't want it.
context: Jintan.\It's tasty!\My dad's coming home soon, so hurry up.\Oh yeah, I'm going to school tomorrow too.\So... don't follow me.\I'm proud of you!\Here's you reward.\I don't want it. response:	Just make sure not to do weird stuff anymore.
context: It's tasty!\My dad's coming home soon, so hurry up.\Oh yeah, I'm going to school tomorrow too.\So... don't follow me.\I'm proud of you!\Here's you reward.\I don't want it.\Just make sure not to do weird stuff anymore. response:	So why are you wearing your uniform even though you're skipping school?
context: My dad's coming home soon, so hurry up.\Oh yeah, I'm going to school tomorrow too.\So... don't follow me.\I'm proud of you!\Here's you reward.\I don't want it.\Just make sure not to do weird stuff anymore.\So why are you wearing your uniform even though you're skipping school? response:	What's the problem? I have the freedom to choose the way I dress and...
context: Oh yeah, I'm going to school tomorrow too.\So... don't follow me.\I'm proud of you!\Here's you reward.\I don't want it.\Just make sure not to do weird stuff anymore.\So why are you wearing your uniform even though you're skipping school?\What's the problem? I have the freedom to choose the way I dress and... response:	Nope.
context: So... don't follow me.\I'm proud of you!\Here's you reward.\I don't want it.\Just make sure not to do weird stuff anymore.\So why are you wearing your uniform even though you're skipping school?\What's the problem? I have the freedom to choose the way I dress and...\Nope. response:	Huh?
context: I'm proud of you!\Here's you reward.\I don't want it.\Just make sure not to do weird stuff anymore.\So why are you wearing your uniform even though you're skipping school?\What's the problem? I have the freedom to choose the way I dress and...\Nope.\Huh? response:	According to the Conflagrating Substance Control Law,
context: Here's you reward.\I don't want it.\Just make sure not to do weird stuff anymore.\So why are you wearing your uniform even though you're skipping school?\What's the problem? I have the freedom to choose the way I dress and...\Nope.\Huh?\According to the Conflagrating Substance Control Law, response:	You have to be 18 to get a nationally recognized license to possess or handle fireworks.
context: I don't want it.\Just make sure not to do weird stuff anymore.\So why are you wearing your uniform even though you're skipping school?\What's the problem? I have the freedom to choose the way I dress and...\Nope.\Huh?\According to the Conflagrating Substance Control Law,\You have to be 18 to get a nationally recognized license to possess or handle fireworks. response:	Are you serious?
context: Just make sure not to do weird stuff anymore.\So why are you wearing your uniform even though you're skipping school?\What's the problem? I have the freedom to choose the way I dress and...\Nope.\Huh?\According to the Conflagrating Substance Control Law,\You have to be 18 to get a nationally recognized license to possess or handle fireworks.\Are you serious? response:	It looks like little toy fireworks are an exception,
context: So why are you wearing your uniform even though you're skipping school?\What's the problem? I have the freedom to choose the way I dress and...\Nope.\Huh?\According to the Conflagrating Substance Control Law,\You have to be 18 to get a nationally recognized license to possess or handle fireworks.\Are you serious?\It looks like little toy fireworks are an exception, response:	but you need a license for those too.
context: What's the problem? I have the freedom to choose the way I dress and...\Nope.\Huh?\According to the Conflagrating Substance Control Law,\You have to be 18 to get a nationally recognized license to possess or handle fireworks.\Are you serious?\It looks like little toy fireworks are an exception,\but you need a license for those too. response:	Looks like it's hopeless.
context: Nope.\Huh?\According to the Conflagrating Substance Control Law,\You have to be 18 to get a nationally recognized license to possess or handle fireworks.\Are you serious?\It looks like little toy fireworks are an exception,\but you need a license for those too.\Looks like it's hopeless. response:	Yeah. If you think about it, we're not even remotely qualified to make fireworks...
context: Huh?\According to the Conflagrating Substance Control Law,\You have to be 18 to get a nationally recognized license to possess or handle fireworks.\Are you serious?\It looks like little toy fireworks are an exception,\but you need a license for those too.\Looks like it's hopeless.\Yeah. If you think about it, we're not even remotely qualified to make fireworks... response:	Come to think of it, while cleaning the other day...
context: According to the Conflagrating Substance Control Law,\You have to be 18 to get a nationally recognized license to possess or handle fireworks.\Are you serious?\It looks like little toy fireworks are an exception,\but you need a license for those too.\Looks like it's hopeless.\Yeah. If you think about it, we're not even remotely qualified to make fireworks...\Come to think of it, while cleaning the other day... response:	Is this for real?
context: You have to be 18 to get a nationally recognized license to possess or handle fireworks.\Are you serious?\It looks like little toy fireworks are an exception,\but you need a license for those too.\Looks like it's hopeless.\Yeah. If you think about it, we're not even remotely qualified to make fireworks...\Come to think of it, while cleaning the other day...\Is this for real? response:	Get a bunch of fireworks and mix the powder together to make one big one!
context: Are you serious?\It looks like little toy fireworks are an exception,\but you need a license for those too.\Looks like it's hopeless.\Yeah. If you think about it, we're not even remotely qualified to make fireworks...\Come to think of it, while cleaning the other day...\Is this for real?\Get a bunch of fireworks and mix the powder together to make one big one! response:	Stick it into a toilet paper roll.
context: It looks like little toy fireworks are an exception,\but you need a license for those too.\Looks like it's hopeless.\Yeah. If you think about it, we're not even remotely qualified to make fireworks...\Come to think of it, while cleaning the other day...\Is this for real?\Get a bunch of fireworks and mix the powder together to make one big one!\Stick it into a toilet paper roll. response:	No! It'll burn!
context: but you need a license for those too.\Looks like it's hopeless.\Yeah. If you think about it, we're not even remotely qualified to make fireworks...\Come to think of it, while cleaning the other day...\Is this for real?\Get a bunch of fireworks and mix the powder together to make one big one!\Stick it into a toilet paper roll.\No! It'll burn! response:	Isn't that the point?
context: Looks like it's hopeless.\Yeah. If you think about it, we're not even remotely qualified to make fireworks...\Come to think of it, while cleaning the other day...\Is this for real?\Get a bunch of fireworks and mix the powder together to make one big one!\Stick it into a toilet paper roll.\No! It'll burn!\Isn't that the point? response:	This is scary! Kids are scary!
context: Yeah. If you think about it, we're not even remotely qualified to make fireworks...\Come to think of it, while cleaning the other day...\Is this for real?\Get a bunch of fireworks and mix the powder together to make one big one!\Stick it into a toilet paper roll.\No! It'll burn!\Isn't that the point?\This is scary! Kids are scary! response:	But back then we thought this could work.
context: Come to think of it, while cleaning the other day...\Is this for real?\Get a bunch of fireworks and mix the powder together to make one big one!\Stick it into a toilet paper roll.\No! It'll burn!\Isn't that the point?\This is scary! Kids are scary!\But back then we thought this could work. response:	Yeah. We really thought we could get this flying back then.
