context: Where are they taking us? response:	Sorry, Vivian.
context: They stopped us right when things were heating up.\Well\This isn't the time.\Men.\Hey, watch where you're touching!\It's not on purpose, I swear!\Stop being horny!\I'm not, I'm not! response:	Shut it down! Close shop! Sit, boy!
context: Well\This isn't the time.\Men.\Hey, watch where you're touching!\It's not on purpose, I swear!\Stop being horny!\I'm not, I'm not!\Shut it down! Close shop! Sit, boy! response:	The Other Earth
context: This isn't the time.\Men.\Hey, watch where you're touching!\It's not on purpose, I swear!\Stop being horny!\I'm not, I'm not!\Shut it down! Close shop! Sit, boy!\The Other Earth response:	We're here.
context: Men.\Hey, watch where you're touching!\It's not on purpose, I swear!\Stop being horny!\I'm not, I'm not!\Shut it down! Close shop! Sit, boy!\The Other Earth\We're here. response:	Get out.
context: Hey, watch where you're touching!\It's not on purpose, I swear!\Stop being horny!\I'm not, I'm not!\Shut it down! Close shop! Sit, boy!\The Other Earth\We're here.\Get out. response:	The high priestess will see you.
context: It's not on purpose, I swear!\Stop being horny!\I'm not, I'm not!\Shut it down! Close shop! Sit, boy!\The Other Earth\We're here.\Get out.\The high priestess will see you. response:	This way.
context: Stop being horny!\I'm not, I'm not!\Shut it down! Close shop! Sit, boy!\The Other Earth\We're here.\Get out.\The high priestess will see you.\This way. response:	Vivian!
context: I'm not, I'm not!\Shut it down! Close shop! Sit, boy!\The Other Earth\We're here.\Get out.\The high priestess will see you.\This way.\Vivian! response:	What have you done to Vivian?
context: Shut it down! Close shop! Sit, boy!\The Other Earth\We're here.\Get out.\The high priestess will see you.\This way.\Vivian!\What have you done to Vivian? response:	We've brought them.
context: The Other Earth\We're here.\Get out.\The high priestess will see you.\This way.\Vivian!\What have you done to Vivian?\We've brought them. response:	A woman from another world...
context: We're here.\Get out.\The high priestess will see you.\This way.\Vivian!\What have you done to Vivian?\We've brought them.\A woman from another world... response:	State your name.
context: Get out.\The high priestess will see you.\This way.\Vivian!\What have you done to Vivian?\We've brought them.\A woman from another world...\State your name. response:	You should introduce yourself before you demand someone's name.
context: The high priestess will see you.\This way.\Vivian!\What have you done to Vivian?\We've brought them.\A woman from another world...\State your name.\You should introduce yourself before you demand someone's name. response:	How dare you disrespect the high priestess!
context: This way.\Vivian!\What have you done to Vivian?\We've brought them.\A woman from another world...\State your name.\You should introduce yourself before you demand someone's name.\How dare you disrespect the high priestess! response:	Ange!
context: Vivian!\What have you done to Vivian?\We've brought them.\A woman from another world...\State your name.\You should introduce yourself before you demand someone's name.\How dare you disrespect the high priestess!\Ange! response:	We haven't opened a singularity.
context: What have you done to Vivian?\We've brought them.\A woman from another world...\State your name.\You should introduce yourself before you demand someone's name.\How dare you disrespect the high priestess!\Ange!\We haven't opened a singularity. response:	How did you come here?
context: We've brought them.\A woman from another world...\State your name.\You should introduce yourself before you demand someone's name.\How dare you disrespect the high priestess!\Ange!\We haven't opened a singularity.\How did you come here? response:	You're before the high priestess. Answer!
context: A woman from another world...\State your name.\You should introduce yourself before you demand someone's name.\How dare you disrespect the high priestess!\Ange!\We haven't opened a singularity.\How did you come here?\You're before the high priestess. Answer! response:	That machine... did you ride it here?
context: State your name.\You should introduce yourself before you demand someone's name.\How dare you disrespect the high priestess!\Ange!\We haven't opened a singularity.\How did you come here?\You're before the high priestess. Answer!\That machine... did you ride it here? response:	Is that a real man?
context: You should introduce yourself before you demand someone's name.\How dare you disrespect the high priestess!\Ange!\We haven't opened a singularity.\How did you come here?\You're before the high priestess. Answer!\That machine... did you ride it here?\Is that a real man? response:	That daughter of Sylphis... Why is she with
context: How dare you disrespect the high priestess!\Ange!\We haven't opened a singularity.\How did you come here?\You're before the high priestess. Answer!\That machine... did you ride it here?\Is that a real man?\That daughter of Sylphis... Why is she with response:	Shut up!
context: Ange!\We haven't opened a singularity.\How did you come here?\You're before the high priestess. Answer!\That machine... did you ride it here?\Is that a real man?\That daughter of Sylphis... Why is she with\Shut up! response:	Ask one at a time, if you must ask.
context: We haven't opened a singularity.\How did you come here?\You're before the high priestess. Answer!\That machine... did you ride it here?\Is that a real man?\That daughter of Sylphis... Why is she with\Shut up!\Ask one at a time, if you must ask. response:	I'm full of questions, too.
context: How did you come here?\You're before the high priestess. Answer!\That machine... did you ride it here?\Is that a real man?\That daughter of Sylphis... Why is she with\Shut up!\Ask one at a time, if you must ask.\I'm full of questions, too. response:	Just what is this place?
context: You're before the high priestess. Answer!\That machine... did you ride it here?\Is that a real man?\That daughter of Sylphis... Why is she with\Shut up!\Ask one at a time, if you must ask.\I'm full of questions, too.\Just what is this place? response:	When are we?
context: That machine... did you ride it here?\Is that a real man?\That daughter of Sylphis... Why is she with\Shut up!\Ask one at a time, if you must ask.\I'm full of questions, too.\Just what is this place?\When are we? response:	What are you people?
context: Is that a real man?\That daughter of Sylphis... Why is she with\Shut up!\Ask one at a time, if you must ask.\I'm full of questions, too.\Just what is this place?\When are we?\What are you people? response:	Hey, Ange!
context: That daughter of Sylphis... Why is she with\Shut up!\Ask one at a time, if you must ask.\I'm full of questions, too.\Just what is this place?\When are we?\What are you people?\Hey, Ange! response:	You're so lively.
context: Shut up!\Ask one at a time, if you must ask.\I'm full of questions, too.\Just what is this place?\When are we?\What are you people?\Hey, Ange!\You're so lively. response:	You!
context: Ask one at a time, if you must ask.\I'm full of questions, too.\Just what is this place?\When are we?\What are you people?\Hey, Ange!\You're so lively.\You! response:	I am the direct descendant of progenitor Aura, and princess of the Freyja family,
context: I'm full of questions, too.\Just what is this place?\When are we?\What are you people?\Hey, Ange!\You're so lively.\You!\I am the direct descendant of progenitor Aura, and princess of the Freyja family, response:	Lieutenant Guardian Salamandinay.
context: Just what is this place?\When are we?\What are you people?\Hey, Ange!\You're so lively.\You!\I am the direct descendant of progenitor Aura, and princess of the Freyja family,\Lieutenant Guardian Salamandinay. response:	people of the false Earth.
context: When are we?\What are you people?\Hey, Ange!\You're so lively.\You!\I am the direct descendant of progenitor Aura, and princess of the Freyja family,\Lieutenant Guardian Salamandinay.\people of the false Earth. response:	You know of them?
context: What are you people?\Hey, Ange!\You're so lively.\You!\I am the direct descendant of progenitor Aura, and princess of the Freyja family,\Lieutenant Guardian Salamandinay.\people of the false Earth.\You know of them? response:	That one.
context: Hey, Ange!\You're so lively.\You!\I am the direct descendant of progenitor Aura, and princess of the Freyja family,\Lieutenant Guardian Salamandinay.\people of the false Earth.\You know of them?\That one. response:	She's the Villkiss pilot who fought my machine to a standstill.
context: You're so lively.\You!\I am the direct descendant of progenitor Aura, and princess of the Freyja family,\Lieutenant Guardian Salamandinay.\people of the false Earth.\You know of them?\That one.\She's the Villkiss pilot who fought my machine to a standstill. response:	Villkiss's pilot?
context: You!\I am the direct descendant of progenitor Aura, and princess of the Freyja family,\Lieutenant Guardian Salamandinay.\people of the false Earth.\You know of them?\That one.\She's the Villkiss pilot who fought my machine to a standstill.\Villkiss's pilot? response:	She's dangerous! We cannot allow her to live.
context: I am the direct descendant of progenitor Aura, and princess of the Freyja family,\Lieutenant Guardian Salamandinay.\people of the false Earth.\You know of them?\That one.\She's the Villkiss pilot who fought my machine to a standstill.\Villkiss's pilot?\She's dangerous! We cannot allow her to live. response:	Dispose of her. Now!
context: Lieutenant Guardian Salamandinay.\people of the false Earth.\You know of them?\That one.\She's the Villkiss pilot who fought my machine to a standstill.\Villkiss's pilot?\She's dangerous! We cannot allow her to live.\Dispose of her. Now! response:	Do it.
context: people of the false Earth.\You know of them?\That one.\She's the Villkiss pilot who fought my machine to a standstill.\Villkiss's pilot?\She's dangerous! We cannot allow her to live.\Dispose of her. Now!\Do it. response:	I'm used to execution orders.
context: You know of them?\That one.\She's the Villkiss pilot who fought my machine to a standstill.\Villkiss's pilot?\She's dangerous! We cannot allow her to live.\Dispose of her. Now!\Do it.\I'm used to execution orders. response:	But...
context: That one.\She's the Villkiss pilot who fought my machine to a standstill.\Villkiss's pilot?\She's dangerous! We cannot allow her to live.\Dispose of her. Now!\Do it.\I'm used to execution orders.\But... response:	Don't think you'll actually pull it off.
context: She's the Villkiss pilot who fought my machine to a standstill.\Villkiss's pilot?\She's dangerous! We cannot allow her to live.\Dispose of her. Now!\Do it.\I'm used to execution orders.\But...\Don't think you'll actually pull it off. response:	Wait, everyone.
context: Villkiss's pilot?\She's dangerous! We cannot allow her to live.\Dispose of her. Now!\Do it.\I'm used to execution orders.\But...\Don't think you'll actually pull it off.\Wait, everyone. response:	She can operate the Villkiss, which means she's special.
context: She's dangerous! We cannot allow her to live.\Dispose of her. Now!\Do it.\I'm used to execution orders.\But...\Don't think you'll actually pull it off.\Wait, everyone.\She can operate the Villkiss, which means she's special. response:	I believe the best strategy would be to allow
context: Dispose of her. Now!\Do it.\I'm used to execution orders.\But...\Don't think you'll actually pull it off.\Wait, everyone.\She can operate the Villkiss, which means she's special.\I believe the best strategy would be to allow response:	her to live until we learn that machine's secrets.
context: Do it.\I'm used to execution orders.\But...\Don't think you'll actually pull it off.\Wait, everyone.\She can operate the Villkiss, which means she's special.\I believe the best strategy would be to allow\her to live until we learn that machine's secrets. response:	Please leave their lives to me.
context: I'm used to execution orders.\But...\Don't think you'll actually pull it off.\Wait, everyone.\She can operate the Villkiss, which means she's special.\I believe the best strategy would be to allow\her to live until we learn that machine's secrets.\Please leave their lives to me. response:	The two of you are dismissed.
context: But...\Don't think you'll actually pull it off.\Wait, everyone.\She can operate the Villkiss, which means she's special.\I believe the best strategy would be to allow\her to live until we learn that machine's secrets.\Please leave their lives to me.\The two of you are dismissed. response:	B-But...
context: Don't think you'll actually pull it off.\Wait, everyone.\She can operate the Villkiss, which means she's special.\I believe the best strategy would be to allow\her to live until we learn that machine's secrets.\Please leave their lives to me.\The two of you are dismissed.\B-But... response:	This is quite a fancy jail cell.
context: Wait, everyone.\She can operate the Villkiss, which means she's special.\I believe the best strategy would be to allow\her to live until we learn that machine's secrets.\Please leave their lives to me.\The two of you are dismissed.\B-But...\This is quite a fancy jail cell. response:	I don't intend to treat you like prisoners.
context: She can operate the Villkiss, which means she's special.\I believe the best strategy would be to allow\her to live until we learn that machine's secrets.\Please leave their lives to me.\The two of you are dismissed.\B-But...\This is quite a fancy jail cell.\I don't intend to treat you like prisoners. response:	You will be allowed to meet with the daughter of Sylphis once she has been treated.
context: I believe the best strategy would be to allow\her to live until we learn that machine's secrets.\Please leave their lives to me.\The two of you are dismissed.\B-But...\This is quite a fancy jail cell.\I don't intend to treat you like prisoners.\You will be allowed to meet with the daughter of Sylphis once she has been treated. response:	We will take responsibility for repairing your machine.
context: her to live until we learn that machine's secrets.\Please leave their lives to me.\The two of you are dismissed.\B-But...\This is quite a fancy jail cell.\I don't intend to treat you like prisoners.\You will be allowed to meet with the daughter of Sylphis once she has been treated.\We will take responsibility for repairing your machine. response:	This way, please.
context: Please leave their lives to me.\The two of you are dismissed.\B-But...\This is quite a fancy jail cell.\I don't intend to treat you like prisoners.\You will be allowed to meet with the daughter of Sylphis once she has been treated.\We will take responsibility for repairing your machine.\This way, please. response:	What's this about?
context: The two of you are dismissed.\B-But...\This is quite a fancy jail cell.\I don't intend to treat you like prisoners.\You will be allowed to meet with the daughter of Sylphis once she has been treated.\We will take responsibility for repairing your machine.\This way, please.\What's this about? response:	You must be exhausted from your journey.
context: B-But...\This is quite a fancy jail cell.\I don't intend to treat you like prisoners.\You will be allowed to meet with the daughter of Sylphis once she has been treated.\We will take responsibility for repairing your machine.\This way, please.\What's this about?\You must be exhausted from your journey. response:	My name's Tusk. I'm Ange's knight.
context: This is quite a fancy jail cell.\I don't intend to treat you like prisoners.\You will be allowed to meet with the daughter of Sylphis once she has been treated.\We will take responsibility for repairing your machine.\This way, please.\What's this about?\You must be exhausted from your journey.\My name's Tusk. I'm Ange's knight. response:	Can I ask you something, Salamandinay-san?
context: I don't intend to treat you like prisoners.\You will be allowed to meet with the daughter of Sylphis once she has been treated.\We will take responsibility for repairing your machine.\This way, please.\What's this about?\You must be exhausted from your journey.\My name's Tusk. I'm Ange's knight.\Can I ask you something, Salamandinay-san? response:	Anything, Tusk-dono.
context: You will be allowed to meet with the daughter of Sylphis once she has been treated.\We will take responsibility for repairing your machine.\This way, please.\What's this about?\You must be exhausted from your journey.\My name's Tusk. I'm Ange's knight.\Can I ask you something, Salamandinay-san?\Anything, Tusk-dono. response:	Is this really Earth?
context: We will take responsibility for repairing your machine.\This way, please.\What's this about?\You must be exhausted from your journey.\My name's Tusk. I'm Ange's knight.\Can I ask you something, Salamandinay-san?\Anything, Tusk-dono.\Is this really Earth? response:	Yes.
context: This way, please.\What's this about?\You must be exhausted from your journey.\My name's Tusk. I'm Ange's knight.\Can I ask you something, Salamandinay-san?\Anything, Tusk-dono.\Is this really Earth?\Yes. response:	Then who are you?
context: What's this about?\You must be exhausted from your journey.\My name's Tusk. I'm Ange's knight.\Can I ask you something, Salamandinay-san?\Anything, Tusk-dono.\Is this really Earth?\Yes.\Then who are you? response:	We're human.
context: You must be exhausted from your journey.\My name's Tusk. I'm Ange's knight.\Can I ask you something, Salamandinay-san?\Anything, Tusk-dono.\Is this really Earth?\Yes.\Then who are you?\We're human. response:	But Earth is our world, and we're humans.
context: My name's Tusk. I'm Ange's knight.\Can I ask you something, Salamandinay-san?\Anything, Tusk-dono.\Is this really Earth?\Yes.\Then who are you?\We're human.\But Earth is our world, and we're humans. response:	Then this place...
context: Can I ask you something, Salamandinay-san?\Anything, Tusk-dono.\Is this really Earth?\Yes.\Then who are you?\We're human.\But Earth is our world, and we're humans.\Then this place... response:	What if there were two Earths?
context: Anything, Tusk-dono.\Is this really Earth?\Yes.\Then who are you?\We're human.\But Earth is our world, and we're humans.\Then this place...\What if there were two Earths? response:	Another Earth in a parallel universe...
context: Is this really Earth?\Yes.\Then who are you?\We're human.\But Earth is our world, and we're humans.\Then this place...\What if there were two Earths?\Another Earth in a parallel universe... response:	A number of humans abandoned this planet to migrate
context: Yes.\Then who are you?\We're human.\But Earth is our world, and we're humans.\Then this place...\What if there were two Earths?\Another Earth in a parallel universe...\A number of humans abandoned this planet to migrate response:	to your Earth in the other universe.
context: Then who are you?\We're human.\But Earth is our world, and we're humans.\Then this place...\What if there were two Earths?\Another Earth in a parallel universe...\A number of humans abandoned this planet to migrate\to your Earth in the other universe. response:	They abandoned Earth?
context: We're human.\But Earth is our world, and we're humans.\Then this place...\What if there were two Earths?\Another Earth in a parallel universe...\A number of humans abandoned this planet to migrate\to your Earth in the other universe.\They abandoned Earth? response:	What for?
context: But Earth is our world, and we're humans.\Then this place...\What if there were two Earths?\Another Earth in a parallel universe...\A number of humans abandoned this planet to migrate\to your Earth in the other universe.\They abandoned Earth?\What for? response:	Have you not seen in the ruins
context: Then this place...\What if there were two Earths?\Another Earth in a parallel universe...\A number of humans abandoned this planet to migrate\to your Earth in the other universe.\They abandoned Earth?\What for?\Have you not seen in the ruins response:	what happened to this Earth?
context: What if there were two Earths?\Another Earth in a parallel universe...\A number of humans abandoned this planet to migrate\to your Earth in the other universe.\They abandoned Earth?\What for?\Have you not seen in the ruins\what happened to this Earth? response:	War and pollution.
context: Another Earth in a parallel universe...\A number of humans abandoned this planet to migrate\to your Earth in the other universe.\They abandoned Earth?\What for?\Have you not seen in the ruins\what happened to this Earth?\War and pollution. response:	So it's like this.
context: A number of humans abandoned this planet to migrate\to your Earth in the other universe.\They abandoned Earth?\What for?\Have you not seen in the ruins\what happened to this Earth?\War and pollution.\So it's like this. response:	You're here, and there are two Earths.
context: to your Earth in the other universe.\They abandoned Earth?\What for?\Have you not seen in the ruins\what happened to this Earth?\War and pollution.\So it's like this.\You're here, and there are two Earths. response:	Ange!
context: They abandoned Earth?\What for?\Have you not seen in the ruins\what happened to this Earth?\War and pollution.\So it's like this.\You're here, and there are two Earths.\Ange! response:	That means there's a way back, isn't there?
context: What for?\Have you not seen in the ruins\what happened to this Earth?\War and pollution.\So it's like this.\You're here, and there are two Earths.\Ange!\That means there's a way back, isn't there? response:	Princess!
context: Have you not seen in the ruins\what happened to this Earth?\War and pollution.\So it's like this.\You're here, and there are two Earths.\Ange!\That means there's a way back, isn't there?\Princess! response:	Salamandinay-sama!
context: what happened to this Earth?\War and pollution.\So it's like this.\You're here, and there are two Earths.\Ange!\That means there's a way back, isn't there?\Princess!\Salamandinay-sama! response:	Come closer and I'll kill her.
context: War and pollution.\So it's like this.\You're here, and there are two Earths.\Ange!\That means there's a way back, isn't there?\Princess!\Salamandinay-sama!\Come closer and I'll kill her. response:	You savage!
context: So it's like this.\You're here, and there are two Earths.\Ange!\That means there's a way back, isn't there?\Princess!\Salamandinay-sama!\Come closer and I'll kill her.\You savage! response:	We should have executed you!
context: You're here, and there are two Earths.\Ange!\That means there's a way back, isn't there?\Princess!\Salamandinay-sama!\Come closer and I'll kill her.\You savage!\We should have executed you! response:	Unhand the princess!
context: Ange!\That means there's a way back, isn't there?\Princess!\Salamandinay-sama!\Come closer and I'll kill her.\You savage!\We should have executed you!\Unhand the princess! response:	Otherwise, this man's life is forfeit!
context: That means there's a way back, isn't there?\Princess!\Salamandinay-sama!\Come closer and I'll kill her.\You savage!\We should have executed you!\Unhand the princess!\Otherwise, this man's life is forfeit! response:	Huh?!
context: Princess!\Salamandinay-sama!\Come closer and I'll kill her.\You savage!\We should have executed you!\Unhand the princess!\Otherwise, this man's life is forfeit!\Huh?! response:	Try it. I dare you.
context: Salamandinay-sama!\Come closer and I'll kill her.\You savage!\We should have executed you!\Unhand the princess!\Otherwise, this man's life is forfeit!\Huh?!\Try it. I dare you. response:	What?!
context: Come closer and I'll kill her.\You savage!\We should have executed you!\Unhand the princess!\Otherwise, this man's life is forfeit!\Huh?!\Try it. I dare you.\What?! response:	Tusk said he'd sacrifice his life for me.
context: You savage!\We should have executed you!\Unhand the princess!\Otherwise, this man's life is forfeit!\Huh?!\Try it. I dare you.\What?!\Tusk said he'd sacrifice his life for me. response:	That's...
context: We should have executed you!\Unhand the princess!\Otherwise, this man's life is forfeit!\Huh?!\Try it. I dare you.\What?!\Tusk said he'd sacrifice his life for me.\That's... response:	He said he'd gladly die for me.
context: Unhand the princess!\Otherwise, this man's life is forfeit!\Huh?!\Try it. I dare you.\What?!\Tusk said he'd sacrifice his life for me.\That's...\He said he'd gladly die for me. response:	What do you hope to do when you get back?
context: Otherwise, this man's life is forfeit!\Huh?!\Try it. I dare you.\What?!\Tusk said he'd sacrifice his life for me.\That's...\He said he'd gladly die for me.\What do you hope to do when you get back? response:	All that awaits you is a life of using machines to kill your fellows.
context: Huh?!\Try it. I dare you.\What?!\Tusk said he'd sacrifice his life for me.\That's...\He said he'd gladly die for me.\What do you hope to do when you get back?\All that awaits you is a life of using machines to kill your fellows. response:	Do you miss it so much?
context: Try it. I dare you.\What?!\Tusk said he'd sacrifice his life for me.\That's...\He said he'd gladly die for me.\What do you hope to do when you get back?\All that awaits you is a life of using machines to kill your fellows.\Do you miss it so much? response:	Shut up.
context: What?!\Tusk said he'd sacrifice his life for me.\That's...\He said he'd gladly die for me.\What do you hope to do when you get back?\All that awaits you is a life of using machines to kill your fellows.\Do you miss it so much?\Shut up. response:	False Earth, false people, and false battles.
context: Tusk said he'd sacrifice his life for me.\That's...\He said he'd gladly die for me.\What do you hope to do when you get back?\All that awaits you is a life of using machines to kill your fellows.\Do you miss it so much?\Shut up.\False Earth, false people, and false battles. response:	You are much too oblivious.
context: That's...\He said he'd gladly die for me.\What do you hope to do when you get back?\All that awaits you is a life of using machines to kill your fellows.\Do you miss it so much?\Shut up.\False Earth, false people, and false battles.\You are much too oblivious. response:	Let's go.
context: He said he'd gladly die for me.\What do you hope to do when you get back?\All that awaits you is a life of using machines to kill your fellows.\Do you miss it so much?\Shut up.\False Earth, false people, and false battles.\You are much too oblivious.\Let's go. response:	We will show them the truth.
context: What do you hope to do when you get back?\All that awaits you is a life of using machines to kill your fellows.\Do you miss it so much?\Shut up.\False Earth, false people, and false battles.\You are much too oblivious.\Let's go.\We will show them the truth. response:	Hey!
context: All that awaits you is a life of using machines to kill your fellows.\Do you miss it so much?\Shut up.\False Earth, false people, and false battles.\You are much too oblivious.\Let's go.\We will show them the truth.\Hey! response:	Naga, Kaname, you will stand guard.
context: Do you miss it so much?\Shut up.\False Earth, false people, and false battles.\You are much too oblivious.\Let's go.\We will show them the truth.\Hey!\Naga, Kaname, you will stand guard. response:	P-Princess!
context: Shut up.\False Earth, false people, and false battles.\You are much too oblivious.\Let's go.\We will show them the truth.\Hey!\Naga, Kaname, you will stand guard.\P-Princess! response:	Wait, I'm the one holding you hostage!
context: False Earth, false people, and false battles.\You are much too oblivious.\Let's go.\We will show them the truth.\Hey!\Naga, Kaname, you will stand guard.\P-Princess!\Wait, I'm the one holding you hostage! response:	We're here.
context: You are much too oblivious.\Let's go.\We will show them the truth.\Hey!\Naga, Kaname, you will stand guard.\P-Princess!\Wait, I'm the one holding you hostage!\We're here. response:	There's a Dawn Pillar here, too.
context: Let's go.\We will show them the truth.\Hey!\Naga, Kaname, you will stand guard.\P-Princess!\Wait, I'm the one holding you hostage!\We're here.\There's a Dawn Pillar here, too. response:	We call it the Tower of Aura.
context: We will show them the truth.\Hey!\Naga, Kaname, you will stand guard.\P-Princess!\Wait, I'm the one holding you hostage!\We're here.\There's a Dawn Pillar here, too.\We call it the Tower of Aura. response:	It used to be a Dracunium regulation facility.
context: Hey!\Naga, Kaname, you will stand guard.\P-Princess!\Wait, I'm the one holding you hostage!\We're here.\There's a Dawn Pillar here, too.\We call it the Tower of Aura.\It used to be a Dracunium regulation facility. response:	Dracunium
context: Naga, Kaname, you will stand guard.\P-Princess!\Wait, I'm the one holding you hostage!\We're here.\There's a Dawn Pillar here, too.\We call it the Tower of Aura.\It used to be a Dracunium regulation facility.\Dracunium response:	is an extremely powerful super-symmetric
context: P-Princess!\Wait, I'm the one holding you hostage!\We're here.\There's a Dawn Pillar here, too.\We call it the Tower of Aura.\It used to be a Dracunium regulation facility.\Dracunium\is an extremely powerful super-symmetric response:	particle discovered at the end of the 22nd century.
context: Wait, I'm the one holding you hostage!\We're here.\There's a Dawn Pillar here, too.\We call it the Tower of Aura.\It used to be a Dracunium regulation facility.\Dracunium\is an extremely powerful super-symmetric\particle discovered at the end of the 22nd century. response:	It was supposed to bring light to the world.
context: We're here.\There's a Dawn Pillar here, too.\We call it the Tower of Aura.\It used to be a Dracunium regulation facility.\Dracunium\is an extremely powerful super-symmetric\particle discovered at the end of the 22nd century.\It was supposed to bring light to the world. response:	Instead, it was immediately used for war.
context: There's a Dawn Pillar here, too.\We call it the Tower of Aura.\It used to be a Dracunium regulation facility.\Dracunium\is an extremely powerful super-symmetric\particle discovered at the end of the 22nd century.\It was supposed to bring light to the world.\Instead, it was immediately used for war. response:	Pollution, ethnic cleansing, poverty...
context: We call it the Tower of Aura.\It used to be a Dracunium regulation facility.\Dracunium\is an extremely powerful super-symmetric\particle discovered at the end of the 22nd century.\It was supposed to bring light to the world.\Instead, it was immediately used for war.\Pollution, ethnic cleansing, poverty... response:	None of these problems were solved before human society collapsed.
context: It used to be a Dracunium regulation facility.\Dracunium\is an extremely powerful super-symmetric\particle discovered at the end of the 22nd century.\It was supposed to bring light to the world.\Instead, it was immediately used for war.\Pollution, ethnic cleansing, poverty...\None of these problems were solved before human society collapsed. response:	Some humans became disillusioned and set out to find new land.
context: Dracunium\is an extremely powerful super-symmetric\particle discovered at the end of the 22nd century.\It was supposed to bring light to the world.\Instead, it was immediately used for war.\Pollution, ethnic cleansing, poverty...\None of these problems were solved before human society collapsed.\Some humans became disillusioned and set out to find new land. response:	I've heard something similar.
context: is an extremely powerful super-symmetric\particle discovered at the end of the 22nd century.\It was supposed to bring light to the world.\Instead, it was immediately used for war.\Pollution, ethnic cleansing, poverty...\None of these problems were solved before human society collapsed.\Some humans became disillusioned and set out to find new land.\I've heard something similar. response:	The remainder of humanity made a decision that would allow us to to survive
context: particle discovered at the end of the 22nd century.\It was supposed to bring light to the world.\Instead, it was immediately used for war.\Pollution, ethnic cleansing, poverty...\None of these problems were solved before human society collapsed.\Some humans became disillusioned and set out to find new land.\I've heard something similar.\The remainder of humanity made a decision that would allow us to to survive response:	on the tarnished earth.
