context: K- Kuririn, you handed it over pretty easily, considering, huh? response:	You had to work so hard to get that Dragon Ball, too.
context: Vegeta! Hurry and get out of here!\Who's there!? Come on out!\I know you're there!\If you don't show yourself at once,\I'm going to blow this whole area away!\H - he wouldn't!\What's the matter!? Huh!?\All right, I wonder if I had better jump out and fight Vegeta. But then... response:	Gohan, there's no way we can match up against Vegeta now.
context: Who's there!? Come on out!\I know you're there!\If you don't show yourself at once,\I'm going to blow this whole area away!\H - he wouldn't!\What's the matter!? Huh!?\All right, I wonder if I had better jump out and fight Vegeta. But then...\Gohan, there's no way we can match up against Vegeta now. response:	l have to protect this precious Dragon Ball at this point.
context: I know you're there!\If you don't show yourself at once,\I'm going to blow this whole area away!\H - he wouldn't!\What's the matter!? Huh!?\All right, I wonder if I had better jump out and fight Vegeta. But then...\Gohan, there's no way we can match up against Vegeta now.\l have to protect this precious Dragon Ball at this point. response:	You don't intend to come out, huh?
context: If you don't show yourself at once,\I'm going to blow this whole area away!\H - he wouldn't!\What's the matter!? Huh!?\All right, I wonder if I had better jump out and fight Vegeta. But then...\Gohan, there's no way we can match up against Vegeta now.\l have to protect this precious Dragon Ball at this point.\You don't intend to come out, huh? response:	All right... as you wish, I'll blow you away!
context: I'm going to blow this whole area away!\H - he wouldn't!\What's the matter!? Huh!?\All right, I wonder if I had better jump out and fight Vegeta. But then...\Gohan, there's no way we can match up against Vegeta now.\l have to protect this precious Dragon Ball at this point.\You don't intend to come out, huh?\All right... as you wish, I'll blow you away! response:	Rats!
context: H - he wouldn't!\What's the matter!? Huh!?\All right, I wonder if I had better jump out and fight Vegeta. But then...\Gohan, there's no way we can match up against Vegeta now.\l have to protect this precious Dragon Ball at this point.\You don't intend to come out, huh?\All right... as you wish, I'll blow you away!\Rats! response:	W-
context: What's the matter!? Huh!?\All right, I wonder if I had better jump out and fight Vegeta. But then...\Gohan, there's no way we can match up against Vegeta now.\l have to protect this precious Dragon Ball at this point.\You don't intend to come out, huh?\All right... as you wish, I'll blow you away!\Rats!\W- response:	Wait!
context: All right, I wonder if I had better jump out and fight Vegeta. But then...\Gohan, there's no way we can match up against Vegeta now.\l have to protect this precious Dragon Ball at this point.\You don't intend to come out, huh?\All right... as you wish, I'll blow you away!\Rats!\W-\Wait! response:	Please, don't let him find this...
context: Gohan, there's no way we can match up against Vegeta now.\l have to protect this precious Dragon Ball at this point.\You don't intend to come out, huh?\All right... as you wish, I'll blow you away!\Rats!\W-\Wait!\Please, don't let him find this... response:	I- it's me!
context: l have to protect this precious Dragon Ball at this point.\You don't intend to come out, huh?\All right... as you wish, I'll blow you away!\Rats!\W-\Wait!\Please, don't let him find this...\I- it's me! response:	Kakarrot's son, huh?
context: You don't intend to come out, huh?\All right... as you wish, I'll blow you away!\Rats!\W-\Wait!\Please, don't let him find this...\I- it's me!\Kakarrot's son, huh? response:	Kakarrot's son, huh? I thought that perhaps it might be you.
context: All right... as you wish, I'll blow you away!\Rats!\W-\Wait!\Please, don't let him find this...\I- it's me!\Kakarrot's son, huh?\Kakarrot's son, huh? I thought that perhaps it might be you. response:	There were other Earthlings here.
context: Rats!\W-\Wait!\Please, don't let him find this...\I- it's me!\Kakarrot's son, huh?\Kakarrot's son, huh? I thought that perhaps it might be you.\There were other Earthlings here. response:	You being here isn't all that surprising.
context: W-\Wait!\Please, don't let him find this...\I- it's me!\Kakarrot's son, huh?\Kakarrot's son, huh? I thought that perhaps it might be you.\There were other Earthlings here.\You being here isn't all that surprising. response:	A Dragon Ball!
context: Wait!\Please, don't let him find this...\I- it's me!\Kakarrot's son, huh?\Kakarrot's son, huh? I thought that perhaps it might be you.\There were other Earthlings here.\You being here isn't all that surprising.\A Dragon Ball! response:	D- don't tell me that's!
context: Please, don't let him find this...\I- it's me!\Kakarrot's son, huh?\Kakarrot's son, huh? I thought that perhaps it might be you.\There were other Earthlings here.\You being here isn't all that surprising.\A Dragon Ball!\D- don't tell me that's! response:	This? I got it as a present from that bald-headed friend of yours.
context: I- it's me!\Kakarrot's son, huh?\Kakarrot's son, huh? I thought that perhaps it might be you.\There were other Earthlings here.\You being here isn't all that surprising.\A Dragon Ball!\D- don't tell me that's!\This? I got it as a present from that bald-headed friend of yours. response:	Y- you... killed Kuririn- san... didn't you!?
context: Kakarrot's son, huh?\Kakarrot's son, huh? I thought that perhaps it might be you.\There were other Earthlings here.\You being here isn't all that surprising.\A Dragon Ball!\D- don't tell me that's!\This? I got it as a present from that bald-headed friend of yours.\Y- you... killed Kuririn- san... didn't you!? response:	If you'd like me to,
context: Kakarrot's son, huh? I thought that perhaps it might be you.\There were other Earthlings here.\You being here isn't all that surprising.\A Dragon Ball!\D- don't tell me that's!\This? I got it as a present from that bald-headed friend of yours.\Y- you... killed Kuririn- san... didn't you!?\If you'd like me to, response:	I wouldn't mind going back now and killing him for you.
context: There were other Earthlings here.\You being here isn't all that surprising.\A Dragon Ball!\D- don't tell me that's!\This? I got it as a present from that bald-headed friend of yours.\Y- you... killed Kuririn- san... didn't you!?\If you'd like me to,\I wouldn't mind going back now and killing him for you. response:	Be grateful.
context: You being here isn't all that surprising.\A Dragon Ball!\D- don't tell me that's!\This? I got it as a present from that bald-headed friend of yours.\Y- you... killed Kuririn- san... didn't you!?\If you'd like me to,\I wouldn't mind going back now and killing him for you.\Be grateful. response:	To celebrate me getting all of the Dragon Balls together, I let him live.
context: A Dragon Ball!\D- don't tell me that's!\This? I got it as a present from that bald-headed friend of yours.\Y- you... killed Kuririn- san... didn't you!?\If you'd like me to,\I wouldn't mind going back now and killing him for you.\Be grateful.\To celebrate me getting all of the Dragon Balls together, I let him live. response:	A- all of the Dragon Balls?
context: D- don't tell me that's!\This? I got it as a present from that bald-headed friend of yours.\Y- you... killed Kuririn- san... didn't you!?\If you'd like me to,\I wouldn't mind going back now and killing him for you.\Be grateful.\To celebrate me getting all of the Dragon Balls together, I let him live.\A- all of the Dragon Balls? response:	Hey, what's that you're holding in your hand?
context: This? I got it as a present from that bald-headed friend of yours.\Y- you... killed Kuririn- san... didn't you!?\If you'd like me to,\I wouldn't mind going back now and killing him for you.\Be grateful.\To celebrate me getting all of the Dragon Balls together, I let him live.\A- all of the Dragon Balls?\Hey, what's that you're holding in your hand? response:	T- this is a clock!
context: Y- you... killed Kuririn- san... didn't you!?\If you'd like me to,\I wouldn't mind going back now and killing him for you.\Be grateful.\To celebrate me getting all of the Dragon Balls together, I let him live.\A- all of the Dragon Balls?\Hey, what's that you're holding in your hand?\T- this is a clock! response:	Heh, a clock?
context: If you'd like me to,\I wouldn't mind going back now and killing him for you.\Be grateful.\To celebrate me getting all of the Dragon Balls together, I let him live.\A- all of the Dragon Balls?\Hey, what's that you're holding in your hand?\T- this is a clock!\Heh, a clock? response:	With science that can only make a clock as huge as that one,
context: I wouldn't mind going back now and killing him for you.\Be grateful.\To celebrate me getting all of the Dragon Balls together, I let him live.\A- all of the Dragon Balls?\Hey, what's that you're holding in your hand?\T- this is a clock!\Heh, a clock?\With science that can only make a clock as huge as that one, response:	I'm impressed that you could make it to this planet.
context: Be grateful.\To celebrate me getting all of the Dragon Balls together, I let him live.\A- all of the Dragon Balls?\Hey, what's that you're holding in your hand?\T- this is a clock!\Heh, a clock?\With science that can only make a clock as huge as that one,\I'm impressed that you could make it to this planet. response:	N- nobody asked you!
context: To celebrate me getting all of the Dragon Balls together, I let him live.\A- all of the Dragon Balls?\Hey, what's that you're holding in your hand?\T- this is a clock!\Heh, a clock?\With science that can only make a clock as huge as that one,\I'm impressed that you could make it to this planet.\N- nobody asked you! response:	By the way, is that Kakarrot bastard here, too?
context: A- all of the Dragon Balls?\Hey, what's that you're holding in your hand?\T- this is a clock!\Heh, a clock?\With science that can only make a clock as huge as that one,\I'm impressed that you could make it to this planet.\N- nobody asked you!\By the way, is that Kakarrot bastard here, too? response:	No, he's not!
context: Hey, what's that you're holding in your hand?\T- this is a clock!\Heh, a clock?\With science that can only make a clock as huge as that one,\I'm impressed that you could make it to this planet.\N- nobody asked you!\By the way, is that Kakarrot bastard here, too?\No, he's not! response:	We didn't know there would be bad guys like you here!
context: T- this is a clock!\Heh, a clock?\With science that can only make a clock as huge as that one,\I'm impressed that you could make it to this planet.\N- nobody asked you!\By the way, is that Kakarrot bastard here, too?\No, he's not!\We didn't know there would be bad guys like you here! response:	Is that so?
context: Heh, a clock?\With science that can only make a clock as huge as that one,\I'm impressed that you could make it to this planet.\N- nobody asked you!\By the way, is that Kakarrot bastard here, too?\No, he's not!\We didn't know there would be bad guys like you here!\Is that so? response:	That's too bad, huh?
context: With science that can only make a clock as huge as that one,\I'm impressed that you could make it to this planet.\N- nobody asked you!\By the way, is that Kakarrot bastard here, too?\No, he's not!\We didn't know there would be bad guys like you here!\Is that so?\That's too bad, huh? response:	The three of us...
context: I'm impressed that you could make it to this planet.\N- nobody asked you!\By the way, is that Kakarrot bastard here, too?\No, he's not!\We didn't know there would be bad guys like you here!\Is that so?\That's too bad, huh?\The three of us... response:	When you get back to Earth, tell him something for me.
context: N- nobody asked you!\By the way, is that Kakarrot bastard here, too?\No, he's not!\We didn't know there would be bad guys like you here!\Is that so?\That's too bad, huh?\The three of us...\When you get back to Earth, tell him something for me. response:	Tell him I said that I will come to Earth before long,
context: By the way, is that Kakarrot bastard here, too?\No, he's not!\We didn't know there would be bad guys like you here!\Is that so?\That's too bad, huh?\The three of us...\When you get back to Earth, tell him something for me.\Tell him I said that I will come to Earth before long, response:	and this time, I will blow both you and the Earth away.
context: No, he's not!\We didn't know there would be bad guys like you here!\Is that so?\That's too bad, huh?\The three of us...\When you get back to Earth, tell him something for me.\Tell him I said that I will come to Earth before long,\and this time, I will blow both you and the Earth away. response:	It's around time for you to be missing your mother's milk, isn't it?
context: We didn't know there would be bad guys like you here!\Is that so?\That's too bad, huh?\The three of us...\When you get back to Earth, tell him something for me.\Tell him I said that I will come to Earth before long,\and this time, I will blow both you and the Earth away.\It's around time for you to be missing your mother's milk, isn't it? response:	Hurry back to Earth, now.
context: Is that so?\That's too bad, huh?\The three of us...\When you get back to Earth, tell him something for me.\Tell him I said that I will come to Earth before long,\and this time, I will blow both you and the Earth away.\It's around time for you to be missing your mother's milk, isn't it?\Hurry back to Earth, now. response:	That hurt!
context: That's too bad, huh?\The three of us...\When you get back to Earth, tell him something for me.\Tell him I said that I will come to Earth before long,\and this time, I will blow both you and the Earth away.\It's around time for you to be missing your mother's milk, isn't it?\Hurry back to Earth, now.\That hurt! response:	But still...
context: The three of us...\When you get back to Earth, tell him something for me.\Tell him I said that I will come to Earth before long,\and this time, I will blow both you and the Earth away.\It's around time for you to be missing your mother's milk, isn't it?\Hurry back to Earth, now.\That hurt!\But still... response:	Dammit! Isn't he back yet!?
context: When you get back to Earth, tell him something for me.\Tell him I said that I will come to Earth before long,\and this time, I will blow both you and the Earth away.\It's around time for you to be missing your mother's milk, isn't it?\Hurry back to Earth, now.\That hurt!\But still...\Dammit! Isn't he back yet!? response:	Kuririn, I've taken down the house, and returned it to its Capsule.
