context: The strawberry glasses were still being sold at the 100 yen store. response:	But when I thought about how importantly Hachi treated them
context: when I was trying to be careful not to cause a scandal...\I can't rely on Yasu's kindness anymore.\Because Yasu isn't mine.\Reira, I'm sorry, but I've gotta get back to work right away.\Sorry.\I'll come home as soon as I can.\Can you be here on your own until then?\I'm locking the door behind me. Don't open the door for anyone. response:	I'm sorry, Yasu, to call you outta the blue like this.
context: I can't rely on Yasu's kindness anymore.\Because Yasu isn't mine.\Reira, I'm sorry, but I've gotta get back to work right away.\Sorry.\I'll come home as soon as I can.\Can you be here on your own until then?\I'm locking the door behind me. Don't open the door for anyone.\I'm sorry, Yasu, to call you outta the blue like this. response:	I couldn't think of anyone else I could depend on.
context: Because Yasu isn't mine.\Reira, I'm sorry, but I've gotta get back to work right away.\Sorry.\I'll come home as soon as I can.\Can you be here on your own until then?\I'm locking the door behind me. Don't open the door for anyone.\I'm sorry, Yasu, to call you outta the blue like this.\I couldn't think of anyone else I could depend on. response:	I ran away from the recording.
context: Reira, I'm sorry, but I've gotta get back to work right away.\Sorry.\I'll come home as soon as I can.\Can you be here on your own until then?\I'm locking the door behind me. Don't open the door for anyone.\I'm sorry, Yasu, to call you outta the blue like this.\I couldn't think of anyone else I could depend on.\I ran away from the recording. response:	Takumi said he's getting married, and I couldn't bring myself to sing.
context: Sorry.\I'll come home as soon as I can.\Can you be here on your own until then?\I'm locking the door behind me. Don't open the door for anyone.\I'm sorry, Yasu, to call you outta the blue like this.\I couldn't think of anyone else I could depend on.\I ran away from the recording.\Takumi said he's getting married, and I couldn't bring myself to sing. response:	But I don't know where to go.
context: I'll come home as soon as I can.\Can you be here on your own until then?\I'm locking the door behind me. Don't open the door for anyone.\I'm sorry, Yasu, to call you outta the blue like this.\I couldn't think of anyone else I could depend on.\I ran away from the recording.\Takumi said he's getting married, and I couldn't bring myself to sing.\But I don't know where to go. response:	No matter where I go, I feel like everyone's watching me.
context: Can you be here on your own until then?\I'm locking the door behind me. Don't open the door for anyone.\I'm sorry, Yasu, to call you outta the blue like this.\I couldn't think of anyone else I could depend on.\I ran away from the recording.\Takumi said he's getting married, and I couldn't bring myself to sing.\But I don't know where to go.\No matter where I go, I feel like everyone's watching me. response:	I'm scared.
context: I'm locking the door behind me. Don't open the door for anyone.\I'm sorry, Yasu, to call you outta the blue like this.\I couldn't think of anyone else I could depend on.\I ran away from the recording.\Takumi said he's getting married, and I couldn't bring myself to sing.\But I don't know where to go.\No matter where I go, I feel like everyone's watching me.\I'm scared. response:	If people found out that I ran away from a recording,
context: I'm sorry, Yasu, to call you outta the blue like this.\I couldn't think of anyone else I could depend on.\I ran away from the recording.\Takumi said he's getting married, and I couldn't bring myself to sing.\But I don't know where to go.\No matter where I go, I feel like everyone's watching me.\I'm scared.\If people found out that I ran away from a recording, response:	they'd be disappointed in me.
context: I couldn't think of anyone else I could depend on.\I ran away from the recording.\Takumi said he's getting married, and I couldn't bring myself to sing.\But I don't know where to go.\No matter where I go, I feel like everyone's watching me.\I'm scared.\If people found out that I ran away from a recording,\they'd be disappointed in me. response:	The staff, and the fans,.,
context: I ran away from the recording.\Takumi said he's getting married, and I couldn't bring myself to sing.\But I don't know where to go.\No matter where I go, I feel like everyone's watching me.\I'm scared.\If people found out that I ran away from a recording,\they'd be disappointed in me.\The staff, and the fans,., response:	They'd ditch me, saying I'm finished. But I can't sing.
context: Takumi said he's getting married, and I couldn't bring myself to sing.\But I don't know where to go.\No matter where I go, I feel like everyone's watching me.\I'm scared.\If people found out that I ran away from a recording,\they'd be disappointed in me.\The staff, and the fans,.,\They'd ditch me, saying I'm finished. But I can't sing. response:	What am I to do?
context: But I don't know where to go.\No matter where I go, I feel like everyone's watching me.\I'm scared.\If people found out that I ran away from a recording,\they'd be disappointed in me.\The staff, and the fans,.,\They'd ditch me, saying I'm finished. But I can't sing.\What am I to do? response:	I'm worthless unless I sing.
context: No matter where I go, I feel like everyone's watching me.\I'm scared.\If people found out that I ran away from a recording,\they'd be disappointed in me.\The staff, and the fans,.,\They'd ditch me, saying I'm finished. But I can't sing.\What am I to do?\I'm worthless unless I sing. response:	I just heard back from Mr. Takeda!
context: I'm scared.\If people found out that I ran away from a recording,\they'd be disappointed in me.\The staff, and the fans,.,\They'd ditch me, saying I'm finished. But I can't sing.\What am I to do?\I'm worthless unless I sing.\I just heard back from Mr. Takeda! response:	She didn't go back to the hotel either!
context: If people found out that I ran away from a recording,\they'd be disappointed in me.\The staff, and the fans,.,\They'd ditch me, saying I'm finished. But I can't sing.\What am I to do?\I'm worthless unless I sing.\I just heard back from Mr. Takeda!\She didn't go back to the hotel either! response:	She left with her stuff, right?
context: they'd be disappointed in me.\The staff, and the fans,.,\They'd ditch me, saying I'm finished. But I can't sing.\What am I to do?\I'm worthless unless I sing.\I just heard back from Mr. Takeda!\She didn't go back to the hotel either!\She left with her stuff, right? response:	Did you try calling her cell phone?
context: The staff, and the fans,.,\They'd ditch me, saying I'm finished. But I can't sing.\What am I to do?\I'm worthless unless I sing.\I just heard back from Mr. Takeda!\She didn't go back to the hotel either!\She left with her stuff, right?\Did you try calling her cell phone? response:	Several times, but she won't answer.
context: They'd ditch me, saying I'm finished. But I can't sing.\What am I to do?\I'm worthless unless I sing.\I just heard back from Mr. Takeda!\She didn't go back to the hotel either!\She left with her stuff, right?\Did you try calling her cell phone?\Several times, but she won't answer. response:	But why did she run away like that?
context: What am I to do?\I'm worthless unless I sing.\I just heard back from Mr. Takeda!\She didn't go back to the hotel either!\She left with her stuff, right?\Did you try calling her cell phone?\Several times, but she won't answer.\But why did she run away like that? response:	She was all excited until a bit earlier, saying she's gonna sell a million copies.
context: I'm worthless unless I sing.\I just heard back from Mr. Takeda!\She didn't go back to the hotel either!\She left with her stuff, right?\Did you try calling her cell phone?\Several times, but she won't answer.\But why did she run away like that?\She was all excited until a bit earlier, saying she's gonna sell a million copies. response:	Does anyone have any clue where else she might've gone?
context: I just heard back from Mr. Takeda!\She didn't go back to the hotel either!\She left with her stuff, right?\Did you try calling her cell phone?\Several times, but she won't answer.\But why did she run away like that?\She was all excited until a bit earlier, saying she's gonna sell a million copies.\Does anyone have any clue where else she might've gone? response:	I was transferred here recently,
context: She didn't go back to the hotel either!\She left with her stuff, right?\Did you try calling her cell phone?\Several times, but she won't answer.\But why did she run away like that?\She was all excited until a bit earlier, saying she's gonna sell a million copies.\Does anyone have any clue where else she might've gone?\I was transferred here recently, response:	so there's still much I don't know about Reira's private life.
context: She left with her stuff, right?\Did you try calling her cell phone?\Several times, but she won't answer.\But why did she run away like that?\She was all excited until a bit earlier, saying she's gonna sell a million copies.\Does anyone have any clue where else she might've gone?\I was transferred here recently,\so there's still much I don't know about Reira's private life. response:	Maybe she went to her secret lover!
context: Did you try calling her cell phone?\Several times, but she won't answer.\But why did she run away like that?\She was all excited until a bit earlier, saying she's gonna sell a million copies.\Does anyone have any clue where else she might've gone?\I was transferred here recently,\so there's still much I don't know about Reira's private life.\Maybe she went to her secret lover! response:	IGNORED Maybe she went to her secret lover!
context: Several times, but she won't answer.\But why did she run away like that?\She was all excited until a bit earlier, saying she's gonna sell a million copies.\Does anyone have any clue where else she might've gone?\I was transferred here recently,\so there's still much I don't know about Reira's private life.\Maybe she went to her secret lover!\IGNORED Maybe she went to her secret lover! response:	IGNORED
context: But why did she run away like that?\She was all excited until a bit earlier, saying she's gonna sell a million copies.\Does anyone have any clue where else she might've gone?\I was transferred here recently,\so there's still much I don't know about Reira's private life.\Maybe she went to her secret lover!\IGNORED Maybe she went to her secret lover!\IGNORED response:	IGNORED Come to think of it, does she have any close friends?
context: She was all excited until a bit earlier, saying she's gonna sell a million copies.\Does anyone have any clue where else she might've gone?\I was transferred here recently,\so there's still much I don't know about Reira's private life.\Maybe she went to her secret lover!\IGNORED Maybe she went to her secret lover!\IGNORED\IGNORED Come to think of it, does she have any close friends? response:	Come to think of it, does she have any close friends?
context: Does anyone have any clue where else she might've gone?\I was transferred here recently,\so there's still much I don't know about Reira's private life.\Maybe she went to her secret lover!\IGNORED Maybe she went to her secret lover!\IGNORED\IGNORED Come to think of it, does she have any close friends?\Come to think of it, does she have any close friends? response:	I haven't a clue. Don't ask me.
context: I was transferred here recently,\so there's still much I don't know about Reira's private life.\Maybe she went to her secret lover!\IGNORED Maybe she went to her secret lover!\IGNORED\IGNORED Come to think of it, does she have any close friends?\Come to think of it, does she have any close friends?\I haven't a clue. Don't ask me. response:	But Takumi, you and Reira have been friends since you were kids, right?
context: so there's still much I don't know about Reira's private life.\Maybe she went to her secret lover!\IGNORED Maybe she went to her secret lover!\IGNORED\IGNORED Come to think of it, does she have any close friends?\Come to think of it, does she have any close friends?\I haven't a clue. Don't ask me.\But Takumi, you and Reira have been friends since you were kids, right? response:	So what?
context: Maybe she went to her secret lover!\IGNORED Maybe she went to her secret lover!\IGNORED\IGNORED Come to think of it, does she have any close friends?\Come to think of it, does she have any close friends?\I haven't a clue. Don't ask me.\But Takumi, you and Reira have been friends since you were kids, right?\So what? response:	Nothing.
context: IGNORED Maybe she went to her secret lover!\IGNORED\IGNORED Come to think of it, does she have any close friends?\Come to think of it, does she have any close friends?\I haven't a clue. Don't ask me.\But Takumi, you and Reira have been friends since you were kids, right?\So what?\Nothing. response:	What should we do, Takumi?
context: IGNORED\IGNORED Come to think of it, does she have any close friends?\Come to think of it, does she have any close friends?\I haven't a clue. Don't ask me.\But Takumi, you and Reira have been friends since you were kids, right?\So what?\Nothing.\What should we do, Takumi? response:	Should we proceed with recording anyway?
context: IGNORED Come to think of it, does she have any close friends?\Come to think of it, does she have any close friends?\I haven't a clue. Don't ask me.\But Takumi, you and Reira have been friends since you were kids, right?\So what?\Nothing.\What should we do, Takumi?\Should we proceed with recording anyway? response:	With all this commotion around us, we can't concentrate.
context: Come to think of it, does she have any close friends?\I haven't a clue. Don't ask me.\But Takumi, you and Reira have been friends since you were kids, right?\So what?\Nothing.\What should we do, Takumi?\Should we proceed with recording anyway?\With all this commotion around us, we can't concentrate. response:	We can't do it.
context: I haven't a clue. Don't ask me.\But Takumi, you and Reira have been friends since you were kids, right?\So what?\Nothing.\What should we do, Takumi?\Should we proceed with recording anyway?\With all this commotion around us, we can't concentrate.\We can't do it. response:	I guess.
context: But Takumi, you and Reira have been friends since you were kids, right?\So what?\Nothing.\What should we do, Takumi?\Should we proceed with recording anyway?\With all this commotion around us, we can't concentrate.\We can't do it.\I guess. response:	I'm sorry.
context: So what?\Nothing.\What should we do, Takumi?\Should we proceed with recording anyway?\With all this commotion around us, we can't concentrate.\We can't do it.\I guess.\I'm sorry. response:	It's okay, Mari. Your job is to take care of Reira,
context: Nothing.\What should we do, Takumi?\Should we proceed with recording anyway?\With all this commotion around us, we can't concentrate.\We can't do it.\I guess.\I'm sorry.\It's okay, Mari. Your job is to take care of Reira, response:	so just worry about Reira and not about anything else.
context: What should we do, Takumi?\Should we proceed with recording anyway?\With all this commotion around us, we can't concentrate.\We can't do it.\I guess.\I'm sorry.\It's okay, Mari. Your job is to take care of Reira,\so just worry about Reira and not about anything else. response:	Okay.
context: Should we proceed with recording anyway?\With all this commotion around us, we can't concentrate.\We can't do it.\I guess.\I'm sorry.\It's okay, Mari. Your job is to take care of Reira,\so just worry about Reira and not about anything else.\Okay. response:	If you understand that, then go find her and drag her back!
context: With all this commotion around us, we can't concentrate.\We can't do it.\I guess.\I'm sorry.\It's okay, Mari. Your job is to take care of Reira,\so just worry about Reira and not about anything else.\Okay.\If you understand that, then go find her and drag her back! response:	I'm sorry.
context: We can't do it.\I guess.\I'm sorry.\It's okay, Mari. Your job is to take care of Reira,\so just worry about Reira and not about anything else.\Okay.\If you understand that, then go find her and drag her back!\I'm sorry. response:	Don't cry Mari. That guy is scary. I'm scared of him, too.
context: I guess.\I'm sorry.\It's okay, Mari. Your job is to take care of Reira,\so just worry about Reira and not about anything else.\Okay.\If you understand that, then go find her and drag her back!\I'm sorry.\Don't cry Mari. That guy is scary. I'm scared of him, too. response:	Drinking on the job?
context: I'm sorry.\It's okay, Mari. Your job is to take care of Reira,\so just worry about Reira and not about anything else.\Okay.\If you understand that, then go find her and drag her back!\I'm sorry.\Don't cry Mari. That guy is scary. I'm scared of him, too.\Drinking on the job? response:	It's water!
context: It's okay, Mari. Your job is to take care of Reira,\so just worry about Reira and not about anything else.\Okay.\If you understand that, then go find her and drag her back!\I'm sorry.\Don't cry Mari. That guy is scary. I'm scared of him, too.\Drinking on the job?\It's water! response:	If work is that important to you, don't go saying something
context: so just worry about Reira and not about anything else.\Okay.\If you understand that, then go find her and drag her back!\I'm sorry.\Don't cry Mari. That guy is scary. I'm scared of him, too.\Drinking on the job?\It's water!\If work is that important to you, don't go saying something response:	that would upset our songstress before the recording.
context: Okay.\If you understand that, then go find her and drag her back!\I'm sorry.\Don't cry Mari. That guy is scary. I'm scared of him, too.\Drinking on the job?\It's water!\If work is that important to you, don't go saying something\that would upset our songstress before the recording. response:	If it's to test her professionalism,
context: If you understand that, then go find her and drag her back!\I'm sorry.\Don't cry Mari. That guy is scary. I'm scared of him, too.\Drinking on the job?\It's water!\If work is that important to you, don't go saying something\that would upset our songstress before the recording.\If it's to test her professionalism, response:	you're being too much of an evil coach.
context: I'm sorry.\Don't cry Mari. That guy is scary. I'm scared of him, too.\Drinking on the job?\It's water!\If work is that important to you, don't go saying something\that would upset our songstress before the recording.\If it's to test her professionalism,\you're being too much of an evil coach. response:	I don't know what you're talking about.
context: Don't cry Mari. That guy is scary. I'm scared of him, too.\Drinking on the job?\It's water!\If work is that important to you, don't go saying something\that would upset our songstress before the recording.\If it's to test her professionalism,\you're being too much of an evil coach.\I don't know what you're talking about. response:	Don't try to act stupid! You know Reira's in love with you.
context: Drinking on the job?\It's water!\If work is that important to you, don't go saying something\that would upset our songstress before the recording.\If it's to test her professionalism,\you're being too much of an evil coach.\I don't know what you're talking about.\Don't try to act stupid! You know Reira's in love with you. response:	Don't put it so simply!
context: It's water!\If work is that important to you, don't go saying something\that would upset our songstress before the recording.\If it's to test her professionalism,\you're being too much of an evil coach.\I don't know what you're talking about.\Don't try to act stupid! You know Reira's in love with you.\Don't put it so simply! response:	Years of acting like I didn't know just went down the drain!
context: If work is that important to you, don't go saying something\that would upset our songstress before the recording.\If it's to test her professionalism,\you're being too much of an evil coach.\I don't know what you're talking about.\Don't try to act stupid! You know Reira's in love with you.\Don't put it so simply!\Years of acting like I didn't know just went down the drain! response:	Acting like you don't know won't solve the problem.
context: that would upset our songstress before the recording.\If it's to test her professionalism,\you're being too much of an evil coach.\I don't know what you're talking about.\Don't try to act stupid! You know Reira's in love with you.\Don't put it so simply!\Years of acting like I didn't know just went down the drain!\Acting like you don't know won't solve the problem. response:	If you get married,
context: If it's to test her professionalism,\you're being too much of an evil coach.\I don't know what you're talking about.\Don't try to act stupid! You know Reira's in love with you.\Don't put it so simply!\Years of acting like I didn't know just went down the drain!\Acting like you don't know won't solve the problem.\If you get married, response:	Reira might not be able to sing anymore, y'know.
context: you're being too much of an evil coach.\I don't know what you're talking about.\Don't try to act stupid! You know Reira's in love with you.\Don't put it so simply!\Years of acting like I didn't know just went down the drain!\Acting like you don't know won't solve the problem.\If you get married,\Reira might not be able to sing anymore, y'know. response:	If me getting married means she's gonna stop singing,
context: I don't know what you're talking about.\Don't try to act stupid! You know Reira's in love with you.\Don't put it so simply!\Years of acting like I didn't know just went down the drain!\Acting like you don't know won't solve the problem.\If you get married,\Reira might not be able to sing anymore, y'know.\If me getting married means she's gonna stop singing, response:	then we have big problems.
context: Don't try to act stupid! You know Reira's in love with you.\Don't put it so simply!\Years of acting like I didn't know just went down the drain!\Acting like you don't know won't solve the problem.\If you get married,\Reira might not be able to sing anymore, y'know.\If me getting married means she's gonna stop singing,\then we have big problems. response:	I have no feelings of love for her. I can't help it.
context: Don't put it so simply!\Years of acting like I didn't know just went down the drain!\Acting like you don't know won't solve the problem.\If you get married,\Reira might not be able to sing anymore, y'know.\If me getting married means she's gonna stop singing,\then we have big problems.\I have no feelings of love for her. I can't help it. response:	Well, I guess.
context: Years of acting like I didn't know just went down the drain!\Acting like you don't know won't solve the problem.\If you get married,\Reira might not be able to sing anymore, y'know.\If me getting married means she's gonna stop singing,\then we have big problems.\I have no feelings of love for her. I can't help it.\Well, I guess. response:	But if Reira won't sing, Trapnest is finished.
context: Acting like you don't know won't solve the problem.\If you get married,\Reira might not be able to sing anymore, y'know.\If me getting married means she's gonna stop singing,\then we have big problems.\I have no feelings of love for her. I can't help it.\Well, I guess.\But if Reira won't sing, Trapnest is finished. response:	I know that! So what do you want me to do?!
context: If you get married,\Reira might not be able to sing anymore, y'know.\If me getting married means she's gonna stop singing,\then we have big problems.\I have no feelings of love for her. I can't help it.\Well, I guess.\But if Reira won't sing, Trapnest is finished.\I know that! So what do you want me to do?! response:	If the lord showed a little more love, the princess might wanna sing.
context: Reira might not be able to sing anymore, y'know.\If me getting married means she's gonna stop singing,\then we have big problems.\I have no feelings of love for her. I can't help it.\Well, I guess.\But if Reira won't sing, Trapnest is finished.\I know that! So what do you want me to do?!\If the lord showed a little more love, the princess might wanna sing. response:	Are you telling me to do it with Reira?!
context: If me getting married means she's gonna stop singing,\then we have big problems.\I have no feelings of love for her. I can't help it.\Well, I guess.\But if Reira won't sing, Trapnest is finished.\I know that! So what do you want me to do?!\If the lord showed a little more love, the princess might wanna sing.\Are you telling me to do it with Reira?! response:	She's like a little sister to me! There's no way I could do that!
context: then we have big problems.\I have no feelings of love for her. I can't help it.\Well, I guess.\But if Reira won't sing, Trapnest is finished.\I know that! So what do you want me to do?!\If the lord showed a little more love, the princess might wanna sing.\Are you telling me to do it with Reira?!\She's like a little sister to me! There's no way I could do that! response:	But you're not a blood relative.
context: I have no feelings of love for her. I can't help it.\Well, I guess.\But if Reira won't sing, Trapnest is finished.\I know that! So what do you want me to do?!\If the lord showed a little more love, the princess might wanna sing.\Are you telling me to do it with Reira?!\She's like a little sister to me! There's no way I could do that!\But you're not a blood relative. response:	That's not the point!
context: Well, I guess.\But if Reira won't sing, Trapnest is finished.\I know that! So what do you want me to do?!\If the lord showed a little more love, the princess might wanna sing.\Are you telling me to do it with Reira?!\She's like a little sister to me! There's no way I could do that!\But you're not a blood relative.\That's not the point! response:	But you've always been the type to do whatever it takes
context: But if Reira won't sing, Trapnest is finished.\I know that! So what do you want me to do?!\If the lord showed a little more love, the princess might wanna sing.\Are you telling me to do it with Reira?!\She's like a little sister to me! There's no way I could do that!\But you're not a blood relative.\That's not the point!\But you've always been the type to do whatever it takes response:	to achieve your objectives.
context: I know that! So what do you want me to do?!\If the lord showed a little more love, the princess might wanna sing.\Are you telling me to do it with Reira?!\She's like a little sister to me! There's no way I could do that!\But you're not a blood relative.\That's not the point!\But you've always been the type to do whatever it takes\to achieve your objectives. response:	Compared to marrying an ordinary girl who's only after your money,
context: If the lord showed a little more love, the princess might wanna sing.\Are you telling me to do it with Reira?!\She's like a little sister to me! There's no way I could do that!\But you're not a blood relative.\That's not the point!\But you've always been the type to do whatever it takes\to achieve your objectives.\Compared to marrying an ordinary girl who's only after your money, response:	you'll end up with a larger castle with a marriage of convenience to Reira.
context: Are you telling me to do it with Reira?!\She's like a little sister to me! There's no way I could do that!\But you're not a blood relative.\That's not the point!\But you've always been the type to do whatever it takes\to achieve your objectives.\Compared to marrying an ordinary girl who's only after your money,\you'll end up with a larger castle with a marriage of convenience to Reira. response:	CASTLE?! - Castle? - It fits.
context: She's like a little sister to me! There's no way I could do that!\But you're not a blood relative.\That's not the point!\But you've always been the type to do whatever it takes\to achieve your objectives.\Compared to marrying an ordinary girl who's only after your money,\you'll end up with a larger castle with a marriage of convenience to Reira.\CASTLE?! - Castle? - It fits. response:	I never knew you were
context: But you're not a blood relative.\That's not the point!\But you've always been the type to do whatever it takes\to achieve your objectives.\Compared to marrying an ordinary girl who's only after your money,\you'll end up with a larger castle with a marriage of convenience to Reira.\CASTLE?! - Castle? - It fits.\I never knew you were response:	FROM THE EDO PERIOD? so ambitious.
context: That's not the point!\But you've always been the type to do whatever it takes\to achieve your objectives.\Compared to marrying an ordinary girl who's only after your money,\you'll end up with a larger castle with a marriage of convenience to Reira.\CASTLE?! - Castle? - It fits.\I never knew you were\FROM THE EDO PERIOD? so ambitious. response:	I'd never do such a thing. I'm just suggesting a way of living
context: But you've always been the type to do whatever it takes\to achieve your objectives.\Compared to marrying an ordinary girl who's only after your money,\you'll end up with a larger castle with a marriage of convenience to Reira.\CASTLE?! - Castle? - It fits.\I never knew you were\FROM THE EDO PERIOD? so ambitious.\I'd never do such a thing. I'm just suggesting a way of living response:	for someone as greedy and brutal as you.
