context: I had caught a terrible cold response:	and returned to the present-day world to get better.
context: Last time, didn't you tell me NOTto go out?\That was then, this is now.\Just what's going on?\When we're walking like this, it's as though we're on a date.\Just what're you doing?\Hey Kagome! These are all edible, right?\Okay Inuyasha, what do you want most?\Ninja food. response:	Wow!
context: That was then, this is now.\Just what's going on?\When we're walking like this, it's as though we're on a date.\Just what're you doing?\Hey Kagome! These are all edible, right?\Okay Inuyasha, what do you want most?\Ninja food.\Wow! response:	Instant noodles are... overthere.
context: Just what's going on?\When we're walking like this, it's as though we're on a date.\Just what're you doing?\Hey Kagome! These are all edible, right?\Okay Inuyasha, what do you want most?\Ninja food.\Wow!\Instant noodles are... overthere. response:	H-Hey!
context: When we're walking like this, it's as though we're on a date.\Just what're you doing?\Hey Kagome! These are all edible, right?\Okay Inuyasha, what do you want most?\Ninja food.\Wow!\Instant noodles are... overthere.\H-Hey! response:	W-Wow!
context: Just what're you doing?\Hey Kagome! These are all edible, right?\Okay Inuyasha, what do you want most?\Ninja food.\Wow!\Instant noodles are... overthere.\H-Hey!\W-Wow! response:	Which would you like?
context: Hey Kagome! These are all edible, right?\Okay Inuyasha, what do you want most?\Ninja food.\Wow!\Instant noodles are... overthere.\H-Hey!\W-Wow!\Which would you like? response:	Well, it's hard to choose...
context: Okay Inuyasha, what do you want most?\Ninja food.\Wow!\Instant noodles are... overthere.\H-Hey!\W-Wow!\Which would you like?\Well, it's hard to choose... response:	Maybe we bought too much?
context: Ninja food.\Wow!\Instant noodles are... overthere.\H-Hey!\W-Wow!\Which would you like?\Well, it's hard to choose...\Maybe we bought too much? response:	That's an understatement!
context: Wow!\Instant noodles are... overthere.\H-Hey!\W-Wow!\Which would you like?\Well, it's hard to choose...\Maybe we bought too much?\That's an understatement! response:	Stupid! Don't stop so suddenly!
context: Instant noodles are... overthere.\H-Hey!\W-Wow!\Which would you like?\Well, it's hard to choose...\Maybe we bought too much?\That's an understatement!\Stupid! Don't stop so suddenly! response:	- That's... - What?
context: H-Hey!\W-Wow!\Which would you like?\Well, it's hard to choose...\Maybe we bought too much?\That's an understatement!\Stupid! Don't stop so suddenly!\- That's... - What? response:	Hey, why're we hiding?
context: W-Wow!\Which would you like?\Well, it's hard to choose...\Maybe we bought too much?\That's an understatement!\Stupid! Don't stop so suddenly!\- That's... - What?\Hey, why're we hiding? response:	It's Sota. I wonderwhat he's doing?
context: Which would you like?\Well, it's hard to choose...\Maybe we bought too much?\That's an understatement!\Stupid! Don't stop so suddenly!\- That's... - What?\Hey, why're we hiding?\It's Sota. I wonderwhat he's doing? response:	A present, maybe?
context: Well, it's hard to choose...\Maybe we bought too much?\That's an understatement!\Stupid! Don't stop so suddenly!\- That's... - What?\Hey, why're we hiding?\It's Sota. I wonderwhat he's doing?\A present, maybe? response:	Found something you like?
context: Maybe we bought too much?\That's an understatement!\Stupid! Don't stop so suddenly!\- That's... - What?\Hey, why're we hiding?\It's Sota. I wonderwhat he's doing?\A present, maybe?\Found something you like? response:	W-When you've decided, let me know.
context: That's an understatement!\Stupid! Don't stop so suddenly!\- That's... - What?\Hey, why're we hiding?\It's Sota. I wonderwhat he's doing?\A present, maybe?\Found something you like?\W-When you've decided, let me know. response:	What's he doing?
context: Stupid! Don't stop so suddenly!\- That's... - What?\Hey, why're we hiding?\It's Sota. I wonderwhat he's doing?\A present, maybe?\Found something you like?\W-When you've decided, let me know.\What's he doing? response:	I dunno...
context: - That's... - What?\Hey, why're we hiding?\It's Sota. I wonderwhat he's doing?\A present, maybe?\Found something you like?\W-When you've decided, let me know.\What's he doing?\I dunno... response:	And what happened?
context: Hey, why're we hiding?\It's Sota. I wonderwhat he's doing?\A present, maybe?\Found something you like?\W-When you've decided, let me know.\What's he doing?\I dunno...\And what happened? response:	His foot slipped into the pail and he fell into the water.
context: It's Sota. I wonderwhat he's doing?\A present, maybe?\Found something you like?\W-When you've decided, let me know.\What's he doing?\I dunno...\And what happened?\His foot slipped into the pail and he fell into the water. response:	Yourpoor father.
context: A present, maybe?\Found something you like?\W-When you've decided, let me know.\What's he doing?\I dunno...\And what happened?\His foot slipped into the pail and he fell into the water.\Yourpoor father. response:	It's his fault forbeing so clumsy.
context: Found something you like?\W-When you've decided, let me know.\What's he doing?\I dunno...\And what happened?\His foot slipped into the pail and he fell into the water.\Yourpoor father.\It's his fault forbeing so clumsy. response:	He didn't get hurt?
context: W-When you've decided, let me know.\What's he doing?\I dunno...\And what happened?\His foot slipped into the pail and he fell into the water.\Yourpoor father.\It's his fault forbeing so clumsy.\He didn't get hurt? response:	No, just a huge lump on his head.
context: What's he doing?\I dunno...\And what happened?\His foot slipped into the pail and he fell into the water.\Yourpoor father.\It's his fault forbeing so clumsy.\He didn't get hurt?\No, just a huge lump on his head. response:	Sota...
context: I dunno...\And what happened?\His foot slipped into the pail and he fell into the water.\Yourpoor father.\It's his fault forbeing so clumsy.\He didn't get hurt?\No, just a huge lump on his head.\Sota... response:	What's the matter, Sota? No appetite?
context: And what happened?\His foot slipped into the pail and he fell into the water.\Yourpoor father.\It's his fault forbeing so clumsy.\He didn't get hurt?\No, just a huge lump on his head.\Sota...\What's the matter, Sota? No appetite? response:	Uh-uh... it's nothing.
context: His foot slipped into the pail and he fell into the water.\Yourpoor father.\It's his fault forbeing so clumsy.\He didn't get hurt?\No, just a huge lump on his head.\Sota...\What's the matter, Sota? No appetite?\Uh-uh... it's nothing. response:	At times like this, here.
context: Yourpoor father.\It's his fault forbeing so clumsy.\He didn't get hurt?\No, just a huge lump on his head.\Sota...\What's the matter, Sota? No appetite?\Uh-uh... it's nothing.\At times like this, here. response:	What is it?
context: It's his fault forbeing so clumsy.\He didn't get hurt?\No, just a huge lump on his head.\Sota...\What's the matter, Sota? No appetite?\Uh-uh... it's nothing.\At times like this, here.\What is it? response:	A scale from a mermaid...
context: He didn't get hurt?\No, just a huge lump on his head.\Sota...\What's the matter, Sota? No appetite?\Uh-uh... it's nothing.\At times like this, here.\What is it?\A scale from a mermaid... response:	passed down through generations of Higurashi.
context: No, just a huge lump on his head.\Sota...\What's the matter, Sota? No appetite?\Uh-uh... it's nothing.\At times like this, here.\What is it?\A scale from a mermaid...\passed down through generations of Higurashi. response:	Tape this scale onto yournavel and sleep with it
context: Sota...\What's the matter, Sota? No appetite?\Uh-uh... it's nothing.\At times like this, here.\What is it?\A scale from a mermaid...\passed down through generations of Higurashi.\Tape this scale onto yournavel and sleep with it response:	and amazingly...
context: What's the matter, Sota? No appetite?\Uh-uh... it's nothing.\At times like this, here.\What is it?\A scale from a mermaid...\passed down through generations of Higurashi.\Tape this scale onto yournavel and sleep with it\and amazingly... response:	Buyo, you can have it.
context: Uh-uh... it's nothing.\At times like this, here.\What is it?\A scale from a mermaid...\passed down through generations of Higurashi.\Tape this scale onto yournavel and sleep with it\and amazingly...\Buyo, you can have it. response:	No! Hey wait! Wait!
context: At times like this, here.\What is it?\A scale from a mermaid...\passed down through generations of Higurashi.\Tape this scale onto yournavel and sleep with it\and amazingly...\Buyo, you can have it.\No! Hey wait! Wait! response:	I'm all done.
context: What is it?\A scale from a mermaid...\passed down through generations of Higurashi.\Tape this scale onto yournavel and sleep with it\and amazingly...\Buyo, you can have it.\No! Hey wait! Wait!\I'm all done. response:	It's from a mermaid! No kidding!
context: A scale from a mermaid...\passed down through generations of Higurashi.\Tape this scale onto yournavel and sleep with it\and amazingly...\Buyo, you can have it.\No! Hey wait! Wait!\I'm all done.\It's from a mermaid! No kidding! response:	I wonder if something happened?
context: passed down through generations of Higurashi.\Tape this scale onto yournavel and sleep with it\and amazingly...\Buyo, you can have it.\No! Hey wait! Wait!\I'm all done.\It's from a mermaid! No kidding!\I wonder if something happened? response:	Maybe he's not feeling well?
context: Tape this scale onto yournavel and sleep with it\and amazingly...\Buyo, you can have it.\No! Hey wait! Wait!\I'm all done.\It's from a mermaid! No kidding!\I wonder if something happened?\Maybe he's not feeling well? response:	He's all right.
context: and amazingly...\Buyo, you can have it.\No! Hey wait! Wait!\I'm all done.\It's from a mermaid! No kidding!\I wonder if something happened?\Maybe he's not feeling well?\He's all right. response:	- What? - What?
context: Buyo, you can have it.\No! Hey wait! Wait!\I'm all done.\It's from a mermaid! No kidding!\I wonder if something happened?\Maybe he's not feeling well?\He's all right.\- What? - What? response:	It's a sickness... Iove sickness.
context: No! Hey wait! Wait!\I'm all done.\It's from a mermaid! No kidding!\I wonder if something happened?\Maybe he's not feeling well?\He's all right.\- What? - What?\It's a sickness... Iove sickness. response:	- Love sickness? - Love sickness?
context: I'm all done.\It's from a mermaid! No kidding!\I wonder if something happened?\Maybe he's not feeling well?\He's all right.\- What? - What?\It's a sickness... Iove sickness.\- Love sickness? - Love sickness? response:	Well now, I'll have to make red-bean rice to mark this milestone.
context: It's from a mermaid! No kidding!\I wonder if something happened?\Maybe he's not feeling well?\He's all right.\- What? - What?\It's a sickness... Iove sickness.\- Love sickness? - Love sickness?\Well now, I'll have to make red-bean rice to mark this milestone. response:	I know! I'll use that as a reason for yournext absence!
context: I wonder if something happened?\Maybe he's not feeling well?\He's all right.\- What? - What?\It's a sickness... Iove sickness.\- Love sickness? - Love sickness?\Well now, I'll have to make red-bean rice to mark this milestone.\I know! I'll use that as a reason for yournext absence! response:	Don't bother!
context: Maybe he's not feeling well?\He's all right.\- What? - What?\It's a sickness... Iove sickness.\- Love sickness? - Love sickness?\Well now, I'll have to make red-bean rice to mark this milestone.\I know! I'll use that as a reason for yournext absence!\Don't bother! response:	- Your teacherwill be fooled. - He will not!
context: He's all right.\- What? - What?\It's a sickness... Iove sickness.\- Love sickness? - Love sickness?\Well now, I'll have to make red-bean rice to mark this milestone.\I know! I'll use that as a reason for yournext absence!\Don't bother!\- Your teacherwill be fooled. - He will not! response:	Such a wonderful sickness to have.
context: - What? - What?\It's a sickness... Iove sickness.\- Love sickness? - Love sickness?\Well now, I'll have to make red-bean rice to mark this milestone.\I know! I'll use that as a reason for yournext absence!\Don't bother!\- Your teacherwill be fooled. - He will not!\Such a wonderful sickness to have. response:	Say, Inuyasha...
context: It's a sickness... Iove sickness.\- Love sickness? - Love sickness?\Well now, I'll have to make red-bean rice to mark this milestone.\I know! I'll use that as a reason for yournext absence!\Don't bother!\- Your teacherwill be fooled. - He will not!\Such a wonderful sickness to have.\Say, Inuyasha... response:	Huh? What is it?
context: - Love sickness? - Love sickness?\Well now, I'll have to make red-bean rice to mark this milestone.\I know! I'll use that as a reason for yournext absence!\Don't bother!\- Your teacherwill be fooled. - He will not!\Such a wonderful sickness to have.\Say, Inuyasha...\Huh? What is it? response:	Can I talk to you?
context: Well now, I'll have to make red-bean rice to mark this milestone.\I know! I'll use that as a reason for yournext absence!\Don't bother!\- Your teacherwill be fooled. - He will not!\Such a wonderful sickness to have.\Say, Inuyasha...\Huh? What is it?\Can I talk to you? response:	Talk?
context: I know! I'll use that as a reason for yournext absence!\Don't bother!\- Your teacherwill be fooled. - He will not!\Such a wonderful sickness to have.\Say, Inuyasha...\Huh? What is it?\Can I talk to you?\Talk? response:	An important talk, man to man.
context: Don't bother!\- Your teacherwill be fooled. - He will not!\Such a wonderful sickness to have.\Say, Inuyasha...\Huh? What is it?\Can I talk to you?\Talk?\An important talk, man to man. response:	If you don't have anything to say, I'm going.
context: - Your teacherwill be fooled. - He will not!\Such a wonderful sickness to have.\Say, Inuyasha...\Huh? What is it?\Can I talk to you?\Talk?\An important talk, man to man.\If you don't have anything to say, I'm going. response:	No wait!
context: Such a wonderful sickness to have.\Say, Inuyasha...\Huh? What is it?\Can I talk to you?\Talk?\An important talk, man to man.\If you don't have anything to say, I'm going.\No wait! response:	What is it? Hurry up and speak!
context: Say, Inuyasha...\Huh? What is it?\Can I talk to you?\Talk?\An important talk, man to man.\If you don't have anything to say, I'm going.\No wait!\What is it? Hurry up and speak! response:	What is love?
context: Huh? What is it?\Can I talk to you?\Talk?\An important talk, man to man.\If you don't have anything to say, I'm going.\No wait!\What is it? Hurry up and speak!\What is love? response:	Is love eternal?
context: Can I talk to you?\Talk?\An important talk, man to man.\If you don't have anything to say, I'm going.\No wait!\What is it? Hurry up and speak!\What is love?\Is love eternal? response:	W-What's this, all of a sudden?
context: Talk?\An important talk, man to man.\If you don't have anything to say, I'm going.\No wait!\What is it? Hurry up and speak!\What is love?\Is love eternal?\W-What's this, all of a sudden? response:	Tell me...
context: An important talk, man to man.\If you don't have anything to say, I'm going.\No wait!\What is it? Hurry up and speak!\What is love?\Is love eternal?\W-What's this, all of a sudden?\Tell me... response:	Who said, I love you first? You or Sis?
context: If you don't have anything to say, I'm going.\No wait!\What is it? Hurry up and speak!\What is love?\Is love eternal?\W-What's this, all of a sudden?\Tell me...\Who said, I love you first? You or Sis? response:	Tell me!
context: No wait!\What is it? Hurry up and speak!\What is love?\Is love eternal?\W-What's this, all of a sudden?\Tell me...\Who said, I love you first? You or Sis?\Tell me! response:	W-Why?
context: What is it? Hurry up and speak!\What is love?\Is love eternal?\W-What's this, all of a sudden?\Tell me...\Who said, I love you first? You or Sis?\Tell me!\W-Why? response:	Well, you're boyfriend and girlfriend, right?
context: What is love?\Is love eternal?\W-What's this, all of a sudden?\Tell me...\Who said, I love you first? You or Sis?\Tell me!\W-Why?\Well, you're boyfriend and girlfriend, right? response:	What?!
context: Is love eternal?\W-What's this, all of a sudden?\Tell me...\Who said, I love you first? You or Sis?\Tell me!\W-Why?\Well, you're boyfriend and girlfriend, right?\What?! response:	Aren't you?
context: W-What's this, all of a sudden?\Tell me...\Who said, I love you first? You or Sis?\Tell me!\W-Why?\Well, you're boyfriend and girlfriend, right?\What?!\Aren't you? response:	If you weren't her boyfriend,
context: Tell me...\Who said, I love you first? You or Sis?\Tell me!\W-Why?\Well, you're boyfriend and girlfriend, right?\What?!\Aren't you?\If you weren't her boyfriend, response:	Sis wouldn't skip school to visit your time and all.
context: Who said, I love you first? You or Sis?\Tell me!\W-Why?\Well, you're boyfriend and girlfriend, right?\What?!\Aren't you?\If you weren't her boyfriend,\Sis wouldn't skip school to visit your time and all. response:	And you wouldn't come here to take care of her.
context: Tell me!\W-Why?\Well, you're boyfriend and girlfriend, right?\What?!\Aren't you?\If you weren't her boyfriend,\Sis wouldn't skip school to visit your time and all.\And you wouldn't come here to take care of her. response:	W-Well...
context: W-Why?\Well, you're boyfriend and girlfriend, right?\What?!\Aren't you?\If you weren't her boyfriend,\Sis wouldn't skip school to visit your time and all.\And you wouldn't come here to take care of her.\W-Well... response:	So tell me, who said it first?
context: Well, you're boyfriend and girlfriend, right?\What?!\Aren't you?\If you weren't her boyfriend,\Sis wouldn't skip school to visit your time and all.\And you wouldn't come here to take care of her.\W-Well...\So tell me, who said it first? response:	How did you declare yourlove?
context: What?!\Aren't you?\If you weren't her boyfriend,\Sis wouldn't skip school to visit your time and all.\And you wouldn't come here to take care of her.\W-Well...\So tell me, who said it first?\How did you declare yourlove? response:	D-Dummy!
context: Aren't you?\If you weren't her boyfriend,\Sis wouldn't skip school to visit your time and all.\And you wouldn't come here to take care of her.\W-Well...\So tell me, who said it first?\How did you declare yourlove?\D-Dummy! response:	As if I'd say that to Kagome!
context: If you weren't her boyfriend,\Sis wouldn't skip school to visit your time and all.\And you wouldn't come here to take care of her.\W-Well...\So tell me, who said it first?\How did you declare yourlove?\D-Dummy!\As if I'd say that to Kagome! response:	Then did Kagome tell you?
context: Sis wouldn't skip school to visit your time and all.\And you wouldn't come here to take care of her.\W-Well...\So tell me, who said it first?\How did you declare yourlove?\D-Dummy!\As if I'd say that to Kagome!\Then did Kagome tell you? response:	What did she say?
context: And you wouldn't come here to take care of her.\W-Well...\So tell me, who said it first?\How did you declare yourlove?\D-Dummy!\As if I'd say that to Kagome!\Then did Kagome tell you?\What did she say? response:	Or maybe, neither of you have said anything?
context: W-Well...\So tell me, who said it first?\How did you declare yourlove?\D-Dummy!\As if I'd say that to Kagome!\Then did Kagome tell you?\What did she say?\Or maybe, neither of you have said anything? response:	W-W-W-What?!
context: So tell me, who said it first?\How did you declare yourlove?\D-Dummy!\As if I'd say that to Kagome!\Then did Kagome tell you?\What did she say?\Or maybe, neither of you have said anything?\W-W-W-What?! response:	You haven't, huh?
context: How did you declare yourlove?\D-Dummy!\As if I'd say that to Kagome!\Then did Kagome tell you?\What did she say?\Or maybe, neither of you have said anything?\W-W-W-What?!\You haven't, huh? response:	Y-Y-You!
context: D-Dummy!\As if I'd say that to Kagome!\Then did Kagome tell you?\What did she say?\Or maybe, neither of you have said anything?\W-W-W-What?!\You haven't, huh?\Y-Y-You! response:	Say Inuyasha...
context: As if I'd say that to Kagome!\Then did Kagome tell you?\What did she say?\Or maybe, neither of you have said anything?\W-W-W-What?!\You haven't, huh?\Y-Y-You!\Say Inuyasha... response:	What should I do?
context: Then did Kagome tell you?\What did she say?\Or maybe, neither of you have said anything?\W-W-W-What?!\You haven't, huh?\Y-Y-You!\Say Inuyasha...\What should I do? response:	Like I know!
context: What did she say?\Or maybe, neither of you have said anything?\W-W-W-What?!\You haven't, huh?\Y-Y-You!\Say Inuyasha...\What should I do?\Like I know! response:	Hername is Hitomi.
context: Or maybe, neither of you have said anything?\W-W-W-What?!\You haven't, huh?\Y-Y-You!\Say Inuyasha...\What should I do?\Like I know!\Hername is Hitomi. response:	I didn't ask!
context: W-W-W-What?!\You haven't, huh?\Y-Y-You!\Say Inuyasha...\What should I do?\Like I know!\Hername is Hitomi.\I didn't ask! response:	Hitomi is in my class.
context: You haven't, huh?\Y-Y-You!\Say Inuyasha...\What should I do?\Like I know!\Hername is Hitomi.\I didn't ask!\Hitomi is in my class. response:	And she sits next to me in the classroom.
context: Y-Y-You!\Say Inuyasha...\What should I do?\Like I know!\Hername is Hitomi.\I didn't ask!\Hitomi is in my class.\And she sits next to me in the classroom. response:	Like I should talk...
context: Say Inuyasha...\What should I do?\Like I know!\Hername is Hitomi.\I didn't ask!\Hitomi is in my class.\And she sits next to me in the classroom.\Like I should talk... response:	But she's very cute with big, round eyes.
context: What should I do?\Like I know!\Hername is Hitomi.\I didn't ask!\Hitomi is in my class.\And she sits next to me in the classroom.\Like I should talk...\But she's very cute with big, round eyes. response:	And she's fair and used to live abroad.
context: Like I know!\Hername is Hitomi.\I didn't ask!\Hitomi is in my class.\And she sits next to me in the classroom.\Like I should talk...\But she's very cute with big, round eyes.\And she's fair and used to live abroad. response:	And doesn't like parsley.
context: Hername is Hitomi.\I didn't ask!\Hitomi is in my class.\And she sits next to me in the classroom.\Like I should talk...\But she's very cute with big, round eyes.\And she's fair and used to live abroad.\And doesn't like parsley. response:	And she doesn't carry a backpack...
context: I didn't ask!\Hitomi is in my class.\And she sits next to me in the classroom.\Like I should talk...\But she's very cute with big, round eyes.\And she's fair and used to live abroad.\And doesn't like parsley.\And she doesn't carry a backpack... response:	I didn't understand all of that...
context: Hitomi is in my class.\And she sits next to me in the classroom.\Like I should talk...\But she's very cute with big, round eyes.\And she's fair and used to live abroad.\And doesn't like parsley.\And she doesn't carry a backpack...\I didn't understand all of that... response:	But in otherwords, you love this girl?
context: And she sits next to me in the classroom.\Like I should talk...\But she's very cute with big, round eyes.\And she's fair and used to live abroad.\And doesn't like parsley.\And she doesn't carry a backpack...\I didn't understand all of that...\But in otherwords, you love this girl? response:	But...
context: Like I should talk...\But she's very cute with big, round eyes.\And she's fair and used to live abroad.\And doesn't like parsley.\And she doesn't carry a backpack...\I didn't understand all of that...\But in otherwords, you love this girl?\But... response:	But I don't know how Hitomi feels about me.
context: But she's very cute with big, round eyes.\And she's fair and used to live abroad.\And doesn't like parsley.\And she doesn't carry a backpack...\I didn't understand all of that...\But in otherwords, you love this girl?\But...\But I don't know how Hitomi feels about me. response:	That's why...
context: And she's fair and used to live abroad.\And doesn't like parsley.\And she doesn't carry a backpack...\I didn't understand all of that...\But in otherwords, you love this girl?\But...\But I don't know how Hitomi feels about me.\That's why... response:	I want to declare my love to her.
context: And doesn't like parsley.\And she doesn't carry a backpack...\I didn't understand all of that...\But in otherwords, you love this girl?\But...\But I don't know how Hitomi feels about me.\That's why...\I want to declare my love to her. response:	W- Why must he tell me all this?
context: And she doesn't carry a backpack...\I didn't understand all of that...\But in otherwords, you love this girl?\But...\But I don't know how Hitomi feels about me.\That's why...\I want to declare my love to her.\W- Why must he tell me all this? response:	Please Inuyasha.
context: I didn't understand all of that...\But in otherwords, you love this girl?\But...\But I don't know how Hitomi feels about me.\That's why...\I want to declare my love to her.\W- Why must he tell me all this?\Please Inuyasha. response:	W-What?
context: But in otherwords, you love this girl?\But...\But I don't know how Hitomi feels about me.\That's why...\I want to declare my love to her.\W- Why must he tell me all this?\Please Inuyasha.\W-What? response:	Can I practice with you?
context: But...\But I don't know how Hitomi feels about me.\That's why...\I want to declare my love to her.\W- Why must he tell me all this?\Please Inuyasha.\W-What?\Can I practice with you? response:	Huh?!
context: But I don't know how Hitomi feels about me.\That's why...\I want to declare my love to her.\W- Why must he tell me all this?\Please Inuyasha.\W-What?\Can I practice with you?\Huh?! response:	Let me practice declaring my love with you.
context: That's why...\I want to declare my love to her.\W- Why must he tell me all this?\Please Inuyasha.\W-What?\Can I practice with you?\Huh?!\Let me practice declaring my love with you. response:	Huh?!
context: I want to declare my love to her.\W- Why must he tell me all this?\Please Inuyasha.\W-What?\Can I practice with you?\Huh?!\Let me practice declaring my love with you.\Huh?! response:	Please!
context: W- Why must he tell me all this?\Please Inuyasha.\W-What?\Can I practice with you?\Huh?!\Let me practice declaring my love with you.\Huh?!\Please! response:	J-Just once.
