context: Man, don't come to show off every time you buy a new slave. response:	That's not it.
context: A New Comrade\So, what's her deal?\According to the slave merchant,\filolials have a king or queen leading each flock.\Isn't that just a myth?\Those kings and queens are highly skilled at transforming,\and they blend into the flocks by disguising themselves as normal filolials.\And they can transform into humans, too? response:	That's nuts.
context: So, what's her deal?\According to the slave merchant,\filolials have a king or queen leading each flock.\Isn't that just a myth?\Those kings and queens are highly skilled at transforming,\and they blend into the flocks by disguising themselves as normal filolials.\And they can transform into humans, too?\That's nuts. response:	What's more, it turns out they need a special crest to be tamed.
context: According to the slave merchant,\filolials have a king or queen leading each flock.\Isn't that just a myth?\Those kings and queens are highly skilled at transforming,\and they blend into the flocks by disguising themselves as normal filolials.\And they can transform into humans, too?\That's nuts.\What's more, it turns out they need a special crest to be tamed. response:	I hadn't budgeted for that.
context: filolials have a king or queen leading each flock.\Isn't that just a myth?\Those kings and queens are highly skilled at transforming,\and they blend into the flocks by disguising themselves as normal filolials.\And they can transform into humans, too?\That's nuts.\What's more, it turns out they need a special crest to be tamed.\I hadn't budgeted for that. response:	Things got crazy while giving her that crest.
context: Isn't that just a myth?\Those kings and queens are highly skilled at transforming,\and they blend into the flocks by disguising themselves as normal filolials.\And they can transform into humans, too?\That's nuts.\What's more, it turns out they need a special crest to be tamed.\I hadn't budgeted for that.\Things got crazy while giving her that crest. response:	Filo started resisting with all her might.
context: Those kings and queens are highly skilled at transforming,\and they blend into the flocks by disguising themselves as normal filolials.\And they can transform into humans, too?\That's nuts.\What's more, it turns out they need a special crest to be tamed.\I hadn't budgeted for that.\Things got crazy while giving her that crest.\Filo started resisting with all her might. response:	And that was at Level 19.
context: and they blend into the flocks by disguising themselves as normal filolials.\And they can transform into humans, too?\That's nuts.\What's more, it turns out they need a special crest to be tamed.\I hadn't budgeted for that.\Things got crazy while giving her that crest.\Filo started resisting with all her might.\And that was at Level 19. response:	Who knows how strong she'll be at Level 70 or something?
context: And they can transform into humans, too?\That's nuts.\What's more, it turns out they need a special crest to be tamed.\I hadn't budgeted for that.\Things got crazy while giving her that crest.\Filo started resisting with all her might.\And that was at Level 19.\Who knows how strong she'll be at Level 70 or something? response:	And? You didn't come here just to show off this filolial queen, right?
context: That's nuts.\What's more, it turns out they need a special crest to be tamed.\I hadn't budgeted for that.\Things got crazy while giving her that crest.\Filo started resisting with all her might.\And that was at Level 19.\Who knows how strong she'll be at Level 70 or something?\And? You didn't come here just to show off this filolial queen, right? response:	Sell us some clothes.
context: What's more, it turns out they need a special crest to be tamed.\I hadn't budgeted for that.\Things got crazy while giving her that crest.\Filo started resisting with all her might.\And that was at Level 19.\Who knows how strong she'll be at Level 70 or something?\And? You didn't come here just to show off this filolial queen, right?\Sell us some clothes. response:	Clothes?
context: I hadn't budgeted for that.\Things got crazy while giving her that crest.\Filo started resisting with all her might.\And that was at Level 19.\Who knows how strong she'll be at Level 70 or something?\And? You didn't come here just to show off this filolial queen, right?\Sell us some clothes.\Clothes? response:	If she rips them apart each time she transforms,
context: Things got crazy while giving her that crest.\Filo started resisting with all her might.\And that was at Level 19.\Who knows how strong she'll be at Level 70 or something?\And? You didn't come here just to show off this filolial queen, right?\Sell us some clothes.\Clothes?\If she rips them apart each time she transforms, response:	I'll go broke in the blink of an eye.
context: Filo started resisting with all her might.\And that was at Level 19.\Who knows how strong she'll be at Level 70 or something?\And? You didn't come here just to show off this filolial queen, right?\Sell us some clothes.\Clothes?\If she rips them apart each time she transforms,\I'll go broke in the blink of an eye. response:	There are outfits made for transforming species, aren't there?
context: And that was at Level 19.\Who knows how strong she'll be at Level 70 or something?\And? You didn't come here just to show off this filolial queen, right?\Sell us some clothes.\Clothes?\If she rips them apart each time she transforms,\I'll go broke in the blink of an eye.\There are outfits made for transforming species, aren't there? response:	Those are special. I ain't got any.
context: Who knows how strong she'll be at Level 70 or something?\And? You didn't come here just to show off this filolial queen, right?\Sell us some clothes.\Clothes?\If she rips them apart each time she transforms,\I'll go broke in the blink of an eye.\There are outfits made for transforming species, aren't there?\Those are special. I ain't got any. response:	Go see a dressmaker.
context: And? You didn't come here just to show off this filolial queen, right?\Sell us some clothes.\Clothes?\If she rips them apart each time she transforms,\I'll go broke in the blink of an eye.\There are outfits made for transforming species, aren't there?\Those are special. I ain't got any.\Go see a dressmaker. response:	But I guess you can't have her walking around in public looking like that.
context: Sell us some clothes.\Clothes?\If she rips them apart each time she transforms,\I'll go broke in the blink of an eye.\There are outfits made for transforming species, aren't there?\Those are special. I ain't got any.\Go see a dressmaker.\But I guess you can't have her walking around in public looking like that. response:	Take this. Another customer left it here.
context: Clothes?\If she rips them apart each time she transforms,\I'll go broke in the blink of an eye.\There are outfits made for transforming species, aren't there?\Those are special. I ain't got any.\Go see a dressmaker.\But I guess you can't have her walking around in public looking like that.\Take this. Another customer left it here. response:	Wow, cute!
context: If she rips them apart each time she transforms,\I'll go broke in the blink of an eye.\There are outfits made for transforming species, aren't there?\Those are special. I ain't got any.\Go see a dressmaker.\But I guess you can't have her walking around in public looking like that.\Take this. Another customer left it here.\Wow, cute! response:	She's cute, like an angel!
context: I'll go broke in the blink of an eye.\There are outfits made for transforming species, aren't there?\Those are special. I ain't got any.\Go see a dressmaker.\But I guess you can't have her walking around in public looking like that.\Take this. Another customer left it here.\Wow, cute!\She's cute, like an angel! response:	Wait, she has wings on her back, so maybe she really is one?
context: There are outfits made for transforming species, aren't there?\Those are special. I ain't got any.\Go see a dressmaker.\But I guess you can't have her walking around in public looking like that.\Take this. Another customer left it here.\Wow, cute!\She's cute, like an angel!\Wait, she has wings on her back, so maybe she really is one? response:	Am I cute, Master?
context: Those are special. I ain't got any.\Go see a dressmaker.\But I guess you can't have her walking around in public looking like that.\Take this. Another customer left it here.\Wow, cute!\She's cute, like an angel!\Wait, she has wings on her back, so maybe she really is one?\Am I cute, Master? response:	Don't ask me.
context: Go see a dressmaker.\But I guess you can't have her walking around in public looking like that.\Take this. Another customer left it here.\Wow, cute!\She's cute, like an angel!\Wait, she has wings on her back, so maybe she really is one?\Am I cute, Master?\Don't ask me. response:	You mustn't be like that, Father.
context: But I guess you can't have her walking around in public looking like that.\Take this. Another customer left it here.\Wow, cute!\She's cute, like an angel!\Wait, she has wings on her back, so maybe she really is one?\Am I cute, Master?\Don't ask me.\You mustn't be like that, Father. response:	Fath?!
context: Take this. Another customer left it here.\Wow, cute!\She's cute, like an angel!\Wait, she has wings on her back, so maybe she really is one?\Am I cute, Master?\Don't ask me.\You mustn't be like that, Father.\Fath?! response:	Compliments help girls grow ever cuter.
context: Wow, cute!\She's cute, like an angel!\Wait, she has wings on her back, so maybe she really is one?\Am I cute, Master?\Don't ask me.\You mustn't be like that, Father.\Fath?!\Compliments help girls grow ever cuter. response:	Master, are you my father?
context: She's cute, like an angel!\Wait, she has wings on her back, so maybe she really is one?\Am I cute, Master?\Don't ask me.\You mustn't be like that, Father.\Fath?!\Compliments help girls grow ever cuter.\Master, are you my father? response:	No, I'm your owner.
context: Wait, she has wings on her back, so maybe she really is one?\Am I cute, Master?\Don't ask me.\You mustn't be like that, Father.\Fath?!\Compliments help girls grow ever cuter.\Master, are you my father?\No, I'm your owner. response:	What about Raphtalia-oneechan, then?
context: Am I cute, Master?\Don't ask me.\You mustn't be like that, Father.\Fath?!\Compliments help girls grow ever cuter.\Master, are you my father?\No, I'm your owner.\What about Raphtalia-oneechan, then? response:	She's like my daughter.
context: Don't ask me.\You mustn't be like that, Father.\Fath?!\Compliments help girls grow ever cuter.\Master, are you my father?\No, I'm your owner.\What about Raphtalia-oneechan, then?\She's like my daughter. response:	I am not!
context: You mustn't be like that, Father.\Fath?!\Compliments help girls grow ever cuter.\Master, are you my father?\No, I'm your owner.\What about Raphtalia-oneechan, then?\She's like my daughter.\I am not! response:	Anyway, that doesn't matter.
context: Fath?!\Compliments help girls grow ever cuter.\Master, are you my father?\No, I'm your owner.\What about Raphtalia-oneechan, then?\She's like my daughter.\I am not!\Anyway, that doesn't matter. response:	It doesn't?
context: Compliments help girls grow ever cuter.\Master, are you my father?\No, I'm your owner.\What about Raphtalia-oneechan, then?\She's like my daughter.\I am not!\Anyway, that doesn't matter.\It doesn't? response:	We want clothes that don't rip when you transform and can go back to normal later.
context: Master, are you my father?\No, I'm your owner.\What about Raphtalia-oneechan, then?\She's like my daughter.\I am not!\Anyway, that doesn't matter.\It doesn't?\We want clothes that don't rip when you transform and can go back to normal later. response:	Oh, that's what you're looking for?
context: No, I'm your owner.\What about Raphtalia-oneechan, then?\She's like my daughter.\I am not!\Anyway, that doesn't matter.\It doesn't?\We want clothes that don't rip when you transform and can go back to normal later.\Oh, that's what you're looking for? response:	Did you bring magic thread?
context: What about Raphtalia-oneechan, then?\She's like my daughter.\I am not!\Anyway, that doesn't matter.\It doesn't?\We want clothes that don't rip when you transform and can go back to normal later.\Oh, that's what you're looking for?\Did you bring magic thread? response:	Magic thread?
context: She's like my daughter.\I am not!\Anyway, that doesn't matter.\It doesn't?\We want clothes that don't rip when you transform and can go back to normal later.\Oh, that's what you're looking for?\Did you bring magic thread?\Magic thread? response:	Transforming clothes are always woven using thread made out of the wearer's own mana.
context: I am not!\Anyway, that doesn't matter.\It doesn't?\We want clothes that don't rip when you transform and can go back to normal later.\Oh, that's what you're looking for?\Did you bring magic thread?\Magic thread?\Transforming clothes are always woven using thread made out of the wearer's own mana. response:	So, they're custom made?
context: Anyway, that doesn't matter.\It doesn't?\We want clothes that don't rip when you transform and can go back to normal later.\Oh, that's what you're looking for?\Did you bring magic thread?\Magic thread?\Transforming clothes are always woven using thread made out of the wearer's own mana.\So, they're custom made? response:	Indeed!
context: It doesn't?\We want clothes that don't rip when you transform and can go back to normal later.\Oh, that's what you're looking for?\Did you bring magic thread?\Magic thread?\Transforming clothes are always woven using thread made out of the wearer's own mana.\So, they're custom made?\Indeed! response:	If you give me the magic threads,
context: We want clothes that don't rip when you transform and can go back to normal later.\Oh, that's what you're looking for?\Did you bring magic thread?\Magic thread?\Transforming clothes are always woven using thread made out of the wearer's own mana.\So, they're custom made?\Indeed!\If you give me the magic threads, response:	I'll make you the cutest dress ever!
context: Oh, that's what you're looking for?\Did you bring magic thread?\Magic thread?\Transforming clothes are always woven using thread made out of the wearer's own mana.\So, they're custom made?\Indeed!\If you give me the magic threads,\I'll make you the cutest dress ever! response:	Magic thread, huh?
context: Did you bring magic thread?\Magic thread?\Transforming clothes are always woven using thread made out of the wearer's own mana.\So, they're custom made?\Indeed!\If you give me the magic threads,\I'll make you the cutest dress ever!\Magic thread, huh? response:	You certainly could spin it here,
context: Magic thread?\Transforming clothes are always woven using thread made out of the wearer's own mana.\So, they're custom made?\Indeed!\If you give me the magic threads,\I'll make you the cutest dress ever!\Magic thread, huh?\You certainly could spin it here, response:	but not right now. My magic gemstone broke recently.
context: Transforming clothes are always woven using thread made out of the wearer's own mana.\So, they're custom made?\Indeed!\If you give me the magic threads,\I'll make you the cutest dress ever!\Magic thread, huh?\You certainly could spin it here,\but not right now. My magic gemstone broke recently. response:	Is that gemstone expensive?
context: So, they're custom made?\Indeed!\If you give me the magic threads,\I'll make you the cutest dress ever!\Magic thread, huh?\You certainly could spin it here,\but not right now. My magic gemstone broke recently.\Is that gemstone expensive? response:	It is, but the bigger issue is that it's always in short supply.
context: Indeed!\If you give me the magic threads,\I'll make you the cutest dress ever!\Magic thread, huh?\You certainly could spin it here,\but not right now. My magic gemstone broke recently.\Is that gemstone expensive?\It is, but the bigger issue is that it's always in short supply. response:	Well, that's a problem.
context: If you give me the magic threads,\I'll make you the cutest dress ever!\Magic thread, huh?\You certainly could spin it here,\but not right now. My magic gemstone broke recently.\Is that gemstone expensive?\It is, but the bigger issue is that it's always in short supply.\Well, that's a problem. response:	I'll talk to people and try to procure one as soon as possible.
context: I'll make you the cutest dress ever!\Magic thread, huh?\You certainly could spin it here,\but not right now. My magic gemstone broke recently.\Is that gemstone expensive?\It is, but the bigger issue is that it's always in short supply.\Well, that's a problem.\I'll talk to people and try to procure one as soon as possible. response:	Could you give me some time?
context: Magic thread, huh?\You certainly could spin it here,\but not right now. My magic gemstone broke recently.\Is that gemstone expensive?\It is, but the bigger issue is that it's always in short supply.\Well, that's a problem.\I'll talk to people and try to procure one as soon as possible.\Could you give me some time? response:	Hey.
context: You certainly could spin it here,\but not right now. My magic gemstone broke recently.\Is that gemstone expensive?\It is, but the bigger issue is that it's always in short supply.\Well, that's a problem.\I'll talk to people and try to procure one as soon as possible.\Could you give me some time?\Hey. response:	What is this?
context: but not right now. My magic gemstone broke recently.\Is that gemstone expensive?\It is, but the bigger issue is that it's always in short supply.\Well, that's a problem.\I'll talk to people and try to procure one as soon as possible.\Could you give me some time?\Hey.\What is this? response:	A crystal ball. It measures one's magical affinity.
context: Is that gemstone expensive?\It is, but the bigger issue is that it's always in short supply.\Well, that's a problem.\I'll talk to people and try to procure one as soon as possible.\Could you give me some time?\Hey.\What is this?\A crystal ball. It measures one's magical affinity. response:	Let me check yours, too.
context: It is, but the bigger issue is that it's always in short supply.\Well, that's a problem.\I'll talk to people and try to procure one as soon as possible.\Could you give me some time?\Hey.\What is this?\A crystal ball. It measures one's magical affinity.\Let me check yours, too. response:	No outfit for a while, huh?
context: Well, that's a problem.\I'll talk to people and try to procure one as soon as possible.\Could you give me some time?\Hey.\What is this?\A crystal ball. It measures one's magical affinity.\Let me check yours, too.\No outfit for a while, huh? response:	Filo has wind affinity!
context: I'll talk to people and try to procure one as soon as possible.\Could you give me some time?\Hey.\What is this?\A crystal ball. It measures one's magical affinity.\Let me check yours, too.\No outfit for a while, huh?\Filo has wind affinity! response:	I blow away all the enemies!
context: Could you give me some time?\Hey.\What is this?\A crystal ball. It measures one's magical affinity.\Let me check yours, too.\No outfit for a while, huh?\Filo has wind affinity!\I blow away all the enemies! response:	My job is draw the carriage.
context: Hey.\What is this?\A crystal ball. It measures one's magical affinity.\Let me check yours, too.\No outfit for a while, huh?\Filo has wind affinity!\I blow away all the enemies!\My job is draw the carriage. response:	Well, she's in a good mood.
context: What is this?\A crystal ball. It measures one's magical affinity.\Let me check yours, too.\No outfit for a while, huh?\Filo has wind affinity!\I blow away all the enemies!\My job is draw the carriage.\Well, she's in a good mood. response:	To where my Master says!
context: A crystal ball. It measures one's magical affinity.\Let me check yours, too.\No outfit for a while, huh?\Filo has wind affinity!\I blow away all the enemies!\My job is draw the carriage.\Well, she's in a good mood.\To where my Master says! response:	If I find the spear guy,
context: Let me check yours, too.\No outfit for a while, huh?\Filo has wind affinity!\I blow away all the enemies!\My job is draw the carriage.\Well, she's in a good mood.\To where my Master says!\If I find the spear guy, response:	I'll send him flying with a full-power kick!
context: No outfit for a while, huh?\Filo has wind affinity!\I blow away all the enemies!\My job is draw the carriage.\Well, she's in a good mood.\To where my Master says!\If I find the spear guy,\I'll send him flying with a full-power kick! response:	It'll be a while before we get her clothes.
context: Filo has wind affinity!\I blow away all the enemies!\My job is draw the carriage.\Well, she's in a good mood.\To where my Master says!\If I find the spear guy,\I'll send him flying with a full-power kick!\It'll be a while before we get her clothes. response:	In the meantime, let's travel around and make some money.
context: I blow away all the enemies!\My job is draw the carriage.\Well, she's in a good mood.\To where my Master says!\If I find the spear guy,\I'll send him flying with a full-power kick!\It'll be a while before we get her clothes.\In the meantime, let's travel around and make some money. response:	That trade pass we got from the village lord will come in handy.
context: My job is draw the carriage.\Well, she's in a good mood.\To where my Master says!\If I find the spear guy,\I'll send him flying with a full-power kick!\It'll be a while before we get her clothes.\In the meantime, let's travel around and make some money.\That trade pass we got from the village lord will come in handy. response:	Master, there's someone up ahead.
context: Well, she's in a good mood.\To where my Master says!\If I find the spear guy,\I'll send him flying with a full-power kick!\It'll be a while before we get her clothes.\In the meantime, let's travel around and make some money.\That trade pass we got from the village lord will come in handy.\Master, there's someone up ahead. response:	Is something the matter?
context: To where my Master says!\If I find the spear guy,\I'll send him flying with a full-power kick!\It'll be a while before we get her clothes.\In the meantime, let's travel around and make some money.\That trade pass we got from the village lord will come in handy.\Master, there's someone up ahead.\Is something the matter? response:	P-Please, give me a ride on your carriage.
context: If I find the spear guy,\I'll send him flying with a full-power kick!\It'll be a while before we get her clothes.\In the meantime, let's travel around and make some money.\That trade pass we got from the village lord will come in handy.\Master, there's someone up ahead.\Is something the matter?\P-Please, give me a ride on your carriage. response:	Huh?
context: I'll send him flying with a full-power kick!\It'll be a while before we get her clothes.\In the meantime, let's travel around and make some money.\That trade pass we got from the village lord will come in handy.\Master, there's someone up ahead.\Is something the matter?\P-Please, give me a ride on your carriage.\Huh? response:	I need to get this medicine to the village past the mountain at once!
context: It'll be a while before we get her clothes.\In the meantime, let's travel around and make some money.\That trade pass we got from the village lord will come in handy.\Master, there's someone up ahead.\Is something the matter?\P-Please, give me a ride on your carriage.\Huh?\I need to get this medicine to the village past the mountain at once! response:	Filo, how long will it take to get there at full speed?
context: In the meantime, let's travel around and make some money.\That trade pass we got from the village lord will come in handy.\Master, there's someone up ahead.\Is something the matter?\P-Please, give me a ride on your carriage.\Huh?\I need to get this medicine to the village past the mountain at once!\Filo, how long will it take to get there at full speed? response:	Not long.
context: That trade pass we got from the village lord will come in handy.\Master, there's someone up ahead.\Is something the matter?\P-Please, give me a ride on your carriage.\Huh?\I need to get this medicine to the village past the mountain at once!\Filo, how long will it take to get there at full speed?\Not long. response:	But we can get there even sooner without the carriage.
context: Master, there's someone up ahead.\Is something the matter?\P-Please, give me a ride on your carriage.\Huh?\I need to get this medicine to the village past the mountain at once!\Filo, how long will it take to get there at full speed?\Not long.\But we can get there even sooner without the carriage. response:	I'll take you there for one silver.
context: Is something the matter?\P-Please, give me a ride on your carriage.\Huh?\I need to get this medicine to the village past the mountain at once!\Filo, how long will it take to get there at full speed?\Not long.\But we can get there even sooner without the carriage.\I'll take you there for one silver. response:	But I already spent all my money on the medicine...
context: P-Please, give me a ride on your carriage.\Huh?\I need to get this medicine to the village past the mountain at once!\Filo, how long will it take to get there at full speed?\Not long.\But we can get there even sooner without the carriage.\I'll take you there for one silver.\But I already spent all my money on the medicine... response:	You can pay me in goods, or even pay me later.
context: Huh?\I need to get this medicine to the village past the mountain at once!\Filo, how long will it take to get there at full speed?\Not long.\But we can get there even sooner without the carriage.\I'll take you there for one silver.\But I already spent all my money on the medicine...\You can pay me in goods, or even pay me later. response:	Don't you dare try to weasel out of it, though.
context: I need to get this medicine to the village past the mountain at once!\Filo, how long will it take to get there at full speed?\Not long.\But we can get there even sooner without the carriage.\I'll take you there for one silver.\But I already spent all my money on the medicine...\You can pay me in goods, or even pay me later.\Don't you dare try to weasel out of it, though. response:	Th-That would be fine.
context: Filo, how long will it take to get there at full speed?\Not long.\But we can get there even sooner without the carriage.\I'll take you there for one silver.\But I already spent all my money on the medicine...\You can pay me in goods, or even pay me later.\Don't you dare try to weasel out of it, though.\Th-That would be fine. response:	Give me the reins, Raphtalia.
context: Not long.\But we can get there even sooner without the carriage.\I'll take you there for one silver.\But I already spent all my money on the medicine...\You can pay me in goods, or even pay me later.\Don't you dare try to weasel out of it, though.\Th-That would be fine.\Give me the reins, Raphtalia. response:	Here.
context: But we can get there even sooner without the carriage.\I'll take you there for one silver.\But I already spent all my money on the medicine...\You can pay me in goods, or even pay me later.\Don't you dare try to weasel out of it, though.\Th-That would be fine.\Give me the reins, Raphtalia.\Here. response:	Thank you.
context: I'll take you there for one silver.\But I already spent all my money on the medicine...\You can pay me in goods, or even pay me later.\Don't you dare try to weasel out of it, though.\Th-That would be fine.\Give me the reins, Raphtalia.\Here.\Thank you. response:	I don't need your gratitude. Just make sure to pay me.
context: But I already spent all my money on the medicine...\You can pay me in goods, or even pay me later.\Don't you dare try to weasel out of it, though.\Th-That would be fine.\Give me the reins, Raphtalia.\Here.\Thank you.\I don't need your gratitude. Just make sure to pay me. response:	Go, Filo!
context: You can pay me in goods, or even pay me later.\Don't you dare try to weasel out of it, though.\Th-That would be fine.\Give me the reins, Raphtalia.\Here.\Thank you.\I don't need your gratitude. Just make sure to pay me.\Go, Filo! response:	Right-o!
context: Don't you dare try to weasel out of it, though.\Th-That would be fine.\Give me the reins, Raphtalia.\Here.\Thank you.\I don't need your gratitude. Just make sure to pay me.\Go, Filo!\Right-o! response:	Halt! Pay the toll!
context: Th-That would be fine.\Give me the reins, Raphtalia.\Here.\Thank you.\I don't need your gratitude. Just make sure to pay me.\Go, Filo!\Right-o!\Halt! Pay the toll! response:	I'll come back for it later!
context: Give me the reins, Raphtalia.\Here.\Thank you.\I don't need your gratitude. Just make sure to pay me.\Go, Filo!\Right-o!\Halt! Pay the toll!\I'll come back for it later! response:	Mother, I got you the medicine.
context: Here.\Thank you.\I don't need your gratitude. Just make sure to pay me.\Go, Filo!\Right-o!\Halt! Pay the toll!\I'll come back for it later!\Mother, I got you the medicine. response:	You go boil some water.
context: Thank you.\I don't need your gratitude. Just make sure to pay me.\Go, Filo!\Right-o!\Halt! Pay the toll!\I'll come back for it later!\Mother, I got you the medicine.\You go boil some water. response:	I'll give her the medicine.
context: I don't need your gratitude. Just make sure to pay me.\Go, Filo!\Right-o!\Halt! Pay the toll!\I'll come back for it later!\Mother, I got you the medicine.\You go boil some water.\I'll give her the medicine. response:	But...
context: Go, Filo!\Right-o!\Halt! Pay the toll!\I'll come back for it later!\Mother, I got you the medicine.\You go boil some water.\I'll give her the medicine.\But... response:	Relax. I won't charge you.
context: Right-o!\Halt! Pay the toll!\I'll come back for it later!\Mother, I got you the medicine.\You go boil some water.\I'll give her the medicine.\But...\Relax. I won't charge you. response:	Potion Enhance
context: Halt! Pay the toll!\I'll come back for it later!\Mother, I got you the medicine.\You go boil some water.\I'll give her the medicine.\But...\Relax. I won't charge you.\Potion Enhance response:	Why, thank you.
context: I'll come back for it later!\Mother, I got you the medicine.\You go boil some water.\I'll give her the medicine.\But...\Relax. I won't charge you.\Potion Enhance\Why, thank you. response:	Mother!
context: Mother, I got you the medicine.\You go boil some water.\I'll give her the medicine.\But...\Relax. I won't charge you.\Potion Enhance\Why, thank you.\Mother! response:	The medicine's helping already?
context: You go boil some water.\I'll give her the medicine.\But...\Relax. I won't charge you.\Potion Enhance\Why, thank you.\Mother!\The medicine's helping already? response:	Yes. The pain went away in an instant.
context: I'll give her the medicine.\But...\Relax. I won't charge you.\Potion Enhance\Why, thank you.\Mother!\The medicine's helping already?\Yes. The pain went away in an instant. response:	Thank you.
context: But...\Relax. I won't charge you.\Potion Enhance\Why, thank you.\Mother!\The medicine's helping already?\Yes. The pain went away in an instant.\Thank you. response:	Um... What kind of magic spell did you use?
context: Relax. I won't charge you.\Potion Enhance\Why, thank you.\Mother!\The medicine's helping already?\Yes. The pain went away in an instant.\Thank you.\Um... What kind of magic spell did you use? response:	Quit asking questions you don't need to ask.
context: Potion Enhance\Why, thank you.\Mother!\The medicine's helping already?\Yes. The pain went away in an instant.\Thank you.\Um... What kind of magic spell did you use?\Quit asking questions you don't need to ask. response:	That aside...
context: Why, thank you.\Mother!\The medicine's helping already?\Yes. The pain went away in an instant.\Thank you.\Um... What kind of magic spell did you use?\Quit asking questions you don't need to ask.\That aside... response:	Oh, here. This should be worth one silver in total.
context: Mother!\The medicine's helping already?\Yes. The pain went away in an instant.\Thank you.\Um... What kind of magic spell did you use?\Quit asking questions you don't need to ask.\That aside...\Oh, here. This should be worth one silver in total. response:	That works.
context: The medicine's helping already?\Yes. The pain went away in an instant.\Thank you.\Um... What kind of magic spell did you use?\Quit asking questions you don't need to ask.\That aside...\Oh, here. This should be worth one silver in total.\That works. response:	Later.
context: Yes. The pain went away in an instant.\Thank you.\Um... What kind of magic spell did you use?\Quit asking questions you don't need to ask.\That aside...\Oh, here. This should be worth one silver in total.\That works.\Later. response:	Thank you so very much!
context: Thank you.\Um... What kind of magic spell did you use?\Quit asking questions you don't need to ask.\That aside...\Oh, here. This should be worth one silver in total.\That works.\Later.\Thank you so very much! response:	On top of selling goods, I can even provide transport for people.
context: Um... What kind of magic spell did you use?\Quit asking questions you don't need to ask.\That aside...\Oh, here. This should be worth one silver in total.\That works.\Later.\Thank you so very much!\On top of selling goods, I can even provide transport for people. response:	Traveling trade may actually be more profitable than I thought.
