context: All of Kosaku Kawajiri's shoes are a bit big for my own feet. response:	I need to switch them with
context: Let's be friends.\Why am I trying to humor a cat?\If you don't get out of here, I'll hit you with this!\You hear? I'll throw it!\Darn it!\Why, you!\It was clinging to the ceiling like some kind of bug!\A-And what really creeped me out was response:	that the cat had a hole in its throat.
context: Why am I trying to humor a cat?\If you don't get out of here, I'll hit you with this!\You hear? I'll throw it!\Darn it!\Why, you!\It was clinging to the ceiling like some kind of bug!\A-And what really creeped me out was\that the cat had a hole in its throat. response:	A hole about as big as a one-yen coin!
context: If you don't get out of here, I'll hit you with this!\You hear? I'll throw it!\Darn it!\Why, you!\It was clinging to the ceiling like some kind of bug!\A-And what really creeped me out was\that the cat had a hole in its throat.\A hole about as big as a one-yen coin! response:	And then, from the hole, I heard...
context: You hear? I'll throw it!\Darn it!\Why, you!\It was clinging to the ceiling like some kind of bug!\A-And what really creeped me out was\that the cat had a hole in its throat.\A hole about as big as a one-yen coin!\And then, from the hole, I heard... response:	Mreow
context: Darn it!\Why, you!\It was clinging to the ceiling like some kind of bug!\A-And what really creeped me out was\that the cat had a hole in its throat.\A hole about as big as a one-yen coin!\And then, from the hole, I heard...\Mreow response:	A hole?
context: Why, you!\It was clinging to the ceiling like some kind of bug!\A-And what really creeped me out was\that the cat had a hole in its throat.\A hole about as big as a one-yen coin!\And then, from the hole, I heard...\Mreow\A hole? response:	Could it be a hole from the arrow?
context: It was clinging to the ceiling like some kind of bug!\A-And what really creeped me out was\that the cat had a hole in its throat.\A hole about as big as a one-yen coin!\And then, from the hole, I heard...\Mreow\A hole?\Could it be a hole from the arrow? response:	I just frantically waved the broom around and ran.
context: A-And what really creeped me out was\that the cat had a hole in its throat.\A hole about as big as a one-yen coin!\And then, from the hole, I heard...\Mreow\A hole?\Could it be a hole from the arrow?\I just frantically waved the broom around and ran. response:	Please, could you go check it out? It was really creepy.
context: that the cat had a hole in its throat.\A hole about as big as a one-yen coin!\And then, from the hole, I heard...\Mreow\A hole?\Could it be a hole from the arrow?\I just frantically waved the broom around and ran.\Please, could you go check it out? It was really creepy. response:	It had a hole... right?
context: A hole about as big as a one-yen coin!\And then, from the hole, I heard...\Mreow\A hole?\Could it be a hole from the arrow?\I just frantically waved the broom around and ran.\Please, could you go check it out? It was really creepy.\It had a hole... right? response:	Hey... Is it gone? Did it run away?
context: And then, from the hole, I heard...\Mreow\A hole?\Could it be a hole from the arrow?\I just frantically waved the broom around and ran.\Please, could you go check it out? It was really creepy.\It had a hole... right?\Hey... Is it gone? Did it run away? response:	No... It's dead.
context: Mreow\A hole?\Could it be a hole from the arrow?\I just frantically waved the broom around and ran.\Please, could you go check it out? It was really creepy.\It had a hole... right?\Hey... Is it gone? Did it run away?\No... It's dead. response:	Huh? What are you talking about?
context: A hole?\Could it be a hole from the arrow?\I just frantically waved the broom around and ran.\Please, could you go check it out? It was really creepy.\It had a hole... right?\Hey... Is it gone? Did it run away?\No... It's dead.\Huh? What are you talking about? response:	W-Wait...
context: Could it be a hole from the arrow?\I just frantically waved the broom around and ran.\Please, could you go check it out? It was really creepy.\It had a hole... right?\Hey... Is it gone? Did it run away?\No... It's dead.\Huh? What are you talking about?\W-Wait... response:	One of the shards went right into its throat.
context: I just frantically waved the broom around and ran.\Please, could you go check it out? It was really creepy.\It had a hole... right?\Hey... Is it gone? Did it run away?\No... It's dead.\Huh? What are you talking about?\W-Wait...\One of the shards went right into its throat. response:	Wait a minute! I was just
context: Please, could you go check it out? It was really creepy.\It had a hole... right?\Hey... Is it gone? Did it run away?\No... It's dead.\Huh? What are you talking about?\W-Wait...\One of the shards went right into its throat.\Wait a minute! I was just response:	It was an accident.
context: It had a hole... right?\Hey... Is it gone? Did it run away?\No... It's dead.\Huh? What are you talking about?\W-Wait...\One of the shards went right into its throat.\Wait a minute! I was just\It was an accident. response:	It's no one's fault. It was just bad luck.
context: Hey... Is it gone? Did it run away?\No... It's dead.\Huh? What are you talking about?\W-Wait...\One of the shards went right into its throat.\Wait a minute! I was just\It was an accident.\It's no one's fault. It was just bad luck. response:	It's not your fault.
context: No... It's dead.\Huh? What are you talking about?\W-Wait...\One of the shards went right into its throat.\Wait a minute! I was just\It was an accident.\It's no one's fault. It was just bad luck.\It's not your fault. response:	It's no one's fault.
context: Huh? What are you talking about?\W-Wait...\One of the shards went right into its throat.\Wait a minute! I was just\It was an accident.\It's no one's fault. It was just bad luck.\It's not your fault.\It's no one's fault. response:	Apparently it had a hole in its throat, but...
context: W-Wait...\One of the shards went right into its throat.\Wait a minute! I was just\It was an accident.\It's no one's fault. It was just bad luck.\It's not your fault.\It's no one's fault.\Apparently it had a hole in its throat, but... response:	Now there's no way to tell if it was a Stand user or not.
context: One of the shards went right into its throat.\Wait a minute! I was just\It was an accident.\It's no one's fault. It was just bad luck.\It's not your fault.\It's no one's fault.\Apparently it had a hole in its throat, but...\Now there's no way to tell if it was a Stand user or not. response:	No, I'm sure it wasn't...
context: Wait a minute! I was just\It was an accident.\It's no one's fault. It was just bad luck.\It's not your fault.\It's no one's fault.\Apparently it had a hole in its throat, but...\Now there's no way to tell if it was a Stand user or not.\No, I'm sure it wasn't... response:	Good morning, Morioh.
context: It was an accident.\It's no one's fault. It was just bad luck.\It's not your fault.\It's no one's fault.\Apparently it had a hole in its throat, but...\Now there's no way to tell if it was a Stand user or not.\No, I'm sure it wasn't...\Good morning, Morioh. response:	Isn't it a refreshing morning, now that the rain's stopped?
context: It's no one's fault. It was just bad luck.\It's not your fault.\It's no one's fault.\Apparently it had a hole in its throat, but...\Now there's no way to tell if it was a Stand user or not.\No, I'm sure it wasn't...\Good morning, Morioh.\Isn't it a refreshing morning, now that the rain's stopped? response:	I just saw a rainbow in the sky
context: It's not your fault.\It's no one's fault.\Apparently it had a hole in its throat, but...\Now there's no way to tell if it was a Stand user or not.\No, I'm sure it wasn't...\Good morning, Morioh.\Isn't it a refreshing morning, now that the rain's stopped?\I just saw a rainbow in the sky response:	before I came into the studio. Is it still out there?
context: It's no one's fault.\Apparently it had a hole in its throat, but...\Now there's no way to tell if it was a Stand user or not.\No, I'm sure it wasn't...\Good morning, Morioh.\Isn't it a refreshing morning, now that the rain's stopped?\I just saw a rainbow in the sky\before I came into the studio. Is it still out there? response:	Where am I, mrowr?
context: Apparently it had a hole in its throat, but...\Now there's no way to tell if it was a Stand user or not.\No, I'm sure it wasn't...\Good morning, Morioh.\Isn't it a refreshing morning, now that the rain's stopped?\I just saw a rainbow in the sky\before I came into the studio. Is it still out there?\Where am I, mrowr? response:	What am I doing here? Meow, meow, he thought.
context: Now there's no way to tell if it was a Stand user or not.\No, I'm sure it wasn't...\Good morning, Morioh.\Isn't it a refreshing morning, now that the rain's stopped?\I just saw a rainbow in the sky\before I came into the studio. Is it still out there?\Where am I, mrowr?\What am I doing here? Meow, meow, he thought. response:	Two days go, someone attacked me with an arrow,
context: No, I'm sure it wasn't...\Good morning, Morioh.\Isn't it a refreshing morning, now that the rain's stopped?\I just saw a rainbow in the sky\before I came into the studio. Is it still out there?\Where am I, mrowr?\What am I doing here? Meow, meow, he thought.\Two days go, someone attacked me with an arrow, response:	and I survived that, but...
context: Good morning, Morioh.\Isn't it a refreshing morning, now that the rain's stopped?\I just saw a rainbow in the sky\before I came into the studio. Is it still out there?\Where am I, mrowr?\What am I doing here? Meow, meow, he thought.\Two days go, someone attacked me with an arrow,\and I survived that, but... response:	M-My body's different from usual!
context: Isn't it a refreshing morning, now that the rain's stopped?\I just saw a rainbow in the sky\before I came into the studio. Is it still out there?\Where am I, mrowr?\What am I doing here? Meow, meow, he thought.\Two days go, someone attacked me with an arrow,\and I survived that, but...\M-My body's different from usual! response:	It's shaped funny! It's all wrong!
context: I just saw a rainbow in the sky\before I came into the studio. Is it still out there?\Where am I, mrowr?\What am I doing here? Meow, meow, he thought.\Two days go, someone attacked me with an arrow,\and I survived that, but...\M-My body's different from usual!\It's shaped funny! It's all wrong! response:	Why can't I move from here? he thought, bewildered.
context: before I came into the studio. Is it still out there?\Where am I, mrowr?\What am I doing here? Meow, meow, he thought.\Two days go, someone attacked me with an arrow,\and I survived that, but...\M-My body's different from usual!\It's shaped funny! It's all wrong!\Why can't I move from here? he thought, bewildered. response:	Where did he bury it?
context: Where am I, mrowr?\What am I doing here? Meow, meow, he thought.\Two days go, someone attacked me with an arrow,\and I survived that, but...\M-My body's different from usual!\It's shaped funny! It's all wrong!\Why can't I move from here? he thought, bewildered.\Where did he bury it? response:	I'm so sorry, kitty. Please rest in peace.
context: What am I doing here? Meow, meow, he thought.\Two days go, someone attacked me with an arrow,\and I survived that, but...\M-My body's different from usual!\It's shaped funny! It's all wrong!\Why can't I move from here? he thought, bewildered.\Where did he bury it?\I'm so sorry, kitty. Please rest in peace. response:	Who's this human lady?
context: Two days go, someone attacked me with an arrow,\and I survived that, but...\M-My body's different from usual!\It's shaped funny! It's all wrong!\Why can't I move from here? he thought, bewildered.\Where did he bury it?\I'm so sorry, kitty. Please rest in peace.\Who's this human lady? response:	I get a bad feeling from her, he thought.
context: and I survived that, but...\M-My body's different from usual!\It's shaped funny! It's all wrong!\Why can't I move from here? he thought, bewildered.\Where did he bury it?\I'm so sorry, kitty. Please rest in peace.\Who's this human lady?\I get a bad feeling from her, he thought. response:	The broom! That's it! Now I remember!
context: M-My body's different from usual!\It's shaped funny! It's all wrong!\Why can't I move from here? he thought, bewildered.\Where did he bury it?\I'm so sorry, kitty. Please rest in peace.\Who's this human lady?\I get a bad feeling from her, he thought.\The broom! That's it! Now I remember! response:	This woman...
context: It's shaped funny! It's all wrong!\Why can't I move from here? he thought, bewildered.\Where did he bury it?\I'm so sorry, kitty. Please rest in peace.\Who's this human lady?\I get a bad feeling from her, he thought.\The broom! That's it! Now I remember!\This woman... response:	That's right! A whole bunch of glass stabbed me, and I couldn't move!
context: Why can't I move from here? he thought, bewildered.\Where did he bury it?\I'm so sorry, kitty. Please rest in peace.\Who's this human lady?\I get a bad feeling from her, he thought.\The broom! That's it! Now I remember!\This woman...\That's right! A whole bunch of glass stabbed me, and I couldn't move! response:	The reason I'm like this now
context: Where did he bury it?\I'm so sorry, kitty. Please rest in peace.\Who's this human lady?\I get a bad feeling from her, he thought.\The broom! That's it! Now I remember!\This woman...\That's right! A whole bunch of glass stabbed me, and I couldn't move!\The reason I'm like this now response:	is because of this woman! he thought angrily.
context: I'm so sorry, kitty. Please rest in peace.\Who's this human lady?\I get a bad feeling from her, he thought.\The broom! That's it! Now I remember!\This woman...\That's right! A whole bunch of glass stabbed me, and I couldn't move!\The reason I'm like this now\is because of this woman! he thought angrily. response:	He was perplexed.
context: Who's this human lady?\I get a bad feeling from her, he thought.\The broom! That's it! Now I remember!\This woman...\That's right! A whole bunch of glass stabbed me, and I couldn't move!\The reason I'm like this now\is because of this woman! he thought angrily.\He was perplexed. response:	What? Something came out.
context: I get a bad feeling from her, he thought.\The broom! That's it! Now I remember!\This woman...\That's right! A whole bunch of glass stabbed me, and I couldn't move!\The reason I'm like this now\is because of this woman! he thought angrily.\He was perplexed.\What? Something came out. response:	When I got angry at that woman, something just came out.
context: The broom! That's it! Now I remember!\This woman...\That's right! A whole bunch of glass stabbed me, and I couldn't move!\The reason I'm like this now\is because of this woman! he thought angrily.\He was perplexed.\What? Something came out.\When I got angry at that woman, something just came out. response:	My toenail? Wh-Why?!
context: This woman...\That's right! A whole bunch of glass stabbed me, and I couldn't move!\The reason I'm like this now\is because of this woman! he thought angrily.\He was perplexed.\What? Something came out.\When I got angry at that woman, something just came out.\My toenail? Wh-Why?! response:	Is it a curse? C-Could it be that cat?!
context: That's right! A whole bunch of glass stabbed me, and I couldn't move!\The reason I'm like this now\is because of this woman! he thought angrily.\He was perplexed.\What? Something came out.\When I got angry at that woman, something just came out.\My toenail? Wh-Why?!\Is it a curse? C-Could it be that cat?! response:	He lived by his desire and instinct,
context: The reason I'm like this now\is because of this woman! he thought angrily.\He was perplexed.\What? Something came out.\When I got angry at that woman, something just came out.\My toenail? Wh-Why?!\Is it a curse? C-Could it be that cat?!\He lived by his desire and instinct, response:	so he understood this power, as well as how to use it.
context: is because of this woman! he thought angrily.\He was perplexed.\What? Something came out.\When I got angry at that woman, something just came out.\My toenail? Wh-Why?!\Is it a curse? C-Could it be that cat?!\He lived by his desire and instinct,\so he understood this power, as well as how to use it. response:	That's... a Stand user!
context: He was perplexed.\What? Something came out.\When I got angry at that woman, something just came out.\My toenail? Wh-Why?!\Is it a curse? C-Could it be that cat?!\He lived by his desire and instinct,\so he understood this power, as well as how to use it.\That's... a Stand user! response:	Why is this thing growing from where I buried the cat yesterday?
context: What? Something came out.\When I got angry at that woman, something just came out.\My toenail? Wh-Why?!\Is it a curse? C-Could it be that cat?!\He lived by his desire and instinct,\so he understood this power, as well as how to use it.\That's... a Stand user!\Why is this thing growing from where I buried the cat yesterday? response:	Just what is this thing?
context: When I got angry at that woman, something just came out.\My toenail? Wh-Why?!\Is it a curse? C-Could it be that cat?!\He lived by his desire and instinct,\so he understood this power, as well as how to use it.\That's... a Stand user!\Why is this thing growing from where I buried the cat yesterday?\Just what is this thing? response:	What did it do to that sparrow?
context: My toenail? Wh-Why?!\Is it a curse? C-Could it be that cat?!\He lived by his desire and instinct,\so he understood this power, as well as how to use it.\That's... a Stand user!\Why is this thing growing from where I buried the cat yesterday?\Just what is this thing?\What did it do to that sparrow? response:	I couldn't see an actual Stand.
context: Is it a curse? C-Could it be that cat?!\He lived by his desire and instinct,\so he understood this power, as well as how to use it.\That's... a Stand user!\Why is this thing growing from where I buried the cat yesterday?\Just what is this thing?\What did it do to that sparrow?\I couldn't see an actual Stand. response:	The most important thing is whether that thing is an enemy or not.
context: He lived by his desire and instinct,\so he understood this power, as well as how to use it.\That's... a Stand user!\Why is this thing growing from where I buried the cat yesterday?\Just what is this thing?\What did it do to that sparrow?\I couldn't see an actual Stand.\The most important thing is whether that thing is an enemy or not. response:	Is it an enemy who wishes to harm me, or is it...
context: so he understood this power, as well as how to use it.\That's... a Stand user!\Why is this thing growing from where I buried the cat yesterday?\Just what is this thing?\What did it do to that sparrow?\I couldn't see an actual Stand.\The most important thing is whether that thing is an enemy or not.\Is it an enemy who wishes to harm me, or is it... response:	I should probably kill it, just in case.
context: That's... a Stand user!\Why is this thing growing from where I buried the cat yesterday?\Just what is this thing?\What did it do to that sparrow?\I couldn't see an actual Stand.\The most important thing is whether that thing is an enemy or not.\Is it an enemy who wishes to harm me, or is it...\I should probably kill it, just in case. response:	It fell asleep after eating.
context: Why is this thing growing from where I buried the cat yesterday?\Just what is this thing?\What did it do to that sparrow?\I couldn't see an actual Stand.\The most important thing is whether that thing is an enemy or not.\Is it an enemy who wishes to harm me, or is it...\I should probably kill it, just in case.\It fell asleep after eating. response:	Is it a plant or an animal?
context: Just what is this thing?\What did it do to that sparrow?\I couldn't see an actual Stand.\The most important thing is whether that thing is an enemy or not.\Is it an enemy who wishes to harm me, or is it...\I should probably kill it, just in case.\It fell asleep after eating.\Is it a plant or an animal? response:	It'd be easy to kill it,
context: What did it do to that sparrow?\I couldn't see an actual Stand.\The most important thing is whether that thing is an enemy or not.\Is it an enemy who wishes to harm me, or is it...\I should probably kill it, just in case.\It fell asleep after eating.\Is it a plant or an animal?\It'd be easy to kill it, response:	but it might be worth watching for a while.
context: I couldn't see an actual Stand.\The most important thing is whether that thing is an enemy or not.\Is it an enemy who wishes to harm me, or is it...\I should probably kill it, just in case.\It fell asleep after eating.\Is it a plant or an animal?\It'd be easy to kill it,\but it might be worth watching for a while. response:	The way it turned around because it thought it was being called
context: The most important thing is whether that thing is an enemy or not.\Is it an enemy who wishes to harm me, or is it...\I should probably kill it, just in case.\It fell asleep after eating.\Is it a plant or an animal?\It'd be easy to kill it,\but it might be worth watching for a while.\The way it turned around because it thought it was being called response:	is almost like a cat, as well...
context: Is it an enemy who wishes to harm me, or is it...\I should probably kill it, just in case.\It fell asleep after eating.\Is it a plant or an animal?\It'd be easy to kill it,\but it might be worth watching for a while.\The way it turned around because it thought it was being called\is almost like a cat, as well... response:	The fact that it can't resist trying to smell me is also like a cat.
context: I should probably kill it, just in case.\It fell asleep after eating.\Is it a plant or an animal?\It'd be easy to kill it,\but it might be worth watching for a while.\The way it turned around because it thought it was being called\is almost like a cat, as well...\The fact that it can't resist trying to smell me is also like a cat. response:	It looks like it might be okay to pet it.
context: It fell asleep after eating.\Is it a plant or an animal?\It'd be easy to kill it,\but it might be worth watching for a while.\The way it turned around because it thought it was being called\is almost like a cat, as well...\The fact that it can't resist trying to smell me is also like a cat.\It looks like it might be okay to pet it. response:	The way it's purring creepily
context: Is it a plant or an animal?\It'd be easy to kill it,\but it might be worth watching for a while.\The way it turned around because it thought it was being called\is almost like a cat, as well...\The fact that it can't resist trying to smell me is also like a cat.\It looks like it might be okay to pet it.\The way it's purring creepily response:	as it's about to fall asleep is also, indeed, like a cat.
context: It'd be easy to kill it,\but it might be worth watching for a while.\The way it turned around because it thought it was being called\is almost like a cat, as well...\The fact that it can't resist trying to smell me is also like a cat.\It looks like it might be okay to pet it.\The way it's purring creepily\as it's about to fall asleep is also, indeed, like a cat. response:	But I'm still not sure if it has any hostility toward me or not.
context: but it might be worth watching for a while.\The way it turned around because it thought it was being called\is almost like a cat, as well...\The fact that it can't resist trying to smell me is also like a cat.\It looks like it might be okay to pet it.\The way it's purring creepily\as it's about to fall asleep is also, indeed, like a cat.\But I'm still not sure if it has any hostility toward me or not. response:	Let's find out.
context: The way it turned around because it thought it was being called\is almost like a cat, as well...\The fact that it can't resist trying to smell me is also like a cat.\It looks like it might be okay to pet it.\The way it's purring creepily\as it's about to fall asleep is also, indeed, like a cat.\But I'm still not sure if it has any hostility toward me or not.\Let's find out. response:	Hmm... It's angry,
