context: Damn you... response:	This is for Yamucha!
context: It's true, I was pretty upset. Now it's time to show you what I'm really made of.\Are you ready for this, Kakarrot!?\That's more like it. I can't wait!\Talk tough, will you?\He's not just talking tough. He's got assurance and absolute confidence in himself.\G- Goku...\Father...\Son- kun, pound that guy into a pulpy mass! response:	H- hey!
context: Are you ready for this, Kakarrot!?\That's more like it. I can't wait!\Talk tough, will you?\He's not just talking tough. He's got assurance and absolute confidence in himself.\G- Goku...\Father...\Son- kun, pound that guy into a pulpy mass!\H- hey! response:	Hey! Don't be so rough with this!
context: That's more like it. I can't wait!\Talk tough, will you?\He's not just talking tough. He's got assurance and absolute confidence in himself.\G- Goku...\Father...\Son- kun, pound that guy into a pulpy mass!\H- hey!\Hey! Don't be so rough with this! response:	Who cares if a crystal ball or two gets broken!?
context: Talk tough, will you?\He's not just talking tough. He's got assurance and absolute confidence in himself.\G- Goku...\Father...\Son- kun, pound that guy into a pulpy mass!\H- hey!\Hey! Don't be so rough with this!\Who cares if a crystal ball or two gets broken!? response:	It's an important tool of my trade!
context: He's not just talking tough. He's got assurance and absolute confidence in himself.\G- Goku...\Father...\Son- kun, pound that guy into a pulpy mass!\H- hey!\Hey! Don't be so rough with this!\Who cares if a crystal ball or two gets broken!?\It's an important tool of my trade! response:	With Kami- sama dead, and us not knowing whether the earth will be destroyed or not,
context: G- Goku...\Father...\Son- kun, pound that guy into a pulpy mass!\H- hey!\Hey! Don't be so rough with this!\Who cares if a crystal ball or two gets broken!?\It's an important tool of my trade!\With Kami- sama dead, and us not knowing whether the earth will be destroyed or not, response:	you can just stuff your trade!
context: Father...\Son- kun, pound that guy into a pulpy mass!\H- hey!\Hey! Don't be so rough with this!\Who cares if a crystal ball or two gets broken!?\It's an important tool of my trade!\With Kami- sama dead, and us not knowing whether the earth will be destroyed or not,\you can just stuff your trade! response:	How dare you say that!
context: Son- kun, pound that guy into a pulpy mass!\H- hey!\Hey! Don't be so rough with this!\Who cares if a crystal ball or two gets broken!?\It's an important tool of my trade!\With Kami- sama dead, and us not knowing whether the earth will be destroyed or not,\you can just stuff your trade!\How dare you say that! response:	Now see here!
context: H- hey!\Hey! Don't be so rough with this!\Who cares if a crystal ball or two gets broken!?\It's an important tool of my trade!\With Kami- sama dead, and us not knowing whether the earth will be destroyed or not,\you can just stuff your trade!\How dare you say that!\Now see here! response:	Would you two quit it!?
context: Hey! Don't be so rough with this!\Who cares if a crystal ball or two gets broken!?\It's an important tool of my trade!\With Kami- sama dead, and us not knowing whether the earth will be destroyed or not,\you can just stuff your trade!\How dare you say that!\Now see here!\Would you two quit it!? response:	It doesn't matter, does it?
context: Who cares if a crystal ball or two gets broken!?\It's an important tool of my trade!\With Kami- sama dead, and us not knowing whether the earth will be destroyed or not,\you can just stuff your trade!\How dare you say that!\Now see here!\Would you two quit it!?\It doesn't matter, does it? response:	Yeah! While you two are at it there, Goku could be getting done in.
context: It's an important tool of my trade!\With Kami- sama dead, and us not knowing whether the earth will be destroyed or not,\you can just stuff your trade!\How dare you say that!\Now see here!\Would you two quit it!?\It doesn't matter, does it?\Yeah! While you two are at it there, Goku could be getting done in. response:	Rubbish! Son- kun is obviously doing all right!
context: With Kami- sama dead, and us not knowing whether the earth will be destroyed or not,\you can just stuff your trade!\How dare you say that!\Now see here!\Would you two quit it!?\It doesn't matter, does it?\Yeah! While you two are at it there, Goku could be getting done in.\Rubbish! Son- kun is obviously doing all right! response:	You think he's going to lose to those guys!? No way! No way!
context: you can just stuff your trade!\How dare you say that!\Now see here!\Would you two quit it!?\It doesn't matter, does it?\Yeah! While you two are at it there, Goku could be getting done in.\Rubbish! Son- kun is obviously doing all right!\You think he's going to lose to those guys!? No way! No way! response:	Don't hit my crystal ball!
context: How dare you say that!\Now see here!\Would you two quit it!?\It doesn't matter, does it?\Yeah! While you two are at it there, Goku could be getting done in.\Rubbish! Son- kun is obviously doing all right!\You think he's going to lose to those guys!? No way! No way!\Don't hit my crystal ball! response:	Hey, shut up, already! Give that here!
context: Now see here!\Would you two quit it!?\It doesn't matter, does it?\Yeah! While you two are at it there, Goku could be getting done in.\Rubbish! Son- kun is obviously doing all right!\You think he's going to lose to those guys!? No way! No way!\Don't hit my crystal ball!\Hey, shut up, already! Give that here! response:	A little brother does not take his older sister's things!
context: Would you two quit it!?\It doesn't matter, does it?\Yeah! While you two are at it there, Goku could be getting done in.\Rubbish! Son- kun is obviously doing all right!\You think he's going to lose to those guys!? No way! No way!\Don't hit my crystal ball!\Hey, shut up, already! Give that here!\A little brother does not take his older sister's things! response:	I see you!
context: It doesn't matter, does it?\Yeah! While you two are at it there, Goku could be getting done in.\Rubbish! Son- kun is obviously doing all right!\You think he's going to lose to those guys!? No way! No way!\Don't hit my crystal ball!\Hey, shut up, already! Give that here!\A little brother does not take his older sister's things!\I see you! response:	Whoo! This is a lot better, ain't it?
context: Yeah! While you two are at it there, Goku could be getting done in.\Rubbish! Son- kun is obviously doing all right!\You think he's going to lose to those guys!? No way! No way!\Don't hit my crystal ball!\Hey, shut up, already! Give that here!\A little brother does not take his older sister's things!\I see you!\Whoo! This is a lot better, ain't it? response:	This is a lot better, huh?
context: Rubbish! Son- kun is obviously doing all right!\You think he's going to lose to those guys!? No way! No way!\Don't hit my crystal ball!\Hey, shut up, already! Give that here!\A little brother does not take his older sister's things!\I see you!\Whoo! This is a lot better, ain't it?\This is a lot better, huh? response:	I'm going to put a stop to that irritatingly smart mouth of yours!
context: You think he's going to lose to those guys!? No way! No way!\Don't hit my crystal ball!\Hey, shut up, already! Give that here!\A little brother does not take his older sister's things!\I see you!\Whoo! This is a lot better, ain't it?\This is a lot better, huh?\I'm going to put a stop to that irritatingly smart mouth of yours! response:	You're finished now!
context: Don't hit my crystal ball!\Hey, shut up, already! Give that here!\A little brother does not take his older sister's things!\I see you!\Whoo! This is a lot better, ain't it?\This is a lot better, huh?\I'm going to put a stop to that irritatingly smart mouth of yours!\You're finished now! response:	What kind of guy is this!? He countered at that close range!
context: Hey, shut up, already! Give that here!\A little brother does not take his older sister's things!\I see you!\Whoo! This is a lot better, ain't it?\This is a lot better, huh?\I'm going to put a stop to that irritatingly smart mouth of yours!\You're finished now!\What kind of guy is this!? He countered at that close range! response:	That would have been trouble if I'd taken that one head-on.
context: A little brother does not take his older sister's things!\I see you!\Whoo! This is a lot better, ain't it?\This is a lot better, huh?\I'm going to put a stop to that irritatingly smart mouth of yours!\You're finished now!\What kind of guy is this!? He countered at that close range!\That would have been trouble if I'd taken that one head-on. response:	I- impossible! That was- that was my greatest technique, and you brushed it aside!
context: I see you!\Whoo! This is a lot better, ain't it?\This is a lot better, huh?\I'm going to put a stop to that irritatingly smart mouth of yours!\You're finished now!\What kind of guy is this!? He countered at that close range!\That would have been trouble if I'd taken that one head-on.\I- impossible! That was- that was my greatest technique, and you brushed it aside! response:	You really are one tough bastard.
context: Whoo! This is a lot better, ain't it?\This is a lot better, huh?\I'm going to put a stop to that irritatingly smart mouth of yours!\You're finished now!\What kind of guy is this!? He countered at that close range!\That would have been trouble if I'd taken that one head-on.\I- impossible! That was- that was my greatest technique, and you brushed it aside!\You really are one tough bastard. response:	You should have taken at least a little damage from my Kamehame-ha.
context: This is a lot better, huh?\I'm going to put a stop to that irritatingly smart mouth of yours!\You're finished now!\What kind of guy is this!? He countered at that close range!\That would have been trouble if I'd taken that one head-on.\I- impossible! That was- that was my greatest technique, and you brushed it aside!\You really are one tough bastard.\You should have taken at least a little damage from my Kamehame-ha. response:	-We ain't getting anywhere like this. -Enough! Get down here, Nappa!
context: I'm going to put a stop to that irritatingly smart mouth of yours!\You're finished now!\What kind of guy is this!? He countered at that close range!\That would have been trouble if I'd taken that one head-on.\I- impossible! That was- that was my greatest technique, and you brushed it aside!\You really are one tough bastard.\You should have taken at least a little damage from my Kamehame-ha.\-We ain't getting anywhere like this. -Enough! Get down here, Nappa! response:	You're getting us nowhere! I'll take care of him for you.
context: You're finished now!\What kind of guy is this!? He countered at that close range!\That would have been trouble if I'd taken that one head-on.\I- impossible! That was- that was my greatest technique, and you brushed it aside!\You really are one tough bastard.\You should have taken at least a little damage from my Kamehame-ha.\-We ain't getting anywhere like this. -Enough! Get down here, Nappa!\You're getting us nowhere! I'll take care of him for you. response:	What!?
context: What kind of guy is this!? He countered at that close range!\That would have been trouble if I'd taken that one head-on.\I- impossible! That was- that was my greatest technique, and you brushed it aside!\You really are one tough bastard.\You should have taken at least a little damage from my Kamehame-ha.\-We ain't getting anywhere like this. -Enough! Get down here, Nappa!\You're getting us nowhere! I'll take care of him for you.\What!? response:	You're pathetic!
context: That would have been trouble if I'd taken that one head-on.\I- impossible! That was- that was my greatest technique, and you brushed it aside!\You really are one tough bastard.\You should have taken at least a little damage from my Kamehame-ha.\-We ain't getting anywhere like this. -Enough! Get down here, Nappa!\You're getting us nowhere! I'll take care of him for you.\What!?\You're pathetic! response:	To think that I would have to trouble myself to take action against Kakarrot there.
context: I- impossible! That was- that was my greatest technique, and you brushed it aside!\You really are one tough bastard.\You should have taken at least a little damage from my Kamehame-ha.\-We ain't getting anywhere like this. -Enough! Get down here, Nappa!\You're getting us nowhere! I'll take care of him for you.\What!?\You're pathetic!\To think that I would have to trouble myself to take action against Kakarrot there. response:	He's finally coming forward, huh? Even that big guy is scared of him.
context: You really are one tough bastard.\You should have taken at least a little damage from my Kamehame-ha.\-We ain't getting anywhere like this. -Enough! Get down here, Nappa!\You're getting us nowhere! I'll take care of him for you.\What!?\You're pathetic!\To think that I would have to trouble myself to take action against Kakarrot there.\He's finally coming forward, huh? Even that big guy is scared of him. response:	Father...
context: You should have taken at least a little damage from my Kamehame-ha.\-We ain't getting anywhere like this. -Enough! Get down here, Nappa!\You're getting us nowhere! I'll take care of him for you.\What!?\You're pathetic!\To think that I would have to trouble myself to take action against Kakarrot there.\He's finally coming forward, huh? Even that big guy is scared of him.\Father... response:	D- dammit...
context: -We ain't getting anywhere like this. -Enough! Get down here, Nappa!\You're getting us nowhere! I'll take care of him for you.\What!?\You're pathetic!\To think that I would have to trouble myself to take action against Kakarrot there.\He's finally coming forward, huh? Even that big guy is scared of him.\Father...\D- dammit... response:	T- to think that I should have to yield your execution to Vegeta...
context: You're getting us nowhere! I'll take care of him for you.\What!?\You're pathetic!\To think that I would have to trouble myself to take action against Kakarrot there.\He's finally coming forward, huh? Even that big guy is scared of him.\Father...\D- dammit...\T- to think that I should have to yield your execution to Vegeta... response:	But brace yourself! Your life will only last for a moment against Vegeta!
context: What!?\You're pathetic!\To think that I would have to trouble myself to take action against Kakarrot there.\He's finally coming forward, huh? Even that big guy is scared of him.\Father...\D- dammit...\T- to think that I should have to yield your execution to Vegeta...\But brace yourself! Your life will only last for a moment against Vegeta! response:	He is a warrior gifted enough to take upon him the name of Planet Vegeta, after all.
context: You're pathetic!\To think that I would have to trouble myself to take action against Kakarrot there.\He's finally coming forward, huh? Even that big guy is scared of him.\Father...\D- dammit...\T- to think that I should have to yield your execution to Vegeta...\But brace yourself! Your life will only last for a moment against Vegeta!\He is a warrior gifted enough to take upon him the name of Planet Vegeta, after all. response:	Since he ordered me to, I'll leave you to Vegeta.
context: To think that I would have to trouble myself to take action against Kakarrot there.\He's finally coming forward, huh? Even that big guy is scared of him.\Father...\D- dammit...\T- to think that I should have to yield your execution to Vegeta...\But brace yourself! Your life will only last for a moment against Vegeta!\He is a warrior gifted enough to take upon him the name of Planet Vegeta, after all.\Since he ordered me to, I'll leave you to Vegeta. response:	But I won't be content to withdraw like this.
context: He's finally coming forward, huh? Even that big guy is scared of him.\Father...\D- dammit...\T- to think that I should have to yield your execution to Vegeta...\But brace yourself! Your life will only last for a moment against Vegeta!\He is a warrior gifted enough to take upon him the name of Planet Vegeta, after all.\Since he ordered me to, I'll leave you to Vegeta.\But I won't be content to withdraw like this. response:	Oh, no! He's going after those two!
context: Father...\D- dammit...\T- to think that I should have to yield your execution to Vegeta...\But brace yourself! Your life will only last for a moment against Vegeta!\He is a warrior gifted enough to take upon him the name of Planet Vegeta, after all.\Since he ordered me to, I'll leave you to Vegeta.\But I won't be content to withdraw like this.\Oh, no! He's going after those two! response:	It's no use! I won't make it in time!
context: D- dammit...\T- to think that I should have to yield your execution to Vegeta...\But brace yourself! Your life will only last for a moment against Vegeta!\He is a warrior gifted enough to take upon him the name of Planet Vegeta, after all.\Since he ordered me to, I'll leave you to Vegeta.\But I won't be content to withdraw like this.\Oh, no! He's going after those two!\It's no use! I won't make it in time! response:	Kaio-ken!!
context: T- to think that I should have to yield your execution to Vegeta...\But brace yourself! Your life will only last for a moment against Vegeta!\He is a warrior gifted enough to take upon him the name of Planet Vegeta, after all.\Since he ordered me to, I'll leave you to Vegeta.\But I won't be content to withdraw like this.\Oh, no! He's going after those two!\It's no use! I won't make it in time!\Kaio-ken!! response:	What!?
context: But brace yourself! Your life will only last for a moment against Vegeta!\He is a warrior gifted enough to take upon him the name of Planet Vegeta, after all.\Since he ordered me to, I'll leave you to Vegeta.\But I won't be content to withdraw like this.\Oh, no! He's going after those two!\It's no use! I won't make it in time!\Kaio-ken!!\What!? response:	What just happened?
context: He is a warrior gifted enough to take upon him the name of Planet Vegeta, after all.\Since he ordered me to, I'll leave you to Vegeta.\But I won't be content to withdraw like this.\Oh, no! He's going after those two!\It's no use! I won't make it in time!\Kaio-ken!!\What!?\What just happened? response:	Goku! How did you-?
context: Since he ordered me to, I'll leave you to Vegeta.\But I won't be content to withdraw like this.\Oh, no! He's going after those two!\It's no use! I won't make it in time!\Kaio-ken!!\What!?\What just happened?\Goku! How did you-? response:	I doubt he'll be able to fight anymore.
context: But I won't be content to withdraw like this.\Oh, no! He's going after those two!\It's no use! I won't make it in time!\Kaio-ken!!\What!?\What just happened?\Goku! How did you-?\I doubt he'll be able to fight anymore. response:	Take him, and disappear from the face of the earth right now!
context: Oh, no! He's going after those two!\It's no use! I won't make it in time!\Kaio-ken!!\What!?\What just happened?\Goku! How did you-?\I doubt he'll be able to fight anymore.\Take him, and disappear from the face of the earth right now! response:	What was that just now!? For an instant, his speed and power suddenly increased!
context: It's no use! I won't make it in time!\Kaio-ken!!\What!?\What just happened?\Goku! How did you-?\I doubt he'll be able to fight anymore.\Take him, and disappear from the face of the earth right now!\What was that just now!? For an instant, his speed and power suddenly increased! response:	G- Goku, how did you do that?
context: Kaio-ken!!\What!?\What just happened?\Goku! How did you-?\I doubt he'll be able to fight anymore.\Take him, and disappear from the face of the earth right now!\What was that just now!? For an instant, his speed and power suddenly increased!\G- Goku, how did you do that? response:	Was that a technique you learned from that Kaio person?
context: What!?\What just happened?\Goku! How did you-?\I doubt he'll be able to fight anymore.\Take him, and disappear from the face of the earth right now!\What was that just now!? For an instant, his speed and power suddenly increased!\G- Goku, how did you do that?\Was that a technique you learned from that Kaio person? response:	Yeah. It's called Kaio-ken.
context: What just happened?\Goku! How did you-?\I doubt he'll be able to fight anymore.\Take him, and disappear from the face of the earth right now!\What was that just now!? For an instant, his speed and power suddenly increased!\G- Goku, how did you do that?\Was that a technique you learned from that Kaio person?\Yeah. It's called Kaio-ken. response:	By controlling all of the energy within your body, you can momentarily amplify it.
context: Goku! How did you-?\I doubt he'll be able to fight anymore.\Take him, and disappear from the face of the earth right now!\What was that just now!? For an instant, his speed and power suddenly increased!\G- Goku, how did you do that?\Was that a technique you learned from that Kaio person?\Yeah. It's called Kaio-ken.\By controlling all of the energy within your body, you can momentarily amplify it. response:	If you do it right, your speed, power,
context: I doubt he'll be able to fight anymore.\Take him, and disappear from the face of the earth right now!\What was that just now!? For an instant, his speed and power suddenly increased!\G- Goku, how did you do that?\Was that a technique you learned from that Kaio person?\Yeah. It's called Kaio-ken.\By controlling all of the energy within your body, you can momentarily amplify it.\If you do it right, your speed, power, response:	destructive and defensive forces all increase many times over.
context: Take him, and disappear from the face of the earth right now!\What was that just now!? For an instant, his speed and power suddenly increased!\G- Goku, how did you do that?\Was that a technique you learned from that Kaio person?\Yeah. It's called Kaio-ken.\By controlling all of the energy within your body, you can momentarily amplify it.\If you do it right, your speed, power,\destructive and defensive forces all increase many times over. response:	T- that's awesome!
context: What was that just now!? For an instant, his speed and power suddenly increased!\G- Goku, how did you do that?\Was that a technique you learned from that Kaio person?\Yeah. It's called Kaio-ken.\By controlling all of the energy within your body, you can momentarily amplify it.\If you do it right, your speed, power,\destructive and defensive forces all increase many times over.\T- that's awesome! response:	Even after getting that much stronger,
context: G- Goku, how did you do that?\Was that a technique you learned from that Kaio person?\Yeah. It's called Kaio-ken.\By controlling all of the energy within your body, you can momentarily amplify it.\If you do it right, your speed, power,\destructive and defensive forces all increase many times over.\T- that's awesome!\Even after getting that much stronger, response:	you can become many times stronger than that!?
context: Was that a technique you learned from that Kaio person?\Yeah. It's called Kaio-ken.\By controlling all of the energy within your body, you can momentarily amplify it.\If you do it right, your speed, power,\destructive and defensive forces all increase many times over.\T- that's awesome!\Even after getting that much stronger,\you can become many times stronger than that!? response:	Yeah.
context: Yeah. It's called Kaio-ken.\By controlling all of the energy within your body, you can momentarily amplify it.\If you do it right, your speed, power,\destructive and defensive forces all increase many times over.\T- that's awesome!\Even after getting that much stronger,\you can become many times stronger than that!?\Yeah. response:	What are those guys talking about?
context: By controlling all of the energy within your body, you can momentarily amplify it.\If you do it right, your speed, power,\destructive and defensive forces all increase many times over.\T- that's awesome!\Even after getting that much stronger,\you can become many times stronger than that!?\Yeah.\What are those guys talking about? response:	Goku, that was mean of you! This is no time to be playing around.
context: If you do it right, your speed, power,\destructive and defensive forces all increase many times over.\T- that's awesome!\Even after getting that much stronger,\you can become many times stronger than that!?\Yeah.\What are those guys talking about?\Goku, that was mean of you! This is no time to be playing around. response:	If you have something like that up your sleeve, then use it right at the start!
context: destructive and defensive forces all increase many times over.\T- that's awesome!\Even after getting that much stronger,\you can become many times stronger than that!?\Yeah.\What are those guys talking about?\Goku, that was mean of you! This is no time to be playing around.\If you have something like that up your sleeve, then use it right at the start! response:	Sorry, but I can't do that.
context: T- that's awesome!\Even after getting that much stronger,\you can become many times stronger than that!?\Yeah.\What are those guys talking about?\Goku, that was mean of you! This is no time to be playing around.\If you have something like that up your sleeve, then use it right at the start!\Sorry, but I can't do that. response:	If I don't restrain my Ki just right while I'm controlling it, I could wreck myself.
context: Even after getting that much stronger,\you can become many times stronger than that!?\Yeah.\What are those guys talking about?\Goku, that was mean of you! This is no time to be playing around.\If you have something like that up your sleeve, then use it right at the start!\Sorry, but I can't do that.\If I don't restrain my Ki just right while I'm controlling it, I could wreck myself. response:	In short...
context: you can become many times stronger than that!?\Yeah.\What are those guys talking about?\Goku, that was mean of you! This is no time to be playing around.\If you have something like that up your sleeve, then use it right at the start!\Sorry, but I can't do that.\If I don't restrain my Ki just right while I'm controlling it, I could wreck myself.\In short... response:	You have done well to master the Kaio-ken technique,
context: Yeah.\What are those guys talking about?\Goku, that was mean of you! This is no time to be playing around.\If you have something like that up your sleeve, then use it right at the start!\Sorry, but I can't do that.\If I don't restrain my Ki just right while I'm controlling it, I could wreck myself.\In short...\You have done well to master the Kaio-ken technique, response:	which even I could not handle, to this degree. However,
context: What are those guys talking about?\Goku, that was mean of you! This is no time to be playing around.\If you have something like that up your sleeve, then use it right at the start!\Sorry, but I can't do that.\If I don't restrain my Ki just right while I'm controlling it, I could wreck myself.\In short...\You have done well to master the Kaio-ken technique,\which even I could not handle, to this degree. However, response:	I must stress once again that you must not overuse Kaio-ken at your current level.
