context: Death? response:	My death?
context: He keeps you alive without taking any measures to help you out of danger,\just to satiate his own curiosity.\That dizziness...\Chise-kun, he has no feelings.\You can't expect human kindness from a sham of a human.\He bought you with money and tied you down with that thing.\He has a tracking spell on it.\You must have suffered. response:	We'll set you free.
context: just to satiate his own curiosity.\That dizziness...\Chise-kun, he has no feelings.\You can't expect human kindness from a sham of a human.\He bought you with money and tied you down with that thing.\He has a tracking spell on it.\You must have suffered.\We'll set you free. response:	Ariel!
context: That dizziness...\Chise-kun, he has no feelings.\You can't expect human kindness from a sham of a human.\He bought you with money and tied you down with that thing.\He has a tracking spell on it.\You must have suffered.\We'll set you free.\Ariel! response:	Master!
context: Chise-kun, he has no feelings.\You can't expect human kindness from a sham of a human.\He bought you with money and tied you down with that thing.\He has a tracking spell on it.\You must have suffered.\We'll set you free.\Ariel!\Master! response:	This place is our territory.
context: You can't expect human kindness from a sham of a human.\He bought you with money and tied you down with that thing.\He has a tracking spell on it.\You must have suffered.\We'll set you free.\Ariel!\Master!\This place is our territory. response:	I won't have sorcerers wandering around here.
context: He bought you with money and tied you down with that thing.\He has a tracking spell on it.\You must have suffered.\We'll set you free.\Ariel!\Master!\This place is our territory.\I won't have sorcerers wandering around here. response:	Are you all right, Ariel?
context: He has a tracking spell on it.\You must have suffered.\We'll set you free.\Ariel!\Master!\This place is our territory.\I won't have sorcerers wandering around here.\Are you all right, Ariel? response:	Yes, I'm fine, as long as I'm not touching metal.
context: You must have suffered.\We'll set you free.\Ariel!\Master!\This place is our territory.\I won't have sorcerers wandering around here.\Are you all right, Ariel?\Yes, I'm fine, as long as I'm not touching metal. response:	Why?
context: We'll set you free.\Ariel!\Master!\This place is our territory.\I won't have sorcerers wandering around here.\Are you all right, Ariel?\Yes, I'm fine, as long as I'm not touching metal.\Why? response:	Don't you want to be set free?
context: Ariel!\Master!\This place is our territory.\I won't have sorcerers wandering around here.\Are you all right, Ariel?\Yes, I'm fine, as long as I'm not touching metal.\Why?\Don't you want to be set free? response:	From what?
context: Master!\This place is our territory.\I won't have sorcerers wandering around here.\Are you all right, Ariel?\Yes, I'm fine, as long as I'm not touching metal.\Why?\Don't you want to be set free?\From what? response:	If you mean from Elias, you probably wouldn't understand.
context: This place is our territory.\I won't have sorcerers wandering around here.\Are you all right, Ariel?\Yes, I'm fine, as long as I'm not touching metal.\Why?\Don't you want to be set free?\From what?\If you mean from Elias, you probably wouldn't understand. response:	Even if he was lying, he was the only one to ever call me family.
context: I won't have sorcerers wandering around here.\Are you all right, Ariel?\Yes, I'm fine, as long as I'm not touching metal.\Why?\Don't you want to be set free?\From what?\If you mean from Elias, you probably wouldn't understand.\Even if he was lying, he was the only one to ever call me family. response:	I don't care whether you were lying or telling the truth.
context: Are you all right, Ariel?\Yes, I'm fine, as long as I'm not touching metal.\Why?\Don't you want to be set free?\From what?\If you mean from Elias, you probably wouldn't understand.\Even if he was lying, he was the only one to ever call me family.\I don't care whether you were lying or telling the truth. response:	He was the first person to value me.
context: Yes, I'm fine, as long as I'm not touching metal.\Why?\Don't you want to be set free?\From what?\If you mean from Elias, you probably wouldn't understand.\Even if he was lying, he was the only one to ever call me family.\I don't care whether you were lying or telling the truth.\He was the first person to value me. response:	So until Elias lets go of my hand,
context: Why?\Don't you want to be set free?\From what?\If you mean from Elias, you probably wouldn't understand.\Even if he was lying, he was the only one to ever call me family.\I don't care whether you were lying or telling the truth.\He was the first person to value me.\So until Elias lets go of my hand, response:	I belong to him.
context: Don't you want to be set free?\From what?\If you mean from Elias, you probably wouldn't understand.\Even if he was lying, he was the only one to ever call me family.\I don't care whether you were lying or telling the truth.\He was the first person to value me.\So until Elias lets go of my hand,\I belong to him. response:	Alice!
context: From what?\If you mean from Elias, you probably wouldn't understand.\Even if he was lying, he was the only one to ever call me family.\I don't care whether you were lying or telling the truth.\He was the first person to value me.\So until Elias lets go of my hand,\I belong to him.\Alice! response:	Have you forgotten?
context: If you mean from Elias, you probably wouldn't understand.\Even if he was lying, he was the only one to ever call me family.\I don't care whether you were lying or telling the truth.\He was the first person to value me.\So until Elias lets go of my hand,\I belong to him.\Alice!\Have you forgotten? response:	I am shadow.
context: Even if he was lying, he was the only one to ever call me family.\I don't care whether you were lying or telling the truth.\He was the first person to value me.\So until Elias lets go of my hand,\I belong to him.\Alice!\Have you forgotten?\I am shadow. response:	I lurk in the shadows of thorns.
context: I don't care whether you were lying or telling the truth.\He was the first person to value me.\So until Elias lets go of my hand,\I belong to him.\Alice!\Have you forgotten?\I am shadow.\I lurk in the shadows of thorns. response:	I am what you call the Pilum Murialis.
context: He was the first person to value me.\So until Elias lets go of my hand,\I belong to him.\Alice!\Have you forgotten?\I am shadow.\I lurk in the shadows of thorns.\I am what you call the Pilum Murialis. response:	Are you all right, Chise?
context: So until Elias lets go of my hand,\I belong to him.\Alice!\Have you forgotten?\I am shadow.\I lurk in the shadows of thorns.\I am what you call the Pilum Murialis.\Are you all right, Chise? response:	Yes.
context: I belong to him.\Alice!\Have you forgotten?\I am shadow.\I lurk in the shadows of thorns.\I am what you call the Pilum Murialis.\Are you all right, Chise?\Yes. response:	Can I see your wound?
context: Alice!\Have you forgotten?\I am shadow.\I lurk in the shadows of thorns.\I am what you call the Pilum Murialis.\Are you all right, Chise?\Yes.\Can I see your wound? response:	My wound?
context: Have you forgotten?\I am shadow.\I lurk in the shadows of thorns.\I am what you call the Pilum Murialis.\Are you all right, Chise?\Yes.\Can I see your wound?\My wound? response:	That was reckless of you.
context: I am shadow.\I lurk in the shadows of thorns.\I am what you call the Pilum Murialis.\Are you all right, Chise?\Yes.\Can I see your wound?\My wound?\That was reckless of you. response:	Ouch...
context: I lurk in the shadows of thorns.\I am what you call the Pilum Murialis.\Are you all right, Chise?\Yes.\Can I see your wound?\My wound?\That was reckless of you.\Ouch... response:	You humans don't last very long once you're injured.
context: I am what you call the Pilum Murialis.\Are you all right, Chise?\Yes.\Can I see your wound?\My wound?\That was reckless of you.\Ouch...\You humans don't last very long once you're injured. response:	You're late!
context: Are you all right, Chise?\Yes.\Can I see your wound?\My wound?\That was reckless of you.\Ouch...\You humans don't last very long once you're injured.\You're late! response:	You're a pale shadow of a shadow!
context: Yes.\Can I see your wound?\My wound?\That was reckless of you.\Ouch...\You humans don't last very long once you're injured.\You're late!\You're a pale shadow of a shadow! response:	Chise was here.
context: Can I see your wound?\My wound?\That was reckless of you.\Ouch...\You humans don't last very long once you're injured.\You're late!\You're a pale shadow of a shadow!\Chise was here. response:	What could I do?
context: My wound?\That was reckless of you.\Ouch...\You humans don't last very long once you're injured.\You're late!\You're a pale shadow of a shadow!\Chise was here.\What could I do? response:	Its bonds are coming loose.
context: That was reckless of you.\Ouch...\You humans don't last very long once you're injured.\You're late!\You're a pale shadow of a shadow!\Chise was here.\What could I do?\Its bonds are coming loose. response:	Chise, I'll take care of things here.
context: Ouch...\You humans don't last very long once you're injured.\You're late!\You're a pale shadow of a shadow!\Chise was here.\What could I do?\Its bonds are coming loose.\Chise, I'll take care of things here. response:	I'll leave the cleansing to you two.
context: You humans don't last very long once you're injured.\You're late!\You're a pale shadow of a shadow!\Chise was here.\What could I do?\Its bonds are coming loose.\Chise, I'll take care of things here.\I'll leave the cleansing to you two. response:	Yes.
context: You're late!\You're a pale shadow of a shadow!\Chise was here.\What could I do?\Its bonds are coming loose.\Chise, I'll take care of things here.\I'll leave the cleansing to you two.\Yes. response:	I'll come with you.
context: You're a pale shadow of a shadow!\Chise was here.\What could I do?\Its bonds are coming loose.\Chise, I'll take care of things here.\I'll leave the cleansing to you two.\Yes.\I'll come with you. response:	King!
context: Chise was here.\What could I do?\Its bonds are coming loose.\Chise, I'll take care of things here.\I'll leave the cleansing to you two.\Yes.\I'll come with you.\King! response:	You don't have to worry about it.
context: What could I do?\Its bonds are coming loose.\Chise, I'll take care of things here.\I'll leave the cleansing to you two.\Yes.\I'll come with you.\King!\You don't have to worry about it. response:	Chise and I are going to handle it.
context: Its bonds are coming loose.\Chise, I'll take care of things here.\I'll leave the cleansing to you two.\Yes.\I'll come with you.\King!\You don't have to worry about it.\Chise and I are going to handle it. response:	It's the final duty of the king to see that the corruption is gone.
context: Chise, I'll take care of things here.\I'll leave the cleansing to you two.\Yes.\I'll come with you.\King!\You don't have to worry about it.\Chise and I are going to handle it.\It's the final duty of the king to see that the corruption is gone. response:	Is it not?
context: I'll leave the cleansing to you two.\Yes.\I'll come with you.\King!\You don't have to worry about it.\Chise and I are going to handle it.\It's the final duty of the king to see that the corruption is gone.\Is it not? response:	Chise!
context: Yes.\I'll come with you.\King!\You don't have to worry about it.\Chise and I are going to handle it.\It's the final duty of the king to see that the corruption is gone.\Is it not?\Chise! response:	Chise!
context: I'll come with you.\King!\You don't have to worry about it.\Chise and I are going to handle it.\It's the final duty of the king to see that the corruption is gone.\Is it not?\Chise!\Chise! response:	Are you all right?
context: King!\You don't have to worry about it.\Chise and I are going to handle it.\It's the final duty of the king to see that the corruption is gone.\Is it not?\Chise!\Chise!\Are you all right? response:	Where are we?
context: You don't have to worry about it.\Chise and I are going to handle it.\It's the final duty of the king to see that the corruption is gone.\Is it not?\Chise!\Chise!\Are you all right?\Where are we? response:	A tavern from long ago.
context: Chise and I are going to handle it.\It's the final duty of the king to see that the corruption is gone.\Is it not?\Chise!\Chise!\Are you all right?\Where are we?\A tavern from long ago. response:	A place to eat.
context: It's the final duty of the king to see that the corruption is gone.\Is it not?\Chise!\Chise!\Are you all right?\Where are we?\A tavern from long ago.\A place to eat. response:	The neighboring town was beautiful.
context: Is it not?\Chise!\Chise!\Are you all right?\Where are we?\A tavern from long ago.\A place to eat.\The neighboring town was beautiful. response:	I heard there are a lot of beautiful women there, too.
context: Chise!\Chise!\Are you all right?\Where are we?\A tavern from long ago.\A place to eat.\The neighboring town was beautiful.\I heard there are a lot of beautiful women there, too. response:	I can see through myself.
context: Chise!\Are you all right?\Where are we?\A tavern from long ago.\A place to eat.\The neighboring town was beautiful.\I heard there are a lot of beautiful women there, too.\I can see through myself. response:	It looks like we're inside the corruption's memories.
context: Are you all right?\Where are we?\A tavern from long ago.\A place to eat.\The neighboring town was beautiful.\I heard there are a lot of beautiful women there, too.\I can see through myself.\It looks like we're inside the corruption's memories. response:	That man...
context: Where are we?\A tavern from long ago.\A place to eat.\The neighboring town was beautiful.\I heard there are a lot of beautiful women there, too.\I can see through myself.\It looks like we're inside the corruption's memories.\That man... response:	Thank you very much.
context: A tavern from long ago.\A place to eat.\The neighboring town was beautiful.\I heard there are a lot of beautiful women there, too.\I can see through myself.\It looks like we're inside the corruption's memories.\That man...\Thank you very much. response:	Hey, are you the wandering sorcerer?
context: A place to eat.\The neighboring town was beautiful.\I heard there are a lot of beautiful women there, too.\I can see through myself.\It looks like we're inside the corruption's memories.\That man...\Thank you very much.\Hey, are you the wandering sorcerer? response:	Yeah, that's me.
context: The neighboring town was beautiful.\I heard there are a lot of beautiful women there, too.\I can see through myself.\It looks like we're inside the corruption's memories.\That man...\Thank you very much.\Hey, are you the wandering sorcerer?\Yeah, that's me. response:	Are you surprised that I'm so small?
context: I heard there are a lot of beautiful women there, too.\I can see through myself.\It looks like we're inside the corruption's memories.\That man...\Thank you very much.\Hey, are you the wandering sorcerer?\Yeah, that's me.\Are you surprised that I'm so small? response:	Did you need some help?
context: I can see through myself.\It looks like we're inside the corruption's memories.\That man...\Thank you very much.\Hey, are you the wandering sorcerer?\Yeah, that's me.\Are you surprised that I'm so small?\Did you need some help? response:	You can tell?
context: It looks like we're inside the corruption's memories.\That man...\Thank you very much.\Hey, are you the wandering sorcerer?\Yeah, that's me.\Are you surprised that I'm so small?\Did you need some help?\You can tell? response:	People everywhere depend on me when I'm traveling.
context: That man...\Thank you very much.\Hey, are you the wandering sorcerer?\Yeah, that's me.\Are you surprised that I'm so small?\Did you need some help?\You can tell?\People everywhere depend on me when I'm traveling. response:	Bad harvests?
context: Thank you very much.\Hey, are you the wandering sorcerer?\Yeah, that's me.\Are you surprised that I'm so small?\Did you need some help?\You can tell?\People everywhere depend on me when I'm traveling.\Bad harvests? response:	Trying to win a special lady's attention?
context: Hey, are you the wandering sorcerer?\Yeah, that's me.\Are you surprised that I'm so small?\Did you need some help?\You can tell?\People everywhere depend on me when I'm traveling.\Bad harvests?\Trying to win a special lady's attention? response:	No, my wife's always been frail.
context: Yeah, that's me.\Are you surprised that I'm so small?\Did you need some help?\You can tell?\People everywhere depend on me when I'm traveling.\Bad harvests?\Trying to win a special lady's attention?\No, my wife's always been frail. response:	She always ends up bedridden.
context: Are you surprised that I'm so small?\Did you need some help?\You can tell?\People everywhere depend on me when I'm traveling.\Bad harvests?\Trying to win a special lady's attention?\No, my wife's always been frail.\She always ends up bedridden. response:	I want her to become healthier.
context: Did you need some help?\You can tell?\People everywhere depend on me when I'm traveling.\Bad harvests?\Trying to win a special lady's attention?\No, my wife's always been frail.\She always ends up bedridden.\I want her to become healthier. response:	Do you have medicine or anything that'll help?
context: You can tell?\People everywhere depend on me when I'm traveling.\Bad harvests?\Trying to win a special lady's attention?\No, my wife's always been frail.\She always ends up bedridden.\I want her to become healthier.\Do you have medicine or anything that'll help? response:	You must care a lot about your wife.
context: People everywhere depend on me when I'm traveling.\Bad harvests?\Trying to win a special lady's attention?\No, my wife's always been frail.\She always ends up bedridden.\I want her to become healthier.\Do you have medicine or anything that'll help?\You must care a lot about your wife. response:	Obviously!
context: Bad harvests?\Trying to win a special lady's attention?\No, my wife's always been frail.\She always ends up bedridden.\I want her to become healthier.\Do you have medicine or anything that'll help?\You must care a lot about your wife.\Obviously! response:	That was a fast reply.
context: Trying to win a special lady's attention?\No, my wife's always been frail.\She always ends up bedridden.\I want her to become healthier.\Do you have medicine or anything that'll help?\You must care a lot about your wife.\Obviously!\That was a fast reply. response:	You're an embarrassing man.
context: No, my wife's always been frail.\She always ends up bedridden.\I want her to become healthier.\Do you have medicine or anything that'll help?\You must care a lot about your wife.\Obviously!\That was a fast reply.\You're an embarrassing man. response:	May I see your wife in person?
context: She always ends up bedridden.\I want her to become healthier.\Do you have medicine or anything that'll help?\You must care a lot about your wife.\Obviously!\That was a fast reply.\You're an embarrassing man.\May I see your wife in person? response:	Yes, please.
context: I want her to become healthier.\Do you have medicine or anything that'll help?\You must care a lot about your wife.\Obviously!\That was a fast reply.\You're an embarrassing man.\May I see your wife in person?\Yes, please. response:	Come soon.
context: Do you have medicine or anything that'll help?\You must care a lot about your wife.\Obviously!\That was a fast reply.\You're an embarrassing man.\May I see your wife in person?\Yes, please.\Come soon. response:	He's no good.
context: You must care a lot about your wife.\Obviously!\That was a fast reply.\You're an embarrassing man.\May I see your wife in person?\Yes, please.\Come soon.\He's no good. response:	Thank you.
context: Obviously!\That was a fast reply.\You're an embarrassing man.\May I see your wife in person?\Yes, please.\Come soon.\He's no good.\Thank you. response:	Get some rest.
context: That was a fast reply.\You're an embarrassing man.\May I see your wife in person?\Yes, please.\Come soon.\He's no good.\Thank you.\Get some rest. response:	I'll go talk to your husband.
context: You're an embarrassing man.\May I see your wife in person?\Yes, please.\Come soon.\He's no good.\Thank you.\Get some rest.\I'll go talk to your husband. response:	Okay.
context: May I see your wife in person?\Yes, please.\Come soon.\He's no good.\Thank you.\Get some rest.\I'll go talk to your husband.\Okay. response:	Thank you.
context: Yes, please.\Come soon.\He's no good.\Thank you.\Get some rest.\I'll go talk to your husband.\Okay.\Thank you. response:	So, how is it?
context: Come soon.\He's no good.\Thank you.\Get some rest.\I'll go talk to your husband.\Okay.\Thank you.\So, how is it? response:	Tim?
context: He's no good.\Thank you.\Get some rest.\I'll go talk to your husband.\Okay.\Thank you.\So, how is it?\Tim? response:	Tim.
context: Thank you.\Get some rest.\I'll go talk to your husband.\Okay.\Thank you.\So, how is it?\Tim?\Tim. response:	What's wrong, Tim?
context: Get some rest.\I'll go talk to your husband.\Okay.\Thank you.\So, how is it?\Tim?\Tim.\What's wrong, Tim? response:	I don't think she'll get any better than she is.
context: I'll go talk to your husband.\Okay.\Thank you.\So, how is it?\Tim?\Tim.\What's wrong, Tim?\I don't think she'll get any better than she is. response:	She won't last more than a few years.
context: Okay.\Thank you.\So, how is it?\Tim?\Tim.\What's wrong, Tim?\I don't think she'll get any better than she is.\She won't last more than a few years. response:	She was born that way.
context: Thank you.\So, how is it?\Tim?\Tim.\What's wrong, Tim?\I don't think she'll get any better than she is.\She won't last more than a few years.\She was born that way. response:	Can't be helped.
context: So, how is it?\Tim?\Tim.\What's wrong, Tim?\I don't think she'll get any better than she is.\She won't last more than a few years.\She was born that way.\Can't be helped. response:	No...
context: Tim?\Tim.\What's wrong, Tim?\I don't think she'll get any better than she is.\She won't last more than a few years.\She was born that way.\Can't be helped.\No... response:	M-Mina couldn't even play outside as a child.
context: Tim.\What's wrong, Tim?\I don't think she'll get any better than she is.\She won't last more than a few years.\She was born that way.\Can't be helped.\No...\M-Mina couldn't even play outside as a child. response:	She's hard-working in spirit, but she can't do much because of her health!
context: What's wrong, Tim?\I don't think she'll get any better than she is.\She won't last more than a few years.\She was born that way.\Can't be helped.\No...\M-Mina couldn't even play outside as a child.\She's hard-working in spirit, but she can't do much because of her health! response:	She deserves better!
context: I don't think she'll get any better than she is.\She won't last more than a few years.\She was born that way.\Can't be helped.\No...\M-Mina couldn't even play outside as a child.\She's hard-working in spirit, but she can't do much because of her health!\She deserves better! response:	I'll do anything for her!
context: She won't last more than a few years.\She was born that way.\Can't be helped.\No...\M-Mina couldn't even play outside as a child.\She's hard-working in spirit, but she can't do much because of her health!\She deserves better!\I'll do anything for her! response:	Please!
context: She was born that way.\Can't be helped.\No...\M-Mina couldn't even play outside as a child.\She's hard-working in spirit, but she can't do much because of her health!\She deserves better!\I'll do anything for her!\Please! response:	I couldn't bear to see her die!
context: Can't be helped.\No...\M-Mina couldn't even play outside as a child.\She's hard-working in spirit, but she can't do much because of her health!\She deserves better!\I'll do anything for her!\Please!\I couldn't bear to see her die! response:	Does your wife like cats?
context: No...\M-Mina couldn't even play outside as a child.\She's hard-working in spirit, but she can't do much because of her health!\She deserves better!\I'll do anything for her!\Please!\I couldn't bear to see her die!\Does your wife like cats? response:	Cats?
context: M-Mina couldn't even play outside as a child.\She's hard-working in spirit, but she can't do much because of her health!\She deserves better!\I'll do anything for her!\Please!\I couldn't bear to see her die!\Does your wife like cats?\Cats? response:	Sure.
context: She's hard-working in spirit, but she can't do much because of her health!\She deserves better!\I'll do anything for her!\Please!\I couldn't bear to see her die!\Does your wife like cats?\Cats?\Sure. response:	I see.
context: She deserves better!\I'll do anything for her!\Please!\I couldn't bear to see her die!\Does your wife like cats?\Cats?\Sure.\I see. response:	That's perfect, then!
context: I'll do anything for her!\Please!\I couldn't bear to see her die!\Does your wife like cats?\Cats?\Sure.\I see.\That's perfect, then! response:	Have you heard that cats have nine lives?
context: Please!\I couldn't bear to see her die!\Does your wife like cats?\Cats?\Sure.\I see.\That's perfect, then!\Have you heard that cats have nine lives? response:	More rats!
context: I couldn't bear to see her die!\Does your wife like cats?\Cats?\Sure.\I see.\That's perfect, then!\Have you heard that cats have nine lives?\More rats! response:	Is it just me, or are there lots of rats lately?
context: Does your wife like cats?\Cats?\Sure.\I see.\That's perfect, then!\Have you heard that cats have nine lives?\More rats!\Is it just me, or are there lots of rats lately? response:	I suppose the cats aren't doing their jobs.
context: Cats?\Sure.\I see.\That's perfect, then!\Have you heard that cats have nine lives?\More rats!\Is it just me, or are there lots of rats lately?\I suppose the cats aren't doing their jobs. response:	Mina.
context: Sure.\I see.\That's perfect, then!\Have you heard that cats have nine lives?\More rats!\Is it just me, or are there lots of rats lately?\I suppose the cats aren't doing their jobs.\Mina. response:	Are you sure you're well enough to be up and about?
context: I see.\That's perfect, then!\Have you heard that cats have nine lives?\More rats!\Is it just me, or are there lots of rats lately?\I suppose the cats aren't doing their jobs.\Mina.\Are you sure you're well enough to be up and about? response:	Yes, the weather's nice today.
context: That's perfect, then!\Have you heard that cats have nine lives?\More rats!\Is it just me, or are there lots of rats lately?\I suppose the cats aren't doing their jobs.\Mina.\Are you sure you're well enough to be up and about?\Yes, the weather's nice today. response:	Have you seen Matthew?
context: Have you heard that cats have nine lives?\More rats!\Is it just me, or are there lots of rats lately?\I suppose the cats aren't doing their jobs.\Mina.\Are you sure you're well enough to be up and about?\Yes, the weather's nice today.\Have you seen Matthew? response:	I went to bring him a meal, but he wasn't in the field.
context: More rats!\Is it just me, or are there lots of rats lately?\I suppose the cats aren't doing their jobs.\Mina.\Are you sure you're well enough to be up and about?\Yes, the weather's nice today.\Have you seen Matthew?\I went to bring him a meal, but he wasn't in the field. response:	Maybe he's out meeting a woman.
context: Is it just me, or are there lots of rats lately?\I suppose the cats aren't doing their jobs.\Mina.\Are you sure you're well enough to be up and about?\Yes, the weather's nice today.\Have you seen Matthew?\I went to bring him a meal, but he wasn't in the field.\Maybe he's out meeting a woman. response:	Don't be silly!
context: I suppose the cats aren't doing their jobs.\Mina.\Are you sure you're well enough to be up and about?\Yes, the weather's nice today.\Have you seen Matthew?\I went to bring him a meal, but he wasn't in the field.\Maybe he's out meeting a woman.\Don't be silly! response:	Everyone knows Matthew's all about Mina.
context: Mina.\Are you sure you're well enough to be up and about?\Yes, the weather's nice today.\Have you seen Matthew?\I went to bring him a meal, but he wasn't in the field.\Maybe he's out meeting a woman.\Don't be silly!\Everyone knows Matthew's all about Mina. response:	I saw him go into the forest with an axe.
context: Are you sure you're well enough to be up and about?\Yes, the weather's nice today.\Have you seen Matthew?\I went to bring him a meal, but he wasn't in the field.\Maybe he's out meeting a woman.\Don't be silly!\Everyone knows Matthew's all about Mina.\I saw him go into the forest with an axe. response:	I was just joking!
context: Yes, the weather's nice today.\Have you seen Matthew?\I went to bring him a meal, but he wasn't in the field.\Maybe he's out meeting a woman.\Don't be silly!\Everyone knows Matthew's all about Mina.\I saw him go into the forest with an axe.\I was just joking! response:	The forest?
context: Have you seen Matthew?\I went to bring him a meal, but he wasn't in the field.\Maybe he's out meeting a woman.\Don't be silly!\Everyone knows Matthew's all about Mina.\I saw him go into the forest with an axe.\I was just joking!\The forest? response:	Matthew!
context: I went to bring him a meal, but he wasn't in the field.\Maybe he's out meeting a woman.\Don't be silly!\Everyone knows Matthew's all about Mina.\I saw him go into the forest with an axe.\I was just joking!\The forest?\Matthew! response:	Matthew!
context: Maybe he's out meeting a woman.\Don't be silly!\Everyone knows Matthew's all about Mina.\I saw him go into the forest with an axe.\I was just joking!\The forest?\Matthew!\Matthew! response:	Chise, are you okay?
context: Don't be silly!\Everyone knows Matthew's all about Mina.\I saw him go into the forest with an axe.\I was just joking!\The forest?\Matthew!\Matthew!\Chise, are you okay? response:	You look really pale.
context: Everyone knows Matthew's all about Mina.\I saw him go into the forest with an axe.\I was just joking!\The forest?\Matthew!\Matthew!\Chise, are you okay?\You look really pale. response:	I have a really bad feeling about this.
context: I saw him go into the forest with an axe.\I was just joking!\The forest?\Matthew!\Matthew!\Chise, are you okay?\You look really pale.\I have a really bad feeling about this. response:	A shed?
context: I was just joking!\The forest?\Matthew!\Matthew!\Chise, are you okay?\You look really pale.\I have a really bad feeling about this.\A shed? response:	Was there always a shed here?
context: The forest?\Matthew!\Matthew!\Chise, are you okay?\You look really pale.\I have a really bad feeling about this.\A shed?\Was there always a shed here? response:	No!
context: Matthew!\Matthew!\Chise, are you okay?\You look really pale.\I have a really bad feeling about this.\A shed?\Was there always a shed here?\No! response:	What's that Matthew up to?
context: Matthew!\Chise, are you okay?\You look really pale.\I have a really bad feeling about this.\A shed?\Was there always a shed here?\No!\What's that Matthew up to? response:	Matthew?
context: Chise, are you okay?\You look really pale.\I have a really bad feeling about this.\A shed?\Was there always a shed here?\No!\What's that Matthew up to?\Matthew? response:	No!
context: You look really pale.\I have a really bad feeling about this.\A shed?\Was there always a shed here?\No!\What's that Matthew up to?\Matthew?\No! response:	Matthew.
context: I have a really bad feeling about this.\A shed?\Was there always a shed here?\No!\What's that Matthew up to?\Matthew?\No!\Matthew. response:	No!
context: A shed?\Was there always a shed here?\No!\What's that Matthew up to?\Matthew?\No!\Matthew.\No! response:	Don't look inside!
context: Was there always a shed here?\No!\What's that Matthew up to?\Matthew?\No!\Matthew.\No!\Don't look inside! response:	Matthew.
context: No!\What's that Matthew up to?\Matthew?\No!\Matthew.\No!\Don't look inside!\Matthew. response:	Mina.
context: What's that Matthew up to?\Matthew?\No!\Matthew.\No!\Don't look inside!\Matthew.\Mina. response:	Ah, you're doing well today.
context: Matthew?\No!\Matthew.\No!\Don't look inside!\Matthew.\Mina.\Ah, you're doing well today. response:	Perfect.
context: No!\Matthew.\No!\Don't look inside!\Matthew.\Mina.\Ah, you're doing well today.\Perfect. response:	I just finished making this.
