context: Over here! Over here! response:	Hurry, you wimp!
context: All I can tell you is that it's part of a very old stone statue.\It's hard to say more with the equipment here.\I'll scrape off a bit and have a guy I know at a university analyze it.\This is a problem... If only we knew his name.\Okay, I'll go see if I can find clues\about what kind of Another he is, including his name.\Sakaki-kun, you've got to go help your sister, right?\Ah, y-yes... response:	She's finalizing her post-graduation plans...
context: It's hard to say more with the equipment here.\I'll scrape off a bit and have a guy I know at a university analyze it.\This is a problem... If only we knew his name.\Okay, I'll go see if I can find clues\about what kind of Another he is, including his name.\Sakaki-kun, you've got to go help your sister, right?\Ah, y-yes...\She's finalizing her post-graduation plans... response:	Huh? Oh, I see.
context: I'll scrape off a bit and have a guy I know at a university analyze it.\This is a problem... If only we knew his name.\Okay, I'll go see if I can find clues\about what kind of Another he is, including his name.\Sakaki-kun, you've got to go help your sister, right?\Ah, y-yes...\She's finalizing her post-graduation plans...\Huh? Oh, I see. response:	Oh, man. I'm behind on updating the database, too.
context: This is a problem... If only we knew his name.\Okay, I'll go see if I can find clues\about what kind of Another he is, including his name.\Sakaki-kun, you've got to go help your sister, right?\Ah, y-yes...\She's finalizing her post-graduation plans...\Huh? Oh, I see.\Oh, man. I'm behind on updating the database, too. response:	I'll handle it, then.
context: Okay, I'll go see if I can find clues\about what kind of Another he is, including his name.\Sakaki-kun, you've got to go help your sister, right?\Ah, y-yes...\She's finalizing her post-graduation plans...\Huh? Oh, I see.\Oh, man. I'm behind on updating the database, too.\I'll handle it, then. response:	I'm the one who brought him here.
context: about what kind of Another he is, including his name.\Sakaki-kun, you've got to go help your sister, right?\Ah, y-yes...\She's finalizing her post-graduation plans...\Huh? Oh, I see.\Oh, man. I'm behind on updating the database, too.\I'll handle it, then.\I'm the one who brought him here. response:	Alone?
context: Sakaki-kun, you've got to go help your sister, right?\Ah, y-yes...\She's finalizing her post-graduation plans...\Huh? Oh, I see.\Oh, man. I'm behind on updating the database, too.\I'll handle it, then.\I'm the one who brought him here.\Alone? response:	Yes.
context: Ah, y-yes...\She's finalizing her post-graduation plans...\Huh? Oh, I see.\Oh, man. I'm behind on updating the database, too.\I'll handle it, then.\I'm the one who brought him here.\Alone?\Yes. response:	Sounds good.
context: She's finalizing her post-graduation plans...\Huh? Oh, I see.\Oh, man. I'm behind on updating the database, too.\I'll handle it, then.\I'm the one who brought him here.\Alone?\Yes.\Sounds good. response:	He'll be fine.
context: Huh? Oh, I see.\Oh, man. I'm behind on updating the database, too.\I'll handle it, then.\I'm the one who brought him here.\Alone?\Yes.\Sounds good.\He'll be fine. response:	Well, I guess it's all right.
context: Oh, man. I'm behind on updating the database, too.\I'll handle it, then.\I'm the one who brought him here.\Alone?\Yes.\Sounds good.\He'll be fine.\Well, I guess it's all right. response:	Okay, I'm leaving it to you.
context: I'll handle it, then.\I'm the one who brought him here.\Alone?\Yes.\Sounds good.\He'll be fine.\Well, I guess it's all right.\Okay, I'm leaving it to you. response:	Sure, I got it!
context: I'm the one who brought him here.\Alone?\Yes.\Sounds good.\He'll be fine.\Well, I guess it's all right.\Okay, I'm leaving it to you.\Sure, I got it! response:	What's wrong?
context: Alone?\Yes.\Sounds good.\He'll be fine.\Well, I guess it's all right.\Okay, I'm leaving it to you.\Sure, I got it!\What's wrong? response:	I'm... hungry...
context: Yes.\Sounds good.\He'll be fine.\Well, I guess it's all right.\Okay, I'm leaving it to you.\Sure, I got it!\What's wrong?\I'm... hungry... response:	Oh, of course.
context: Sounds good.\He'll be fine.\Well, I guess it's all right.\Okay, I'm leaving it to you.\Sure, I got it!\What's wrong?\I'm... hungry...\Oh, of course. response:	Is there something you want to eat?
context: He'll be fine.\Well, I guess it's all right.\Okay, I'm leaving it to you.\Sure, I got it!\What's wrong?\I'm... hungry...\Oh, of course.\Is there something you want to eat? response:	What I want to eat... What I want to eat...
context: Well, I guess it's all right.\Okay, I'm leaving it to you.\Sure, I got it!\What's wrong?\I'm... hungry...\Oh, of course.\Is there something you want to eat?\What I want to eat... What I want to eat... response:	That's right. What do you want?
context: Okay, I'm leaving it to you.\Sure, I got it!\What's wrong?\I'm... hungry...\Oh, of course.\Is there something you want to eat?\What I want to eat... What I want to eat...\That's right. What do you want? response:	Honey. I want honey.
context: Sure, I got it!\What's wrong?\I'm... hungry...\Oh, of course.\Is there something you want to eat?\What I want to eat... What I want to eat...\That's right. What do you want?\Honey. I want honey. response:	Honey?
context: What's wrong?\I'm... hungry...\Oh, of course.\Is there something you want to eat?\What I want to eat... What I want to eat...\That's right. What do you want?\Honey. I want honey.\Honey? response:	Yes.
context: I'm... hungry...\Oh, of course.\Is there something you want to eat?\What I want to eat... What I want to eat...\That's right. What do you want?\Honey. I want honey.\Honey?\Yes. response:	Got it.
context: Oh, of course.\Is there something you want to eat?\What I want to eat... What I want to eat...\That's right. What do you want?\Honey. I want honey.\Honey?\Yes.\Got it. response:	I brought you honey. How do you eat it?
context: Is there something you want to eat?\What I want to eat... What I want to eat...\That's right. What do you want?\Honey. I want honey.\Honey?\Yes.\Got it.\I brought you honey. How do you eat it? response:	On bread?
context: What I want to eat... What I want to eat...\That's right. What do you want?\Honey. I want honey.\Honey?\Yes.\Got it.\I brought you honey. How do you eat it?\On bread? response:	I'll open it for you.
context: That's right. What do you want?\Honey. I want honey.\Honey?\Yes.\Got it.\I brought you honey. How do you eat it?\On bread?\I'll open it for you. response:	He got it.
context: Honey. I want honey.\Honey?\Yes.\Got it.\I brought you honey. How do you eat it?\On bread?\I'll open it for you.\He got it. response:	Wait!
context: Honey?\Yes.\Got it.\I brought you honey. How do you eat it?\On bread?\I'll open it for you.\He got it.\Wait! response:	Are you okay?
context: Yes.\Got it.\I brought you honey. How do you eat it?\On bread?\I'll open it for you.\He got it.\Wait!\Are you okay? response:	Sounds like a rough one.
context: Got it.\I brought you honey. How do you eat it?\On bread?\I'll open it for you.\He got it.\Wait!\Are you okay?\Sounds like a rough one. response:	Well...
context: I brought you honey. How do you eat it?\On bread?\I'll open it for you.\He got it.\Wait!\Are you okay?\Sounds like a rough one.\Well... response:	Oh, I forgot to mention.
context: On bread?\I'll open it for you.\He got it.\Wait!\Are you okay?\Sounds like a rough one.\Well...\Oh, I forgot to mention. response:	If he is the kind of Another that needs a vessel, there's a problem.
context: I'll open it for you.\He got it.\Wait!\Are you okay?\Sounds like a rough one.\Well...\Oh, I forgot to mention.\If he is the kind of Another that needs a vessel, there's a problem. response:	What is that?
context: He got it.\Wait!\Are you okay?\Sounds like a rough one.\Well...\Oh, I forgot to mention.\If he is the kind of Another that needs a vessel, there's a problem.\What is that? response:	Without his vessel, he has no place to go.
context: Wait!\Are you okay?\Sounds like a rough one.\Well...\Oh, I forgot to mention.\If he is the kind of Another that needs a vessel, there's a problem.\What is that?\Without his vessel, he has no place to go. response:	Oh...
context: Are you okay?\Sounds like a rough one.\Well...\Oh, I forgot to mention.\If he is the kind of Another that needs a vessel, there's a problem.\What is that?\Without his vessel, he has no place to go.\Oh... response:	Which means we have to give him a place to stay!
context: Sounds like a rough one.\Well...\Oh, I forgot to mention.\If he is the kind of Another that needs a vessel, there's a problem.\What is that?\Without his vessel, he has no place to go.\Oh...\Which means we have to give him a place to stay! response:	Give him a place?
context: Well...\Oh, I forgot to mention.\If he is the kind of Another that needs a vessel, there's a problem.\What is that?\Without his vessel, he has no place to go.\Oh...\Which means we have to give him a place to stay!\Give him a place? response:	Good luck!
context: Oh, I forgot to mention.\If he is the kind of Another that needs a vessel, there's a problem.\What is that?\Without his vessel, he has no place to go.\Oh...\Which means we have to give him a place to stay!\Give him a place?\Good luck! response:	Oh, fine. I'll take him home for today, I guess.
context: If he is the kind of Another that needs a vessel, there's a problem.\What is that?\Without his vessel, he has no place to go.\Oh...\Which means we have to give him a place to stay!\Give him a place?\Good luck!\Oh, fine. I'll take him home for today, I guess. response:	Who's this?
context: What is that?\Without his vessel, he has no place to go.\Oh...\Which means we have to give him a place to stay!\Give him a place?\Good luck!\Oh, fine. I'll take him home for today, I guess.\Who's this? response:	Who's he?
context: Without his vessel, he has no place to go.\Oh...\Which means we have to give him a place to stay!\Give him a place?\Good luck!\Oh, fine. I'll take him home for today, I guess.\Who's this?\Who's he? response:	Who is he?
context: Oh...\Which means we have to give him a place to stay!\Give him a place?\Good luck!\Oh, fine. I'll take him home for today, I guess.\Who's this?\Who's he?\Who is he? response:	What are you doing, bringing somebody who smells like a bear here?!
context: Which means we have to give him a place to stay!\Give him a place?\Good luck!\Oh, fine. I'll take him home for today, I guess.\Who's this?\Who's he?\Who is he?\What are you doing, bringing somebody who smells like a bear here?! response:	Why are you so mad?
context: Give him a place?\Good luck!\Oh, fine. I'll take him home for today, I guess.\Who's this?\Who's he?\Who is he?\What are you doing, bringing somebody who smells like a bear here?!\Why are you so mad? response:	He's not even trying to hide his divine aura. He's spreading it everywhere.
context: Good luck!\Oh, fine. I'll take him home for today, I guess.\Who's this?\Who's he?\Who is he?\What are you doing, bringing somebody who smells like a bear here?!\Why are you so mad?\He's not even trying to hide his divine aura. He's spreading it everywhere. response:	If he stays here, I'll go crazy!
context: Oh, fine. I'll take him home for today, I guess.\Who's this?\Who's he?\Who is he?\What are you doing, bringing somebody who smells like a bear here?!\Why are you so mad?\He's not even trying to hide his divine aura. He's spreading it everywhere.\If he stays here, I'll go crazy! response:	B-But it's my job.
context: Who's this?\Who's he?\Who is he?\What are you doing, bringing somebody who smells like a bear here?!\Why are you so mad?\He's not even trying to hide his divine aura. He's spreading it everywhere.\If he stays here, I'll go crazy!\B-But it's my job. response:	I'm leaving! Forget you!
context: Who's he?\Who is he?\What are you doing, bringing somebody who smells like a bear here?!\Why are you so mad?\He's not even trying to hide his divine aura. He's spreading it everywhere.\If he stays here, I'll go crazy!\B-But it's my job.\I'm leaving! Forget you! response:	I'll go, too, then.
context: Who is he?\What are you doing, bringing somebody who smells like a bear here?!\Why are you so mad?\He's not even trying to hide his divine aura. He's spreading it everywhere.\If he stays here, I'll go crazy!\B-But it's my job.\I'm leaving! Forget you!\I'll go, too, then. response:	Hey!
context: What are you doing, bringing somebody who smells like a bear here?!\Why are you so mad?\He's not even trying to hide his divine aura. He's spreading it everywhere.\If he stays here, I'll go crazy!\B-But it's my job.\I'm leaving! Forget you!\I'll go, too, then.\Hey! response:	Sakaki Kyoichi-san.
context: Why are you so mad?\He's not even trying to hide his divine aura. He's spreading it everywhere.\If he stays here, I'll go crazy!\B-But it's my job.\I'm leaving! Forget you!\I'll go, too, then.\Hey!\Sakaki Kyoichi-san. response:	What do you think about your little sister's post-graduation plans?
context: He's not even trying to hide his divine aura. He's spreading it everywhere.\If he stays here, I'll go crazy!\B-But it's my job.\I'm leaving! Forget you!\I'll go, too, then.\Hey!\Sakaki Kyoichi-san.\What do you think about your little sister's post-graduation plans? response:	Yes, well, for my part, I think my olderI mean, younger sister..
context: If he stays here, I'll go crazy!\B-But it's my job.\I'm leaving! Forget you!\I'll go, too, then.\Hey!\Sakaki Kyoichi-san.\What do you think about your little sister's post-graduation plans?\Yes, well, for my part, I think my olderI mean, younger sister.. response:	should do what makes her happy.
context: B-But it's my job.\I'm leaving! Forget you!\I'll go, too, then.\Hey!\Sakaki Kyoichi-san.\What do you think about your little sister's post-graduation plans?\Yes, well, for my part, I think my olderI mean, younger sister..\should do what makes her happy. response:	So, um...
context: I'm leaving! Forget you!\I'll go, too, then.\Hey!\Sakaki Kyoichi-san.\What do you think about your little sister's post-graduation plans?\Yes, well, for my part, I think my olderI mean, younger sister..\should do what makes her happy.\So, um... response:	I'm sorry, Sensei. He's very nervous.
context: I'll go, too, then.\Hey!\Sakaki Kyoichi-san.\What do you think about your little sister's post-graduation plans?\Yes, well, for my part, I think my olderI mean, younger sister..\should do what makes her happy.\So, um...\I'm sorry, Sensei. He's very nervous. response:	Kyo-chan.
context: Hey!\Sakaki Kyoichi-san.\What do you think about your little sister's post-graduation plans?\Yes, well, for my part, I think my olderI mean, younger sister..\should do what makes her happy.\So, um...\I'm sorry, Sensei. He's very nervous.\Kyo-chan. response:	Sorry.
context: Sakaki Kyoichi-san.\What do you think about your little sister's post-graduation plans?\Yes, well, for my part, I think my olderI mean, younger sister..\should do what makes her happy.\So, um...\I'm sorry, Sensei. He's very nervous.\Kyo-chan.\Sorry. response:	Calm down, mister.
context: What do you think about your little sister's post-graduation plans?\Yes, well, for my part, I think my olderI mean, younger sister..\should do what makes her happy.\So, um...\I'm sorry, Sensei. He's very nervous.\Kyo-chan.\Sorry.\Calm down, mister. response:	Here's breakfast.
context: Yes, well, for my part, I think my olderI mean, younger sister..\should do what makes her happy.\So, um...\I'm sorry, Sensei. He's very nervous.\Kyo-chan.\Sorry.\Calm down, mister.\Here's breakfast. response:	Don't spill it today, okay?
context: should do what makes her happy.\So, um...\I'm sorry, Sensei. He's very nervous.\Kyo-chan.\Sorry.\Calm down, mister.\Here's breakfast.\Don't spill it today, okay? response:	Let's go find you a place to live today.
context: So, um...\I'm sorry, Sensei. He's very nervous.\Kyo-chan.\Sorry.\Calm down, mister.\Here's breakfast.\Don't spill it today, okay?\Let's go find you a place to live today. response:	What about this?
context: I'm sorry, Sensei. He's very nervous.\Kyo-chan.\Sorry.\Calm down, mister.\Here's breakfast.\Don't spill it today, okay?\Let's go find you a place to live today.\What about this? response:	Hell no! We're not letting someone like that live with us for this!
context: Kyo-chan.\Sorry.\Calm down, mister.\Here's breakfast.\Don't spill it today, okay?\Let's go find you a place to live today.\What about this?\Hell no! We're not letting someone like that live with us for this! response:	Go away!
context: Sorry.\Calm down, mister.\Here's breakfast.\Don't spill it today, okay?\Let's go find you a place to live today.\What about this?\Hell no! We're not letting someone like that live with us for this!\Go away! response:	That's right!
context: Calm down, mister.\Here's breakfast.\Don't spill it today, okay?\Let's go find you a place to live today.\What about this?\Hell no! We're not letting someone like that live with us for this!\Go away!\That's right! response:	Well, that's a problem...
context: Here's breakfast.\Don't spill it today, okay?\Let's go find you a place to live today.\What about this?\Hell no! We're not letting someone like that live with us for this!\Go away!\That's right!\Well, that's a problem... response:	Leave!
context: Don't spill it today, okay?\Let's go find you a place to live today.\What about this?\Hell no! We're not letting someone like that live with us for this!\Go away!\That's right!\Well, that's a problem...\Leave! response:	Is it just me, or is that Another doing better?
context: Let's go find you a place to live today.\What about this?\Hell no! We're not letting someone like that live with us for this!\Go away!\That's right!\Well, that's a problem...\Leave!\Is it just me, or is that Another doing better? response:	But he's...
context: What about this?\Hell no! We're not letting someone like that live with us for this!\Go away!\That's right!\Well, that's a problem...\Leave!\Is it just me, or is that Another doing better?\But he's... response:	You seem tired, Miyako.
context: Hell no! We're not letting someone like that live with us for this!\Go away!\That's right!\Well, that's a problem...\Leave!\Is it just me, or is that Another doing better?\But he's...\You seem tired, Miyako. response:	Yeah, I've been walking around all day for days now,
context: Go away!\That's right!\Well, that's a problem...\Leave!\Is it just me, or is that Another doing better?\But he's...\You seem tired, Miyako.\Yeah, I've been walking around all day for days now, response:	and it's more exhausting than I thought.
context: That's right!\Well, that's a problem...\Leave!\Is it just me, or is that Another doing better?\But he's...\You seem tired, Miyako.\Yeah, I've been walking around all day for days now,\and it's more exhausting than I thought. response:	Sorry. I'm getting nowhere myself.
context: Well, that's a problem...\Leave!\Is it just me, or is that Another doing better?\But he's...\You seem tired, Miyako.\Yeah, I've been walking around all day for days now,\and it's more exhausting than I thought.\Sorry. I'm getting nowhere myself. response:	It's fine. I can keep going.
context: Leave!\Is it just me, or is that Another doing better?\But he's...\You seem tired, Miyako.\Yeah, I've been walking around all day for days now,\and it's more exhausting than I thought.\Sorry. I'm getting nowhere myself.\It's fine. I can keep going. response:	Finding clues is my job. Leave it to me.
context: Is it just me, or is that Another doing better?\But he's...\You seem tired, Miyako.\Yeah, I've been walking around all day for days now,\and it's more exhausting than I thought.\Sorry. I'm getting nowhere myself.\It's fine. I can keep going.\Finding clues is my job. Leave it to me. response:	Okay, I'm off to keep looking for a place for him to go...
context: But he's...\You seem tired, Miyako.\Yeah, I've been walking around all day for days now,\and it's more exhausting than I thought.\Sorry. I'm getting nowhere myself.\It's fine. I can keep going.\Finding clues is my job. Leave it to me.\Okay, I'm off to keep looking for a place for him to go... response:	Done eating?
context: You seem tired, Miyako.\Yeah, I've been walking around all day for days now,\and it's more exhausting than I thought.\Sorry. I'm getting nowhere myself.\It's fine. I can keep going.\Finding clues is my job. Leave it to me.\Okay, I'm off to keep looking for a place for him to go...\Done eating? response:	Let's search around the neighborhood today.
context: Yeah, I've been walking around all day for days now,\and it's more exhausting than I thought.\Sorry. I'm getting nowhere myself.\It's fine. I can keep going.\Finding clues is my job. Leave it to me.\Okay, I'm off to keep looking for a place for him to go...\Done eating?\Let's search around the neighborhood today. response:	A home, huh?
context: and it's more exhausting than I thought.\Sorry. I'm getting nowhere myself.\It's fine. I can keep going.\Finding clues is my job. Leave it to me.\Okay, I'm off to keep looking for a place for him to go...\Done eating?\Let's search around the neighborhood today.\A home, huh? response:	What kind of place would be good?
context: Sorry. I'm getting nowhere myself.\It's fine. I can keep going.\Finding clues is my job. Leave it to me.\Okay, I'm off to keep looking for a place for him to go...\Done eating?\Let's search around the neighborhood today.\A home, huh?\What kind of place would be good? response:	Huh? He's gone!
context: It's fine. I can keep going.\Finding clues is my job. Leave it to me.\Okay, I'm off to keep looking for a place for him to go...\Done eating?\Let's search around the neighborhood today.\A home, huh?\What kind of place would be good?\Huh? He's gone! response:	There he is...
context: Finding clues is my job. Leave it to me.\Okay, I'm off to keep looking for a place for him to go...\Done eating?\Let's search around the neighborhood today.\A home, huh?\What kind of place would be good?\Huh? He's gone!\There he is... response:	Oh, jeez.
context: Okay, I'm off to keep looking for a place for him to go...\Done eating?\Let's search around the neighborhood today.\A home, huh?\What kind of place would be good?\Huh? He's gone!\There he is...\Oh, jeez. response:	I like the atmosphere here. It's good.
context: Done eating?\Let's search around the neighborhood today.\A home, huh?\What kind of place would be good?\Huh? He's gone!\There he is...\Oh, jeez.\I like the atmosphere here. It's good. response:	A worthy home for me.
context: Let's search around the neighborhood today.\A home, huh?\What kind of place would be good?\Huh? He's gone!\There he is...\Oh, jeez.\I like the atmosphere here. It's good.\A worthy home for me. response:	Wait! This is...
context: A home, huh?\What kind of place would be good?\Huh? He's gone!\There he is...\Oh, jeez.\I like the atmosphere here. It's good.\A worthy home for me.\Wait! This is... response:	Hey!
context: What kind of place would be good?\Huh? He's gone!\There he is...\Oh, jeez.\I like the atmosphere here. It's good.\A worthy home for me.\Wait! This is...\Hey! response:	Who said you could come in here?
context: Huh? He's gone!\There he is...\Oh, jeez.\I like the atmosphere here. It's good.\A worthy home for me.\Wait! This is...\Hey!\Who said you could come in here? response:	You should feel honored. I am making this place my temporary home.
context: There he is...\Oh, jeez.\I like the atmosphere here. It's good.\A worthy home for me.\Wait! This is...\Hey!\Who said you could come in here?\You should feel honored. I am making this place my temporary home. response:	Temporary home? Yeah, right.
context: Oh, jeez.\I like the atmosphere here. It's good.\A worthy home for me.\Wait! This is...\Hey!\Who said you could come in here?\You should feel honored. I am making this place my temporary home.\Temporary home? Yeah, right. response:	You look like a hunting god, which is probably why you're so reckless!
context: I like the atmosphere here. It's good.\A worthy home for me.\Wait! This is...\Hey!\Who said you could come in here?\You should feel honored. I am making this place my temporary home.\Temporary home? Yeah, right.\You look like a hunting god, which is probably why you're so reckless! response:	What did you say?
context: A worthy home for me.\Wait! This is...\Hey!\Who said you could come in here?\You should feel honored. I am making this place my temporary home.\Temporary home? Yeah, right.\You look like a hunting god, which is probably why you're so reckless!\What did you say? response:	Wait! Wait!
context: Wait! This is...\Hey!\Who said you could come in here?\You should feel honored. I am making this place my temporary home.\Temporary home? Yeah, right.\You look like a hunting god, which is probably why you're so reckless!\What did you say?\Wait! Wait! response:	What, you again, Seimei?
context: Hey!\Who said you could come in here?\You should feel honored. I am making this place my temporary home.\Temporary home? Yeah, right.\You look like a hunting god, which is probably why you're so reckless!\What did you say?\Wait! Wait!\What, you again, Seimei? response:	He just lost his vessel and memories, and is having a rough time.
context: Who said you could come in here?\You should feel honored. I am making this place my temporary home.\Temporary home? Yeah, right.\You look like a hunting god, which is probably why you're so reckless!\What did you say?\Wait! Wait!\What, you again, Seimei?\He just lost his vessel and memories, and is having a rough time. response:	Not my problem.
