context: Love. response:	Iizuka was holding Manaka-san's things for her...
context: Oh, it's Hikari.\Huh?\Hii-kun!\That's the sea slug's...\Yep. Miuna-chan made it for me\so I wouldn't lose it.\So you won't... lose it...\The five years I've spent with you... response:	I've been watching you that whole time.
context: Huh?\Hii-kun!\That's the sea slug's...\Yep. Miuna-chan made it for me\so I wouldn't lose it.\So you won't... lose it...\The five years I've spent with you...\I've been watching you that whole time. response:	Living by the sea,
context: Hii-kun!\That's the sea slug's...\Yep. Miuna-chan made it for me\so I wouldn't lose it.\So you won't... lose it...\The five years I've spent with you...\I've been watching you that whole time.\Living by the sea, response:	just as I've come to understand the sea,
context: That's the sea slug's...\Yep. Miuna-chan made it for me\so I wouldn't lose it.\So you won't... lose it...\The five years I've spent with you...\I've been watching you that whole time.\Living by the sea,\just as I've come to understand the sea, response:	I think I'm starting to understand you as well.
context: Yep. Miuna-chan made it for me\so I wouldn't lose it.\So you won't... lose it...\The five years I've spent with you...\I've been watching you that whole time.\Living by the sea,\just as I've come to understand the sea,\I think I'm starting to understand you as well. response:	I've come to know when you'll get angry, laugh, and cry.
context: so I wouldn't lose it.\So you won't... lose it...\The five years I've spent with you...\I've been watching you that whole time.\Living by the sea,\just as I've come to understand the sea,\I think I'm starting to understand you as well.\I've come to know when you'll get angry, laugh, and cry. response:	And I feel...
context: So you won't... lose it...\The five years I've spent with you...\I've been watching you that whole time.\Living by the sea,\just as I've come to understand the sea,\I think I'm starting to understand you as well.\I've come to know when you'll get angry, laugh, and cry.\And I feel... response:	I feel that your feelings are for me now.
context: The five years I've spent with you...\I've been watching you that whole time.\Living by the sea,\just as I've come to understand the sea,\I think I'm starting to understand you as well.\I've come to know when you'll get angry, laugh, and cry.\And I feel...\I feel that your feelings are for me now. response:	Did I understand wrong?
context: I've been watching you that whole time.\Living by the sea,\just as I've come to understand the sea,\I think I'm starting to understand you as well.\I've come to know when you'll get angry, laugh, and cry.\And I feel...\I feel that your feelings are for me now.\Did I understand wrong? response:	L-Let go.
context: Living by the sea,\just as I've come to understand the sea,\I think I'm starting to understand you as well.\I've come to know when you'll get angry, laugh, and cry.\And I feel...\I feel that your feelings are for me now.\Did I understand wrong?\L-Let go. response:	If it was a misunderstanding, I'll let you go.
context: just as I've come to understand the sea,\I think I'm starting to understand you as well.\I've come to know when you'll get angry, laugh, and cry.\And I feel...\I feel that your feelings are for me now.\Did I understand wrong?\L-Let go.\If it was a misunderstanding, I'll let you go. response:	Tsumugu...
context: I think I'm starting to understand you as well.\I've come to know when you'll get angry, laugh, and cry.\And I feel...\I feel that your feelings are for me now.\Did I understand wrong?\L-Let go.\If it was a misunderstanding, I'll let you go.\Tsumugu... response:	But if it's not...
context: I've come to know when you'll get angry, laugh, and cry.\And I feel...\I feel that your feelings are for me now.\Did I understand wrong?\L-Let go.\If it was a misunderstanding, I'll let you go.\Tsumugu...\But if it's not... response:	Stop!
context: And I feel...\I feel that your feelings are for me now.\Did I understand wrong?\L-Let go.\If it was a misunderstanding, I'll let you go.\Tsumugu...\But if it's not...\Stop! response:	I don't love you, Tsumugu!
context: I feel that your feelings are for me now.\Did I understand wrong?\L-Let go.\If it was a misunderstanding, I'll let you go.\Tsumugu...\But if it's not...\Stop!\I don't love you, Tsumugu! response:	The feelings...
context: Did I understand wrong?\L-Let go.\If it was a misunderstanding, I'll let you go.\Tsumugu...\But if it's not...\Stop!\I don't love you, Tsumugu!\The feelings... response:	are lingering.
context: L-Let go.\If it was a misunderstanding, I'll let you go.\Tsumugu...\But if it's not...\Stop!\I don't love you, Tsumugu!\The feelings...\are lingering. response:	Episode Twenty-Four: Detritus
context: If it was a misunderstanding, I'll let you go.\Tsumugu...\But if it's not...\Stop!\I don't love you, Tsumugu!\The feelings...\are lingering.\Episode Twenty-Four: Detritus response:	Just five years...
context: Tsumugu...\But if it's not...\Stop!\I don't love you, Tsumugu!\The feelings...\are lingering.\Episode Twenty-Four: Detritus\Just five years... response:	The time I've spent with Tsumugu
context: But if it's not...\Stop!\I don't love you, Tsumugu!\The feelings...\are lingering.\Episode Twenty-Four: Detritus\Just five years...\The time I've spent with Tsumugu response:	is just five years.
context: Stop!\I don't love you, Tsumugu!\The feelings...\are lingering.\Episode Twenty-Four: Detritus\Just five years...\The time I've spent with Tsumugu\is just five years. response:	I've been with Hikari and the others ever since we were born,
context: I don't love you, Tsumugu!\The feelings...\are lingering.\Episode Twenty-Four: Detritus\Just five years...\The time I've spent with Tsumugu\is just five years.\I've been with Hikari and the others ever since we were born, response:	and yet...
context: The feelings...\are lingering.\Episode Twenty-Four: Detritus\Just five years...\The time I've spent with Tsumugu\is just five years.\I've been with Hikari and the others ever since we were born,\and yet... response:	Why just after five years...
context: are lingering.\Episode Twenty-Four: Detritus\Just five years...\The time I've spent with Tsumugu\is just five years.\I've been with Hikari and the others ever since we were born,\and yet...\Why just after five years... response:	Tsumugu?
context: Episode Twenty-Four: Detritus\Just five years...\The time I've spent with Tsumugu\is just five years.\I've been with Hikari and the others ever since we were born,\and yet...\Why just after five years...\Tsumugu? response:	Huh?
context: Just five years...\The time I've spent with Tsumugu\is just five years.\I've been with Hikari and the others ever since we were born,\and yet...\Why just after five years...\Tsumugu?\Huh? response:	You haven't changed at all.
context: The time I've spent with Tsumugu\is just five years.\I've been with Hikari and the others ever since we were born,\and yet...\Why just after five years...\Tsumugu?\Huh?\You haven't changed at all. response:	When it comes to the guy you like,
context: is just five years.\I've been with Hikari and the others ever since we were born,\and yet...\Why just after five years...\Tsumugu?\Huh?\You haven't changed at all.\When it comes to the guy you like, response:	you get weird.
context: I've been with Hikari and the others ever since we were born,\and yet...\Why just after five years...\Tsumugu?\Huh?\You haven't changed at all.\When it comes to the guy you like,\you get weird. response:	If you don't mind,
context: and yet...\Why just after five years...\Tsumugu?\Huh?\You haven't changed at all.\When it comes to the guy you like,\you get weird.\If you don't mind, response:	tell me how you feel.
context: Why just after five years...\Tsumugu?\Huh?\You haven't changed at all.\When it comes to the guy you like,\you get weird.\If you don't mind,\tell me how you feel. response:	If that'll help you feel better...
context: Tsumugu?\Huh?\You haven't changed at all.\When it comes to the guy you like,\you get weird.\If you don't mind,\tell me how you feel.\If that'll help you feel better... response:	Don't worry about my feelings.
context: Huh?\You haven't changed at all.\When it comes to the guy you like,\you get weird.\If you don't mind,\tell me how you feel.\If that'll help you feel better...\Don't worry about my feelings. response:	Kaname...
context: You haven't changed at all.\When it comes to the guy you like,\you get weird.\If you don't mind,\tell me how you feel.\If that'll help you feel better...\Don't worry about my feelings.\Kaname... response:	No matter how hard I tried,
context: When it comes to the guy you like,\you get weird.\If you don't mind,\tell me how you feel.\If that'll help you feel better...\Don't worry about my feelings.\Kaname...\No matter how hard I tried, response:	I was always the odd man out.
context: you get weird.\If you don't mind,\tell me how you feel.\If that'll help you feel better...\Don't worry about my feelings.\Kaname...\No matter how hard I tried,\I was always the odd man out. response:	Even if things didn't work out with you and Hikari,
context: If you don't mind,\tell me how you feel.\If that'll help you feel better...\Don't worry about my feelings.\Kaname...\No matter how hard I tried,\I was always the odd man out.\Even if things didn't work out with you and Hikari, response:	I knew that it'd be Tsumugu next and not me.
context: tell me how you feel.\If that'll help you feel better...\Don't worry about my feelings.\Kaname...\No matter how hard I tried,\I was always the odd man out.\Even if things didn't work out with you and Hikari,\I knew that it'd be Tsumugu next and not me. response:	No! I don't love him!
context: If that'll help you feel better...\Don't worry about my feelings.\Kaname...\No matter how hard I tried,\I was always the odd man out.\Even if things didn't work out with you and Hikari,\I knew that it'd be Tsumugu next and not me.\No! I don't love him! response:	I'm not allowed to love Tsumugu!
context: Don't worry about my feelings.\Kaname...\No matter how hard I tried,\I was always the odd man out.\Even if things didn't work out with you and Hikari,\I knew that it'd be Tsumugu next and not me.\No! I don't love him!\I'm not allowed to love Tsumugu! response:	That's right...
context: Kaname...\No matter how hard I tried,\I was always the odd man out.\Even if things didn't work out with you and Hikari,\I knew that it'd be Tsumugu next and not me.\No! I don't love him!\I'm not allowed to love Tsumugu!\That's right... response:	If I fell in love with anyone other than Hikari...
context: No matter how hard I tried,\I was always the odd man out.\Even if things didn't work out with you and Hikari,\I knew that it'd be Tsumugu next and not me.\No! I don't love him!\I'm not allowed to love Tsumugu!\That's right...\If I fell in love with anyone other than Hikari... response:	I thought I'd be betraying everyone still sleeping...
context: I was always the odd man out.\Even if things didn't work out with you and Hikari,\I knew that it'd be Tsumugu next and not me.\No! I don't love him!\I'm not allowed to love Tsumugu!\That's right...\If I fell in love with anyone other than Hikari...\I thought I'd be betraying everyone still sleeping... response:	everyone whose time stopped!
context: Even if things didn't work out with you and Hikari,\I knew that it'd be Tsumugu next and not me.\No! I don't love him!\I'm not allowed to love Tsumugu!\That's right...\If I fell in love with anyone other than Hikari...\I thought I'd be betraying everyone still sleeping...\everyone whose time stopped! response:	I love Hikari!
context: I knew that it'd be Tsumugu next and not me.\No! I don't love him!\I'm not allowed to love Tsumugu!\That's right...\If I fell in love with anyone other than Hikari...\I thought I'd be betraying everyone still sleeping...\everyone whose time stopped!\I love Hikari! response:	I made sure I wouldn't forget that!
context: No! I don't love him!\I'm not allowed to love Tsumugu!\That's right...\If I fell in love with anyone other than Hikari...\I thought I'd be betraying everyone still sleeping...\everyone whose time stopped!\I love Hikari!\I made sure I wouldn't forget that! response:	I always made sure I didn't forget...
context: I'm not allowed to love Tsumugu!\That's right...\If I fell in love with anyone other than Hikari...\I thought I'd be betraying everyone still sleeping...\everyone whose time stopped!\I love Hikari!\I made sure I wouldn't forget that!\I always made sure I didn't forget... response:	When Hikari came back, I was scared.
context: That's right...\If I fell in love with anyone other than Hikari...\I thought I'd be betraying everyone still sleeping...\everyone whose time stopped!\I love Hikari!\I made sure I wouldn't forget that!\I always made sure I didn't forget...\When Hikari came back, I was scared. response:	The fact that I was the only one who became an adult...
context: If I fell in love with anyone other than Hikari...\I thought I'd be betraying everyone still sleeping...\everyone whose time stopped!\I love Hikari!\I made sure I wouldn't forget that!\I always made sure I didn't forget...\When Hikari came back, I was scared.\The fact that I was the only one who became an adult... response:	Not only that...
context: I thought I'd be betraying everyone still sleeping...\everyone whose time stopped!\I love Hikari!\I made sure I wouldn't forget that!\I always made sure I didn't forget...\When Hikari came back, I was scared.\The fact that I was the only one who became an adult...\Not only that... response:	I thought he'd see through me
context: everyone whose time stopped!\I love Hikari!\I made sure I wouldn't forget that!\I always made sure I didn't forget...\When Hikari came back, I was scared.\The fact that I was the only one who became an adult...\Not only that...\I thought he'd see through me response:	about various things.
context: I love Hikari!\I made sure I wouldn't forget that!\I always made sure I didn't forget...\When Hikari came back, I was scared.\The fact that I was the only one who became an adult...\Not only that...\I thought he'd see through me\about various things. response:	But Hikari told me I hadn't changed.
context: I made sure I wouldn't forget that!\I always made sure I didn't forget...\When Hikari came back, I was scared.\The fact that I was the only one who became an adult...\Not only that...\I thought he'd see through me\about various things.\But Hikari told me I hadn't changed. response:	I was so happy...
context: I always made sure I didn't forget...\When Hikari came back, I was scared.\The fact that I was the only one who became an adult...\Not only that...\I thought he'd see through me\about various things.\But Hikari told me I hadn't changed.\I was so happy... response:	I still loved Hikari!
context: When Hikari came back, I was scared.\The fact that I was the only one who became an adult...\Not only that...\I thought he'd see through me\about various things.\But Hikari told me I hadn't changed.\I was so happy...\I still loved Hikari! response:	Even now...
context: The fact that I was the only one who became an adult...\Not only that...\I thought he'd see through me\about various things.\But Hikari told me I hadn't changed.\I was so happy...\I still loved Hikari!\Even now... response:	But!
context: Not only that...\I thought he'd see through me\about various things.\But Hikari told me I hadn't changed.\I was so happy...\I still loved Hikari!\Even now...\But! response:	That doesn't matter anymore.
context: I thought he'd see through me\about various things.\But Hikari told me I hadn't changed.\I was so happy...\I still loved Hikari!\Even now...\But!\That doesn't matter anymore. response:	We're all here now.
context: about various things.\But Hikari told me I hadn't changed.\I was so happy...\I still loved Hikari!\Even now...\But!\That doesn't matter anymore.\We're all here now. response:	We came back.
context: But Hikari told me I hadn't changed.\I was so happy...\I still loved Hikari!\Even now...\But!\That doesn't matter anymore.\We're all here now.\We came back. response:	There's no reason to fool your own feelings.
context: I was so happy...\I still loved Hikari!\Even now...\But!\That doesn't matter anymore.\We're all here now.\We came back.\There's no reason to fool your own feelings. response:	Manaka loves Tsumugu.
context: I still loved Hikari!\Even now...\But!\That doesn't matter anymore.\We're all here now.\We came back.\There's no reason to fool your own feelings.\Manaka loves Tsumugu. response:	In order to reawaken Manaka's feelings of love,
context: Even now...\But!\That doesn't matter anymore.\We're all here now.\We came back.\There's no reason to fool your own feelings.\Manaka loves Tsumugu.\In order to reawaken Manaka's feelings of love, response:	I can't accept Tsumugu's feelings.
context: But!\That doesn't matter anymore.\We're all here now.\We came back.\There's no reason to fool your own feelings.\Manaka loves Tsumugu.\In order to reawaken Manaka's feelings of love,\I can't accept Tsumugu's feelings. response:	Manaka has nothing to do with this.
context: That doesn't matter anymore.\We're all here now.\We came back.\There's no reason to fool your own feelings.\Manaka loves Tsumugu.\In order to reawaken Manaka's feelings of love,\I can't accept Tsumugu's feelings.\Manaka has nothing to do with this. response:	She does!
context: We're all here now.\We came back.\There's no reason to fool your own feelings.\Manaka loves Tsumugu.\In order to reawaken Manaka's feelings of love,\I can't accept Tsumugu's feelings.\Manaka has nothing to do with this.\She does! response:	You're also as stubborn as ever.
context: We came back.\There's no reason to fool your own feelings.\Manaka loves Tsumugu.\In order to reawaken Manaka's feelings of love,\I can't accept Tsumugu's feelings.\Manaka has nothing to do with this.\She does!\You're also as stubborn as ever. response:	I hear the sea again...
context: There's no reason to fool your own feelings.\Manaka loves Tsumugu.\In order to reawaken Manaka's feelings of love,\I can't accept Tsumugu's feelings.\Manaka has nothing to do with this.\She does!\You're also as stubborn as ever.\I hear the sea again... response:	Manaka-chan, are you done?
context: Manaka loves Tsumugu.\In order to reawaken Manaka's feelings of love,\I can't accept Tsumugu's feelings.\Manaka has nothing to do with this.\She does!\You're also as stubborn as ever.\I hear the sea again...\Manaka-chan, are you done? response:	Can I come in?
context: In order to reawaken Manaka's feelings of love,\I can't accept Tsumugu's feelings.\Manaka has nothing to do with this.\She does!\You're also as stubborn as ever.\I hear the sea again...\Manaka-chan, are you done?\Can I come in? response:	Oh, sure!
context: I can't accept Tsumugu's feelings.\Manaka has nothing to do with this.\She does!\You're also as stubborn as ever.\I hear the sea again...\Manaka-chan, are you done?\Can I come in?\Oh, sure! response:	Akira wrote a letter today at kindergarten.
context: Manaka has nothing to do with this.\She does!\You're also as stubborn as ever.\I hear the sea again...\Manaka-chan, are you done?\Can I come in?\Oh, sure!\Akira wrote a letter today at kindergarten. response:	Would you read it?
context: She does!\You're also as stubborn as ever.\I hear the sea again...\Manaka-chan, are you done?\Can I come in?\Oh, sure!\Akira wrote a letter today at kindergarten.\Would you read it? response:	A letter?
context: You're also as stubborn as ever.\I hear the sea again...\Manaka-chan, are you done?\Can I come in?\Oh, sure!\Akira wrote a letter today at kindergarten.\Would you read it?\A letter? response:	Oh, for me?
context: I hear the sea again...\Manaka-chan, are you done?\Can I come in?\Oh, sure!\Akira wrote a letter today at kindergarten.\Would you read it?\A letter?\Oh, for me? response:	I love Manaka
context: Manaka-chan, are you done?\Can I come in?\Oh, sure!\Akira wrote a letter today at kindergarten.\Would you read it?\A letter?\Oh, for me?\I love Manaka response:	I love... Manaka?
context: Can I come in?\Oh, sure!\Akira wrote a letter today at kindergarten.\Would you read it?\A letter?\Oh, for me?\I love Manaka\I love... Manaka? response:	Being his mom, I can't say I don't have mixed feelings,
context: Oh, sure!\Akira wrote a letter today at kindergarten.\Would you read it?\A letter?\Oh, for me?\I love Manaka\I love... Manaka?\Being his mom, I can't say I don't have mixed feelings, response:	but in a way, it sort of makes me happy...
context: Akira wrote a letter today at kindergarten.\Would you read it?\A letter?\Oh, for me?\I love Manaka\I love... Manaka?\Being his mom, I can't say I don't have mixed feelings,\but in a way, it sort of makes me happy... response:	Will you accept it?
context: Would you read it?\A letter?\Oh, for me?\I love Manaka\I love... Manaka?\Being his mom, I can't say I don't have mixed feelings,\but in a way, it sort of makes me happy...\Will you accept it? response:	What are you being all bashful for?
context: A letter?\Oh, for me?\I love Manaka\I love... Manaka?\Being his mom, I can't say I don't have mixed feelings,\but in a way, it sort of makes me happy...\Will you accept it?\What are you being all bashful for? response:	Right? Manaka-chan...
context: Oh, for me?\I love Manaka\I love... Manaka?\Being his mom, I can't say I don't have mixed feelings,\but in a way, it sort of makes me happy...\Will you accept it?\What are you being all bashful for?\Right? Manaka-chan... response:	Huh?
context: I love Manaka\I love... Manaka?\Being his mom, I can't say I don't have mixed feelings,\but in a way, it sort of makes me happy...\Will you accept it?\What are you being all bashful for?\Right? Manaka-chan...\Huh? response:	Manaka-chan?!
context: I love... Manaka?\Being his mom, I can't say I don't have mixed feelings,\but in a way, it sort of makes me happy...\Will you accept it?\What are you being all bashful for?\Right? Manaka-chan...\Huh?\Manaka-chan?! response:	Aw, man...
context: Being his mom, I can't say I don't have mixed feelings,\but in a way, it sort of makes me happy...\Will you accept it?\What are you being all bashful for?\Right? Manaka-chan...\Huh?\Manaka-chan?!\Aw, man... response:	Rejected.
context: but in a way, it sort of makes me happy...\Will you accept it?\What are you being all bashful for?\Right? Manaka-chan...\Huh?\Manaka-chan?!\Aw, man...\Rejected. response:	It's okay! Don't worry, Akira!
context: Will you accept it?\What are you being all bashful for?\Right? Manaka-chan...\Huh?\Manaka-chan?!\Aw, man...\Rejected.\It's okay! Don't worry, Akira! response:	Don't give up.
context: What are you being all bashful for?\Right? Manaka-chan...\Huh?\Manaka-chan?!\Aw, man...\Rejected.\It's okay! Don't worry, Akira!\Don't give up. response:	Hey, don't you know your name means don't give up?
context: Right? Manaka-chan...\Huh?\Manaka-chan?!\Aw, man...\Rejected.\It's okay! Don't worry, Akira!\Don't give up.\Hey, don't you know your name means don't give up? response:	I love Manaka
context: Huh?\Manaka-chan?!\Aw, man...\Rejected.\It's okay! Don't worry, Akira!\Don't give up.\Hey, don't you know your name means don't give up?\I love Manaka response:	What is this...
context: Manaka-chan?!\Aw, man...\Rejected.\It's okay! Don't worry, Akira!\Don't give up.\Hey, don't you know your name means don't give up?\I love Manaka\What is this... response:	What is this...
context: Aw, man...\Rejected.\It's okay! Don't worry, Akira!\Don't give up.\Hey, don't you know your name means don't give up?\I love Manaka\What is this...\What is this... response:	Quiet.
context: Rejected.\It's okay! Don't worry, Akira!\Don't give up.\Hey, don't you know your name means don't give up?\I love Manaka\What is this...\What is this...\Quiet. response:	Quiet...
context: It's okay! Don't worry, Akira!\Don't give up.\Hey, don't you know your name means don't give up?\I love Manaka\What is this...\What is this...\Quiet.\Quiet... response:	Quiet...
context: Don't give up.\Hey, don't you know your name means don't give up?\I love Manaka\What is this...\What is this...\Quiet.\Quiet...\Quiet... response:	Hikari is doing whatever he can to get Manaka-san's
context: Hey, don't you know your name means don't give up?\I love Manaka\What is this...\What is this...\Quiet.\Quiet...\Quiet...\Hikari is doing whatever he can to get Manaka-san's response:	feelings back, no matter how much it hurts him.
context: I love Manaka\What is this...\What is this...\Quiet.\Quiet...\Quiet...\Hikari is doing whatever he can to get Manaka-san's\feelings back, no matter how much it hurts him. response:	The thing that I can do is...
context: What is this...\What is this...\Quiet.\Quiet...\Quiet...\Hikari is doing whatever he can to get Manaka-san's\feelings back, no matter how much it hurts him.\The thing that I can do is... response:	Miuna.
context: What is this...\Quiet.\Quiet...\Quiet...\Hikari is doing whatever he can to get Manaka-san's\feelings back, no matter how much it hurts him.\The thing that I can do is...\Miuna. response:	Wh-What?
context: Quiet.\Quiet...\Quiet...\Hikari is doing whatever he can to get Manaka-san's\feelings back, no matter how much it hurts him.\The thing that I can do is...\Miuna.\Wh-What? response:	Manaka's pendant...
context: Quiet...\Quiet...\Hikari is doing whatever he can to get Manaka-san's\feelings back, no matter how much it hurts him.\The thing that I can do is...\Miuna.\Wh-What?\Manaka's pendant... response:	I hate to admit it,
context: Quiet...\Hikari is doing whatever he can to get Manaka-san's\feelings back, no matter how much it hurts him.\The thing that I can do is...\Miuna.\Wh-What?\Manaka's pendant...\I hate to admit it, response:	but I have a lot to thank you for.
context: Hikari is doing whatever he can to get Manaka-san's\feelings back, no matter how much it hurts him.\The thing that I can do is...\Miuna.\Wh-What?\Manaka's pendant...\I hate to admit it,\but I have a lot to thank you for. response:	Why would you hate to admit it?
context: feelings back, no matter how much it hurts him.\The thing that I can do is...\Miuna.\Wh-What?\Manaka's pendant...\I hate to admit it,\but I have a lot to thank you for.\Why would you hate to admit it? response:	I don't know...
context: The thing that I can do is...\Miuna.\Wh-What?\Manaka's pendant...\I hate to admit it,\but I have a lot to thank you for.\Why would you hate to admit it?\I don't know... response:	But you made a flag,
context: Miuna.\Wh-What?\Manaka's pendant...\I hate to admit it,\but I have a lot to thank you for.\Why would you hate to admit it?\I don't know...\But you made a flag, response:	and we were able to go to Shioshishio thanks to you, too.
context: Wh-What?\Manaka's pendant...\I hate to admit it,\but I have a lot to thank you for.\Why would you hate to admit it?\I don't know...\But you made a flag,\and we were able to go to Shioshishio thanks to you, too. response:	I can't treat you like a little kid anymore...
context: Manaka's pendant...\I hate to admit it,\but I have a lot to thank you for.\Why would you hate to admit it?\I don't know...\But you made a flag,\and we were able to go to Shioshishio thanks to you, too.\I can't treat you like a little kid anymore... response:	I don't know,
context: I hate to admit it,\but I have a lot to thank you for.\Why would you hate to admit it?\I don't know...\But you made a flag,\and we were able to go to Shioshishio thanks to you, too.\I can't treat you like a little kid anymore...\I don't know, response:	but I don't think I'll ever be able to repay you.
context: but I have a lot to thank you for.\Why would you hate to admit it?\I don't know...\But you made a flag,\and we were able to go to Shioshishio thanks to you, too.\I can't treat you like a little kid anymore...\I don't know,\but I don't think I'll ever be able to repay you. response:	You're being rather honest.
context: Why would you hate to admit it?\I don't know...\But you made a flag,\and we were able to go to Shioshishio thanks to you, too.\I can't treat you like a little kid anymore...\I don't know,\but I don't think I'll ever be able to repay you.\You're being rather honest. response:	What?
context: I don't know...\But you made a flag,\and we were able to go to Shioshishio thanks to you, too.\I can't treat you like a little kid anymore...\I don't know,\but I don't think I'll ever be able to repay you.\You're being rather honest.\What? response:	That's not like you.
context: But you made a flag,\and we were able to go to Shioshishio thanks to you, too.\I can't treat you like a little kid anymore...\I don't know,\but I don't think I'll ever be able to repay you.\You're being rather honest.\What?\That's not like you. response:	I guess if it's for Manaka-san,
context: and we were able to go to Shioshishio thanks to you, too.\I can't treat you like a little kid anymore...\I don't know,\but I don't think I'll ever be able to repay you.\You're being rather honest.\What?\That's not like you.\I guess if it's for Manaka-san, response:	you can even change your personality.
context: I can't treat you like a little kid anymore...\I don't know,\but I don't think I'll ever be able to repay you.\You're being rather honest.\What?\That's not like you.\I guess if it's for Manaka-san,\you can even change your personality. response:	H-Hey... Why do you have to say it like that?
context: I don't know,\but I don't think I'll ever be able to repay you.\You're being rather honest.\What?\That's not like you.\I guess if it's for Manaka-san,\you can even change your personality.\H-Hey... Why do you have to say it like that? response:	The least I can do for Hikari who has feelings for Manaka-san...
context: but I don't think I'll ever be able to repay you.\You're being rather honest.\What?\That's not like you.\I guess if it's for Manaka-san,\you can even change your personality.\H-Hey... Why do you have to say it like that?\The least I can do for Hikari who has feelings for Manaka-san... response:	I'm going to bed.
context: You're being rather honest.\What?\That's not like you.\I guess if it's for Manaka-san,\you can even change your personality.\H-Hey... Why do you have to say it like that?\The least I can do for Hikari who has feelings for Manaka-san...\I'm going to bed. response:	Uh, right...
context: What?\That's not like you.\I guess if it's for Manaka-san,\you can even change your personality.\H-Hey... Why do you have to say it like that?\The least I can do for Hikari who has feelings for Manaka-san...\I'm going to bed.\Uh, right... response:	Good night.
context: That's not like you.\I guess if it's for Manaka-san,\you can even change your personality.\H-Hey... Why do you have to say it like that?\The least I can do for Hikari who has feelings for Manaka-san...\I'm going to bed.\Uh, right...\Good night. response:	Good morning, Hii-kun.
context: I guess if it's for Manaka-san,\you can even change your personality.\H-Hey... Why do you have to say it like that?\The least I can do for Hikari who has feelings for Manaka-san...\I'm going to bed.\Uh, right...\Good night.\Good morning, Hii-kun. response:	Good morning.
context: you can even change your personality.\H-Hey... Why do you have to say it like that?\The least I can do for Hikari who has feelings for Manaka-san...\I'm going to bed.\Uh, right...\Good night.\Good morning, Hii-kun.\Good morning. response:	Morning.
context: H-Hey... Why do you have to say it like that?\The least I can do for Hikari who has feelings for Manaka-san...\I'm going to bed.\Uh, right...\Good night.\Good morning, Hii-kun.\Good morning.\Morning. response:	Here you go.
context: The least I can do for Hikari who has feelings for Manaka-san...\I'm going to bed.\Uh, right...\Good night.\Good morning, Hii-kun.\Good morning.\Morning.\Here you go. response:	A large serving.
context: I'm going to bed.\Uh, right...\Good night.\Good morning, Hii-kun.\Good morning.\Morning.\Here you go.\A large serving. response:	Thanks.
context: Uh, right...\Good night.\Good morning, Hii-kun.\Good morning.\Morning.\Here you go.\A large serving.\Thanks. response:	Hey, where's Miuna?
context: Good night.\Good morning, Hii-kun.\Good morning.\Morning.\Here you go.\A large serving.\Thanks.\Hey, where's Miuna? response:	She said she was going to school early.
context: Good morning, Hii-kun.\Good morning.\Morning.\Here you go.\A large serving.\Thanks.\Hey, where's Miuna?\She said she was going to school early. response:	Where are Akari and Akira?
context: Good morning.\Morning.\Here you go.\A large serving.\Thanks.\Hey, where's Miuna?\She said she was going to school early.\Where are Akari and Akira? response:	They said they were going to kindergarten early.
context: Morning.\Here you go.\A large serving.\Thanks.\Hey, where's Miuna?\She said she was going to school early.\Where are Akari and Akira?\They said they were going to kindergarten early. response:	What the heck?
