context: I figured if they could not become pro after this, response:	there's something seriously wrong with this world.
context: It was at the same venue as usual.\They were the opening act and played for 40 minutes.\BLAST is really popular!\The line was all the way to the convenience store.\Misato told me excitedly as she returned from buying some juice.\She had passed the line of people waiting since before the concert hall opened,\hoping to get seats close to the front.\That was the right decision to come early. response:	You might wanna tell Junko and Kyosuke to hurry.
context: They were the opening act and played for 40 minutes.\BLAST is really popular!\The line was all the way to the convenience store.\Misato told me excitedly as she returned from buying some juice.\She had passed the line of people waiting since before the concert hall opened,\hoping to get seats close to the front.\That was the right decision to come early.\You might wanna tell Junko and Kyosuke to hurry. response:	But Jun-chan was a bit pissed off at the concert the other day,
context: BLAST is really popular!\The line was all the way to the convenience store.\Misato told me excitedly as she returned from buying some juice.\She had passed the line of people waiting since before the concert hall opened,\hoping to get seats close to the front.\That was the right decision to come early.\You might wanna tell Junko and Kyosuke to hurry.\But Jun-chan was a bit pissed off at the concert the other day, response:	being pushed around by the crowd.
context: The line was all the way to the convenience store.\Misato told me excitedly as she returned from buying some juice.\She had passed the line of people waiting since before the concert hall opened,\hoping to get seats close to the front.\That was the right decision to come early.\You might wanna tell Junko and Kyosuke to hurry.\But Jun-chan was a bit pissed off at the concert the other day,\being pushed around by the crowd. response:	She said she would watch from the back today.
context: Misato told me excitedly as she returned from buying some juice.\She had passed the line of people waiting since before the concert hall opened,\hoping to get seats close to the front.\That was the right decision to come early.\You might wanna tell Junko and Kyosuke to hurry.\But Jun-chan was a bit pissed off at the concert the other day,\being pushed around by the crowd.\She said she would watch from the back today. response:	Don't push! I'm dying here!
context: She had passed the line of people waiting since before the concert hall opened,\hoping to get seats close to the front.\That was the right decision to come early.\You might wanna tell Junko and Kyosuke to hurry.\But Jun-chan was a bit pissed off at the concert the other day,\being pushed around by the crowd.\She said she would watch from the back today.\Don't push! I'm dying here! response:	Huh? Why? That life risking feeling is what makes it so special!
context: hoping to get seats close to the front.\That was the right decision to come early.\You might wanna tell Junko and Kyosuke to hurry.\But Jun-chan was a bit pissed off at the concert the other day,\being pushed around by the crowd.\She said she would watch from the back today.\Don't push! I'm dying here!\Huh? Why? That life risking feeling is what makes it so special! response:	It never gets that heated at the concerts back home.
context: That was the right decision to come early.\You might wanna tell Junko and Kyosuke to hurry.\But Jun-chan was a bit pissed off at the concert the other day,\being pushed around by the crowd.\She said she would watch from the back today.\Don't push! I'm dying here!\Huh? Why? That life risking feeling is what makes it so special!\It never gets that heated at the concerts back home. response:	I was so excited, I almost passed out.
context: You might wanna tell Junko and Kyosuke to hurry.\But Jun-chan was a bit pissed off at the concert the other day,\being pushed around by the crowd.\She said she would watch from the back today.\Don't push! I'm dying here!\Huh? Why? That life risking feeling is what makes it so special!\It never gets that heated at the concerts back home.\I was so excited, I almost passed out. response:	Almost passed out?
context: But Jun-chan was a bit pissed off at the concert the other day,\being pushed around by the crowd.\She said she would watch from the back today.\Don't push! I'm dying here!\Huh? Why? That life risking feeling is what makes it so special!\It never gets that heated at the concerts back home.\I was so excited, I almost passed out.\Almost passed out? response:	It was only their third concert,
context: being pushed around by the crowd.\She said she would watch from the back today.\Don't push! I'm dying here!\Huh? Why? That life risking feeling is what makes it so special!\It never gets that heated at the concerts back home.\I was so excited, I almost passed out.\Almost passed out?\It was only their third concert, response:	but they opened the hall earlier than scheduled because of the long line up,
context: She said she would watch from the back today.\Don't push! I'm dying here!\Huh? Why? That life risking feeling is what makes it so special!\It never gets that heated at the concerts back home.\I was so excited, I almost passed out.\Almost passed out?\It was only their third concert,\but they opened the hall earlier than scheduled because of the long line up, response:	and in a blink of an eye, the place was packed.
context: Don't push! I'm dying here!\Huh? Why? That life risking feeling is what makes it so special!\It never gets that heated at the concerts back home.\I was so excited, I almost passed out.\Almost passed out?\It was only their third concert,\but they opened the hall earlier than scheduled because of the long line up,\and in a blink of an eye, the place was packed. response:	Awesome! Awesome! Awesome!
context: Huh? Why? That life risking feeling is what makes it so special!\It never gets that heated at the concerts back home.\I was so excited, I almost passed out.\Almost passed out?\It was only their third concert,\but they opened the hall earlier than scheduled because of the long line up,\and in a blink of an eye, the place was packed.\Awesome! Awesome! Awesome! response:	Jun-chan and Kyosuke might not be able to get in.
context: It never gets that heated at the concerts back home.\I was so excited, I almost passed out.\Almost passed out?\It was only their third concert,\but they opened the hall earlier than scheduled because of the long line up,\and in a blink of an eye, the place was packed.\Awesome! Awesome! Awesome!\Jun-chan and Kyosuke might not be able to get in. response:	What?! Tickets are sold out?!
context: I was so excited, I almost passed out.\Almost passed out?\It was only their third concert,\but they opened the hall earlier than scheduled because of the long line up,\and in a blink of an eye, the place was packed.\Awesome! Awesome! Awesome!\Jun-chan and Kyosuke might not be able to get in.\What?! Tickets are sold out?! response:	Wow. Incredible.
context: Almost passed out?\It was only their third concert,\but they opened the hall earlier than scheduled because of the long line up,\and in a blink of an eye, the place was packed.\Awesome! Awesome! Awesome!\Jun-chan and Kyosuke might not be able to get in.\What?! Tickets are sold out?!\Wow. Incredible. response:	We're all standing anyway. Can't you squeeze in just two more?
context: It was only their third concert,\but they opened the hall earlier than scheduled because of the long line up,\and in a blink of an eye, the place was packed.\Awesome! Awesome! Awesome!\Jun-chan and Kyosuke might not be able to get in.\What?! Tickets are sold out?!\Wow. Incredible.\We're all standing anyway. Can't you squeeze in just two more? response:	But we're already way past capacity.
context: but they opened the hall earlier than scheduled because of the long line up,\and in a blink of an eye, the place was packed.\Awesome! Awesome! Awesome!\Jun-chan and Kyosuke might not be able to get in.\What?! Tickets are sold out?!\Wow. Incredible.\We're all standing anyway. Can't you squeeze in just two more?\But we're already way past capacity. response:	I beg you. Our friends are performing from seven.
context: and in a blink of an eye, the place was packed.\Awesome! Awesome! Awesome!\Jun-chan and Kyosuke might not be able to get in.\What?! Tickets are sold out?!\Wow. Incredible.\We're all standing anyway. Can't you squeeze in just two more?\But we're already way past capacity.\I beg you. Our friends are performing from seven. response:	You're friends? You on the guest list?
context: Awesome! Awesome! Awesome!\Jun-chan and Kyosuke might not be able to get in.\What?! Tickets are sold out?!\Wow. Incredible.\We're all standing anyway. Can't you squeeze in just two more?\But we're already way past capacity.\I beg you. Our friends are performing from seven.\You're friends? You on the guest list? response:	- I dunno. - Your names?
context: Jun-chan and Kyosuke might not be able to get in.\What?! Tickets are sold out?!\Wow. Incredible.\We're all standing anyway. Can't you squeeze in just two more?\But we're already way past capacity.\I beg you. Our friends are performing from seven.\You're friends? You on the guest list?\- I dunno. - Your names? response:	Saotome and Takakura.
context: What?! Tickets are sold out?!\Wow. Incredible.\We're all standing anyway. Can't you squeeze in just two more?\But we're already way past capacity.\I beg you. Our friends are performing from seven.\You're friends? You on the guest list?\- I dunno. - Your names?\Saotome and Takakura. response:	That's fine. Go ahead.
context: Wow. Incredible.\We're all standing anyway. Can't you squeeze in just two more?\But we're already way past capacity.\I beg you. Our friends are performing from seven.\You're friends? You on the guest list?\- I dunno. - Your names?\Saotome and Takakura.\That's fine. Go ahead. response:	If you don't mind standing in the hallway way up in the back.
context: We're all standing anyway. Can't you squeeze in just two more?\But we're already way past capacity.\I beg you. Our friends are performing from seven.\You're friends? You on the guest list?\- I dunno. - Your names?\Saotome and Takakura.\That's fine. Go ahead.\If you don't mind standing in the hallway way up in the back. response:	Hey, do you have tickets?
context: But we're already way past capacity.\I beg you. Our friends are performing from seven.\You're friends? You on the guest list?\- I dunno. - Your names?\Saotome and Takakura.\That's fine. Go ahead.\If you don't mind standing in the hallway way up in the back.\Hey, do you have tickets? response:	No.
context: I beg you. Our friends are performing from seven.\You're friends? You on the guest list?\- I dunno. - Your names?\Saotome and Takakura.\That's fine. Go ahead.\If you don't mind standing in the hallway way up in the back.\Hey, do you have tickets?\No. response:	Then give up. The show is sold out.
context: You're friends? You on the guest list?\- I dunno. - Your names?\Saotome and Takakura.\That's fine. Go ahead.\If you don't mind standing in the hallway way up in the back.\Hey, do you have tickets?\No.\Then give up. The show is sold out. response:	- What?! - What?!
context: - I dunno. - Your names?\Saotome and Takakura.\That's fine. Go ahead.\If you don't mind standing in the hallway way up in the back.\Hey, do you have tickets?\No.\Then give up. The show is sold out.\- What?! - What?! response:	No way! We came all the way out to Tokyo just to come to this concert!
context: Saotome and Takakura.\That's fine. Go ahead.\If you don't mind standing in the hallway way up in the back.\Hey, do you have tickets?\No.\Then give up. The show is sold out.\- What?! - What?!\No way! We came all the way out to Tokyo just to come to this concert! response:	See? I told you we should've left earlier.
context: That's fine. Go ahead.\If you don't mind standing in the hallway way up in the back.\Hey, do you have tickets?\No.\Then give up. The show is sold out.\- What?! - What?!\No way! We came all the way out to Tokyo just to come to this concert!\See? I told you we should've left earlier. response:	It's your fault for insisting on attending those classes!
context: If you don't mind standing in the hallway way up in the back.\Hey, do you have tickets?\No.\Then give up. The show is sold out.\- What?! - What?!\No way! We came all the way out to Tokyo just to come to this concert!\See? I told you we should've left earlier.\It's your fault for insisting on attending those classes! response:	But the teacher said he wouldn't let me graduate high school
context: Hey, do you have tickets?\No.\Then give up. The show is sold out.\- What?! - What?!\No way! We came all the way out to Tokyo just to come to this concert!\See? I told you we should've left earlier.\It's your fault for insisting on attending those classes!\But the teacher said he wouldn't let me graduate high school response:	unless I attended those classes!
context: No.\Then give up. The show is sold out.\- What?! - What?!\No way! We came all the way out to Tokyo just to come to this concert!\See? I told you we should've left earlier.\It's your fault for insisting on attending those classes!\But the teacher said he wouldn't let me graduate high school\unless I attended those classes! response:	Well, that's your fault for not studying hard enough!
context: Then give up. The show is sold out.\- What?! - What?!\No way! We came all the way out to Tokyo just to come to this concert!\See? I told you we should've left earlier.\It's your fault for insisting on attending those classes!\But the teacher said he wouldn't let me graduate high school\unless I attended those classes!\Well, that's your fault for not studying hard enough! response:	I beg of you, please let us in!
context: - What?! - What?!\No way! We came all the way out to Tokyo just to come to this concert!\See? I told you we should've left earlier.\It's your fault for insisting on attending those classes!\But the teacher said he wouldn't let me graduate high school\unless I attended those classes!\Well, that's your fault for not studying hard enough!\I beg of you, please let us in! response:	Impossible! Any more people and we'd be facing safety issues!
context: No way! We came all the way out to Tokyo just to come to this concert!\See? I told you we should've left earlier.\It's your fault for insisting on attending those classes!\But the teacher said he wouldn't let me graduate high school\unless I attended those classes!\Well, that's your fault for not studying hard enough!\I beg of you, please let us in!\Impossible! Any more people and we'd be facing safety issues! response:	Some concert isn't worth losing your life over!
context: See? I told you we should've left earlier.\It's your fault for insisting on attending those classes!\But the teacher said he wouldn't let me graduate high school\unless I attended those classes!\Well, that's your fault for not studying hard enough!\I beg of you, please let us in!\Impossible! Any more people and we'd be facing safety issues!\Some concert isn't worth losing your life over! response:	- It sure is! - Like I said, it's impossible.
context: It's your fault for insisting on attending those classes!\But the teacher said he wouldn't let me graduate high school\unless I attended those classes!\Well, that's your fault for not studying hard enough!\I beg of you, please let us in!\Impossible! Any more people and we'd be facing safety issues!\Some concert isn't worth losing your life over!\- It sure is! - Like I said, it's impossible. response:	Nana! Nana!
context: But the teacher said he wouldn't let me graduate high school\unless I attended those classes!\Well, that's your fault for not studying hard enough!\I beg of you, please let us in!\Impossible! Any more people and we'd be facing safety issues!\Some concert isn't worth losing your life over!\- It sure is! - Like I said, it's impossible.\Nana! Nana! response:	Crying isn't gonna help.
context: unless I attended those classes!\Well, that's your fault for not studying hard enough!\I beg of you, please let us in!\Impossible! Any more people and we'd be facing safety issues!\Some concert isn't worth losing your life over!\- It sure is! - Like I said, it's impossible.\Nana! Nana!\Crying isn't gonna help. response:	Listen... Let these girls go in instead of us.
context: Well, that's your fault for not studying hard enough!\I beg of you, please let us in!\Impossible! Any more people and we'd be facing safety issues!\Some concert isn't worth losing your life over!\- It sure is! - Like I said, it's impossible.\Nana! Nana!\Crying isn't gonna help.\Listen... Let these girls go in instead of us. response:	The enthusiasm of the crowd increased with each concert.
context: I beg of you, please let us in!\Impossible! Any more people and we'd be facing safety issues!\Some concert isn't worth losing your life over!\- It sure is! - Like I said, it's impossible.\Nana! Nana!\Crying isn't gonna help.\Listen... Let these girls go in instead of us.\The enthusiasm of the crowd increased with each concert. response:	I started feeling dizzy from it.
context: Impossible! Any more people and we'd be facing safety issues!\Some concert isn't worth losing your life over!\- It sure is! - Like I said, it's impossible.\Nana! Nana!\Crying isn't gonna help.\Listen... Let these girls go in instead of us.\The enthusiasm of the crowd increased with each concert.\I started feeling dizzy from it. response:	Oh, I'm sorry.
context: Some concert isn't worth losing your life over!\- It sure is! - Like I said, it's impossible.\Nana! Nana!\Crying isn't gonna help.\Listen... Let these girls go in instead of us.\The enthusiasm of the crowd increased with each concert.\I started feeling dizzy from it.\Oh, I'm sorry. response:	It's okay.
context: - It sure is! - Like I said, it's impossible.\Nana! Nana!\Crying isn't gonna help.\Listen... Let these girls go in instead of us.\The enthusiasm of the crowd increased with each concert.\I started feeling dizzy from it.\Oh, I'm sorry.\It's okay. response:	Excuse me.
context: Nana! Nana!\Crying isn't gonna help.\Listen... Let these girls go in instead of us.\The enthusiasm of the crowd increased with each concert.\I started feeling dizzy from it.\Oh, I'm sorry.\It's okay.\Excuse me. response:	But, thank goodness we got in, Akiko.
context: Crying isn't gonna help.\Listen... Let these girls go in instead of us.\The enthusiasm of the crowd increased with each concert.\I started feeling dizzy from it.\Oh, I'm sorry.\It's okay.\Excuse me.\But, thank goodness we got in, Akiko. response:	Fortunately, our expensive plane tickets didn't go to waste.
context: Listen... Let these girls go in instead of us.\The enthusiasm of the crowd increased with each concert.\I started feeling dizzy from it.\Oh, I'm sorry.\It's okay.\Excuse me.\But, thank goodness we got in, Akiko.\Fortunately, our expensive plane tickets didn't go to waste. response:	Say, the people of Tokyo are surprisingly kind.
context: The enthusiasm of the crowd increased with each concert.\I started feeling dizzy from it.\Oh, I'm sorry.\It's okay.\Excuse me.\But, thank goodness we got in, Akiko.\Fortunately, our expensive plane tickets didn't go to waste.\Say, the people of Tokyo are surprisingly kind. response:	I wish we could get down there.
context: I started feeling dizzy from it.\Oh, I'm sorry.\It's okay.\Excuse me.\But, thank goodness we got in, Akiko.\Fortunately, our expensive plane tickets didn't go to waste.\Say, the people of Tokyo are surprisingly kind.\I wish we could get down there. response:	But even the stairway is packed with people, so I guess it's impossible.
context: Oh, I'm sorry.\It's okay.\Excuse me.\But, thank goodness we got in, Akiko.\Fortunately, our expensive plane tickets didn't go to waste.\Say, the people of Tokyo are surprisingly kind.\I wish we could get down there.\But even the stairway is packed with people, so I guess it's impossible. response:	But this is kinda nice.
context: It's okay.\Excuse me.\But, thank goodness we got in, Akiko.\Fortunately, our expensive plane tickets didn't go to waste.\Say, the people of Tokyo are surprisingly kind.\I wish we could get down there.\But even the stairway is packed with people, so I guess it's impossible.\But this is kinda nice. response:	We can see better from here, and we don't hafta risk our lives.
context: Excuse me.\But, thank goodness we got in, Akiko.\Fortunately, our expensive plane tickets didn't go to waste.\Say, the people of Tokyo are surprisingly kind.\I wish we could get down there.\But even the stairway is packed with people, so I guess it's impossible.\But this is kinda nice.\We can see better from here, and we don't hafta risk our lives. response:	Anyway, what's up with all these people right from the beginning?
context: But, thank goodness we got in, Akiko.\Fortunately, our expensive plane tickets didn't go to waste.\Say, the people of Tokyo are surprisingly kind.\I wish we could get down there.\But even the stairway is packed with people, so I guess it's impossible.\But this is kinda nice.\We can see better from here, and we don't hafta risk our lives.\Anyway, what's up with all these people right from the beginning? response:	Impressive, don't you think?
context: Fortunately, our expensive plane tickets didn't go to waste.\Say, the people of Tokyo are surprisingly kind.\I wish we could get down there.\But even the stairway is packed with people, so I guess it's impossible.\But this is kinda nice.\We can see better from here, and we don't hafta risk our lives.\Anyway, what's up with all these people right from the beginning?\Impressive, don't you think? response:	It's because they're good.
context: Say, the people of Tokyo are surprisingly kind.\I wish we could get down there.\But even the stairway is packed with people, so I guess it's impossible.\But this is kinda nice.\We can see better from here, and we don't hafta risk our lives.\Anyway, what's up with all these people right from the beginning?\Impressive, don't you think?\It's because they're good. response:	This makes me feel lonely, in a strange way.
context: I wish we could get down there.\But even the stairway is packed with people, so I guess it's impossible.\But this is kinda nice.\We can see better from here, and we don't hafta risk our lives.\Anyway, what's up with all these people right from the beginning?\Impressive, don't you think?\It's because they're good.\This makes me feel lonely, in a strange way. response:	With this popularity, Nana may have forgotten about us.
context: But even the stairway is packed with people, so I guess it's impossible.\But this is kinda nice.\We can see better from here, and we don't hafta risk our lives.\Anyway, what's up with all these people right from the beginning?\Impressive, don't you think?\It's because they're good.\This makes me feel lonely, in a strange way.\With this popularity, Nana may have forgotten about us. response:	But she's sent me a postcard to notify me
context: But this is kinda nice.\We can see better from here, and we don't hafta risk our lives.\Anyway, what's up with all these people right from the beginning?\Impressive, don't you think?\It's because they're good.\This makes me feel lonely, in a strange way.\With this popularity, Nana may have forgotten about us.\But she's sent me a postcard to notify me response:	every time she has a concert coming up.
context: We can see better from here, and we don't hafta risk our lives.\Anyway, what's up with all these people right from the beginning?\Impressive, don't you think?\It's because they're good.\This makes me feel lonely, in a strange way.\With this popularity, Nana may have forgotten about us.\But she's sent me a postcard to notify me\every time she has a concert coming up. response:	That was a good call to hand her that paper with your address on it.
context: Anyway, what's up with all these people right from the beginning?\Impressive, don't you think?\It's because they're good.\This makes me feel lonely, in a strange way.\With this popularity, Nana may have forgotten about us.\But she's sent me a postcard to notify me\every time she has a concert coming up.\That was a good call to hand her that paper with your address on it. response:	You know, from next time, I say we skip school and work,
context: Impressive, don't you think?\It's because they're good.\This makes me feel lonely, in a strange way.\With this popularity, Nana may have forgotten about us.\But she's sent me a postcard to notify me\every time she has a concert coming up.\That was a good call to hand her that paper with your address on it.\You know, from next time, I say we skip school and work, response:	and come to all the concerts.
context: It's because they're good.\This makes me feel lonely, in a strange way.\With this popularity, Nana may have forgotten about us.\But she's sent me a postcard to notify me\every time she has a concert coming up.\That was a good call to hand her that paper with your address on it.\You know, from next time, I say we skip school and work,\and come to all the concerts. response:	Even if we must hitchhike!
context: This makes me feel lonely, in a strange way.\With this popularity, Nana may have forgotten about us.\But she's sent me a postcard to notify me\every time she has a concert coming up.\That was a good call to hand her that paper with your address on it.\You know, from next time, I say we skip school and work,\and come to all the concerts.\Even if we must hitchhike! response:	I agree! Even if we need to camp out!
context: With this popularity, Nana may have forgotten about us.\But she's sent me a postcard to notify me\every time she has a concert coming up.\That was a good call to hand her that paper with your address on it.\You know, from next time, I say we skip school and work,\and come to all the concerts.\Even if we must hitchhike!\I agree! Even if we need to camp out! response:	Now, now... I agree! Even if we need to camp out!
context: But she's sent me a postcard to notify me\every time she has a concert coming up.\That was a good call to hand her that paper with your address on it.\You know, from next time, I say we skip school and work,\and come to all the concerts.\Even if we must hitchhike!\I agree! Even if we need to camp out!\Now, now... I agree! Even if we need to camp out! response:	I agree! Even if we need to camp out!
context: every time she has a concert coming up.\That was a good call to hand her that paper with your address on it.\You know, from next time, I say we skip school and work,\and come to all the concerts.\Even if we must hitchhike!\I agree! Even if we need to camp out!\Now, now... I agree! Even if we need to camp out!\I agree! Even if we need to camp out! response:	That'll give us the strength to work hard with other stuff.
context: That was a good call to hand her that paper with your address on it.\You know, from next time, I say we skip school and work,\and come to all the concerts.\Even if we must hitchhike!\I agree! Even if we need to camp out!\Now, now... I agree! Even if we need to camp out!\I agree! Even if we need to camp out!\That'll give us the strength to work hard with other stuff. response:	Exactly at seven o'clock, the starting time of the concert,
context: You know, from next time, I say we skip school and work,\and come to all the concerts.\Even if we must hitchhike!\I agree! Even if we need to camp out!\Now, now... I agree! Even if we need to camp out!\I agree! Even if we need to camp out!\That'll give us the strength to work hard with other stuff.\Exactly at seven o'clock, the starting time of the concert, response:	the first one to appear on stage... was Nana.
context: and come to all the concerts.\Even if we must hitchhike!\I agree! Even if we need to camp out!\Now, now... I agree! Even if we need to camp out!\I agree! Even if we need to camp out!\That'll give us the strength to work hard with other stuff.\Exactly at seven o'clock, the starting time of the concert,\the first one to appear on stage... was Nana. response:	Absorbed in the cheers that got louder with each concert,
context: Even if we must hitchhike!\I agree! Even if we need to camp out!\Now, now... I agree! Even if we need to camp out!\I agree! Even if we need to camp out!\That'll give us the strength to work hard with other stuff.\Exactly at seven o'clock, the starting time of the concert,\the first one to appear on stage... was Nana.\Absorbed in the cheers that got louder with each concert, response:	I felt that I was disappearing into the crowd.
context: I agree! Even if we need to camp out!\Now, now... I agree! Even if we need to camp out!\I agree! Even if we need to camp out!\That'll give us the strength to work hard with other stuff.\Exactly at seven o'clock, the starting time of the concert,\the first one to appear on stage... was Nana.\Absorbed in the cheers that got louder with each concert,\I felt that I was disappearing into the crowd. response:	Good evening. We're BLAST.
context: Now, now... I agree! Even if we need to camp out!\I agree! Even if we need to camp out!\That'll give us the strength to work hard with other stuff.\Exactly at seven o'clock, the starting time of the concert,\the first one to appear on stage... was Nana.\Absorbed in the cheers that got louder with each concert,\I felt that I was disappearing into the crowd.\Good evening. We're BLAST. response:	Damn it, it's begun!
context: I agree! Even if we need to camp out!\That'll give us the strength to work hard with other stuff.\Exactly at seven o'clock, the starting time of the concert,\the first one to appear on stage... was Nana.\Absorbed in the cheers that got louder with each concert,\I felt that I was disappearing into the crowd.\Good evening. We're BLAST.\Damn it, it's begun! response:	Hey, I can hear it. They sure play loud!
context: That'll give us the strength to work hard with other stuff.\Exactly at seven o'clock, the starting time of the concert,\the first one to appear on stage... was Nana.\Absorbed in the cheers that got louder with each concert,\I felt that I was disappearing into the crowd.\Good evening. We're BLAST.\Damn it, it's begun!\Hey, I can hear it. They sure play loud! response:	I wanna go in!
context: Exactly at seven o'clock, the starting time of the concert,\the first one to appear on stage... was Nana.\Absorbed in the cheers that got louder with each concert,\I felt that I was disappearing into the crowd.\Good evening. We're BLAST.\Damn it, it's begun!\Hey, I can hear it. They sure play loud!\I wanna go in! response:	BLAST should play in a bigger place!
context: the first one to appear on stage... was Nana.\Absorbed in the cheers that got louder with each concert,\I felt that I was disappearing into the crowd.\Good evening. We're BLAST.\Damn it, it's begun!\Hey, I can hear it. They sure play loud!\I wanna go in!\BLAST should play in a bigger place! response:	Do you know what the population of Tokyo is?!
context: Absorbed in the cheers that got louder with each concert,\I felt that I was disappearing into the crowd.\Good evening. We're BLAST.\Damn it, it's begun!\Hey, I can hear it. They sure play loud!\I wanna go in!\BLAST should play in a bigger place!\Do you know what the population of Tokyo is?! response:	We should have purchased our tickets ahead of time.
context: I felt that I was disappearing into the crowd.\Good evening. We're BLAST.\Damn it, it's begun!\Hey, I can hear it. They sure play loud!\I wanna go in!\BLAST should play in a bigger place!\Do you know what the population of Tokyo is?!\We should have purchased our tickets ahead of time. response:	We'll wait around and catch the band on their way out.
context: Good evening. We're BLAST.\Damn it, it's begun!\Hey, I can hear it. They sure play loud!\I wanna go in!\BLAST should play in a bigger place!\Do you know what the population of Tokyo is?!\We should have purchased our tickets ahead of time.\We'll wait around and catch the band on their way out. response:	Who do you wanna see?
context: Damn it, it's begun!\Hey, I can hear it. They sure play loud!\I wanna go in!\BLAST should play in a bigger place!\Do you know what the population of Tokyo is?!\We should have purchased our tickets ahead of time.\We'll wait around and catch the band on their way out.\Who do you wanna see? response:	Yasu.
