context: I don't know what you're up to, response:	but why don't you do that for the living instead?
context: I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\17 The story of questions and answers\It's real human skin.\You can smile now? response:	Can you hear my voice?
context: There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\17 The story of questions and answers\It's real human skin.\You can smile now?\Can you hear my voice? response:	Yes, I can.
context: Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\17 The story of questions and answers\It's real human skin.\You can smile now?\Can you hear my voice?\Yes, I can. response:	You can speak. What a miracle.
context: As if to stroke with wet fingertips\I'd like to touch you one day\17 The story of questions and answers\It's real human skin.\You can smile now?\Can you hear my voice?\Yes, I can.\You can speak. What a miracle. response:	Your eyes, I see they're still blind.
context: I'd like to touch you one day\17 The story of questions and answers\It's real human skin.\You can smile now?\Can you hear my voice?\Yes, I can.\You can speak. What a miracle.\Your eyes, I see they're still blind. response:	But I feel.
context: 17 The story of questions and answers\It's real human skin.\You can smile now?\Can you hear my voice?\Yes, I can.\You can speak. What a miracle.\Your eyes, I see they're still blind.\But I feel. response:	I've always felt.
context: It's real human skin.\You can smile now?\Can you hear my voice?\Yes, I can.\You can speak. What a miracle.\Your eyes, I see they're still blind.\But I feel.\I've always felt. response:	Yes, I know.
context: You can smile now?\Can you hear my voice?\Yes, I can.\You can speak. What a miracle.\Your eyes, I see they're still blind.\But I feel.\I've always felt.\Yes, I know. response:	I am your...
context: Can you hear my voice?\Yes, I can.\You can speak. What a miracle.\Your eyes, I see they're still blind.\But I feel.\I've always felt.\Yes, I know.\I am your... response:	Your...
context: Yes, I can.\You can speak. What a miracle.\Your eyes, I see they're still blind.\But I feel.\I've always felt.\Yes, I know.\I am your...\Your... response:	What am I to you?
context: You can speak. What a miracle.\Your eyes, I see they're still blind.\But I feel.\I've always felt.\Yes, I know.\I am your...\Your...\What am I to you? response:	I met you, gave you a body, and named you.
context: Your eyes, I see they're still blind.\But I feel.\I've always felt.\Yes, I know.\I am your...\Your...\What am I to you?\I met you, gave you a body, and named you. response:	But did I do the right thing?
context: But I feel.\I've always felt.\Yes, I know.\I am your...\Your...\What am I to you?\I met you, gave you a body, and named you.\But did I do the right thing? response:	As you defeated it, it was almost like...
context: I've always felt.\Yes, I know.\I am your...\Your...\What am I to you?\I met you, gave you a body, and named you.\But did I do the right thing?\As you defeated it, it was almost like... response:	This.
context: Yes, I know.\I am your...\Your...\What am I to you?\I met you, gave you a body, and named you.\But did I do the right thing?\As you defeated it, it was almost like...\This. response:	I see, it's broken.
context: I am your...\Your...\What am I to you?\I met you, gave you a body, and named you.\But did I do the right thing?\As you defeated it, it was almost like...\This.\I see, it's broken. response:	I use it to fight.
context: Your...\What am I to you?\I met you, gave you a body, and named you.\But did I do the right thing?\As you defeated it, it was almost like...\This.\I see, it's broken.\I use it to fight. response:	I want another. The same.
context: What am I to you?\I met you, gave you a body, and named you.\But did I do the right thing?\As you defeated it, it was almost like...\This.\I see, it's broken.\I use it to fight.\I want another. The same. response:	I want.
context: I met you, gave you a body, and named you.\But did I do the right thing?\As you defeated it, it was almost like...\This.\I see, it's broken.\I use it to fight.\I want another. The same.\I want. response:	You must be hungry.
context: But did I do the right thing?\As you defeated it, it was almost like...\This.\I see, it's broken.\I use it to fight.\I want another. The same.\I want.\You must be hungry. response:	This. I want this.
context: As you defeated it, it was almost like...\This.\I see, it's broken.\I use it to fight.\I want another. The same.\I want.\You must be hungry.\This. I want this. response:	First, I'll fix you something to eat.
context: This.\I see, it's broken.\I use it to fight.\I want another. The same.\I want.\You must be hungry.\This. I want this.\First, I'll fix you something to eat. response:	There, it's done. Hold on a second.
context: I see, it's broken.\I use it to fight.\I want another. The same.\I want.\You must be hungry.\This. I want this.\First, I'll fix you something to eat.\There, it's done. Hold on a second. response:	It's okay. I can feel heat now.
context: I use it to fight.\I want another. The same.\I want.\You must be hungry.\This. I want this.\First, I'll fix you something to eat.\There, it's done. Hold on a second.\It's okay. I can feel heat now. response:	Cold, too. I feel it all.
context: I want another. The same.\I want.\You must be hungry.\This. I want this.\First, I'll fix you something to eat.\There, it's done. Hold on a second.\It's okay. I can feel heat now.\Cold, too. I feel it all. response:	Yes, you're right.
context: I want.\You must be hungry.\This. I want this.\First, I'll fix you something to eat.\There, it's done. Hold on a second.\It's okay. I can feel heat now.\Cold, too. I feel it all.\Yes, you're right. response:	Old habits die hard. Here.
context: You must be hungry.\This. I want this.\First, I'll fix you something to eat.\There, it's done. Hold on a second.\It's okay. I can feel heat now.\Cold, too. I feel it all.\Yes, you're right.\Old habits die hard. Here. response:	The string has become brittle.
context: This. I want this.\First, I'll fix you something to eat.\There, it's done. Hold on a second.\It's okay. I can feel heat now.\Cold, too. I feel it all.\Yes, you're right.\Old habits die hard. Here.\The string has become brittle. response:	Let me change it for you.
context: First, I'll fix you something to eat.\There, it's done. Hold on a second.\It's okay. I can feel heat now.\Cold, too. I feel it all.\Yes, you're right.\Old habits die hard. Here.\The string has become brittle.\Let me change it for you. response:	It's your only key to finding your family.
context: There, it's done. Hold on a second.\It's okay. I can feel heat now.\Cold, too. I feel it all.\Yes, you're right.\Old habits die hard. Here.\The string has become brittle.\Let me change it for you.\It's your only key to finding your family. response:	Daigo Kagemitsu.
context: It's okay. I can feel heat now.\Cold, too. I feel it all.\Yes, you're right.\Old habits die hard. Here.\The string has become brittle.\Let me change it for you.\It's your only key to finding your family.\Daigo Kagemitsu. response:	Daigo...
context: Cold, too. I feel it all.\Yes, you're right.\Old habits die hard. Here.\The string has become brittle.\Let me change it for you.\It's your only key to finding your family.\Daigo Kagemitsu.\Daigo... response:	You met the man of this family crest? The man that is your...
context: Yes, you're right.\Old habits die hard. Here.\The string has become brittle.\Let me change it for you.\It's your only key to finding your family.\Daigo Kagemitsu.\Daigo...\You met the man of this family crest? The man that is your... response:	He fed me to the demons.
context: Old habits die hard. Here.\The string has become brittle.\Let me change it for you.\It's your only key to finding your family.\Daigo Kagemitsu.\Daigo...\You met the man of this family crest? The man that is your...\He fed me to the demons. response:	They're still eating.
context: The string has become brittle.\Let me change it for you.\It's your only key to finding your family.\Daigo Kagemitsu.\Daigo...\You met the man of this family crest? The man that is your...\He fed me to the demons.\They're still eating. response:	What do you mean?
context: Let me change it for you.\It's your only key to finding your family.\Daigo Kagemitsu.\Daigo...\You met the man of this family crest? The man that is your...\He fed me to the demons.\They're still eating.\What do you mean? response:	Hyakkimaru, tell me what you know.
context: It's your only key to finding your family.\Daigo Kagemitsu.\Daigo...\You met the man of this family crest? The man that is your...\He fed me to the demons.\They're still eating.\What do you mean?\Hyakkimaru, tell me what you know. response:	What did the man of this crest tell you?
context: Daigo Kagemitsu.\Daigo...\You met the man of this family crest? The man that is your...\He fed me to the demons.\They're still eating.\What do you mean?\Hyakkimaru, tell me what you know.\What did the man of this crest tell you? response:	Hyakkimaru!
context: Daigo...\You met the man of this family crest? The man that is your...\He fed me to the demons.\They're still eating.\What do you mean?\Hyakkimaru, tell me what you know.\What did the man of this crest tell you?\Hyakkimaru! response:	You're awake, my lady. I will call for the doctor right away.
context: You met the man of this family crest? The man that is your...\He fed me to the demons.\They're still eating.\What do you mean?\Hyakkimaru, tell me what you know.\What did the man of this crest tell you?\Hyakkimaru!\You're awake, my lady. I will call for the doctor right away. response:	How naive I am.
context: He fed me to the demons.\They're still eating.\What do you mean?\Hyakkimaru, tell me what you know.\What did the man of this crest tell you?\Hyakkimaru!\You're awake, my lady. I will call for the doctor right away.\How naive I am. response:	Young Master, your mother has awoken.
context: They're still eating.\What do you mean?\Hyakkimaru, tell me what you know.\What did the man of this crest tell you?\Hyakkimaru!\You're awake, my lady. I will call for the doctor right away.\How naive I am.\Young Master, your mother has awoken. response:	What great news! Young Master.
context: What do you mean?\Hyakkimaru, tell me what you know.\What did the man of this crest tell you?\Hyakkimaru!\You're awake, my lady. I will call for the doctor right away.\How naive I am.\Young Master, your mother has awoken.\What great news! Young Master. response:	I am in a hurry. I will see her when I get back.
context: Hyakkimaru, tell me what you know.\What did the man of this crest tell you?\Hyakkimaru!\You're awake, my lady. I will call for the doctor right away.\How naive I am.\Young Master, your mother has awoken.\What great news! Young Master.\I am in a hurry. I will see her when I get back. response:	He could've visited his mother before we left.
context: What did the man of this crest tell you?\Hyakkimaru!\You're awake, my lady. I will call for the doctor right away.\How naive I am.\Young Master, your mother has awoken.\What great news! Young Master.\I am in a hurry. I will see her when I get back.\He could've visited his mother before we left. response:	A ghoul was sighted in our territory. He had no choice.
context: Hyakkimaru!\You're awake, my lady. I will call for the doctor right away.\How naive I am.\Young Master, your mother has awoken.\What great news! Young Master.\I am in a hurry. I will see her when I get back.\He could've visited his mother before we left.\A ghoul was sighted in our territory. He had no choice. response:	Young Master has changed.
context: You're awake, my lady. I will call for the doctor right away.\How naive I am.\Young Master, your mother has awoken.\What great news! Young Master.\I am in a hurry. I will see her when I get back.\He could've visited his mother before we left.\A ghoul was sighted in our territory. He had no choice.\Young Master has changed. response:	Hyogo.
context: How naive I am.\Young Master, your mother has awoken.\What great news! Young Master.\I am in a hurry. I will see her when I get back.\He could've visited his mother before we left.\A ghoul was sighted in our territory. He had no choice.\Young Master has changed.\Hyogo. response:	But he's right. Young Master has changed.
context: Young Master, your mother has awoken.\What great news! Young Master.\I am in a hurry. I will see her when I get back.\He could've visited his mother before we left.\A ghoul was sighted in our territory. He had no choice.\Young Master has changed.\Hyogo.\But he's right. Young Master has changed. response:	You mean, a whole domain is weighing on your shoulders.
context: What great news! Young Master.\I am in a hurry. I will see her when I get back.\He could've visited his mother before we left.\A ghoul was sighted in our territory. He had no choice.\Young Master has changed.\Hyogo.\But he's right. Young Master has changed.\You mean, a whole domain is weighing on your shoulders. response:	How heavy the load...
context: I am in a hurry. I will see her when I get back.\He could've visited his mother before we left.\A ghoul was sighted in our territory. He had no choice.\Young Master has changed.\Hyogo.\But he's right. Young Master has changed.\You mean, a whole domain is weighing on your shoulders.\How heavy the load... response:	I found and raised you, only to make you live in hell.
context: He could've visited his mother before we left.\A ghoul was sighted in our territory. He had no choice.\Young Master has changed.\Hyogo.\But he's right. Young Master has changed.\You mean, a whole domain is weighing on your shoulders.\How heavy the load...\I found and raised you, only to make you live in hell. response:	I need that.
context: A ghoul was sighted in our territory. He had no choice.\Young Master has changed.\Hyogo.\But he's right. Young Master has changed.\You mean, a whole domain is weighing on your shoulders.\How heavy the load...\I found and raised you, only to make you live in hell.\I need that. response:	I want.
context: Young Master has changed.\Hyogo.\But he's right. Young Master has changed.\You mean, a whole domain is weighing on your shoulders.\How heavy the load...\I found and raised you, only to make you live in hell.\I need that.\I want. response:	No, I cannot give you a new leg.
context: Hyogo.\But he's right. Young Master has changed.\You mean, a whole domain is weighing on your shoulders.\How heavy the load...\I found and raised you, only to make you live in hell.\I need that.\I want.\No, I cannot give you a new leg. response:	Why?
context: But he's right. Young Master has changed.\You mean, a whole domain is weighing on your shoulders.\How heavy the load...\I found and raised you, only to make you live in hell.\I need that.\I want.\No, I cannot give you a new leg.\Why? response:	You will go fight demons again.
context: You mean, a whole domain is weighing on your shoulders.\How heavy the load...\I found and raised you, only to make you live in hell.\I need that.\I want.\No, I cannot give you a new leg.\Why?\You will go fight demons again. response:	You will defeat them and regain your body.
context: How heavy the load...\I found and raised you, only to make you live in hell.\I need that.\I want.\No, I cannot give you a new leg.\Why?\You will go fight demons again.\You will defeat them and regain your body. response:	And the domain you bear on your shoulders...
context: I found and raised you, only to make you live in hell.\I need that.\I want.\No, I cannot give you a new leg.\Why?\You will go fight demons again.\You will defeat them and regain your body.\And the domain you bear on your shoulders... response:	No, that responsibility is for your father, the lord, to bear.
context: I need that.\I want.\No, I cannot give you a new leg.\Why?\You will go fight demons again.\You will defeat them and regain your body.\And the domain you bear on your shoulders...\No, that responsibility is for your father, the lord, to bear. response:	You may look more human than before.
context: I want.\No, I cannot give you a new leg.\Why?\You will go fight demons again.\You will defeat them and regain your body.\And the domain you bear on your shoulders...\No, that responsibility is for your father, the lord, to bear.\You may look more human than before. response:	But have you not become less human on the inside?
context: No, I cannot give you a new leg.\Why?\You will go fight demons again.\You will defeat them and regain your body.\And the domain you bear on your shoulders...\No, that responsibility is for your father, the lord, to bear.\You may look more human than before.\But have you not become less human on the inside? response:	From what I saw, I assume that ghouls are not the only things you've killed.
context: Why?\You will go fight demons again.\You will defeat them and regain your body.\And the domain you bear on your shoulders...\No, that responsibility is for your father, the lord, to bear.\You may look more human than before.\But have you not become less human on the inside?\From what I saw, I assume that ghouls are not the only things you've killed. response:	I can tell.
context: You will go fight demons again.\You will defeat them and regain your body.\And the domain you bear on your shoulders...\No, that responsibility is for your father, the lord, to bear.\You may look more human than before.\But have you not become less human on the inside?\From what I saw, I assume that ghouls are not the only things you've killed.\I can tell. response:	A new prosthetic leg would only take you closer to hell.
context: You will defeat them and regain your body.\And the domain you bear on your shoulders...\No, that responsibility is for your father, the lord, to bear.\You may look more human than before.\But have you not become less human on the inside?\From what I saw, I assume that ghouls are not the only things you've killed.\I can tell.\A new prosthetic leg would only take you closer to hell. response:	I cannot do that.
context: And the domain you bear on your shoulders...\No, that responsibility is for your father, the lord, to bear.\You may look more human than before.\But have you not become less human on the inside?\From what I saw, I assume that ghouls are not the only things you've killed.\I can tell.\A new prosthetic leg would only take you closer to hell.\I cannot do that. response:	I want it.
context: No, that responsibility is for your father, the lord, to bear.\You may look more human than before.\But have you not become less human on the inside?\From what I saw, I assume that ghouls are not the only things you've killed.\I can tell.\A new prosthetic leg would only take you closer to hell.\I cannot do that.\I want it. response:	I'm sorry.
context: You may look more human than before.\But have you not become less human on the inside?\From what I saw, I assume that ghouls are not the only things you've killed.\I can tell.\A new prosthetic leg would only take you closer to hell.\I cannot do that.\I want it.\I'm sorry. response:	Why?
context: But have you not become less human on the inside?\From what I saw, I assume that ghouls are not the only things you've killed.\I can tell.\A new prosthetic leg would only take you closer to hell.\I cannot do that.\I want it.\I'm sorry.\Why? response:	I cannot save you.
context: From what I saw, I assume that ghouls are not the only things you've killed.\I can tell.\A new prosthetic leg would only take you closer to hell.\I cannot do that.\I want it.\I'm sorry.\Why?\I cannot save you. response:	I cannot.
context: I can tell.\A new prosthetic leg would only take you closer to hell.\I cannot do that.\I want it.\I'm sorry.\Why?\I cannot save you.\I cannot. response:	I cannot save you!
context: A new prosthetic leg would only take you closer to hell.\I cannot do that.\I want it.\I'm sorry.\Why?\I cannot save you.\I cannot.\I cannot save you! response:	The doctor said you should be fine now.
context: I cannot do that.\I want it.\I'm sorry.\Why?\I cannot save you.\I cannot.\I cannot save you!\The doctor said you should be fine now. response:	Never do such a foolish thing again.
context: I want it.\I'm sorry.\Why?\I cannot save you.\I cannot.\I cannot save you!\The doctor said you should be fine now.\Never do such a foolish thing again. response:	Yes, how truly foolish I was.
context: I'm sorry.\Why?\I cannot save you.\I cannot.\I cannot save you!\The doctor said you should be fine now.\Never do such a foolish thing again.\Yes, how truly foolish I was. response:	I offered my life, but what worth does my life have?
context: Why?\I cannot save you.\I cannot.\I cannot save you!\The doctor said you should be fine now.\Never do such a foolish thing again.\Yes, how truly foolish I was.\I offered my life, but what worth does my life have? response:	My lord.
context: I cannot save you.\I cannot.\I cannot save you!\The doctor said you should be fine now.\Never do such a foolish thing again.\Yes, how truly foolish I was.\I offered my life, but what worth does my life have?\My lord. response:	Do you remember the headless Goddess of Mercy?
context: I cannot.\I cannot save you!\The doctor said you should be fine now.\Never do such a foolish thing again.\Yes, how truly foolish I was.\I offered my life, but what worth does my life have?\My lord.\Do you remember the headless Goddess of Mercy? response:	Yes, the one you always prayed to.
context: I cannot save you!\The doctor said you should be fine now.\Never do such a foolish thing again.\Yes, how truly foolish I was.\I offered my life, but what worth does my life have?\My lord.\Do you remember the headless Goddess of Mercy?\Yes, the one you always prayed to. response:	It lost its head when Hyakkimaru was born.
context: The doctor said you should be fine now.\Never do such a foolish thing again.\Yes, how truly foolish I was.\I offered my life, but what worth does my life have?\My lord.\Do you remember the headless Goddess of Mercy?\Yes, the one you always prayed to.\It lost its head when Hyakkimaru was born. response:	I thought it was a gift, a token of faith.
context: Never do such a foolish thing again.\Yes, how truly foolish I was.\I offered my life, but what worth does my life have?\My lord.\Do you remember the headless Goddess of Mercy?\Yes, the one you always prayed to.\It lost its head when Hyakkimaru was born.\I thought it was a gift, a token of faith. response:	I kept praying to it for my son.
context: Yes, how truly foolish I was.\I offered my life, but what worth does my life have?\My lord.\Do you remember the headless Goddess of Mercy?\Yes, the one you always prayed to.\It lost its head when Hyakkimaru was born.\I thought it was a gift, a token of faith.\I kept praying to it for my son. response:	When I heard that he was alive, I thought my prayers had been answered.
context: I offered my life, but what worth does my life have?\My lord.\Do you remember the headless Goddess of Mercy?\Yes, the one you always prayed to.\It lost its head when Hyakkimaru was born.\I thought it was a gift, a token of faith.\I kept praying to it for my son.\When I heard that he was alive, I thought my prayers had been answered. response:	How vain I was.
context: My lord.\Do you remember the headless Goddess of Mercy?\Yes, the one you always prayed to.\It lost its head when Hyakkimaru was born.\I thought it was a gift, a token of faith.\I kept praying to it for my son.\When I heard that he was alive, I thought my prayers had been answered.\How vain I was. response:	Hyakkimaru survived,
context: Do you remember the headless Goddess of Mercy?\Yes, the one you always prayed to.\It lost its head when Hyakkimaru was born.\I thought it was a gift, a token of faith.\I kept praying to it for my son.\When I heard that he was alive, I thought my prayers had been answered.\How vain I was.\Hyakkimaru survived, response:	only because the Goddess offered its head to the demons.
context: Yes, the one you always prayed to.\It lost its head when Hyakkimaru was born.\I thought it was a gift, a token of faith.\I kept praying to it for my son.\When I heard that he was alive, I thought my prayers had been answered.\How vain I was.\Hyakkimaru survived,\only because the Goddess offered its head to the demons. response:	Why else would his head still be intact when all else was taken from him?
context: It lost its head when Hyakkimaru was born.\I thought it was a gift, a token of faith.\I kept praying to it for my son.\When I heard that he was alive, I thought my prayers had been answered.\How vain I was.\Hyakkimaru survived,\only because the Goddess offered its head to the demons.\Why else would his head still be intact when all else was taken from him? response:	I felt it, plain as day, when the Goddess's head was smashed.
context: I thought it was a gift, a token of faith.\I kept praying to it for my son.\When I heard that he was alive, I thought my prayers had been answered.\How vain I was.\Hyakkimaru survived,\only because the Goddess offered its head to the demons.\Why else would his head still be intact when all else was taken from him?\I felt it, plain as day, when the Goddess's head was smashed. response:	That among the 12 demons, there was one that failed to eat my son.
context: I kept praying to it for my son.\When I heard that he was alive, I thought my prayers had been answered.\How vain I was.\Hyakkimaru survived,\only because the Goddess offered its head to the demons.\Why else would his head still be intact when all else was taken from him?\I felt it, plain as day, when the Goddess's head was smashed.\That among the 12 demons, there was one that failed to eat my son. response:	Now that the Goddess of Mercy is cracked, your deal has been broken off.
context: When I heard that he was alive, I thought my prayers had been answered.\How vain I was.\Hyakkimaru survived,\only because the Goddess offered its head to the demons.\Why else would his head still be intact when all else was taken from him?\I felt it, plain as day, when the Goddess's head was smashed.\That among the 12 demons, there was one that failed to eat my son.\Now that the Goddess of Mercy is cracked, your deal has been broken off. response:	Hyakkimaru shall surely regain his body.
context: How vain I was.\Hyakkimaru survived,\only because the Goddess offered its head to the demons.\Why else would his head still be intact when all else was taken from him?\I felt it, plain as day, when the Goddess's head was smashed.\That among the 12 demons, there was one that failed to eat my son.\Now that the Goddess of Mercy is cracked, your deal has been broken off.\Hyakkimaru shall surely regain his body. response:	And the prosperity of this land shall cease, my lord.
context: Hyakkimaru survived,\only because the Goddess offered its head to the demons.\Why else would his head still be intact when all else was taken from him?\I felt it, plain as day, when the Goddess's head was smashed.\That among the 12 demons, there was one that failed to eat my son.\Now that the Goddess of Mercy is cracked, your deal has been broken off.\Hyakkimaru shall surely regain his body.\And the prosperity of this land shall cease, my lord. response:	You are overthinking it.
context: only because the Goddess offered its head to the demons.\Why else would his head still be intact when all else was taken from him?\I felt it, plain as day, when the Goddess's head was smashed.\That among the 12 demons, there was one that failed to eat my son.\Now that the Goddess of Mercy is cracked, your deal has been broken off.\Hyakkimaru shall surely regain his body.\And the prosperity of this land shall cease, my lord.\You are overthinking it. response:	Rest up and get well.
context: Why else would his head still be intact when all else was taken from him?\I felt it, plain as day, when the Goddess's head was smashed.\That among the 12 demons, there was one that failed to eat my son.\Now that the Goddess of Mercy is cracked, your deal has been broken off.\Hyakkimaru shall surely regain his body.\And the prosperity of this land shall cease, my lord.\You are overthinking it.\Rest up and get well. response:	Are you there?
context: I felt it, plain as day, when the Goddess's head was smashed.\That among the 12 demons, there was one that failed to eat my son.\Now that the Goddess of Mercy is cracked, your deal has been broken off.\Hyakkimaru shall surely regain his body.\And the prosperity of this land shall cease, my lord.\You are overthinking it.\Rest up and get well.\Are you there? response:	Keep close watch over the Hall of Hell.
context: That among the 12 demons, there was one that failed to eat my son.\Now that the Goddess of Mercy is cracked, your deal has been broken off.\Hyakkimaru shall surely regain his body.\And the prosperity of this land shall cease, my lord.\You are overthinking it.\Rest up and get well.\Are you there?\Keep close watch over the Hall of Hell. response:	About Hyakkimaru's whereabouts...
context: Now that the Goddess of Mercy is cracked, your deal has been broken off.\Hyakkimaru shall surely regain his body.\And the prosperity of this land shall cease, my lord.\You are overthinking it.\Rest up and get well.\Are you there?\Keep close watch over the Hall of Hell.\About Hyakkimaru's whereabouts... response:	There has been a sighting of the kid he was with.
context: Hyakkimaru shall surely regain his body.\And the prosperity of this land shall cease, my lord.\You are overthinking it.\Rest up and get well.\Are you there?\Keep close watch over the Hall of Hell.\About Hyakkimaru's whereabouts...\There has been a sighting of the kid he was with. response:	Have Tahomaru go.
context: And the prosperity of this land shall cease, my lord.\You are overthinking it.\Rest up and get well.\Are you there?\Keep close watch over the Hall of Hell.\About Hyakkimaru's whereabouts...\There has been a sighting of the kid he was with.\Have Tahomaru go. response:	Actually, my lord...
context: You are overthinking it.\Rest up and get well.\Are you there?\Keep close watch over the Hall of Hell.\About Hyakkimaru's whereabouts...\There has been a sighting of the kid he was with.\Have Tahomaru go.\Actually, my lord... response:	Nobody seems to be home.
context: Rest up and get well.\Are you there?\Keep close watch over the Hall of Hell.\About Hyakkimaru's whereabouts...\There has been a sighting of the kid he was with.\Have Tahomaru go.\Actually, my lord...\Nobody seems to be home. response:	A merchant family and some servants live here.
context: Are you there?\Keep close watch over the Hall of Hell.\About Hyakkimaru's whereabouts...\There has been a sighting of the kid he was with.\Have Tahomaru go.\Actually, my lord...\Nobody seems to be home.\A merchant family and some servants live here. response:	But nobody's seen them for a while.
