context: Why, you-! response:	Where did you go, dammit!?
context: If he still had one, he'd be able to locate even that little kid's Ki, after all.\Damn. How am I supposed to find those tiny little guys!? This is infuriating!\Thank goodness. He's giving up and going back.\I'll blow them away!\See you in hell!\Take that. That's what you get for giving me a hard time.\Freeza- sama told me to bring them back,\but I guess this is better than letting them get away. response:	Still, I never did find out who those little brats really were.
context: Damn. How am I supposed to find those tiny little guys!? This is infuriating!\Thank goodness. He's giving up and going back.\I'll blow them away!\See you in hell!\Take that. That's what you get for giving me a hard time.\Freeza- sama told me to bring them back,\but I guess this is better than letting them get away.\Still, I never did find out who those little brats really were. response:	They weren't any ordinary folks. But I suppose it doesn't make any difference now.
context: Thank goodness. He's giving up and going back.\I'll blow them away!\See you in hell!\Take that. That's what you get for giving me a hard time.\Freeza- sama told me to bring them back,\but I guess this is better than letting them get away.\Still, I never did find out who those little brats really were.\They weren't any ordinary folks. But I suppose it doesn't make any difference now. response:	We're saved!
context: I'll blow them away!\See you in hell!\Take that. That's what you get for giving me a hard time.\Freeza- sama told me to bring them back,\but I guess this is better than letting them get away.\Still, I never did find out who those little brats really were.\They weren't any ordinary folks. But I suppose it doesn't make any difference now.\We're saved! response:	For now, let's get back to where Bulma- san is, okay?
context: See you in hell!\Take that. That's what you get for giving me a hard time.\Freeza- sama told me to bring them back,\but I guess this is better than letting them get away.\Still, I never did find out who those little brats really were.\They weren't any ordinary folks. But I suppose it doesn't make any difference now.\We're saved!\For now, let's get back to where Bulma- san is, okay? response:	Are you able to fly?
context: Take that. That's what you get for giving me a hard time.\Freeza- sama told me to bring them back,\but I guess this is better than letting them get away.\Still, I never did find out who those little brats really were.\They weren't any ordinary folks. But I suppose it doesn't make any difference now.\We're saved!\For now, let's get back to where Bulma- san is, okay?\Are you able to fly? response:	Yes.
context: Freeza- sama told me to bring them back,\but I guess this is better than letting them get away.\Still, I never did find out who those little brats really were.\They weren't any ordinary folks. But I suppose it doesn't make any difference now.\We're saved!\For now, let's get back to where Bulma- san is, okay?\Are you able to fly?\Yes. response:	T- thank you for saving me.
context: but I guess this is better than letting them get away.\Still, I never did find out who those little brats really were.\They weren't any ordinary folks. But I suppose it doesn't make any difference now.\We're saved!\For now, let's get back to where Bulma- san is, okay?\Are you able to fly?\Yes.\T- thank you for saving me. response:	Say your thanks to Gohan here.
context: Still, I never did find out who those little brats really were.\They weren't any ordinary folks. But I suppose it doesn't make any difference now.\We're saved!\For now, let's get back to where Bulma- san is, okay?\Are you able to fly?\Yes.\T- thank you for saving me.\Say your thanks to Gohan here. response:	I was so fazed that I didn't even want to try saving you.
context: They weren't any ordinary folks. But I suppose it doesn't make any difference now.\We're saved!\For now, let's get back to where Bulma- san is, okay?\Are you able to fly?\Yes.\T- thank you for saving me.\Say your thanks to Gohan here.\I was so fazed that I didn't even want to try saving you. response:	But if you hadn't helped, Kuririn- san, both of us would be dead.
context: We're saved!\For now, let's get back to where Bulma- san is, okay?\Are you able to fly?\Yes.\T- thank you for saving me.\Say your thanks to Gohan here.\I was so fazed that I didn't even want to try saving you.\But if you hadn't helped, Kuririn- san, both of us would be dead. response:	Well, at any rate, come along with us.
context: For now, let's get back to where Bulma- san is, okay?\Are you able to fly?\Yes.\T- thank you for saving me.\Say your thanks to Gohan here.\I was so fazed that I didn't even want to try saving you.\But if you hadn't helped, Kuririn- san, both of us would be dead.\Well, at any rate, come along with us. response:	It's not like there's anything shady about us.
context: Are you able to fly?\Yes.\T- thank you for saving me.\Say your thanks to Gohan here.\I was so fazed that I didn't even want to try saving you.\But if you hadn't helped, Kuririn- san, both of us would be dead.\Well, at any rate, come along with us.\It's not like there's anything shady about us. response:	Okay.
context: Yes.\T- thank you for saving me.\Say your thanks to Gohan here.\I was so fazed that I didn't even want to try saving you.\But if you hadn't helped, Kuririn- san, both of us would be dead.\Well, at any rate, come along with us.\It's not like there's anything shady about us.\Okay. response:	There are Dragon Balls here, but there are these strange guys gathering them all up,
context: T- thank you for saving me.\Say your thanks to Gohan here.\I was so fazed that I didn't even want to try saving you.\But if you hadn't helped, Kuririn- san, both of us would be dead.\Well, at any rate, come along with us.\It's not like there's anything shady about us.\Okay.\There are Dragon Balls here, but there are these strange guys gathering them all up, response:	Occupied by Bulma- chan! Do not open! Do not touch! There are Dragon Balls here, but there are these strange guys gathering them all up,
context: Say your thanks to Gohan here.\I was so fazed that I didn't even want to try saving you.\But if you hadn't helped, Kuririn- san, both of us would be dead.\Well, at any rate, come along with us.\It's not like there's anything shady about us.\Okay.\There are Dragon Balls here, but there are these strange guys gathering them all up,\Occupied by Bulma- chan! Do not open! Do not touch! There are Dragon Balls here, but there are these strange guys gathering them all up, response:	and if they make off with all of them like this,
context: I was so fazed that I didn't even want to try saving you.\But if you hadn't helped, Kuririn- san, both of us would be dead.\Well, at any rate, come along with us.\It's not like there's anything shady about us.\Okay.\There are Dragon Balls here, but there are these strange guys gathering them all up,\Occupied by Bulma- chan! Do not open! Do not touch! There are Dragon Balls here, but there are these strange guys gathering them all up,\and if they make off with all of them like this, response:	then it doesn't make any sense why a delicate young lady like myself...
context: But if you hadn't helped, Kuririn- san, both of us would be dead.\Well, at any rate, come along with us.\It's not like there's anything shady about us.\Okay.\There are Dragon Balls here, but there are these strange guys gathering them all up,\Occupied by Bulma- chan! Do not open! Do not touch! There are Dragon Balls here, but there are these strange guys gathering them all up,\and if they make off with all of them like this,\then it doesn't make any sense why a delicate young lady like myself... response:	Hey, are you listening to me, Dad!?
context: Well, at any rate, come along with us.\It's not like there's anything shady about us.\Okay.\There are Dragon Balls here, but there are these strange guys gathering them all up,\Occupied by Bulma- chan! Do not open! Do not touch! There are Dragon Balls here, but there are these strange guys gathering them all up,\and if they make off with all of them like this,\then it doesn't make any sense why a delicate young lady like myself...\Hey, are you listening to me, Dad!? response:	Yeah, l'm listening to every word. So, what's the matter?
context: It's not like there's anything shady about us.\Okay.\There are Dragon Balls here, but there are these strange guys gathering them all up,\Occupied by Bulma- chan! Do not open! Do not touch! There are Dragon Balls here, but there are these strange guys gathering them all up,\and if they make off with all of them like this,\then it doesn't make any sense why a delicate young lady like myself...\Hey, are you listening to me, Dad!?\Yeah, l'm listening to every word. So, what's the matter? response:	It's just that this whole situation is just in the worst state it could be in.
context: Okay.\There are Dragon Balls here, but there are these strange guys gathering them all up,\Occupied by Bulma- chan! Do not open! Do not touch! There are Dragon Balls here, but there are these strange guys gathering them all up,\and if they make off with all of them like this,\then it doesn't make any sense why a delicate young lady like myself...\Hey, are you listening to me, Dad!?\Yeah, l'm listening to every word. So, what's the matter?\It's just that this whole situation is just in the worst state it could be in. response:	Our spaceship was wrecked by these weirdos, so there's no way we can come back home.
context: There are Dragon Balls here, but there are these strange guys gathering them all up,\Occupied by Bulma- chan! Do not open! Do not touch! There are Dragon Balls here, but there are these strange guys gathering them all up,\and if they make off with all of them like this,\then it doesn't make any sense why a delicate young lady like myself...\Hey, are you listening to me, Dad!?\Yeah, l'm listening to every word. So, what's the matter?\It's just that this whole situation is just in the worst state it could be in.\Our spaceship was wrecked by these weirdos, so there's no way we can come back home. response:	You're coming back home?
context: Occupied by Bulma- chan! Do not open! Do not touch! There are Dragon Balls here, but there are these strange guys gathering them all up,\and if they make off with all of them like this,\then it doesn't make any sense why a delicate young lady like myself...\Hey, are you listening to me, Dad!?\Yeah, l'm listening to every word. So, what's the matter?\It's just that this whole situation is just in the worst state it could be in.\Our spaceship was wrecked by these weirdos, so there's no way we can come back home.\You're coming back home? response:	Well, isn't that going to cause trouble?
context: and if they make off with all of them like this,\then it doesn't make any sense why a delicate young lady like myself...\Hey, are you listening to me, Dad!?\Yeah, l'm listening to every word. So, what's the matter?\It's just that this whole situation is just in the worst state it could be in.\Our spaceship was wrecked by these weirdos, so there's no way we can come back home.\You're coming back home?\Well, isn't that going to cause trouble? response:	I mean, Goku has just barely left to head there.
context: then it doesn't make any sense why a delicate young lady like myself...\Hey, are you listening to me, Dad!?\Yeah, l'm listening to every word. So, what's the matter?\It's just that this whole situation is just in the worst state it could be in.\Our spaceship was wrecked by these weirdos, so there's no way we can come back home.\You're coming back home?\Well, isn't that going to cause trouble?\I mean, Goku has just barely left to head there. response:	Won't it be a shame if you two miss each other?
context: Hey, are you listening to me, Dad!?\Yeah, l'm listening to every word. So, what's the matter?\It's just that this whole situation is just in the worst state it could be in.\Our spaceship was wrecked by these weirdos, so there's no way we can come back home.\You're coming back home?\Well, isn't that going to cause trouble?\I mean, Goku has just barely left to head there.\Won't it be a shame if you two miss each other? response:	Son- kun? Son- kun is coming here to Planet Namek?
context: Yeah, l'm listening to every word. So, what's the matter?\It's just that this whole situation is just in the worst state it could be in.\Our spaceship was wrecked by these weirdos, so there's no way we can come back home.\You're coming back home?\Well, isn't that going to cause trouble?\I mean, Goku has just barely left to head there.\Won't it be a shame if you two miss each other?\Son- kun? Son- kun is coming here to Planet Namek? response:	Really, really, really he is?
context: It's just that this whole situation is just in the worst state it could be in.\Our spaceship was wrecked by these weirdos, so there's no way we can come back home.\You're coming back home?\Well, isn't that going to cause trouble?\I mean, Goku has just barely left to head there.\Won't it be a shame if you two miss each other?\Son- kun? Son- kun is coming here to Planet Namek?\Really, really, really he is? response:	Yeah, that's right. According to schedule, he should get there in six days.
context: Our spaceship was wrecked by these weirdos, so there's no way we can come back home.\You're coming back home?\Well, isn't that going to cause trouble?\I mean, Goku has just barely left to head there.\Won't it be a shame if you two miss each other?\Son- kun? Son- kun is coming here to Planet Namek?\Really, really, really he is?\Yeah, that's right. According to schedule, he should get there in six days. response:	Hooray!
context: You're coming back home?\Well, isn't that going to cause trouble?\I mean, Goku has just barely left to head there.\Won't it be a shame if you two miss each other?\Son- kun? Son- kun is coming here to Planet Namek?\Really, really, really he is?\Yeah, that's right. According to schedule, he should get there in six days.\Hooray! response:	But there is one thing that has me concerned...
context: Well, isn't that going to cause trouble?\I mean, Goku has just barely left to head there.\Won't it be a shame if you two miss each other?\Son- kun? Son- kun is coming here to Planet Namek?\Really, really, really he is?\Yeah, that's right. According to schedule, he should get there in six days.\Hooray!\But there is one thing that has me concerned... response:	Huh? What?
context: I mean, Goku has just barely left to head there.\Won't it be a shame if you two miss each other?\Son- kun? Son- kun is coming here to Planet Namek?\Really, really, really he is?\Yeah, that's right. According to schedule, he should get there in six days.\Hooray!\But there is one thing that has me concerned...\Huh? What? response:	He took off without having the speakers installed.
context: Won't it be a shame if you two miss each other?\Son- kun? Son- kun is coming here to Planet Namek?\Really, really, really he is?\Yeah, that's right. According to schedule, he should get there in six days.\Hooray!\But there is one thing that has me concerned...\Huh? What?\He took off without having the speakers installed. response:	Does Goku not listen to music and such?
context: Son- kun? Son- kun is coming here to Planet Namek?\Really, really, really he is?\Yeah, that's right. According to schedule, he should get there in six days.\Hooray!\But there is one thing that has me concerned...\Huh? What?\He took off without having the speakers installed.\Does Goku not listen to music and such? response:	I've been training too seriously, and now I'm hungry!
context: Really, really, really he is?\Yeah, that's right. According to schedule, he should get there in six days.\Hooray!\But there is one thing that has me concerned...\Huh? What?\He took off without having the speakers installed.\Does Goku not listen to music and such?\I've been training too seriously, and now I'm hungry! response:	Aw, is this all there is?
context: Yeah, that's right. According to schedule, he should get there in six days.\Hooray!\But there is one thing that has me concerned...\Huh? What?\He took off without having the speakers installed.\Does Goku not listen to music and such?\I've been training too seriously, and now I'm hungry!\Aw, is this all there is? response:	Just this much ain't going to be enough.
context: Hooray!\But there is one thing that has me concerned...\Huh? What?\He took off without having the speakers installed.\Does Goku not listen to music and such?\I've been training too seriously, and now I'm hungry!\Aw, is this all there is?\Just this much ain't going to be enough. response:	Ah, I'm full, I'm full!
context: But there is one thing that has me concerned...\Huh? What?\He took off without having the speakers installed.\Does Goku not listen to music and such?\I've been training too seriously, and now I'm hungry!\Aw, is this all there is?\Just this much ain't going to be enough.\Ah, I'm full, I'm full! response:	Oh, whoops. The gravity device is still turned on.
context: Huh? What?\He took off without having the speakers installed.\Does Goku not listen to music and such?\I've been training too seriously, and now I'm hungry!\Aw, is this all there is?\Just this much ain't going to be enough.\Ah, I'm full, I'm full!\Oh, whoops. The gravity device is still turned on. response:	Still, without Scouters, it's going to be a pain looking for the last two Dragon Balls.
context: He took off without having the speakers installed.\Does Goku not listen to music and such?\I've been training too seriously, and now I'm hungry!\Aw, is this all there is?\Just this much ain't going to be enough.\Ah, I'm full, I'm full!\Oh, whoops. The gravity device is still turned on.\Still, without Scouters, it's going to be a pain looking for the last two Dragon Balls. response:	Well, this isn't all that large a planet.
context: Does Goku not listen to music and such?\I've been training too seriously, and now I'm hungry!\Aw, is this all there is?\Just this much ain't going to be enough.\Ah, I'm full, I'm full!\Oh, whoops. The gravity device is still turned on.\Still, without Scouters, it's going to be a pain looking for the last two Dragon Balls.\Well, this isn't all that large a planet. response:	V- Vegeta! Why, you-!
context: I've been training too seriously, and now I'm hungry!\Aw, is this all there is?\Just this much ain't going to be enough.\Ah, I'm full, I'm full!\Oh, whoops. The gravity device is still turned on.\Still, without Scouters, it's going to be a pain looking for the last two Dragon Balls.\Well, this isn't all that large a planet.\V- Vegeta! Why, you-! response:	Yo, it's been quite a long while, huh, Dodoria- san?
context: Aw, is this all there is?\Just this much ain't going to be enough.\Ah, I'm full, I'm full!\Oh, whoops. The gravity device is still turned on.\Still, without Scouters, it's going to be a pain looking for the last two Dragon Balls.\Well, this isn't all that large a planet.\V- Vegeta! Why, you-!\Yo, it's been quite a long while, huh, Dodoria- san? response:	You're the one who hit me when I wasn't looking, aren't you, Vegeta!?
context: Just this much ain't going to be enough.\Ah, I'm full, I'm full!\Oh, whoops. The gravity device is still turned on.\Still, without Scouters, it's going to be a pain looking for the last two Dragon Balls.\Well, this isn't all that large a planet.\V- Vegeta! Why, you-!\Yo, it's been quite a long while, huh, Dodoria- san?\You're the one who hit me when I wasn't looking, aren't you, Vegeta!? response:	You and Zarbon are always palling around with Freeza, after all.
context: Ah, I'm full, I'm full!\Oh, whoops. The gravity device is still turned on.\Still, without Scouters, it's going to be a pain looking for the last two Dragon Balls.\Well, this isn't all that large a planet.\V- Vegeta! Why, you-!\Yo, it's been quite a long while, huh, Dodoria- san?\You're the one who hit me when I wasn't looking, aren't you, Vegeta!?\You and Zarbon are always palling around with Freeza, after all. response:	I've been waiting until you were all on your own.
context: Oh, whoops. The gravity device is still turned on.\Still, without Scouters, it's going to be a pain looking for the last two Dragon Balls.\Well, this isn't all that large a planet.\V- Vegeta! Why, you-!\Yo, it's been quite a long while, huh, Dodoria- san?\You're the one who hit me when I wasn't looking, aren't you, Vegeta!?\You and Zarbon are always palling around with Freeza, after all.\I've been waiting until you were all on your own. response:	I should be able to take you, as long as Freeza isn't around, you see.
context: Still, without Scouters, it's going to be a pain looking for the last two Dragon Balls.\Well, this isn't all that large a planet.\V- Vegeta! Why, you-!\Yo, it's been quite a long while, huh, Dodoria- san?\You're the one who hit me when I wasn't looking, aren't you, Vegeta!?\You and Zarbon are always palling around with Freeza, after all.\I've been waiting until you were all on your own.\I should be able to take you, as long as Freeza isn't around, you see. response:	What? A Saiyan like you!? You've got some nerve saying that, don't you!?
context: Well, this isn't all that large a planet.\V- Vegeta! Why, you-!\Yo, it's been quite a long while, huh, Dodoria- san?\You're the one who hit me when I wasn't looking, aren't you, Vegeta!?\You and Zarbon are always palling around with Freeza, after all.\I've been waiting until you were all on your own.\I should be able to take you, as long as Freeza isn't around, you see.\What? A Saiyan like you!? You've got some nerve saying that, don't you!? response:	Vegeta, hand over that Scouter to me quietly, and get lost.
context: V- Vegeta! Why, you-!\Yo, it's been quite a long while, huh, Dodoria- san?\You're the one who hit me when I wasn't looking, aren't you, Vegeta!?\You and Zarbon are always palling around with Freeza, after all.\I've been waiting until you were all on your own.\I should be able to take you, as long as Freeza isn't around, you see.\What? A Saiyan like you!? You've got some nerve saying that, don't you!?\Vegeta, hand over that Scouter to me quietly, and get lost. response:	If you do so, I'll let you slide this one time.
context: Yo, it's been quite a long while, huh, Dodoria- san?\You're the one who hit me when I wasn't looking, aren't you, Vegeta!?\You and Zarbon are always palling around with Freeza, after all.\I've been waiting until you were all on your own.\I should be able to take you, as long as Freeza isn't around, you see.\What? A Saiyan like you!? You've got some nerve saying that, don't you!?\Vegeta, hand over that Scouter to me quietly, and get lost.\If you do so, I'll let you slide this one time. response:	You will? I thought something had happened when the sound suddenly cut out.
context: You're the one who hit me when I wasn't looking, aren't you, Vegeta!?\You and Zarbon are always palling around with Freeza, after all.\I've been waiting until you were all on your own.\I should be able to take you, as long as Freeza isn't around, you see.\What? A Saiyan like you!? You've got some nerve saying that, don't you!?\Vegeta, hand over that Scouter to me quietly, and get lost.\If you do so, I'll let you slide this one time.\You will? I thought something had happened when the sound suddenly cut out. response:	It looks like you guys have lost all your Scouters, all right.
context: You and Zarbon are always palling around with Freeza, after all.\I've been waiting until you were all on your own.\I should be able to take you, as long as Freeza isn't around, you see.\What? A Saiyan like you!? You've got some nerve saying that, don't you!?\Vegeta, hand over that Scouter to me quietly, and get lost.\If you do so, I'll let you slide this one time.\You will? I thought something had happened when the sound suddenly cut out.\It looks like you guys have lost all your Scouters, all right. response:	This is great. Now you won't be able to tell when I come up to you guys.
context: I've been waiting until you were all on your own.\I should be able to take you, as long as Freeza isn't around, you see.\What? A Saiyan like you!? You've got some nerve saying that, don't you!?\Vegeta, hand over that Scouter to me quietly, and get lost.\If you do so, I'll let you slide this one time.\You will? I thought something had happened when the sound suddenly cut out.\It looks like you guys have lost all your Scouters, all right.\This is great. Now you won't be able to tell when I come up to you guys. response:	What did you say!?
context: I should be able to take you, as long as Freeza isn't around, you see.\What? A Saiyan like you!? You've got some nerve saying that, don't you!?\Vegeta, hand over that Scouter to me quietly, and get lost.\If you do so, I'll let you slide this one time.\You will? I thought something had happened when the sound suddenly cut out.\It looks like you guys have lost all your Scouters, all right.\This is great. Now you won't be able to tell when I come up to you guys.\What did you say!? response:	It will take several days for you to go get more Scouters from Planet Freeza.
context: What? A Saiyan like you!? You've got some nerve saying that, don't you!?\Vegeta, hand over that Scouter to me quietly, and get lost.\If you do so, I'll let you slide this one time.\You will? I thought something had happened when the sound suddenly cut out.\It looks like you guys have lost all your Scouters, all right.\This is great. Now you won't be able to tell when I come up to you guys.\What did you say!?\It will take several days for you to go get more Scouters from Planet Freeza. response:	I'll bet you want this.
context: Vegeta, hand over that Scouter to me quietly, and get lost.\If you do so, I'll let you slide this one time.\You will? I thought something had happened when the sound suddenly cut out.\It looks like you guys have lost all your Scouters, all right.\This is great. Now you won't be able to tell when I come up to you guys.\What did you say!?\It will take several days for you to go get more Scouters from Planet Freeza.\I'll bet you want this. response:	You've decided to hand it over, huh?
context: If you do so, I'll let you slide this one time.\You will? I thought something had happened when the sound suddenly cut out.\It looks like you guys have lost all your Scouters, all right.\This is great. Now you won't be able to tell when I come up to you guys.\What did you say!?\It will take several days for you to go get more Scouters from Planet Freeza.\I'll bet you want this.\You've decided to hand it over, huh? response:	It's about time you realized the terror of your situation.
context: You will? I thought something had happened when the sound suddenly cut out.\It looks like you guys have lost all your Scouters, all right.\This is great. Now you won't be able to tell when I come up to you guys.\What did you say!?\It will take several days for you to go get more Scouters from Planet Freeza.\I'll bet you want this.\You've decided to hand it over, huh?\It's about time you realized the terror of your situation. response:	Now, if you're lucky, you just might at least have your life spared.
context: It looks like you guys have lost all your Scouters, all right.\This is great. Now you won't be able to tell when I come up to you guys.\What did you say!?\It will take several days for you to go get more Scouters from Planet Freeza.\I'll bet you want this.\You've decided to hand it over, huh?\It's about time you realized the terror of your situation.\Now, if you're lucky, you just might at least have your life spared. response:	H- how could you do that, Vegeta!?
context: This is great. Now you won't be able to tell when I come up to you guys.\What did you say!?\It will take several days for you to go get more Scouters from Planet Freeza.\I'll bet you want this.\You've decided to hand it over, huh?\It's about time you realized the terror of your situation.\Now, if you're lucky, you just might at least have your life spared.\H- how could you do that, Vegeta!? response:	Why the hell did you break it!?
context: What did you say!?\It will take several days for you to go get more Scouters from Planet Freeza.\I'll bet you want this.\You've decided to hand it over, huh?\It's about time you realized the terror of your situation.\Now, if you're lucky, you just might at least have your life spared.\H- how could you do that, Vegeta!?\Why the hell did you break it!? response:	I didn't have any further need of it.
context: It will take several days for you to go get more Scouters from Planet Freeza.\I'll bet you want this.\You've decided to hand it over, huh?\It's about time you realized the terror of your situation.\Now, if you're lucky, you just might at least have your life spared.\H- how could you do that, Vegeta!?\Why the hell did you break it!?\I didn't have any further need of it. response:	W- what? Without that thing,
context: I'll bet you want this.\You've decided to hand it over, huh?\It's about time you realized the terror of your situation.\Now, if you're lucky, you just might at least have your life spared.\H- how could you do that, Vegeta!?\Why the hell did you break it!?\I didn't have any further need of it.\W- what? Without that thing, response:	you can't tell where Freeza- sama or the Namekians are, either!
context: You've decided to hand it over, huh?\It's about time you realized the terror of your situation.\Now, if you're lucky, you just might at least have your life spared.\H- how could you do that, Vegeta!?\Why the hell did you break it!?\I didn't have any further need of it.\W- what? Without that thing,\you can't tell where Freeza- sama or the Namekians are, either! response:	Sorry to disappoint you, but when I was fighting the Earthlings,
context: It's about time you realized the terror of your situation.\Now, if you're lucky, you just might at least have your life spared.\H- how could you do that, Vegeta!?\Why the hell did you break it!?\I didn't have any further need of it.\W- what? Without that thing,\you can't tell where Freeza- sama or the Namekians are, either!\Sorry to disappoint you, but when I was fighting the Earthlings, response:	I found out that they could determine
context: Now, if you're lucky, you just might at least have your life spared.\H- how could you do that, Vegeta!?\Why the hell did you break it!?\I didn't have any further need of it.\W- what? Without that thing,\you can't tell where Freeza- sama or the Namekians are, either!\Sorry to disappoint you, but when I was fighting the Earthlings,\I found out that they could determine response:	an opponent's strength and location without a Scouter.
context: H- how could you do that, Vegeta!?\Why the hell did you break it!?\I didn't have any further need of it.\W- what? Without that thing,\you can't tell where Freeza- sama or the Namekians are, either!\Sorry to disappoint you, but when I was fighting the Earthlings,\I found out that they could determine\an opponent's strength and location without a Scouter. response:	Also, there was a Saiyan, like myself, there on Earth, who had this ability.
context: Why the hell did you break it!?\I didn't have any further need of it.\W- what? Without that thing,\you can't tell where Freeza- sama or the Namekians are, either!\Sorry to disappoint you, but when I was fighting the Earthlings,\I found out that they could determine\an opponent's strength and location without a Scouter.\Also, there was a Saiyan, like myself, there on Earth, who had this ability. response:	Which meant that I should be able to do it as well.
context: I didn't have any further need of it.\W- what? Without that thing,\you can't tell where Freeza- sama or the Namekians are, either!\Sorry to disappoint you, but when I was fighting the Earthlings,\I found out that they could determine\an opponent's strength and location without a Scouter.\Also, there was a Saiyan, like myself, there on Earth, who had this ability.\Which meant that I should be able to do it as well. response:	Once you learn how to do it, it's easy.
context: W- what? Without that thing,\you can't tell where Freeza- sama or the Namekians are, either!\Sorry to disappoint you, but when I was fighting the Earthlings,\I found out that they could determine\an opponent's strength and location without a Scouter.\Also, there was a Saiyan, like myself, there on Earth, who had this ability.\Which meant that I should be able to do it as well.\Once you learn how to do it, it's easy. response:	But then, for those like yourselves or Freeza,
context: you can't tell where Freeza- sama or the Namekians are, either!\Sorry to disappoint you, but when I was fighting the Earthlings,\I found out that they could determine\an opponent's strength and location without a Scouter.\Also, there was a Saiyan, like myself, there on Earth, who had this ability.\Which meant that I should be able to do it as well.\Once you learn how to do it, it's easy.\But then, for those like yourselves or Freeza, response:	who only set their sights on power, it would be impossible.
context: Sorry to disappoint you, but when I was fighting the Earthlings,\I found out that they could determine\an opponent's strength and location without a Scouter.\Also, there was a Saiyan, like myself, there on Earth, who had this ability.\Which meant that I should be able to do it as well.\Once you learn how to do it, it's easy.\But then, for those like yourselves or Freeza,\who only set their sights on power, it would be impossible. response:	Although, up until now, I was the same way.
context: I found out that they could determine\an opponent's strength and location without a Scouter.\Also, there was a Saiyan, like myself, there on Earth, who had this ability.\Which meant that I should be able to do it as well.\Once you learn how to do it, it's easy.\But then, for those like yourselves or Freeza,\who only set their sights on power, it would be impossible.\Although, up until now, I was the same way. response:	I see now. Those runts I was chasing earlier were Earthlings, weren't they!?
context: an opponent's strength and location without a Scouter.\Also, there was a Saiyan, like myself, there on Earth, who had this ability.\Which meant that I should be able to do it as well.\Once you learn how to do it, it's easy.\But then, for those like yourselves or Freeza,\who only set their sights on power, it would be impossible.\Although, up until now, I was the same way.\I see now. Those runts I was chasing earlier were Earthlings, weren't they!? response:	Earthlings, you say?
context: Also, there was a Saiyan, like myself, there on Earth, who had this ability.\Which meant that I should be able to do it as well.\Once you learn how to do it, it's easy.\But then, for those like yourselves or Freeza,\who only set their sights on power, it would be impossible.\Although, up until now, I was the same way.\I see now. Those runts I was chasing earlier were Earthlings, weren't they!?\Earthlings, you say? response:	You joined forces with the Earthlings, didn't you!?
