context: Sesshomaru had denounced the half-demon Inuyasha response:	as a disgrace to his clan and despised the human race...
context: Soon you will be absorbed...\and become one with my flesh!\We follow the trail of the Sacred Jewel shards.\That's right!\Kohaku, Sango's youngerbrother, has a single shard\which was imbedded in his back by Naraku.\Inuyasha headed out alone forNaraku's castle.\Miasma and toxic fumes... this has gotta be it! response:	This is Naraku's barrier!
context: and become one with my flesh!\We follow the trail of the Sacred Jewel shards.\That's right!\Kohaku, Sango's youngerbrother, has a single shard\which was imbedded in his back by Naraku.\Inuyasha headed out alone forNaraku's castle.\Miasma and toxic fumes... this has gotta be it!\This is Naraku's barrier! response:	Tetsusaiga!
context: We follow the trail of the Sacred Jewel shards.\That's right!\Kohaku, Sango's youngerbrother, has a single shard\which was imbedded in his back by Naraku.\Inuyasha headed out alone forNaraku's castle.\Miasma and toxic fumes... this has gotta be it!\This is Naraku's barrier!\Tetsusaiga! response:	I can see it! Naraku's castle!
context: That's right!\Kohaku, Sango's youngerbrother, has a single shard\which was imbedded in his back by Naraku.\Inuyasha headed out alone forNaraku's castle.\Miasma and toxic fumes... this has gotta be it!\This is Naraku's barrier!\Tetsusaiga!\I can see it! Naraku's castle! response:	He's coming.
context: Kohaku, Sango's youngerbrother, has a single shard\which was imbedded in his back by Naraku.\Inuyasha headed out alone forNaraku's castle.\Miasma and toxic fumes... this has gotta be it!\This is Naraku's barrier!\Tetsusaiga!\I can see it! Naraku's castle!\He's coming. response:	That Kagura... She must have failed.
context: which was imbedded in his back by Naraku.\Inuyasha headed out alone forNaraku's castle.\Miasma and toxic fumes... this has gotta be it!\This is Naraku's barrier!\Tetsusaiga!\I can see it! Naraku's castle!\He's coming.\That Kagura... She must have failed. response:	Naraku, you seem preoccupied with what's beyond the castle walls.
context: Inuyasha headed out alone forNaraku's castle.\Miasma and toxic fumes... this has gotta be it!\This is Naraku's barrier!\Tetsusaiga!\I can see it! Naraku's castle!\He's coming.\That Kagura... She must have failed.\Naraku, you seem preoccupied with what's beyond the castle walls. response:	Lord Sesshomaru, I no longerhave time to dally with you.
context: Miasma and toxic fumes... this has gotta be it!\This is Naraku's barrier!\Tetsusaiga!\I can see it! Naraku's castle!\He's coming.\That Kagura... She must have failed.\Naraku, you seem preoccupied with what's beyond the castle walls.\Lord Sesshomaru, I no longerhave time to dally with you. response:	Yourpower...
context: This is Naraku's barrier!\Tetsusaiga!\I can see it! Naraku's castle!\He's coming.\That Kagura... She must have failed.\Naraku, you seem preoccupied with what's beyond the castle walls.\Lord Sesshomaru, I no longerhave time to dally with you.\Yourpower... response:	Every bit of yourdemon power...
context: Tetsusaiga!\I can see it! Naraku's castle!\He's coming.\That Kagura... She must have failed.\Naraku, you seem preoccupied with what's beyond the castle walls.\Lord Sesshomaru, I no longerhave time to dally with you.\Yourpower...\Every bit of yourdemon power... response:	shall be wholly consumed by me.
context: I can see it! Naraku's castle!\He's coming.\That Kagura... She must have failed.\Naraku, you seem preoccupied with what's beyond the castle walls.\Lord Sesshomaru, I no longerhave time to dally with you.\Yourpower...\Every bit of yourdemon power...\shall be wholly consumed by me. response:	L-Lord Sesshomaru!
context: He's coming.\That Kagura... She must have failed.\Naraku, you seem preoccupied with what's beyond the castle walls.\Lord Sesshomaru, I no longerhave time to dally with you.\Yourpower...\Every bit of yourdemon power...\shall be wholly consumed by me.\L-Lord Sesshomaru! response:	T-This is terrible! Lord Sesshomaru!
context: That Kagura... She must have failed.\Naraku, you seem preoccupied with what's beyond the castle walls.\Lord Sesshomaru, I no longerhave time to dally with you.\Yourpower...\Every bit of yourdemon power...\shall be wholly consumed by me.\L-Lord Sesshomaru!\T-This is terrible! Lord Sesshomaru! response:	Staff ofTwo Heads...!
context: Naraku, you seem preoccupied with what's beyond the castle walls.\Lord Sesshomaru, I no longerhave time to dally with you.\Yourpower...\Every bit of yourdemon power...\shall be wholly consumed by me.\L-Lord Sesshomaru!\T-This is terrible! Lord Sesshomaru!\Staff ofTwo Heads...! response:	Huh?! Why is this happening?!
context: Lord Sesshomaru, I no longerhave time to dally with you.\Yourpower...\Every bit of yourdemon power...\shall be wholly consumed by me.\L-Lord Sesshomaru!\T-This is terrible! Lord Sesshomaru!\Staff ofTwo Heads...!\Huh?! Why is this happening?! response:	S-Stop!
context: Yourpower...\Every bit of yourdemon power...\shall be wholly consumed by me.\L-Lord Sesshomaru!\T-This is terrible! Lord Sesshomaru!\Staff ofTwo Heads...!\Huh?! Why is this happening?!\S-Stop! response:	Will he be all right?
context: Every bit of yourdemon power...\shall be wholly consumed by me.\L-Lord Sesshomaru!\T-This is terrible! Lord Sesshomaru!\Staff ofTwo Heads...!\Huh?! Why is this happening?!\S-Stop!\Will he be all right? response:	This can't be happening!
context: shall be wholly consumed by me.\L-Lord Sesshomaru!\T-This is terrible! Lord Sesshomaru!\Staff ofTwo Heads...!\Huh?! Why is this happening?!\S-Stop!\Will he be all right?\This can't be happening! response:	Lord Sesshomaru has been!
context: L-Lord Sesshomaru!\T-This is terrible! Lord Sesshomaru!\Staff ofTwo Heads...!\Huh?! Why is this happening?!\S-Stop!\Will he be all right?\This can't be happening!\Lord Sesshomaru has been! response:	Lord Sesshomaru...
context: T-This is terrible! Lord Sesshomaru!\Staff ofTwo Heads...!\Huh?! Why is this happening?!\S-Stop!\Will he be all right?\This can't be happening!\Lord Sesshomaru has been!\Lord Sesshomaru... response:	I've finally obtained the powers of a full-fledged demon!
context: Staff ofTwo Heads...!\Huh?! Why is this happening?!\S-Stop!\Will he be all right?\This can't be happening!\Lord Sesshomaru has been!\Lord Sesshomaru...\I've finally obtained the powers of a full-fledged demon! response:	Naraku!
context: Huh?! Why is this happening?!\S-Stop!\Will he be all right?\This can't be happening!\Lord Sesshomaru has been!\Lord Sesshomaru...\I've finally obtained the powers of a full-fledged demon!\Naraku! response:	Is that yourtrue form?!
context: S-Stop!\Will he be all right?\This can't be happening!\Lord Sesshomaru has been!\Lord Sesshomaru...\I've finally obtained the powers of a full-fledged demon!\Naraku!\Is that yourtrue form?! response:	Inuyasha!
context: Will he be all right?\This can't be happening!\Lord Sesshomaru has been!\Lord Sesshomaru...\I've finally obtained the powers of a full-fledged demon!\Naraku!\Is that yourtrue form?!\Inuyasha! response:	Take this! Wind Scar!
context: This can't be happening!\Lord Sesshomaru has been!\Lord Sesshomaru...\I've finally obtained the powers of a full-fledged demon!\Naraku!\Is that yourtrue form?!\Inuyasha!\Take this! Wind Scar! response:	I think not!
context: Lord Sesshomaru has been!\Lord Sesshomaru...\I've finally obtained the powers of a full-fledged demon!\Naraku!\Is that yourtrue form?!\Inuyasha!\Take this! Wind Scar!\I think not! response:	My barrier!?
context: Lord Sesshomaru...\I've finally obtained the powers of a full-fledged demon!\Naraku!\Is that yourtrue form?!\Inuyasha!\Take this! Wind Scar!\I think not!\My barrier!? response:	I've found you, Naraku!
context: I've finally obtained the powers of a full-fledged demon!\Naraku!\Is that yourtrue form?!\Inuyasha!\Take this! Wind Scar!\I think not!\My barrier!?\I've found you, Naraku! response:	Today, I shall kill you!
context: Naraku!\Is that yourtrue form?!\Inuyasha!\Take this! Wind Scar!\I think not!\My barrier!?\I've found you, Naraku!\Today, I shall kill you! response:	Hmph! Don't make me laugh!
context: Is that yourtrue form?!\Inuyasha!\Take this! Wind Scar!\I think not!\My barrier!?\I've found you, Naraku!\Today, I shall kill you!\Hmph! Don't make me laugh! response:	Kill me, you say?
context: Inuyasha!\Take this! Wind Scar!\I think not!\My barrier!?\I've found you, Naraku!\Today, I shall kill you!\Hmph! Don't make me laugh!\Kill me, you say? response:	Yes! Right now, Inuyasha can defeat Naraku.
context: Take this! Wind Scar!\I think not!\My barrier!?\I've found you, Naraku!\Today, I shall kill you!\Hmph! Don't make me laugh!\Kill me, you say?\Yes! Right now, Inuyasha can defeat Naraku. response:	Huh?
context: I think not!\My barrier!?\I've found you, Naraku!\Today, I shall kill you!\Hmph! Don't make me laugh!\Kill me, you say?\Yes! Right now, Inuyasha can defeat Naraku.\Huh? response:	That's!
context: My barrier!?\I've found you, Naraku!\Today, I shall kill you!\Hmph! Don't make me laugh!\Kill me, you say?\Yes! Right now, Inuyasha can defeat Naraku.\Huh?\That's! response:	So Naraku has already engulfed Sesshomaru's body.
context: I've found you, Naraku!\Today, I shall kill you!\Hmph! Don't make me laugh!\Kill me, you say?\Yes! Right now, Inuyasha can defeat Naraku.\Huh?\That's!\So Naraku has already engulfed Sesshomaru's body. response:	That means...
context: Today, I shall kill you!\Hmph! Don't make me laugh!\Kill me, you say?\Yes! Right now, Inuyasha can defeat Naraku.\Huh?\That's!\So Naraku has already engulfed Sesshomaru's body.\That means... response:	Naraku must be destroyed before
context: Hmph! Don't make me laugh!\Kill me, you say?\Yes! Right now, Inuyasha can defeat Naraku.\Huh?\That's!\So Naraku has already engulfed Sesshomaru's body.\That means...\Naraku must be destroyed before response:	he has a chance to absorb the demon power.
context: Kill me, you say?\Yes! Right now, Inuyasha can defeat Naraku.\Huh?\That's!\So Naraku has already engulfed Sesshomaru's body.\That means...\Naraku must be destroyed before\he has a chance to absorb the demon power. response:	It'll be too late once Naraku totally absorbs it, Inuyasha!
context: Yes! Right now, Inuyasha can defeat Naraku.\Huh?\That's!\So Naraku has already engulfed Sesshomaru's body.\That means...\Naraku must be destroyed before\he has a chance to absorb the demon power.\It'll be too late once Naraku totally absorbs it, Inuyasha! response:	I miscalculated.
context: Huh?\That's!\So Naraku has already engulfed Sesshomaru's body.\That means...\Naraku must be destroyed before\he has a chance to absorb the demon power.\It'll be too late once Naraku totally absorbs it, Inuyasha!\I miscalculated. response:	I did not expect Inuyasha to come this far.
context: That's!\So Naraku has already engulfed Sesshomaru's body.\That means...\Naraku must be destroyed before\he has a chance to absorb the demon power.\It'll be too late once Naraku totally absorbs it, Inuyasha!\I miscalculated.\I did not expect Inuyasha to come this far. response:	Inuyasha!
context: So Naraku has already engulfed Sesshomaru's body.\That means...\Naraku must be destroyed before\he has a chance to absorb the demon power.\It'll be too late once Naraku totally absorbs it, Inuyasha!\I miscalculated.\I did not expect Inuyasha to come this far.\Inuyasha! response:	So you're able to break through my barrier.
context: That means...\Naraku must be destroyed before\he has a chance to absorb the demon power.\It'll be too late once Naraku totally absorbs it, Inuyasha!\I miscalculated.\I did not expect Inuyasha to come this far.\Inuyasha!\So you're able to break through my barrier. response:	Naraku, you bastard!
context: Naraku must be destroyed before\he has a chance to absorb the demon power.\It'll be too late once Naraku totally absorbs it, Inuyasha!\I miscalculated.\I did not expect Inuyasha to come this far.\Inuyasha!\So you're able to break through my barrier.\Naraku, you bastard! response:	You won't get away this time!
context: he has a chance to absorb the demon power.\It'll be too late once Naraku totally absorbs it, Inuyasha!\I miscalculated.\I did not expect Inuyasha to come this far.\Inuyasha!\So you're able to break through my barrier.\Naraku, you bastard!\You won't get away this time! response:	Prepare to die!
context: It'll be too late once Naraku totally absorbs it, Inuyasha!\I miscalculated.\I did not expect Inuyasha to come this far.\Inuyasha!\So you're able to break through my barrier.\Naraku, you bastard!\You won't get away this time!\Prepare to die! response:	You seem to have become a bit stronger.
context: I miscalculated.\I did not expect Inuyasha to come this far.\Inuyasha!\So you're able to break through my barrier.\Naraku, you bastard!\You won't get away this time!\Prepare to die!\You seem to have become a bit stronger. response:	But you're still no match forme.
context: I did not expect Inuyasha to come this far.\Inuyasha!\So you're able to break through my barrier.\Naraku, you bastard!\You won't get away this time!\Prepare to die!\You seem to have become a bit stronger.\But you're still no match forme. response:	Take this!
context: Inuyasha!\So you're able to break through my barrier.\Naraku, you bastard!\You won't get away this time!\Prepare to die!\You seem to have become a bit stronger.\But you're still no match forme.\Take this! response:	No problem!
context: So you're able to break through my barrier.\Naraku, you bastard!\You won't get away this time!\Prepare to die!\You seem to have become a bit stronger.\But you're still no match forme.\Take this!\No problem! response:	I'm not done yet!
context: Naraku, you bastard!\You won't get away this time!\Prepare to die!\You seem to have become a bit stronger.\But you're still no match forme.\Take this!\No problem!\I'm not done yet! response:	Why you...!
context: You won't get away this time!\Prepare to die!\You seem to have become a bit stronger.\But you're still no match forme.\Take this!\No problem!\I'm not done yet!\Why you...! response:	Naraku!
context: Prepare to die!\You seem to have become a bit stronger.\But you're still no match forme.\Take this!\No problem!\I'm not done yet!\Why you...!\Naraku! response:	W-What?!
context: You seem to have become a bit stronger.\But you're still no match forme.\Take this!\No problem!\I'm not done yet!\Why you...!\Naraku!\W-What?! response:	What's this?
context: But you're still no match forme.\Take this!\No problem!\I'm not done yet!\Why you...!\Naraku!\W-What?!\What's this? response:	I'll engulf you, just like I did Sesshomaru.
context: Take this!\No problem!\I'm not done yet!\Why you...!\Naraku!\W-What?!\What's this?\I'll engulf you, just like I did Sesshomaru. response:	W-What?!
context: No problem!\I'm not done yet!\Why you...!\Naraku!\W-What?!\What's this?\I'll engulf you, just like I did Sesshomaru.\W-What?! response:	Sesshomaru?
context: I'm not done yet!\Why you...!\Naraku!\W-What?!\What's this?\I'll engulf you, just like I did Sesshomaru.\W-What?!\Sesshomaru? response:	Naraku's still too much forhim.
context: Why you...!\Naraku!\W-What?!\What's this?\I'll engulf you, just like I did Sesshomaru.\W-What?!\Sesshomaru?\Naraku's still too much forhim. response:	You're too late, Inuyasha.
context: Naraku!\W-What?!\What's this?\I'll engulf you, just like I did Sesshomaru.\W-What?!\Sesshomaru?\Naraku's still too much forhim.\You're too late, Inuyasha. response:	Sesshomaru is already part of my flesh.
context: W-What?!\What's this?\I'll engulf you, just like I did Sesshomaru.\W-What?!\Sesshomaru?\Naraku's still too much forhim.\You're too late, Inuyasha.\Sesshomaru is already part of my flesh. response:	I don't know whatgood your half-demon powerwill do.
context: What's this?\I'll engulf you, just like I did Sesshomaru.\W-What?!\Sesshomaru?\Naraku's still too much forhim.\You're too late, Inuyasha.\Sesshomaru is already part of my flesh.\I don't know whatgood your half-demon powerwill do. response:	But I'll absorb you into me as well.
context: I'll engulf you, just like I did Sesshomaru.\W-What?!\Sesshomaru?\Naraku's still too much forhim.\You're too late, Inuyasha.\Sesshomaru is already part of my flesh.\I don't know whatgood your half-demon powerwill do.\But I'll absorb you into me as well. response:	Don't put me in the same class as that Sesshomaru!
context: W-What?!\Sesshomaru?\Naraku's still too much forhim.\You're too late, Inuyasha.\Sesshomaru is already part of my flesh.\I don't know whatgood your half-demon powerwill do.\But I'll absorb you into me as well.\Don't put me in the same class as that Sesshomaru! response:	Wha...!
context: Sesshomaru?\Naraku's still too much forhim.\You're too late, Inuyasha.\Sesshomaru is already part of my flesh.\I don't know whatgood your half-demon powerwill do.\But I'll absorb you into me as well.\Don't put me in the same class as that Sesshomaru!\Wha...! response:	This is it! No mercy!
context: Naraku's still too much forhim.\You're too late, Inuyasha.\Sesshomaru is already part of my flesh.\I don't know whatgood your half-demon powerwill do.\But I'll absorb you into me as well.\Don't put me in the same class as that Sesshomaru!\Wha...!\This is it! No mercy! response:	Take this!
context: You're too late, Inuyasha.\Sesshomaru is already part of my flesh.\I don't know whatgood your half-demon powerwill do.\But I'll absorb you into me as well.\Don't put me in the same class as that Sesshomaru!\Wha...!\This is it! No mercy!\Take this! response:	What?!
context: Sesshomaru is already part of my flesh.\I don't know whatgood your half-demon powerwill do.\But I'll absorb you into me as well.\Don't put me in the same class as that Sesshomaru!\Wha...!\This is it! No mercy!\Take this!\What?! response:	Lord Sesshomaru!
context: I don't know whatgood your half-demon powerwill do.\But I'll absorb you into me as well.\Don't put me in the same class as that Sesshomaru!\Wha...!\This is it! No mercy!\Take this!\What?!\Lord Sesshomaru! response:	Sesshomaru!
context: But I'll absorb you into me as well.\Don't put me in the same class as that Sesshomaru!\Wha...!\This is it! No mercy!\Take this!\What?!\Lord Sesshomaru!\Sesshomaru! response:	Huh?!
context: Don't put me in the same class as that Sesshomaru!\Wha...!\This is it! No mercy!\Take this!\What?!\Lord Sesshomaru!\Sesshomaru!\Huh?! response:	Lord Sesshomaru!
context: Wha...!\This is it! No mercy!\Take this!\What?!\Lord Sesshomaru!\Sesshomaru!\Huh?!\Lord Sesshomaru! response:	Naraku...
context: This is it! No mercy!\Take this!\What?!\Lord Sesshomaru!\Sesshomaru!\Huh?!\Lord Sesshomaru!\Naraku... response:	Such irony.
context: Take this!\What?!\Lord Sesshomaru!\Sesshomaru!\Huh?!\Lord Sesshomaru!\Naraku...\Such irony. response:	That the flesh which bound me
context: What?!\Lord Sesshomaru!\Sesshomaru!\Huh?!\Lord Sesshomaru!\Naraku...\Such irony.\That the flesh which bound me response:	would shield me against Inuyasha's Wind Scar.
context: Lord Sesshomaru!\Sesshomaru!\Huh?!\Lord Sesshomaru!\Naraku...\Such irony.\That the flesh which bound me\would shield me against Inuyasha's Wind Scar. response:	Move! Naraku's mine!
context: Sesshomaru!\Huh?!\Lord Sesshomaru!\Naraku...\Such irony.\That the flesh which bound me\would shield me against Inuyasha's Wind Scar.\Move! Naraku's mine! response:	No, he is my prey.
context: Huh?!\Lord Sesshomaru!\Naraku...\Such irony.\That the flesh which bound me\would shield me against Inuyasha's Wind Scar.\Move! Naraku's mine!\No, he is my prey. response:	I shall absorb the both of you!
context: Lord Sesshomaru!\Naraku...\Such irony.\That the flesh which bound me\would shield me against Inuyasha's Wind Scar.\Move! Naraku's mine!\No, he is my prey.\I shall absorb the both of you! response:	What?!
context: Naraku...\Such irony.\That the flesh which bound me\would shield me against Inuyasha's Wind Scar.\Move! Naraku's mine!\No, he is my prey.\I shall absorb the both of you!\What?! response:	Die!
context: Such irony.\That the flesh which bound me\would shield me against Inuyasha's Wind Scar.\Move! Naraku's mine!\No, he is my prey.\I shall absorb the both of you!\What?!\Die! response:	You won't be able to escape my attacks forever.
context: That the flesh which bound me\would shield me against Inuyasha's Wind Scar.\Move! Naraku's mine!\No, he is my prey.\I shall absorb the both of you!\What?!\Die!\You won't be able to escape my attacks forever. response:	You're one persistent bastard!
context: would shield me against Inuyasha's Wind Scar.\Move! Naraku's mine!\No, he is my prey.\I shall absorb the both of you!\What?!\Die!\You won't be able to escape my attacks forever.\You're one persistent bastard! response:	Take this and... die!
context: Move! Naraku's mine!\No, he is my prey.\I shall absorb the both of you!\What?!\Die!\You won't be able to escape my attacks forever.\You're one persistent bastard!\Take this and... die! response:	What?!
context: No, he is my prey.\I shall absorb the both of you!\What?!\Die!\You won't be able to escape my attacks forever.\You're one persistent bastard!\Take this and... die!\What?! response:	Finishing blow!
context: I shall absorb the both of you!\What?!\Die!\You won't be able to escape my attacks forever.\You're one persistent bastard!\Take this and... die!\What?!\Finishing blow! response:	I said he's mine!
context: What?!\Die!\You won't be able to escape my attacks forever.\You're one persistent bastard!\Take this and... die!\What?!\Finishing blow!\I said he's mine! response:	What?!
context: Die!\You won't be able to escape my attacks forever.\You're one persistent bastard!\Take this and... die!\What?!\Finishing blow!\I said he's mine!\What?! response:	A miasma!
context: You won't be able to escape my attacks forever.\You're one persistent bastard!\Take this and... die!\What?!\Finishing blow!\I said he's mine!\What?!\A miasma! response:	Lord Sesshomaru. I shall retreat tonight.
context: You're one persistent bastard!\Take this and... die!\What?!\Finishing blow!\I said he's mine!\What?!\A miasma!\Lord Sesshomaru. I shall retreat tonight. response:	Fool!
context: Take this and... die!\What?!\Finishing blow!\I said he's mine!\What?!\A miasma!\Lord Sesshomaru. I shall retreat tonight.\Fool! response:	Don't think you can escape from me!
context: What?!\Finishing blow!\I said he's mine!\What?!\A miasma!\Lord Sesshomaru. I shall retreat tonight.\Fool!\Don't think you can escape from me! response:	Lord Sesshomaru...
context: Finishing blow!\I said he's mine!\What?!\A miasma!\Lord Sesshomaru. I shall retreat tonight.\Fool!\Don't think you can escape from me!\Lord Sesshomaru... response:	Instead of transforming and coming after me,
context: I said he's mine!\What?!\A miasma!\Lord Sesshomaru. I shall retreat tonight.\Fool!\Don't think you can escape from me!\Lord Sesshomaru...\Instead of transforming and coming after me, response:	you should hurry to yourlittle girl companion.
context: What?!\A miasma!\Lord Sesshomaru. I shall retreat tonight.\Fool!\Don't think you can escape from me!\Lord Sesshomaru...\Instead of transforming and coming after me,\you should hurry to yourlittle girl companion. response:	Kohaku?
context: A miasma!\Lord Sesshomaru. I shall retreat tonight.\Fool!\Don't think you can escape from me!\Lord Sesshomaru...\Instead of transforming and coming after me,\you should hurry to yourlittle girl companion.\Kohaku? response:	What's the matter?
context: Lord Sesshomaru. I shall retreat tonight.\Fool!\Don't think you can escape from me!\Lord Sesshomaru...\Instead of transforming and coming after me,\you should hurry to yourlittle girl companion.\Kohaku?\What's the matter? response:	Girl companion? What's he talking about?
context: Fool!\Don't think you can escape from me!\Lord Sesshomaru...\Instead of transforming and coming after me,\you should hurry to yourlittle girl companion.\Kohaku?\What's the matter?\Girl companion? What's he talking about? response:	Rin is currently with one named Kohaku.
context: Don't think you can escape from me!\Lord Sesshomaru...\Instead of transforming and coming after me,\you should hurry to yourlittle girl companion.\Kohaku?\What's the matter?\Girl companion? What's he talking about?\Rin is currently with one named Kohaku. response:	Kohaku?!
context: Lord Sesshomaru...\Instead of transforming and coming after me,\you should hurry to yourlittle girl companion.\Kohaku?\What's the matter?\Girl companion? What's he talking about?\Rin is currently with one named Kohaku.\Kohaku?! response:	Inuyasha, you should know what that means.
context: Instead of transforming and coming after me,\you should hurry to yourlittle girl companion.\Kohaku?\What's the matter?\Girl companion? What's he talking about?\Rin is currently with one named Kohaku.\Kohaku?!\Inuyasha, you should know what that means. response:	Kohaku...
context: you should hurry to yourlittle girl companion.\Kohaku?\What's the matter?\Girl companion? What's he talking about?\Rin is currently with one named Kohaku.\Kohaku?!\Inuyasha, you should know what that means.\Kohaku... response:	Sesshomaru's full-fledged demon power...
context: Kohaku?\What's the matter?\Girl companion? What's he talking about?\Rin is currently with one named Kohaku.\Kohaku?!\Inuyasha, you should know what that means.\Kohaku...\Sesshomaru's full-fledged demon power... response:	I was within grasp of it all!
context: What's the matter?\Girl companion? What's he talking about?\Rin is currently with one named Kohaku.\Kohaku?!\Inuyasha, you should know what that means.\Kohaku...\Sesshomaru's full-fledged demon power...\I was within grasp of it all! response:	But I miscalculated Inuyasha!
context: Girl companion? What's he talking about?\Rin is currently with one named Kohaku.\Kohaku?!\Inuyasha, you should know what that means.\Kohaku...\Sesshomaru's full-fledged demon power...\I was within grasp of it all!\But I miscalculated Inuyasha! response:	I didn't expect him to become this strong.
context: Rin is currently with one named Kohaku.\Kohaku?!\Inuyasha, you should know what that means.\Kohaku...\Sesshomaru's full-fledged demon power...\I was within grasp of it all!\But I miscalculated Inuyasha!\I didn't expect him to become this strong. response:	That Naraku... He's a tough one to deal with.
context: Kohaku?!\Inuyasha, you should know what that means.\Kohaku...\Sesshomaru's full-fledged demon power...\I was within grasp of it all!\But I miscalculated Inuyasha!\I didn't expect him to become this strong.\That Naraku... He's a tough one to deal with. response:	It's gone.
context: Inuyasha, you should know what that means.\Kohaku...\Sesshomaru's full-fledged demon power...\I was within grasp of it all!\But I miscalculated Inuyasha!\I didn't expect him to become this strong.\That Naraku... He's a tough one to deal with.\It's gone. response:	Every scent, every clue of Naraku is gone.
context: Kohaku...\Sesshomaru's full-fledged demon power...\I was within grasp of it all!\But I miscalculated Inuyasha!\I didn't expect him to become this strong.\That Naraku... He's a tough one to deal with.\It's gone.\Every scent, every clue of Naraku is gone. response:	Even though he's badly injured. Where could he have gone?
