context: Aw, damn it. response:	If we had won yesterday, we'd be in a match right now.
context: That guy is insane.\I think it was the captain.\The one that was the most interesting was their 10 though.\The captain, huh?\Well, you've got a point.\Sort of like the foundation that no one really notices?\Haikyu!!\Sawamura-san! response:	Daichi!
context: I think it was the captain.\The one that was the most interesting was their 10 though.\The captain, huh?\Well, you've got a point.\Sort of like the foundation that no one really notices?\Haikyu!!\Sawamura-san!\Daichi! response:	Daichi-san!
context: The one that was the most interesting was their 10 though.\The captain, huh?\Well, you've got a point.\Sort of like the foundation that no one really notices?\Haikyu!!\Sawamura-san!\Daichi!\Daichi-san! response:	Episode 17: The Battle Without Will Power
context: The captain, huh?\Well, you've got a point.\Sort of like the foundation that no one really notices?\Haikyu!!\Sawamura-san!\Daichi!\Daichi-san!\Episode 17: The Battle Without Will Power response:	What's going on?
context: Well, you've got a point.\Sort of like the foundation that no one really notices?\Haikyu!!\Sawamura-san!\Daichi!\Daichi-san!\Episode 17: The Battle Without Will Power\What's going on? response:	What's wrong?
context: Sort of like the foundation that no one really notices?\Haikyu!!\Sawamura-san!\Daichi!\Daichi-san!\Episode 17: The Battle Without Will Power\What's going on?\What's wrong? response:	He's on the ground.
context: Haikyu!!\Sawamura-san!\Daichi!\Daichi-san!\Episode 17: The Battle Without Will Power\What's going on?\What's wrong?\He's on the ground. response:	What's going on?
context: Sawamura-san!\Daichi!\Daichi-san!\Episode 17: The Battle Without Will Power\What's going on?\What's wrong?\He's on the ground.\What's going on? response:	They collided.
context: Daichi!\Daichi-san!\Episode 17: The Battle Without Will Power\What's going on?\What's wrong?\He's on the ground.\What's going on?\They collided. response:	Right after they returned that last ball,
context: Daichi-san!\Episode 17: The Battle Without Will Power\What's going on?\What's wrong?\He's on the ground.\What's going on?\They collided.\Right after they returned that last ball, response:	5, the bald guy, and the captain crashed into each other.
context: Episode 17: The Battle Without Will Power\What's going on?\What's wrong?\He's on the ground.\What's going on?\They collided.\Right after they returned that last ball,\5, the bald guy, and the captain crashed into each other. response:	It looked like he hit his head pretty hard.
context: What's going on?\What's wrong?\He's on the ground.\What's going on?\They collided.\Right after they returned that last ball,\5, the bald guy, and the captain crashed into each other.\It looked like he hit his head pretty hard. response:	Seriously?
context: What's wrong?\He's on the ground.\What's going on?\They collided.\Right after they returned that last ball,\5, the bald guy, and the captain crashed into each other.\It looked like he hit his head pretty hard.\Seriously? response:	Ow...
context: He's on the ground.\What's going on?\They collided.\Right after they returned that last ball,\5, the bald guy, and the captain crashed into each other.\It looked like he hit his head pretty hard.\Seriously?\Ow... response:	Where did you get hit?
context: What's going on?\They collided.\Right after they returned that last ball,\5, the bald guy, and the captain crashed into each other.\It looked like he hit his head pretty hard.\Seriously?\Ow...\Where did you get hit? response:	M-My face?
context: They collided.\Right after they returned that last ball,\5, the bald guy, and the captain crashed into each other.\It looked like he hit his head pretty hard.\Seriously?\Ow...\Where did you get hit?\M-My face? response:	Sawamura-kun, where are you right now?
context: Right after they returned that last ball,\5, the bald guy, and the captain crashed into each other.\It looked like he hit his head pretty hard.\Seriously?\Ow...\Where did you get hit?\M-My face?\Sawamura-kun, where are you right now? response:	Sendai City, in the gym.
context: 5, the bald guy, and the captain crashed into each other.\It looked like he hit his head pretty hard.\Seriously?\Ow...\Where did you get hit?\M-My face?\Sawamura-kun, where are you right now?\Sendai City, in the gym. response:	Who are we playing right now?
context: It looked like he hit his head pretty hard.\Seriously?\Ow...\Where did you get hit?\M-My face?\Sawamura-kun, where are you right now?\Sendai City, in the gym.\Who are we playing right now? response:	W-Wakunan.
context: Seriously?\Ow...\Where did you get hit?\M-My face?\Sawamura-kun, where are you right now?\Sendai City, in the gym.\Who are we playing right now?\W-Wakunan. response:	I'm fine!
context: Ow...\Where did you get hit?\M-My face?\Sawamura-kun, where are you right now?\Sendai City, in the gym.\Who are we playing right now?\W-Wakunan.\I'm fine! response:	But it appears that you hit your head,
context: Where did you get hit?\M-My face?\Sawamura-kun, where are you right now?\Sendai City, in the gym.\Who are we playing right now?\W-Wakunan.\I'm fine!\But it appears that you hit your head, response:	so please go to the infirmary.
context: M-My face?\Sawamura-kun, where are you right now?\Sendai City, in the gym.\Who are we playing right now?\W-Wakunan.\I'm fine!\But it appears that you hit your head,\so please go to the infirmary. response:	Right.
context: Sawamura-kun, where are you right now?\Sendai City, in the gym.\Who are we playing right now?\W-Wakunan.\I'm fine!\But it appears that you hit your head,\so please go to the infirmary.\Right. response:	Go have them confirm that you really are okay.
context: Sendai City, in the gym.\Who are we playing right now?\W-Wakunan.\I'm fine!\But it appears that you hit your head,\so please go to the infirmary.\Right.\Go have them confirm that you really are okay. response:	That's the quickest way for you to return to the match.
context: Who are we playing right now?\W-Wakunan.\I'm fine!\But it appears that you hit your head,\so please go to the infirmary.\Right.\Go have them confirm that you really are okay.\That's the quickest way for you to return to the match. response:	Yes, sir.
context: W-Wakunan.\I'm fine!\But it appears that you hit your head,\so please go to the infirmary.\Right.\Go have them confirm that you really are okay.\That's the quickest way for you to return to the match.\Yes, sir. response:	Blood...
context: I'm fine!\But it appears that you hit your head,\so please go to the infirmary.\Right.\Go have them confirm that you really are okay.\That's the quickest way for you to return to the match.\Yes, sir.\Blood... response:	Eh?
context: But it appears that you hit your head,\so please go to the infirmary.\Right.\Go have them confirm that you really are okay.\That's the quickest way for you to return to the match.\Yes, sir.\Blood...\Eh? response:	Did you cut your lip?
context: so please go to the infirmary.\Right.\Go have them confirm that you really are okay.\That's the quickest way for you to return to the match.\Yes, sir.\Blood...\Eh?\Did you cut your lip? response:	He doesn't seem to be dizzy.
context: Right.\Go have them confirm that you really are okay.\That's the quickest way for you to return to the match.\Yes, sir.\Blood...\Eh?\Did you cut your lip?\He doesn't seem to be dizzy. response:	A tooth?!
context: Go have them confirm that you really are okay.\That's the quickest way for you to return to the match.\Yes, sir.\Blood...\Eh?\Did you cut your lip?\He doesn't seem to be dizzy.\A tooth?! response:	There's a possibility their captain won't be playing any more this match.
context: That's the quickest way for you to return to the match.\Yes, sir.\Blood...\Eh?\Did you cut your lip?\He doesn't seem to be dizzy.\A tooth?!\There's a possibility their captain won't be playing any more this match. response:	Though that's the coach's decision.
context: Yes, sir.\Blood...\Eh?\Did you cut your lip?\He doesn't seem to be dizzy.\A tooth?!\There's a possibility their captain won't be playing any more this match.\Though that's the coach's decision. response:	It'd be scary if he had a concussion, though.
context: Blood...\Eh?\Did you cut your lip?\He doesn't seem to be dizzy.\A tooth?!\There's a possibility their captain won't be playing any more this match.\Though that's the coach's decision.\It'd be scary if he had a concussion, though. response:	Sensei, can I leave the rest to you?
context: Eh?\Did you cut your lip?\He doesn't seem to be dizzy.\A tooth?!\There's a possibility their captain won't be playing any more this match.\Though that's the coach's decision.\It'd be scary if he had a concussion, though.\Sensei, can I leave the rest to you? response:	D-Daichi-san...
context: Did you cut your lip?\He doesn't seem to be dizzy.\A tooth?!\There's a possibility their captain won't be playing any more this match.\Though that's the coach's decision.\It'd be scary if he had a concussion, though.\Sensei, can I leave the rest to you?\D-Daichi-san... response:	I'm sorry
context: He doesn't seem to be dizzy.\A tooth?!\There's a possibility their captain won't be playing any more this match.\Though that's the coach's decision.\It'd be scary if he had a concussion, though.\Sensei, can I leave the rest to you?\D-Daichi-san...\I'm sorry response:	Sorry, Tanaka.
context: A tooth?!\There's a possibility their captain won't be playing any more this match.\Though that's the coach's decision.\It'd be scary if he had a concussion, though.\Sensei, can I leave the rest to you?\D-Daichi-san...\I'm sorry\Sorry, Tanaka. response:	I saw you go in for the cover,
context: There's a possibility their captain won't be playing any more this match.\Though that's the coach's decision.\It'd be scary if he had a concussion, though.\Sensei, can I leave the rest to you?\D-Daichi-san...\I'm sorry\Sorry, Tanaka.\I saw you go in for the cover, response:	but my body moved on its own and went in there.
context: Though that's the coach's decision.\It'd be scary if he had a concussion, though.\Sensei, can I leave the rest to you?\D-Daichi-san...\I'm sorry\Sorry, Tanaka.\I saw you go in for the cover,\but my body moved on its own and went in there. response:	But look.
context: It'd be scary if he had a concussion, though.\Sensei, can I leave the rest to you?\D-Daichi-san...\I'm sorry\Sorry, Tanaka.\I saw you go in for the cover,\but my body moved on its own and went in there.\But look. response:	Because you got that ball over, we're now in the 20s.
context: Sensei, can I leave the rest to you?\D-Daichi-san...\I'm sorry\Sorry, Tanaka.\I saw you go in for the cover,\but my body moved on its own and went in there.\But look.\Because you got that ball over, we're now in the 20s. response:	Karasuno Wakunan
context: D-Daichi-san...\I'm sorry\Sorry, Tanaka.\I saw you go in for the cover,\but my body moved on its own and went in there.\But look.\Because you got that ball over, we're now in the 20s.\Karasuno Wakunan response:	Baldy from Karasuno usually displays a high level of mental toughness,
context: I'm sorry\Sorry, Tanaka.\I saw you go in for the cover,\but my body moved on its own and went in there.\But look.\Because you got that ball over, we're now in the 20s.\Karasuno Wakunan\Baldy from Karasuno usually displays a high level of mental toughness, response:	but he's used to being forced into a corner.
context: Sorry, Tanaka.\I saw you go in for the cover,\but my body moved on its own and went in there.\But look.\Because you got that ball over, we're now in the 20s.\Karasuno Wakunan\Baldy from Karasuno usually displays a high level of mental toughness,\but he's used to being forced into a corner. response:	I wonder what he'll be like now, since he broke their leader.
context: I saw you go in for the cover,\but my body moved on its own and went in there.\But look.\Because you got that ball over, we're now in the 20s.\Karasuno Wakunan\Baldy from Karasuno usually displays a high level of mental toughness,\but he's used to being forced into a corner.\I wonder what he'll be like now, since he broke their leader. response:	If they lose this match,
context: but my body moved on its own and went in there.\But look.\Because you got that ball over, we're now in the 20s.\Karasuno Wakunan\Baldy from Karasuno usually displays a high level of mental toughness,\but he's used to being forced into a corner.\I wonder what he'll be like now, since he broke their leader.\If they lose this match, response:	it'll probably be the captain's last.
context: But look.\Because you got that ball over, we're now in the 20s.\Karasuno Wakunan\Baldy from Karasuno usually displays a high level of mental toughness,\but he's used to being forced into a corner.\I wonder what he'll be like now, since he broke their leader.\If they lose this match,\it'll probably be the captain's last. response:	Sorry, Asahi. I'll be right back.
context: Because you got that ball over, we're now in the 20s.\Karasuno Wakunan\Baldy from Karasuno usually displays a high level of mental toughness,\but he's used to being forced into a corner.\I wonder what he'll be like now, since he broke their leader.\If they lose this match,\it'll probably be the captain's last.\Sorry, Asahi. I'll be right back. response:	Hold things down until then.
context: Karasuno Wakunan\Baldy from Karasuno usually displays a high level of mental toughness,\but he's used to being forced into a corner.\I wonder what he'll be like now, since he broke their leader.\If they lose this match,\it'll probably be the captain's last.\Sorry, Asahi. I'll be right back.\Hold things down until then. response:	I'm counting on you.
context: Baldy from Karasuno usually displays a high level of mental toughness,\but he's used to being forced into a corner.\I wonder what he'll be like now, since he broke their leader.\If they lose this match,\it'll probably be the captain's last.\Sorry, Asahi. I'll be right back.\Hold things down until then.\I'm counting on you. response:	Of course. Leave it to me.
context: but he's used to being forced into a corner.\I wonder what he'll be like now, since he broke their leader.\If they lose this match,\it'll probably be the captain's last.\Sorry, Asahi. I'll be right back.\Hold things down until then.\I'm counting on you.\Of course. Leave it to me. response:	He's walking on his own,
context: I wonder what he'll be like now, since he broke their leader.\If they lose this match,\it'll probably be the captain's last.\Sorry, Asahi. I'll be right back.\Hold things down until then.\I'm counting on you.\Of course. Leave it to me.\He's walking on his own, response:	so I think he'll be okay.
context: If they lose this match,\it'll probably be the captain's last.\Sorry, Asahi. I'll be right back.\Hold things down until then.\I'm counting on you.\Of course. Leave it to me.\He's walking on his own,\so I think he'll be okay. response:	But the problem is this match.
context: it'll probably be the captain's last.\Sorry, Asahi. I'll be right back.\Hold things down until then.\I'm counting on you.\Of course. Leave it to me.\He's walking on his own,\so I think he'll be okay.\But the problem is this match. response:	I wonder who's going to take charge in their head's place?
context: Sorry, Asahi. I'll be right back.\Hold things down until then.\I'm counting on you.\Of course. Leave it to me.\He's walking on his own,\so I think he'll be okay.\But the problem is this match.\I wonder who's going to take charge in their head's place? response:	The second setter, maybe?
context: Hold things down until then.\I'm counting on you.\Of course. Leave it to me.\He's walking on his own,\so I think he'll be okay.\But the problem is this match.\I wonder who's going to take charge in their head's place?\The second setter, maybe? response:	Unless there's someone who often practices in pairs,
context: I'm counting on you.\Of course. Leave it to me.\He's walking on his own,\so I think he'll be okay.\But the problem is this match.\I wonder who's going to take charge in their head's place?\The second setter, maybe?\Unless there's someone who often practices in pairs, response:	a setter who's skilled enough in both offense and defense to take on a wing spiker...
context: Of course. Leave it to me.\He's walking on his own,\so I think he'll be okay.\But the problem is this match.\I wonder who's going to take charge in their head's place?\The second setter, maybe?\Unless there's someone who often practices in pairs,\a setter who's skilled enough in both offense and defense to take on a wing spiker... response:	It'll be hard for someone to fill in.
context: He's walking on his own,\so I think he'll be okay.\But the problem is this match.\I wonder who's going to take charge in their head's place?\The second setter, maybe?\Unless there's someone who often practices in pairs,\a setter who's skilled enough in both offense and defense to take on a wing spiker...\It'll be hard for someone to fill in. response:	A wing spiker to take his place, huh?
context: so I think he'll be okay.\But the problem is this match.\I wonder who's going to take charge in their head's place?\The second setter, maybe?\Unless there's someone who often practices in pairs,\a setter who's skilled enough in both offense and defense to take on a wing spiker...\It'll be hard for someone to fill in.\A wing spiker to take his place, huh? response:	I'm not sure if Karasuno has one.
context: But the problem is this match.\I wonder who's going to take charge in their head's place?\The second setter, maybe?\Unless there's someone who often practices in pairs,\a setter who's skilled enough in both offense and defense to take on a wing spiker...\It'll be hard for someone to fill in.\A wing spiker to take his place, huh?\I'm not sure if Karasuno has one. response:	You're the only one we have.
context: I wonder who's going to take charge in their head's place?\The second setter, maybe?\Unless there's someone who often practices in pairs,\a setter who's skilled enough in both offense and defense to take on a wing spiker...\It'll be hard for someone to fill in.\A wing spiker to take his place, huh?\I'm not sure if Karasuno has one.\You're the only one we have. response:	We're counting on you.
context: The second setter, maybe?\Unless there's someone who often practices in pairs,\a setter who's skilled enough in both offense and defense to take on a wing spiker...\It'll be hard for someone to fill in.\A wing spiker to take his place, huh?\I'm not sure if Karasuno has one.\You're the only one we have.\We're counting on you. response:	Chikara! You've got this!
context: Unless there's someone who often practices in pairs,\a setter who's skilled enough in both offense and defense to take on a wing spiker...\It'll be hard for someone to fill in.\A wing spiker to take his place, huh?\I'm not sure if Karasuno has one.\You're the only one we have.\We're counting on you.\Chikara! You've got this! response:	He played in the practice match.
context: a setter who's skilled enough in both offense and defense to take on a wing spiker...\It'll be hard for someone to fill in.\A wing spiker to take his place, huh?\I'm not sure if Karasuno has one.\You're the only one we have.\We're counting on you.\Chikara! You've got this!\He played in the practice match. response:	What was he like again?
context: It'll be hard for someone to fill in.\A wing spiker to take his place, huh?\I'm not sure if Karasuno has one.\You're the only one we have.\We're counting on you.\Chikara! You've got this!\He played in the practice match.\What was he like again? response:	I don't really remember him.
context: A wing spiker to take his place, huh?\I'm not sure if Karasuno has one.\You're the only one we have.\We're counting on you.\Chikara! You've got this!\He played in the practice match.\What was he like again?\I don't really remember him. response:	Well, he seemed like a guy who can handle things well.
context: I'm not sure if Karasuno has one.\You're the only one we have.\We're counting on you.\Chikara! You've got this!\He played in the practice match.\What was he like again?\I don't really remember him.\Well, he seemed like a guy who can handle things well. response:	Karasuno doesn't have a lot of players,
context: You're the only one we have.\We're counting on you.\Chikara! You've got this!\He played in the practice match.\What was he like again?\I don't really remember him.\Well, he seemed like a guy who can handle things well.\Karasuno doesn't have a lot of players, response:	so they may just not have anyone else.
context: We're counting on you.\Chikara! You've got this!\He played in the practice match.\What was he like again?\I don't really remember him.\Well, he seemed like a guy who can handle things well.\Karasuno doesn't have a lot of players,\so they may just not have anyone else. response:	This is the same as a practice match...
context: Chikara! You've got this!\He played in the practice match.\What was he like again?\I don't really remember him.\Well, he seemed like a guy who can handle things well.\Karasuno doesn't have a lot of players,\so they may just not have anyone else.\This is the same as a practice match... response:	Same as a practice match...
context: He played in the practice match.\What was he like again?\I don't really remember him.\Well, he seemed like a guy who can handle things well.\Karasuno doesn't have a lot of players,\so they may just not have anyone else.\This is the same as a practice match...\Same as a practice match... response:	Same...
context: What was he like again?\I don't really remember him.\Well, he seemed like a guy who can handle things well.\Karasuno doesn't have a lot of players,\so they may just not have anyone else.\This is the same as a practice match...\Same as a practice match...\Same... response:	Well, go out there, and give it all you've got.
context: I don't really remember him.\Well, he seemed like a guy who can handle things well.\Karasuno doesn't have a lot of players,\so they may just not have anyone else.\This is the same as a practice match...\Same as a practice match...\Same...\Well, go out there, and give it all you've got. response:	This isn't the same!
context: Well, he seemed like a guy who can handle things well.\Karasuno doesn't have a lot of players,\so they may just not have anyone else.\This is the same as a practice match...\Same as a practice match...\Same...\Well, go out there, and give it all you've got.\This isn't the same! response:	Playing behind him and taking his place are completely different.
context: Karasuno doesn't have a lot of players,\so they may just not have anyone else.\This is the same as a practice match...\Same as a practice match...\Same...\Well, go out there, and give it all you've got.\This isn't the same!\Playing behind him and taking his place are completely different. response:	Oh, so it is you, Ennoshita-san.
context: so they may just not have anyone else.\This is the same as a practice match...\Same as a practice match...\Same...\Well, go out there, and give it all you've got.\This isn't the same!\Playing behind him and taking his place are completely different.\Oh, so it is you, Ennoshita-san. response:	Is it okay if we start with a fast attack?
context: This is the same as a practice match...\Same as a practice match...\Same...\Well, go out there, and give it all you've got.\This isn't the same!\Playing behind him and taking his place are completely different.\Oh, so it is you, Ennoshita-san.\Is it okay if we start with a fast attack? response:	Ah... Sure.
context: Same as a practice match...\Same...\Well, go out there, and give it all you've got.\This isn't the same!\Playing behind him and taking his place are completely different.\Oh, so it is you, Ennoshita-san.\Is it okay if we start with a fast attack?\Ah... Sure. response:	Chikara! Their 1 tends to hit toward the outside,
context: Same...\Well, go out there, and give it all you've got.\This isn't the same!\Playing behind him and taking his place are completely different.\Oh, so it is you, Ennoshita-san.\Is it okay if we start with a fast attack?\Ah... Sure.\Chikara! Their 1 tends to hit toward the outside, response:	so keep that in your head.
context: Well, go out there, and give it all you've got.\This isn't the same!\Playing behind him and taking his place are completely different.\Oh, so it is you, Ennoshita-san.\Is it okay if we start with a fast attack?\Ah... Sure.\Chikara! Their 1 tends to hit toward the outside,\so keep that in your head. response:	R-Right...
context: This isn't the same!\Playing behind him and taking his place are completely different.\Oh, so it is you, Ennoshita-san.\Is it okay if we start with a fast attack?\Ah... Sure.\Chikara! Their 1 tends to hit toward the outside,\so keep that in your head.\R-Right... response:	Ennoshita-san, you've got this!
context: Playing behind him and taking his place are completely different.\Oh, so it is you, Ennoshita-san.\Is it okay if we start with a fast attack?\Ah... Sure.\Chikara! Their 1 tends to hit toward the outside,\so keep that in your head.\R-Right...\Ennoshita-san, you've got this! response:	Ennoshita, you have every right to be worried.
context: Oh, so it is you, Ennoshita-san.\Is it okay if we start with a fast attack?\Ah... Sure.\Chikara! Their 1 tends to hit toward the outside,\so keep that in your head.\R-Right...\Ennoshita-san, you've got this!\Ennoshita, you have every right to be worried. response:	Let's do this!
context: Is it okay if we start with a fast attack?\Ah... Sure.\Chikara! Their 1 tends to hit toward the outside,\so keep that in your head.\R-Right...\Ennoshita-san, you've got this!\Ennoshita, you have every right to be worried.\Let's do this! response:	But if anyone has to replace Daichi,
context: Ah... Sure.\Chikara! Their 1 tends to hit toward the outside,\so keep that in your head.\R-Right...\Ennoshita-san, you've got this!\Ennoshita, you have every right to be worried.\Let's do this!\But if anyone has to replace Daichi, response:	You can do it!
context: Chikara! Their 1 tends to hit toward the outside,\so keep that in your head.\R-Right...\Ennoshita-san, you've got this!\Ennoshita, you have every right to be worried.\Let's do this!\But if anyone has to replace Daichi,\You can do it! response:	everyone on our team thinks it should be you.
context: so keep that in your head.\R-Right...\Ennoshita-san, you've got this!\Ennoshita, you have every right to be worried.\Let's do this!\But if anyone has to replace Daichi,\You can do it!\everyone on our team thinks it should be you. response:	Ennoshita, sorry. We're counting on you.
context: R-Right...\Ennoshita-san, you've got this!\Ennoshita, you have every right to be worried.\Let's do this!\But if anyone has to replace Daichi,\You can do it!\everyone on our team thinks it should be you.\Ennoshita, sorry. We're counting on you. response:	Fly
context: Ennoshita-san, you've got this!\Ennoshita, you have every right to be worried.\Let's do this!\But if anyone has to replace Daichi,\You can do it!\everyone on our team thinks it should be you.\Ennoshita, sorry. We're counting on you.\Fly response:	What do you mean, sorry?
context: Ennoshita, you have every right to be worried.\Let's do this!\But if anyone has to replace Daichi,\You can do it!\everyone on our team thinks it should be you.\Ennoshita, sorry. We're counting on you.\Fly\What do you mean, sorry? response:	About running into Daichi-san?
context: Let's do this!\But if anyone has to replace Daichi,\You can do it!\everyone on our team thinks it should be you.\Ennoshita, sorry. We're counting on you.\Fly\What do you mean, sorry?\About running into Daichi-san? response:	Of course one of you got hurt after something like that.
context: But if anyone has to replace Daichi,\You can do it!\everyone on our team thinks it should be you.\Ennoshita, sorry. We're counting on you.\Fly\What do you mean, sorry?\About running into Daichi-san?\Of course one of you got hurt after something like that. response:	In the end, maybe it may cause Daichi-san to leave the match,
context: You can do it!\everyone on our team thinks it should be you.\Ennoshita, sorry. We're counting on you.\Fly\What do you mean, sorry?\About running into Daichi-san?\Of course one of you got hurt after something like that.\In the end, maybe it may cause Daichi-san to leave the match, response:	but what's on our minds right now...
context: everyone on our team thinks it should be you.\Ennoshita, sorry. We're counting on you.\Fly\What do you mean, sorry?\About running into Daichi-san?\Of course one of you got hurt after something like that.\In the end, maybe it may cause Daichi-san to leave the match,\but what's on our minds right now... response:	Asahi-san, if you would.
context: Ennoshita, sorry. We're counting on you.\Fly\What do you mean, sorry?\About running into Daichi-san?\Of course one of you got hurt after something like that.\In the end, maybe it may cause Daichi-san to leave the match,\but what's on our minds right now...\Asahi-san, if you would. response:	Right, right. Come on, come on.
context: Fly\What do you mean, sorry?\About running into Daichi-san?\Of course one of you got hurt after something like that.\In the end, maybe it may cause Daichi-san to leave the match,\but what's on our minds right now...\Asahi-san, if you would.\Right, right. Come on, come on. response:	Our offense is already weakened just by having Daichi-san out.
context: What do you mean, sorry?\About running into Daichi-san?\Of course one of you got hurt after something like that.\In the end, maybe it may cause Daichi-san to leave the match,\but what's on our minds right now...\Asahi-san, if you would.\Right, right. Come on, come on.\Our offense is already weakened just by having Daichi-san out. response:	If you get depressed, it'll just make things worse.
context: About running into Daichi-san?\Of course one of you got hurt after something like that.\In the end, maybe it may cause Daichi-san to leave the match,\but what's on our minds right now...\Asahi-san, if you would.\Right, right. Come on, come on.\Our offense is already weakened just by having Daichi-san out.\If you get depressed, it'll just make things worse. response:	Wow, this is surprising.
context: Of course one of you got hurt after something like that.\In the end, maybe it may cause Daichi-san to leave the match,\but what's on our minds right now...\Asahi-san, if you would.\Right, right. Come on, come on.\Our offense is already weakened just by having Daichi-san out.\If you get depressed, it'll just make things worse.\Wow, this is surprising. response:	At first glance, Ennoshita seems like he'd be pretty timid.
context: In the end, maybe it may cause Daichi-san to leave the match,\but what's on our minds right now...\Asahi-san, if you would.\Right, right. Come on, come on.\Our offense is already weakened just by having Daichi-san out.\If you get depressed, it'll just make things worse.\Wow, this is surprising.\At first glance, Ennoshita seems like he'd be pretty timid. response:	No way!
context: but what's on our minds right now...\Asahi-san, if you would.\Right, right. Come on, come on.\Our offense is already weakened just by having Daichi-san out.\If you get depressed, it'll just make things worse.\Wow, this is surprising.\At first glance, Ennoshita seems like he'd be pretty timid.\No way! response:	Judging by how he is whenever he's over at our place,
context: Asahi-san, if you would.\Right, right. Come on, come on.\Our offense is already weakened just by having Daichi-san out.\If you get depressed, it'll just make things worse.\Wow, this is surprising.\At first glance, Ennoshita seems like he'd be pretty timid.\No way!\Judging by how he is whenever he's over at our place, response:	Chikara's definitely the don of the second-years.
context: Right, right. Come on, come on.\Our offense is already weakened just by having Daichi-san out.\If you get depressed, it'll just make things worse.\Wow, this is surprising.\At first glance, Ennoshita seems like he'd be pretty timid.\No way!\Judging by how he is whenever he's over at our place,\Chikara's definitely the don of the second-years. response:	He's the best wing spiker for managing
context: Our offense is already weakened just by having Daichi-san out.\If you get depressed, it'll just make things worse.\Wow, this is surprising.\At first glance, Ennoshita seems like he'd be pretty timid.\No way!\Judging by how he is whenever he's over at our place,\Chikara's definitely the don of the second-years.\He's the best wing spiker for managing response:	the out-of-control second-years who are the core of our offense.
context: If you get depressed, it'll just make things worse.\Wow, this is surprising.\At first glance, Ennoshita seems like he'd be pretty timid.\No way!\Judging by how he is whenever he's over at our place,\Chikara's definitely the don of the second-years.\He's the best wing spiker for managing\the out-of-control second-years who are the core of our offense. response:	And lately, his influence has spread to our first-year troublemakers, too.
context: Wow, this is surprising.\At first glance, Ennoshita seems like he'd be pretty timid.\No way!\Judging by how he is whenever he's over at our place,\Chikara's definitely the don of the second-years.\He's the best wing spiker for managing\the out-of-control second-years who are the core of our offense.\And lately, his influence has spread to our first-year troublemakers, too. response:	True...
context: At first glance, Ennoshita seems like he'd be pretty timid.\No way!\Judging by how he is whenever he's over at our place,\Chikara's definitely the don of the second-years.\He's the best wing spiker for managing\the out-of-control second-years who are the core of our offense.\And lately, his influence has spread to our first-year troublemakers, too.\True... response:	Ennoshita, nice serve!
