context: Good evening! response:	We come to you from the Order of the Crest! I'm Priestess Priscilla Farnese!
context: The same last name as the former pope. Is that the Farnese Crest?\No way, right?\I wish to support Lord Theo in his divine battle to subdue the Chaos.\Please leave now.\Company? Are you letting them in?\It's a priestess from the Order of the Crest.\But they appear to have many followers.\And I hear they go around healing wounds and illness. response:	Rumor has it that you've been trying to confiscate Crests.
context: No way, right?\I wish to support Lord Theo in his divine battle to subdue the Chaos.\Please leave now.\Company? Are you letting them in?\It's a priestess from the Order of the Crest.\But they appear to have many followers.\And I hear they go around healing wounds and illness.\Rumor has it that you've been trying to confiscate Crests. response:	A Crest is the manifestation of its Lord's will.
context: I wish to support Lord Theo in his divine battle to subdue the Chaos.\Please leave now.\Company? Are you letting them in?\It's a priestess from the Order of the Crest.\But they appear to have many followers.\And I hear they go around healing wounds and illness.\Rumor has it that you've been trying to confiscate Crests.\A Crest is the manifestation of its Lord's will. response:	Not something granted by this so-called god you created!
context: Please leave now.\Company? Are you letting them in?\It's a priestess from the Order of the Crest.\But they appear to have many followers.\And I hear they go around healing wounds and illness.\Rumor has it that you've been trying to confiscate Crests.\A Crest is the manifestation of its Lord's will.\Not something granted by this so-called god you created! response:	So you're a mage, I see!
context: Company? Are you letting them in?\It's a priestess from the Order of the Crest.\But they appear to have many followers.\And I hear they go around healing wounds and illness.\Rumor has it that you've been trying to confiscate Crests.\A Crest is the manifestation of its Lord's will.\Not something granted by this so-called god you created!\So you're a mage, I see! response:	A slave to the villainous demon who controls the Chaos!
context: It's a priestess from the Order of the Crest.\But they appear to have many followers.\And I hear they go around healing wounds and illness.\Rumor has it that you've been trying to confiscate Crests.\A Crest is the manifestation of its Lord's will.\Not something granted by this so-called god you created!\So you're a mage, I see!\A slave to the villainous demon who controls the Chaos! response:	It's far more villainous to manipulate human souls with your sketchy teachings!
context: But they appear to have many followers.\And I hear they go around healing wounds and illness.\Rumor has it that you've been trying to confiscate Crests.\A Crest is the manifestation of its Lord's will.\Not something granted by this so-called god you created!\So you're a mage, I see!\A slave to the villainous demon who controls the Chaos!\It's far more villainous to manipulate human souls with your sketchy teachings! response:	- Make yourselves - Oh, let them stay.
context: And I hear they go around healing wounds and illness.\Rumor has it that you've been trying to confiscate Crests.\A Crest is the manifestation of its Lord's will.\Not something granted by this so-called god you created!\So you're a mage, I see!\A slave to the villainous demon who controls the Chaos!\It's far more villainous to manipulate human souls with your sketchy teachings!\- Make yourselves - Oh, let them stay. response:	They take care of my people, too, after all.
context: Rumor has it that you've been trying to confiscate Crests.\A Crest is the manifestation of its Lord's will.\Not something granted by this so-called god you created!\So you're a mage, I see!\A slave to the villainous demon who controls the Chaos!\It's far more villainous to manipulate human souls with your sketchy teachings!\- Make yourselves - Oh, let them stay.\They take care of my people, too, after all. response:	Lord Theo!
context: A Crest is the manifestation of its Lord's will.\Not something granted by this so-called god you created!\So you're a mage, I see!\A slave to the villainous demon who controls the Chaos!\It's far more villainous to manipulate human souls with your sketchy teachings!\- Make yourselves - Oh, let them stay.\They take care of my people, too, after all.\Lord Theo! response:	So you're Lord Theo!
context: Not something granted by this so-called god you created!\So you're a mage, I see!\A slave to the villainous demon who controls the Chaos!\It's far more villainous to manipulate human souls with your sketchy teachings!\- Make yourselves - Oh, let them stay.\They take care of my people, too, after all.\Lord Theo!\So you're Lord Theo! response:	I'm Priscilla, a priestess of the Order of the Crest.
context: So you're a mage, I see!\A slave to the villainous demon who controls the Chaos!\It's far more villainous to manipulate human souls with your sketchy teachings!\- Make yourselves - Oh, let them stay.\They take care of my people, too, after all.\Lord Theo!\So you're Lord Theo!\I'm Priscilla, a priestess of the Order of the Crest. response:	I look forward to getting to know you!
context: A slave to the villainous demon who controls the Chaos!\It's far more villainous to manipulate human souls with your sketchy teachings!\- Make yourselves - Oh, let them stay.\They take care of my people, too, after all.\Lord Theo!\So you're Lord Theo!\I'm Priscilla, a priestess of the Order of the Crest.\I look forward to getting to know you! response:	Nice to meet you.
context: It's far more villainous to manipulate human souls with your sketchy teachings!\- Make yourselves - Oh, let them stay.\They take care of my people, too, after all.\Lord Theo!\So you're Lord Theo!\I'm Priscilla, a priestess of the Order of the Crest.\I look forward to getting to know you!\Nice to meet you. response:	That was a huge win for us today!
context: - Make yourselves - Oh, let them stay.\They take care of my people, too, after all.\Lord Theo!\So you're Lord Theo!\I'm Priscilla, a priestess of the Order of the Crest.\I look forward to getting to know you!\Nice to meet you.\That was a huge win for us today! response:	I'd say we've got the pick of the free Lords around here,
context: They take care of my people, too, after all.\Lord Theo!\So you're Lord Theo!\I'm Priscilla, a priestess of the Order of the Crest.\I look forward to getting to know you!\Nice to meet you.\That was a huge win for us today!\I'd say we've got the pick of the free Lords around here, response:	either to defeat or join our side!
context: Lord Theo!\So you're Lord Theo!\I'm Priscilla, a priestess of the Order of the Crest.\I look forward to getting to know you!\Nice to meet you.\That was a huge win for us today!\I'd say we've got the pick of the free Lords around here,\either to defeat or join our side! response:	Getting the local aristocrat, Sir Neyman, to submit to us was a real coup.
context: So you're Lord Theo!\I'm Priscilla, a priestess of the Order of the Crest.\I look forward to getting to know you!\Nice to meet you.\That was a huge win for us today!\I'd say we've got the pick of the free Lords around here,\either to defeat or join our side!\Getting the local aristocrat, Sir Neyman, to submit to us was a real coup. response:	Meaning that western Savis is now ours!
context: I'm Priscilla, a priestess of the Order of the Crest.\I look forward to getting to know you!\Nice to meet you.\That was a huge win for us today!\I'd say we've got the pick of the free Lords around here,\either to defeat or join our side!\Getting the local aristocrat, Sir Neyman, to submit to us was a real coup.\Meaning that western Savis is now ours! response:	It won't be long before you're crowned King of Savis, right?
context: I look forward to getting to know you!\Nice to meet you.\That was a huge win for us today!\I'd say we've got the pick of the free Lords around here,\either to defeat or join our side!\Getting the local aristocrat, Sir Neyman, to submit to us was a real coup.\Meaning that western Savis is now ours!\It won't be long before you're crowned King of Savis, right? response:	Lord Theo's goal is not to expand his territories.
context: Nice to meet you.\That was a huge win for us today!\I'd say we've got the pick of the free Lords around here,\either to defeat or join our side!\Getting the local aristocrat, Sir Neyman, to submit to us was a real coup.\Meaning that western Savis is now ours!\It won't be long before you're crowned King of Savis, right?\Lord Theo's goal is not to expand his territories. response:	- Huh? - Lord Theo is from Systina.
context: That was a huge win for us today!\I'd say we've got the pick of the free Lords around here,\either to defeat or join our side!\Getting the local aristocrat, Sir Neyman, to submit to us was a real coup.\Meaning that western Savis is now ours!\It won't be long before you're crowned King of Savis, right?\Lord Theo's goal is not to expand his territories.\- Huh? - Lord Theo is from Systina. response:	He strives to defeat Systina's Lord, Viscount Rossini, and to save his people.
context: I'd say we've got the pick of the free Lords around here,\either to defeat or join our side!\Getting the local aristocrat, Sir Neyman, to submit to us was a real coup.\Meaning that western Savis is now ours!\It won't be long before you're crowned King of Savis, right?\Lord Theo's goal is not to expand his territories.\- Huh? - Lord Theo is from Systina.\He strives to defeat Systina's Lord, Viscount Rossini, and to save his people. response:	But that island belongs to the Union.
context: either to defeat or join our side!\Getting the local aristocrat, Sir Neyman, to submit to us was a real coup.\Meaning that western Savis is now ours!\It won't be long before you're crowned King of Savis, right?\Lord Theo's goal is not to expand his territories.\- Huh? - Lord Theo is from Systina.\He strives to defeat Systina's Lord, Viscount Rossini, and to save his people.\But that island belongs to the Union. response:	If we take out Rossini, would that make it difficult to maintain status in the Union?
context: Getting the local aristocrat, Sir Neyman, to submit to us was a real coup.\Meaning that western Savis is now ours!\It won't be long before you're crowned King of Savis, right?\Lord Theo's goal is not to expand his territories.\- Huh? - Lord Theo is from Systina.\He strives to defeat Systina's Lord, Viscount Rossini, and to save his people.\But that island belongs to the Union.\If we take out Rossini, would that make it difficult to maintain status in the Union? response:	Yes.
context: Meaning that western Savis is now ours!\It won't be long before you're crowned King of Savis, right?\Lord Theo's goal is not to expand his territories.\- Huh? - Lord Theo is from Systina.\He strives to defeat Systina's Lord, Viscount Rossini, and to save his people.\But that island belongs to the Union.\If we take out Rossini, would that make it difficult to maintain status in the Union?\Yes. response:	For that reason, he'll first have to switch to the Alliance eventually.
context: It won't be long before you're crowned King of Savis, right?\Lord Theo's goal is not to expand his territories.\- Huh? - Lord Theo is from Systina.\He strives to defeat Systina's Lord, Viscount Rossini, and to save his people.\But that island belongs to the Union.\If we take out Rossini, would that make it difficult to maintain status in the Union?\Yes.\For that reason, he'll first have to switch to the Alliance eventually. response:	Afterwards, he'll make his return to Systina, and take on Viscount Rossini.
context: Lord Theo's goal is not to expand his territories.\- Huh? - Lord Theo is from Systina.\He strives to defeat Systina's Lord, Viscount Rossini, and to save his people.\But that island belongs to the Union.\If we take out Rossini, would that make it difficult to maintain status in the Union?\Yes.\For that reason, he'll first have to switch to the Alliance eventually.\Afterwards, he'll make his return to Systina, and take on Viscount Rossini. response:	That's the first I've heard of this plan.
context: - Huh? - Lord Theo is from Systina.\He strives to defeat Systina's Lord, Viscount Rossini, and to save his people.\But that island belongs to the Union.\If we take out Rossini, would that make it difficult to maintain status in the Union?\Yes.\For that reason, he'll first have to switch to the Alliance eventually.\Afterwards, he'll make his return to Systina, and take on Viscount Rossini.\That's the first I've heard of this plan. response:	Please forgive me.
context: He strives to defeat Systina's Lord, Viscount Rossini, and to save his people.\But that island belongs to the Union.\If we take out Rossini, would that make it difficult to maintain status in the Union?\Yes.\For that reason, he'll first have to switch to the Alliance eventually.\Afterwards, he'll make his return to Systina, and take on Viscount Rossini.\That's the first I've heard of this plan.\Please forgive me. response:	I was planning to propose it to you when the possibility became more realistic.
context: But that island belongs to the Union.\If we take out Rossini, would that make it difficult to maintain status in the Union?\Yes.\For that reason, he'll first have to switch to the Alliance eventually.\Afterwards, he'll make his return to Systina, and take on Viscount Rossini.\That's the first I've heard of this plan.\Please forgive me.\I was planning to propose it to you when the possibility became more realistic. response:	And now I have a recommendation for you, Lord Theo.
context: If we take out Rossini, would that make it difficult to maintain status in the Union?\Yes.\For that reason, he'll first have to switch to the Alliance eventually.\Afterwards, he'll make his return to Systina, and take on Viscount Rossini.\That's the first I've heard of this plan.\Please forgive me.\I was planning to propose it to you when the possibility became more realistic.\And now I have a recommendation for you, Lord Theo. response:	What is it?
context: Yes.\For that reason, he'll first have to switch to the Alliance eventually.\Afterwards, he'll make his return to Systina, and take on Viscount Rossini.\That's the first I've heard of this plan.\Please forgive me.\I was planning to propose it to you when the possibility became more realistic.\And now I have a recommendation for you, Lord Theo.\What is it? response:	Lord Theo, as you're a Baron now...
context: For that reason, he'll first have to switch to the Alliance eventually.\Afterwards, he'll make his return to Systina, and take on Viscount Rossini.\That's the first I've heard of this plan.\Please forgive me.\I was planning to propose it to you when the possibility became more realistic.\And now I have a recommendation for you, Lord Theo.\What is it?\Lord Theo, as you're a Baron now... response:	let's choose a family name for you.
context: Afterwards, he'll make his return to Systina, and take on Viscount Rossini.\That's the first I've heard of this plan.\Please forgive me.\I was planning to propose it to you when the possibility became more realistic.\And now I have a recommendation for you, Lord Theo.\What is it?\Lord Theo, as you're a Baron now...\let's choose a family name for you. response:	Family name?
context: That's the first I've heard of this plan.\Please forgive me.\I was planning to propose it to you when the possibility became more realistic.\And now I have a recommendation for you, Lord Theo.\What is it?\Lord Theo, as you're a Baron now...\let's choose a family name for you.\Family name? response:	Yes.
context: Please forgive me.\I was planning to propose it to you when the possibility became more realistic.\And now I have a recommendation for you, Lord Theo.\What is it?\Lord Theo, as you're a Baron now...\let's choose a family name for you.\Family name?\Yes. response:	From here on in, Lord Theo, I'd like you to call yourself Cornaro.
context: I was planning to propose it to you when the possibility became more realistic.\And now I have a recommendation for you, Lord Theo.\What is it?\Lord Theo, as you're a Baron now...\let's choose a family name for you.\Family name?\Yes.\From here on in, Lord Theo, I'd like you to call yourself Cornaro. response:	Cornaro?
context: And now I have a recommendation for you, Lord Theo.\What is it?\Lord Theo, as you're a Baron now...\let's choose a family name for you.\Family name?\Yes.\From here on in, Lord Theo, I'd like you to call yourself Cornaro.\Cornaro? response:	Who's this Cornaro?
context: What is it?\Lord Theo, as you're a Baron now...\let's choose a family name for you.\Family name?\Yes.\From here on in, Lord Theo, I'd like you to call yourself Cornaro.\Cornaro?\Who's this Cornaro? response:	It's the family name of a hero of Systina.
context: Lord Theo, as you're a Baron now...\let's choose a family name for you.\Family name?\Yes.\From here on in, Lord Theo, I'd like you to call yourself Cornaro.\Cornaro?\Who's this Cornaro?\It's the family name of a hero of Systina. response:	One who unified the island, and brought the magical borders under control,
context: let's choose a family name for you.\Family name?\Yes.\From here on in, Lord Theo, I'd like you to call yourself Cornaro.\Cornaro?\Who's this Cornaro?\It's the family name of a hero of Systina.\One who unified the island, and brought the magical borders under control, response:	only to be betrayed by the Rossinis, and struck down before completing his work.
context: Family name?\Yes.\From here on in, Lord Theo, I'd like you to call yourself Cornaro.\Cornaro?\Who's this Cornaro?\It's the family name of a hero of Systina.\One who unified the island, and brought the magical borders under control,\only to be betrayed by the Rossinis, and struck down before completing his work. response:	I see!
context: Yes.\From here on in, Lord Theo, I'd like you to call yourself Cornaro.\Cornaro?\Who's this Cornaro?\It's the family name of a hero of Systina.\One who unified the island, and brought the magical borders under control,\only to be betrayed by the Rossinis, and struck down before completing his work.\I see! response:	It's clear why anyone from Systina would want to take him out.
context: From here on in, Lord Theo, I'd like you to call yourself Cornaro.\Cornaro?\Who's this Cornaro?\It's the family name of a hero of Systina.\One who unified the island, and brought the magical borders under control,\only to be betrayed by the Rossinis, and struck down before completing his work.\I see!\It's clear why anyone from Systina would want to take him out. response:	So he's gonna proclaim himself a descendant of that hero?
context: Cornaro?\Who's this Cornaro?\It's the family name of a hero of Systina.\One who unified the island, and brought the magical borders under control,\only to be betrayed by the Rossinis, and struck down before completing his work.\I see!\It's clear why anyone from Systina would want to take him out.\So he's gonna proclaim himself a descendant of that hero? response:	Which will raise the people's hopes for their hero's return, eh?
context: Who's this Cornaro?\It's the family name of a hero of Systina.\One who unified the island, and brought the magical borders under control,\only to be betrayed by the Rossinis, and struck down before completing his work.\I see!\It's clear why anyone from Systina would want to take him out.\So he's gonna proclaim himself a descendant of that hero?\Which will raise the people's hopes for their hero's return, eh? response:	You weren't kidding when you said you'd stop at nothing.
context: It's the family name of a hero of Systina.\One who unified the island, and brought the magical borders under control,\only to be betrayed by the Rossinis, and struck down before completing his work.\I see!\It's clear why anyone from Systina would want to take him out.\So he's gonna proclaim himself a descendant of that hero?\Which will raise the people's hopes for their hero's return, eh?\You weren't kidding when you said you'd stop at nothing. response:	I'm not being rash.
context: One who unified the island, and brought the magical borders under control,\only to be betrayed by the Rossinis, and struck down before completing his work.\I see!\It's clear why anyone from Systina would want to take him out.\So he's gonna proclaim himself a descendant of that hero?\Which will raise the people's hopes for their hero's return, eh?\You weren't kidding when you said you'd stop at nothing.\I'm not being rash. response:	I wouldn't want to tarnish your name in any way, Lord Theo.
context: only to be betrayed by the Rossinis, and struck down before completing his work.\I see!\It's clear why anyone from Systina would want to take him out.\So he's gonna proclaim himself a descendant of that hero?\Which will raise the people's hopes for their hero's return, eh?\You weren't kidding when you said you'd stop at nothing.\I'm not being rash.\I wouldn't want to tarnish your name in any way, Lord Theo. response:	But now I know what you've got in mind, and I like it.
context: I see!\It's clear why anyone from Systina would want to take him out.\So he's gonna proclaim himself a descendant of that hero?\Which will raise the people's hopes for their hero's return, eh?\You weren't kidding when you said you'd stop at nothing.\I'm not being rash.\I wouldn't want to tarnish your name in any way, Lord Theo.\But now I know what you've got in mind, and I like it. response:	Especially the part about taking on that Rossini guy!
context: It's clear why anyone from Systina would want to take him out.\So he's gonna proclaim himself a descendant of that hero?\Which will raise the people's hopes for their hero's return, eh?\You weren't kidding when you said you'd stop at nothing.\I'm not being rash.\I wouldn't want to tarnish your name in any way, Lord Theo.\But now I know what you've got in mind, and I like it.\Especially the part about taking on that Rossini guy! response:	Well then, let's begin laying the groundwork for your transfer to the Alliance.
context: So he's gonna proclaim himself a descendant of that hero?\Which will raise the people's hopes for their hero's return, eh?\You weren't kidding when you said you'd stop at nothing.\I'm not being rash.\I wouldn't want to tarnish your name in any way, Lord Theo.\But now I know what you've got in mind, and I like it.\Especially the part about taking on that Rossini guy!\Well then, let's begin laying the groundwork for your transfer to the Alliance. response:	Moreno.
context: Which will raise the people's hopes for their hero's return, eh?\You weren't kidding when you said you'd stop at nothing.\I'm not being rash.\I wouldn't want to tarnish your name in any way, Lord Theo.\But now I know what you've got in mind, and I like it.\Especially the part about taking on that Rossini guy!\Well then, let's begin laying the groundwork for your transfer to the Alliance.\Moreno. response:	I'd like you to negotiate with Viscount Naville, the King of Savis.
context: You weren't kidding when you said you'd stop at nothing.\I'm not being rash.\I wouldn't want to tarnish your name in any way, Lord Theo.\But now I know what you've got in mind, and I like it.\Especially the part about taking on that Rossini guy!\Well then, let's begin laying the groundwork for your transfer to the Alliance.\Moreno.\I'd like you to negotiate with Viscount Naville, the King of Savis. response:	Negotiate?
context: I'm not being rash.\I wouldn't want to tarnish your name in any way, Lord Theo.\But now I know what you've got in mind, and I like it.\Especially the part about taking on that Rossini guy!\Well then, let's begin laying the groundwork for your transfer to the Alliance.\Moreno.\I'd like you to negotiate with Viscount Naville, the King of Savis.\Negotiate? response:	To switch sides to the Alliance,
context: I wouldn't want to tarnish your name in any way, Lord Theo.\But now I know what you've got in mind, and I like it.\Especially the part about taking on that Rossini guy!\Well then, let's begin laying the groundwork for your transfer to the Alliance.\Moreno.\I'd like you to negotiate with Viscount Naville, the King of Savis.\Negotiate?\To switch sides to the Alliance, response:	Lord Theo will need to go bearing the gift of his current territories.
context: But now I know what you've got in mind, and I like it.\Especially the part about taking on that Rossini guy!\Well then, let's begin laying the groundwork for your transfer to the Alliance.\Moreno.\I'd like you to negotiate with Viscount Naville, the King of Savis.\Negotiate?\To switch sides to the Alliance,\Lord Theo will need to go bearing the gift of his current territories. response:	So I want you to get the King of Savis to recognize Lord Theo's independence.
context: Especially the part about taking on that Rossini guy!\Well then, let's begin laying the groundwork for your transfer to the Alliance.\Moreno.\I'd like you to negotiate with Viscount Naville, the King of Savis.\Negotiate?\To switch sides to the Alliance,\Lord Theo will need to go bearing the gift of his current territories.\So I want you to get the King of Savis to recognize Lord Theo's independence. response:	Since Viscount Naville is itching to rule over all of Savis,
context: Well then, let's begin laying the groundwork for your transfer to the Alliance.\Moreno.\I'd like you to negotiate with Viscount Naville, the King of Savis.\Negotiate?\To switch sides to the Alliance,\Lord Theo will need to go bearing the gift of his current territories.\So I want you to get the King of Savis to recognize Lord Theo's independence.\Since Viscount Naville is itching to rule over all of Savis, response:	announcing our independence is not going to sit well with him.
context: Moreno.\I'd like you to negotiate with Viscount Naville, the King of Savis.\Negotiate?\To switch sides to the Alliance,\Lord Theo will need to go bearing the gift of his current territories.\So I want you to get the King of Savis to recognize Lord Theo's independence.\Since Viscount Naville is itching to rule over all of Savis,\announcing our independence is not going to sit well with him. response:	I have the utmost faith in your abilities!
context: I'd like you to negotiate with Viscount Naville, the King of Savis.\Negotiate?\To switch sides to the Alliance,\Lord Theo will need to go bearing the gift of his current territories.\So I want you to get the King of Savis to recognize Lord Theo's independence.\Since Viscount Naville is itching to rule over all of Savis,\announcing our independence is not going to sit well with him.\I have the utmost faith in your abilities! response:	So, Viscount Shakes, the King of Clovis, has agreed to our secret pact?
context: Negotiate?\To switch sides to the Alliance,\Lord Theo will need to go bearing the gift of his current territories.\So I want you to get the King of Savis to recognize Lord Theo's independence.\Since Viscount Naville is itching to rule over all of Savis,\announcing our independence is not going to sit well with him.\I have the utmost faith in your abilities!\So, Viscount Shakes, the King of Clovis, has agreed to our secret pact? response:	So long as Lord Theo stays out of his lands,
context: To switch sides to the Alliance,\Lord Theo will need to go bearing the gift of his current territories.\So I want you to get the King of Savis to recognize Lord Theo's independence.\Since Viscount Naville is itching to rule over all of Savis,\announcing our independence is not going to sit well with him.\I have the utmost faith in your abilities!\So, Viscount Shakes, the King of Clovis, has agreed to our secret pact?\So long as Lord Theo stays out of his lands, response:	he'll recognize his court rank and independence.
context: Lord Theo will need to go bearing the gift of his current territories.\So I want you to get the King of Savis to recognize Lord Theo's independence.\Since Viscount Naville is itching to rule over all of Savis,\announcing our independence is not going to sit well with him.\I have the utmost faith in your abilities!\So, Viscount Shakes, the King of Clovis, has agreed to our secret pact?\So long as Lord Theo stays out of his lands,\he'll recognize his court rank and independence. response:	Thank goodness.
context: So I want you to get the King of Savis to recognize Lord Theo's independence.\Since Viscount Naville is itching to rule over all of Savis,\announcing our independence is not going to sit well with him.\I have the utmost faith in your abilities!\So, Viscount Shakes, the King of Clovis, has agreed to our secret pact?\So long as Lord Theo stays out of his lands,\he'll recognize his court rank and independence.\Thank goodness. response:	Thank you very much, Sir Sartorus.
context: Since Viscount Naville is itching to rule over all of Savis,\announcing our independence is not going to sit well with him.\I have the utmost faith in your abilities!\So, Viscount Shakes, the King of Clovis, has agreed to our secret pact?\So long as Lord Theo stays out of his lands,\he'll recognize his court rank and independence.\Thank goodness.\Thank you very much, Sir Sartorus. response:	Aren't you overstepping a bit, though?
context: announcing our independence is not going to sit well with him.\I have the utmost faith in your abilities!\So, Viscount Shakes, the King of Clovis, has agreed to our secret pact?\So long as Lord Theo stays out of his lands,\he'll recognize his court rank and independence.\Thank goodness.\Thank you very much, Sir Sartorus.\Aren't you overstepping a bit, though? response:	Huh?
context: I have the utmost faith in your abilities!\So, Viscount Shakes, the King of Clovis, has agreed to our secret pact?\So long as Lord Theo stays out of his lands,\he'll recognize his court rank and independence.\Thank goodness.\Thank you very much, Sir Sartorus.\Aren't you overstepping a bit, though?\Huh? response:	Even though you've been viciously defeating the opposition,
context: So, Viscount Shakes, the King of Clovis, has agreed to our secret pact?\So long as Lord Theo stays out of his lands,\he'll recognize his court rank and independence.\Thank goodness.\Thank you very much, Sir Sartorus.\Aren't you overstepping a bit, though?\Huh?\Even though you've been viciously defeating the opposition, response:	I've heard no mention of Lord Theo's name.
context: So long as Lord Theo stays out of his lands,\he'll recognize his court rank and independence.\Thank goodness.\Thank you very much, Sir Sartorus.\Aren't you overstepping a bit, though?\Huh?\Even though you've been viciously defeating the opposition,\I've heard no mention of Lord Theo's name. response:	On the contrary,
context: he'll recognize his court rank and independence.\Thank goodness.\Thank you very much, Sir Sartorus.\Aren't you overstepping a bit, though?\Huh?\Even though you've been viciously defeating the opposition,\I've heard no mention of Lord Theo's name.\On the contrary, response:	I've heard rumors that your Lord is just decoration, while you're the real mastermind.
context: Thank goodness.\Thank you very much, Sir Sartorus.\Aren't you overstepping a bit, though?\Huh?\Even though you've been viciously defeating the opposition,\I've heard no mention of Lord Theo's name.\On the contrary,\I've heard rumors that your Lord is just decoration, while you're the real mastermind. response:	No way...
context: Thank you very much, Sir Sartorus.\Aren't you overstepping a bit, though?\Huh?\Even though you've been viciously defeating the opposition,\I've heard no mention of Lord Theo's name.\On the contrary,\I've heard rumors that your Lord is just decoration, while you're the real mastermind.\No way... response:	But I'm only thinking of Lord Theo.
context: Aren't you overstepping a bit, though?\Huh?\Even though you've been viciously defeating the opposition,\I've heard no mention of Lord Theo's name.\On the contrary,\I've heard rumors that your Lord is just decoration, while you're the real mastermind.\No way...\But I'm only thinking of Lord Theo. response:	I'm not doubting your loyalty.
context: Huh?\Even though you've been viciously defeating the opposition,\I've heard no mention of Lord Theo's name.\On the contrary,\I've heard rumors that your Lord is just decoration, while you're the real mastermind.\No way...\But I'm only thinking of Lord Theo.\I'm not doubting your loyalty. response:	But don't you think you might be ignoring Lord Theo's wishes?
context: Even though you've been viciously defeating the opposition,\I've heard no mention of Lord Theo's name.\On the contrary,\I've heard rumors that your Lord is just decoration, while you're the real mastermind.\No way...\But I'm only thinking of Lord Theo.\I'm not doubting your loyalty.\But don't you think you might be ignoring Lord Theo's wishes? response:	Well, I...
context: I've heard no mention of Lord Theo's name.\On the contrary,\I've heard rumors that your Lord is just decoration, while you're the real mastermind.\No way...\But I'm only thinking of Lord Theo.\I'm not doubting your loyalty.\But don't you think you might be ignoring Lord Theo's wishes?\Well, I... response:	Who's there?
context: On the contrary,\I've heard rumors that your Lord is just decoration, while you're the real mastermind.\No way...\But I'm only thinking of Lord Theo.\I'm not doubting your loyalty.\But don't you think you might be ignoring Lord Theo's wishes?\Well, I...\Who's there? response:	It's Siluca.
context: I've heard rumors that your Lord is just decoration, while you're the real mastermind.\No way...\But I'm only thinking of Lord Theo.\I'm not doubting your loyalty.\But don't you think you might be ignoring Lord Theo's wishes?\Well, I...\Who's there?\It's Siluca. response:	Is it something urgent?
context: No way...\But I'm only thinking of Lord Theo.\I'm not doubting your loyalty.\But don't you think you might be ignoring Lord Theo's wishes?\Well, I...\Who's there?\It's Siluca.\Is it something urgent? response:	No, I wouldn't say that, but...
context: But I'm only thinking of Lord Theo.\I'm not doubting your loyalty.\But don't you think you might be ignoring Lord Theo's wishes?\Well, I...\Who's there?\It's Siluca.\Is it something urgent?\No, I wouldn't say that, but... response:	Um...
context: I'm not doubting your loyalty.\But don't you think you might be ignoring Lord Theo's wishes?\Well, I...\Who's there?\It's Siluca.\Is it something urgent?\No, I wouldn't say that, but...\Um... response:	Sorry to interrupt you two.
context: But don't you think you might be ignoring Lord Theo's wishes?\Well, I...\Who's there?\It's Siluca.\Is it something urgent?\No, I wouldn't say that, but...\Um...\Sorry to interrupt you two. response:	What is it?
context: Well, I...\Who's there?\It's Siluca.\Is it something urgent?\No, I wouldn't say that, but...\Um...\Sorry to interrupt you two.\What is it? response:	I've been informed that a Chaos Disaster has occurred in the castle town.
