context: Once upon a time, there was a man who died. response:	The story was interrupted and along with his heart,
context: Liar!\Not that anything happened, but...\So something DID happen!\Uh, well...\Spit it out.\Uh, um, oh, yeah... a dream, it's about a dream I had.\There's this really strong and handsome prince, but this prince is fighting against an evil raven.\He can seal the raven away if he shatters his own heart, response:	but when he loses his heart, he also loses his emotions.
context: Not that anything happened, but...\So something DID happen!\Uh, well...\Spit it out.\Uh, um, oh, yeah... a dream, it's about a dream I had.\There's this really strong and handsome prince, but this prince is fighting against an evil raven.\He can seal the raven away if he shatters his own heart,\but when he loses his heart, he also loses his emotions. response:	And this prince's eyes always look so lonely, and for this prince, I...
context: So something DID happen!\Uh, well...\Spit it out.\Uh, um, oh, yeah... a dream, it's about a dream I had.\There's this really strong and handsome prince, but this prince is fighting against an evil raven.\He can seal the raven away if he shatters his own heart,\but when he loses his heart, he also loses his emotions.\And this prince's eyes always look so lonely, and for this prince, I... response:	Is that all?
context: Uh, well...\Spit it out.\Uh, um, oh, yeah... a dream, it's about a dream I had.\There's this really strong and handsome prince, but this prince is fighting against an evil raven.\He can seal the raven away if he shatters his own heart,\but when he loses his heart, he also loses his emotions.\And this prince's eyes always look so lonely, and for this prince, I...\Is that all? response:	What?
context: Spit it out.\Uh, um, oh, yeah... a dream, it's about a dream I had.\There's this really strong and handsome prince, but this prince is fighting against an evil raven.\He can seal the raven away if he shatters his own heart,\but when he loses his heart, he also loses his emotions.\And this prince's eyes always look so lonely, and for this prince, I...\Is that all?\What? response:	I've heard a story like that before.
context: Uh, um, oh, yeah... a dream, it's about a dream I had.\There's this really strong and handsome prince, but this prince is fighting against an evil raven.\He can seal the raven away if he shatters his own heart,\but when he loses his heart, he also loses his emotions.\And this prince's eyes always look so lonely, and for this prince, I...\Is that all?\What?\I've heard a story like that before. response:	Story?
context: There's this really strong and handsome prince, but this prince is fighting against an evil raven.\He can seal the raven away if he shatters his own heart,\but when he loses his heart, he also loses his emotions.\And this prince's eyes always look so lonely, and for this prince, I...\Is that all?\What?\I've heard a story like that before.\Story? response:	That's straight out of'The Prince and the Raven'.
context: He can seal the raven away if he shatters his own heart,\but when he loses his heart, he also loses his emotions.\And this prince's eyes always look so lonely, and for this prince, I...\Is that all?\What?\I've heard a story like that before.\Story?\That's straight out of'The Prince and the Raven'. response:	What?
context: but when he loses his heart, he also loses his emotions.\And this prince's eyes always look so lonely, and for this prince, I...\Is that all?\What?\I've heard a story like that before.\Story?\That's straight out of'The Prince and the Raven'.\What? response:	Here, it's this book, right?
context: And this prince's eyes always look so lonely, and for this prince, I...\Is that all?\What?\I've heard a story like that before.\Story?\That's straight out of'The Prince and the Raven'.\What?\Here, it's this book, right? response:	The prince was a hero, who fought against the demonic raven.
context: Is that all?\What?\I've heard a story like that before.\Story?\That's straight out of'The Prince and the Raven'.\What?\Here, it's this book, right?\The prince was a hero, who fought against the demonic raven. response:	That was when they were inside the story that I wrote.
context: What?\I've heard a story like that before.\Story?\That's straight out of'The Prince and the Raven'.\What?\Here, it's this book, right?\The prince was a hero, who fought against the demonic raven.\That was when they were inside the story that I wrote. response:	Um, what's the name of the person who wrote this story?
context: I've heard a story like that before.\Story?\That's straight out of'The Prince and the Raven'.\What?\Here, it's this book, right?\The prince was a hero, who fought against the demonic raven.\That was when they were inside the story that I wrote.\Um, what's the name of the person who wrote this story? response:	What? It's Drosselmeyer. That's common knowledge.
context: Story?\That's straight out of'The Prince and the Raven'.\What?\Here, it's this book, right?\The prince was a hero, who fought against the demonic raven.\That was when they were inside the story that I wrote.\Um, what's the name of the person who wrote this story?\What? It's Drosselmeyer. That's common knowledge. response:	I had no idea.
context: That's straight out of'The Prince and the Raven'.\What?\Here, it's this book, right?\The prince was a hero, who fought against the demonic raven.\That was when they were inside the story that I wrote.\Um, what's the name of the person who wrote this story?\What? It's Drosselmeyer. That's common knowledge.\I had no idea. response:	This is no time to be reading books like this and grinning like a fool!
context: What?\Here, it's this book, right?\The prince was a hero, who fought against the demonic raven.\That was when they were inside the story that I wrote.\Um, what's the name of the person who wrote this story?\What? It's Drosselmeyer. That's common knowledge.\I had no idea.\This is no time to be reading books like this and grinning like a fool! response:	Two books would be impossible for you, Ahiru.
context: Here, it's this book, right?\The prince was a hero, who fought against the demonic raven.\That was when they were inside the story that I wrote.\Um, what's the name of the person who wrote this story?\What? It's Drosselmeyer. That's common knowledge.\I had no idea.\This is no time to be reading books like this and grinning like a fool!\Two books would be impossible for you, Ahiru. response:	Make sure you can do it by the end of the day.
context: The prince was a hero, who fought against the demonic raven.\That was when they were inside the story that I wrote.\Um, what's the name of the person who wrote this story?\What? It's Drosselmeyer. That's common knowledge.\I had no idea.\This is no time to be reading books like this and grinning like a fool!\Two books would be impossible for you, Ahiru.\Make sure you can do it by the end of the day. response:	Good luck. You've got nothing to lose.
context: That was when they were inside the story that I wrote.\Um, what's the name of the person who wrote this story?\What? It's Drosselmeyer. That's common knowledge.\I had no idea.\This is no time to be reading books like this and grinning like a fool!\Two books would be impossible for you, Ahiru.\Make sure you can do it by the end of the day.\Good luck. You've got nothing to lose. response:	Don't you dare slack off!
context: Um, what's the name of the person who wrote this story?\What? It's Drosselmeyer. That's common knowledge.\I had no idea.\This is no time to be reading books like this and grinning like a fool!\Two books would be impossible for you, Ahiru.\Make sure you can do it by the end of the day.\Good luck. You've got nothing to lose.\Don't you dare slack off! response:	Oh, so like, does Drosselmeyer-san live in this town?
context: What? It's Drosselmeyer. That's common knowledge.\I had no idea.\This is no time to be reading books like this and grinning like a fool!\Two books would be impossible for you, Ahiru.\Make sure you can do it by the end of the day.\Good luck. You've got nothing to lose.\Don't you dare slack off!\Oh, so like, does Drosselmeyer-san live in this town? response:	Huh?
context: I had no idea.\This is no time to be reading books like this and grinning like a fool!\Two books would be impossible for you, Ahiru.\Make sure you can do it by the end of the day.\Good luck. You've got nothing to lose.\Don't you dare slack off!\Oh, so like, does Drosselmeyer-san live in this town?\Huh? response:	He died ages ago.
context: This is no time to be reading books like this and grinning like a fool!\Two books would be impossible for you, Ahiru.\Make sure you can do it by the end of the day.\Good luck. You've got nothing to lose.\Don't you dare slack off!\Oh, so like, does Drosselmeyer-san live in this town?\Huh?\He died ages ago. response:	What?
context: Two books would be impossible for you, Ahiru.\Make sure you can do it by the end of the day.\Good luck. You've got nothing to lose.\Don't you dare slack off!\Oh, so like, does Drosselmeyer-san live in this town?\Huh?\He died ages ago.\What? response:	The story ends part way through too.
context: Make sure you can do it by the end of the day.\Good luck. You've got nothing to lose.\Don't you dare slack off!\Oh, so like, does Drosselmeyer-san live in this town?\Huh?\He died ages ago.\What?\The story ends part way through too. response:	Right, right. I think he died while writing the book, didn't he?
context: Good luck. You've got nothing to lose.\Don't you dare slack off!\Oh, so like, does Drosselmeyer-san live in this town?\Huh?\He died ages ago.\What?\The story ends part way through too.\Right, right. I think he died while writing the book, didn't he? response:	What?!
context: Don't you dare slack off!\Oh, so like, does Drosselmeyer-san live in this town?\Huh?\He died ages ago.\What?\The story ends part way through too.\Right, right. I think he died while writing the book, didn't he?\What?! response:	Yes, he came out of the story
context: Oh, so like, does Drosselmeyer-san live in this town?\Huh?\He died ages ago.\What?\The story ends part way through too.\Right, right. I think he died while writing the book, didn't he?\What?!\Yes, he came out of the story response:	and lost his heart in order to seal away the raven.
context: Huh?\He died ages ago.\What?\The story ends part way through too.\Right, right. I think he died while writing the book, didn't he?\What?!\Yes, he came out of the story\and lost his heart in order to seal away the raven. response:	That means the person who was writing the story died and the characters in the story came out?
context: He died ages ago.\What?\The story ends part way through too.\Right, right. I think he died while writing the book, didn't he?\What?!\Yes, he came out of the story\and lost his heart in order to seal away the raven.\That means the person who was writing the story died and the characters in the story came out? response:	Something that strange...
context: What?\The story ends part way through too.\Right, right. I think he died while writing the book, didn't he?\What?!\Yes, he came out of the story\and lost his heart in order to seal away the raven.\That means the person who was writing the story died and the characters in the story came out?\Something that strange... response:	But I guess it isn't as strange as a duck turning into a human...
context: The story ends part way through too.\Right, right. I think he died while writing the book, didn't he?\What?!\Yes, he came out of the story\and lost his heart in order to seal away the raven.\That means the person who was writing the story died and the characters in the story came out?\Something that strange...\But I guess it isn't as strange as a duck turning into a human... response:	So, Mytho-senpai is a prince out of a story.
context: Right, right. I think he died while writing the book, didn't he?\What?!\Yes, he came out of the story\and lost his heart in order to seal away the raven.\That means the person who was writing the story died and the characters in the story came out?\Something that strange...\But I guess it isn't as strange as a duck turning into a human...\So, Mytho-senpai is a prince out of a story. response:	That's why he's so handsome.
context: What?!\Yes, he came out of the story\and lost his heart in order to seal away the raven.\That means the person who was writing the story died and the characters in the story came out?\Something that strange...\But I guess it isn't as strange as a duck turning into a human...\So, Mytho-senpai is a prince out of a story.\That's why he's so handsome. response:	It's Rue-chan.
context: Yes, he came out of the story\and lost his heart in order to seal away the raven.\That means the person who was writing the story died and the characters in the story came out?\Something that strange...\But I guess it isn't as strange as a duck turning into a human...\So, Mytho-senpai is a prince out of a story.\That's why he's so handsome.\It's Rue-chan. response:	I wonder if Rue-chan knows about this?
context: and lost his heart in order to seal away the raven.\That means the person who was writing the story died and the characters in the story came out?\Something that strange...\But I guess it isn't as strange as a duck turning into a human...\So, Mytho-senpai is a prince out of a story.\That's why he's so handsome.\It's Rue-chan.\I wonder if Rue-chan knows about this? response:	Oh, Mytho-senpai!
context: That means the person who was writing the story died and the characters in the story came out?\Something that strange...\But I guess it isn't as strange as a duck turning into a human...\So, Mytho-senpai is a prince out of a story.\That's why he's so handsome.\It's Rue-chan.\I wonder if Rue-chan knows about this?\Oh, Mytho-senpai! response:	So he's going on a picnic with Rue-chan.
context: Something that strange...\But I guess it isn't as strange as a duck turning into a human...\So, Mytho-senpai is a prince out of a story.\That's why he's so handsome.\It's Rue-chan.\I wonder if Rue-chan knows about this?\Oh, Mytho-senpai!\So he's going on a picnic with Rue-chan. response:	Lucky her.
context: But I guess it isn't as strange as a duck turning into a human...\So, Mytho-senpai is a prince out of a story.\That's why he's so handsome.\It's Rue-chan.\I wonder if Rue-chan knows about this?\Oh, Mytho-senpai!\So he's going on a picnic with Rue-chan.\Lucky her. response:	But in the end, I'm just a duck...
context: So, Mytho-senpai is a prince out of a story.\That's why he's so handsome.\It's Rue-chan.\I wonder if Rue-chan knows about this?\Oh, Mytho-senpai!\So he's going on a picnic with Rue-chan.\Lucky her.\But in the end, I'm just a duck... response:	Maybe I'll practice or something.
context: That's why he's so handsome.\It's Rue-chan.\I wonder if Rue-chan knows about this?\Oh, Mytho-senpai!\So he's going on a picnic with Rue-chan.\Lucky her.\But in the end, I'm just a duck...\Maybe I'll practice or something. response:	Hey!
context: It's Rue-chan.\I wonder if Rue-chan knows about this?\Oh, Mytho-senpai!\So he's going on a picnic with Rue-chan.\Lucky her.\But in the end, I'm just a duck...\Maybe I'll practice or something.\Hey! response:	Have you seen Mytho around?
context: I wonder if Rue-chan knows about this?\Oh, Mytho-senpai!\So he's going on a picnic with Rue-chan.\Lucky her.\But in the end, I'm just a duck...\Maybe I'll practice or something.\Hey!\Have you seen Mytho around? response:	Is something the matter with Mytho-senpai?
context: Oh, Mytho-senpai!\So he's going on a picnic with Rue-chan.\Lucky her.\But in the end, I'm just a duck...\Maybe I'll practice or something.\Hey!\Have you seen Mytho around?\Is something the matter with Mytho-senpai? response:	He went out without telling me.
context: So he's going on a picnic with Rue-chan.\Lucky her.\But in the end, I'm just a duck...\Maybe I'll practice or something.\Hey!\Have you seen Mytho around?\Is something the matter with Mytho-senpai?\He went out without telling me. response:	Who cares about that? He's Rue-chan's boyfriend after all.
context: Lucky her.\But in the end, I'm just a duck...\Maybe I'll practice or something.\Hey!\Have you seen Mytho around?\Is something the matter with Mytho-senpai?\He went out without telling me.\Who cares about that? He's Rue-chan's boyfriend after all. response:	What?!
context: But in the end, I'm just a duck...\Maybe I'll practice or something.\Hey!\Have you seen Mytho around?\Is something the matter with Mytho-senpai?\He went out without telling me.\Who cares about that? He's Rue-chan's boyfriend after all.\What?! response:	So he's with Rue?!
context: Maybe I'll practice or something.\Hey!\Have you seen Mytho around?\Is something the matter with Mytho-senpai?\He went out without telling me.\Who cares about that? He's Rue-chan's boyfriend after all.\What?!\So he's with Rue?! response:	What?
context: Hey!\Have you seen Mytho around?\Is something the matter with Mytho-senpai?\He went out without telling me.\Who cares about that? He's Rue-chan's boyfriend after all.\What?!\So he's with Rue?!\What? response:	Where did they go?!
context: Have you seen Mytho around?\Is something the matter with Mytho-senpai?\He went out without telling me.\Who cares about that? He's Rue-chan's boyfriend after all.\What?!\So he's with Rue?!\What?\Where did they go?! response:	Answer me!
context: Is something the matter with Mytho-senpai?\He went out without telling me.\Who cares about that? He's Rue-chan's boyfriend after all.\What?!\So he's with Rue?!\What?\Where did they go?!\Answer me! response:	I don't know.
context: He went out without telling me.\Who cares about that? He's Rue-chan's boyfriend after all.\What?!\So he's with Rue?!\What?\Where did they go?!\Answer me!\I don't know. response:	You're lying!
context: Who cares about that? He's Rue-chan's boyfriend after all.\What?!\So he's with Rue?!\What?\Where did they go?!\Answer me!\I don't know.\You're lying! response:	I'm telling the truth!
context: What?!\So he's with Rue?!\What?\Where did they go?!\Answer me!\I don't know.\You're lying!\I'm telling the truth! response:	I wonder if he knows about Mytho-senpai?
context: So he's with Rue?!\What?\Where did they go?!\Answer me!\I don't know.\You're lying!\I'm telling the truth!\I wonder if he knows about Mytho-senpai? response:	Um, do you know the story'The Prince and the Raven'?
context: What?\Where did they go?!\Answer me!\I don't know.\You're lying!\I'm telling the truth!\I wonder if he knows about Mytho-senpai?\Um, do you know the story'The Prince and the Raven'? response:	What about it?
context: Where did they go?!\Answer me!\I don't know.\You're lying!\I'm telling the truth!\I wonder if he knows about Mytho-senpai?\Um, do you know the story'The Prince and the Raven'?\What about it? response:	Well, it's nothing really...
context: Answer me!\I don't know.\You're lying!\I'm telling the truth!\I wonder if he knows about Mytho-senpai?\Um, do you know the story'The Prince and the Raven'?\What about it?\Well, it's nothing really... response:	It's just a childish tale.
context: I don't know.\You're lying!\I'm telling the truth!\I wonder if he knows about Mytho-senpai?\Um, do you know the story'The Prince and the Raven'?\What about it?\Well, it's nothing really...\It's just a childish tale. response:	acting so high and mighty!
context: You're lying!\I'm telling the truth!\I wonder if he knows about Mytho-senpai?\Um, do you know the story'The Prince and the Raven'?\What about it?\Well, it's nothing really...\It's just a childish tale.\acting so high and mighty! response:	And he doesn't even have a clue!
context: I'm telling the truth!\I wonder if he knows about Mytho-senpai?\Um, do you know the story'The Prince and the Raven'?\What about it?\Well, it's nothing really...\It's just a childish tale.\acting so high and mighty!\And he doesn't even have a clue! response:	Mytho-senpai is a prince from inside a story,
context: I wonder if he knows about Mytho-senpai?\Um, do you know the story'The Prince and the Raven'?\What about it?\Well, it's nothing really...\It's just a childish tale.\acting so high and mighty!\And he doesn't even have a clue!\Mytho-senpai is a prince from inside a story, response:	so I'm the only one who knows about it.
context: Um, do you know the story'The Prince and the Raven'?\What about it?\Well, it's nothing really...\It's just a childish tale.\acting so high and mighty!\And he doesn't even have a clue!\Mytho-senpai is a prince from inside a story,\so I'm the only one who knows about it. response:	I'm going to protect my prince...
context: What about it?\Well, it's nothing really...\It's just a childish tale.\acting so high and mighty!\And he doesn't even have a clue!\Mytho-senpai is a prince from inside a story,\so I'm the only one who knows about it.\I'm going to protect my prince... response:	I'm not playing hooky. I'm just taking a break.
context: Well, it's nothing really...\It's just a childish tale.\acting so high and mighty!\And he doesn't even have a clue!\Mytho-senpai is a prince from inside a story,\so I'm the only one who knows about it.\I'm going to protect my prince...\I'm not playing hooky. I'm just taking a break. response:	I'm allowed to do that. Besides, if I see Mytho-senpai and Rue-chan,
context: It's just a childish tale.\acting so high and mighty!\And he doesn't even have a clue!\Mytho-senpai is a prince from inside a story,\so I'm the only one who knows about it.\I'm going to protect my prince...\I'm not playing hooky. I'm just taking a break.\I'm allowed to do that. Besides, if I see Mytho-senpai and Rue-chan, response:	I can tell them that nasty guy was looking for them.
context: acting so high and mighty!\And he doesn't even have a clue!\Mytho-senpai is a prince from inside a story,\so I'm the only one who knows about it.\I'm going to protect my prince...\I'm not playing hooky. I'm just taking a break.\I'm allowed to do that. Besides, if I see Mytho-senpai and Rue-chan,\I can tell them that nasty guy was looking for them. response:	Is it okay for me to tell them?
context: And he doesn't even have a clue!\Mytho-senpai is a prince from inside a story,\so I'm the only one who knows about it.\I'm going to protect my prince...\I'm not playing hooky. I'm just taking a break.\I'm allowed to do that. Besides, if I see Mytho-senpai and Rue-chan,\I can tell them that nasty guy was looking for them.\Is it okay for me to tell them? response:	Truth is a shy little thing.
context: Mytho-senpai is a prince from inside a story,\so I'm the only one who knows about it.\I'm going to protect my prince...\I'm not playing hooky. I'm just taking a break.\I'm allowed to do that. Besides, if I see Mytho-senpai and Rue-chan,\I can tell them that nasty guy was looking for them.\Is it okay for me to tell them?\Truth is a shy little thing. response:	If you approach it, it will hide.
context: so I'm the only one who knows about it.\I'm going to protect my prince...\I'm not playing hooky. I'm just taking a break.\I'm allowed to do that. Besides, if I see Mytho-senpai and Rue-chan,\I can tell them that nasty guy was looking for them.\Is it okay for me to tell them?\Truth is a shy little thing.\If you approach it, it will hide. response:	Edel-san?
context: I'm going to protect my prince...\I'm not playing hooky. I'm just taking a break.\I'm allowed to do that. Besides, if I see Mytho-senpai and Rue-chan,\I can tell them that nasty guy was looking for them.\Is it okay for me to tell them?\Truth is a shy little thing.\If you approach it, it will hide.\Edel-san? response:	Truth is a lonesome little thing.
context: I'm not playing hooky. I'm just taking a break.\I'm allowed to do that. Besides, if I see Mytho-senpai and Rue-chan,\I can tell them that nasty guy was looking for them.\Is it okay for me to tell them?\Truth is a shy little thing.\If you approach it, it will hide.\Edel-san?\Truth is a lonesome little thing. response:	If you move away from it, it will give chase.
context: I'm allowed to do that. Besides, if I see Mytho-senpai and Rue-chan,\I can tell them that nasty guy was looking for them.\Is it okay for me to tell them?\Truth is a shy little thing.\If you approach it, it will hide.\Edel-san?\Truth is a lonesome little thing.\If you move away from it, it will give chase. response:	Are you having doubts about something?
context: I can tell them that nasty guy was looking for them.\Is it okay for me to tell them?\Truth is a shy little thing.\If you approach it, it will hide.\Edel-san?\Truth is a lonesome little thing.\If you move away from it, it will give chase.\Are you having doubts about something? response:	Uh, yes.
context: Is it okay for me to tell them?\Truth is a shy little thing.\If you approach it, it will hide.\Edel-san?\Truth is a lonesome little thing.\If you move away from it, it will give chase.\Are you having doubts about something?\Uh, yes. response:	Well, you see, there's this person and there's another person who's good friends with that person.
