context: To us of the demon clan, twins are taboo. response:	Please wait, Chief!
context: Rem, follow your sister's example and work hard.\Don't worry.\One day, Rem will show us that she has incredible power.\You're right. She is Ram's sister, after all.\We expect great things.\Don't worry.\Sissy...\Just be you, Rem. response:	You don't have to worry about what people say.
context: Don't worry.\One day, Rem will show us that she has incredible power.\You're right. She is Ram's sister, after all.\We expect great things.\Don't worry.\Sissy...\Just be you, Rem.\You don't have to worry about what people say. response:	I can never match my sister in demon power.
context: One day, Rem will show us that she has incredible power.\You're right. She is Ram's sister, after all.\We expect great things.\Don't worry.\Sissy...\Just be you, Rem.\You don't have to worry about what people say.\I can never match my sister in demon power. response:	Then...
context: You're right. She is Ram's sister, after all.\We expect great things.\Don't worry.\Sissy...\Just be you, Rem.\You don't have to worry about what people say.\I can never match my sister in demon power.\Then... response:	Hey, Mom...
context: We expect great things.\Don't worry.\Sissy...\Just be you, Rem.\You don't have to worry about what people say.\I can never match my sister in demon power.\Then...\Hey, Mom... response:	What is it, Rem?
context: Don't worry.\Sissy...\Just be you, Rem.\You don't have to worry about what people say.\I can never match my sister in demon power.\Then...\Hey, Mom...\What is it, Rem? response:	I'll make dinner tomorrow.
context: Sissy...\Just be you, Rem.\You don't have to worry about what people say.\I can never match my sister in demon power.\Then...\Hey, Mom...\What is it, Rem?\I'll make dinner tomorrow. response:	What are you making for dinner?
context: Just be you, Rem.\You don't have to worry about what people say.\I can never match my sister in demon power.\Then...\Hey, Mom...\What is it, Rem?\I'll make dinner tomorrow.\What are you making for dinner? response:	Hmm...
context: You don't have to worry about what people say.\I can never match my sister in demon power.\Then...\Hey, Mom...\What is it, Rem?\I'll make dinner tomorrow.\What are you making for dinner?\Hmm... response:	Maybe a stir-fry with barbaro rabbit meat and nuts from the forest trees.
context: I can never match my sister in demon power.\Then...\Hey, Mom...\What is it, Rem?\I'll make dinner tomorrow.\What are you making for dinner?\Hmm...\Maybe a stir-fry with barbaro rabbit meat and nuts from the forest trees. response:	And steamed tatoes!
context: Then...\Hey, Mom...\What is it, Rem?\I'll make dinner tomorrow.\What are you making for dinner?\Hmm...\Maybe a stir-fry with barbaro rabbit meat and nuts from the forest trees.\And steamed tatoes! response:	I'll help you.
context: Hey, Mom...\What is it, Rem?\I'll make dinner tomorrow.\What are you making for dinner?\Hmm...\Maybe a stir-fry with barbaro rabbit meat and nuts from the forest trees.\And steamed tatoes!\I'll help you. response:	No, I'll be fine by myself.
context: What is it, Rem?\I'll make dinner tomorrow.\What are you making for dinner?\Hmm...\Maybe a stir-fry with barbaro rabbit meat and nuts from the forest trees.\And steamed tatoes!\I'll help you.\No, I'll be fine by myself. response:	Just watch me.
context: I'll make dinner tomorrow.\What are you making for dinner?\Hmm...\Maybe a stir-fry with barbaro rabbit meat and nuts from the forest trees.\And steamed tatoes!\I'll help you.\No, I'll be fine by myself.\Just watch me. response:	Now, I just need a barbaro rabbit.
context: What are you making for dinner?\Hmm...\Maybe a stir-fry with barbaro rabbit meat and nuts from the forest trees.\And steamed tatoes!\I'll help you.\No, I'll be fine by myself.\Just watch me.\Now, I just need a barbaro rabbit. response:	Sissy!
context: Hmm...\Maybe a stir-fry with barbaro rabbit meat and nuts from the forest trees.\And steamed tatoes!\I'll help you.\No, I'll be fine by myself.\Just watch me.\Now, I just need a barbaro rabbit.\Sissy! response:	I'm just so glad you're both all right.
context: Maybe a stir-fry with barbaro rabbit meat and nuts from the forest trees.\And steamed tatoes!\I'll help you.\No, I'll be fine by myself.\Just watch me.\Now, I just need a barbaro rabbit.\Sissy!\I'm just so glad you're both all right. response:	Both...
context: And steamed tatoes!\I'll help you.\No, I'll be fine by myself.\Just watch me.\Now, I just need a barbaro rabbit.\Sissy!\I'm just so glad you're both all right.\Both... response:	Rem, don't go into the forest alone again.
context: I'll help you.\No, I'll be fine by myself.\Just watch me.\Now, I just need a barbaro rabbit.\Sissy!\I'm just so glad you're both all right.\Both...\Rem, don't go into the forest alone again. response:	You don't want to worry your sister.
context: No, I'll be fine by myself.\Just watch me.\Now, I just need a barbaro rabbit.\Sissy!\I'm just so glad you're both all right.\Both...\Rem, don't go into the forest alone again.\You don't want to worry your sister. response:	Yes, I'm sorry.
context: Just watch me.\Now, I just need a barbaro rabbit.\Sissy!\I'm just so glad you're both all right.\Both...\Rem, don't go into the forest alone again.\You don't want to worry your sister.\Yes, I'm sorry. response:	Wait, don't forget about this.
context: Now, I just need a barbaro rabbit.\Sissy!\I'm just so glad you're both all right.\Both...\Rem, don't go into the forest alone again.\You don't want to worry your sister.\Yes, I'm sorry.\Wait, don't forget about this. response:	The steamed tatoes Rem made are really good.
context: Sissy!\I'm just so glad you're both all right.\Both...\Rem, don't go into the forest alone again.\You don't want to worry your sister.\Yes, I'm sorry.\Wait, don't forget about this.\The steamed tatoes Rem made are really good. response:	They have just the right amount of salt.
context: I'm just so glad you're both all right.\Both...\Rem, don't go into the forest alone again.\You don't want to worry your sister.\Yes, I'm sorry.\Wait, don't forget about this.\The steamed tatoes Rem made are really good.\They have just the right amount of salt. response:	You're right! They are good!
context: Both...\Rem, don't go into the forest alone again.\You don't want to worry your sister.\Yes, I'm sorry.\Wait, don't forget about this.\The steamed tatoes Rem made are really good.\They have just the right amount of salt.\You're right! They are good! response:	I had no idea Rem could make something so delicious!
context: Rem, don't go into the forest alone again.\You don't want to worry your sister.\Yes, I'm sorry.\Wait, don't forget about this.\The steamed tatoes Rem made are really good.\They have just the right amount of salt.\You're right! They are good!\I had no idea Rem could make something so delicious! response:	That's enough, Rem.
context: You don't want to worry your sister.\Yes, I'm sorry.\Wait, don't forget about this.\The steamed tatoes Rem made are really good.\They have just the right amount of salt.\You're right! They are good!\I had no idea Rem could make something so delicious!\That's enough, Rem. response:	I'm just happy both of you are all right.
context: Yes, I'm sorry.\Wait, don't forget about this.\The steamed tatoes Rem made are really good.\They have just the right amount of salt.\You're right! They are good!\I had no idea Rem could make something so delicious!\That's enough, Rem.\I'm just happy both of you are all right. response:	Yes, we're so glad you're both safe.
context: Wait, don't forget about this.\The steamed tatoes Rem made are really good.\They have just the right amount of salt.\You're right! They are good!\I had no idea Rem could make something so delicious!\That's enough, Rem.\I'm just happy both of you are all right.\Yes, we're so glad you're both safe. response:	No, it would have been better if only Ram had been safe.
context: The steamed tatoes Rem made are really good.\They have just the right amount of salt.\You're right! They are good!\I had no idea Rem could make something so delicious!\That's enough, Rem.\I'm just happy both of you are all right.\Yes, we're so glad you're both safe.\No, it would have been better if only Ram had been safe. response:	That's right.
context: They have just the right amount of salt.\You're right! They are good!\I had no idea Rem could make something so delicious!\That's enough, Rem.\I'm just happy both of you are all right.\Yes, we're so glad you're both safe.\No, it would have been better if only Ram had been safe.\That's right. response:	You said it.
context: You're right! They are good!\I had no idea Rem could make something so delicious!\That's enough, Rem.\I'm just happy both of you are all right.\Yes, we're so glad you're both safe.\No, it would have been better if only Ram had been safe.\That's right.\You said it. response:	Yes, if only that useless Rem had died...
context: I had no idea Rem could make something so delicious!\That's enough, Rem.\I'm just happy both of you are all right.\Yes, we're so glad you're both safe.\No, it would have been better if only Ram had been safe.\That's right.\You said it.\Yes, if only that useless Rem had died... response:	It would have been best if only Ram had lived.
context: That's enough, Rem.\I'm just happy both of you are all right.\Yes, we're so glad you're both safe.\No, it would have been better if only Ram had been safe.\That's right.\You said it.\Yes, if only that useless Rem had died...\It would have been best if only Ram had lived. response:	You were having a scary dream, weren't you?
context: I'm just happy both of you are all right.\Yes, we're so glad you're both safe.\No, it would have been better if only Ram had been safe.\That's right.\You said it.\Yes, if only that useless Rem had died...\It would have been best if only Ram had lived.\You were having a scary dream, weren't you? response:	You were moaning.
context: Yes, we're so glad you're both safe.\No, it would have been better if only Ram had been safe.\That's right.\You said it.\Yes, if only that useless Rem had died...\It would have been best if only Ram had lived.\You were having a scary dream, weren't you?\You were moaning. response:	Sissy...
context: No, it would have been better if only Ram had been safe.\That's right.\You said it.\Yes, if only that useless Rem had died...\It would have been best if only Ram had lived.\You were having a scary dream, weren't you?\You were moaning.\Sissy... response:	It's all right. I'm with you.
context: That's right.\You said it.\Yes, if only that useless Rem had died...\It would have been best if only Ram had lived.\You were having a scary dream, weren't you?\You were moaning.\Sissy...\It's all right. I'm with you. response:	So you don't have to worry about anything.
context: You said it.\Yes, if only that useless Rem had died...\It would have been best if only Ram had lived.\You were having a scary dream, weren't you?\You were moaning.\Sissy...\It's all right. I'm with you.\So you don't have to worry about anything. response:	Right, Sissy.
context: Yes, if only that useless Rem had died...\It would have been best if only Ram had lived.\You were having a scary dream, weren't you?\You were moaning.\Sissy...\It's all right. I'm with you.\So you don't have to worry about anything.\Right, Sissy. response:	I love you!
context: It would have been best if only Ram had lived.\You were having a scary dream, weren't you?\You were moaning.\Sissy...\It's all right. I'm with you.\So you don't have to worry about anything.\Right, Sissy.\I love you! response:	My sister really is amazing.
context: You were having a scary dream, weren't you?\You were moaning.\Sissy...\It's all right. I'm with you.\So you don't have to worry about anything.\Right, Sissy.\I love you!\My sister really is amazing. response:	I can't match her in anything.
context: You were moaning.\Sissy...\It's all right. I'm with you.\So you don't have to worry about anything.\Right, Sissy.\I love you!\My sister really is amazing.\I can't match her in anything. response:	In that case, I don't have to do anything anymore.
context: Sissy...\It's all right. I'm with you.\So you don't have to worry about anything.\Right, Sissy.\I love you!\My sister really is amazing.\I can't match her in anything.\In that case, I don't have to do anything anymore. response:	I can just walk behind her.
context: It's all right. I'm with you.\So you don't have to worry about anything.\Right, Sissy.\I love you!\My sister really is amazing.\I can't match her in anything.\In that case, I don't have to do anything anymore.\I can just walk behind her. response:	Sissy?
context: So you don't have to worry about anything.\Right, Sissy.\I love you!\My sister really is amazing.\I can't match her in anything.\In that case, I don't have to do anything anymore.\I can just walk behind her.\Sissy? response:	Sissy!
context: Right, Sissy.\I love you!\My sister really is amazing.\I can't match her in anything.\In that case, I don't have to do anything anymore.\I can just walk behind her.\Sissy?\Sissy! response:	Rem... I'm glad you're safe.
context: I love you!\My sister really is amazing.\I can't match her in anything.\In that case, I don't have to do anything anymore.\I can just walk behind her.\Sissy?\Sissy!\Rem... I'm glad you're safe. response:	It finally broke off.
context: My sister really is amazing.\I can't match her in anything.\In that case, I don't have to do anything anymore.\I can just walk behind her.\Sissy?\Sissy!\Rem... I'm glad you're safe.\It finally broke off. response:	Because of me,
context: I can't match her in anything.\In that case, I don't have to do anything anymore.\I can just walk behind her.\Sissy?\Sissy!\Rem... I'm glad you're safe.\It finally broke off.\Because of me, response:	my sister's horn was broken.
context: In that case, I don't have to do anything anymore.\I can just walk behind her.\Sissy?\Sissy!\Rem... I'm glad you're safe.\It finally broke off.\Because of me,\my sister's horn was broken. response:	And she lost her power.
context: I can just walk behind her.\Sissy?\Sissy!\Rem... I'm glad you're safe.\It finally broke off.\Because of me,\my sister's horn was broken.\And she lost her power. response:	From now on, I have to learn to do all the things that Sissy...
context: Sissy?\Sissy!\Rem... I'm glad you're safe.\It finally broke off.\Because of me,\my sister's horn was broken.\And she lost her power.\From now on, I have to learn to do all the things that Sissy... response:	That Sister could do.
context: Sissy!\Rem... I'm glad you're safe.\It finally broke off.\Because of me,\my sister's horn was broken.\And she lost her power.\From now on, I have to learn to do all the things that Sissy...\That Sister could do. response:	This is what Sister would have done.
context: Rem... I'm glad you're safe.\It finally broke off.\Because of me,\my sister's horn was broken.\And she lost her power.\From now on, I have to learn to do all the things that Sissy...\That Sister could do.\This is what Sister would have done. response:	Sister is far more amazing.
context: It finally broke off.\Because of me,\my sister's horn was broken.\And she lost her power.\From now on, I have to learn to do all the things that Sissy...\That Sister could do.\This is what Sister would have done.\Sister is far more amazing. response:	Sister could do even more.
context: Because of me,\my sister's horn was broken.\And she lost her power.\From now on, I have to learn to do all the things that Sissy...\That Sister could do.\This is what Sister would have done.\Sister is far more amazing.\Sister could do even more. response:	I only imitate what Sister could do.
context: my sister's horn was broken.\And she lost her power.\From now on, I have to learn to do all the things that Sissy...\That Sister could do.\This is what Sister would have done.\Sister is far more amazing.\Sister could do even more.\I only imitate what Sister could do. response:	If I cannot even do that satisfactorily,
context: And she lost her power.\From now on, I have to learn to do all the things that Sissy...\That Sister could do.\This is what Sister would have done.\Sister is far more amazing.\Sister could do even more.\I only imitate what Sister could do.\If I cannot even do that satisfactorily, response:	I am worthless.
context: From now on, I have to learn to do all the things that Sissy...\That Sister could do.\This is what Sister would have done.\Sister is far more amazing.\Sister could do even more.\I only imitate what Sister could do.\If I cannot even do that satisfactorily,\I am worthless. response:	You're doing a fine job...
context: That Sister could do.\This is what Sister would have done.\Sister is far more amazing.\Sister could do even more.\I only imitate what Sister could do.\If I cannot even do that satisfactorily,\I am worthless.\You're doing a fine job... response:	Many times, I heard those words back home.
context: This is what Sister would have done.\Sister is far more amazing.\Sister could do even more.\I only imitate what Sister could do.\If I cannot even do that satisfactorily,\I am worthless.\You're doing a fine job...\Many times, I heard those words back home. response:	Don't overdo it.
context: Sister is far more amazing.\Sister could do even more.\I only imitate what Sister could do.\If I cannot even do that satisfactorily,\I am worthless.\You're doing a fine job...\Many times, I heard those words back home.\Don't overdo it. response:	Even if I overdo everything, it will never be enough.
context: Sister could do even more.\I only imitate what Sister could do.\If I cannot even do that satisfactorily,\I am worthless.\You're doing a fine job...\Many times, I heard those words back home.\Don't overdo it.\Even if I overdo everything, it will never be enough. response:	Why do you try so hard?
context: I only imitate what Sister could do.\If I cannot even do that satisfactorily,\I am worthless.\You're doing a fine job...\Many times, I heard those words back home.\Don't overdo it.\Even if I overdo everything, it will never be enough.\Why do you try so hard? response:	Why else? Because nothing I do is enough.
context: If I cannot even do that satisfactorily,\I am worthless.\You're doing a fine job...\Many times, I heard those words back home.\Don't overdo it.\Even if I overdo everything, it will never be enough.\Why do you try so hard?\Why else? Because nothing I do is enough. response:	Why should I go on living?
context: I am worthless.\You're doing a fine job...\Many times, I heard those words back home.\Don't overdo it.\Even if I overdo everything, it will never be enough.\Why do you try so hard?\Why else? Because nothing I do is enough.\Why should I go on living? response:	All of this is my atonement for
context: You're doing a fine job...\Many times, I heard those words back home.\Don't overdo it.\Even if I overdo everything, it will never be enough.\Why do you try so hard?\Why else? Because nothing I do is enough.\Why should I go on living?\All of this is my atonement for response:	what I thought on that fiery night.
context: Many times, I heard those words back home.\Don't overdo it.\Even if I overdo everything, it will never be enough.\Why do you try so hard?\Why else? Because nothing I do is enough.\Why should I go on living?\All of this is my atonement for\what I thought on that fiery night. response:	What can I do to atone?
context: Don't overdo it.\Even if I overdo everything, it will never be enough.\Why do you try so hard?\Why else? Because nothing I do is enough.\Why should I go on living?\All of this is my atonement for\what I thought on that fiery night.\What can I do to atone? response:	I shall risk my life to walk the path that Sister would have walked,
context: Even if I overdo everything, it will never be enough.\Why do you try so hard?\Why else? Because nothing I do is enough.\Why should I go on living?\All of this is my atonement for\what I thought on that fiery night.\What can I do to atone?\I shall risk my life to walk the path that Sister would have walked, response:	the path I took from her.
context: Why do you try so hard?\Why else? Because nothing I do is enough.\Why should I go on living?\All of this is my atonement for\what I thought on that fiery night.\What can I do to atone?\I shall risk my life to walk the path that Sister would have walked,\the path I took from her. response:	Because I am inferior to her in every way.
context: Why else? Because nothing I do is enough.\Why should I go on living?\All of this is my atonement for\what I thought on that fiery night.\What can I do to atone?\I shall risk my life to walk the path that Sister would have walked,\the path I took from her.\Because I am inferior to her in every way. response:	I am nothing but a replacement.
context: Why should I go on living?\All of this is my atonement for\what I thought on that fiery night.\What can I do to atone?\I shall risk my life to walk the path that Sister would have walked,\the path I took from her.\Because I am inferior to her in every way.\I am nothing but a replacement. response:	Barusu, head to the right of that broken tree ahead!
context: All of this is my atonement for\what I thought on that fiery night.\What can I do to atone?\I shall risk my life to walk the path that Sister would have walked,\the path I took from her.\Because I am inferior to her in every way.\I am nothing but a replacement.\Barusu, head to the right of that broken tree ahead! response:	You're too slow!
context: what I thought on that fiery night.\What can I do to atone?\I shall risk my life to walk the path that Sister would have walked,\the path I took from her.\Because I am inferior to her in every way.\I am nothing but a replacement.\Barusu, head to the right of that broken tree ahead!\You're too slow! response:	Don't ask any more of me...
context: What can I do to atone?\I shall risk my life to walk the path that Sister would have walked,\the path I took from her.\Because I am inferior to her in every way.\I am nothing but a replacement.\Barusu, head to the right of that broken tree ahead!\You're too slow!\Don't ask any more of me... response:	I'm running... as fast as I can!
context: I shall risk my life to walk the path that Sister would have walked,\the path I took from her.\Because I am inferior to her in every way.\I am nothing but a replacement.\Barusu, head to the right of that broken tree ahead!\You're too slow!\Don't ask any more of me...\I'm running... as fast as I can! response:	Subaru-kun... What...
context: the path I took from her.\Because I am inferior to her in every way.\I am nothing but a replacement.\Barusu, head to the right of that broken tree ahead!\You're too slow!\Don't ask any more of me...\I'm running... as fast as I can!\Subaru-kun... What... response:	You're awake, Rem?
context: Because I am inferior to her in every way.\I am nothing but a replacement.\Barusu, head to the right of that broken tree ahead!\You're too slow!\Don't ask any more of me...\I'm running... as fast as I can!\Subaru-kun... What...\You're awake, Rem? response:	Thank goodness, Rem. You really are a handful.
context: I am nothing but a replacement.\Barusu, head to the right of that broken tree ahead!\You're too slow!\Don't ask any more of me...\I'm running... as fast as I can!\Subaru-kun... What...\You're awake, Rem?\Thank goodness, Rem. You really are a handful. response:	Fula!
context: Barusu, head to the right of that broken tree ahead!\You're too slow!\Don't ask any more of me...\I'm running... as fast as I can!\Subaru-kun... What...\You're awake, Rem?\Thank goodness, Rem. You really are a handful.\Fula! response:	Why...
context: You're too slow!\Don't ask any more of me...\I'm running... as fast as I can!\Subaru-kun... What...\You're awake, Rem?\Thank goodness, Rem. You really are a handful.\Fula!\Why... response:	Why didn't you just leave me alone?
context: Don't ask any more of me...\I'm running... as fast as I can!\Subaru-kun... What...\You're awake, Rem?\Thank goodness, Rem. You really are a handful.\Fula!\Why...\Why didn't you just leave me alone? response:	For you and Sister to show up makes it all pointless.
context: I'm running... as fast as I can!\Subaru-kun... What...\You're awake, Rem?\Thank goodness, Rem. You really are a handful.\Fula!\Why...\Why didn't you just leave me alone?\For you and Sister to show up makes it all pointless. response:	I have to do it by myself.
context: Subaru-kun... What...\You're awake, Rem?\Thank goodness, Rem. You really are a handful.\Fula!\Why...\Why didn't you just leave me alone?\For you and Sister to show up makes it all pointless.\I have to do it by myself. response:	No one else needs to get hurt anymore...
context: You're awake, Rem?\Thank goodness, Rem. You really are a handful.\Fula!\Why...\Why didn't you just leave me alone?\For you and Sister to show up makes it all pointless.\I have to do it by myself.\No one else needs to get hurt anymore... response:	Too late for that.
context: Thank goodness, Rem. You really are a handful.\Fula!\Why...\Why didn't you just leave me alone?\For you and Sister to show up makes it all pointless.\I have to do it by myself.\No one else needs to get hurt anymore...\Too late for that. response:	Ram and I are already torn to shreds, maybe even more than you!
context: Fula!\Why...\Why didn't you just leave me alone?\For you and Sister to show up makes it all pointless.\I have to do it by myself.\No one else needs to get hurt anymore...\Too late for that.\Ram and I are already torn to shreds, maybe even more than you! response:	My right shoulder's dislocated!
context: Why...\Why didn't you just leave me alone?\For you and Sister to show up makes it all pointless.\I have to do it by myself.\No one else needs to get hurt anymore...\Too late for that.\Ram and I are already torn to shreds, maybe even more than you!\My right shoulder's dislocated! response:	It's... It's my fault.
context: Why didn't you just leave me alone?\For you and Sister to show up makes it all pointless.\I have to do it by myself.\No one else needs to get hurt anymore...\Too late for that.\Ram and I are already torn to shreds, maybe even more than you!\My right shoulder's dislocated!\It's... It's my fault. response:	So I have to take responsibility.
context: For you and Sister to show up makes it all pointless.\I have to do it by myself.\No one else needs to get hurt anymore...\Too late for that.\Ram and I are already torn to shreds, maybe even more than you!\My right shoulder's dislocated!\It's... It's my fault.\So I have to take responsibility. response:	If I don't, I cannot do anything for Sister or you...
context: I have to do it by myself.\No one else needs to get hurt anymore...\Too late for that.\Ram and I are already torn to shreds, maybe even more than you!\My right shoulder's dislocated!\It's... It's my fault.\So I have to take responsibility.\If I don't, I cannot do anything for Sister or you... response:	I haven't changed at all.
context: No one else needs to get hurt anymore...\Too late for that.\Ram and I are already torn to shreds, maybe even more than you!\My right shoulder's dislocated!\It's... It's my fault.\So I have to take responsibility.\If I don't, I cannot do anything for Sister or you...\I haven't changed at all. response:	I committed the same sin as I did back then!
context: Too late for that.\Ram and I are already torn to shreds, maybe even more than you!\My right shoulder's dislocated!\It's... It's my fault.\So I have to take responsibility.\If I don't, I cannot do anything for Sister or you...\I haven't changed at all.\I committed the same sin as I did back then! response:	Because I hesitated to extend my hand to you...
context: Ram and I are already torn to shreds, maybe even more than you!\My right shoulder's dislocated!\It's... It's my fault.\So I have to take responsibility.\If I don't, I cannot do anything for Sister or you...\I haven't changed at all.\I committed the same sin as I did back then!\Because I hesitated to extend my hand to you... response:	The witch's scent?
context: My right shoulder's dislocated!\It's... It's my fault.\So I have to take responsibility.\If I don't, I cannot do anything for Sister or you...\I haven't changed at all.\I committed the same sin as I did back then!\Because I hesitated to extend my hand to you...\The witch's scent? response:	You nearly died.
context: It's... It's my fault.\So I have to take responsibility.\If I don't, I cannot do anything for Sister or you...\I haven't changed at all.\I committed the same sin as I did back then!\Because I hesitated to extend my hand to you...\The witch's scent?\You nearly died. response:	I'm not sure what you're talking about,
context: So I have to take responsibility.\If I don't, I cannot do anything for Sister or you...\I haven't changed at all.\I committed the same sin as I did back then!\Because I hesitated to extend my hand to you...\The witch's scent?\You nearly died.\I'm not sure what you're talking about, response:	but to atone for that, you got mad and decided to do this alone?
context: If I don't, I cannot do anything for Sister or you...\I haven't changed at all.\I committed the same sin as I did back then!\Because I hesitated to extend my hand to you...\The witch's scent?\You nearly died.\I'm not sure what you're talking about,\but to atone for that, you got mad and decided to do this alone? response:	Rem...
context: I haven't changed at all.\I committed the same sin as I did back then!\Because I hesitated to extend my hand to you...\The witch's scent?\You nearly died.\I'm not sure what you're talking about,\but to atone for that, you got mad and decided to do this alone?\Rem... response:	Yes?
context: I committed the same sin as I did back then!\Because I hesitated to extend my hand to you...\The witch's scent?\You nearly died.\I'm not sure what you're talking about,\but to atone for that, you got mad and decided to do this alone?\Rem...\Yes? response:	Super slap!
context: Because I hesitated to extend my hand to you...\The witch's scent?\You nearly died.\I'm not sure what you're talking about,\but to atone for that, you got mad and decided to do this alone?\Rem...\Yes?\Super slap! response:	For starters, are you dumb?
context: The witch's scent?\You nearly died.\I'm not sure what you're talking about,\but to atone for that, you got mad and decided to do this alone?\Rem...\Yes?\Super slap!\For starters, are you dumb? response:	No, you are dumb!
context: You nearly died.\I'm not sure what you're talking about,\but to atone for that, you got mad and decided to do this alone?\Rem...\Yes?\Super slap!\For starters, are you dumb?\No, you are dumb! response:	Barusu, the cut on your forehead has reopened and is bleeding.
context: I'm not sure what you're talking about,\but to atone for that, you got mad and decided to do this alone?\Rem...\Yes?\Super slap!\For starters, are you dumb?\No, you are dumb!\Barusu, the cut on your forehead has reopened and is bleeding. response:	Yeah, I know I'm dumb, too!
context: but to atone for that, you got mad and decided to do this alone?\Rem...\Yes?\Super slap!\For starters, are you dumb?\No, you are dumb!\Barusu, the cut on your forehead has reopened and is bleeding.\Yeah, I know I'm dumb, too! response:	But your sister is even dumber!
context: Rem...\Yes?\Super slap!\For starters, are you dumb?\No, you are dumb!\Barusu, the cut on your forehead has reopened and is bleeding.\Yeah, I know I'm dumb, too!\But your sister is even dumber! response:	Listen, where I'm from there's a saying, Three heads are better than one.
context: Yes?\Super slap!\For starters, are you dumb?\No, you are dumb!\Barusu, the cut on your forehead has reopened and is bleeding.\Yeah, I know I'm dumb, too!\But your sister is even dumber!\Listen, where I'm from there's a saying, Three heads are better than one. response:	Wait, is it two heads?
context: Super slap!\For starters, are you dumb?\No, you are dumb!\Barusu, the cut on your forehead has reopened and is bleeding.\Yeah, I know I'm dumb, too!\But your sister is even dumber!\Listen, where I'm from there's a saying, Three heads are better than one.\Wait, is it two heads? response:	Whatever... The point is,
context: For starters, are you dumb?\No, you are dumb!\Barusu, the cut on your forehead has reopened and is bleeding.\Yeah, I know I'm dumb, too!\But your sister is even dumber!\Listen, where I'm from there's a saying, Three heads are better than one.\Wait, is it two heads?\Whatever... The point is, response:	three heads, thinking together, are harder to break than only one arrow!
context: No, you are dumb!\Barusu, the cut on your forehead has reopened and is bleeding.\Yeah, I know I'm dumb, too!\But your sister is even dumber!\Listen, where I'm from there's a saying, Three heads are better than one.\Wait, is it two heads?\Whatever... The point is,\three heads, thinking together, are harder to break than only one arrow! response:	It means you should rely on
context: Barusu, the cut on your forehead has reopened and is bleeding.\Yeah, I know I'm dumb, too!\But your sister is even dumber!\Listen, where I'm from there's a saying, Three heads are better than one.\Wait, is it two heads?\Whatever... The point is,\three heads, thinking together, are harder to break than only one arrow!\It means you should rely on response:	those around you instead of thinking about stuff alone!
