context: High Commander Fudo is gone? response:	He left a note.
context: Andy!\What's the matter with him?\Why is he so depressed after he saving all of us?\Andy dug us an awesome hot spring!\What happened out there?\Mix, do you have any idea?\Nope! No idea! What could have possibly happened?\Oh no! response:	Mix...
context: What's the matter with him?\Why is he so depressed after he saving all of us?\Andy dug us an awesome hot spring!\What happened out there?\Mix, do you have any idea?\Nope! No idea! What could have possibly happened?\Oh no!\Mix... response:	A concert?
context: Why is he so depressed after he saving all of us?\Andy dug us an awesome hot spring!\What happened out there?\Mix, do you have any idea?\Nope! No idea! What could have possibly happened?\Oh no!\Mix...\A concert? response:	Thank you. I'll think about it.
context: Andy dug us an awesome hot spring!\What happened out there?\Mix, do you have any idea?\Nope! No idea! What could have possibly happened?\Oh no!\Mix...\A concert?\Thank you. I'll think about it. response:	Don't think. Come with me.
context: What happened out there?\Mix, do you have any idea?\Nope! No idea! What could have possibly happened?\Oh no!\Mix...\A concert?\Thank you. I'll think about it.\Don't think. Come with me. response:	I'll be waiting.
context: Mix, do you have any idea?\Nope! No idea! What could have possibly happened?\Oh no!\Mix...\A concert?\Thank you. I'll think about it.\Don't think. Come with me.\I'll be waiting. response:	Later!
context: Nope! No idea! What could have possibly happened?\Oh no!\Mix...\A concert?\Thank you. I'll think about it.\Don't think. Come with me.\I'll be waiting.\Later! response:	You got asked out again?
context: Oh no!\Mix...\A concert?\Thank you. I'll think about it.\Don't think. Come with me.\I'll be waiting.\Later!\You got asked out again? response:	Your new look's doing wonders for you, Zessica.
context: Mix...\A concert?\Thank you. I'll think about it.\Don't think. Come with me.\I'll be waiting.\Later!\You got asked out again?\Your new look's doing wonders for you, Zessica. response:	It's not sweet enough.
context: A concert?\Thank you. I'll think about it.\Don't think. Come with me.\I'll be waiting.\Later!\You got asked out again?\Your new look's doing wonders for you, Zessica.\It's not sweet enough. response:	And how about your daring confession in the mock battle?
context: Thank you. I'll think about it.\Don't think. Come with me.\I'll be waiting.\Later!\You got asked out again?\Your new look's doing wonders for you, Zessica.\It's not sweet enough.\And how about your daring confession in the mock battle? response:	You were so brave!
context: Don't think. Come with me.\I'll be waiting.\Later!\You got asked out again?\Your new look's doing wonders for you, Zessica.\It's not sweet enough.\And how about your daring confession in the mock battle?\You were so brave! response:	Sorry, did I make you do that?
context: I'll be waiting.\Later!\You got asked out again?\Your new look's doing wonders for you, Zessica.\It's not sweet enough.\And how about your daring confession in the mock battle?\You were so brave!\Sorry, did I make you do that? response:	Not really. I said it because I wanted to.
context: Later!\You got asked out again?\Your new look's doing wonders for you, Zessica.\It's not sweet enough.\And how about your daring confession in the mock battle?\You were so brave!\Sorry, did I make you do that?\Not really. I said it because I wanted to. response:	Besides, it got me to move forward.
context: You got asked out again?\Your new look's doing wonders for you, Zessica.\It's not sweet enough.\And how about your daring confession in the mock battle?\You were so brave!\Sorry, did I make you do that?\Not really. I said it because I wanted to.\Besides, it got me to move forward. response:	Really?
context: Your new look's doing wonders for you, Zessica.\It's not sweet enough.\And how about your daring confession in the mock battle?\You were so brave!\Sorry, did I make you do that?\Not really. I said it because I wanted to.\Besides, it got me to move forward.\Really? response:	But I might be moving into another dead end...
context: It's not sweet enough.\And how about your daring confession in the mock battle?\You were so brave!\Sorry, did I make you do that?\Not really. I said it because I wanted to.\Besides, it got me to move forward.\Really?\But I might be moving into another dead end... response:	Miss Suzushiro!
context: And how about your daring confession in the mock battle?\You were so brave!\Sorry, did I make you do that?\Not really. I said it because I wanted to.\Besides, it got me to move forward.\Really?\But I might be moving into another dead end...\Miss Suzushiro! response:	Yes?
context: You were so brave!\Sorry, did I make you do that?\Not really. I said it because I wanted to.\Besides, it got me to move forward.\Really?\But I might be moving into another dead end...\Miss Suzushiro!\Yes? response:	Perfect. I was going to take this up to your room.
context: Sorry, did I make you do that?\Not really. I said it because I wanted to.\Besides, it got me to move forward.\Really?\But I might be moving into another dead end...\Miss Suzushiro!\Yes?\Perfect. I was going to take this up to your room. response:	Here you go.
context: Not really. I said it because I wanted to.\Besides, it got me to move forward.\Really?\But I might be moving into another dead end...\Miss Suzushiro!\Yes?\Perfect. I was going to take this up to your room.\Here you go. response:	Thank you.
context: Besides, it got me to move forward.\Really?\But I might be moving into another dead end...\Miss Suzushiro!\Yes?\Perfect. I was going to take this up to your room.\Here you go.\Thank you. response:	Mikono!
context: Really?\But I might be moving into another dead end...\Miss Suzushiro!\Yes?\Perfect. I was going to take this up to your room.\Here you go.\Thank you.\Mikono! response:	Oh, I'm sorry. I wasn't trying to hide this.
context: But I might be moving into another dead end...\Miss Suzushiro!\Yes?\Perfect. I was going to take this up to your room.\Here you go.\Thank you.\Mikono!\Oh, I'm sorry. I wasn't trying to hide this. response:	It's a letter from my father.
context: Miss Suzushiro!\Yes?\Perfect. I was going to take this up to your room.\Here you go.\Thank you.\Mikono!\Oh, I'm sorry. I wasn't trying to hide this.\It's a letter from my father. response:	Your father?
context: Yes?\Perfect. I was going to take this up to your room.\Here you go.\Thank you.\Mikono!\Oh, I'm sorry. I wasn't trying to hide this.\It's a letter from my father.\Your father? response:	We don't really get along.
context: Perfect. I was going to take this up to your room.\Here you go.\Thank you.\Mikono!\Oh, I'm sorry. I wasn't trying to hide this.\It's a letter from my father.\Your father?\We don't really get along. response:	I wasn't expecting a letter from him.
context: Here you go.\Thank you.\Mikono!\Oh, I'm sorry. I wasn't trying to hide this.\It's a letter from my father.\Your father?\We don't really get along.\I wasn't expecting a letter from him. response:	Maybe he's worried about me.
context: Thank you.\Mikono!\Oh, I'm sorry. I wasn't trying to hide this.\It's a letter from my father.\Your father?\We don't really get along.\I wasn't expecting a letter from him.\Maybe he's worried about me. response:	Well, of course. He's your dad.
context: Mikono!\Oh, I'm sorry. I wasn't trying to hide this.\It's a letter from my father.\Your father?\We don't really get along.\I wasn't expecting a letter from him.\Maybe he's worried about me.\Well, of course. He's your dad. response:	I guess I'm not one to talk.
context: Oh, I'm sorry. I wasn't trying to hide this.\It's a letter from my father.\Your father?\We don't really get along.\I wasn't expecting a letter from him.\Maybe he's worried about me.\Well, of course. He's your dad.\I guess I'm not one to talk. response:	Oh, no...
context: It's a letter from my father.\Your father?\We don't really get along.\I wasn't expecting a letter from him.\Maybe he's worried about me.\Well, of course. He's your dad.\I guess I'm not one to talk.\Oh, no... response:	I remember my mom a little bit,
context: Your father?\We don't really get along.\I wasn't expecting a letter from him.\Maybe he's worried about me.\Well, of course. He's your dad.\I guess I'm not one to talk.\Oh, no...\I remember my mom a little bit, response:	but nothing about my dad.
context: We don't really get along.\I wasn't expecting a letter from him.\Maybe he's worried about me.\Well, of course. He's your dad.\I guess I'm not one to talk.\Oh, no...\I remember my mom a little bit,\but nothing about my dad. response:	I don't even know what's going on right now.
context: I wasn't expecting a letter from him.\Maybe he's worried about me.\Well, of course. He's your dad.\I guess I'm not one to talk.\Oh, no...\I remember my mom a little bit,\but nothing about my dad.\I don't even know what's going on right now. response:	You mean...
context: Maybe he's worried about me.\Well, of course. He's your dad.\I guess I'm not one to talk.\Oh, no...\I remember my mom a little bit,\but nothing about my dad.\I don't even know what's going on right now.\You mean... response:	when I protected him?
context: Well, of course. He's your dad.\I guess I'm not one to talk.\Oh, no...\I remember my mom a little bit,\but nothing about my dad.\I don't even know what's going on right now.\You mean...\when I protected him? response:	Stop!
context: I guess I'm not one to talk.\Oh, no...\I remember my mom a little bit,\but nothing about my dad.\I don't even know what's going on right now.\You mean...\when I protected him?\Stop! response:	Don't shoot, Amata!
context: Oh, no...\I remember my mom a little bit,\but nothing about my dad.\I don't even know what's going on right now.\You mean...\when I protected him?\Stop!\Don't shoot, Amata! response:	Please, forgive him!
context: I remember my mom a little bit,\but nothing about my dad.\I don't even know what's going on right now.\You mean...\when I protected him?\Stop!\Don't shoot, Amata!\Please, forgive him! response:	I don't mean to blame you for anything!
context: but nothing about my dad.\I don't even know what's going on right now.\You mean...\when I protected him?\Stop!\Don't shoot, Amata!\Please, forgive him!\I don't mean to blame you for anything! response:	But we all have to work together now.
context: I don't even know what's going on right now.\You mean...\when I protected him?\Stop!\Don't shoot, Amata!\Please, forgive him!\I don't mean to blame you for anything!\But we all have to work together now. response:	I know!
context: You mean...\when I protected him?\Stop!\Don't shoot, Amata!\Please, forgive him!\I don't mean to blame you for anything!\But we all have to work together now.\I know! response:	I'm the one who's supposed to connect everyone together.
context: when I protected him?\Stop!\Don't shoot, Amata!\Please, forgive him!\I don't mean to blame you for anything!\But we all have to work together now.\I know!\I'm the one who's supposed to connect everyone together. response:	But I don't know if I can!
context: Stop!\Don't shoot, Amata!\Please, forgive him!\I don't mean to blame you for anything!\But we all have to work together now.\I know!\I'm the one who's supposed to connect everyone together.\But I don't know if I can! response:	This isn't...
context: Don't shoot, Amata!\Please, forgive him!\I don't mean to blame you for anything!\But we all have to work together now.\I know!\I'm the one who's supposed to connect everyone together.\But I don't know if I can!\This isn't... response:	Well, this is different. What's the matter?
context: Please, forgive him!\I don't mean to blame you for anything!\But we all have to work together now.\I know!\I'm the one who's supposed to connect everyone together.\But I don't know if I can!\This isn't...\Well, this is different. What's the matter? response:	Father's letter to you got delivered to me by mistake.
context: I don't mean to blame you for anything!\But we all have to work together now.\I know!\I'm the one who's supposed to connect everyone together.\But I don't know if I can!\This isn't...\Well, this is different. What's the matter?\Father's letter to you got delivered to me by mistake. response:	Sorry. I opened it first.
context: But we all have to work together now.\I know!\I'm the one who's supposed to connect everyone together.\But I don't know if I can!\This isn't...\Well, this is different. What's the matter?\Father's letter to you got delivered to me by mistake.\Sorry. I opened it first. response:	Yeah, Dad's handwriting is terrible.
context: I know!\I'm the one who's supposed to connect everyone together.\But I don't know if I can!\This isn't...\Well, this is different. What's the matter?\Father's letter to you got delivered to me by mistake.\Sorry. I opened it first.\Yeah, Dad's handwriting is terrible. response:	And why'd he send a sealed letter, anyway?
context: I'm the one who's supposed to connect everyone together.\But I don't know if I can!\This isn't...\Well, this is different. What's the matter?\Father's letter to you got delivered to me by mistake.\Sorry. I opened it first.\Yeah, Dad's handwriting is terrible.\And why'd he send a sealed letter, anyway? response:	Hey, what's wrong?
context: But I don't know if I can!\This isn't...\Well, this is different. What's the matter?\Father's letter to you got delivered to me by mistake.\Sorry. I opened it first.\Yeah, Dad's handwriting is terrible.\And why'd he send a sealed letter, anyway?\Hey, what's wrong? response:	Nothing.
context: This isn't...\Well, this is different. What's the matter?\Father's letter to you got delivered to me by mistake.\Sorry. I opened it first.\Yeah, Dad's handwriting is terrible.\And why'd he send a sealed letter, anyway?\Hey, what's wrong?\Nothing. response:	See you tomorrow.
context: Well, this is different. What's the matter?\Father's letter to you got delivered to me by mistake.\Sorry. I opened it first.\Yeah, Dad's handwriting is terrible.\And why'd he send a sealed letter, anyway?\Hey, what's wrong?\Nothing.\See you tomorrow. response:	Mikono!
context: Father's letter to you got delivered to me by mistake.\Sorry. I opened it first.\Yeah, Dad's handwriting is terrible.\And why'd he send a sealed letter, anyway?\Hey, what's wrong?\Nothing.\See you tomorrow.\Mikono! response:	I'm so stupid.
context: Sorry. I opened it first.\Yeah, Dad's handwriting is terrible.\And why'd he send a sealed letter, anyway?\Hey, what's wrong?\Nothing.\See you tomorrow.\Mikono!\I'm so stupid. response:	I shouldn't have kept reading it.
context: Yeah, Dad's handwriting is terrible.\And why'd he send a sealed letter, anyway?\Hey, what's wrong?\Nothing.\See you tomorrow.\Mikono!\I'm so stupid.\I shouldn't have kept reading it. response:	I don't know why Mikono is at the academy,
context: And why'd he send a sealed letter, anyway?\Hey, what's wrong?\Nothing.\See you tomorrow.\Mikono!\I'm so stupid.\I shouldn't have kept reading it.\I don't know why Mikono is at the academy, response:	but I hope she isn't holding you back.
context: Hey, what's wrong?\Nothing.\See you tomorrow.\Mikono!\I'm so stupid.\I shouldn't have kept reading it.\I don't know why Mikono is at the academy,\but I hope she isn't holding you back. response:	You know she's never been good at anything.
context: Nothing.\See you tomorrow.\Mikono!\I'm so stupid.\I shouldn't have kept reading it.\I don't know why Mikono is at the academy,\but I hope she isn't holding you back.\You know she's never been good at anything. response:	Just say the word and I'll have her out of Neo-Deava
context: See you tomorrow.\Mikono!\I'm so stupid.\I shouldn't have kept reading it.\I don't know why Mikono is at the academy,\but I hope she isn't holding you back.\You know she's never been good at anything.\Just say the word and I'll have her out of Neo-Deava response:	and back home with me.
context: Mikono!\I'm so stupid.\I shouldn't have kept reading it.\I don't know why Mikono is at the academy,\but I hope she isn't holding you back.\You know she's never been good at anything.\Just say the word and I'll have her out of Neo-Deava\and back home with me. response:	I'm still completely useless to Daddy.
context: I'm so stupid.\I shouldn't have kept reading it.\I don't know why Mikono is at the academy,\but I hope she isn't holding you back.\You know she's never been good at anything.\Just say the word and I'll have her out of Neo-Deava\and back home with me.\I'm still completely useless to Daddy. response:	Mikono?
context: I shouldn't have kept reading it.\I don't know why Mikono is at the academy,\but I hope she isn't holding you back.\You know she's never been good at anything.\Just say the word and I'll have her out of Neo-Deava\and back home with me.\I'm still completely useless to Daddy.\Mikono? response:	You're worried about Andy?
context: I don't know why Mikono is at the academy,\but I hope she isn't holding you back.\You know she's never been good at anything.\Just say the word and I'll have her out of Neo-Deava\and back home with me.\I'm still completely useless to Daddy.\Mikono?\You're worried about Andy? response:	He's really depressed right now.
context: but I hope she isn't holding you back.\You know she's never been good at anything.\Just say the word and I'll have her out of Neo-Deava\and back home with me.\I'm still completely useless to Daddy.\Mikono?\You're worried about Andy?\He's really depressed right now. response:	And it's all my fault.
context: You know she's never been good at anything.\Just say the word and I'll have her out of Neo-Deava\and back home with me.\I'm still completely useless to Daddy.\Mikono?\You're worried about Andy?\He's really depressed right now.\And it's all my fault. response:	But I thought you two were getting along really well.
context: Just say the word and I'll have her out of Neo-Deava\and back home with me.\I'm still completely useless to Daddy.\Mikono?\You're worried about Andy?\He's really depressed right now.\And it's all my fault.\But I thought you two were getting along really well. response:	It happened on that field trip.
context: and back home with me.\I'm still completely useless to Daddy.\Mikono?\You're worried about Andy?\He's really depressed right now.\And it's all my fault.\But I thought you two were getting along really well.\It happened on that field trip. response:	The worst part is, I go around telling people to say what they feel,
context: I'm still completely useless to Daddy.\Mikono?\You're worried about Andy?\He's really depressed right now.\And it's all my fault.\But I thought you two were getting along really well.\It happened on that field trip.\The worst part is, I go around telling people to say what they feel, response:	but when it came to it, I just couldn't do it.
context: Mikono?\You're worried about Andy?\He's really depressed right now.\And it's all my fault.\But I thought you two were getting along really well.\It happened on that field trip.\The worst part is, I go around telling people to say what they feel,\but when it came to it, I just couldn't do it. response:	I can't stop seeing my dad in boys.
context: You're worried about Andy?\He's really depressed right now.\And it's all my fault.\But I thought you two were getting along really well.\It happened on that field trip.\The worst part is, I go around telling people to say what they feel,\but when it came to it, I just couldn't do it.\I can't stop seeing my dad in boys. response:	Your dad?
context: He's really depressed right now.\And it's all my fault.\But I thought you two were getting along really well.\It happened on that field trip.\The worst part is, I go around telling people to say what they feel,\but when it came to it, I just couldn't do it.\I can't stop seeing my dad in boys.\Your dad? response:	You know why I have boy problems, right?
context: And it's all my fault.\But I thought you two were getting along really well.\It happened on that field trip.\The worst part is, I go around telling people to say what they feel,\but when it came to it, I just couldn't do it.\I can't stop seeing my dad in boys.\Your dad?\You know why I have boy problems, right? response:	Yeah...
context: But I thought you two were getting along really well.\It happened on that field trip.\The worst part is, I go around telling people to say what they feel,\but when it came to it, I just couldn't do it.\I can't stop seeing my dad in boys.\Your dad?\You know why I have boy problems, right?\Yeah... response:	How about you, Mikono?
context: It happened on that field trip.\The worst part is, I go around telling people to say what they feel,\but when it came to it, I just couldn't do it.\I can't stop seeing my dad in boys.\Your dad?\You know why I have boy problems, right?\Yeah...\How about you, Mikono? response:	What's your relationship with your dad?
context: The worst part is, I go around telling people to say what they feel,\but when it came to it, I just couldn't do it.\I can't stop seeing my dad in boys.\Your dad?\You know why I have boy problems, right?\Yeah...\How about you, Mikono?\What's your relationship with your dad? response:	Me? I...
context: but when it came to it, I just couldn't do it.\I can't stop seeing my dad in boys.\Your dad?\You know why I have boy problems, right?\Yeah...\How about you, Mikono?\What's your relationship with your dad?\Me? I... response:	Um...
context: I can't stop seeing my dad in boys.\Your dad?\You know why I have boy problems, right?\Yeah...\How about you, Mikono?\What's your relationship with your dad?\Me? I...\Um... response:	What is it, Mikono?
context: Your dad?\You know why I have boy problems, right?\Yeah...\How about you, Mikono?\What's your relationship with your dad?\Me? I...\Um...\What is it, Mikono? response:	If you're not going to tell me...
context: You know why I have boy problems, right?\Yeah...\How about you, Mikono?\What's your relationship with your dad?\Me? I...\Um...\What is it, Mikono?\If you're not going to tell me... response:	I was always afraid of what he thought of me.
context: Yeah...\How about you, Mikono?\What's your relationship with your dad?\Me? I...\Um...\What is it, Mikono?\If you're not going to tell me...\I was always afraid of what he thought of me. response:	Whenever I was about to say something,
context: How about you, Mikono?\What's your relationship with your dad?\Me? I...\Um...\What is it, Mikono?\If you're not going to tell me...\I was always afraid of what he thought of me.\Whenever I was about to say something, response:	I'd be afraid he'd get mad and stop.
context: What's your relationship with your dad?\Me? I...\Um...\What is it, Mikono?\If you're not going to tell me...\I was always afraid of what he thought of me.\Whenever I was about to say something,\I'd be afraid he'd get mad and stop. response:	But he'd get mad at me for not speaking my mind anyway.
context: Me? I...\Um...\What is it, Mikono?\If you're not going to tell me...\I was always afraid of what he thought of me.\Whenever I was about to say something,\I'd be afraid he'd get mad and stop.\But he'd get mad at me for not speaking my mind anyway. response:	Oh.
context: Um...\What is it, Mikono?\If you're not going to tell me...\I was always afraid of what he thought of me.\Whenever I was about to say something,\I'd be afraid he'd get mad and stop.\But he'd get mad at me for not speaking my mind anyway.\Oh. response:	I guess we'll never understand.
context: What is it, Mikono?\If you're not going to tell me...\I was always afraid of what he thought of me.\Whenever I was about to say something,\I'd be afraid he'd get mad and stop.\But he'd get mad at me for not speaking my mind anyway.\Oh.\I guess we'll never understand. response:	Even dads are men.
context: If you're not going to tell me...\I was always afraid of what he thought of me.\Whenever I was about to say something,\I'd be afraid he'd get mad and stop.\But he'd get mad at me for not speaking my mind anyway.\Oh.\I guess we'll never understand.\Even dads are men. response:	And us girls can't figure out how men feel.
context: I was always afraid of what he thought of me.\Whenever I was about to say something,\I'd be afraid he'd get mad and stop.\But he'd get mad at me for not speaking my mind anyway.\Oh.\I guess we'll never understand.\Even dads are men.\And us girls can't figure out how men feel. response:	By the way, is Shush a boy or a girl?
context: Whenever I was about to say something,\I'd be afraid he'd get mad and stop.\But he'd get mad at me for not speaking my mind anyway.\Oh.\I guess we'll never understand.\Even dads are men.\And us girls can't figure out how men feel.\By the way, is Shush a boy or a girl? response:	Well...
context: I'd be afraid he'd get mad and stop.\But he'd get mad at me for not speaking my mind anyway.\Oh.\I guess we'll never understand.\Even dads are men.\And us girls can't figure out how men feel.\By the way, is Shush a boy or a girl?\Well... response:	Zessica?
context: But he'd get mad at me for not speaking my mind anyway.\Oh.\I guess we'll never understand.\Even dads are men.\And us girls can't figure out how men feel.\By the way, is Shush a boy or a girl?\Well...\Zessica? response:	Why are you practicing at this hour?
context: Oh.\I guess we'll never understand.\Even dads are men.\And us girls can't figure out how men feel.\By the way, is Shush a boy or a girl?\Well...\Zessica?\Why are you practicing at this hour? response:	I remembered, I'm a fighter girl.
context: I guess we'll never understand.\Even dads are men.\And us girls can't figure out how men feel.\By the way, is Shush a boy or a girl?\Well...\Zessica?\Why are you practicing at this hour?\I remembered, I'm a fighter girl. response:	I know I've been depressed lately,
context: Even dads are men.\And us girls can't figure out how men feel.\By the way, is Shush a boy or a girl?\Well...\Zessica?\Why are you practicing at this hour?\I remembered, I'm a fighter girl.\I know I've been depressed lately, response:	but I don't want to lose one edge. It's all I've got.
context: And us girls can't figure out how men feel.\By the way, is Shush a boy or a girl?\Well...\Zessica?\Why are you practicing at this hour?\I remembered, I'm a fighter girl.\I know I've been depressed lately,\but I don't want to lose one edge. It's all I've got. response:	Good night!
context: By the way, is Shush a boy or a girl?\Well...\Zessica?\Why are you practicing at this hour?\I remembered, I'm a fighter girl.\I know I've been depressed lately,\but I don't want to lose one edge. It's all I've got.\Good night! response:	Zessica...
context: Well...\Zessica?\Why are you practicing at this hour?\I remembered, I'm a fighter girl.\I know I've been depressed lately,\but I don't want to lose one edge. It's all I've got.\Good night!\Zessica... response:	What am I doing?
context: Zessica?\Why are you practicing at this hour?\I remembered, I'm a fighter girl.\I know I've been depressed lately,\but I don't want to lose one edge. It's all I've got.\Good night!\Zessica...\What am I doing? response:	This is a dead end.
context: Why are you practicing at this hour?\I remembered, I'm a fighter girl.\I know I've been depressed lately,\but I don't want to lose one edge. It's all I've got.\Good night!\Zessica...\What am I doing?\This is a dead end. response:	Ianthe's operating level has just passed 40.
context: I remembered, I'm a fighter girl.\I know I've been depressed lately,\but I don't want to lose one edge. It's all I've got.\Good night!\Zessica...\What am I doing?\This is a dead end.\Ianthe's operating level has just passed 40. response:	The amount of energy required for dimensional warping is what's hurting us the most.
context: I know I've been depressed lately,\but I don't want to lose one edge. It's all I've got.\Good night!\Zessica...\What am I doing?\This is a dead end.\Ianthe's operating level has just passed 40.\The amount of energy required for dimensional warping is what's hurting us the most. response:	Continued travel to Vega will put a strain on the populace.
context: but I don't want to lose one edge. It's all I've got.\Good night!\Zessica...\What am I doing?\This is a dead end.\Ianthe's operating level has just passed 40.\The amount of energy required for dimensional warping is what's hurting us the most.\Continued travel to Vega will put a strain on the populace. response:	Mass rebellions have been forecasted.
context: Good night!\Zessica...\What am I doing?\This is a dead end.\Ianthe's operating level has just passed 40.\The amount of energy required for dimensional warping is what's hurting us the most.\Continued travel to Vega will put a strain on the populace.\Mass rebellions have been forecasted. response:	Then we've reached the end of the line.
context: Zessica...\What am I doing?\This is a dead end.\Ianthe's operating level has just passed 40.\The amount of energy required for dimensional warping is what's hurting us the most.\Continued travel to Vega will put a strain on the populace.\Mass rebellions have been forecasted.\Then we've reached the end of the line. response:	Where is Kagura?
context: What am I doing?\This is a dead end.\Ianthe's operating level has just passed 40.\The amount of energy required for dimensional warping is what's hurting us the most.\Continued travel to Vega will put a strain on the populace.\Mass rebellions have been forecasted.\Then we've reached the end of the line.\Where is Kagura? response:	I'm sorry. We don't know.
context: This is a dead end.\Ianthe's operating level has just passed 40.\The amount of energy required for dimensional warping is what's hurting us the most.\Continued travel to Vega will put a strain on the populace.\Mass rebellions have been forecasted.\Then we've reached the end of the line.\Where is Kagura?\I'm sorry. We don't know. response:	Mikage is probably behind this.
context: Ianthe's operating level has just passed 40.\The amount of energy required for dimensional warping is what's hurting us the most.\Continued travel to Vega will put a strain on the populace.\Mass rebellions have been forecasted.\Then we've reached the end of the line.\Where is Kagura?\I'm sorry. We don't know.\Mikage is probably behind this. response:	He doesn't care one bit for Altair's future.
context: The amount of energy required for dimensional warping is what's hurting us the most.\Continued travel to Vega will put a strain on the populace.\Mass rebellions have been forecasted.\Then we've reached the end of the line.\Where is Kagura?\I'm sorry. We don't know.\Mikage is probably behind this.\He doesn't care one bit for Altair's future. response:	Prepare the Ahura Gnis to sortie.
context: Continued travel to Vega will put a strain on the populace.\Mass rebellions have been forecasted.\Then we've reached the end of the line.\Where is Kagura?\I'm sorry. We don't know.\Mikage is probably behind this.\He doesn't care one bit for Altair's future.\Prepare the Ahura Gnis to sortie. response:	Sir?
context: Mass rebellions have been forecasted.\Then we've reached the end of the line.\Where is Kagura?\I'm sorry. We don't know.\Mikage is probably behind this.\He doesn't care one bit for Altair's future.\Prepare the Ahura Gnis to sortie.\Sir? response:	I'm going to Vega myself.
context: Then we've reached the end of the line.\Where is Kagura?\I'm sorry. We don't know.\Mikage is probably behind this.\He doesn't care one bit for Altair's future.\Prepare the Ahura Gnis to sortie.\Sir?\I'm going to Vega myself. response:	It's time to taste the air of that old battlefield.
context: Where is Kagura?\I'm sorry. We don't know.\Mikage is probably behind this.\He doesn't care one bit for Altair's future.\Prepare the Ahura Gnis to sortie.\Sir?\I'm going to Vega myself.\It's time to taste the air of that old battlefield. response:	Alicia...
context: I'm sorry. We don't know.\Mikage is probably behind this.\He doesn't care one bit for Altair's future.\Prepare the Ahura Gnis to sortie.\Sir?\I'm going to Vega myself.\It's time to taste the air of that old battlefield.\Alicia... response:	For the sake of bringing this world back to life,
context: Mikage is probably behind this.\He doesn't care one bit for Altair's future.\Prepare the Ahura Gnis to sortie.\Sir?\I'm going to Vega myself.\It's time to taste the air of that old battlefield.\Alicia...\For the sake of bringing this world back to life, response:	I shall find the True Eve.
context: He doesn't care one bit for Altair's future.\Prepare the Ahura Gnis to sortie.\Sir?\I'm going to Vega myself.\It's time to taste the air of that old battlefield.\Alicia...\For the sake of bringing this world back to life,\I shall find the True Eve. response:	And I might also find...
