context: Nothing. It's nothing. response:	Touko!
context: I wonder.\She's getting to that age.\What? Are you saying I'm the only kid here?\You're almost an adult, too.\It'll happen before you know it.\One more piece?\Yes, please. I'll go home after that.\Are you sure? response:	Yes.
context: She's getting to that age.\What? Are you saying I'm the only kid here?\You're almost an adult, too.\It'll happen before you know it.\One more piece?\Yes, please. I'll go home after that.\Are you sure?\Yes. response:	Um! Something really dramatic.
context: What? Are you saying I'm the only kid here?\You're almost an adult, too.\It'll happen before you know it.\One more piece?\Yes, please. I'll go home after that.\Are you sure?\Yes.\Um! Something really dramatic. response:	Okay, got it.
context: You're almost an adult, too.\It'll happen before you know it.\One more piece?\Yes, please. I'll go home after that.\Are you sure?\Yes.\Um! Something really dramatic.\Okay, got it. response:	I'm not afraid.
context: It'll happen before you know it.\One more piece?\Yes, please. I'll go home after that.\Are you sure?\Yes.\Um! Something really dramatic.\Okay, got it.\I'm not afraid. response:	It's not a future that's about to happen.
context: One more piece?\Yes, please. I'll go home after that.\Are you sure?\Yes.\Um! Something really dramatic.\Okay, got it.\I'm not afraid.\It's not a future that's about to happen. response:	But Kakeru-kun...
context: Yes, please. I'll go home after that.\Are you sure?\Yes.\Um! Something really dramatic.\Okay, got it.\I'm not afraid.\It's not a future that's about to happen.\But Kakeru-kun... response:	Kakeru-kun will be gone.
context: Are you sure?\Yes.\Um! Something really dramatic.\Okay, got it.\I'm not afraid.\It's not a future that's about to happen.\But Kakeru-kun...\Kakeru-kun will be gone. response:	Thanks for waiting.
context: Yes.\Um! Something really dramatic.\Okay, got it.\I'm not afraid.\It's not a future that's about to happen.\But Kakeru-kun...\Kakeru-kun will be gone.\Thanks for waiting. response:	I'm surprised you all ordered Mandheling, though.
context: Um! Something really dramatic.\Okay, got it.\I'm not afraid.\It's not a future that's about to happen.\But Kakeru-kun...\Kakeru-kun will be gone.\Thanks for waiting.\I'm surprised you all ordered Mandheling, though. response:	I'm nervous for some reason.
context: Okay, got it.\I'm not afraid.\It's not a future that's about to happen.\But Kakeru-kun...\Kakeru-kun will be gone.\Thanks for waiting.\I'm surprised you all ordered Mandheling, though.\I'm nervous for some reason. response:	Yeah. I feel weird.
context: I'm not afraid.\It's not a future that's about to happen.\But Kakeru-kun...\Kakeru-kun will be gone.\Thanks for waiting.\I'm surprised you all ordered Mandheling, though.\I'm nervous for some reason.\Yeah. I feel weird. response:	It's bitter.
context: It's not a future that's about to happen.\But Kakeru-kun...\Kakeru-kun will be gone.\Thanks for waiting.\I'm surprised you all ordered Mandheling, though.\I'm nervous for some reason.\Yeah. I feel weird.\It's bitter. response:	I wish Touko-san were here, too.
context: But Kakeru-kun...\Kakeru-kun will be gone.\Thanks for waiting.\I'm surprised you all ordered Mandheling, though.\I'm nervous for some reason.\Yeah. I feel weird.\It's bitter.\I wish Touko-san were here, too. response:	Remember when the five of us used to get together randomly all the time?
context: Kakeru-kun will be gone.\Thanks for waiting.\I'm surprised you all ordered Mandheling, though.\I'm nervous for some reason.\Yeah. I feel weird.\It's bitter.\I wish Touko-san were here, too.\Remember when the five of us used to get together randomly all the time? response:	I'll try calling her.
context: Thanks for waiting.\I'm surprised you all ordered Mandheling, though.\I'm nervous for some reason.\Yeah. I feel weird.\It's bitter.\I wish Touko-san were here, too.\Remember when the five of us used to get together randomly all the time?\I'll try calling her. response:	What's up?
context: I'm surprised you all ordered Mandheling, though.\I'm nervous for some reason.\Yeah. I feel weird.\It's bitter.\I wish Touko-san were here, too.\Remember when the five of us used to get together randomly all the time?\I'll try calling her.\What's up? response:	I want to meet her by chance.
context: I'm nervous for some reason.\Yeah. I feel weird.\It's bitter.\I wish Touko-san were here, too.\Remember when the five of us used to get together randomly all the time?\I'll try calling her.\What's up?\I want to meet her by chance. response:	That's a nice thing to say for once, coming from you.
context: Yeah. I feel weird.\It's bitter.\I wish Touko-san were here, too.\Remember when the five of us used to get together randomly all the time?\I'll try calling her.\What's up?\I want to meet her by chance.\That's a nice thing to say for once, coming from you. response:	For once, yeah.
context: It's bitter.\I wish Touko-san were here, too.\Remember when the five of us used to get together randomly all the time?\I'll try calling her.\What's up?\I want to meet her by chance.\That's a nice thing to say for once, coming from you.\For once, yeah. response:	Sorry, I rocked the boat.
context: I wish Touko-san were here, too.\Remember when the five of us used to get together randomly all the time?\I'll try calling her.\What's up?\I want to meet her by chance.\That's a nice thing to say for once, coming from you.\For once, yeah.\Sorry, I rocked the boat. response:	I'll tell you both, too.
context: Remember when the five of us used to get together randomly all the time?\I'll try calling her.\What's up?\I want to meet her by chance.\That's a nice thing to say for once, coming from you.\For once, yeah.\Sorry, I rocked the boat.\I'll tell you both, too. response:	You don't have to.
context: I'll try calling her.\What's up?\I want to meet her by chance.\That's a nice thing to say for once, coming from you.\For once, yeah.\Sorry, I rocked the boat.\I'll tell you both, too.\You don't have to. response:	Everyone has secrets.
context: What's up?\I want to meet her by chance.\That's a nice thing to say for once, coming from you.\For once, yeah.\Sorry, I rocked the boat.\I'll tell you both, too.\You don't have to.\Everyone has secrets. response:	Well, small ones.
context: I want to meet her by chance.\That's a nice thing to say for once, coming from you.\For once, yeah.\Sorry, I rocked the boat.\I'll tell you both, too.\You don't have to.\Everyone has secrets.\Well, small ones. response:	Maybe it's because we all got together for coffee.
context: That's a nice thing to say for once, coming from you.\For once, yeah.\Sorry, I rocked the boat.\I'll tell you both, too.\You don't have to.\Everyone has secrets.\Well, small ones.\Maybe it's because we all got together for coffee. response:	Morning.
context: For once, yeah.\Sorry, I rocked the boat.\I'll tell you both, too.\You don't have to.\Everyone has secrets.\Well, small ones.\Maybe it's because we all got together for coffee.\Morning. response:	Morning.
context: Sorry, I rocked the boat.\I'll tell you both, too.\You don't have to.\Everyone has secrets.\Well, small ones.\Maybe it's because we all got together for coffee.\Morning.\Morning. response:	Morning.
context: I'll tell you both, too.\You don't have to.\Everyone has secrets.\Well, small ones.\Maybe it's because we all got together for coffee.\Morning.\Morning.\Morning. response:	Huh, where's Onee-chan?
context: You don't have to.\Everyone has secrets.\Well, small ones.\Maybe it's because we all got together for coffee.\Morning.\Morning.\Morning.\Huh, where's Onee-chan? response:	Dunno.
context: Everyone has secrets.\Well, small ones.\Maybe it's because we all got together for coffee.\Morning.\Morning.\Morning.\Huh, where's Onee-chan?\Dunno. response:	Is she in the studio again so early?
context: Well, small ones.\Maybe it's because we all got together for coffee.\Morning.\Morning.\Morning.\Huh, where's Onee-chan?\Dunno.\Is she in the studio again so early? response:	Hina,
context: Maybe it's because we all got together for coffee.\Morning.\Morning.\Morning.\Huh, where's Onee-chan?\Dunno.\Is she in the studio again so early?\Hina, response:	it looks like that girl came home in a huge hurry to finish her homework.
context: Morning.\Morning.\Morning.\Huh, where's Onee-chan?\Dunno.\Is she in the studio again so early?\Hina,\it looks like that girl came home in a huge hurry to finish her homework. response:	Don't get in her way.
context: Morning.\Morning.\Huh, where's Onee-chan?\Dunno.\Is she in the studio again so early?\Hina,\it looks like that girl came home in a huge hurry to finish her homework.\Don't get in her way. response:	Fine.
context: Morning.\Huh, where's Onee-chan?\Dunno.\Is she in the studio again so early?\Hina,\it looks like that girl came home in a huge hurry to finish her homework.\Don't get in her way.\Fine. response:	Hey, Hina, it says there's going to be a meteor shower today.
context: Huh, where's Onee-chan?\Dunno.\Is she in the studio again so early?\Hina,\it looks like that girl came home in a huge hurry to finish her homework.\Don't get in her way.\Fine.\Hey, Hina, it says there's going to be a meteor shower today. response:	Brings back memories of that night.
context: Dunno.\Is she in the studio again so early?\Hina,\it looks like that girl came home in a huge hurry to finish her homework.\Don't get in her way.\Fine.\Hey, Hina, it says there's going to be a meteor shower today.\Brings back memories of that night. response:	Mari said she wanted to watch the meteor showers,
context: Is she in the studio again so early?\Hina,\it looks like that girl came home in a huge hurry to finish her homework.\Don't get in her way.\Fine.\Hey, Hina, it says there's going to be a meteor shower today.\Brings back memories of that night.\Mari said she wanted to watch the meteor showers, response:	so I decided to propose.
context: Hina,\it looks like that girl came home in a huge hurry to finish her homework.\Don't get in her way.\Fine.\Hey, Hina, it says there's going to be a meteor shower today.\Brings back memories of that night.\Mari said she wanted to watch the meteor showers,\so I decided to propose. response:	Dad, move your newspaper.
context: it looks like that girl came home in a huge hurry to finish her homework.\Don't get in her way.\Fine.\Hey, Hina, it says there's going to be a meteor shower today.\Brings back memories of that night.\Mari said she wanted to watch the meteor showers,\so I decided to propose.\Dad, move your newspaper. response:	Kakeru,
context: Don't get in her way.\Fine.\Hey, Hina, it says there's going to be a meteor shower today.\Brings back memories of that night.\Mari said she wanted to watch the meteor showers,\so I decided to propose.\Dad, move your newspaper.\Kakeru, response:	have you decided?
context: Fine.\Hey, Hina, it says there's going to be a meteor shower today.\Brings back memories of that night.\Mari said she wanted to watch the meteor showers,\so I decided to propose.\Dad, move your newspaper.\Kakeru,\have you decided? response:	You're a grown-up, now.
context: Hey, Hina, it says there's going to be a meteor shower today.\Brings back memories of that night.\Mari said she wanted to watch the meteor showers,\so I decided to propose.\Dad, move your newspaper.\Kakeru,\have you decided?\You're a grown-up, now. response:	You can do whatever you like, and I'll help out as much as I can.
context: Brings back memories of that night.\Mari said she wanted to watch the meteor showers,\so I decided to propose.\Dad, move your newspaper.\Kakeru,\have you decided?\You're a grown-up, now.\You can do whatever you like, and I'll help out as much as I can. response:	It was pretty tough until middle school.
context: Mari said she wanted to watch the meteor showers,\so I decided to propose.\Dad, move your newspaper.\Kakeru,\have you decided?\You're a grown-up, now.\You can do whatever you like, and I'll help out as much as I can.\It was pretty tough until middle school. response:	You're a kid until middle school, a grown-up in high school.
context: so I decided to propose.\Dad, move your newspaper.\Kakeru,\have you decided?\You're a grown-up, now.\You can do whatever you like, and I'll help out as much as I can.\It was pretty tough until middle school.\You're a kid until middle school, a grown-up in high school. response:	That's where the line is for me, anyway.
context: Dad, move your newspaper.\Kakeru,\have you decided?\You're a grown-up, now.\You can do whatever you like, and I'll help out as much as I can.\It was pretty tough until middle school.\You're a kid until middle school, a grown-up in high school.\That's where the line is for me, anyway. response:	And not for any real reason.
context: Kakeru,\have you decided?\You're a grown-up, now.\You can do whatever you like, and I'll help out as much as I can.\It was pretty tough until middle school.\You're a kid until middle school, a grown-up in high school.\That's where the line is for me, anyway.\And not for any real reason. response:	So you're still hiking, huh?
context: have you decided?\You're a grown-up, now.\You can do whatever you like, and I'll help out as much as I can.\It was pretty tough until middle school.\You're a kid until middle school, a grown-up in high school.\That's where the line is for me, anyway.\And not for any real reason.\So you're still hiking, huh? response:	Yeah, though not so much hiking as just walking around the foothills.
context: You're a grown-up, now.\You can do whatever you like, and I'll help out as much as I can.\It was pretty tough until middle school.\You're a kid until middle school, a grown-up in high school.\That's where the line is for me, anyway.\And not for any real reason.\So you're still hiking, huh?\Yeah, though not so much hiking as just walking around the foothills. response:	Remember you weren't so enthusiastic about it when I first invited you?
context: You can do whatever you like, and I'll help out as much as I can.\It was pretty tough until middle school.\You're a kid until middle school, a grown-up in high school.\That's where the line is for me, anyway.\And not for any real reason.\So you're still hiking, huh?\Yeah, though not so much hiking as just walking around the foothills.\Remember you weren't so enthusiastic about it when I first invited you? response:	Yeah, I eventually got into it.
context: It was pretty tough until middle school.\You're a kid until middle school, a grown-up in high school.\That's where the line is for me, anyway.\And not for any real reason.\So you're still hiking, huh?\Yeah, though not so much hiking as just walking around the foothills.\Remember you weren't so enthusiastic about it when I first invited you?\Yeah, I eventually got into it. response:	It's been a while since we stopped hiking together.
context: You're a kid until middle school, a grown-up in high school.\That's where the line is for me, anyway.\And not for any real reason.\So you're still hiking, huh?\Yeah, though not so much hiking as just walking around the foothills.\Remember you weren't so enthusiastic about it when I first invited you?\Yeah, I eventually got into it.\It's been a while since we stopped hiking together. response:	Can you keep up with me, Dad?
context: That's where the line is for me, anyway.\And not for any real reason.\So you're still hiking, huh?\Yeah, though not so much hiking as just walking around the foothills.\Remember you weren't so enthusiastic about it when I first invited you?\Yeah, I eventually got into it.\It's been a while since we stopped hiking together.\Can you keep up with me, Dad? response:	That's quite a statement.
context: And not for any real reason.\So you're still hiking, huh?\Yeah, though not so much hiking as just walking around the foothills.\Remember you weren't so enthusiastic about it when I first invited you?\Yeah, I eventually got into it.\It's been a while since we stopped hiking together.\Can you keep up with me, Dad?\That's quite a statement. response:	Hey, dear, come help.
context: So you're still hiking, huh?\Yeah, though not so much hiking as just walking around the foothills.\Remember you weren't so enthusiastic about it when I first invited you?\Yeah, I eventually got into it.\It's been a while since we stopped hiking together.\Can you keep up with me, Dad?\That's quite a statement.\Hey, dear, come help. response:	I'll get it.
context: Yeah, though not so much hiking as just walking around the foothills.\Remember you weren't so enthusiastic about it when I first invited you?\Yeah, I eventually got into it.\It's been a while since we stopped hiking together.\Can you keep up with me, Dad?\That's quite a statement.\Hey, dear, come help.\I'll get it. response:	Thanks.
context: Remember you weren't so enthusiastic about it when I first invited you?\Yeah, I eventually got into it.\It's been a while since we stopped hiking together.\Can you keep up with me, Dad?\That's quite a statement.\Hey, dear, come help.\I'll get it.\Thanks. response:	Yes?
context: Yeah, I eventually got into it.\It's been a while since we stopped hiking together.\Can you keep up with me, Dad?\That's quite a statement.\Hey, dear, come help.\I'll get it.\Thanks.\Yes? response:	Takayama.
context: It's been a while since we stopped hiking together.\Can you keep up with me, Dad?\That's quite a statement.\Hey, dear, come help.\I'll get it.\Thanks.\Yes?\Takayama. response:	Let's take a short break.
context: Can you keep up with me, Dad?\That's quite a statement.\Hey, dear, come help.\I'll get it.\Thanks.\Yes?\Takayama.\Let's take a short break. response:	Hina-chan tells me your mom held a piano recital.
context: That's quite a statement.\Hey, dear, come help.\I'll get it.\Thanks.\Yes?\Takayama.\Let's take a short break.\Hina-chan tells me your mom held a piano recital. response:	It wasn't really a recital.
context: Hey, dear, come help.\I'll get it.\Thanks.\Yes?\Takayama.\Let's take a short break.\Hina-chan tells me your mom held a piano recital.\It wasn't really a recital. response:	Nothing so grand.
context: I'll get it.\Thanks.\Yes?\Takayama.\Let's take a short break.\Hina-chan tells me your mom held a piano recital.\It wasn't really a recital.\Nothing so grand. response:	You should invite me next time, too.
context: Thanks.\Yes?\Takayama.\Let's take a short break.\Hina-chan tells me your mom held a piano recital.\It wasn't really a recital.\Nothing so grand.\You should invite me next time, too. response:	Takayama, you're
context: Yes?\Takayama.\Let's take a short break.\Hina-chan tells me your mom held a piano recital.\It wasn't really a recital.\Nothing so grand.\You should invite me next time, too.\Takayama, you're response:	Yanagi.
context: Takayama.\Let's take a short break.\Hina-chan tells me your mom held a piano recital.\It wasn't really a recital.\Nothing so grand.\You should invite me next time, too.\Takayama, you're\Yanagi. response:	Call me Yanagi.
context: Let's take a short break.\Hina-chan tells me your mom held a piano recital.\It wasn't really a recital.\Nothing so grand.\You should invite me next time, too.\Takayama, you're\Yanagi.\Call me Yanagi. response:	Do you like classical music?
context: Hina-chan tells me your mom held a piano recital.\It wasn't really a recital.\Nothing so grand.\You should invite me next time, too.\Takayama, you're\Yanagi.\Call me Yanagi.\Do you like classical music? response:	Actually, I listen to it quite a bit.
context: It wasn't really a recital.\Nothing so grand.\You should invite me next time, too.\Takayama, you're\Yanagi.\Call me Yanagi.\Do you like classical music?\Actually, I listen to it quite a bit. response:	Your tea's always so good, Mom.
context: Nothing so grand.\You should invite me next time, too.\Takayama, you're\Yanagi.\Call me Yanagi.\Do you like classical music?\Actually, I listen to it quite a bit.\Your tea's always so good, Mom. response:	Thanks.
context: You should invite me next time, too.\Takayama, you're\Yanagi.\Call me Yanagi.\Do you like classical music?\Actually, I listen to it quite a bit.\Your tea's always so good, Mom.\Thanks. response:	Say, Touko, have you ever
context: Takayama, you're\Yanagi.\Call me Yanagi.\Do you like classical music?\Actually, I listen to it quite a bit.\Your tea's always so good, Mom.\Thanks.\Say, Touko, have you ever response:	seen something in a haze when you're suddenly in a bright light?
context: Yanagi.\Call me Yanagi.\Do you like classical music?\Actually, I listen to it quite a bit.\Your tea's always so good, Mom.\Thanks.\Say, Touko, have you ever\seen something in a haze when you're suddenly in a bright light? response:	That'd happen to me sometimes when I was young,
context: Call me Yanagi.\Do you like classical music?\Actually, I listen to it quite a bit.\Your tea's always so good, Mom.\Thanks.\Say, Touko, have you ever\seen something in a haze when you're suddenly in a bright light?\That'd happen to me sometimes when I was young, response:	and I even thought it might have been my future.
context: Do you like classical music?\Actually, I listen to it quite a bit.\Your tea's always so good, Mom.\Thanks.\Say, Touko, have you ever\seen something in a haze when you're suddenly in a bright light?\That'd happen to me sometimes when I was young,\and I even thought it might have been my future. response:	But it wasn't.
context: Actually, I listen to it quite a bit.\Your tea's always so good, Mom.\Thanks.\Say, Touko, have you ever\seen something in a haze when you're suddenly in a bright light?\That'd happen to me sometimes when I was young,\and I even thought it might have been my future.\But it wasn't. response:	Everything that happened afterwards was totally unexpected.
context: Your tea's always so good, Mom.\Thanks.\Say, Touko, have you ever\seen something in a haze when you're suddenly in a bright light?\That'd happen to me sometimes when I was young,\and I even thought it might have been my future.\But it wasn't.\Everything that happened afterwards was totally unexpected. response:	I wonder what it was, anyway.
context: Thanks.\Say, Touko, have you ever\seen something in a haze when you're suddenly in a bright light?\That'd happen to me sometimes when I was young,\and I even thought it might have been my future.\But it wasn't.\Everything that happened afterwards was totally unexpected.\I wonder what it was, anyway. response:	Does that help you move on?
context: Say, Touko, have you ever\seen something in a haze when you're suddenly in a bright light?\That'd happen to me sometimes when I was young,\and I even thought it might have been my future.\But it wasn't.\Everything that happened afterwards was totally unexpected.\I wonder what it was, anyway.\Does that help you move on? response:	I don't know, but it's all I can do right now.
context: seen something in a haze when you're suddenly in a bright light?\That'd happen to me sometimes when I was young,\and I even thought it might have been my future.\But it wasn't.\Everything that happened afterwards was totally unexpected.\I wonder what it was, anyway.\Does that help you move on?\I don't know, but it's all I can do right now. response:	You're right. You have to do everything you can.
context: That'd happen to me sometimes when I was young,\and I even thought it might have been my future.\But it wasn't.\Everything that happened afterwards was totally unexpected.\I wonder what it was, anyway.\Does that help you move on?\I don't know, but it's all I can do right now.\You're right. You have to do everything you can. response:	You have to fulfill your promise.
context: and I even thought it might have been my future.\But it wasn't.\Everything that happened afterwards was totally unexpected.\I wonder what it was, anyway.\Does that help you move on?\I don't know, but it's all I can do right now.\You're right. You have to do everything you can.\You have to fulfill your promise. response:	I'll remind you if you've forgotten.
context: But it wasn't.\Everything that happened afterwards was totally unexpected.\I wonder what it was, anyway.\Does that help you move on?\I don't know, but it's all I can do right now.\You're right. You have to do everything you can.\You have to fulfill your promise.\I'll remind you if you've forgotten. response:	I remember.
context: Everything that happened afterwards was totally unexpected.\I wonder what it was, anyway.\Does that help you move on?\I don't know, but it's all I can do right now.\You're right. You have to do everything you can.\You have to fulfill your promise.\I'll remind you if you've forgotten.\I remember. response:	I've promised you only one thing.
context: I wonder what it was, anyway.\Does that help you move on?\I don't know, but it's all I can do right now.\You're right. You have to do everything you can.\You have to fulfill your promise.\I'll remind you if you've forgotten.\I remember.\I've promised you only one thing. response:	Want to sit?
context: Does that help you move on?\I don't know, but it's all I can do right now.\You're right. You have to do everything you can.\You have to fulfill your promise.\I'll remind you if you've forgotten.\I remember.\I've promised you only one thing.\Want to sit? response:	Tell me later.
context: I don't know, but it's all I can do right now.\You're right. You have to do everything you can.\You have to fulfill your promise.\I'll remind you if you've forgotten.\I remember.\I've promised you only one thing.\Want to sit?\Tell me later. response:	I heard the gist of it from Sachi.
context: You're right. You have to do everything you can.\You have to fulfill your promise.\I'll remind you if you've forgotten.\I remember.\I've promised you only one thing.\Want to sit?\Tell me later.\I heard the gist of it from Sachi. response:	I see.
context: You have to fulfill your promise.\I'll remind you if you've forgotten.\I remember.\I've promised you only one thing.\Want to sit?\Tell me later.\I heard the gist of it from Sachi.\I see. response:	The incident at the beach where I was forced
context: I'll remind you if you've forgotten.\I remember.\I've promised you only one thing.\Want to sit?\Tell me later.\I heard the gist of it from Sachi.\I see.\The incident at the beach where I was forced response:	to make that promise with you, and this time, when Touko collapsed
context: I remember.\I've promised you only one thing.\Want to sit?\Tell me later.\I heard the gist of it from Sachi.\I see.\The incident at the beach where I was forced\to make that promise with you, and this time, when Touko collapsed response:	both are my fault.
context: I've promised you only one thing.\Want to sit?\Tell me later.\I heard the gist of it from Sachi.\I see.\The incident at the beach where I was forced\to make that promise with you, and this time, when Touko collapsed\both are my fault. response:	How much of that am I supposed to believe?
context: Want to sit?\Tell me later.\I heard the gist of it from Sachi.\I see.\The incident at the beach where I was forced\to make that promise with you, and this time, when Touko collapsed\both are my fault.\How much of that am I supposed to believe? response:	It's hard to believe all of it.
context: Tell me later.\I heard the gist of it from Sachi.\I see.\The incident at the beach where I was forced\to make that promise with you, and this time, when Touko collapsed\both are my fault.\How much of that am I supposed to believe?\It's hard to believe all of it. response:	I don't mind, but it's the truth.
context: I heard the gist of it from Sachi.\I see.\The incident at the beach where I was forced\to make that promise with you, and this time, when Touko collapsed\both are my fault.\How much of that am I supposed to believe?\It's hard to believe all of it.\I don't mind, but it's the truth. response:	Besides, it's true that I needed Touko to be here.
context: I see.\The incident at the beach where I was forced\to make that promise with you, and this time, when Touko collapsed\both are my fault.\How much of that am I supposed to believe?\It's hard to believe all of it.\I don't mind, but it's the truth.\Besides, it's true that I needed Touko to be here. response:	But if I weren't here, Touko wouldn't have gone through all this.
