context: HALF response:	TS
context: It won't be as effective if we lower the explosion's yield.\We just can't lower our firepower.\Anyway, could I ask you to do me a favor?\What is it?\Seeing that you're stranded in South America anyway,\could you buy me some coffee beans?\I can't drink this crap. It tastes like Starbucks.\Sorry for calling before you leave. response:	Ao, do you have the pills with you?
context: We just can't lower our firepower.\Anyway, could I ask you to do me a favor?\What is it?\Seeing that you're stranded in South America anyway,\could you buy me some coffee beans?\I can't drink this crap. It tastes like Starbucks.\Sorry for calling before you leave.\Ao, do you have the pills with you? response:	You should sleep some, or you won't last long.
context: Anyway, could I ask you to do me a favor?\What is it?\Seeing that you're stranded in South America anyway,\could you buy me some coffee beans?\I can't drink this crap. It tastes like Starbucks.\Sorry for calling before you leave.\Ao, do you have the pills with you?\You should sleep some, or you won't last long. response:	Yeah.
context: What is it?\Seeing that you're stranded in South America anyway,\could you buy me some coffee beans?\I can't drink this crap. It tastes like Starbucks.\Sorry for calling before you leave.\Ao, do you have the pills with you?\You should sleep some, or you won't last long.\Yeah. response:	You still can't get it off your mind?
context: Seeing that you're stranded in South America anyway,\could you buy me some coffee beans?\I can't drink this crap. It tastes like Starbucks.\Sorry for calling before you leave.\Ao, do you have the pills with you?\You should sleep some, or you won't last long.\Yeah.\You still can't get it off your mind? response:	I've been fighting Secrets for all this time.
context: could you buy me some coffee beans?\I can't drink this crap. It tastes like Starbucks.\Sorry for calling before you leave.\Ao, do you have the pills with you?\You should sleep some, or you won't last long.\Yeah.\You still can't get it off your mind?\I've been fighting Secrets for all this time. response:	But, somehow, it feels different this time.
context: I can't drink this crap. It tastes like Starbucks.\Sorry for calling before you leave.\Ao, do you have the pills with you?\You should sleep some, or you won't last long.\Yeah.\You still can't get it off your mind?\I've been fighting Secrets for all this time.\But, somehow, it feels different this time. response:	Do you want to go back to Iwato Island then?
context: Sorry for calling before you leave.\Ao, do you have the pills with you?\You should sleep some, or you won't last long.\Yeah.\You still can't get it off your mind?\I've been fighting Secrets for all this time.\But, somehow, it feels different this time.\Do you want to go back to Iwato Island then? response:	Amongst the sudden crisis of impending Scub Bursts from all around the world,
context: Ao, do you have the pills with you?\You should sleep some, or you won't last long.\Yeah.\You still can't get it off your mind?\I've been fighting Secrets for all this time.\But, somehow, it feels different this time.\Do you want to go back to Iwato Island then?\Amongst the sudden crisis of impending Scub Bursts from all around the world, response:	Christophe Blanc, the CEO of the Swiss company, Generation Blue,
context: You should sleep some, or you won't last long.\Yeah.\You still can't get it off your mind?\I've been fighting Secrets for all this time.\But, somehow, it feels different this time.\Do you want to go back to Iwato Island then?\Amongst the sudden crisis of impending Scub Bursts from all around the world,\Christophe Blanc, the CEO of the Swiss company, Generation Blue, response:	has suggested the launch of Operation Polaris.
context: Yeah.\You still can't get it off your mind?\I've been fighting Secrets for all this time.\But, somehow, it feels different this time.\Do you want to go back to Iwato Island then?\Amongst the sudden crisis of impending Scub Bursts from all around the world,\Christophe Blanc, the CEO of the Swiss company, Generation Blue,\has suggested the launch of Operation Polaris. response:	Numerous countries, including the US, have expressed their full support for the operation.
context: You still can't get it off your mind?\I've been fighting Secrets for all this time.\But, somehow, it feels different this time.\Do you want to go back to Iwato Island then?\Amongst the sudden crisis of impending Scub Bursts from all around the world,\Christophe Blanc, the CEO of the Swiss company, Generation Blue,\has suggested the launch of Operation Polaris.\Numerous countries, including the US, have expressed their full support for the operation. response:	Generation Bleu hid the existence of this Quartz material from the rest of the world!
context: I've been fighting Secrets for all this time.\But, somehow, it feels different this time.\Do you want to go back to Iwato Island then?\Amongst the sudden crisis of impending Scub Bursts from all around the world,\Christophe Blanc, the CEO of the Swiss company, Generation Blue,\has suggested the launch of Operation Polaris.\Numerous countries, including the US, have expressed their full support for the operation.\Generation Bleu hid the existence of this Quartz material from the rest of the world! response:	Who's going to take the responsibility for that?
context: But, somehow, it feels different this time.\Do you want to go back to Iwato Island then?\Amongst the sudden crisis of impending Scub Bursts from all around the world,\Christophe Blanc, the CEO of the Swiss company, Generation Blue,\has suggested the launch of Operation Polaris.\Numerous countries, including the US, have expressed their full support for the operation.\Generation Bleu hid the existence of this Quartz material from the rest of the world!\Who's going to take the responsibility for that? response:	The Japanese government reinforced its position that Secrets are the saviors of mankind,
context: Do you want to go back to Iwato Island then?\Amongst the sudden crisis of impending Scub Bursts from all around the world,\Christophe Blanc, the CEO of the Swiss company, Generation Blue,\has suggested the launch of Operation Polaris.\Numerous countries, including the US, have expressed their full support for the operation.\Generation Bleu hid the existence of this Quartz material from the rest of the world!\Who's going to take the responsibility for that?\The Japanese government reinforced its position that Secrets are the saviors of mankind, response:	and asked its citizens to not be misled by irresponsible announcements and stay cal
context: Amongst the sudden crisis of impending Scub Bursts from all around the world,\Christophe Blanc, the CEO of the Swiss company, Generation Blue,\has suggested the launch of Operation Polaris.\Numerous countries, including the US, have expressed their full support for the operation.\Generation Bleu hid the existence of this Quartz material from the rest of the world!\Who's going to take the responsibility for that?\The Japanese government reinforced its position that Secrets are the saviors of mankind,\and asked its citizens to not be misled by irresponsible announcements and stay cal response:	Quite a few countries are taking part in the operation, right?
context: Christophe Blanc, the CEO of the Swiss company, Generation Blue,\has suggested the launch of Operation Polaris.\Numerous countries, including the US, have expressed their full support for the operation.\Generation Bleu hid the existence of this Quartz material from the rest of the world!\Who's going to take the responsibility for that?\The Japanese government reinforced its position that Secrets are the saviors of mankind,\and asked its citizens to not be misled by irresponsible announcements and stay cal\Quite a few countries are taking part in the operation, right? response:	Are we going to panic and rally under their flags?
context: has suggested the launch of Operation Polaris.\Numerous countries, including the US, have expressed their full support for the operation.\Generation Bleu hid the existence of this Quartz material from the rest of the world!\Who's going to take the responsibility for that?\The Japanese government reinforced its position that Secrets are the saviors of mankind,\and asked its citizens to not be misled by irresponsible announcements and stay cal\Quite a few countries are taking part in the operation, right?\Are we going to panic and rally under their flags? response:	Are you telling me to back the winning horse?
context: Numerous countries, including the US, have expressed their full support for the operation.\Generation Bleu hid the existence of this Quartz material from the rest of the world!\Who's going to take the responsibility for that?\The Japanese government reinforced its position that Secrets are the saviors of mankind,\and asked its citizens to not be misled by irresponsible announcements and stay cal\Quite a few countries are taking part in the operation, right?\Are we going to panic and rally under their flags?\Are you telling me to back the winning horse? response:	If this operation succeeds, we will finally be freed from the threat of Scub Bursts,
context: Generation Bleu hid the existence of this Quartz material from the rest of the world!\Who's going to take the responsibility for that?\The Japanese government reinforced its position that Secrets are the saviors of mankind,\and asked its citizens to not be misled by irresponsible announcements and stay cal\Quite a few countries are taking part in the operation, right?\Are we going to panic and rally under their flags?\Are you telling me to back the winning horse?\If this operation succeeds, we will finally be freed from the threat of Scub Bursts, response:	which has loomed over us since the dawn of history.
context: Who's going to take the responsibility for that?\The Japanese government reinforced its position that Secrets are the saviors of mankind,\and asked its citizens to not be misled by irresponsible announcements and stay cal\Quite a few countries are taking part in the operation, right?\Are we going to panic and rally under their flags?\Are you telling me to back the winning horse?\If this operation succeeds, we will finally be freed from the threat of Scub Bursts,\which has loomed over us since the dawn of history. response:	I am Maruyama from the VOM.
context: The Japanese government reinforced its position that Secrets are the saviors of mankind,\and asked its citizens to not be misled by irresponsible announcements and stay cal\Quite a few countries are taking part in the operation, right?\Are we going to panic and rally under their flags?\Are you telling me to back the winning horse?\If this operation succeeds, we will finally be freed from the threat of Scub Bursts,\which has loomed over us since the dawn of history.\I am Maruyama from the VOM. response:	What are the chances of success for Generation Bleu's operation?
context: and asked its citizens to not be misled by irresponsible announcements and stay cal\Quite a few countries are taking part in the operation, right?\Are we going to panic and rally under their flags?\Are you telling me to back the winning horse?\If this operation succeeds, we will finally be freed from the threat of Scub Bursts,\which has loomed over us since the dawn of history.\I am Maruyama from the VOM.\What are the chances of success for Generation Bleu's operation? response:	According to our estimations, if the Scub Bursts were to occur around the world,
context: Quite a few countries are taking part in the operation, right?\Are we going to panic and rally under their flags?\Are you telling me to back the winning horse?\If this operation succeeds, we will finally be freed from the threat of Scub Bursts,\which has loomed over us since the dawn of history.\I am Maruyama from the VOM.\What are the chances of success for Generation Bleu's operation?\According to our estimations, if the Scub Bursts were to occur around the world, response:	the immediate effects would claim at least 60 million lives,
context: Are we going to panic and rally under their flags?\Are you telling me to back the winning horse?\If this operation succeeds, we will finally be freed from the threat of Scub Bursts,\which has loomed over us since the dawn of history.\I am Maruyama from the VOM.\What are the chances of success for Generation Bleu's operation?\According to our estimations, if the Scub Bursts were to occur around the world,\the immediate effects would claim at least 60 million lives, response:	and the environmental aftereffects would endanger another 300 million.
context: Are you telling me to back the winning horse?\If this operation succeeds, we will finally be freed from the threat of Scub Bursts,\which has loomed over us since the dawn of history.\I am Maruyama from the VOM.\What are the chances of success for Generation Bleu's operation?\According to our estimations, if the Scub Bursts were to occur around the world,\the immediate effects would claim at least 60 million lives,\and the environmental aftereffects would endanger another 300 million. response:	We have no choice but to put our trust in them.
context: If this operation succeeds, we will finally be freed from the threat of Scub Bursts,\which has loomed over us since the dawn of history.\I am Maruyama from the VOM.\What are the chances of success for Generation Bleu's operation?\According to our estimations, if the Scub Bursts were to occur around the world,\the immediate effects would claim at least 60 million lives,\and the environmental aftereffects would endanger another 300 million.\We have no choice but to put our trust in them. response:	I didn't expect Blanc to make such a move.
context: which has loomed over us since the dawn of history.\I am Maruyama from the VOM.\What are the chances of success for Generation Bleu's operation?\According to our estimations, if the Scub Bursts were to occur around the world,\the immediate effects would claim at least 60 million lives,\and the environmental aftereffects would endanger another 300 million.\We have no choice but to put our trust in them.\I didn't expect Blanc to make such a move. response:	You could've at least notified the Big Blue World.
context: I am Maruyama from the VOM.\What are the chances of success for Generation Bleu's operation?\According to our estimations, if the Scub Bursts were to occur around the world,\the immediate effects would claim at least 60 million lives,\and the environmental aftereffects would endanger another 300 million.\We have no choice but to put our trust in them.\I didn't expect Blanc to make such a move.\You could've at least notified the Big Blue World. response:	Does Blanc think the Quartz are his private property?
context: What are the chances of success for Generation Bleu's operation?\According to our estimations, if the Scub Bursts were to occur around the world,\the immediate effects would claim at least 60 million lives,\and the environmental aftereffects would endanger another 300 million.\We have no choice but to put our trust in them.\I didn't expect Blanc to make such a move.\You could've at least notified the Big Blue World.\Does Blanc think the Quartz are his private property? response:	I am very sorry.
context: According to our estimations, if the Scub Bursts were to occur around the world,\the immediate effects would claim at least 60 million lives,\and the environmental aftereffects would endanger another 300 million.\We have no choice but to put our trust in them.\I didn't expect Blanc to make such a move.\You could've at least notified the Big Blue World.\Does Blanc think the Quartz are his private property?\I am very sorry. response:	He doesn't seem to comprehend that Generation Blue is an organization created for the Quartz.
context: the immediate effects would claim at least 60 million lives,\and the environmental aftereffects would endanger another 300 million.\We have no choice but to put our trust in them.\I didn't expect Blanc to make such a move.\You could've at least notified the Big Blue World.\Does Blanc think the Quartz are his private property?\I am very sorry.\He doesn't seem to comprehend that Generation Blue is an organization created for the Quartz. response:	What does that mean?
context: and the environmental aftereffects would endanger another 300 million.\We have no choice but to put our trust in them.\I didn't expect Blanc to make such a move.\You could've at least notified the Big Blue World.\Does Blanc think the Quartz are his private property?\I am very sorry.\He doesn't seem to comprehend that Generation Blue is an organization created for the Quartz.\What does that mean? response:	Is that Ao?
context: We have no choice but to put our trust in them.\I didn't expect Blanc to make such a move.\You could've at least notified the Big Blue World.\Does Blanc think the Quartz are his private property?\I am very sorry.\He doesn't seem to comprehend that Generation Blue is an organization created for the Quartz.\What does that mean?\Is that Ao? response:	Don't be afraid! I'll do something about it!
context: I didn't expect Blanc to make such a move.\You could've at least notified the Big Blue World.\Does Blanc think the Quartz are his private property?\I am very sorry.\He doesn't seem to comprehend that Generation Blue is an organization created for the Quartz.\What does that mean?\Is that Ao?\Don't be afraid! I'll do something about it! response:	Naru?!
context: You could've at least notified the Big Blue World.\Does Blanc think the Quartz are his private property?\I am very sorry.\He doesn't seem to comprehend that Generation Blue is an organization created for the Quartz.\What does that mean?\Is that Ao?\Don't be afraid! I'll do something about it!\Naru?! response:	Naru... Why?
context: Does Blanc think the Quartz are his private property?\I am very sorry.\He doesn't seem to comprehend that Generation Blue is an organization created for the Quartz.\What does that mean?\Is that Ao?\Don't be afraid! I'll do something about it!\Naru?!\Naru... Why? response:	Prepare the Small Arc for launch.
context: I am very sorry.\He doesn't seem to comprehend that Generation Blue is an organization created for the Quartz.\What does that mean?\Is that Ao?\Don't be afraid! I'll do something about it!\Naru?!\Naru... Why?\Prepare the Small Arc for launch. response:	Where's Ao and the other kids?
context: He doesn't seem to comprehend that Generation Blue is an organization created for the Quartz.\What does that mean?\Is that Ao?\Don't be afraid! I'll do something about it!\Naru?!\Naru... Why?\Prepare the Small Arc for launch.\Where's Ao and the other kids? response:	They are on standby at the starting point.
context: What does that mean?\Is that Ao?\Don't be afraid! I'll do something about it!\Naru?!\Naru... Why?\Prepare the Small Arc for launch.\Where's Ao and the other kids?\They are on standby at the starting point. response:	So much Quartz...
context: Is that Ao?\Don't be afraid! I'll do something about it!\Naru?!\Naru... Why?\Prepare the Small Arc for launch.\Where's Ao and the other kids?\They are on standby at the starting point.\So much Quartz... response:	You must have suppressed their radiation so that we couldn't sense them.
context: Don't be afraid! I'll do something about it!\Naru?!\Naru... Why?\Prepare the Small Arc for launch.\Where's Ao and the other kids?\They are on standby at the starting point.\So much Quartz...\You must have suppressed their radiation so that we couldn't sense them. response:	Georg?
context: Naru?!\Naru... Why?\Prepare the Small Arc for launch.\Where's Ao and the other kids?\They are on standby at the starting point.\So much Quartz...\You must have suppressed their radiation so that we couldn't sense them.\Georg? response:	Please ignore that.
context: Naru... Why?\Prepare the Small Arc for launch.\Where's Ao and the other kids?\They are on standby at the starting point.\So much Quartz...\You must have suppressed their radiation so that we couldn't sense them.\Georg?\Please ignore that. response:	Shall we do this, then?
context: Prepare the Small Arc for launch.\Where's Ao and the other kids?\They are on standby at the starting point.\So much Quartz...\You must have suppressed their radiation so that we couldn't sense them.\Georg?\Please ignore that.\Shall we do this, then? response:	Five seconds left.
context: Where's Ao and the other kids?\They are on standby at the starting point.\So much Quartz...\You must have suppressed their radiation so that we couldn't sense them.\Georg?\Please ignore that.\Shall we do this, then?\Five seconds left. response:	Four. Three. Two. One.
context: They are on standby at the starting point.\So much Quartz...\You must have suppressed their radiation so that we couldn't sense them.\Georg?\Please ignore that.\Shall we do this, then?\Five seconds left.\Four. Three. Two. One. response:	Hey, that was way too quick!
context: So much Quartz...\You must have suppressed their radiation so that we couldn't sense them.\Georg?\Please ignore that.\Shall we do this, then?\Five seconds left.\Four. Three. Two. One.\Hey, that was way too quick! response:	Let Operation Polaris begin.
context: You must have suppressed their radiation so that we couldn't sense them.\Georg?\Please ignore that.\Shall we do this, then?\Five seconds left.\Four. Three. Two. One.\Hey, that was way too quick!\Let Operation Polaris begin. response:	What's that?
context: Georg?\Please ignore that.\Shall we do this, then?\Five seconds left.\Four. Three. Two. One.\Hey, that was way too quick!\Let Operation Polaris begin.\What's that? response:	What's that light?
context: Please ignore that.\Shall we do this, then?\Five seconds left.\Four. Three. Two. One.\Hey, that was way too quick!\Let Operation Polaris begin.\What's that?\What's that light? response:	It's the capsule that was launched from the Poseidon.
context: Shall we do this, then?\Five seconds left.\Four. Three. Two. One.\Hey, that was way too quick!\Let Operation Polaris begin.\What's that?\What's that light?\It's the capsule that was launched from the Poseidon. response:	The Quartz are stacked up in that.
context: Five seconds left.\Four. Three. Two. One.\Hey, that was way too quick!\Let Operation Polaris begin.\What's that?\What's that light?\It's the capsule that was launched from the Poseidon.\The Quartz are stacked up in that. response:	Got him!
context: Four. Three. Two. One.\Hey, that was way too quick!\Let Operation Polaris begin.\What's that?\What's that light?\It's the capsule that was launched from the Poseidon.\The Quartz are stacked up in that.\Got him! response:	It ran away?
context: Hey, that was way too quick!\Let Operation Polaris begin.\What's that?\What's that light?\It's the capsule that was launched from the Poseidon.\The Quartz are stacked up in that.\Got him!\It ran away? response:	Why did the Secret do that?
context: Let Operation Polaris begin.\What's that?\What's that light?\It's the capsule that was launched from the Poseidon.\The Quartz are stacked up in that.\Got him!\It ran away?\Why did the Secret do that? response:	Damn you, Generation Bleu!
context: What's that?\What's that light?\It's the capsule that was launched from the Poseidon.\The Quartz are stacked up in that.\Got him!\It ran away?\Why did the Secret do that?\Damn you, Generation Bleu! response:	They're here!
context: What's that light?\It's the capsule that was launched from the Poseidon.\The Quartz are stacked up in that.\Got him!\It ran away?\Why did the Secret do that?\Damn you, Generation Bleu!\They're here! response:	They're enamored...
context: It's the capsule that was launched from the Poseidon.\The Quartz are stacked up in that.\Got him!\It ran away?\Why did the Secret do that?\Damn you, Generation Bleu!\They're here!\They're enamored... response:	The is one hell of a Quartz pheromone!
context: The Quartz are stacked up in that.\Got him!\It ran away?\Why did the Secret do that?\Damn you, Generation Bleu!\They're here!\They're enamored...\The is one hell of a Quartz pheromone! response:	Keep herding the Secrets.
context: Got him!\It ran away?\Why did the Secret do that?\Damn you, Generation Bleu!\They're here!\They're enamored...\The is one hell of a Quartz pheromone!\Keep herding the Secrets. response:	However, stay alert and don't let them get close to the capsule.
context: It ran away?\Why did the Secret do that?\Damn you, Generation Bleu!\They're here!\They're enamored...\The is one hell of a Quartz pheromone!\Keep herding the Secrets.\However, stay alert and don't let them get close to the capsule. response:	Don't try to destroy them.
context: Why did the Secret do that?\Damn you, Generation Bleu!\They're here!\They're enamored...\The is one hell of a Quartz pheromone!\Keep herding the Secrets.\However, stay alert and don't let them get close to the capsule.\Don't try to destroy them. response:	Roger!
context: Damn you, Generation Bleu!\They're here!\They're enamored...\The is one hell of a Quartz pheromone!\Keep herding the Secrets.\However, stay alert and don't let them get close to the capsule.\Don't try to destroy them.\Roger! response:	Hey, mister, this way!
context: They're here!\They're enamored...\The is one hell of a Quartz pheromone!\Keep herding the Secrets.\However, stay alert and don't let them get close to the capsule.\Don't try to destroy them.\Roger!\Hey, mister, this way! response:	Ao, we're going!
context: They're enamored...\The is one hell of a Quartz pheromone!\Keep herding the Secrets.\However, stay alert and don't let them get close to the capsule.\Don't try to destroy them.\Roger!\Hey, mister, this way!\Ao, we're going! response:	Huh? Okay!
context: The is one hell of a Quartz pheromone!\Keep herding the Secrets.\However, stay alert and don't let them get close to the capsule.\Don't try to destroy them.\Roger!\Hey, mister, this way!\Ao, we're going!\Huh? Okay! response:	Secrets... So you're not our enemies?
context: Keep herding the Secrets.\However, stay alert and don't let them get close to the capsule.\Don't try to destroy them.\Roger!\Hey, mister, this way!\Ao, we're going!\Huh? Okay!\Secrets... So you're not our enemies? response:	But we've been fighting you all this time.
context: However, stay alert and don't let them get close to the capsule.\Don't try to destroy them.\Roger!\Hey, mister, this way!\Ao, we're going!\Huh? Okay!\Secrets... So you're not our enemies?\But we've been fighting you all this time. response:	Where...
context: Don't try to destroy them.\Roger!\Hey, mister, this way!\Ao, we're going!\Huh? Okay!\Secrets... So you're not our enemies?\But we've been fighting you all this time.\Where... response:	You smell nice.
context: Roger!\Hey, mister, this way!\Ao, we're going!\Huh? Okay!\Secrets... So you're not our enemies?\But we've been fighting you all this time.\Where...\You smell nice. response:	I shouldn't have asked you!
context: Hey, mister, this way!\Ao, we're going!\Huh? Okay!\Secrets... So you're not our enemies?\But we've been fighting you all this time.\Where...\You smell nice.\I shouldn't have asked you! response:	I'd kill for a shower...
context: Ao, we're going!\Huh? Okay!\Secrets... So you're not our enemies?\But we've been fighting you all this time.\Where...\You smell nice.\I shouldn't have asked you!\I'd kill for a shower... response:	Good morning. You've slept soundly.
context: Huh? Okay!\Secrets... So you're not our enemies?\But we've been fighting you all this time.\Where...\You smell nice.\I shouldn't have asked you!\I'd kill for a shower...\Good morning. You've slept soundly. response:	I slept?
context: Secrets... So you're not our enemies?\But we've been fighting you all this time.\Where...\You smell nice.\I shouldn't have asked you!\I'd kill for a shower...\Good morning. You've slept soundly.\I slept? response:	Oh, I see...
context: But we've been fighting you all this time.\Where...\You smell nice.\I shouldn't have asked you!\I'd kill for a shower...\Good morning. You've slept soundly.\I slept?\Oh, I see... response:	Fleur even drew on your willy, but you wouldn't wake up.
context: Where...\You smell nice.\I shouldn't have asked you!\I'd kill for a shower...\Good morning. You've slept soundly.\I slept?\Oh, I see...\Fleur even drew on your willy, but you wouldn't wake up. response:	I didn't!
context: You smell nice.\I shouldn't have asked you!\I'd kill for a shower...\Good morning. You've slept soundly.\I slept?\Oh, I see...\Fleur even drew on your willy, but you wouldn't wake up.\I didn't! response:	You're good to go.
context: I shouldn't have asked you!\I'd kill for a shower...\Good morning. You've slept soundly.\I slept?\Oh, I see...\Fleur even drew on your willy, but you wouldn't wake up.\I didn't!\You're good to go. response:	See you guys at the next supply point.
context: I'd kill for a shower...\Good morning. You've slept soundly.\I slept?\Oh, I see...\Fleur even drew on your willy, but you wouldn't wake up.\I didn't!\You're good to go.\See you guys at the next supply point. response:	Thanks.
context: Good morning. You've slept soundly.\I slept?\Oh, I see...\Fleur even drew on your willy, but you wouldn't wake up.\I didn't!\You're good to go.\See you guys at the next supply point.\Thanks. response:	What's the American casualty count?
context: I slept?\Oh, I see...\Fleur even drew on your willy, but you wouldn't wake up.\I didn't!\You're good to go.\See you guys at the next supply point.\Thanks.\What's the American casualty count? response:	Seven units were hit and destroyed,
context: Oh, I see...\Fleur even drew on your willy, but you wouldn't wake up.\I didn't!\You're good to go.\See you guys at the next supply point.\Thanks.\What's the American casualty count?\Seven units were hit and destroyed, response:	but no one has died so far.
