context: If you're listening to this, then you're somehow related to Hei. response:	If the past hasn't changed, that is.
context: No one wants that homo side-gag-character!\Really, they've got to be kidding us!\Just when I was in a good mood and everything was going right, shit had to happen!\Yeah! That director won't be getting away with this that easily!\H-Hey! Look!\Doesn't she look like her?\You know, Maurice of the Rose: The Crying Jar and Elephant's Trunk!.\You mean Caravaggio from that movie? response:	Exactly!
context: Really, they've got to be kidding us!\Just when I was in a good mood and everything was going right, shit had to happen!\Yeah! That director won't be getting away with this that easily!\H-Hey! Look!\Doesn't she look like her?\You know, Maurice of the Rose: The Crying Jar and Elephant's Trunk!.\You mean Caravaggio from that movie?\Exactly! response:	The one with the sick, psycho-lover vibes!
context: Just when I was in a good mood and everything was going right, shit had to happen!\Yeah! That director won't be getting away with this that easily!\H-Hey! Look!\Doesn't she look like her?\You know, Maurice of the Rose: The Crying Jar and Elephant's Trunk!.\You mean Caravaggio from that movie?\Exactly!\The one with the sick, psycho-lover vibes! response:	Well, she indeed looks sick.
context: Yeah! That director won't be getting away with this that easily!\H-Hey! Look!\Doesn't she look like her?\You know, Maurice of the Rose: The Crying Jar and Elephant's Trunk!.\You mean Caravaggio from that movie?\Exactly!\The one with the sick, psycho-lover vibes!\Well, she indeed looks sick. response:	We have to take her home, Kiko!
context: H-Hey! Look!\Doesn't she look like her?\You know, Maurice of the Rose: The Crying Jar and Elephant's Trunk!.\You mean Caravaggio from that movie?\Exactly!\The one with the sick, psycho-lover vibes!\Well, she indeed looks sick.\We have to take her home, Kiko! response:	Uh... I'm not into little girls...
context: Doesn't she look like her?\You know, Maurice of the Rose: The Crying Jar and Elephant's Trunk!.\You mean Caravaggio from that movie?\Exactly!\The one with the sick, psycho-lover vibes!\Well, she indeed looks sick.\We have to take her home, Kiko!\Uh... I'm not into little girls... response:	Hold on, that's a crime!
context: You know, Maurice of the Rose: The Crying Jar and Elephant's Trunk!.\You mean Caravaggio from that movie?\Exactly!\The one with the sick, psycho-lover vibes!\Well, she indeed looks sick.\We have to take her home, Kiko!\Uh... I'm not into little girls...\Hold on, that's a crime! response:	Go and get her!
context: You mean Caravaggio from that movie?\Exactly!\The one with the sick, psycho-lover vibes!\Well, she indeed looks sick.\We have to take her home, Kiko!\Uh... I'm not into little girls...\Hold on, that's a crime!\Go and get her! response:	Yikes! That pink haired girl!
context: Exactly!\The one with the sick, psycho-lover vibes!\Well, she indeed looks sick.\We have to take her home, Kiko!\Uh... I'm not into little girls...\Hold on, that's a crime!\Go and get her!\Yikes! That pink haired girl! response:	Tsukiakari no michishirube
context: The one with the sick, psycho-lover vibes!\Well, she indeed looks sick.\We have to take her home, Kiko!\Uh... I'm not into little girls...\Hold on, that's a crime!\Go and get her!\Yikes! That pink haired girl!\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: Well, she indeed looks sick.\We have to take her home, Kiko!\Uh... I'm not into little girls...\Hold on, that's a crime!\Go and get her!\Yikes! That pink haired girl!\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: We have to take her home, Kiko!\Uh... I'm not into little girls...\Hold on, that's a crime!\Go and get her!\Yikes! That pink haired girl!\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: Uh... I'm not into little girls...\Hold on, that's a crime!\Go and get her!\Yikes! That pink haired girl!\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: Hold on, that's a crime!\Go and get her!\Yikes! That pink haired girl!\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: Go and get her!\Yikes! That pink haired girl!\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: Yikes! That pink haired girl!\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	Nee dareka oshiete
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete response:	Hey, someone, tell me
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me response:	Minna sou na no kana?
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana? response:	Is everyone like that?
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that? response:	Kyou ga shiawase nara
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara response:	That they'feel it's good enough
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough response:	Sore de ii to omoeru tte
context: No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte response:	if they're if happy today'
context: Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today' response:	Osanai koro ni wa
context: Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa response:	When I was young
context: Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young response:	Tashika ni atta yo
context: Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo response:	They certainly existed
context: Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed response:	Yume o oikaketeta
context: That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta response:	I pursued my dreams
context: Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams response:	Demo sore mo tooi kioku
context: if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku response:	But that's also a distant memory
context: Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory response:	Kotae no nai mainichi ga
context: When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga response:	The each unanswered day-
context: Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day- response:	Tada sugite iku jikan ga
context: They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga response:	The time that is simply passing by-
context: Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by- response:	Kore kara saki dou naru no darou?
context: I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou? response:	What will happen beyond now?
context: Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now? response:	Wakaranai...
context: But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai... response:	They don't know...
context: Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know... response:	Tsukiakari no michishirube
context: The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	We found it on the roof of a building that was 100m southeast of the crime scene.
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\We found it on the roof of a building that was 100m southeast of the crime scene. response:	We've also found the empty 14.5mm cartridge.
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\We found it on the roof of a building that was 100m southeast of the crime scene.\We've also found the empty 14.5mm cartridge. response:	A PTRD, huh?
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\We found it on the roof of a building that was 100m southeast of the crime scene.\We've also found the empty 14.5mm cartridge.\A PTRD, huh? response:	Can we conclude that it was materialized by Izanagi's power?
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\We found it on the roof of a building that was 100m southeast of the crime scene.\We've also found the empty 14.5mm cartridge.\A PTRD, huh?\Can we conclude that it was materialized by Izanagi's power? response:	We haven't even confirmed whether that kid is Izanagi or not.
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\We found it on the roof of a building that was 100m southeast of the crime scene.\We've also found the empty 14.5mm cartridge.\A PTRD, huh?\Can we conclude that it was materialized by Izanagi's power?\We haven't even confirmed whether that kid is Izanagi or not. response:	Or even what the kid's gender is.
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\We found it on the roof of a building that was 100m southeast of the crime scene.\We've also found the empty 14.5mm cartridge.\A PTRD, huh?\Can we conclude that it was materialized by Izanagi's power?\We haven't even confirmed whether that kid is Izanagi or not.\Or even what the kid's gender is. response:	So we have to strip the kid naked, huh?
context: No matter how broken today looks\We found it on the roof of a building that was 100m southeast of the crime scene.\We've also found the empty 14.5mm cartridge.\A PTRD, huh?\Can we conclude that it was materialized by Izanagi's power?\We haven't even confirmed whether that kid is Izanagi or not.\Or even what the kid's gender is.\So we have to strip the kid naked, huh? response:	Is that kid just a decoy?
context: We found it on the roof of a building that was 100m southeast of the crime scene.\We've also found the empty 14.5mm cartridge.\A PTRD, huh?\Can we conclude that it was materialized by Izanagi's power?\We haven't even confirmed whether that kid is Izanagi or not.\Or even what the kid's gender is.\So we have to strip the kid naked, huh?\Is that kid just a decoy? response:	Does that mean the real Izanagi is somewhere else?
context: We've also found the empty 14.5mm cartridge.\A PTRD, huh?\Can we conclude that it was materialized by Izanagi's power?\We haven't even confirmed whether that kid is Izanagi or not.\Or even what the kid's gender is.\So we have to strip the kid naked, huh?\Is that kid just a decoy?\Does that mean the real Izanagi is somewhere else? response:	Perhaps he's already in Tokyo.
context: A PTRD, huh?\Can we conclude that it was materialized by Izanagi's power?\We haven't even confirmed whether that kid is Izanagi or not.\Or even what the kid's gender is.\So we have to strip the kid naked, huh?\Is that kid just a decoy?\Does that mean the real Izanagi is somewhere else?\Perhaps he's already in Tokyo. response:	Hey, look at that PTRD.
context: Can we conclude that it was materialized by Izanagi's power?\We haven't even confirmed whether that kid is Izanagi or not.\Or even what the kid's gender is.\So we have to strip the kid naked, huh?\Is that kid just a decoy?\Does that mean the real Izanagi is somewhere else?\Perhaps he's already in Tokyo.\Hey, look at that PTRD. response:	The scope and bolt are on the other side.
context: We haven't even confirmed whether that kid is Izanagi or not.\Or even what the kid's gender is.\So we have to strip the kid naked, huh?\Is that kid just a decoy?\Does that mean the real Izanagi is somewhere else?\Perhaps he's already in Tokyo.\Hey, look at that PTRD.\The scope and bolt are on the other side. response:	The kid in Vladivostok wasn't left-handed.
context: Or even what the kid's gender is.\So we have to strip the kid naked, huh?\Is that kid just a decoy?\Does that mean the real Izanagi is somewhere else?\Perhaps he's already in Tokyo.\Hey, look at that PTRD.\The scope and bolt are on the other side.\The kid in Vladivostok wasn't left-handed. response:	We can't rule out the possibility that Izanagi and Professor Pavlichenko could be here already.
context: So we have to strip the kid naked, huh?\Is that kid just a decoy?\Does that mean the real Izanagi is somewhere else?\Perhaps he's already in Tokyo.\Hey, look at that PTRD.\The scope and bolt are on the other side.\The kid in Vladivostok wasn't left-handed.\We can't rule out the possibility that Izanagi and Professor Pavlichenko could be here already. response:	Maybe they're planning to regroup in Japan?
context: Is that kid just a decoy?\Does that mean the real Izanagi is somewhere else?\Perhaps he's already in Tokyo.\Hey, look at that PTRD.\The scope and bolt are on the other side.\The kid in Vladivostok wasn't left-handed.\We can't rule out the possibility that Izanagi and Professor Pavlichenko could be here already.\Maybe they're planning to regroup in Japan? response:	BK201 won't necessarily have the same plan in mind.
context: Does that mean the real Izanagi is somewhere else?\Perhaps he's already in Tokyo.\Hey, look at that PTRD.\The scope and bolt are on the other side.\The kid in Vladivostok wasn't left-handed.\We can't rule out the possibility that Izanagi and Professor Pavlichenko could be here already.\Maybe they're planning to regroup in Japan?\BK201 won't necessarily have the same plan in mind. response:	The first thing he's going to chase after coming to Tokyo is most likely...
context: Perhaps he's already in Tokyo.\Hey, look at that PTRD.\The scope and bolt are on the other side.\The kid in Vladivostok wasn't left-handed.\We can't rule out the possibility that Izanagi and Professor Pavlichenko could be here already.\Maybe they're planning to regroup in Japan?\BK201 won't necessarily have the same plan in mind.\The first thing he's going to chase after coming to Tokyo is most likely... response:	Izanami.
context: Hey, look at that PTRD.\The scope and bolt are on the other side.\The kid in Vladivostok wasn't left-handed.\We can't rule out the possibility that Izanagi and Professor Pavlichenko could be here already.\Maybe they're planning to regroup in Japan?\BK201 won't necessarily have the same plan in mind.\The first thing he's going to chase after coming to Tokyo is most likely...\Izanami. response:	You're awake?
context: The scope and bolt are on the other side.\The kid in Vladivostok wasn't left-handed.\We can't rule out the possibility that Izanagi and Professor Pavlichenko could be here already.\Maybe they're planning to regroup in Japan?\BK201 won't necessarily have the same plan in mind.\The first thing he's going to chase after coming to Tokyo is most likely...\Izanami.\You're awake? response:	Where am I?
context: The kid in Vladivostok wasn't left-handed.\We can't rule out the possibility that Izanagi and Professor Pavlichenko could be here already.\Maybe they're planning to regroup in Japan?\BK201 won't necessarily have the same plan in mind.\The first thing he's going to chase after coming to Tokyo is most likely...\Izanami.\You're awake?\Where am I? response:	I can't say this is the best choice,
context: We can't rule out the possibility that Izanagi and Professor Pavlichenko could be here already.\Maybe they're planning to regroup in Japan?\BK201 won't necessarily have the same plan in mind.\The first thing he's going to chase after coming to Tokyo is most likely...\Izanami.\You're awake?\Where am I?\I can't say this is the best choice, response:	but it's better than making your cold worse.
context: Maybe they're planning to regroup in Japan?\BK201 won't necessarily have the same plan in mind.\The first thing he's going to chase after coming to Tokyo is most likely...\Izanami.\You're awake?\Where am I?\I can't say this is the best choice,\but it's better than making your cold worse. response:	Where are we?
context: BK201 won't necessarily have the same plan in mind.\The first thing he's going to chase after coming to Tokyo is most likely...\Izanami.\You're awake?\Where am I?\I can't say this is the best choice,\but it's better than making your cold worse.\Where are we? response:	Does someone you know live here?
context: The first thing he's going to chase after coming to Tokyo is most likely...\Izanami.\You're awake?\Where am I?\I can't say this is the best choice,\but it's better than making your cold worse.\Where are we?\Does someone you know live here? response:	Well, you can't really say that I know them...
context: Izanami.\You're awake?\Where am I?\I can't say this is the best choice,\but it's better than making your cold worse.\Where are we?\Does someone you know live here?\Well, you can't really say that I know them... response:	Saying this hurts a little, but they aren't bad people.
context: You're awake?\Where am I?\I can't say this is the best choice,\but it's better than making your cold worse.\Where are we?\Does someone you know live here?\Well, you can't really say that I know them...\Saying this hurts a little, but they aren't bad people. response:	You can't come out yet!
context: Where am I?\I can't say this is the best choice,\but it's better than making your cold worse.\Where are we?\Does someone you know live here?\Well, you can't really say that I know them...\Saying this hurts a little, but they aren't bad people.\You can't come out yet! response:	Messier code: UB001. Amber.
context: I can't say this is the best choice,\but it's better than making your cold worse.\Where are we?\Does someone you know live here?\Well, you can't really say that I know them...\Saying this hurts a little, but they aren't bad people.\You can't come out yet!\Messier code: UB001. Amber. response:	A contractor who has the memories of the future.
context: but it's better than making your cold worse.\Where are we?\Does someone you know live here?\Well, you can't really say that I know them...\Saying this hurts a little, but they aren't bad people.\You can't come out yet!\Messier code: UB001. Amber.\A contractor who has the memories of the future. response:	Leader of the contractor terrorist organization EPR.
context: Where are we?\Does someone you know live here?\Well, you can't really say that I know them...\Saying this hurts a little, but they aren't bad people.\You can't come out yet!\Messier code: UB001. Amber.\A contractor who has the memories of the future.\Leader of the contractor terrorist organization EPR. response:	A former member of the MI6.
context: Does someone you know live here?\Well, you can't really say that I know them...\Saying this hurts a little, but they aren't bad people.\You can't come out yet!\Messier code: UB001. Amber.\A contractor who has the memories of the future.\Leader of the contractor terrorist organization EPR.\A former member of the MI6. response:	There is also evidence that suggests she acted with BK201 in the Heaven's War.
context: Well, you can't really say that I know them...\Saying this hurts a little, but they aren't bad people.\You can't come out yet!\Messier code: UB001. Amber.\A contractor who has the memories of the future.\Leader of the contractor terrorist organization EPR.\A former member of the MI6.\There is also evidence that suggests she acted with BK201 in the Heaven's War. response:	I didn't know much about her back then.
context: Saying this hurts a little, but they aren't bad people.\You can't come out yet!\Messier code: UB001. Amber.\A contractor who has the memories of the future.\Leader of the contractor terrorist organization EPR.\A former member of the MI6.\There is also evidence that suggests she acted with BK201 in the Heaven's War.\I didn't know much about her back then. response:	But she saw everything.
context: You can't come out yet!\Messier code: UB001. Amber.\A contractor who has the memories of the future.\Leader of the contractor terrorist organization EPR.\A former member of the MI6.\There is also evidence that suggests she acted with BK201 in the Heaven's War.\I didn't know much about her back then.\But she saw everything. response:	As well as what came after that.
context: Messier code: UB001. Amber.\A contractor who has the memories of the future.\Leader of the contractor terrorist organization EPR.\A former member of the MI6.\There is also evidence that suggests she acted with BK201 in the Heaven's War.\I didn't know much about her back then.\But she saw everything.\As well as what came after that. response:	You can easily get the CD if you're working for them.
context: A contractor who has the memories of the future.\Leader of the contractor terrorist organization EPR.\A former member of the MI6.\There is also evidence that suggests she acted with BK201 in the Heaven's War.\I didn't know much about her back then.\But she saw everything.\As well as what came after that.\You can easily get the CD if you're working for them. response:	Open that with an analysis program.
context: Leader of the contractor terrorist organization EPR.\A former member of the MI6.\There is also evidence that suggests she acted with BK201 in the Heaven's War.\I didn't know much about her back then.\But she saw everything.\As well as what came after that.\You can easily get the CD if you're working for them.\Open that with an analysis program. response:	The keyword is Izanami.
context: A former member of the MI6.\There is also evidence that suggests she acted with BK201 in the Heaven's War.\I didn't know much about her back then.\But she saw everything.\As well as what came after that.\You can easily get the CD if you're working for them.\Open that with an analysis program.\The keyword is Izanami. response:	Izanami...
context: There is also evidence that suggests she acted with BK201 in the Heaven's War.\I didn't know much about her back then.\But she saw everything.\As well as what came after that.\You can easily get the CD if you're working for them.\Open that with an analysis program.\The keyword is Izanami.\Izanami... response:	So these are... the Mitaka documents?
context: I didn't know much about her back then.\But she saw everything.\As well as what came after that.\You can easily get the CD if you're working for them.\Open that with an analysis program.\The keyword is Izanami.\Izanami...\So these are... the Mitaka documents? response:	I want you to read them.
context: But she saw everything.\As well as what came after that.\You can easily get the CD if you're working for them.\Open that with an analysis program.\The keyword is Izanami.\Izanami...\So these are... the Mitaka documents?\I want you to read them. response:	And tell them...
context: As well as what came after that.\You can easily get the CD if you're working for them.\Open that with an analysis program.\The keyword is Izanami.\Izanami...\So these are... the Mitaka documents?\I want you to read them.\And tell them... response:	Hei will be at the end of that path.
context: You can easily get the CD if you're working for them.\Open that with an analysis program.\The keyword is Izanami.\Izanami...\So these are... the Mitaka documents?\I want you to read them.\And tell them...\Hei will be at the end of that path. response:	You need to tell them, so they won't make any mistakes.
context: Open that with an analysis program.\The keyword is Izanami.\Izanami...\So these are... the Mitaka documents?\I want you to read them.\And tell them...\Hei will be at the end of that path.\You need to tell them, so they won't make any mistakes. response:	T-Thank you.
context: The keyword is Izanami.\Izanami...\So these are... the Mitaka documents?\I want you to read them.\And tell them...\Hei will be at the end of that path.\You need to tell them, so they won't make any mistakes.\T-Thank you. response:	Oh, please. No need to thank us.
context: Izanami...\So these are... the Mitaka documents?\I want you to read them.\And tell them...\Hei will be at the end of that path.\You need to tell them, so they won't make any mistakes.\T-Thank you.\Oh, please. No need to thank us. response:	You were nice enough to give me clothes to change into.
context: So these are... the Mitaka documents?\I want you to read them.\And tell them...\Hei will be at the end of that path.\You need to tell them, so they won't make any mistakes.\T-Thank you.\Oh, please. No need to thank us.\You were nice enough to give me clothes to change into. response:	And on top of that, such nice clothes.
context: I want you to read them.\And tell them...\Hei will be at the end of that path.\You need to tell them, so they won't make any mistakes.\T-Thank you.\Oh, please. No need to thank us.\You were nice enough to give me clothes to change into.\And on top of that, such nice clothes. response:	She's really happy about this.
context: And tell them...\Hei will be at the end of that path.\You need to tell them, so they won't make any mistakes.\T-Thank you.\Oh, please. No need to thank us.\You were nice enough to give me clothes to change into.\And on top of that, such nice clothes.\She's really happy about this. response:	You don't see that everyday.
context: Hei will be at the end of that path.\You need to tell them, so they won't make any mistakes.\T-Thank you.\Oh, please. No need to thank us.\You were nice enough to give me clothes to change into.\And on top of that, such nice clothes.\She's really happy about this.\You don't see that everyday. response:	Could she be a natural-born cosplayer?
