context: Are you really okay with making such a discussion just like that? response:	Are you really okay with deciding this so easily?
context: Yet despite that, she traveled a long distance simply to speak with you.\Diana, think it through! Aren't there any things you've left undone at Luna Nova?\There are none.\There is not.\The family's patron beast, the white unicorn, indicates it with its horn\When the Gem of Venus obscures the horn's radiance,\When the Gem of Venus conceals the horn's radiance,\the seal on the shine will be unleashed, allowing she who swears upon the ancestors' souls to become the family head. response:	It's when Venus, in its orbit, aligns with the Moon and disappears for a short time.
context: Diana, think it through! Aren't there any things you've left undone at Luna Nova?\There are none.\There is not.\The family's patron beast, the white unicorn, indicates it with its horn\When the Gem of Venus obscures the horn's radiance,\When the Gem of Venus conceals the horn's radiance,\the seal on the shine will be unleashed, allowing she who swears upon the ancestors' souls to become the family head.\It's when Venus, in its orbit, aligns with the Moon and disappears for a short time. response:	It's when the orbit of Venus aligns with the Moon, hiding it for a short time.
context: There are none.\There is not.\The family's patron beast, the white unicorn, indicates it with its horn\When the Gem of Venus obscures the horn's radiance,\When the Gem of Venus conceals the horn's radiance,\the seal on the shine will be unleashed, allowing she who swears upon the ancestors' souls to become the family head.\It's when Venus, in its orbit, aligns with the Moon and disappears for a short time.\It's when the orbit of Venus aligns with the Moon, hiding it for a short time. response:	She cannot let today's opportunity escape.
context: There is not.\The family's patron beast, the white unicorn, indicates it with its horn\When the Gem of Venus obscures the horn's radiance,\When the Gem of Venus conceals the horn's radiance,\the seal on the shine will be unleashed, allowing she who swears upon the ancestors' souls to become the family head.\It's when Venus, in its orbit, aligns with the Moon and disappears for a short time.\It's when the orbit of Venus aligns with the Moon, hiding it for a short time.\She cannot let today's opportunity escape. response:	These are... Aunt's snakes!
context: The family's patron beast, the white unicorn, indicates it with its horn\When the Gem of Venus obscures the horn's radiance,\When the Gem of Venus conceals the horn's radiance,\the seal on the shine will be unleashed, allowing she who swears upon the ancestors' souls to become the family head.\It's when Venus, in its orbit, aligns with the Moon and disappears for a short time.\It's when the orbit of Venus aligns with the Moon, hiding it for a short time.\She cannot let today's opportunity escape.\These are... Aunt's snakes! response:	What a piddling effort.
context: When the Gem of Venus obscures the horn's radiance,\When the Gem of Venus conceals the horn's radiance,\the seal on the shine will be unleashed, allowing she who swears upon the ancestors' souls to become the family head.\It's when Venus, in its orbit, aligns with the Moon and disappears for a short time.\It's when the orbit of Venus aligns with the Moon, hiding it for a short time.\She cannot let today's opportunity escape.\These are... Aunt's snakes!\What a piddling effort. response:	You're no more than a child without your magic.
context: When the Gem of Venus conceals the horn's radiance,\the seal on the shine will be unleashed, allowing she who swears upon the ancestors' souls to become the family head.\It's when Venus, in its orbit, aligns with the Moon and disappears for a short time.\It's when the orbit of Venus aligns with the Moon, hiding it for a short time.\She cannot let today's opportunity escape.\These are... Aunt's snakes!\What a piddling effort.\You're no more than a child without your magic. response:	Leaving the moment any business he has is over?
context: the seal on the shine will be unleashed, allowing she who swears upon the ancestors' souls to become the family head.\It's when Venus, in its orbit, aligns with the Moon and disappears for a short time.\It's when the orbit of Venus aligns with the Moon, hiding it for a short time.\She cannot let today's opportunity escape.\These are... Aunt's snakes!\What a piddling effort.\You're no more than a child without your magic.\Leaving the moment any business he has is over? response:	Diana isn't the type of person to act on a whim or with no reason.
context: It's when Venus, in its orbit, aligns with the Moon and disappears for a short time.\It's when the orbit of Venus aligns with the Moon, hiding it for a short time.\She cannot let today's opportunity escape.\These are... Aunt's snakes!\What a piddling effort.\You're no more than a child without your magic.\Leaving the moment any business he has is over?\Diana isn't the type of person to act on a whim or with no reason. response:	Diana isn't the type of person to act randomly or without reason.
context: It's when the orbit of Venus aligns with the Moon, hiding it for a short time.\She cannot let today's opportunity escape.\These are... Aunt's snakes!\What a piddling effort.\You're no more than a child without your magic.\Leaving the moment any business he has is over?\Diana isn't the type of person to act on a whim or with no reason.\Diana isn't the type of person to act randomly or without reason. response:	Her choice this time must be the result of deep consideration.
context: She cannot let today's opportunity escape.\These are... Aunt's snakes!\What a piddling effort.\You're no more than a child without your magic.\Leaving the moment any business he has is over?\Diana isn't the type of person to act on a whim or with no reason.\Diana isn't the type of person to act randomly or without reason.\Her choice this time must be the result of deep consideration. response:	Plus, her stubbornness won't let her go back on her word anyway.
context: These are... Aunt's snakes!\What a piddling effort.\You're no more than a child without your magic.\Leaving the moment any business he has is over?\Diana isn't the type of person to act on a whim or with no reason.\Diana isn't the type of person to act randomly or without reason.\Her choice this time must be the result of deep consideration.\Plus, her stubbornness won't let her go back on her word anyway. response:	Plus, she's stubborn enough not to go back on her word.
context: What a piddling effort.\You're no more than a child without your magic.\Leaving the moment any business he has is over?\Diana isn't the type of person to act on a whim or with no reason.\Diana isn't the type of person to act randomly or without reason.\Her choice this time must be the result of deep consideration.\Plus, her stubbornness won't let her go back on her word anyway.\Plus, she's stubborn enough not to go back on her word. response:	Isn't there really only one way to go about this? You will have to respect her feelings.
context: You're no more than a child without your magic.\Leaving the moment any business he has is over?\Diana isn't the type of person to act on a whim or with no reason.\Diana isn't the type of person to act randomly or without reason.\Her choice this time must be the result of deep consideration.\Plus, her stubbornness won't let her go back on her word anyway.\Plus, she's stubborn enough not to go back on her word.\Isn't there really only one way to go about this? You will have to respect her feelings. response:	Isn't there only one option available? You have to respect her feelings.
context: Leaving the moment any business he has is over?\Diana isn't the type of person to act on a whim or with no reason.\Diana isn't the type of person to act randomly or without reason.\Her choice this time must be the result of deep consideration.\Plus, her stubbornness won't let her go back on her word anyway.\Plus, she's stubborn enough not to go back on her word.\Isn't there really only one way to go about this? You will have to respect her feelings.\Isn't there only one option available? You have to respect her feelings. response:	But I still can't accept it. Something's wrong with Diana just quitting school!
context: Diana isn't the type of person to act on a whim or with no reason.\Diana isn't the type of person to act randomly or without reason.\Her choice this time must be the result of deep consideration.\Plus, her stubbornness won't let her go back on her word anyway.\Plus, she's stubborn enough not to go back on her word.\Isn't there really only one way to go about this? You will have to respect her feelings.\Isn't there only one option available? You have to respect her feelings.\But I still can't accept it. Something's wrong with Diana just quitting school! response:	Isn't this just your own selfish desires speaking?
context: Diana isn't the type of person to act randomly or without reason.\Her choice this time must be the result of deep consideration.\Plus, her stubbornness won't let her go back on her word anyway.\Plus, she's stubborn enough not to go back on her word.\Isn't there really only one way to go about this? You will have to respect her feelings.\Isn't there only one option available? You have to respect her feelings.\But I still can't accept it. Something's wrong with Diana just quitting school!\Isn't this just your own selfish desires speaking? response:	Isn't that just your own desire speaking?
context: Her choice this time must be the result of deep consideration.\Plus, her stubbornness won't let her go back on her word anyway.\Plus, she's stubborn enough not to go back on her word.\Isn't there really only one way to go about this? You will have to respect her feelings.\Isn't there only one option available? You have to respect her feelings.\But I still can't accept it. Something's wrong with Diana just quitting school!\Isn't this just your own selfish desires speaking?\Isn't that just your own desire speaking? response:	But I can tell that Diana doesn't want to quit school.
context: Plus, her stubbornness won't let her go back on her word anyway.\Plus, she's stubborn enough not to go back on her word.\Isn't there really only one way to go about this? You will have to respect her feelings.\Isn't there only one option available? You have to respect her feelings.\But I still can't accept it. Something's wrong with Diana just quitting school!\Isn't this just your own selfish desires speaking?\Isn't that just your own desire speaking?\But I can tell that Diana doesn't want to quit school. response:	Even if she can't tell anyone...
context: Plus, she's stubborn enough not to go back on her word.\Isn't there really only one way to go about this? You will have to respect her feelings.\Isn't there only one option available? You have to respect her feelings.\But I still can't accept it. Something's wrong with Diana just quitting school!\Isn't this just your own selfish desires speaking?\Isn't that just your own desire speaking?\But I can tell that Diana doesn't want to quit school.\Even if she can't tell anyone... response:	There's no way she came to Luna Nova without intending to graduate.
context: Isn't there really only one way to go about this? You will have to respect her feelings.\Isn't there only one option available? You have to respect her feelings.\But I still can't accept it. Something's wrong with Diana just quitting school!\Isn't this just your own selfish desires speaking?\Isn't that just your own desire speaking?\But I can tell that Diana doesn't want to quit school.\Even if she can't tell anyone...\There's no way she came to Luna Nova without intending to graduate. response:	Why would she just drop out?
context: Isn't there only one option available? You have to respect her feelings.\But I still can't accept it. Something's wrong with Diana just quitting school!\Isn't this just your own selfish desires speaking?\Isn't that just your own desire speaking?\But I can tell that Diana doesn't want to quit school.\Even if she can't tell anyone...\There's no way she came to Luna Nova without intending to graduate.\Why would she just drop out? response:	But Diana wouldn't have come to Luna Nova for no reason!
context: But I still can't accept it. Something's wrong with Diana just quitting school!\Isn't this just your own selfish desires speaking?\Isn't that just your own desire speaking?\But I can tell that Diana doesn't want to quit school.\Even if she can't tell anyone...\There's no way she came to Luna Nova without intending to graduate.\Why would she just drop out?\But Diana wouldn't have come to Luna Nova for no reason! response:	You say she could do everything from the start?
context: Isn't this just your own selfish desires speaking?\Isn't that just your own desire speaking?\But I can tell that Diana doesn't want to quit school.\Even if she can't tell anyone...\There's no way she came to Luna Nova without intending to graduate.\Why would she just drop out?\But Diana wouldn't have come to Luna Nova for no reason!\You say she could do everything from the start? response:	I'm not surprised you think that.
context: Isn't that just your own desire speaking?\But I can tell that Diana doesn't want to quit school.\Even if she can't tell anyone...\There's no way she came to Luna Nova without intending to graduate.\Why would she just drop out?\But Diana wouldn't have come to Luna Nova for no reason!\You say she could do everything from the start?\I'm not surprised you think that. response:	There was a time when Diana become completely unable to use magic.
context: But I can tell that Diana doesn't want to quit school.\Even if she can't tell anyone...\There's no way she came to Luna Nova without intending to graduate.\Why would she just drop out?\But Diana wouldn't have come to Luna Nova for no reason!\You say she could do everything from the start?\I'm not surprised you think that.\There was a time when Diana become completely unable to use magic. response:	It was back when she was a child. I'm not so sure of the details myself.
context: Even if she can't tell anyone...\There's no way she came to Luna Nova without intending to graduate.\Why would she just drop out?\But Diana wouldn't have come to Luna Nova for no reason!\You say she could do everything from the start?\I'm not surprised you think that.\There was a time when Diana become completely unable to use magic.\It was back when she was a child. I'm not so sure of the details myself. response:	All her time was devoted wholeheartedly to the practice of magic.
context: There's no way she came to Luna Nova without intending to graduate.\Why would she just drop out?\But Diana wouldn't have come to Luna Nova for no reason!\You say she could do everything from the start?\I'm not surprised you think that.\There was a time when Diana become completely unable to use magic.\It was back when she was a child. I'm not so sure of the details myself.\All her time was devoted wholeheartedly to the practice of magic. response:	You were right.
context: Why would she just drop out?\But Diana wouldn't have come to Luna Nova for no reason!\You say she could do everything from the start?\I'm not surprised you think that.\There was a time when Diana become completely unable to use magic.\It was back when she was a child. I'm not so sure of the details myself.\All her time was devoted wholeheartedly to the practice of magic.\You were right. response:	There was likely something she wanted to accomplish.
context: But Diana wouldn't have come to Luna Nova for no reason!\You say she could do everything from the start?\I'm not surprised you think that.\There was a time when Diana become completely unable to use magic.\It was back when she was a child. I'm not so sure of the details myself.\All her time was devoted wholeheartedly to the practice of magic.\You were right.\There was likely something she wanted to accomplish. response:	But still...
context: You say she could do everything from the start?\I'm not surprised you think that.\There was a time when Diana become completely unable to use magic.\It was back when she was a child. I'm not so sure of the details myself.\All her time was devoted wholeheartedly to the practice of magic.\You were right.\There was likely something she wanted to accomplish.\But still... response:	Wait, Meryl! Come back.
context: I'm not surprised you think that.\There was a time when Diana become completely unable to use magic.\It was back when she was a child. I'm not so sure of the details myself.\All her time was devoted wholeheartedly to the practice of magic.\You were right.\There was likely something she wanted to accomplish.\But still...\Wait, Meryl! Come back. response:	Wait, come back Meryl.
context: There was a time when Diana become completely unable to use magic.\It was back when she was a child. I'm not so sure of the details myself.\All her time was devoted wholeheartedly to the practice of magic.\You were right.\There was likely something she wanted to accomplish.\But still...\Wait, Meryl! Come back.\Wait, come back Meryl. response:	Is this really okay? Mama told us to wait in our room.
context: It was back when she was a child. I'm not so sure of the details myself.\All her time was devoted wholeheartedly to the practice of magic.\You were right.\There was likely something she wanted to accomplish.\But still...\Wait, Meryl! Come back.\Wait, come back Meryl.\Is this really okay? Mama told us to wait in our room. response:	Is this okay? Mama told us to wait in our room.
context: All her time was devoted wholeheartedly to the practice of magic.\You were right.\There was likely something she wanted to accomplish.\But still...\Wait, Meryl! Come back.\Wait, come back Meryl.\Is this really okay? Mama told us to wait in our room.\Is this okay? Mama told us to wait in our room. response:	She's going up against Diana, Maryl.
context: You were right.\There was likely something she wanted to accomplish.\But still...\Wait, Meryl! Come back.\Wait, come back Meryl.\Is this really okay? Mama told us to wait in our room.\Is this okay? Mama told us to wait in our room.\She's going up against Diana, Maryl. response:	I'm worried about her going alone.
context: There was likely something she wanted to accomplish.\But still...\Wait, Meryl! Come back.\Wait, come back Meryl.\Is this really okay? Mama told us to wait in our room.\Is this okay? Mama told us to wait in our room.\She's going up against Diana, Maryl.\I'm worried about her going alone. response:	So how did it go?
context: But still...\Wait, Meryl! Come back.\Wait, come back Meryl.\Is this really okay? Mama told us to wait in our room.\Is this okay? Mama told us to wait in our room.\She's going up against Diana, Maryl.\I'm worried about her going alone.\So how did it go? response:	It took no more than a piddling effort.
context: Wait, Meryl! Come back.\Wait, come back Meryl.\Is this really okay? Mama told us to wait in our room.\Is this okay? Mama told us to wait in our room.\She's going up against Diana, Maryl.\I'm worried about her going alone.\So how did it go?\It took no more than a piddling effort. response:	Yeah, she might be able to break through any light magic.
context: Wait, come back Meryl.\Is this really okay? Mama told us to wait in our room.\Is this okay? Mama told us to wait in our room.\She's going up against Diana, Maryl.\I'm worried about her going alone.\So how did it go?\It took no more than a piddling effort.\Yeah, she might be able to break through any light magic. response:	Forget about performing the ritualDiana will run out of time before she even reaches the shrine.
context: Is this really okay? Mama told us to wait in our room.\Is this okay? Mama told us to wait in our room.\She's going up against Diana, Maryl.\I'm worried about her going alone.\So how did it go?\It took no more than a piddling effort.\Yeah, she might be able to break through any light magic.\Forget about performing the ritualDiana will run out of time before she even reaches the shrine. response:	I am already anxious to see the look on her arrogant little face come tomorrow morning.
context: Is this okay? Mama told us to wait in our room.\She's going up against Diana, Maryl.\I'm worried about her going alone.\So how did it go?\It took no more than a piddling effort.\Yeah, she might be able to break through any light magic.\Forget about performing the ritualDiana will run out of time before she even reaches the shrine.\I am already anxious to see the look on her arrogant little face come tomorrow morning. response:	I can hardly wait to see the look on her arrogant little face tomorrow morning.
context: She's going up against Diana, Maryl.\I'm worried about her going alone.\So how did it go?\It took no more than a piddling effort.\Yeah, she might be able to break through any light magic.\Forget about performing the ritualDiana will run out of time before she even reaches the shrine.\I am already anxious to see the look on her arrogant little face come tomorrow morning.\I can hardly wait to see the look on her arrogant little face tomorrow morning. response:	Wh-Why have you returned so late at night?
context: I'm worried about her going alone.\So how did it go?\It took no more than a piddling effort.\Yeah, she might be able to break through any light magic.\Forget about performing the ritualDiana will run out of time before she even reaches the shrine.\I am already anxious to see the look on her arrogant little face come tomorrow morning.\I can hardly wait to see the look on her arrogant little face tomorrow morning.\Wh-Why have you returned so late at night? response:	Please, Diana's in trouble! Let me in!
context: So how did it go?\It took no more than a piddling effort.\Yeah, she might be able to break through any light magic.\Forget about performing the ritualDiana will run out of time before she even reaches the shrine.\I am already anxious to see the look on her arrogant little face come tomorrow morning.\I can hardly wait to see the look on her arrogant little face tomorrow morning.\Wh-Why have you returned so late at night?\Please, Diana's in trouble! Let me in! response:	She did something to prevent Diana from doing the ritual.
context: It took no more than a piddling effort.\Yeah, she might be able to break through any light magic.\Forget about performing the ritualDiana will run out of time before she even reaches the shrine.\I am already anxious to see the look on her arrogant little face come tomorrow morning.\I can hardly wait to see the look on her arrogant little face tomorrow morning.\Wh-Why have you returned so late at night?\Please, Diana's in trouble! Let me in!\She did something to prevent Diana from doing the ritual. response:	It's past this door, isn't it?
context: Yeah, she might be able to break through any light magic.\Forget about performing the ritualDiana will run out of time before she even reaches the shrine.\I am already anxious to see the look on her arrogant little face come tomorrow morning.\I can hardly wait to see the look on her arrogant little face tomorrow morning.\Wh-Why have you returned so late at night?\Please, Diana's in trouble! Let me in!\She did something to prevent Diana from doing the ritual.\It's past this door, isn't it? response:	So let me through, please!
context: Forget about performing the ritualDiana will run out of time before she even reaches the shrine.\I am already anxious to see the look on her arrogant little face come tomorrow morning.\I can hardly wait to see the look on her arrogant little face tomorrow morning.\Wh-Why have you returned so late at night?\Please, Diana's in trouble! Let me in!\She did something to prevent Diana from doing the ritual.\It's past this door, isn't it?\So let me through, please! response:	Please let me through!
context: I am already anxious to see the look on her arrogant little face come tomorrow morning.\I can hardly wait to see the look on her arrogant little face tomorrow morning.\Wh-Why have you returned so late at night?\Please, Diana's in trouble! Let me in!\She did something to prevent Diana from doing the ritual.\It's past this door, isn't it?\So let me through, please!\Please let me through! response:	I cannot. It is our custom that only those of Cavendish lineage may pass through.
context: I can hardly wait to see the look on her arrogant little face tomorrow morning.\Wh-Why have you returned so late at night?\Please, Diana's in trouble! Let me in!\She did something to prevent Diana from doing the ritual.\It's past this door, isn't it?\So let me through, please!\Please let me through!\I cannot. It is our custom that only those of Cavendish lineage may pass through. response:	This is not the time for that stuff! Something bad might be happening to Diana as we speak!
context: Wh-Why have you returned so late at night?\Please, Diana's in trouble! Let me in!\She did something to prevent Diana from doing the ritual.\It's past this door, isn't it?\So let me through, please!\Please let me through!\I cannot. It is our custom that only those of Cavendish lineage may pass through.\This is not the time for that stuff! Something bad might be happening to Diana as we speak! response:	It's not the time for that stuff! Something might be happening to Diana as we speak!
context: Please, Diana's in trouble! Let me in!\She did something to prevent Diana from doing the ritual.\It's past this door, isn't it?\So let me through, please!\Please let me through!\I cannot. It is our custom that only those of Cavendish lineage may pass through.\This is not the time for that stuff! Something bad might be happening to Diana as we speak!\It's not the time for that stuff! Something might be happening to Diana as we speak! response:	This is an emergency. It'll be too late if Diana really has been stopped!
context: She did something to prevent Diana from doing the ritual.\It's past this door, isn't it?\So let me through, please!\Please let me through!\I cannot. It is our custom that only those of Cavendish lineage may pass through.\This is not the time for that stuff! Something bad might be happening to Diana as we speak!\It's not the time for that stuff! Something might be happening to Diana as we speak!\This is an emergency. It'll be too late if Diana really has been stopped! response:	That's got nothing on Sucy's!
context: It's past this door, isn't it?\So let me through, please!\Please let me through!\I cannot. It is our custom that only those of Cavendish lineage may pass through.\This is not the time for that stuff! Something bad might be happening to Diana as we speak!\It's not the time for that stuff! Something might be happening to Diana as we speak!\This is an emergency. It'll be too late if Diana really has been stopped!\That's got nothing on Sucy's! response:	It's nothing compared to Sucy's!
context: So let me through, please!\Please let me through!\I cannot. It is our custom that only those of Cavendish lineage may pass through.\This is not the time for that stuff! Something bad might be happening to Diana as we speak!\It's not the time for that stuff! Something might be happening to Diana as we speak!\This is an emergency. It'll be too late if Diana really has been stopped!\That's got nothing on Sucy's!\It's nothing compared to Sucy's! response:	I see there are no limits to your absurdity.
context: Please let me through!\I cannot. It is our custom that only those of Cavendish lineage may pass through.\This is not the time for that stuff! Something bad might be happening to Diana as we speak!\It's not the time for that stuff! Something might be happening to Diana as we speak!\This is an emergency. It'll be too late if Diana really has been stopped!\That's got nothing on Sucy's!\It's nothing compared to Sucy's!\I see there are no limits to your absurdity. response:	Really, every time I feel as though I've grown accustomed to you...
context: I cannot. It is our custom that only those of Cavendish lineage may pass through.\This is not the time for that stuff! Something bad might be happening to Diana as we speak!\It's not the time for that stuff! Something might be happening to Diana as we speak!\This is an emergency. It'll be too late if Diana really has been stopped!\That's got nothing on Sucy's!\It's nothing compared to Sucy's!\I see there are no limits to your absurdity.\Really, every time I feel as though I've grown accustomed to you... response:	Honestly, every time I feel as though I'm used to you...
context: This is not the time for that stuff! Something bad might be happening to Diana as we speak!\It's not the time for that stuff! Something might be happening to Diana as we speak!\This is an emergency. It'll be too late if Diana really has been stopped!\That's got nothing on Sucy's!\It's nothing compared to Sucy's!\I see there are no limits to your absurdity.\Really, every time I feel as though I've grown accustomed to you...\Honestly, every time I feel as though I'm used to you... response:	Besides, weren't you attempting to prevent me from performing the ritual?
context: It's not the time for that stuff! Something might be happening to Diana as we speak!\This is an emergency. It'll be too late if Diana really has been stopped!\That's got nothing on Sucy's!\It's nothing compared to Sucy's!\I see there are no limits to your absurdity.\Really, every time I feel as though I've grown accustomed to you...\Honestly, every time I feel as though I'm used to you...\Besides, weren't you attempting to prevent me from performing the ritual? response:	You hold no responsibility in the matter.
context: This is an emergency. It'll be too late if Diana really has been stopped!\That's got nothing on Sucy's!\It's nothing compared to Sucy's!\I see there are no limits to your absurdity.\Really, every time I feel as though I've grown accustomed to you...\Honestly, every time I feel as though I'm used to you...\Besides, weren't you attempting to prevent me from performing the ritual?\You hold no responsibility in the matter. response:	Because there were those who did not agree with us, we created this hidden location.
context: That's got nothing on Sucy's!\It's nothing compared to Sucy's!\I see there are no limits to your absurdity.\Really, every time I feel as though I've grown accustomed to you...\Honestly, every time I feel as though I'm used to you...\Besides, weren't you attempting to prevent me from performing the ritual?\You hold no responsibility in the matter.\Because there were those who did not agree with us, we created this hidden location. response:	The 1500 year long history of the Cavendish line.
context: It's nothing compared to Sucy's!\I see there are no limits to your absurdity.\Really, every time I feel as though I've grown accustomed to you...\Honestly, every time I feel as though I'm used to you...\Besides, weren't you attempting to prevent me from performing the ritual?\You hold no responsibility in the matter.\Because there were those who did not agree with us, we created this hidden location.\The 1500 year long history of the Cavendish line. response:	These books contain the culmination of my predecessors' research about countless forms of healing magic.
context: I see there are no limits to your absurdity.\Really, every time I feel as though I've grown accustomed to you...\Honestly, every time I feel as though I'm used to you...\Besides, weren't you attempting to prevent me from performing the ritual?\You hold no responsibility in the matter.\Because there were those who did not agree with us, we created this hidden location.\The 1500 year long history of the Cavendish line.\These books contain the culmination of my predecessors' research about countless forms of healing magic. response:	Many of them have unfortunately become obsolete with the development of the medical sciences.
context: Really, every time I feel as though I've grown accustomed to you...\Honestly, every time I feel as though I'm used to you...\Besides, weren't you attempting to prevent me from performing the ritual?\You hold no responsibility in the matter.\Because there were those who did not agree with us, we created this hidden location.\The 1500 year long history of the Cavendish line.\These books contain the culmination of my predecessors' research about countless forms of healing magic.\Many of them have unfortunately become obsolete with the development of the medical sciences. response:	The Cavendish foremother, Beatrix the witch.
context: Honestly, every time I feel as though I'm used to you...\Besides, weren't you attempting to prevent me from performing the ritual?\You hold no responsibility in the matter.\Because there were those who did not agree with us, we created this hidden location.\The 1500 year long history of the Cavendish line.\These books contain the culmination of my predecessors' research about countless forms of healing magic.\Many of them have unfortunately become obsolete with the development of the medical sciences.\The Cavendish foremother, Beatrix the witch. response:	She also created our founding motto of affection.
context: Besides, weren't you attempting to prevent me from performing the ritual?\You hold no responsibility in the matter.\Because there were those who did not agree with us, we created this hidden location.\The 1500 year long history of the Cavendish line.\These books contain the culmination of my predecessors' research about countless forms of healing magic.\Many of them have unfortunately become obsolete with the development of the medical sciences.\The Cavendish foremother, Beatrix the witch.\She also created our founding motto of affection. response:	My mother Bernadette worked hard to ensure that stayed the same.
context: You hold no responsibility in the matter.\Because there were those who did not agree with us, we created this hidden location.\The 1500 year long history of the Cavendish line.\These books contain the culmination of my predecessors' research about countless forms of healing magic.\Many of them have unfortunately become obsolete with the development of the medical sciences.\The Cavendish foremother, Beatrix the witch.\She also created our founding motto of affection.\My mother Bernadette worked hard to ensure that stayed the same. response:	She had a weak constitution, and after years of pushing herself, she passed away.
context: Because there were those who did not agree with us, we created this hidden location.\The 1500 year long history of the Cavendish line.\These books contain the culmination of my predecessors' research about countless forms of healing magic.\Many of them have unfortunately become obsolete with the development of the medical sciences.\The Cavendish foremother, Beatrix the witch.\She also created our founding motto of affection.\My mother Bernadette worked hard to ensure that stayed the same.\She had a weak constitution, and after years of pushing herself, she passed away. response:	She had a weak constitution, and passed away young after years of pushing herself.
context: The 1500 year long history of the Cavendish line.\These books contain the culmination of my predecessors' research about countless forms of healing magic.\Many of them have unfortunately become obsolete with the development of the medical sciences.\The Cavendish foremother, Beatrix the witch.\She also created our founding motto of affection.\My mother Bernadette worked hard to ensure that stayed the same.\She had a weak constitution, and after years of pushing herself, she passed away.\She had a weak constitution, and passed away young after years of pushing herself. response:	Don't give up! You can still protect this hosue!
context: These books contain the culmination of my predecessors' research about countless forms of healing magic.\Many of them have unfortunately become obsolete with the development of the medical sciences.\The Cavendish foremother, Beatrix the witch.\She also created our founding motto of affection.\My mother Bernadette worked hard to ensure that stayed the same.\She had a weak constitution, and after years of pushing herself, she passed away.\She had a weak constitution, and passed away young after years of pushing herself.\Don't give up! You can still protect this hosue! response:	You can't say that until you go, until you try!
context: Many of them have unfortunately become obsolete with the development of the medical sciences.\The Cavendish foremother, Beatrix the witch.\She also created our founding motto of affection.\My mother Bernadette worked hard to ensure that stayed the same.\She had a weak constitution, and after years of pushing herself, she passed away.\She had a weak constitution, and passed away young after years of pushing herself.\Don't give up! You can still protect this hosue!\You can't say that until you go, until you try! response:	There must be a way!
context: The Cavendish foremother, Beatrix the witch.\She also created our founding motto of affection.\My mother Bernadette worked hard to ensure that stayed the same.\She had a weak constitution, and after years of pushing herself, she passed away.\She had a weak constitution, and passed away young after years of pushing herself.\Don't give up! You can still protect this hosue!\You can't say that until you go, until you try!\There must be a way! response:	You just can't give up on a dream that's so important to you!
