context: Boobies, White Panties and Me response:	Don't move...
context: That's awesome, Middle!\They're looking, everyone in the school is staring at my picture!\I changed my mind, this is embarrassing!\Stop looking at my boobies!\Aww come on, it's not hurting anyone.\Yeah, we wanna see more!\We want more!\You're such a baby. response:	You don't understand the joy of being the center of attention.
context: They're looking, everyone in the school is staring at my picture!\I changed my mind, this is embarrassing!\Stop looking at my boobies!\Aww come on, it's not hurting anyone.\Yeah, we wanna see more!\We want more!\You're such a baby.\You don't understand the joy of being the center of attention. response:	But it's embarrassing...
context: I changed my mind, this is embarrassing!\Stop looking at my boobies!\Aww come on, it's not hurting anyone.\Yeah, we wanna see more!\We want more!\You're such a baby.\You don't understand the joy of being the center of attention.\But it's embarrassing... response:	It'll start feeling good before you know it.
context: Stop looking at my boobies!\Aww come on, it's not hurting anyone.\Yeah, we wanna see more!\We want more!\You're such a baby.\You don't understand the joy of being the center of attention.\But it's embarrassing...\It'll start feeling good before you know it. response:	Really?
context: Aww come on, it's not hurting anyone.\Yeah, we wanna see more!\We want more!\You're such a baby.\You don't understand the joy of being the center of attention.\But it's embarrassing...\It'll start feeling good before you know it.\Really? response:	I like your breasts too, Futaba-chan.
context: Yeah, we wanna see more!\We want more!\You're such a baby.\You don't understand the joy of being the center of attention.\But it's embarrassing...\It'll start feeling good before you know it.\Really?\I like your breasts too, Futaba-chan. response:	Me too...
context: We want more!\You're such a baby.\You don't understand the joy of being the center of attention.\But it's embarrassing...\It'll start feeling good before you know it.\Really?\I like your breasts too, Futaba-chan.\Me too... response:	Yabecchi, Hitoha...
context: You're such a baby.\You don't understand the joy of being the center of attention.\But it's embarrassing...\It'll start feeling good before you know it.\Really?\I like your breasts too, Futaba-chan.\Me too...\Yabecchi, Hitoha... response:	Okay!
context: You don't understand the joy of being the center of attention.\But it's embarrassing...\It'll start feeling good before you know it.\Really?\I like your breasts too, Futaba-chan.\Me too...\Yabecchi, Hitoha...\Okay! response:	Everyone look at my boobs!
context: But it's embarrassing...\It'll start feeling good before you know it.\Really?\I like your breasts too, Futaba-chan.\Me too...\Yabecchi, Hitoha...\Okay!\Everyone look at my boobs! response:	Stare at them, lick them with your imagination!
context: It'll start feeling good before you know it.\Really?\I like your breasts too, Futaba-chan.\Me too...\Yabecchi, Hitoha...\Okay!\Everyone look at my boobs!\Stare at them, lick them with your imagination! response:	Boo-bies boo-bies boo-bies!
context: Really?\I like your breasts too, Futaba-chan.\Me too...\Yabecchi, Hitoha...\Okay!\Everyone look at my boobs!\Stare at them, lick them with your imagination!\Boo-bies boo-bies boo-bies! response:	Hi Kuriyama-sensei.
context: I like your breasts too, Futaba-chan.\Me too...\Yabecchi, Hitoha...\Okay!\Everyone look at my boobs!\Stare at them, lick them with your imagination!\Boo-bies boo-bies boo-bies!\Hi Kuriyama-sensei. response:	This whole grade is sick!
context: Me too...\Yabecchi, Hitoha...\Okay!\Everyone look at my boobs!\Stare at them, lick them with your imagination!\Boo-bies boo-bies boo-bies!\Hi Kuriyama-sensei.\This whole grade is sick! response:	Huh?
context: Yabecchi, Hitoha...\Okay!\Everyone look at my boobs!\Stare at them, lick them with your imagination!\Boo-bies boo-bies boo-bies!\Hi Kuriyama-sensei.\This whole grade is sick!\Huh? response:	And the winner is class 6-3's Marui Futaba for Portrait of an F-Cup!
context: Okay!\Everyone look at my boobs!\Stare at them, lick them with your imagination!\Boo-bies boo-bies boo-bies!\Hi Kuriyama-sensei.\This whole grade is sick!\Huh?\And the winner is class 6-3's Marui Futaba for Portrait of an F-Cup! response:	They're all looking...
context: Everyone look at my boobs!\Stare at them, lick them with your imagination!\Boo-bies boo-bies boo-bies!\Hi Kuriyama-sensei.\This whole grade is sick!\Huh?\And the winner is class 6-3's Marui Futaba for Portrait of an F-Cup!\They're all looking... response:	A few days later
context: Stare at them, lick them with your imagination!\Boo-bies boo-bies boo-bies!\Hi Kuriyama-sensei.\This whole grade is sick!\Huh?\And the winner is class 6-3's Marui Futaba for Portrait of an F-Cup!\They're all looking...\A few days later response:	What's up?
context: Boo-bies boo-bies boo-bies!\Hi Kuriyama-sensei.\This whole grade is sick!\Huh?\And the winner is class 6-3's Marui Futaba for Portrait of an F-Cup!\They're all looking...\A few days later\What's up? response:	There are thumbtacks on the nipples!
context: Hi Kuriyama-sensei.\This whole grade is sick!\Huh?\And the winner is class 6-3's Marui Futaba for Portrait of an F-Cup!\They're all looking...\A few days later\What's up?\There are thumbtacks on the nipples! response:	Who would pull such a mean prank?!
context: This whole grade is sick!\Huh?\And the winner is class 6-3's Marui Futaba for Portrait of an F-Cup!\They're all looking...\A few days later\What's up?\There are thumbtacks on the nipples!\Who would pull such a mean prank?! response:	Futaba-chan-
context: Huh?\And the winner is class 6-3's Marui Futaba for Portrait of an F-Cup!\They're all looking...\A few days later\What's up?\There are thumbtacks on the nipples!\Who would pull such a mean prank?!\Futaba-chan- response:	Futaba-chan...
context: And the winner is class 6-3's Marui Futaba for Portrait of an F-Cup!\They're all looking...\A few days later\What's up?\There are thumbtacks on the nipples!\Who would pull such a mean prank?!\Futaba-chan-\Futaba-chan... response:	Not bad!
context: They're all looking...\A few days later\What's up?\There are thumbtacks on the nipples!\Who would pull such a mean prank?!\Futaba-chan-\Futaba-chan...\Not bad! response:	Yes it is!
context: A few days later\What's up?\There are thumbtacks on the nipples!\Who would pull such a mean prank?!\Futaba-chan-\Futaba-chan...\Not bad!\Yes it is! response:	Boobies!
context: What's up?\There are thumbtacks on the nipples!\Who would pull such a mean prank?!\Futaba-chan-\Futaba-chan...\Not bad!\Yes it is!\Boobies! response:	Why did you wreck my desk?!
context: There are thumbtacks on the nipples!\Who would pull such a mean prank?!\Futaba-chan-\Futaba-chan...\Not bad!\Yes it is!\Boobies!\Why did you wreck my desk?! response:	There was a bee on it...
context: Who would pull such a mean prank?!\Futaba-chan-\Futaba-chan...\Not bad!\Yes it is!\Boobies!\Why did you wreck my desk?!\There was a bee on it... response:	You shouldn't swat bees with your bare hands.
context: Futaba-chan-\Futaba-chan...\Not bad!\Yes it is!\Boobies!\Why did you wreck my desk?!\There was a bee on it...\You shouldn't swat bees with your bare hands. response:	Hey look, Futaba! An H-cup!
context: Futaba-chan...\Not bad!\Yes it is!\Boobies!\Why did you wreck my desk?!\There was a bee on it...\You shouldn't swat bees with your bare hands.\Hey look, Futaba! An H-cup! response:	Marvelous!
context: Not bad!\Yes it is!\Boobies!\Why did you wreck my desk?!\There was a bee on it...\You shouldn't swat bees with your bare hands.\Hey look, Futaba! An H-cup!\Marvelous! response:	Boobies boobies boo-BIES!
context: Yes it is!\Boobies!\Why did you wreck my desk?!\There was a bee on it...\You shouldn't swat bees with your bare hands.\Hey look, Futaba! An H-cup!\Marvelous!\Boobies boobies boo-BIES! response:	You idiot!
context: Boobies!\Why did you wreck my desk?!\There was a bee on it...\You shouldn't swat bees with your bare hands.\Hey look, Futaba! An H-cup!\Marvelous!\Boobies boobies boo-BIES!\You idiot! response:	It's boobies!
context: Why did you wreck my desk?!\There was a bee on it...\You shouldn't swat bees with your bare hands.\Hey look, Futaba! An H-cup!\Marvelous!\Boobies boobies boo-BIES!\You idiot!\It's boobies! response:	I'm used to it, though.
context: There was a bee on it...\You shouldn't swat bees with your bare hands.\Hey look, Futaba! An H-cup!\Marvelous!\Boobies boobies boo-BIES!\You idiot!\It's boobies!\I'm used to it, though. response:	H-cups!
context: You shouldn't swat bees with your bare hands.\Hey look, Futaba! An H-cup!\Marvelous!\Boobies boobies boo-BIES!\You idiot!\It's boobies!\I'm used to it, though.\H-cups! response:	You even broke my pencil case!
context: Hey look, Futaba! An H-cup!\Marvelous!\Boobies boobies boo-BIES!\You idiot!\It's boobies!\I'm used to it, though.\H-cups!\You even broke my pencil case! response:	Whatever, I needed a new one.
context: Marvelous!\Boobies boobies boo-BIES!\You idiot!\It's boobies!\I'm used to it, though.\H-cups!\You even broke my pencil case!\Whatever, I needed a new one. response:	I-It's okay.
context: Boobies boobies boo-BIES!\You idiot!\It's boobies!\I'm used to it, though.\H-cups!\You even broke my pencil case!\Whatever, I needed a new one.\I-It's okay. response:	Just be careful next time.
context: You idiot!\It's boobies!\I'm used to it, though.\H-cups!\You even broke my pencil case!\Whatever, I needed a new one.\I-It's okay.\Just be careful next time. response:	I'm sorry...
context: It's boobies!\I'm used to it, though.\H-cups!\You even broke my pencil case!\Whatever, I needed a new one.\I-It's okay.\Just be careful next time.\I'm sorry... response:	Check it Futaba, sideboob!
context: I'm used to it, though.\H-cups!\You even broke my pencil case!\Whatever, I needed a new one.\I-It's okay.\Just be careful next time.\I'm sorry...\Check it Futaba, sideboob! response:	What's wrong with her?
context: H-cups!\You even broke my pencil case!\Whatever, I needed a new one.\I-It's okay.\Just be careful next time.\I'm sorry...\Check it Futaba, sideboob!\What's wrong with her? response:	Futaba actually ignored boobs.
context: You even broke my pencil case!\Whatever, I needed a new one.\I-It's okay.\Just be careful next time.\I'm sorry...\Check it Futaba, sideboob!\What's wrong with her?\Futaba actually ignored boobs. response:	Well, it's good that you feel bad,
context: Whatever, I needed a new one.\I-It's okay.\Just be careful next time.\I'm sorry...\Check it Futaba, sideboob!\What's wrong with her?\Futaba actually ignored boobs.\Well, it's good that you feel bad, response:	but do it somewhere else!
context: I-It's okay.\Just be careful next time.\I'm sorry...\Check it Futaba, sideboob!\What's wrong with her?\Futaba actually ignored boobs.\Well, it's good that you feel bad,\but do it somewhere else! response:	Hitoha's right, this is kinda nice...
context: Just be careful next time.\I'm sorry...\Check it Futaba, sideboob!\What's wrong with her?\Futaba actually ignored boobs.\Well, it's good that you feel bad,\but do it somewhere else!\Hitoha's right, this is kinda nice... response:	What a weird information network...
context: I'm sorry...\Check it Futaba, sideboob!\What's wrong with her?\Futaba actually ignored boobs.\Well, it's good that you feel bad,\but do it somewhere else!\Hitoha's right, this is kinda nice...\What a weird information network... response:	I rented it to her for 100 yen a day.
context: Check it Futaba, sideboob!\What's wrong with her?\Futaba actually ignored boobs.\Well, it's good that you feel bad,\but do it somewhere else!\Hitoha's right, this is kinda nice...\What a weird information network...\I rented it to her for 100 yen a day. response:	You can't rent out my leg space!
context: What's wrong with her?\Futaba actually ignored boobs.\Well, it's good that you feel bad,\but do it somewhere else!\Hitoha's right, this is kinda nice...\What a weird information network...\I rented it to her for 100 yen a day.\You can't rent out my leg space! response:	It's not like you to get so down.
context: Futaba actually ignored boobs.\Well, it's good that you feel bad,\but do it somewhere else!\Hitoha's right, this is kinda nice...\What a weird information network...\I rented it to her for 100 yen a day.\You can't rent out my leg space!\It's not like you to get so down. response:	I'm retiring my fists!
context: Well, it's good that you feel bad,\but do it somewhere else!\Hitoha's right, this is kinda nice...\What a weird information network...\I rented it to her for 100 yen a day.\You can't rent out my leg space!\It's not like you to get so down.\I'm retiring my fists! response:	Micchan might not forgive me, but...
context: but do it somewhere else!\Hitoha's right, this is kinda nice...\What a weird information network...\I rented it to her for 100 yen a day.\You can't rent out my leg space!\It's not like you to get so down.\I'm retiring my fists!\Micchan might not forgive me, but... response:	Weird...
context: Hitoha's right, this is kinda nice...\What a weird information network...\I rented it to her for 100 yen a day.\You can't rent out my leg space!\It's not like you to get so down.\I'm retiring my fists!\Micchan might not forgive me, but...\Weird... response:	Those fists have broken countless things and she's never been upset about it.
context: What a weird information network...\I rented it to her for 100 yen a day.\You can't rent out my leg space!\It's not like you to get so down.\I'm retiring my fists!\Micchan might not forgive me, but...\Weird...\Those fists have broken countless things and she's never been upset about it. response:	Whoopsie-doodle!
context: I rented it to her for 100 yen a day.\You can't rent out my leg space!\It's not like you to get so down.\I'm retiring my fists!\Micchan might not forgive me, but...\Weird...\Those fists have broken countless things and she's never been upset about it.\Whoopsie-doodle! response:	I wonder why...
context: You can't rent out my leg space!\It's not like you to get so down.\I'm retiring my fists!\Micchan might not forgive me, but...\Weird...\Those fists have broken countless things and she's never been upset about it.\Whoopsie-doodle!\I wonder why... response:	Futaba-chan still won't come out.
context: It's not like you to get so down.\I'm retiring my fists!\Micchan might not forgive me, but...\Weird...\Those fists have broken countless things and she's never been upset about it.\Whoopsie-doodle!\I wonder why...\Futaba-chan still won't come out. response:	Who cares?
context: I'm retiring my fists!\Micchan might not forgive me, but...\Weird...\Those fists have broken countless things and she's never been upset about it.\Whoopsie-doodle!\I wonder why...\Futaba-chan still won't come out.\Who cares? response:	I do...
context: Micchan might not forgive me, but...\Weird...\Those fists have broken countless things and she's never been upset about it.\Whoopsie-doodle!\I wonder why...\Futaba-chan still won't come out.\Who cares?\I do... response:	You've been using that since we started school, huh?
